[00:00.000 --> 00:01.840]  replace the
[01:32:36.200 --> 01:32:39.200]  For over five years, Cardivite has proven itself time-tested.
[01:32:39.200 --> 01:32:43.200]  Here's Dr. Matson, a naturopathic doctor's thoughts on Cardivite.
[01:32:43.200 --> 01:32:46.200]  In our mind, there isn't such a great big mystery to disease anymore.
[01:32:46.200 --> 01:32:52.200]  This basic tenet of yeast in the gut and metals in the liver covers at least 7-80% of the diseases that we've seen.
[01:32:52.200 --> 01:32:57.200]  When we do our program in herbal formulas like Cardivite and you see someone who could barely walk up a hill,
[01:32:57.200 --> 01:33:02.200]  now going for a regular job a few months later, we know we're doing something right.
[01:33:02.200 --> 01:33:09.200]  It's a well-thought-out formula. I mean, the idea of it working on yeast and metals both at the same time in liver function instead on...
[01:33:09.200 --> 01:33:15.200]  You'll find, I think, that it'll work more than just on heart problems, the circulation problems, it'll work on other problems as well.
[01:33:15.200 --> 01:33:25.200]  For more information, call 1-877-928-8822 or visit our website at www.heartdrop.com.
[01:33:25.200 --> 01:33:46.200]  That toll-free number again, 1-877-928-8822.
[01:33:55.200 --> 01:34:06.200]  It hides behind discs. I just want you to know I can see through your masks.
[01:34:06.200 --> 01:34:19.200]  You've never done nothing but build to destroy. You play with my world.
[01:34:19.200 --> 01:34:28.200]  Like with your little toy. You put a gun in my hand.
[01:34:28.200 --> 01:34:39.200]  And you hide from my eyes. And you turn and run farther when the fast bullets fly.
[01:34:39.200 --> 01:34:57.200]  Like a Judas of old. You lie in DC. A world war can be won. You want me to believe.
[01:34:57.200 --> 01:35:00.200]  But I see through your eyes.
[01:35:00.200 --> 01:35:01.200]  Welcome back.
[01:35:01.200 --> 01:35:04.200]  And I see through your brain.
[01:35:04.200 --> 01:35:10.200]  I see through the water.
[01:35:10.200 --> 01:35:20.200]  Well, that was the end of the story. A year later, I worked for someone whose son was one of four police officers.
[01:35:20.200 --> 01:35:24.200]  Recap it. Describe what you heard on the radio.
[01:35:24.200 --> 01:35:34.200]  I was looking at the K and X radio news in 1979 in Northridge. I remember when you remember a certain something comes over the years.
[01:35:34.200 --> 01:35:37.200]  Just like when you hear Kennedy got killed or Reagan got shot.
[01:35:37.200 --> 01:35:45.200]  Exactly. Anyway, it came over the year that David Rockefeller had shot Nelson Rockefeller in the head at some estate.
[01:35:45.200 --> 01:35:56.200]  And there was an African American butler that was a witness. And I think I heard that he was in institutionalized somewhere as a crazy man or whatever.
[01:35:56.200 --> 01:36:03.200]  But a year later, I worked for someone. And I talked to other people. They heard the same thing too. But it was never repeated.
[01:36:03.200 --> 01:36:07.200]  It was on K and X. It was a news station. It's still on Los Angeles here.
[01:36:07.200 --> 01:36:22.200]  Anyway, the real story is a year later, I was working for someone whose son was one of four New York police officers and two men in black that found Nelson Rockefeller supposedly at Radio City Music Hall.
[01:36:22.200 --> 01:36:26.200]  Actually, it was on Rockefeller Center. There's a tunnel that connects them.
[01:36:26.200 --> 01:36:39.200]  And what I think happened is they docked up the head wound. And who knows what they did to the men's hearing and candidates of the little locket. And she woke up and there he is dead.
[01:36:39.200 --> 01:36:45.200]  But I can give you the name of a police officer. And I almost feel I don't want to do it over the air.
[01:36:45.200 --> 01:36:54.200]  But if he was seriously had an accident or some of his buddies all disappeared, I can give you the name of a man who was there.
[01:36:54.200 --> 01:37:03.200]  So I just, you know, I read in the obituaries that his soldiers died. I just decided, I'm not, you know, I'm going to come forward. And I'm just not going to sit here.
[01:37:03.200 --> 01:37:07.200]  And why isn't this police officer gone forward?
[01:37:07.200 --> 01:37:19.200]  Maybe he's not around. His father, I'm sure, has passed on. So maybe I'll give you the name. And you can check it out. He was a New York City police officer.
[01:37:19.200 --> 01:37:32.200]  And there were four of them there. So anyway, that's one of the little things. There are other things I could tell you, but it's too unbelievable.
[01:37:32.200 --> 01:37:38.200]  Anyway, I could be willing to tell you your screener and then you could actually check this out for yourself.
[01:37:38.200 --> 01:37:43.200]  Well, just since you're already going there, what else did they tell you about it?
[01:37:43.200 --> 01:37:56.200]  Well, they were, I guess, two guys in black. I don't know who they were, but there were four officers and they were kind of like, I don't know how they were called there, but he'd already expired.
[01:37:56.200 --> 01:38:08.200]  And the girl was slowly traumatized. And that's basically all they told me because, you know, apparently the officer wasn't going public with it.
[01:38:08.200 --> 01:38:18.200]  He told his dad, it was kind of hush-hush. And that's basically what he told me. It was just a casual conversation. I mean, it was just 25, 26 years ago.
[01:38:18.200 --> 01:38:20.200]  But how did they cover it up? It's the question.
[01:38:20.200 --> 01:38:30.200]  I don't know. I don't know. Maybe, you know, I'll be really upset of all four of those police officers, you know, who seriously died somehow or no longer with this.
[01:38:30.200 --> 01:38:39.200]  You know, this was 1979 and, you know, it was just a matter of fact. I mean, I talked to one other person who he heard on the radio, too.
[01:38:39.200 --> 01:38:49.200]  And he was part of the John Berke side. He says, that was our first sign of an inward struggle. So there were many people. I don't have many, but there were, you know, there were people who heard this.
[01:38:49.200 --> 01:38:52.200]  So, you know, I'm not making this up.
[01:38:52.200 --> 01:38:58.200]  Okay. Well, we'll give the name and information to John. John, get that. Thank you for the call. I appreciate it.
[01:38:58.200 --> 01:39:05.200]  All right. We'll get to Rob and Tom and Andrew and everybody else a little bit later. We'll have open phones, of course, in the third hour.
[01:39:05.200 --> 01:39:11.200]  Let me right now get into Saddam Hussein.
[01:39:11.200 --> 01:39:19.200]  Now, just out of the gates, whenever you're telling somebody about this, you can go pull us up and look at this for yourself.
[01:39:19.200 --> 01:39:22.200]  I want you to believe me and go research it.
[01:39:22.200 --> 01:39:28.200]  If you're explaining this to somebody, I mean, I always tell them clearly, hey, I'm no fan of Saddam Hussein.
[01:39:28.200 --> 01:39:33.200]  Okay, we're just reporting the facts here.
[01:39:33.200 --> 01:39:51.200]  And, you know, it's analogous to, you know, parallel or an analogy would be there is, say, a mafia captain high level in a crime family, but still mid level.
[01:39:51.200 --> 01:39:55.200]  And the overall national structure.
[01:39:55.200 --> 01:40:05.200]  And he's been involved in dozens of murders and car jackings of cargo and stealing and prostitution and gaming and everything.
[01:40:05.200 --> 01:40:09.200]  And he finally gets caught.
[01:40:09.200 --> 01:40:13.200]  And he goes to the lethal injection.
[01:40:13.200 --> 01:40:21.200]  But the judge is the mafia don who gave him all the orders over the years and we know it's the mafia don.
[01:40:21.200 --> 01:40:26.200]  And then the mafia don gets up on TV and talks about how justice has been served.
[01:40:26.200 --> 01:40:35.200]  And this is a really evil mafia captain that went to the lethal injection chair.
[01:40:35.200 --> 01:40:40.200]  You go, what hypocrisy, what royal, royal flush hypocrisy.
[01:40:40.200 --> 01:40:43.200]  This is ridiculous.
[01:40:43.200 --> 01:40:49.200]  The don that gave the orders and made the money out of all this and they've got the power out of all this.
[01:40:49.200 --> 01:40:53.200]  They're more guilty than the capo who followed the orders.
[01:40:53.200 --> 01:41:01.200]  And that's how it works in law and in common law.
[01:41:01.200 --> 01:41:04.200]  So it's the same thing with Saddam.
[01:41:04.200 --> 01:41:16.200]  It is not debatable that at the age of 18 in the late 1950s, he was sent for four years for intensive CIA training in Egypt, in Jordan, and even in the U.S.
[01:41:16.200 --> 01:41:18.200]  He was sent back.
[01:41:18.200 --> 01:41:20.200]  He assassinated leaders.
[01:41:20.200 --> 01:41:23.200]  He wounded the president, the bath president.
[01:41:23.200 --> 01:41:27.200]  Finally, he'd had such a reign of terror as a gorilla.
[01:41:27.200 --> 01:41:39.200]  They, well, using the Sunni minority against the bath's majority that the U.S. signed a deal, covert operations agreement with the bath is to work with them.
[01:41:39.200 --> 01:41:44.200]  But they had to put Saddam in as the head of Bath's security.
[01:41:44.200 --> 01:41:47.200]  So in 69, he becomes the head of Bath's security.
[01:41:47.200 --> 01:41:56.200]  Well, 10 years later, he stayed as a coup in 1979 and becomes president, becomes dictator.
[01:41:56.200 --> 01:41:58.200]  And the U.S. had a different policy then.
[01:41:58.200 --> 01:42:00.200]  It wasn't total balkanization.
[01:42:00.200 --> 01:42:02.200]  It was actually bringing the country along.
[01:42:02.200 --> 01:42:05.200]  So they had huge reforms.
[01:42:05.200 --> 01:42:09.200]  Christians, Jews, lived in peace.
[01:42:09.200 --> 01:42:21.200]  He used it well money to open all sorts of, well, even you know the story, museums, libraries, schools, water plants, power plants, first world country.
[01:42:21.200 --> 01:42:27.200]  Of course, a few years after they gave him into power, really just about a year, they gave him 30 plus billion dollars over the next seven years.
[01:42:27.200 --> 01:42:29.200]  That's what's on the record.
[01:42:29.200 --> 01:42:34.200]  Plus billions in aid with advisors.
[01:42:34.200 --> 01:42:42.200]  And it's on record that hundreds of CIA, former Vietnam and Korea commandos were sent in.
[01:42:42.200 --> 01:42:49.200]  And they were on the front lines in many cases with Saddam's Republican Guard fighting the Iranians.
[01:42:49.200 --> 01:42:54.200]  And the Iranians kept launching primitive nerve gas attacks.
[01:42:54.200 --> 01:42:56.200]  They kept launching cyanide gas attacks.
[01:42:56.200 --> 01:42:58.200]  It was really wiping out Saddam's forces.
[01:42:58.200 --> 01:43:12.200]  So the U.S. came in with the advice and how to spray and with the meteorological information and even with some of the spray canister to be retrofitted to Russian helicopters.
[01:43:12.200 --> 01:43:27.200]  And I mean, our government was there commanding with the satellites, with the front line people, nerve gas counter attacks with Saren against the Iranians when the Iraqis were about to lose.
[01:43:27.200 --> 01:43:28.200]  They were going to lose.
[01:43:28.200 --> 01:43:30.200]  They were being overrun.
[01:43:30.200 --> 01:43:33.200]  Because the Iranians were using cyanide nerve gas.
[01:43:33.200 --> 01:43:36.200]  So the Iraqis hit back with U.S. help with nerve gas.
[01:43:36.200 --> 01:43:39.200]  And then later he did have the stuff he did spraying on some Kurds.
[01:43:39.200 --> 01:43:44.200]  We always hear on his own people.
[01:43:44.200 --> 01:43:45.200]  And I'm not defending that.
[01:43:45.200 --> 01:43:46.200]  It's terrible.
[01:43:46.200 --> 01:43:51.200]  But the point is, our government was literally running it.
[01:43:51.200 --> 01:43:53.200]  And I've got to watch them on news.
[01:43:53.200 --> 01:43:54.200]  He used nerve gas.
[01:43:54.200 --> 01:43:56.200]  He gassed his own people.
[01:43:56.200 --> 01:43:58.200]  It's like a mantra.
[01:43:58.200 --> 01:43:59.200]  He gassed his own people.
[01:43:59.200 --> 01:44:00.200]  He gassed his own people.
[01:44:00.200 --> 01:44:01.200]  He gassed his own people.
[01:44:01.200 --> 01:44:02.200]  He gassed his own people.
[01:44:02.200 --> 01:44:03.200]  They gassed his own people.
[01:44:03.200 --> 01:44:04.200]  He gassed his own.
[01:44:04.200 --> 01:44:08.200]  It's like a chant or something, a Vedic chant.
[01:44:08.200 --> 01:44:11.200]  Over and over and over again.
[01:44:11.200 --> 01:44:13.200]  It's on the record he CIA.
[01:44:13.200 --> 01:44:15.200]  It's on the record they put him in power.
[01:44:15.200 --> 01:44:16.200]  It's on the record he does all this.
[01:44:16.200 --> 01:44:21.200]  And then finally in 1990, he's trying to pay BCCI back.
[01:44:21.200 --> 01:44:23.200]  He's trying to do all this stuff.
[01:44:23.200 --> 01:44:24.200]  He makes the mistake that Noriega does.
[01:44:24.200 --> 01:44:27.200]  He starts kind of blackmailing the West because they were threatening him.
[01:44:27.200 --> 01:44:29.200]  He's going, look, I'm your friend.
[01:44:29.200 --> 01:44:31.200]  You put me in here.
[01:44:31.200 --> 01:44:35.200]  And I've done everything you told me to do.
[01:44:35.200 --> 01:44:39.200]  And now I'm trying to pay back like 20-something billion of the Europeans.
[01:44:39.200 --> 01:44:44.200]  Tens of billions of BCCI was a 33-plus billion of the U.S.
[01:44:44.200 --> 01:44:46.200]  He owed money to everybody.
[01:44:46.200 --> 01:44:47.200]  And he was trying to pay it back.
[01:44:47.200 --> 01:44:49.200]  And he was pumping a bunch of oil.
[01:44:49.200 --> 01:44:50.200]  And remember, he'd go pull it.
[01:44:50.200 --> 01:44:53.200]  In the news in 1990, OPEX mad.
[01:44:53.200 --> 01:44:57.200]  Prices at record low, 90-something cents a gallon.
[01:44:57.200 --> 01:44:59.200]  Saddam overproducing.
[01:44:59.200 --> 01:45:01.200]  Remember?
[01:45:01.200 --> 01:45:05.200]  So they sent April Gillespie over to make a deal with him to reduce it.
[01:45:05.200 --> 01:45:11.200]  But the U.S. is going to put pressure on Kuwait to stop taking their oil and overselling, too.
[01:45:11.200 --> 01:45:15.200]  And they're making a deal on paying the debts out over a longer period of time.
[01:45:15.200 --> 01:45:17.200]  And Saddam's really happy.
[01:45:17.200 --> 01:45:21.200]  A charismatic U.S. killer now on his own.
[01:45:21.200 --> 01:45:22.200]  He's got two big prison britches.
[01:45:22.200 --> 01:45:25.200]  But he's sitting there, okay, fine.
[01:45:25.200 --> 01:45:29.200]  And he says, well, I'm going to invade if they don't stop.
[01:45:29.200 --> 01:45:32.200]  She goes, hey, we don't get involved in interarital affairs.
[01:45:32.200 --> 01:45:34.200]  If a diplomacy doesn't work, you do what you need to.
[01:45:34.200 --> 01:45:36.200]  And he said, well, thank you.
[01:45:36.200 --> 01:45:37.200]  So he rolls into Kuwait.
[01:45:37.200 --> 01:45:40.200]  And then they have PR firms claiming they're throwing babies out of incubators.
[01:45:40.200 --> 01:45:42.200]  All admitted to be lies now.
[01:45:42.200 --> 01:45:43.200]  Ignited to be lies.
[01:45:43.200 --> 01:45:44.200]  None of it happened.
[01:45:44.200 --> 01:45:45.200]  And they roll in.
[01:45:45.200 --> 01:45:47.200]  And then the Iraqis try to retreat.
[01:45:47.200 --> 01:45:48.200]  And they kill a bunch of them.
[01:45:48.200 --> 01:45:50.200]  That's real manly highway of death.
[01:45:50.200 --> 01:45:52.200]  And everybody feels real good.
[01:45:52.200 --> 01:45:54.200]  The Warthogs got to kill thousands of people at one time.
[01:45:54.200 --> 01:45:55.200]  Ha, ha, ha.
[01:45:55.200 --> 01:45:56.200]  They retreated.
[01:45:56.200 --> 01:45:58.200]  It's real cool.
[01:45:58.200 --> 01:46:04.200]  And most of them, you know, pressed into service on the front lines as poor people.
[01:46:04.200 --> 01:46:08.200]  And so all that, and then they send our troops in to clean up all the DU and they die from it.
[01:46:08.200 --> 01:46:10.200]  But, you know, that's supporting them.
[01:46:10.200 --> 01:46:11.200]  That's how you do it.
[01:46:11.200 --> 01:46:14.200]  And so all of this takes place.
[01:46:14.200 --> 01:46:27.200]  Then they have 12 plus years of sanctions and two plus million Iraqis die.
[01:46:27.200 --> 01:46:29.200]  It was one million by 97.
[01:46:29.200 --> 01:46:35.200]  And on NBC, Madeleine Albright didn't deny over one million, 700,000 of them children.
[01:46:35.200 --> 01:46:39.200]  And she said 700,000 dead Iraqi children is a good price to pay.
[01:46:39.200 --> 01:46:41.200]  They'll pull the transcript.
[01:46:41.200 --> 01:46:43.200]  I've got the tape somewhere around here.
[01:46:43.200 --> 01:46:45.200]  Somebody's got it mailed to me because we can't find it in our stacks.
[01:46:45.200 --> 01:46:46.200]  I want to play that.
[01:46:46.200 --> 01:46:47.200]  But you've seen it.
[01:46:47.200 --> 01:46:48.200]  You've heard it's on record.
[01:46:48.200 --> 01:46:50.200]  She goes, it's a good price to pay.
[01:46:50.200 --> 01:46:54.200]  700,000 dead kids for security in the Gulf.
[01:46:54.200 --> 01:46:55.200]  Security was never meant.
[01:46:55.200 --> 01:46:58.200]  This was to start the destabilization.
[01:46:58.200 --> 01:47:09.200]  So for 12 years, they have sanctions and all these PR pieces about Saddam just takes all the money for himself and keeps it.
[01:47:09.200 --> 01:47:11.200]  Saddam Hussein was a smart tire.
[01:47:11.200 --> 01:47:14.200]  He never cared about a bunch of opulent wealth.
[01:47:14.200 --> 01:47:16.200]  When you hear about palaces, those are government buildings, folks.
[01:47:16.200 --> 01:47:27.200]  He actually tried to pay the people and build churches and fund people and leave things alone and have paper tuition for the youth and do all this.
[01:47:27.200 --> 01:47:31.200]  I mean, he could go stand in a group of 5,000 people with machine guns and nobody's shooting.
[01:47:31.200 --> 01:47:37.200]  Yeah, you see our president doing that.
[01:47:37.200 --> 01:47:44.200]  So off and on for 12 plus years, they bomb them on a monthly basis.
[01:47:44.200 --> 01:47:46.200]  They blow up the water treatment plants.
[01:47:46.200 --> 01:47:48.200]  They blow up the energy systems.
[01:47:48.200 --> 01:47:53.200]  They won't ship them anything that can be used in any even conventional weapons program to repair anything.
[01:47:53.200 --> 01:47:57.200]  They're under total siege.
[01:47:57.200 --> 01:47:59.200]  You know, 60 minutes would show.
[01:47:59.200 --> 01:48:12.200]  The Iraqis would invite 60 minutes in and go, look, we've got all these dentist chairs, thousands of them, but no tubing or no electrical systems for them or none of the brackets.
[01:48:12.200 --> 01:48:15.200]  Well, you ever see the footage online of the Iraqi camera showing this?
[01:48:15.200 --> 01:48:19.200]  They're telling 60 minutes that 60 minutes comes back and goes, look at all the equipment they've got.
[01:48:19.200 --> 01:48:21.200]  We won't give it to his people.
[01:48:21.200 --> 01:48:31.200]  The Iraqis brought them in to show them how they weren't being allowed to have all the things they needed, basic things like medicine because that could be used for the military.
[01:48:31.200 --> 01:48:33.200]  And then the media spun it.
[01:48:33.200 --> 01:48:42.200]  It's the same media like ITN and BBC showing people in Bosnia.
[01:48:42.200 --> 01:48:49.200]  A guy's dying of, he's real sick from some disease and he's up against a barbed wire fence trying to break in to get food.
[01:48:49.200 --> 01:48:57.200]  Then they claim he was in a camp when he was actually trying to get in and then right next to him were two fat guys.
[01:48:57.200 --> 01:49:00.200]  They just show that one image and say there's camps.
[01:49:00.200 --> 01:49:02.200]  It's the same thing.
[01:49:02.200 --> 01:49:09.200]  And so Iraqis go from 25 plus million.
[01:49:09.200 --> 01:49:13.200]  Their census in 1990 was 25.2 million.
[01:49:13.200 --> 01:49:16.200]  The memory serves and it was over 25.2.
[01:49:16.200 --> 01:49:20.200]  Just go look it up for yourself and it was over 25 million.
[01:49:20.200 --> 01:49:24.200]  And now it's 22 million.
[01:49:24.200 --> 01:49:27.200]  And 654,000 of those were in the first three years.
[01:49:27.200 --> 01:49:32.200]  We don't have the numbers yet on the last eight months of the next fourth year.
[01:49:32.200 --> 01:49:36.200]  We'll be getting those next year of lands that's allowed to do it again.
[01:49:36.200 --> 01:49:38.200]  British Medical Journal.
[01:49:38.200 --> 01:49:40.200]  With doctors in the field, that's a conservative estimate.
[01:49:40.200 --> 01:49:44.200]  The high end estimates 900 plus thou.
[01:49:44.200 --> 01:49:46.200]  Okay.
[01:49:46.200 --> 01:49:48.200]  And what is the stated plan?
[01:49:48.200 --> 01:49:49.200]  It is genocide.
[01:49:49.200 --> 01:49:51.200]  It is total control.
[01:49:51.200 --> 01:49:56.200]  It is get the groups killing each other and have endless killing and have it never stop.
[01:49:56.200 --> 01:50:00.200]  Have it never end.
[01:50:00.200 --> 01:50:09.200]  And widen it into conflict into the north to destabilize even on ally Turkey to destabilize Iran to destabilize Syria.
[01:50:09.200 --> 01:50:17.200]  And have those countries fall and link up with Afghanistan to the east.
[01:50:17.200 --> 01:50:19.200]  And that's the stated plan.
[01:50:19.200 --> 01:50:21.200]  And they're doing an excellent job.
[01:50:21.200 --> 01:50:23.200]  You think the war on drugs and failure is a great success.
[01:50:23.200 --> 01:50:25.200]  More drugs than ever on the streets.
[01:50:25.200 --> 01:50:30.200]  From one million in prison to over seven million.
[01:50:30.200 --> 01:50:32.200]  You see, that's a success.
[01:50:32.200 --> 01:50:33.200]  They call it a failure.
[01:50:33.200 --> 01:50:34.200]  It's not a failure.
[01:50:34.200 --> 01:50:37.200]  It's just what you and I are told it's four isn't what it's really for.
[01:50:37.200 --> 01:50:42.200]  You're told it's go turn the power on, get them all happy, help them, give them freedom, baloney.
[01:50:42.200 --> 01:50:53.200]  It's about accentuate sectarian violence and balkanize that country and make sure it never rises to be a leadership position in the Middle East again.
[01:50:53.200 --> 01:50:55.200]  Period.
[01:50:55.200 --> 01:50:58.200]  Same thing with overthrowing Mosul Deccan 53.
[01:50:58.200 --> 01:51:02.200]  Pro America, a poet, anti-communist.
[01:51:02.200 --> 01:51:11.200]  You think they want that guy in there for one minute who wears a suit and a tie and got a shaved head and didn't run around screaming Allah Akbar?
[01:51:11.200 --> 01:51:12.200]  No way, Jose.
[01:51:12.200 --> 01:51:15.200]  They had to get him out and fast.
[01:51:15.200 --> 01:51:18.200]  You think they want slobo with big factories?
[01:51:18.200 --> 01:51:19.200]  No.
[01:51:19.200 --> 01:51:24.200]  So they bomb Belgrade into a radioactive slag heap.
[01:51:24.200 --> 01:51:27.200]  They're doing the same thing here economically to the U.S.
[01:51:27.200 --> 01:51:30.200]  They want you dependent, poor and stupid.
[01:51:30.200 --> 01:51:32.200]  And both of us are.
[01:51:32.200 --> 01:51:38.200]  It's here after a year in production and traveling to distant lands.
[01:51:38.200 --> 01:51:41.200]  My new film Terror Storm is complete.
[01:51:41.200 --> 01:51:49.200]  The making declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:49.200 --> 01:51:57.200]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:51:57.200 --> 01:52:09.200]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spy, secret police torture, the latest 9-11 information, and much, much more.
[01:52:09.200 --> 01:52:12.200]  It's a definitive guide to the history of government-sponsored terrorists.
[01:52:12.200 --> 01:52:14.200]  It's an anthology of government crimes.
[01:52:14.200 --> 01:52:19.200]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:52:19.200 --> 01:52:33.200]  Get your copy today on infowars.com or prisonplanet.com, or by calling toll 3-1-888-2533-139, or watch it right now online at prisonplanet.tv.
[01:52:33.200 --> 01:52:38.200]  The war on terrorism will it be fought overseas or will it affect us here at home?
[01:52:38.200 --> 01:52:42.200]  Just like most folks, you want to be prepared, but can't afford an underground shelter.
[01:52:42.200 --> 01:52:43.200]  So what do you do?
[01:52:43.200 --> 01:52:48.200]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[01:52:48.200 --> 01:52:51.200]  With a little know-how, it's not that difficult.
[01:52:51.200 --> 01:53:03.200]  Sheltering in place, surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LaBaron, a health physicist who has served as a specialist in environmental health, communicable diseases,
[01:53:03.200 --> 01:53:08.200]  and has worked as a nuclear specialist for the U.S. government, gives you easy-to-follow video instructions,
[01:53:08.200 --> 01:53:13.200]  and walks you step-by-step through the process of preparing your home as a shelter.
[01:53:13.200 --> 01:53:18.200]  Get this critical video every American needs for only $29 plus shipping.
[01:53:18.200 --> 01:53:23.200]  Order by calling new millennium today at 888-803-4438.
[01:53:23.200 --> 01:53:26.200]  That's 888-803-4438.
[01:53:26.200 --> 01:53:33.200]  Or order on the web at BerkeyWater.com.
[01:53:57.200 --> 01:54:06.200]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering,
[01:54:06.200 --> 01:54:10.200]  and more great products to help you soothe and relax after a long day.
[01:54:10.200 --> 01:54:13.200]  Want to learn more for yourself and to help others in the future?
[01:54:13.200 --> 01:54:16.200]  Join the Herbal Healer Correspondence Program.
[01:54:16.200 --> 01:54:19.200]  You can work at your own pace from the comfort of your own home.
[01:54:19.200 --> 01:54:23.200]  This accredited, exciting program can help you gain skills and knowledge.
[01:54:23.200 --> 01:54:25.200]  Can you believe you can find all this at one stop?
[01:54:25.200 --> 01:54:30.200]  HerbalHealer.com celebrating 18 years of dedication.
[01:54:55.200 --> 01:55:02.200]  Welcome back.
[01:55:02.200 --> 01:55:06.200]  I said I'd play the 9-11 stuff this hour. I'll play it next hour, early next hour.
[01:55:06.200 --> 01:55:09.200]  We'll get to Tom and Andrew and everybody else that's holding.
[01:55:09.200 --> 01:55:13.200]  Light up the phones. It is the first day of 2007.
[01:55:13.200 --> 01:55:17.200]  We're live, 1-800-259-9231.
[01:55:17.200 --> 01:55:20.200]  So they tell you it's about WMDs.
[01:55:20.200 --> 01:55:23.200]  We have the memos where they admittedly were lying to us on purpose.
[01:55:23.200 --> 01:55:25.200]  We knew that, of course, but now it's admitted.
[01:55:25.200 --> 01:55:28.200]  And then they go in. They swear we're going to leave in just a few months.
[01:55:28.200 --> 01:55:31.200]  The plan was to stay forever, just like they're in Germany 60 years later.
[01:55:31.200 --> 01:55:35.200]  There is no leaving. There is no plan to leave. They're building permanent bases.
[01:55:35.200 --> 01:55:38.200]  And by the way, they could have stabilized it within weeks of being there.
[01:55:38.200 --> 01:55:42.200]  It's nip to kill our troops to keep the war going, because then there wouldn't be an excuse to stay.
[01:55:42.200 --> 01:55:47.200]  That's why they've caught British and Israeli and U.S. troops staging terror attacks in Iraq
[01:55:47.200 --> 01:55:49.200]  to stir it up between sides.
[01:55:49.200 --> 01:55:52.200]  Now, first off, was that Saddam last night?
[01:55:52.200 --> 01:55:55.200]  We know, and it came out in British papers.
[01:55:55.200 --> 01:56:00.200]  We reported on this, of course, months before it broke, because we could see it with a kernel on video.
[01:56:00.200 --> 01:56:04.200]  The Marine Corps colonels saying, you found Saddam in that spider hole.
[01:56:04.200 --> 01:56:06.200]  Do you understand? That's where he was.
[01:56:06.200 --> 01:56:09.200]  Repeat. Where did you find him? We found him in there.
[01:56:09.200 --> 01:56:13.200]  That's all you say. Now, repeat. Where did you find him in that hole?
[01:56:13.200 --> 01:56:18.200]  Very suspicious. They screwed up and let that get out.
[01:56:18.200 --> 01:56:25.200]  The guy had already been beat to a pulp, whoever this hairy creature was.
[01:56:25.200 --> 01:56:32.200]  And then it came out that the Kurds had captured whoever that individual was three and a half weeks before
[01:56:32.200 --> 01:56:38.200]  and had handed him over to coalition a week before, and that they had gone and staged that whole event.
[01:56:38.200 --> 01:56:41.200]  Now, that's admitted now. Okay?
[01:56:41.200 --> 01:56:45.200]  I mean, that came out in the times of London. That came out in French papers.
[01:56:45.200 --> 01:56:50.200]  It's on record the Kurds had in that whole event was staged.
[01:56:50.200 --> 01:56:55.200]  It's the same with Private Lynch. The Iraqis come out and say the Republican Guard has left.
[01:56:55.200 --> 01:56:58.200]  We've got her at the hospital along with some other people and some bodies.
[01:56:58.200 --> 01:57:03.200]  Police come and they had to wait three days to get Jerry Bruckheimer. This was BBC reported.
[01:57:03.200 --> 01:57:08.200]  The big Hollywood director told him how to shoot the video, how to do it, and he directed it
[01:57:08.200 --> 01:57:12.200]  via satellite telephone and satellite link-ups.
[01:57:12.200 --> 01:57:18.200]  They're at Cutter. And then, of course, it came out. The whole thing was a lie and staged.
[01:57:18.200 --> 01:57:21.200]  Pat Tillman, it's the same story over and over again.
[01:57:21.200 --> 01:57:27.200]  But before five people in her unit started shooting their mouths off saying it was all lies that she was a coward.
[01:57:27.200 --> 01:57:31.200]  They all died. We're talking double taps to the head. You name it.
[01:57:31.200 --> 01:57:34.200]  We're talking at their houses in Denver and Phoenix.
[01:57:34.200 --> 01:57:36.200]  Imagine you're cooking hamburgers in the backyard.
[01:57:36.200 --> 01:57:42.200]  Somebody in a black uniform pops up over the privacy fence and double taps you in the head.
[01:57:42.200 --> 01:57:46.200]  Precision killings. I mean, the Pentagon's killing their own troops if they shoot their mouth off.
[01:57:46.200 --> 01:57:51.200]  They wanted a little blonde-haired blue-eyed girl up there to sell women in the military.
[01:57:51.200 --> 01:57:57.200]  So let's, and until she saved her own life, because I guarantee she wasn't going to be around long with that stuff leaking,
[01:57:57.200 --> 01:58:02.200]  she said it's all a fable. It's all a lie. They told me to lie. I don't know why.
[01:58:02.200 --> 01:58:09.200]  Okay? So just so you have an example of propaganda, there it is.
[01:58:09.200 --> 01:58:16.200]  The Saddam thing staged. She's staged. It's all staged, okay? It's despicable.
[01:58:16.200 --> 01:58:20.200]  This is the type of fiascos they come up with.
[01:58:20.200 --> 01:58:25.200]  They don't care if they get caught. They just keep moving for her with new lies for old.
[01:58:25.200 --> 01:58:28.200]  So we know that that Saddam capture was staged.
