[00:00:05.563 --> 00:00:06.103]  Forget it!
[02:25:42.010 --> 02:25:45.993]  But to go beyond it and to realize that it's important to
[02:25:47.203 --> 02:25:51.585]  Stand up, to be there, to have a presence, to participate.
[02:25:51.585 --> 02:25:54.447]  And so my mother is 76, I'm 50.
[02:25:54.447 --> 02:25:56.808]  We didn't care.
[02:25:56.808 --> 02:25:57.888]  We were not afraid.
[02:25:57.888 --> 02:26:08.933]  We walked past a lot of these police lines and we were representing ourselves with our other fellow citizens and it was very inspiring.
[02:26:08.933 --> 02:26:12.215]  And so for the New Year Resolution, I hope to encourage everybody
[02:26:12.722 --> 02:26:14.862]  To get involved and to do the right thing.
[02:26:14.862 --> 02:26:18.683]  Resistance doesn't mean it has to be offensive.
[02:26:18.683 --> 02:26:22.224]  It can be just doing the right thing.
[02:26:22.224 --> 02:26:22.844]  Absolutely.
[02:26:22.844 --> 02:26:25.204]  God bless you and good to hear from you.
[02:26:25.204 --> 02:26:33.366]  The reason I got off on that whole jag was, I talked to people that were there reporting for us, then I talked to witnesses, then it turned out it was on the local news.
[02:26:33.366 --> 02:26:38.107]  You'd have these big burly anarchists, you know, they're big cops, because they send the big cops in because, you know, it's dangerous.
[02:26:39.343 --> 02:26:43.788]  I mean, I've literally seen six foot seven Austin cops dressed up like anarchists trying to start stuff before.
[02:26:43.788 --> 02:26:45.650]  And I'm like, come on, you're a cop.
[02:26:45.650 --> 02:26:46.851]  Knock it off, man.
[02:26:46.851 --> 02:26:47.913]  What a criminal action.
[02:26:47.913 --> 02:26:52.378]  You know, a real anarchist is like five foot three on methamphetamine.
[02:26:54.820 --> 02:26:56.841]  We're on the march, the empire's on the run.
[02:26:56.841 --> 02:26:58.782]  Alex Jones and the GCN Radio Network.
[02:27:27.150 --> 02:27:28.911]  Hello, I'm Steve Chang.
[02:27:28.911 --> 02:27:35.894]  For the past several months, folks have constantly asked me to give them the date as to when they should be finished stocking up on food.
[02:27:35.894 --> 02:27:46.500]  We've been so beaten up by stock market banking, housing and unemployment crashes that we're desensitized and frozen and active like the frog being unknowingly cooked in gradually increasingly hot water.
[02:27:46.500 --> 02:27:47.460]  We'll snap out of it.
[02:27:47.460 --> 02:27:48.961]  We now have a deadline.
[02:27:48.961 --> 02:27:50.982]  Joe Biden said it's going to happen.
[02:27:50.982 --> 02:27:54.504]  Former Secretary of State Colin Powell went on CBS Meet the Press
[02:27:55.017 --> 02:28:02.878]  I'm pointed to about January 22nd as the time a major international incident would force the new president to make unpopular decisions.
[02:28:02.878 --> 02:28:09.019]  While I take the general of this word, my best advice is to have your food in your possession prior to the inauguration.
[02:28:09.019 --> 02:28:14.440]  Contact efoodsdirect.com for your supplies prior to this deadline for disaster.
[02:28:14.440 --> 02:28:18.781]  Ask yourself, is it better to have too much too soon or too little too late?
[02:28:18.781 --> 02:28:20.001]  Call 800-409-5633 or on the web efoodsdirect.com.
[02:28:26.497 --> 02:28:32.221]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[02:28:32.221 --> 02:28:33.502]  And we knew what to do.
[02:28:33.502 --> 02:28:35.544]  Or at least we thought we did.
[02:28:35.544 --> 02:28:42.569]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[02:28:42.569 --> 02:28:51.095]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[02:28:51.482 --> 02:28:58.567]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[02:28:58.567 --> 02:29:01.749]  He had his hand over the radio while he was getting a countdown.
[02:29:01.749 --> 02:29:07.532]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[02:29:07.532 --> 02:29:10.594]  This is an emergency transmission worldwide.
[02:29:10.594 --> 02:29:17.579]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[02:29:20.265 --> 02:29:21.946]  I suppose the government sponsored terror.
[02:29:21.946 --> 02:29:25.848]  They're going to commit more acts and bring in martial law.
[02:29:25.848 --> 02:29:32.091]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators, starting at $299.
[02:29:32.091 --> 02:29:46.058]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of second-hand smoke, pet odors, you name it.
[02:29:46.058 --> 02:29:49.200]  What else can three oxygen atoms, in other words, ozone, do?
[02:29:49.580 --> 02:29:54.345]  Many hospitals sterilize their operating rooms with ozone before and after operations.
[02:29:54.345 --> 02:29:56.447]  And have you ever heard of ozone therapy?
[02:29:56.447 --> 02:30:00.011]  Ionic Zone has a wealth of information on ozone therapy.
[02:30:00.011 --> 02:30:06.837]  Ozone therapy is used, among other things, to raise the body's oxygen level, which studies suggest boosts the immune system.
[02:30:06.837 --> 02:30:12.423]  You can learn more about ozone therapy or Ionic Zone ozone generators by going to ioniczone.org.
[02:30:12.483 --> 02:30:13.385]  We're good to go.
[02:30:35.759 --> 02:30:41.900]  Throughout history, powerful, ruthless, cunning individuals seek to dominate populations.
[02:30:41.900 --> 02:30:42.860]  They love death.
[02:30:42.860 --> 02:30:44.421]  They love destruction.
[02:30:44.421 --> 02:30:48.081]  They love attacking the innocent.
[02:30:48.081 --> 02:30:53.142]  Well, the greatest manifestation of this dehumanizing evil is now upon us.
[02:30:53.142 --> 02:30:56.223]  It is called the New World Order.
[02:30:56.223 --> 02:30:58.503]  Because everything the enemy does is a deception.
[02:30:58.503 --> 02:31:00.844]  It is truly the Old World Order.
[02:31:00.844 --> 02:31:01.284]  Tyranny!
[02:31:02.469 --> 02:31:07.035]  But the enemy wishes you to believe that they are something new.
[02:31:07.035 --> 02:31:17.107]  When they are as old as the bones of the great old lizard, the old dragon, the old serpent, Beelzebub!
[02:31:17.107 --> 02:31:21.813]  Make no mistake, ladies and gentlemen, you are in the fight of your life.
[02:31:23.124 --> 02:31:24.985]  I am in the fight of my life.
[02:31:24.985 --> 02:31:27.146]  And we are together.
[02:31:27.146 --> 02:31:32.550]  If you haven't chosen sides, that's why you don't feel empowered.
[02:31:32.550 --> 02:31:36.292]  It's why you feel so anxious.
[02:31:36.292 --> 02:31:39.214]  It's why you feel like you're missing something in your life.
[02:31:39.214 --> 02:31:41.255]  If you join evil, you will be fulfilled.
[02:31:42.915 --> 02:31:45.017]  Because you will now have chosen your destiny.
[02:31:45.017 --> 02:31:51.602]  But if you choose goodness, you will be fulfilled in a way that evil will never fulfill you.
[02:31:51.602 --> 02:31:56.326]  But I tell you now, those of you that are lukewarm, you are the worst.
[02:31:56.326 --> 02:31:58.588]  Because you are neither.
[02:31:58.588 --> 02:32:01.690]  And it is a pathetic state to be in.
[02:32:01.690 --> 02:32:03.572]  I disrespect you.
[02:32:03.572 --> 02:32:06.695]  Those of you that make excuses that don't admit what you're part of.
[02:32:06.695 --> 02:32:10.738]  If you're going to be evil, you might as well go for the gold.
[02:32:10.738 --> 02:32:11.619]  Go for the prize.
[02:32:12.878 --> 02:32:15.078]  Plumb the depths.
[02:32:15.078 --> 02:32:24.801]  And if you're going to be good, you should throw all caution to the wind and commit yourself to be a good person and to lead and to guide and direct and to help people.
[02:32:24.801 --> 02:32:28.001]  And to ask God to lead, guide, and direct you.
[02:32:28.001 --> 02:32:29.702]  Alright, look, it's totally jam-packed.
[02:32:29.702 --> 02:32:35.903]  I want to get into the body snatchers as an analogy to what it's like to live in a society with these people under government mind control.
[02:32:37.392 --> 02:32:41.436]  I want to get into a ton of news, and yes, I said I'm taking a lot of calls today.
[02:32:41.436 --> 02:32:46.220]  Mike, Ken, Mark, Dave, Justin, and others are going to you here in just a moment.
[02:32:46.220 --> 02:32:49.724]  But I wanted to direct you to a story we're going to cover first.
[02:32:49.724 --> 02:32:53.887]  National Guard soldiers to usher in the new year at Times Square.
[02:32:54.728 --> 02:32:59.793]  So, we're going to be going over this report right after I tell you about a couple of our sponsors.
[02:32:59.793 --> 02:33:10.903]  Yes, I have done an hour, two hours, two hours and thirty-five minutes of broadcast today, and I've not plugged any of our sponsors, including my books and videos.
[02:33:10.903 --> 02:33:12.625]  And that's how we fund this operation.
[02:33:12.625 --> 02:33:13.426]  I mean, this isn't cheap.
[02:33:13.426 --> 02:33:18.411]  We've got two guys, a third guy in their training to run the TV show and things, and we're doing this on the cheaps.
[02:33:19.636 --> 02:33:24.559]  You know, we've got this office filmmaking, the websites, the servers.
[02:33:24.559 --> 02:33:29.102]  Infowars.com is rated 2,000 places above Rush Limbaugh.com.
[02:33:29.102 --> 02:33:33.646]  PrisonPlanet.com, you know, is rated above some of the biggest websites out there.
[02:33:33.646 --> 02:33:36.367]  It's expensive just to pay for the bandwidth for these babies.
[02:33:36.367 --> 02:33:38.349]  And we need your support, but that's not even the reason.
[02:33:38.349 --> 02:33:48.656]  That's an added caveat that when you buy books and videos from the secure online video and bookstore at Infowars.com, you support everything we're doing here.
[02:33:49.602 --> 02:33:51.183]  That's a side issue though.
[02:33:51.183 --> 02:33:53.424]  You get material that's informative dynamic.
[02:33:53.424 --> 02:33:55.066]  Now this is award-winning.
[02:33:55.066 --> 02:33:57.707]  This has won all these top awards in Europe and the US.
[02:33:57.707 --> 02:34:00.829]  This is like, you know, better than some Discovery Channel show.
[02:34:00.829 --> 02:34:05.412]  A top director out of France made it, but it's in English.
[02:34:05.412 --> 02:34:07.854]  The World According to Monsanto, we just got these in.
[02:34:11.425 --> 02:34:18.229]  There's a bonus film on RBGH, Growth Hormone, and Milk, plus a free audio CD with the two-hour film.
[02:34:18.229 --> 02:34:25.433]  From Agent Orange to Genetically Modified Crops, a biotech giant with your best interest at heart.
[02:34:25.433 --> 02:34:28.334]  I'm sure you know this stuff's bad, and you've seen the documents.
[02:34:28.334 --> 02:34:29.695]  Your neighbors aren't going to read documents.
[02:34:29.695 --> 02:34:31.856]  They're not going to listen to the show with all the facts.
[02:34:31.856 --> 02:34:34.798]  You give them a fancy-looking video like this, packaging's everything.
[02:34:35.538 --> 02:34:37.880]  And boy, let me tell you, the cover matches the info.
[02:34:37.880 --> 02:34:38.960]  And you give this to somebody.
[02:34:38.960 --> 02:34:42.002]  It's available for $19.95 at InfoWars.com.
[02:34:42.002 --> 02:34:44.124]  It's two films and an audio CD.
[02:34:44.124 --> 02:34:47.125]  $19.95, InfoWars.com.
[02:34:47.125 --> 02:34:48.406]  Go buy ten of these suckers.
[02:34:48.406 --> 02:34:50.027]  Give them to people.
[02:34:50.027 --> 02:34:52.569]  I didn't make this film, so I can't tell you to make copies of it.
[02:34:52.569 --> 02:34:53.970]  My films, I want you to get in-game.
[02:34:53.970 --> 02:34:54.450]  TerrorStorm.
[02:34:56.434 --> 02:34:59.675]  Fabled Enemies, Truth Rising, and I want you to make copies.
[02:34:59.675 --> 02:35:01.515]  That's what's going to bring them to their knees.
[02:35:01.515 --> 02:35:04.716]  So, The World According to Monsanto, the newest item at InfoWars.com.
[02:35:04.716 --> 02:35:11.657]  You can also call toll-free to order at 888-253-3139, 888-253-3139.
[02:35:11.657 --> 02:35:15.258]  Here's our latest film I produced, Jason Bermas made it.
[02:35:15.258 --> 02:35:23.960]  Pretty controversial 9-11 film for us to make, and seven years after 9-11, this supposed mastermind behind the attacks is still at large, and the nation is
[02:35:25.618 --> 02:35:28.219]  Entrenched in multiple wars in the Middle East.
[02:35:28.219 --> 02:35:33.262]  Is Bin Laden the evil behind the attack or a mere front man in a larger picture?
[02:35:33.262 --> 02:35:34.223]  A boogeyman.
[02:35:34.223 --> 02:35:38.345]  We are told we are fighting a war on terror and that the terrorists hate us for our freedom.
[02:35:38.345 --> 02:35:42.367]  If that is the case, why do our leaders take more and more of our freedoms away?
[02:35:42.367 --> 02:35:46.550]  And Barry Jennings, the deputy head of emergency management who blew the whistle on the film, he died
[02:35:47.719 --> 02:35:49.160]  So he's dead.
[02:35:49.160 --> 02:35:55.222]  Michael J. Springman, Visa Department head, who said that they were CIA agents, Mohammed Adam and everybody.
[02:35:55.222 --> 02:35:58.543]  Bo Dietl, former NYPD detective.
[02:35:58.543 --> 02:36:02.565]  Cynthia McKinney, Mike Rivero, Joe Biden.
[02:36:02.565 --> 02:36:04.306]  I mean, this film needs to be seen.
[02:36:05.707 --> 02:36:06.928]  The Money Masters.
[02:36:06.928 --> 02:36:08.349]  Three and a half hour film.
[02:36:08.349 --> 02:36:12.293]  You want to have a master's degree in the private banks, the new world order?
[02:36:12.293 --> 02:36:13.814]  Here it is, ladies and gentlemen.
[02:36:13.814 --> 02:36:14.654]  The Money Masters.
[02:36:14.654 --> 02:36:16.316]  How the banks create the world's money.
[02:36:16.316 --> 02:36:17.257]  How they rule us.
[02:36:17.257 --> 02:36:22.781]  I see in the near future a crisis approaching that unnerves me and causes me trouble for the safety of my country.
[02:36:22.781 --> 02:36:33.610]  Corporations have been enthroned and an era of corruption will follow and the money power of the country will endeavor to prolong its reign by working upon the prejudices of the people until the wealth is aggregated
[02:36:34.190 --> 02:36:38.654]  In a few hands, and the Republic destroyed Abraham Lincoln.
[02:36:38.654 --> 02:36:48.442]  Andrew Jackson, if Congress has the right under the Constitution to issue paper money, it has given them to use themselves, not to be delegated to individuals or corporations.
[02:36:49.482 --> 02:36:50.622]  Another one from Thomas Jefferson.
[02:36:50.622 --> 02:36:56.884]  The people ever allow private banks to control the issuance of their currency, first by inflation, then by deflation.
[02:36:56.884 --> 02:37:04.386]  The banks that will deprive the people of all property until their children wake up homeless on the continent their fathers conquered.
[02:37:04.386 --> 02:37:09.208]  The issuing power should be taken from the banks and restored to the people to whom it belongs.
[02:37:09.208 --> 02:37:09.908]  Thomas Jefferson.
[02:37:09.908 --> 02:37:10.448]  1995.
[02:37:10.448 --> 02:37:13.749]  It's like 30 bucks everywhere else, folks.
[02:37:13.749 --> 02:37:16.290]  This is a three and a half hour film on two DVDs.
[02:37:18.682 --> 02:37:23.547]  And then we've got Mark Dice's Resistance Manifesto, the new edition.
[02:37:23.547 --> 02:37:27.691]  The rise of the Fourth Reich, the Nazi system in control of the West.
[02:37:27.691 --> 02:37:28.732]  Just amazing film.
[02:37:28.732 --> 02:37:33.116]  Not Nazis, the fascist system.
[02:37:33.116 --> 02:37:34.897]  And then, oh, we have my journal.
[02:37:34.897 --> 02:37:36.699]  Can't sell that.
[02:37:36.699 --> 02:37:39.281]  This is just my little ideas and things, like a little Tweety Bird on it.
[02:37:39.281 --> 02:37:41.804]  Kind of like salacious crumb over there.
[02:37:42.614 --> 02:37:43.695]  All right, anyways, folks.
[02:37:43.695 --> 02:37:44.275]  Okay, that's it.
[02:37:44.275 --> 02:37:46.976]  I'm done plugging the books, the videos.
[02:37:46.976 --> 02:37:48.977]  We do need your support.
[02:37:48.977 --> 02:37:50.638]  The economy is falling apart, as you know.
[02:37:50.638 --> 02:37:52.578]  I won't lie to you.
[02:37:52.578 --> 02:37:56.820]  This is the way we wake people up and get the word out, and our video sales were down by 50%.
[02:37:56.820 --> 02:37:58.801]  Now they're down by 70%.
[02:37:58.801 --> 02:38:00.622]  I'm sure your business is doing the same, too.
[02:38:00.622 --> 02:38:02.503]  Everything is falling apart, ladies and gentlemen.
[02:38:02.503 --> 02:38:06.565]  That's why we are, as things get worse, we're expanding.
[02:38:06.565 --> 02:38:08.205]  We're moving forward.
[02:38:08.205 --> 02:38:11.687]  We're putting out our maximum effort to fight the New World Order.
[02:38:12.307 --> 02:38:21.350]  And we need your financial support to do it, so please fuel our little F-16s in the Info War so we can drop Info Bombs on the enemy and unlock mines.
[02:38:21.350 --> 02:38:21.710]  All right.
[02:38:21.710 --> 02:38:24.610]  You know what?
[02:38:24.610 --> 02:38:31.392]  Let's go to Mike, Ken, Mark, David, Justin, and then I'm going to get into all this military news and the U.S.
[02:38:31.392 --> 02:38:32.653]  Ambassador to the U.N.
[02:38:32.653 --> 02:38:37.774]  saying that this Israeli situation may be a prelude to an attack on Iran.
[02:38:37.774 --> 02:38:39.214]  Very serious.
[02:38:39.214 --> 02:38:40.775]  But let's give each caller a minute.
[02:38:42.259 --> 02:38:44.521]  Mike in New York, you're on the air, go ahead.
[02:38:44.521 --> 02:38:45.542]  Hello Alex, how are you?
[02:38:45.542 --> 02:38:47.044]  Good, sir.
[02:38:47.044 --> 02:38:52.309]  I heard you talking earlier today in your broadcast about E. coli and E. coli byproducts.
[02:38:52.309 --> 02:39:01.478]  I'm a biochemist and I work for Orthoclinical Diagnostics and I have worked with HP101, which is a non-pathogenic form of E. coli.
[02:39:01.478 --> 02:39:05.022]  There's many variants of E. coli, there's probably hundreds.
[02:39:05.933 --> 02:39:08.497]  You can't be sure of everything that's out there.
[02:39:08.497 --> 02:39:10.221]  I thought there were thousands of E. coli.
[02:39:15.476 --> 02:39:20.418]  Yeah, they get more mutations to find what they're looking for.
[02:39:20.418 --> 02:39:20.618]  Right.
[02:39:20.618 --> 02:39:23.720]  I used to produce fluorescent green protein with them.
[02:39:23.720 --> 02:39:26.161]  The neat thing about HP101 is they're like a blank slate.
[02:39:26.161 --> 02:39:29.723]  You transfect genes into them and they'll make whatever you tell them to make.
[02:39:29.723 --> 02:39:36.206]  We make human insulin with them, which was a remarkable breakthrough because we used to have to rely on pig insulin for people who are diabetic.
[02:39:36.206 --> 02:39:43.489]  Now we have huge 30,000 pound vats of E. coli who are just pumping out and producing insulin for people
[02:39:43.749 --> 02:39:50.393]  I know, but my point is, I tell the audience that aspartame is basically produced by E. coli, and they tell me I'm a liar!
[02:39:50.393 --> 02:39:58.739]  And that's why I'm calling, because it's absolutely true, that's what's going on, and what's really fearful is what else are they making with it.
[02:39:58.739 --> 02:40:04.022]  We've transfected genes, human genes, retroviruses, and the list goes on and on.
[02:40:04.022 --> 02:40:10.607]  I spoke with Dr. Bauer over at the U of R, University of Rochester, with a program that they have over there with their packaging viruses.
[02:40:11.987 --> 02:40:15.089]  This has become a cottage industry for them.
[02:40:15.089 --> 02:40:18.950]  They ship these things out and I'm sure it's proprietary type of technology.
[02:40:18.950 --> 02:40:38.438]  And they're taking the genetics they breed in the bacteria and injecting it into another life form and then into another life form and it's in our food and then I talked to top scientists, but you work in this, tell me if that's correct, that then it's randomly mutating once it's put in another organism and they have no idea and this is just going on everywhere.
[02:40:39.399 --> 02:40:41.373]  This is the most scary thing about biology.
[02:40:42.381 --> 02:41:01.792]  And that, you know, I don't fear nuclear, uh, affects nuclear war as much as, uh, or chemical warfare as I do biological warfare, because once the gene is out of the bottle, it's out of control, it's in nature's hands, you can't predict what it will do, what'll happen in the future, it could be the most horrific thing that nobody, the consequences that nobody ever expected.
[02:41:01.792 --> 02:41:09.237]  And this is the problem with, um, a lot of what's going on with the government's experimentation in this, the military's, the government and military's motives cannot be trusted.
[02:41:09.837 --> 02:41:14.401]  I remember the spider-goat work up at Plattsburgh Military Facility in New York State, which isn't far from me.
[02:41:14.401 --> 02:41:16.122]  I interviewed the director of that!
[02:41:16.122 --> 02:41:33.236]  Yeah, I have a colleague who worked at the Spider Thread Protein Project 15 years ago at the U of R. They could never get the protein right, so someone came up with a bright idea, and it was genius to transfect the spider's gene to make the protein into a larger domesticated animal, and they chose goats to do so because it's easier to extract the protein out of the milk.
[02:41:34.464 --> 02:41:35.885]  All these things are very easily done.
[02:41:35.885 --> 02:41:41.570]  There are biochemical companies out there that sell gene slicing and splicing agents.
[02:41:41.570 --> 02:41:44.452]  Slicing is cutting bonds or cutting cell walls and so on.
[02:41:44.452 --> 02:41:48.635]  In the biochemical world, this is a huge part of the industry and very common.
[02:41:48.635 --> 02:41:56.502]  It actually can be a very good thing and there's nothing wrong with it per se, but when you get into the abuses of this technology, the consequences are monstrous.
[02:41:56.502 --> 02:41:59.965]  And that's really a very fearful thing and everything has to be monitored very closely.
[02:42:00.832 --> 02:42:01.973]  What are people doing with it?
[02:42:01.973 --> 02:42:02.774]  What are they trying to do with it?
[02:42:02.774 --> 02:42:15.604]  And now they're building 36 level 4 bioweapons labs, moving them from Plum Island to Kansas, you know, moving them from the desert in Area 51 to San Antonio, Texas.
[02:42:15.604 --> 02:42:21.168]  And then who released the weaponized foot-and-mouth in 2000 that the government used to shut down the farms and ranches?
[02:42:21.168 --> 02:42:25.351]  They admit the government released it, but it was an accident.
[02:42:25.351 --> 02:42:29.154]  And, you know, the stuff we know... I mean, I'll see a blurb in the Washington Post about
[02:42:29.995 --> 02:42:45.861]  Human genes in chimpanzees in Argentina, and then you tell the public that and they don't believe you, or human-animal hybrids they already have, and you tell the public, and imagine if they're admitting all that, what is it we don't know about in black ops?
[02:42:46.161 --> 02:42:47.061]  Well, they're not telling you.
[02:42:47.061 --> 02:42:54.963]  I get emails quite often in the last year or so from the Department of Defense looking for people to work in their military projects.
[02:42:54.963 --> 02:42:58.264]  Have you heard the story about my dad, the dentist, oral surgeon?
[02:42:58.264 --> 02:43:08.186]  When I was in the mid-eighties, they tried to hire him and a bunch of other dentists, and it was a huge industrial underground-by-underground secret operation, double the money.
[02:43:08.186 --> 02:43:09.266]  He said no.
[02:43:09.266 --> 02:43:11.407]  But exactly, and see, they contacted you.
[02:43:11.407 --> 02:43:13.167]  I mean, how big are these projects?
[02:43:13.467 --> 02:43:14.990]  Yeah, there's so much going on.
[02:43:14.990 --> 02:43:17.835]  They said they would waive all the restrictions for military enrollment.
[02:43:19.003 --> 02:43:20.703]  Your age, everything else.
[02:43:20.703 --> 02:43:22.064]  They want a lot of people.
[02:43:22.064 --> 02:43:24.264]  They're looking for a lot of people to work on these projects.
[02:43:24.264 --> 02:43:27.865]  And what scares me a little bit about the projects are that it's like working for the mob.
[02:43:27.865 --> 02:43:28.805]  It's being married to the mob.
[02:43:28.805 --> 02:43:30.425]  You don't retire from these projects.
[02:43:30.425 --> 02:43:31.445]  They retire you from them.
[02:43:31.445 --> 02:43:38.746]  And now, they've got the Human Genome Project and the National Geographic Front to get everybody's roots.
[02:43:38.746 --> 02:43:43.867]  And they've been taking blood for 35 years from everybody born, that's now admitted, in a secret DNA database.
[02:43:43.867 --> 02:43:46.808]  They've got race-specific bioweapons for individuals.
[02:43:46.808 --> 02:43:47.488]  And I've told them,
[02:43:49.909 --> 02:44:00.338]  They've got these gene splicing factories where if they have their DNA, they now have entire factories that can engineer a bioweapon just for you individually.
[02:44:00.338 --> 02:44:02.940]  They have tailored, tailored systems.
[02:44:02.940 --> 02:44:03.761]  Tell folks about that.
[02:44:04.369 --> 02:44:07.612]  Well, even AIDS is very specific like that.
[02:44:07.612 --> 02:44:15.380]  AIDS was probably one of their first projects 30 years ago where it is more prone to non-Caucasians.
[02:44:15.380 --> 02:44:20.805]  There's different types of our antibody systems that are a little bit different from... Isn't it the coupler?
[02:44:20.805 --> 02:44:27.852]  I think it's coupler 19 and it becomes somewhat race specific.
[02:44:29.075 --> 02:44:36.520]  I mean, I would be very, from an academic perspective, very interested to see how far they've come with this.
[02:44:36.520 --> 02:44:45.447]  I went back to get re-educated in the biochemical field three years ago, go back and finish up with my Master's.
[02:44:46.394 --> 02:44:53.517]  It amazed me at how far that this industry and this technology has come in the last 10-15 years.
[02:44:53.517 --> 02:44:55.978]  And this is what we're teaching at the university level.
[02:44:55.978 --> 02:44:58.359]  What's going on in other laboratories?
[02:44:58.359 --> 02:45:04.062]  Yeah, to explain, what's being taught at the university level is generally five years behind the most advanced stuff.
[02:45:04.682 --> 02:45:32.374]  Well, I mean, I remember seeing 10 years ago, 11 years ago, glowing monkeys in Hong Kong, just like in Blade Runner, where he's going around buying genetically engineered snakes or whatever, or cockatoos, or owls, and this was like in the BBC, in the Washington Post, and then I remember seeing videos of glowing monkeys in the dark, they've got massive jellyfish genes in them, and then I cover it on air and listeners call me a liar!
[02:45:32.374 --> 02:45:34.035]  I mean, it's just denial!
[02:45:34.175 --> 02:45:40.884]  That technology is almost, that specific technology is almost, I've got to say, 15 to 20 years old.
[02:45:40.884 --> 02:45:48.575]  We use that for, right now in good scenarios, we use it in tracing movement of fluids and minerals through plant life.
[02:45:50.257 --> 02:45:57.944]  Yeah, instead of injecting radioactive dyes, we can use them as a visual indicator.
[02:45:57.944 --> 02:46:01.727]  Out in Cornell here in New York State, they use that quite extensively.
[02:46:01.727 --> 02:46:10.635]  It's less evasive in the field, and you can put it on the ground, plant life will absorb it, and it's not hazardous like using radioactive dyes.
[02:46:10.635 --> 02:46:12.337]  Hey, what do you think the chemtrails are?
[02:46:12.337 --> 02:46:13.158]  What do you think they're spraying?
[02:46:13.840 --> 02:46:22.768]  Uh, boy, I don't know, and I, you know, I'm real fearful of that, because again, here we go with polluting the environment, and it's something that you almost can't escape, because it gets in the air, the water, the soil.
[02:46:22.768 --> 02:46:24.650]  Well, here's the big problem.
[02:46:24.650 --> 02:46:25.610]  You're a scientist, and...
[02:46:27.478 --> 02:46:29.199]  We know the globalists are psychopaths.
[02:46:29.199 --> 02:46:30.499]  They've got everything compartmentalized.
[02:46:30.499 --> 02:46:32.460]  This was all set up to carry out eugenics.
[02:46:32.460 --> 02:46:36.482]  We know the Rockefellers in the 30s isolated that most cancer was viral.
[02:46:36.482 --> 02:46:39.743]  We know that they're weaponized cancer programs what created the HIV.
[02:46:39.743 --> 02:46:41.504]  That's declassified.
[02:46:41.504 --> 02:46:43.025]  And they are sworn to kill us.
[02:46:43.025 --> 02:46:45.546]  And I'm telling you, they're going to get their police state in place.
[02:46:46.286 --> 02:46:50.268]  They're going to get us, you know, under their control and they're going to kill everybody.
[02:46:50.268 --> 02:46:53.150]  And I want the cops and people listening, you think you're going to win?
[02:46:53.150 --> 02:46:55.071]  You think it's going to be fun rolling America?
[02:46:55.071 --> 02:46:56.352]  You know, taking us down?
[02:46:56.352 --> 02:46:58.052]  You got the power?
[02:46:58.052 --> 02:47:03.075]  You have no idea who you're working for and no idea what's happening to all of you.
[02:47:03.075 --> 02:47:04.356]  All of you.
[02:47:04.356 --> 02:47:13.981]  Well, like with your previous guest about, you know, purchasing food directly from farmers that hasn't been tampered with, hasn't been irradiated, hasn't been pasteurized.
[02:47:13.981 --> 02:47:15.602]  I grew up with non-pasteurized milk.
[02:47:17.381 --> 02:47:18.581]  I grew up on a family farm.
[02:47:18.581 --> 02:47:20.963]  We raised our own cattle, pigs.
[02:47:20.963 --> 02:47:22.764]  We made our own food.
[02:47:22.764 --> 02:47:26.306]  We made everything from our own mustard and things like this.
[02:47:26.306 --> 02:47:33.610]  I made maple syrup and we just lived off the land and that's what people really need to realize is just about everything you buy at the grocery store has been tampered with, altered.
[02:47:33.610 --> 02:47:39.474]  I can't believe the garbage when you read the label, how many chemicals are in just fruit juice or something that you buy.
[02:47:39.818 --> 02:47:43.562]  But you know they have all these byproducts left over from the oil industry.
[02:47:43.562 --> 02:47:44.683]  They've got to put them somewhere.
[02:47:44.683 --> 02:47:45.924]  Sodium fluoride to crack the oil.
[02:47:50.922 --> 02:47:58.685]  Yeah, it's just amazing that you find that in food or even just, you know, I shouldn't say food or consumable products because when you read a label it tells you it's poison not to swallow it.
[02:47:58.685 --> 02:48:00.645]  Hey, you know, I'd like to have you on as a guest.
[02:48:00.645 --> 02:48:08.208]  I don't know if you want to go public with your name or recommend any other doctors or scientists you think we ought to interview because all your info you're saying checks out.
[02:48:08.208 --> 02:48:09.268]  I'd love to have you on as a guest.
[02:48:09.268 --> 02:48:11.429]  You're really a well-spoken fellow.
[02:48:11.429 --> 02:48:15.050]  Will you email Aaron at InfoWars.com if you want to come on?
[02:48:15.050 --> 02:48:18.231]  Okay, just Aaron at InfoWars and it's A-A-R-O-N.
[02:48:20.971 --> 02:48:22.412]  A-A-R.
[02:48:22.412 --> 02:48:23.372]  Yep.
[02:48:23.372 --> 02:48:23.913]  Thank you, sir.
[02:48:23.913 --> 02:48:26.314]  We'll be right back.
[02:48:26.314 --> 02:48:29.236]  Are you one of the millions of sinus and allergy sufferers?
