[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[02:07:39.800 --> 02:07:48.800]  This wack job conspiracy theory, you know, like, like I get looked at is like it's just this outrageous conspiracy theory I have.
[02:07:48.800 --> 02:07:54.800]  Yeah, because mothers on average are trusting and they see the state and the government as offering something wonderful and good.
[02:07:54.800 --> 02:08:03.800]  So ask her do you know about black people getting injected with cephalus to ski printed off for do you know where the insert go to Walgreens say by law they got to give it to you.
[02:08:03.800 --> 02:08:04.800]  No money.
[02:08:04.800 --> 02:08:06.800]  Say I want the insert of your MMR shot.
[02:08:06.800 --> 02:08:08.800]  I want the insert of your Gardasil shot.
[02:08:08.800 --> 02:08:14.800]  They will bring you the insert by law and they will and take it to your wife and then read it to her.
[02:08:14.800 --> 02:08:29.800]  And just like you and you talked about, you know, the all the data that they kind of cherry pick and suppress, you know, and you mentioned Rod Rosenstein sister like this is this is alternative news that is new to me that I'm grateful that you're talking about because
[02:08:29.800 --> 02:08:36.800]  it's like if they were to really see the reality of how much is paid for them to suppress all the effects.
[02:08:36.800 --> 02:08:49.800]  And they knew the truth they would have a different take but this this whole like, you know, cover up is like it gets talked about alternatively and it's just like like oh wow that's way far fetched.
[02:08:49.800 --> 02:09:00.800]  Well five years ago all the top searches were mothers and fathers saying their kid died from it and doctors admitting it and scientists speaking out now 100 pages deep you can't find any of it.
[02:09:00.800 --> 02:09:13.800]  So we have to all share it with parents we have to do it and not just take it because what it is is a large population reduction cancer virus introduction program and also an IQ reduction program God bless you George.
[02:09:13.800 --> 02:09:15.800]  And that's the facts.
[02:09:15.800 --> 02:09:19.800]  And it's horrific to admit, but that's what the deep state is doing.
[02:09:19.800 --> 02:09:21.800]  That's their program.
[02:09:21.800 --> 02:09:22.800]  That's their operation.
[02:09:22.800 --> 02:09:24.800]  You can look at countries that have the highest vaccination rates.
[02:09:24.800 --> 02:09:26.800]  They have the highest levels of autism.
[02:09:26.800 --> 02:09:27.800]  And what is autism?
[02:09:27.800 --> 02:09:29.800]  It's your brain damaged child.
[02:09:29.800 --> 02:09:31.800]  Dr. Carlos in Canada.
[02:09:31.800 --> 02:09:32.800]  Thanks for calling Carlos.
[02:09:32.800 --> 02:09:33.800]  Welcome.
[02:09:33.800 --> 02:09:35.800]  Thank you, Alex.
[02:09:35.800 --> 02:09:36.800]  Two points.
[02:09:36.800 --> 02:09:41.800]  One to do with autism and vaccines and also the role of glyphosate.
[02:09:41.800 --> 02:09:53.800]  There is a Dr. Seneff S E and E F F that everyone should Google and read about the role that glyphosate plays in the microbiome of the of the humans.
[02:09:53.800 --> 02:09:59.800]  Now the the glyphosate itself doesn't work on the human channels.
[02:09:59.800 --> 02:10:13.800]  OK, but it works in the biota in your in your intestines and that creates toxins, which then get into your bloodstream and then affect effectively they make you like you were stoned or they were on some foreign toxic drug.
[02:10:13.800 --> 02:10:14.800]  Well, let's explain.
[02:10:14.800 --> 02:10:19.800]  And again, Bill and Melinda Gates always own and buy whatever the crisis is they're creating.
[02:10:19.800 --> 02:10:25.800]  They're spending tens of billions tax free, they got government money to find out about gut flora.
[02:10:25.800 --> 02:10:32.800]  And so exactly what happens is the vaccines cause an autoimmune response in the gut.
[02:10:32.800 --> 02:10:40.800]  Then you've also got the glyphosates in the gut that then kill the normal flora in the gut and then it causes a toxic chain reaction.
[02:10:40.800 --> 02:10:43.800]  And then the boys have don't have a strong a blood brain barrier.
[02:10:43.800 --> 02:10:47.800]  And so that's why they're more susceptible than girls, but it's frying girls brains as well.
[02:10:47.800 --> 02:10:56.800]  Yes. And if you know the Russian government did serious studies on glyphosate, all right, which they have not been reported in the West.
[02:10:56.800 --> 02:11:03.800]  And these studies led the government of Europe and some governments and want to boycott and to bang glyphosate.
[02:11:03.800 --> 02:11:06.800]  And the results have not been published in the West.
[02:11:06.800 --> 02:11:13.800]  So I think everyone has a responsibility to see because Russia now is totally organic and it's exports.
[02:11:13.800 --> 02:11:20.800]  That's right. Russia said six years ago, we are going to cut our defense budget and become the new organic command base of the planet.
[02:11:20.800 --> 02:11:24.800]  And if you tune into Russian TV, it's all about better filter your water.
[02:11:24.800 --> 02:11:28.800]  Glyphosate is in all the ground water in the U.S. I mean, I forget the number.
[02:11:28.800 --> 02:11:31.800]  It's something like 50 billion tons or something.
[02:11:31.800 --> 02:11:35.800]  Guys, search engine, how much glyphosates estimated to have been used worldwide.
[02:11:35.800 --> 02:11:37.800]  I think it's higher than that.
[02:11:37.800 --> 02:11:40.800]  And so you say it doesn't activate the body.
[02:11:40.800 --> 02:11:41.800]  Well, that's partially true.
[02:11:41.800 --> 02:11:50.800]  It has a bigger effect on obviously bacteria, fungus, yeast, mold and things and causes different gut flora in your stomach.
[02:11:50.800 --> 02:11:54.800]  Okay, so it's 1.8 million tons of glyphosates.
[02:11:54.800 --> 02:11:55.800]  This is an introduction worldwide.
[02:11:55.800 --> 02:11:58.800]  9.4 million tons of the chemical have been sprayed.
[02:11:58.800 --> 02:11:59.800]  And I think that's a lower number.
[02:11:59.800 --> 02:12:02.800]  But again, we're talking about millions of tons being sprayed.
[02:12:02.800 --> 02:12:10.800]  And it also grows certain types of tumors in men and women as well in the breast and in the testicles.
[02:12:10.800 --> 02:12:11.800]  So let's just say this.
[02:12:11.800 --> 02:12:12.800]  It's not good.
[02:12:12.800 --> 02:12:13.800]  Correct.
[02:12:13.800 --> 02:12:16.800]  Could you have Dr. Group look into this and give you a report?
[02:12:16.800 --> 02:12:17.800]  Because that would be very helpful.
[02:12:17.800 --> 02:12:18.800]  Yeah, we should get him on.
[02:12:18.800 --> 02:12:19.800]  You know, I've had medical doctors on.
[02:12:19.800 --> 02:12:24.800]  I've had medical doctors on about all of this many, many times and gone over it.
[02:12:24.800 --> 02:12:26.800]  I mean, glyphosate causes cancer.
[02:12:26.800 --> 02:12:28.800]  If you drink glyphosate, it'll kill you.
[02:12:28.800 --> 02:12:31.800]  But they had Monsanto reps run around forever.
[02:12:31.800 --> 02:12:33.800]  Same ones that gave us Agent Orange and all the rest of it.
[02:12:33.800 --> 02:12:38.800]  I mean, they dumped tons of dioxin in the Black neighborhood in Aniston, Alabama.
[02:12:38.800 --> 02:12:40.800]  I mean, I mean, they're bad news, folks.
[02:12:40.800 --> 02:12:42.800]  These are ruthless, crazy people.
[02:12:42.800 --> 02:12:45.800]  They were able to take over industry because they're psychotics.
[02:12:45.800 --> 02:12:48.800]  You keep saying, why are so many psychotics in control at the top?
[02:12:48.800 --> 02:12:51.800]  Because normal people wouldn't act like this.
[02:12:51.800 --> 02:12:54.800]  Then the psychotics link up together and it's over.
[02:12:54.800 --> 02:12:56.800]  Carlos, amazing points.
[02:12:56.800 --> 02:12:57.800]  Yes.
[02:12:57.800 --> 02:12:58.800]  One point on Trump.
[02:12:58.800 --> 02:12:59.800]  Yes.
[02:12:59.800 --> 02:13:00.800]  Okay.
[02:13:00.800 --> 02:13:01.800]  The last point on Trump is this.
[02:13:01.800 --> 02:13:02.800]  Okay.
[02:13:02.800 --> 02:13:09.800]  Quickly, when Hillary Clinton used the reset button with Russia, she established a relationship
[02:13:09.800 --> 02:13:13.800]  which permitted her to satisfy the needs for uranium for Russia.
[02:13:13.800 --> 02:13:20.800]  She is terrified and her, everyone that cooperated with this and its criminal cartel effectively,
[02:13:20.800 --> 02:13:28.800]  they're terrified that President Trump and Putin will talk privately about all of this stuff.
[02:13:28.800 --> 02:13:31.800]  And so they even want to know what the translators were translating when they were talking.
[02:13:31.800 --> 02:13:32.800]  Oh, exactly.
[02:13:32.800 --> 02:13:33.800]  Mueller delivered.
[02:13:33.800 --> 02:13:37.800]  Why do you think Hillary had Mueller when she was Secretary of State, when he was no longer
[02:13:37.800 --> 02:13:39.800]  FBI Director, delivered the uranium to Stockholm?
[02:13:39.800 --> 02:13:41.800]  It was to get them all involved in the corruption.
[02:13:41.800 --> 02:13:47.800]  And then again, he was given a job at the big Democrat law firm and given $3 million just
[02:13:47.800 --> 02:13:48.800]  that year.
[02:13:48.800 --> 02:13:50.800]  I was looking it up last night.
[02:13:50.800 --> 02:13:57.800]  After he delivered the uranium, he was given $3.6 million by the top Democratic law firm.
[02:13:57.800 --> 02:13:59.800]  So that's how it works.
[02:13:59.800 --> 02:14:04.800]  And then that way, oh, we got the former director delivering the uranium, he gets $3.6 million,
[02:14:04.800 --> 02:14:09.800]  Hillary gets $130 something million, the Podestas get a couple million a piece.
[02:14:09.800 --> 02:14:11.800]  I mean, wow, can you imagine?
[02:14:11.800 --> 02:14:13.800]  Think how sick that is.
[02:14:13.800 --> 02:14:18.800]  He should not wait for any outcomes of any investigations on collusion of nothing.
[02:14:18.800 --> 02:14:20.800]  There is a nothing burger.
[02:14:20.800 --> 02:14:25.800]  He should simply call President Putin, as he said, let's get together and it's a good
[02:14:25.800 --> 02:14:27.800]  thing for America and Russia to talk.
[02:14:27.800 --> 02:14:33.800]  But you see, President Trump has to learn to put a thing on his desk as the buck stops
[02:14:33.800 --> 02:14:36.800]  here, speak softly and carry big things.
[02:14:36.800 --> 02:14:37.800]  We understand that.
[02:14:37.800 --> 02:14:39.800]  I appreciate your call.
[02:14:39.800 --> 02:14:40.800]  Great points.
[02:14:40.800 --> 02:14:45.800]  In fact, I was reading up on Mueller last night, just refreshing my memory about how he asked
[02:14:45.800 --> 02:14:47.800]  for the job from Trump the day before.
[02:14:47.800 --> 02:14:52.800]  Trump said no, so he had his minion, Rosenstein, create the special counsel position the next
[02:14:52.800 --> 02:14:53.800]  day.
[02:14:53.800 --> 02:14:58.800]  And I was looking at how the top democratic firm that's funding four lawsuits against me,
[02:14:58.800 --> 02:15:04.800]  the law firm, it's been there to depose me, literally, is the law firm that he went to
[02:15:04.800 --> 02:15:07.800]  work for right after the uranium deal.
[02:15:07.800 --> 02:15:12.800]  And then I guess he sits on his fat ass and got $3.6 million.
[02:15:12.800 --> 02:15:16.800]  And see, that's what I'm talking to lawyers and people about how we're going to counter
[02:15:16.800 --> 02:15:17.800]  strike.
[02:15:17.800 --> 02:15:19.800]  They want to strike out at us with all their BS.
[02:15:19.800 --> 02:15:20.800]  Don't worry.
[02:15:20.800 --> 02:15:21.800]  Don't worry.
[02:15:21.800 --> 02:15:25.800]  We're all going to come out very, very, very fast.
[02:15:25.800 --> 02:15:26.800]  Yeah, there it is.
[02:15:26.800 --> 02:15:30.800]  Trump's River Miller conflict goes back to Oval Office meetings.
[02:15:30.800 --> 02:15:32.800]  Go to Mueller's Wikipedia.
[02:15:32.800 --> 02:15:34.800]  It says the law firm right there.
[02:15:34.800 --> 02:15:39.800]  It's just incredible how these white shoe boys think we're all done.
[02:15:39.800 --> 02:15:40.800]  Amazing.
[02:15:40.800 --> 02:15:41.800]  Amazing.
[02:15:41.800 --> 02:15:43.800]  All right.
[02:15:43.800 --> 02:15:48.800]  Howard, Manny, Judy, Michael, Tyler, Randy, James, Andrew, everybody.
[02:15:48.800 --> 02:15:51.800]  Tell his daughter, my vaccine injured.
[02:15:51.800 --> 02:16:20.800]  We'll talk to him straight ahead.
[02:16:21.800 --> 02:16:47.800]  We'll talk to him straight ahead.
[02:16:47.800 --> 02:17:13.800]  We'll talk to him straight ahead.
[02:17:13.800 --> 02:17:39.800]  We'll talk to him straight ahead.
[02:17:39.800 --> 02:18:05.800]  We'll talk to him straight ahead.
[02:18:05.800 --> 02:18:31.800]  We'll talk to him straight ahead.
[02:18:31.800 --> 02:18:58.800]  We'll talk to him straight ahead.
[02:18:58.800 --> 02:19:24.800]  We'll talk to him straight ahead.
[02:19:24.800 --> 02:19:50.800]  We'll talk to him straight ahead.
[02:19:50.800 --> 02:20:17.800]  We'll talk to him straight ahead.
[02:20:17.800 --> 02:20:46.800]  We'll talk to him straight ahead.
[02:20:46.800 --> 02:21:13.800]  We'll talk to him straight ahead.
[02:21:13.800 --> 02:21:39.800]  We'll talk to him straight ahead.
[02:21:39.800 --> 02:22:06.800]  We'll talk to him straight ahead.
[02:22:06.800 --> 02:22:32.800]  We'll talk to him straight ahead.
[02:22:32.800 --> 02:23:01.800]  We'll talk to him straight ahead.
[02:23:01.800 --> 02:23:02.800]  Hey, Alex.
[02:23:02.800 --> 02:23:05.800]  So, we got a long-time listener.
[02:23:05.800 --> 02:23:07.800]  Appreciate you taking my call.
[02:23:07.800 --> 02:23:12.800]  We brought our daughter in at around three and a half to get her D-tap booster shot.
[02:23:12.800 --> 02:23:21.800]  And a week later, she was starting to have seizures.
[02:23:21.800 --> 02:23:26.800]  No, it's hard to talk about what happened next.
[02:23:26.800 --> 02:23:28.800]  Well, Alex.
[02:23:28.800 --> 02:23:29.800]  Hello?
[02:23:29.800 --> 02:23:32.800]  Yeah, it sounds like we might have most callers say they can't hear me.
[02:23:32.800 --> 02:23:34.800]  Most guests say they can't either.
[02:23:34.800 --> 02:23:35.800]  I'm sorry.
[02:23:35.800 --> 02:23:36.800]  That's just the way our phones come in.
[02:23:36.800 --> 02:23:37.800]  But you're on the air.
[02:23:37.800 --> 02:23:39.800]  Go ahead.
[02:23:39.800 --> 02:23:40.800]  Okay.
[02:23:40.800 --> 02:23:42.800]  Tony, I appreciate your call.
[02:23:42.800 --> 02:23:44.800]  Yeah, so that's what...
[02:23:44.800 --> 02:23:48.800]  I mean, look, most kids, when they get sick from and have the convulsion,
[02:23:48.800 --> 02:23:51.800]  they're at the hospital, at the clinic, or in the car.
[02:23:51.800 --> 02:23:54.800]  And used to the doctors to say, oh, it's a bad reaction.
[02:23:54.800 --> 02:23:58.800]  Now they're told to go, ah, it's not us.
[02:23:58.800 --> 02:24:04.800]  And they call it a febrile seizure, the CDC.
[02:24:04.800 --> 02:24:07.800]  But oh, on the national news, it doesn't exist.
[02:24:07.800 --> 02:24:11.800]  It's a conspiracy theory.
[02:24:11.800 --> 02:24:13.800]  Manny in Texas, you're on the air.
[02:24:13.800 --> 02:24:17.800]  Go ahead.
[02:24:17.800 --> 02:24:20.800]  Well, sounds like we got a phone system problem.
[02:24:20.800 --> 02:24:22.800]  That's okay.
[02:24:22.800 --> 02:24:23.800]  We'll try to take...
[02:24:23.800 --> 02:24:24.800]  Is it better now?
[02:24:24.800 --> 02:24:25.800]  We're done.
[02:24:25.800 --> 02:24:26.800]  Thank you.
[02:24:26.800 --> 02:24:27.800]  Appreciate it.
[02:24:27.800 --> 02:24:28.800]  Time warps with calls.
[02:24:28.800 --> 02:24:31.800]  It's why I quit taking calls for years to be once in a while,
[02:24:31.800 --> 02:24:32.800]  because I just...
[02:24:32.800 --> 02:24:35.800]  It's something we can't master, something we can't do.
[02:24:35.800 --> 02:24:37.800]  It's an audio issue.
[02:24:37.800 --> 02:24:41.800]  When I call in myself as a guest, I can't hear jack crap.
[02:24:41.800 --> 02:24:45.800]  And it's something that no matter how much money I've got,
[02:24:45.800 --> 02:24:50.800]  or how much engineering I've got, we just can't get you audio.
[02:24:50.800 --> 02:24:53.800]  And I apologize for that.
[02:24:53.800 --> 02:24:55.800]  So no calls.
[02:24:55.800 --> 02:24:56.800]  Bingo.
[02:24:56.800 --> 02:24:58.800]  Nice circle of hell for me, though.
[02:24:58.800 --> 02:24:59.800]  I can tell you that, man.
[02:24:59.800 --> 02:25:00.800]  I really want to hear your calls.
[02:25:00.800 --> 02:25:02.800]  I really want to humanize you.
[02:25:02.800 --> 02:25:05.800]  I really want to talk to you.
[02:25:05.800 --> 02:25:07.800]  You know, I've thought about doing something like Skype calls
[02:25:07.800 --> 02:25:09.800]  or something where you just take a couple calls at a time
[02:25:09.800 --> 02:25:12.800]  and people Skype in and, you know, get people on the air.
[02:25:12.800 --> 02:25:15.800]  That would be a whole other level of that other people really
[02:25:15.800 --> 02:25:18.800]  haven't done on a big radio slash TV program.
[02:25:18.800 --> 02:25:22.800]  That would be something else, wouldn't it?
[02:25:22.800 --> 02:25:25.800]  You know, since I brought up Bill Maher,
[02:25:25.800 --> 02:25:28.800]  let's go ahead and do Bill Maher.
[02:25:28.800 --> 02:25:30.800]  I mean, you talk about a monster.
[02:25:30.800 --> 02:25:32.800]  He talks about how he loves kids all day
[02:25:32.800 --> 02:25:34.800]  and says Alex Jones was mean to the Sandy Hook kids,
[02:25:34.800 --> 02:25:36.800]  but that doesn't show any proof.
[02:25:36.800 --> 02:25:40.800]  But then he talks about, I want more death on the highway.
[02:25:40.800 --> 02:25:41.800]  I want more suicide.
[02:25:41.800 --> 02:25:43.800]  I want less people.
[02:25:43.800 --> 02:25:45.800]  And then he goes to this whole rant,
[02:25:45.800 --> 02:25:46.800]  bad-mouthing the president.
[02:25:46.800 --> 02:25:48.800]  I'm not going to play at all because there's so many expletives.
[02:25:48.800 --> 02:25:50.800]  We have to beep it.
[02:25:50.800 --> 02:25:53.800]  And then he says, all these horrible things about the Covington kids,
[02:25:53.800 --> 02:25:57.800]  a week after the lawyers already warned people
[02:25:57.800 --> 02:26:00.800]  that you're going to get sued.
[02:26:00.800 --> 02:26:03.800]  Now, Maher thinks he can just sit here and, you know,
[02:26:03.800 --> 02:26:05.800]  call them punks and all this.
[02:26:05.800 --> 02:26:07.800]  The point is, it's playing into the lie
[02:26:07.800 --> 02:26:09.800]  that they went and confronted the elder.
[02:26:09.800 --> 02:26:11.800]  So here's Bill Maher.
[02:26:11.800 --> 02:26:13.800]  Ask me, this kid should have done what everyone does
[02:26:13.800 --> 02:26:14.800]  during a drum solo.
[02:26:14.800 --> 02:26:15.800]  Leave.
[02:26:15.800 --> 02:26:22.800]  But, I mean, I don't spend a lot of time,
[02:26:22.800 --> 02:26:27.800]  I must tell you, around Catholic school children.
[02:26:27.800 --> 02:26:39.800]  But I do not get what Catholic priests see in these kids.
[02:26:39.800 --> 02:26:40.800]  So there you go.
[02:26:40.800 --> 02:26:42.800]  And he said a lot more there as well.
[02:26:42.800 --> 02:26:44.800]  But, you know, why are these Catholic priests?
[02:26:44.800 --> 02:26:45.800]  What do they see in kids?
[02:26:45.800 --> 02:26:47.800]  Well, let me tell you.
[02:26:47.800 --> 02:26:52.800]  They see vampirically ruining someone's future and stealing their essence.
[02:26:52.800 --> 02:26:53.800]  Spiritually.
[02:26:53.800 --> 02:26:55.800]  Most of the Catholic priests that do this
[02:26:55.800 --> 02:26:58.800]  have been found in the actual reports that the media covers up
[02:26:58.800 --> 02:27:00.800]  but are in the police reports in the grand juries.
[02:27:00.800 --> 02:27:03.800]  Just in Pennsylvania where there were 3,000 plus priests,
[02:27:03.800 --> 02:27:05.800]  admittedly raping children,
[02:27:05.800 --> 02:27:10.800]  is that they get them in there and do satanic rituals with them inside the church.
[02:27:10.800 --> 02:27:14.800]  They get them in there and they do satanic rituals inside the church.
[02:27:14.800 --> 02:27:19.800]  And the whole point is blaspheming God, ruining a youngster's life.
[02:27:19.800 --> 02:27:21.800]  And like the Pope said, when people complain about being raped,
[02:27:21.800 --> 02:27:25.800]  he says, hey, you're gay, it's okay.
[02:27:25.800 --> 02:27:27.800]  Remember that last year here in the U.S.?
[02:27:27.800 --> 02:27:28.800]  A man said, I was raped.
[02:27:28.800 --> 02:27:29.800]  He said, it's okay, you're gay.
[02:27:29.800 --> 02:27:31.800]  We gave you the gift of being gay.
[02:27:31.800 --> 02:27:34.800]  And so what it is, is they're creating the proclivity for a young person
[02:27:34.800 --> 02:27:39.800]  to have that sexual orientation from being sexually abused.
[02:27:39.800 --> 02:27:43.800]  So they're getting more folks on the team.
[02:27:43.800 --> 02:27:44.800]  You understand?
[02:27:44.800 --> 02:27:45.800]  That's what it is.
[02:27:45.800 --> 02:27:50.800]  It's pedophiles institutionally get together because they like kids
[02:27:50.800 --> 02:27:53.800]  and they go after them.
[02:27:53.800 --> 02:27:54.800]  And that's what they do.
[02:27:54.800 --> 02:27:57.800]  And then Bill Marr gets up there, he's got his speech.
[02:27:57.800 --> 02:27:59.800]  I'm not calling for censoring.
[02:27:59.800 --> 02:28:06.800]  And he says that I need to be dealt with and all this other garbage in the past.
[02:28:06.800 --> 02:28:08.800]  But at least now he says I have free speech.
[02:28:08.800 --> 02:28:11.800]  But I got to tell you, man, that's truly sick.
[02:28:11.800 --> 02:28:13.800]  And it's out of control.
[02:28:13.800 --> 02:28:16.800]  And you see it all over the news, all over Netflix, all over TV.
[02:28:16.800 --> 02:28:18.800]  Pedophile this is good.
[02:28:18.800 --> 02:28:19.800]  Pedophile that is good.
[02:28:19.800 --> 02:28:22.800]  Salon, Vice, New York Times.
[02:28:22.800 --> 02:28:24.800]  Pedophiles are people too.
[02:28:24.800 --> 02:28:28.800]  They are coming out in the open and making jokes in the final frontier
[02:28:28.800 --> 02:28:30.800]  about children and sex.
[02:28:30.800 --> 02:28:32.800]  We got another guest popping in.
[02:28:32.800 --> 02:28:34.800]  We'll see if we get the phones working because it's always the same.
[02:28:34.800 --> 02:28:35.800]  And I love the crew.
[02:28:35.800 --> 02:28:38.800]  It's like, I ought to get Sherlock Holmes in here.
[02:28:38.800 --> 02:28:41.800]  You know, callers can't hear, but I'm told it all works great.
[02:28:41.800 --> 02:28:42.800]  I call in.
[02:28:42.800 --> 02:28:44.800]  I can't usually hear.
[02:28:44.800 --> 02:28:46.800]  But hey, I'm an idiot.
[02:28:46.800 --> 02:28:47.800]  And I'm half deaf too.
[02:28:47.800 --> 02:28:48.800]  We'll be right back.
[02:28:48.800 --> 02:28:49.800]  We'll see what happens.
[02:28:49.800 --> 02:29:17.800]  In FullWords.com, NewsWords.com, stay with us.
[02:29:17.800 --> 02:29:20.800]  I was 17 when I became addicted to heroin and meth.
[02:29:20.800 --> 02:29:23.800]  I thought I could quit on my own, but I couldn't.
[02:29:23.800 --> 02:29:26.800]  It hit me when I was arrested.
[02:29:26.800 --> 02:29:28.800]  Get sober now.
[02:29:28.800 --> 02:29:31.800]  Your private insurance may cover costs and we'll get you here.
[02:29:31.800 --> 02:29:32.800]  It's simple.
[02:29:32.800 --> 02:29:35.800]  Just call Elite Rehab Placement right now.
[02:29:35.800 --> 02:29:36.800]  Please don't wait.
[02:29:36.800 --> 02:29:38.800]  Your life matters to us.
[02:29:38.800 --> 02:29:49.800]  Call 800-213-9264.
[02:29:49.800 --> 02:29:51.800]  Call right now before it's too late.
[02:29:51.800 --> 02:29:58.800]  800-213-9264.
[02:29:58.800 --> 02:30:01.800]  When it comes to rebuilding your energy, convenience is key.
[02:30:01.800 --> 02:30:05.800]  While coffee, candy, and other sugary products can give you a short boost,
[02:30:05.800 --> 02:30:08.800]  the crash can leave you more tired than ever.
[02:30:08.800 --> 02:30:12.800]  TurboForce from InfoWarsLife is a powerful mix-in energy packet
[02:30:12.800 --> 02:30:15.800]  that utilizes vitamins, amino acids, and extracts
[02:30:15.800 --> 02:30:18.800]  used for hundreds of years to provide you focus, clarity,
[02:30:18.800 --> 02:30:23.800]  and a boost of energy on the go.
[02:30:23.800 --> 02:30:26.800]  Simply take a packet, mix it into the indicated amount of water,
[02:30:26.800 --> 02:30:29.800]  and enjoy.
[02:30:29.800 --> 02:30:32.800]  With 14 servings per box for a two-week or more supply,
[02:30:32.800 --> 02:30:37.800]  this is the formula to stock up on whenever you need a boost.
[02:30:37.800 --> 02:30:40.800]  Perfect for work, in the car, or at home.
[02:30:40.800 --> 02:30:43.800]  TurboForce is the ultimate answer to a sluggish day.
[02:30:43.800 --> 02:30:45.800]  Don't let your day slow you down.
[02:30:45.800 --> 02:30:55.800]  Perk Up with TurboForce at InfowarsStore.com.
[02:30:55.800 --> 02:30:57.800]  Our grandparents, the great grandparents,
[02:30:57.800 --> 02:30:59.800]  knew that they canned food during the fall,
[02:30:59.800 --> 02:31:01.800]  so they'd have it during the winter.
[02:31:01.800 --> 02:31:04.800]  And that's what I'm talking about at InfowarsStore.com.
[02:31:04.800 --> 02:31:07.800]  With Infowars Select, it's the full spectrum
[02:31:07.800 --> 02:31:09.800]  of my patriots' supply on the top,
[02:31:09.800 --> 02:31:11.800]  most respected companies out there.
[02:31:11.800 --> 02:31:13.800]  But because I private label it,
[02:31:13.800 --> 02:31:16.800]  I'm able to go below cost on contracts
[02:31:16.800 --> 02:31:19.800]  that all their other distributors aren't able to do.
[02:31:19.800 --> 02:31:21.800]  But I want to be a market leader,
[02:31:21.800 --> 02:31:24.800]  and I want you to have storeable food so it's a total win-win.
[02:31:24.800 --> 02:31:26.800]  We have those incredible sell prices back
[02:31:26.800 --> 02:31:30.800]  at InfowarsStore.com on Infowars Select storeable foods.
[02:31:30.800 --> 02:31:32.800]  They've got special diet foods.
[02:31:32.800 --> 02:31:34.800]  They've got three-month supplies, your supplies,
[02:31:34.800 --> 02:31:36.800]  weak emergency supplies.
[02:31:36.800 --> 02:31:38.800]  They've got so many great products there.
[02:31:38.800 --> 02:31:40.800]  They've got a three-year supply.
[02:31:40.800 --> 02:31:42.800]  If stuff happens, you can feed your whole block.
[02:31:42.800 --> 02:31:44.800]  It's up to us to be self-sufficient.
[02:31:44.800 --> 02:31:47.800]  If you're buying war bonds, bring you great products,
[02:31:47.800 --> 02:31:49.800]  and together, with God's help, we are unstoppable.
[02:31:49.800 --> 02:31:51.800]  InfowarsStore.com and Infowars Select,
[02:31:51.800 --> 02:31:55.800]  high-quality storeable foods, powered by my patriots' supply.
[02:31:55.800 --> 02:32:01.800]  We need to go back and revisit the foundations of our freedom.
[02:32:01.800 --> 02:32:04.800]  Our freedoms don't consist of the things that are enumerated
[02:32:04.800 --> 02:32:05.800]  on a piece of paper.
[02:32:05.800 --> 02:32:07.800]  It consists of the things that we're willing to fight for.
[02:32:07.800 --> 02:32:09.800]  The First Amendment, the Bill of Rights,
[02:32:09.800 --> 02:32:12.800]  the rest of the Bill of Rights are prohibitions.
[02:32:12.800 --> 02:32:15.800]  They're prohibitions against powerful organizations
[02:32:15.800 --> 02:32:19.800]  and individuals taking those God-given rights from us as individuals.
[02:32:19.800 --> 02:32:25.800]  You better understand that, because they're taking them right now.
[02:32:25.800 --> 02:32:27.800]  We have seen what they want to do.
[02:32:27.800 --> 02:32:29.800]  They called it UN Agenda 21.
[02:32:29.800 --> 02:32:31.800]  Now they call it the UN 2030 Agenda.
[02:32:31.800 --> 02:32:34.800]  They want everybody off of the rural lands.
[02:32:34.800 --> 02:32:36.800]  They want people out of the suburbs.
[02:32:36.800 --> 02:32:38.800]  They want to pack everybody into the cities,
[02:32:38.800 --> 02:32:42.800]  because that's where it is easiest for them to control everyone.
[02:32:42.800 --> 02:32:44.800]  It's The David Knight Show.
[02:32:44.800 --> 02:32:49.800]  Never missed your show, any day.
[02:32:49.800 --> 02:32:51.800]  I mean, never.
[02:32:51.800 --> 02:33:16.800]  At Infowars.com, Ford Slash Show.
[02:33:16.800 --> 02:33:45.800]  It's Alex Jones.
[02:33:45.800 --> 02:33:47.800]  All across the world,
[02:33:47.800 --> 02:33:51.800]  nationalists and populist groups are taking action.
[02:33:51.800 --> 02:33:53.800]  All across the world.
[02:33:53.800 --> 02:33:55.800]  They're not getting any support from the left.
[02:33:55.800 --> 02:33:57.800]  They're not getting any support from Soros,
[02:33:57.800 --> 02:33:59.800]  because he wants authoritarianism.
[02:33:59.800 --> 02:34:01.800]  He wants a class of civilizations.
[02:34:01.800 --> 02:34:04.800]  He doesn't want people that have a culture and have a system.
[02:34:04.800 --> 02:34:07.800]  Our own Dan Lyman just got finished covering
[02:34:07.800 --> 02:34:09.800]  the incredible developments at Davos.
[02:34:09.800 --> 02:34:11.800]  When I say incredible, on Soros and China.
[02:34:11.800 --> 02:34:14.800]  But first, before we go to him and then your calls,
[02:34:14.800 --> 02:34:16.800]  you're in a moment.
[02:34:16.800 --> 02:34:18.800]  Let's go ahead and go to that clip here,
[02:34:18.800 --> 02:34:22.800]  where Max Kaiser talks about the yellow vest.
[02:34:22.800 --> 02:34:24.800]  Cultural impact.
[02:34:24.800 --> 02:34:26.800]  And what we're seeing culturally,
