[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[02:21:18.058 --> 02:21:35.126]  My only frustration is, I legitimately, Nick, have studied World War II, and also had family that was in World War II, and know that a bunch of the top Nazis tried to kill Hitler, like Erwin Rommel and people, and that Stalin admired Hitler, and all the rest of this.
[02:21:35.126 --> 02:21:36.807]  I don't like Stalin either.
[02:21:36.807 --> 02:21:45.351]  And so, just because what was done to Germans was wrong in World War I, and there were also war crimes against Germans done.
[02:21:46.101 --> 02:21:48.842]  In my view, let's just get the Hitler thing out of the way.
[02:21:48.842 --> 02:21:53.243]  Do you actually admire Adolf Hitler?
[02:21:53.243 --> 02:21:55.124]  In some ways, yes.
[02:21:55.124 --> 02:22:01.065]  And I'm not a National Socialist, and I wouldn't identify that way because I'm a Christian.
[02:22:01.065 --> 02:22:04.066]  So I'm not any kind of a Socialist or a Fascist.
[02:22:04.066 --> 02:22:06.787]  I, like Ye, believe we should have a Christian government.
[02:22:06.787 --> 02:22:08.067]  It's a Christian country.
[02:22:08.067 --> 02:22:09.327]  God runs the world.
[02:22:09.327 --> 02:22:11.028]  We should have a government in accordance with that.
[02:22:12.054 --> 02:22:20.722]  But honestly, I don't share this histrionic Jewish view that Hitler is this exceptionally boogeyman, evil figure.
[02:22:20.722 --> 02:22:23.184]  The 20th century is full of violence.
[02:22:23.184 --> 02:22:31.992]  The 20th century is full of authoritarian ideologies run rampant, and that's a product of modernism and liberalism and all kinds of trends.
[02:22:31.992 --> 02:22:36.296]  But this idea that my life is in any way impacted by
[02:22:37.136 --> 02:22:51.388]  Hitler, I have a lot more animosity for the ADL, I have a lot more animosity for the ZOA, I have a lot more animosity for the groups that have actually made my life and the life of my family materially worse, personally and across the board with the society.
[02:22:51.388 --> 02:22:56.672]  I'm sick of being expected by Jewish media and Holocaust museums to beat my chest.
[02:22:57.412 --> 02:23:01.374]  Like you kind of did the other week.
[02:23:01.374 --> 02:23:07.657]  It's like this weird, it's like 1984, you know, when they put the face on the TV and everybody's got to get all wound up.
[02:23:12.879 --> 02:23:23.526]  I legitimately hate Stalin, hate Mao, hate Hitler, hate the ADL, hate Barack Obama, hate the Democratic Party, and I've always, remember me on Piers Morgan?
[02:23:23.526 --> 02:23:29.550]  I didn't get a call from the ADL when I was on Piers Morgan, the most popular thing he ever did, the biggest thing CNN did that year, they got a
[02:23:30.590 --> 02:23:42.557]  The ratings, they're like 50 million viewers for that, they're having a show at like 10 million back then, and I said Hitler took the guns, Stalin took the guns, Mao took the guns, and if you try to take our guns, 1776 will commence again.
[02:23:42.557 --> 02:23:45.018]  I've always criticized Hitler.
[02:23:45.018 --> 02:23:52.702]  I've made documentaries about the Bush family helping fund Hitler and the British royalty, so where we have a sticking point is that
[02:23:53.729 --> 02:24:01.467]  Alex got the call as you sent out on social media, and I'm just curious, do you think I actually got a call to come out and criticize Hitler?
[02:24:01.467 --> 02:24:02.569]  You think that's a new thing for me?
[02:24:03.746 --> 02:24:07.508]  No, no, I know that you're very vocally anti-Hitler over the years.
[02:24:07.508 --> 02:24:21.154]  I know that you're more of a libertarian, and so you have this view of history which lumps in together Mao, Stalin, Hitler as authoritarians versus freedom fighters, capitalists, you know, George Washington, Thomas Jefferson.
[02:24:21.154 --> 02:24:23.615]  So I'm familiar with your show and all of that.
[02:24:23.615 --> 02:24:25.436]  And honestly, it was a little bit glib.
[02:24:25.436 --> 02:24:26.656]  You called me baby Hitler.
[02:24:26.656 --> 02:24:27.797]  I said you got a call.
[02:24:28.498 --> 02:24:33.375]  You know, quite honestly, it's banter, but it is well known that you don't really talk about this issue.
[02:24:33.375 --> 02:24:34.800]  You're more talking about...
[02:24:35.572 --> 02:24:40.817]  New World Order, Bill Gates, and these sort of obscure conspiracy theories like Bilderberg.
[02:24:40.817 --> 02:24:50.526]  My show's a lot more focused on, you know, what you might call the Jewish question, which is what are we to do about this Jewish elite, these Jewish gangsters that run our Christian country?
[02:24:50.526 --> 02:24:59.874]  And I think that's a debate that should be had because there's no doubt that leftism and the whole globalist power grab has wrapped itself in Judaism as its defense
[02:25:00.555 --> 02:25:12.443]  And I would call the FTX folks and the federal regulators who all, you know, involved in this basically are Jewish, who are out there doing that, are criminals who happen to be Jewish, who are hiding behind Judaism.
[02:25:12.443 --> 02:25:14.825]  But I don't then blame the average Jew for that.
[02:25:14.825 --> 02:25:15.745]  So I think that's the difference.
[02:25:15.745 --> 02:25:26.012]  Kind of like when Ye and you were on with Gavin McInnes, and he's like, well, you know, blacks commit as proportionate more crime than the other group, but you don't just blame the average black person.
[02:25:26.012 --> 02:25:28.153]  Do you just not trust a Jew when they come in the room?
[02:25:28.153 --> 02:25:30.315]  And Ye goes, yeah, I just I don't, I don't, you know,
[02:25:30.856 --> 02:25:41.512]  To me, that's what I'm saying is, I do believe in Martin Luther King, that we judge individuals by who they are and what they do, not by what color they are or where they're from.
[02:25:41.512 --> 02:25:42.854]  But, go ahead.
[02:25:44.379 --> 02:25:49.523]  I agree with that in principle, but we also have to understand that it's not that these people happen to be Jewish.
[02:25:49.523 --> 02:25:52.026]  I think that's the big source of the disagreement.
[02:25:52.026 --> 02:26:00.753]  What we're told in the last few weeks, when Ye makes these remarks about the Jewish media, or Jewish Hollywood, or so on, is, well, these are individuals.
[02:26:00.753 --> 02:26:07.198]  These are people that we've got to name them individually, and these are people that happen to be bad, or rather they are bad and happen to be Jewish.
[02:26:08.160 --> 02:26:12.924]  But I think there's something about their Jewishness that makes it this way.
[02:26:12.924 --> 02:26:14.626]  And I think that that is really the source.
[02:26:15.322 --> 02:26:16.143]  Of the disagreement.
[02:26:16.143 --> 02:26:20.207]  My morality is not bound up in this authoritarian versus freedom thing.
[02:26:20.207 --> 02:26:22.209]  It's about God versus the devil.
[02:26:22.209 --> 02:26:30.818]  And the curious fact about the Jewish religion, which all the Jewish people that came to America in the last century as immigrants were religious.
[02:26:30.818 --> 02:26:37.264]  When the people came over at Ellis Island in the late 19th and early 20th century, they came from these rabbinical communities.
[02:26:37.264 --> 02:26:38.386]  They were all very religious.
[02:26:39.026 --> 02:26:48.375]  And so you've got all the Jews in America, elite, not elite, they're one, two, or three generations removed from these very religious, rabbinical Jewish communities.
[02:26:48.375 --> 02:26:54.801]  What's curious about the Jewish religion is it's the only one that has an extreme antipathy for Jesus Christ.
[02:26:54.801 --> 02:26:57.083]  Muslims revere Jesus as a prophet.
[02:26:57.083 --> 02:27:00.987]  Buddhists, Hindus, they revere Jesus as a wise teacher.
[02:27:00.987 --> 02:27:02.889]  We all agree that Jesus existed.
[02:27:03.487 --> 02:27:09.799]  It's only the Jews that say that Jesus is burning in hell, boiling in semen and excrement, and say that his mother is a whore.
[02:27:09.799 --> 02:27:11.783]  And so you take these people that come from Europe...
[02:27:12.558 --> 02:27:17.501]  And again, it's their children, grandchildren, great-grandchildren who are now in charge of the elite institutions.
[02:27:17.501 --> 02:27:19.041]  Well, sure, I mean, Nick, I'll say this.
[02:27:19.041 --> 02:27:23.064]  Ethan Klein came out on this huge podcast and said, I would murder Jesus again.
[02:27:23.064 --> 02:27:25.365]  Jews should, you know, basically kill Christians.
[02:27:25.365 --> 02:27:26.786]  And you didn't say kill Jews.
[02:27:26.786 --> 02:27:30.107]  So he went further than you and yay, and no one decried it.
[02:27:30.107 --> 02:27:30.888]  And that is wrong.
[02:27:30.888 --> 02:27:32.188]  He said, I'm Jewish.
[02:27:32.188 --> 02:27:33.249]  I want to kill Jesus again.
[02:27:33.249 --> 02:27:33.889]  We should kill Jews.
[02:27:33.889 --> 02:27:35.050]  We should basically kill Christians.
[02:27:35.610 --> 02:27:38.951]  And when he said it, it was like cute and funny and the media loved it.
[02:27:38.951 --> 02:27:40.471]  You didn't call for violence against anybody.
[02:27:40.471 --> 02:27:46.112]  So on a scale of me disagreeing with you, you're a 1 and Klein and the ADL are a 10.
[02:27:46.112 --> 02:27:47.832]  Look, I'm not friends with the ADL.
[02:27:47.832 --> 02:27:48.732]  I get what you're saying.
[02:27:48.732 --> 02:27:53.433]  I'm just saying that any authoritarian movement I think is extremely dangerous.
[02:27:53.433 --> 02:27:55.473]  And we're not faced with Hitler today.
[02:27:55.473 --> 02:27:57.754]  We're faced with the ADL and other authoritarian movements.
[02:27:57.754 --> 02:28:01.754]  So I think coming out and invoking Hitler almost gives those groups cover.
[02:28:01.754 --> 02:28:04.435]  And now, as you said, they're trying to get $500 million from Congress.
[02:28:06.109 --> 02:28:07.670]  Yeah, I understand where you're coming from.
[02:28:07.670 --> 02:28:10.993]  I think maybe that's more of a tactical disagreement.
[02:28:10.993 --> 02:28:14.356]  And I told you over the weekend, maybe this is my youth.
[02:28:14.356 --> 02:28:20.942]  I'm willing to humble myself and say I'm young and zealous and idealistic, as everybody can relate to that.
[02:28:20.942 --> 02:28:23.124]  But I do think I might be onto something here, which is that
[02:28:23.724 --> 02:28:28.031]  We've watched for 20-30 years and things just keep getting worse.
[02:28:28.031 --> 02:28:29.433]  And we saw what happened in 2020.
[02:28:29.433 --> 02:28:31.276]  The election was stolen.
[02:28:31.276 --> 02:28:32.778]  The whole first term was rigged.
[02:28:32.778 --> 02:28:35.161]  And Trump comes back even weaker than before.
[02:28:35.161 --> 02:28:37.305]  And I'm like, when are we going to confront head-on?
[02:28:38.064 --> 02:28:39.506]  The Fundamental Problems.
[02:28:39.506 --> 02:28:41.088]  When are we going to head on to the Fundamental Problems?
[02:28:41.088 --> 02:28:45.953]  We'll talk about what you think the Fundamental Problems are when we come back, and then I'll give you my response to that and more.
[02:28:45.953 --> 02:28:47.435]  Nick Fuentes is our guest.
[02:28:47.435 --> 02:28:50.979]  We're having a debate, we're having a discussion here, which the system doesn't want.
[02:28:50.979 --> 02:28:53.422]  But we're having it, and it's unfiltered and uncensored.
[02:28:53.422 --> 02:28:55.485]  He's saying whatever he wants, I'm saying whatever I want.
[02:28:58.510 --> 02:29:04.913]  I have an extremely important message to all of my fellow InfoWarriors here in the United States and around the world.
[02:29:04.913 --> 02:29:09.535]  We are so excited to announce InfoWars MD.
[02:29:09.535 --> 02:29:12.336]  It turns out the top company in the U.S.
[02:29:12.336 --> 02:29:14.557]  for supplements is owned by a Patreon.
[02:29:14.557 --> 02:29:21.320]  And it turns out they're willing to give us deals that no one else is getting because they want to support InfoWars and keep us on the air.
[02:29:21.320 --> 02:29:24.702]  This deal has been a year in the making and finally the products are being brought to market.
[02:29:25.342 --> 02:29:36.005]  Up to 50% off what you get on top national brands that are the highest rated under the InfoWars label, InfoWars MD, exclusively at InfoWarsStore.com.
[02:29:36.005 --> 02:29:41.246]  Check out the first of 10 new products at InfoWarsStore.com.
[02:29:41.246 --> 02:29:50.608]  Whether it's turmeric, or whether it's joint care, or whether it is super greens, we have them all at InfoWarsStore.com under the banner
[02:29:51.048 --> 02:29:53.349]  Of InfoWars MD.
[02:29:53.349 --> 02:29:56.889]  This is the best deal out there and it keeps InfoWars on the air.
[02:29:56.889 --> 02:29:58.490]  InfoWars MD.
[02:29:58.490 --> 02:30:19.114]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[02:30:19.634 --> 02:30:32.745]  What made any resistance to it possible was people continuing to support Infowars despite the massive lawfare being waged against Infowars, despite the media defamatory, libelous campaign against Infowars.
[02:30:32.745 --> 02:30:41.613]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps Infowars on the air.
[02:30:41.613 --> 02:30:47.858]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[02:30:48.118 --> 02:30:49.559]  So continue to do it.
[02:30:49.559 --> 02:30:51.740]  Go to places like Infowarsstore.com.
[02:30:51.740 --> 02:30:53.841]  Go to the places like Save Infowars.
[02:30:53.841 --> 02:30:58.783]  Continue to keep Infowars alive, because in the process, you're keeping American liberty alive.
[02:30:59.611 --> 02:31:08.434]  December 2022 is here, and we are proud and very excited to announce that free shipping is back at infowarestore.com.
[02:31:08.434 --> 02:31:12.255]  That's right, free shipping on all orders of $50 or more.
[02:31:12.255 --> 02:31:21.337]  But we've signed a new deal with a big national shipping company, and they're able to cut our regular shipping costs by up to 50%.
[02:31:21.337 --> 02:31:23.358]  So that means even on orders that are below $50,
[02:31:24.138 --> 02:31:27.580]  You're going to be paying way lower than you were previously.
[02:31:27.580 --> 02:31:29.041]  This is a game changer.
[02:31:29.041 --> 02:31:30.582]  We're so excited about it.
[02:31:30.582 --> 02:31:32.843]  Our listeners have really asked for free shipping again.
[02:31:32.843 --> 02:31:37.266]  We couldn't afford it before, but by moving to a bigger national distributor, we're able to do it.
[02:31:37.266 --> 02:31:40.388]  So now, your orders will be shipped even faster.
[02:31:40.388 --> 02:31:42.830]  The same great customer service and more.
[02:31:42.830 --> 02:31:48.593]  So, get huge discounts and free shipping on so many great items at InfoWarsTore.com right now.
[02:31:49.514 --> 02:32:00.123]  I want to thank you all for your support, but now there's no excuse to boost your immune system, lead a healthier life, and keep your voice on the air at FullerStore.com.
[02:32:00.123 --> 02:32:03.486]  When I first started taking Survival Shield, basically I was 275 pounds.
[02:32:03.486 --> 02:32:04.727]  I was overweight.
[02:32:04.727 --> 02:32:06.989]  I had brain fog like you wouldn't believe.
[02:32:06.989 --> 02:32:08.831]  I was barely holding on to a job.
[02:32:08.831 --> 02:32:11.593]  I heard Dr. Grip on your show and I listened to it.
[02:32:11.593 --> 02:32:14.275]  The first one I got was the original Survival Shield, the X1.
[02:32:15.356 --> 02:32:15.957]  We're good to go.
[02:32:39.300 --> 02:32:43.162]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:33:22.321 --> 02:33:27.587]  From the front lines of the Information War, it's Alex Jones!
[02:33:29.509 --> 02:33:30.570]  All right.
[02:33:30.570 --> 02:33:32.392]  Remember, we're still on over 400 radio stations.
[02:33:32.392 --> 02:33:35.755]  This is why we have 14 minutes of ads an hour, the industry standard.
[02:33:35.755 --> 02:33:40.659]  Though I do enjoy doing a lot of the commercial-free podcasts that you find at Band Up Video as well.
[02:33:40.659 --> 02:33:51.608]  We did a three-hour one, commercial-free, this last Saturday with a major whistleblower from the Wuhan lab, the vice president of Eagle Health Alliance, proving Fauci created the bioweapon and released it and more.
[02:33:51.608 --> 02:33:54.431]  So incredibly important and why the system wants us shut down.
[02:33:54.431 --> 02:33:55.552]  Now,
[02:33:56.656 --> 02:34:11.524]  Nick Fuentes is here with us and he said going after Bill Gates and the Bilderberg Group is kind of this esoteric little known thing but he's going up against the Jews.
[02:34:11.524 --> 02:34:14.746]  Well I mean folks in case you've woken up and looked around
[02:34:16.618 --> 02:34:19.361]  The entire WEF is calling the shots.
[02:34:19.361 --> 02:34:21.423]  The big mega banks are running the show.
[02:34:21.423 --> 02:34:22.565]  They're coming after our bodies.
[02:34:22.565 --> 02:34:24.987]  They're trying new lockdowns, new forced injections.
[02:34:24.987 --> 02:34:29.132]  That is not some esoteric little side issue that we're covering.
[02:34:29.132 --> 02:34:33.557]  In fact, no one was really covering it until we started hammering it in the last 28 years.
[02:34:33.557 --> 02:34:35.219]  So I'm very proud of that.
[02:34:35.219 --> 02:34:36.460]  That's what my films and books...
[02:34:37.421 --> 02:34:40.283]  Like, the Great Reset and the War for the World are about.
[02:34:40.283 --> 02:34:55.575]  Now, I'm not saying Nick Fuentes doesn't have a right to say what he's saying, or bring up what he's saying, because separately, the ADL is brainwashing school children on record that being white is inherently bad, and teaching kindergartners and first graders they are bad because they're white.
[02:34:55.575 --> 02:34:59.058]  Well, I mean, Hitler taught people people were bad because of what group they were.
[02:34:59.058 --> 02:34:59.198]  So,
[02:35:01.084 --> 02:35:08.991]  I'm like, I see the ADL as Hitler and then people that are supposedly opposing it say, well, Hitler, you know, compared to them is good.
[02:35:08.991 --> 02:35:11.134]  That's where I have the real breaking point.
[02:35:11.134 --> 02:35:16.099]  And so I asked the question earlier, I don't want you to be able to get back into your point about the power structure and what you're doing.
[02:35:16.099 --> 02:35:17.220]  You'll have the floor for a few minutes.
[02:35:17.220 --> 02:35:18.041]  I'll shut up.
[02:35:18.041 --> 02:35:20.063]  But what about what I asked earlier that I forgot to get back to?
[02:35:21.141 --> 02:35:22.501]  The ADL wants 500 million.
[02:35:22.501 --> 02:35:27.883]  They want more control over society because of Kanye West, Ye's little comments here.
[02:35:27.883 --> 02:35:29.703]  I get he's obviously not a threat.
[02:35:29.703 --> 02:35:31.483]  He doesn't control people's bank accounts.
[02:35:31.483 --> 02:35:32.704]  That's a joke.
[02:35:32.704 --> 02:35:41.606]  But then people say, is Ye really working for them to first wear a red hat, say he's a Trump supporter, and now come out and do this?
[02:35:41.606 --> 02:35:42.286]  I've been around him.
[02:35:42.286 --> 02:35:43.046]  I've talked to him a lot.
[02:35:44.178 --> 02:35:45.480]  For a long time.
[02:35:45.480 --> 02:35:46.722]  And I really don't think that's the case.
[02:35:46.722 --> 02:35:56.399]  Just to clear this up, I saw some of your supporters saying, you know, Nick is so nice and got Kanye to his office and got him on air and introduced him to Kanye and T.J.
[02:35:56.399 --> 02:35:58.182]  and then Jones did all that to poor Nick.
[02:35:59.590 --> 02:36:01.991]  I've been talking to Ye for a long time.
[02:36:01.991 --> 02:36:03.551]  He'd never come on the show.
[02:36:03.551 --> 02:36:08.332]  I gave his number to other folks to come on, to Milo Yiannopoulos.
[02:36:08.332 --> 02:36:10.253]  He got Nick Fuentes in touch with him.
[02:36:10.253 --> 02:36:14.954]  Some people want to blame me for this whole fiasco I got so involved, but that was me saying, here, get them on their shows.
[02:36:14.954 --> 02:36:15.694]  That's fine.
[02:36:15.694 --> 02:36:16.874]  Go where you want to go.
[02:36:16.874 --> 02:36:17.955]  They wanted to talk to him.
[02:36:17.955 --> 02:36:22.196]  I gave them the number for all of the Groypers out there that are living in La La Land.
[02:36:22.196 --> 02:36:22.436]  Okay?
[02:36:24.156 --> 02:36:25.178]  That's another little point I want to get to.
[02:36:25.178 --> 02:36:31.911]  Now I'm going to shut up, but what about this issue of him actually being the biggest fundraiser ever for the ADL?
[02:36:31.911 --> 02:36:32.533]  What do you say to that?
[02:36:33.908 --> 02:36:35.429]  Well, I would say it's ridiculous.
[02:36:35.429 --> 02:36:39.210]  I think anybody that knows Ye knows that he doesn't work for anybody other than God.
[02:36:39.210 --> 02:36:40.810]  And his actions prove that.
[02:36:40.810 --> 02:36:47.332]  And I think if you've had a conversation with him for more than 10 minutes, you know that he's one of the most authentic, sincere people I've ever met.
[02:36:47.332 --> 02:36:51.454]  And like I said, people that meet him for 10 minutes, they come up and hug him in the street.
[02:36:51.454 --> 02:36:52.454]  They know that.
[02:36:52.454 --> 02:36:59.316]  As far as him being a fundraiser for the ADL, it flies in the face of the fact that if there were no ADL, he would be leading a great awakening.
[02:36:59.316 --> 02:37:01.137]  But it was the ADL that wants to shut him down.
[02:37:01.917 --> 02:37:12.006]  If the ADL was so in love with what he was doing, why would they go to Twitch, as an example, and say that any streamer that platforms Ye on their channel is gonna get banned?
[02:37:12.006 --> 02:37:16.910]  And have Twitch remind everybody, tap at the sign, and say, We prohibit hatred!
[02:37:17.583 --> 02:37:19.764]  We prohibit hate speech and so on.
[02:37:19.764 --> 02:37:26.967]  The ADL is working overtime to make sure that he's deplatformed from Twitter, deplatformed from Twitch, that nobody can have him on their show.
[02:37:26.967 --> 02:37:31.329]  If it was really such a benefit to them, you'd think that they'd be going around promoting that stuff.
[02:37:31.329 --> 02:37:32.770]  And that gets back to what you were talking about.
[02:37:32.770 --> 02:37:33.590]  No, that's why I raise the point.
[02:37:33.590 --> 02:37:35.471]  No, I don't think he works for the ADL and I agree with you.
[02:37:36.764 --> 02:37:57.630]  Right, and it gets back to the point which I was making before the break, which is that there is this, I think, very pernicious mindset that a lot of people have, that if you start to really go after the power structure, if you really say, you know what, it's Jewish gangsters, you know what, it's the Zionists, it's Israel, people have this idea in their head that there's something that's not clever or not subtle about this, that
[02:37:58.266 --> 02:38:01.687]  We've got to hide and be careful and play games.
[02:38:01.687 --> 02:38:02.807]  I don't want to play games.
[02:38:02.807 --> 02:38:06.167]  That's why I'm up with Ye, because Ye's not playing games anymore.
[02:38:06.167 --> 02:38:13.549]  I know that Ye's not going to be at the Republican-Jewish coalition retreat in Vegas begging the Jews to endorse them for the 24-run.
[02:38:13.549 --> 02:38:19.690]  I know he's not going to be at the ZOA begging the Zionists for their favor, for their patronage in the race, like Trump did.
[02:38:19.690 --> 02:38:27.051]  I know he's not going to take a hundred million dollars from Sheldon Adelson and do all kinds of favors for Israel and leave Christians and white Americans out to dry.
[02:38:27.851 --> 02:38:29.873]  You know, we have to have the fight.
[02:38:29.873 --> 02:38:32.817]  Eventually, we've got to lean in and go in.
[02:38:32.817 --> 02:38:33.898]  We're in a war.
[02:38:33.898 --> 02:38:39.825]  Not, of course, violently, but we've got to lean in and actually fight on the battlefield and have the confrontation.
[02:38:39.825 --> 02:38:43.429]  So many people in politics want to rationalize, and this isn't you, because you're
[02:38:44.116 --> 02:38:45.657]  You're a courageous man, and we love you.
[02:38:45.657 --> 02:38:47.197]  We see you as an uncle, quite honestly.
[02:38:47.197 --> 02:38:49.958]  I've been watching you since I was in high school, and all the Greupers have.
[02:38:49.958 --> 02:38:50.959]  We love you.
[02:38:50.959 --> 02:38:57.581]  But there are a lot of people in the institutions who are going to rationalize their cowardice by saying, oh, that's just not smart to say that.
[02:38:57.581 --> 02:38:59.962]  Oh, well, it wasn't strategic to say that.
[02:38:59.962 --> 02:39:04.664]  Well, at some point, whether it be now, then, later, we've got to say, you know what?
[02:39:04.664 --> 02:39:07.245]  The Jews are not going to control the destiny of America.
[02:39:07.245 --> 02:39:09.686]  Israel can no longer control the destiny of America.
[02:39:10.967 --> 02:39:18.630]  1776 happened because we wanted to break away from a country thousands of miles away dictating to us what was happening in our own country.
[02:39:18.630 --> 02:39:23.493]  But now we're subordinating ourselves to Israel in exactly the same way.
[02:39:23.493 --> 02:39:24.013]  Sure, Nick.
[02:39:24.013 --> 02:39:24.514]  Sure, sure.
[02:39:24.514 --> 02:39:25.654]  So let me have a few minutes now.
[02:39:25.654 --> 02:39:26.755]  There's no doubt...
[02:39:27.560 --> 02:39:27.660]  That
[02:39:44.888 --> 02:39:48.510]  Those guys literally have penetrated the governments, the cabinets.
[02:39:48.510 --> 02:39:49.391]  They're running things.
[02:39:49.391 --> 02:39:53.173]  They want a eugenics, depopulation, world government operation.
[02:39:53.173 --> 02:39:58.916]  If you actually look who fills it up, it's a bunch of former Nazis, grandkids, and German royalty.
[02:39:58.916 --> 02:40:00.917]  And I'm not saying it's a Nazi conspiracy.
[02:40:00.917 --> 02:40:06.861]  I'm saying the real power structure is a scientific transhumanist movement.
[02:40:06.861 --> 02:40:12.064]  And while we're all down here battling over all these different ethnic systems, they are taking over.
[02:40:12.064 --> 02:40:12.704]  That's what I'm getting at.
[02:40:14.218 --> 02:40:15.618]  Yeah, and I understand that.
[02:40:15.618 --> 02:40:17.959]  I just think that a lot of it is obfuscation.
[02:40:17.959 --> 02:40:29.603]  I think that, like, for example, the World Economic Forum is a forum, and when you look at who goes to Davos for the retreat, it's all the top government leaders, it's all the business leaders, and they all are beholden to Jewish interests.
[02:40:29.603 --> 02:40:38.725]  So that'd be like saying, you know, we're going to hold a conference in a Sheridan Hotel, and say the Sheridan Hotel is the problem, not the people occupying it and giving the speeches and their background.
[02:40:38.725 --> 02:40:40.306]  I mean, the Bilderberg Group,
[02:40:40.826 --> 02:40:44.448]  It is the most powerful organization in the world from our research.
[02:40:44.448 --> 02:40:46.310]  The World Economic Forum is their mouthpiece.
[02:40:46.310 --> 02:40:51.953]  So when we say that, I mean, this is the real supreme mafia in my view.
[02:40:51.953 --> 02:40:53.514]  You know, George Soros is there, all this.
[02:40:53.514 --> 02:40:54.755]  So let me raise this.
[02:40:54.755 --> 02:41:05.982]  You bring up the head of the ADL going on programs, and here's a clip, saying, well, since Ye says we have power, we had to use our power and crush him.
[02:41:05.982 --> 02:41:07.683]  Why would he even say that?
[02:41:07.683 --> 02:41:09.004]  Talk about a dog whistle.
[02:41:09.004 --> 02:41:09.364]  Here it is.
[02:41:11.479 --> 02:41:14.441]  Y'all are proving somebody like Kanye, right?
[02:41:14.441 --> 02:41:20.405]  Because Kanye says, hey, Jewish people have all the power, and then he loses everything.
[02:41:20.405 --> 02:41:39.979]  Well, look, the insidious nature of anti-Semitism, and these tropes about power, is Kanye can say these things, Jews have all the power, they're controlling everything, and if we don't get him, if we don't deal with that, the myth spreads, and it takes root.
[02:41:40.692 --> 02:41:44.933]  If we don't get him, if we don't shut him down, the myth spreads.
[02:41:44.933 --> 02:41:46.813]  Wow!
[02:41:46.813 --> 02:41:51.214]  He's saying exactly what Ye is saying.
[02:41:51.214 --> 02:41:54.955]  That's right, and that's exactly what I'm trying to get at here.
[02:41:54.955 --> 02:42:06.338]  When you go on Twitter or Facebook or Instagram, and I'm not saying you meaning you, but anybody for that matter, when anybody goes on Twitter and says, you could say Bill Gates runs the media, you could say the World Economic Forum runs the media,
[02:42:07.058 --> 02:42:17.469]  We have to acknowledge there is this strain of thought in conservatism where it's taking us in a direction that the elites are not afraid of, the elites don't really care about, and we know that because of the enforcement.
[02:42:17.469 --> 02:42:21.353]  We know that it's like that plane with all the bullet holes in it that comes back and they say...
[02:42:21.983 --> 02:42:23.463]  You know, where are we going to fortify the plane?
[02:42:23.463 --> 02:42:28.565]  Well, the planes that are coming back with the bullet holes, those are the places where the plane can afford to be shot.
[02:42:28.565 --> 02:42:33.826]  And it's sort of the same thing when you go on Twitter and say, you know, Bill Gates runs the media, The Chi Cums runs the media.
[02:42:33.826 --> 02:42:34.266]  Crickets.
[02:42:34.266 --> 02:42:41.448]  But you go on Twitter and say the Jews run the media, and you have the ADL chairman going to Adidas, pulling your billion dollar deal gap.
[02:42:41.448 --> 02:42:43.048]  Well, Nick, I've got to disagree with you there.
[02:42:43.048 --> 02:42:44.749]  They've been really suppressing us with the WEF.
[02:42:45.830 --> 02:42:48.195]  And the New World Order and Bill Gates.
[02:42:48.195 --> 02:42:49.418]  That came out in the documents.
[02:42:49.418 --> 02:42:52.665]  They have been censoring a living hell out of people challenging that.
[02:42:52.665 --> 02:42:53.307]  We'll be right back.
[02:42:53.307 --> 02:42:53.647]  Stay with us.
[02:42:58.308 --> 02:43:01.529]  InfoWars MD is finally here.
[02:43:01.529 --> 02:43:18.216]  It's the very same high quality products you've been getting through InfoWars Life, but an expanded catalog and in some cases the prices are lower because we're going directly to the source that was supplying the supplement companies that we were buying our high quality products from.
[02:43:18.216 --> 02:43:24.099]  So we're able to lower prices and bring you more products via the InfoWars MD line.
[02:43:24.679 --> 02:43:27.221]  The highest quality, triple tested.
[02:43:27.221 --> 02:43:31.183]  Many of these products are sold on store shelves for more than twice the cost.
[02:43:31.183 --> 02:43:35.686]  You'll get them at InfoWarsTore.com under our exclusive label.
[02:43:35.686 --> 02:43:41.610]  We're bringing you the highest quality supplements directly from the factory, right here in the USA, to your door.
[02:43:41.610 --> 02:43:47.474]  It'll make your life healthy, better, boost your immune system, and it keeps InfoWarsTore on the air.
[02:43:47.474 --> 02:43:54.459]  So again, introducing InfoWars MD, now exclusively available at InfoWarsTore.com with massive, massive savings.
[02:43:54.861 --> 02:43:55.485]  Yeah.
[02:43:59.776 --> 02:44:04.680]  I have been in a 28-year marathon battle with the globalists.
[02:44:04.680 --> 02:44:11.106]  I have come from nowhere, to the very heights of politics, not just in America, but in the world.
[02:44:11.106 --> 02:44:16.211]  We are engaging the globalists at point-blank range in the information war.
[02:44:16.211 --> 02:44:17.932]  But I don't deserve the credit.
[02:44:17.932 --> 02:44:19.213]  Yes, I've persevered.
