[00:00.000 --> 00:29.700]  This is the GCN Radio Network.
[57:58.700 --> 57:59.700]  God bless you, my friend.
[57:59.700 --> 58:02.700]  Second hour straight ahead after the news and important announcements.
[58:02.700 --> 58:04.700]  Stay with us.
[58:04.700 --> 58:08.700]  Hi, this is Ted Anderson introducing a new way to listen to GCN on your cell phone.
[58:08.700 --> 58:14.700]  If you own a smartphone like BlackBerry, iPhone or Arnold G1, there's a free application called Flycast.
[58:14.700 --> 58:20.700]  Simply download, install, and within minutes you'll be listening to your favorite GCN shows from the convenience of your phone.
[58:20.700 --> 58:25.700]  Go to GCNLive.com, download the Flycast application and begin listening in a whole new way.
[58:25.700 --> 58:28.700]  The place to go to is GCNLive.com.
[58:28.700 --> 58:32.700]  Again, that's GCNLive.com application Flycast.
[58:32.700 --> 58:37.700]  Are taxes, food, energy, housing, medical, forcing Americans into poverty?
[58:37.700 --> 58:41.700]  Is free enterprise flawed or is our monetary system forcing us into perpetual debt,
[58:41.700 --> 58:43.700]  ensuring inflation and higher taxes?
[58:43.700 --> 58:45.700]  The answers are in Griffin's book, The Creature from Jekyll Island.
[58:45.700 --> 58:49.700]  Ron Paul states it's what every American needs to know about the Fed and central banking.
[58:49.700 --> 58:53.700]  Hi, Ted Anderson, I will give a US silver dollar to everyone who purchases this book.
[58:53.700 --> 58:55.700]  Call 800-686-2237.
[58:55.700 --> 58:57.700]  It's critical to be made aware of the system.
[58:57.700 --> 59:03.700]  Get your copy today, 800-686-2237. That's 800-686-2237.
[59:05.700 --> 59:10.700]  If you owe the IRS, you can't make the problem go away without professional help.
[59:10.700 --> 59:13.700]  But with the help of Dan Pilla, you can get your problem solved.
[59:13.700 --> 59:18.700]  Hi, I'm Dan Pilla and I've been solving tax debt problems for 30 years and I can help you too.
[59:18.700 --> 59:23.700]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
[59:23.700 --> 59:27.700]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness,
[59:27.700 --> 59:32.700]  the vast majority of the time, I can show you how to completely erase it so you pay no taxes
[59:32.700 --> 59:35.700]  on what the IRS will consider to be taxable income.
[59:35.700 --> 59:38.700]  Call us for a free consultation to discuss the many possibilities.
[59:38.700 --> 59:45.700]  Call 1-800-34-NO-TAX. That's 800-34-N-O-T-A-X.
[59:45.700 --> 59:48.700]  Or go to my website at taxhelponline.com.
[59:48.700 --> 59:52.700]  Dan Pilla has been protecting taxpayers from the IRS for three decades
[59:52.700 --> 59:54.700]  and he can help you.
[59:54.700 --> 1:00:01.700]  Call us today, 800-346-6829. That's 800-34-NO-TAX.
[1:00:03.700 --> 1:00:06.700]  He rubs trapping them on the second floor.
[1:00:06.700 --> 1:00:07.700]  Detailed...
[1:00:08.700 --> 1:00:11.700]  You are listening to GCN.
[1:00:11.700 --> 1:00:14.700]  Check your watch. It is now five o'clock.
[1:00:14.700 --> 1:00:20.700]  I.R.N. USA Radio News. I'm Jody Jordan.
[1:00:20.700 --> 1:00:26.700]  Officials in Pakistan say suspected U.S. missile strikes have killed seven people in a Taliban stronghold.
[1:00:26.700 --> 1:00:28.700]  Here's Nahal Tusi.
[1:00:28.700 --> 1:00:31.700]  We don't know yet if there are any foreign militants among the dead
[1:00:31.700 --> 1:00:36.700]  and oftentimes when there are foreigners killed, they are often connected to al-Qaeda.
[1:00:36.700 --> 1:00:41.700]  Meanwhile, a military convoy carrying a six soldier has been attacked elsewhere in Pakistan.
[1:00:41.700 --> 1:00:44.700]  Two soldiers were wounded.
[1:00:44.700 --> 1:00:48.700]  And forecasters say the east coast is about to get hit by a major winter storm.
[1:00:48.700 --> 1:00:51.700]  Snow has already fallen in Alabama and Georgia.
[1:00:51.700 --> 1:00:57.700]  Brian Cordy is a meteorologist with the National Weather Service and says the storm carries a lot of snow.
[1:00:57.700 --> 1:01:02.700]  For the most part, I think the average nose for most of the area in the heaviest part of the storm
[1:01:02.700 --> 1:01:06.700]  will probably be anywhere from about six inches to about ten inches of snow.
[1:01:06.700 --> 1:01:10.700]  He also says 15 inches or more could be expected in southern New England.
[1:01:10.700 --> 1:01:13.700]  This is IRN USA Radio News.
[1:01:40.700 --> 1:01:44.700]  Evercleans of waste that some experts say is trapped to the colon walls like spackle or paste.
[1:01:44.700 --> 1:01:47.700]  Two weeks of Evercleans may be equal to months of dieting. It's simple too.
[1:01:47.700 --> 1:01:50.700]  Natural, tasteless crystals that dissolve in any food or beverage.
[1:01:50.700 --> 1:01:52.700]  Evercleans will flatten out your midsection, reduce love handles,
[1:01:52.700 --> 1:01:55.700]  and bellies and bloating have been disappearing in just days.
[1:01:55.700 --> 1:01:59.700]  You see, Evercleans gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[1:01:59.700 --> 1:02:01.700]  And it's not something you have to take for the rest of your life.
[1:02:01.700 --> 1:02:05.700]  Visit us at evercleans.com or call now to receive a very special offer.
[1:02:05.700 --> 1:02:14.700]  This is 800-567-5598. Call for your special offer, 800-567-5598.
[1:02:14.700 --> 1:02:20.700]  European Union leaders are opposing a new multi-billion bell out for Eastern Europe.
[1:02:20.700 --> 1:02:27.700]  The EU Commission President says Eastern European countries have already been getting billions in emergency rescue funds from the EU,
[1:02:27.700 --> 1:02:30.700]  the World Bank, and other financial institutions.
[1:02:30.700 --> 1:02:33.700]  He says they don't need a new bell out plan.
[1:02:33.700 --> 1:02:39.700]  President Barack Obama's chief of staff is calling a talk radio host a top figure in the Republican Party.
[1:02:39.700 --> 1:02:44.700]  Ron Emanuel says Rush Limbaugh is the intellectual force of the GOP.
[1:02:44.700 --> 1:02:47.700]  Limbaugh has been a vocal critic of Obama's.
[1:02:47.700 --> 1:02:54.700]  Auctioneers say a rare US stamp that was printed upside down could fetch about $215,000 at auction.
[1:02:54.700 --> 1:02:59.700]  The 1918 inverted genie is one of stamp collecting's most famous prizes.
[1:02:59.700 --> 1:03:08.700]  The 24-cent air mail stamp features a Curtis JN4 genie biplane, but was mistakenly printed upside down.
[1:03:08.700 --> 1:03:33.700]  For the latest news and analysis, log on to IRNUSENews.com.
[1:03:38.700 --> 1:03:52.700]  White House Budget Director Peter Orsang says President Barack Obama will sign a big spending bill despite Republican calls for a veto.
[1:03:52.700 --> 1:03:55.700]  We're going forward with health care. We're going to get health care reform done this year.
[1:03:55.700 --> 1:03:57.700]  I think this proposal will get enacted.
[1:03:57.700 --> 1:04:03.700]  The 410 billion measure would keep the government operating through September 30th, the end of the current budget year.
[1:04:03.700 --> 1:04:09.700]  Watchdog Group says the measure includes nearly 8 billion in earmarks, which Obama campaigned against.
[1:04:09.700 --> 1:04:16.700]  The chairman of the Joint Chiefs of Staff says he's confident about Iraq's future and the future of US withdrawal from the country.
[1:04:16.700 --> 1:04:21.700]  Admiral Mike Mullen says he's reluctant to talk about winning and losing in Iraq.
[1:04:21.700 --> 1:04:29.700]  I'm a little bit reluctant to talk specifically about winning and losing. We've turned it around over the last two years.
[1:04:29.700 --> 1:04:34.700]  He told Fox that Baghdad will be able to successfully take control of the country.
[1:04:34.700 --> 1:04:40.700]  Unemployed Britons have besieged a zoo seeking summer jobs. Here's Charles De La Desma.
[1:04:40.700 --> 1:04:49.700]  Some 3,000 people, including lay-off executives and company bosses, have traveled from across England to apply for just 150 summer jobs at a zoo.
[1:04:49.700 --> 1:05:01.700]  The zoo in central England has been overwhelmed by the job hunters who caused a five mile traffic jam when they all arrived for Saturday's recruitment day in response to an ad for temporary cleaners, cooks and park rangers.
[1:05:01.700 --> 1:05:04.700]  The animal park is home to lions, elephants and dozens of primates.
[1:05:04.700 --> 1:05:10.700]  The successful applicants will work from late March to September for just basic wages, Charles De La Desma, London.
[1:05:10.700 --> 1:05:21.700]  And I'm Jody Jordan for IRN USA Radio News.
[1:05:40.700 --> 1:05:46.700]  When playing or responding to an emergency, the food in the three-day responder is easy to fix and ready to go.
[1:05:46.700 --> 1:05:54.700]  Food is an everyday need. The three-day responder is for the time when food should be the last thing you have to worry about.
[1:05:54.700 --> 1:06:01.700]  The three-day responder, $21.95, sometimes the best things do come in the smallest packages.
[1:06:01.700 --> 1:06:13.700]  Call 800-409-5633 on the Web eFoodsDirect.com. That's 800-409-5633 on the Web eFoodsDirect.com.
[1:06:13.700 --> 1:06:32.700]  Prepare yourself for a talk radio experience like no other.
[1:06:32.700 --> 1:06:44.700]  This is the Alex Jones Show. Call Alex now toll-free at 877-590-5525.
[1:06:44.700 --> 1:06:55.700]  Now live from Austin, Texas, here's Alex Jones.
[1:06:55.700 --> 1:07:02.700]  We are going straight to your phone calls here in just a moment. And then I'm going to get into guns for cash buyback program.
[1:07:02.700 --> 1:07:09.700]  This is from USAService.org. The federal government involved with Obama's private organizations doing anti-gun events all over the country.
[1:07:09.700 --> 1:07:14.700]  Eric Holders announced they are going to introduce a new solubence ban and call for physical banning.
[1:07:14.700 --> 1:07:17.700]  It means you have to hand them in.
[1:07:17.700 --> 1:07:25.700]  He also wants another law passed where he can ban guns at will himself, national registration, national, federally psychological testing to have guns.
[1:07:25.700 --> 1:07:31.700]  It's all happening, ladies and gentlemen, high treason against the republic and this wants free country.
[1:07:31.700 --> 1:07:36.700]  So that is coming up. I can't believe I have to explain this to some folks.
[1:07:36.700 --> 1:07:43.700]  The IMF and World Bank are private holding houses for private central banks that control nations that didn't earn the money.
[1:07:43.700 --> 1:07:50.700]  They bought off nations' governments and let the governments hand over control of their issuance of currency and credit to them.
[1:07:50.700 --> 1:07:53.700]  Then they buy up the world, but they want real assets.
[1:07:53.700 --> 1:07:56.700]  It's not enough to just have mountains of fiat currency.
[1:07:56.700 --> 1:07:59.700]  They then get everybody in debt, blow out the economy.
[1:07:59.700 --> 1:08:04.700]  In a real economy, you couldn't just in a few months going from a recession into a depression and everybody losing their jobs.
[1:08:04.700 --> 1:08:10.700]  This is globalism. This is how they get you dependent on them. They brag about it. They write textbooks on it.
[1:08:10.700 --> 1:08:19.700]  And I challenge folks to look at Iceland, one of the most wealthy countries in the world, right there with Switzerland, above the United States in a matter of months.
[1:08:19.700 --> 1:08:23.700]  Basically, everybody's bankrupt. Food is bare on most of the shelves at the stores.
[1:08:23.700 --> 1:08:27.700]  People have been rioting for months, but it doesn't matter how many governments they take out of power.
[1:08:27.700 --> 1:08:34.700]  Their governments are falling in Europe because the bankers already own it all and they're offshore and they control the military.
[1:08:34.700 --> 1:08:36.700]  The government can stand up and say, stop what you're doing.
[1:08:36.700 --> 1:08:42.700]  And they say, hey, we have the military because it's controlled international security systems separate.
[1:08:42.700 --> 1:08:47.700]  Just like England, they catch the MI5 spying on the parliament that supposedly runs the government.
[1:08:47.700 --> 1:08:55.700]  They run nothing. The continuity of government system was set up by the banks in the last 80 years in Western Europe and the U.S.
[1:08:55.700 --> 1:08:58.700]  So they can go around government.
[1:08:58.700 --> 1:09:05.700]  You just got to stand up and say, this is illegitimate. The emperor is butt naked. The emperor has no clothes.
[1:09:05.700 --> 1:09:13.700]  Look at Argentina, folks. They were first world as wealthy as the U.S., most wealthy nation in Central and South America.
[1:09:13.700 --> 1:09:18.700]  Overnight, the bankers came in. They dollarized. They let the bankers get them in debt, set up the system.
[1:09:18.700 --> 1:09:26.700]  The IMF World Bank documents came out in 2001, a year after, how they engineered the collapse, how they cut off the water and power to cause riots,
[1:09:26.700 --> 1:09:34.700]  how they to destroy confidence. Then the bankers would come in, buy up everything, and the people are still in a depression nine years later.
[1:09:34.700 --> 1:09:37.700]  They're going to do that here. They're doing that here.
[1:09:37.700 --> 1:09:42.700]  And if you won't stand up and speak out against it, look in the mirror as things get worse.
[1:09:42.700 --> 1:09:46.700]  But I know a lot of you won't. You'll look at the government and hold your hand out and get your little national ID card.
[1:09:46.700 --> 1:09:52.700]  They'll put welfare creds on and you'll join the little tattletail squads and wear little uniforms.
[1:09:52.700 --> 1:09:59.700]  We're not just going into a third world despotism. We're going into a high-tech tyranny. It'll be worse than Argentina.
[1:09:59.700 --> 1:10:04.700]  Let's talk to Ed in Texas, in Austin, Texas, to be precise. Ed, you're on.
[1:10:04.700 --> 1:10:06.700]  Hey, Alex. Good to hear you.
[1:10:06.700 --> 1:10:08.700]  Welcome.
[1:10:08.700 --> 1:10:15.700]  Kudos to that guy up in Alaska. And kudos to you, of course.
[1:10:15.700 --> 1:10:29.700]  I just can't believe what I'm seeing, man. This guy has just given the NWO a violent show and overdrive, man. And the speed that this thing is picking up is unbelievable.
[1:10:29.700 --> 1:10:40.700]  And I personally just heard something Friday at work. It was pretty disturbing. Something mandatory payroll direct deposit.
[1:10:40.700 --> 1:10:46.700]  Yes. They're doing that to get you ready to do mandatory 401K so they can steal your money as well.
[1:10:46.700 --> 1:10:52.700]  Yeah, yeah. I mean, you know, I thought I was working to support myself.
[1:10:52.700 --> 1:11:00.700]  This is Sir, Homeland Security, stated on C-SPAN. I'll never forget six years ago when Governor Ridge was the head before it chaired off and now the new one.
[1:11:00.700 --> 1:11:07.700]  And they said, you're all going to have a national ID card to buy and sell. Even when you pay cash, you're going to swipe it. Everything is going to be tracked.
[1:11:07.700 --> 1:11:13.700]  They are making America a prison so the government can loot us and give the money to offshore banks.
[1:11:13.700 --> 1:11:15.700]  Absolutely. That's what's happening.
[1:11:15.700 --> 1:11:23.700]  Hey, I was on Southwest Airlines. They don't take cash anymore. Now, all these businesses are making you thumb scan to go to the gym or go to the library.
[1:11:23.700 --> 1:11:30.700]  What was it in the cookbook that said that you won't be able to barter or trade or anything without this mark?
[1:11:30.700 --> 1:11:37.700]  He who has understanding reckoned the number of the beast forward to 666, you will neither buy nor sell without it.
[1:11:37.700 --> 1:11:41.700]  Whether you be great or small, all will have to use it.
[1:11:41.700 --> 1:11:48.700]  Right. To all the patrons who are listening, get ready to stand and deliver. We're going to have to. God bless you and keep you out. Thank you very much.
[1:11:48.700 --> 1:11:56.700]  Thank you, my friend. God bless you. The problem is Homeland Security under the clergy response team is paying secretly now it's public, but it was secret.
[1:11:56.700 --> 1:12:03.700]  Think how dastardly, how wicked, how aggressive that is, how arbitrary.
[1:12:03.700 --> 1:12:07.700]  Just like they take your baby's blood for 36 years at birth and don't tell you now it's mainstream.
[1:12:07.700 --> 1:12:16.700]  They're criminals. That was a violation of law every time. The government is rogue. They bought off the preachers and so they're going to stand down.
[1:12:16.700 --> 1:12:20.700]  They've been told not to stand down during this. They're going to tell their flock, oh, Jesus is coming.
[1:12:20.700 --> 1:12:24.700]  Stand down. Go to the FEMA camps. Take the shots. Turn your guns in.
[1:12:24.700 --> 1:12:27.700]  That's what they're, we have the documents. That's what they're told to teach.
[1:12:27.700 --> 1:12:35.700]  You don't think the feds are out of control when they train 26,000 preachers in every town and city to run out and tell everybody stand down when this is happening?
[1:12:35.700 --> 1:12:43.700]  That is espionage. That is covert operation. That is, they have taken their time setting us up to fall. Do you understand?
[1:12:43.700 --> 1:12:47.700]  Let's talk to Maury in Cedar Park also in Austin, Texas. Go ahead.
[1:12:47.700 --> 1:12:57.700]  Yeah. Hi, Alex. I thought you were a crook about two years ago and now you've run me over completely.
[1:12:57.700 --> 1:13:05.700]  But I do have to ask you one question. What is the underlying foundation for how you become so adroit?
[1:13:05.700 --> 1:13:13.700]  That's one thing I don't understand. Why are you so...
[1:13:13.700 --> 1:13:25.700]  History. History, sir. I'm sure you've heard the cliché that the more things change, the more they stay the same or that those that don't know history are doomed to repeat it or Lord act and power tends to corrupt.
[1:13:25.700 --> 1:13:36.700]  Power corrupts absolutely. I happened when I was about 12, 13, 14 to start reading history books because they were much more entertaining than science fiction or Louis Lamour.
[1:13:36.700 --> 1:13:46.700]  Okay, I've always been an avid reader. When you read Rise and Fall of the Roman Empire, Rise and Fall of the Third Reich, when you read hundreds of books, many of them written by people like Julius Caesar.
[1:13:46.700 --> 1:13:56.700]  I read Adolf Hitler's Mein Kampf, My Struggle. When you read what these people have said, then you know what it is when history is repeating.
[1:13:56.700 --> 1:14:07.700]  When I read government documents, sir, the Rand Corporation, the IMF, the World Bank, the World Trade Organization, the Club of Rome, the Council on Foreign Relations, they all write books and publications.
[1:14:07.700 --> 1:14:15.700]  I mean, one book, Men in Powers, a Political Retrospective, one of hundreds I could plug, written by Helmut Schmidt, former German Chancellor.
[1:14:15.700 --> 1:14:17.700]  Okay?
[1:14:17.700 --> 1:14:29.700]  No, no, no, no, hold on. He says we're setting up a world government. He says they're going to bankrupt all of us. He wrote this in the early 90s. He says that they are setting up all this stuff. I mean, he's for it. I'm sorry. Go ahead.
[1:14:29.700 --> 1:14:44.700]  My question is then what you're saying is that you have to have a certain level of intelligence to make it in this world. Otherwise, you know, not.
[1:14:44.700 --> 1:14:56.700]  Most people are intelligent. They are distracted by football and acting cool and just trying to make it every day and taking care of their children. And they've decided America is just a play land. I just go to the mall, go to work.
[1:14:56.700 --> 1:15:05.700]  You know, I accept my environment. I don't interact with my environment. And they decided it's weird to be involved or weird to be informed. Okay?
[1:15:05.700 --> 1:15:21.700]  Can I just add one other comment? No, I can't. Then I am. I am so appreciative of you. I am in awe. And I thank you. And that's about it.
[1:15:21.700 --> 1:15:40.700]  I bless you, sir. I appreciate it. Please don't be in awe of me, sir. When I found out the army and the Marines were creeping around Texas, paying off police chiefs, sheriffs, mayors, fire chiefs, emergency managers. And I went and interviewed police chiefs and emergency managers and put it on local cable access TV and put it on my local FM show.
[1:15:40.700 --> 1:15:53.700]  And then my syndicated show. And people laughed at me. I said, why are you laughing? I just interviewed the police chief. There's a covert secret military operation to overthrow the U.S. just like they've done in third world countries.
[1:15:53.700 --> 1:16:06.700]  And from there, I began to research and study. And I didn't know as much as I did 10 years ago. Okay? You know, I thought that they could get ready to do it then. No, no, they've taken long term to do this.
[1:16:06.700 --> 1:16:14.700]  Now they're announcing it. That's the final phase because they announced it right before they do it. They're not denying any of it anymore. They're getting ready to move.
[1:16:14.700 --> 1:16:25.700]  What will happen when the grocery stores are empty? What are you going to do once your food is gone? What will you do when the dollar is worthless and your family needs to eat?
[1:16:25.700 --> 1:16:38.700]  Growing your own food is the only way to have real self-sufficiency and peace of mind. Getseeds.net is offering an amazing special on 100 different varieties of heirloom vegetable seeds with a complete range of crops.
[1:16:38.700 --> 1:16:47.700]  That's 100 packets of non-hybrid seeds for only $49 with free shipping. You will have the comfort of knowing that you are truly prepared.
[1:16:47.700 --> 1:16:56.700]  These affordable prices are our way to pay it forward. So in turn, Getseeds.net asks you to share these seeds of life with a less fortunate.
[1:16:56.700 --> 1:17:13.700]  Go to Getseeds.net and get 100 seed packets for only $49 with free shipping. Or call 877-394-6657. That's 877-394-6657. Or go to Getseeds.net.
[1:17:13.700 --> 1:17:24.700]  In these uncertain times, safety and precaution are key. Don't rely on others for protection. Protect yourself and your family with products from Pepperspray.com.
[1:17:24.700 --> 1:17:33.700]  Pepperspray.com carries the largest assortment of Pepperspray and personal safety devices on the web. From home safety to nighttime safety we have the products you need.
[1:17:33.700 --> 1:17:43.700]  Order the discrete peppermace baton, which relies on a powerful pepper formula that upon direct contact with an attacker's eyes forces them to slam shut.
[1:17:43.700 --> 1:17:50.700]  Causing an intense burning sensation, this refillable unit is designed to be carried as a key ring, easily accessible Pepperspray and a defensive baton.
[1:17:50.700 --> 1:17:57.700]  Pepperspray.com is offering a special for all GCN listeners. Order the Pepperspray baton and receive a free refill cartridge.
[1:17:57.700 --> 1:18:13.700]  Please click the GCN Category tab on our site for this offer. Visit us today at Pepperspray.com. That's Pepperspray.com. Or call 800-908-9988. That's 800-908-9988.
[1:18:13.700 --> 1:18:31.700]  Ted Anderson from Midas, February 27, 2009. Gold 958 ounce gold coins can be purchased for $985.32, $492.66 for half, $246.33 for quarter. That's $985.32, $492.66, and $246.33.
[1:18:31.700 --> 1:18:39.700]  We all want liberty. Some give their lives for it. A price that cannot be taken for granted. We forfeit bites and pieces of our freedom for what?
[1:18:39.700 --> 1:18:51.700]  February 28, Minnesota Campaign for Liberty will host Tom Woods, bestselling author of The Meltdown, Professor Butler, author of Trade on the Great Depression, and Bill Butler to cover monetary policy.
[1:18:51.700 --> 1:19:00.700]  This workshop will empower you to be effective at meetings and conversations. With advanced discounts, the cost is $20, a small price for liberty.
[1:19:00.700 --> 1:19:12.700]  Go to MNC, the number 4L.com. That's MNC4L.com. Become a part of the solution. Go to MNC4L.com.
[1:19:31.700 --> 1:19:44.700]  Producing purified drinking water from the humidity in the air using reverse osmosis and a 5 stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[1:19:44.700 --> 1:19:53.700]  Finally, drinking water that you control, I use one every day. Say goodbye to expensive water delivery services and storing 5 gallon bottles of water in your home.
[1:19:53.700 --> 1:20:01.700]  The Ecoloblu 28 is shipped right to your home, ready to make close to 7 gallons a day, right out of the box. They have a 30 day money back guarantee.
[1:20:01.700 --> 1:20:23.700]  Call Ecoloblu right now at 1-800-691-6043. That's 1-800-691-6043. Or visit Ecoloblu at ecoloblu.com today.
[1:20:23.700 --> 1:20:32.700]  We are back live.
[1:20:32.700 --> 1:20:38.700]  We're going to defend the Republic.
[1:20:38.700 --> 1:20:46.700]  Globalists think they're taking down the USA. They love to wrap all their terror in the American flag.
[1:20:46.700 --> 1:20:56.700]  Don't you understand that that's a military tactic for the enemy to cloak themselves, to put on your uniforms, our uniform of the red, white, and blue?
[1:20:56.700 --> 1:21:08.700]  If they violate the Bill of Rights and Constitution and go after the Second Amendment and let foreign bankers loot us by design, they are treasonous, traitorous, usurpers!
[1:21:08.700 --> 1:21:16.700]  Let's go to your calls. I'm going to get into more news.
[1:21:16.700 --> 1:21:19.700]  You know, I'm going to go back to something briefly.
[1:21:19.700 --> 1:21:27.700]  You know, Jason Bermas has moved down here. He's going to start a new radio show out of my studios on the Genesis Network 9 to Midnight Central.
[1:21:27.700 --> 1:21:33.700]  It's a test show tomorrow night, but it officially starts Tuesday on the 3rd.
[1:21:33.700 --> 1:21:38.700]  And you know, you think Jason knows everything. You think I know everything. I don't.
[1:21:38.700 --> 1:21:44.700]  You guys give me tips. We give him tips. It's constant research. I can't pull myself away from the research.
[1:21:44.700 --> 1:21:49.700]  I'm learning so much more exponentially every day. He walks in last Thursday at the office and he says,
[1:21:49.700 --> 1:22:04.700]  Alex, look at this. Civilian Inmate Labor Camp Program. This is directly off the Army's website. They've had secret camps since 86. Look, read it. And they declassified it in 97. I said, Jason, that's in my book to send to Terri.
[1:22:04.700 --> 1:22:09.700]  He published 2002 with the Army website link. And he goes, really? I didn't know they were admitting it.
[1:22:09.700 --> 1:22:15.700]  See, don't, I mean, don't think I know everything. Don't think Jason knows everything. We all are learning here.
[1:22:15.700 --> 1:22:21.700]  Now I think about my life and then the things, you know, growing up, the books I happen to crack open and read and the journeys that led me on.
[1:22:21.700 --> 1:22:29.700]  And, you know, I'm still pretty young. I'm 35 now. I turned 35 a few weeks ago. I got involved in this when I was 21.
[1:22:29.700 --> 1:22:39.700]  21 folks got on air when I was 22. And, you know, a lot of people criticize what I say and do, or they nitpick,
[1:22:39.700 --> 1:22:46.700]  or they try to invent things that I've done or twist things. And people, I just want you to know it didn't matter because I know I've done the right thing.
[1:22:46.700 --> 1:22:53.700]  I know I'm a good person. I know I'm for real. You know, the biggest thing they take away from us as a society is that there aren't good people
[1:22:53.700 --> 1:22:59.700]  and there aren't folks that will stand up and fight back. The majority of people are good. They're just lazy. They're distracted. They're diverted.
[1:22:59.700 --> 1:23:04.700]  And they don't want to believe the truth because that kind of messes up their happy little illusion.
[1:23:04.700 --> 1:23:11.700]  But I want to know on record that it has been a great honor. And I hope I live to be 100 years old, but it's been a great honor.
[1:23:11.700 --> 1:23:18.700]  You know, if I was going home today and died in a car wreck or, you know, if the Fed set me up or somebody, whatever, I'm getting a lot of death threats lately.
[1:23:18.700 --> 1:23:25.700]  I don't want people to feel bad for me because, and that to be a sad thing, I want that to be a good thing.
[1:23:25.700 --> 1:23:32.700]  That's what Thomas Jefferson said. The blood of patriots and tyrants has to water the tree of liberty.
[1:23:32.700 --> 1:23:37.700]  And folks are always calling me and always emailing me, hey, this person's attacking you. That person's attacking you.
[1:23:37.700 --> 1:23:42.700]  Oh, Alan, you've got to defend yourself. Look, that's part of the wreckage of society.
[1:23:42.700 --> 1:23:47.700]  That's part of weak-minded people, jealous people, envious people.
[1:23:47.700 --> 1:23:53.700]  Don't let that be a distraction or a diversion to you. We're in the greatest point of change in history,
[1:23:53.700 --> 1:23:57.700]  where the tyranny is attempting to set up a worldwide scientific dictatorship.
[1:23:57.700 --> 1:24:04.700]  But at the same time, humanity is waking up and resisting it everywhere. I don't have words to describe to you how this radio show is exploding.
[1:24:04.700 --> 1:24:10.700]  I don't have words to describe, and I'm just one little guy in this fight. It's because of you, the listeners.
[1:24:10.700 --> 1:24:14.700]  I was looking on our web statistics last night from our two biggest CDN servers.
[1:24:14.700 --> 1:24:18.700]  Guess how many in the last year, guess how many hits?
[1:24:18.700 --> 1:24:28.700]  10 billion. 10 billion.
[1:24:28.700 --> 1:24:33.700]  And over 170 million individual visitors.
[1:24:33.700 --> 1:24:36.700]  And that isn't high, folks. That's the real numbers.
[1:24:36.700 --> 1:24:44.700]  170 million different IP addresses. That is in each visit. That's IPs.
[1:24:44.700 --> 1:24:48.700]  You know what can happen with that kind of numbers if we just double that number?
[1:24:48.700 --> 1:24:52.700]  If everybody tells folks about the radio show, about the websites, and we double it and double it again.
[1:24:52.700 --> 1:24:56.700]  And then that's just to my sights, our information, our stories, our videos, our materials.
[1:24:56.700 --> 1:25:02.700]  I've made films that have had over 50, 60 million documented viewings online for free.
[1:25:02.700 --> 1:25:04.700]  Just one film.
[1:25:04.700 --> 1:25:08.700]  Little clips of my simulcast, the weekday radio show where we do the video cam.
[1:25:08.700 --> 1:25:13.700]  I mean, routinely those videos, just little clips of the show get hundreds of thousands of views a week.
[1:25:13.700 --> 1:25:17.700]  And there's hundreds and hundreds of clips a week, totaling tens of millions.
[1:25:17.700 --> 1:25:20.700]  It's insane the responsibility I've got.
[1:25:20.700 --> 1:25:25.700]  But you have a responsibility too.
[1:25:25.700 --> 1:25:28.700]  And I'll tell you one big reason I'm still alive.
[1:25:28.700 --> 1:25:32.700]  If the establishment were to kill Alex Jones, it would make me a martyr.
[1:25:32.700 --> 1:25:35.700]  And I use the mushroom analogy.
[1:25:35.700 --> 1:25:38.700]  You know, mushrooms have spores in them.
[1:25:38.700 --> 1:25:40.700]  And if you stomp on one, the spores are released.
[1:25:40.700 --> 1:25:43.700]  They're called a snuff box in Texas.
[1:25:43.700 --> 1:25:45.700]  It's a little round, gray one, brown one on the ground.
[1:25:45.700 --> 1:25:47.700]  And you step on, and it looks like old fashioned snuff.
[1:25:47.700 --> 1:25:49.700]  This brown dust comes out.
[1:25:49.700 --> 1:25:51.700]  Millions of spores.
[1:25:51.700 --> 1:25:55.700]  And if you do that in your yard, the next time it rains, you'll have thousands of them.
[1:25:55.700 --> 1:25:56.700]  Somebody stomps on me.
[1:25:56.700 --> 1:25:58.700]  It's like stomping on a mushroom.
[1:25:58.700 --> 1:26:00.700]  And all these spores just shoot out.
[1:26:00.700 --> 1:26:02.700]  Oh, I'm already shooting spores out.
[1:26:02.700 --> 1:26:03.700]  It's already viral.
[1:26:03.700 --> 1:26:09.700]  But it's like taking every spore in that mushroom and planting it lovingly in the dirt,
[1:26:09.700 --> 1:26:12.700]  instead of just a few of my spores getting out, it would make me explode.
[1:26:12.700 --> 1:26:14.700]  But it's more than that.
[1:26:14.700 --> 1:26:17.700]  You know, they say there's no atheist in foxholes, folks.
[1:26:17.700 --> 1:26:18.700]  And I'm certainly no atheist.
[1:26:18.700 --> 1:26:19.700]  I believe in God.
[1:26:19.700 --> 1:26:20.700]  I love God.
[1:26:20.700 --> 1:26:21.700]  And I know I'm on a mission.
[1:26:21.700 --> 1:26:22.700]  I know we're all on a mission.
[1:26:22.700 --> 1:26:24.700]  We're all tested in this one life to live.
