[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[2:09:40.000 --> 2:09:41.000]  So people come here.
[2:09:41.000 --> 2:09:42.000]  They like to get jobs.
[2:09:42.000 --> 2:09:44.000]  They like to live in a normal, healthy, sane country.
[2:09:44.000 --> 2:09:50.000]  The problem is they tend to bring with them the kinds of conditions that they left in the first place.
[2:09:50.000 --> 2:09:54.000]  You know, it's not really a coincidence that those places are the way that they are.
[2:09:54.000 --> 2:09:58.000]  Africa, Latin America, other places, they pack up Africa.
[2:09:58.000 --> 2:10:02.000]  They pack up Mexico and they walk right across the border and they bring it here.
[2:10:02.000 --> 2:10:03.000]  And that's ultimately the problem.
[2:10:03.000 --> 2:10:06.000]  And it's white supremacy if you oppose that.
[2:10:06.000 --> 2:10:09.000]  It's white supremacy if you want to keep things the way that they are.
[2:10:09.000 --> 2:10:10.000]  Well, here's the thing.
[2:10:10.000 --> 2:10:15.000]  If people come here and adopt the Western Christian culture, then it'll work and successful.
[2:10:15.000 --> 2:10:17.000]  But if they're against it when they're brought, it's going to fall.
[2:10:17.000 --> 2:10:18.000]  Right.
[2:10:18.000 --> 2:10:23.000]  Well, and, you know, they almost necessarily have to be against it in this particular time
[2:10:23.000 --> 2:10:26.000]  because what exactly can they assimilate into?
[2:10:26.000 --> 2:10:31.000]  The institutions are ripping apart the creed of America, the culture of America.
[2:10:31.000 --> 2:10:32.000]  What are they going to assimilate into?
[2:10:32.000 --> 2:10:35.000]  They're coming into a thing that's already controlled demolition.
[2:10:35.000 --> 2:10:36.000]  Exactly.
[2:10:36.000 --> 2:10:37.000]  Exactly.
[2:10:37.000 --> 2:10:41.000]  They come in and assimilate to Netflix and Nike and MSNBC and Amazon.
[2:10:41.000 --> 2:10:44.000]  They're assimilating into an evil empire.
[2:10:44.000 --> 2:10:48.000]  I mean, we have to, we have to, I think, pump the brakes on the immigration.
[2:10:48.000 --> 2:10:50.000]  We have to defeat the globalist empire.
[2:10:50.000 --> 2:10:54.000]  Then if people want to come in and assimilate to a normal Western America that's familiar,
[2:10:54.000 --> 2:10:56.000]  I mean, then that would make sense to me.
[2:10:56.000 --> 2:10:57.000]  And Nick, let's be clear.
[2:10:57.000 --> 2:11:02.000]  The lockdown starved the third world to death and the UN organizes and then is a weapon to attack.
[2:11:02.000 --> 2:11:03.000]  They admit all this.
[2:11:03.000 --> 2:11:04.000]  Oh, yeah.
[2:11:04.000 --> 2:11:05.000]  So they're exploiting everybody.
[2:11:05.000 --> 2:11:07.000]  They weaponize those people.
[2:11:07.000 --> 2:11:13.000]  The immigrants that are coming over here out of self-interest and other people, they're being weaponized.
[2:11:13.000 --> 2:11:18.000]  The elites do not care about the people in Mexico any more than they care about the people that are in America.
[2:11:18.000 --> 2:11:23.000]  They merely see the people in all countries as pawns, as like playing pieces.
[2:11:23.000 --> 2:11:29.000]  And they're threatened by the wars in Europe and in what's the UK today, the Irish, the Scots, the English.
[2:11:29.000 --> 2:11:32.000]  Over a thousand years fought each other.
[2:11:32.000 --> 2:11:37.000]  Out of that came basic ideas of basic liberty that people, what was hard won.
[2:11:37.000 --> 2:11:39.000]  It was different in the whole planet.
[2:11:39.000 --> 2:11:40.000]  It came here.
[2:11:40.000 --> 2:11:41.000]  It was limited to a certain group.
[2:11:41.000 --> 2:11:43.000]  It expanded, folks said, everybody deserves this.
[2:11:43.000 --> 2:11:45.000]  And now they're using that openness to destroy it.
[2:11:45.000 --> 2:11:50.000]  But it is the Western open Christian ethos of everybody has rights.
[2:11:50.000 --> 2:11:55.000]  Every person's home is their property that stands the way of the globalists who are attacking them.
[2:11:55.000 --> 2:11:59.000]  So that's why they're using the outside world to bring it down because the Western ethos is such a great thing.
[2:11:59.000 --> 2:12:03.000]  It threatens the global corporate takeover and that's why they're sworn to destroy it.
[2:12:03.000 --> 2:12:04.000]  That's right.
[2:12:04.000 --> 2:12:10.000]  The Western civilization that we had at the end of World War II was the triumph of hundreds or thousands of years
[2:12:10.000 --> 2:12:14.000]  of hard fought in wars and in revolutions and things like that.
[2:12:14.000 --> 2:12:19.000]  It blossomed and gave the world a great thing and its slavery and colonialism, oppression, these kinds of things.
[2:12:19.000 --> 2:12:20.000]  But you're right.
[2:12:20.000 --> 2:12:22.000]  They're using that openness.
[2:12:22.000 --> 2:12:28.000]  They're using that sort of liberal tolerant attitude to subvert and destroy the very civilization that gave the world
[2:12:28.000 --> 2:12:31.000]  a sort of more liberal thing that fought the...
[2:12:31.000 --> 2:12:33.000]  And they're going to replace it with a total absolute tyranny.
[2:12:33.000 --> 2:12:36.000]  Let's talk about how to save Western civilization.
[2:12:36.000 --> 2:12:40.000]  Tomorrow, if you come in the morning, I'd love to take 30 minutes commercial free or whatever for that Saturday show.
[2:12:40.000 --> 2:12:42.000]  Nick Foynters, how do folks find you?
[2:12:42.000 --> 2:12:46.000]  I'm at America First Not Live, Monday through Friday at 8 o'clock Central Time.
[2:12:46.000 --> 2:12:47.000]  America First?
[2:12:47.000 --> 2:12:48.000]  Not Live.
[2:12:48.000 --> 2:12:49.000]  Not Live.
[2:12:49.000 --> 2:12:50.000]  All right, Nick Foynters.
[2:12:50.000 --> 2:12:52.000]  All right, Max Kaiser coming up.
[2:12:52.000 --> 2:12:53.000]  Stay with us.
[2:12:57.000 --> 2:12:58.000]  Granny Do Right.
[2:12:58.000 --> 2:12:59.000]  Granny Do Right.
[2:12:59.000 --> 2:13:00.000]  Thanks for holding her on the air.
[2:13:00.000 --> 2:13:01.000]  Go ahead.
[2:13:01.000 --> 2:13:10.000]  Once first of all, let me say I love your products. I am a granny and for all the senior citizens out there that may have spent a lifetime in the sun like me,
[2:13:10.000 --> 2:13:14.000]  I was loaded up with sunspots or age spots as they're lovingly called.
[2:13:14.000 --> 2:13:20.000]  But since taking your X2 for the last couple of years, my skin is just really gorgeous, actually.
[2:13:20.000 --> 2:13:22.000]  People think I'm 55 years old.
[2:13:22.000 --> 2:13:29.000]  And I was already taking your other supplements, but I thought, you know, well, maybe that's what I need to do.
[2:13:29.000 --> 2:13:31.000]  Because I just thought it was a hopeless situation.
[2:13:31.000 --> 2:13:34.000]  But when I started taking it, I mean, it doesn't happen immediately.
[2:13:34.000 --> 2:13:40.000]  But, you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[2:13:40.000 --> 2:13:41.000]  This is working.
[2:13:41.000 --> 2:13:42.000]  This is wonderful.
[2:13:42.000 --> 2:13:46.000]  You know, I don't have to put on derma blend anymore, you know.
[2:13:46.000 --> 2:13:51.000]  So anyway, it worked wonderfully and it really has totally cleared up my skin.
[2:13:51.000 --> 2:13:55.000]  Again.
[2:13:55.000 --> 2:14:00.000]  The globalists are having their revolution, but free humanity has to have its revolution.
[2:14:00.000 --> 2:14:10.000]  We have to first recognize this anti-human takeovers trying to enslave the entire biological processes of humans
[2:14:10.000 --> 2:14:17.000]  and turn us into these artificial corporate controlled slaves.
[2:14:17.000 --> 2:14:26.000]  Orson slaves, just property from cradle to grave of the system, rendered down to be servile minions of the system
[2:14:26.000 --> 2:14:30.000]  and a ritual of dominance and safety and control.
[2:14:30.000 --> 2:14:35.000]  We have to recognize the great reset post-industrial world, which realizes the nightmare dystopia
[2:14:35.000 --> 2:14:40.000]  and we have to promote liberty and freedom that is the opposite of the dystopia.
[2:14:40.000 --> 2:14:41.000]  It's that choice.
[2:14:41.000 --> 2:14:44.000]  It's that realization that's going to change the world.
[2:14:44.000 --> 2:14:48.000]  And it's the only choice we've got, freedom or slavery, go to evil.
[2:14:48.000 --> 2:15:14.000]  It is a spiritual battle and info wars at the tip of the spear fighting it.
[2:15:18.000 --> 2:15:45.000]  Welcome back, ladies and gentlemen, onto this verboten global transmission.
[2:15:45.000 --> 2:15:50.000]  July 7th, the year is 2021.
[2:15:50.000 --> 2:15:55.000]  And I'm going to be hosting into the fourth hour today.
[2:15:55.000 --> 2:16:02.000]  We have a special guest joining us next hour dealing with the plan under carbon taxes to force us out of our physical bodies.
[2:16:02.000 --> 2:16:04.000]  Yes, it sounds insane.
[2:16:04.000 --> 2:16:08.000]  It's a way to kill people, but then say we're not really killing them.
[2:16:08.000 --> 2:16:12.000]  We're putting their identity onto a digital system.
[2:16:12.000 --> 2:16:15.000]  You want to hear next decades news today?
[2:16:15.000 --> 2:16:18.000]  You want to hear 20 years from now today?
[2:16:18.000 --> 2:16:24.000]  You're going to hear that 15 minutes into the next hour and we have a special guest on.
[2:16:24.000 --> 2:16:31.000]  Please remember that the only way this show gets out is you taking clips out of it and sharing it on Instagram, Facebook,
[2:16:31.000 --> 2:16:36.000]  Twitter, YouTube, you name it, rumble, parlor, gab everywhere.
[2:16:36.000 --> 2:16:43.000]  We've been doing that and so we have been really having a huge effect together so I salute you all and thank you all.
[2:16:43.000 --> 2:16:45.000]  Everything we do is free to air.
[2:16:45.000 --> 2:16:51.000]  Please don't remember that the system is doing everything they can to shut us down.
[2:16:51.000 --> 2:16:56.000]  So please remember that when you tell folks about the broadcast, it is a revolutionary act.
[2:16:56.000 --> 2:17:04.000]  All right, we are joined in studio by Max Kaiser and he's got a lot to talk about with the world economy.
[2:17:04.000 --> 2:17:08.000]  We have a big globalist meeting happening up in Idaho.
[2:17:08.000 --> 2:17:11.000]  They don't want us to know about big tech cartels getting together.
[2:17:11.000 --> 2:17:16.000]  So to talk about the state of the world back in studio with us who was here last year is Max Kaiser.
[2:17:16.000 --> 2:17:18.000]  Alex Jones, great to be here.
[2:17:18.000 --> 2:17:19.000]  Great to be back in Austin.
[2:17:19.000 --> 2:17:20.000]  Love Austin.
[2:17:20.000 --> 2:17:22.000]  Fantastic town, city of the future.
[2:17:22.000 --> 2:17:26.000]  The mining, Bitcoin mining industry is now heading to Texas after leaving China.
[2:17:26.000 --> 2:17:27.000]  That's the exciting news.
[2:17:27.000 --> 2:17:31.000]  New jobs, new excitement, new opportunities right here in Texas, baby.
[2:17:31.000 --> 2:17:32.000]  Love it.
[2:17:32.000 --> 2:17:34.000]  And I know you're here to talk about Bitcoin.
[2:17:34.000 --> 2:17:36.000]  I want to get into Bitcoin quite a bit, but also look at big picture.
[2:17:36.000 --> 2:17:38.000]  But you told me to get into Bitcoin 11 years ago.
[2:17:38.000 --> 2:17:39.000]  I didn't.
[2:17:39.000 --> 2:17:40.000]  You told me three years ago, get into it.
[2:17:40.000 --> 2:17:45.000]  And when I said I'm endorsing Bitcoin six months ago, I said, I expect they'll drive it down again.
[2:17:45.000 --> 2:17:47.000]  And then it'll go back up again.
[2:17:47.000 --> 2:17:50.000]  So when they drive it down some, they call it a defeat of Bitcoin.
[2:17:50.000 --> 2:17:52.000]  But this has happened more than 10 times, hasn't it?
[2:17:52.000 --> 2:17:56.000]  Yeah, since we got into it, it's been down like this similarly 15 times.
[2:17:56.000 --> 2:17:58.000]  Yeah, these types of pullbacks.
[2:17:58.000 --> 2:18:01.000]  This is an average pullback right now.
[2:18:01.000 --> 2:18:06.000]  What you see in the mining community or what's called the hash rate, it's starting to pick up again
[2:18:06.000 --> 2:18:11.000]  because 60% of it moved from China to a lot of it to Texas, some to Kazakhstan.
[2:18:11.000 --> 2:18:13.000]  And now it's recalibrating.
[2:18:13.000 --> 2:18:17.000]  The beautiful part about this technology is that the blocks that come every 10 minutes were never interrupted.
[2:18:17.000 --> 2:18:19.000]  Try doing that with a gold mine.
[2:18:19.000 --> 2:18:23.000]  You can't pick up a gold mine or a silver mine in Mexico and move it to another country overnight.
[2:18:23.000 --> 2:18:24.000]  Nope.
[2:18:24.000 --> 2:18:25.000]  So it's virtual.
[2:18:25.000 --> 2:18:26.000]  Yep.
[2:18:26.000 --> 2:18:27.000]  That's right.
[2:18:27.000 --> 2:18:28.000]  It's virtual.
[2:18:28.000 --> 2:18:32.000]  So folks, about the 11-year history of Bitcoin and where it is right now and where you think it's going,
[2:18:32.000 --> 2:18:34.000]  let's get right to the chase here.
[2:18:34.000 --> 2:18:35.000]  Right.
[2:18:35.000 --> 2:18:39.000]  Well, the history goes back 20, 25 years, and it was always the dream of what are called the cipher punks
[2:18:39.000 --> 2:18:41.000]  to develop digital gold.
[2:18:41.000 --> 2:18:45.000]  Finally, after a few failed attempts, the thing happened in 2009.
[2:18:45.000 --> 2:18:48.000]  And that first couple of years, it wasn't that popular.
[2:18:48.000 --> 2:18:52.000]  I picked up on it because I had done something in the 90s, as you know, the Hollywood Stock Exchange.
[2:18:52.000 --> 2:18:53.000]  So I looked at it.
[2:18:53.000 --> 2:18:55.000]  We started covering it in 2011.
[2:18:55.000 --> 2:19:01.000]  And then it started to get traction and then it started to get the attention of people who were looking for an alternative to inflation
[2:19:01.000 --> 2:19:03.000]  because inflation is becoming a huge problem.
[2:19:03.000 --> 2:19:05.000]  And it's now the cat's out of the bag.
[2:19:05.000 --> 2:19:07.000]  You can't hide it anymore.
[2:19:07.000 --> 2:19:12.000]  And people are looking for a place to store their wealth and they're going increasingly into Bitcoin.
[2:19:12.000 --> 2:19:14.000]  In the last year, we had Michael Saylor from Michael's Strategy.
[2:19:14.000 --> 2:19:16.000]  He put billions of dollars into it.
[2:19:16.000 --> 2:19:19.000]  We've got Paul Tudor Jones, one of the most famous hedge fund managers in the world.
[2:19:19.000 --> 2:19:20.000]  He has a position in it.
[2:19:20.000 --> 2:19:24.000]  You've got an ETF coming, an exchange-traded fund, which will be Bitcoin.
[2:19:24.000 --> 2:19:25.000]  That'll be into it.
[2:19:25.000 --> 2:19:28.000]  There's 150 million users of Bitcoin today.
[2:19:28.000 --> 2:19:32.000]  So we're roughly at the same spot the internet was in 1997.
[2:19:32.000 --> 2:19:37.000]  And you predicted that they would try to drive it down again, which they've done.
[2:19:37.000 --> 2:19:40.000]  Guys, pull up a 12-year or 11-year graph on Bitcoin.
[2:19:40.000 --> 2:19:42.000]  But it's already started to go back up, correct?
[2:19:42.000 --> 2:19:47.000]  Yeah, it has a bottom and it's got the user bases keep expanding exponentially.
[2:19:47.000 --> 2:19:50.000]  And the fundamentals are still extremely strong.
[2:19:50.000 --> 2:19:54.000]  And my target of $220,000 for the year 2021 is still in place.
[2:19:54.000 --> 2:19:59.000]  Well, looking at 11-year graph on screen, that does not look like something that's dead.
[2:19:59.000 --> 2:20:01.000]  That looks like something that is just getting stronger.
[2:20:01.000 --> 2:20:02.000]  Absolutely.
[2:20:02.000 --> 2:20:03.000]  These are pullbacks.
[2:20:03.000 --> 2:20:07.000]  You know, when you go to the hardware store and you see hammers on sale for 50% off,
[2:20:07.000 --> 2:20:09.000]  you say, hey, great, I'm going to buy 50% off.
[2:20:09.000 --> 2:20:10.000]  I need a hammer.
[2:20:10.000 --> 2:20:12.000]  Here, Bitcoin is 50% off.
[2:20:12.000 --> 2:20:14.000]  Everyone should own it and you get it at a cheaper price.
[2:20:14.000 --> 2:20:19.000]  If you go to swanbitcoin.com forward slash Alex, you can pick up some Bitcoin right now.
[2:20:19.000 --> 2:20:23.000]  You can get $10 for free if you use your promo code, which is another.
[2:20:23.000 --> 2:20:25.000]  And that is a good, clean place to get involved.
[2:20:25.000 --> 2:20:27.000]  And I'm not saying it's a messiah like you are.
[2:20:27.000 --> 2:20:31.000]  I'm just saying the fiat currencies, the dollar, the yen, the yon, the euro,
[2:20:31.000 --> 2:20:33.000]  they're complete frauds run by the globalist.
[2:20:33.000 --> 2:20:36.000]  So why shouldn't we have competing private currencies,
[2:20:36.000 --> 2:20:39.000]  especially one that has the blockchain and all this?
[2:20:39.000 --> 2:20:41.000]  And of course, you know, the globalists try to play both sides of it.
[2:20:41.000 --> 2:20:43.000]  Is that because they're speculating in it?
[2:20:43.000 --> 2:20:48.000]  Because I really just see Bitcoin capitulation, you know, a term I invented.
[2:20:48.000 --> 2:20:51.000]  I really think it's going to continue on regardless of what they do.
[2:20:51.000 --> 2:20:53.000]  Well, you made an excellent point there.
[2:20:53.000 --> 2:20:55.000]  It's the first real example of private money.
[2:20:55.000 --> 2:20:58.000]  This is the first time money has ever been separated from the state,
[2:20:58.000 --> 2:21:00.000]  separating state from money.
[2:21:00.000 --> 2:21:03.000]  It's as significant as when we had separation of state and church
[2:21:03.000 --> 2:21:05.000]  during the Enlightenment, during the Renaissance.
[2:21:05.000 --> 2:21:08.000]  This is that cosmic in scale.
[2:21:08.000 --> 2:21:10.000]  The second thing is, if you look at it in the following way,
[2:21:10.000 --> 2:21:13.000]  it starts to kick in what the importance is.
[2:21:13.000 --> 2:21:16.000]  If you own fiat money, you're guaranteed to lose purchasing power
[2:21:16.000 --> 2:21:18.000]  because they're guaranteed to print more.
[2:21:18.000 --> 2:21:22.000]  If you own gold, you're guaranteed to maintain purchasing power.
[2:21:22.000 --> 2:21:24.000]  An ounce of gold today buys a suit.
[2:21:24.000 --> 2:21:27.000]  An ounce of gold 500 years ago, you could buy a suit.
[2:21:27.000 --> 2:21:31.000]  By Bitcoin, you're guaranteed to, and it's mathematically a certainty
[2:21:31.000 --> 2:21:35.000]  to increase purchasing power, increase purchasing power with Bitcoin.
[2:21:35.000 --> 2:21:38.000]  It's a mathematical guaranteed certainty.
[2:21:38.000 --> 2:21:43.000]  Because there's a lot of fiat money being printed and people...
[2:21:43.000 --> 2:21:44.000]  Well, let's talk about that.
[2:21:44.000 --> 2:21:47.000]  I'm back into Bitcoin, but it's a doorway to everything that's happening.
[2:21:47.000 --> 2:21:51.000]  What's going on with the velocity of money, the printing, the issuance of it?
[2:21:51.000 --> 2:21:53.000]  I see those graphs the last five years.
[2:21:53.000 --> 2:21:55.000]  Twice as much money issued had ever been issued before.
[2:21:55.000 --> 2:21:56.000]  What's going on?
[2:21:56.000 --> 2:21:57.000]  Right.
[2:21:57.000 --> 2:22:00.000]  Well, the amount of money being printed is astronomical.
[2:22:00.000 --> 2:22:03.000]  Something like 25% of all the money created in the history of the United States
[2:22:03.000 --> 2:22:05.000]  was created in the last 24 months.
[2:22:05.000 --> 2:22:06.000]  I mean, it's just incredible.
[2:22:06.000 --> 2:22:08.000]  And that's happening all over the world,
[2:22:08.000 --> 2:22:11.000]  but you make an interesting point there in terms of money velocity.
[2:22:11.000 --> 2:22:13.000]  Money velocity is actually heading to zero
[2:22:13.000 --> 2:22:17.000]  because when the money is printed, it ends up in the hands of a few banks,
[2:22:17.000 --> 2:22:18.000]  and they don't lend it out.
[2:22:18.000 --> 2:22:21.000]  They don't actually increase economic activity in any way.
[2:22:21.000 --> 2:22:23.000]  And that's why you have this incredible wealth and income gap.
[2:22:23.000 --> 2:22:25.000]  That's why you have so many rioters on the street.
[2:22:25.000 --> 2:22:26.000]  There's so many protests.
[2:22:26.000 --> 2:22:28.000]  Why the economy is dysfunctional.
[2:22:28.000 --> 2:22:30.000]  Why infrastructure is crumbling.
[2:22:30.000 --> 2:22:33.000]  And they want to divert off into race when it's the elites robbing us all.
[2:22:33.000 --> 2:22:37.000]  That's why they're funding Black Lives Matter to make it racial instead of it being class.
[2:22:37.000 --> 2:22:42.000]  They love to bring up the social justice warrior topics that are inconsequential,
[2:22:42.000 --> 2:22:45.000]  compared to the travesty of too much money printing.
[2:22:45.000 --> 2:22:47.000]  They don't want people to think about that money printing
[2:22:47.000 --> 2:22:49.000]  and the devastation it's doing to society.
[2:22:49.000 --> 2:22:51.000]  So they'll bring up these tangential topics,
[2:22:51.000 --> 2:22:55.000]  social justice warrior topics that really are inconsequential.
[2:22:55.000 --> 2:22:56.000]  That's why they do it.
[2:22:56.000 --> 2:22:59.000]  It's a deflection campaign, for sure.
[2:22:59.000 --> 2:23:02.000]  And they get people really heartfelt and emotionally involved
[2:23:02.000 --> 2:23:04.000]  because a squirrel somewhere is starving.
[2:23:04.000 --> 2:23:06.000]  But the fact that they're...
[2:23:06.000 --> 2:23:08.000]  I mean, I go on some of these big black hip-hop shows,
[2:23:08.000 --> 2:23:09.000]  and they're smart folks.
[2:23:09.000 --> 2:23:11.000]  They make a lot of interesting points.
[2:23:11.000 --> 2:23:13.000]  They're intangible to listen to.
[2:23:13.000 --> 2:23:15.000]  But it's like this on a Republican or Democrat show as well.
[2:23:15.000 --> 2:23:18.000]  They're just caught up in their particular politics.
[2:23:18.000 --> 2:23:20.000]  And I'm like, hey, you know this is all a diversion
[2:23:20.000 --> 2:23:23.000]  from 20 million Africans starving to death on another lockdown.
[2:23:23.000 --> 2:23:25.000]  And they don't even know how to respond.
[2:23:25.000 --> 2:23:26.000]  And they're so heartfelt on it.
[2:23:26.000 --> 2:23:28.000]  You know this is a distraction, right?
[2:23:28.000 --> 2:23:32.000]  There's a book, excellent book, called Bitcoin in Black America,
[2:23:32.000 --> 2:23:34.000]  written by Isaiah Jackson.
[2:23:34.000 --> 2:23:35.000]  And on page 11, it says...
[2:23:35.000 --> 2:23:37.000]  He heard about Bitcoin from Max Kaiser.
[2:23:37.000 --> 2:23:38.000]  Who made the filing statement?
[2:23:38.000 --> 2:23:41.000]  If Black America today bought Bitcoin when it was a dollar,
[2:23:41.000 --> 2:23:44.000]  they would eventually be able to buy white America.
[2:23:44.000 --> 2:23:47.000]  And that statement holds true today as it did 10 years ago.
[2:23:47.000 --> 2:23:50.000]  All right, let's talk about where the global economy is going straight ahead.
[2:23:54.000 --> 2:23:56.000]  Your voice counts.
[2:23:56.000 --> 2:24:00.000]  When you share information, be it over the Internet or in person,
[2:24:00.000 --> 2:24:01.000]  it changes the world.
[2:24:01.000 --> 2:24:04.000]  The globalists know their agenda is unpopular.
[2:24:04.000 --> 2:24:05.000]  They know you're angry.
[2:24:05.000 --> 2:24:08.000]  And now to get around big tech, it's more important than ever
[2:24:08.000 --> 2:24:11.000]  that we use every tool we've got.
[2:24:11.000 --> 2:24:15.000]  Well, ladies and gentlemen, if you sign up for our free news and show alerts,
[2:24:15.000 --> 2:24:18.000]  you can then take those alerts, those articles and those live feeds,
[2:24:18.000 --> 2:24:20.000]  both the regular shows and special reports,
[2:24:20.000 --> 2:24:22.000]  and share them with everyone you know.
[2:24:22.000 --> 2:24:29.000]  Take action now by texting the word news, N-E-W-S, to 833-470-0438.
[2:24:29.000 --> 2:24:34.000]  That's 833-470-0438 for info or emergency news alerts.
[2:24:34.000 --> 2:24:41.000]  Or text the word show to 833-470-0438 and receive live show notifications.
[2:24:41.000 --> 2:24:42.000]  Take action now.
[2:24:42.000 --> 2:24:45.000]  Rate the chain reaction until others share those texts.
[2:24:45.000 --> 2:24:49.000]  Get news alerts at 833-470-0438.
[2:24:55.000 --> 2:24:57.000]  What are champions made of?
[2:24:57.000 --> 2:25:04.000]  Here's a man who can show you.
[2:25:27.000 --> 2:25:55.000]  You know, it's crazy to get to this point.
[2:25:55.000 --> 2:25:57.000]  It's very bitter sweet.
[2:25:57.000 --> 2:26:00.000]  Everything we've talked about has happened just like we said it would.
[2:26:00.000 --> 2:26:02.000]  And now we have a lot of credibility, but I don't care about that.
[2:26:02.000 --> 2:26:04.000]  I care about beating the new world order.
[2:26:04.000 --> 2:26:06.000]  And it's because we have so much credibility,
[2:26:06.000 --> 2:26:09.000]  they can't allow us to stay on air much longer.
[2:26:09.000 --> 2:26:11.000]  And I don't have time to tell you all the stuff they're doing to us.
[2:26:11.000 --> 2:26:14.000]  For a lot of reasons, I can't tell you what's going on.
[2:26:14.000 --> 2:26:15.000]  But let's just say this.
[2:26:15.000 --> 2:26:17.000]  We're going to see this through to the end.
[2:26:17.000 --> 2:26:19.000]  We're going to stay on air as long as we can.
[2:26:19.000 --> 2:26:22.000]  So please pray for us and please buy the products.
[2:26:22.000 --> 2:26:25.000]  They're great products, plus they fund the operation.
[2:26:25.000 --> 2:26:28.000]  So you know, unlike other products you can buy, they're still great.
[2:26:28.000 --> 2:26:30.000]  Do they fund freedom? No, a lot of them don't.
[2:26:30.000 --> 2:26:34.000]  These are great products that fund freedom and fund justice
[2:26:34.000 --> 2:26:37.000]  when the whole world's waking up and looking for truth.
[2:26:37.000 --> 2:26:39.000]  That's why the globalists are censoring.
[2:26:39.000 --> 2:26:42.000]  They can't bring in all this tyranny and leave people like us on the air.
[2:26:42.000 --> 2:26:45.000]  So while you're at it, don't just financially support us and spread the word.
[2:26:45.000 --> 2:26:48.000]  Download everything we've done you can find and save it.
[2:26:48.000 --> 2:26:50.000]  Because who knows how long we're going to be on the air
[2:26:50.000 --> 2:26:53.000]  and the enemy is trying to destroy everything we ever said.
[2:26:53.000 --> 2:26:57.000]  The scientific dictatorship that I've been warning you about for 27 years
[2:26:57.000 --> 2:27:00.000]  has now gone from beta testing to operational.
[2:27:00.000 --> 2:27:04.000]  The globalists are out in the open with their planetary depopulation takeover,
[2:27:04.000 --> 2:27:06.000]  their robot takeover.
[2:27:06.000 --> 2:27:09.000]  But the good news is we've been working and you've been working,
[2:27:09.000 --> 2:27:11.000]  and others have been working across the planet for decades
[2:27:11.000 --> 2:27:14.000]  to get ready for this, to be able to find it off.
[2:27:14.000 --> 2:27:16.000]  Humanity is strong. We're incredible.
[2:27:16.000 --> 2:27:18.000]  And if we're aware of the attack that's happening,
[2:27:18.000 --> 2:27:20.000]  we have a real chance of defeating it.
[2:27:20.000 --> 2:27:22.000]  If we ask God for guidance, we will defeat it.
[2:27:22.000 --> 2:27:25.000]  So prayer is essential. Research is essential.
[2:27:25.000 --> 2:27:26.000]  Getting prepared is essential.
[2:27:26.000 --> 2:27:28.000]  And warning others is absolutely essential.
[2:27:28.000 --> 2:27:31.000]  And at the same time, supporting InfoWars
[2:27:31.000 --> 2:27:34.000]  by buying high-quality products to keep us on air is essential
[2:27:34.000 --> 2:27:36.000]  because they're great products for you and your family,
[2:27:36.000 --> 2:27:38.000]  and they're also funding our operation.
[2:27:38.000 --> 2:27:40.000]  InfoWarsStore.com.
[2:27:40.000 --> 2:27:43.000]  InfoWarsStore.com is incredible.
[2:27:43.000 --> 2:27:45.000]  A lot of our products that have been sold out
[2:27:45.000 --> 2:27:48.000]  because the supply chain breakdowns are back in like bodies,
[2:27:48.000 --> 2:27:49.000]  vasovetes, and others.
[2:27:49.000 --> 2:27:51.000]  So get them today at InfoWarsStore.com
[2:27:51.000 --> 2:27:54.000]  and I thank you for being part of the Resistance.
[2:27:56.000 --> 2:27:59.000]  You're listening to the Alex Jones Show.
[2:27:59.000 --> 2:28:01.000]  You
[2:28:14.000 --> 2:28:18.000]  Waging war on corruption, it's Alex Jones
[2:28:18.000 --> 2:28:22.000]  coming to you live from the front lines of the InfoWars.
[2:28:22.000 --> 2:28:27.000]  All right, Max Kaiser is in studio with us,
[2:28:27.000 --> 2:28:29.000]  15 minutes into the next hour,
[2:28:29.000 --> 2:28:31.000]  then I've got a special guest joining us
[2:28:31.000 --> 2:28:33.000]  about the Globalist in-game
[2:28:33.000 --> 2:28:37.000]  of by law declaring our carbon-based bodies illegal
[2:28:37.000 --> 2:28:39.000]  and making us be uploaded to machines,
[2:28:39.000 --> 2:28:40.000]  which is really a way to kill us.
[2:28:40.000 --> 2:28:41.000]  They won't call it genocide.
[2:28:41.000 --> 2:28:44.000]  They'll say, oh, no, you're a trans person
[2:28:44.000 --> 2:28:46.000]  turning into this ethereal creature.
[2:28:46.000 --> 2:28:49.000]  Microsoft has all the technology
[2:28:49.000 --> 2:28:52.000]  into this ethereal creature.
[2:28:52.000 --> 2:28:53.000]  Microsoft has all the patents.
[2:28:53.000 --> 2:28:55.000]  That's their extermination plan.
[2:28:55.000 --> 2:28:57.000]  That's coming up in T minus 45 minutes.
[2:28:57.000 --> 2:29:00.000]  Max Kaiser, you're a really smart,
[2:29:00.000 --> 2:29:02.000]  former top stock broker.
[2:29:02.000 --> 2:29:05.000]  I've seen you in the 1980s on Nightline and stuff.
[2:29:05.000 --> 2:29:06.000]  You look a lot younger than you are.
[2:29:06.000 --> 2:29:08.000]  You're actually probably 400 years old,
[2:29:08.000 --> 2:29:11.000]  but seriously, down Dracula next to me, I'm joking.
