[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[02:06:27.491 --> 02:06:28.911]  First time callers today.
[02:06:30.095 --> 02:06:30.335]  877-789-2539.
[02:06:30.335 --> 02:06:30.736]  877-789-2539.
[02:06:30.736 --> 02:06:40.221]  We're taking first time callers today.
[02:06:40.221 --> 02:06:48.065]  And don't forget, ladies and gentlemen, in fact, they just gave me a fresh bottle of the Pure Turmeric Extract from InfowarsStore.com.
[02:06:50.305 --> 02:06:57.070]  We set off to create our own turmeric extract that was even more powerful and high quality than what we had been selling.
[02:06:57.070 --> 02:07:03.515]  We researched and tested formulas from dozens of manufacturers, but none were up to the InfoWars Life Platinum Standard.
[02:07:03.515 --> 02:07:14.563]  Years later, we have finally secured a first run of the new InfoWars Life Pure Turmeric Extract, exclusively available at InfoWarsStore.com.
[02:07:14.563 --> 02:07:19.526]  For thousands of years, turmeric has been a staple in traditional Indian Ayurvedic
[02:07:20.367 --> 02:07:20.847]  I think?
[02:07:40.080 --> 02:07:43.802]  25% off and selling out fast.
[02:07:43.802 --> 02:07:51.465]  Guys, make sure to give the guys down there at Copy a big round of applause for throwing an Indian IU verdict.
[02:07:51.465 --> 02:07:53.106]  Really appreciate that one, guys.
[02:07:53.106 --> 02:07:54.866]  Thank you so much.
[02:07:54.866 --> 02:07:56.427]  Must be elite, though.
[02:07:56.427 --> 02:07:58.528]  It's only elite if it's at Infowarsstore.com.
[02:07:58.528 --> 02:07:59.969]  All right.
[02:07:59.969 --> 02:08:02.690]  The crew is getting the first-time callers lined up here.
[02:08:02.690 --> 02:08:05.391]  I've got news that I can pile drive through as we do that.
[02:08:10.475 --> 02:08:15.576]  Davos, the World Economic Forum is meeting there.
[02:08:15.576 --> 02:08:20.837]  And now they said, oh, we're permanently banning Donald Trump.
[02:08:20.837 --> 02:08:23.478]  Oh, they don't even want him there.
[02:08:23.478 --> 02:08:27.759]  They don't want him in there listening in on what they're doing.
[02:08:27.759 --> 02:08:38.901]  And I wonder how many of the organizers of this actually made a billion dollars on their own accord, but not through non-governmental, but governmental, really world governmental entities.
[02:08:41.345 --> 02:08:47.330]  Just shifting political money back and forth, government funding back and forth.
[02:08:47.330 --> 02:08:55.998]  So they say, nope, we don't want Trump and he can never come back because he'll tell the world our plan to destroy the world economy in a great reset.
[02:08:55.998 --> 02:09:06.467]  But Xi Jinping, the Chinese dictator, he delivers speech to open up the World Economic Forum in Davos.
[02:09:07.418 --> 02:09:09.439]  They are admitting they said it was a conspiracy theory.
[02:09:09.439 --> 02:09:09.939]  Remember that?
[02:09:09.939 --> 02:09:11.279]  They said, oh, conspiracy theory.
[02:09:11.279 --> 02:09:12.260]  There's no Great Reset.
[02:09:12.260 --> 02:09:18.022]  Well, that's the theme of the Davos 2021, to achieve a Great Reset.
[02:09:18.022 --> 02:09:22.763]  And of course, the organizer, the head of it, Klaus Schwab, he says it.
[02:09:22.763 --> 02:09:25.104]  I mean, he said Great Reset probably a dozen times.
[02:09:25.104 --> 02:09:27.085]  And they just say, stop saying Great Reset.
[02:09:27.085 --> 02:09:29.946]  That's a conspiracy theory.
[02:09:29.946 --> 02:09:32.587]  And it just shows you how out of control, out of touch,
[02:09:33.749 --> 02:09:41.852]  The mainstream media really is, it's unfathomable, quite frankly.
[02:09:41.852 --> 02:09:57.978]  Other things that are being discussed, obviously how they're going to launch new world wars to consolidate even more power, how they're going to continue to siphon power off of the fake pandemic.
[02:09:57.978 --> 02:10:00.039]  Just some of the other agenda
[02:10:01.022 --> 02:10:03.664]  Items at the World Economic Forum in Davos.
[02:10:03.664 --> 02:10:05.465]  But oh, it's a conspiracy theorist.
[02:10:05.465 --> 02:10:07.726]  In fact, conspiracy theory.
[02:10:07.726 --> 02:10:10.588]  President Xi Jinping probably doesn't even exist.
[02:10:10.588 --> 02:10:11.948]  He's not even a real person.
[02:10:11.948 --> 02:10:13.429]  In fact, China doesn't even exist.
[02:10:13.429 --> 02:10:15.450]  It's a conspiracy theory.
[02:10:15.450 --> 02:10:19.032]  There's no such thing as the Communist Chinese.
[02:10:19.032 --> 02:10:21.454]  It doesn't even exist.
[02:10:21.454 --> 02:10:22.374]  Okay?
[02:10:22.374 --> 02:10:26.497]  So just calm down.
[02:10:26.497 --> 02:10:26.897]  All right?
[02:10:27.469 --> 02:10:30.590]  The Great Reset is not happening.
[02:10:30.590 --> 02:10:31.991]  There is no New World Order.
[02:10:31.991 --> 02:10:33.892]  There is no World Economic Forum.
[02:10:33.892 --> 02:10:41.896]  I mean, hell, they might as well go that far at this point.
[02:10:41.896 --> 02:10:44.757]  It's just crazy, man.
[02:10:44.757 --> 02:10:51.700]  Because all the double standard, all the hypocrisy, all the lies, all the deception just hits me like a wave.
[02:10:51.700 --> 02:10:53.801]  And it's like, do I just cover the waterfront of all of it again?
[02:10:53.801 --> 02:10:54.782]  I mean, Joe Biden?
[02:10:56.561 --> 02:11:00.122]  Wasn't it Joe Biden at the World Economic Forum?
[02:11:00.122 --> 02:11:22.186]  I blackmailed, I bribed Ukraine with billions of dollars in foreign aid to get my son a million dollar job on a oil company board, but the company was being investigated for criminal activity by a prosecutor, so I, Joe Biden, said on a live camera, on a live feed, I bragged!
[02:11:24.059 --> 02:11:39.605]  I, Joe Biden, I bragged about how I got that prosecutor fired to enrich my family and how I used my position of political power and my country's taxpayer dollars to do it.
[02:11:39.605 --> 02:11:43.566]  This is a conspiracy theory!
[02:11:43.566 --> 02:11:46.647]  That's the response.
[02:11:46.647 --> 02:11:51.169]  Oh, I'm sure it's a conspiracy theory that Biden wants to hurt America.
[02:11:51.169 --> 02:11:52.229]  I'm sure that's just
[02:11:53.564 --> 02:11:54.625]  A conspiracy theory.
[02:11:54.625 --> 02:11:55.865]  The war machine is back on.
[02:11:55.865 --> 02:11:59.907]  Paul Joseph Watson has the story at InfoWars.com.
[02:11:59.907 --> 02:12:04.890]  Of course there's more.
[02:12:04.890 --> 02:12:08.992]  Taiwan reports large incursion by Chinese Air Force.
[02:12:08.992 --> 02:12:13.594]  Soldiers injured in fresh border skirmish between India and China.
[02:12:13.594 --> 02:12:20.758]  And now foreign companies are giving up on the United States and betting big on China, according to a CNN report, if you believe that.
[02:12:22.896 --> 02:12:33.661]  Oh, but Biden is going to stand up to China, though.
[02:12:33.661 --> 02:12:37.062]  Very, very sad.
[02:12:37.062 --> 02:12:39.803]  And now the Democrats.
[02:12:39.803 --> 02:12:42.164]  This is really just next level.
[02:12:42.164 --> 02:12:44.025]  This is one of those things I didn't think I'd witness.
[02:12:44.025 --> 02:12:45.546]  I knew it would come eventually.
[02:12:45.546 --> 02:12:51.208]  I didn't think I'd be the one to witness it or be in the crosshairs of it.
[02:12:51.208 --> 02:12:52.189]  Tulsi Cabbard gets it.
[02:12:53.601 --> 02:12:57.922]  She says the domestic terrorism bill being proposed by the Democrats is the targeting of almost half the country.
[02:12:57.922 --> 02:13:00.043]  Yeah, that's the point.
[02:13:00.043 --> 02:13:06.604]  But see, it's Pelosi that's scared because she's the real criminal.
[02:13:06.604 --> 02:13:09.685]  That's why they need all that military force in D.C.
[02:13:09.685 --> 02:13:10.585]  because they're scared.
[02:13:10.585 --> 02:13:13.286]  They know that we know they're criminals.
[02:13:13.286 --> 02:13:15.826]  But see, they're so arrogant.
[02:13:15.826 --> 02:13:16.727]  They're so punkish.
[02:13:16.727 --> 02:13:17.567]  They're so snobby.
[02:13:19.571 --> 02:13:21.713]  They still treat them like total garbage.
[02:13:21.713 --> 02:13:32.444]  I mean, that is the sociopathic, psychotic element of these politicians that are living in fear now because they've committed crimes, and we all know about it.
[02:13:32.444 --> 02:13:33.404]  We can read the U.S.
[02:13:33.404 --> 02:13:36.147]  Code.
[02:13:36.147 --> 02:13:37.809]  So we know.
[02:13:37.809 --> 02:13:38.590]  And they know we know.
[02:13:39.582 --> 02:13:41.242]  They've been caught red-handed stealing elections.
[02:13:41.242 --> 02:13:43.443]  I don't think there are any legitimate elections.
[02:13:43.443 --> 02:13:44.903]  In fact, you know, I was even thinking about this.
[02:13:44.903 --> 02:13:49.684]  Remember AOC pulls off the big, big upset victory over that top-tier Democrat?
[02:13:49.684 --> 02:13:50.585]  They probably stole that.
[02:13:50.585 --> 02:13:51.725]  Probably totally fake.
[02:13:51.725 --> 02:13:54.346]  It's all totally fake.
[02:13:54.346 --> 02:13:57.026]  But see, they don't even have the common decency.
[02:13:57.026 --> 02:14:02.167]  They don't even have that human touch to act like they care about the military.
[02:14:02.167 --> 02:14:08.269]  They still treat them like garbage, making them sleep on cold cement, making them sleep in masks, taking away their ammunition and magazines.
[02:14:09.994 --> 02:14:12.895]  Because that's the essence of who these politicians are.
[02:14:12.895 --> 02:14:14.736]  That's the essence of D.C.
[02:14:14.736 --> 02:14:21.239]  That's the essence of the Democrat Party.
[02:14:21.239 --> 02:14:27.261]  Like, hey, you know, you stick a guy up, give me your wallet, give me your jewelry.
[02:14:27.261 --> 02:14:29.282]  Okay, okay, fine, fine.
[02:14:29.282 --> 02:14:32.623]  You hand over the wallet, you hand over the jewelry, no one gets hurt.
[02:14:32.623 --> 02:14:34.704]  All right, here's the wallet, here's the jewelry.
[02:14:34.704 --> 02:14:38.386]  And then they just decide to shoot you in the leg and kick you in the head a couple times just for fun.
[02:14:39.835 --> 02:14:45.522]  That's the essence of these sociopathic, psychotic politicians.
[02:14:45.522 --> 02:14:48.085]  And yeah, they mean it.
[02:14:48.085 --> 02:14:48.986]  They mean it.
[02:14:48.986 --> 02:14:51.429]  They're coming for you.
[02:14:51.429 --> 02:14:54.693]  The Hill headline, lawmakers move to oust extremists from military.
[02:14:54.693 --> 02:14:55.554]  I think you know what that means.
[02:14:58.243 --> 02:15:02.285]  One in five people charged in connection with the riot have some form of military background.
[02:15:02.285 --> 02:15:04.787]  Yeah, they signed up to defend the country.
[02:15:04.787 --> 02:15:07.048]  You're attacking the country every day politically.
[02:15:07.048 --> 02:15:11.491]  Biden's attacking the country every day with his legislation.
[02:15:11.491 --> 02:15:15.373]  The media, the Democrats, are attacking the country every day when they censor free speech.
[02:15:15.373 --> 02:15:18.035]  Biden just proposed a tax on firearms.
[02:15:18.035 --> 02:15:19.175]  That's an attack on the country.
[02:15:19.175 --> 02:15:20.016]  So, yeah.
[02:15:21.055 --> 02:15:25.197]  The military that signed an oath to the... See, here's what it is.
[02:15:25.197 --> 02:15:27.157]  But here's the real headline from Big League Politics.
[02:15:27.157 --> 02:15:34.100]  Democrats move to ban Trump supporters from joining the military and holding federal jobs.
[02:15:34.100 --> 02:15:36.221]  See?
[02:15:36.221 --> 02:15:45.864]  It's all about a total rewrite of American culture and just to make you afraid to breathe.
[02:15:45.864 --> 02:15:47.305]  It's just unbelievable, man.
[02:15:47.305 --> 02:15:47.985]  I mean, they're...
[02:15:49.633 --> 02:15:53.714]  They're totally out of control and now they feel more empowered because they stole an election in broad daylight.
[02:15:53.714 --> 02:15:57.756]  Hey everybody, confused about staying healthy in a crazy COVID culture?
[02:15:57.756 --> 02:15:58.516]  Me too.
[02:15:58.516 --> 02:16:05.619]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[02:16:05.619 --> 02:16:09.600]  It's that immune system health can literally be the difference between life and death.
[02:16:10.000 --> 02:16:11.901]  You probably already believe that.
[02:16:11.901 --> 02:16:12.921]  I certainly do.
[02:16:12.921 --> 02:16:13.862]  So here's the thing.
[02:16:13.862 --> 02:16:22.745]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[02:16:22.745 --> 02:16:28.187]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[02:16:28.187 --> 02:16:29.248]  No cures or treatments there.
[02:16:29.528 --> 02:16:38.754]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[02:16:38.754 --> 02:16:39.654]  And the best part?
[02:16:39.654 --> 02:16:46.379]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[02:16:46.379 --> 02:16:47.219]  Crazy, right?
[02:16:47.219 --> 02:16:51.202]  Learn more about this unusual limited time offer at StrongerDefense.com.
[02:16:51.202 --> 02:16:52.683]  That's StrongerDefense.com.
[02:16:53.303 --> 02:16:59.305]  There's so much hand sanitizer on the market, but beware, not all hand sanitizers are created equal.
[02:16:59.305 --> 02:17:02.545]  That's why you want to use 2020 Safe hand sanitizer.
[02:17:02.545 --> 02:17:08.227]  You can trust the hand sanitizer on 2020safe.net to be made with the highest quality ingredients.
[02:17:08.227 --> 02:17:11.948]  American made with American ingredients employing Americans.
[02:17:12.288 --> 02:17:16.431]  Log on now to 2020safe.net and order your one liter today.
[02:17:16.431 --> 02:17:19.774]  Normally $29.99, but reduced to $19.99.
[02:17:19.774 --> 02:17:23.276]  So hurry while supplies last and receive a bonus.
[02:17:23.276 --> 02:17:24.177]  That's right.
[02:17:24.177 --> 02:17:32.243]  You'll receive a 30-count bottle of Immune Booster, a $39.95 value free by using code GCN at checkout right now.
[02:17:32.443 --> 02:17:34.344]  Click 2020safe.net.
[02:17:34.344 --> 02:17:37.766]  That's 2-0-2-0-S-A-F-E dot net.
[02:17:37.766 --> 02:17:42.569]  To get our 1 liter bottle of high quality hand sanitizer with your free bonus.
[02:17:42.569 --> 02:17:46.391]  A 30 count bottle of Immune Booster valued at $39.95.
[02:17:46.391 --> 02:17:48.593]  Remember to enter GCN at checkout.
[02:17:48.593 --> 02:17:50.314]  And the bonus is yours free!
[02:17:50.314 --> 02:17:50.814]  2020safe.net.
[02:17:54.898 --> 02:17:57.280]  The post-industrial world.
[02:17:57.280 --> 02:18:06.549]  That's what George Herbert Walker Bush signed on to at the Rio de Janeiro Agenda 21 conference back in 1992.
[02:18:06.549 --> 02:18:11.073]  Now they've launched Agenda 2030, which is a post-industrial world.
[02:18:11.073 --> 02:18:16.938]  Klaus Schwab of the Davos Group, Trudeau, the Prime Minister of Canada, they're all on record saying the Great Reset is Agenda 2030.
[02:18:19.781 --> 02:18:22.784]  Well, you might want to find out what Agenda 2030 is.
[02:18:22.784 --> 02:18:25.907]  It is the destruction of society as we know it.
[02:18:25.907 --> 02:18:27.889]  It is making the population poor.
[02:18:27.889 --> 02:18:33.795]  By design, so we can be controlled with a medical technocracy over you and your family.
[02:18:33.795 --> 02:18:37.118]  They're destroying civilization, rebuilding, and they're dystopic.
[02:18:37.984 --> 02:18:39.606]  We're good to go.
[02:18:54.423 --> 02:19:00.145]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[02:19:00.145 --> 02:19:01.185]  Alpha Power.
[02:19:01.185 --> 02:19:04.647]  As you age, your body can lose testosterone over time.
[02:19:04.647 --> 02:19:13.550]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[02:19:13.550 --> 02:19:21.773]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[02:19:22.333 --> 02:19:27.756]  Perfect by itself or with super male vitality in the true alpha male pack.
[02:19:27.756 --> 02:19:34.979]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[02:19:34.979 --> 02:19:38.661]  Let Alpha Power help bring you to the peak of your optimal health.
[02:19:38.661 --> 02:19:41.703]  Don't fall short on energy in the fight against tyranny.
[02:19:41.703 --> 02:19:45.765]  Show the world what a true alpha male looks like today with Alpha Power.
[02:19:45.765 --> 02:19:48.246]  Head to InfoWarsStore.com today.
[02:19:57.606 --> 02:20:08.694]  You're listening to the Alex Jones Show!
[02:20:08.694 --> 02:20:19.202]  See, it's all about the New World Order, the globalist agenda.
[02:20:19.202 --> 02:20:25.506]  Anything else out of that is considered strange, even if it's logical and common sense.
[02:20:25.506 --> 02:20:26.007]  For example,
[02:20:27.008 --> 02:20:40.579]  The FBI is now admitting they have not opened a single case on a BLM or Antifa group, while there are hundreds of cases opened right now on people that stormed the Capitol.
[02:20:40.579 --> 02:20:47.105]  See, that's the Democrats who now own the political infrastructure and have weaponized the bureaucracies.
[02:20:47.105 --> 02:20:53.630]  And the media is just there as their safety net to make sure that we the slaves don't get out of line.
[02:20:54.830 --> 02:21:01.673]  I want to go back to this real quick, and then we're going to first-time callers.
[02:21:01.673 --> 02:21:17.679]  Because it's all the same with them going after American patriots and Trump supporters with the entire reach and force of law enforcement, but ignoring the real domestic terrorists that caused $2.2 billion in property damage this year.
[02:21:17.679 --> 02:21:19.100]  Not a single investigation opened.
[02:21:19.100 --> 02:21:20.360]  Not one.
[02:21:20.360 --> 02:21:21.301]  Democrats say it's a myth.
[02:21:21.301 --> 02:21:22.041]  It doesn't even exist.
[02:21:23.951 --> 02:21:29.357]  But then they'll turn around and justify it on television as it's happening and call it peaceful.
[02:21:29.357 --> 02:21:43.452]  But so, this really, if you can understand this, and maybe people can't get it, maybe they really can't wrap their head around it, maybe they've taken so many drugs, drank so much fluoride, that they really can't even get this.
[02:21:48.356 --> 02:21:56.220]  The revelation that one in five people charged in connection with the riot may have some form of military background.
[02:21:56.220 --> 02:21:59.562]  Now I reported on that first because it was obvious.
[02:21:59.562 --> 02:22:11.369]  But, see, when Americans sign up after the media lies about a terror attack, or the media lies about weapons of mass destruction, or the media lies about babies in incubators,
[02:22:12.742 --> 02:22:19.763]  And Americans sign up for that, and then they get put into the system of the military-industrial complex.
[02:22:19.763 --> 02:22:23.784]  Okay, we'll fly them around the world, we'll send them on missions, whatever.
[02:22:23.784 --> 02:22:25.885]  It's part of the plan.
[02:22:25.885 --> 02:22:31.686]  It's part of the normal, everyday activity.
[02:22:31.686 --> 02:22:41.148]  But you see, then, when the same people that put their name on the line, put their lives on the line to go overseas, when they see that happening in their country and they want to take action, then they're not allowed.
[02:22:42.520 --> 02:22:45.523]  And so if you understand that, you understand everything.
[02:22:45.523 --> 02:22:47.785]  The corporate world government runs our military.
[02:22:47.785 --> 02:22:51.689]  The military-industrial complex runs our military.
[02:22:51.689 --> 02:23:00.378]  And so, as soon as they are not in the system of the New World Order, going to wherever they're told to go to, whether it's Vietnam or Iraq or Iran, wherever,
[02:23:03.032 --> 02:23:06.714]  That's good, that's praised, that's accepted, that's the military-industrial complex.
[02:23:06.714 --> 02:23:08.735]  Funds the media, funds the ratings, they're good for it.
[02:23:08.735 --> 02:23:25.605]  But oh, if a single one of those guys dares say that there's something wrong with what's happening here in America, dares say it's Pelosi, dares say it's Biden who are the criminals, well see, then they become the criminals, they get arrested.
[02:23:25.605 --> 02:23:30.088]  They get their free speech taken, they get their Second Amendment taken.
[02:23:33.274 --> 02:23:40.657]  And see, the diabolical nature of that shows you how screwed up it is.
[02:23:40.657 --> 02:23:54.243]  The nonsensical, bad formula that doesn't add up shows you how corrupt the world has become.
[02:23:54.243 --> 02:23:55.144]  And I can't even imagine
[02:23:56.411 --> 02:24:01.594]  What it's like for some of these veterans who are told, go over there and fight, go over there and put your life on the line.
[02:24:01.594 --> 02:24:03.095]  That's the military industrial complex.
[02:24:03.095 --> 02:24:03.776]  That's the system.
[02:24:03.776 --> 02:24:15.644]  But as soon as they come home, they're told they're pieces of garbage and they can't even defend their own country, which they just flew halfway around the world to do, allegedly.
[02:24:15.644 --> 02:24:17.585]  But now you're seeing the disgust.
[02:24:17.585 --> 02:24:21.908]  Now you're seeing the hatred that the political establishment has for our military.
[02:24:23.695 --> 02:24:38.985]  With Democrat lawmakers like Anthony Brown saying, and I quote, The attack on our Capitol was an insurrection fueled in large part by groups that espouse the same extreme white supremacist views that actively recruit veterans and form ranks of our military.
[02:24:38.985 --> 02:24:41.987]  So now the entire military is white supremacists.
[02:24:41.987 --> 02:24:46.690]  And even though they couldn't point out a single white supremacist at any of these events, a single organization
[02:24:48.041 --> 02:24:53.103]  At any of these events that espouses any white supremacist ideologies, it doesn't matter.
[02:24:53.103 --> 02:24:56.004]  By the way, they can espouse their black supremacist ideologies all day long.
[02:24:56.004 --> 02:24:57.925]  There's about three of them on the Biden administration.
[02:24:57.925 --> 02:24:59.465]  Fine, I don't care.
[02:24:59.465 --> 02:25:09.969]  But see, that's their low IQ, lowest common denominator argument, is that you just say, oh, white supremacy, and then immediately everything's demonized.
[02:25:09.969 --> 02:25:13.250]  It's incredible.
[02:25:13.250 --> 02:25:15.211]  It's so evil.
[02:25:15.211 --> 02:25:16.051]  It's so disgusting.
[02:25:17.452 --> 02:25:18.692]  And it's so obvious.
[02:25:18.692 --> 02:25:21.093]  Yeah, there's Biden saying, clap, you stupid bastard.
[02:25:21.093 --> 02:25:22.673]  Yeah, he cares about the military.
[02:25:22.673 --> 02:25:26.434]  He cares enough to send you to die in another war.
[02:25:26.434 --> 02:25:31.415]  Just like he cared to vote for to send you to die in every war that ever came up before.
[02:25:31.415 --> 02:25:34.296]  Nowadays, he doesn't even know what's going on, though.
[02:25:34.296 --> 02:25:37.617]  All right, let's go back to the phone lines.
[02:25:37.617 --> 02:25:38.657]  Oh, but don't worry.
[02:25:38.657 --> 02:25:41.338]  Biden cares so much.
[02:25:41.338 --> 02:25:43.618]  Biden cares so much about the military.
[02:25:43.618 --> 02:25:46.839]  He's going to make sure that there's transgender people back in the military.
[02:25:49.253 --> 02:25:51.794]  And he says he's going to bring unity to the Middle East.
[02:25:51.794 --> 02:25:53.055]  You know what that means.
[02:25:53.055 --> 02:25:55.295]  About 30 MOABs coming your way.
[02:25:55.295 --> 02:25:56.296]  All right.
[02:25:56.296 --> 02:26:01.398]  To the phone line's first time callers, we start with Derek in New Hampshire.
[02:26:01.398 --> 02:26:02.838]  Derek, you're on the Alex Jones Show.
[02:26:02.838 --> 02:26:04.279]  Go ahead.
[02:26:04.279 --> 02:26:05.039]  Hey, how you doing?
[02:26:05.039 --> 02:26:08.040]  First of all, I'd like to salute you.
[02:26:08.040 --> 02:26:10.841]  You're like a soldier in the Info War.
[02:26:10.841 --> 02:26:17.704]  I equate this whole last year, you know, the coronavirus, since the coronavirus anyways, to that movie, They Live.
[02:26:18.280 --> 02:26:18.561]  I don't know.
[02:26:29.813 --> 02:26:30.934]  What's going on?
[02:26:30.934 --> 02:26:33.476]  I'm not the best debater.
[02:26:33.476 --> 02:26:42.284]  I'm a fisherman, and I drive an oil truck in the off-season, and so I guess I'm really screwed, but I'm not the best debater.
[02:26:42.284 --> 02:26:47.629]  Biden is literally attacking both of your professions, fishing and oil.
[02:26:47.629 --> 02:26:48.930]  He wants to cancel them both.
[02:26:48.930 --> 02:26:50.732]  That's something.
[02:26:50.732 --> 02:26:51.332]  Yeah, yeah.
[02:26:51.332 --> 02:26:51.873]  Both of them.
[02:26:51.873 --> 02:26:52.794]  Boats and oil.
[02:26:52.794 --> 02:26:54.675]  I don't know.
[02:26:54.675 --> 02:26:55.196]  I guess I'll...
[02:26:56.621 --> 02:27:00.285]  Never mind, uh, what was I saying before?
[02:27:00.285 --> 02:27:02.066]  Infowars as they live, the glasses.
[02:27:02.066 --> 02:27:04.108]  Infowars, they live, that's right.
[02:27:04.108 --> 02:27:06.190]  So the glasses, you guys are the glasses.
[02:27:06.190 --> 02:27:09.433]  And every time I try to tell somebody what's going on, I'm such a horrible debater.
[02:27:09.433 --> 02:27:15.199]  You know the fight scene, that really long fight scene where you're really trying to get Keith David to wear those glasses?
[02:27:15.672 --> 02:27:18.877]  I feel like that's what I'm doing every time I talk to somebody.
[02:27:18.877 --> 02:27:21.741]  And I never get them to wear the glasses.
[02:27:21.741 --> 02:27:23.744]  Somebody called earlier about an app.
[02:27:23.744 --> 02:27:24.826]  There should be an app.
[02:27:24.826 --> 02:27:29.794]  Something that we can go to really quick to go, alright, Lybtard, this is really what's going on.
[02:27:30.242 --> 02:27:34.786]  And this is a fact, and this is a fact, and this is a fact, and then there's the glasses.
[02:27:34.786 --> 02:27:36.728]  But that's not why I called.
[02:27:36.728 --> 02:27:41.152]  The reason why I called is I saw a documentary on Amazon, of all places.
[02:27:41.152 --> 02:27:47.277]  I'm surprised they haven't pulled it, but it's called Hidden Agenda, Real Conspiracies That Affect Our Lives Today.
[02:27:47.277 --> 02:27:52.822]  And it was produced in 2017, but it's a compilation of a lot of documentaries that were made back in the 60s.
[02:27:52.822 --> 02:27:54.524]  A lot of it's in black and white.
[02:27:56.016 --> 02:27:57.578]  It's like eight episodes.
[02:27:57.578 --> 02:28:16.316]  I've only seen four so far, but I watched three twice and it made me call because Ronald Reagan narrates one of them in like 1962 and it's almost like you can feel like that when he was narrating this, this was like energizing him to get into politics and everything that they said in there
[02:28:16.880 --> 02:28:21.264]  To a T is what's been happening over the last four years.
[02:28:21.264 --> 02:28:23.226]  And this is communism, folks.
[02:28:23.226 --> 02:28:33.696]  And if you don't believe it, go watch this documentary, Hidden Agenda, Real Conspiracies That Affect Our Lives Today, and I swear you're going to be breathless.
[02:28:33.696 --> 02:28:34.697]  Eric, thank you for the call.
[02:28:35.766 --> 02:28:42.349]  And, you know, as far as the facts don't matter libtards out there, I don't know if there's any hope for them.
[02:28:42.349 --> 02:28:44.370]  They've already bought into the lie.
[02:28:44.370 --> 02:28:45.971]  They kind of like that.
[02:28:45.971 --> 02:28:46.471]  But you know what?
[02:28:46.471 --> 02:28:48.532]  There's going to be a lot of voters' remorse for Biden.
[02:28:48.532 --> 02:28:49.412]  It's already happening.
[02:28:49.412 --> 02:28:54.054]  So a lot of Democrats are about to wake up and realize how bad it is.
[02:28:54.054 --> 02:28:59.657]  The word apocalypse means the revealing of what was once hidden.
[02:29:01.005 --> 02:29:07.252]  And now that all the lies are being revealed, what will you do?
[02:29:07.252 --> 02:29:10.716]  We know that millions will do absolutely nothing.
[02:29:10.716 --> 02:29:15.801]  They will do whatever they are told, as if obedience is a virtue.
[02:29:15.801 --> 02:29:20.066]  It is the patriots of the world versus everybody else.
[02:29:21.451 --> 02:29:31.078]  I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic.
[02:29:31.078 --> 02:29:35.202]  That I will bear true faith and allegiance to the same.
[02:29:35.202 --> 02:29:41.687]  That I take this obligation freely, without any mental reservation or purpose of evasion.
[02:29:41.687 --> 02:29:47.231]  And that I will well and faithfully discharge my duties as best as I can.
[02:29:47.231 --> 02:29:48.652]  So help me God.
[02:29:48.652 --> 02:29:49.392]  InfoWars.com
[02:29:54.776 --> 02:30:08.427]  The ultimate fluoride free charcoal mouthwash is now available at InfoWarsStore.com and Dr. Jones Naturals.com for the lowest price possible to complete your daily mouth cleaning routine.
[02:30:08.427 --> 02:30:19.195]  It is the perfect companion to the new activated charcoal toothpaste all under our new line by Dr. Jones Naturals that will naturally give your mouth and breath a deep clean.
[02:30:20.175 --> 02:30:30.498]  This mouthwash only uses the best natural ingredients like real peppermint oil, thyme oil, xylitol, and of course, high quality charcoal.
[02:30:30.498 --> 02:30:41.682]  Not only fluoride free, this mouthwash is completely free of other dangerous ingredients such as SLS, harsh detergents, BPA, and so much more.
[02:30:41.682 --> 02:30:45.743]  As soon as you use it, you can tell that this formula is the real deal.
[02:30:45.743 --> 02:30:49.104]  So get your bottle of the new Activated Charcoal Mouthwash
[02:30:49.344 --> 02:30:55.447]  Right now at InfowarsStore.com.
[02:30:55.447 --> 02:31:01.970]  President Trump won in a landslide on November 3rd, but the globalists weren't going to let that happen.
[02:31:01.970 --> 02:31:11.895]  They had to have some way to repudiate the populist movement emanating from the United States that had spread across the world from the UK to Brazil.
[02:31:11.895 --> 02:31:12.596]  They were desperate.
[02:31:12.596 --> 02:31:14.117]  They admitted their own publications.
[02:31:14.117 --> 02:31:14.857]  They didn't know what to do.
[02:31:16.303 --> 02:31:22.829]  And so they put out 80 million fake ballots, violated state law, and stole it better than Dallas.
[02:31:22.829 --> 02:31:26.652]  And now they're coming after the president, they're coming after you, they're coming after me.
[02:31:26.652 --> 02:31:28.154]  They're shutting everybody off.
