[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[1:15:43.000 --> 1:15:45.000]  If it doesn't seem like it, it is.
[1:15:45.000 --> 1:15:46.000]  Drew Hernandez, we come back.
[1:15:46.000 --> 1:15:49.000]  What's next if they're openly promoting pedophilia?
[1:15:49.000 --> 1:15:50.000]  What will they do next?
[1:15:50.000 --> 1:15:51.000]  Drew Hernandez is our guest.
[1:15:51.000 --> 1:16:17.000]  I'm Alex Jones and FullWars.com.
[1:16:22.000 --> 1:16:23.000]  You name it.
[1:16:23.000 --> 1:16:28.000]  Because this stuff will eat anything that is organic.
[1:16:28.000 --> 1:16:34.000]  And it's exclusively available at thebiopros.com and now infowars.com.
[1:16:34.000 --> 1:16:40.000]  We sold out of this for almost a year, but we made a major purchase and it is now in stock
[1:16:40.000 --> 1:16:43.000]  for whatever your need is at infowars.com.
[1:16:43.000 --> 1:16:49.000]  You'll also find instructional videos and more information at infowars.com or thebiopros.com.
[1:16:49.000 --> 1:16:53.000]  Made America, powered by God's great creation.
[1:16:53.000 --> 1:17:20.000]  It is amazing and it funds the info war.
[1:17:26.000 --> 1:17:34.000]  We are so excited to have the number one natural male enhancement pill in the world available
[1:17:34.000 --> 1:17:36.000]  as a major sponsor now.
[1:17:36.000 --> 1:17:39.000]  Go to theironpatriot.com today.
[1:17:39.000 --> 1:17:42.000]  Theironpatriot.com and watch the instructional video.
[1:17:42.000 --> 1:17:45.000]  Look at the science yourself and then get a bottle of InstaHeart.
[1:17:45.000 --> 1:17:47.000]  It's discreet shipping.
[1:17:47.000 --> 1:17:48.000]  I've used it.
[1:17:48.000 --> 1:17:49.000]  It's amazing.
[1:17:49.000 --> 1:17:51.000]  And it's not just for folks that have problems in the bedroom.
[1:17:51.000 --> 1:17:53.000]  This also enhances it.
[1:17:53.000 --> 1:18:22.000]  Get yours today at theironpatriot.com.
[1:18:49.000 --> 1:18:52.000]  Great Reset by Alex Jones.
[1:18:52.000 --> 1:18:58.000]  Order your copy now at amazonorinfowarsstore.com.
[1:18:58.000 --> 1:19:00.000]  People say Alex Jones is crazy.
[1:19:00.000 --> 1:19:01.000]  He's a conspiracy theory guy.
[1:19:01.000 --> 1:19:02.000]  He's a nutcase.
[1:19:02.000 --> 1:19:05.000]  He's got these rants and all that.
[1:19:05.000 --> 1:19:12.000]  What they miss is that this guy's ahead of the curve on so many different topics of signal, not noise.
[1:19:12.000 --> 1:19:18.000]  If you look at the signal and you compare that to PBS and NPR and BBC
[1:19:18.000 --> 1:19:24.000]  and we'll do what Alex Jones put out there versus what your collective body has put out there.
[1:19:24.000 --> 1:19:27.000]  And if you're a sent in a human being and just watching it and you say,
[1:19:27.000 --> 1:19:28.000]  well, Alex Jones is ahead of this.
[1:19:28.000 --> 1:19:30.000]  Not only that, he kind of explained it.
[1:19:30.000 --> 1:19:33.000]  You are one of the great thinkers of this.
[1:19:33.000 --> 1:19:34.000]  That is very rare.
[1:19:34.000 --> 1:19:38.000]  You've got to go back almost to the revolutionary generation and see that.
[1:19:38.000 --> 1:19:41.000]  In this new book, I've got to tell you, when Tony Lyons first approached me,
[1:19:41.000 --> 1:19:42.000]  I read this thing.
[1:19:42.000 --> 1:19:43.000]  I go, this is it.
[1:19:43.000 --> 1:19:45.000]  This is no Beatrix.
[1:19:45.000 --> 1:19:46.000]  You're not going to be flipping pages.
[1:19:46.000 --> 1:19:49.000]  You're going to be having a pin out and you're going to be underlying stuff.
[1:19:49.000 --> 1:19:52.000]  The Great Reset by Alex Jones.
[1:19:52.000 --> 1:19:57.000]  Order your copy now at amazonforinfowarsstore.com.
[1:19:59.000 --> 1:20:06.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:20:06.000 --> 1:20:19.000]  It is critical to realize that all this pedophilia is a psychic vampirism and is the energy of
[1:20:19.000 --> 1:20:24.000]  these evil creatures that are attacking us.
[1:20:24.000 --> 1:20:29.000]  And here is the widow of John McCain just a year and a half ago admitting that she and
[1:20:29.000 --> 1:20:32.000]  Senator McCain knew about Jeffrey Epstein was doing.
[1:20:32.000 --> 1:20:37.000]  We all knew about it, but you did nothing that I first exposed it 15 years ago.
[1:20:37.000 --> 1:20:41.000]  So remember, when you're against info wars, you are literally supporting the rape of our
[1:20:41.000 --> 1:20:45.000]  children and those attacking us, we know are in bed with this.
[1:20:45.000 --> 1:20:46.000]  Here it is.
[1:20:46.000 --> 1:20:48.000]  You know, it's like everything.
[1:20:48.000 --> 1:20:51.000]  You know, it hides in plain sight.
[1:20:51.000 --> 1:20:53.000]  Epstein was hiding in plain sight.
[1:20:53.000 --> 1:20:54.000]  We all knew about him.
[1:20:54.000 --> 1:20:55.000]  We all knew what he was doing.
[1:20:55.000 --> 1:21:01.000]  But we had no one that was, you know, legal aspect that would go after him.
[1:21:01.000 --> 1:21:04.000]  You were afraid of him for whatever reason they were afraid of him.
[1:21:04.000 --> 1:21:08.000]  Because he was blackmailing so many people, but it's our job not to be afraid and we're
[1:21:08.000 --> 1:21:11.000]  not not giant judgments, not lies, not prison.
[1:21:11.000 --> 1:21:12.000]  We won't back down.
[1:21:12.000 --> 1:21:13.000]  You're Hernandez.
[1:21:13.000 --> 1:21:14.000]  We got eight minutes left.
[1:21:14.000 --> 1:21:15.000]  I'm going to give you the floor, my friend.
[1:21:15.000 --> 1:21:16.000]  You're always on fire.
[1:21:16.000 --> 1:21:19.000]  Lay out what we're facing and what we're dealing with.
[1:21:19.000 --> 1:21:23.000]  Alex, I think the next step here is parents need to pay attention to what's happening.
[1:21:23.000 --> 1:21:25.000]  They're openly targeting your children.
[1:21:25.000 --> 1:21:30.000]  They're opening wanting openly wanting to groom your children in the public school system.
[1:21:30.000 --> 1:21:35.000]  Okay, I think the next step here is obviously the media is going to be censored.
[1:21:35.000 --> 1:21:40.000]  Any independent voice, any sane minded individual that's speaking out against this grimmer agenda
[1:21:40.000 --> 1:21:42.000]  is now going to be silenced on social media.
[1:21:42.000 --> 1:21:46.000]  But we always see what happens on the internet begins to happen in the real world.
[1:21:46.000 --> 1:21:47.000]  That's what happened with you.
[1:21:47.000 --> 1:21:53.000]  I think the next step as well is people probably will be sued for exposing a gay pedophile
[1:21:53.000 --> 1:21:58.000]  or an LGBTQ pedophile or anyone that identifies with that community, which they probably will
[1:21:58.000 --> 1:22:01.000]  start to do just to hide to continue to target children.
[1:22:01.000 --> 1:22:06.000]  But the next step, they're already doing this, Alex, is they're going to target the parents.
[1:22:06.000 --> 1:22:13.000]  If something happens to your child in this public school system, if your child gets touched, molested, or raped...
[1:22:13.000 --> 1:22:15.000]  Oh, remember in Virginia where they raped the girl?
[1:22:15.000 --> 1:22:16.000]  It turned out to be true.
[1:22:16.000 --> 1:22:19.000]  Obama came out and defended it and they set the FBI in.
[1:22:19.000 --> 1:22:20.000]  It's already happening.
[1:22:20.000 --> 1:22:21.000]  You're right.
[1:22:21.000 --> 1:22:22.000]  Exactly, exactly.
[1:22:22.000 --> 1:22:24.000]  It's going to happen on steroids, Alex.
[1:22:24.000 --> 1:22:28.000]  And you won't be able to say anything, you won't be able to defend yourself legally,
[1:22:28.000 --> 1:22:33.000]  you won't be able to come out and defend your child because if you do, you're a bigot,
[1:22:33.000 --> 1:22:38.000]  you hate homosexuals and transsexuals, and you hate the LGBTQ community.
[1:22:38.000 --> 1:22:43.000]  No matter what happened, if your child got touched or groomed, you need to shut up and put up
[1:22:43.000 --> 1:22:45.000]  and just listen to what we want you to do.
[1:22:45.000 --> 1:22:49.000]  And think about the political grooming of that, the ruining their innocence.
[1:22:49.000 --> 1:22:53.000]  This is literally a political party signed on to pedophilia.
[1:22:53.000 --> 1:22:54.000]  Think about it, Alex.
[1:22:54.000 --> 1:22:56.000]  I was reading the Bible this morning.
[1:22:56.000 --> 1:22:57.000]  I was thinking about you.
[1:22:57.000 --> 1:23:01.000]  I was thinking about the Info Wars family and the crew, the great crew that's behind the
[1:23:01.000 --> 1:23:02.000]  control room right now.
[1:23:02.000 --> 1:23:03.000]  I love every single one of you guys.
[1:23:03.000 --> 1:23:05.000]  I'm looking at the getter chat right now in real time.
[1:23:05.000 --> 1:23:08.000]  They want you all to know they love you, Alex, and the crew.
[1:23:08.000 --> 1:23:12.000]  I was reading the Bible this morning in Acts chapter 5, and when the disciples and the
[1:23:12.000 --> 1:23:16.000]  apostles were preaching the gospel, they were teaching the doctrines of Jesus, they were
[1:23:16.000 --> 1:23:20.000]  getting persecuted, they were getting arrested, they were losing their freedoms, and God kept
[1:23:20.000 --> 1:23:24.000]  helping them and intervening by divine power and divine intervention.
[1:23:24.000 --> 1:23:30.000]  But eventually they stood before the council and the religious Pharisees were saying, we
[1:23:30.000 --> 1:23:36.000]  told you guys not to teach the doctrines of Christ, not to preach in the name of Christ.
[1:23:36.000 --> 1:23:38.000]  We told you not to do this.
[1:23:38.000 --> 1:23:43.000]  And their response was, we ought to obey God rather than men.
[1:23:43.000 --> 1:23:45.000]  That's exactly where we are right now, Alex.
[1:23:45.000 --> 1:23:50.000]  The Apostle Paul also said, those who desire to live godly in Christ Jesus will suffer
[1:23:50.000 --> 1:23:51.000]  persecution.
[1:23:51.000 --> 1:23:53.000]  Here we are.
[1:23:53.000 --> 1:23:54.000]  We're witnessing it.
[1:23:54.000 --> 1:23:56.000]  It's not just preaching in the name of Christ.
[1:23:56.000 --> 1:24:01.000]  It's living in the name of Christ and preaching the doctrines of the righteousness of God
[1:24:01.000 --> 1:24:02.000]  in Christ.
[1:24:02.000 --> 1:24:07.000]  That's where you've been for decades, Alex, pushing back on the central theme of Bible
[1:24:07.000 --> 1:24:13.000]  prophecy, the second coming of Jesus Christ, which is accompanied by globalism, a one-world
[1:24:13.000 --> 1:24:17.000]  religious system, a one-world government, and a one-world dictator.
[1:24:17.000 --> 1:24:18.000]  Andrew, I have a bunch of clips.
[1:24:18.000 --> 1:24:21.000]  They're everywhere saying you'll take a ship to buy and sell now.
[1:24:21.000 --> 1:24:23.000]  It's all being fulfilled.
[1:24:23.000 --> 1:24:24.000]  That's where we are.
[1:24:24.000 --> 1:24:28.000]  So it's no surprise that we're moving into a time of persecution.
[1:24:28.000 --> 1:24:33.000]  I don't think the West in the United States of America has experienced some harsh persecution
[1:24:33.000 --> 1:24:38.000]  like we see in the Middle East or in times past, in the past 2,000 years that the church
[1:24:38.000 --> 1:24:39.000]  has experienced.
[1:24:39.000 --> 1:24:41.000]  Now we're moving into that direction.
[1:24:41.000 --> 1:24:43.500]  I mean, you take a look at this show trial with you, Alex.
[1:24:43.500 --> 1:24:47.280]  I was shocked looking at that closing argument against you.
[1:24:47.280 --> 1:24:52.840]  They made one statement, and the statement that so-called attorney made was, I hope we
[1:24:52.840 --> 1:24:56.480]  never see someone like Alex Jones ever again.
[1:24:56.480 --> 1:24:57.480]  It's too late.
[1:24:57.480 --> 1:25:01.000]  It is way too late because we are all Alex Jones.
[1:25:01.000 --> 1:25:02.560]  I am Alex Jones.
[1:25:02.560 --> 1:25:04.160]  Everyone listening is Alex Jones.
[1:25:04.160 --> 1:25:07.760]  This is way beyond the name and the person of Alex Jones.
[1:25:07.760 --> 1:25:09.720]  These are American freedoms.
[1:25:09.720 --> 1:25:14.160]  This is the spirit of freedom that will carry on that brought us to this point right now
[1:25:14.160 --> 1:25:17.160]  in 2022, that birth this nation.
[1:25:17.160 --> 1:25:19.200]  It's never going away.
[1:25:19.200 --> 1:25:23.880]  No matter if they kill you, if they kill me, they put us in prison and blacklist us for
[1:25:23.880 --> 1:25:25.400]  the rest of our lives.
[1:25:25.400 --> 1:25:29.200]  There will be a million others to sprout and take our place.
[1:25:29.200 --> 1:25:32.640]  It's inevitable because that is the human will to survive.
[1:25:32.640 --> 1:25:35.060]  That is the human will to be free.
[1:25:35.060 --> 1:25:36.920]  This is what these people don't understand.
[1:25:36.920 --> 1:25:39.280]  They could try to persecute us all they want.
[1:25:39.280 --> 1:25:43.560]  All that's going to do is cause more of us to rise and to speak up and push back on this
[1:25:43.560 --> 1:25:48.000]  satanic agenda and show us who is the real and show us who is the fake, Alex.
[1:25:48.000 --> 1:25:49.000]  So be encouraged.
[1:25:49.000 --> 1:25:50.480]  I totally agree, brother.
[1:25:50.480 --> 1:25:52.640]  Please come back on for a full hour this week.
[1:25:52.640 --> 1:25:53.640]  The amazing work you're doing.
[1:25:53.640 --> 1:26:01.160]  I don't get a response to this, since I mentioned this, here is Clip 7.
[1:26:01.160 --> 1:26:07.240]  Here they are, microchips to buy and sell in Sweden, there it is.
[1:26:07.240 --> 1:26:14.200]  When Elias Brodeburger goes to work, he doesn't need ID and he doesn't need money.
[1:26:14.200 --> 1:26:19.000]  In fact, much of what he needs to get through the day is hidden right there, just below
[1:26:19.000 --> 1:26:20.800]  the surface in his hand.
[1:26:20.800 --> 1:26:21.800]  Do you like the touches?
[1:26:21.800 --> 1:26:22.800]  Yeah.
[1:26:22.800 --> 1:26:23.800]  Oh, weird.
[1:26:23.800 --> 1:26:25.680]  Yeah, it's like a grain of rice.
[1:26:25.680 --> 1:26:26.840]  A grain of rice.
[1:26:26.840 --> 1:26:32.840]  Embedded in his hand is a microchip that serves as his keys, his ID and his wallet.
[1:26:32.840 --> 1:26:34.280]  Yeah, it's all in chips.
[1:26:34.280 --> 1:26:36.720]  I just like to get around the building.
[1:26:36.720 --> 1:26:37.720]  Let's buy snacks.
[1:26:37.720 --> 1:26:38.720]  Yeah, exactly.
[1:26:38.720 --> 1:26:39.720]  Let's buy some snacks.
[1:26:39.720 --> 1:26:40.720]  So I can't open it.
[1:26:40.720 --> 1:26:41.720]  No.
[1:26:41.720 --> 1:26:42.720]  Okay.
[1:26:42.720 --> 1:26:43.720]  So what I need to do is I need to...
[1:26:43.720 --> 1:26:44.720]  So they talk to you like you're a monkey.
[1:26:44.720 --> 1:26:47.720]  Oh, look, you get snacks when you have it.
[1:26:47.720 --> 1:26:50.480]  The point is, this is their control grid.
[1:26:50.480 --> 1:26:54.280]  Dr. Hernandez, I'm going to show the whole clip here, but just in closing your comments
[1:26:54.280 --> 1:26:55.280]  on this.
[1:26:55.280 --> 1:26:56.720]  I mean, there it is.
[1:26:56.720 --> 1:26:58.720]  I mean, the Bible foretold this, Alex.
[1:26:58.720 --> 1:26:59.720]  It's clear.
[1:26:59.720 --> 1:27:00.720]  None of us should be surprised.
[1:27:00.720 --> 1:27:01.720]  How incredible is it?
[1:27:01.720 --> 1:27:07.920]  Two thousand years ago, John on the Nala Patmos had a literal vision that an angel gave him
[1:27:07.920 --> 1:27:09.720]  and now it's here.
[1:27:09.720 --> 1:27:15.120]  And now it's here that there will be a mark on the wrist or the forehead that humans have
[1:27:15.120 --> 1:27:19.440]  to receive as an act of worship and the number accompanied by it is 666.
[1:27:19.440 --> 1:27:21.360]  That is the number of the mark of the...
[1:27:21.360 --> 1:27:25.480]  And we have to submit to what the world government says to even have it work, which is a social
[1:27:25.480 --> 1:27:26.480]  credit score.
[1:27:26.480 --> 1:27:27.480]  Absolutely.
[1:27:27.480 --> 1:27:33.200]  And not only is the technology there, Alex, but the spirit of this is there as well.
[1:27:33.200 --> 1:27:39.840]  Post 2020 and the so-called pandemic, we saw the entire globe willing to bow down to tyranny
[1:27:39.840 --> 1:27:45.720]  in the name of safety and security and to save lives all because of a virus that came
[1:27:45.720 --> 1:27:47.120]  from Wuhan, right?
[1:27:47.120 --> 1:27:54.520]  So I think the whole world is prepared to bow the knee to a one-world religion, one-world
[1:27:54.520 --> 1:27:59.360]  dictator, a one-world system and economy in order to save their own lives.
[1:27:59.360 --> 1:28:00.360]  That's right.
[1:28:00.360 --> 1:28:03.760]  They shut the economy off to bring us a submission and then tell us, do this and you'll be taken
[1:28:03.760 --> 1:28:04.760]  care of.
[1:28:04.760 --> 1:28:05.760]  You...
[1:28:05.760 --> 1:28:10.080]  I know we're honored to be censored for exposing these people, but how do folks find you or
[1:28:10.080 --> 1:28:11.080]  it's uncensored?
[1:28:11.080 --> 1:28:12.080]  Yes.
[1:28:12.080 --> 1:28:17.200]  So right now you guys could continue to follow me for now on Twitter, DrewH Live.
[1:28:17.200 --> 1:28:21.800]  It's the same on Getter and Truth Social, but my show will continue on on Rumble on
[1:28:21.800 --> 1:28:28.160]  the Turning Point USA Rumble channel and also on Real America's Voice, wherever it streams,
[1:28:28.160 --> 1:28:29.200]  you can go find the app.
[1:28:29.200 --> 1:28:34.240]  I will be streaming my show every single night at 7.30 p.m. Pacific Standard Time.
[1:28:34.240 --> 1:28:36.560]  That's 10.30 p.m. Eastern Standard Time.
[1:28:36.560 --> 1:28:39.800]  I can't wait to see you guys there, all the Info Wars family and Alex, I can't wait to
[1:28:39.800 --> 1:28:40.800]  see you soon.
[1:28:40.800 --> 1:28:42.200]  I'll come out and see you very soon.
[1:28:42.200 --> 1:28:43.960]  Drew, your spirit gives me hope.
[1:28:43.960 --> 1:28:44.960]  I love you.
[1:28:44.960 --> 1:28:45.960]  I want you to know that.
[1:28:45.960 --> 1:28:46.960]  I love you.
[1:28:46.960 --> 1:28:47.960]  I love you, brother.
[1:28:47.960 --> 1:28:48.960]  I'm here for you.
[1:28:48.960 --> 1:28:49.960]  I love you.
[1:28:49.960 --> 1:28:52.240]  We're going to do this together, folks, we're coming for our children, they're going to
[1:28:52.240 --> 1:28:53.240]  ruin us.
[1:28:53.240 --> 1:28:58.680]  All right, Norm Patis joins us on the biggest show trial in history.
[1:28:58.680 --> 1:29:05.680]  There is nothing, there is no more epitome of free speech than right here and that's
[1:29:05.680 --> 1:29:10.240]  what people recognize and resonate with and as Ward said, you're not going to find a
[1:29:10.240 --> 1:29:12.480]  better place for information.
[1:29:12.480 --> 1:29:15.840]  You might not agree with everything, you might not agree with all our perspectives, but we
[1:29:15.840 --> 1:29:19.920]  cover all the information and there's nowhere else really that does it like we
[1:29:19.920 --> 1:29:20.920]  do here.
[1:29:20.920 --> 1:29:21.920]  Thank you for that, Ward.
[1:29:21.920 --> 1:29:26.120]  InfoWarsStore.com, by the way, the products he mentions, InfoWarsStore.com is where to
[1:29:26.120 --> 1:29:29.080]  get them, folks, and we do have the best supplements.
[1:29:29.080 --> 1:29:35.520]  Just like we try our best with our news coverage and our information, we do the best with our
[1:29:35.520 --> 1:29:37.800]  supplements as well.
[1:29:37.800 --> 1:29:41.400]  Look at the hair and beard support formula, folks, this is a joke.
[1:29:41.400 --> 1:29:44.040]  We're giving this thing away at 75% off.
[1:29:44.040 --> 1:29:49.040]  By the way, it works for me, in case you haven't noticed, the hair and beard formula is working
[1:29:49.040 --> 1:29:53.640]  for me quite well, I might add, quite well.
[1:29:53.640 --> 1:29:58.600]  My barber appreciates hair and beard support for men, I go and see him quite often now.
[1:29:58.600 --> 1:30:05.600]  The number one selling category in supplements worldwide is fat burners, is weight loss formulas,
[1:30:05.600 --> 1:30:10.640]  and listen, there are hundreds of them out there that work, but most of them do it in
[1:30:10.640 --> 1:30:11.640]  a toxic way.
[1:30:11.640 --> 1:30:17.040]  Ladies and gentlemen, we went out and did deep research on the safest, healthiest ways
[1:30:17.040 --> 1:30:25.320]  to take your overall body's metabolic system and your metabolism and turn that clock back
[1:30:25.320 --> 1:30:28.560]  by turning up your metabolism.
[1:30:28.560 --> 1:30:32.640]  Ladies and gentlemen, Diet Force does it in a clean, healthy way, it's amazing, I've
[1:30:32.640 --> 1:30:37.680]  almost lost 40 pounds the last three months just using the samples of it, but now it's
[1:30:37.680 --> 1:30:42.360]  come into the InfoWarsStore and it's ready for sale to you and your family exclusively
[1:30:42.360 --> 1:30:44.760]  at InfoWarsStore.com.
[1:30:44.760 --> 1:30:53.360]  It's available at InfoWarsStore.com for 40% off, I want you to experience Diet Force
[1:30:53.360 --> 1:30:58.920]  for yourself, I can't wait for the reviews because it's worked great for me.
[1:30:58.920 --> 1:31:04.520]  Sold out for more than six months, our number one bestseller is now back in stock, Vitamin
[1:31:04.520 --> 1:31:10.400]  Mineral Fusion, all the minerals, all the vitamins, all the key amino acids to turbocharge your
[1:31:10.400 --> 1:31:14.320]  immune system and make your body as healthy as it could possibly be.
[1:31:14.320 --> 1:31:16.880]  Ladies and gentlemen, this is our bestseller product because people love it.
[1:31:16.880 --> 1:31:20.160]  We first launched it four years ago, I was like, okay, it's another item, it's high quality
[1:31:20.160 --> 1:31:21.880]  vitamins, minerals, it's okay, great.
[1:31:21.880 --> 1:31:26.600]  People love it because it tastes great and they see the results and it funds the InfoWars.
[1:31:26.600 --> 1:31:31.760]  So sold out for more than six months, Vitamin Mineral Fusion is now back in stock for a
[1:31:31.760 --> 1:31:37.400]  limited time at InfoWarsStore.com for 40% off because I want you to experience it, I want
[1:31:37.400 --> 1:31:40.560]  you to get it, I want to move it out the door and hopefully get more in the future.
[1:31:40.560 --> 1:31:43.800]  But who knows, supply chain breakdowns, it may not happen.
[1:31:43.800 --> 1:31:49.840]  So get your Vitamin Mineral Fusion at InfoWarsStore.com today and keep InfoWars on the air.
[1:31:49.840 --> 1:31:56.480]  Vitamin Mineral Fusion back in stock, 40% off at InfoWarsStore.com, Vitamin Mineral
[1:31:56.480 --> 1:31:58.480]  Fusion.
[1:31:58.480 --> 1:32:01.720]  InfoWars has been vindicated, we've been proven right.
[1:32:01.720 --> 1:32:06.640]  World government, the New World Order is out of the open and now more than ever, the forces
[1:32:06.640 --> 1:32:10.320]  of Satan are trying to shut down this broadcast.
[1:32:10.320 --> 1:32:14.760]  The forces of anti-human, Godless New World Order are out of control.
[1:32:14.760 --> 1:32:18.880]  So now realize, we have pushed them out in the light, we have pushed them out in the
[1:32:18.880 --> 1:32:21.760]  open and they are so upset and they are so scared.
[1:32:21.760 --> 1:32:25.640]  So while you still can, because any day can be our last broadcast, spread the word about
[1:32:25.640 --> 1:32:30.360]  the show, share the article, share the videos and please fund us, we'll get great products
[1:32:30.360 --> 1:32:37.160]  at the same time at InfoWarsStore.com, books, films, t-shirts, great supplements, Vitamin
[1:32:37.160 --> 1:32:43.840]  Mineral Fusion, Body Zones Mutumeric Formula, Ultra-12, diet for so much more right now
[1:32:43.840 --> 1:32:44.840]  at InfoWarsStore.com.
[1:32:44.840 --> 1:32:49.720]  But whatever you do, pray for justice and pray for freedom and pray for the children
[1:32:49.720 --> 1:32:52.320]  and pray for free speech and justice to win.
[1:32:52.320 --> 1:32:56.200]  Thank you so much for joining us, I'll spread the word my friends, we're involved in an
[1:32:56.200 --> 1:32:59.480]  epic historic battle.
[1:32:59.480 --> 1:33:20.280]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:33:20.280 --> 1:33:26.480]  Resistance to tyrants is obedience to God, it's Alex Jones.
[1:33:26.480 --> 1:33:32.640]  So, we have a corrupt corporate global fascist power structure that launches all these illegal
[1:33:32.640 --> 1:33:37.240]  wars, torture, narcotics trafficking, the evaluation of currencies, you name it, and
[1:33:37.240 --> 1:33:39.600]  they need to legitimize themselves.
[1:33:39.600 --> 1:33:44.640]  So they're mad at the independent media, they're mad at the public asking questions, they thought
[1:33:44.640 --> 1:33:48.480]  their old corporate media would survive during the age of the internet, it's not.
[1:33:48.480 --> 1:33:54.160]  So they pick a few things I did out of context to blow up as huge crimes and then try to
[1:33:54.160 --> 1:33:58.680]  openly say, we're going to shut down Alex Jones and we're going to shut down everybody
[1:33:58.680 --> 1:33:59.680]  else.
[1:33:59.680 --> 1:34:05.600]  And I have a stack of articles, CNN, MSNBC, Washington Post, New York Times, Slate.
[1:34:05.600 --> 1:34:10.120]  I have more than 15 articles saying, we're going to shut Alex Jones down, we're going
[1:34:10.120 --> 1:34:14.320]  to shut Tucker Carlson, we're going to shut Joe Rogan, we're going to shut everybody
[1:34:14.320 --> 1:34:16.960]  down and only allow our truth.
[1:34:16.960 --> 1:34:24.280]  And this SJW judge in Austin last week said, don't say you comply with discovery, you're
[1:34:24.280 --> 1:34:27.520]  a liar, I decide reality.
[1:34:27.520 --> 1:34:32.960]  And don't say you're in bankruptcy, that's not true, no we are, I decide reality.
[1:34:32.960 --> 1:34:40.840]  Like O'Brien in 1984, quite a moment to be alive, but here's one of the plaintiffs lawyers
[1:34:40.840 --> 1:34:46.520]  in Austin Friday, in closing statements, he said, take away his megaphone, shut him
[1:34:46.520 --> 1:34:50.960]  down, shut others down like him, here's just a small part of his hour long closing where
[1:34:50.960 --> 1:34:56.200]  he said, this isn't about Sandy Hook children, it isn't about the parents, people questioning,
[1:34:56.200 --> 1:35:00.640]  it's about silencing opposition, standing on the dead bodies of children.
[1:35:00.640 --> 1:35:01.640]  Here it is.
[1:35:01.640 --> 1:35:09.960]  I ask that with your verdict, you not only take Alex Jones platform that he talks about
[1:35:09.960 --> 1:35:19.840]  away, I ask that you make certain he can't rebuild the platform, that's what matters.
[1:35:19.840 --> 1:35:27.920]  Take him out of this discourse, of this misinformation, of this peddling of lies, and make sure he
[1:35:27.920 --> 1:35:35.040]  can't do it again, that is punishment, that is deterrence.
[1:35:35.040 --> 1:35:40.600]  That's silencing, that's silencing.
[1:35:40.600 --> 1:35:46.920]  This information spreads six times faster than the truth, according to what we heard
[1:35:46.920 --> 1:35:47.920]  on that stand.
[1:35:47.920 --> 1:35:50.360]  I always do that over there.
[1:35:50.360 --> 1:35:58.240]  Alex Jones found a way to monetize that, boy did he find a way to monetize it, and in
[1:35:58.240 --> 1:36:07.440]  monetizing that, he made a wealth, a huge, huge amount of money.
[1:36:07.440 --> 1:36:14.280]  I hope that we never see someone like him again.
[1:36:14.280 --> 1:36:19.440]  I hope that with your verdict, he can go away.
[1:36:19.440 --> 1:36:30.280]  Alex Jones is patient zero for our society's inability to speak without lies.
[1:36:30.280 --> 1:36:31.920]  I believe it.
[1:36:31.920 --> 1:36:39.200]  He is patient zero for alternative facts.
[1:36:39.200 --> 1:36:44.440]  You heard it on that stand, Ms. Carpova on that stand literally used the words alternative
[1:36:44.440 --> 1:36:52.600]  facts or alternative reality, something like that, sickening.
[1:36:52.600 --> 1:36:58.840]  So you could teach a college course on that two minutes.
[1:36:58.840 --> 1:37:03.400]  You need to silence him so we have truth, that's tyranny.
[1:37:03.400 --> 1:37:06.720]  And then they misrepresent what we said, and they say, oh, he's made all this money.
[1:37:06.720 --> 1:37:09.000]  What line about WNB's in Iraq?
[1:37:09.000 --> 1:37:12.200]  Are puberty bloggers for little boys?
[1:37:12.200 --> 1:37:16.680]  It's all lies, but it shows where they're going and what they're doing.
[1:37:16.680 --> 1:37:22.200]  So I asked Norm Pattis, who is our lawyer on Sandy Hook in Connecticut coming up, to
[1:37:22.200 --> 1:37:26.280]  spend a few segments with us to lay out why folks are calling this the show trial of the
[1:37:26.280 --> 1:37:28.360]  century and what he witnessed and saw.
[1:37:28.360 --> 1:37:29.360]  Norm, thanks for being here.
[1:37:29.360 --> 1:37:32.400]  Go ahead and just start front to end, if you will.
[1:37:32.400 --> 1:37:39.000]  Yes, so the case began as an ordinary tort action, a personal injury action, although
[1:37:39.000 --> 1:37:43.360]  I guess you were a Texas lawyer, Mr. Raynell couldn't refer to the lawyers as personal
[1:37:43.360 --> 1:37:44.360]  injury lawyers.
[1:37:44.360 --> 1:37:47.440]  They found that offensive, and the judge sustained that objection.
[1:37:47.440 --> 1:37:54.240]  But it began as an ordinary case involving misstatements that the Sandy Hook families
[1:37:54.240 --> 1:37:57.840]  felt you'd made about their children's deaths.
[1:37:57.840 --> 1:38:03.960]  And you did make some, and they comprised a very small segment of your total broadcasting
[1:38:03.960 --> 1:38:04.960]  bandwidth.
[1:38:04.960 --> 1:38:12.920]  And I think Mr. Raynell calculated it something like 0.15% of one percentage point, not 15%,
[1:38:12.920 --> 1:38:20.200]  but 0.0015 of all 10,000 hours of broadcasting you've done in the last decade.
[1:38:20.200 --> 1:38:25.880]  But yet, if you look at Sandy Hook and Alex Jones online, you are the Sandy Hook guy.
