[00:00:08.604 --> 00:00:10.707]  It's Sunday, September 25th.
[00:52:44.342 --> 00:52:46.203]  We got IMF World Bank documents in 2002.
[00:52:46.203 --> 00:52:46.763]  The BBC did.
[00:52:46.763 --> 00:52:47.083]  Greg Palast.
[00:52:48.644 --> 00:52:48.824]  We're
[00:53:18.624 --> 00:53:20.425]  To see the whole hidden image.
[00:53:20.425 --> 00:53:22.466]  And once we see the image, you can't unsee it.
[00:53:22.466 --> 00:53:24.427]  Is that what you're saying?
[00:53:24.427 --> 00:53:25.168]  Exactly correct.
[00:53:25.168 --> 00:53:25.528]  Thank you.
[00:53:25.528 --> 00:53:27.009]  You put that very well.
[00:53:27.009 --> 00:53:34.293]  And that's why one of our primary objectives, once part of our plan to reform the nation.
[00:53:34.293 --> 00:53:37.815]  And let me just read this to you because this is critical in terms of understanding.
[00:53:38.636 --> 00:53:41.058]  Our understanding of the problem and therefore the solution.
[00:53:41.058 --> 00:53:46.241]  Our purpose is to save Australia just like your job is to save the United States.
[00:53:46.241 --> 00:53:47.582]  So it's very clear to save Australia.
[00:53:47.582 --> 00:53:49.063]  How are we going to do that?
[00:53:49.063 --> 00:53:58.368]  We're going to create a moral political force that empowers Australians to reach their highest individual potential so that collectively all can participate in the reformation of Australia.
[00:53:58.368 --> 00:53:59.029]  Now this is key.
[00:53:59.750 --> 00:54:08.800]  Because this creates a foundation of strong-willed, strongly-minded individuals who then build the nation from the ground up.
[00:54:08.800 --> 00:54:12.764]  And that way they cannot impose anything upon us ever again.
[00:54:12.764 --> 00:54:16.047]  Now, the United States has been through their revolution.
[00:54:16.047 --> 00:54:17.108]  We haven't.
[00:54:17.108 --> 00:54:19.311]  And so this is why it's brand new for us.
[00:54:19.311 --> 00:54:21.313]  But then we're working towards an end state.
[00:54:21.894 --> 00:54:26.437]  Now, this is all military planning, and I love the way the military does business.
[00:54:26.437 --> 00:54:27.498]  It is just unemotional.
[00:54:27.498 --> 00:54:30.220]  This is not a marketing statement.
[00:54:30.220 --> 00:54:33.503]  This is an end state, a checklist that we must achieve.
[00:54:33.503 --> 00:54:43.250]  So after empowering individuals to reach their highest individual potential, and then collectively assisting to reform the country from the ground up, this is what we want to create.
[00:54:44.056 --> 00:54:56.366]  Australia as a moral, sovereign, self-reliant, Christian Western democracy which is economically powerful, militarily intimidating, politically free, culturally vibrant and socially cohesive.
[00:54:56.366 --> 00:54:57.567]  And that's what we're building.
[00:54:57.567 --> 00:55:04.112]  So every step that we take on this journey from where we are to where we want to be has to contribute directly to that end state.
[00:55:04.112 --> 00:55:06.274]  If it doesn't, it's out.
[00:55:06.274 --> 00:55:10.898]  And creating a wound in the Australian psyche of a civil war.
[00:55:12.162 --> 00:55:19.224]  Is something that never really heals and it's one that prudent leadership demands we avoid at all costs.
[00:55:19.224 --> 00:55:22.545]  Now if we have to defend ourselves, I have no problem with that.
[00:55:22.545 --> 00:55:25.666]  My natural instinct as a soldier is to squeeze the trigger.
[00:55:25.666 --> 00:55:28.827]  I get it.
[00:55:28.827 --> 00:55:32.108]  All right, we lost his connection to the land down under where it's
[00:55:34.162 --> 00:55:38.345]  755 Central, we will reconnect with him and get him on to lay this out.
[00:55:38.345 --> 00:55:47.510]  And when he's saying Australia, you think America, you think United Kingdom, you think Germany, you think Mexico, you think Spain, you think South Africa, you think Nigeria.
[00:55:47.510 --> 00:55:48.951]  It's the same globalist force.
[00:55:49.491 --> 00:55:50.392]  Doing the same thing.
[00:55:50.392 --> 00:55:52.653]  They want a civil war here, black against white.
[00:55:52.653 --> 00:55:59.058]  They want a civil war in Australia to then discredit the idea of nationalism and then bring in global corporatism.
[00:55:59.058 --> 00:56:02.021]  And this is, what he's saying is the solution to all this.
[00:56:02.021 --> 00:56:05.563]  So again, Lieutenant Colonel Ricardo Abbasi joins us again.
[00:56:05.563 --> 00:56:07.265]  His Skype has come back.
[00:56:07.265 --> 00:56:10.907]  What you're saying is, again, the answer to everything.
[00:56:10.907 --> 00:56:14.170]  And I'm not just highlighting that because you're on the show and I like you.
[00:56:14.170 --> 00:56:15.090]  You are dead on here.
[00:56:15.090 --> 00:56:17.052]  And if we don't understand this, we're going to lose.
[00:56:17.052 --> 00:56:18.173]  If we understand it, we're going to win.
[00:56:20.546 --> 00:56:21.026]  That's correct.
[00:56:21.026 --> 00:56:22.147]  I'm not sure where I dropped out.
[00:56:22.147 --> 00:56:25.149]  Did I get to the insight we're trying to create?
[00:56:25.149 --> 00:56:27.690]  You know, we're going to go to break and you're going to do this 30 more minutes the next hour.
[00:56:27.690 --> 00:56:28.431]  I really appreciate that.
[00:56:28.431 --> 00:56:31.913]  And we've got more great folks from Australia joining us, former political president and others.
[00:56:31.913 --> 00:56:34.455]  But yes, sir, you started to get to it.
[00:56:34.455 --> 00:56:47.643]  But I want everybody to stay with us into the next hour where I'm going to try to give you the floor to really walk through all this because you've got a great military background and one of the top advisors to your government and how you guys are going to behave
[00:56:48.163 --> 00:56:49.987]  We'll then be an example to everybody else in the world.
[00:56:49.987 --> 00:56:55.439]  But the minute we have left in this hour, how do people find you, not just in Australia, but around the world?
[00:56:55.439 --> 00:56:57.163]  How do people support your fight?
[00:57:00.125 --> 00:57:01.046]  Spread the word.
[00:57:01.046 --> 00:57:02.248]  That's the best you can do.
[00:57:02.248 --> 00:57:04.971]  Just spread the word, spread the word, build the army, build the army.
[00:57:04.971 --> 00:57:11.078]  Anything to build the army is what will help us best because we need numbers and I mean big numbers.
[00:57:11.078 --> 00:57:18.806]  We need millions of people in Australia and we need tens of millions in the US and around the world to stand up and just say no.
[00:57:18.806 --> 00:57:19.888]  And there's nothing they can do.
[00:57:20.760 --> 00:57:22.521]  AustraliaOneParty.com.
[00:57:22.521 --> 00:57:24.522]  Australia's fight is everybody's fight.
[00:57:24.522 --> 00:57:31.084]  We face the exact same enemies, and we are all in a human alliance around the world against this globalist force.
[00:57:31.084 --> 00:57:35.406]  But the globalist force is coming after the Western republics and, quote, democracies.
[00:57:35.406 --> 00:57:39.048]  Because if they can destroy those, the world will be under the New World Order's control.
[00:57:39.048 --> 00:57:41.169]  We'll be back with hour number two straight ahead.
[00:57:41.169 --> 00:57:41.569]  Stay with us.
[00:57:51.528 --> 00:58:00.200]  So the placebo that they have used, that the FDA has allowed them to use, has often been another vaccine.
[00:58:00.200 --> 00:58:06.007]  A vaccine with a known adverse reaction profile that's causing death and damage in its own right.
[00:58:06.007 --> 00:58:06.728]  That it's the
[00:58:07.765 --> 00:58:18.249]  Aluminum, as an adjuvant in the vaccine, a known neurotoxin, a known immunotoxin, a known poison in human beings, that is in the supposedly inert placebo.
[00:58:18.249 --> 00:58:19.729]  Totally inappropriate.
[00:58:19.729 --> 00:58:21.610]  This is not good science.
[00:58:21.610 --> 00:58:23.151]  It is not science at all.
[00:58:24.102 --> 00:58:36.106]  It is an effort to cover up the true adverse reaction rates to these vaccines so that they can get through the low barrier of constraints put there by the FDA and onto the market.
[00:58:36.106 --> 00:58:37.586]  That is the only concern.
[00:58:37.586 --> 00:58:42.248]  Dr. Wakefield is just one of many informed voices in the film, Covidland.
[00:58:42.248 --> 00:58:45.449]  Secure your copy of Covidland today at covidland.com.
[00:58:45.449 --> 00:58:51.171]  And if you order by October 6, you get a free copy of the film, Blueprint for Global Enslavement, absolutely free.
[00:58:53.980 --> 00:59:04.548]  I'm 59 years old, in good health, I'm not working in the front line, so my type is not recommended to get vaccination.
[00:59:04.548 --> 00:59:17.979]  That was the current CEO of Pfizer, just a few months ago, on a national TV interview saying, oh, he doesn't need to take the so-called mRNA vaccine, it's really a gene therapy.
[00:59:19.042 --> 00:59:22.264]  He said, you know, he's 57 years old, he's healthy, he doesn't need it.
[00:59:22.264 --> 00:59:29.148]  It's at-risk people, but that's not what his PR firms that have bought off the politicians in over 100 countries say.
[00:59:29.148 --> 00:59:37.914]  They say you've got to take it to have a job, or leave your house and get on a plane, or a train, or even get outside your home for one hour a day if you live in Australia.
[00:59:37.914 --> 00:59:43.618]  So remember, the White House is exempt, Congress and their staff are exempt, the Postal Service is exempt.
[00:59:44.498 --> 00:59:45.959]  All these big corporate heads are exempt.
[00:59:45.959 --> 00:59:47.780]  They're not taking their poison vaccine.
[00:59:47.780 --> 00:59:49.581]  They're pushing it on you.
[00:59:49.581 --> 00:59:50.421]  Wake up, folks!
[00:59:50.421 --> 00:59:54.944]  Wake up!
[00:59:54.944 --> 01:00:09.432]  You're listening to the Alex Jones Show.
[01:00:09.432 --> 01:00:10.933]  Well, I get excited here because...
[01:00:12.188 --> 01:00:18.915]  I became aware of the Globalist Plan when I was a teenager because I had family that was aware of it and speaking out against it.
[01:00:18.915 --> 01:00:23.900]  And I had family that had worked in the government, in the military, like our guest, Cardo Bassi.
[01:00:23.900 --> 01:00:26.743]  They were telling me about the plan to end the United States, bring in world government.
[01:00:26.743 --> 01:00:29.206]  He was reading a document from the 1980s planning it.
[01:00:29.206 --> 01:00:30.727]  So this is the same global program.
[01:00:31.528 --> 01:00:33.929]  Some stages don't carry the short five minutes, a lot do.
[01:00:33.929 --> 01:00:41.753]  But just specifically, Ricardo, you're a very polite guy, but I'll jump in a lot if you don't just take over.
[01:00:41.753 --> 01:00:47.136]  Tell folks exactly what you're facing, what's going on, and specifically how we don't fall into their trap.
[01:00:47.136 --> 01:00:53.499]  And now we have a peaceful revolution of noncompliance versus being roped into a violent revolution.
[01:00:53.499 --> 01:00:55.500]  Sure.
[01:00:55.500 --> 01:01:00.543]  What they're doing, as you've seen on the media,
[01:01:01.537 --> 01:01:03.819]  is confronting protesters.
[01:01:03.819 --> 01:01:06.901]  But what they're not showing you is the truth.
[01:01:06.901 --> 01:01:10.723]  And we have our own people out there which communicate what's going on.
[01:01:10.723 --> 01:01:15.686]  And you've seen the reports of violent right-wing anti-vaxxers.
[01:01:15.686 --> 01:01:17.467]  Well, there's nothing right-wing about us at all.
[01:01:17.467 --> 01:01:19.629]  I mean, check our policies out.
[01:01:19.629 --> 01:01:23.031]  And we're not violent and nor are the protesters.
[01:01:23.031 --> 01:01:25.713]  So what happens is, what happened in Melbourne most recently,
[01:01:27.224 --> 01:01:36.292]  One of our major unions, the CFMEU, the membership is split from the leadership because they know the leadership are fully on board with the globalists.
[01:01:36.292 --> 01:01:47.522]  There's an individual called Sharon Burroughs, who used to be head of the Australian Council of Trade Union, that's the peak union body in Australia, who's now signed up globalists living in Belgium doing Karl Schwab's bidding.
[01:01:48.106 --> 01:01:52.930]  So anyway, they're splitting apart and they were forming up and they started marching.
[01:01:52.930 --> 01:02:05.040]  The police, there were about 300 or 400 there, the police told them to move on and the construction guys, they're pretty robust individuals down under, as I guess they are in the US, and they just ignored them.
[01:02:05.040 --> 01:02:16.950]  And then 300 to 400 turned into 5,000, turned into 10,000, turned into 20,000, but if you watch the news, it sounded like there were 300 cranky anti-vaxxers throwing fists at the police, but it was completely the other way around.
[01:02:17.794 --> 01:02:19.336]  And so, they're lying to us.
[01:02:19.336 --> 01:02:24.401]  But now, how do we raise this army, for example?
[01:02:24.401 --> 01:02:25.422]  The truth.
[01:02:25.422 --> 01:02:26.683]  The truth is what's going to do it.
[01:02:26.683 --> 01:02:29.806]  Let me give you one story that'll just get you riled.
[01:02:29.806 --> 01:02:38.415]  We have in Australia a 90-year suppression order, which conceals the names of 28 VIP pedophiles, including a former Prime Minister.
[01:02:39.119 --> 01:02:40.920]  Now this document is a police document.
[01:02:40.920 --> 01:02:49.987]  It was raised by Senator Bill Heffernan in 2015 in a Senate inquiry and he sat alone because no other senator would be there with him.
[01:02:49.987 --> 01:03:03.798]  So we've got a 90-year suppression order which nobody, no party, Liberal, Labour, Nationals and Greens, none of them have whispered because we know that that's one of their key tools for getting the results that they want.
[01:03:03.798 --> 01:03:06.220]  Whether it's the judiciary or the military or whatever.
[01:03:06.781 --> 01:03:08.523]  That's the part of the blackmail.
[01:03:08.523 --> 01:03:09.424]  Now that's not the only one.
[01:03:09.424 --> 01:03:18.953]  There's another one that came out of South Australia, which is one of our Australian states, and there was a Mulligan inquiry was called, Justice Mulligan, and that has an 80-year suppression order.
[01:03:18.953 --> 01:03:25.940]  So pedophilia, this golden thread, I shouldn't call it a golden thread, I should call it something less
[01:03:26.969 --> 01:03:27.369]  Glossy.
[01:03:27.369 --> 01:03:30.352]  It's this awful thread that runs through the control.
[01:03:30.352 --> 01:03:42.321]  And that's how one of the main reasons, one of the main methods they have used to get a hold of the judiciary, the bureaucracy, the military, the academia, the media, everything.
[01:03:42.321 --> 01:03:43.041]  It's that.
[01:03:43.041 --> 01:03:54.910]  And so get the truth out and we raise the truth as much as we can so people wake up and they realize there is a war and it is against us and the police are doing the bidding.
[01:03:54.910 --> 01:03:55.550]  Now you mentioned
[01:03:57.412 --> 01:04:00.034]  Why don't the police and the military do something?
[01:04:00.034 --> 01:04:05.558]  Alex, I've been looking for white hats in the ADF, in the Australian Defence Force, for a long time now, and I can't see any.
[01:04:05.558 --> 01:04:06.479]  And I mean it.
[01:04:06.479 --> 01:04:07.280]  I've looked hard.
[01:04:07.280 --> 01:04:11.583]  In fact, they've even turned some of my former colleagues against me.
[01:04:11.583 --> 01:04:13.564]  I was a best man at one of my friends' weddings.
[01:04:13.564 --> 01:04:19.189]  He was another Special Forces officer, and they sent him up against me to get some intel to find out what I was up to.
[01:04:19.189 --> 01:04:22.351]  And so, this is really Australia contra mordem.
[01:04:22.351 --> 01:04:23.372]  Australia against the world.
[01:04:24.056 --> 01:04:24.997]  They are.
[01:04:24.997 --> 01:04:26.178]  There are no white hats.
[01:04:26.178 --> 01:04:36.205]  And I have this little dream that when we get into power, and we will, that I'll call up, look for a decent four-star U.S.
[01:04:36.205 --> 01:04:40.668]  Marine Corps General, because they can see sea, air, land and special ops fights.
[01:04:40.668 --> 01:04:45.752]  We'll bring them in on a five-year contract to Australia and he'll have one job, is to turn this
[01:04:46.889 --> 01:04:52.012]  Woke joke, which is what the Australian Defence Force is, into a fighting machine again.
[01:04:52.012 --> 01:04:52.892]  And so we'll get him in.
[01:04:52.892 --> 01:04:56.374]  The other thing we'll have to do is we'll sack everybody from the rank of Brigadier up.
[01:04:56.374 --> 01:04:58.335]  We'll be retired immediately.
[01:04:58.335 --> 01:04:58.755]  Stay there.
[01:04:58.755 --> 01:04:59.796]  Back in 60 seconds.
[01:04:59.796 --> 01:05:02.437]  Ricardo Bossi, stay with us.
[01:05:02.437 --> 01:05:12.562]  We've all heard about the pastor and his famous statement from inside a concentration camp in World War II that when they came for one group, he wasn't part of that group, so he didn't stand up.
[01:05:12.562 --> 01:05:15.844]  And then when they came for another group, he wasn't part of that group, so he didn't stand up.
[01:05:16.937 --> 01:05:20.439]  And finally, when they can't apprehend those, nobody else will stand up.
[01:05:20.439 --> 01:05:25.302]  Well, the global social credit score that China's putting in, it's banning people to three hours of video games a week.
[01:05:25.302 --> 01:05:29.305]  And if you criticize the government, you can never buy or sell again.
[01:05:29.305 --> 01:05:34.428]  Well, that's being brought here and all over the world under the guise of COVID vaccine passports.
[01:05:34.428 --> 01:05:35.368]  They even admit it now.
[01:05:35.368 --> 01:05:37.990]  They're saying there's going to be a carbon tax attached to it.
[01:05:37.990 --> 01:05:41.932]  They're going to track where you go and what you do and decide where you can go and what you can do.
[01:05:41.932 --> 01:05:44.234]  That's what the lockdowns are about.
[01:05:44.234 --> 01:05:44.954]  You'll accept that.
[01:05:44.954 --> 01:05:45.795]  You'll accept anything.
[01:05:46.877 --> 01:05:52.799]  So again, the left is having fun right now with all the censorship and tyranny, pretending like they're part of the power structure.
[01:05:52.799 --> 01:05:55.220]  But they're all going to be targeted by this nightmare as well.
[01:05:55.220 --> 01:06:10.647]  We need to get back to basic human rights and promote them, or all of us will be enslaved by this horrible technocracy run by the globalists.
[01:06:10.647 --> 01:06:16.109]  I want everybody listening here in the United States on hundreds of radio stations and over a hundred TV stations to please
[01:06:17.031 --> 01:06:17.676]  Take notes.
[01:06:18.846 --> 01:06:27.152]  And check out everything we're laying out and breaking down here on the Alex Jones Show on this live September 26 Sunday broadcast.
[01:06:27.152 --> 01:06:33.096]  Because all I read is what the UN and the Davos Group and the Bilderberg Group are putting out and the Club of Rome.
[01:06:33.096 --> 01:06:34.517]  It's all the same people that chair it all.
[01:06:34.517 --> 01:06:39.780]  The CFR and the Royal Commissions, the Royal Institute of International Affairs.
[01:06:39.780 --> 01:06:41.601]  These are roundtable groups.
[01:06:41.601 --> 01:06:44.143]  And it's how the corporate British Empire controlled the world.
[01:06:44.143 --> 01:06:45.844]  But it's not the British Empire today.
[01:06:45.844 --> 01:06:48.606]  But it used that skeletal system.
[01:06:49.666 --> 01:06:55.029]  And if we're going to defeat it, it's what Mahatma Gandhi did in India against that very empire.
[01:06:55.029 --> 01:06:57.590]  And what our guest said earlier is totally true.
[01:06:57.590 --> 01:07:05.674]  Australia is having its coming-of-age real revolution right now against the governor-general and the vestigial systems of tyranny.
[01:07:05.674 --> 01:07:12.597]  And they looked at the whole world and said, that's the best place to have our beta test to trigger our civil war, crush the people, and bring in total tyranny.
[01:07:13.709 --> 01:07:18.773]  Same thing that's happening here with no borders, no walls, the attacks on America, the racial division.
[01:07:18.773 --> 01:07:21.055]  All of this is demoralizing, putting in Biden.
[01:07:21.055 --> 01:07:22.235]  He's supposed to be hated.
[01:07:22.235 --> 01:07:28.720]  He's supposed to make the country look terrible because they want a collapse, but with them posing as the saviors.
[01:07:28.720 --> 01:07:30.542]  They're bringing in their world government.
[01:07:30.542 --> 01:07:32.423]  They're bringing in their world ID.
[01:07:32.423 --> 01:07:41.250]  So you see Australia with the military and the police and unmarked police beating up old ladies, arresting men, women, and children for going outside saying they're not essential.
[01:07:42.554 --> 01:08:04.570]  This is part of the takeover of the planet, and there's only one way politically, culturally, militarily to defeat this, and it's how he's talking about recognizing it's a foreign takeover, recognizing it's illegitimate, recognizing we have global solidarity with each other against this corporate New World Order that uses socialism and communism and leftist garbage as its control system.
[01:08:04.570 --> 01:08:06.231]  We're not right-wing, I agree with him.
[01:08:06.231 --> 01:08:07.873]  We're populist worldwide.
[01:08:08.473 --> 01:08:13.438]  We want to get back to governing our own countries for the people, by the people, of the people.
[01:08:13.438 --> 01:08:25.531]  So, Ricardo Bossi's here with us, AustraliaOneParty.com, and again, he was a Special L Services Lieutenant Colonel, and he was also National Commander of Australian SAS Forces.
[01:08:25.531 --> 01:08:29.995]  He also was the Director of Future Capability Development and Headquarters Special Operations, amongst others.
[01:08:29.995 --> 01:08:30.516]  He can speak
[01:08:30.976 --> 01:08:38.800]  To the type of societal behavioral psychology takeover that wants to make it physical to radically reshuffle.
[01:08:38.800 --> 01:08:43.543]  That's why they're building, quote, emergency camps for shielding in place.
[01:08:43.543 --> 01:08:45.444]  They have the same thing in Europe, same thing here.
[01:08:45.444 --> 01:08:51.668]  They say soon we'll put people that are healthy in camps to protect them from those that aren't and the anti-vaxxers.
[01:08:52.148 --> 01:08:57.269]  That's the cover for the internment camps they're building once they trigger the civil wars.
[01:08:57.269 --> 01:09:01.911]  So they have them here, they have them in Canada, Europe, UK, Australia, New Zealand.
[01:09:01.911 --> 01:09:05.012]  This is a formulaic operation globally.
[01:09:05.012 --> 01:09:07.772]  We must formulaically awaken to it and say no.
[01:09:07.772 --> 01:09:17.635]  I'm going to stop ranting here, Ricardo Abbasi, but you've got the floor of the rest of this segment and the next to raise the alarm worldwide and explain again how we have victory without violence.
[01:09:18.965 --> 01:09:19.906]  Absolutely.
[01:09:19.906 --> 01:09:23.508]  Well, you mentioned the Constitution, the Governor-General.
[01:09:23.508 --> 01:09:28.192]  In Australia, and this is part of raising the awareness, letting people know there are solutions to this.
[01:09:28.192 --> 01:09:29.052]  Let me give you an example.
[01:09:29.052 --> 01:09:35.457]  I wrote an open letter to our Governor-General, whom I knew when he was Lieutenant Colonel and I was a Major.
[01:09:35.457 --> 01:09:38.359]  And he has options open to him that the people aren't aware of.
[01:09:38.359 --> 01:09:43.002]  For example, the Prime Minister and the Cabinet isn't mentioned in our Constitution.
[01:09:43.002 --> 01:09:47.585]  A national executive, federal executive is mentioned, appointed by the Governor-General.
[01:09:47.585 --> 01:09:48.626]  Now, if a government
[01:09:49.531 --> 01:10:00.234]  Continues with unconstitutional behavior, of which there is sufficient evidence, without a doubt, grossly unconstitutional behavior, on any level.
[01:10:00.234 --> 01:10:03.315]  The Governor-General must warn the government of that fact.
[01:10:03.315 --> 01:10:08.177]  If they persist with their unconstitutional behavior, the Governor-General has the right to dismiss the government.
[01:10:08.177 --> 01:10:12.818]  Now, nobody wants to do that because it's unstable.
[01:10:12.818 --> 01:10:14.019]  It destabilizes the
[01:10:15.936 --> 01:10:17.998]  The rule of law in the minds of the people.
[01:10:17.998 --> 01:10:27.406]  But he has the power and I mean you can't think of a better reason to start maybe making some suggestions to the government about the constitutionality of their behaviour.
[01:10:27.406 --> 01:10:29.367]  But the Governor-General has the lawful authority.
[01:10:29.367 --> 01:10:30.048]  Now imagine this.
[01:10:30.048 --> 01:10:34.111]  This is just one option open to ending this immediately.
[01:10:34.111 --> 01:10:39.856]  The Governor-General has the power to warn the government to cease their unconstitutional behaviour.
[01:10:39.856 --> 01:10:41.457]  Let's say it doesn't.
[01:10:41.457 --> 01:10:44.340]  Then he dismisses the government
[01:10:45.157 --> 01:10:57.028]  And he may appoint, for a period of three months, anybody to act as members of the Federal Executive Council.
[01:10:57.028 --> 01:11:07.638]  And they may then operate as departmental secretaries, or in the US model, secretaries of state, secretaries of health, secretaries of defense, the cabinet.
[01:11:07.638 --> 01:11:09.180]  And so this could be ended tomorrow.
[01:11:10.126 --> 01:11:15.169]  He appoints some people, they fill in, and they take over running the country.
[01:11:15.169 --> 01:11:21.634]  It's quite lawful because this was one of the checks and measures that was put in by our founding fathers to make sure tyranny was not allowed.
[01:11:21.634 --> 01:11:24.316]  Now, what advice is the Governor General getting?
[01:11:24.316 --> 01:11:26.637]  Well, I can guarantee it's globalist advice.
[01:11:26.637 --> 01:11:28.078]  It's not the real advice.
[01:11:28.078 --> 01:11:31.080]  Now it's up to him.
[01:11:31.080 --> 01:11:32.401]  He's been given the opportunity.
[01:11:32.401 --> 01:11:34.722]  There are opportunities now for him to take action.
[01:11:34.722 --> 01:11:35.243]  If he doesn't,
[01:11:35.968 --> 01:11:59.376]  Like everybody else here signed his own death warrant because one of our other key policies is we're going to reintroduce death penalty for treason and sedition and we got rid of the death penalty 70 years ago and we're going to bring it back and what's interesting is that the leftists are claiming that we're brutal and inhuman for reintroducing the death penalty for treason and sedition yet these are the same people
[01:12:00.057 --> 01:12:04.338]  Who allow the most egregious abortion, full-term abortion laws in Australia.
[01:12:04.338 --> 01:12:07.099]  In fact, the US has only just caught up to Australia.
[01:12:07.099 --> 01:12:18.121]  See, the globalist hands reach into every aspect of our life here and we've had full-term abortion, partial birth abortion laws creeping their way across Australia for years now.
[01:12:18.121 --> 01:12:21.282]  And the Australian people don't know about it, they don't understand it, they don't believe it.
[01:12:22.248 --> 01:12:26.850]  But I need to get this out in full so people of Australia understand this.
[01:12:26.850 --> 01:12:39.234]  It is lawful in Australia, at the point of birth, for a doctor to partially deliver the baby so the baby's head remains inside the mother, so it's not born, inverted commas, by definition.
[01:12:39.234 --> 01:12:49.877]  The doctor then gets a pair of metzenbaum scissors and jabs a hole in the back of the baby's head, cuts it open, inserts a vacuum pump and sucks out the living brain of a baby at full term.
[01:12:50.640 --> 01:12:55.021]  The baby is then delivered, but it's not called a baby, it's called medical waste.
[01:12:55.021 --> 01:12:57.662]  It's not given a birth certificate, a death certificate.
[01:12:57.662 --> 01:13:01.684]  It is then sold as body parts to corporations.
[01:13:01.684 --> 01:13:06.525]  Now, this is legal in Australia and allegedly called health for women.
[01:13:06.525 --> 01:13:11.447]  Now, if these people are such moral imbeciles that they can't see the difference between a morning after pill
[01:13:12.771 --> 01:13:18.393]  And a full-term abortion, and they have no place in polite society.
[01:13:18.393 --> 01:13:21.834]  They know exactly what they're doing, and some stations just joined us earlier.
[01:13:21.834 --> 01:13:25.516]  You broke down how it's the same thing in Europe, same thing in the US, same thing there.
[01:13:25.516 --> 01:13:37.820]  They use pedophilia in government by promoting pedophiles from a level of mayor up to your Senate and other areas, and that your government had 80-year seals on that in the government.
[01:13:37.820 --> 01:13:39.101]  And if you look at the German government,
[01:13:40.261 --> 01:13:45.385]  30 plus thousand children placed with pedophiles to then be leased out to politicians.
[01:13:45.385 --> 01:13:53.330]  We even learned the CIA would put pedophiles in charge over police departments in areas in Afghanistan and supply them with children.
[01:13:53.330 --> 01:14:00.254]  So this is a evil cult of pedophiles that are at the heart of what we face worldwide.
[01:14:00.254 --> 01:14:01.415]  Yeah, exactly right.
[01:14:01.415 --> 01:14:02.836]  It is worldwide.
[01:14:02.836 --> 01:14:03.596]  It is common.
[01:14:03.596 --> 01:14:04.697]  It is the way it's being done.
[01:14:04.697 --> 01:14:06.498]  And the people have to understand this.
[01:14:06.498 --> 01:14:07.879]  This has been going on since forever.
[01:14:07.879 --> 01:14:09.200]  This is not a recent innovation.
[01:14:10.658 --> 01:14:13.260]  This is millennia old, these practices.
[01:14:13.260 --> 01:14:18.283]  Child sacrifice, the whole adrenochrome issue.
[01:14:18.283 --> 01:14:20.044]  This is not new.
[01:14:20.044 --> 01:14:21.485]  This is an ancient war.
[01:14:21.485 --> 01:14:26.209]  And look, we're not fighting just flesh and blood, as you well know.
[01:14:26.209 --> 01:14:31.192]  We are fighting satanic forces, by definition, satanic forces.
[01:14:31.192 --> 01:14:36.696]  And one of the major means by which it is delivered is by the Masonic Lodges.
[01:14:37.367 --> 01:14:43.848]  Now, the low-level Masons think it's just a gentleman's club and you get to promote your business and do well.
[01:14:43.848 --> 01:14:47.549]  But at the higher levels, we know exactly what's going on.
[01:14:47.549 --> 01:14:48.869]  It is satanic.
[01:14:48.869 --> 01:14:53.210]  It is a blood ritual sacrifice that goes on regularly.
[01:14:53.210 --> 01:14:58.651]  And I've been contacted by Masons who have reluctantly admitted, we think you're right.
[01:14:58.651 --> 01:15:00.712]  There's something going on.
[01:15:00.712 --> 01:15:01.692]  Something's not quite right.
[01:15:01.692 --> 01:15:04.633]  But the Masons have penetrated every aspect of Australian society.
[01:15:06.460 --> 01:15:23.245]  Given that case, and I think I mentioned it earlier, when a body is so riddled with cancer that if you try to cut it out you're going to kill the host, that's why the solution to this must be measured, it must be careful, because otherwise we're going to kill, we will face a civilizational collapse.
[01:15:23.245 --> 01:15:29.547]  Now imagine if all the crooks put their hands up and said, thank you, you're all right, we'll go away, the place will cease to function.
[01:15:29.547 --> 01:15:34.188]  So we have to transition from this masonic-controlled Satanist cult
[01:15:34.935 --> 01:15:38.576]  To a point where they are removed and the country continues.
[01:15:38.576 --> 01:15:39.097]  Absolutely.
[01:15:39.097 --> 01:15:41.197]  And we've got to explain this when we come back.
[01:15:41.197 --> 01:15:42.338]  It's a mystery school.
[01:15:42.338 --> 01:15:44.619]  It's what intelligence agencies grew out of.
[01:15:44.619 --> 01:15:50.481]  It's just a cult that is in control worldwide, whose ritual is abusing children, killing children.
[01:15:50.481 --> 01:15:51.481]  And it's real.
[01:15:51.481 --> 01:15:52.402]  And it's coming out.
[01:15:52.402 --> 01:15:58.204]  One city in Germany, 30,000 children taken from Christians, given to pedophiles for the government.
[01:15:58.204 --> 01:15:58.724]  We'll be right back.
[01:16:02.020 --> 01:16:09.489]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[01:16:09.489 --> 01:16:13.614]  But if you look at all the different studies and reports about NASA and other governments and other agencies...
[01:16:14.676 --> 01:16:17.379]  They all disagree on what's really happening with the climate.
[01:16:17.379 --> 01:16:22.926]  The only constant, the only great truth is, change is the only constant.
[01:16:22.926 --> 01:16:25.689]  So yes, climate change is totally real.
