[00:00:03.086 --> 00:00:04.287]  You found it!
[01:53:07.313 --> 01:53:08.194]  In the interview I saw,
[01:53:09.412 --> 01:53:10.132]  Yes, he's very daft.
[01:53:10.132 --> 01:53:10.612]  Very posh.
[01:53:10.612 --> 01:53:11.253]  Very soft.
[01:53:11.253 --> 01:53:15.554]  I don't see how they were able to take you off some platforms already.
[01:53:31.420 --> 01:53:32.922]  I think really it's down to efficacy.
[01:53:46.677 --> 01:53:50.558]  I think if I had a platform of like five viewers or something, they wouldn't care.
[01:53:50.558 --> 01:53:54.860]  I think it's the fact that I have a large audience.
[01:53:54.860 --> 01:53:58.741]  But most importantly, I'm directly opposing progressivism as an ideology.
[01:53:58.741 --> 01:54:02.202]  Because I think that is the root of the problems here.
[01:54:02.202 --> 01:54:07.243]  Like the radical leftism that is slipped in under the guise of progressivism.
[01:54:07.243 --> 01:54:10.625]  I think I'm quite effective at challenging this.
[01:54:10.625 --> 01:54:11.925]  And I think that's the problem.
[01:54:12.265 --> 01:54:24.271]  So, obviously, this is your day job now, but personally, when you started out and didn't know you'd get, you know, 50 million viewers a month or whatever, what were you doing then?
[01:54:24.271 --> 01:54:25.352]  What made you get engaged?
[01:54:25.352 --> 01:54:28.413]  What were you thinking this YouTube channel would do?
[01:54:28.413 --> 01:54:32.836]  Honestly, I didn't have any plan for it whatsoever, which is why I ended up with the name Falcon of a Cat.
[01:54:32.836 --> 01:54:38.699]  I was just... I'd been working for the government research councils in Britain.
[01:54:39.399 --> 01:54:48.465]  And I lost that job for whatever reason, and I was unemployed and looking for other jobs, and I was just annoyed at the things I was seeing in the news.
[01:54:48.465 --> 01:54:54.089]  And I thought, well, you know, I'd registered a YouTube account like three years prior just so I could follow some videos that I was interested in.
[01:54:54.089 --> 01:54:58.131]  And so I thought, oh, I'll upload one and talk about the things I'm concerned about talking about.
[01:54:58.131 --> 01:55:00.433]  And here we are.
[01:55:00.433 --> 01:55:05.156]  That was that funny one you did about the humble, humble water filter emergency.
[01:55:06.394 --> 01:55:07.154]  You're funny!
[01:55:07.154 --> 01:55:08.874]  That wasn't my meme, I stole that.
[01:55:08.874 --> 01:55:15.756]  But, man, when you did the gay frogs thing, I read through it and I was like, well, that's true.
[01:55:15.756 --> 01:55:17.396]  That's actually a true thing.
[01:55:17.396 --> 01:55:20.817]  The question wasn't whether it was turning the frogs gay, it was who was doing it and why.
[01:55:20.817 --> 01:55:25.017]  And it was really corporate laziness, not like a government conspiracy.
[01:55:25.017 --> 01:55:29.838]  But they're directly pushing to do this to young boys for depopulation.
[01:55:29.838 --> 01:55:31.819]  Well, the radical left certainly are.
[01:55:31.819 --> 01:55:33.759]  I don't know whether it's for depopulation, that's the thing.
[01:55:34.839 --> 01:55:41.363]  Well, they're running around trying to chop young boys' balls off like, you know, the old-fashioned Native Americans wanted to have scalps.
[01:55:41.363 --> 01:55:42.203]  Yes, yes.
[01:55:42.203 --> 01:55:45.625]  The radical left actually do hate masculinity.
[01:55:45.625 --> 01:55:51.808]  Let's talk about that some, because this war on masculinity, and it's not empowering women, what's behind it?
[01:55:51.808 --> 01:55:52.469]  Where's it going?
[01:55:54.990 --> 01:56:00.655]  Because the radical left has been... it's a feminist movement.
[01:56:00.655 --> 01:56:02.657]  And they're very... they'll all call themselves feminists.
[01:56:02.657 --> 01:56:04.178]  They're very open about it.
[01:56:04.178 --> 01:56:05.679]  They think that masculinity is toxic.
[01:56:05.679 --> 01:56:09.062]  They think it's the cause of the suffering that women have to endure.
[01:56:09.062 --> 01:56:13.306]  And therefore the solution is to feminize men.
[01:56:13.306 --> 01:56:14.647]  And that's actually not healthy for men.
[01:56:14.647 --> 01:56:16.869]  It turns them... it turns them weird.
[01:56:16.869 --> 01:56:17.710]  It makes them unhappy.
[01:56:17.710 --> 01:56:18.770]  And also statistically...
[01:56:19.591 --> 01:56:20.912]  Women really don't like that.
[01:56:20.912 --> 01:56:31.736]  So all these women that have the liberal, beta-cuck husband, she's out having sex all day with the alpha males, and then meanwhile, now they even wear shirts that say, I'm a cuck.
[01:56:33.846 --> 01:56:36.767]  That was at the recent Antifa protest in Portland.
[01:56:36.767 --> 01:56:39.428]  He had a shirt that said, Bait a Cuck for Life.
[01:56:39.428 --> 01:56:40.629]  That's unironically true.
[01:56:40.629 --> 01:56:41.609]  There's actually clothing lies!
[01:56:41.609 --> 01:56:42.589]  People thought it was a joke!
[01:56:42.589 --> 01:56:45.110]  Yeah, but that is true.
[01:56:45.110 --> 01:56:46.071]  That is absolutely true.
[01:56:46.071 --> 01:56:54.774]  I mean, only 8% of America and roughly 9% of Britain are radical left-wing activists.
[01:56:55.674 --> 01:57:00.496]  In my country, about 35% of people are actively opposed to feminism.
[01:57:00.496 --> 01:57:06.017]  It's not that they're not feminists, it's that they oppose feminism.
[01:57:06.017 --> 01:57:09.899]  There is a much broader section of the population that is opposed to this.
[01:57:09.899 --> 01:57:13.520]  And part of it is, as you say, women are attracted to masculinity.
[01:57:13.520 --> 01:57:15.240]  They do like masculine men.
[01:57:15.240 --> 01:57:17.221]  They don't tend to go for feminine men.
[01:57:17.221 --> 01:57:19.082]  I don't know why I have to say that.
[01:57:19.082 --> 01:57:20.122]  It seems obvious, doesn't it?
[01:57:20.122 --> 01:57:22.002]  But that's the reality of it.
[01:57:22.002 --> 01:57:23.223]  And you can see by the polling,
[01:57:23.803 --> 01:57:25.488]  And yet the feminists are not happy about this.
[01:57:25.488 --> 01:57:30.039]  But the whole drive behind all of it is down to equality.
[01:57:47.110 --> 01:58:00.295]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living, that would end up saving the nation.
[01:58:00.295 --> 01:58:03.196]  And today, the communist Chinese have banned all U.S.
[01:58:03.196 --> 01:58:04.956]  farming goods a week ago.
[01:58:04.956 --> 01:58:08.618]  And we've seen massive increases in polls, support for the president.
[01:58:09.258 --> 01:58:13.799]  And what he's doing in this trade war wants China to put pressure on our farmers.
[01:58:13.799 --> 01:58:14.860]  That's beautiful.
[01:58:14.860 --> 01:58:16.740]  Americans aren't going to be bullied.
[01:58:16.740 --> 01:58:18.341]  And we aren't going to back down.
[01:58:18.341 --> 01:58:25.943]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[01:58:25.943 --> 01:58:28.243]  And all you've done is awaken the human spirit.
[01:58:28.243 --> 01:58:32.445]  And the human spirit lives at InfoWars.com and NewsWars.com.
[01:58:32.445 --> 01:58:33.385]  And I'm asking listeners,
[01:58:34.165 --> 01:58:38.293]  Whatever you do, spread those links because we are the light in the dark of the night.
[01:58:38.293 --> 01:58:39.395]  We are the resistance.
[01:58:39.395 --> 01:58:40.037]  We are 1776 worldwide.
[01:58:48.422 --> 01:58:49.743]  Let's talk to Marcus in New York.
[01:58:49.743 --> 01:58:50.483]  Marcus, you're on the air.
[01:58:50.483 --> 01:58:51.103]  Thanks for holding.
[01:58:51.103 --> 01:58:51.444]  Hey, Alex.
[01:58:51.444 --> 01:58:54.445]  Yeah, I just want to say your show is a breath of fresh air.
[01:58:54.445 --> 01:59:00.569]  I talk to a lot of people here out in New York City, and one thing I can tell you is that almost nobody agrees with these wars.
[01:59:00.569 --> 01:59:09.294]  I think that the neocons are trying desperately to get Trump to go to a war because they know that that's the only way that they could defeat him in the eyes of the public approaching 2020.
[01:59:09.294 --> 01:59:10.314]  That's it.
[01:59:10.314 --> 01:59:13.176]  I mean, if Trump buys into this, it'll be the end of his presidency.
[01:59:13.176 --> 01:59:16.017]  It's the only way I think he can be defeated other than assassinating him.
[01:59:16.017 --> 01:59:17.318]  It's the time to be praying, my friend.
[01:59:17.478 --> 01:59:18.238]  I agree entirely.
[01:59:18.238 --> 01:59:23.681]  And the last thing I just want to say, Alex, is I know they're trying to shut you down, but the reinforcements have arrived, man.
[01:59:23.681 --> 01:59:26.462]  I would love to see you on air until you're 80 years old.
[01:59:26.462 --> 01:59:28.523]  I would love to see what you're talking about when you're 80.
[01:59:28.523 --> 01:59:37.768]  But if they do shut you down, know you've gone into this war, you've won a lot of battles, and there are a lot of people like myself and many others who are going to continue.
[01:59:37.768 --> 01:59:39.688]  We're going to keep fighting in the info war.
[01:59:39.688 --> 01:59:46.171]  And even if something does happen to you or your show, know for a fact that you've gotten a lot of people fired up for liberty.
[01:59:46.171 --> 01:59:47.112]  Thank you, sir, for calling.
[01:59:51.207 --> 02:00:08.554]  You're listening to The Alex Jones Show!
[02:00:08.554 --> 02:00:10.075]  There's a huge awakening happening!
[02:00:10.933 --> 02:00:33.450]  There's a giant explosive time here, but at the same time, they're also now going to pure lies, pure demonization, saying we run demonstrations we have nothing to do with, saying we terrorized Austin, had gun scares going, zero involvement, saying I hate black people, saying I'm a drug dealer, saying I'm a just you name it.
[02:00:33.450 --> 02:00:38.834]  In mainstream news, in concerted efforts, hundreds of articles per day.
[02:00:39.605 --> 02:00:40.505]  Per day.
[02:00:40.505 --> 02:00:42.807]  Maddow was in over 300 on Monday.
[02:00:42.807 --> 02:00:49.330]  Chicago Tribune, Washington Post, Miami Herald, Austin American States when I got calls about it.
[02:00:49.330 --> 02:00:51.491]  People going, you think we had a moon landing?
[02:00:51.491 --> 02:00:56.293]  You're not involved in the Boston bombing.
[02:00:56.293 --> 02:00:59.515]  Folks, you're talking hardcore.
[02:00:59.515 --> 02:01:01.436]  In the past, they would just kill me.
[02:01:01.436 --> 02:01:04.097]  But because of the info war, that would make me a martyr.
[02:01:05.262 --> 02:01:09.106]  Plus, like shark teeth, I've got rows of people ready to replace me, okay?
[02:01:09.106 --> 02:01:13.470]  And so, instead they are murdering who I am right now.
[02:01:13.470 --> 02:01:16.273]  They are killing who Alex Jones is.
[02:01:16.273 --> 02:01:18.855]  And look, Jesse Ventura has his problems politically.
[02:01:18.855 --> 02:01:22.899]  I don't agree with him on quite a bit of things, but he did get politically assassinated.
[02:01:22.899 --> 02:01:25.922]  You know, with the whole Chris Kyle thing.
[02:01:25.922 --> 02:01:27.303]  They could pull similar things on me.
[02:01:28.499 --> 02:01:30.601]  This is all a sign we're having a huge effect.
[02:01:30.601 --> 02:01:34.264]  They wouldn't be doing all of this if we weren't hitting the Zeitgeist.
[02:01:34.264 --> 02:01:37.366]  And InfoWars is growing exponentially right now.
[02:01:37.366 --> 02:01:39.989]  So I want to give you kind of the state of the InfoWars union here.
[02:01:41.172 --> 02:01:41.412]  I don't know.
[02:01:59.343 --> 02:02:00.623]  They're going to strike back a bunch of ways.
[02:02:00.623 --> 02:02:14.908]  I'm going to be doing some special reports that go through how they're doing this, but the model, because of total totalitarianism in China, they admit this in Australia, the US, you name it, the model for internet censorship is going to be phased in, Chinese-style net censorship.
[02:02:14.908 --> 02:02:19.429]  Net IDs, net taxes, three strikes and you're out, net rules.
[02:02:19.429 --> 02:02:27.252]  But before they get to that, they're going to phase in, it started, starts this, next year, just, you know, ten days or so, or less, I guess, nine days.
[02:02:28.217 --> 02:02:42.992]  In China, and they're already lining up with Facebook, Google, all of them agreeing with China, Microsoft, to implement these systems where China already does it, and then they beta test there and then bring it here.
[02:02:42.992 --> 02:02:46.876]  And our story's on DrugsReport.com, we do a document cam over here.
[02:02:47.962 --> 02:02:50.463]  And of course, Drudge gets how incredibly important this is.
[02:02:50.463 --> 02:02:56.445]  We've been mentioning this for the last few months, but now it's hit critical mass because the Chinese have released the full details.
[02:02:56.445 --> 02:03:10.650]  Everything you do, everything you do in China, from your credit score, to what you buy, to discount cards, to your internet records, to what you say on social networks, is integrated into an algorithm.
[02:03:10.650 --> 02:03:12.751]  And if you criticize the government basically once,
[02:03:13.737 --> 02:03:14.977]  You can't even buy or sell.
[02:03:14.977 --> 02:03:16.058]  You can't get a hotel.
[02:03:16.058 --> 02:03:17.198]  You can't travel.
[02:03:17.198 --> 02:03:23.220]  I notice all this is being phased in here with the IRS saying, if we start auditing you or don't even start an investigation, you can't fly.
[02:03:23.220 --> 02:03:24.260]  Internal checkpoints.
[02:03:24.260 --> 02:03:26.241]  I mean, it's on, folks!
[02:03:26.241 --> 02:03:28.441]  So, Europe's doing the same thing.
[02:03:28.441 --> 02:03:29.582]  This is all being brought in.
[02:03:29.582 --> 02:03:30.502]  It's being implemented.
[02:03:31.178 --> 02:03:33.720]  I mean, this is classical tyranny.
[02:03:33.720 --> 02:03:34.641]  It's here.
[02:03:34.641 --> 02:03:38.103]  And again, the Supreme Court Justice told Drudge, next year, they're coming for you.
[02:03:38.103 --> 02:03:43.768]  And then they have the heads of the FCC, and yeah, we're coming for your free speech, talk radio, internet, you name it.
[02:03:43.768 --> 02:03:45.749]  I mean, because they can't beat us, folks.
[02:03:45.749 --> 02:03:47.771]  They're flaming tyrants.
[02:03:47.771 --> 02:03:56.217]  They're flaming crooks, annihilating our country, spying on us illegally, opening our borders, having the Border Patrol complete the smuggling process.
[02:03:56.217 --> 02:03:58.259]  I mean, this is the globalist offensive.
[02:03:58.259 --> 02:03:59.600]  This is the war against America.
[02:04:00.817 --> 02:04:02.899]  And globally there's a world awakening.
[02:04:02.899 --> 02:04:08.764]  So they know in algorithms, and they admit this, that revolutions are coming just because food prices in the third world have gone up past 50%.
[02:04:08.764 --> 02:04:10.346]  They know at that point riots start.
[02:04:10.346 --> 02:04:18.854]  They already have their operators ready to steer the revolutions into radical Al Qaeda, radical ISIS, radical al-Nusra, Saudi Arabian driven.
[02:04:18.854 --> 02:04:19.474]  Same thing here.
[02:04:19.474 --> 02:04:22.957]  They're going to have a big communist kill the cops, shoot the cops, burn the cities.
[02:04:23.766 --> 02:04:28.948]  They're gonna let them do it, order the cops to stand down, and then say, cops, it's your fault, capitulate, go under U.N.
[02:04:28.948 --> 02:04:29.788]  control.
[02:04:29.788 --> 02:04:31.169]  I mean, it's on, folks.
[02:04:31.169 --> 02:04:34.030]  You are witnessing a real coup.
[02:04:34.030 --> 02:04:36.491]  100% what I'm telling you is happening.
[02:04:36.491 --> 02:04:43.794]  Now, I knew this was coming, but to see it actually happen is so bold, is so over the top, that I get why people just can't believe it.
[02:04:53.620 --> 02:04:54.237]  Mm-hmm.
[02:04:56.565 --> 02:05:12.448]  It's not only that you have a unique voice in the public arena, in the public square, the other thing that's unique about InfoWars is it is the only network of this reach that is not backed by a corporate donor or corporate sugar daddy, that's not backed by some billionaire, that's not being funded by a secret foreign government.
[02:05:12.448 --> 02:05:14.169]  It is completely independent of all that.
[02:05:14.169 --> 02:05:25.051]  It is an old-school American 1776 style experiment in the expression of the freedom of the press and freedom of speech that, in fact, the founders were so concerned with at the beginning of the country, they actually tried to
[02:05:25.331 --> 02:05:26.051]  I think so.
[02:05:45.180 --> 02:05:46.501]  We're good to go.
[02:06:02.521 --> 02:06:16.661]  I mean, again, men can't have babies, but there's this mental illness where they go, oh look, this man's having a baby, but it's a woman that transitioned, said she was a man, still had a uterus, and then has a baby, and we're all supposed to just go along with the mental illness.
[02:06:17.327 --> 02:06:21.810]  Yeah, and they've actually declassified transgenderism as a mental illness now.
[02:06:21.810 --> 02:06:28.794]  It used to be that gender dysphoria was a mental illness, but they decided, well, if we recategorize it out of the category of mental illness, then it's not a mental illness.
[02:06:28.794 --> 02:06:29.715]  Well, here's an example.
[02:06:29.715 --> 02:06:36.278]  If I get depressed, which I'm not going to do, hypothetically, you start cutting my fingers off with a hatchet, they're going to put me in a mental institution.
[02:06:36.278 --> 02:06:38.300]  But if I wanted to go and have my balls chopped off...
[02:06:38.880 --> 02:06:40.302]  That would be very progressive.
[02:06:40.302 --> 02:06:43.247]  And, you know, have my junk sliced up.
[02:06:43.247 --> 02:06:46.412]  And that would be, oh beautiful!
[02:06:46.412 --> 02:06:50.539]  Or the trans-abled people that want bleach poured in their eyes to be blind.
[02:06:50.539 --> 02:06:51.801]  And then we've got to pay for them!
[02:06:53.614 --> 02:06:55.835]  It's very progressive.
[02:06:55.835 --> 02:07:00.236]  It's all about breaking down barriers, because all of these barriers are a form of oppression, you see?
[02:07:00.236 --> 02:07:04.717]  Because if you can't become a woman, but you want to become a woman, then you're being oppressed.
[02:07:04.717 --> 02:07:06.258]  Nature is oppressing you.
[02:07:06.258 --> 02:07:14.960]  And if we can do something about that, we can philosophically change it, so trans women are women, we can physically change your body using... Surgeries that are not even...
[02:07:18.001 --> 02:07:20.822]  They're experimental, and drugs that have not yet been tested.
[02:07:20.822 --> 02:07:37.110]  I think it was Channel 4 or BBC, they put out a documentary about transgenderism in the UK, and in the documentary they just openly admitted that, yeah, these drugs have not been tested, but they just switched to the 16-year-old child who was taking the drugs, and they were like, yeah, I'm happy to do it, I'm going to do it anyway.
[02:07:37.110 --> 02:07:40.331]  It's like, are we really allowing the government to get... Well, let's expand on that.
[02:07:40.331 --> 02:07:45.654]  Just six, seven years ago, everybody laughed at South Park, where, you know, the guy wants to be a dolphin, but he's not really a dolphin.
[02:07:46.454 --> 02:07:50.720]  Now it's LGBT everywhere.
[02:07:50.720 --> 02:07:56.567]  They're saying no, sex with children is normal and the news is... Hang on a minute.
[02:07:56.567 --> 02:07:58.730]  So not all of them are saying that.
[02:07:58.730 --> 02:08:00.332]  Some of them are saying that, but...
[02:08:01.653 --> 02:08:02.634]  Yeah, you are right.
[02:08:02.634 --> 02:08:18.987]  So Salon.com published I think it was two or three articles from someone called a virtuous paedophile who is advocating that this was actually a sexual identity and there have been lots of academics who have said this is actually a natural sexual identity and not some kind of mental disease.
[02:08:18.987 --> 02:08:21.229]  So there is a push towards normalization in that regard.
[02:08:21.229 --> 02:08:25.052]  And if you look at pride parades now, they seem to be turning into fetish parades.
[02:08:25.832 --> 02:08:30.233]  And they say, oh, little kids can handle it, and then they have books from Australia to the U.S.
[02:08:30.233 --> 02:08:34.215]  in the library that teach six-year-olds how great oral sex is.
[02:08:34.215 --> 02:08:35.355]  That's a pedophilic book.
[02:08:35.355 --> 02:08:36.075]  Yeah, that is.
[02:08:36.075 --> 02:08:38.736]  And that's actually something that happened, people.
[02:08:38.736 --> 02:08:44.598]  And yeah, the slippery slope seems to be greased up and really, really, really long.
[02:08:44.598 --> 02:08:45.578]  So in closing here...
[02:08:47.018 --> 02:09:10.136]  Fascinating to have you on, and looking at all this, if you go back to the Khmer Rouge and Pol Pot, or you go back to other fascistic communist movements, they would just go in, when Lenin took over, he'd go into the small towns and medium-sized cities and kill the doctors, kill the intellectuals, because even if they said, yeah, we support you, they still didn't trust them because they could be leaders, and they also killed off most of the Russian
[02:09:11.351 --> 02:09:11.811]  We're good to go.
[02:09:25.546 --> 02:09:30.951]  The fact that you could afford glasses meant they were going to kill you, and they killed up to a third of the population.
[02:09:30.951 --> 02:09:33.194]  And so that's what I see this censorship as.
[02:09:33.194 --> 02:09:45.166]  Anybody intellectual that's really changing minds, anybody that's really having an effect, whether they be conservative, Christian, liberal, whatever, if they're outside the main corporate system, they're going to be silenced, and even WhatsApp.
[02:09:46.249 --> 02:09:47.650]  And all these text messaging things.
[02:09:47.650 --> 02:09:54.272]  Just three months ago, when we got banned using my name on Facebook and Paul, they said, CNN went, we want to see if he's on WhatsApp.
[02:09:54.272 --> 02:09:59.514]  We're looking at the accounts, so they're inside the stuff, so we can stop Jones from sending private messages.
[02:09:59.514 --> 02:10:02.676]  So they want to go down to the level, like we always say, what's next?
[02:10:02.676 --> 02:10:07.178]  AT&T listens to what I'm saying with AI and says I can't say it?
[02:10:07.178 --> 02:10:10.599]  Facebook and all of them are already doing it and admitting
[02:10:11.179 --> 02:10:24.770]  They're not just listening to you with the assistant inside your house, they are now listening to the messages you send, they are now reading what you say and not letting you do it in real time, and quote, having real humans flag it and watch it in real time in your phone.
[02:10:24.770 --> 02:10:35.780]  So see, they're just light-yearing out, trying to go so far with the Overton window, that no matter how hard we battle back, they've so fundamentally overturned reality and civilization, that we're down a rat hole.
[02:10:36.420 --> 02:10:49.426]  What I find really amazing about it is how transparent the political agenda is, because you'll see people like Susan Wojcicki going on certain YouTube channels to be interviewed by them, and not others, obviously.
[02:10:49.426 --> 02:10:54.228]  And then you'll see people like yourself, and it's always, always of a particular bent.
[02:10:54.228 --> 02:10:56.309]  You know, Gavin McInnes, you know, myself.
[02:10:56.309 --> 02:11:00.210]  It's always people in a certain particular sphere who get deplatformed.
[02:11:00.210 --> 02:11:02.992]  And then if you just think about it, murderers have Facebook accounts.
[02:11:03.868 --> 02:11:05.789]  They don't get too platformed for being murderers.
[02:11:05.789 --> 02:11:07.550]  They still have their Facebook accounts.
[02:11:07.550 --> 02:11:09.812]  Pedophiles have Facebook accounts.
[02:11:09.812 --> 02:11:11.393]  Terrorists... ISIS!
[02:11:11.393 --> 02:11:13.054]  Yeah, ISIS have Facebook accounts.
[02:11:13.054 --> 02:11:19.258]  It's like actual people who have done really terrible things actually have Facebook... But they're not thought criminals!
[02:11:19.258 --> 02:11:20.119]  But they're not thought criminals.
[02:11:21.099 --> 02:11:23.461]  So let me ask you this question.
[02:11:23.461 --> 02:11:25.342]  What do you think government should do?
[02:11:25.342 --> 02:11:27.464]  Because I don't believe in government involvement in things.
[02:11:27.464 --> 02:11:28.264]  I'm a libertarian.
[02:11:28.264 --> 02:11:40.433]  Except, except when you have corporations working in tandem as combines, like tech, bigger than most countries individually together, more powerful than probably even the US, and they are
[02:11:41.494 --> 02:11:57.358]  Censoring people, they are manipulating the general info that the public can get, and they're abusing that power, and they have a monopoly section in law here, section 230, where they are seen as a utility, so they don't have liability.
[02:11:57.358 --> 02:12:07.881]  What I want is a First Amendment that doesn't take rights, but enshrines them and guards them, and is a prohibition on the exact gang mentality control that we now see unfolding.
[02:12:09.833 --> 02:12:13.474]  There is a very strong libertarian argument to not have the government be involved.
[02:12:13.474 --> 02:12:23.796]  Because, you know, the argument goes something like, well, ten years ago Google was nothing, so, you know, and then, you know, where's MySpace, where are these other platforms now?
[02:12:23.796 --> 02:12:33.537]  But I think that the, as you say, the Section 280 has been manipulated, not manipulated, taken advantage of for a political agenda.
[02:12:33.537 --> 02:12:36.878]  And the scope of these companies has become so big
[02:12:37.538 --> 02:12:42.642]  And they have been masquerading as platforms when really they are publishers.
[02:12:42.642 --> 02:12:50.868]  It is kind of irresponsible for us to not do something because we are seeing the actual political disintegration of Western countries.
[02:12:50.868 --> 02:12:52.909]  And it probably is because of social media.
[02:12:52.909 --> 02:12:55.371]  I mean, Jack Dorsey looks like he's a monk.
[02:12:55.371 --> 02:12:59.774]  He looks like he spends his time in the desert meditating on how he has screwed the West.
[02:13:00.214 --> 02:13:01.454]  Because of Twitter?
[02:13:01.454 --> 02:13:04.475]  I mean, and Twitter is ruining the political class.
[02:13:04.475 --> 02:13:13.939]  Like the Daily Beast, one of these journalistic outlets, they actually, internal documents were leaked, where the CEOs of it were recommending that they stop using Twitter.
[02:13:13.939 --> 02:13:15.339]  Just stop using Twitter.
[02:13:15.339 --> 02:13:18.420]  Because it's doing damage to the mental health of the people on it.
[02:13:18.420 --> 02:13:21.261]  It puts them in this war mode, where they're constantly fighting the enemy.
[02:13:21.621 --> 02:13:23.742]  You know, you're the right wingers of the enemy.
[02:13:23.742 --> 02:13:24.842]  We're the good guys.
[02:13:24.842 --> 02:13:26.983]  So we're just in this constant war footing.
[02:13:26.983 --> 02:13:29.044]  And it really is driving a wedge.
[02:13:29.044 --> 02:13:31.485]  And people get radicalized on social media.
[02:13:31.485 --> 02:13:32.505]  They know it.
[02:13:32.505 --> 02:13:39.028]  And it's one of those things where if you're taking the opposition off, then you're going to get all one side.
[02:13:39.028 --> 02:13:40.989]  And so you can't... And it's going to radicalize fast?
[02:13:40.989 --> 02:13:41.609]  You can't help it.
[02:13:42.209 --> 02:13:46.533]  And so I don't like to have to say, well, the government is going to have to do something.
[02:13:46.533 --> 02:13:55.140]  But I think that revoking the Section 280 protections and making them publishers rather than platforms is probably the easiest, simplest, and least intrusive thing to do.
[02:13:55.999 --> 02:13:56.639]  Absolutely.
[02:13:56.639 --> 02:14:05.703]  And remember two years ago, Jack Dorsey was quoted in a newspaper interview, he said, yeah, I said that, saying, I'm not one side, I mean, I'm not two-sided, I'm not fair.
[02:14:05.703 --> 02:14:06.703]  We need to have war.
[02:14:06.703 --> 02:14:07.724]  We need to crush these people.
[02:14:07.724 --> 02:14:09.164]  You pull up the actual quote.
[02:14:09.164 --> 02:14:10.285]  But it was very similar to that.
[02:14:10.285 --> 02:14:14.727]  And there's a couple of Matt Taibbi articles about myself and the censorship.
[02:14:15.387 --> 02:14:23.050]  A year ago, where he actually got it right, censorship does not end well was one, beware the slippery slope of Facebook censorship was the other.
[02:14:23.050 --> 02:14:36.236]  And he exposes, and I'll say it again, a year after we did here, because we're the conspiracy theorists, that the Atlantic Council was already there, but it was a group of CIA and NSA high-level former directors and others.
[02:14:37.335 --> 02:14:44.702]  When Obama left, he funded billions of dollars into a, quote, group to fight the Russians.
[02:14:44.702 --> 02:14:50.027]  But then they just took that money and purposed it to go after myself and others to set the precedent.
[02:14:50.027 --> 02:15:00.116]  And so Trump has a stay-behind network group, and it's all in here, the Atlantic Council, with people still in government and out of government that are operating mutinously against Trump.
[02:15:01.397 --> 02:15:08.021]  He even gets the quotes together that we've played here on air of the Senators and Congressmen saying, I want all right-wingers off.
[02:15:08.021 --> 02:15:09.802]  Banning Alex Jones isn't enough.
[02:15:09.802 --> 02:15:12.304]  There's thousands of sites that are just as bad.
[02:15:12.304 --> 02:15:14.785]  Senator Blumenthal, Wyden, Murphy.
[02:15:14.785 --> 02:15:18.728]  They've said, getting rid of Jones is key to saving America.
[02:15:18.728 --> 02:15:19.508]  These are quotes.
[02:15:19.508 --> 02:15:22.270]  And so, these Matt Taibbi articles aren't Alex Jones.
[02:15:23.617 --> 02:15:24.458]  I told you this before.
[02:15:24.458 --> 02:15:35.424]  They are, Taibbi explaining, this is already the government, but a faction of the government is giving clearance, they believe, to Big Tech and giving them orders.
[02:15:35.424 --> 02:15:37.645]  So this group was already giving them orders, okay?
[02:15:37.645 --> 02:15:41.427]  Well, we don't even need to go to the government either.
[02:15:41.427 --> 02:15:43.949]  The worst thing is, this can happen without government intervention.
[02:15:55.377 --> 02:15:56.638]  Maybe not today.
[02:15:56.638 --> 02:15:57.919]  Maybe not tomorrow.
[02:15:57.919 --> 02:16:01.661]  But soon, you'll need a plan and place to survive.
[02:16:01.661 --> 02:16:02.741]  Forget bunkers.
[02:16:02.741 --> 02:16:04.562]  You're not a live underground gopher.
[02:16:04.562 --> 02:16:06.283]  You need Survivalist Camps.
[02:16:06.283 --> 02:16:14.088]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:14.088 --> 02:16:15.089]  Bold statement?
[02:16:15.089 --> 02:16:16.089]  You bet.
[02:16:16.089 --> 02:16:18.571]  See them now at survivalistcamps.com.
[02:16:18.571 --> 02:16:20.772]  That's survivalistcamps.com.
[02:16:20.772 --> 02:16:23.934]  Trust your family's survival to survivalistcamps.com.
[02:16:25.117 --> 02:16:26.338]  Hi, I'm Dan Pilla.
[02:16:26.338 --> 02:16:30.261]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:16:30.261 --> 02:16:31.782]  I sued the IRS and won.
[02:16:31.782 --> 02:16:34.744]  I beat the IRS then, and I've been beating them ever since.
[02:16:34.744 --> 02:16:40.307]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[02:16:40.307 --> 02:16:41.508]  I can help you, too.
[02:16:41.508 --> 02:16:44.450]  If you owe taxes you can't pay, don't wait another day.
[02:16:44.450 --> 02:16:46.672]  There's no such thing as a hopeless tax case.
[02:16:46.672 --> 02:16:51.115]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[02:16:51.115 --> 02:16:53.416]  That's danpilla.com, danpilla.com.
