[00:00:13.977 --> 00:00:18.842]  Defending the Republic from enemies foreign and domestic.
[00:48:42.778 --> 00:48:54.883]  So it's this entitled bureaucracy put in by the Bushes and the Clintons at the top that thinks they're invincible, but they're learning they're not invincible, and that's why they're getting scared.
[00:48:54.883 --> 00:49:03.466]  So we're in a fight, but I'd say we're at about 57% or about 43% in the fight.
[00:49:03.466 --> 00:49:06.307]  We are winning, not by a huge margin.
[00:49:07.287 --> 00:49:12.352]  But the longer Trump stays in, more nationalists are getting elected, more patriots are waking up.
[00:49:12.352 --> 00:49:24.623]  And the operating system, what we're talking about, nationalism, capitalism, the family, God, decency, men and women, children, being honest, that is what people want, that's what works.
[00:49:24.623 --> 00:49:33.631]  Versus Hollywood, the satanic, CHICOM-funded operating system that wants to destroy this country and demoralize us and take us down.
[00:49:34.271 --> 00:49:35.933]  This is an incredible time to be alive.
[00:49:35.933 --> 00:49:42.318]  So I'm not mad at Limbaugh, but instead of, you know, Limbaugh or any of these guys saying, wow, Alex Jones was right.
[00:49:42.318 --> 00:49:44.760]  He said two years ago, there was a deep state coup.
[00:49:44.760 --> 00:49:47.782]  He specifically said who was doing it and how they were doing it.
[00:49:47.782 --> 00:49:49.684]  No, no, no, no.
[00:49:49.684 --> 00:49:51.665]  He said they were illegally spying on the president.
[00:49:51.665 --> 00:49:52.826]  He said, here's how they did it.
[00:49:52.826 --> 00:49:54.908]  Because I do the research.
[00:49:54.908 --> 00:49:55.929]  I know how they operate.
[00:49:56.855 --> 00:49:58.857]  Much of it was public intel.
[00:49:58.857 --> 00:50:01.940]  I only had to fill in like 20% of the information.
[00:50:01.940 --> 00:50:05.763]  The globalists act like we're morons.
[00:50:05.763 --> 00:50:06.724]  Like we're blind.
[00:50:06.724 --> 00:50:10.427]  And that's what they feed on is a dumbed down population.
[00:50:10.427 --> 00:50:11.048]  But Limbaugh...
[00:50:11.989 --> 00:50:16.393]  It comes out after the Washington Post, after the New York Times, after CNN.
[00:50:16.393 --> 00:50:18.375]  Okay, there was a deep state coup.
[00:50:18.375 --> 00:50:19.476]  Okay, it's real.
[00:50:19.476 --> 00:50:20.557]  We're trying to get the President out now.
[00:50:20.557 --> 00:50:29.525]  I'm glad he's saying it's bad, and I'm not taking limbo out of the woodshed, but why do we always have to report stuff years after it happens?
[00:50:29.525 --> 00:50:32.548]  See, I want to be tomorrow's news today.
[00:50:32.548 --> 00:50:35.851]  Two years ago, what they were doing was clear.
[00:50:35.851 --> 00:50:37.312]  A year ago, it was completely proven.
[00:50:39.437 --> 00:50:43.602]  You see, that's why they had to take down the YouTube page with 3 billion views.
[00:50:43.602 --> 00:50:51.190]  That's why they had to try it, because if anyone goes and watches that, they will see what I really said versus what they're saying now.
[00:50:51.190 --> 00:50:58.739]  And again, in those broadcasts, in what we do here now, holding on at the battle station is what will bring down the enemy.
[00:50:59.781 --> 00:51:00.542]  It's all I can say.
[00:51:00.542 --> 00:51:01.182]  Everybody is.
[00:51:01.182 --> 00:51:02.743]  This information war.
[00:51:02.743 --> 00:51:06.667]  Aim carefully, men and women, in your political activities.
[00:51:06.667 --> 00:51:08.248]  Because those are globalists.
[00:51:08.248 --> 00:51:09.789]  Those are child molesters.
[00:51:09.789 --> 00:51:14.493]  Those are ruthless, cunning, sick, evil people that will overthrow civilization.
[00:51:14.493 --> 00:51:16.475]  Those are bad people we're dealing with.
[00:51:16.475 --> 00:51:18.016]  So aim carefully politically.
[00:51:18.516 --> 00:51:22.059]  Spend your energy in a focused way and be active now.
[00:51:22.059 --> 00:51:27.202]  Because everything our forebearers stood up for was part of that continuum against tyranny.
[00:51:27.202 --> 00:51:31.165]  And we are facing the greatest evil ever seen now in that animating contest.
[00:51:31.165 --> 00:51:32.926]  And I'm not going to let my ancestors down.
[00:51:32.926 --> 00:51:34.868]  I'm not going to let my progeny down.
[00:51:34.868 --> 00:51:36.129]  And I'm not going to let you down.
[00:51:36.129 --> 00:51:38.270]  Because dammit, I'm not a slave.
[00:51:38.270 --> 00:51:39.371]  It's not about being heroic.
[00:51:39.371 --> 00:51:40.472]  It's about being alive.
[00:51:40.472 --> 00:51:43.714]  Oh, these are the latest false... Go ahead, Owen.
[00:51:46.172 --> 00:51:54.116]  Well, Alex, I think that, again, like you said, the deep state of the Democrats, or really just the evil, is revealing itself right now.
[00:51:54.116 --> 00:52:04.040]  And I don't think there's a greater example than Nancy Pelosi coming out in some form of an imperialist trooper uniform, coming out saying, we're going to take the guns.
[00:52:04.040 --> 00:52:05.361]  I mean, go ahead.
[00:52:05.361 --> 00:52:06.441]  Let's just roll this video.
[00:52:06.441 --> 00:52:07.102]  Just take a look.
[00:52:07.102 --> 00:52:08.522]  Here's Nancy Pelosi.
[00:52:08.522 --> 00:52:10.243]  You can see the evil on her face, folks.
[00:52:10.243 --> 00:52:11.764]  But here's what I want the audience to think about.
[00:52:12.384 --> 00:52:16.285]  This woman is going out here telling you that there is no crisis at the southern border.
[00:52:16.285 --> 00:52:17.505]  It's all an illusion.
[00:52:17.505 --> 00:52:20.226]  Now think about the criminal fraud.
[00:52:20.226 --> 00:52:25.588]  Think about the criminal confidence it takes for a woman to say that there's nothing happening at the border.
[00:52:25.588 --> 00:52:27.648]  Again, like Alex said, they think you're blind.
[00:52:27.648 --> 00:52:28.628]  They think you're morons.
[00:52:28.628 --> 00:52:35.690]  So look at Nancy Pelosi in an imperial stormtrooper leader uniform just telling you, oh, there's nothing to see at the border.
[00:52:35.690 --> 00:52:38.231]  We need to keep the borders open.
[00:52:38.231 --> 00:52:38.811]  Exactly.
[00:52:38.811 --> 00:52:39.711]  Let's expand on that.
[00:52:39.711 --> 00:52:41.452]  Let's remember what happened a few weeks ago at the State of the Union.
[00:52:43.303 --> 00:52:45.885]  Trump talked about 3,000 plus women this year.
[00:52:45.885 --> 00:52:50.748]  That's this year in the list of first months saved from sex trafficking and hundreds of children.
[00:52:50.748 --> 00:52:51.669]  All confirmed.
[00:52:51.669 --> 00:52:53.510]  She wouldn't stand or clap.
[00:52:53.510 --> 00:52:55.352]  And neither would Cortez.
[00:52:55.352 --> 00:52:57.553]  And neither would Kamala Harris.
[00:52:57.553 --> 00:52:58.914]  These are monsters.
[00:52:58.914 --> 00:53:02.777]  And then when he said, we're going to pass a law, you can't kill a baby after it's born.
[00:53:02.777 --> 00:53:03.677]  That's already the damn law.
[00:53:03.677 --> 00:53:04.518]  It's called homicide.
[00:53:04.518 --> 00:53:07.180]  Not to pass laws, it's federal laws.
[00:53:07.180 --> 00:53:11.603]  Screw Cuomo and that KKK guy down in Virginia.
[00:53:11.603 --> 00:53:12.664]  But that's the point is,
[00:53:13.723 --> 00:53:16.665]  They're trying to break our will and rub our noses in it.
[00:53:16.665 --> 00:53:17.826]  These are monsters.
[00:53:17.826 --> 00:53:18.687]  This is a ringwraith.
[00:53:18.687 --> 00:53:27.834]  This is a crone-like, evil, demon, drug-head, gangster family woman in some $5,000 Darth Vader outfit trying to look powerful.
[00:53:27.834 --> 00:53:30.175]  She's an empty, rotten husk.
[00:53:30.175 --> 00:53:33.558]  Since I mentioned it, here is Limbaugh and we'll get into the latest false flag.
[00:53:33.558 --> 00:53:35.599]  Here it is.
[00:53:35.599 --> 00:53:40.103]  Why do you call what was going on inside the FBI a silent coup?
[00:53:41.607 --> 00:53:43.788]  Because these people are unelected.
[00:53:43.788 --> 00:53:58.094]  They took it upon themselves to overthrow the election results of 2016, ignoring the potential real collusion and conspiracy between Democrats and Russians to undermine the Trump candidacy and the Trump presidency.
[00:53:58.094 --> 00:54:01.636]  The Mueller investigation, I believe, is a cover-up of all of that.
[00:54:01.636 --> 00:54:03.077]  It's to distract everybody's attention.
[00:54:04.257 --> 00:54:05.939]  You know, again, the Washington game.
[00:54:05.939 --> 00:54:07.560]  We're losing sight of what happened here.
[00:54:07.560 --> 00:54:20.191]  People, unelected, simply because they don't like a guy's hairstyle or like where he came from, decided the American people's decision was invalid and began a systematic process to get him thrown out of office.
[00:54:20.191 --> 00:54:21.432]  This is a silent coup.
[00:54:21.432 --> 00:54:24.874]  These guys, if you ask me, ought to be the ones in jail.
[00:54:24.874 --> 00:54:26.636]  They ought to be the ones under investigation.
[00:54:26.636 --> 00:54:32.501]  So Limbaugh says it like nobody else can, awesome guy, love him to death, and I'm glad he's saying it now.
[00:54:33.251 --> 00:54:34.972]  How about we say it two years ago?
[00:54:34.972 --> 00:54:38.273]  All I'm saying is, we have to attack what's happening now.
[00:54:38.273 --> 00:54:42.115]  And when I'm back tomorrow, though, and I'm going to call on again, I'm going to talk about what's coming next.
[00:54:42.115 --> 00:54:44.977]  Roger Stone's popping in, talking about what's coming next.
[00:54:44.977 --> 00:54:46.537]  But they're coming after everything.
[00:54:46.537 --> 00:54:53.681]  They've told you they're going to confiscate your guns, they're going to declare their own emergencies, they're going to declare a national emergency, 25th Amendment, and remove the president.
[00:54:53.681 --> 00:54:54.781]  We're in a crisis.
[00:54:54.781 --> 00:54:56.642]  I'm not trying to scare people.
[00:54:56.642 --> 00:54:57.703]  When your house is on fire,
[00:54:58.662 --> 00:55:01.244]  And your dad shakes you awake and says, get out of the house, it's on fire.
[00:55:01.244 --> 00:55:03.526]  He's not doing it to scare you, he's doing it to save you.
[00:55:03.526 --> 00:55:20.661]  And I know the audience knows this, folks, but they get us in this punch-drunk thing of being attacked all the time and saying, we're going to kill your babies after they're born, the family's bad, don't say mother or father, to where we don't even know what to do when they do something even crazier, which is going to be arresting people and taking your guns.
[00:55:20.661 --> 00:55:23.603]  They're saying all this because they're getting everybody ready.
[00:55:23.603 --> 00:55:24.504]  Now, let me hit this last thing.
[00:55:25.695 --> 00:55:29.136]  Whenever this started, whatever it was, two weeks ago, the Empire guy.
[00:55:29.136 --> 00:55:30.137]  I looked up who he was.
[00:55:30.137 --> 00:55:31.097]  I looked up his background.
[00:55:31.097 --> 00:55:32.717]  I looked up all the propaganda.
[00:55:32.717 --> 00:55:38.059]  I looked up Infowars.com and Breitbart.com with hundreds and hundreds and hundreds of cases.
[00:55:38.059 --> 00:55:43.601]  Almost every poopswastika or n-word thing or noose around somebody's neck.
[00:55:43.601 --> 00:55:44.421]  I don't say almost.
[00:55:44.421 --> 00:55:45.662]  I think all that I've ever seen.
[00:55:47.014 --> 00:55:47.535]  I think so.
[00:56:04.557 --> 00:56:16.450]  That the Chicago police say that the rope and all of it was bought at a hardware store and that these guys were working for Smollett and now they want to pick Smollett up.
[00:56:16.450 --> 00:56:19.414]  So he's basically, I'd say 98% cooked.
[00:56:19.414 --> 00:56:20.195]  He's done like a
[00:56:20.795 --> 00:56:22.015]  Thanksgiving turkey.
[00:56:22.015 --> 00:56:25.236]  And now the media will quietly try to put this away and won't talk about it.
[00:56:25.236 --> 00:56:30.738]  But just like the Covington kids, these false flags, these staged events, are going to blow up in all their faces.
[00:56:30.738 --> 00:56:34.519]  And everyone, they want to sue me and shut me down for asking questions.
[00:56:34.519 --> 00:56:37.120]  Because sometimes things are real.
[00:56:37.120 --> 00:56:41.601]  Because the media and others stage so much stuff, everybody has to question everything.
[00:56:41.601 --> 00:56:43.041]  That's normal.
[00:56:43.041 --> 00:56:45.862]  It's part of a healthy, free society, Owen.
[00:56:45.862 --> 00:56:49.003]  And the good news is, so many of these things are getting exposed now.
[00:56:49.941 --> 00:56:53.344]  That people everywhere are apologizing to me, saying, I think you were a kook.
[00:56:53.344 --> 00:56:57.208]  But now I understand why you question everything, because so much of this stuff stays.
[00:56:57.208 --> 00:57:00.251]  And that's what America is all about, is questioning this garbage.
[00:57:00.251 --> 00:57:01.973]  But this guy needs to go to jail.
[00:57:01.973 --> 00:57:05.236]  They've had 12 detectives for weeks looking into who's
[00:57:05.476 --> 00:57:08.298]  And that's why it's upon the American public to hold them responsible.
[00:57:08.298 --> 00:57:09.118]  Look, Jussie Smollett
[00:57:30.788 --> 00:57:34.593]  Should be one of the most... I mean, everybody should be calling him out right now.
[00:57:34.593 --> 00:57:35.073]  Left, right.
[00:57:35.073 --> 00:57:36.936]  Like you said, CNN's trying to get out ahead of it.
[00:57:36.936 --> 00:57:37.837]  Now, Brian Seltzer.
[00:57:37.837 --> 00:57:38.858]  I've got the clip.
[00:57:38.858 --> 00:57:45.046]  They're blaming conservatives for hyping up this thing as a political event when they're the ones that lied about it.
[00:57:45.046 --> 00:57:46.488]  Smollett's the one that lied about it.
[00:57:46.488 --> 00:57:47.990]  It's they that pulled it off the hoax.
[00:57:49.824 --> 00:57:51.746]  Patriots are on the go.
[00:57:51.746 --> 00:57:56.490]  Hard-working Americans need high-quality energy when they're on the run.
[00:57:56.490 --> 00:58:06.919]  And ladies and gentlemen, we have spent years working with top developers to come out with the highest quality protein bar in vanilla coconut and chocolate peanut butter at InfoWarsLife.com.
[00:58:06.919 --> 00:58:11.082]  This is a high-end bar sold for up to six, seven dollars at Whole Foods.
[00:58:11.082 --> 00:58:13.964]  Normally we sell it for three dollars a piece when you get it in the box.
[00:58:14.625 --> 00:58:18.367]  But with the discount we're running right now as an introductory offer, it's $2.40 a bar.
[00:58:18.367 --> 00:58:21.909]  No one can top that, and it funds Liberty and the fight against the Globalists.
[00:58:21.909 --> 00:58:25.170]  With 15 grams of protein and so much more, they're amazing.
[00:58:25.170 --> 00:58:34.775]  Secure your box of high-quality InfoWars Life protein bars today, and you will be impressed, and you will reorder them, and you will help fund the operation to break the Globalists back.
[00:58:34.775 --> 00:58:35.616]  It's up to you.
[00:58:35.616 --> 00:58:35.996]  It's easy.
[00:58:36.516 --> 00:58:36.917]  We're good.
[00:58:50.595 --> 00:58:58.300]  At InfoWars, we're always looking for the very best, best-selling, highest-rated products that we can then private label and sell.
[00:58:58.300 --> 00:59:11.669]  Well, there is a national company who has FDA approval to sell their wound gel that is the strongest out there, and we private label it, and we sell it for $10 less online than they sell it at CVS and Walgreens.
[00:59:11.669 --> 00:59:16.572]  We also have another product, also produced by the same company, Immune Gargle.
[00:59:16.572 --> 00:59:20.135]  We've been selling a lot of the wound gel and a lot of the Immune Gargle.
[00:59:20.735 --> 00:59:29.837]  We're gonna go from full price to 40% off on both of these best-selling products right now at InfoWarsLife.com and InfoWarsStore.com.
[00:59:29.837 --> 00:59:32.578]  This is a limited-time Immune Boost Special.
[00:59:32.578 --> 00:59:39.780]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsStore.com.
[00:59:39.780 --> 00:59:42.920]  Again, this is a limited-time Immune Boost Special.
[00:59:42.920 --> 00:59:49.242]  Get Super Blue, Silver Immune Gargle, and Super Silver Wound Dressing for 40% off at InfoWarsStore.com.
[00:59:53.363 --> 00:59:56.046]  You're listening to The Alex Jones Show!
[01:00:09.552 --> 01:00:10.613]  Let me just ask you this.
[01:00:10.613 --> 01:00:15.617]  What do you say to your critics who say that you are creating a national emergency?
[01:00:15.617 --> 01:00:20.420]  That you're concocting a national emergency here in order to get your wall?
[01:00:20.420 --> 01:00:20.980]  What do you think?
[01:00:20.980 --> 01:00:22.982]  Do you think I'm creating something?
[01:00:22.982 --> 01:00:28.786]  Ask these incredible women who lost their daughters and their sons.
[01:00:28.786 --> 01:00:29.947]  Okay?
[01:00:29.947 --> 01:00:31.128]  Because your question is
[01:00:32.449 --> 01:00:34.990]  A very political question, because you have an agenda.
[01:00:34.990 --> 01:00:35.750]  You're CNN.
[01:00:35.750 --> 01:00:36.530]  You're fake news.
[01:00:36.530 --> 01:00:41.811]  Jim Acosta couldn't have encapsulated the left's disconnect from the plight of our fellow U.S.
[01:00:41.811 --> 01:00:48.773]  citizens better, championing the rights of illegal aliens in the Rose Garden while downplaying the murder of U.S.
[01:00:48.773 --> 01:00:52.994]  citizens, drug trafficking, and human smuggling by illegal aliens.
[01:00:53.254 --> 01:00:54.795]  Jim, what's your takeaway?
[01:00:54.795 --> 01:00:59.736]  Yes, Kate, I just want to talk very fast here because I'm so paranoid that they're going to pull the plug on us here in the Rose Garden.
[01:00:59.736 --> 01:01:12.541]  But I'm standing in front of some of these angel moms who came to the Rose Garden today to, I guess, testify to what they've been through in terms of their ordeals dealing with a crime in this country and the undocumented immigrants.
[01:01:12.541 --> 01:01:14.982]  But as you heard in that question that I had with the president there,
[01:01:15.522 --> 01:01:22.127]  It was really about the facts and the data and this disconnect that we have when we hear the president talk about immigration.
[01:01:22.127 --> 01:01:27.550]  He tends to talk about it in ways that demonize immigrants and that just don't stick to the facts.
[01:01:27.550 --> 01:01:31.013]  We need to secure our borders to protect American citizens.
[01:01:31.013 --> 01:01:34.075]  President Trump is completely correct on this issue.
[01:01:34.075 --> 01:01:35.496]  We need to protect this country.
[01:01:36.116 --> 01:01:45.299]  And as expected, Mad Maxine Waters led the charge of the left against the much-needed wall on our southern border from her ivory tower.
[01:01:45.299 --> 01:01:53.721]  They're concerned that if a Democratic president gets elected, then they could use emergency powers to do a lot of the things that they don't like.
[01:01:53.721 --> 01:01:57.603]  And as you know, they don't believe in climate change.
[01:01:57.603 --> 01:02:05.545]  As you know, they don't want us to talk about Medicare for all or any of those subjects that they think will spend too much government money
[01:02:05.785 --> 01:02:09.268]  You know that I've been talking about impeachment for a long time.
[01:02:09.268 --> 01:02:16.575]  I am absolutely stunned and amazed that the American people are taking so much off of this president.
[01:02:16.575 --> 01:02:23.602]  This president has lied, and I think it has been documented over 8,000 times in the last two years.
[01:02:23.602 --> 01:02:27.906]  This president has committed obstruction of justice right before our very eyes.
[01:02:28.106 --> 01:02:44.832]  The actual work that is responsible and responsive to the real and legitimate concerns around fentanyl and methamphetamine, heroin and cocaine that is being done within the state of California is now being put at risk for a vanity project, for a monument to stupidity.
[01:02:44.832 --> 01:02:50.074]  Nancy Pelosi has run circles around the President of the United States, not once, now twice.
[01:02:50.074 --> 01:02:50.854]  He's been embarrassed.
[01:02:51.858 --> 01:02:56.219]  The House Judiciary Committee announced that it will investigate President Trump's national
[01:03:17.944 --> 01:03:18.405]  We're good.
[01:03:34.366 --> 01:03:39.149]  When the President declares this emergency, first of all, it's not an emergency.
[01:03:39.149 --> 01:03:42.611]  What's happening at the border is a humanitarian challenge to us.
[01:03:42.611 --> 01:03:46.853]  The President has tried to sell a bill of goods to America.
[01:03:46.853 --> 01:03:55.638]  The $72 million San Francisco is spending just to clean up its streets, this is what's called making a truce with illegality.
[01:03:55.638 --> 01:04:00.841]  There's no penalty for homelessness, they don't enforce the laws, and public urination?
[01:04:01.221 --> 01:04:01.942]  Is legal.
[01:04:01.942 --> 01:04:02.902]  Look at this.
[01:04:02.902 --> 01:04:05.764]  $12 million for homeless encampment housing.
[01:04:05.764 --> 01:04:08.206]  Okay, just to clean it up.
[01:04:08.206 --> 01:04:12.149]  $2.8 million to wash down biohazard material.
[01:04:12.149 --> 01:04:16.012]  And $3.1 million for pit stop portable toilets.
[01:04:16.172 --> 01:04:23.094]  The statistics are very real and have been increasingly ignored for decades by an elitist, do-nothing Congress.
[01:04:23.094 --> 01:04:35.957]  Just in Texas alone, according to DHS status indicators, over 279,000 criminal aliens have been booked into local Texas jails between 2011 and 2019, of which over 190,000 were classified as illegal aliens by DHS.
[01:04:41.138 --> 01:04:46.019]  All right, ladies and gentlemen, the full John Bowne report is at Infowars.com.
[01:04:46.019 --> 01:04:49.439]  We've got another huge report coming up on a national emergency.
[01:04:49.439 --> 01:04:51.500]  It's actually going to now be at the bottom of the hour.
[01:04:51.500 --> 01:04:54.960]  And then I've got a whole list of all the hoax crimes.
[01:04:54.960 --> 01:04:55.881]  Oh, yes, that's right.
[01:04:55.881 --> 01:04:58.921]  This isn't the first.
[01:04:58.921 --> 01:05:05.142]  Wars are like 12-round heavyweight boxing championship fights.
[01:05:05.142 --> 01:05:09.883]  It's about who wants it, who's prepared to go the longest, and who's ready to do the damage.
[01:05:11.055 --> 01:05:12.657]  We took on Hillary Clinton.
[01:05:12.657 --> 01:05:13.157]  We stopped her.
[01:05:13.157 --> 01:05:15.340]  We got a nationalist in.
[01:05:15.340 --> 01:05:17.542]  Nationalists are getting elected all over the world right now.
[01:05:17.542 --> 01:05:19.304]  We are winning.
[01:05:19.304 --> 01:05:24.830]  But those of us who are at the very front line, the tip of the spear, are under unprecedented attack.
[01:05:24.830 --> 01:05:29.915]  So I come to you each day and try to explain to you that this is a war of attrition.
[01:05:29.915 --> 01:05:31.036]  This is about who wants it most.
[01:05:32.463 --> 01:05:36.005]  You know the persecution, the censorship, the sponsors, they've taken everything.
[01:05:36.005 --> 01:05:38.126]  I am in your hands, you are in my hands.
[01:05:38.126 --> 01:05:41.347]  I need financial support and I got products you and your family need.
[01:05:41.347 --> 01:05:42.468]  It's that simple.
[01:05:42.468 --> 01:05:43.888]  Thousands of great products.
[01:05:43.888 --> 01:05:50.011]  Whatever's award-winning, whatever's best-selling, what folks love, what I love, we bring it to you at InfoWareStore.com.
[01:05:50.011 --> 01:05:58.135]  So please, go to InfoWareStore.com today, look at all the great products, because we're in your hands, I'm in your hands, and your support is beyond critical.
[01:05:58.135 --> 01:05:58.435]  Thank you.
[01:06:04.102 --> 01:06:06.983]  And now, the tip of the spear.
[01:06:06.983 --> 01:06:10.644]  Leading the fight to take back the nation.
[01:06:10.644 --> 01:06:12.884]  It's Owen Troyer.
[01:06:12.884 --> 01:06:16.425]  You're listening to the Alex Jones Show.
[01:06:16.425 --> 01:06:18.726]  So here's what we're going to do in this segment.
[01:06:18.726 --> 01:06:26.408]  We're going to take the Jesse Smollett story and we're just going to bury it.
[01:06:26.408 --> 01:06:30.229]  Now let's just rewind the clocks back at how it all began.
[01:06:32.210 --> 01:06:36.593]  It breaks on, I think, a Saturday night.
[01:06:36.593 --> 01:06:42.037]  Jesse Smollett is out on the streets of Chicago where it's like five degrees or something.
[01:06:42.037 --> 01:06:49.342]  And they say he had bleach thrown on him, had a noose put on him, they were chanting MAGA country, wearing MAGA hats, two white men, and it was a hate crime.
[01:06:51.564 --> 01:07:05.552]  And then it kind of just sat out there for a while and media continued to report it and hype it up as, oh look at this, more hate crimes against a member of the LGBTQ community because of Donald Trump.
[01:07:05.552 --> 01:07:07.793]  And so the media echoes and echoes.
[01:07:07.793 --> 01:07:13.916]  We have tweets from Cortez and other Democrats saying, this just shows how racist America is.
[01:07:13.916 --> 01:07:16.998]  The media saying, they had Democrats saying it was a lynching.
[01:07:18.612 --> 01:07:21.094]  I mean, so that happened for a week.
[01:07:21.094 --> 01:07:21.995]  Uh-oh.
[01:07:21.995 --> 01:07:23.776]  Then what happened?
[01:07:23.776 --> 01:07:26.479]  Some of the evidence started to come out.
[01:07:26.479 --> 01:07:28.080]  Ooh.
[01:07:28.080 --> 01:07:29.962]  Jussie Smollett started to change his story.
[01:07:29.962 --> 01:07:36.247]  Of course, this was after he cried on Good Morning America about this horrible hate crime against him.
[01:07:36.247 --> 01:07:37.108]  Wow.
[01:07:37.108 --> 01:07:41.551]  The actor of the year, indeed.
[01:07:41.551 --> 01:07:46.836]  Well, the two men of interest that were caught on camera were brought in by police.
[01:07:48.442 --> 01:07:51.483]  Questioned for a couple hours and then released.
[01:07:51.483 --> 01:07:52.903]  What happened in those two hours?
[01:07:52.903 --> 01:07:55.864]  Well, I think it's obvious now.
[01:07:55.864 --> 01:08:00.125]  They cooperated with the police investigation, told the cops everything.
[01:08:00.125 --> 01:08:14.109]  Jesse Smollett then hires a defense attorney, same one that Michael Avenetti hired, and is now having to cover his ass for what appears to be one of the most staged hate crimes in American media history.
[01:08:16.021 --> 01:08:19.064]  Now have you heard any of the media retract their stories?
[01:08:19.064 --> 01:08:23.709]  In fact, first let's go to this compilation in clip 12.
[01:08:23.709 --> 01:08:27.894]  Look at all the media reporting on this hate crime.
[01:08:28.570 --> 01:08:33.756]  Empire star Jussie Smollett was the victim of a vicious, racist, and homophobic attack.
[01:08:33.756 --> 01:08:37.140]  His attackers hurled racial and homophobic slurs.
[01:08:37.140 --> 01:08:40.204]  Two people yelled racist and homophobic slurs.
[01:08:40.204 --> 01:08:42.306]  Racial and homophobic slurs.
[01:08:42.306 --> 01:08:45.150]  Not only homophobia, we're talking about racism.
[01:08:45.150 --> 01:08:47.613]  We're talking about hate with steroids.
[01:08:47.933 --> 01:08:52.934]  They are looking for two suspects who are apparently wearing Make America Great Again hats.
[01:08:52.934 --> 01:08:55.695]  The offenders uttered, this is MAGA country.
[01:08:55.695 --> 01:08:58.675]  The hate crime went down early this morning in Chicago.
[01:08:58.675 --> 01:09:01.456]  Officials are investigating the alleged assault as a hate crime.
[01:09:01.456 --> 01:09:04.657]  And now police say they're investigating this as a possible hate crime.
[01:09:04.657 --> 01:09:08.538]  Anyone attacked in a hate crime like this is an outrage.
[01:09:08.538 --> 01:09:13.959]  This is stomach-turning, mind-boggling information.
[01:09:13.959 --> 01:09:14.999]  It's out of control.
[01:09:15.259 --> 01:09:22.045]  Speaker of the House Nancy Pelosi tweeting, the racist, homophobic attack on Jussie Smollett is an affront to our humanity.
[01:09:22.045 --> 01:09:27.550]  And Senator Cory Booker said, the vicious attack on actor Jussie was an attempt at modern day lynching.
[01:09:27.550 --> 01:09:31.394]  Kamala Harris calling the attack an attempted modern day lynching.
[01:09:31.394 --> 01:09:33.256]  I'm so shaken by the story.
[01:09:33.256 --> 01:09:34.537]  This is horrible to report.
[01:09:34.537 --> 01:09:35.678]  This is a horrible story.
[01:09:35.678 --> 01:09:37.239]  I mean, this is a horrible story.
[01:09:37.239 --> 01:09:37.460]  Yeah.
[01:09:37.460 --> 01:09:39.361]  I mean, the circumstances are just horrific.
[01:09:39.361 --> 01:09:41.063]  Horrendous and unacceptable.
[01:09:41.633 --> 01:09:42.654]  Absolutely despicable.
[01:09:42.654 --> 01:09:46.516]  Yeah, a lot of people can't believe this is actually happening in 2019.
[01:09:46.516 --> 01:09:51.079]  It's hard to believe that we're reporting, that we're even saying words like this in 2019.
[01:09:51.079 --> 01:09:53.140]  Because you're fake news.
[01:09:53.140 --> 01:09:55.682]  And this is America in 2019.
[01:09:55.682 --> 01:09:57.003]  And CNN is fake news.
[01:09:57.003 --> 01:09:59.805]  So there you go, the compilation put together by Grabien.
[01:09:59.805 --> 01:10:07.730]  So, you wait until all those media outlets that you just saw issue a retraction on their comments.
[01:10:07.730 --> 01:10:09.831]  All those Democrats issue a retraction on their comments.
[01:10:11.195 --> 01:10:12.656]  Nope.
[01:10:12.656 --> 01:10:16.178]  You'll be waiting until you're dead, because it's not going to happen.
[01:10:16.178 --> 01:10:22.221]  And again, all of America should be repudiating Jussie Smollett for trying to divide this country.
[01:10:22.221 --> 01:10:29.546]  All of America should be repudiating the national media for going along with this hoax and not apologizing for it.
[01:10:29.546 --> 01:10:31.467]  Folks, here's what it looks like.
[01:10:31.467 --> 01:10:32.827]  The whole thing was staged.
[01:10:32.827 --> 01:10:34.148]  Who knows why?
[01:10:34.148 --> 01:10:38.671]  The reports are now that he paid the Nigerians to do this, and they even
[01:10:41.175 --> 01:10:43.776]  They even pretended to do this before.
[01:10:43.776 --> 01:10:47.418]  They practiced doing this before the thing even happened.
[01:10:47.418 --> 01:10:51.280]  So think about the desperation of this individual.
[01:10:51.280 --> 01:10:56.883]  And he is so oppressed in America that he has to hire two Nigerians to oppress him.
[01:10:56.883 --> 01:10:59.565]  Tough stuff!
[01:10:59.565 --> 01:11:04.667]  And then he gets to go on all the television shows and cry about how he was attacked.
[01:11:04.667 --> 01:11:05.688]  All a bunch of lies.
[01:11:06.499 --> 01:11:11.502]  Well, he may be facing time in prison if he filed a fake police report, so we're gonna see what happens with that.
[01:11:11.502 --> 01:11:19.888]  But now on the back end, listen to CNN running cover and what Brian Stelter said on the air today.
[01:11:21.215 --> 01:11:23.536]  Is he going to cooperate with this investigation?
[01:11:23.536 --> 01:11:24.577]  Those are open questions.
