[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[01:39:03.558 --> 01:39:07.401]  Tell us how we can warm up the planet so we can stop these terrible winters.
[01:39:07.401 --> 01:39:07.641]  Okay.
[01:39:09.514 --> 01:39:19.961]  Let's give out the phone number, 888-201-2244, 888-201-2244, 888-201-2244.
[01:39:19.961 --> 01:39:22.643]  We've got all kinds of news you can comment on.
[01:39:22.643 --> 01:39:28.247]  What do you think about the fire at Bill and Hillary's house today?
[01:39:28.247 --> 01:39:37.034]  Is that all just a coincidence, the timing of that with Trump's tweets and the investigation that looks to be turning its way back onto the Clinton camp?
[01:39:37.918 --> 01:39:41.041]  What do you think about this Bannon-Trump feud?
[01:39:41.041 --> 01:39:41.982]  Is it real?
[01:39:41.982 --> 01:39:43.224]  Is it manufactured?
[01:39:43.224 --> 01:39:44.124]  What is the deal?
[01:39:44.124 --> 01:39:46.567]  Why is everyone turning their back on Bannon?
[01:39:46.567 --> 01:39:55.076]  And does the timing of that also correlate with the timing of the Manafort lawsuit against the Mueller probe?
[01:39:55.076 --> 01:39:58.059]  Because it's said in the book that came out
[01:40:00.899 --> 01:40:08.062]  That Bannon is saying Manafort and Kushner were guilty of treason and that there was a meeting that's treasonous, so.
[01:40:08.062 --> 01:40:10.683]  And Bannon has yet to make a comment on this.
[01:40:10.683 --> 01:40:17.746]  The Trumps, well, you've got the letter or the email from Donald Trump, which I'm not positive actually was written from Trump.
[01:40:17.746 --> 01:40:18.246]  I don't know.
[01:40:18.246 --> 01:40:20.607]  We haven't actually heard comments from Trump.
[01:40:20.607 --> 01:40:23.448]  We have had tweets.
[01:40:23.448 --> 01:40:24.929]  And we've had tweets from Don Jr.
[01:40:26.809 --> 01:40:35.955]  But regardless of that whole feud that I'm not really taking much stake in, if I'm just telling you my opinion, I'm curious of the timing of it all.
[01:40:35.955 --> 01:40:45.201]  Because there seems to be some very coincidental timing on some of these events today, but this is kind of what I expected to be happening in January.
[01:40:45.201 --> 01:40:51.685]  Some of these loose ends coming together and some more quote-unquote coincidences
[01:40:53.177 --> 01:40:57.541]  Looking more and more like actual developments.
[01:40:57.541 --> 01:41:06.748]  So we're going to continue to monitor both of those things and we'll take your calls on those things as well in the next segment.
[01:41:06.748 --> 01:41:11.792]  Let's just tackle some news here before we take a break.
[01:41:11.792 --> 01:41:14.254]  We'll just delve into this little short stack I got here.
[01:41:16.132 --> 01:41:21.955]  New York police hunting for masked ISIS supporters who posed in the Big Apple with terror groups logos.
[01:41:21.955 --> 01:41:23.516]  So we reported on this yesterday.
[01:41:23.516 --> 01:41:39.745]  A couple, I guess, ISIS members or sympathizers or whoever these guys were, with their hoods on and their ISIS masks on, taking pictures in front of the New World Trade Center and other buildings in New York.
[01:41:39.745 --> 01:41:41.506]  And so now the police are investigating that.
[01:41:41.506 --> 01:41:43.067]  And I do believe there was an instance
[01:41:44.380 --> 01:42:06.315]  Where you had a similar situation of an ISIS sympathizer taking a picture, I believe it was on the road, where the ISIS terrorist took the truck up on the curbside and started running people over just a few months ago in New York City.
[01:42:06.315 --> 01:42:10.017]  So the police are investigating into that.
[01:42:12.827 --> 01:42:13.468]  Huh.
[01:42:13.468 --> 01:42:15.209]  It's strange how that works.
[01:42:15.209 --> 01:42:19.853]  You know, you got all these people calling for Trump to be censored on Twitter, which I dare Twitter to take Trump off.
[01:42:19.853 --> 01:42:21.014]  I dare them.
[01:42:21.014 --> 01:42:29.381]  You will just empower your enemy to come destroy you, the enemy that you would create yourself by doing so.
[01:42:29.381 --> 01:42:40.070]  But, I mean, it's just strange that nobody calls for these ISIS sympathizers to be censored from Twitter, or all these death threats against the president, against Ajit Pai.
[01:42:41.092 --> 01:42:44.137]  I mean, why is that acceptable?
[01:42:44.137 --> 01:42:45.359]  Oh, because it's liberal.
[01:42:45.359 --> 01:42:47.382]  It's liberal.
[01:42:47.382 --> 01:42:53.812]  If I'm hacking you in the neck with a knife, as long as I'm shouting liberal, you know, you're going to accept it.
[01:42:53.812 --> 01:42:54.393]  It'll be just fine.
[01:42:58.095 --> 01:42:58.875]  I'm so excited.
[01:42:58.875 --> 01:43:08.997]  The new product at m4warslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[01:43:08.997 --> 01:43:14.518]  This is a heart and brain pill, a nootropic, but it doesn't have any stimulants in it.
[01:43:14.518 --> 01:43:17.519]  But boy, does it stimulate, because it's beyond that.
[01:43:17.519 --> 01:43:26.301]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[01:43:28.390 --> 01:43:36.614]  For the formulae, and I came up with our own formula working with some scientists and developers, non-GMO, made right here in America, 120 capsules.
[01:43:36.614 --> 01:43:47.999]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[01:43:47.999 --> 01:43:50.660]  It is amazing!
[01:43:50.660 --> 01:43:55.642]  Red Pilt, now available at InfoWarsTore.com and your purchase fugs the operation.
[01:43:57.717 --> 01:44:05.984]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[01:44:05.984 --> 01:44:07.205]  A 360 win.
[01:44:07.205 --> 01:44:13.770]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at infowarshore.com.
[01:44:13.770 --> 01:44:21.296]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[01:44:21.696 --> 01:44:26.759]  Number three, we're giving you free shipping on all orders above $50.
[01:44:26.759 --> 01:44:32.863]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:44:32.863 --> 01:44:40.669]  Just go to InfoWarsTore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[01:44:40.669 --> 01:44:47.193]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[01:44:47.193 --> 01:44:48.674]  10% off on auto ship.
[01:44:48.834 --> 01:44:51.260]  Win-win-win at InfoWarsLife.com.
[01:44:51.260 --> 01:44:53.265]  Free shipping on orders above $50.
[01:44:53.265 --> 01:44:57.114]  And all out-of-stock items are never out of stock when you sign up for AutoShip.
[01:44:58.345 --> 01:45:07.072]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[01:45:07.072 --> 01:45:07.612]  That's right.
[01:45:07.612 --> 01:45:12.877]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[01:45:12.877 --> 01:45:19.562]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[01:45:19.562 --> 01:45:26.808]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[01:45:27.128 --> 01:45:27.368]  Woo!
[01:45:27.368 --> 01:45:28.408]  That's what I'm talking about.
[01:45:28.408 --> 01:45:37.131]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[01:45:37.131 --> 01:45:46.734]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[01:45:46.734 --> 01:45:50.175]  Now that's what I call the miracle of food preservation.
[01:45:50.175 --> 01:45:54.276]  Harvest Right is truly the world's best, most affordable freeze dryer.
[01:45:54.276 --> 01:45:55.136]  So what are you waiting for?
[01:45:55.356 --> 01:45:58.919]  Check it out right now at InfoWarsStore.com.
[01:45:58.919 --> 01:46:04.403]  Maximize your potential and take your body back with super male vitality.
[01:46:04.403 --> 01:46:09.727]  We're breaking the conditioning and fighting back against the globalist war on male vitality.
[01:46:09.727 --> 01:46:18.134]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[01:46:19.278 --> 01:46:26.202]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:46:26.202 --> 01:46:30.605]  Info Wars Life wants to bring you the highest quality products.
[01:46:30.605 --> 01:46:39.930]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:46:39.930 --> 01:46:43.612]  Support your body and mind and take yourself to the next level.
[01:46:43.612 --> 01:46:46.214]  Boost your vitality and energize your life.
[01:46:47.472 --> 01:46:48.953]  Take control of your body.
[01:46:48.953 --> 01:46:54.158]  Grab a bottle of Super Male Vitality today at InfoWarsLife.com.
[01:46:54.158 --> 01:47:02.425]  That's InfoWarsLife.com.
[01:47:02.425 --> 01:47:04.127]  The War Room.
[01:47:04.127 --> 01:47:06.609]  InfoWars.com Forged Slash Shown.
[01:47:32.739 --> 01:47:39.105]  Alright, we are joined by Alex Jones here with breaking analysis of the Bannon-Trump feud.
[01:47:39.105 --> 01:47:40.666]  Alex is on the phone with us now.
[01:47:40.666 --> 01:47:42.768]  Alex, what do you got for us?
[01:47:42.768 --> 01:47:46.712]  Well, Bill, you know, we get hit with big stories and it takes us time to do research.
[01:47:46.712 --> 01:47:49.594]  It takes us time to do analysis.
[01:47:49.594 --> 01:47:55.960]  And I got up about 6 o'clock this morning and at 7 I saw the London Guardian headline
[01:47:57.024 --> 01:48:22.088]  Uh, that Stephen Bannon had said back in November, right after President Trump had been elected, in this supposed book called Fire and Fury, now, that's a newer title, from Trump's statements on North Korea a few months ago, that Stephen Bannon had reportedly made these quotes about, yeah, they should have met with lawyers, they shouldn't have met with these Russians, yeah, it could be treason, they should have called the FBI.
[01:48:22.088 --> 01:48:26.009]  And I immediately thought to myself, well, who is this writer?
[01:48:27.236 --> 01:48:30.957]  Well, we've got some new developments though, but I'm going to sound kind of like the groundwork first.
[01:48:30.957 --> 01:48:34.497]  Someone looked up this Wolf character, and he is as bad as BuzzFeed.
[01:48:34.497 --> 01:48:44.679]  I mean, he is known in liberal journals, conservative journals, as somebody that makes up quotes according to all these witnesses, somebody that is just, just somebody that the facts don't jive.
[01:48:44.679 --> 01:48:51.780]  He's a fiction writer, according to many experts, who masquerades as a newsman.
[01:48:51.780 --> 01:48:55.241]  So that said, he's an establishment liberal political hack.
[01:48:56.050 --> 01:49:04.957]  He's standard but but but he's still he he's one of the one of the main studs when it comes to putting out this info according to all the evidence.
[01:49:04.957 --> 01:49:24.231]  So I think at 11 a.m going on you know five hours six hours into this whatever it was uh because I I think it was published in hours before I even learned about it at 7 a.m the word is like 5 a.m or something but I saw it at 7 a.m because it has check time stamps but I said this wolf guy is such a known
[01:49:25.134 --> 01:49:26.274]  Fraud.
[01:49:26.274 --> 01:49:29.856]  That we can't just get a Republican Civil War going on here.
[01:49:29.856 --> 01:49:30.996]  Right now.
[01:49:30.996 --> 01:49:34.737]  But then I kept saying, before the show even started, I said, but look for Bannon.
[01:49:34.737 --> 01:49:37.018]  So we're all on computers before we start the last show.
[01:49:37.018 --> 01:49:42.180]  Bannon's statement on Trump, Bannon's statement on Wolf's book, Bannon's statement on Byron Curry.
[01:49:42.180 --> 01:49:44.420]  I looked, I looked, the whole time I'm on air, four hours.
[01:49:44.420 --> 01:49:45.561]  Nothing, nothing, nothing.
[01:49:45.561 --> 01:49:48.782]  I just checked before I called in line of the show.
[01:49:48.782 --> 01:49:49.782]  Zero.
[01:49:49.782 --> 01:49:52.763]  Now imagine, you know the White House has a bunch of sources inside.
[01:49:53.656 --> 01:49:54.237]  Uh, Breitbart.
[01:49:54.237 --> 01:49:59.180]  Breitbart was basically, you know, a big part of the final campaign and helped during the early stuff.
[01:49:59.180 --> 01:50:01.502]  So they've got a lot of sources there.
[01:50:01.502 --> 01:50:05.165]  White House could have called me, anybody else, too, to check on sources.
[01:50:05.165 --> 01:50:06.206]  And you know they were doing it.
[01:50:06.206 --> 01:50:07.927]  So they were asking the same question I was asking.
[01:50:07.927 --> 01:50:10.629]  It just dawned on me about 30 minutes ago.
[01:50:10.629 --> 01:50:14.112]  It's all them asking, where's Stephen Bannon's statement on this?
[01:50:14.112 --> 01:50:15.673]  Where's Stephen Bannon's statement on this?
[01:50:17.111 --> 01:50:20.573]  Well, he didn't put a statement out because he wants to respond and be bigger tomorrow.
[01:50:20.573 --> 01:50:22.594]  Well, that tells you just what Trump said in the statement.
[01:50:22.594 --> 01:50:24.375]  Everything is about him.
[01:50:24.375 --> 01:50:38.122]  If you don't care about the country or care about fighting globalism or care about our Make America Great Again agenda, well, then you would sit there and let this come out, maybe wait a couple days till it builds, and then come in with your own big news cycle.
[01:50:38.122 --> 01:50:42.484]  But if it isn't true, you know, if the news reports that I'm a child molester,
[01:50:43.372 --> 01:50:47.257]  Unless I'm out of the country or in a coma, people are going to say, where's Alex Jones?
[01:50:47.257 --> 01:50:50.340]  Hour 1, hour 2, hour 3, hour 4, hour 5, hour 6.
[01:50:50.340 --> 01:50:56.808]  I mean, it's like almost 5 o'clock central right now, 6 o'clock eastern.
[01:50:57.766 --> 01:50:58.546]  And so let's go back.
[01:50:58.546 --> 01:51:00.247]  I saw it at 7am.
[01:51:00.247 --> 01:51:02.568]  So that's 3 hours, 2 hours, 5 hours.
[01:51:02.568 --> 01:51:04.269]  That's 10 hours.
[01:51:04.269 --> 01:51:07.530]  So we're 10 hours later from when I saw it.
[01:51:07.530 --> 01:51:11.191]  I've been so busy, I haven't checked the time stamp on the Guardian.
[01:51:11.191 --> 01:51:14.713]  So we're 10 hours later here, and we've not heard from Ben.
[01:51:14.713 --> 01:51:20.415]  And well, 5 hours, 6 hours into Ben not responding, and you know the guy reached out to him.
[01:51:20.415 --> 01:51:22.096]  I got his phone number.
[01:51:22.096 --> 01:51:23.176]  I just leave the guy alone.
[01:51:25.380 --> 01:51:28.061]  All these hours into this, we don't hear a response.
[01:51:28.061 --> 01:51:33.865]  That tells you, I think, everything you need to know to maybe side with the President.
[01:51:33.865 --> 01:51:34.546]  But it doesn't matter.
[01:51:34.546 --> 01:51:36.387]  The whole thing's a front, too.
[01:51:36.387 --> 01:51:41.731]  Because that meeting was about orphans, and the lady said she had dirt about the Clintons in Russia.
[01:51:41.731 --> 01:51:44.913]  Exposing Russian control of our government isn't treason, it's the opposite.
[01:51:45.453 --> 01:51:53.262]  Whether you're talking to an Eskimo, somebody from Mexico, somebody from Germany, somebody from Japan, a black guy, a white guy, it doesn't matter.
[01:51:53.262 --> 01:51:57.987]  So the whole thing is a reboot of Russiagate because it's beyond being on its knees.
[01:51:57.987 --> 01:52:00.350]  The wheels have come off and I don't want to fight with Breitbart.
[01:52:00.350 --> 01:52:02.212]  It's a one-way street.
[01:52:02.212 --> 01:52:05.796]  Breitbart literally maybe gives us one link for every 500 we send them.
[01:52:07.195 --> 01:52:19.523]  It's just an example of how this total one-way deal, because there's so much good stuff at Breitbart, we promote them, we send them like 20% of their traffic, that's fine, because I just want to beat the globalists.
[01:52:19.523 --> 01:52:30.571]  But if it shows you now what Trump's saying, it's all about Bannon, it's all about him, it's all about him being in control, and this is so damaging, driving a wedge in the Republican Party right now.
[01:52:32.881 --> 01:52:37.865]  That's what I heard about six months ago about Bannon trying to do behind the scenes, not to reform it, but to take it over.
[01:52:37.865 --> 01:52:40.607]  Then why hasn't he responded?
[01:52:40.607 --> 01:52:43.470]  The big thing is, why hasn't Bannon responded?
[01:52:43.470 --> 01:52:45.231]  Why hasn't Bannon responded?
[01:52:45.231 --> 01:52:46.472]  Or is he in a coma?
[01:52:46.472 --> 01:52:47.793]  Was he in a car wreck?
[01:52:47.793 --> 01:52:51.056]  Or maybe I missed it, but I've had the crew at the office and myself looking.
[01:52:51.056 --> 01:52:52.917]  You've got like six people running your show right now.
[01:52:52.917 --> 01:52:58.242]  Can we get an answer in the next hour we've got left in the war room of why ten hours at least into this?
[01:52:59.378 --> 01:53:00.280]  Okay.
[01:53:00.280 --> 01:53:07.254]  Why haven't we heard yet about a statement from him, the number one story in the United States?
[01:53:07.254 --> 01:53:08.155]  Owen Troyer, what do you think?
[01:53:08.155 --> 01:53:10.199]  Well, I think that's great, Alex.
[01:53:10.199 --> 01:53:10.420]  I mean...
[01:53:11.519 --> 01:53:12.720]  That's a good idea.
[01:53:12.720 --> 01:53:17.885]  If we apply public pressure to Bannon to try to clear the air on this, I mean, that's the headline.
[01:53:17.885 --> 01:53:23.791]  Alex Jones challenges Steve Bannon to make a statement because the silence is deafening right now.
[01:53:23.791 --> 01:53:31.719]  And, you know, here's the only thing about it to me that I think kind of gets blown out of proportion when we talk about driving a wedge in between the Republican Party
[01:53:32.279 --> 01:53:35.825]  I mean, I don't really know what Steve Bannon is doing behind closed doors.
[01:53:35.825 --> 01:53:45.742]  The candidates that are going to be running in the 2018 midterms, some of them have spoken to Bannon and they're not even getting a clear picture of exactly what Bannon has in mind, so that's a little strange to me, but to me...
[01:53:47.168 --> 01:53:48.729]  I have no problem with Steve Bannon.
[01:53:48.729 --> 01:53:56.837]  I think I probably like a lot of Steve Bannon's policies, but Alex, I think he's just, he's a non-entity, and if he wasn't before, now he certainly is.
[01:53:56.837 --> 01:53:57.958]  No, I totally agree.
[01:53:57.958 --> 01:54:01.321]  With the loss of Moore, that was his waterloo.
[01:54:01.321 --> 01:54:01.961]  It moves on.
[01:54:01.961 --> 01:54:05.825]  This just smells of desperation, because it suddenly comes out now.
[01:54:05.825 --> 01:54:12.331]  It didn't come out before, showing collusion with this Democratic writer, who's been holding on to this interview since November.
[01:54:13.300 --> 01:54:15.761]  Of last, not of last year, of the year before.
[01:54:15.761 --> 01:54:17.582]  We're talking 13 months ago.
[01:54:17.582 --> 01:54:28.869]  So that's what I'm saying is, you know, it could have just been a train wreck or a problem, but we're talking 10 hours in on my clock or 8, 9, 10 hours, depending on how you look at it.
[01:54:28.869 --> 01:54:30.369]  It was published before that, obviously.
[01:54:30.369 --> 01:54:31.730]  In fact, can we get a time cut on that?
[01:54:31.730 --> 01:54:33.211]  I'm asking folks to check that.
[01:54:33.211 --> 01:54:34.692]  The point is, this came out early this morning.
[01:54:34.692 --> 01:54:35.812]  I saw it at 7 a.m.
[01:54:35.812 --> 01:54:40.335]  It already was all over the news and a bunch of publications that this had come out.
[01:54:41.295 --> 01:54:43.916]  You'd think within an hour you'd hear from Bannon.
[01:54:43.916 --> 01:54:45.657]  Two hours, three hours, four hours.
[01:54:45.657 --> 01:54:47.078]  So again, I don't want to wedge.
[01:54:47.078 --> 01:54:48.459]  I don't like civil wars.
[01:54:48.459 --> 01:54:49.539]  I don't like infighting.
[01:54:49.539 --> 01:54:51.781]  I don't like getting off on the drama.
[01:54:51.781 --> 01:54:54.582]  I'm like almost religious, as you know, about not infighting.
[01:54:54.582 --> 01:54:58.084]  Sometimes I go too far and a lot of people run me in the ground just because I won't engage in it.
[01:54:58.084 --> 01:54:59.085]  I'm fighting globalists.
[01:54:59.085 --> 01:55:00.005]  I'm fighting communists.
[01:55:00.005 --> 01:55:01.266]  I'm fighting socialists.
[01:55:01.266 --> 01:55:03.487]  I'm fighting pedophiles.
[01:55:03.487 --> 01:55:05.768]  I'm fighting vampires.
[01:55:05.768 --> 01:55:06.829]  Psychic vampires.
[01:55:06.829 --> 01:55:07.069]  Scum.
[01:55:08.049 --> 01:55:16.856]  But I'm telling you, the fact that he hasn't responded, the silence is deafening, and I am challenging Steve Bannon to release a statement.
[01:55:16.856 --> 01:55:26.664]  I mean, I agree with what you're saying that he's not that important right now, and that's what leans towards the fact that he went along with this to try to stay relevant.
[01:55:26.664 --> 01:55:37.212]  He may become like Beck, who became this apologist against conservatives and the leftist media, and I think he may be going the path of somebody he didn't like previously, who was, of course,
[01:55:38.155 --> 01:55:39.336]  Our good buddy Glenn Beck.
[01:55:39.336 --> 01:55:49.661]  And maybe we'll hear a statement tomorrow, here's some reason for this, but just the waiting, allowing this cycle to play out, to hurt the president, to hurt our movement and all this, even if he comes out later.
[01:55:49.661 --> 01:55:58.246]  I think that's why the president went both barrels five hours or more after this happened, was because the president was waiting, waiting, you know, reaching out.
[01:55:58.246 --> 01:55:59.587]  Did you really do this?
[01:55:59.587 --> 01:56:01.288]  Did you really say this?
[01:56:01.288 --> 01:56:02.428]  And we got nothing.
[01:56:02.428 --> 01:56:03.349]  What do you think, Owen Troyer?
[01:56:04.147 --> 01:56:12.432]  Yeah, I think you're 100% right, and I think that this was a spat if this is, you know, if it really is bad as it looks here as far as just a spat between the two.
[01:56:12.432 --> 01:56:18.936]  I think that this was a foreign policy spat that Bannon and Trump never really saw eye to eye.
[01:56:18.936 --> 01:56:28.561]  I think specifically it had to do with Israel, and apparently it got so intense between the two, Bannon had to fracture himself away from Trump because of the foreign policy disagreements.
[01:56:28.561 --> 01:56:30.843]  But Alex, before we go here, we've got a minute left.
[01:56:31.343 --> 01:56:33.284]  What do you think about the timing of this?
[01:56:33.284 --> 01:56:43.512]  The same day that this becomes a news story is the same day that Paul Manafort is launching his lawsuit against the Mueller probe.
[01:56:43.512 --> 01:56:44.592]  Exactly, exactly.
[01:56:44.592 --> 01:56:46.954]  Moles inside the system coordinated this.
[01:56:46.954 --> 01:56:48.655]  They've had this interview for months.
[01:56:48.655 --> 01:56:56.801]  This is 100% their next salvo in the new year, and it's got fingerprints all over it that sourpuss, sour grapes,
[01:56:57.623 --> 01:56:58.564]  Loser.
[01:56:58.564 --> 01:57:06.788]  I'm not saying he's a loser until he did this, but if he did, this loser, piss in the Cheerios, move, take your ball and go home situation.
[01:57:06.788 --> 01:57:13.792]  The timing, not commenting, all of it just absolutely makes me sick to my stomach, Ellen.
[01:57:13.792 --> 01:57:15.573]  And it's up to the listeners and viewers.
[01:57:15.573 --> 01:57:17.134]  Paul Watson's got a poll up on his tweet.
[01:57:17.874 --> 01:57:19.976]  Who will folks vote for in the next election?
[01:57:19.976 --> 01:57:22.678]  Will it be Steve Bannon or will it be President Trump?
[01:57:22.678 --> 01:57:24.459]  80% are for President Trump.
[01:57:24.459 --> 01:57:26.801]  People can vote on that at Prison Planet on Twitter.
[01:57:26.801 --> 01:57:30.043]  You guys can have the results towards the end of the hour, the next hour coming up.
[01:57:30.043 --> 01:57:32.024]  Everybody, we're under censorship and attack.
[01:57:32.024 --> 01:57:37.829]  Please spread the live links on Facebook, Twitter, YouTube, and all the radio and TV stations because you're the reason we're reaching people.
[01:57:37.829 --> 01:57:38.509]  I love you all.
[01:57:38.509 --> 01:57:40.110]  Great job, Alan Shorter and the crew.
[01:57:40.110 --> 01:57:41.171]  Back to the live transmission.
[01:57:47.358 --> 01:57:53.342]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[01:57:53.342 --> 01:57:57.485]  For those who want to increase testosterone and energy levels.
[01:57:57.485 --> 01:58:03.749]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[01:58:05.530 --> 01:58:12.674]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[01:58:12.674 --> 01:58:18.537]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[01:58:18.537 --> 01:58:27.241]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including
[01:58:28.507 --> 01:58:28.827]  I think so.
[01:58:48.550 --> 01:58:54.313]  2017 has been a earth-shaking year.
[01:58:54.313 --> 01:58:57.575]  And 2018, guaranteed, is even gonna be wilder.
[01:58:57.575 --> 01:59:02.378]  In fact, my good friend Stefan Molyneux said it's gonna be like the Battle of the Gods, Ragnarok.
[01:59:02.378 --> 01:59:04.399]  So get ready, ladies and gentlemen.
[01:59:04.399 --> 01:59:16.726]  And that's why, thanking you for all your support, we are extending free shipping store-wide at infowarestore.com into early January, and the massive 50 to 67% off all our best-selling items.
[01:59:17.546 --> 01:59:23.650]  So ladies and gentlemen, whether it's Colloidal Silver, or Brain Force, or MycoZX, or Floralife, they're now back in stock.
[01:59:23.650 --> 01:59:28.773]  They're all massively discounted with free shipping at InfoWareStore.com.
[01:59:28.773 --> 01:59:37.778]  Take advantage of it, right through the new year, in a salute to the InfoWarriors, and into a thanks to all of you that have made this operation possible.
[01:59:38.098 --> 01:59:47.546]  From myself, the entire InfoWars crew, thank you for your support, thank you for bringing America back from the edge of death, and thank you for standing against the globalists and their bullying garbage.
[02:00:14.602 --> 02:00:18.525]  Give me liberty or give me death.
[02:00:18.525 --> 02:00:21.868]  The fight for the future is now.
[02:00:21.868 --> 02:00:26.512]  This is The War Room with Owen Troyer.
[02:00:26.512 --> 02:00:32.277]  Watch the live stream right now at InfoWars.com forward slash show.
[02:00:41.497 --> 02:00:58.266]  Well, whatever Steve Bannon did to get on the bad side of the Trumps, he's doing himself no favors by sitting in silence as this story continues to build upon itself.
[02:00:58.266 --> 02:01:07.451]  And again, you look at what Steve Bannon is saying, allegedly in this book, pretty much saying that
[02:01:08.837 --> 02:01:22.260]  Kushner and Manafort were laundering money and committing treason by colluding with Russia the same day that gets published, allegedly from the mouth of Steve Bannon.
[02:01:22.260 --> 02:01:30.941]  We say allegedly because Michael Wolff is known to fabricate quotes, but Bannon remains silent so we don't know and that's not a good sign.
[02:01:30.941 --> 02:01:33.782]  Manafort pushes back legally
[02:01:34.773 --> 02:01:45.665]  Against Mueller's probe, the same day Bannon, an alleged statement from Bannon gets published in a book, saying that they're guilty.
[02:01:48.706 --> 02:01:53.269]  Now, if that's true, again, this is what it comes down to for me, too.
[02:01:53.269 --> 02:01:56.031]  Steve Bannon doesn't dictate any policy.
[02:01:56.031 --> 02:01:58.032]  Steve Bannon is just a guy.
[02:01:58.032 --> 02:01:59.733]  He's not in office.
[02:01:59.733 --> 02:02:02.695]  And I'm not even thinking, I don't even think he runs Breitbart.
[02:02:02.695 --> 02:02:08.899]  I think he is still affiliated, but I don't think he's actually running the show over there.
[02:02:08.899 --> 02:02:11.461]  So why did he pick and choose this battle?
[02:02:13.895 --> 02:02:25.181]  And what we're really seeing now is if Steve Bannon actually thought that he could best Trump or somehow take Trump's base from him, he was sadly mistaken.
[02:02:25.181 --> 02:02:27.283]  Paul Joseph Watson has the Twitter poll up now.
[02:02:27.283 --> 02:02:30.284]  In fact, guys, if you could pull that up.
[02:02:30.284 --> 02:02:31.925]  Steve Bannon says the Don Jr.
[02:02:31.925 --> 02:02:34.447]  meeting with a Russian lawyer was treasonous.
[02:02:34.447 --> 02:02:37.008]  Bannon vs. Trump 2020, who would you vote for?
[02:02:37.008 --> 02:02:38.349]  Go ahead and select Trump there.
[02:02:38.349 --> 02:02:40.070]  That's who I would vote for.
[02:02:40.070 --> 02:02:41.871]  It's not even a question, in fact.
[02:02:42.788 --> 02:02:50.514]  So we select Trump, there's been almost 25,000 votes there, and Trump gets 62%.
[02:02:50.514 --> 02:02:53.717]  Only 7% say they would vote for Bannon.
[02:02:53.717 --> 02:02:59.341]  And those are honestly probably detractors that just went into Paul Joseph's poll to vote there.
[02:02:59.341 --> 02:03:03.985]  I don't know any Trump supporters that would take Bannon over Trump.
[02:03:03.985 --> 02:03:07.948]  So, why is Bannon silent?
[02:03:09.306 --> 02:03:20.129]  What was he thinking and what is he thinking today as he's now been totally excoriated, what it looks like, from Trump's inner circle?
[02:03:20.129 --> 02:03:34.992]  And then what will come of the Manafort lawsuit pushing back against Mueller in the fake Russian probe that is nothing more than a witch hunt as a quote-unquote insurance policy that was
[02:03:38.655 --> 02:03:51.506]  Exposed in the text messages from the FBI agent Peter Stroke, who was the same man involved in investigating Hillary Clinton, Huma Abedin, and Cheryl Mills.
[02:03:51.506 --> 02:03:54.909]  So that is going to be fun to watch.
[02:03:57.731 --> 02:04:02.853]  And if you do think Bannon is running Breitbart, Breitbart publishes this story.
[02:04:02.853 --> 02:04:08.415]  Bannon says Mueller investigation will target Kushner, Manafort's greasy money laundering deals.
[02:04:08.415 --> 02:04:14.077]  So if you think Bannon's running Breitbart, there's your double down.
[02:04:14.077 --> 02:04:24.460]  There's your lack of denial and still lack of statement directly from Bannon himself.
[02:04:24.460 --> 02:04:26.861]  So is Bannon now just in the trash heap?
