[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones. Coming to you live from the front lines of the Info War.
[1:07:45.000 --> 1:07:55.000]  You bet, Mike. Absolutely. When I started watching InfoWars on a daily basis, it suddenly came over me.
[1:07:55.000 --> 1:07:58.000]  This really is replacing major media.
[1:07:58.000 --> 1:07:59.000]  Sure it is.
[1:07:59.000 --> 1:08:06.000]  I mean, it really is. It just doesn't seem that way. You know, it is. It actually is.
[1:08:06.000 --> 1:08:11.000]  And when you look at all the stories that are posted every day and the constantly changing stories,
[1:08:11.000 --> 1:08:20.000]  I mean, aside from being a highly professional operation, this side is breaking stories in profusion one after another
[1:08:20.000 --> 1:08:23.000]  that the major media absolutely will not cover.
[1:08:23.000 --> 1:08:30.000]  I'll tell you one thing. If they did cover it, they could actually survive financially. They could, but they won't,
[1:08:30.000 --> 1:08:34.000]  because they're part of the machine dedicated to the lie, so they won't.
[1:08:34.000 --> 1:08:39.000]  Well, let's be upfront about it. InfoWars is the watchdog, period. InfoWars is the watchdog.
[1:08:39.000 --> 1:08:45.000]  It is the whistleblower. The network of Alex Jones listeners and InfoWars viewers and readers,
[1:08:45.000 --> 1:08:51.000]  that is the network of people who are actually following the, if you see something, say something, slogan
[1:08:51.000 --> 1:08:55.000]  Janet Napolitano says, except they're using it to watch government.
[1:08:55.000 --> 1:09:00.000]  Instead of spying on their neighbors and spying on their citizens, they're watching government and saying,
[1:09:00.000 --> 1:09:05.000]  what are you doing? And that's a healthy thing in a republic. That's a healthy thing in a democracy.
[1:09:05.000 --> 1:09:12.000]  That is the health of the state for the good of the people has to rely on citizens actually keeping an eye on their government.
[1:09:12.000 --> 1:09:14.000]  Would you agree with that, John?
[1:09:14.000 --> 1:09:21.000]  When I grew up, Mike, we're talking now the late 1940s and early 1950s.
[1:09:21.000 --> 1:09:28.000]  If you had pumped down the Alex Jones show in front of anybody then, they would have had a heart attack and died.
[1:09:28.000 --> 1:09:29.000]  Why? Why?
[1:09:29.000 --> 1:09:37.000]  Because all of a sudden, the truth would have come in in such tremendous velocity and acceleration,
[1:09:37.000 --> 1:09:42.000]  because in those days, everything was a cover-up.
[1:09:42.000 --> 1:09:46.000]  I mean, you just accepted what the New York Times said as the scripture.
[1:09:46.000 --> 1:09:51.000]  That was your news. You watched the little TV news as TV came online.
[1:09:51.000 --> 1:09:54.000]  And that was your life. I mean, that's all you knew.
[1:09:54.000 --> 1:09:59.000]  And to even think, to even imagine that there were any cover-ups going on at the time,
[1:09:59.000 --> 1:10:03.000]  people wouldn't even know what you meant if you said the term cover-up.
[1:10:03.000 --> 1:10:08.000]  So I'm just saying to you in my lifetime, how far things have come.
[1:10:08.000 --> 1:10:16.000]  Now to this point where you've got Infowars who is blowing the whistle on every major story in the world day after day after day,
[1:10:16.000 --> 1:10:25.000]  the mindset of people a mere 50, 60 years ago would have been stroking out, having heart attacks, falling down in the street.
[1:10:25.000 --> 1:10:31.000]  They wouldn't have been able to even comprehend it. That's how locked up everything was.
[1:10:31.000 --> 1:10:34.000]  Well, because they were living in that fabricated reality.
[1:10:34.000 --> 1:10:40.000]  You see the same thing today with people who are addicted to cable news, who are addicted to White House announcements,
[1:10:40.000 --> 1:10:48.000]  who all of a sudden for the first time you peel away the veil of secrecy, you open their eyes, you awaken them to use that metaphor,
[1:10:48.000 --> 1:10:57.000]  and they see a piece of real news from the real media, which is Infowars alternative media websites like yours and mine and infowars.com as well.
[1:10:57.000 --> 1:11:01.000]  When they see that, they do freak out. They go into denial.
[1:11:01.000 --> 1:11:06.000]  You can see it with 9-11 when you talk about World Trade Center 7. You can see it right there.
[1:11:06.000 --> 1:11:13.000]  I remember Jim Mars in an interview with Jim Mars that I did. He said, how can two airplanes knock down three buildings?
[1:11:13.000 --> 1:11:17.000]  Yeah, come on. It's basic math.
[1:11:17.000 --> 1:11:25.000]  Yeah, it's basic math. You're right, because I talk to people like you're alluding to here, and basically what they're saying is,
[1:11:25.000 --> 1:11:35.000]  if the government is lying to us, or CNN is lying to us, then where would we be? We wouldn't know what to do, so therefore they couldn't be lying to us.
[1:11:35.000 --> 1:11:44.000]  I mean, this is what passes for logic now. We have to accept whatever they're saying, because otherwise we would think that they're actually conspirators,
[1:11:44.000 --> 1:11:48.000]  and that would be psychologically so devastating that we couldn't handle it.
[1:11:48.000 --> 1:11:54.000]  Well, those people are now falling into the minority. They're actually becoming the minority.
[1:11:54.000 --> 1:12:00.000]  The majority are people who are saying, are you kidding? This is the way reality is, and you better get used to it.
[1:12:00.000 --> 1:12:08.000]  You know, that is so true. It's interesting. My own website, Natural News, over the years it had attracted really more of a liberal left-leaning audience
[1:12:08.000 --> 1:12:12.000]  because of the nutrition, the progressive nutrition and health angle.
[1:12:12.000 --> 1:12:19.000]  And then I started covering stories about the Department of Homeland Security buying bullets, and I started covering stories about Second Amendment.
[1:12:19.000 --> 1:12:25.000]  Second Amendment is so important to us, and I thought I would lose a bunch of readers, and I didn't.
[1:12:25.000 --> 1:12:32.000]  So many people on the left are moving into Bill of Rights. They're moving into questioning government.
[1:12:32.000 --> 1:12:41.000]  Even they say now, Obama betrayed us. That's the left saying that. They see it now. It's so blatant you can't deny it any longer, John.
[1:12:41.000 --> 1:12:53.000]  No, you can't. Doesn't matter what part of the political spectrum you're on. And then those people are also waking up to the fact that the whole left-right struggle, you know, is concocted really
[1:12:53.000 --> 1:13:03.000]  to keep everybody with bread and circuses and watching the horse races and the gladiatorial combat of these political parties that are really one body with two heads.
[1:13:03.000 --> 1:13:10.000]  And that awareness is growing to the point where people just shrug it off and say that's ridiculous. That has nothing to do with the news.
[1:13:10.000 --> 1:13:19.000]  The news is a lot deeper than that, and all we have to do is go click, infowars.com, click naturalnews.com, and we'll get the actual news.
[1:13:19.000 --> 1:13:28.000]  That's the amazing part of this, is now the truth can spread at the speed of light. The speed of electrons going down your ethernet cable.
[1:13:28.000 --> 1:13:37.000]  And I think this has got to be what's behind the big push to censor the internet, SISPA now. But before we get into that, I know you have comments on that, John.
[1:13:37.000 --> 1:13:45.000]  Let me bring in this new evidence of a cover-up of a third weapon in Operation Fast and Furious.
[1:13:45.000 --> 1:13:54.000]  A new book claims that the FBI hid the existence of a third weapon recovered at the scene of murdered U.S. Border Patrol Agent Brian Terry.
[1:13:54.000 --> 1:14:04.000]  The book is called Fast and Furious, Barack Obama's Bloody Scandal and its Shameless Cover-Up, and this book lays out this evidence that points to an FBI cover-up.
[1:14:04.000 --> 1:14:18.000]  Now, again, back to what we were talking about, John, most people in America today cannot believe that Attorney General Eric Holder might be engaged in a criminal conspiracy cover-up to destroy the Second Amendment by running guns into Mexico.
[1:14:18.000 --> 1:14:26.000]  That idea is just so alien to some people, they just can't swallow it, but what if it were true? And there's more evidence pointing in that direction every single day.
[1:14:26.000 --> 1:14:41.000]  Absolutely pointing in that direction every day. How long can a Holder keep saying, I didn't know, I didn't know, I found out later, much later, this was, you know, not really in my area, you know, I was busy, I don't know, reading a book, whatever.
[1:14:41.000 --> 1:14:54.000]  This is preposterous, completely preposterous that the Department of Justice had no idea that this was going on. I mean, if you stop and think about it, what an incredible operation this is.
[1:14:54.000 --> 1:14:56.000]  Oh yeah, it is incredible.
[1:14:56.000 --> 1:15:05.000]  We're going to give these people guns so that they can kill people, and this is going to help us stop them from killing people.
[1:15:05.000 --> 1:15:15.000]  Yeah, no, it's going to help the government clamp down on freedom. That's what it's going to do. John, we've only got about a minute left with you. Do you have any final thoughts in your segment with us here today?
[1:15:15.000 --> 1:15:18.000]  And by the way, a lot of great insight from you so far. Anything you want to add?
[1:15:18.000 --> 1:15:34.000]  Thanks, Mike, it's great being with you always. Stay awake. Become more awake. See through more lies. The more you see through, the higher you go on the ladder of control, and you finally see what the people behind the curtain are doing.
[1:15:34.000 --> 1:15:50.000]  Well said, John Rapaport from NoMoreFakeNews.com. Thank you for joining us today, John. I always enjoy the discussions with you. Stay with us here on The Alex Jones Show, folks, because straight ahead we've got something about Andrew Breitbart. Yeah, and Alex Jones with some comments on that straight ahead.
[1:15:50.000 --> 1:15:58.000]  Stay with us. We'll be right back after this break.
[1:15:58.000 --> 1:16:11.000]  Right now, the average family spends one fourth of their income on food. It's time to cut your food budget in half. By using the best, most affordable food on the planet from eFoods Direct, the savings from eating this food will actually help you pay your other bills.
[1:16:11.000 --> 1:16:26.000]  Serve these delicious meals to your family tonight for a quick and easy dinner. For about $1.25 a serving, compared to over $3 a serving for any other food. This food is compact, making it easy to store some away, and will be just as delicious in 25 years as the ones you cook tonight.
[1:16:26.000 --> 1:16:40.000]  Is it affordable? Absolutely. The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies. See the comparison at eFoodsDirect.com forward slash Alex, or call 800-409-5633.
[1:16:40.000 --> 1:16:58.000]  My friends, as crazy as this world is today, you'd be nuts to not get a storeable food supply. Give eFoods Direct a call and order one of the Alex Jones Family Packs and test it out today. Start your journey of food independence today at eFoodsDirect.com forward slash Alex, or call 800-409-5633.
[1:16:58.000 --> 1:17:23.000]  A little over a year ago, I began to do a lot of research into why, even if I had a pretty good-sized meal that I was still starving. And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[1:17:23.000 --> 1:17:37.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity. The Young Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[1:17:37.000 --> 1:17:57.000]  I've lost 37 pounds in two months. Simply getting the vitamins and minerals I need. Check it out for yourself. It's incredible. Go to infowarsteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement. That's infowarsteam.com.
[1:18:08.000 --> 1:18:19.000]  Alex and his staff have used these pure soap products for years. These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[1:18:19.000 --> 1:18:38.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog. Buy the one to two-month sample package and enjoy soaps that are twice as good as what you're using now, or save big with a one to two-year supply of soaps for all your cleaning needs.
[1:18:38.000 --> 1:18:45.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[1:18:45.000 --> 1:18:53.000]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[1:19:15.000 --> 1:19:27.000]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds. They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[1:19:27.000 --> 1:19:35.000]  And here's the best part. These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[1:19:35.000 --> 1:19:49.000]  So visit them today at survivalseedbank.com. That's survivalseedbank.com or give them a call at 877-327-0365. That's 877-327-0365.
[1:19:49.000 --> 1:20:07.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item. This is Alex Jones for survivalseedbank.com.
[1:20:07.000 --> 1:20:26.000]  Yeah, NPR has put out an article that Alex Jones references in a video. We're going to be previewing, well, playing it in full for you here.
[1:20:26.000 --> 1:20:41.000]  It's about a five-minute video coming right up here shortly. The article is from Tina Brown from NPR, who in ways compares Andrew Breitbart to Hitler's supporters. Huh? What, Nazi people?
[1:20:41.000 --> 1:20:59.000]  Come on. Oh, I guess these people also say Breitbart wasn't assassinated, really? Yeah, he just happened to die of a heart attack the night before he was going to release an explosive secret video that he had told people was going to bring down the Obama administration.
[1:20:59.000 --> 1:21:03.000]  You think he really just keeled over and died from a heart attack?
[1:21:03.000 --> 1:21:12.000]  See, that's where that skepticism comes in again, that we were talking about with John Rappaport in the previous segments. You've got to be skeptical of not just government, but of everything.
[1:21:12.000 --> 1:21:23.000]  You should be skeptical of listening to me right now. You should be skeptical of everything you read on Infowars, and you better for sure be skeptical of what you read on NPR or what you hear on NPR.
[1:21:23.000 --> 1:21:35.000]  Sometimes I've got family members who like to tune in to NPR, sometimes when I visit them, and I hear it, and it's just pure propaganda to me. Every story is spin and propaganda.
[1:21:35.000 --> 1:21:46.000]  I can't find hardly an element of truth in NPR. I don't know where they get their fictions. They must have some really good fiction writers in the back room that dream up their news.
[1:21:46.000 --> 1:22:01.000]  Quite fascinating. In any case, we're going to go to this video where Alex Jones comments on this in his own words and brings attention to this NPR fictional weaving of the story of what happened to Andrew Breitbart and who he was as a person.
[1:22:01.000 --> 1:22:07.000]  Do we have that video ready? Okay, here we go.
[1:22:07.000 --> 1:22:26.000]  Alex Jones here with a report from Infowars.com from my home office. On Friday, I heard this Tina Brown NPR piece when they re-aired it because I like to monitor what the big tax-free foundations are putting out their so-called public radio.
[1:22:26.000 --> 1:22:38.000]  And I actually heard Tina Brown, who's also a Newsweek editor, compare in a twisted way Breitbart to Hitler. And of course Breitbart was Jewish.
[1:22:38.000 --> 1:22:57.000]  But the point is that she talks about writers from World War II that exposed Hitler and a book called Hitler Land about it from war correspondence and how great they were and how they were the greatest example of journalism, but then how Breitbart was the opposite of that.
[1:22:57.000 --> 1:23:10.000]  And before that, she's been talking about Hitler propaganda and bad journalists for him versus good journalists. And then, oh, here's the bad guy. He's Breitbart. And I'll play a little bit of that in a minute if this audio doesn't reset like he keeps doing.
[1:23:10.000 --> 1:23:17.000]  But then there's this subject of the Daily Caller and others are like, oh, LA Coroner, Breitbart died of heart failure. No foul play suspected.
[1:23:17.000 --> 1:23:33.000]  But then you read in to the article and you find out that it is a preliminary report. No trauma. Trauma. It says no significant trauma. So I guess there might have been some.
[1:23:33.000 --> 1:23:43.000]  No trauma like knocked on the head. And governments and corporations have literally hundreds of chemicals that metabolize out. They can give you a poison that kills you two weeks later.
[1:23:43.000 --> 1:23:52.000]  My point is he was set to release documents and video that day that he said would basically bring down Obama.
[1:23:52.000 --> 1:24:05.000]  So that's my point on that subject. The Daily Caller is like, oh, Alex Jones said it was a conspiracy. I said no one I know buys. No one I know buys the story out of hand.
[1:24:05.000 --> 1:24:10.000]  Everybody says it stinks to high heaven. Okay, so here's the article plugging Hitler Land does sound like an interesting bug.
[1:24:10.000 --> 1:24:23.000]  And then she's like, oh, the good journalist that exposed Hitler versus the bad ones. And they segue, you know, listen to the whole report at NPR, Tina Brown's, you know, report on Hitler Land.
[1:24:23.000 --> 1:24:30.000]  And they segue into Breitbart. And here is that audio or part of it.
[1:24:30.000 --> 1:24:35.000]  More recently, it's from the New York Times by the media writer, David Karn, called The Provocateur.
[1:24:35.000 --> 1:24:44.000]  That's right. Well, of course, you know, during Hitler's Germany, there were 50 foreign correspondents from America in Berlin, which is an incredible index of the golden era of journalism.
[1:24:44.000 --> 1:24:54.000]  What we have, of course, in the era today with Andrew Breitbart, the blogger, the right-wing radical blogger who just recently dropped dead in the early 40s, was, of course, the absolute opposite.
[1:24:54.000 --> 1:24:56.000]  It's really the degradation in the sense of the term.
[1:24:56.000 --> 1:25:08.000]  Did you hear that? Who just recently dropped dead? She says that with a little bit of enjoyment. And then she just goes on to basically imply he's like Hitler. I mean, that's this whole piece is in a very sneaky way.
[1:25:08.000 --> 1:25:18.000]  And then I was looking it up. She also compared Rick Santorum, regardless of what you think of him, to Judas Ascariot.
[1:25:18.000 --> 1:25:33.000]  This is the head of Newsweek. This isn't even an American, as you can hear. Nothing against folks with British accents. It's just why do they have to import all these foreigners on CNN, the rest of it, to shovel us condescending, know-it-all garbage?
[1:25:33.000 --> 1:25:40.000]  So she does this whole thing on bad journalists versus good journalists and Hitler. And then, oh, then there's Breitbart. You just heard it.
[1:25:40.000 --> 1:25:52.000]  The mystic ideals of a William Shari. It was the absolute opposite. Breitbart didn't report anything. What really, what Breitbart did was he was a provocateur. He was deafed by a thousand tweets. He, you know, was quite...
[1:25:52.000 --> 1:26:03.000]  Oh, but you just call people Judas Ascariot. It means total betrayer of everything good. And you compare, you know, the great journalist at World War II and say the opposite is Breitbart and he dropped dead.
[1:26:03.000 --> 1:26:11.000]  And she goes on and on. Again, we've already used a little bit of this for fair use. We could play more, but go listen to the rest of it. It is really, really sick.
[1:26:11.000 --> 1:26:23.000]  We did take the flying soundbite, any soundbite, and misapply it in its context and create an absolute mayhem for the person concerned, like he did for Paul Shirley Sherrod, who was the obscure official in the agriculture department.
[1:26:23.000 --> 1:26:37.000]  And again, out of hundreds of reports, they take one where Breitbart wasn't completely correct. The truth is he broke major news, brought down Acron, brought down all the corruption with the energy garbage going on in the payoffs, and just the incredible corruption of Obama.
[1:26:37.000 --> 1:26:42.000]  And that's why they hate him and that's why they demonize him. I'm not saying he was perfect. I didn't agree with him on the pro-Warschkopf.
[1:26:42.000 --> 1:26:57.000]  My point is, his death was very, very suspicious and they just go on to basically celebrate it in a piece about Hitler's Germany. Just amazing, amazing. You talk about Sophistic. You talk about manipulation. You talk about death by a thousand cuts.
[1:26:57.000 --> 1:27:06.000]  This is just death by one big cut and then celebrate the actual physical death. Alex Jones, signing off for infowars.com.
[1:27:06.000 --> 1:27:15.000]  Well said there by Alex, man. Yeah, great, great analysis of that. Did you hear that voice, the British accent of the voice there from NPR?
[1:27:15.000 --> 1:27:20.000]  We were talking about the Hunger Games earlier and that's how everybody speaks in the capital, the corrupt capital.
[1:27:20.000 --> 1:27:30.000]  May the odds be ever in your favor when they're launching the games to have these children murdered for their entertainment bread and circuses.
[1:27:30.000 --> 1:27:37.000]  That's exactly what they sound like. Once again, the Hunger Games is real. It's happening around us right now. Just incredible.
[1:27:37.000 --> 1:27:45.000]  Oh man, here's another quick news item for you before we go to the interview with Senator Rand Paul that's coming up in the next segment.
[1:27:45.000 --> 1:27:58.000]  Breast cancer survivor handcuffed and thrown in jail over a mistaken $280 medical bill as debtor's prisons return to the US. This is actually from the Daily Mail, believe it or not.
[1:27:58.000 --> 1:28:09.000]  And here's a breast cancer survivor. Her name is Lisa Lindsay and she received this medical bill that wasn't even for her. It was another mistake.
[1:28:09.000 --> 1:28:16.000]  You know, you're going to get a mistake if you go to the hospital for sure. They're going to screw up something. If not your treatment, then you're billing for sure.
[1:28:16.000 --> 1:28:24.000]  And so she said, I'm not going to pay it and they threw her in jail. Took her away in handcuffs. State troopers arrived at her home.
[1:28:24.000 --> 1:28:30.000]  Took her away in handcuffs. And then only later was it revealed that this was not her debt.
[1:28:30.000 --> 1:28:36.000]  Hey, they're just stealing your babies now in hospitals and shoot them up with vaccines and throwing you in prison, too.
[1:28:36.000 --> 1:28:39.000]  Why not just throw you in prison for other people's debt?
[1:28:39.000 --> 1:28:47.000]  Straight ahead, the interview with Senator Rand Paul by Alex Jones. Don't miss that. A lot of breaking information in that interview coming right up.
[1:28:47.000 --> 1:28:58.000]  Stay with us. We'll be right back on the Alex Jones show on this Sunday.
[1:28:58.000 --> 1:29:06.000]  You've heard Alex explain how the Silver Lungs generator infuses the respiratory system with your self-produced colloidal silver solutions.
[1:29:06.000 --> 1:29:14.000]  Yet many are unaware of the entire function of the Silver Lungs system and how it has been designed to deliver your silver solutions anywhere in or on the body.
[1:29:14.000 --> 1:29:18.000]  My name is Mario Safaldi and I'm the developer of the Silver Lungs generator.
[1:29:18.000 --> 1:29:31.000]  Not only does the Silver Lungs system produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[1:29:31.000 --> 1:29:39.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[1:29:39.000 --> 1:29:49.000]  Be sure to watch our new 7-minute video tour of the Silver Lungs system at www.silverlungs.com to learn more about how the Silver Lungs system works.
[1:29:49.000 --> 1:30:11.000]  As well, we are always ready to answer any questions you may have. That's www.silverlungs.com.
[1:30:19.000 --> 1:30:26.000]  The fuel saver works on all gas, diesel, even propane engines. Easy do-it-yourself installation in about 15 minutes.
[1:30:26.000 --> 1:30:34.000]  And the best part? No engine modifications, no computer chipping, no running wires, no chemicals, no water, no running costs, and no maintenance.
[1:30:34.000 --> 1:30:37.000]  And these fuel savers come complete with all parts and accessories.
[1:30:37.000 --> 1:30:52.000]  See how it works at airfusionsystems.com. Spelled A-I-R-F-U-S-I-O-N systems.com. Or call 888-887-9981. 888-887-9981.
[1:30:52.000 --> 1:31:08.000]  Save fuel, save money, save earth.
[1:31:22.000 --> 1:31:26.000]  And we'll be just as delicious in 25 years as the ones you cook tonight.
[1:31:26.000 --> 1:31:28.000]  Is it affordable? Absolutely.
[1:31:28.000 --> 1:31:33.000]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[1:31:33.000 --> 1:31:39.000]  See the comparison at eFoodsDirect.com forward slash Alex. Or call 800-409-5633.
[1:31:39.000 --> 1:31:44.000]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[1:31:44.000 --> 1:31:49.000]  Give eFoods Direct a call and order one of the Alex Jones Family Packs and test it out today.
[1:31:49.000 --> 1:31:54.000]  Start your journey of food independence today at eFoodsDirect.com forward slash Alex.
[1:31:54.000 --> 1:31:57.000]  Or call 800-409-5633.
[1:31:57.000 --> 1:32:01.000]  I had tried everything. I'd cut back the amount of food I was eating.
[1:32:01.000 --> 1:32:04.000]  I was lifting weights and jogging, but nothing was working.
[1:32:04.000 --> 1:32:09.000]  My body was literally starving for minerals and trace elements as well as key vitamins.
[1:32:09.000 --> 1:32:16.000]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[1:32:16.000 --> 1:32:23.000]  Now, there are hundreds of great products at eFoodsDirect.com, but I want to point out the three that have helped me lose
[1:32:23.000 --> 1:32:27.000]  37 pounds in just two months.
[1:32:27.000 --> 1:32:32.000]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[1:32:32.000 --> 1:32:38.000]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[1:32:38.000 --> 1:32:40.000]  Now, that's results.
[1:32:40.000 --> 1:32:47.000]  I want to challenge my listeners to go to infowarseteam.com and to order just three of their products.
[1:32:47.000 --> 1:32:53.000]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[1:32:53.000 --> 1:32:59.000]  Start your journey to health and wellness today, infowarseteam.com.
[1:32:59.000 --> 1:33:03.000]  Coast to coast, direct from Austin.
[1:33:03.000 --> 1:33:08.000]  You're listening to the Alex Jones Broadcasting Network.
[1:33:08.000 --> 1:33:12.000]  Welcome back to the Alex Jones Show Live on this Sunday.
[1:33:12.000 --> 1:33:16.000]  Now, we take you straight to an interview between Alex Jones and Senator Rand Paul.
[1:33:16.000 --> 1:33:22.000]  This is amazing, listen in.
[1:33:22.000 --> 1:33:29.000]  We are joined by U.S. Senator Hailing from Kentucky, Rand Paul, and the freshman senator, as everyone has noticed,
[1:33:29.000 --> 1:33:37.000]  has actually been fulfilling his campaign promises to try to cut government and restore our constitutional republic.
[1:33:37.000 --> 1:33:40.000]  He joins us from Washington, D.C.
[1:33:40.000 --> 1:33:42.000]  Senator, thank you for coming on with us.
[1:33:42.000 --> 1:33:44.000]  Glad to be with you, Alex.
[1:33:44.000 --> 1:33:53.000]  There is so much to talk about, but I noticed that you're trying to point out that Interpol is now operating inside our country with diplomatic immunity.
[1:33:53.000 --> 1:34:03.000]  Yeah, I'm kind of concerned about having an international police force in our country with the ability, maybe, to extradite U.S. citizens and send them to another country.
[1:34:03.000 --> 1:34:09.000]  As you know, over the last couple of months has been holding some American pro-democracy workers in their country,
[1:34:09.000 --> 1:34:13.000]  and they were going to try them on trumped-up political charges.
[1:34:13.000 --> 1:34:20.000]  And so a couple of months ago, I said, you know what, we send $2 billion to a country that treats us this way and treats our citizens.
[1:34:20.000 --> 1:34:28.000]  So I tried to hold up their foreign aid, and as a consequence, I think partly of what I was doing, they released our American citizens.
[1:34:28.000 --> 1:34:32.000]  Then they came home, and then Secretary Clinton went ahead and released their aid.
[1:34:32.000 --> 1:34:39.000]  I wrote her a letter and said, you know, she shouldn't do it because these prosecutions were still ongoing right now in absentia.
[1:34:39.000 --> 1:34:41.000]  They're prosecuting them without being there.
[1:34:41.000 --> 1:34:50.000]  They also made the U.S. taxpayer pay a $5 million ransom for these Americans to come home, promising they would come back to Holtz to stand trial.
[1:34:50.000 --> 1:34:56.000]  But then this week, we've learned that Egypt has asked Interpol for international warrants.
[1:34:56.000 --> 1:35:00.000]  They have these red-letter warrants that can be used anywhere in the world.
[1:35:00.000 --> 1:35:05.000]  And most people say, oh, that could never happen in America. We would never let that happen.
[1:35:05.000 --> 1:35:08.000]  But Interpol is doing this in other countries.
[1:35:08.000 --> 1:35:18.000]  Saudi Arabia asked Interpol to return a Saudi journalist from Malaysia who had said something about a Muhammad that they found offensive,
[1:35:18.000 --> 1:35:20.000]  and they were going to accuse him of blasphemy.
[1:35:20.000 --> 1:35:24.000]  Interpol picked him up in Malaysia and took him back to Saudi Arabia.
[1:35:24.000 --> 1:35:27.000]  He will now face the death penalty for blasphemy.
[1:35:27.000 --> 1:35:30.000]  But the scary thing is he's being picked up by Interpol.
[1:35:30.000 --> 1:35:35.000]  And the scary thing is, is what kind of authority does Interpol have in the United States?
[1:35:35.000 --> 1:35:42.000]  And President Obama expanded their authority with an executive order in December, giving them diplomatic immunity.
[1:35:42.000 --> 1:35:45.000]  So all of this concerns me.
[1:35:45.000 --> 1:35:59.000]  Senator, we also saw just last year the South African UN summit, and they called for a global UN environmental crime tribunal where you will be arrested if you deny man-made global warming.
[1:35:59.000 --> 1:36:02.000]  And that made headlines in Europe, but almost no news here.
[1:36:02.000 --> 1:36:06.000]  So they're openly calling for this international power.
[1:36:06.000 --> 1:36:13.000]  And four of our Supreme Court justices have said that we should get our rules from the UN, not the Constitution.
[1:36:13.000 --> 1:36:16.000]  So I think you're right to be very concerned about this.
[1:36:16.000 --> 1:36:32.000]  You know, one of the interactions in the last couple weeks that was very, very telling was the interaction between Senator Sessions and Secretary Panetta in a committee in which Panetta said that if we go to war, of course we'll consult with the UN and get their approval.
[1:36:32.000 --> 1:36:39.000]  And Sessions asking me, said, well, you know, isn't there a role here under the Constitution for Congress?
[1:36:39.000 --> 1:36:47.000]  And Panetta basically just kept going on about NATO, the UN, and then he finally sort of said, well, yeah, we would probably inform Congress of what we're doing.
[1:36:47.000 --> 1:36:53.000]  But never in there was there any understanding that they had to get approval or permission from Congress.
[1:36:53.000 --> 1:37:01.000]  And of course you've spoken on the Senate floor about that, one of the few senators to actually be concerned about the Constitution being brazenly violated.
[1:37:01.000 --> 1:37:16.000]  And if anyone was confused by what the Secretary of Defense said and tries to come out and say, well, he didn't really mean that, we have the letter, as you know, last year where Obama responded to Congress with the Libya war and said, I don't need your authorization.
[1:37:16.000 --> 1:37:18.000]  I have the UN.
[1:37:18.000 --> 1:37:22.000]  And that brings me to my next question, Senator.
[1:37:22.000 --> 1:37:27.000]  Are you or others going to call for the House to begin impeachment investigations?
[1:37:27.000 --> 1:37:37.000]  I know Congressman Jones has introduced legislation that if Obama starts another war without congressional war power authorization, that they will then trigger that.
[1:37:37.000 --> 1:37:39.000]  But that's not moving very fast.
[1:37:39.000 --> 1:37:55.000]  I mean, this is extremely brazen, like Caesar crossing the Rubicon if you or your father, who would get a lot more attention than Congressman Jones, were to call for impeachment investigations, at least to begin hearings on impeachment.
[1:37:55.000 --> 1:38:00.000]  Then I think that might get the executive to stop saying it follows the orders of the UN, Senator.
[1:38:00.000 --> 1:38:04.000]  I think the first step is to stop him in his tracks.
[1:38:04.000 --> 1:38:07.000]  We tried very hard on the Libya motion.
[1:38:07.000 --> 1:38:13.000]  In fact, what we did on the Libya when he went to war with Libya is we introduced his own words.
[1:38:13.000 --> 1:38:24.000]  His words in 2007 when he ran for office said that no president should unilaterally go to war without congressional authority, which basically just restates the Constitution.
[1:38:24.000 --> 1:38:27.000]  And good for him, that's what he ran on.
[1:38:27.000 --> 1:38:28.000]  That was part of his platform.
[1:38:28.000 --> 1:38:32.000]  And then he went around and did exactly the opposite when he became president.
