[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[02:02:20.040 --> 02:02:24.040]  But he was also meeting with Barack Obama in the White House regularly.
[02:02:24.040 --> 02:02:30.040]  So again, is this just regular activity that Bruce Orr is doing or is there something else?
[02:02:30.040 --> 02:02:33.040]  I mean, we have all of these investigations into collusion, right?
[02:02:33.040 --> 02:02:35.040]  Okay, well, how about some collusion there?
[02:02:35.040 --> 02:02:36.040]  I mean, we've got the names.
[02:02:36.040 --> 02:02:37.040]  We know what they did.
[02:02:37.040 --> 02:02:39.040]  The dossier is fake.
[02:02:39.040 --> 02:02:41.040]  So there's some collusion right there.
[02:02:41.040 --> 02:02:43.040]  So is that why Bruce Orr was demoted?
[02:02:43.040 --> 02:02:45.040]  Well, of course it was.
[02:02:45.040 --> 02:02:48.040]  And that's why all the rest of these people, they've been caught.
[02:02:48.040 --> 02:02:54.040]  This is such a giant scandal where they've been caught accusing Trump and all of us for what they...
[02:02:54.040 --> 02:02:57.040]  I mean, they call me a Russian agent, Rand Paul a Russian agent.
[02:02:57.040 --> 02:02:58.040]  Tucker Carlson.
[02:02:58.040 --> 02:03:00.040]  This is ridiculous.
[02:03:00.040 --> 02:03:03.040]  Yeah, Trump has sanctions on Russia right now.
[02:03:03.040 --> 02:03:06.040]  By the way, I mean, you were there, you talked about narcotics trafficking,
[02:03:06.040 --> 02:03:11.040]  trafficking in children, all this classified stuff you're not supposed to get into that you told Congress that you were hearing.
[02:03:11.040 --> 02:03:15.040]  I know the Russians were one of the first to help us up in 9-11 with air bases and all the rest of it.
[02:03:15.040 --> 02:03:19.040]  From your research, what was the Russian dirt, if any?
[02:03:19.040 --> 02:03:23.040]  For what, while I was working for the FBI?
[02:03:23.040 --> 02:03:33.040]  No, actually, the FBI's largest translation division used to be Russian language during the whole Soviet Union.
[02:03:33.040 --> 02:03:37.040]  But afterwards, I have to tell you this, there was basically nothing.
[02:03:37.040 --> 02:03:42.040]  I mean, they had to let a lot of people go because there was not much happening.
[02:03:42.040 --> 02:03:47.040]  What was happening was mostly from our sides because we were engaged in this competition
[02:03:47.040 --> 02:03:52.040]  of who was going to get the control of the resources in Central Asia caucuses.
[02:03:52.040 --> 02:03:55.040]  You know, with Saudi Arabia oil has a deadline of what?
[02:03:55.040 --> 02:03:58.040]  Another 15, 20 years, there won't be any oil there.
[02:03:58.040 --> 02:03:59.040]  So the attention...
[02:03:59.040 --> 02:04:03.040]  Sure, and Russia appeared to back the U.S. in that energy grab.
[02:04:03.040 --> 02:04:06.040]  So how have they been rewarded now? It's crazy.
[02:04:06.040 --> 02:04:09.040]  Well, it was crazy back then.
[02:04:09.040 --> 02:04:12.040]  I mean, was it Putin at that time trying to work with Bush?
[02:04:12.040 --> 02:04:14.040]  Well, what happened was this, though.
[02:04:14.040 --> 02:04:21.040]  We had the deep state here who were organizing, arming, training these terror cells.
[02:04:21.040 --> 02:04:23.040]  So then attack the Russian crescent.
[02:04:23.040 --> 02:04:26.040]  And that, again, started during Bill Clinton's administration.
[02:04:26.040 --> 02:04:30.040]  Well, let's come back. I was going to leave you to follow that criminal report on Antifa.
[02:04:30.040 --> 02:04:32.040]  But let's talk big picture. You're a genius at this.
[02:04:32.040 --> 02:04:34.040]  But I mean, I study what the Russians have done.
[02:04:34.040 --> 02:04:38.040]  I mean, literally, they tried to come into the West and just go, let's do business.
[02:04:38.040 --> 02:04:41.040]  And they said, no, here's a bunch of terrorists going to blow you up. How's that sound?
[02:04:41.040 --> 02:04:44.040]  That's exactly what we did. In the 1990s, that's what we did.
[02:04:44.040 --> 02:04:48.040]  And then they blamed the Russians for all this. It's just unbelievable.
[02:04:48.040 --> 02:04:51.040]  I mean, we'll be right back. Stay with us.
[02:04:51.040 --> 02:04:54.040]  Mike and Arizona are on the air worldwide. Go ahead.
[02:04:54.040 --> 02:04:57.040]  Oh, Alex, you can rent any day of the week.
[02:04:57.040 --> 02:05:01.040]  Thank you, sir, for doing what you do and being a patriot and doing your best to save America
[02:05:01.040 --> 02:05:07.040]  and encouraging us as fellow patriots to do that in our local areas as well.
[02:05:07.040 --> 02:05:12.040]  And as a longtime InfoWars listener, I want to say thanks for the awesome brain force,
[02:05:12.040 --> 02:05:16.040]  AnthroPlex. My girlfriend would like to say thanks for the AnthroPlex, too.
[02:05:16.040 --> 02:05:17.040]  Thank you.
[02:05:17.040 --> 02:05:22.040]  I use the BioTrue Selenium, the SuperBlue toothpaste for you folks who aren't big normal toothpaste fans.
[02:05:22.040 --> 02:05:27.040]  The SuperBlue is awesome. And thank you so much, Alex, for the InfoWars life products.
[02:05:27.040 --> 02:05:30.040]  They are quality. I can't wait to get some more.
[02:05:30.040 --> 02:05:33.040]  And thank you so much for doing that for us to keep us healthy.
[02:05:33.040 --> 02:05:34.040]  Absolutely.
[02:05:34.040 --> 02:05:39.040]  And we could all, as educated patriots, help our other countrymen and women,
[02:05:39.040 --> 02:05:41.040]  understand that there's bigger problems going on.
[02:05:41.040 --> 02:05:45.040]  And if we can get our houses in order and be good to each other and ourselves,
[02:05:45.040 --> 02:06:13.040]  we can take our country back.
[02:06:13.040 --> 02:06:17.040]  The first three theories were first spread by Radio Talk Show host Alex Jones.
[02:06:17.040 --> 02:06:22.040]  But to get the employee at YouTube on tape admitting that they do it,
[02:06:22.040 --> 02:06:25.040]  I mean, you must be a threat if they call you out by name.
[02:06:25.040 --> 02:06:27.040]  Alex Jones.
[02:06:27.040 --> 02:06:29.040]  Alex Jones.
[02:06:29.040 --> 02:06:31.040]  Alex Jones.
[02:06:31.040 --> 02:06:33.040]  Alex Jones.
[02:06:33.040 --> 02:06:35.040]  Alex Jones.
[02:06:35.040 --> 02:06:37.040]  Alex Jones.
[02:06:37.040 --> 02:06:39.040]  Alex Jones is a lunatic.
[02:06:39.040 --> 02:06:44.040]  He's a leader of a team of news organizations.
[02:06:44.040 --> 02:06:47.040]  And at that point, somebody decides to win a scroll past that and go find Alex Jones.
[02:06:47.040 --> 02:06:49.040]  So they were looking for him to be with anyone.
[02:06:49.040 --> 02:06:51.040]  That man is a threat to this country.
[02:06:51.040 --> 02:06:53.040]  There's a guy on the radio.
[02:06:53.040 --> 02:06:54.040]  His name is Alex Jones.
[02:06:54.040 --> 02:06:55.040]  Alex Jones.
[02:06:55.040 --> 02:06:59.040]  There's a lot of controversy around this network about Alex Jones, for example.
[02:06:59.040 --> 02:07:01.040]  Time to stop submitting in this charity.
[02:07:01.040 --> 02:07:03.040]  It's time to realize that we're being enslaved.
[02:07:03.040 --> 02:07:05.040]  I heard that on Alex Jones.
[02:07:05.040 --> 02:07:07.040]  InfoWars went even further.
[02:07:07.040 --> 02:07:09.040]  It's a radio show hosted by Alex Jones.
[02:07:09.040 --> 02:07:11.040]  We are in an information war.
[02:07:11.040 --> 02:07:13.040]  And we are losing that war.
[02:07:13.040 --> 02:07:15.040]  Nobody can dispute the fact.
[02:07:15.040 --> 02:07:17.040]  At your own risk.
[02:07:19.040 --> 02:07:20.040]  InfoWars.com.
[02:07:20.040 --> 02:07:21.040]  InfoWars comes tomorrow.
[02:07:21.040 --> 02:07:22.040]  InfoWars.
[02:07:22.040 --> 02:07:23.040]  InfoWars.
[02:07:23.040 --> 02:07:25.040]  Right now, the war is the InfoWars.
[02:07:25.040 --> 02:07:26.040]  You watch InfoWars?
[02:07:26.040 --> 02:07:28.040]  InfoWars.com.
[02:07:28.040 --> 02:07:30.040]  InfoWars.com.
[02:07:30.040 --> 02:07:31.040]  I got a chair going.
[02:07:31.040 --> 02:07:35.040]  Looking at widely reported information from InfoWars.
[02:07:35.040 --> 02:07:36.040]  InfoWars.
[02:07:36.040 --> 02:07:37.040]  InfoWars.
[02:07:37.040 --> 02:07:38.040]  InfoWars.com.
[02:07:38.040 --> 02:07:39.040]  I want freedom.
[02:07:39.040 --> 02:07:40.040]  That's what I want.
[02:07:40.040 --> 02:07:42.040]  And that's what you should want.
[02:07:43.040 --> 02:07:45.040]  Hello, this is Hank Hill.
[02:07:45.040 --> 02:07:47.040]  And I'm telling you what.
[02:07:47.040 --> 02:07:49.040]  You need to listen to Alex Jones.
[02:07:49.040 --> 02:07:51.040]  If you are receiving this transmission.
[02:07:51.040 --> 02:07:53.040]  You are the resistance.
[02:08:04.040 --> 02:08:06.040]  On her way to work one morning.
[02:08:06.040 --> 02:08:09.040]  Down the path along the lake.
[02:08:09.040 --> 02:08:11.040]  A tenderhearted woman.
[02:08:11.040 --> 02:08:15.040]  Saw a poor half frozen snake.
[02:08:15.040 --> 02:08:17.040]  His pretty colored skin.
[02:08:17.040 --> 02:08:20.040]  Had been all frosted with a dew.
[02:08:20.040 --> 02:08:22.040]  Oh well, she cried.
[02:08:22.040 --> 02:08:23.040]  I'll take you in.
[02:08:23.040 --> 02:08:25.040]  And I'll take care of you.
[02:08:26.040 --> 02:08:28.040]  Take me in, otender woman.
[02:08:28.040 --> 02:08:30.040]  Take me in for heaven's sake.
[02:08:30.040 --> 02:08:32.040]  Take me in, otender woman.
[02:08:32.040 --> 02:08:34.040]  Side.
[02:08:34.040 --> 02:08:36.040]  The vicious snake.
[02:08:39.040 --> 02:08:42.040]  This could be the great Trojan horse of all time.
[02:08:42.040 --> 02:08:44.040]  Because you look at the migration.
[02:08:44.040 --> 02:08:45.040]  Study it.
[02:08:45.040 --> 02:08:46.040]  Look at it.
[02:08:46.040 --> 02:08:49.040]  Now they'll start infiltrating with women and children.
[02:08:49.040 --> 02:08:52.040]  Take me in, otender woman.
[02:08:52.040 --> 02:08:54.040]  Take me in for heaven's sake.
[02:08:54.040 --> 02:08:56.040]  Take me in, otender woman.
[02:08:56.040 --> 02:08:58.040]  Side.
[02:08:58.040 --> 02:09:00.040]  The vicious snake.
[02:09:00.040 --> 02:09:03.040]  Now she clutched him to her bosom.
[02:09:03.040 --> 02:09:06.040]  You're so beautiful, she cried.
[02:09:06.040 --> 02:09:08.040]  But if I hadn't brought you in.
[02:09:08.040 --> 02:09:11.040]  By now, you might have died.
[02:09:11.040 --> 02:09:14.040]  She stroked his pretty skin.
[02:09:14.040 --> 02:09:17.040]  And then she kissed and held him tight.
[02:09:17.040 --> 02:09:21.040]  But instead of saying thank you.
[02:09:21.040 --> 02:09:25.040]  That snake gave her a vicious bite.
[02:09:25.040 --> 02:09:28.040]  I saved you, cried the woman.
[02:09:28.040 --> 02:09:30.040]  And you've bit me.
[02:09:30.040 --> 02:09:32.040]  Heaven's wide.
[02:09:32.040 --> 02:09:34.040]  You know your bite is poisonous.
[02:09:34.040 --> 02:09:37.040]  And now I'm going to die.
[02:09:37.040 --> 02:09:40.040]  Oh shut up, silly woman.
[02:09:40.040 --> 02:09:42.040]  Said the reptile with a grin.
[02:09:42.040 --> 02:09:46.040]  You knew damn well I was a snake.
[02:09:46.040 --> 02:09:51.040]  Before you took me in.
[02:09:51.040 --> 02:09:58.040]  I don't want to just sit here and go along with the neocon clash of civilizations.
[02:09:58.040 --> 02:10:01.040]  Where they fund radical Islam that he stabilized the area.
[02:10:01.040 --> 02:10:03.040]  And then they use that as a pretext for us to be in the area.
[02:10:03.040 --> 02:10:06.040]  But then also flood Europe with the radical Islamists to use that
[02:10:06.040 --> 02:10:09.040]  to bring in a police state on top of it.
[02:10:09.040 --> 02:10:12.040]  And then you went to the top of the HEBONs.
[02:10:12.040 --> 02:10:15.040]  One of the top whistleblowers ever from the FBI.
[02:10:15.040 --> 02:10:17.040]  And of course with NSA intercepts.
[02:10:17.040 --> 02:10:19.040]  Testified secretly to Congress.
[02:10:19.040 --> 02:10:22.040]  Broke gag orders later to expose.
[02:10:22.040 --> 02:10:24.040]  So much of now that's all been confirmed.
[02:10:24.040 --> 02:10:27.040]  She's here in town and we'll speak tomorrow about the Goulon network.
[02:10:27.040 --> 02:10:29.040]  This is a short segment time we have left.
[02:10:29.040 --> 02:10:31.040]  Long segment coming up.
[02:10:31.040 --> 02:10:33.040]  Takes some of your phone calls.
[02:10:33.040 --> 02:10:34.040]  Next segment.
[02:10:34.040 --> 02:10:38.040]  But just about you were getting into the whole geopolitical about Russia as a
[02:10:38.040 --> 02:10:40.840]  And you were saying, no, and that's just a fact.
[02:10:40.840 --> 02:10:43.520]  And then why did Russia come to our aid after 9-11?
[02:10:43.520 --> 02:10:45.720]  Like, hey, okay, come take the resources in the area.
[02:10:45.720 --> 02:10:47.600]  And then it seemed like they were just trying to work
[02:10:47.600 --> 02:10:49.440]  with the US over and over again,
[02:10:49.440 --> 02:10:51.880]  but being double-crossed with the globalists and Serbia
[02:10:51.880 --> 02:10:54.480]  and other areas using the very radical Islamists
[02:10:54.480 --> 02:10:56.920]  that they were backing through these networks
[02:10:56.920 --> 02:10:59.320]  from the Clinton Foundation to attack and destabilize.
[02:10:59.320 --> 02:11:00.160]  It's so clear.
[02:11:00.160 --> 02:11:03.800]  And it looks like Trump is now ending that double deal
[02:11:03.800 --> 02:11:05.760]  and is trying to roll up a lot of these groups
[02:11:05.760 --> 02:11:07.240]  at least to a certain extent.
[02:11:07.240 --> 02:11:11.520]  Can you give your expert geopolitical analysis of that?
[02:11:11.520 --> 02:11:12.360]  Absolutely.
[02:11:12.360 --> 02:11:16.120]  I really hope what you're predicting is accurate.
[02:11:16.120 --> 02:11:19.760]  That would be if the CIA is truly on board
[02:11:19.760 --> 02:11:22.880]  of not pursuing these terror policies
[02:11:22.880 --> 02:11:25.720]  all over the former Soviet Union states,
[02:11:25.720 --> 02:11:28.600]  such as those in Central Asia and Caucasus,
[02:11:28.600 --> 02:11:30.760]  because that's exactly what we did.
[02:11:30.760 --> 02:11:34.960]  In 1990s, we created, and this was United States
[02:11:34.960 --> 02:11:37.960]  together with some European nations and NATO.
[02:11:37.960 --> 02:11:41.800]  We said what we want to do is we want to break up
[02:11:41.800 --> 02:11:43.200]  Russia further.
[02:11:43.200 --> 02:11:47.480]  So we started funding, training, okay,
[02:11:47.480 --> 02:11:51.680]  arming various minority factions
[02:11:51.680 --> 02:11:53.600]  within even Russia's own mainland.
[02:11:53.600 --> 02:11:57.640]  For example, the regions of Dagestan, Chechnya,
[02:11:57.640 --> 02:11:59.960]  and believe me or not, in 1990s,
[02:11:59.960 --> 02:12:03.120]  the headquarter for this training used to be in Turkey.
[02:12:03.120 --> 02:12:06.480]  In fact, the Chechen leader's office headquarters
[02:12:06.480 --> 02:12:08.200]  was in Ankara, and this was official,
[02:12:08.200 --> 02:12:10.200]  not like a secret office.
[02:12:10.200 --> 02:12:12.640]  That's where they received all the funding
[02:12:12.640 --> 02:12:15.200]  from the United States, from NATO,
[02:12:15.200 --> 02:12:17.840]  and they armed these Chechen groups to go
[02:12:17.840 --> 02:12:20.520]  and blow up schools, little babies,
[02:12:20.520 --> 02:12:22.880]  little children in Russia, okay?
[02:12:22.880 --> 02:12:27.880]  And to basically do all the things that we are accusing
[02:12:27.880 --> 02:12:31.520]  ISIS be doing or al-Qaeda, we were training them.
[02:12:31.520 --> 02:12:33.960]  But it backfired, it only made a strong leader
[02:12:33.960 --> 02:12:36.920]  come to the fore and finally unified the Russians.
[02:12:36.920 --> 02:12:39.080]  Well, to a certain degree, it did.
[02:12:39.080 --> 02:12:42.000]  And then some other countries, for example,
[02:12:42.000 --> 02:12:46.040]  Azerbaijan, their candidacy for NATO membership
[02:12:46.040 --> 02:12:47.440]  was approved, okay?
[02:12:47.440 --> 02:12:49.840]  So it was, who was gonna get aligned
[02:12:49.840 --> 02:12:52.920]  with who kind of dynamics we got to see
[02:12:52.920 --> 02:12:56.600]  in late 1990s, in early 2000s?
[02:12:56.600 --> 02:13:00.520]  But you are right, it is falling apart.
[02:13:00.520 --> 02:13:02.520]  That whole plan is falling apart.
[02:13:02.520 --> 02:13:05.160]  You even have some Eastern European countries
[02:13:05.160 --> 02:13:08.080]  who are saying, we have had it.
[02:13:08.080 --> 02:13:09.960]  We don't wanna be on this camp.
[02:13:09.960 --> 02:13:11.320]  And guess what?
[02:13:11.320 --> 02:13:14.120]  One of our newest addition to our team at Newsbot
[02:13:14.120 --> 02:13:16.400]  is William Engel, okay?
[02:13:16.400 --> 02:13:20.200]  He exposed Soros network, okay, in Hungary.
[02:13:20.200 --> 02:13:22.440]  And you know what happened in Hungary?
[02:13:22.440 --> 02:13:25.400]  They banned all Soros organizations,
[02:13:25.400 --> 02:13:27.400]  offices, networks, complete.
[02:13:27.400 --> 02:13:28.640]  I was about to say, they're not being driven
[02:13:28.640 --> 02:13:30.520]  by the hands of Russia either.
[02:13:30.520 --> 02:13:32.400]  They're becoming their own sovereign countries
[02:13:32.400 --> 02:13:33.800]  with the libertarian reboot.
[02:13:33.800 --> 02:13:35.880]  I've got to brag, a lot of our information
[02:13:35.880 --> 02:13:38.680]  is at the presidential level there.
[02:13:38.680 --> 02:13:40.840]  And shows like this are helping everybody
[02:13:40.840 --> 02:13:42.400]  become decompartmentalized.
[02:13:42.400 --> 02:13:44.600]  Absolutely right, it's having a domino effect.
[02:13:44.600 --> 02:13:47.360]  For example, with this attempted coup in Turkey,
[02:13:47.360 --> 02:13:48.960]  one of the first things they did,
[02:13:48.960 --> 02:13:51.960]  the Turkish government, they shut down Soros foundations.
[02:13:51.960 --> 02:13:53.960]  You know how many organizational offices
[02:13:53.960 --> 02:13:58.720]  France Soros has in Turkey with supporting Q-Land's network?
[02:13:58.720 --> 02:14:01.360]  So Turkey said, we're not gonna do this,
[02:14:01.360 --> 02:14:03.000]  if we are seeing it happening.
[02:14:03.000 --> 02:14:04.480]  But you know what they are doing?
[02:14:04.480 --> 02:14:07.360]  The mainstream media here and in Europe, right?
[02:14:07.360 --> 02:14:08.960]  They are doing the same thing.
[02:14:08.960 --> 02:14:12.440]  Anybody who is nationalistic, they want their own sovereignty
[02:14:12.440 --> 02:14:16.360]  is being accused of being neo-Nazi fascist.
[02:14:16.360 --> 02:14:19.000]  And what we've got is, what we've got is multinational
[02:14:19.000 --> 02:14:21.840]  networks using Western intelligence agencies
[02:14:21.840 --> 02:14:23.080]  to carry out their own operations.
[02:14:23.080 --> 02:14:25.400]  Removing this is our patriotic duty.
[02:14:25.400 --> 02:14:28.480]  And you notice, all these states aren't going Russian
[02:14:28.480 --> 02:14:31.480]  or they're going Americana libertarian.
[02:14:31.480 --> 02:14:32.880]  They like Ron Paul.
[02:14:32.880 --> 02:14:33.880]  They like Donald Trump.
[02:14:33.880 --> 02:14:35.520]  They like Alex Jones.
[02:14:35.520 --> 02:14:37.280]  They like Putin as they see him as a nationalist
[02:14:37.280 --> 02:14:38.120]  and a Christian.
[02:14:38.120 --> 02:14:40.640]  And that's all this is, is the return of the nation state
[02:14:40.640 --> 02:14:41.800]  and we should celebrate it.
[02:14:41.800 --> 02:14:44.800]  Look, you popularize a term, New World Order, right?
[02:14:44.800 --> 02:14:46.640]  Then nobody was talking about it.
[02:14:46.640 --> 02:14:50.400]  Well, it was there was this awakening for them.
[02:14:50.400 --> 02:14:52.720]  I was talking to this reporter in Greece
[02:14:52.720 --> 02:14:54.920]  and he said, we are trying to get rid
[02:14:54.920 --> 02:14:57.440]  of Soros foundations over here as well.
[02:14:57.440 --> 02:14:58.600]  We want to be Greece.
[02:14:58.600 --> 02:15:02.280]  We don't want to be some kind of a dot within the EU map.
[02:15:02.280 --> 02:15:04.640]  We don't want to be part of this global corporate
[02:15:04.640 --> 02:15:07.160]  domination that isn't American run.
[02:15:07.160 --> 02:15:08.320]  We just pay for it.
[02:15:08.320 --> 02:15:09.640]  That's what Trump understands.
[02:15:09.640 --> 02:15:12.840]  But Alex, the deep state is not going to sit idle.
[02:15:12.840 --> 02:15:15.280]  What do you think is happening with this hoax
[02:15:15.280 --> 02:15:16.960]  called Russia gate?
[02:15:16.960 --> 02:15:20.120]  Because they are not sitting idle and I'm afraid,
[02:15:20.120 --> 02:15:23.120]  there are still so many people within the CIA
[02:15:23.120 --> 02:15:28.120]  and the FBI, SES level people who are not supporting.
[02:15:28.520 --> 02:15:30.760]  They, they are doing the opposite.
[02:15:30.760 --> 02:15:33.240]  So, you know, like Turkish president Erdogan,
[02:15:33.240 --> 02:15:36.240]  I know he's being accused of being dictatorial.
[02:15:36.240 --> 02:15:37.080]  Hold on, finish.
[02:15:37.080 --> 02:15:38.040]  We got to go to break when come back.
[02:15:38.040 --> 02:15:38.880]  Let's get that.
[02:15:38.880 --> 02:15:40.920]  I promise a bunch of collars straight ahead.
[02:15:40.920 --> 02:15:41.760]  She's on fire.
[02:15:41.760 --> 02:15:42.600]  It's about Edmunds.
[02:15:42.600 --> 02:15:50.600]  I'm Alex Jones in FullWars.com.
[02:16:12.600 --> 02:16:13.880]  This is what you're using now.
[02:16:13.880 --> 02:16:16.160]  Earth friendly and natural soaps.
[02:16:16.160 --> 02:16:17.920]  Your family deserves the best.
[02:16:17.920 --> 02:16:20.520]  Happiness is fivestarsoap.com.
[02:16:20.520 --> 02:16:23.320]  Why not put your money up the drain for a change?
[02:16:23.320 --> 02:16:28.320]  See them at fivestarsoap.com or call 1-800-340-7091
[02:16:28.800 --> 02:16:29.720]  for a catalog.
[02:16:29.720 --> 02:16:32.760]  Calben's soap company can save you thousands of dollars
[02:16:32.760 --> 02:16:35.120]  and give you good old fashioned real soaps
[02:16:35.120 --> 02:16:36.840]  that are triple concentrated.
[02:16:36.840 --> 02:16:39.320]  Soaps made from vegetable and coconut oils.
[02:16:39.320 --> 02:16:41.120]  See their full selection of soaps
[02:16:41.120 --> 02:16:43.080]  at fivestarsoap.com.
[02:16:43.080 --> 02:16:45.800]  That's F-I-V-E star soap.com.
[02:16:45.800 --> 02:16:49.960]  Or call 1-800-340-7091 for a catalog.
[02:16:49.960 --> 02:16:51.840]  Fully cooked, ready to eat bacon.
[02:16:51.840 --> 02:16:53.760]  I'm talking thick meaty, center cut,
[02:16:53.760 --> 02:16:56.640]  presidential bacon, savory and delicious.
[02:16:56.640 --> 02:16:59.440]  I buy some, I use some, I store some.
[02:16:59.440 --> 02:17:00.280]  Awesome.
[02:17:00.280 --> 02:17:03.200]  No refrigeration needed with a 10 year shelf life.
[02:17:03.200 --> 02:17:04.840]  NASA pack technology.
[02:17:04.840 --> 02:17:07.320]  Bacon, fully cooked, fully hydrated,
[02:17:07.320 --> 02:17:09.480]  ready to eat right from the pack bacon
[02:17:09.480 --> 02:17:10.960]  or warm and served.
[02:17:10.960 --> 02:17:13.240]  Lifesaving, ready to eat bacon.
[02:17:13.240 --> 02:17:15.000]  10 year shelf life bacon.
[02:17:15.000 --> 02:17:20.000]  Ships free at fullycookedbacon.com, fullycookedbacon.com.
[02:17:20.000 --> 02:17:21.760]  Katie Armor has been on a mission
[02:17:21.760 --> 02:17:24.080]  to manufacture the most comfortable body armor
[02:17:24.080 --> 02:17:26.480]  on the market and we've succeeded.
[02:17:26.480 --> 02:17:29.200]  With the release of our CQB technology,
[02:17:29.200 --> 02:17:31.440]  we now offer the most comfortable concealable
[02:17:31.440 --> 02:17:33.600]  rifle threat body armor available.
[02:17:33.600 --> 02:17:35.240]  Things may look good now,
[02:17:35.240 --> 02:17:37.520]  but what if you need added protection?
[02:17:37.520 --> 02:17:40.880]  Get your very own concealable rifle threat armor today
[02:17:40.880 --> 02:17:42.840]  at katiearmor.com.
[02:17:42.840 --> 02:17:44.280]  And for a limited time,
[02:17:44.280 --> 02:17:46.400]  get all plates at wholesale pricing,
[02:17:46.400 --> 02:17:49.440]  only at catiarmor.com.
[02:17:52.600 --> 02:17:54.280]  Matt and Ohio, you're on the air.
[02:17:54.280 --> 02:17:55.240]  Another Matt, go ahead.
[02:17:55.240 --> 02:17:57.440]  Yeah, hey, listen, I just wanted to say real quick,
[02:17:57.440 --> 02:18:00.080]  I'm a long time listener of N4s
[02:18:00.080 --> 02:18:02.160]  and I just wanted to say that the t-shirts
[02:18:02.160 --> 02:18:05.520]  that you guys are offering are absolutely fantastic
[02:18:05.520 --> 02:18:07.760]  and that really is a great way to deal
[02:18:07.760 --> 02:18:09.840]  with this battle in the N4.
[02:18:09.840 --> 02:18:11.640]  It might seem like a simple thing,
[02:18:11.640 --> 02:18:14.160]  but they're particularly these slogan t-shirts
[02:18:14.160 --> 02:18:17.480]  that you guys got up right now are absolutely amazing.
[02:18:17.480 --> 02:18:18.320]  Well, thank you.
[02:18:18.320 --> 02:18:21.360]  My favorite new one is the don't tread on me,
[02:18:21.360 --> 02:18:23.200]  but said it says won't tread on me
[02:18:23.200 --> 02:18:25.800]  and it's a big Daeglo snake, Gadsden snake,
[02:18:25.800 --> 02:18:27.160]  and then it's got the American flag,
[02:18:27.160 --> 02:18:29.080]  infowars.com on the right arm.
[02:18:29.080 --> 02:18:32.160]  I mean, that's a great way just to meet like-minded people
[02:18:32.160 --> 02:18:35.320]  and spread the word and also exercise free speech.
[02:18:35.320 --> 02:18:38.440]  And the newest one is Trigger Warning t-shirt.
[02:18:38.440 --> 02:18:40.400]  Trigger Warning t-shirt,
[02:18:40.400 --> 02:18:43.360]  which is the symbol of a trigger with a yield sign
[02:18:43.360 --> 02:18:45.360]  and then infowars.com on the back.
[02:18:45.360 --> 02:18:48.040]  That is the new shirt of the mind available
[02:18:48.040 --> 02:18:50.160]  exclusively at infowarsstore.com.
[02:18:51.160 --> 02:18:54.160]  Hey, if you want to slow down your aging process
[02:18:54.160 --> 02:18:56.400]  and protect your heart and brain
[02:18:56.400 --> 02:18:59.040]  from constant exposure to harmful toxins,
[02:18:59.040 --> 02:19:00.960]  then you need DNA force,
[02:19:00.960 --> 02:19:04.040]  the most complete full spectrum age-defying
[02:19:04.040 --> 02:19:06.560]  cell protecting formula in the world.
[02:19:06.560 --> 02:19:09.600]  DNA force is designed to help energize
[02:19:09.600 --> 02:19:14.000]  your cardiovascular system and reduce the aging process.
[02:19:14.000 --> 02:19:15.080]  Yeah, you like the sound of that?
[02:19:15.080 --> 02:19:16.960]  Each bottle is jam-packed
[02:19:16.960 --> 02:19:19.520]  with a powerful antioxidant blend,
[02:19:19.520 --> 02:19:22.720]  clinically proven to support and accelerate
[02:19:22.720 --> 02:19:26.800]  your body's natural defenses against harmful toxins.
[02:19:26.800 --> 02:19:28.560]  It's in your DNA.
[02:19:28.560 --> 02:19:30.640]  Go to infowarslife.com right now
[02:19:30.640 --> 02:19:32.840]  and check out the reviews for yourself.
[02:19:32.840 --> 02:19:35.280]  And now, just in time for Christmas,
[02:19:35.280 --> 02:19:39.080]  we're offering DNA force at 33% off.
[02:19:39.080 --> 02:19:42.080]  So take advantage of this incredible deal.
[02:19:42.080 --> 02:19:46.320]  Get a bottle of DNA force today at infowarslife.com
[02:19:46.320 --> 02:19:50.120]  or call 1-888-253-3139.
[02:19:50.120 --> 02:19:50.960]  Yeah!
[02:19:50.960 --> 02:20:03.960]  You're listening to the Alex Jones Show.
[02:20:03.960 --> 02:20:23.680]  We now take you live to the Central Texas Command Center
[02:20:23.680 --> 02:20:25.880]  in the heart of the resistance,
[02:20:25.880 --> 02:20:27.800]  it's Alex Jones.
[02:20:27.800 --> 02:20:32.240]  See, Bill Evans is with us for only one more segment.
[02:20:32.240 --> 02:20:35.000]  She's speaking to Mara, you can find out at newsbud.com
[02:20:35.000 --> 02:20:36.240]  right here in Austin, Texas.
[02:20:36.240 --> 02:20:37.560]  Auntie Fuzz has been threatening her,
[02:20:37.560 --> 02:20:38.760]  telling her not to come, not to speak,
[02:20:38.760 --> 02:20:40.400]  but she's gonna do it.
[02:20:40.400 --> 02:20:42.480]  Just, we've got Nick, Mark, and a bunch of other colleagues
[02:20:42.480 --> 02:20:43.720]  I'm gonna try to go to in just a moment.
[02:20:43.720 --> 02:20:44.800]  But you were saying you had one other point
[02:20:44.800 --> 02:20:45.880]  you wanted to make.
[02:20:45.880 --> 02:20:48.280]  Yes, it's very interesting.
[02:20:48.280 --> 02:20:50.360]  And in a way, it is disheartening
