[00:00:09.732 --> 00:00:13.093]  It's Sunday, October 30th, 2022.
[00:54:53.604 --> 00:55:00.226]  NBC News, David DePapa was able to get into the Pelosi bedroom
[00:55:00.973 --> 00:55:02.274]  Where Paul Pelosi was.
[00:55:02.274 --> 00:55:04.555]  Third person was at home.
[00:55:04.555 --> 00:55:09.799]  Elon Musk fact-checked Hillary about the truth of Paul Pelosi attack and Elon is right.
[00:55:09.799 --> 00:55:11.380]  And then here's some of the memes.
[00:55:11.380 --> 00:55:15.163]  Paul Pelosi crime scene video.
[00:55:15.163 --> 00:55:19.686]  I love this spirit Halloween costume meme that just keeps giving and giving.
[00:55:19.686 --> 00:55:27.551]  Home invader includes two hammers, underwear, gay pride flag, Berkeley stands united against and lube.
[00:55:29.938 --> 00:55:45.107]  And of course you've got from the shining little scene with the adult teddy bear with the aristocratic man in the bedroom is this release footage from Pelosi's house before things got crazy.
[00:55:45.107 --> 00:55:46.307]  That's called satire media.
[00:55:46.307 --> 00:55:47.748]  We're not being serious.
[00:55:47.748 --> 00:55:54.932]  Rex Chapman calls Rand Paul a little bitch for wishing Paul Pelosi a speedy recovery.
[00:55:54.932 --> 00:55:58.854]  And it goes on and on and on.
[00:56:00.771 --> 00:56:02.393]  All right, we're going to start the second hour.
[00:56:02.393 --> 00:56:07.257]  Let me tell you what's coming up then.
[00:56:07.257 --> 00:56:25.093]  I want to get into the New World Order master plan, why they're doing lockdowns, why China's got new lockdowns, why they want to bring lockdowns back here, and what the digital world ID, social credit score, cashless society is going to mean.
[00:56:25.093 --> 00:56:26.895]  That's all coming up, and then
[00:56:28.442 --> 00:56:28.903]  We're good to go.
[00:56:44.462 --> 00:56:50.426]  Pushing against vaccinations and promoting Alex Jones, Kyrie Irving doesn't care about the impact of his words.
[00:56:50.426 --> 00:56:56.389]  He's just a wealthy, entitled individual who wants the benefits of existing in a society without responsibilities.
[00:56:56.389 --> 00:56:57.410]  And so they're demonizing him.
[00:56:57.410 --> 00:56:59.892]  He's responded to tweeting.
[00:57:00.819 --> 00:57:03.940]  This video that I can't even count up how many views it's got.
[00:57:03.940 --> 00:57:06.680]  I mean, some versions have 15 million views.
[00:57:06.680 --> 00:57:08.881]  There's dozens of versions with millions of views.
[00:57:08.881 --> 00:57:11.461]  But safe to say this has got 100 million views.
[00:57:11.461 --> 00:57:16.942]  And it's 20 years ago, a minute and a half clip where I just lay out the future that would be unfolding.
[00:57:16.942 --> 00:57:20.543]  So I thought we'd actually play the clip everybody's talking about.
[00:57:20.543 --> 00:57:24.964]  And that Kyrie Irving did not apologize for
[00:57:26.311 --> 00:57:28.412]  Posting on his Instagram.
[00:57:28.412 --> 00:57:30.152]  That's all coming up.
[00:57:30.152 --> 00:57:34.073]  And then the Biden administration's done something very special.
[00:57:34.073 --> 00:57:37.514]  Biden administration accuses Arizona officials of trespassing.
[00:57:37.514 --> 00:57:38.914]  We're trying to secure the border.
[00:57:38.914 --> 00:57:40.555]  The illegals aren't trespassing, but they are.
[00:57:40.555 --> 00:57:42.895]  Hour number two straight ahead.
[00:57:42.895 --> 00:57:45.496]  Send the live links out from Infowars.com forward slash show.
[00:57:49.685 --> 00:57:52.048]  Fluoride is the enemy.
[00:57:52.048 --> 00:57:53.649]  It's the bad halogen.
[00:57:53.649 --> 00:57:57.493]  To the same family as chlorine, bromide, you name it.
[00:57:57.493 --> 00:57:59.175]  What's the good halogen?
[00:57:59.175 --> 00:58:01.978]  Ladies and gentlemen, it is iodine.
[00:58:01.978 --> 00:58:08.064]  And we have the highest quality iodine you're going to find anywhere, exclusively at InfoWarStore.com.
[00:58:09.145 --> 00:58:21.189]  It is X3 triiodine, the deep earth crystal iodine, and two other healthy types that help absorb it better into the cells for all cellular function and for energy and so much more.
[00:58:21.189 --> 00:58:26.611]  Get your X3 exclusively today at InfoWarStore.com.
[00:58:26.611 --> 00:58:31.852]  It funds the Info War, but more importantly, it energizes your body and every cellular function.
[00:58:31.852 --> 00:58:35.914]  It takes about two weeks for it to kick in, a couple drops every day under the tongue.
[00:58:35.914 --> 00:58:36.594]  Experience
[00:58:37.034 --> 00:58:41.718]  X3 today, back in stock, 50% off at InfoWarsTore.com.
[00:58:41.718 --> 00:58:49.405]  X3 at InfoWarsTore.com.
[00:58:49.405 --> 00:58:52.248]  I don't promote things unless they really work.
[00:58:52.248 --> 00:58:58.493]  When it comes to politics or culture, economics, we are always the cutting edge, tip of the spear.
[00:58:58.493 --> 00:59:02.477]  And when we talk about the products at InfoWarsTore.com, they all blow you away.
[00:59:03.345 --> 00:59:04.666]  We're good to go.
[00:59:22.392 --> 00:59:34.681]  So X3, despite the fact it was run on iodine, is still on sale at 50% off right now at InfoWarStore.com, and it funds the Info War, which is a 360 win.
[00:59:34.681 --> 00:59:41.206]  If you've not experienced the power of iodine, takes two weeks to kick out on average, you've got to go to InfoWarStore.com and get X3 50% off.
[00:59:41.206 --> 00:59:41.887]  X3 50% off, InfoWarStore.com.
[00:59:52.532 --> 00:59:56.539]  If you are receiving this transmission, you are the resistance.
[00:59:56.539 --> 00:59:57.541]  We're on the march!
[01:00:11.093 --> 01:00:15.176]  Resistance to tyrants is obedience to God.
[01:00:15.176 --> 01:00:17.237]  It's Alex Jones.
[01:00:17.237 --> 01:00:22.401]  Alright, I'm only going to air part of this very important seven and a half minute piece by
[01:00:23.863 --> 01:00:24.984]  John Malin.
[01:00:24.984 --> 01:00:25.985]  It's on Band.Video.
[01:00:25.985 --> 01:00:28.207]  The Pelosi's October Surprise.
[01:00:28.207 --> 01:00:39.176]  Then we're going to come back and I'm going to plow into the latest COVID news and the whole cashless society endgame of this and how we stop it and then all the new pushes for censorship more and more.
[01:00:39.176 --> 01:00:44.881]  But here's a part of the report that is again at Band.Video that is so critical.
[01:00:44.881 --> 01:00:50.806]  The only way it gets legs, the only way it's birthed into existence and reaches other people in the info war is you.
[01:00:51.799 --> 01:00:53.817]  The Pelosi's October surprise is part of it.
[01:01:01.966 --> 01:01:16.576]  In the wake of breaking news with little details, it was only a matter of hours before the Democrats' mockingbird media had begun to politicize and twist the narrative of the attack regarding Paul Pelosi.
[01:01:16.576 --> 01:01:22.880]  A story today, a new warning from law enforcement of a heightened threat to the midterm elections and the safety of elected leaders.
[01:01:23.100 --> 01:01:29.187]  Investigators say DePafe had planned to tie up Paul Pelosi and wait for the Speaker to return home.
[01:01:29.187 --> 01:01:31.509]  Mr. Pelosi was taken to the hospital.
[01:01:31.509 --> 01:01:40.719]  Representative Pelosi's office tells us he underwent a successful surgery to repair a skull fracture and serious injuries to his right arm and hands.
[01:01:41.721 --> 01:01:50.005]  Tonight's bulletin from the FBI warns of a heightened threat fueled by a rise in domestic violence extremism driven by ideological grievances.
[01:01:50.005 --> 01:01:56.189]  Potential targets include candidates running for public office, elected officials, election workers, and others.
[01:01:56.189 --> 01:02:00.271]  The FBI warns the threat will continue even after election day.
[01:02:00.271 --> 01:02:08.475]  Clinging to the far-right January 6th boogeyman myth in order to desperately forward a campaign of stochastic terrorism.
[01:02:08.615 --> 01:02:16.242]  We have to understand that this attack was most likely done because of that rhetoric being spread.
[01:02:16.242 --> 01:02:17.503]  That's my prediction.
[01:02:17.503 --> 01:02:26.171]  We're going to find out that this was someone with very far-right motivations and someone who follows people like Tucker Carlson, like Ben Shapiro, like Matt Walsh.
[01:02:26.171 --> 01:02:26.732]  That's my prediction.
[01:02:26.732 --> 01:02:26.952]  I don't
[01:02:46.082 --> 01:02:47.623]  Learning such things in school.
[01:02:47.623 --> 01:03:07.578]  As the clock runs out on the 2022 election, an outcome which could not only bring a response to the corporacratic neo-Marxist cancer festering in the American body politic, but also result in prosecution for a host of Democrats that had avoided scrutiny, including the President of the United States.
[01:03:07.578 --> 01:03:10.220]  The October surprise was imminent.
[01:03:10.220 --> 01:03:11.981]  If you pour it to the same chant,
[01:03:13.103 --> 01:03:16.705]  Was used by this guy they have in custody.
[01:03:16.705 --> 01:03:19.107]  That was used on January 6th.
[01:03:19.107 --> 01:03:22.389]  The chant was, Where's Nancy?
[01:03:22.389 --> 01:03:24.030]  Where's Nancy?
[01:03:24.030 --> 01:03:26.671]  Where's Nancy?
[01:03:26.671 --> 01:03:28.893]  This is despicable.
[01:03:28.893 --> 01:03:32.435]  There's no place in America.
[01:03:32.435 --> 01:03:35.737]  There's too much violence, political violence.
[01:03:35.737 --> 01:03:37.698]  Too much hatred.
[01:03:37.698 --> 01:03:38.719]  Too much vitriol.
[01:03:41.536 --> 01:03:58.452]  And what makes us think that one party can talk about stolen elections, COVID being a hoax, there's all a bunch of lies, and it not affect people who may not be so well balanced?
[01:03:58.452 --> 01:04:05.098]  What makes us think that it's not going to corrode the political climate?
[01:04:05.714 --> 01:04:22.881]  The alleged attacker, David DePappe, a Canadian illegal immigrant, had spent his time in Berkeley, California making hemp jewelry and contributing to Bay Area nudist activism at a residence replete with a rainbow flag and a Black Lives Matter sign.
[01:04:22.881 --> 01:04:27.702]  However, they dared to deny the implausible narrative of 9-11.
[01:04:27.702 --> 01:04:34.305]  Not exactly the far-right extremist Nazis they would have us believe DePappe was a product of.
[01:04:34.745 --> 01:04:47.432]  According to KTVU, De Pape had supposedly had with him a manifesto that contained anti-government COVID beliefs and a list of other politicians he planned to target.
[01:04:47.432 --> 01:04:58.559]  Additionally, the media had immediately derided De Pape's online writings detailing COVID vaccine danger, the Great Reset, and the epidemic of pedophile normalization.
[01:05:01.844 --> 01:05:06.287]  I've been in a 28-year marathon battle with the globalists.
[01:05:06.287 --> 01:05:12.691]  I have come from nowhere, to the very heights of politics, not just in America, but in the world.
[01:05:12.691 --> 01:05:17.814]  We are engaging the globalists at point-blank range in the information war.
[01:05:17.814 --> 01:05:19.516]  But I don't deserve the credit.
[01:05:19.516 --> 01:05:25.940]  Yes, I've persevered, but the listeners and viewers who support InfoWars are the real reason we've had the success.
[01:05:26.660 --> 01:05:32.082]  We're having now the greatest victories in the fight against the New World Order we've ever had.
[01:05:32.082 --> 01:05:36.244]  We are now entering the final mile of the marathon.
[01:05:36.244 --> 01:05:45.648]  And that's why today it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[01:05:45.648 --> 01:05:47.009]  God bless you all.
[01:05:47.009 --> 01:05:48.049]  I salute you.
[01:05:48.049 --> 01:05:49.130]  I thank you.
[01:05:49.130 --> 01:05:54.512]  And I beg you to intensify what you're doing now because we are over the target and history is happening.
[01:05:55.112 --> 01:05:56.473]  The fight is my fight.
[01:05:56.473 --> 01:05:57.113]  It's your fight.
[01:05:57.113 --> 01:05:57.853]  It's our fight.
[01:05:57.853 --> 01:06:03.155]  God bless you all.
[01:06:03.155 --> 01:06:07.977]  The answer to 1984 is 1776.
[01:06:07.977 --> 01:06:15.880]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:17.316 --> 01:06:35.360]  So we have real live thought police, not in a book like 1984, not in the old Soviet Union, but here in America and in Europe, run by the ADL, run by the socialist parties, funded by the big corporations, that want to silence their political opposition, that are saying no to the turning they're pushing.
[01:06:36.843 --> 01:06:38.844]  And so ten years ago, Sandy Hook happened.
[01:06:38.844 --> 01:06:42.585]  The internet didn't believe it because it was all political and a lot of it looked scripted.
[01:06:42.585 --> 01:06:44.526]  I looked at some of the evidence and said, yeah, it could be staged.
[01:06:44.526 --> 01:06:45.326]  They staged a lot of stuff.
[01:06:45.326 --> 01:06:46.947]  It was never a big issue for us.
[01:06:46.947 --> 01:06:48.728]  We barely covered it.
[01:06:48.728 --> 01:06:50.768]  Then, four years ago, they sue us.
[01:06:50.768 --> 01:06:52.169]  The judge's fine is in default.
[01:06:54.150 --> 01:07:05.379]  And then once I saw what happened, it was all organized like a big machine with the media and PR groups and think tanks and Hillary Clinton and Barack Obama and just all of them.
[01:07:05.379 --> 01:07:09.042]  Beto and Biden all attacking me.
[01:07:09.042 --> 01:07:09.723]  Alex Jones.
[01:07:11.055 --> 01:07:16.318]  And what he did to the poor children's families and how he sent people to harass them and none of it was true.
[01:07:16.318 --> 01:07:19.120]  So they couldn't have a real trial because that would be shown.
[01:07:19.120 --> 01:07:27.004]  So they found me guilty and then had a five-week in Connecticut, two-week in Texas show trial.
[01:07:27.004 --> 01:07:36.490]  And so Kyrie Irving, well-known successful basketball player, months ago puts out a tweet that was already viral with tens of millions of views.
[01:07:36.490 --> 01:07:39.592]  Now it's approaching God knows what, all the different versions out there.
[01:07:41.940 --> 01:07:55.534]  Where I, in 2002, did a video podcast where I exposed what they would build in the future and how they would use release viruses to take control of society.
[01:07:55.534 --> 01:08:03.381]  And so Kyrie is asked a few days ago in a press conference, now viral, with tens of millions of views, well, why'd you do this?
[01:08:04.488 --> 01:08:11.493]  And then, oh, why'd you post some anti-Semitic thing that was just simply talking about a bunch of northern Africans who were Jewish?
[01:08:11.493 --> 01:08:12.614]  But that's on record.
[01:08:12.614 --> 01:08:14.895]  Ethiopia, you name it.
[01:08:14.895 --> 01:08:20.179]  He says, listen, I'm just putting out links that are interesting, just like you're asking me about this very same topic.
[01:08:20.179 --> 01:08:21.460]  Are you now bad bringing it up?
[01:08:22.921 --> 01:08:23.501]  And I get it.
[01:08:23.501 --> 01:08:24.762]  Kyrie's under a lot of attacks.
[01:08:24.762 --> 01:08:29.504]  So he says, you know, I don't agree with Alex Jones hurting and traumatizing people that lost kids.
[01:08:29.504 --> 01:08:30.224]  I didn't.
[01:08:30.224 --> 01:08:31.025]  They got political.
[01:08:31.025 --> 01:08:32.325]  They got involved with Obama.
[01:08:32.325 --> 01:08:33.346]  They came out against guns.
[01:08:33.346 --> 01:08:36.827]  People all saw it and thought something is weird here.
[01:08:36.827 --> 01:08:40.009]  It's like Jussie Smollett.
[01:08:40.009 --> 01:08:41.009]  But that's not the issue.
[01:08:41.009 --> 01:08:49.953]  The issue is they want the control whether you are Ye Kanye West or whether you are Kyrie Irving or whether you are Tucker Carlson.
[01:08:51.636 --> 01:08:52.497]  To demonize you?
[01:08:52.497 --> 01:08:54.278]  What's Tucker Carlson talking about?
[01:08:54.278 --> 01:09:15.451]  Oh, the federal government says by the 15th of November, we'll be completely out of diesel fuel and over 80% of freight and systems, energy, you name it, food, electronics gear, medicine,
[01:09:18.027 --> 01:09:23.048]  is delivered by trucks by AT wheelers that are diesel.
[01:09:23.048 --> 01:09:26.649]  That's what he's talking about and the ADL says he is Hitler.
[01:09:26.649 --> 01:09:29.510]  He is a Nazi.
[01:09:29.510 --> 01:09:30.530]  Oh, I don't want open borders.
[01:09:30.530 --> 01:09:31.050]  You're a Nazi.
[01:09:31.050 --> 01:09:32.510]  I don't want to be forced to take a shot.
[01:09:32.510 --> 01:09:33.550]  You're a Nazi.
[01:09:33.550 --> 01:09:34.431]  I question the election.
[01:09:34.431 --> 01:09:35.151]  You're a Nazi.
[01:09:35.151 --> 01:09:38.832]  It's ridiculous.
[01:09:38.832 --> 01:09:44.813]  And major national Jewish groups and the largest rabbinical organization in America have put out letters
[01:09:46.667 --> 01:09:48.468]  To the head of the ADL saying, stop it!
[01:09:48.468 --> 01:09:50.190]  You're turning everybody against us!
[01:09:50.190 --> 01:09:53.272]  It's not Nazi to be against diesel running out.
[01:09:53.272 --> 01:09:54.894]  It's not Nazi to be free speech.
[01:09:54.894 --> 01:09:55.854]  Stop it!
[01:09:55.854 --> 01:09:57.416]  But the left doesn't care.
[01:09:57.416 --> 01:10:01.779]  They want to list all their enemies as Nazis.
[01:10:01.779 --> 01:10:03.921]  And then outlaws.
[01:10:03.921 --> 01:10:05.222]  Censorous.
[01:10:05.222 --> 01:10:15.971]  So before I play the Kyrie Irving press conference clip, let's actually play the clip that he tweeted, and you decide for yourself from 20 years ago how evil
[01:10:16.972 --> 01:10:17.935]  This really is.
[01:10:17.935 --> 01:10:19.921]  Or is it really good?
[01:10:19.921 --> 01:10:21.045]  Is it really the truth?
[01:10:21.045 --> 01:10:21.948]  Here's The Viral Club.
[01:10:25.498 --> 01:10:26.959]  Facts and common sense are in.
[01:10:26.959 --> 01:10:28.759]  Yes, there have been corrupt empires.
[01:10:28.759 --> 01:10:29.980]  Yes, they manipulate.
[01:10:29.980 --> 01:10:32.000]  Yes, there are secret societies.
[01:10:32.000 --> 01:10:34.421]  Yes, there have been oligarchies throughout history.
[01:10:34.421 --> 01:10:51.167]  And yes, today, in 2002, there is a tyrannical organization calling itself the New World Order, pushing for worldwide government, a cashless society, open borders, total and complete tyranny.
[01:10:52.145 --> 01:10:55.449]  Where human beings are absolutely worthless.
[01:10:55.449 --> 01:11:05.300]  There's six and a quarter plus billion of us, and the globalists have said it many times, there's too many of us, we're causing a problem, we need to be culled at the tune of eighty percent.
[01:11:05.300 --> 01:11:11.247]  It's amazing to talk about that, but it's the globalists, the UN, their own public statements, and they've convinced a lot of
[01:11:12.208 --> 01:11:20.872]  Liberals and elitist conservatives and others that by going along with this that we're intelligent members of society.
[01:11:20.872 --> 01:11:24.254]  It's the ultimate Malthus worldview.
[01:11:24.254 --> 01:11:31.537]  It is this radical virulent form of social Darwinism.
[01:11:31.537 --> 01:11:34.259]  It's the excuse of tyrants.
[01:11:35.359 --> 01:11:49.468]  And by creating open borders where there's no national sovereignty and only global bodies that control all the resources, by centralizing and socializing health care, the state becomes God, basically, when it comes to your health.
[01:11:49.468 --> 01:11:56.373]  And then by releasing diseases and viruses and plagues upon us, we then basically get shoved into their system.
[01:11:58.860 --> 01:12:05.304]  And I've got to find the full clip because I, about a few months ago, somebody found like 30 minutes of this and I'm doing everything that's going to happen.
[01:12:05.304 --> 01:12:06.605]  How they're going to do force injections.
[01:12:06.605 --> 01:12:08.466]  How they're going to lock us down.
[01:12:08.466 --> 01:12:10.447]  But you get the drift.
[01:12:10.447 --> 01:12:14.530]  This is dangerous because it's true and it shows it was a plan.
[01:12:14.530 --> 01:12:18.532]  So here is Kyrie Irving being confronted.
[01:12:18.532 --> 01:12:21.014]  This particular Twitter version has 6 million views.
[01:12:21.014 --> 01:12:22.375]  Someone with 10 million views.
[01:12:22.375 --> 01:12:24.516]  This has gone super viral.
[01:12:24.516 --> 01:12:26.698]  And they just keep attacking him and talking over him.
[01:12:26.698 --> 01:12:27.238]  Here's what happened.
[01:12:28.823 --> 01:12:37.868]  Kareem, while we're on the topic of promotion, why did you decide to promote something that Alex Jones said?
[01:12:37.868 --> 01:12:39.589]  That was a few weeks ago.
[01:12:39.589 --> 01:12:42.850]  I do not stand with Alex Jones.
[01:12:42.850 --> 01:12:57.838]  Position, narrative, court case that he had with Sandy Hook or any of the kids that felt like they had to relive trauma or parents that had to relive trauma or to be dismissive to all the lives that were lost during that tragic event.
[01:12:59.431 --> 01:13:06.334]  My post was a post from Alex Jones that he did in the early 90s or late 90s about secret societies in America of occults.
[01:13:06.334 --> 01:13:08.334]  And it's true.
[01:13:08.334 --> 01:13:14.316]  So I wasn't identifying with anything of being a campaign campaignist for Alex Jones or anything.
[01:13:14.316 --> 01:13:16.377]  I was just there to post.
[01:13:16.377 --> 01:13:16.877]  And it's funny.
[01:13:16.877 --> 01:13:21.899]  It's actually hilarious because out of all the things I posted that day, that was the one post that everyone chose to
[01:13:22.779 --> 01:13:25.242]  And to follow up on the promotion of the movie and the book...
[01:13:38.715 --> 01:13:40.157]  You put it out on your platform.
[01:13:40.157 --> 01:13:41.338]  But I'm promoting it?
[01:13:41.338 --> 01:13:43.301]  Do you see me doing, do you see me in front of the title?
[01:13:43.301 --> 01:13:45.564]  By putting it out there, people are going to say that you are promoting it.
[01:13:45.564 --> 01:13:47.667]  Yeah, I put it out there, just like you put things out there, right?
[01:13:47.667 --> 01:13:48.768]  Yeah, but I... Okay.
[01:13:48.768 --> 01:13:50.590]  You put things out there for a living, right?
[01:13:50.590 --> 01:13:53.334]  Right, but my stuff is not filled with anti-Semitic stuff.
[01:13:53.334 --> 01:13:54.435]  Great, so let's move on.
[01:13:54.435 --> 01:13:55.156]  Let's move on.
[01:13:55.156 --> 01:13:56.258]  Don't dehumanize me up here.
[01:13:56.698 --> 01:13:57.819]  I'm not, I'm not doing that.
[01:13:57.819 --> 01:13:58.720]  You're free to post whatever you want.
[01:13:58.720 --> 01:14:02.743]  I can post whatever I want, so save that and shut it down and move on to the next question.
[01:14:02.743 --> 01:14:06.225]  But Kyrie, you have to understand that by posting... I don't have to understand anything from you.
[01:14:06.225 --> 01:14:07.026]  It's not me.
[01:14:07.026 --> 01:14:07.346]  Nothing.
[01:14:07.346 --> 01:14:09.087]  By posting what you did... No people that you're making up, bro.
[01:14:09.087 --> 01:14:09.588]  Move on.
[01:14:09.588 --> 01:14:10.769]  But by posting what you did... Move on.
[01:14:10.769 --> 01:14:11.269]  Next question.
[01:14:11.269 --> 01:14:12.190]  Next question.
[01:14:12.190 --> 01:14:13.511]  Do you guys have any more questions for me?
[01:14:13.511 --> 01:14:15.412]  And they're going to say... Do you guys have any more questions?
[01:14:15.412 --> 01:14:16.793]  Because this is going to be a clip.
[01:14:16.793 --> 01:14:19.015]  This is going to be a clip that he's going to marvel at.
[01:14:19.015 --> 01:14:20.176]  Is this any more questions?
[01:14:20.176 --> 01:14:21.617]  But you're not answering the question.
[01:14:21.617 --> 01:14:23.178]  This is another answering your question.
[01:14:23.178 --> 01:14:25.900]  Oh my God, let's make another Instagram clip so we can be famous again.
[01:14:26.460 --> 01:14:27.141]  Next question.
[01:14:27.141 --> 01:14:33.126]  Kyrie Irving's wrong about it, and I get it.
[01:14:33.126 --> 01:14:41.234]  You see thousands of articles a day, hundreds of videos a day for years about Alex Jones, Sandy Hook, and people walk me on the street and they go, man, would you stop talking about Sandy Hook?
[01:14:41.234 --> 01:14:43.095]  I never even hardly talked about it.
[01:14:43.095 --> 01:14:52.624]  They kept their gun control alive and their anti-free speech movement by picking a few things out of context with me and attaching themselves to me and then acting like I'm getting rich or covering Sandy Hook.
[01:14:54.099 --> 01:14:57.682]  So I'm not with Alex and his whole thing on San Diego, you know, that is his big thing.
[01:14:57.682 --> 01:14:58.683]  It's not my big thing.
[01:14:58.683 --> 01:14:59.944]  It's their big thing.
[01:14:59.944 --> 01:15:03.567]  They've manipulated you with a magician's trick.
[01:15:03.567 --> 01:15:14.575]  But then separately, here's the reporter bringing up the clip that he knows will get a bunch of views, but Kyrie Irving is bad for putting the clip out to begin with that was already viral.
[01:15:14.575 --> 01:15:15.937]  And it's what I said.
[01:15:15.937 --> 01:15:21.101]  Notice there's no debate about what I said in the video 20 years ago.
[01:15:21.101 --> 01:15:21.981]  It's not the late 90s, it's 20 years ago.
[01:15:27.566 --> 01:15:30.888]  So, they don't want a discussion about what I said, because it's true.
[01:15:30.888 --> 01:15:33.310]  They want to just say, oh, Sandy Hook!
[01:15:33.310 --> 01:15:35.051]  Hey, you know, I think we shouldn't have open borders.
[01:15:35.051 --> 01:15:36.032]  Sandy Hook!
[01:15:36.032 --> 01:15:36.973]  They shouldn't take our guns.
[01:15:36.973 --> 01:15:37.833]  Sandy Hook!
[01:15:37.833 --> 01:15:39.214]  I don't want you to force me to take a shot.
[01:15:39.214 --> 01:15:40.515]  Sandy Hook!
[01:15:40.515 --> 01:15:41.376]  I want my First Amendment.
[01:15:41.376 --> 01:15:42.617]  Sandy Hook!
[01:15:42.617 --> 01:15:48.301]  While they lie about WMDs and kill everybody everywhere and say Madeleine Albright's great, she said, yeah, I killed 500,000 kids.
[01:15:48.301 --> 01:15:50.982]  I'd do it again.
[01:15:50.982 --> 01:15:53.804]  The left are using psychological warfare against you.
[01:15:53.804 --> 01:15:54.305]  They hate you.
[01:15:58.803 --> 01:16:00.364]  Look around you.
[01:16:00.364 --> 01:16:05.386]  Everything I predicted from the Globalist's own documents, from their own admissions is now happening.
[01:16:05.386 --> 01:16:09.267]  Infowars credibility, my credibility has never been higher.
[01:16:09.267 --> 01:16:18.611]  And it's because of your backing of this operation that I can steadfastly, despite the censorship and the boycotts and the attacks and the lawsuits, stay on air.
[01:16:18.611 --> 01:16:24.273]  But now we're reaching the most critical juncture in the fight together.
[01:16:24.273 --> 01:16:27.875]  So I want to ask all of you today to help keep me on the air.
[01:16:28.715 --> 01:16:31.819]  In my decades on air, I've never asked for personal donations.
[01:16:31.819 --> 01:16:38.126]  But I'm being forced by the Bankruptcy Court to pay for 40% of the legal fees, and I can't fund those myself.
[01:16:38.126 --> 01:16:39.407]  It's unsustainable.
[01:16:39.407 --> 01:16:40.628]  So please, visit.
[01:16:41.721 --> 01:16:43.683]  SaveinfoWars.com.
[01:16:43.683 --> 01:16:51.812]  SaveinfoWars.com, where you can make straight donations, $5, $10, $50, $100, whatever you can, so that I can continue to persevere.
[01:16:51.812 --> 01:16:54.816]  I'll never give up, I'll never give in, but I could give out.
[01:16:54.816 --> 01:16:56.117]  Thank you for your support.
[01:16:56.117 --> 01:16:57.218]  Wouldn't be here without you.
[01:16:57.218 --> 01:16:58.680]  SaveinfoWars.com.
[01:16:58.680 --> 01:16:58.700]  X3.
[01:17:01.355 --> 01:17:03.176]  X3.
[01:17:03.176 --> 01:17:11.978]  It stands for triiodine, or all three types of iodine that the body needs to be healthy and survive and thrive.
[01:17:11.978 --> 01:17:16.379]  It boosts your libido, your energy, your stamina, your immune system.
[01:17:16.379 --> 01:17:19.760]  X3 is the ultimate iodine product on the market.
[01:17:19.760 --> 01:17:25.642]  It's back in stock at InfoWarstore.com for 50% off, and it funds the InfoWar.
[01:17:26.645 --> 01:17:28.726]  So many of you are on the fence.
[01:17:28.726 --> 01:17:30.127]  You know our information is powerful.
[01:17:30.127 --> 01:17:31.428]  You know it's changed the world.
[01:17:31.428 --> 01:17:40.193]  Try the products at InfoWarsTore.com and start with X3 Tri-Iodine.
[01:17:40.193 --> 01:17:40.833]  50% off.
[01:17:40.833 --> 01:17:42.474]  InfoWarsTore.com.
[01:17:42.474 --> 01:17:44.495]  It takes about two weeks to kick in.
[01:17:44.495 --> 01:17:46.476]  An aspirin kicks in in 30 minutes.
[01:17:46.476 --> 01:17:48.057]  Tylenol kicks in in 30 minutes.
[01:17:48.057 --> 01:17:50.778]  This kicks in in about two weeks on average.
[01:17:50.778 --> 01:17:52.559]  You need to experience it.
[01:17:52.559 --> 01:17:53.060]  Don't wait.
[01:17:53.860 --> 01:17:55.001]  You'll be impressed.
[01:17:55.001 --> 01:17:58.785]  Infowarstore.com X3.
[01:17:58.785 --> 01:18:00.627]  It's our best seller.
[01:18:00.627 --> 01:18:04.391]  We first came out with it five years ago, and it was a moderate seller.
[01:18:04.391 --> 01:18:13.481]  But as folks tried Vitamin Mineral Fusion and experienced the way it made them feel and how healthy it made them, it has become our number one overall best seller.
[01:18:13.481 --> 01:18:15.524]  And it's been sold out for a while, but it's finally back in stock.
[01:18:16.064 --> 01:18:22.709]  Vitamin Mineral Fusion doesn't just supercharge your immune system, but it helps every cellular function of the body.
[01:18:22.709 --> 01:18:29.835]  It has all the minerals, all the key amino acids, all of the essential vitamins that you need to live and be healthy.
[01:18:29.835 --> 01:18:32.457]  Essential means without these things you die.
[01:18:32.457 --> 01:18:40.544]  And so much of the food is debased, there's so many chemicals in the environment, it is critical to bolster our body's defenses with a product like this.
[01:18:40.544 --> 01:18:42.766]  Now there are other great vitamin mineral products out there.
[01:18:43.246 --> 01:18:47.428]  But this is amongst the very best, and it's a low price, and it funds the InfoWars.
[01:18:47.428 --> 01:18:54.491]  So the only way you lose is not taking action today, getting Vitamin Mineral Fusion finally back in stock at InfoWarsStore.com for 50% off.
[01:18:54.491 --> 01:18:58.633]  Vitamin Mineral Fusion back in stock, InfoWarsStore.com.
[01:18:58.633 --> 01:19:04.735]  I am extremely honored to be seen by the globalists as their number one enemy.
[01:19:04.735 --> 01:19:07.817]  I am blessed to know that our information is so hardcore,
[01:19:09.053 --> 01:19:13.855]  Enemies of humanity are obsessed with silencing us.
