[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[49:25.000 --> 49:26.000]  Why?
[49:26.000 --> 49:29.000]  Because while the truncheon may be used at lieu of conversation,
[49:29.000 --> 49:32.000]  words will always retain their power.
[49:32.000 --> 49:34.000]  Words offer the means to meaning,
[49:34.000 --> 49:36.000]  and for those who will listen,
[49:36.000 --> 49:38.000]  the enunciation of truth.
[49:38.000 --> 49:43.000]  The truth is, there is something terribly wrong with this country, isn't there?
[49:43.000 --> 49:44.000]  You designed it, sir.
[49:44.000 --> 49:45.000]  You wanted it foolproof.
[49:45.000 --> 49:47.000]  You told me every television end longer.
[49:47.000 --> 49:50.000]  Cruelty, and injustice, intolerance, and oppression.
[49:50.000 --> 49:52.000]  And where once you have the freedom to object,
[49:52.000 --> 49:56.000]  to think and speak as you saw fit,
[49:56.000 --> 49:58.000]  you now have sensors and systems of surveillance,
[49:58.000 --> 50:01.000]  coercing your conformity and surveying your submachine.
[50:01.000 --> 50:03.000]  How did this happen?
[50:03.000 --> 50:05.000]  Who's to blame?
[50:05.000 --> 50:08.000]  Well, certainly there are those who are more responsible than others.
[50:08.000 --> 50:10.000]  They will be held accountable.
[50:10.000 --> 50:13.000]  But again, truth be told, if you're looking for the guilty,
[50:13.000 --> 50:16.000]  you need only look into a mirror.
[50:16.000 --> 50:18.000]  I know why you did it.
[50:18.000 --> 50:20.000]  I know you were afraid.
[50:20.000 --> 50:21.000]  Who wouldn't be?
[50:21.000 --> 50:24.000]  War, terror, disease.
[50:24.000 --> 50:28.000]  There were a myriad of problems which conspired to corrupt your reason
[50:28.000 --> 50:30.000]  and rob you of your common sense.
[50:30.000 --> 50:32.000]  Fear got the best of you,
[50:32.000 --> 50:36.000]  and in your panic you turned to the now high chancellor, Adam Sutler.
[50:36.000 --> 50:39.000]  He promised you order, he promised you peace,
[50:39.000 --> 50:43.000]  and all he demanded in return was your silent, obedient consent.
[50:46.000 --> 50:48.000]  Obama!
[50:48.000 --> 50:50.000]  Obama!
[50:50.000 --> 50:53.000]  The Info War. It's happening now.
[50:53.000 --> 50:55.000]  It will decide the fate of humanity.
[50:55.000 --> 50:58.000]  The time to choose sides has come.
[50:58.000 --> 51:00.000]  We are the resistance.
[51:00.000 --> 51:02.000]  We are the Info War.
[51:07.000 --> 51:11.000]  Now, folks, Info War is not only news reporter and co-host.
[51:11.000 --> 51:15.000]  David Knight is going to be piloting the transmission
[51:15.000 --> 51:18.000]  in the next three final segments,
[51:18.000 --> 51:21.000]  because he's got a bunch of breaking news on great things happening
[51:21.000 --> 51:24.000]  for the Second Amendment, federally and at the state level.
[51:24.000 --> 51:27.000]  But you've got to remember, you've got to be on the offense winning
[51:27.000 --> 51:29.000]  or you're on the defense losing.
[51:29.000 --> 51:31.000]  So we're in deep trouble when it comes to the Second Amendment,
[51:31.000 --> 51:34.000]  but because America has awakened, we're starting to have some big victories.
[51:34.000 --> 51:36.000]  So we're going to tell you about those.
[51:36.000 --> 51:38.000]  And then incredible.
[51:38.000 --> 51:42.000]  It's come out how a bunch of different top BBC people, government officials,
[51:42.000 --> 51:45.000]  torture rings, murdering children, torturing children.
[51:45.000 --> 51:47.000]  It's all coming out just like our sources said years ago.
[51:47.000 --> 51:50.000]  It's tied into Mexican drug cartels here.
[51:50.000 --> 51:52.000]  It is just hellish.
[51:52.000 --> 51:53.000]  Absolutely hellish.
[51:53.000 --> 51:55.000]  He's going to cover that as well.
[51:55.000 --> 51:57.000]  Mark Dice is here with us.
[51:57.000 --> 51:59.000]  He had both his big YouTube channels with,
[51:59.000 --> 52:01.000]  I don't want to have like 60-something million views.
[52:01.000 --> 52:03.000]  The other had a bunch of views.
[52:03.000 --> 52:06.000]  Most of his videos ended up getting picked up and covered on national television.
[52:06.000 --> 52:11.000]  And it was just showing mainly Democrats saying,
[52:11.000 --> 52:13.000]  we want to kill the conservatives.
[52:13.000 --> 52:15.000]  We want to put them in FEMA camps.
[52:15.000 --> 52:17.000]  We want to take their guns.
[52:17.000 --> 52:19.000]  We want to take their kids.
[52:19.000 --> 52:21.000]  We want total surveillance.
[52:21.000 --> 52:23.000]  Really, it's an authoritarian party.
[52:23.000 --> 52:26.000]  And we know the Republicans are bad as well, the old blue bloods.
[52:26.000 --> 52:31.000]  But the libertarians are taking over the Republicans right now with Rand Paul and Ted Cruz and others.
[52:31.000 --> 52:36.000]  And that's really scaring both the Republican blue bloods and the Democrats as well.
[52:36.000 --> 52:39.000]  So there's a real power struggle right now in America.
[52:39.000 --> 52:41.000]  But the good news is America is waking up.
[52:41.000 --> 52:46.000]  And that's a big night's take as he's been holding the last 20-30 minutes sitting in the studio listening to Mark Dice.
[52:46.000 --> 52:48.000]  Do you have any points you'd like to make?
[52:48.000 --> 52:49.000]  I'm sure you do, David.
[52:49.000 --> 52:52.000]  And any questions for Mark Dice?
[52:52.000 --> 52:59.000]  Yeah, Alex, you know, one of the things that I think this really illustrates is the problem that we've been seeing with all of these CISPA, SOPA, ACTA, PIP,
[52:59.000 --> 53:04.000]  all these different pieces of legislation that are being championed by Dianne Feinstein and Mike Rogers.
[53:04.000 --> 53:07.000]  I mean, those are the top Democrats and Republicans.
[53:07.000 --> 53:09.000]  They're united at the top.
[53:09.000 --> 53:12.000]  We've got to unite at the grassroots level to fight this.
[53:12.000 --> 53:17.000]  We've got to unite around liberty because they're united around censorship and control.
[53:17.000 --> 53:18.000]  That's right.
[53:18.000 --> 53:23.000]  And I guess one of the things that bothers me about this is that, you know, what we saw with Mark Dice's situation is,
[53:23.000 --> 53:25.000]  how do you appeal this process?
[53:25.000 --> 53:28.000]  You know, when they shut down Telly Blackwood's YouTube channel,
[53:28.000 --> 53:32.000]  he was somebody who did a video for the Paul Revere contest.
[53:32.000 --> 53:35.000]  And he had a, it was a spoof of Michael Moore.
[53:35.000 --> 53:38.000]  His video got 800,000 views in a full few hours.
[53:38.000 --> 53:40.000]  See, it was going to get 10 million, so they shut it down.
[53:40.000 --> 53:41.000]  They shut down his entire site.
[53:41.000 --> 53:45.000]  He had nine million views, it's much smaller than Mark Dice's, but it was still a very large channel.
[53:45.000 --> 53:48.000]  Well, he's also an accomplished television and movie actor.
[53:48.000 --> 53:52.000]  That's right. And they just shut his, they shut his business down.
[53:52.000 --> 53:58.000]  And he couldn't, he was in this catch-22 situation where even though he wanted to try to appeal the process,
[53:58.000 --> 54:03.000]  but they had shut down his Google accounts, so he couldn't, he didn't have the Google accounts to appeal the process.
[54:03.000 --> 54:08.000]  So you get into this. When they shut down one of your Google things of dozens, everything goes down.
[54:08.000 --> 54:12.000]  Your identity goes. They make, Google says, we want to be the web.
[54:12.000 --> 54:14.000]  We've taken over. You've got to have us to live.
[54:14.000 --> 54:18.000]  We dominate the web. And then you do one thing we say is wrong.
[54:18.000 --> 54:20.000]  We shut down everything you've got. That's right.
[54:20.000 --> 54:24.000]  And that's what I see coming up with the TPP, the Trans-Pacific Partnership.
[54:24.000 --> 54:27.000]  Web ID is right there in the secret treaty. Exactly.
[54:27.000 --> 54:35.000]  Don't tell folks about that. And American Congress isn't allowed to see that secret treaty, but autonomous leaked it.
[54:35.000 --> 54:39.000]  What is going to be our due process? Do we have any presumption of innocence?
[54:39.000 --> 54:44.000]  Of course, we don't under the TPP. Under TPP, you have corporate entities, you have to be defined,
[54:44.000 --> 54:47.000]  that are going to be at a par with the government.
[54:47.000 --> 54:53.000]  And of course, an individual corporation can go into arbitration and have equal representation with a government, with an entire government.
[54:53.000 --> 54:58.000]  So it's a massive takeover. And they're pulling in things that don't have anything to do with trade.
[54:58.000 --> 55:00.000]  They're pulling in things like the Internet.
[55:00.000 --> 55:06.000]  And they're modifying what's been tested on Google and Facebook, covert censorship, just like the NSA would deny they were spying.
[55:06.000 --> 55:12.000]  Oh, we're not censoring. It's the same thing, deny, deny, deny, like Bill Clinton said, while they're doing it.
[55:12.000 --> 55:15.000]  We knew they were spying on info wars and drudges years ago.
[55:15.000 --> 55:18.000]  Now it's been confirmed by four-year documents. It's the same thing, folks.
[55:18.000 --> 55:24.000]  The tyranny is looking you in the eye. It's illegitimate. Rand Paul last week said, look, Congress is being spied on.
[55:24.000 --> 55:30.000]  The Senate is being spied on. They're spying on the Intelligence Committee that's over them.
[55:30.000 --> 55:38.000]  This is like your kids. You come home and they're sitting in your chair telling you what to do, telling mom and dad to take the trash out, folks.
[55:38.000 --> 55:40.000]  Mark Dice.
[55:40.000 --> 55:44.000]  Yeah, and they're so powerful. I mean, it's not only just spying on them and recording who's calling who,
[55:44.000 --> 55:49.000]  but you guys know this. You've been reporting this for years, probably 10 years.
[55:49.000 --> 55:52.000]  They're recording the audio content of calls.
[55:52.000 --> 55:59.000]  And thanks to Edward Snowden, much of what you guys have been reporting for a decade is finally being confirmed in the mainstream,
[55:59.000 --> 56:03.000]  even though it's been confirmed in trade journals and patent applications and approval.
[56:03.000 --> 56:06.000]  NSA sources, we've had bigger than Snowden.
[56:06.000 --> 56:14.000]  Yeah, but now we have finally, oh, wait, so they are recording every single phone call through Operation Mystic of an entire country,
[56:14.000 --> 56:21.000]  which was a report that was published, you know, written seven or five years ago in 2007.
[56:21.000 --> 56:28.000]  So just imagine the power that they have now. They can record the audio of every single phone call ever that has been made.
[56:28.000 --> 56:32.000]  And then I love how the global public, I love the global public all the over we have to mark.
[56:32.000 --> 56:36.000]  I'm leaving so you'll get an ad word in Edgewater with David who wants to do one more segment with you.
[56:36.000 --> 56:40.000]  The point is, is that these gullible people say, I have nothing to hide.
[56:40.000 --> 56:45.000]  That's like when you put your address and what you got for Christmas on Facebook and that you're going on a trip and people rob you.
[56:45.000 --> 56:50.000]  Bad people will use your stolen data against you. You protect your data.
[56:50.000 --> 56:56.000]  You lock your door at night, not because you're a bad person, but because there's bad people out there.
[56:56.000 --> 57:03.000]  I'm sick of hearing, give up all your data if you have nothing to hide while the government and corporations are totally secretive.
[57:03.000 --> 57:04.000]  Mark.
[57:04.000 --> 57:07.000]  Yeah, I guess Anne Frank didn't have anything to hide either.
[57:07.000 --> 57:13.000]  For those who don't know, she was the Jewish girl whose diary was later published about the atrocities of the war.
[57:13.000 --> 57:16.000]  And so I guess, you know, if she didn't have anything to hide, her and her family,
[57:16.000 --> 57:19.000]  maybe they should have just came out and tried to reason with the Nazi officers.
[57:19.000 --> 57:22.000]  Yeah, why were they hiding? They should have given their information up.
[57:22.000 --> 57:24.000]  Yeah, they didn't have anything to hide. I mean, what was going on with them?
[57:24.000 --> 57:27.000]  I mean, why were they against tattoos on their arm for IBM?
[57:27.000 --> 57:31.000]  Maybe it's good for the Jews to have tattoos on their arm to prove they're not racist.
[57:31.000 --> 57:38.000]  And with the NSA spying, I mean, people laughed at me, you know, almost 10 years ago for putting tape over the webcam on my laptop.
[57:38.000 --> 57:45.000]  And now, of course, we have Ms. Team USA, who was almost blackmailed, attempted blackmailed by someone hacking into her webcam.
[57:45.000 --> 57:50.000]  And so just an ordinary low-level script kitty hacker can do that to her.
[57:50.000 --> 57:52.000]  Just imagine what the NSA is capable of.
[57:52.000 --> 57:59.000]  I had my computers looked at five years ago, and there were hundreds of attempts to use my webcam that I've never used.
[57:59.000 --> 58:02.000]  The Skype wasn't around then. They are using them.
[58:02.000 --> 58:05.000]  Look at the public schools watching the kids at home with them.
[58:05.000 --> 58:08.000]  It's a power grab. Stop being naive, folks.
[58:08.000 --> 58:15.000]  And when we're talking about the mainstream media being controlled and being in bed with the governments, you know this.
[58:15.000 --> 58:22.000]  But the CIA was admitted and has been uncovered in congressional hearings back in 1975,
[58:22.000 --> 58:28.000]  where they were caught and admitted paying the major editors, major reporters,
[58:28.000 --> 58:35.000]  the major heads of all major media under the table cash a billion dollars a year in today's law.
[58:35.000 --> 58:37.000]  Operation Mockingbird. We're out of time.
[58:37.000 --> 58:40.000]  David, I would imagine you want to do five more minutes with Mark on the other side.
[58:40.000 --> 58:46.000]  Let him finish to get into your pro-second amendment. Good news, and you've got the pedophile breaking news coming up.
[58:46.000 --> 58:51.000]  I'm going to let David just take over, or I'll interrupt because he's got so much news to cover.
[58:51.000 --> 58:55.000]  David Knight, I'll be back tomorrow in studio 11 a.m. Mark Dice coming back up.
[58:55.000 --> 58:59.000]  MarkDice.com. I'm Alex Jones with InfoWars.com and PrisonPlanet.com.
[58:59.000 --> 59:04.000]  And remember, buying products at InfoWarsStore.com helps fund our whole operation here.
[59:04.000 --> 59:10.000]  So, InfoWarsStore.com, some amazing pro-second amendment t-shirts there and more.
[59:35.000 --> 59:39.000]  Raising the debt ceiling does not increase our debt. Nobody is listening to your telephone calls.
[59:39.000 --> 59:42.000]  The debate is settled. Climate change is a fact.
[59:42.000 --> 59:49.000]  And if people can't trust not only the executive branch, but also don't trust Congress and don't trust federal judges,
[59:49.000 --> 59:51.000]  then we're going to have some problems.
[59:51.000 --> 59:53.000]  What difference at this point does it make?
[59:53.000 --> 59:55.000]  Everything is awesome.
[59:55.000 --> 59:57.000]  Oh my gosh, I love this song.
[59:57.000 --> 01:00:02.000]  Everything is cool when you're part of a team. Everything is awesome.
[01:00:02.000 --> 01:00:05.000]  Welcome back to the Alex Jones Show. I'm David Knight here in the studio.
[01:00:05.000 --> 01:00:09.000]  And we've got Mark Dice of markdice.com on the phone line.
[01:00:09.000 --> 01:00:15.000]  Now, Mark just had his YouTube channel taken down for a little over a day.
[01:00:15.000 --> 01:00:21.000]  And this is about a week after it was announced that Google was going to set up something they called Super Flaggers.
[01:00:21.000 --> 01:00:23.000]  They were going to give some government institutions.
[01:00:23.000 --> 01:00:27.000]  It was pointed out that in the U.K., the government had a line in on this.
[01:00:27.000 --> 01:00:33.000]  So it's about 200 individuals that they've given the authority to flag multiple videos at once,
[01:00:33.000 --> 01:00:38.000]  and paying a lot of attention to those special individuals who can take down videos whenever they want.
[01:00:38.000 --> 01:00:41.000]  And I guess one of the things that bothers us, we've been talking to Mark Dice about,
[01:00:41.000 --> 01:00:46.000]  is how much this looks like, SOPA, CESVA, PIPA, ACTA,
[01:00:46.000 --> 01:00:51.000]  all of these different things that have been put forth by the Congress to shut down the Internet.
[01:00:51.000 --> 01:00:56.000]  And of course we see that also being repeated in the Trans-Pacific Partnership, TPP,
[01:00:56.000 --> 01:01:02.000]  this trade agreement, so-called trade agreement, this being negotiated secretly by corporations,
[01:01:02.000 --> 01:01:05.000]  and fast-tracked by the American government.
[01:01:05.000 --> 01:01:09.000]  But of course senators and congressmen from our country, from other countries,
[01:01:09.000 --> 01:01:11.000]  are not allowed to see this trade agreement.
[01:01:11.000 --> 01:01:14.000]  But we've had some parts of it leaked by WikiLeaks.
[01:01:14.000 --> 01:01:15.000]  Very concerning, Mark.
[01:01:15.000 --> 01:01:20.000]  I think that when we see this happening, it looks very much like what we're all afraid of.
[01:01:20.000 --> 01:01:25.000]  When we see these YouTube channels like yours taken down, like Kelly Blackwood's,
[01:01:25.000 --> 01:01:29.000]  you enter into this catch-22 situation where you don't get any warning that they're going to take it down,
[01:01:29.000 --> 01:01:33.000]  you don't get a chance to respond to the charges, they just take it down,
[01:01:33.000 --> 01:01:36.000]  and then you're in this catch-22 situation where you can't respond to them
[01:01:36.000 --> 01:01:39.000]  because they've shut down the lines of communication.
[01:01:39.000 --> 01:01:43.000]  Yeah, and the Orwellian leadership often has a megalomania,
[01:01:43.000 --> 01:01:47.000]  and they come up with these ideas that they want to roll out out of the public.
[01:01:47.000 --> 01:01:51.000]  And if we didn't resist, if we didn't just stand up and push back,
[01:01:51.000 --> 01:01:55.000]  if we didn't talk about it and raise some awareness,
[01:01:55.000 --> 01:02:01.000]  we would already be in an Orwellian nightmare a hundred times worse than what we're actually in.
[01:02:01.000 --> 01:02:04.000]  I mean, we would have just books being deleted left and right.
[01:02:04.000 --> 01:02:07.000]  And let this be a lesson to them too, because when you're in the right,
[01:02:07.000 --> 01:02:11.000]  I like to say, you know, with God for me, who dare be against me?
[01:02:11.000 --> 01:02:13.000]  Because they tried to shut me down.
[01:02:13.000 --> 01:02:14.000]  I'm doing the right thing.
[01:02:14.000 --> 01:02:15.000]  And guess what?
[01:02:15.000 --> 01:02:20.000]  I'm back, and I'm more popular than ever, and the message is being spread even more.
[01:02:20.000 --> 01:02:26.000]  So not only did they fail in shutting me down, but they actually have helped me.
[01:02:26.000 --> 01:02:28.000]  I was trending on Facebook yesterday.
[01:02:28.000 --> 01:02:31.000]  My Twitter has been blowing up for over 24 hours,
[01:02:31.000 --> 01:02:34.000]  and so they tried to stop, and guess what?
[01:02:34.000 --> 01:02:36.000]  It just helped.
[01:02:36.000 --> 01:02:39.000]  But it's a battle, and it's a lot of stress,
[01:02:39.000 --> 01:02:43.000]  and we're all in a very dangerous position here.
[01:02:43.000 --> 01:02:46.000]  But everything that we've been reporting virtually has been,
[01:02:46.000 --> 01:02:51.000]  for 10 years, that Infowars has been covering, that other alternative media,
[01:02:51.000 --> 01:02:57.000]  independent, non-operation Mockingbird, you know, CIA, cash-accepting people
[01:02:57.000 --> 01:03:02.000]  have been reporting, is now finally leaking into the mainstream
[01:03:02.000 --> 01:03:05.000]  about your webcams, about Congress being spied on,
[01:03:05.000 --> 01:03:08.000]  about the calls being recorded.
[01:03:08.000 --> 01:03:12.000]  I mean, virtually, these people need to be charged with just billions,
[01:03:12.000 --> 01:03:15.000]  literally, of Fourth Amendment violations.
[01:03:15.000 --> 01:03:18.000]  It's to the point where it's beyond Orwellian,
[01:03:18.000 --> 01:03:21.000]  when we have smart televisions that have facial recognition systems,
[01:03:21.000 --> 01:03:26.000]  that have audio recognition capabilities, that they can just activate remotely.
[01:03:26.000 --> 01:03:30.000]  And the tech companies, as you know, as Infowars has been reporting,
[01:03:30.000 --> 01:03:35.000]  are literally in bed with these guys, I guess literally, and figuratively,
[01:03:35.000 --> 01:03:38.000]  handing over the keys to the kingdom, to the encryption software,
[01:03:38.000 --> 01:03:40.000]  building in backdoors.
[01:03:40.000 --> 01:03:45.000]  The NSA, architects, and software engineers are literally working
[01:03:45.000 --> 01:03:49.000]  at these tech companies to create these backdoors into these systems.
[01:03:49.000 --> 01:03:52.000]  And it's beyond Orwellian.
[01:03:52.000 --> 01:03:57.000]  And for people like Alex and you, and others on the front lines,
[01:03:57.000 --> 01:04:02.000]  we would already be in a society where people are afraid to speak out.
[01:04:02.000 --> 01:04:05.000]  People are, or many people are afraid to speak out,
[01:04:05.000 --> 01:04:09.000]  but it would be 10 times worse than it is right now.
[01:04:09.000 --> 01:04:12.000]  It's very important, and like you point out, it turned into a huge victory
[01:04:12.000 --> 01:04:15.000]  because it got picked up on Twitter because of your popularity.
[01:04:15.000 --> 01:04:17.000]  We put it on our site. Alex talked to them about it.
[01:04:17.000 --> 01:04:20.000]  We had, because of all this, it got unrolled.
[01:04:20.000 --> 01:04:21.000]  Now it's out there.
[01:04:21.000 --> 01:04:23.000]  Now more people know about you than ever before.
[01:04:23.000 --> 01:04:26.000]  And we've got some reports coming up about the Second Amendment.
[01:04:26.000 --> 01:04:29.000]  We see that in Delaware of all places.
[01:04:29.000 --> 01:04:31.000]  And of course, Mississippi, Georgia, even in Washington,
[01:04:31.000 --> 01:04:34.000]  we've got some very good news on the Second Amendment.
[01:04:34.000 --> 01:04:35.000]  This is a war.
[01:04:35.000 --> 01:04:37.000]  And this was just one battle.
[01:04:37.000 --> 01:04:39.000]  Now it has been won in a big way.
[01:04:39.000 --> 01:04:42.000]  And I think it's very important that we take a look at this.
[01:04:42.000 --> 01:04:45.000]  Before I say goodbye, though, I want to ask you a quick question.
[01:04:45.000 --> 01:04:48.000]  A lot of people have pointed out, I got a couple of emails and comments.
[01:04:48.000 --> 01:04:50.000]  People said, this happened on 322.
[01:04:50.000 --> 01:04:52.000]  And of course, you cover the Illuminati a lot.
[01:04:52.000 --> 01:04:58.000]  You put any significance on the fact that it happened on 322?
[01:04:58.000 --> 01:05:00.000]  I wouldn't be surprised.
[01:05:00.000 --> 01:05:03.000]  I mean, there are strange coincidences in the world,
[01:05:03.000 --> 01:05:08.000]  but it is quite an interesting coincidence if, in fact, it was.
[01:05:08.000 --> 01:05:12.000]  322, for the audience who doesn't know, is the number of skull and bones,
[01:05:12.000 --> 01:05:16.000]  which refers to Genesis chapter 3 verse 22 about Adam and Eve
[01:05:16.000 --> 01:05:20.000]  eating the fruit of the knowledge, the tree of knowledge, good and evil,
[01:05:20.000 --> 01:05:26.000]  and obeying Satan, which is the philosophy of the Illuminati and the Luciferian elite.
[01:05:26.000 --> 01:05:30.000]  And of course, they also want to say that, well, we've become like God, right?
[01:05:30.000 --> 01:05:34.000]  That's what you hear all over, not only from Lucifer, but you hear that from Kurzweil.
[01:05:34.000 --> 01:05:36.000]  Ray Kurzweil, he wants to become God.
[01:05:36.000 --> 01:05:38.000]  He says he doesn't believe in God, not yet.
[01:05:38.000 --> 01:05:41.000]  The implication is that he's going to become God.
[01:05:41.000 --> 01:05:43.000]  And that's genuinely what they believe in, of course.
[01:05:43.000 --> 01:05:46.000]  We also see world leaders who think that they're God
[01:05:46.000 --> 01:05:48.000]  or at least act like they think they're God, don't we?
[01:05:48.000 --> 01:05:50.000]  That's the secret of secrets.
[01:05:50.000 --> 01:05:52.000]  That's the royal secret of these secret societies.
[01:05:52.000 --> 01:05:56.000]  And with Ray Kurzweil, that could be one of the other reasons why my channel was shut down,
[01:05:56.000 --> 01:06:00.000]  is because I'm critical of Ray Kurzweil and the transhumanist goal
[01:06:00.000 --> 01:06:06.000]  because these same corporations want to literally implant computer chips into your brain.
[01:06:06.000 --> 01:06:09.000]  As you know, as you've been reporting this, the neural interfaces,
[01:06:09.000 --> 01:06:14.000]  the BMI's brain machine interface, this transhumanist trend, Google's engineer.
[01:06:14.000 --> 01:06:16.000]  They're coming out with that big time now.
[01:06:16.000 --> 01:06:18.000]  They've been researching this for a long time.
[01:06:18.000 --> 01:06:20.000]  We've been reporting this for a long time.
[01:06:20.000 --> 01:06:22.000]  Now they're trying to mainstream it.
[01:06:22.000 --> 01:06:25.000]  I did a report where the Wall Street Journal was talking to a philosopher
[01:06:25.000 --> 01:06:28.000]  and he's a futurist and he's talking about, oh, this is great.
[01:06:28.000 --> 01:06:30.000]  We're going to cure Alzheimer's and PTSD.
[01:06:30.000 --> 01:06:34.000]  All you need to do is have the chip implanted in your brain and we can physically control you.
[01:06:34.000 --> 01:06:36.000]  They've been doing that with psychological efforts.
[01:06:36.000 --> 01:06:38.000]  They've been doing it with chemicals and drugs.
[01:06:38.000 --> 01:06:41.000]  And of course, they've been doing it with now electronics.
[01:06:41.000 --> 01:06:45.000]  They're ready to roll this out to everybody and just take the chip
[01:06:45.000 --> 01:06:47.000]  and it's going to solve all your medical problems.
[01:06:47.000 --> 01:06:51.000]  And those who don't are, whether it's in 10 years or 30 years,
[01:06:51.000 --> 01:06:56.000]  those who don't take it, those who don't want to have the eternal life here on planet Earth
[01:06:56.000 --> 01:07:02.000]  now that the Illuminati establishment has restored the fallen state of mankind
[01:07:02.000 --> 01:07:06.000]  to our pre-Garden of Eden state, those who don't want to take this chip,
[01:07:06.000 --> 01:07:09.000]  those who don't want to take the life-enhancing technology
[01:07:09.000 --> 01:07:12.000]  are going to be seen as suicidal terrorists.
[01:07:12.000 --> 01:07:16.000]  And it's going to be incredible to see how they deal with that
[01:07:16.000 --> 01:07:19.000]  because they're going to say, wait, oh, you want to grow old and die?
[01:07:19.000 --> 01:07:20.000]  That's crazy. You're suicidal.
[01:07:20.000 --> 01:07:21.000]  You want that?
[01:07:21.000 --> 01:07:23.000]  No, we've solved the problem of death.
[01:07:23.000 --> 01:07:25.000]  Just plug this little device into your brain.
[01:07:25.000 --> 01:07:29.000]  Just go into the little Google hospital over here and get wired up.
[01:07:29.000 --> 01:07:31.000]  Everything will just be better once you do that.
[01:07:31.000 --> 01:07:33.000]  We're going to see it even before then.
[01:07:33.000 --> 01:07:34.000]  We're going to see self-driving cars.
[01:07:34.000 --> 01:07:37.000]  If you don't want to get into a self-driving car and give up your right
[01:07:37.000 --> 01:07:40.000]  to move yourself around, put yourself under their total control,
[01:07:40.000 --> 01:07:41.000]  they're going to take care of you there, too.
[01:07:41.000 --> 01:07:42.000]  Mark Dice.
[01:07:42.000 --> 01:07:43.000]  I'm glad this worked out.
[01:07:43.000 --> 01:07:45.000]  And that's markdice.com.
[01:07:45.000 --> 01:07:46.000]  Take a look at his videos.
[01:07:46.000 --> 01:07:48.000]  He's even bigger now after they tried to shut him down.
[01:07:48.000 --> 01:07:51.000]  We'll be right back with breaking news about the Second Amendment.
[01:08:18.000 --> 01:08:19.000]  This is the moment for Alex.
[01:08:19.000 --> 01:08:24.000]  Now, we've been talking to Alex and to Mark Dice about Mark Dice's YouTube
[01:08:24.000 --> 01:08:25.000]  channel being taken down.
[01:08:25.000 --> 01:08:28.000]  That was a channel with 55 million views.
[01:08:28.000 --> 01:08:30.000]  It was a big YouTube channel.
[01:08:30.000 --> 01:08:33.000]  He had over a quarter of a million subscribers, and they just took it down.
[01:08:33.000 --> 01:08:38.000]  No notice, no justification, and it was down for probably about 24 hours.
[01:08:38.000 --> 01:08:41.000]  I think it would still be down as we've seen with other people as we talked about
[01:08:41.000 --> 01:08:45.000]  with Kelly Blackwood, who had a video that was in the Paul Revere contest.
[01:08:45.000 --> 01:08:50.000]  They took his down for several months, essentially destroyed his business doing that.
[01:08:50.000 --> 01:08:55.000]  Mark, fortunately, with all the pushback from Infowars, from Alex, from all of his
[01:08:55.000 --> 01:08:57.000]  followers, that's been put back now.
[01:08:57.000 --> 01:09:00.000]  We're very happy to see that, and that's going to blow back in their faces.
[01:09:00.000 --> 01:09:03.000]  Mark Dice pointed out he's bigger than ever before.
[01:09:03.000 --> 01:09:05.000]  More people know about him than ever did before.
[01:09:05.000 --> 01:09:07.000]  And that's what we want to see happening.
[01:09:07.000 --> 01:09:09.000]  I've got news here from the Second Amendment.
[01:09:09.000 --> 01:09:10.000]  We see some big wins.
[01:09:10.000 --> 01:09:14.000]  We see people heading in the right direction, trying to tackle this and
[01:09:14.000 --> 01:09:19.000]  tackling it effectively at the state level, because there's so much corruption in
[01:09:19.000 --> 01:09:20.000]  Washington.
[01:09:20.000 --> 01:09:24.000]  Just as we see with Syspa and Pippa and Acta, we see people like Mike Rogers
[01:09:24.000 --> 01:09:27.000]  from the Republican Party and Diane Feinstein from the Democrat Party,
[01:09:27.000 --> 01:09:32.000]  totally in agreement about censorship, totally in agreement about licensing
[01:09:32.000 --> 01:09:37.000]  journalists, and then basically shutting down all individuals free speech
[01:09:37.000 --> 01:09:39.000]  other than licensed journalists.
[01:09:39.000 --> 01:09:43.000]  That's a very, very dangerous idea, but they're basically in agreement on this.
[01:09:43.000 --> 01:09:47.000]  We see Mike Rogers and Feinstein in agreement about Syspa, Acta, other ways
[01:09:47.000 --> 01:09:51.000]  to censor the Internet, exactly like we see happening with YouTube.
[01:09:51.000 --> 01:09:54.000]  It's exactly the way it's going to happen, except it's going to be with entire
[01:09:54.000 --> 01:09:58.000]  websites, with entire news websites, if that happens, and they're trying to
[01:09:58.000 --> 01:10:00.000]  fold that into the Trans-Pacific Partnership.
[01:10:00.000 --> 01:10:04.000]  We've been talking about that, but I want to go to some Second Amendment victories,
[01:10:04.000 --> 01:10:09.000]  but before we do, this is going to kind of reflect on some of the other articles
[01:10:09.000 --> 01:10:13.000]  that we've got later on in the show about pedophile rings and some news that broke
[01:10:13.000 --> 01:10:16.000]  on that this week in the U.K. and in Mexico.
[01:10:16.000 --> 01:10:19.000]  Things that we've been talking about, Alex has been talking about for a very,
[01:10:19.000 --> 01:10:20.000]  very long time.
[01:10:20.000 --> 01:10:24.000]  I did a special report on that on Friday's news, and it was very disturbing
[01:10:24.000 --> 01:10:29.000]  to see all the people recounting their experiences with Child Protective Services,
