[00:00:00.869 --> 00:00:06.991]  I am really honored to have Michael Bagnerik in studio with us for several reasons.
[00:47:48.049 --> 00:47:51.492]  Remember the pitchfork murderer in Central California?
[00:47:51.492 --> 00:47:58.137]  He was the next-door neighbor, but he went crazy in a middle-class neighborhood, and the 14-year-old girl was a championship shooter.
[00:47:58.137 --> 00:47:58.758]  Yes.
[00:47:58.758 --> 00:48:00.219]  I mean, she was getting ready for the Olympics.
[00:48:00.219 --> 00:48:01.980]  I mean, they were grooming her for that.
[00:48:01.980 --> 00:48:04.222]  I mean, she was, you know, 100 yards, bullseye every time.
[00:48:05.002 --> 00:48:13.328]  And he ran around for like 30 minutes with a blunt, wasn't even a sharp pitchfork, stabbing the toddler and stabbing the five-year-old.
[00:48:13.328 --> 00:48:17.811]  She tried to get into the safe, but under the law, she wasn't allowed to have the safe number.
[00:48:17.811 --> 00:48:22.554]  Under the law, it had to be locked up, and it was in a big safe, and she didn't know the code.
[00:48:22.554 --> 00:48:25.596]  And, you know, with an instant access pistol safe, I can get in there in three seconds.
[00:48:25.596 --> 00:48:30.579]  Well, she couldn't get in, and she had to leave, and I think he killed her three siblings.
[00:48:30.579 --> 00:48:33.982]  She went next door to a neighbor, I believe, and got help from the neighbor.
[00:48:33.982 --> 00:48:34.222]  Yes.
[00:48:34.922 --> 00:48:41.325]  But again, the government tries to pass laws that are, you know, one size fits all.
[00:48:41.325 --> 00:48:45.747]  And as individuals, we all know that, you know, we don't all fit the same mold.
[00:48:46.607 --> 00:48:49.187]  Well, you've got to really be domesticated to be afraid of guns.
[00:48:49.187 --> 00:48:53.688]  I mean, that was the norm in this country, and now people are scared to death of them.
[00:48:53.688 --> 00:49:03.270]  Well, our country, the United States, started in 1775 when the King's police officers came to confiscate our guns at Lexington and Concord.
[00:49:03.270 --> 00:49:07.871]  And Texas' revolution started in Gonzales over gun confiscation.
[00:49:07.871 --> 00:49:08.391]  Absolutely.
[00:49:08.391 --> 00:49:13.892]  The Mexican army tried to take our cannon, and we wrote up a quick flag that said, come and take it.
[00:49:14.512 --> 00:49:16.973]  And we kicked their behind.
[00:49:16.973 --> 00:49:17.994]  So, we'll be right back.
[00:49:17.994 --> 00:49:18.474]  We've got a break.
[00:49:18.474 --> 00:49:20.275]  We're starting the third hour.
[00:49:20.275 --> 00:49:24.517]  If you would like a copy of this show, come to GCNlive.com and reserve it today.
[00:49:24.517 --> 00:49:25.378]  Or call toll-free 877-300-7645.
[00:49:32.077 --> 00:49:33.458]  The War on Terrorism.
[00:49:33.458 --> 00:49:36.499]  Will it be fought overseas or will it affect us here at home?
[00:49:36.499 --> 00:49:41.080]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:49:41.080 --> 00:49:42.220]  So what do you do?
[00:49:42.220 --> 00:49:46.802]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:49:47.282 --> 00:49:49.905]  With a little know-how, it's not that difficult.
[00:49:49.905 --> 00:49:51.187]  Sheltering in place.
[00:49:51.187 --> 00:49:55.231]  Surviving acts of terrorism from biological, chemical, and radioactive fallout.
[00:49:55.231 --> 00:50:01.879]  Developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases,
[00:50:02.179 --> 00:50:12.048]  and has worked as a nuclear specialist for the US government, gives you easy to follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:50:12.048 --> 00:50:16.892]  Get this critical video every American needs for only $29 plus shipping.
[00:50:16.892 --> 00:50:18.694]  Order by calling New Millennium today at 888-803-4438.
[00:50:18.694 --> 00:50:18.994]  That's 888-803-4438.
[00:50:18.994 --> 00:50:20.475]  Or order on the web at Berkeywater.com.
[00:50:32.933 --> 00:50:35.335]  Waging war on corruption.
[00:50:35.335 --> 00:50:44.681]  Alex Jones on the GCN Radio Network.
[00:50:44.681 --> 00:50:46.001]  Big Brother.
[00:50:46.001 --> 00:50:47.762]  Mainstream media.
[00:50:47.762 --> 00:50:48.923]  Government cover-ups.
[00:50:48.923 --> 00:50:51.085]  You want answers?
[00:50:51.085 --> 00:50:52.666]  Well, so does he.
[00:50:52.666 --> 00:50:56.828]  He's Alex Jones on the GCN Radio Network.
[00:50:56.828 --> 00:51:00.891]  And now, live from Austin, Texas, Alex Jones.
[00:51:04.361 --> 00:51:05.502]  We're good to go.
[00:51:23.300 --> 00:51:24.762]  Well, hello ladies and gentlemen.
[00:51:24.762 --> 00:51:29.207]  We're back live now in the third and final hour, and in a few minutes we're going to go to your phone calls.
[00:51:29.207 --> 00:51:36.215]  We're talking to a man who's running against the installed Republican, Michael McCaul, who's Republican in name only.
[00:51:36.215 --> 00:51:37.517]  I think they call those rhinos.
[00:51:37.517 --> 00:51:41.702]  He was Janet Reno's confidant, her attack dog, her minion who protected her on Chinagate.
[00:51:42.282 --> 00:51:46.723]  Waco, and just so many other horrible things.
[00:51:46.723 --> 00:51:58.466]  And Constitutional Scholar Michael Bagnerik is running against him in place 10 to be another Ron Paul for us, hailing from the great state of Texas.
[00:51:58.466 --> 00:52:02.928]  So he is here with us in studio now for another 20 minutes or so.
[00:52:02.928 --> 00:52:11.430]  I want to go to these calls, but Michael, any other points or issues you want to cover on the Constitution, the Bill of Rights, and where America's going right now?
[00:52:13.663 --> 00:52:17.047]  I think that people need to read the Constitution and understand it.
[00:52:17.047 --> 00:52:19.309]  I've written a book to make that all easier.
[00:52:19.309 --> 00:52:21.932]  The name of the book is Good to be King.
[00:52:21.932 --> 00:52:24.815]  You can get that at Amazon.com and other bookstores.
[00:52:24.815 --> 00:52:27.258]  It lays out things in very simple terms.
[00:52:27.258 --> 00:52:28.499]  To show how I'm out of the loop.
[00:52:28.499 --> 00:52:29.060]  I want that.
[00:52:29.060 --> 00:52:30.561]  Can I get a big discount and carry it?
[00:52:30.561 --> 00:52:31.342]  Absolutely.
[00:52:31.342 --> 00:52:32.964]  I mean, I've got a video on Bookstore right here.
[00:52:32.964 --> 00:52:34.165]  Absolutely.
[00:52:34.165 --> 00:52:34.746]  Give me a copy.
[00:52:34.746 --> 00:52:35.487]  I'm sure it's excellent.
[00:52:36.728 --> 00:52:38.829]  Tell us about Good to Be King.
[00:52:38.829 --> 00:52:40.690]  It starts out with just the basic premise.
[00:52:40.690 --> 00:52:41.911]  It starts out with Mel Brooks?
[00:52:41.911 --> 00:52:43.051]  No, no, no, no.
[00:52:43.051 --> 00:52:46.333]  I did not, I've never seen, well I did see the Mel Brooks movie.
[00:52:46.333 --> 00:52:47.774]  I'm being sarcastic, I'm joking.
[00:52:47.774 --> 00:52:49.434]  Go ahead, go ahead.
[00:52:49.434 --> 00:52:52.416]  The idea is, why do we need any government at all?
[00:52:55.518 --> 00:53:02.241]  Did the Founding Fathers get together and say, you know, the birds are singing, the crops are good, and everything is... It was a limited government just to protect our property.
[00:53:02.241 --> 00:53:03.262]  Absolutely.
[00:53:03.262 --> 00:53:04.562]  So... From other governments.
[00:53:04.562 --> 00:53:08.184]  We go through what, why this form of government?
[00:53:08.184 --> 00:53:12.706]  Why not communism or socialism or some other version?
[00:53:12.706 --> 00:53:14.547]  Why a constitutional republic?
[00:53:15.027 --> 00:53:16.288]  Well, it's real simple.
[00:53:16.288 --> 00:53:19.091]  Bush gets up and says, I'm commander in chief so I can rob banks.
[00:53:31.343 --> 00:53:31.583]  I think?
[00:53:50.249 --> 00:53:52.211]  But then you go look at it, what, Article 2?
[00:53:52.211 --> 00:53:53.812]  Is it Section 2 of Article 2?
[00:53:53.812 --> 00:53:56.955]  Where it says the Commander-in-Chief has to follow the Constitution.
[00:53:56.955 --> 00:53:58.656]  It's not domestically.
[00:53:58.656 --> 00:54:01.598]  He can't violate any of the Bill of Rights.
[00:54:01.598 --> 00:54:05.882]  It's so limited, but the average person doesn't know what Article 2, Section 2 is.
[00:54:05.882 --> 00:54:19.152]  Well, when the President or anybody else, any other government agent, takes an oath to protect and defend the Constitution, they don't go to the National Archive, you know, once a month and stand in front of the document and make sure nobody gets a smudge mark on it.
[00:54:20.266 --> 00:54:22.987]  What they are defending is not the physical piece of paper.
[00:54:22.987 --> 00:54:25.688]  They are defending the ideals.
[00:54:25.688 --> 00:54:26.769]  Your private property.
[00:54:26.769 --> 00:54:30.070]  That's the purpose of taking that oath of office.
[00:54:30.070 --> 00:54:31.150]  Oh, you're absolutely right.
[00:54:31.150 --> 00:54:32.051]  I mean, that's what it is.
[00:54:32.051 --> 00:54:32.331]  Period.
[00:54:32.995 --> 00:54:38.957]  So, and as soon as more and more of our friends and fellow Americans wake up to that fact, I do.
[00:54:38.957 --> 00:54:40.337]  I am very optimistic.
[00:54:40.337 --> 00:54:42.678]  I see things changing.
[00:54:42.678 --> 00:54:45.899]  People are starting to understand.
[00:54:45.899 --> 00:54:50.620]  And we're going to work very, very hard to win this election in District 10.
[00:54:50.620 --> 00:54:52.260]  Well, you know, I've been a pessimist.
[00:54:52.260 --> 00:54:53.601]  I've been doing this now for 12 years.
[00:54:53.601 --> 00:54:57.182]  I've been a pessimist in the past, the last four or five years, and now even more and more.
[00:54:58.144 --> 00:55:02.888]  I am really, it's always dark as before the dawn, for every action there's an equal or greater reaction.
[00:55:02.888 --> 00:55:05.310]  All those clichés play in here.
[00:55:05.310 --> 00:55:12.696]  I mean, literally my message, because it's genuine, it's backed up with fact, everything we cover every day is on the website.
[00:55:12.696 --> 00:55:16.118]  But still, I'm not even the best at delivering a message.
[00:55:16.118 --> 00:55:24.325]  I've likened it to selling a life wrap to somebody who's in freezing waters, or my usual analogy is snow cones in hell.
[00:55:24.325 --> 00:55:26.366]  I mean, people really are starting to get it.
[00:55:26.366 --> 00:55:26.867]  Yes, they are.
[00:55:27.507 --> 00:55:29.849]  And I'm very hopeful for that.
[00:55:29.849 --> 00:55:33.553]  I want to get your prediction of when we're going to really overturn this corrupt system.
[00:55:33.553 --> 00:55:35.254]  Or will it be more of a gradual thing?
[00:55:35.254 --> 00:55:36.895]  And we'll take your calls, I promise.
[00:55:36.895 --> 00:55:39.037]  On the other side, stay with us right here on GCN.
[00:55:41.460 --> 00:55:44.584]  There is a secret that holds the world's destiny in its grasp.
[00:55:44.584 --> 00:55:46.486]  Hello my friends, Alex Jones here.
[00:55:46.486 --> 00:55:51.492]  Learn that secret with my new film, Martial Law 9-11 Rise of the Police State.
[00:55:51.492 --> 00:55:56.378]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:55:56.378 --> 00:56:00.523]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:56:00.743 --> 00:56:03.684]  The Constitution has been shredded, and America is now a police state.
[00:56:03.684 --> 00:56:08.545]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:56:08.545 --> 00:56:13.186]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:56:13.186 --> 00:56:20.648]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:56:20.648 --> 00:56:23.249]  Discover the documented truth for yourself before it's too late.
[00:56:23.249 --> 00:56:25.069]  Call toll-free to get a copy of Martial Law.
[00:56:25.069 --> 00:56:25.129]  1-888-253-3139.
[00:56:28.370 --> 00:56:31.212]  Or visit InfoWars.com and the secure shopping cart.
[00:56:31.212 --> 00:56:31.952]  That's InfoWars.com or 888-253-3139.
[00:56:31.952 --> 00:56:33.993]  Or watch the film right now online at PrisonPlanet.tv.
[00:56:41.815 --> 00:56:46.679]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:56:46.679 --> 00:56:51.043]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:56:51.043 --> 00:56:51.904]  We listened.
[00:56:51.904 --> 00:56:57.169]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:56:57.169 --> 00:56:58.050]  We listened.
[00:56:58.050 --> 00:57:01.493]  You asked us to develop a filter that was made in the USA.
[00:57:01.493 --> 00:57:02.514]  We listened.
[00:57:02.514 --> 00:57:05.236]  You asked us to include an emergency light for camping and
[00:57:05.316 --> 00:57:05.696]  I think so.
[00:57:32.387 --> 00:57:33.408]  That's toll free 888-803-4438.
[00:57:33.408 --> 00:57:34.809]  Not yet available in Iowa.
[00:57:40.973 --> 00:57:47.555]  Why continue to suffer from pain, illness, and disease when natural health and wellness therapies are within your reach?
[00:57:47.555 --> 00:57:52.897]  Hundreds of people report improved health and wellness using the Rife Frequency Technology.
[00:57:52.897 --> 00:58:00.940]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[00:58:00.940 --> 00:58:07.983]  The BioSolutions Frequency Instrument uses this same technology for relief or elimination of pain and disease conditions.
[00:58:08.203 --> 00:58:09.565]  There are no side effects.
[00:58:09.565 --> 00:58:13.009]  Join others in discovering a return to natural health and wellness.
[00:58:13.009 --> 00:58:14.431]  Don't just treat symptoms.
[00:58:14.431 --> 00:58:15.913]  Eliminate the cause.
[00:58:15.913 --> 00:58:22.862]  BioSolutions has over 550 pre-programmed auto-sequences for various health conditions and is very easy to use.
[00:58:22.862 --> 00:58:25.265]  Customer satisfaction is guaranteed or your money back.
[00:58:25.465 --> 00:58:28.426]  For more information, call Alternative Technologies toll-free, 866-885-6625.
[00:58:28.426 --> 00:58:28.486]  866-885-6625.
[00:58:28.486 --> 00:58:29.466]  One more time, that's 866-885-6625.
[00:58:29.466 --> 00:58:32.867]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:58:49.182 --> 00:59:03.142]  Michael Bagnerik, he was a presidential candidate for the Libertarians, one of their more fiery elections in 2004, was basically kidnapped in one of the debates, just for even being near the sacred building trying to get in.
[00:59:04.208 --> 00:59:07.710]  And they are the only real big third party in this country.
[00:59:07.710 --> 00:59:14.274]  How many elected public servants who are Libertarians are in high office right now?
[00:59:14.274 --> 00:59:17.816]  Well, we have 650, I think, nationwide.
[00:59:17.816 --> 00:59:20.338]  I'm very excited about the 2006 election.
[00:59:20.338 --> 00:59:27.522]  It's an unofficial number, but I think we're going to have about 187 Libertarian candidates on the ballot in Texas.
[00:59:28.172 --> 00:59:29.273]  And it just keeps growing.
[00:59:29.273 --> 00:59:31.755]  I mean, you guys are... it's almost exponential.
[00:59:31.755 --> 00:59:32.496]  Yes, it is.
[00:59:32.496 --> 00:59:34.698]  And I'm very excited about that.
[00:59:34.698 --> 00:59:35.919]  Well, I'm excited about it, too.
[00:59:35.919 --> 00:59:37.460]  And, you know, libertarians are a diverse crowd.
[00:59:37.460 --> 00:59:42.025]  They run the gamut from what you could call liberal libertarians to very conservative libertarians.
[00:59:42.025 --> 00:59:43.126]  What would you call a Ron Paul?
[00:59:43.126 --> 00:59:45.468]  I'd call him kind of a conservative libertarian.
[00:59:46.825 --> 00:59:48.186]  I just call him a libertarian.
[00:59:48.186 --> 00:59:55.689]  I mean, he ran as a Republican, but he is a strict constitutional libertarian.
[00:59:55.689 --> 01:00:01.031]  He votes no on any legislation which violates the Constitution.
[01:00:01.031 --> 01:00:05.273]  And his nickname in Congress, as your listeners probably know, is Dr. No.
[01:00:07.314 --> 01:00:18.649]  I believe there are over 200 bills where 434 people voted in favor of it and one person, Ron Paul, voted against it.
[01:00:18.649 --> 01:00:21.793]  No, he really does do that because we don't need more laws.
[01:00:21.793 --> 01:00:23.476]  How many millions of laws are there?
[01:00:24.957 --> 01:00:30.099]  I mean, I could see 200 years ago saying ignorance of the law is no excuse because there was only a couple hundred laws.
[01:00:30.099 --> 01:00:31.480]  And it was pretty common sense stuff.
[01:00:31.480 --> 01:00:33.821]  Don't steal, don't rape, don't embezzle.
[01:00:33.821 --> 01:00:37.583]  Now, no one can follow all the laws.
[01:00:37.583 --> 01:00:40.164]  Quite frankly, when I ran, just for a few weeks for Congress,
[01:00:41.056 --> 01:00:44.499]  I don't know that it's impossible, but it is definitely difficult.
[01:00:44.499 --> 01:00:46.922]  And we have somebody on our campaign whose job it is to just read and understand the FEC rules.
[01:01:04.213 --> 01:01:08.717]  So, you know, we have one person dedicated to keeping us out of trouble.
[01:01:08.717 --> 01:01:13.120]  And up on InfoWars.com is a link to the website, and he needs national support for this.
[01:01:13.120 --> 01:01:18.704]  Another congressman like Ron Paul, and McNair has got a good record, folks, so I think you should support him.
[01:01:18.704 --> 01:01:21.687]  Jason in Maryland, you're on the air with Michael McNair.
[01:01:21.687 --> 01:01:21.967]  Go ahead.
[01:01:22.785 --> 01:01:25.787]  Hello Alex, thanks and hello Michael.
[01:01:25.787 --> 01:01:36.194]  I was wondering if you could speak about the more serious charges, if you are aware of them, I'm sure you are, against this administration.
[01:01:36.194 --> 01:01:42.518]  Specifically the charges of taking the country to war under false pretense and fabricated intel.
[01:01:43.238 --> 01:01:48.842]  Yeah, it's part of the record that they fabricated the intelligence, that they premeditatedly lie, they've been caught red-handed.
[01:01:48.842 --> 01:01:50.003]  What's your take on that?
[01:01:50.003 --> 01:01:53.345]  But we haven't had a declared war since World War II.
[01:01:53.345 --> 01:01:56.367]  And there's a reason, because they've got to follow rules when they do that.
[01:01:56.367 --> 01:01:57.007]  That's right.
[01:01:57.007 --> 01:02:02.791]  So, Korea, Vietnam, all these aggressions are outside the Constitution.
[01:02:02.791 --> 01:02:04.412]  They're police actions.
[01:02:04.412 --> 01:02:06.254]  We just watched the Rose Bowl last night.
[01:02:06.254 --> 01:02:12.778]  What do you think would have happened if the referee had given somebody a touchdown when their feet were outside, you know, the boundaries?
[01:02:13.098 --> 01:02:14.939]  I mean, there would have been a national riot.
[01:02:14.939 --> 01:02:19.821]  There would have been a riot, because if you're going to play football, you gotta play by the rules.
[01:02:19.821 --> 01:02:24.983]  Well, if you're gonna play international country, you have rules to live by, and that's called the U.S.
[01:02:24.983 --> 01:02:25.503]  Constitution.
[01:02:25.503 --> 01:02:28.685]  And the minute, I mean, if some banana republic doesn't follow a rule, that's one thing.
[01:02:28.685 --> 01:02:35.087]  The whole world is saying, we can preemptively attack people, we can torture, we can break the law, we can spy on people.
[01:02:35.087 --> 01:02:40.790]  Instead of being a beacon of light now, China's going, hey, we're gonna have more Tiananmen Squares than they just did a month ago, because you're having them.
[01:02:41.210 --> 01:02:41.850]  Yeah.
[01:02:41.850 --> 01:02:49.112]  So, you know, what I want is I want our representatives in Washington to follow and understand the Constitution.
[01:02:49.112 --> 01:02:51.592]  Well, I understand all of that.
[01:02:51.592 --> 01:02:54.533]  Would you move for Lord Bush's impeachment if you were in Congress?
[01:02:54.533 --> 01:02:55.313]  Hello?
[01:02:55.313 --> 01:02:56.473]  Yes, Jason, we hear you.
[01:02:56.473 --> 01:03:06.135]  Yes, all of this is well said, but I'm speaking specifically about the charges filed by a prosecutor in Chicago about
[01:03:06.895 --> 01:03:11.126]  You know, the foreknowledge and fabricated intel and the...
[01:03:13.563 --> 01:03:16.745]  The whole 9-11, everything Alex... Sir, that's not true.
[01:03:16.745 --> 01:03:21.048]  That's disinfo that there's been all these indictments filed against Bush and people for that.
[01:03:21.048 --> 01:03:21.889]  It's not true.
[01:03:21.889 --> 01:03:23.430]  It's definitely not true.
[01:03:23.430 --> 01:03:24.631]  Yes, it's not true.
[01:03:24.631 --> 01:03:25.231]  Oh, okay.
[01:03:25.231 --> 01:03:26.012]  Thank you.
[01:03:26.012 --> 01:03:26.632]  You bet.
[01:03:26.632 --> 01:03:27.693]  I appreciate the call.
[01:03:27.693 --> 01:03:38.360]  I mean, I just... You know, we watch that, we watch those people make those claims, and now I'm just sure... I was sure of it at the time when we set it, but I mean, it's just... No, Scooter Libby's been indicted.
[01:03:38.360 --> 01:03:40.962]  Scooter Libby has been indicted.
[01:03:40.962 --> 01:03:42.243]  No one else has been indicted.
[01:03:43.524 --> 01:03:46.830]  Well, other than like Abramoff, but that's a separate situation.
[01:03:46.830 --> 01:03:48.554]  He's pled guilty to conspiracy.
[01:03:48.554 --> 01:03:49.976]  Government's doing things wrong, Michael?
[01:03:54.025 --> 01:03:55.326]  I have to laugh.
[01:03:55.326 --> 01:04:00.910]  I mean, the whole idea of, you know, the government telling the truth is kind of a surprise anymore.
[01:04:00.910 --> 01:04:07.074]  Yeah, well, it gets attention when congressmen or women get up there and, you know, call for impeachment or call for people to get in trouble.
[01:04:07.074 --> 01:04:09.736]  I mean, what should our Iraq exit strategy be?
[01:04:09.736 --> 01:04:12.278]  What would your Iraq policy be?
[01:04:12.278 --> 01:04:17.021]  I would try to bring our soldiers home as safely and quickly as possible.
[01:04:17.021 --> 01:04:19.103]  We really shouldn't have been there in the first place.
[01:04:20.076 --> 01:04:25.639]  The longer we stay there, the higher our terrorism threat goes up.
[01:04:25.639 --> 01:04:31.723]  I would not make a plan to pull them out in one day, because that's physically impossible.
[01:04:31.723 --> 01:04:37.986]  If I were president, I would give my military commanders the instructions to... A controlled exit!
[01:04:37.986 --> 01:04:39.607]  We could be totally out of there in two months!
[01:04:39.927 --> 01:04:41.348]  You know, and let's do it.
[01:04:41.348 --> 01:04:46.310]  You know, we've got to get out, we've got to stop tampering with the Middle East.
[01:04:46.310 --> 01:04:49.512]  Well, let's face it, they're building six giant permanent bases.
[01:04:50.234 --> 01:04:52.736]  The size of small cities, and then nobody's leaving.
[01:04:52.736 --> 01:04:53.977]  We'll be there in 50 years.
[01:04:53.977 --> 01:04:54.157]  Right.
[01:04:54.157 --> 01:04:56.378]  I mean, Cheney said 20 years.
[01:04:56.378 --> 01:05:01.962]  Well, World War II has been over with for over 50 years, and we don't have an exit strategy for Germany or Japan.
[01:05:01.962 --> 01:05:03.463]  Notice how they keep lying, too.
[01:05:03.463 --> 01:05:06.244]  They just keep going, well, it'll be another year, it'll be another year.
[01:05:06.244 --> 01:05:08.226]  They told the troops, you'll be home by Christmas.
[01:05:08.226 --> 01:05:09.667]  The road to home is Baghdad.
[01:05:09.667 --> 01:05:12.729]  By the way, in World War II, they'd only make you do one tour 11 months.
[01:05:12.729 --> 01:05:14.090]  Vietnam, 11 months.
[01:05:14.090 --> 01:05:15.030]  They knew you'd break down.
[01:05:15.030 --> 01:05:15.971]  Napoleon knew that.
[01:05:17.171 --> 01:05:18.812]  Hitler knew that, and that's why he finally failed.
[01:05:18.812 --> 01:05:21.032]  He tried to make his soldiers do three tours.
[01:05:21.032 --> 01:05:26.614]  They're now starting their fourth tour, because some were there a year before the invasion, and that's very stressful.
[01:05:26.614 --> 01:05:35.717]  But we've got three tours coming up, three 11s, almost three years coming up here very soon, and now there's debate.
[01:05:35.717 --> 01:05:38.938]  Well, the soldiers are wimps having post-traumatic stress disorder.
[01:05:39.618 --> 01:05:43.982]  I mean, this is serious low-intensity conflict, raiding houses every day.
[01:05:43.982 --> 01:05:48.006]  I mean, imagine if the SWAT team had to do ten raids a day for three years.
[01:05:48.006 --> 01:05:52.890]  I mean, the SWAT teams can't do two raids a week without having post-traumatic stress.
[01:05:52.890 --> 01:05:55.973]  No one has ever flushed our troops down the toilet like this.
[01:05:55.973 --> 01:06:03.280]  I feel so strongly for our troops, and we need to bring them home so they can be with their families for the holidays and stuff.
[01:06:03.280 --> 01:06:03.960]  I agree.
[01:06:03.960 --> 01:06:04.901]  Stewart in Texas.
[01:06:04.901 --> 01:06:05.542]  Stewart, go ahead.
[01:06:06.022 --> 01:06:06.262]  Great.
[01:06:06.262 --> 01:06:08.863]  Three quick comments and I'll hang up.
[01:06:08.863 --> 01:06:12.145]  Michael, you mentioned ending the IRS, but that's not the answer.
[01:06:12.145 --> 01:06:15.647]  They're just going to bring in something more controlling and worse.
[01:06:15.647 --> 01:06:18.168]  Yeah, a dual sales tax along with it will be just as bad.
[01:06:18.168 --> 01:06:18.548]  Right.
[01:06:18.548 --> 01:06:19.208]  I agree.
[01:06:19.208 --> 01:06:23.210]  It was just an example of what you could do with the money if the government wasn't taking it.
[01:06:23.210 --> 01:06:24.030]  Okay.
[01:06:24.030 --> 01:06:31.734]  And the McCall family, I've met these individuals and, well, their family owns the voting machines.
[01:06:31.734 --> 01:06:33.955]  And as a frustrated libertarian,
[01:06:35.133 --> 01:06:39.475]  Uh, I don't know if you need to get together with the Democrats that are running and kind of point that out.
[01:06:39.475 --> 01:06:41.957]  Yeah, they're part of it, see, they want to keep all that quiet.
[01:06:41.957 --> 01:06:47.239]  Okay, last thing is... Because in some areas they control those, those little special machines.
[01:06:47.239 --> 01:06:48.560]  Right, yeah, I guess that's true.
[01:06:48.560 --> 01:06:50.401]  By the way, folks, that's really true.
[01:06:50.401 --> 01:06:51.922]  His family really does own the machines.
[01:06:52.623 --> 01:06:58.006]  Okay, and I've taken your Constitution class, I've got your book, it's great, I recommend it for everybody listening, it's just terrific stuff.
[01:06:58.006 --> 01:06:58.406]  My frustration
[01:07:15.775 --> 01:07:19.518]  With the Libertarians, they won't speak out on the Oklahoma City bombing.
[01:07:19.518 --> 01:07:25.202]  They won't speak out on the 9-11 cover-up and the inside job going on there.
[01:07:25.202 --> 01:07:36.390]  We keep just running around the same stuff and it's all good, but we're not... Americans are shallow people for the most part when it comes to the Constitution.
[01:07:36.390 --> 01:07:38.211]  Are you going to speak out on 9-11 in Oklahoma?
[01:07:38.211 --> 01:07:38.711]  Well, yeah.
[01:07:38.711 --> 01:07:40.733]  I think I'll put it this way, and thanks for the call, Stuart.
[01:07:40.733 --> 01:07:41.393]  I'll put it this way.
[01:07:41.393 --> 01:07:44.075]  We had the CIA commander
[01:07:45.018 --> 01:07:45.679]  I don't think so.
[01:08:04.322 --> 01:08:07.204]  I mean, people may have known 30 years ago, but now it's public.
[01:08:07.204 --> 01:08:08.225]  All of that's out there.
[01:08:08.225 --> 01:08:11.127]  Will you ever discuss those issues or talk about those issues?
[01:08:11.127 --> 01:08:16.151]  Because Ray McGovern will come on, Chief CIA Advisor to Ronald Reagan, and say it.
[01:08:16.151 --> 01:08:20.595]  The former CIA head will come out and say stuff like this now.
[01:08:20.595 --> 01:08:22.176]  NSA people are going public.
[01:08:22.176 --> 01:08:23.417]  So many prominent people.
[01:08:24.397 --> 01:08:30.020]  Paul Craig Roberts, who was number two at Treasury, the chief economist for Bush.
[01:08:30.020 --> 01:08:36.862]  This current Bush, in his last administration, has been on Morgan Reynolds and talked about 9-11 clearly being an inside job.
[01:08:36.862 --> 01:08:43.665]  I mean, obviously, you talk about that here on air, they can use that against you on TV, but any signal to the people out there?
[01:08:43.665 --> 01:08:44.705]  Anything?
[01:08:44.705 --> 01:08:51.228]  I'm going to be going and talking with the people, shaking hands with them and letting them know that when I give you an answer, it is not political rhetoric.
[01:08:51.864 --> 01:08:53.785]  I want to go to Washington, D.C.
[01:08:53.785 --> 01:08:58.086]  and represent not only the people in District 10, but the people in the United States.
[01:08:58.086 --> 01:09:01.607]  Let's say the Defense Department sets off a nuke tomorrow and starts arresting everybody.
[01:09:01.607 --> 01:09:04.248]  Do you realize how close we are, Michael?
[01:09:04.248 --> 01:09:05.509]  This is not a joke.
[01:09:05.509 --> 01:09:09.530]  I do understand that things are critical, but I'm also very optimistic.
[01:09:09.530 --> 01:09:14.012]  People are understanding that the government is not following the Constitution.
[01:09:14.012 --> 01:09:17.013]  They are abusing their authority.
[01:09:17.013 --> 01:09:21.194]  So you're saying they've lost so much trust now that you think they're losing even more control?
[01:09:22.390 --> 01:09:35.679]  I think that the people, specifically, you know, across the United States, but hopefully in District 10, have lost confidence in the government, and that they are at the point where they are willing to vote for someone other than a Democrat or a Republican.
[01:09:35.679 --> 01:09:40.702]  I don't think that they're going to feel like they are wasting their vote when they cast a ballot for me.
[01:09:40.702 --> 01:09:46.406]  But the question is, let's say you go to a meeting here in Austin, and I know half the people bring up 9-11 inside job to you.
[01:09:46.406 --> 01:09:51.729]  If people bring that up, are you going to say, my constituents are concerned about the cover-up of 9-11 and want a real investigation?
