[00:00:13.078 --> 00:00:13.218]  Food.
[01:48:21.249 --> 01:48:23.753]  Because again, nine times out of ten, these are good guys, but they've
[01:48:24.233 --> 01:48:27.175]  They've got producers of people that are good folks but still don't get it all.
[01:48:27.175 --> 01:48:28.676]  We are in the game all the time.
[01:48:28.676 --> 01:48:29.277]  This is all we do.
[01:48:29.277 --> 01:48:30.117]  It's all Owen does.
[01:48:30.117 --> 01:48:31.018]  It's all Tim does.
[01:48:31.018 --> 01:48:31.558]  It's all I do.
[01:48:31.558 --> 01:48:32.439]  It's all you as listeners do.
[01:48:32.439 --> 01:48:33.720]  It's all our producers do.
[01:48:33.720 --> 01:48:40.064]  And we're here seeing the police department say they are releasing COVID positive people that are not asymptomatic that are sick.
[01:48:40.064 --> 01:48:42.846]  And these people are begging for help from the police.
[01:48:42.846 --> 01:48:45.848]  And again, we don't even have the crew to send somebody down to the border.
[01:48:45.848 --> 01:48:48.850]  I know we've been working with some other reporters trying to quietly finance them.
[01:48:49.753 --> 01:48:54.515]  So we need to probably get some of the crew together and send that female reporter down to the border.
[01:48:54.515 --> 01:48:56.515]  And, you know, we're trying to hire more people right now.
[01:48:56.515 --> 01:49:00.817]  And let me get to that right now before we run out of time here.
[01:49:00.817 --> 01:49:02.657]  I'm selling my house, which is fine.
[01:49:02.657 --> 01:49:05.679]  I bought an expensive, fancy house.
[01:49:05.679 --> 01:49:07.359]  I don't like big, expensive, fancy houses.
[01:49:07.359 --> 01:49:11.400]  So I didn't trust banks a few years ago and I wanted to have a little bit of backup money to fund InfoWars.
[01:49:11.400 --> 01:49:15.622]  And just like the widows might, if you don't know that story in the Bible, where they're about to starve to death, but they
[01:49:17.245 --> 01:49:17.726]  We're good to go.
[01:49:39.398 --> 01:49:45.523]  And that would give us money to actually operate like we are and with our shortfalls for another six months or so.
[01:49:45.523 --> 01:49:49.667]  And I decided just to hire more reporters, which we're in the process of doing.
[01:49:49.667 --> 01:49:52.269]  But infiltration is easy, so we've got to watch that.
[01:49:52.269 --> 01:49:54.351]  But we've got a lot of stuff behind the scenes going on.
[01:49:54.351 --> 01:49:56.694]  A lot of folks were funding and things we're doing.
[01:49:56.694 --> 01:50:02.699]  And I just decided I don't want to sit back later when we lose this country and the world and think, oh, but I've got a nice fancy house.
[01:50:02.699 --> 01:50:04.601]  I did that because I knew the Austin market was ridiculous.
[01:50:05.061 --> 01:50:05.362]  I think so.
[01:50:25.015 --> 01:50:25.616]  It's a great question.
[01:50:47.012 --> 01:50:47.292]  I think so.
[01:51:09.406 --> 01:51:15.147]  And just in the last month, that has taken us out of the shortfall to be able to be where we need to be.
[01:51:15.147 --> 01:51:16.688]  And so it's a blessing from God.
[01:51:16.688 --> 01:51:17.708]  MyPillow.com.
[01:51:17.708 --> 01:51:19.729]  You're a blessing from God taking action.
[01:51:19.729 --> 01:51:21.309]  InfoWarsTore.com.
[01:51:21.309 --> 01:51:27.170]  And I've told you, if we get enough money, I'm trying to set a permanent bureau in South Texas.
[01:51:27.170 --> 01:51:28.551]  They're going to have to move around.
[01:51:28.551 --> 01:51:32.752]  It's very dangerous down there, but they're going to be in like those 20 towns traveling every week to a new town.
[01:51:32.752 --> 01:51:37.073]  But I've got to have at least two security people, got to have a camera person and a reporter.
[01:51:37.073 --> 01:51:38.233]  That's five people.
[01:51:38.849 --> 01:51:45.472]  That's five, six people to have that done and have a reporter willing to go live at a very dangerous place.
[01:51:45.472 --> 01:51:46.712]  We have people ready.
[01:51:46.712 --> 01:51:48.073]  We don't have the money.
[01:51:48.073 --> 01:51:57.797]  If you keep buying products at MyPillow.com, promo code Alex, literally, we'll be able to say our border watch program is sponsored by MyPillow.com.
[01:51:57.797 --> 01:51:59.917]  So, again, thank you, God, for coming through.
[01:51:59.917 --> 01:52:01.238]  Thank you, listeners, for coming through.
[01:52:01.238 --> 01:52:03.719]  And thank you, of course,
[01:52:04.865 --> 01:52:09.667]  The founder and owner of MyPillow, Mike Lindell.
[01:52:09.667 --> 01:52:11.268]  The liberal media have made fun of us.
[01:52:11.268 --> 01:52:11.888]  They've attacked us.
[01:52:11.888 --> 01:52:12.949]  They've made jokes.
[01:52:12.949 --> 01:52:17.391]  Oh, it's dirty when I sell vitamin D3 or vitamin C. Oh, it's dirty when I sell high-quality iodine.
[01:52:17.391 --> 01:52:18.852]  It's dirty when I sell a t-shirt.
[01:52:18.852 --> 01:52:20.312]  It's dirty when I sell a water filter.
[01:52:20.312 --> 01:52:21.193]  Oh, those are bad.
[01:52:21.193 --> 01:52:22.594]  Oh, they're the highest rated.
[01:52:22.594 --> 01:52:23.834]  Oh, oh.
[01:52:23.834 --> 01:52:24.695]  On and on and on.
[01:52:24.695 --> 01:52:29.017]  And it's dirty now if we sell on established sheets and pillows and towels.
[01:52:29.017 --> 01:52:30.397]  No, they want us to starve to death.
[01:52:30.397 --> 01:52:31.858]  They don't want us to have our own media.
[01:52:31.858 --> 01:52:33.879]  But we're building our own media and you've got our pledge.
[01:52:34.139 --> 01:52:34.399]  Thank you.
[01:52:41.798 --> 01:52:47.620]  Promo code Alex, and it literally will keep us on the air under all of these attacks and the dirty tricks.
[01:52:47.620 --> 01:52:49.241]  But I expect attacks and dirty tricks.
[01:52:49.241 --> 01:52:50.682]  I expect they'll put me in prison or kill me.
[01:52:50.682 --> 01:52:53.043]  I don't want that to happen, but if it happens, so be it.
[01:52:53.043 --> 01:52:54.143]  Because I'm not giving up.
[01:52:54.143 --> 01:52:56.464]  I'm not a bad guy, and I know we're going to win.
[01:52:56.464 --> 01:52:57.905]  We've got to have that spirit of victory.
[01:52:57.905 --> 01:52:58.945]  MyPillow.com.
[01:52:58.945 --> 01:52:59.705]  Promo code Alex.
[01:52:59.705 --> 01:53:05.708]  There's also a toll-free number we can put on screen where just for our listeners to call and get the very best deals there are.
[01:53:05.708 --> 01:53:10.750]  Owen's actually got it in a sheet there where we can give it to them, so you can give that number out next hour for folks that aren't online.
[01:53:11.727 --> 01:53:16.813]  They've got great operators that take all your questions, all your comments, and, you know, take any orders you want to put in.
[01:53:17.789 --> 01:53:18.010]  Thank you.
[01:53:42.873 --> 01:53:46.195]  But I'll tell you who's got five-star ratings when it comes to customer service.
[01:53:46.195 --> 01:53:57.681]  I'll tell you who built his network and infrastructure and has thousands of employees here in the United States and sources materials all over North America and from Africa as well, which he's proud of.
[01:53:57.681 --> 01:54:01.524]  That's where you get the good cotton and then they put it together here in the United States.
[01:54:01.524 --> 01:54:03.705]  And that is Mike Lindell.
[01:54:04.534 --> 01:54:05.976]  Mike Lindell is a patriot.
[01:54:05.976 --> 01:54:07.678]  Mike Lindell is fighting.
[01:54:07.678 --> 01:54:13.324]  He is bold and he's got his products in stock ready to ship to you.
[01:54:13.324 --> 01:54:14.686]  When you use promo code
[01:54:15.621 --> 01:54:18.882]  Alex, you get the best specials they've got.
[01:54:18.882 --> 01:54:21.503]  Up to 66% off with promo code Alex.
[01:54:21.503 --> 01:54:32.427]  Whether it's their entire line of sheets, or human beds that are revolutionary and very, very popular, or animal beds for dogs and cats, or the great towels, or the pillows that they're best known for.
[01:54:32.427 --> 01:54:33.167]  And he's done great.
[01:54:33.167 --> 01:54:33.907]  His people are great.
[01:54:33.907 --> 01:54:36.908]  They've really come through and taken us out of the red into the black.
[01:54:36.908 --> 01:54:39.569]  So thank you all for shopping at MyPillow.com.
[01:54:39.569 --> 01:54:41.830]  Up to 66% off with promo code Alex.
[01:54:45.091 --> 01:54:51.855]  There's one central fact of criminal psychology that criminologists all agree on.
[01:54:51.855 --> 01:54:55.418]  And that is criminals are extremely pathological.
[01:54:55.418 --> 01:54:56.579]  Even more the general public.
[01:54:56.579 --> 01:54:58.940]  They do the same things over and over again.
[01:54:58.940 --> 01:55:04.524]  And criminals like to commit the same types of crimes over and over again.
[01:55:04.524 --> 01:55:05.384]  Well guess what?
[01:55:05.384 --> 01:55:09.207]  It was Anthony Fauci and eugenicists globalists that
[01:55:10.608 --> 01:55:19.386]  ...ran the rollout of HIV and the mistreatment of it with AZT and other chemicals that actually killed more people than HIV and they were the ones involved in viral research.
[01:55:20.581 --> 01:55:26.085]  ...of viruses that would actually go attack the T lymphocytes in the body and create autoimmune disorders.
[01:55:26.085 --> 01:55:32.449]  The problem for them was, the viruses would then break down and would be non-lethal down the road.
[01:55:32.449 --> 01:55:41.756]  That's why they need to roll out the COVID-19 and the vaccine, because now they admit the COVID-19 vaccine destroys your immune system, basically giving you the equivalent of HIV.
[01:55:41.756 --> 01:55:42.797]  That's right, ladies and gentlemen.
[01:55:47.575 --> 01:55:57.540]  You're listening to the Alex Jones Show.
[01:55:57.540 --> 01:56:08.505]  Alright, ladies and gentlemen, final segment here.
[01:56:08.505 --> 01:56:09.986]  We have one of the dirty dozen.
[01:56:09.986 --> 01:56:12.227]  One of the people that they've called a terrorist.
[01:56:12.227 --> 01:56:16.609]  One of the people in the new national security threat memorandum, the puppet president.
[01:56:17.341 --> 01:56:19.142]  Who got his butt wiped today.
[01:56:19.142 --> 01:56:27.589]  Biden said is a terrorist for being a medical doctor of great renown, who's been totally vindicated about the PCR tests, everything else.
[01:56:27.589 --> 01:56:28.830]  Dr. Joseph Mercola.
[01:56:29.961 --> 01:56:32.503]  Is coming up right now.
[01:56:32.503 --> 01:56:37.066]  But again, ladies and gentlemen, we are extremely blessed to be here on air.
[01:56:37.066 --> 01:56:40.449]  We were not supposed to be on air at this point, but thanks to you, we are.
[01:56:40.449 --> 01:56:51.157]  But now the globalists have taken the gloves off and they have announced that with the Homeland Security and the CIA, the entire Internet's being watched with big tech.
[01:56:52.532 --> 01:56:53.432]  Four white supremacists.
[01:56:53.432 --> 01:57:01.376]  The definition of white supremacist is questioning the election, questioning open borders, questioning Biden, and questioning lockdowns, which is martial law.
[01:57:01.376 --> 01:57:03.377]  So, yeah, they're getting real martial law ready.
[01:57:03.377 --> 01:57:05.358]  The training wheels are about to come off.
[01:57:05.358 --> 01:57:08.800]  They'll probably release some more real viruses, who knows, and clandestine variants.
[01:57:08.800 --> 01:57:12.061]  People better get ready, and they better pray to God, because this is the fabled takeover.
[01:57:12.061 --> 01:57:14.362]  The UN using a bioweapon release.
[01:57:14.362 --> 01:57:16.523]  I've told people thousands of times on air.
[01:57:16.523 --> 01:57:19.005]  Many of you have been listening 25, 26, 27 years.
[01:57:19.005 --> 01:57:21.106]  You've heard me thousands of times.
[01:57:21.106 --> 01:57:21.546]  Thousands.
[01:57:22.248 --> 01:57:27.691]  Say, they're not going to march around in UN blue helmets saying, turn in your guns, we're taking down America.
[01:57:27.691 --> 01:57:29.092]  They're going to trigger race war.
[01:57:29.092 --> 01:57:34.335]  They're going to call the UN to oversee, like South Africa, a new political system.
[01:57:34.335 --> 01:57:36.416]  They're going to say you're a white supremacist if you don't submit.
[01:57:37.091 --> 01:57:44.677]  And then they're going to release a virus to create fear as the pretext to lock people down and disappear people and shut down businesses they don't own.
[01:57:44.677 --> 01:57:45.618]  It's a pincer attack.
[01:57:45.618 --> 01:57:54.325]  Economic shutdown of the middle class, no matter what color you are, and then another attack creating racial division to claim the takeover and the breakdown is because you're bad.
[01:57:54.325 --> 01:57:56.347]  You're bad because you've got a virus or might have a virus.
[01:57:56.827 --> 01:58:00.489]  You're bad because you're white or you're bad because you're a Christian or a veteran.
[01:58:00.489 --> 01:58:09.974]  This is just simple psychology and the way you beat it is you wake up to the psychology, you wake up to the enemy plan, and you don't let their manipulation manipulate you or others.
[01:58:09.974 --> 01:58:25.263]  You become aware of the plan, you warn others of the plan, and then you start removing yourself from the plan and not supporting the enemy wherever you can, shopping with small businesses as much as you can, telling the truth, going to church, being a good dad, being a good mom, taking care of your neighbors.
[01:58:25.763 --> 01:58:34.911]  Coming together, you know, inviting the neighbors over no matter what color they are to have dinner, and get this out in the open and discuss the fact that we're being taken over.
[01:58:34.911 --> 01:58:38.174]  This is serious war, and that the more we submit, the worse things get.
[01:58:38.174 --> 01:58:40.075]  The more we stand up, the better things get.
[01:58:40.075 --> 01:58:43.138]  And stop getting into fear of viruses and fear of whatever.
[01:58:43.138 --> 01:58:45.100]  And people say, what are you doing quoting Roosevelt?
[01:58:45.100 --> 01:58:46.201]  He was a bad president.
[01:58:46.201 --> 01:58:47.842]  The quote's true.
[01:58:47.842 --> 01:58:49.884]  Okay, broken clocks are right twice a day.
[01:58:49.884 --> 01:58:52.106]  The only thing we have to fear is fear itself.
[01:58:53.018 --> 01:58:53.858]  Okay?
[01:58:53.858 --> 01:58:56.659]  And so giving in to them is what you ought to be concerned of.
[01:58:56.659 --> 01:58:58.940]  Submitting to tyranny is what you ought to be afraid of.
[01:58:58.940 --> 01:59:02.761]  Not, oh, let me just kind of dodge this for a minute, maybe it'll go away.
[01:59:02.761 --> 01:59:03.121]  No.
[01:59:03.121 --> 01:59:04.741]  That's not what built this country.
[01:59:04.741 --> 01:59:06.161]  Rugged individualism did.
[01:59:06.161 --> 01:59:07.482]  Territorialism did.
[01:59:07.482 --> 01:59:08.842]  And so we've got to start pushing back.
[01:59:08.842 --> 01:59:09.662]  They fear men.
[01:59:09.662 --> 01:59:12.003]  That's why they tried to turn us into a bunch of ninnies.
[01:59:12.003 --> 01:59:14.644]  They fear the fact that men will finally commit and do something.
[01:59:14.644 --> 01:59:15.904]  I don't want any violence at this point.
[01:59:16.693 --> 01:59:20.415]  The enemy has that plan, they'll probably do it to themselves and play victim.
[01:59:20.415 --> 01:59:40.224]  We have to point out, they're being violent to us, they're assaulting us, with these poison shots, with the breakdown of law and order, with all the things they're doing, and just expose their foreign, outside criminal power, and protest, and demonstrate at their houses, and sue them, and get in their faces, and run for office, and support the local individuals, I don't want to call them politicians, but
[01:59:41.281 --> 01:59:55.467]  Statesmen and women who do understand what's happening and get them to take action and lead an offense against the globalist narrative of the new lockdowns and the fraud of the virus and call for Fauci's arrest and call for Bill Gates's arrest and point out what they're doing at the border.
[01:59:55.467 --> 02:00:01.350]  I mean, that's incredible, releasing people that are COVID positive and sick to their whole narrative.
[02:00:01.350 --> 02:00:03.011]  That's manslaughter.
[02:00:03.011 --> 02:00:04.472]  That's criminal negligence.
[02:00:04.472 --> 02:00:05.352]  That's everything.
[02:00:05.988 --> 02:00:12.352]  So if we had the reporters and the crew, I'd be down there at that Whataburger in McAllen, Texas right now.
[02:00:12.352 --> 02:00:13.713]  Listeners, you go document it.
[02:00:13.713 --> 02:00:15.695]  You upload it to your Twitter or Facebook.
[02:00:15.695 --> 02:00:16.735]  You don't need me to do it.
[02:00:16.735 --> 02:00:18.256]  I can't do it all, okay?
[02:00:18.256 --> 02:00:18.957]  Get down there.
[02:00:18.957 --> 02:00:19.257]  Do it.
[02:00:19.257 --> 02:00:20.718]  We're trying to hire reporters.
[02:00:20.718 --> 02:00:21.919]  We just hired a couple of them.
[02:00:21.919 --> 02:00:24.080]  We're getting them trained now.
[02:00:24.080 --> 02:00:28.223]  We're trying as much as we can, but I just can't wait for orders from headquarters here.
[02:00:28.223 --> 02:00:29.804]  I need you to take action.
[02:00:29.804 --> 02:00:34.347]  All right, this is somebody being listed as a terrorist coming up for trying to give you life-saving information.
[02:00:34.867 --> 02:00:36.269]  The globalists are criminals.
[02:00:36.269 --> 02:00:40.093]  They have the blood of millions on their hands suppressing 100% treatments that are out there.
[02:00:40.093 --> 02:00:42.556]  Just remember how serious this is.
[02:00:42.556 --> 02:00:45.019]  The submission is death.
[02:00:45.019 --> 02:00:46.580]  Resistance is victory.
[02:00:46.580 --> 02:00:47.922]  Owen Troyer, great job.
[02:00:47.922 --> 02:00:49.163]  Take over with Dr. Mercola.
[02:00:49.163 --> 02:00:51.205]  I know you're going to be host of the war room today as well.
[02:00:55.249 --> 02:00:56.510]  Jacob in Ohio.
[02:00:56.510 --> 02:00:56.910]  Welcome.
[02:00:56.910 --> 02:00:57.330]  Go ahead.
[02:00:57.330 --> 02:00:58.651]  Hey, how's it going, Alex?
[02:00:58.651 --> 02:00:59.231]  Good, brother.
[02:00:59.231 --> 02:01:00.312]  Great last caller.
[02:01:00.312 --> 02:01:03.173]  I just wanted to start with plugging your sleep supplement.
[02:01:03.173 --> 02:01:08.976]  Uh, it's basically the only way I get sleep anymore, uh, with all the gaslighting, demoralization, and absurdity.
[02:01:08.976 --> 02:01:11.178]  Uh, it's like we're living out of Twilight Zone, man.
[02:01:11.178 --> 02:01:11.598]  All right.
[02:01:11.598 --> 02:01:12.858]  Eric in New Hampshire.
[02:01:12.858 --> 02:01:13.819]  Eric, thanks for calling.
[02:01:13.819 --> 02:01:13.999]  Go ahead.
[02:01:14.159 --> 02:01:15.700]  Hey Alex, thanks for taking my call.
[02:01:15.700 --> 02:01:18.741]  If I could, I just want to throw a quick plug out for the point of the product.
[02:01:18.741 --> 02:01:20.402]  The X2 Hoop does wonders.
[02:01:20.402 --> 02:01:21.522]  I recommend it to everybody.
[02:01:21.522 --> 02:01:22.723]  You're on the fence about it.
[02:01:22.723 --> 02:01:23.523]  Get off the fence.
[02:01:23.523 --> 02:01:24.404]  Get the product.
[02:01:24.404 --> 02:01:25.584]  Support the info war.
[02:01:25.584 --> 02:01:26.905]  Tyler in Maine.
[02:01:26.905 --> 02:01:27.545]  You're on the air.
[02:01:27.545 --> 02:01:28.105]  Thanks for rolling.
[02:01:28.105 --> 02:01:28.466]  Go ahead.
[02:01:28.466 --> 02:01:30.186]  Hey Alex, it's great to be on with you.
[02:01:30.186 --> 02:01:30.947]  It's an honor.
[02:01:30.947 --> 02:01:31.227]  Honor.
[02:01:31.227 --> 02:01:31.567]  Talk to you.
[02:01:31.787 --> 02:01:32.888]  Awesome.
[02:01:32.888 --> 02:01:36.190]  So, first thing I wanted to do is say I love the product.
[02:01:36.190 --> 02:01:37.391]  It's Alpha Power.
[02:01:37.391 --> 02:01:41.074]  Even at 29, if you ask my better half, she loves it.
[02:01:41.074 --> 02:01:42.435]  And it helps in the bedroom.
[02:01:42.435 --> 02:01:44.116]  So, just number one for a few weeks.
[02:01:44.116 --> 02:01:45.077]  Well, it definitely works.
[02:01:45.077 --> 02:01:46.718]  It's not a joke.
[02:01:46.718 --> 02:01:47.439]  Absolutely.
[02:02:01.352 --> 02:02:08.416]  Live from the InfoWars.com studios, you're listening to The Alex Jones Show.
[02:02:08.416 --> 02:02:19.521]  And now, your host, Owen Troyer.
[02:02:19.521 --> 02:02:27.045]  Okay, well, we have just heard from our guest who was supposed to be joining us.
[02:02:27.045 --> 02:02:29.046]  Unfortunately, he had to cancel.
[02:02:30.623 --> 02:02:41.070]  But that's okay, because I've got plenty of news that I can't cover here for this next hour, and then Paul Joseph Watson is going to take over.
[02:02:41.070 --> 02:02:57.621]  And, you know, it's really sad that, and I talked about this yesterday, we already know Democrats in media have completely sold themselves out, they've completely sold out their profession.
[02:02:58.619 --> 02:03:04.280]  And it's now party politics and agenda over truth in reporting.
[02:03:04.280 --> 02:03:12.662]  And so that's why Jen Psaki doesn't have a single tough question, except from Peter Doocy when they're doing the White House press conferences, because they're all Democrat activists.
[02:03:12.662 --> 02:03:14.482]  So they support Jen Psaki.
[02:03:14.482 --> 02:03:16.963]  They got to make sure that she looks good.
[02:03:16.963 --> 02:03:19.963]  They're there to make sure the Biden administration looks good.
[02:03:19.963 --> 02:03:22.003]  No tough questions are asked of her.
[02:03:22.003 --> 02:03:24.504]  And then Peter Doocy is the only one that ever asked any real questions.
[02:03:25.672 --> 02:03:36.740]  Well, the new phenomenon we're seeing is with health care professionals, whether it's nurses or doctors or people that run hospitals, and this is really even more dangerous, perhaps.
[02:03:36.740 --> 02:03:40.683]  Because, you know, health care is not supposed to be politicized.
[02:03:40.683 --> 02:03:51.171]  You shouldn't have to worry about what your doctor or health care provider's politics are when you go for treatment or whatever, but now liberal leftist progressives
[02:03:51.903 --> 02:04:00.988]  Democrats in the health care industry are now letting their politics overwhelm truth when it comes to medicine, when it comes to health.
[02:04:00.988 --> 02:04:02.409]  And so this is very dangerous.
[02:04:02.409 --> 02:04:11.254]  And I'm sad to say that one of the worst examples now is Jerome Adams, who just lies through his teeth.
[02:04:11.254 --> 02:04:12.755]  And it's just stunning to see this.
[02:04:12.755 --> 02:04:18.138]  He puts out this statement today because here's the thing, folks, you got to understand.
[02:04:18.138 --> 02:04:19.959]  See, Jerome Adams is smart enough
[02:04:21.739 --> 02:04:30.885]  Or dumb enough, I guess you could say, to respond to the fact that, yeah, vaccinated people are getting sick.
[02:04:30.885 --> 02:04:36.468]  So there's one level of this where the media and Anthony Fauci and Joe Biden just deny it.
[02:04:36.468 --> 02:04:40.251]  They just say nobody who's gotten the vaccine has gotten COVID.
[02:04:40.251 --> 02:04:42.192]  Nobody who's gotten the vaccine has gotten sick.
[02:04:43.351 --> 02:04:44.431]  That's a known lie.
[02:04:44.431 --> 02:04:49.612]  We have the hospital numbers in multiple different states and multiple different countries.
[02:04:49.612 --> 02:04:53.333]  And yeah, most of the new COVID cases are actually vaccinated people.
[02:04:53.333 --> 02:04:54.413]  Again, we have the numbers.
[02:04:54.413 --> 02:04:55.053]  We have the data.
[02:04:55.053 --> 02:04:57.274]  That's undeniable.
[02:04:57.274 --> 02:05:06.476]  So Jerome Adams knows that, well, okay, I'm not going to be as big of a liar as Fauci or Biden and say that vaccinated people are not getting sick.
[02:05:06.476 --> 02:05:07.716]  I know that that's going on.
[02:05:07.716 --> 02:05:08.476]  The news is everywhere.
[02:05:08.476 --> 02:05:09.176]  I've seen the numbers.
[02:05:09.176 --> 02:05:10.297]  So what does he do?
[02:05:10.297 --> 02:05:11.617]  Well, he just moves the goalpost.
[02:05:12.566 --> 02:05:15.728]  He's a little bit more subtle in his propaganda.
[02:05:15.728 --> 02:05:20.750]  So he says, vaccines do not prevent you from testing positive for COVID.
[02:05:20.750 --> 02:05:24.132]  In other words, vaccines do not prevent you from getting COVID.
[02:05:24.132 --> 02:05:26.413]  So he has his little word game there.
[02:05:26.413 --> 02:05:28.294]  But that's what it really is.
[02:05:28.294 --> 02:05:31.395]  Vaccines do not prevent you from getting COVID.
[02:05:31.395 --> 02:05:37.038]  Unless he's admitting that testing positive for COVID doesn't necessarily mean you have COVID.
[02:05:37.038 --> 02:05:40.920]  So is this Dr. Jerome Adams admitting that the tests don't work?
[02:05:42.174 --> 02:05:51.401]  Or is he just playing word games to avoid admitting, in so many words, that even if you've gotten the vaccine, you'll still get COVID?
[02:05:51.401 --> 02:05:56.004]  So he says, vaccines do not prevent you from testing positive for COVID.
[02:05:56.004 --> 02:05:57.285]  Again, what is that insinuating?
[02:05:57.285 --> 02:05:58.846]  That the tests don't work?
[02:05:58.846 --> 02:06:01.548]  Or that people are getting COVID that have been vaccinated?
[02:06:01.548 --> 02:06:04.851]  Nice job with your little nuanced propaganda there, Dr. Adams, but he goes on.
[02:06:05.859 --> 02:06:14.261]  They prevent you from being hospitalized for or dealing with long-term symptoms from or dying due to COVID-19.
[02:06:14.261 --> 02:06:18.682]  Okay, so there's about three new lies in that second sentence.
[02:06:18.682 --> 02:06:21.803]  The COVID vaccine prevents you from being hospitalized from COVID.
[02:06:21.803 --> 02:06:23.303]  That's a lie.
[02:06:23.303 --> 02:06:24.924]  He knows that's a lie.
[02:06:24.924 --> 02:06:27.704]  That's why he's putting this tweet out.
[02:06:27.704 --> 02:06:33.766]  Because he knows that's a lie and that most of the COVID hospitalizations are vaccinated people.
[02:06:33.766 --> 02:06:34.626]  He also says
[02:06:35.546 --> 02:06:38.327]  That the vaccines will stop you from having long-term symptoms.
[02:06:38.327 --> 02:06:40.088]  Well, we don't know that.
[02:06:40.088 --> 02:06:44.029]  We haven't had any long-term studies and it hasn't been a long-term rollout yet.
[02:06:44.029 --> 02:06:46.230]  So he's just saying that.
[02:06:46.230 --> 02:06:49.130]  That's just a made-up statement that he just makes.
[02:06:49.130 --> 02:06:53.252]  Think about how dangerous that is from your doctor.
[02:06:53.252 --> 02:06:56.573]  Think about how dangerous that is if a doctor just makes something up.
[02:06:56.573 --> 02:06:57.453]  Just whole cloth.
[02:06:57.453 --> 02:07:02.595]  You go to your doctor and you're expecting, this is an ethical person who's going to be honest with me
[02:07:03.875 --> 02:07:07.117]  About the treatment I'm receiving or that I could potentially receive.
[02:07:07.117 --> 02:07:09.458]  And he just lies!
[02:07:09.458 --> 02:07:13.321]  Yeah, the COVID-19 vaccine will make sure you have no long-term side effects.
[02:07:13.321 --> 02:07:13.941]  You don't know that!
[02:07:13.941 --> 02:07:15.222]  There's been no long-term studies.
[02:07:15.222 --> 02:07:18.244]  We haven't been in this long-term.
[02:07:18.244 --> 02:07:23.267]  That's dangerous to have a doctor that would boldly lie to you like that.
[02:07:23.267 --> 02:07:33.053]  Of course, for the last five years or so, if you went to a doctor and said, I have a smoking addiction, I want to stop, they were going to prescribe you Shantix.
[02:07:33.928 --> 02:07:44.873]  I believe Shantix is a Pfizer product and turns out Shantix was causing cancer and now Pfizer is pulling Shantix and paying out billions of dollars in lawsuits for Shantix causing cancer.
[02:07:44.873 --> 02:07:45.833]  But guess what?
[02:07:45.833 --> 02:07:47.434]  It was doctor recommended.
[02:07:47.434 --> 02:07:53.617]  And I'm sure those doctors assured the people that they recommended it to that it was safe, effective, and good.
[02:07:53.617 --> 02:07:55.498]  Now they have cancer.
[02:07:55.498 --> 02:08:00.460]  Now the doctors won't have to face any penalty or punishment for that.
[02:08:01.303 --> 02:08:05.966]  I guess they're just doing their job as big pharmaceutical drug pushers.
[02:08:05.966 --> 02:08:12.530]  And then, of course, the final lie in that sentence, that the vaccine will prevent you from dying from COVID.
[02:08:12.530 --> 02:08:14.552]  Another lie.
[02:08:14.552 --> 02:08:25.179]  Another total lie, because many people who have had the vaccine have died from COVID.
[02:08:25.179 --> 02:08:28.841]  Now again, this is a doctor.
[02:08:28.841 --> 02:08:30.022]  This is a doctor
[02:08:32.239 --> 02:08:43.048]  Who, in two sentences, in two sentences in a statement he makes, has at least four lies in them, maybe five.
[02:08:43.048 --> 02:08:47.412]  I mean, really, that's almost admirable that you can have two sentences with five lies in it.
[02:08:47.412 --> 02:08:49.033]  You almost tip your cap to that.
[02:08:49.033 --> 02:08:51.716]  Like, wow, you're a professional liar.
[02:08:51.716 --> 02:08:54.918]  But that's a doctor.
[02:08:54.918 --> 02:08:55.659]  That's a doctor.
[02:09:00.518 --> 02:09:12.721]  How are we supposed to have any trust in our medical institutions and our health care institutions when leading doctors are lying to us like this?
[02:09:12.721 --> 02:09:23.824]  How are we supposed to trust our medical industry that they want to be run by the government when they can't even be honest with us?
[02:09:23.824 --> 02:09:26.465]  And I do have that story right here.
[02:09:26.465 --> 02:09:29.086]  Jerome Adams also says the pandemic is spiraling out of control.
[02:09:29.994 --> 02:09:31.855]  Well, how could that be?
[02:09:31.855 --> 02:09:34.277]  With all these people being vaccinated, how could that be?
[02:09:34.277 --> 02:09:36.539]  And where?
[02:09:36.539 --> 02:09:39.641]  Where is the pandemic spiraling out of control?
[02:09:39.641 --> 02:09:50.049]  Notice how they don't show you any data or point to any actual examples of how the pandemic is spiraling out of control.
[02:09:50.049 --> 02:09:51.931]  They just say it.
[02:09:51.931 --> 02:09:54.833]  So this guy can't stop lying.
[02:09:54.833 --> 02:09:56.574]  This is a top doctor in the U.S.
[02:09:56.574 --> 02:09:57.715]  who can't stop lying.
[02:09:59.773 --> 02:10:08.681]  Now, how are we supposed to trust our medical institutions when the top doctors from them are lying to us about everything?
[02:10:08.681 --> 02:10:11.003]  So, congratulations, Dr. Jerome Adams.
[02:10:11.003 --> 02:10:19.810]  You have just disintegrated trust in our medical institutions, perhaps as much as Anthony Fauci now.
[02:10:19.810 --> 02:10:21.111]  Congratulations, Dr. Adams.
[02:10:21.111 --> 02:10:23.013]  Are you proud of yourself?
[02:10:23.013 --> 02:10:25.315]  You put politics ahead of health.
