[00:00.000 --> 00:10.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[01:01:28.000 --> 01:01:33.000]  I want to get my country back and we're never going to be perfect, but we're been overrun by evil.
[01:01:33.000 --> 01:01:36.000]  And Info Wars is a testament. We're not bragging.
[01:01:36.000 --> 01:01:40.000]  I'm savoring the fact that we need to recognize the power we've got.
[01:01:40.000 --> 01:01:42.000]  You, the listeners, what you've done.
[01:01:42.000 --> 01:01:45.000]  We're not powerless, and that's why this event's so big.
[01:01:45.000 --> 01:01:47.000]  I'm going to try to recap it in the next segment and go to your calls.
[01:01:47.000 --> 01:01:51.000]  But I mean, that's it. This is a victory on every front.
[01:01:51.000 --> 01:02:00.000]  And I feel a solidarity, a kinsmanship, a connection even deeper than blood with everyone involved in this,
[01:02:00.000 --> 01:02:04.000]  with the media out there fighting for liberty, with everyone involved.
[01:02:04.000 --> 01:02:09.000]  It is just so good. Justice is what the average person wants.
[01:02:09.000 --> 01:02:14.000]  Just like when you're driving to the countryside and you see a beautiful forest or beautiful green fields
[01:02:14.000 --> 01:02:21.000]  or you see the crops and the crop rows and you see a beautiful sunset or you see fishermen hauling in their nets.
[01:02:21.000 --> 01:02:28.000]  It's a good feeling when I see a happy family with healthy kids walking in the park
[01:02:28.000 --> 01:02:35.000]  or when I see a grandpa with his grandson in their Labrador fetching a tennis ball out of a lake.
[01:02:35.000 --> 01:02:42.000]  It's that satisfaction for what's good that I'm willing to die for.
[01:02:42.000 --> 01:02:45.000]  But I'm going to tell you something. I'm not going to just die in this fight.
[01:02:45.000 --> 01:02:51.000]  I'm going to smart as much as I can. I'm going to be as cunning as I can.
[01:02:51.000 --> 01:02:55.000]  What's the Bible say is, harmless as a dove is wise as a serpent.
[01:02:55.000 --> 01:02:57.000]  Or am I flipping that around backwards?
[01:02:57.000 --> 01:02:59.000]  Harmless as wise as a serpent.
[01:02:59.000 --> 01:03:02.000]  Harmless as a dove. Walk softly, carry a big stick.
[01:03:02.000 --> 01:03:08.000]  I'm going to do everything I can to try to stop a civil war.
[01:03:08.000 --> 01:03:12.000]  I'm going to do everything I can to try to bring races and religions together for freedom.
[01:03:12.000 --> 01:03:18.000]  I'm going to do everything I can to try to build solidarity along the Bill of Rights and Constitution
[01:03:18.000 --> 01:03:22.000]  and due process and justice for our children's future.
[01:03:22.000 --> 01:03:26.000]  Because the older I get, I realize that I just grew up thinking everybody was honorable.
[01:03:26.000 --> 01:03:30.000]  I just grew up thinking everybody shook hands and did what they said they'd do.
[01:03:30.000 --> 01:03:33.000]  I grew up thinking everybody was like my daddy and like my mommy.
[01:03:33.000 --> 01:03:36.000]  And then I later learned a lot of people aren't like that.
[01:03:36.000 --> 01:03:40.000]  And it's time for those of us that come from honorable backgrounds and honorable families,
[01:03:40.000 --> 01:03:44.000]  or people that have come from dishonorable families but have themselves transcended it,
[01:03:44.000 --> 01:03:49.000]  to realize that it's up to us to take this world back.
[01:03:49.000 --> 01:03:52.000]  It's a very, very special time to be alive.
[01:03:52.000 --> 01:03:56.000]  And the victory that you saw at that event,
[01:03:56.000 --> 01:04:01.000]  there's going to be more events like that as people push back as they see victory.
[01:04:01.000 --> 01:04:07.000]  And the feds, if they miscalculate and start shooting people at another left center concord,
[01:04:07.000 --> 01:04:11.000]  are going to set the revolution off in our favor.
[01:04:11.000 --> 01:04:14.000]  Which I don't even want that to happen because that's a, it's like A, B or C.
[01:04:14.000 --> 01:04:18.000]  A is fix the country peaceably in a velvet revolution of ideas.
[01:04:18.000 --> 01:04:23.000]  B is they start the revolution with the moral low ground and we win and get the country back very quickly
[01:04:23.000 --> 01:04:31.000]  with minimal loss of blood. C is we start it on the wrong footing and they spin it
[01:04:31.000 --> 01:04:34.000]  and it is a long protracted war with tens of millions dead.
[01:04:34.000 --> 01:04:36.000]  I do not want that, I will guarantee it.
[01:04:36.000 --> 01:04:40.000]  For a lot of reasons, hell, self-preservation is one of them.
[01:04:40.000 --> 01:04:42.000]  But it's the worst course.
[01:04:42.000 --> 01:04:47.000]  But if it's the only course down the road, if we don't have any chance and no other options,
[01:04:47.000 --> 01:04:53.000]  well, it is what it is because it's better than living on our knees as dehumanized technocratic slaves.
[01:04:53.000 --> 01:04:58.000]  From the front lines of the Info War, I am your humble servant, Alexander M.Rick Jones.
[01:04:58.000 --> 01:05:05.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:05:05.000 --> 01:05:07.000]  But it's not just the air outside that's toxic.
[01:05:07.000 --> 01:05:13.000]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:05:13.000 --> 01:05:18.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:05:18.000 --> 01:05:21.000]  There are more than 42 million smokers in the United States.
[01:05:21.000 --> 01:05:25.000]  Well over a thousand types of mold in mildew linked to numerous conditions.
[01:05:25.000 --> 01:05:30.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[01:05:30.000 --> 01:05:35.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs
[01:05:35.000 --> 01:05:40.000]  in order to combat the toxic environment that we cannot escape but that we can fight back against.
[01:05:40.000 --> 01:05:45.000]  Made with organic and wild cultivated herbs and manufactured in the U.S.A.
[01:05:45.000 --> 01:05:51.000]  The new Info Wars Life Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:05:51.000 --> 01:05:58.000]  Now available exclusively at InfoWarsLife.com or by calling toll 3-888-253-3139.
[01:05:58.000 --> 01:06:10.000]  Music
[01:06:10.000 --> 01:06:14.000]  Broadcasting Worldwide from FEMA Region 6.
[01:06:14.000 --> 01:06:17.000]  K.F.L.N. Los Angeles.
[01:06:17.000 --> 01:06:22.000]  Clone Radio. We play the songs that sound more like everyone else than anyone else.
[01:06:22.000 --> 01:06:23.000]  Clone.
[01:06:23.000 --> 01:06:26.000]  We interrupt this broadcast with an emergency transmission.
[01:06:26.000 --> 01:06:29.000]  It took the guns. Stalin took the guns. Mal took the guns.
[01:06:29.000 --> 01:06:31.000]  And El Castro took the guns.
[01:06:31.000 --> 01:06:34.000]  Hugo Chavez took the guns.
[01:06:34.000 --> 01:06:40.000]  1776 will commence again if you try to take our firearms.
[01:06:40.000 --> 01:06:45.000]  The Republic will rise again when you attempt to take our guns.
[01:06:45.000 --> 01:06:57.000]  I have sworn upon the altar of God internal hostility against every form of tyranny of the mind of man.
[01:06:57.000 --> 01:07:09.000]  The answer to 1984 is 1776. You're listening to the Alex Jones show.
[01:07:09.000 --> 01:07:17.000]  I have sworn on the altar of God eternal resistance over every form of tyranny.
[01:07:17.000 --> 01:07:24.000]  It's a spiritual decision if you don't believe in spirit world folks. It's a consciousness decision.
[01:07:24.000 --> 01:07:30.000]  That's the real value is wanting justice, wanting to be the best person you can be.
[01:07:30.000 --> 01:07:35.000]  Not wanting to be part of a globalist gang of criminals.
[01:07:35.000 --> 01:07:41.000]  If you were out there, the thousand plus people that block the highway, that overran the feds,
[01:07:41.000 --> 01:07:47.000]  just yesterday evening in Nevada when they were saying we will shoot you, we will kill you.
[01:07:47.000 --> 01:07:50.000]  I'd like to hear from you now.
[01:07:50.000 --> 01:07:56.000]  800, well the number is 800-25-99231 during the week.
[01:07:56.000 --> 01:08:01.000]  But we produce everything out of house here in Austin, Texas on the Sunday transmission.
[01:08:01.000 --> 01:08:07.000]  That's 877-789. Alex, 877-789-2539.
[01:08:07.000 --> 01:08:14.000]  Again, that's 877-789-2539. I'd like to hear from the people that were valiantly there.
[01:08:14.000 --> 01:08:17.000]  David Knight is going to be hosting tomorrow.
[01:08:17.000 --> 01:08:20.000]  And again, I just said, David, would you like to host the show Monday?
[01:08:20.000 --> 01:08:26.000]  He said, sure, why? I'm flying in Sunday night and I said, well, I just think you need to host, don't you?
[01:08:26.000 --> 01:08:30.000]  Because if I have you in here to interrupt you all day long and to tell what happened and speak about it,
[01:08:30.000 --> 01:08:33.000]  we want you and Josh Owens. Josh won't want to be in here for three hours,
[01:08:33.000 --> 01:08:36.000]  but we'll get Josh in for 30 minutes or so, maybe at noon.
[01:08:36.000 --> 01:08:40.000]  We've got guests tomorrow, unless it's a congressman or something, just move them.
[01:08:40.000 --> 01:08:45.000]  I want to just talk about this tomorrow and just give David Knight the floor and Josh,
[01:08:45.000 --> 01:08:47.000]  with their incredible courage, my reporters.
[01:08:47.000 --> 01:08:51.000]  This is exactly what has been laid on my heart all along,
[01:08:51.000 --> 01:08:56.000]  is to build a media operation and to find other patriots to build an organization
[01:08:56.000 --> 01:09:00.000]  where we can have reporters be anywhere in the world when big events happen.
[01:09:00.000 --> 01:09:05.000]  And we're very close to the next phase to be able to get another 10 reporters or so.
[01:09:05.000 --> 01:09:08.000]  The problem is the process of going through them.
[01:09:08.000 --> 01:09:12.000]  The public nowadays is, well, you know how the public is nowadays.
[01:09:12.000 --> 01:09:17.000]  It's a Russian roulette situation, but we have got a lot of good reporters now.
[01:09:17.000 --> 01:09:20.000]  We've got Kit Daniels. We've got Jakari Jackson.
[01:09:20.000 --> 01:09:24.000]  We've got Leanne McAdoo. We've got Darren McBrain.
[01:09:24.000 --> 01:09:29.000]  We've got John Bowne. We've got David Knight.
[01:09:29.000 --> 01:09:32.000]  And then we've got Paul Watson that does reporting on the ground as well.
[01:09:32.000 --> 01:09:35.000]  Trying to get Steve Watson who's just as smart as his brother out.
[01:09:35.000 --> 01:09:38.000]  He's got a degree in international relations and political science.
[01:09:38.000 --> 01:09:41.000]  And he just doesn't want to be on camera.
[01:09:41.000 --> 01:09:45.000]  I understand that, but it's our duty to be on camera.
[01:09:45.000 --> 01:09:46.000]  It's our duty to be leaders.
[01:09:46.000 --> 01:09:49.000]  See, the people that are real leaders don't want to be on camera.
[01:09:49.000 --> 01:09:51.000]  The people that are really smart don't want to be running around.
[01:09:51.000 --> 01:09:54.000]  I mean, quite frankly, folks, I'm becoming reclusive.
[01:09:54.000 --> 01:09:57.000]  I don't want to be on air. I don't want people to know who I am.
[01:09:57.000 --> 01:10:03.000]  I don't want to do this, but I've got to.
[01:10:03.000 --> 01:10:08.000]  Because I've got a lot of hopes and dreams and a lot of ideas that I can't manifest properly.
[01:10:08.000 --> 01:10:10.000]  So if you can't do it just right, why do it?
[01:10:10.000 --> 01:10:15.000]  Well, it doesn't matter. We're doing the best we can to quote the sergeant in full metal jacket.
[01:10:15.000 --> 01:10:22.000]  Sergeant said that private Joker is silly and he's ignorant, but he's got guts and guts is enough.
[01:10:22.000 --> 01:10:31.000]  And the final equation, I am just so blessed by my great family and by you, the great listeners and our sponsors and our affiliates.
[01:10:31.000 --> 01:10:41.000]  And just to have these reporters in this great crew, CJ and Chris Jordan and Nico and the writers and just everybody.
[01:10:41.000 --> 01:10:44.000]  And I didn't mean to get off into this. I want to go to your phone calls.
[01:10:44.000 --> 01:10:50.000]  It's just that when you know politics and how the world works,
[01:10:50.000 --> 01:10:57.000]  what happened in Nevada is now going to spread to other areas where they're kicking ranchers and farmers off public land everywhere
[01:10:57.000 --> 01:11:00.000]  who have the grazing rights certified, who have the farming rights certified.
[01:11:00.000 --> 01:11:05.000]  I mean, you got to get 90% of Nevada, 80% of a bunch of other states.
[01:11:05.000 --> 01:11:09.000]  Texas has the least amount of public land anywhere. And that's a good thing in my view.
[01:11:09.000 --> 01:11:15.000]  But people that were there before still had the grazing rights. This is a big deal to property rights,
[01:11:15.000 --> 01:11:21.000]  but it's a big deal to defeating the media. It's a big deal on the fact they tried to lie about what happened.
[01:11:21.000 --> 01:11:24.000]  It didn't work. It's just a major sea change.
[01:11:24.000 --> 01:11:27.000]  And believe me, I know in my gut when something's big.
[01:11:27.000 --> 01:11:32.000]  I've only freaked out one other time when we got the Copenhagen documents ahead of time
[01:11:32.000 --> 01:11:39.000]  and the secret UN documents about them fixing climate change and blaming humans for anthropogenic global warming.
[01:11:39.000 --> 01:11:44.000]  And I freaked out and said, this is it. This is going to derail their entire global taxation system.
[01:11:44.000 --> 01:11:47.000]  And people for about six months said, Alex, that wasn't that big of a deal.
[01:11:47.000 --> 01:11:53.000]  Now everyone admits that killed their whole main 50 plus billion dollar funding operation.
[01:11:53.000 --> 01:11:56.000]  They spent 50 billion the last 30 years pushing this.
[01:11:56.000 --> 01:12:01.000]  And we blew it to living hell on this show with Lord Monkton who got the documents.
[01:12:01.000 --> 01:12:06.000]  We blew it to living hell.
[01:12:06.000 --> 01:12:14.000]  And Friday when we got the documents that Harry Reid with the Chinese communist government was taking over 120 something mile swath starting at Bundy's Ranch,
[01:12:14.000 --> 01:12:21.000]  I literally, literally was higher than a kite all day.
[01:12:21.000 --> 01:12:30.000]  I mean, I'm talking, I'm talking high, ladies and gentlemen, because I love freedom.
[01:12:30.000 --> 01:12:33.000]  And I know these globalists want to hurt humanity.
[01:12:33.000 --> 01:12:39.000]  We're going to kick their ass together. We are going to stop them.
[01:12:39.000 --> 01:12:42.000]  That's all I want.
[01:12:42.000 --> 01:12:46.000]  And they've told us that they've told us that we can't beat them. We're going to beat them.
[01:12:46.000 --> 01:12:48.000]  Believe in we can beat them.
[01:12:48.000 --> 01:12:50.000]  It is a secret to it.
[01:12:50.000 --> 01:12:54.000]  And to see those people with the feds with their guns trained on them saying we will shoot you,
[01:12:54.000 --> 01:12:58.000]  keeping their guns at their side and marching saying go ahead to shoot us.
[01:12:58.000 --> 01:13:02.000]  And when it does, we're going to shoot back, but only after you pull the trigger first.
[01:13:02.000 --> 01:13:07.000]  It was, it was literally Lexington Concord part two, but the globalist backed off this time.
[01:13:07.000 --> 01:13:12.000]  And let me tell you something, they backed off because they're smart and they know humanity's got the power.
[01:13:12.000 --> 01:13:16.000]  And they know in the breast of every man, woman, child out there beats that idea of liberty.
[01:13:16.000 --> 01:13:20.000]  It is such a small cadre of evil people that want to control our civilization.
[01:13:20.000 --> 01:13:25.000]  Finish up the video at the end where they cut the wires for TV viewers, radio listeners all narrated.
[01:13:25.000 --> 01:13:28.000]  The video's up on infowars.com. It's so important.
[01:13:28.000 --> 01:13:32.000]  Historic feds force the surrender to American citizens.
[01:13:32.000 --> 01:13:36.000]  Now they are cutting the fence, even though the feds have guns aimed right at them,
[01:13:36.000 --> 01:13:39.000]  10 feet away, so we're going to shoot you and come through.
[01:13:42.000 --> 01:13:46.000]  Sorry, just because you're all dressed up in camo doesn't mean we're afraid.
[01:13:49.000 --> 01:13:51.000]  That's only the beginning.
[01:13:51.000 --> 01:13:54.000]  From a long march to humanity's ultimate destiny.
[01:13:54.000 --> 01:13:59.000]  Look at the men with their machine guns backing off, walking back with their backs turned like
[01:13:59.000 --> 01:14:03.000]  they've got to worry about a crowd that walked with their guns down.
[01:14:03.000 --> 01:14:08.000]  That's only a small group that had snipers all over the hills, armored vehicles, all the coppers, you name it.
[01:14:08.000 --> 01:14:11.000]  This is what humanity is. This is what courage is.
[01:14:11.000 --> 01:14:15.000]  God, watching this video, I can't wait for David Knight to host tomorrow.
[01:14:15.000 --> 01:14:23.000]  Yeah, that's where you're back on it, you big boys, those big guns aren't you?
[01:14:23.000 --> 01:14:27.000]  These are people that were tasering old women the day before.
[01:14:27.000 --> 01:14:31.000]  These are people with pleasure setting police dogs on folks.
[01:14:31.000 --> 01:14:35.000]  And now they're backing off, because they don't represent America, they don't represent freedom,
[01:14:35.000 --> 01:14:40.000]  they represent the foreign banks that are destroying this country, and we're sick of it.
[01:14:40.000 --> 01:14:45.000]  And there go the cows being released.
[01:14:45.000 --> 01:14:49.000]  They told them, give us 30 minutes, we'll release them.
[01:14:49.000 --> 01:14:52.000]  They said, no, you know that's right down the road, you got 10 minutes.
[01:14:52.000 --> 01:14:54.000]  They weren't threatening violence.
[01:14:54.000 --> 01:15:00.000]  The farmers and ranchers just said, we're marching in, and we're going to release those cattle you stole.
[01:15:00.000 --> 01:15:03.000]  That's what it's all about.
[01:15:03.000 --> 01:15:05.000]  You see that movie, Three Range?
[01:15:05.000 --> 01:15:09.000]  Kevin Costner and Robert DeVall, that's based on the compositor's stories.
[01:15:09.000 --> 01:15:15.000]  That's what this is, but the people back down, the established were back down.
[01:15:15.000 --> 01:15:17.000]  They're going to regroup, they're going to try to stop it.
[01:15:17.000 --> 01:15:21.000]  Here's the deal, Americans haven't been slaves because we're cowards.
[01:15:21.000 --> 01:15:23.000]  We've been slaves because we've been in a trance, asleep.
[01:15:23.000 --> 01:15:30.000]  Let me tell you something, that spell's breaking, and nothing on earth is going to stop it.
[01:15:30.000 --> 01:15:36.000]  This is so exciting, and it's a great testament to the new media that has supplanted the enemy media.
[01:15:36.000 --> 01:15:42.000]  And it's just going to be great trials and tribulations, but in the final equation of the grace of God, we're going to beat these people.
[01:15:42.000 --> 01:15:44.000]  We're going to talk to folks that were there coming up.
[01:15:44.000 --> 01:15:45.000]  Were you there?
[01:15:45.000 --> 01:15:46.000]  Were you watching it live?
[01:15:46.000 --> 01:15:47.000]  We'll take your calls as well.
[01:15:47.000 --> 01:15:49.000]  877-789-ALEX.
[01:15:49.000 --> 01:15:53.000]  Wide open phones, 877-789-2539.
[01:15:53.000 --> 01:15:54.000]  Stay with us.
[01:15:54.000 --> 01:15:57.000]  Geopolitical news coming up after calls.
[01:15:59.000 --> 01:16:02.000]  The globalist social engineers are not just targeting us with propaganda.
[01:16:02.000 --> 01:16:05.000]  They are manipulating our genetics.
[01:16:05.000 --> 01:16:08.000]  They are being targeted at every level by estrogen mimickers,
[01:16:08.000 --> 01:16:13.000]  that lower our testosterone and other hormones and natural compounds that the body needs.
[01:16:13.000 --> 01:16:17.000]  After consulting top doctors, nutritionists, pharmacists, and others,
[01:16:17.000 --> 01:16:24.000]  we have developed what I believe is the ultimate non-GMO organic super male vitality formula
[01:16:24.000 --> 01:16:30.000]  sourced from powerful organic herbs and then concentrated for maximum potency.
[01:16:30.000 --> 01:16:37.000]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:16:37.000 --> 01:16:44.000]  Super male vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[01:16:44.000 --> 01:16:50.000]  For a limited time, we are offering 15% off Super Male Vitality at InfoWarsLife.com
[01:16:50.000 --> 01:16:53.000]  to introduce you to this powerful supplement.
[01:16:53.000 --> 01:16:59.000]  Visit InfoWarsLife.com today to secure your super male vitality at InfoWarsLife.com.
[01:16:59.000 --> 01:17:04.000]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[01:17:04.000 --> 01:17:07.000]  Why do we have the highest cancer rates on the planet?
[01:17:07.000 --> 01:17:12.000]  The highest rates of diabetes, autism, and every other major disease?
[01:17:12.000 --> 01:17:16.000]  It all comes down to one thing. We are what we eat.
[01:17:16.000 --> 01:17:20.000]  Our food is devoid of nutrition and processed with poisons and additives.
[01:17:20.000 --> 01:17:25.000]  Our water is filled with toxic poisons and big pharma runoff.
[01:17:25.000 --> 01:17:30.000]  All of this has been engineered by design. We can turn the tide against the eugenicist
[01:17:30.000 --> 01:17:34.000]  by giving ourselves the nutrients our body desperately needs.
[01:17:34.000 --> 01:17:37.000]  To learn more visit InfoWarsLife.com.
[01:17:37.000 --> 01:17:44.000]  The site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma.
[01:17:44.000 --> 01:17:50.000]  The fight against the new world order starts with you and you can't stand against the machine of your sick, tired, and obese
[01:17:50.000 --> 01:17:52.000]  when you visit InfoWarsLife.com.
[01:17:52.000 --> 01:17:59.000]  You can check out the catalog with nearly 400 life-changing products and get free shipping when you sign up for auto-ship.
[01:17:59.000 --> 01:18:02.000]  This is Alex Jones for InfoWarsLife.com.
[01:18:02.000 --> 01:18:07.000]  The latest in preparedness is now here, an electrically stabilized colloidal silver solution
[01:18:07.000 --> 01:18:10.000]  that can be added to both your home cabinet and preparedness pack alike.
[01:18:10.000 --> 01:18:15.000]  Concentrated to 30 parts per million and what has been dubbed the survival silver solution.
[01:18:15.000 --> 01:18:20.000]  A new InfoWarsLife silver bullet colloidal silver is the answer for you and your family
[01:18:20.000 --> 01:18:25.000]  and it's entirely free of toxic artificial additives that are loaded into many products.
[01:18:25.000 --> 01:18:31.000]  The InfoWarsLife silver bullet silver is so powerful that it is concentrated into a two ounce bottle
[01:18:31.000 --> 01:18:34.000]  and is not recommended for extended continual use.
[01:18:34.000 --> 01:18:36.000]  This is not a low grade formula.
[01:18:36.000 --> 01:18:40.000]  We are working with one of the top laboratory manufacturers in the United States
[01:18:40.000 --> 01:18:47.000]  to bring you the best form of colloidal silver using electrical processes within a base of deionized water
[01:18:47.000 --> 01:18:50.000]  for your preparedness storage or your home kitchen.
[01:18:50.000 --> 01:18:55.000]  Purchase your bottle of InfoWarsLife.com silver bullet colloidal silver today
[01:18:55.000 --> 01:18:59.000]  and find other amazing supplements at InfoWarsLife.com.
[01:18:59.000 --> 01:19:03.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[01:19:03.000 --> 01:19:07.000]  This year alone over 300,000 people in West Virginia had their drinking water contaminated.
[01:19:07.000 --> 01:19:11.000]  What are the health effects of having these drugs in our drinking water?
[01:19:11.000 --> 01:19:14.000]  It's forced medical treatment without the consent of residents.
[01:19:14.000 --> 01:19:19.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family
[01:19:19.000 --> 01:19:22.000]  from the harmful toxins and heavy metals in your tap water.
[01:19:22.000 --> 01:19:26.000]  On average the county says it sprays with glyphosate at least once a week.
[01:19:26.000 --> 01:19:30.000]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[01:19:30.000 --> 01:19:36.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[01:19:36.000 --> 01:19:40.000]  Fluoride is in teats and coffins and waters and breads and toothpaste.
[01:19:40.000 --> 01:19:44.000]  It is our responsibility to protect our families. The establishment is not going to do it.
[01:19:44.000 --> 01:19:47.000]  It's time to take action. It's time to filter our water.
[01:19:47.000 --> 01:19:52.000]  Visit InfoWarsLife.com and use promo code WATER to get 10% off
[01:19:52.000 --> 01:19:55.000]  their entire family of incredible products.
[01:19:55.000 --> 01:19:59.000]  Or call toll-free 888-253-3139.
[01:19:59.000 --> 01:20:03.000]  Coast to coast, direct from Austin.
[01:20:03.000 --> 01:20:10.000]  You're listening to the Alex Jones Broadcasting Network.
[01:20:33.000 --> 01:20:37.000]  The huge developments in the Ukraine. I told you it's going towards Civil War.
[01:20:37.000 --> 01:20:41.000]  The country being divided into two, partitioned. That's now moving towards that.
[01:20:41.000 --> 01:20:45.000]  More on the NSA being behind Heartbleed. As I told you, that's now coming out.
[01:20:45.000 --> 01:20:48.000]  We're going to be breaking it all down.
[01:20:48.000 --> 01:20:51.000]  But again, this is about showing the power of the people.
[01:20:51.000 --> 01:20:54.000]  Then when you stand up, you have the moral authority.
[01:20:54.000 --> 01:20:57.000]  When the government's in the wrong, you can push back.
[01:20:57.000 --> 01:21:02.000]  And when it came out that Harry Reid, I said Friday, I said they're going to back down now.
[01:21:02.000 --> 01:21:06.000]  When they were saying they weren't.
[01:21:06.000 --> 01:21:09.000]  When Harry Reid's involved with the Communist Chinese government,
[01:21:09.000 --> 01:21:15.000]  and they listed the documents that we found.
[01:21:15.000 --> 01:21:18.000]  It actually came out in the news two years ago, but no one was connecting it now,
[01:21:18.000 --> 01:21:21.000]  that Harry Reid, in these BLM documents, were saying,
[01:21:21.000 --> 01:21:24.000]  we've got to get rid of Bundy and his land. He won't sell.
[01:21:24.000 --> 01:21:28.000]  We've got to get that property for the solar farm.
[01:21:28.000 --> 01:21:30.000]  It actually says the solar farm.
[01:21:30.000 --> 01:21:34.000]  Get that up. Harry Reid and the Communist Chinese back to government back company
[01:21:34.000 --> 01:21:37.000]  to go in there and run this.
[01:21:37.000 --> 01:21:42.000]  And you've got armed paramilitary police there treating farmers and ranchers like Total Crud.
[01:21:42.000 --> 01:21:47.000]  They've run 52 families out of the area who were there in the same group of Mormons
[01:21:47.000 --> 01:21:51.000]  that came in in the 1870s.
[01:21:51.000 --> 01:21:54.000]  They've run them all out except one guy, last man standing.
[01:21:54.000 --> 01:21:57.000]  And you know, the last guy standing, because the people came to his aid,
[01:21:57.000 --> 01:22:00.000]  stopped the establishment.
[01:22:00.000 --> 01:22:03.000]  And you see, they can't script it bad. They can't demonize him.
[01:22:03.000 --> 01:22:06.000]  They can't plant drugs on an old cowboy with no criminal record.
[01:22:06.000 --> 01:22:11.000]  They can't kill him. He doesn't care because a country boy can't survive.
[01:22:11.000 --> 01:22:15.000]  You can't starve us out. You can't make us run because these old boys were raised on shotguns.
[01:22:15.000 --> 01:22:21.000]  We say grace and we say amen. And if you ain't into that, we don't give a damn.
[01:22:21.000 --> 01:22:25.000]  And I'll go further than that. We should find that clip from Patent where he says,
[01:22:25.000 --> 01:22:28.000]  I've heard a lot of talk about Americans are scared to fight.
[01:22:28.000 --> 01:22:33.000]  Well, Americans love to fight. And the establishment better get that through their pea brain.
[01:22:33.000 --> 01:22:38.000]  All you twinkle toes, it turns out Jay Carney's house is full of communist propaganda.
[01:22:38.000 --> 01:22:42.000]  Well, yeah, I remember Beckett came out in the Associated Press in the mid-90s that
[01:22:42.000 --> 01:22:47.000]  the Clintons had crack pipes and stuff and linen stuff on the...
[01:22:47.000 --> 01:22:51.000]  Karl Marx, Vladimir Lenin stuff on the Christmas tree.
[01:22:51.000 --> 01:22:57.000]  These are weirdos that are into desecrating anything that isn't part of their weirdness.
[01:22:57.000 --> 01:23:01.000]  These are freaks, folks. Figure that out.
[01:23:01.000 --> 01:23:05.000]  We're not the ones looking for trouble.
[01:23:05.000 --> 01:23:08.000]  We're the producers in this country. We don't want to fight with you, but you try to
[01:23:08.000 --> 01:23:14.000]  extinct us. You call us better clingers. We love God and we love our guns.
[01:23:14.000 --> 01:23:26.000]  We love being independent. You want a war. You start it. You own it.
[01:23:26.000 --> 01:23:29.000]  Who says the ruler has to take over? Who says we have to lose?
[01:23:29.000 --> 01:23:33.000]  Who says it's the end of the world? These government-run churches that are creating
[01:23:33.000 --> 01:23:40.000]  self-fulfilling prophecies of doom. They're frauds.
[01:23:40.000 --> 01:23:45.000]  God always gives a country and gives a culture a chance to repent and turn back.
[01:23:45.000 --> 01:23:50.000]  And if you don't believe in God, in cycles, many times civilizations turn back from the brink.
[01:23:50.000 --> 01:23:54.000]  I want to turn back. I want prosperity. I want to be honorable. I want to be free.
[01:23:54.000 --> 01:23:57.000]  I want justice. What's wrong with that?
[01:23:57.000 --> 01:24:03.000]  I'm sick of being lied to and told I'm racist because I can read Obamacare and know it's a screw job.
[01:24:03.000 --> 01:24:07.000]  And now we're into the screw job a year. You like it?
[01:24:07.000 --> 01:24:13.000]  I said I'd go to your calls. And we got Mark and we got like 15 calls here.
[01:24:13.000 --> 01:24:23.000]  Gary, Caleb, Dave, JT Code, Rashid, Don, Willis, Sheila, Bob, Mausalink, Mark in Utah.
[01:24:23.000 --> 01:24:28.000]  You were there at the Nevada standoff for folks that haven't seen the video on infowars.com.
[01:24:28.000 --> 01:24:31.000]  Am I exaggerating how incredible this was?
[01:24:31.000 --> 01:24:39.000]  No, Alex, not at all. It was 59 years old and that was the most amazing day of my life.
[01:24:39.000 --> 01:24:45.000]  I'm originally from Oklahoma and I tell you what, I've never been more proud of cowboys in my life.
[01:24:45.000 --> 01:24:52.000]  It was absolutely amazing. I was at David Knight and Josh down there, Stuart Rhodes,
[01:24:52.000 --> 01:24:59.000]  the courage of the women cowboys, everybody like it put tears in my eyes a dozen times.
[01:24:59.000 --> 01:25:04.000]  And I'm a long time listener, first time caller, but this is why I'm calling in.
[01:25:04.000 --> 01:25:09.000]  You said something the other day that you said you can't be around this kind of people anymore
[01:25:09.000 --> 01:25:12.000]  because it tears you up to bad guys.
