[00:00.000 --> 00:20.000]  It's for Wars, tomorrow's news, today.
[1:06:27.320 --> 1:06:31.120]  they're coming for our free speech Biden's announcing plans for permanent
[1:06:31.120 --> 1:06:36.960]  martial law forced inoculations lockdowns saying that anybody that
[1:06:36.960 --> 1:06:40.360]  questions the vaccine is a terrorist that is because they're desperate it's
[1:06:40.360 --> 1:06:43.360]  because they're scared and all we got to do stand against them and these big
[1:06:43.360 --> 1:06:47.320]  corporations they're out of control and they will fail the global ruling elite
[1:06:47.320 --> 1:06:51.640]  cannot control the population anymore so they've decided to kill the population
[1:06:51.640 --> 1:06:58.560]  as the bigger presents he said at the Canadian CFR seven years ago he said
[1:06:58.560 --> 1:07:02.440]  previously it was easier to control a million than it was to kill a million
[1:07:02.440 --> 1:07:06.520]  now it is either to kill a million than to control a million and we have we have
[1:07:06.520 --> 1:07:12.600]  lost control I recommend killing and now you see the depopulation happening
[1:07:12.600 --> 1:07:19.360]  across the planet and literally seas of top scientists hospital heads Nobel
[1:07:19.360 --> 1:07:23.960]  prize winners top epidemiologists Germany's top coroner the major coroner
[1:07:23.960 --> 1:07:29.960]  association the pathologist all of them saying we cut open these people and
[1:07:29.960 --> 1:07:35.560]  they've been eaten alive by the shots and then the studies said there's
[1:07:35.560 --> 1:07:41.560]  congressional hearings we've played you the head of the Baylor Medical School
[1:07:41.560 --> 1:07:47.760]  last year said well we're working on these new vaccines but they always failed
[1:07:47.760 --> 1:07:51.960]  when they were for the coronavirus because it creates a protein and so we
[1:07:51.960 --> 1:07:55.160]  had deaths in all the human studies around the world but Bill Gates has
[1:07:55.160 --> 1:08:01.080]  picked it back up and we'll see if he can make it work and then they bypass and
[1:08:01.080 --> 1:08:06.480]  new animal trials with that particular vaccine and the deaths are massive so
[1:08:06.480 --> 1:08:11.960]  everything Dr. Heaton and Dr. Wodarg and Dr. Tenpenny and on and on and on and on
[1:08:11.960 --> 1:08:17.720]  said 14 months ago 12 months ago before the injection started from the
[1:08:17.720 --> 1:08:21.200]  literature I thought wow why are all these prestigious people saying this is
[1:08:21.200 --> 1:08:29.240]  gonna cause mass death I thought that's a little too intense even for me then they
[1:08:29.240 --> 1:08:33.520]  lied and said no side effects even though it's not approved and 90% of
[1:08:33.520 --> 1:08:37.520]  effectiveness which they now admits a fraud and then I found the documents and
[1:08:37.520 --> 1:08:40.800]  statements by Bill Gates where he said oh it's not gonna work so you're gonna
[1:08:40.800 --> 1:08:46.280]  need all these new boosters every few months and now we're here and that's why
[1:08:46.280 --> 1:08:50.920]  folks have found all the clips where I specifically predicted in February and
[1:08:50.920 --> 1:08:56.840]  March and April and so did Chris Skye of exactly what was gonna happen so to get
[1:08:56.840 --> 1:09:00.680]  his latest information on this and what he thinks is coming next Chris Skye one
[1:09:00.680 --> 1:09:04.640]  of my favorite guests is about to join us and out of all the on the ground
[1:09:04.640 --> 1:09:07.760]  activists in the world he's the most successful the most prominent the most
[1:09:07.760 --> 1:09:10.720]  accurate and I saw he was flattered a few weeks ago when I said that it's just
[1:09:10.720 --> 1:09:15.620]  true and look I'm sure he wants to be eclipsed by you this is about
[1:09:15.620 --> 1:09:20.000]  survival humans moving forward exposing medical tyranny this fifth
[1:09:20.000 --> 1:09:23.920]  generational warfare of depopulation that is moving against us because all
[1:09:23.920 --> 1:09:28.200]  these top scientists are saying this is gonna be a depopulation weapon and now
[1:09:28.200 --> 1:09:32.720]  it's happening and now they lied last year in the hospitals were totally
[1:09:32.720 --> 1:09:37.280]  empty the virus itself was just a gain of function thing they own now the
[1:09:37.280 --> 1:09:41.760]  sloughing now what's in the vaccine creating the prion factories and I have
[1:09:41.760 --> 1:09:46.320]  a stack of mainstream news admitting it is what's causing massive illnesses all
[1:09:46.320 --> 1:09:50.120]  over the place and when you go in they don't tell you you need ivermectin you
[1:09:50.120 --> 1:09:53.280]  need vitamin C you need zinc that's coming up at Chris guy leaves us the
[1:09:53.280 --> 1:09:57.960]  layout solutions they tell you they give you nothing in the hospital not even
[1:09:57.960 --> 1:10:05.480]  IV and they just wait until you get worse and then they put a ventilator on
[1:10:05.480 --> 1:10:08.960]  you and kill you and get fifty three thousand dollars for it so that's all
[1:10:08.960 --> 1:10:12.640]  coming up for Chris guy leaves all these top scientists laying it out but I
[1:10:12.640 --> 1:10:18.080]  wanted to show you a clip of him up in Canada and Montreal with hundreds of
[1:10:18.080 --> 1:10:21.920]  thousands marching will roll that footage for TV viewers now hundreds of
[1:10:21.920 --> 1:10:25.480]  thousands marching to the streets there's hours of this footage all the
[1:10:25.480 --> 1:10:30.760]  world giant demonstrations and then I want to roll for you just a little clip
[1:10:30.760 --> 1:10:35.480]  of him on the ground and all these beautiful people of every race color
[1:10:35.480 --> 1:10:40.000]  and creed and gender together waking up to what's happening we'll talk to Chris
[1:10:40.000 --> 1:10:43.960]  guy in a moment but here's Chris guy I guess this is just yesterday in the
[1:10:43.960 --> 1:10:50.360]  streets of Canada an insane turnout in Montreal I haven't gone live yet because
[1:10:50.360 --> 1:10:53.760]  my battery would die I'm gonna live when I speak so everybody stand by for the
[1:10:53.760 --> 1:11:09.120]  life and that's always the sign of the winning group and you've got all the
[1:11:09.120 --> 1:11:13.080]  lovely ladies as well so there he is with Elvis with the women grabbing at him
[1:11:13.080 --> 1:11:17.040]  and people women should be grabbing at dudes like this this is what men are
[1:11:17.040 --> 1:11:21.200]  supposed to do not act tough not be like Schwarzenegger screw your freedom
[1:11:21.200 --> 1:11:23.960]  Schwarzenegger said back in pumping iron they cut it out of the movie but
[1:11:23.960 --> 1:11:28.400]  some Rolling Stone I love Hitler I love authoritarianism screw everyone screw
[1:11:28.400 --> 1:11:33.840]  you baby Hitler and your dad gooseed off the SS officer I can't wait till Arnold
[1:11:33.840 --> 1:11:37.440]  Schwarzenegger is dead in the ground and I feel that Nazi piece of crap is out
[1:11:37.440 --> 1:11:40.600]  of America I'm not gonna kill him I'm not gonna hurt him I just can't wait till
[1:11:40.600 --> 1:11:45.120]  his fascist ass is six feet under burning hell Arnold Schwarzenegger get out
[1:11:45.120 --> 1:11:50.240]  of America you trash my grandfather's kicked your dad's ass you piece of shit
[1:11:50.240 --> 1:11:56.480]  fuck you Arnold Schwarzenegger burn in fucking hell you Nazi excuse me Chris
[1:11:56.480 --> 1:12:01.600]  guy good to have you on with us here on the Sunday edition wow tell me about the
[1:12:01.600 --> 1:12:06.360]  great footage we just saw and more and what's happening around the world sorry
[1:12:06.360 --> 1:12:10.400]  that was like the my favorite segue I think I've ever gotten well we got a lot
[1:12:10.400 --> 1:12:14.800]  going on as you saw I was in Montreal yesterday I showed up we drove all night
[1:12:14.800 --> 1:12:19.480]  and I was promoting that like crazy I literally was threatening people to go
[1:12:19.480 --> 1:12:22.800]  that get off their ass and go there because it was all about stopping the
[1:12:22.800 --> 1:12:28.320]  Vax pass and the Vax pass is already a law now in Montreal and Quebec and just
[1:12:28.320 --> 1:12:32.120]  like your the previous guest dated from Israel it bores you from all what they
[1:12:32.120 --> 1:12:36.120]  call non-essential activities which is absolutely ridiculous because at the
[1:12:36.120 --> 1:12:39.760]  same time they're telling you you have a choice and it's not a mandate the idea
[1:12:39.760 --> 1:12:43.520]  of a choice means you can make a choice without consequences if you make a choice
[1:12:43.520 --> 1:12:47.440]  and the choice is you lose virtually all your rights and freedoms then it's not
[1:12:47.440 --> 1:12:51.280]  really much of a choice is it this is all about coercion of the Vax and that's
[1:12:51.280 --> 1:12:54.400]  why you're going to see in the next couple of weeks and months every type
[1:12:54.400 --> 1:12:56.920]  of industry trying to mandate it they're going to try to mandate it for
[1:12:56.920 --> 1:12:59.200]  front-line work they're going to try to mandate it for teachers are going to try
[1:12:59.200 --> 1:13:04.800]  to mandate it for students etc so we saw as you saw hundreds of thousands of
[1:13:04.800 --> 1:13:12.200]  people came out all shapes all sizes all genders all races all ethnicities all
[1:13:12.200 --> 1:13:17.320]  religions all there for one reason preserving our rights and freedoms that
[1:13:17.320 --> 1:13:21.320]  these politicians are trying to take from us and what do we see we saw in one
[1:13:21.320 --> 1:13:25.000]  small city just like I said back in May when we got another couple hundred
[1:13:25.000 --> 1:13:30.120]  thousand there is when we call on the people the people will come and what we
[1:13:30.120 --> 1:13:36.160]  saw was enough people to do whatever we want to do if those people took off their
[1:13:36.160 --> 1:13:39.800]  masks and opened their business and said no to the jab just that many people in
[1:13:39.800 --> 1:13:43.880]  that one city this agenda would stop in its track and that's what I'm about to say
[1:13:43.880 --> 1:13:47.280]  you pointed out we don't need leaders we have to be the leaders but can you imagine
[1:13:47.280 --> 1:13:54.080]  if a governor of Texas a governor of Arizona a governor of Florida led an
[1:13:54.080 --> 1:14:00.240]  anti-lockdown March how big it would be I mean imagine and that's why we're
[1:14:00.240 --> 1:14:03.160]  trying to that's what that's why I'm trying to tell everybody there's no such
[1:14:03.160 --> 1:14:06.680]  thing as a political freedom movement and there's or there's either a political
[1:14:06.680 --> 1:14:10.080]  movement or a freedom movement and we have politicians they're like Maxine
[1:14:10.080 --> 1:14:13.640]  Bernier and he literally tried to march to the front of the pack with their
[1:14:13.640 --> 1:14:17.480]  little PPC sign to pretend like all those people came there from him and I
[1:14:17.480 --> 1:14:20.120]  actually walked to the front and I talked to him on a megaphone I started
[1:14:20.120 --> 1:14:24.080]  exposing all his last 20 years of globalism and he first he tried to take
[1:14:24.080 --> 1:14:27.000]  the megaphone out of my hand and then when he realized that wasn't a good idea
[1:14:27.000 --> 1:14:31.720]  he literally just put his head down and ran off like every other politician
[1:14:31.720 --> 1:14:35.000]  I gave him a call the nobody calls these people
[1:14:35.000 --> 1:14:38.560]  oh of course I got a call them all because you pretend freedom fighter I
[1:14:38.560 --> 1:14:42.120]  don't have to call out true though we're in this mess because of him we know what
[1:14:42.120 --> 1:14:45.240]  true though will run the country like we're living in it Maxine is the one
[1:14:45.240 --> 1:14:48.560]  that's pretending like if you vote for him he's gonna change things but if you
[1:14:48.560 --> 1:14:52.160]  just he just wants your money and your support and as soon as you give a
[1:14:52.160 --> 1:14:55.520]  politician your support and you sit back down on the couch and you're no longer
[1:14:55.520 --> 1:14:58.280]  ready to take action they've just nullified you and that's what they're
[1:14:58.280 --> 1:15:03.440]  doing stopping paralyzed the people have to lead we have to start marching and
[1:15:03.440 --> 1:15:06.920]  demonstrating it's happening all over the world and I want Americans to start
[1:15:06.920 --> 1:15:09.800]  doing it which is happening in California and New York and other areas
[1:15:09.800 --> 1:15:13.240]  but listen Texas and South Dakota and Florida better do it because they're
[1:15:13.240 --> 1:15:18.920]  coming after us and we now proven these so-called vaccines turn your body into a
[1:15:18.920 --> 1:15:25.840]  a cry on mad cow disease factory this is insane so I'm saying 100% it's
[1:15:25.840 --> 1:15:29.640]  literally beyond insanity because if you look all around the world beyond our
[1:15:29.640 --> 1:15:33.960]  borders look at Iceland they have almost 100% of the adult population
[1:15:33.960 --> 1:15:37.760]  vaccinated against COVID and they're having a massive outbreak in the middle
[1:15:37.760 --> 1:15:41.960]  of summer and the vast majority of cases are from the vaccinated if we look at
[1:15:41.960 --> 1:15:46.840]  Singapore they admit 75% of the cases are vaccinated and if we look at my own
[1:15:46.840 --> 1:15:53.360]  home my own hometown of Ontario Canada if you look at our ICU zero patients in
[1:15:53.360 --> 1:15:58.480]  the ICU are non-jab stay there this is key stay with us for only one week we're
[1:15:58.480 --> 1:16:03.400]  running booster bodies natural defenses super sale and we have the vitamin D
[1:16:03.400 --> 1:16:08.640]  three gummies with calcium 50% off so essential for your immune system vitamin
[1:16:08.640 --> 1:16:15.040]  C zinc and rose hips very strong formula this is 50% off at info or store.com
[1:16:15.040 --> 1:16:19.840]  now back at stock just came back in yesterday very powerful pure turmeric
[1:16:19.840 --> 1:16:24.960]  extract tincture not a sure immune system but for inflammation and a lot more
[1:16:24.960 --> 1:16:27.800]  and then sold out for more than six months because of supply chain
[1:16:27.800 --> 1:16:31.360]  breakdowns we finally have the activated charcoal toothpaste with a natural
[1:16:31.360 --> 1:16:36.120]  peppermint and so much more back in stock from Dr. Jones naturals and the
[1:16:36.120 --> 1:16:40.000]  mouthwash with the activated charcoal and essential oils is back in stock these
[1:16:40.000 --> 1:16:43.640]  are great products they're high quality and they fund the info wars so thank you
[1:16:43.640 --> 1:16:47.960]  all for your support check them out today at info or store.com the sale runs
[1:16:47.960 --> 1:16:53.080]  for only one week it is the booster bodies natural defenses super sale and
[1:16:53.080 --> 1:16:57.280]  another part of the sale ending is the privacy pouches for your cell phone so
[1:16:57.280 --> 1:17:01.520]  when I first started taking survival skills basically I was 275 pounds I was
[1:17:01.520 --> 1:17:05.320]  overweight I had brain fog like you wouldn't believe I was barely holding
[1:17:05.320 --> 1:17:09.160]  on to a job and I heard Dr. Group on your show and I listened to it so the
[1:17:09.160 --> 1:17:12.760]  first one I got was the original survival shield the X1 and it worked
[1:17:12.760 --> 1:17:16.120]  pretty good and then shortly thereafter you came out with that too you had you
[1:17:16.120 --> 1:17:18.960]  know with a deep burden source you know and I got really excited about that so I
[1:17:18.960 --> 1:17:23.960]  took it and then in two weeks I went from brain fog to like literally like my
[1:17:23.960 --> 1:17:28.640]  brain was enlightened you know I could think again I could connect with people
[1:17:28.640 --> 1:17:32.720]  again and over the course of the next couple of years I got my health back
[1:17:32.720 --> 1:17:35.960]  and I religiously take basically all of your supplements there they're all
[1:17:35.960 --> 1:17:40.320]  absolutely amazing supplements the one I like recently is knockout it literally
[1:17:40.320 --> 1:17:43.880]  like if you want to sleep just take it it's amazing it works but anyway so the
[1:17:43.880 --> 1:17:47.840]  point is we have to get ourselves clean we have to break free of the globalist
[1:17:47.840 --> 1:17:51.680]  system and the only way to do that is to take our own health into our own hand
[1:17:51.680 --> 1:17:57.560]  beautifully said brother I thank you so much for your call and God speed I have
[1:17:57.560 --> 1:18:01.040]  gotten so many requests and so many complaints from listeners in the last
[1:18:01.040 --> 1:18:05.600]  six plus months of where is the activated charcoal toothpaste and mouthwash we
[1:18:05.600 --> 1:18:08.600]  only came out with it a year and a half ago became a best-seller within six
[1:18:08.600 --> 1:18:11.480]  months and now because the COVID lockdowns and the shutdowns and the
[1:18:11.480 --> 1:18:17.080]  supply chain we haven't had it finally it came back in a limited supply believe
[1:18:17.080 --> 1:18:20.160]  me I'm happy to it's a great toothpaste and it funds the info or so if you want
[1:18:20.160 --> 1:18:22.680]  to get it and stock up on it because you were already a fan or if you haven't
[1:18:22.680 --> 1:18:27.800]  tried it it's back in stock at info or store.com discounted because of the
[1:18:27.800 --> 1:18:32.400]  COVID lockdown because of the globalist siege on small businesses and companies
[1:18:32.400 --> 1:18:36.160]  in America it's not been available for over six months but now it's back in
[1:18:36.160 --> 1:18:41.800]  stock and it's available in only two places info or store.com and Dr. Jones
[1:18:41.800 --> 1:18:47.480]  naturals.com it is our activated charcoal toothpaste and mouthwash so get
[1:18:47.480 --> 1:18:50.760]  your activated charcoal toothpaste activated charcoal mouthwash with
[1:18:50.760 --> 1:18:56.640]  central oils and more at info or store.com and fund the info or a true 360
[1:18:56.640 --> 1:19:01.640]  win bio remediation is a process used to treat contaminating water soil and
[1:19:01.640 --> 1:19:05.000]  subsurface material by accelerating naturally occurring environmental
[1:19:05.000 --> 1:19:08.840]  conditions to stimulate growth of microorganisms and degrade targeted
[1:19:08.840 --> 1:19:13.040]  pollutants for the first time the bio pros are bringing to the public market a
[1:19:13.040 --> 1:19:17.480]  suite of bio remediation products to the everyday consumer their first product
[1:19:17.480 --> 1:19:21.880]  they are launching is called bio septic pro a product specifically designed to
[1:19:21.880 --> 1:19:26.200]  establish a healthy septic system bio septic pro contains live microorganisms
[1:19:26.200 --> 1:19:29.600]  not traditional enzymes like as competitors this stuff lives in your
[1:19:29.600 --> 1:19:33.520]  septic system it's really like probiotics for your septic tank and is at
[1:19:33.520 --> 1:19:38.000]  least 100 times more effective than similar microbial products due to its
[1:19:38.000 --> 1:19:42.080]  revolutionary patented delivery system bio septic pro contains no chemical
[1:19:42.080 --> 1:19:46.360]  ingredients and no genetically modified organisms visit the bio pros dot com
[1:19:46.360 --> 1:19:51.360]  today and protect your septic system that's the bio pros dot com this is for
[1:19:51.360 --> 1:19:56.160]  anaerobic septic tanks and the job it does is unparalleled the bio pros dot
[1:19:56.160 --> 1:20:21.120]  com you're listening to the alex jones show
[1:20:21.120 --> 1:20:37.880]  from the front lines of the information war it's alex jones
[1:20:37.880 --> 1:20:45.000]  hi chris sky on the top activist in the world fighting tyranny on the ground a
[1:20:45.000 --> 1:20:48.680]  hundred man and 11 ever minute of it that cut off of the break you were
[1:20:48.680 --> 1:20:53.240]  getting into you already blew people away over a year ago and then a year ago
[1:20:53.240 --> 1:20:57.480]  with your prediction of exactly what would happen recap that and then give us
[1:20:57.480 --> 1:21:00.280]  your latest prediction and then get into with all the evidence of all the
[1:21:00.280 --> 1:21:04.240]  science what this is because clearly before the hospitals are empty i'm
[1:21:04.240 --> 1:21:09.240]  seeing all over the u.s. devastation now for people close to folks that had the
[1:21:09.240 --> 1:21:13.200]  shot and those that have the shot all the world you know the vast majority
[1:21:13.200 --> 1:21:17.280]  seriously sick are those that have the injection just an incredible move
[1:21:17.280 --> 1:21:20.920]  premeditated the studies show they knew this would happen but you have a way
[1:21:20.920 --> 1:21:25.760]  with words crystallize it for us chris guy very quickly the last thing i said
[1:21:25.760 --> 1:21:30.600]  before we got cut off was in my hometown all the people in the icu have been
[1:21:30.600 --> 1:21:34.680]  vaccinated there is not one person in the icu in ontario canada that has not
[1:21:34.680 --> 1:21:37.520]  been vaccinated what does that tell you that should tell you everything you need
[1:21:37.520 --> 1:21:41.520]  to know the vaccine is the problem the vaccine is what's causing the disease and
[1:21:41.520 --> 1:21:45.040]  they're using it to divide society they're going to use it to weaken society
[1:21:45.040 --> 1:21:47.880]  they're going to use it to lock us down again we're in the middle of predicted
[1:21:47.880 --> 1:21:51.200]  programming they told us all we're not going to have a vaccine passport the
[1:21:51.200 --> 1:21:55.720]  very next day they said the opposite thing and now every other day we get a
[1:21:55.720 --> 1:21:59.120]  new story that promotes the narrative and what do i mean by that we see stories
[1:21:59.120 --> 1:22:02.680]  that say oh there's new variants that's resistant to the vaccine a way to make
[1:22:02.680 --> 1:22:06.600]  an excuse for the vaccinated getting sick oh the unvaccinated are dangerous the
[1:22:06.600 --> 1:22:09.760]  unvaccinated are terrorists the unvaccinated need to be controlled then
[1:22:09.760 --> 1:22:13.760]  in september when everybody takes their third shot they're gonna get even more
[1:22:13.760 --> 1:22:17.080]  sick and when all these people start getting sick they're gonna make an
[1:22:17.080 --> 1:22:20.320]  excuse to lock us down again in canada they're calling a snap election in
[1:22:20.320 --> 1:22:23.800]  in in september just out of the blue tridoles calling an election because he
[1:22:23.800 --> 1:22:27.080]  knows he's gonna win as soon as he wins that election they're gonna claim the
[1:22:27.080 --> 1:22:31.160]  rising cases and the new variant which is caused by the unvaccinated is a
[1:22:31.160 --> 1:22:34.960]  disaster they're gonna lock society down again then they're gonna implement the
[1:22:34.960 --> 1:22:38.840]  vaccine passport not just in Quebec which is why I was there yesterday they're
[1:22:38.840 --> 1:22:43.160]  gonna implement the canada wide as a way to try to coerce everybody to get this
[1:22:43.160 --> 1:22:46.600]  vaccination because as you get it like you said every time you get it you're
[1:22:46.600 --> 1:22:49.720]  getting yourself weaker you're getting yourself more sick and more dependent on
[1:22:49.720 --> 1:22:53.560]  the vaccine so virtually every round they vaccinate people you're gonna get a
[1:22:53.560 --> 1:22:56.560]  whole lot of deaths you're gonna go a whole lot of all different all the types
[1:22:56.560 --> 1:22:59.400]  of side effects and every four to six months they're gonna do the same thing
[1:22:59.400 --> 1:23:05.240]  that's 100% about depopulation 100% about control of the rest of us and if
[1:23:05.240 --> 1:23:08.640]  you're sick you can't really fight back can you so it makes them it makes them
[1:23:08.640 --> 1:23:11.720]  beautiful and for the people that aren't sick and healthy they turn you into
[1:23:11.720 --> 1:23:15.440]  criminals and they set the stage to not only control you but eventually round
[1:23:15.440 --> 1:23:18.680]  you up and put you in those camps that everybody pretends don't exist but
[1:23:18.680 --> 1:23:22.760]  actually do exist and that's the key that's where I'm going here it is
[1:23:22.760 --> 1:23:27.240]  national strategy for counter domestic terrorism same garbage in England same
[1:23:27.240 --> 1:23:32.240]  garbage in Germany France same thing Australian New Zealand everywhere it's
[1:23:32.240 --> 1:23:36.080]  exactly the same all out of the UN as you exposed last year authorities won't
[1:23:36.080 --> 1:23:39.520]  hesitate to go door-to-door to perform COVID tests on unvaccinated
[1:23:39.520 --> 1:23:44.440]  Australians their premiers are saying a major mayor called it Hitler and said
[1:23:44.440 --> 1:23:48.720]  it's like Hitler's taken over Canada I'll read that so they're finally fighting
[1:23:48.720 --> 1:23:52.680]  back and getting what's happening but this has been the plan blame the
[1:23:52.680 --> 1:23:58.400]  unvaccinated the uninjected the entire time Chris Sky so so talk about talk
[1:23:58.400 --> 1:24:03.760]  about that and Biden and Biden now putting out this weekend opposition to
[1:24:03.760 --> 1:24:11.880]  COVID measures is the top terror threat in the United States so they got to say
[1:24:11.880 --> 1:24:15.120]  that opposition to the COVID stuff is terrorism because that way they can label
[1:24:15.120 --> 1:24:17.920]  anybody like you or me a terrorist and then they can do whatever they want to
[1:24:17.920 --> 1:24:22.280]  us without any laws they could silence us they could take our rights away they
[1:24:22.280 --> 1:24:25.040]  could put us in prison hell they can even kill us if they want to if we're
[1:24:25.040 --> 1:24:28.360]  that bad of Paris so that's gonna be the new narrative anybody speaking out as
[1:24:28.360 --> 1:24:31.440]  terrorist because speaking out is what stops them speaking out is what gets
[1:24:31.440 --> 1:24:34.920]  all the people aware all the people ready to go there are so many people
[1:24:34.920 --> 1:24:38.160]  awake in Canada I can't even walk down the street without groups of people
[1:24:38.160 --> 1:24:41.160]  coming up to me and understanding exactly what's going on and there's other
[1:24:41.160 --> 1:24:44.280]  way I gotta I gotta call out somebody right now real quick the international
[1:24:44.280 --> 1:24:48.960]  COVID summit taking place in Italy I was invited there I was invited there months
[1:24:48.960 --> 1:24:52.520]  ago they made me promote it two weeks ago they made me register for the event as
[1:24:52.520 --> 1:24:56.360]  a speaker I have all the evidence of this they made me go on a zoom chat and
[1:24:56.360 --> 1:24:58.880]  they told me that I was gonna be the representative Canada I was gonna be
[1:24:58.880 --> 1:25:03.160]  speaking for 15 minutes and I was gonna be getting an award I said great sounds
[1:25:03.160 --> 1:25:07.000]  fantastic they told me to start booking my flight I was supposed to be there on
[1:25:07.000 --> 1:25:11.360]  the 13th of September then I get a call it started getting pressure from
[1:25:11.360 --> 1:25:14.720]  somebody as soon as they heard I was allowed to speak they call me back and
[1:25:14.720 --> 1:25:19.760]  they said you're not allowed to talk about the vaccine I said okay because the
[1:25:19.760 --> 1:25:22.360]  whole summits about alternative treatments so I said that's fine I'll
[1:25:22.360 --> 1:25:25.400]  talk about the alternative treatment so with the so the alternative treatments
[1:25:25.400 --> 1:25:28.860]  being so good we don't need the vaccine they said that's great then they call
[1:25:28.860 --> 1:25:32.400]  me back about an hour later we go we haven't had another zoom chat I said okay
[1:25:32.400 --> 1:25:36.240]  they said well you're not allowed to say anything about the vaccine and you're
[1:25:36.240 --> 1:25:40.320]  also not allowed to discuss any form of government civil disobedience so you're
[1:25:40.320 --> 1:25:43.880]  not allowed to even use your kit phrase united not right they use these events
[1:25:43.880 --> 1:25:47.080]  as a mode to get control of activists let's just stop right there this is all
[1:25:47.080 --> 1:25:50.640]  a test to see if you get money but let's just stop before we go there because
[1:25:50.640 --> 1:25:53.880]  you're too important we're what we're doing so important even get into all the
[1:25:53.880 --> 1:25:59.160]  stuff explain to people though if we take the shots at the court of our immune
[1:25:59.160 --> 1:26:02.000]  system even the Pfizer rep admits that it's all the planning of our immune
[1:26:02.000 --> 1:26:06.240]  system takeover have the digital passports the holy grail of control
[1:26:06.240 --> 1:26:11.120]  glass swab admits it all let's get back into how we defeat them and I see their
[1:26:11.120 --> 1:26:16.760]  declaration there is terrorist as a sign of weakness Chris very yes they're so
[1:26:16.760 --> 1:26:19.400]  desperate that's why they're going to terrorism angle that's why they're going
[1:26:19.400 --> 1:26:21.600]  this angle where you're not going to be able to do anything unless you get
[1:26:21.600 --> 1:26:24.120]  vaccinated and they're doing it all at once because they want to create a
[1:26:24.120 --> 1:26:28.560]  perfect storm and overwhelm us why because we're waking people up way faster
[1:26:28.560 --> 1:26:31.880]  than they could have ever anticipated and not only are people awake they are
[1:26:31.880 --> 1:26:36.680]  pissed off I know people that are double jabbed wear masks and the last thing
[1:26:36.680 --> 1:26:41.560]  they want is a vaccine passport so all you got to do it's very simple you have
[1:26:41.560 --> 1:26:46.120]  go on strike if you're a police officer doctor lawyer frontline worker nurse
[1:26:46.120 --> 1:26:51.240]  teacher student etc they try to mandate it you just don't show up to work you
[1:26:51.240 --> 1:26:54.880]  don't show up to school it's that simple and you march in the streets every
[1:26:54.880 --> 1:26:59.280]  single day to cry your government in front of the world until they put up and
[1:26:59.280 --> 1:27:03.480]  shut up because guess what that's what United non-compliance is it's about
[1:27:03.480 --> 1:27:08.160]  power to the people and what is our the real problem in our country is that
[1:27:08.160 --> 1:27:12.960]  every single one of our writings in our country are occupied by politicians
[1:27:12.960 --> 1:27:16.480]  these are public sector workers these are not people that got affected by the
[1:27:16.480 --> 1:27:20.200]  lockdown these are people that will support lockdowns because they get paid
[1:27:20.200 --> 1:27:24.360]  no matter what so that's the problem with our country right now it's being
[1:27:24.360 --> 1:27:28.360]  run by politicians and I'm on my way to Calgary to an award show on the 19th and
[1:27:28.360 --> 1:27:33.120]  on the 20th I'm having an event it's a private event in Edmonton I posted it on
[1:27:33.120 --> 1:27:38.680]  all my social media anybody in Canada that's got money power resources and
[1:27:38.680 --> 1:27:42.800]  wants to see this end and is finally ready to get off their ass get off the
[1:27:42.800 --> 1:27:46.680]  sidelines and fight then you show up there because what's coming next besides
[1:27:46.680 --> 1:27:50.600]  these lockdowns besides these camps besides all of that they're gonna have
[1:27:50.600 --> 1:27:55.280]  our digital currency coming out soon so all you crypto guys all you billionaires
[1:27:55.280 --> 1:27:58.000]  that made all that money that are sitting there what do you think's gonna
[1:27:58.000 --> 1:28:01.440]  happen when the government makes a digital currency they're gonna regulate
[1:28:01.440 --> 1:28:04.080]  you out of existence and you're gonna become the next terrorist so you better
[1:28:04.080 --> 1:28:07.520]  stand with me now before it's too late business owners that aren't affected
[1:28:07.520 --> 1:28:11.000]  what about your kids what about your grandchildren this is what we're talking
[1:28:11.000 --> 1:28:15.040]  about you got to stand up now and you got to help people like and Chris stay
[1:28:15.040 --> 1:28:18.800]  there one more segment Chris don't hang up because you got cut off of the last
[1:28:18.800 --> 1:28:22.360]  break and you made a little two-minute prediction I totally agree with it I
[1:28:22.360 --> 1:28:25.800]  want to give you the floor for at least five minutes when I come back to give
[1:28:25.800 --> 1:28:31.120]  us the next super viral Chris guy lay it all out you're you're you're a
[1:28:31.120 --> 1:28:34.920]  charismatic guy and we don't have enough people like you and people are
[1:28:34.920 --> 1:28:37.680]  listening to you or listen to me and only a few others but you're right up
[1:28:37.680 --> 1:28:41.480]  there at the top now we love you it's like Tucker Carlson myself you David Ike
[1:28:41.480 --> 1:28:46.560]  a few others so you're a real leader I want you to just summon your real will
[1:28:46.560 --> 1:28:51.280]  predict the future put all the lines together we come back and lay out what's
[1:28:51.280 --> 1:28:58.040]  happening and why we've got to stop it and how we stop it stay with us so what's
[1:28:58.040 --> 1:29:01.120]  the most important part let's say in a bulldozer running over the globalist the
[1:29:01.120 --> 1:29:05.560]  treads the wheels the engine the scoop on the front it's all very important but
[1:29:05.560 --> 1:29:10.840]  the fuel is paramount and that's my allegory turbo force is vitamins
[1:29:10.840 --> 1:29:14.200]  minerals amino acids that synergistically work with six different
[1:29:14.200 --> 1:29:18.080]  natural forms of healthy clean energy that lasts for 10 hours in the average
