[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[01:24:16.732 --> 01:24:18.813]  Well, let me just throw this in.
[01:24:18.813 --> 01:24:20.515]  Again, Bill Bonner is our guest.
[01:24:20.515 --> 01:24:22.776]  Bonnerandpartners.com.
[01:24:22.776 --> 01:24:25.778]  Get Bill's book, The Number One, .com.
[01:24:25.778 --> 01:24:32.563]  If you want to find out more information, getbillsbook1.com or bonnerandpartners.com.
[01:24:32.563 --> 01:24:34.464]  You're tuning into the Alex Jones Show right now.
[01:24:34.464 --> 01:24:44.210]  That information was so important, I even skipped that network break earlier because we've got to get focused on this, as Ron Paul has said, and I know I've read your writings, Bill.
[01:24:44.210 --> 01:24:46.372]  I read your newsletter, one of your newsletters.
[01:24:47.373 --> 01:25:06.893]  Is that we're going to end up getting blamed as free market people and capitalism is going to be blamed at the end of this crony capitalist fraud when it collapses if we don't explain this isn't free market that we've seen this has been smoke and mirrors and we're coming to the end of the cycle and sure it's a safe bet to say
[01:25:07.854 --> 01:25:09.195]  Five years, ten years.
[01:25:09.195 --> 01:25:15.341]  Dr. Paul Craig Roberts, former head of the Treasury and Policy, the father of Reaganomics, has said the same thing here.
[01:25:15.341 --> 01:25:21.927]  But he's even accelerated it and said, no, it could be a year or two now or even next month because of the pressing.
[01:25:21.927 --> 01:25:27.892]  It's almost like our government wants to force folks out of the dollar by overthrowing Ukraine.
[01:25:28.945 --> 01:25:30.185]  Moving forces in.
[01:25:30.185 --> 01:25:33.206]  I'm not saying Russia's good either, just these are provocative moves.
[01:25:33.206 --> 01:25:34.866]  Russia's now working with China.
[01:25:34.866 --> 01:25:36.367]  They didn't trust each other before.
[01:25:36.367 --> 01:25:37.607]  Working with Iran.
[01:25:37.607 --> 01:25:40.127]  Working with BRICS.
[01:25:40.127 --> 01:25:52.550]  By accelerating the decline of the dollar, by accelerating economic moves, the QE Unlimited, the rest of it, and I want you as an economist to speak to this or disagree if you disagree, it's forcing the world, who aren't really innovators,
[01:25:53.622 --> 01:26:05.070]  I mean, a lot of these countries, to innovate away and losing the soft power of a global dollar world reserve currency and the petrodollar, it's forcing a move.
[01:26:05.070 --> 01:26:14.677]  And is there a double game at the Davos level, where they're coming out with their SDRs and other systems and their Bitcoins of the future?
[01:26:14.677 --> 01:26:17.779]  I believe Bitcoin will be the proto of a system they're going to bring out.
[01:26:18.677 --> 01:26:29.982]  Because I've watched them in the past, and that they're actually preparing a global dollar crisis that they're going to profit from controlling, and that they will actually come out with the new system in the next two to five years.
[01:26:29.982 --> 01:26:35.424]  That's what my gut approximation is from deep study.
[01:26:35.424 --> 01:26:40.326]  If I had to go with my gut, because at a certain point, I'm not in the highest councils of these people.
[01:26:40.326 --> 01:26:43.808]  I know you run with a lot of big economists and people.
[01:26:43.808 --> 01:26:45.689]  I mean, how are you investing?
[01:26:45.689 --> 01:26:46.609]  What are you doing?
[01:26:48.989 --> 01:26:50.770]  I mean, that's a lot of stuff I threw out there.
[01:26:50.770 --> 01:26:58.193]  Yeah, well Alex, you know, let me just continue this thought about what happened.
[01:26:58.193 --> 01:27:01.354]  Yeah, let's talk about what's going to happen for me.
[01:27:01.354 --> 01:27:13.619]  And then we'll come back to it, but I think it's important to understand that this phenomenon that we're discussing, a phenomenon where you get a little bit of something and it's good, you get a lot of something, and it's not just bad, it's disastrous.
[01:27:14.500 --> 01:27:15.201]  Disasters.
[01:27:15.201 --> 01:27:27.579]  I use the example of Germany after World War II where Germany, they felt, and rightly so, they felt they had been stabbed in the back in World War I and the Versailles Treaty and everything.
[01:27:28.297 --> 01:27:33.539]  And what they wanted more than anything else after World War I was security.
[01:27:33.539 --> 01:27:41.982]  They felt that they didn't have any security, they'd been badly treated, everything was bad, and they needed security.
[01:27:41.982 --> 01:27:51.625]  And so, along came this guy who'd been, you know, like a sergeant in the army during World War I, and he said, I'll give you security, you know, Germany's got to take its proper place in the world, etc., etc.
[01:27:51.625 --> 01:27:56.487]  And he had all kinds of nutty ideas, but he was essentially an economist.
[01:27:57.279 --> 01:28:00.481]  And he was essentially a world-improving economist.
[01:28:00.481 --> 01:28:03.162]  He was a meddler, an interventionist, an activist.
[01:28:03.162 --> 01:28:06.663]  And his idea, he was Germany first.
[01:28:06.663 --> 01:28:13.266]  It had to have security so it had to spend more money, more of its own money, to build up its military forces.
[01:28:13.266 --> 01:28:14.467]  And it did that.
[01:28:14.467 --> 01:28:19.889]  And this... Well, you're right.
[01:28:19.889 --> 01:28:23.191]  And is there any way to reverse this?
[01:28:23.191 --> 01:28:25.252]  Or to have a soft landing?
[01:28:31.915 --> 01:28:32.976]  We lost Bill.
[01:28:32.976 --> 01:28:38.521]  I thought that sounded like we'd lost him because it just suddenly faded out and he was gone.
[01:28:38.521 --> 01:28:39.923]  That happens occasionally.
[01:28:39.923 --> 01:28:56.078]  If you're a TV viewer, we've been putting on screen different shots of Weimar, Germany, and when you came in to eat dinner for an hour, you'd want to pay up front because
[01:28:57.554 --> 01:29:00.195]  The meal might double or triple in price by the end.
[01:29:00.195 --> 01:29:09.519]  That just happened in Zimbabwe, in Africa in the last five years, where, you know, basically a hamburger would be a trillion of their dollars.
[01:29:09.519 --> 01:29:12.920]  They would have whole carts of money just trying to buy things.
[01:29:14.238 --> 01:29:15.819]  Okay, we're going to break here in a moment.
[01:29:15.819 --> 01:29:17.020]  We did get Bill back.
[01:29:17.020 --> 01:29:22.205]  We're going to come back to him and let him finish his point and continue on how we try to turn this around.
[01:29:22.205 --> 01:29:23.606]  Is there a way to have a soft landing?
[01:29:23.606 --> 01:29:25.387]  Is there a way to turn it around?
[01:29:25.387 --> 01:29:27.029]  He's a great economist, great writer.
[01:29:27.029 --> 01:29:29.050]  He's written two New York Times bestsellers.
[01:29:29.050 --> 01:29:30.191]  Hormageddon is coming out.
[01:29:30.191 --> 01:29:35.336]  We're going to ask him why it has that name and can we avoid Zimbabwe level or Weimar level
[01:29:36.176 --> 01:29:37.757]  Uh, inflation in this country.
[01:29:37.757 --> 01:29:42.218]  You're already seeing a lot of food prices, record prices, a lot of other things are ticking up.
[01:29:42.218 --> 01:29:44.639]  But inflation will hit us last year.
[01:29:44.639 --> 01:29:48.721]  The dollar already, I've been overseas, is really turning into toilet paper.
[01:29:48.721 --> 01:29:50.282]  And it's a sad thing.
[01:29:50.282 --> 01:29:51.742]  Stay with us, we'll be back.
[01:29:51.742 --> 01:29:53.143]  We're on the march.
[01:29:53.143 --> 01:29:54.883]  The empire's on the run.
[01:29:54.883 --> 01:29:56.324]  By the way, his website's getbillsbook1.com.
[01:29:56.324 --> 01:29:58.885]  Getbillsbook1.com or barandpartners.com.
[01:30:02.628 --> 01:30:03.909]  I mean, I taste dirt in it.
[01:30:03.909 --> 01:30:05.231]  God knows what's in this.
[01:30:05.231 --> 01:30:09.515]  These people just sampled city of Austin tap water straight from the faucet.
[01:30:09.515 --> 01:30:15.541]  Next, we had them try a sample of tap water filtered through the ProPure G2.0 filtration system.
[01:30:15.541 --> 01:30:16.623]  That one is better.
[01:30:16.623 --> 01:30:17.864]  Tastes like nothing.
[01:30:17.864 --> 01:30:19.345]  Yep, I know what good water tastes like.
[01:30:19.345 --> 01:30:19.826]  It's good water.
[01:30:19.946 --> 01:30:26.009]  Most tap water contains added substances like fluoride, chlorine, glyphosate, and many others.
[01:30:26.009 --> 01:30:33.352]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lower IQ, and even cancer.
[01:30:33.352 --> 01:30:36.054]  It tastes like you're drinking out of the lake when you're doing tap water.
[01:30:36.054 --> 01:30:44.137]  The ProPure® G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[01:30:44.137 --> 01:30:45.578]  Okay, this is very tasty.
[01:30:45.578 --> 01:30:46.498]  It's good water.
[01:30:46.498 --> 01:30:46.959]  Refreshing.
[01:30:46.959 --> 01:30:47.439]  It's good!
[01:30:47.719 --> 01:30:56.348]  Go to InfowarsStore.com today and get your free wire stand with the purchase of a Pro-Pure Big Water Filtration System or call 1-888-253-3139.
[01:31:02.230 --> 01:31:04.631]  This is Alex Jones for InfoWarsLife.com.
[01:31:04.631 --> 01:31:07.452]  The latest in preparedness is now here.
[01:31:07.452 --> 01:31:13.615]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[01:31:13.615 --> 01:31:18.698]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[01:31:18.698 --> 01:31:23.600]  The new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family.
[01:31:23.600 --> 01:31:28.102]  And it's entirely free of toxic artificial additives that are loaded into many products.
[01:31:28.402 --> 01:31:37.007]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[01:31:37.007 --> 01:31:39.148]  This is not a low-grade formula.
[01:31:39.148 --> 01:31:50.334]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[01:31:50.334 --> 01:31:57.758]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[01:31:58.378 --> 01:32:08.583]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forward situation?
[01:32:08.583 --> 01:32:11.885]  The police are shoving people, shoving Alex, shoving the crowd.
[01:32:11.885 --> 01:32:13.686]  Here we go, folks, I'm being a sergeant!
[01:32:13.686 --> 01:32:20.049]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[01:32:20.049 --> 01:32:25.932]  Is this another false flag stage attack to take our civil liberties and put more homeless security sticking their hands down on the streets?
[01:32:26.072 --> 01:32:30.035]  It's up to us to set brush fires in the minds of men and women everywhere.
[01:32:30.035 --> 01:32:33.118]  And that's what PrisonPlanet.TV is designed to do.
[01:32:33.118 --> 01:32:41.404]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[01:32:41.404 --> 01:32:43.486]  What we see now is a war against reality.
[01:32:43.486 --> 01:32:44.547]  It's a war against the truth.
[01:32:44.907 --> 01:32:53.835]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[01:32:53.835 --> 01:32:56.497]  Visit InfoWarsNews.com today.
[01:32:56.497 --> 01:33:04.764]  Become a member, share your membership, and help take the info war to the next level.
[01:33:04.764 --> 01:33:12.491]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:33:15.331 --> 01:33:15.634]  I'm good.
[01:33:52.870 --> 01:33:55.093]  Ladies and gentlemen, we are back live.
[01:33:55.093 --> 01:33:57.335]  I am your host, Alex Jones.
[01:33:57.335 --> 01:34:05.504]  And we are at the halfway point in this Thursday, Worldwide, 7th day of August, 2014 transmission.
[01:34:05.504 --> 01:34:07.927]  Now, America won World War II.
[01:34:09.212 --> 01:34:14.313]  We were the good guys, by every yardstick, and we became the world reserve currency.
[01:34:14.313 --> 01:34:20.115]  They had the Bretton Woods Agreement, where the dollar became the currency of the planet.
[01:34:20.115 --> 01:34:22.816]  And slowly that began to get abused.
[01:34:22.816 --> 01:34:27.997]  And economists warned of it across the board, and said we'll end up like Weimar Germany down the road.
[01:34:29.642 --> 01:34:31.203]  Mexico's done similar things.
[01:34:31.203 --> 01:34:32.424]  Argentina.
[01:34:32.424 --> 01:34:37.168]  Every country has done this basically at one time in their history, one way or another.
[01:34:37.168 --> 01:34:43.013]  And it always ends, sometimes a generation or two later, in disaster.
[01:34:43.013 --> 01:34:51.360]  And that's what economist Bill Bonner, bonnerandpartners.com, his new book, Hormageddon, is breaking down.
[01:34:51.360 --> 01:34:52.301]  And I want to get in
[01:34:53.683 --> 01:34:59.689]  To the book, I want to talk about the fact that you can go to GetBillsBook1.com.
[01:34:59.689 --> 01:35:04.735]  He wanted to just come on and talk about the economy, but I've got the breakdown from the website on it.
[01:35:04.735 --> 01:35:09.259]  You can go there and get a hardback edition of the book before it's available anywhere.
[01:35:09.259 --> 01:35:10.561]  You can get an electronic copy.
[01:35:10.561 --> 01:35:16.067]  You can get a great compendium of America called The Idea of America, a four years
[01:35:16.747 --> 01:35:22.129]  I'm in a full year of Bill's new publication called The Bonner Letter.
[01:35:22.129 --> 01:35:28.292]  And number five, you get a special number one report, Bill Bonner's Trade of the Decade.
[01:35:28.292 --> 01:35:34.135]  And number six, you can get special report number two, The Bonner Family Wealth Blueprint.
[01:35:34.135 --> 01:35:37.916]  And he didn't come on to do this today, but I read his stuff, so I'm plugging it for him.
[01:35:37.916 --> 01:35:41.738]  When you go to his website, get Bill's book,
[01:35:42.358 --> 01:36:06.100]  the number one dot com you can sign up and get all of that for forty nine dollars you'll receive that and i'm telling you just one of the newsletters for a year it's a value of forty nine dollars you get six different things all there on the website you can sign up for that it get bills book the number one dot com or bonner and partners dot com you can also navigate
[01:36:06.760 --> 01:36:23.239]  Over there as well, so he joins us here today to go over all this so build Again, I want to give you the floor to really encapsulate all this for people, but but but take your time at the same time I mean if you take 20 minutes, it's encapsulating it.
[01:36:23.239 --> 01:36:25.742]  So we're you're telling the story of Weimar Germany.
[01:36:25.742 --> 01:36:26.803]  I think we should go back to that
[01:36:27.921 --> 01:36:38.615]  And then, I was asking you the question, selfishly and for my audience, I know it's very technical, that's why it's in the book and in the newsletters, but just to gestalt, how have you protected yourself?
[01:36:38.615 --> 01:36:40.557]  What do you really think the time frame is?
[01:36:40.557 --> 01:36:41.739]  I know no man knows, you know.
[01:36:42.995 --> 01:36:45.977]  All this stuff, because only God knows that stuff.
[01:36:45.977 --> 01:36:47.498]  Even the globalists with their control.
[01:36:47.498 --> 01:36:47.918]  No, no.
[01:36:47.918 --> 01:36:51.140]  It might be a year out, might be five, might be ten.
[01:36:51.140 --> 01:36:51.600]  You don't know.
[01:36:51.600 --> 01:36:54.081]  These things tend to last longer than you expect.
[01:36:54.081 --> 01:36:59.564]  But I think anybody, anybody would be foolish not to be protected now, because you never know.
[01:36:59.564 --> 01:37:02.806]  This thing could, you know, we're seeing some sell-off in the market now.
[01:37:02.806 --> 01:37:04.247]  We're seeing a lot of skittishness.
[01:37:04.247 --> 01:37:06.648]  We're seeing, you know, those Russian troops at the border.
[01:37:06.648 --> 01:37:07.329]  Who knows?
[01:37:07.329 --> 01:37:08.249]  You never know.
[01:37:08.249 --> 01:37:09.370]  So you've got to be prepared.
[01:37:10.030 --> 01:37:22.776]  And the preparation this time, I think, should be better than ever, because, you know, the last time we've had a serious, serious problem in the country, in the United States of America, was during the 30s.
[01:37:22.776 --> 01:37:25.137]  And the 30s was the Great Depression, of course, everybody knows.
[01:37:25.137 --> 01:37:32.861]  But during the 30s, people could still get by, because a quarter of the country still lived on the farm.
[01:37:32.861 --> 01:37:36.523]  And those people who didn't live on the farm hadn't been off the farm for very long.
[01:37:37.063 --> 01:37:48.692]  And the society did not depend on being able to go up to an ATM machine, put in a plastic card, and get something come out of that machine that was worth something that you could buy something with.
[01:37:48.692 --> 01:37:58.099]  Now all that stuff, you know, this is something I don't think anybody really understands, but the more complex, the more sophisticated the society becomes,
[01:37:58.659 --> 01:38:04.604]  The less it can afford to have this kind of central planning meddling in the economy.
[01:38:04.604 --> 01:38:06.145]  The easier the breakdown.
[01:38:06.145 --> 01:38:07.106]  The easier the breakdown.
[01:38:07.106 --> 01:38:08.327]  They're going to screw it up.
[01:38:08.327 --> 01:38:09.208]  They're going to screw it up.
[01:38:09.208 --> 01:38:16.554]  And we're seeing this major, major mess that they've made, which yet has not been revealed that most people don't even know what's going on.
[01:38:16.554 --> 01:38:20.197]  But they've driven up the amount of credit in society to $50 trillion.
[01:38:21.358 --> 01:38:36.010]  And if credit had remained as the same percentage of GDP as it had been for the last, like, 50 years, you know, today we have about $33 trillion worth of credit.
[01:38:36.010 --> 01:38:41.714]  And so that $33 trillion, that's the money that people have spent over the last 40 years.
[01:38:41.714 --> 01:38:43.675]  And mostly over the last 10 or 20 years.
[01:38:43.675 --> 01:38:46.258]  Well, how does the increased credit... Sure, sure.
[01:38:46.258 --> 01:38:48.759]  How does the increased credit, and I want you to continue,
[01:38:49.700 --> 01:39:00.513]  End up wrecking society because before they did all this fake credit, this country had 10% growth rates for the first 140 years or so of its existence.
[01:39:00.513 --> 01:39:03.817]  And then once all the Federal Reserve meddling got involved in 1913, they took regional
[01:39:09.528 --> 01:39:15.394]  Oh, that's exactly right.
[01:39:15.394 --> 01:39:17.856]  Before, companies would go broke.
[01:39:17.856 --> 01:39:19.617]  The whole banks would go belly up.
[01:39:19.617 --> 01:39:23.100]  Things would happen, and they would have crises in the economy.
[01:39:23.100 --> 01:39:29.926]  And in 1921, for example, there was a crisis, and stocks fell, and they fell down about 30%.
[01:39:29.926 --> 01:39:30.927]  And there was a depression.
[01:39:30.927 --> 01:39:33.289]  1 out of 10 people was thrown out of work in 1920.
[01:39:34.450 --> 01:39:37.452]  But that expression was over in 18 months.
[01:39:37.452 --> 01:39:39.153]  18 months later, there was full employment.
[01:39:39.153 --> 01:39:40.293]  How did that happen?
[01:39:40.293 --> 01:39:48.978]  Well, it happened because the meddlers were not in office, and they weren't meddling with the economy and preventing the process of healing.
[01:39:48.978 --> 01:39:57.542]  In order for an economy to heal, things have to fall down to the level where people want to buy them, and they buy them, and then they start investing again, and the thing gets going again.
[01:39:57.922 --> 01:39:59.383]  I mean, that's no mystery.
[01:39:59.383 --> 01:40:01.444]  That's been going on for a long time.
[01:40:01.444 --> 01:40:04.525]  But now we have a system where it's entirely different.
[01:40:04.525 --> 01:40:14.629]  And that system, by the way, had to work that way because they did not have an unlimited amount of money to save industries, to save investments, to save people.
[01:40:14.629 --> 01:40:15.110]  They couldn't.
[01:40:15.110 --> 01:40:20.452]  There was no Fannie Mae back then, and they didn't have the money to save it if it got into trouble.
[01:40:20.452 --> 01:40:22.093]  Bill, Bill, Bill, I want you to continue.
[01:40:22.093 --> 01:40:24.694]  This is so important, but just me personally.
[01:40:25.887 --> 01:40:32.031]  I mean, and my family and everybody else that I know that's somewhat successful or understands economics are totally freaked out.
[01:40:32.031 --> 01:40:38.055]  Governments are digging in, buying armored vehicles and weapons, and the Pentagon admits they believe we're going to have a collapse down the road.
[01:40:38.055 --> 01:40:47.561]  So what you're saying in the thinking public is prima facie, known to be true, and you and others predicted it before it was, you know, popularly known.
[01:40:47.561 --> 01:40:50.904]  What I'm asking you is, it's so scary when you talk about
[01:40:52.084 --> 01:41:04.111]  90% of people were somewhat self-sufficient and rural in the 10-year Great Depression, and we had millions of people homeless and millions that starved and deaths and all the rest of it.
[01:41:04.111 --> 01:41:05.252]  It was a disaster.
[01:41:05.252 --> 01:41:08.673]  Now we have 90% urban, 10% rural.
[01:41:08.673 --> 01:41:13.016]  Half the rural people, it's estimated, even by the Department of Defense, are self-sufficient.
[01:41:13.476 --> 01:41:23.479]  My God, if we have a breakdown now of a complex system like this with meddlers, it could turn into a road warrior meets the road meets Armageddon.
[01:41:23.479 --> 01:41:25.520]  Is that what Hormageddon is?
[01:41:25.520 --> 01:41:26.921]  That's what it's about.
[01:41:26.921 --> 01:41:31.142]  It describes what happens when things really go bad, and they really go bad.
[01:41:31.943 --> 01:41:36.787]  In a collective way when the central planners come get to work and pick at it.
[01:41:36.787 --> 01:41:38.849]  And that was what I was telling you about the German example.
[01:41:38.849 --> 01:41:44.653]  That was really what was going on was Adolf Hitler was an economist who had a plan for Germany's future.
[01:41:44.653 --> 01:41:48.436]  How to make it better and he stuck with that plan until the country was absolutely
[01:41:48.736 --> 01:41:49.796]  Absolutely destroyed.
[01:41:49.796 --> 01:41:53.937]  There was hardly a factory working in Germany in 1945.
[01:41:53.937 --> 01:42:03.519]  The whole country was flattened, it was invaded, half occupied by the Allies, half occupied by the Russians, and it was an absolute total disaster, catastrophe.
[01:42:03.519 --> 01:42:13.460]  The same thing had happened with the previous invasion of Russia led by Napoleon, in which he went in with 300,000 troops and came back with 10,000 troops.
[01:42:16.861 --> 01:42:27.105]  I mean, these are disasters on a massive scale, and what we're looking at now is the same caliber of disaster in finance and economics.
[01:42:27.105 --> 01:42:41.310]  Something that has never happened before in the history of the world, and is happening now because the leaders of the biggest economy, the most influential monetary power on the planet, have been doing something for the last 50 years, which is fundamentally very, very stupid.
[01:42:41.810 --> 01:42:51.654]  And we're going to, we and our children, are going to reap the results of that, which is going to be one of these Armageddon-type catastrophes, where everything goes wrong.
[01:42:51.654 --> 01:42:52.155]  Everything.
[01:42:52.155 --> 01:42:55.656]  You go to the ATM machine, it won't work, there won't be enough cash.
[01:42:55.656 --> 01:43:01.159]  You know, what happens in hyperinflation is the printing presses can't run fast enough.
[01:43:01.159 --> 01:43:03.360]  You can't get enough cash to make it work.
[01:43:03.360 --> 01:43:10.203]  And I'm indebted to Gary North, who pointed out a lot of this stuff back in the year 2000, when he was talking about the Y2K disaster.
[01:43:10.203 --> 01:43:10.863]  We didn't have a Y2K.
[01:43:11.423 --> 01:43:11.783]  I think so.
[01:43:30.994 --> 01:43:33.256]  People can't live for more than a couple days!
[01:43:33.256 --> 01:43:42.745]  You know, these systems of communication, of delivery, logistics, and all that, break down, and they all, by the way, they all run on money!
[01:43:42.745 --> 01:43:46.008]  And money, the money system breaks down, everything breaks down.
[01:43:46.008 --> 01:43:49.351]  That's exactly what happened in Germany in the Weimar Republic.
[01:43:49.351 --> 01:43:51.773]  It's what happened recently in Zimbabwe.
[01:43:51.773 --> 01:43:54.856]  But those were relatively primitive societies.
[01:43:54.856 --> 01:43:57.138]  Even Weimar Germany is very civilized, of course.
[01:43:57.378 --> 01:43:58.639]  Well, Bill, I understand that.
[01:44:23.268 --> 01:44:27.990]  Well, let's talk about what that disaster could look like and what could precipitate it.
[01:44:27.990 --> 01:44:36.594]  I mean, we already see sanctions on Russia hurting Russia, the EU, and the U.S., and the stock market going down because of it.
[01:44:36.594 --> 01:44:40.315]  I mean, it seems the meddling could actually accelerate this demise.
[01:44:40.315 --> 01:44:44.337]  A. B. Is there a way to turn this around or have a soft landing?
[01:44:44.337 --> 01:44:46.258]  Well, I'll answer B first.
[01:44:46.258 --> 01:44:46.898]  The answer is no.
[01:44:47.682 --> 01:44:50.104]  Because that's the nature of Ormageddon.
[01:44:50.104 --> 01:44:52.286]  And Ormageddon starts up, there's no stopping it.
[01:44:52.286 --> 01:44:56.709]  And there's no stopping it because it gets everybody behind it, everybody lined up.
[01:44:56.709 --> 01:45:02.714]  And now you can see, everybody who gets anything from the government is in favor of getting more from the government.
[01:45:02.714 --> 01:45:07.418]  They now control the government, there are more people who get something from the government than who pay taxes.
[01:45:07.418 --> 01:45:08.779]  That's not going to change!
[01:45:08.779 --> 01:45:10.681]  And so you're going to see more and more demand.
[01:45:10.681 --> 01:45:13.383]  And besides that, these economists running the Fed,
[01:45:13.803 --> 01:45:16.325]  They've all built their careers, their reputations.
[01:45:16.325 --> 01:45:18.707]  You know, they get these Nobel Prizes for Pete's sake.
[01:45:18.707 --> 01:45:27.295]  And they get it for an idea about controlling a society and controlling its economy, which is fundamentally false.
[01:45:27.295 --> 01:45:28.776]  And these people are not going to back up.
[01:45:28.776 --> 01:45:30.017]  They're not going to say, oh, guess what?
[01:45:30.017 --> 01:45:30.818]  I was wrong.
[01:45:30.818 --> 01:45:31.238]  No!
[01:45:31.238 --> 01:45:32.499]  They're not going to do that at all.
[01:45:32.499 --> 01:45:36.022]  Here's what I... And so now we get to the part A. Here's what's going to happen.
[01:45:36.022 --> 01:45:38.144]  And this is going to start happening pretty soon.
[01:45:38.832 --> 01:45:46.137]  Because we're running out of this, you know, they're winding down this QE program, and as they wind it down, they're going to find stocks begin to fall.
[01:45:46.137 --> 01:45:47.958]  We're already seeing that.
[01:45:47.958 --> 01:45:58.546]  And when we get some bad indicators, like a stock market falls off a thousand points, or we could come up with a bad reading of a revised figures for GDP, you know, who knows?
[01:45:58.546 --> 01:46:02.929]  Or it could be a geopolitical thing, you know, like a Russian invasion of Crimea, who knows?
[01:46:02.929 --> 01:46:03.970]  But something will happen.
[01:46:03.970 --> 01:46:05.611]  Stocks will fall.
[01:46:06.414 --> 01:46:08.735]  The economy all of a sudden will look rotten.
[01:46:08.735 --> 01:46:11.416]  And what will Janet Yellen and company do?
[01:46:11.416 --> 01:46:13.417]  They won't have any choice about it.
[01:46:13.417 --> 01:46:20.959]  All their training, all their experience, everything they believe will tell them, well, they've just got to go back and do more of what they were doing before.
[01:46:20.959 --> 01:46:32.183]  That means more money printing, probably more direct money printing, probably more direct financing of federal government expenses, and probably putting more liquidity directly into the system.
[01:46:32.183 --> 01:46:34.004]  And for a while, that could have
[01:46:34.770 --> 01:46:37.552]  Results again, once again, that look favorable.
[01:46:37.552 --> 01:46:39.674]  And we could see a big boost in the stock market.
[01:46:39.674 --> 01:46:43.137]  We could see headlines saying, well, they saved the world again.
[01:46:43.137 --> 01:46:48.801]  And then we're off to the races again with another big run-up, another big bubble blowing up.
[01:46:50.293 --> 01:46:53.555]  Fundamentally, you can't build success by printing money.
[01:46:53.555 --> 01:46:57.918]  If you could, why, Zimbabwe would be the richest country on earth.
[01:46:57.918 --> 01:47:00.580]  They printed billions of it, billions of it.
[01:47:00.580 --> 01:47:01.361]  But you can't do it.
[01:47:01.361 --> 01:47:02.181]  It doesn't work that way.
[01:47:02.181 --> 01:47:03.762]  You've got to save money, you've got to invest it.
[01:47:03.762 --> 01:47:05.484]  It's a long, hard process.
[01:47:05.484 --> 01:47:06.084]  That's how you get
[01:47:06.943 --> 01:47:08.724]  Well look at most third world countries.
[01:47:08.724 --> 01:47:17.867]  Many of them were prosperous previously until they went through the money printing hyperinflation situation and then they never come back from it.
[01:47:17.867 --> 01:47:24.529]  That's what's so scary is that the governments actually use the crisis to get full control and then never let
[01:47:25.973 --> 01:47:41.048]  I haven't even gotten into that, but just on the money side of it, when the money starts, you know, Janet Yellen prints more money, things look good, then they start to look bad because it fundamentally doesn't work.
[01:47:41.648 --> 01:47:43.290]  And then, they print more money.
[01:47:43.290 --> 01:47:45.652]  And now pretty soon, they cannot stop this.
[01:47:45.652 --> 01:47:49.895]  And they interviewed the guy, his name was Gideon Gono, who ran the Bank of Zimbabwe.
[01:47:49.895 --> 01:47:51.356]  And they said, well, why did you do that?
[01:47:51.356 --> 01:47:52.637]  That was crazy.
[01:47:52.637 --> 01:47:56.140]  And he explained how, at every step of the way, he didn't have a choice.
[01:47:56.140 --> 01:48:06.709]  You know, he had bankers, industrialists, and the president of the country all coming in and saying, we need more money, because people are running out of it, babies are crying, and you know, who knows?
[01:48:08.021 --> 01:48:15.285]  Well, it's the same thing with the open border and giving free welfare to tens of millions of people pouring in.
[01:48:15.285 --> 01:48:16.885]  They go, it's children.
[01:48:16.885 --> 01:48:17.886]  Love them.
[01:48:17.886 --> 01:48:19.007]  There are children.
[01:48:19.007 --> 01:48:23.589]  And I go, wait a minute, they can't take care of them in Guatemala or in Zimbabwe.
[01:48:23.589 --> 01:48:27.911]  How am I supposed to take care of them when we're already on paper bankrupt?
[01:48:27.911 --> 01:48:29.632]  And they go, you just don't like children.
[01:48:29.992 --> 01:48:32.873]  And I go, okay, well, Zimbabwe will take my kids then?
[01:48:32.873 --> 01:48:47.296]  I mean, it's crazy how it's all just emotional garbage, and that's supposed to trump cold, hard, economic, 100% scientific fact, incontrovertible, and then here's the worst part, Bill, and I want your take on this.
[01:48:47.296 --> 01:48:51.297]  It's all over the news, year to year, all the top billionaires have left Israel.
[01:48:52.077 --> 01:48:53.978]  Top billionaires are leaving the U.S.
[01:48:53.978 --> 01:49:00.641]  buying armored redoubts in the Cook Islands and the middle of nowhere in Australia and New Zealand and the Caribbean.
