[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[01:40:05.000 --> 01:40:09.000]  It varies and you know, something like 50% as well.
[01:40:09.000 --> 01:40:11.000]  But then they kind of actuary it together.
[01:40:11.000 --> 01:40:12.000]  It's close to 90%.
[01:40:12.000 --> 01:40:13.000]  You can pull this up.
[01:40:13.000 --> 01:40:20.000]  We'll never either pay off the loans or get a job in the field they actually got a degree for.
[01:40:20.000 --> 01:40:22.000]  Most degrees are worthless.
[01:40:22.000 --> 01:40:31.000]  If you want, if you want an engineering or you want one, you like an EMT certificate or law enforcement certificate or a nurse certificate, those type of jobs.
[01:40:31.000 --> 01:40:38.000]  You can probably, you know, live a decent paycheck off that for the degree you paid for.
[01:40:38.000 --> 01:40:48.000]  But not with teaching degrees, you're probably never with a standard teaching certificate going to even make back the money you have spent on the education.
[01:40:48.000 --> 01:40:51.000]  And it's not going to compete with a comparable job mowing and lawns.
[01:40:51.000 --> 01:40:55.000]  You know how many people I know that hustle, knock on doors and do good jobs moving lawns.
[01:40:55.000 --> 01:41:04.000]  I know people that have two or three trucks working for them that started to out of Hispanics and I know black and I know white business owners that have mixed crews.
[01:41:04.000 --> 01:41:06.000]  You name it.
[01:41:06.000 --> 01:41:09.000]  Some have pure Hispanic crews that tends to be Hispanics.
[01:41:09.000 --> 01:41:11.000]  It's not racist because they're Hispanic, whatever.
[01:41:11.000 --> 01:41:13.000]  The point is that's the crew as folks they know.
[01:41:13.000 --> 01:41:14.000]  It's homogeneous.
[01:41:14.000 --> 01:41:25.000]  Who are making $300,000 a year living in McMansions and driving $50,000 cars around.
[01:41:25.000 --> 01:41:27.000]  I'm going from memory here, so I'm bumbling around.
[01:41:27.000 --> 01:41:35.000]  The point is that I know a lot of people that have working class jobs that own plumber companies, lighting companies, you name it.
[01:41:35.000 --> 01:41:37.000]  They're living like kings.
[01:41:37.000 --> 01:41:39.000]  Their employees are paid good.
[01:41:39.000 --> 01:41:42.000]  They're doing well and they don't have college degrees.
[01:41:42.000 --> 01:41:49.000]  That's well known that most of the billionaires in this country didn't go to college or quit college because they're outside of the box.
[01:41:49.000 --> 01:42:04.000]  You go to college to basically learn how to conform and be put into a managed economy cog and then to socially go along with the cult programming of the corporate cult that's being set up.
[01:42:04.000 --> 01:42:14.000]  And the corporate cult changes all the time, so there's always new downloads of the new way, the new political correctness, the new terms to use.
[01:42:14.000 --> 01:42:23.000]  And then you're promoted on how you follow those orders like a little brainwashed corporate Borg minion.
[01:42:23.000 --> 01:42:26.000]  Let me just pause for a moment because this is really getting me wound up.
[01:42:26.000 --> 01:42:36.000]  I think I'm on a roll today, but I tend to get too upset, too excited, my brain starts going too fast, and I start getting facts wrong and jumbling words.
[01:42:36.000 --> 01:42:39.000]  Let me just...
[01:42:39.000 --> 01:42:49.000]  But imagine I'm up here ranting for hours exposing this to the public, going over it, reminding you how obscene these people are.
[01:42:49.000 --> 01:42:56.000]  And it's important to have a pit stop and take a break for a moment and just cool off for a second.
[01:42:56.000 --> 01:42:58.000]  Cool off like fancy.
[01:42:58.000 --> 01:43:00.000]  Cool off and relax.
[01:43:00.000 --> 01:43:01.000]  There we go.
[01:43:01.000 --> 01:43:04.000]  Now we can refocus.
[01:43:04.000 --> 01:43:08.000]  I haven't even scratched the surface of the news, but I've been a good boy.
[01:43:08.000 --> 01:43:16.000]  I've probably covered 60 or more big articles and I've only got 200 more.
[01:43:16.000 --> 01:43:17.000]  Today's a big news day.
[01:43:17.000 --> 01:43:20.000]  I've got at least 200 more.
[01:43:20.000 --> 01:43:23.000]  By the way, you think I just say 200 more looking at my articles?
[01:43:23.000 --> 01:43:30.000]  I bet you money that if I count these articles, it's 200 or close to it or more.
[01:43:30.000 --> 01:43:32.000]  I've learned what these stacks are.
[01:43:32.000 --> 01:43:34.000]  This little stack of it's only an inch deep.
[01:43:34.000 --> 01:43:37.000]  I got a four inch stack right there.
[01:43:37.000 --> 01:43:39.000]  I bet it's 20 articles.
[01:43:39.000 --> 01:43:49.000]  One, two, three, four, five, six, seven, eight, nine, 10.
[01:43:49.000 --> 01:43:54.000]  This is so enjoyable, not just focusing on the globalists for a minute, just doing something mindless.
[01:43:54.000 --> 01:44:10.000]  11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23.
[01:44:10.000 --> 01:44:14.000]  I said that was 20, it's 23.
[01:44:14.000 --> 01:44:19.000]  I bet that stack that's almost four inches tall.
[01:44:19.000 --> 01:44:23.000]  I bet that's 80 articles.
[01:44:23.000 --> 01:44:24.000]  That's 100.
[01:44:24.000 --> 01:44:25.000]  We had all these together.
[01:44:25.000 --> 01:44:27.000]  I bet it's 200.
[01:44:27.000 --> 01:44:29.000]  Again, I'm not just saying stuff here.
[01:44:29.000 --> 01:44:30.000]  I live this every day.
[01:44:30.000 --> 01:44:36.000]  I know what 200 articles are that I've looked at before I went on air.
[01:44:36.000 --> 01:44:42.000]  Can you imagine the headache I get looking at these sniveling maggots and what they're doing?
[01:44:42.000 --> 01:44:44.000]  I'm so sick of these people.
[01:44:44.000 --> 01:44:47.000]  Then I get to have a reporter here ask me questions like,
[01:44:47.000 --> 01:44:59.000]  so you really think they're setting up a world government and I just my eyes glaze over, you want to see 500 news articles announcing it?
[01:44:59.000 --> 01:45:02.000]  I've got articles here in the stack.
[01:45:02.000 --> 01:45:03.000]  I said I'd take calls.
[01:45:03.000 --> 01:45:07.000]  Now there's no time in the sour because I've got David night popping in the next big breaking news.
[01:45:07.000 --> 01:45:12.000]  That's incredibly poignant, incredibly saddening that you must see dealing with Islam.
[01:45:12.000 --> 01:45:16.000]  Probably some of the sickest video I've ever seen and that's saying a lot from Islam.
[01:45:16.000 --> 01:45:18.000]  Oh, it's not Islam Al Qaeda, ISIS.
[01:45:18.000 --> 01:45:20.000]  I understand where the Muslims are crying it.
[01:45:20.000 --> 01:45:22.000]  A lot of Muslims don't support this.
[01:45:22.000 --> 01:45:27.000]  They're afraid they're going to get targeted because nobody gets bullied more than Muslims by Muslims.
[01:45:27.000 --> 01:45:33.000]  That's why it gets so extreme because there's a there's a contest to see who can be the most abusive.
[01:45:33.000 --> 01:45:35.000]  Who can be the most out of control?
[01:45:35.000 --> 01:45:37.000]  Who can be the most bullying?
[01:45:37.000 --> 01:45:42.000]  Instead of the West trying to see who can be the most liberated, the most free, the most open.
[01:45:42.000 --> 01:45:46.000]  And then now that's hijacked by extreme leftist who are so leftist,
[01:45:46.000 --> 01:45:52.000]  they're fascist trying to end all of our freedoms in the name of delivering us to a heavenly abode.
[01:45:52.000 --> 01:45:54.000]  That's called a cult.
[01:45:54.000 --> 01:45:55.000]  They are a cult.
[01:45:55.000 --> 01:45:59.000]  I don't say that rhetorically or with rhetoric to make my point.
[01:45:59.000 --> 01:46:10.000]  They are by scientific design, the scientific dictatorships idea of human sabotage so they can control us.
[01:46:10.000 --> 01:46:18.000]  It's the rearguard action as they steal the future running into the future with the future under their arm,
[01:46:18.000 --> 01:46:28.000]  hoping we sit around in the dirt fighting with each other while they hijack humanity with their giant breakaway society system.
[01:46:28.000 --> 01:46:32.000]  But before I go any further, I didn't plug last hour, so I'm going to plug a couple times this hour.
[01:46:32.000 --> 01:46:34.000]  We're running the biggest specials.
[01:46:34.000 --> 01:46:35.000]  In fact, we did an analysis.
[01:46:35.000 --> 01:46:36.000]  We're now running the biggest specials.
[01:46:36.000 --> 01:46:43.000]  We've had some big specials this year, but this is the biggest with free shipping with the auto ship 10% off additionally,
[01:46:43.000 --> 01:46:48.000]  with 50% off colloidal silver, 33% off a bunch of the other nutraceuticals.
[01:46:48.000 --> 01:46:52.000]  The lowest special is 25% off on one of the items.
[01:46:52.000 --> 01:46:53.000]  Which one of those is that?
[01:46:53.000 --> 01:46:55.000]  That's DNA force, but it's sold out.
[01:46:55.000 --> 01:46:57.000]  And oh, that's the big point.
[01:46:57.000 --> 01:47:03.000]  Most of this is going to sell out by the new year, which was my plan.
[01:47:03.000 --> 01:47:09.000]  But we did a little bit too good a job. I wanted to have some inventory going into next year.
[01:47:09.000 --> 01:47:13.000]  But I didn't want to pay too much, you know, that we have a state tax here in Texas on inventory.
[01:47:13.000 --> 01:47:15.000]  Oh, Frone's tax and all those other garbage.
[01:47:15.000 --> 01:47:21.000]  So yeah, we're a low tax state, but still that didn't stand much in one of the, you know, overtaxed countries.
[01:47:21.000 --> 01:47:23.000]  And so we're going to sell out of the toothpaste.
[01:47:23.000 --> 01:47:29.000]  It's got ionic, little silver and the super metal vitality for vital shield X to silver bullet.
[01:47:29.000 --> 01:47:31.000]  It looks like it's about to sell out.
[01:47:31.000 --> 01:47:37.000]  But the living defense parasite cleanse bio PCA bio tricillinium secret 12.
[01:47:37.000 --> 01:47:43.000]  Our biome defense probiotic that is the best we can develop with the top companies out there.
[01:47:43.000 --> 01:47:45.000]  This is a true game changer. Check out biome defense.
[01:47:45.000 --> 01:47:47.000]  It's got 5.7 stars.
[01:47:47.000 --> 01:47:50.000]  Vitamin mineral fusion.
[01:47:50.000 --> 01:47:51.000]  I thought that'd be a big hit.
[01:47:51.000 --> 01:47:52.000]  That's not one of our big hits.
[01:47:52.000 --> 01:47:57.000]  It's one of the best vitamin mineral fruit punches out there with the amino acids you name it.
[01:47:57.000 --> 01:48:00.000]  And it's concentrated only has 4.7 stars,
[01:48:00.000 --> 01:48:02.000]  which is incredible and is not one of our best sellers.
[01:48:02.000 --> 01:48:04.000]  I use it every day and love it. I don't know why.
[01:48:04.000 --> 01:48:06.000]  I thought that'd be our best seller, but it isn't.
[01:48:06.000 --> 01:48:08.000]  You ought to take advantage of that.
[01:48:08.000 --> 01:48:10.000]  That's something that isn't close to selling out.
[01:48:10.000 --> 01:48:15.000]  infowarslife.com or call toll free, triple eight, two, five, three, three, one, three, nine.
[01:48:15.000 --> 01:48:20.000]  And by the way, one of the best ways to get your kids to take a multivitamin,
[01:48:20.000 --> 01:48:23.000]  if it's a hard multivitamin, most of those go right through your kids.
[01:48:23.000 --> 01:48:24.000]  It's been proven in studies.
[01:48:24.000 --> 01:48:27.000]  I don't want to get into it, but everybody knows most of the hard bills go out.
[01:48:27.000 --> 01:48:30.000]  So what we have is liquid, so you absorb almost all of it.
[01:48:30.000 --> 01:48:33.000]  Powder is good too. It's in a powdered caplet.
[01:48:33.000 --> 01:48:37.000]  One of that gets absorbed because it turns into powder in the intestines,
[01:48:37.000 --> 01:48:39.000]  in the stomach of the intestines.
[01:48:39.000 --> 01:48:43.000]  So you do get good absorption, but nothing like under your tongue,
[01:48:43.000 --> 01:48:46.000]  like a lot of our products, or drinking it.
[01:48:46.000 --> 01:48:50.000]  So it mixes with the saliva, digestion begins, it gets absorbed in the mouth,
[01:48:50.000 --> 01:48:54.000]  the esophagus, esophageal membrane, and then it goes in the stomach,
[01:48:54.000 --> 01:48:57.000]  and then the upper and lower intestines, the large and small intestines,
[01:48:57.000 --> 01:48:59.000]  so more of it gets absorbed.
[01:48:59.000 --> 01:49:02.000]  It's amazing. I love it.
[01:49:02.000 --> 01:49:05.000]  When I first advertised that a little bit, it's, you know, sampler container in my hand
[01:49:05.000 --> 01:49:08.000]  that's half the size of the real container, but even the real container itself is concentrated.
[01:49:08.000 --> 01:49:11.000]  So it's the same price as leading competitors, but it doesn't matter.
[01:49:11.000 --> 01:49:13.000]  I'm not in competition with Beyond Tanging Tangerine.
[01:49:13.000 --> 01:49:19.000]  It's a rare earth mineral, basically, derives super high quality,
[01:49:19.000 --> 01:49:23.000]  infowarsteam.com, you buy it there, it helps fund the operation.
[01:49:23.000 --> 01:49:27.000]  Five mineral fusion is plant derived, so two different systems.
[01:49:27.000 --> 01:49:30.000]  I would put them on par with each other.
[01:49:30.000 --> 01:49:34.000]  My kids, personally, one of my kids likes our five mineral fusion,
[01:49:34.000 --> 01:49:38.000]  the other two like the original Beyond Tanging Tangerine,
[01:49:38.000 --> 01:49:42.000]  which is still my favorite. They have the 2.0 that's totally organic,
[01:49:42.000 --> 01:49:44.000]  and I don't like it as much.
[01:49:44.000 --> 01:49:47.000]  I mean, I'm not bad about it. I think it tastes like peach.
[01:49:47.000 --> 01:49:52.000]  Maybe I just like fruit punch, but you get the incredible original Beyond Tanging Tangerine,
[01:49:52.000 --> 01:49:56.000]  and, of course, the new one that's excellent, at infowarsteam.com.
[01:49:56.000 --> 01:50:00.000]  There's a toll free number there. You can call as well and order that way.
[01:50:00.000 --> 01:50:05.000]  But infowarslife.com is our label, and it's of the highest quality as well.
[01:50:05.000 --> 01:50:09.000]  That's why, with Yongevity, they have the highest standard as well, just absolutely amazing folks,
[01:50:09.000 --> 01:50:13.000]  and so we're really glad to be one of their chief distributors there at infowarsteam.com.
[01:50:13.000 --> 01:50:16.000]  You can also sign up there, become a business and distribute it,
[01:50:16.000 --> 01:50:18.000]  get bigger discounts, sign up for auto-ship.
[01:50:18.000 --> 01:50:21.000]  You can also there get free shipping there when you do that.
[01:50:21.000 --> 01:50:24.000]  When you're a distributor, you get bigger discounts as well,
[01:50:24.000 --> 01:50:27.000]  so a great company right here in the good old U.S. of A.
[01:50:27.000 --> 01:50:30.000]  infowarsteam.com.
[01:50:30.000 --> 01:50:35.000]  Now, we're going to come back after break and plunge into Obama,
[01:50:35.000 --> 01:50:39.000]  still trying to start World War III with 29 days out,
[01:50:39.000 --> 01:50:44.000]  29 days, ladies and gentlemen, until Trump's in, and what else will they try then?
[01:50:44.000 --> 01:50:47.000]  I will open the phone some of the next hour, even though we're going to have guests in here,
[01:50:47.000 --> 01:50:50.000]  because I want to get your take on how they may try to sabotage Trump.
[01:50:50.000 --> 01:50:52.000]  I want to crowdsource your knowledge.
[01:50:52.000 --> 01:50:57.000]  I want to get your take on that straight ahead, 800-25-99-231.
[01:50:57.000 --> 01:51:20.000]  Thank you very much.
[01:51:27.000 --> 01:51:31.000]  I realize this is not dinner table conversation, but here goes anyway.
[01:51:31.000 --> 01:51:34.000]  One World Way solved my irregularity.
[01:51:34.000 --> 01:51:36.000]  I've been plagued with constipation for years,
[01:51:36.000 --> 01:51:38.000]  and I thought it would be that way for the rest of my life.
[01:51:38.000 --> 01:51:42.000]  Three weeks on One World Way set me on a new path.
[01:51:42.000 --> 01:51:45.000]  That was five months ago, and I haven't been irregular since.
[01:51:45.000 --> 01:51:47.000]  Will it work the same way for you?
[01:51:47.000 --> 01:51:49.000]  I don't know. It worked for me.
[01:51:49.000 --> 01:51:58.000]  Call 888-988-3325 or visit OneWorldWay.com. That's OneWorldWHEY.com.
[01:52:19.000 --> 01:52:31.000]  How confident are you in your food storage?
[01:52:31.000 --> 01:52:35.000]  If it was all you had to rely on, would it sustain your family?
[01:52:35.000 --> 01:52:38.000]  Hard times, good times, or any time?
[01:52:38.000 --> 01:52:41.000]  New Manastorable Food is the proven superior choice.
[01:52:41.000 --> 01:52:46.000]  Learn for yourself what happened when one man ate only New Manastorable Food for an entire month.
[01:52:46.000 --> 01:52:50.000]  Online at powerprepper.com. That's powerprepper.com.
[01:52:50.000 --> 01:52:52.000]  Experience the new man of difference.
[01:52:52.000 --> 01:53:18.000]  American made food stores all love to eat. Yum!
[01:53:18.000 --> 01:53:30.000]  We use cell phones against our heads every day.
[01:53:30.000 --> 01:53:34.000]  But now a landmark U.S. government study confirms increased health risks
[01:53:34.000 --> 01:53:37.000]  from exposure to EMF radiation emitted from these devices.
[01:53:37.000 --> 01:53:39.000]  The time to protect yourself is now.
[01:53:39.000 --> 01:53:48.000]  The solution is Defender Shield.
[01:53:48.000 --> 01:53:52.000]  Buy now at DefenderShield.com. Use discount code Defender for 10% off.
[01:53:52.000 --> 01:53:58.000]  DefenderShield.com, the worldwide leader in EMF radiation protection.
[01:53:58.000 --> 01:54:09.000]  How was a highwayman? Along the coach roads I did ride.
[01:54:09.000 --> 01:54:19.000]  Sword and pistol by my side. Many a young maid lost her bobbles to my trade.
[01:54:19.000 --> 01:54:32.000]  Many a soldier shed his life blood on my blade. The master tongue me in the spring of twenty five.
[01:54:32.000 --> 01:54:35.000]  But I am still alive.
[01:54:35.000 --> 01:54:37.000]  Through the progeny.
[01:54:37.000 --> 01:54:41.000]  Alright, David Knight's our guest. Start of the next hour.
[01:54:41.000 --> 01:54:44.000]  I'm going to get into the World War III Obamas trying to start.
[01:54:44.000 --> 01:54:48.000]  And we're in more danger now than before.
[01:54:48.000 --> 01:54:52.000]  Understand that. This is very, very serious.
[01:54:52.000 --> 01:54:56.000]  And I'm going to show you where NATO says they want physical war with Russia.
[01:54:56.000 --> 01:55:01.000]  And then we're going to have Leon McAdib in here along with Owen and other great reporters
[01:55:01.000 --> 01:55:04.000]  to give their views just on year end, what's happened, what they think is coming.
[01:55:04.000 --> 01:55:07.000]  I'm going to try to spice some of your calls in. I gave that number out so we went to break.
[01:55:07.000 --> 01:55:11.000]  So we'll launch that phone system, 800-25-99-231.
[01:55:11.000 --> 01:55:13.000]  But David Knight, I've encouraged David and reporters,
[01:55:13.000 --> 01:55:17.000]  when something's really hardcore I've missed, and you think it's important, I respect our crew.
[01:55:17.000 --> 01:55:21.000]  If there aren't guests on at that time or if there's something breaking, go ahead and just come in.
[01:55:21.000 --> 01:55:24.000]  Bring us the news. He's done something really sad.
[01:55:24.000 --> 01:55:26.000]  He showed me about 20 minutes ago during the last break.
[01:55:26.000 --> 01:55:30.000]  So I asked him to show you this and talk about it here in this segment and in the next.
[01:55:30.000 --> 01:55:33.000]  So we're going to be breaking that down right now.
[01:55:33.000 --> 01:55:39.000]  You know, if you're a TV viewer, I have this beautiful shot of the Christmas tree, time lapse last night.
[01:55:39.000 --> 01:55:41.000]  We actually have a time lapse. It's amazing.
[01:55:41.000 --> 01:55:43.000]  And the capital that our great crew shot.
[01:55:43.000 --> 01:55:48.000]  And I look at that and think Islamists want to run people over and kill families at these.
[01:55:48.000 --> 01:55:55.000]  And then meanwhile, David Knight has footage and a story about a mother training her little children to be suicide bombers.
[01:55:55.000 --> 01:55:59.000]  I mean, this is mind control, pure demonic evil.
[01:55:59.000 --> 01:56:07.000]  And our leftist media is in bed with it and thinks it's sexy and says the Russian ambassador deserved to die.
[01:56:07.000 --> 01:56:10.000]  So David Knight, tell us about the sickeningness.
[01:56:10.000 --> 01:56:14.000]  Well, you know, Alex, I was shooting an interview for the nightly news and my wife had sent me this story.
[01:56:14.000 --> 01:56:17.000]  It's now on Drudge. People can find it there.
[01:56:17.000 --> 01:56:29.000]  But we had a story yesterday from Syrian girl and she was talking about a seven year old that had been used as a suicide bomber for the Syria at the Syria police station.
[01:56:29.000 --> 01:56:36.000]  And now we've got footage of a mother who is kissing her children goodbye as suicide bombers,
[01:56:36.000 --> 01:56:40.000]  a seven year old girl and a nine year old girl. And Alex, this is just gut-riching.
[01:56:40.000 --> 01:56:43.000]  This is nothing but a cult of death.
[01:56:43.000 --> 01:56:46.000]  And then the sickening evil demonic dad comes in.
[01:56:46.000 --> 01:56:49.000]  I mean, I want to be honest, I just instinctively want to attack him.
[01:56:49.000 --> 01:56:51.000]  Well, you look at what's happening.
[01:56:51.000 --> 01:56:54.000]  And of course, the guy has been identified as someone who's with Al Nusra.
[01:56:54.000 --> 01:56:58.000]  We were told back in 2013 that Al Nusra was part of the moderate rebels.
[01:56:58.000 --> 01:57:02.000]  We had two CIA agents meeting with them.
[01:57:02.000 --> 01:57:07.000]  Such child abuse. Obama and Hillary in the left are backing these people.
[01:57:07.000 --> 01:57:11.000]  Why are they so evil? Why do they hate Christianity? I'm talking about the liberals.
[01:57:11.000 --> 01:57:14.000]  Yeah. Well, they were meeting openly with them back in 2013,
[01:57:14.000 --> 01:57:16.000]  telling us they're moderate rebels.
[01:57:16.000 --> 01:57:23.000]  Then in 2015, we were told that by Petraeus, hey, we need to use Al Nusra against Al Qaeda.
[01:57:23.000 --> 01:57:27.000]  They are the same thing. They try to pretend they're distinct groups and then they say that they're the same.
[01:57:27.000 --> 01:57:34.000]  But when you look at this video, you look at this woman who is dressed head to toe in black like some kind of death cult figure.
[01:57:34.000 --> 01:57:38.000]  And that's what it is. This is like the grim reaper, but that's her own children.
[01:57:38.000 --> 01:57:46.000]  You know, in our country, mothers are usually cry when they drop their kids off to school in the first grade for the first time, abandoning them.
[01:57:46.000 --> 01:57:49.000]  She's hugging them to send them off to blow people up in Aleppo.
[01:57:49.000 --> 01:57:53.000]  And then our media literally backs these rebels and acts like they're rock stars.
[01:57:53.000 --> 01:57:58.000]  They have Netflix shows, HBO shows. Man, I'm sick of these people.
[01:57:58.000 --> 01:58:03.000]  We need to take the gloves off. We need to call it what it is. You said it's a cult. It is a cult of death.
[01:58:03.000 --> 01:58:06.000]  We need to understand. It's a satanic death cult. It's a satanic death cult.
[01:58:06.000 --> 01:58:09.000]  This, let me tell you, this form of Islam is Satanism.
[01:58:09.000 --> 01:58:11.000]  They've made a sacrament of death.
[01:58:11.000 --> 01:58:14.000]  And that's why we see the types of things that we saw at a Christmas market this week.
[01:58:14.000 --> 01:58:18.000]  And that's why we see this type of thing with a mother using her children.
[01:58:18.000 --> 01:58:23.000]  They sent them in to this police station, blew them up, remote-controlled them.
[01:58:23.000 --> 01:58:24.000]  They believe...
[01:58:24.000 --> 01:58:26.000]  That's right. I want to come back and talk more about this.
[01:58:26.000 --> 01:58:34.000]  And I want to take this very live clip right now, excise it out and post it to YouTube to just show the world the type of people we're dealing with.
[01:58:34.000 --> 01:58:38.000]  A mother and father prepared to murder their children for Islam.
[01:58:38.000 --> 01:58:42.000]  And the left won't say a damn word because they hate this country so much.
[01:58:42.000 --> 01:58:49.000]  They're cuckled. We'll be back on our shows.
[01:59:13.000 --> 01:59:16.000]  We need each day with our modern diets.
[01:59:16.000 --> 01:59:23.000]  Seeker 12 by InfoWarsLife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[01:59:23.000 --> 01:59:28.000]  It pairs two forms of vitamin B12 into one explosive formula.
[01:59:28.000 --> 01:59:34.000]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[01:59:34.000 --> 01:59:37.000]  But it also assists with many other functions of the body.
[01:59:37.000 --> 01:59:41.000]  Electrify your mind and body and take your health to the next level.
[01:59:41.000 --> 01:59:44.000]  Experience the power of Seeker 12 at InfoWarsLife.com.
[01:59:44.000 --> 02:00:13.000]  That's InfoWarsLife.com.
[02:00:14.000 --> 02:00:26.000]  Think of the beauty of Merle Haggard's voice.
[02:00:26.000 --> 02:00:34.000]  And then think about the ugliness of Orthodox Islam and what it's mutated into.
[02:00:34.000 --> 02:00:38.000]  Say some prayers for those little girls.
[02:00:38.000 --> 02:00:40.000]  Total evil.
[02:00:40.000 --> 02:00:45.000]  We've got to do what we've got to do, don't we?
[02:00:45.000 --> 02:00:53.000]  Gloves got to come off with the sickening satanic left and the spirit cookers and the pedophiles and the portionists that are involved in all this evil.
[02:00:53.000 --> 02:00:55.000]  The selling of the Chinese baby's parts.
[02:00:55.000 --> 02:00:59.000]  The fall-on gong being executed because they're Buddhist.
[02:00:59.000 --> 02:01:01.000]  They exercise their religion in peace.
[02:01:01.000 --> 02:01:03.000]  Not a word from the State Department.
[02:01:03.000 --> 02:01:05.000]  Not a word from the globalist.
[02:01:05.000 --> 02:01:12.000]  Other than celebrating it and saying China runs our lives, Islam runs our lives, Sharia law is the way to go.
[02:01:12.000 --> 02:01:16.000]  There's a sickening report out of the Southern Primary Law Center that's been totally discredited.
[02:01:16.000 --> 02:01:19.000]  Obviously law enforcement doesn't even use them anymore.
[02:01:19.000 --> 02:01:25.000]  Where they say Trump's National Security Advisor Twitter account shows the extent of anti-Muslim beliefs.
[02:01:25.000 --> 02:01:30.000]  They talk about General Flynn, the former head of military intelligence, Pentagon intelligence.
[02:01:30.000 --> 02:01:32.000]  Very senior rank in intelligence.
[02:01:32.000 --> 02:01:39.000]  He's about as high as it gets, exposing that our government was backing Al-Nusra and Al-Qaeda and ISIS in Syria and saying we shouldn't do it.
[02:01:39.000 --> 02:01:41.000]  So Obama relieved him three years ago.
[02:01:41.000 --> 02:01:44.000]  Now he's the Chief National Security Advisor to President Trump.
[02:01:44.000 --> 02:01:47.000]  And they have quotes in here like saying Islam kills children.
[02:01:47.000 --> 02:01:49.000]  Islam is dominant in areas that exist.
[02:01:49.000 --> 02:01:51.000]  We can't coexist with Orthodox Islam.
[02:01:51.000 --> 02:01:53.000]  It's rational to fear Islam.
[02:01:53.000 --> 02:01:55.000]  They're going to attack us.
[02:01:55.000 --> 02:01:58.000]  That's like saying the sky's blue.
[02:01:58.000 --> 02:02:03.000]  And then they attack him for saying it and bringing it up and say remove him.
[02:02:03.000 --> 02:02:10.000]  And Chris Hayes tries to cover up the Islamic attacks in Europe with these 18-wheelers running over children in Nice and in Berlin.
[02:02:10.000 --> 02:02:17.000]  And now we have footage released by Al-Nusra themselves of their little five and six-year-old daughters going to suicide bomb
[02:02:17.000 --> 02:02:20.000]  and blow themselves up and the mother kissing them and hugging them.
[02:02:20.000 --> 02:02:22.000]  And what does Flynn say in the article?
[02:02:22.000 --> 02:02:24.000]  He goes, where is Islam decrying the bombings?
[02:02:24.000 --> 02:02:27.000]  No one decries it in Islam when they do it.
[02:02:27.000 --> 02:02:29.000]  Is that a fear or do they support this?
[02:02:29.000 --> 02:02:34.000]  I want to hear Islam decry blowing up little girls to kill other innocent people.
[02:02:34.000 --> 02:02:39.000]  And I want to hear the left decry it and stop pushing it like the folks in Aleppo are heroes
[02:02:39.000 --> 02:02:43.000]  when the Russians and the Syrians valiantly battle this scum.
[02:02:43.000 --> 02:02:45.000]  David Knight.
[02:02:45.000 --> 02:02:48.000]  So you know, we're always hearing from the liberals that we got to do it for the children.
[02:02:48.000 --> 02:02:49.000]  Let's do it for these children.
[02:02:49.000 --> 02:02:50.000]  Let's protect women.
[02:02:50.000 --> 02:02:53.000]  Look at the woman who is covered up here in a black burky.
[02:02:53.000 --> 02:02:54.000]  You can't even see her face.
[02:02:54.000 --> 02:02:56.000]  Let's do it for the LGBT people.
[02:02:56.000 --> 02:02:58.000]  In the shroud of death.
[02:02:58.000 --> 02:03:00.000]  Yes, absolutely.
[02:03:00.000 --> 02:03:06.000]  All the groups, LGBT people as well, all the groups that the Democrats say they're there to protect,
[02:03:06.000 --> 02:03:12.000]  these are the people that are being attacked specifically and most directly by these Islamists.
[02:03:12.000 --> 02:03:15.000]  But of course they want to kill everyone who isn't a part of their cult of death
[02:03:15.000 --> 02:03:19.000]  and they even want to kill their own children as part of that cult of death.
[02:03:19.000 --> 02:03:21.000]  This is the disgusting thing here.
[02:03:21.000 --> 02:03:22.000]  Look how sad the little one is.
[02:03:22.000 --> 02:03:23.000]  Look how they look like zombies.
[02:03:23.000 --> 02:03:24.000]  Yes.
[02:03:24.000 --> 02:03:27.000]  And then she just leans up against her mother wishing she'd get love.
[02:03:27.000 --> 02:03:32.000]  And instead she gets to put a belt of plastic on her with nails in it that blow her into pieces
[02:03:32.000 --> 02:03:35.000]  because her satanic mother is a frickin' demon.
[02:03:35.000 --> 02:03:36.000]  That's absolutely insane.
[02:03:36.000 --> 02:03:37.000]  And Alex, you know what?
[02:03:37.000 --> 02:03:41.000]  When we're hearing Obama talking about pushing against the Russians
[02:03:41.000 --> 02:03:44.000]  and we're going to look for a provocation so we can go against them,
[02:03:44.000 --> 02:03:48.000]  understand what Obama is trying to do to your children or depending on your age,
[02:03:48.000 --> 02:03:51.000]  maybe it's your mother and father who are soldiers that are going to be sent to die
[02:03:51.000 --> 02:03:54.000]  for this guy who is part of a suicide cult himself.
[02:03:54.000 --> 02:03:58.000]  And let's not forget, they've got shows all over TV worshiping the rebels,
[02:03:58.000 --> 02:03:59.000]  saying they're angels.
