[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[1:58:12.000 --> 1:58:23.000]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[1:58:23.000 --> 1:58:29.000]  We're talking about ancient wisdom combined with modern technology.
[1:58:29.000 --> 1:58:36.000]  Working together in perfect synchronicity to help you get the most out of this herb packed formula.
[1:58:36.000 --> 1:58:41.000]  So what are you waiting for? Go to the InfoWars store. Never been a better time than right now.
[1:58:41.000 --> 1:58:46.000]  Super male vitality at InfoWarsStore.com.
[1:58:46.000 --> 1:58:54.000]  InfoWars has become a symbol, an emblem of not just American freedom, but worldwide Maverick spirit.
[1:58:54.000 --> 1:58:59.000]  It's not just myself or the host at InfoWars or the researchers or the journalists.
[1:58:59.000 --> 1:59:04.000]  It's you, the listeners, the activists, the people on the front lines in the arena.
[1:59:04.000 --> 1:59:13.000]  And it's the amazing guests and individuals that we interview that make InfoWars so special because we're not putting a filter in front of free minds.
[1:59:13.000 --> 1:59:21.000]  We're having an open discussion about the real state of the world, not the establishment and talking points that are put out by the Council on Fine Relations,
[1:59:21.000 --> 1:59:24.000]  the Bilderberg Group, the Davos Group and other club lists.
[1:59:24.000 --> 1:59:32.000]  We're pushing for a pro-human future where we build a planet and beyond based on humans, for humans, by humans.
[1:59:32.000 --> 1:59:40.000]  Not a world where the establishment hate themselves, protect their hate onto us and decide we're going to have a post-human world.
[1:59:40.000 --> 1:59:47.000]  I'm really excited to know that InfoWars has your support and I want to thank you all for being pro-human and pro-God.
[1:59:49.000 --> 1:59:53.000]  You're listening to the Alex Jones Show.
[1:59:53.000 --> 2:00:10.000]  Now, there's no doubt that nurses, doctors have been weaponized for the past and political purposes amidst this coronavirus outbreak.
[2:00:10.000 --> 2:00:18.000]  Of course, we had widespread media coverage a few weeks ago of these nurses standing in front of anti-lockdown protesters holding signs.
[2:00:18.000 --> 2:00:25.000]  Media portrayed it as if these protesters or the nurses, I'm sorry, were blocking the traffic, were blocking the protesters,
[2:00:25.000 --> 2:00:27.000]  preventing them from driving in their vehicles.
[2:00:27.000 --> 2:00:31.000]  When you actually saw the videos of that, it was nothing like that.
[2:00:31.000 --> 2:00:32.000]  It was a photo op.
[2:00:32.000 --> 2:00:36.000]  They literally would stand in front of the vehicle for five seconds with the sign.
[2:00:36.000 --> 2:00:38.000]  The guy would take the picture, then they'd walk off.
[2:00:38.000 --> 2:00:41.000]  It was nothing like it was presented by the media.
[2:00:41.000 --> 2:00:49.000]  Well, now Project Veritas reports CBS News this morning aired fake COVID-19 drive-through testing site line of cause.
[2:00:49.000 --> 2:00:54.000]  We have yet another example of media fakery as it relates to this outbreak.
[2:00:54.000 --> 2:00:57.000]  And here's the clip that they put out on Twitter earlier today.
[2:00:57.000 --> 2:01:13.000]  You're telling me you're 100% certain that CBS News, CBS News Corporation, National staged a fake event.
[2:01:13.000 --> 2:01:14.000]  They fake the news.
[2:01:14.000 --> 2:01:21.000]  They fake the reality and broadcasted that to all of their audience last Friday on CBS This Morning.
[2:01:21.000 --> 2:01:23.000]  100% absolutely.
[2:01:23.000 --> 2:01:30.000]  Only six states have reported more cases than Michigan, but fewer than 2% of its people have been tested for the virus.
[2:01:30.000 --> 2:01:39.000]  In our series on the state of coronavirus testing, Adriana Diaz shows how Michigan is trying to improve a system that has failed some of its people.
[2:01:39.000 --> 2:01:44.000]  But the governor says testing above all else will help determine when to fully reopen.
[2:01:44.000 --> 2:01:54.000]  Apparently the news crew wanted more people online because they knew it was going to happen.
[2:01:54.000 --> 2:01:56.000]  Well, we knew when they were coming.
[2:01:56.000 --> 2:02:01.000]  We had no clue that we were going to have to like do a vaccination.
[2:02:01.000 --> 2:02:02.000]  Gotcha.
[2:02:02.000 --> 2:02:05.000]  Did she tell you guys like, hey, you're not actually getting tested?
[2:02:05.000 --> 2:02:06.000]  Yeah.
[2:02:06.000 --> 2:02:14.000]  Yeah, she did. It was just to make it look busy.
[2:02:14.000 --> 2:02:16.000]  That's crazy.
[2:02:16.000 --> 2:02:19.000]  Well, I didn't see you guys had to do the swab at all.
[2:02:19.000 --> 2:02:21.000]  I just saw you talking with them.
[2:02:21.000 --> 2:02:22.000]  And then I was talking with the other girl.
[2:02:22.000 --> 2:02:23.000]  You were tested.
[2:02:23.000 --> 2:02:24.000]  Yeah.
[2:02:27.000 --> 2:02:30.000]  There were a couple of real patients who made it worse.
[2:02:30.000 --> 2:02:32.000]  They probably just wanted to look busy.
[2:02:32.000 --> 2:02:34.000]  It's my guess.
[2:02:34.000 --> 2:02:36.000]  Is this the fake lines?
[2:02:36.000 --> 2:02:38.000]  Yes. Yep. That's it.
[2:02:38.000 --> 2:02:41.000]  So the people on the cars are not patients?
[2:02:41.000 --> 2:02:42.000]  Majority of them.
[2:02:42.000 --> 2:02:56.000]  I do know from talking with the testers that one of them, one or two of them were real patients which added to their frustration because this line sat there for a while so they could organize the shot.
[2:02:56.000 --> 2:03:03.000]  So they've made a line of cars with medical personnel on the cars as opposed to patients?
[2:03:03.000 --> 2:03:04.000]  Correct.
[2:03:04.000 --> 2:03:05.000]  And the viewer does not know that?
[2:03:05.000 --> 2:03:06.000]  Correct.
[2:03:06.000 --> 2:03:14.000]  You shouldn't be afraid to say the truth because in the end, you know, truth always wins.
[2:03:14.000 --> 2:03:23.000]  So obviously the narrative here that they're trying to spin, of course, is that the Trump administration is not keeping up with demand for testing for coronavirus, that they can't meet demand, that they're incompetent.
[2:03:23.000 --> 2:03:36.000]  So they literally stage a scene where they have multiple people trying to get tested for coronavirus. Only two of the people in that line were actually being tested and the rest were plants put there by CBS News.
[2:03:36.000 --> 2:03:41.000]  And now they've had to admit that today in light of this project Veritas expose.
[2:03:41.000 --> 2:03:45.000]  Of course, we also had CNN's Chris Cuomo.
[2:03:45.000 --> 2:04:02.000]  Headline CNN's Chris Cuomo emergence from basement compared to infamous Brian Williams Iraq moment where he made a big song and dance because he's an incessant drama queen about emerging from his basement having self isolated due to catching coronavirus.
[2:04:02.000 --> 2:04:13.000]  Turns out, of course, as Fox News reports, he was previously involved in a heated altercation that took place outside his second property in a completely different area of the Hamptons.
[2:04:13.000 --> 2:04:19.000]  Over the Easter weekend where he had a fight with a bicyclist who filed a police complaint.
[2:04:19.000 --> 2:04:25.000]  So he claimed that he was emerging from his Corona basement and that it was the first time he come out the basement.
[2:04:25.000 --> 2:04:27.000]  CNN broadcast this.
[2:04:27.000 --> 2:04:34.000]  It was then pointed out he'd been outside arguing with people as he loves to do a week before that.
[2:04:34.000 --> 2:04:44.000]  There was completely staged the idea that this was the first time he was emerging from his basement yet another example of media staging when it comes to this coronavirus outbreak.
[2:04:44.000 --> 2:04:46.000]  Gonna wrap it up for now.
[2:04:46.000 --> 2:04:47.000]  Don't go away.
[2:04:47.000 --> 2:04:50.000]  We'll be right back with, I guess, Andrew Tate on the other side.
[2:04:50.000 --> 2:05:05.000]  We'll be right back.
[2:05:20.000 --> 2:05:24.000]  Waking people up to the New World Order.
[2:05:24.000 --> 2:05:26.000]  Bohemian Grove.
[2:05:26.000 --> 2:05:28.000]  The American deep state.
[2:05:28.000 --> 2:05:31.000]  The rise of communist China.
[2:05:31.000 --> 2:05:34.000]  The plan for global depopulation.
[2:05:34.000 --> 2:05:39.000]  And global elite pedophiles who prey off of our young.
[2:05:39.000 --> 2:05:42.000]  The enemy has done their best to destroy us.
[2:05:42.000 --> 2:05:46.000]  But because of your support, our fight continues.
[2:05:46.000 --> 2:05:47.000]  Join us.
[2:05:47.000 --> 2:05:49.000]  Support the Info War.
[2:05:49.000 --> 2:05:52.000]  Together, we will slay the dragon.
[2:05:52.000 --> 2:06:06.000]  Keep fighting out, stupid gladiator.
[2:06:06.000 --> 2:06:12.000]  And we are back talking about this virus which seems to have been circulating the world over the past few months.
[2:06:12.000 --> 2:06:20.000]  We heard about it, had an article up on summit.news a couple of days ago, again, in context of social distancing.
[2:06:20.000 --> 2:06:25.000]  Heathrow Boss says social distancing will never work at airports.
[2:06:25.000 --> 2:06:34.000]  Heathrow Boss John Holland Kay, ones that social distancing measures would never work at airports because queues to board flights would be a kilometer long.
[2:06:34.000 --> 2:06:44.000]  They're expecting us to go through this. I talked about them putting markings on the pavement on the sidewalk earlier as if anyone's going to abide by that, especially in crowded cities.
[2:06:44.000 --> 2:06:46.000]  It's practically impossible.
[2:06:46.000 --> 2:06:49.000]  When will this madness end?
[2:06:49.000 --> 2:07:01.000]  The British public has been repeatedly told that even after the lockdown ends, they will have to practice social distancing standing two meters away from the nearest person for months or even years into the future.
[2:07:01.000 --> 2:07:08.000]  This is impossible, most notably London's transport system, which is notoriously crowded virtually all the time.
[2:07:08.000 --> 2:07:19.000]  In fact, during the height of these infections in London in the United Kingdom, the people pouring off the subway trains, the trains in London, how social distancing going on there?
[2:07:19.000 --> 2:07:22.000]  How is this even enforceable? It's not.
[2:07:22.000 --> 2:07:31.000]  Well, now the CEO of Heathrow Airport has poured cold water on the idea that social distancing could be practiced inside airports.
[2:07:31.000 --> 2:07:37.000]  He said, forget social distancing. It won't work in aviation or any other form of public transport.
[2:07:37.000 --> 2:07:41.000]  The problem is not the plane. It's the lack of space in the airport.
[2:07:41.000 --> 2:07:47.000]  The largest passenger plane, the A380, seats 500 people.
[2:07:47.000 --> 2:07:53.000]  The notion that those people could keep two meters distance as they board the plane just isn't feasible.
[2:07:53.000 --> 2:08:04.000]  Now, he's calling on Prime Minister Boris Johnson to come up with a common international standard of alternative solutions, because that solution is just not going to cut it.
[2:08:04.000 --> 2:08:14.000]  Because we had the article, which was discussed earlier, South African data analysts, lockdown will lead to 20 times more deaths than coronavirus.
[2:08:14.000 --> 2:08:21.000]  This is what I've been banging on about for the past three weeks with top cancer experts in the UK and other countries saying,
[2:08:21.000 --> 2:08:26.000]  not only will the cure be worse than the virus, it will kill more people.
[2:08:26.000 --> 2:08:36.000]  The economic impact will kill more people because it leads to poverty, which leads to economic destitution, which leads to death.
[2:08:36.000 --> 2:08:47.000]  The data analyst consortium in South Africa asserts that the economic consequences of the country's lockdown will lead to 29 times more people dying than the coronavirus itself.
[2:08:47.000 --> 2:08:56.000]  The model, which is made public today, was developed by consortium calling itself Panda Pandemic Data Analysis, which includes four actuaries.
[2:08:56.000 --> 2:09:03.000]  These are the people who do actuaries for insurance companies, an economist and a doctor, while the work was checked by lawyers and mathematicians.
[2:09:03.000 --> 2:09:07.000]  This is reported by the financial mail out of South Africa.
[2:09:07.000 --> 2:09:22.000]  According to the research, the 29 times figure is a conservative estimate that could be way higher of how many lives will be lost due to the impact of poverty caused by economic hardship over the long term.
[2:09:22.000 --> 2:09:31.000]  They go on to explain, I think they actually use the data from New York and transpose it onto South Africa because New York has more data.
[2:09:31.000 --> 2:09:37.000]  They estimate 5.4 years of life have been lost for COVID-19 death.
[2:09:37.000 --> 2:09:48.000]  They then multiply this by the range of deaths which they predict, 20,000, as well as the actuarial society's prediction of 88,000 fatalities.
[2:09:48.000 --> 2:10:06.000]  They factor in that the lockdown will have reduced some deaths, but not all. In the end, their model translated into a minimum of 26,800 years of lives lost due to COVID-19 and a maximum of 473,000 years.
[2:10:06.000 --> 2:10:08.000]  Absolutely incredible.
[2:10:08.000 --> 2:10:20.000]  The model shows that the number of years lost due to the economic collapse caused by the lockdown will be between 14 million and 24 million, which means the 29 times figure is on the low end and could be even higher.
[2:10:20.000 --> 2:10:32.000]  The model also showed that based on European data, 90% of COVID deaths were in people 70 or older with one or more comorbidity with the relative risk to the young and healthy being negligible.
[2:10:32.000 --> 2:10:40.000]  Again, if you look, and I'm going to talk about, let me know if we have a guest by the way, I'm going to talk about this later.
[2:10:40.000 --> 2:10:55.000]  If you look at the people wearing masks in the parks where I live, most of the people outwearing masks are young people aged 25 to 40, the elderly people out in the parks or outside are not wearing masks.
[2:10:55.000 --> 2:11:03.000]  This mask has become like a status symbol for people to feel superior to you. They've got this kind of smugness behind them.
[2:11:03.000 --> 2:11:06.000]  I'm going to talk about that with Andrew Tate because he's waiting on the line.
[2:11:06.000 --> 2:11:14.000]  Kickboxing world champion, entrepreneur, and all around G, the website is cobratate.com. Andrew, welcome back.
[2:11:14.000 --> 2:11:17.000]  It's been a while, man. It's been a while.
[2:11:17.000 --> 2:11:22.000]  Being too long. How's lockdown going? You had coronavirus, right?
[2:11:22.000 --> 2:11:31.000]  Yeah, you know what, though? Let me tell you something. Everyone's had coronavirus. The logic to me, the logic deduction is that everybody's had coronavirus.
[2:11:31.000 --> 2:11:43.000]  I refuse to believe that a disease in which four out of five people who do get sick show flu-like symptoms was instantly detected by the World Health Organization.
[2:11:43.000 --> 2:11:51.000]  I refuse to believe that, which means it's been around for a long time, nobody knew, which means it's been all around the world, which means we've already all had the virus, which means this lockdown is a waste of time.
[2:11:51.000 --> 2:11:53.000]  That's my conclusion.
[2:11:53.000 --> 2:12:01.000]  Well, there's actually evidence that came out yesterday, which suggested that it was in... People had it in France, I think, as far back as October.
[2:12:01.000 --> 2:12:09.000]  So there's now new evidence suggesting that it was circulating around the world long before we knew about it, maybe even before it was in China.
[2:12:09.000 --> 2:12:16.000]  But you went to Sweden. I talk about Sweden a lot, not always for the best reasons, but they actually got something right.
[2:12:16.000 --> 2:12:25.000]  This is how bad for the first time in human history. This is how bad other governments have failed, because they had no lockdown.
[2:12:25.000 --> 2:12:34.000]  Now they've got almost herd immunity. They didn't shut down their economy. Their economy is not going to be on its knees for the next three years, like every other European country.
[2:12:34.000 --> 2:12:39.000]  And their death rate is lower for capital than the UK's death rate.
[2:12:39.000 --> 2:12:48.000]  Their R rate, which is the rate of infection, is below one. You went to Sweden. Tell us what you saw, because it looks like they got it right.
[2:12:48.000 --> 2:12:56.000]  Yeah, they absolutely did get it right. And not only do you see that things are open and life is completely as normal, nobody's wearing a mask.
[2:12:56.000 --> 2:13:03.000]  All the cafes are full. People are having coffee. The parks are full. People are walking around. And their view is very similar to mine.
[2:13:03.000 --> 2:13:09.000]  They said, listen, this virus has probably been around longer than we knew, and it's probably already got to Sweden, and we were fine.
[2:13:09.000 --> 2:13:17.000]  And now everyone's being hypochondriac. So for the first time in history, the Swedes got something right. And Stockholm's business is normal. Absolutely business as usual.
[2:13:17.000 --> 2:13:20.000]  So it was pretty impressive to see.
[2:13:20.000 --> 2:13:28.000]  Now, of course, they relied on their own population to follow these social distancing rules, whether you believe they actually have any effect or not.
[2:13:28.000 --> 2:13:35.000]  I talked about evidence earlier suggesting that you have to be prolonged close proximity with someone to transmit this disease.
[2:13:35.000 --> 2:13:47.000]  So this entire idea of us needing to remain two meters apart, which is practically impossible in terms of transport systems, in terms of airports, as the boss of Heathrow said.
[2:13:47.000 --> 2:13:57.000]  They had that going on. Of course, now you've got a situation with the mass, but in terms of Sweden, the UK, the polls show our population is still completely
[2:13:57.000 --> 2:14:04.000]  terrified by this coronavirus. They've been terrorized by weeks and weeks of government media hysteria.
[2:14:04.000 --> 2:14:15.000]  In Sweden, they said we're going to trust the population to keep social distancing. They did it, apart from in the migrant ghetto areas, which apparently nobody cares about enforcing it in those areas.
[2:14:15.000 --> 2:14:22.000]  What does it say about Sweden that their population is less terrified than the UK's population?
[2:14:22.000 --> 2:14:28.000]  How much of an experiment in mass conformity for the government has this been?
[2:14:28.000 --> 2:14:33.000]  Yeah, that's that's pretty crazy. I mean, this is the common cold tied in with a power grab.
[2:14:33.000 --> 2:14:41.000]  And it's pretty even. I'm surprised by how quickly and how easily people have instantly cowered and said, OK, all right, we'll give up our livelihoods.
[2:14:41.000 --> 2:14:45.000]  I mean, it's OK for for me and it's OK for a few others who have money.
[2:14:45.000 --> 2:14:56.000]  But imagine you're sacrificing a business you've worked on your whole life to for this disease, which in all reality, all the data is showing is far less deadly than anything they've ever told us it was.
[2:14:56.000 --> 2:14:59.000]  Or far less deadly than most things you can catch on a normal day.
[2:14:59.000 --> 2:15:05.000]  We're never going to live life bacteria free. We're never going to be able to wander through the world without worrying about catching some kind of virus.
[2:15:05.000 --> 2:15:08.000]  That's not the that's not the goal of the human experience.
[2:15:08.000 --> 2:15:11.000]  We need a health service will take care of us if we're sick, which we have.
[2:15:11.000 --> 2:15:16.000]  And then we need to carry on getting on carry on with our lives and get things done. The whole lockdown is a waste of time.
[2:15:16.000 --> 2:15:17.000]  It's crazy.
[2:15:17.000 --> 2:15:19.000]  This is what Bill Martin said.
[2:15:19.000 --> 2:15:24.000]  It's as if after March 2020, humanity stopped having immune systems.
[2:15:24.000 --> 2:15:28.000]  Now we're literally being told you like you'll have to be in a pod to fly on an airplane.
[2:15:28.000 --> 2:15:30.000]  You have to be in a pod to go to a restaurant.
[2:15:30.000 --> 2:15:36.000]  They've got images of people sat in greenhouses saying, oh, look how trendy and cozy it is.
[2:15:36.000 --> 2:15:42.000]  No, walking around in a giant de facto pod is not trendy or cozy. That's a massive inconvenience.
[2:15:42.000 --> 2:15:46.000]  Again, the social distancing is BS, according to all the new studies coming out.
[2:15:46.000 --> 2:15:51.000]  We're going to get into it more on the other side with Andrew Tate, cobraate.com. Don't go away.
[2:15:51.000 --> 2:15:53.000]  We'll be right back.
[2:15:53.000 --> 2:15:55.000]  Hi, I'm Dan Pilla.
[2:15:55.000 --> 2:15:59.000]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[2:15:59.000 --> 2:16:00.000]  I sued the IRS and won.
[2:16:00.000 --> 2:16:03.000]  I beat the IRS then and I've been beating them ever since.
[2:16:03.000 --> 2:16:09.000]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[2:16:09.000 --> 2:16:10.000]  I can help you too.
[2:16:10.000 --> 2:16:13.000]  If you owe taxes you can't pay, don't wait another day.
[2:16:13.000 --> 2:16:15.000]  There's no such thing as a hopeless tax case.
[2:16:15.000 --> 2:16:20.000]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[2:16:20.000 --> 2:16:24.000]  That's danpilla.com, danpilla.com.
[2:16:24.000 --> 2:16:27.000]  This is a corona crisis self-reliance alert.
[2:16:27.000 --> 2:16:33.000]  If you're worried about the power grid and the current crisis and want to generate your own supply of off-the-grid electrical power,
[2:16:33.000 --> 2:16:35.000]  just in case, pay close attention.
[2:16:35.000 --> 2:16:36.000]  Here's why.
[2:16:36.000 --> 2:16:41.000]  A limited supply of solar backup generators will be available again in the next two weeks.
[2:16:41.000 --> 2:16:47.000]  These emergency backup systems provide life-saving electrical backup power when you get off the grid.
[2:16:47.000 --> 2:16:52.000]  And unlike gas generators, these solar generators run quietly, emit no fumes,
[2:16:52.000 --> 2:16:57.000]  and produce an endless supply of free electricity from the sun.
[2:16:57.000 --> 2:17:02.000]  Dangerous weather, social unrest, or overloaded grids this summer will not be a problem
[2:17:02.000 --> 2:17:07.000]  if you go to mysolarbackup.com and get your solar backup generator.
[2:17:07.000 --> 2:17:12.000]  We regret that supplies are limited and only available on a first-come, first-served basis.
[2:17:12.000 --> 2:17:15.000]  Check availability at mysolarbackup.com.
[2:17:15.000 --> 2:17:18.000]  Never suffer painful power outages again.
[2:17:18.000 --> 2:17:23.000]  Mysolarbackup.com. That's mysolarbackup.com.
[2:17:48.000 --> 2:17:50.000]  Fire your flies, water.
[2:17:50.000 --> 2:18:19.000]  Get your bug assault today.
[2:18:20.000 --> 2:18:22.000]  Most human world.
[2:18:22.000 --> 2:18:28.000]  And now that we're inside the cage, it's going to move very, very quickly into its endgame.
[2:18:28.000 --> 2:18:36.000]  Submission to this is a form of living death and committing the next generation and our own generation
[2:18:36.000 --> 2:18:42.000]  to a living hell that cannot be imagined until you're actually experiencing this.
[2:18:42.000 --> 2:18:47.000]  This is your dignity, your soul, your future being poured inside out.
[2:18:47.000 --> 2:18:54.000]  This is a scientific dictatorship taking full control of humanity for its own selfless, disgusting power trip.
[2:18:54.000 --> 2:19:01.000]  Hiding in plain view, Politico, the Associated Press, you name it, admit that a half a billion people,
[2:19:01.000 --> 2:19:07.000]  extra 500 million, are now at the subsistence starvation level on top of all the millions
[2:19:07.000 --> 2:19:09.000]  already starving because of the global lockdown.
[2:19:09.000 --> 2:19:14.000]  That is hundreds of times worse than all the deaths in the world caused by COVID-19
[2:19:14.000 --> 2:19:19.000]  and the very people that cooked it up and gave it to the chai comms at the World Health Organization
[2:19:19.000 --> 2:19:24.000]  with Bill Gates involved are now the ones running the operation to shut down society,
[2:19:24.000 --> 2:19:27.000]  create a depression, and forcibly inoculate everybody.
[2:19:27.000 --> 2:19:28.000]  This is insane.
[2:19:28.000 --> 2:19:30.000]  Ladies and gentlemen, if they succeed, it's over.
[2:19:30.000 --> 2:19:32.000]  You need to get prepared now.
[2:19:32.000 --> 2:19:36.000]  You need to get high quality, storable food now back in stock at infowarstore.com
[2:19:36.000 --> 2:19:40.000]  and you need to get politically active and challenge this verbally everywhere.
[2:19:40.000 --> 2:19:44.000]  Big Tech is trying to censor everyone right now and bully people into saying
[2:19:44.000 --> 2:19:46.000]  you can't even challenge verbally social distancing.
[2:19:46.000 --> 2:19:48.000]  This is beyond 1984.
[2:19:48.000 --> 2:19:50.000]  The tyranny of the dual orders here.
[2:19:50.000 --> 2:19:52.000]  Get prepared now and spread the word in the info war.
[2:19:52.000 --> 2:20:16.000]  You are the Paul Revere's.
[2:20:16.000 --> 2:20:22.000]  We are live with Andrew take over take dot com now.
[2:20:22.000 --> 2:20:24.000]  Andrew obviously does love a lot of things.
[2:20:24.000 --> 2:20:30.000]  Little known fact is that he's partially to blame for the downfall of Western masculinity
[2:20:30.000 --> 2:20:37.000]  because he runs these cam girl studios where simps throw beta books at thoughts.
[2:20:37.000 --> 2:20:41.000]  And Andrew, I guess business is booming right now, right?
[2:20:41.000 --> 2:20:45.000]  Business is at least tripled since the lockdown.
[2:20:45.000 --> 2:20:47.000]  The Western world is going to fall apart.
[2:20:47.000 --> 2:20:49.000]  It can at least make me rich on its way down.
[2:20:49.000 --> 2:20:51.000]  So I try my very, very best.
[2:20:51.000 --> 2:20:53.000]  Some of these guys, the girls will say to them,
[2:20:53.000 --> 2:20:55.000]  look, why don't you just go out and get a girlfriend, et cetera, et cetera.
[2:20:55.000 --> 2:20:57.000]  But these guys, they want to live this way.
[2:20:57.000 --> 2:21:00.000]  They want to send money to girls online and the girls work for me.
[2:21:00.000 --> 2:21:03.000]  So yeah, business is doing very well.
[2:21:03.000 --> 2:21:05.000]  Yeah, I covered a story a few weeks ago.
[2:21:05.000 --> 2:21:09.000]  Only fans were saying that their sign ups have been the fastest ever
[2:21:09.000 --> 2:21:13.000]  both in terms of customers and people going on only fans and performing.
[2:21:13.000 --> 2:21:17.000]  So yeah, business is obviously booming in that sector because everybody's staying inside.
[2:21:17.000 --> 2:21:19.000]  I want to get into masks.
[2:21:19.000 --> 2:21:26.000]  Now in the UK, unlike the US areas of the US at least, it's not the law to wear masks.
[2:21:26.000 --> 2:21:28.000]  You don't have to wear masks anywhere.
[2:21:28.000 --> 2:21:31.000]  That's not in the social distancing lockdown laws.
[2:21:31.000 --> 2:21:33.000]  From what I've seen though,
[2:21:33.000 --> 2:21:37.000]  I might allotted one hour of daily exercise out in the park.
[2:21:37.000 --> 2:21:39.000]  See all kinds of different people, all kinds of different ages.
[2:21:39.000 --> 2:21:44.000]  This mask has become kind of a status symbol of spugness
[2:21:44.000 --> 2:21:49.000]  adopted by cringe normies to make themselves feel superior to you
[2:21:49.000 --> 2:21:52.000]  because they probably have a massive inferiority complex.
[2:21:52.000 --> 2:21:57.000]  I've noticed elderly people who are susceptible to coronavirus,
[2:21:57.000 --> 2:22:00.000]  people who have pre-existing conditions, which is fair enough, wear a mask.
[2:22:00.000 --> 2:22:02.000]  I totally understand that.
[2:22:02.000 --> 2:22:04.000]  They're not wearing the masks.
[2:22:04.000 --> 2:22:07.000]  The people wearing the masks are aged 25 to 40.
[2:22:07.000 --> 2:22:10.000]  And I've tweeted about this the other day.
[2:22:10.000 --> 2:22:12.000]  Three types of mask wearers.
[2:22:12.000 --> 2:22:15.000]  Because this has become a kind of new status symbol of conformity.
[2:22:15.000 --> 2:22:19.000]  You've got older people who are genuinely at risk, fair enough.
[2:22:19.000 --> 2:22:23.000]  Then you've got people who have been so terrorized by this constant bombardment
[2:22:23.000 --> 2:22:27.000]  of death statistics and media hysteria about coronavirus
[2:22:27.000 --> 2:22:33.000]  that I'm sure some of them actually think that they can catch it just by walking outside
[2:22:33.000 --> 2:22:38.000]  and that COVID-19 is literally circulating everywhere in the air.
[2:22:38.000 --> 2:22:41.000]  You've got those, that category of people who've been so terrified.
[2:22:41.000 --> 2:22:43.000]  Then you've got this other category.
[2:22:43.000 --> 2:22:47.000]  And I've noticed they want to feel smug in their obedience.
[2:22:47.000 --> 2:22:49.000]  It's like, who can conform?
[2:22:49.000 --> 2:22:52.000]  Who can jump the highest when the government asked them to the most?
[2:22:52.000 --> 2:22:53.000]  Oh, yeah.
[2:22:53.000 --> 2:22:55.000]  They broadcast how much better they are than you.
[2:22:55.000 --> 2:22:57.000]  And they don't even social distance.
[2:22:57.000 --> 2:23:00.000]  And if you get, if you're in the supermarket, the people wearing masks
[2:23:00.000 --> 2:23:03.000]  think they can ignore this social distancing stuff
[2:23:03.000 --> 2:23:05.000]  because they're of a higher class.
[2:23:05.000 --> 2:23:06.000]  Have you noticed this?
[2:23:06.000 --> 2:23:09.000]  Everyone I've seen with a mask is constantly playing with it as well.
[2:23:09.000 --> 2:23:11.000]  I thought we weren't supposed to touch our face.
[2:23:11.000 --> 2:23:14.000]  They're constantly adjusting it around their nose, putting it on, taking it off.
[2:23:14.000 --> 2:23:17.000]  It's just they're trying to advertise to the world what a dork they are.
[2:23:17.000 --> 2:23:19.000]  I'm a nerd and I do everything the government says.
[2:23:19.000 --> 2:23:23.000]  Listen, the World Health Organization did not identify this virus in its infancy.
[2:23:23.000 --> 2:23:25.000]  The virus has been around for a long time.
[2:23:25.000 --> 2:23:26.000]  It's already spread everywhere.
[2:23:26.000 --> 2:23:28.000]  It doesn't affect most people.
[2:23:28.000 --> 2:23:30.000]  It does affect you if you go to the hospital.
[2:23:30.000 --> 2:23:31.000]  That's the end of it.
[2:23:31.000 --> 2:23:33.000]  The whole world is insane.
[2:23:33.000 --> 2:23:35.000]  I cannot believe this has happened.
[2:23:35.000 --> 2:23:37.000]  We must live in some kind of simulation ball.
[2:23:37.000 --> 2:23:39.000]  How is the whole world turned off?
[2:23:39.000 --> 2:23:41.000]  There's not even a huge mortality rate.
[2:23:41.000 --> 2:23:43.000]  You'd expect for a virus that was shut down in the world,
[2:23:43.000 --> 2:23:45.000]  I expected a zombie apocalypse.
[2:23:45.000 --> 2:23:47.000]  There's nothing like that.
[2:23:47.000 --> 2:23:48.000]  It's absolutely nothing like this.
[2:23:48.000 --> 2:23:49.000]  It's insane.
[2:23:49.000 --> 2:23:51.000]  And there's two countries, Belarus and Sweden.
[2:23:51.000 --> 2:23:52.000]  Sweden I've already been to.
[2:23:52.000 --> 2:23:54.000]  Belarus I'm trying to go to in the next three days.
[2:23:54.000 --> 2:23:56.000]  Where nothing's closed and everyone's fine.
[2:23:56.000 --> 2:24:00.000]  Imagine working a job and imagine having your life savings destroyed
[2:24:00.000 --> 2:24:04.000]  or your company destroyed in the name of a virus where there's other countries
[2:24:04.000 --> 2:24:08.000]  proving in real time that the lockdown is a bullshit.
[2:24:08.000 --> 2:24:09.000]  Sorry, didn't mean to swear.
[2:24:09.000 --> 2:24:11.000]  But you get the point I'm making.
[2:24:11.000 --> 2:24:12.000]  It's absolutely insane.
[2:24:12.000 --> 2:24:13.000]  I don't know what's going on.
[2:24:13.000 --> 2:24:17.000]  I think it's just a power grab wrapped up with the common cold.
[2:24:17.000 --> 2:24:18.000]  That's all it is.
[2:24:18.000 --> 2:24:19.000]  It's incredible.
