[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[01:59:06.000 --> 01:59:11.000]  And you know it makes you healthier. And you constantly forget. And when you remember to do it, you're a lot healthier.
[01:59:11.000 --> 01:59:14.000]  This stuff will blow you away. Plus it funds our operation.
[01:59:14.000 --> 01:59:21.000]  We have the biggest settle that you're going right now at infowarstore.com with promo code 1776.
[01:59:21.000 --> 01:59:28.000]  Go to infowarstore.com and use promo code 1776 to get up to 60% off on these best-selling products.
[01:59:28.000 --> 01:59:36.000]  The lowest deal is 40%. Most of the sales are 60% or 50% when you use promo code 1776.
[01:59:36.000 --> 01:59:40.000]  There's too many products to tell you about them all. They're all kick-ass. They keep us on the air.
[01:59:40.000 --> 01:59:43.000]  Please continue to support and I love you and I thank you.
[01:59:43.000 --> 01:59:58.000]  1776 at infowarstore.com.
[02:00:13.000 --> 02:00:20.000]  The production just came out and endorsed replacement migration.
[02:00:20.000 --> 02:00:28.000]  But if you say you don't want it, the ADL kicks you off the internet, takes your bank account and prepares you for a prison.
[02:00:28.000 --> 02:00:33.000]  And if you're not doing work at the prison, you get euthanized.
[02:00:33.000 --> 02:00:37.000]  Great reply recalls for blanking Amnesty of Millions of Illegals to offset declining US population.
[02:00:37.000 --> 02:00:41.000]  Incredible Jamie White on infowarstore.com.
[02:00:41.000 --> 02:00:43.000]  That's coming up next segment.
[02:00:43.000 --> 02:00:47.000]  Right now, let's go to Mark Ian, New Jersey. You're on the air. Go ahead.
[02:00:47.000 --> 02:00:50.000]  Alex.
[02:00:50.000 --> 02:00:52.000]  Yes, sir.
[02:00:52.000 --> 02:00:53.000]  How are you, sir?
[02:00:53.000 --> 02:00:57.000]  Man, I'm not backing down. I'm in the fight only because of the grace of God, your support.
[02:00:57.000 --> 02:01:00.000]  You're a pit bull. You're a pit bull, man. You're a pit bull.
[02:01:00.000 --> 02:01:05.000]  And I want to first of all say God bless you, your crew and your family.
[02:01:05.000 --> 02:01:11.000]  And you'll have difficulties. You're in the gravel pit every day.
[02:01:11.000 --> 02:01:16.000]  And people should take their hat off in one day because you are a warrior, man.
[02:01:16.000 --> 02:01:18.000]  I'm trying.
[02:01:18.000 --> 02:01:24.000]  And we're with you. You stand on the shoulders of millions of listeners and we're with you.
[02:01:24.000 --> 02:01:31.000]  Now, that being said, I'm a big supporter by the product. I think you have the best of the best.
[02:01:31.000 --> 02:01:34.000]  But you don't like Trump.
[02:01:34.000 --> 02:01:43.000]  No, no, no, no, no, no, no, no, no. Let me just say that X2, X3, you know, stuff like Supermail.
[02:01:43.000 --> 02:01:50.000]  The only thing I say on that Supermail doesn't work with is that judge that you had during the trial.
[02:01:50.000 --> 02:01:54.000]  This is what we are doing here.
[02:01:54.000 --> 02:01:58.000]  Ron Jeremy and a dad of Viagra couldn't even become that. I don't know how you did it.
[02:01:58.000 --> 02:02:01.000]  Oh, that's a very funny joke about the judge.
[02:02:01.000 --> 02:02:07.000]  You know, they made memes of her as the queen of hearts in Alice in Wonderland. Pretty funny.
[02:02:07.000 --> 02:02:12.000]  Man, she makes every man a skin turtle. That's all I'm gonna say.
[02:02:12.000 --> 02:02:21.000]  Now, objecting aside, with regard to Trump, I want to be behind the guy in the worst way.
[02:02:21.000 --> 02:02:27.000]  I've been to the rallies. I voted for him. It's the shot, man. It's the shot.
[02:02:27.000 --> 02:02:33.000]  And if we could just get him to stop being pigheaded, which is his greatest quality.
[02:02:33.000 --> 02:02:38.000]  Being a bull in a China shop makes him who he is, makes him successful.
[02:02:38.000 --> 02:02:45.000]  He needs to reroute his course there with these shots and the pride that comes with that.
[02:02:45.000 --> 02:02:50.000]  I get it. I understand where he's coming from. I get it. It was a monumental feat.
[02:02:50.000 --> 02:02:57.000]  But with that being said, I think one of the concerns there is I think he got re-doped by people around him
[02:02:57.000 --> 02:03:02.000]  who are not working in his best interest or the world's best interest.
[02:03:02.000 --> 02:03:08.000]  And it kind of harkens back to something you played a clip of earlier with Noah Harari
[02:03:08.000 --> 02:03:15.000]  basically talking about blackmailing leaders. But the new currency in the world is going to be information.
[02:03:15.000 --> 02:03:20.000]  I hear you, brother. I hear you. I got to get more calls in. Thank you so much.
[02:03:20.000 --> 02:03:22.000]  Jay in Minnesota, you're on the air.
[02:03:22.000 --> 02:03:24.000]  Can you hear me okay?
[02:03:24.000 --> 02:03:25.000]  I can't. Go ahead.
[02:03:25.000 --> 02:03:33.000]  Okay. So here, first off, let's just start with Trump. There isn't going to be a 2024 if we don't wake up soon.
[02:03:33.000 --> 02:03:37.000]  There is no 2024. We don't even have time for that. I mean, this is all over.
[02:03:37.000 --> 02:03:45.000]  But I call it for one specific reason. And it's like before COVID, before the vaccines,
[02:03:45.000 --> 02:03:53.000]  the one thing that started this whole thing was SSRI drugs, the meds, for these people.
[02:03:53.000 --> 02:03:58.000]  Meds have dumbed down society so hard that people don't know how to think,
[02:03:58.000 --> 02:04:02.000]  because what those meds do is they take away your empathy.
[02:04:02.000 --> 02:04:08.000]  And when you have no empathy, you can't think with your heart. So you basically just think with your head.
[02:04:08.000 --> 02:04:13.000]  And when you only think with your head, then you believe what anyone tells you.
[02:04:13.000 --> 02:04:24.000]  So the problem is these meds, people got to stop taking these meds, because that's what killed our country.
[02:04:24.000 --> 02:04:27.000]  Now, and I think you're the best caller we've had today, because you're right.
[02:04:27.000 --> 02:04:32.000]  This Trump is saying this thing is a distraction. World government collapsed the planet.
[02:04:32.000 --> 02:04:37.000]  Trump can't save us in two years. There's not time. We've got to get engaged and involved and ready now.
[02:04:37.000 --> 02:04:39.000]  Thank you so much.
[02:04:39.000 --> 02:04:42.000]  All right, folks, we'll be back. Infowars.com.
[02:04:42.000 --> 02:04:44.000]  Tamara's News Today.
[02:04:44.000 --> 02:04:48.000]  Chuck E. Schumer has officially come out and endorsed replacement migration.
[02:04:48.000 --> 02:04:58.000]  Something ADL says you should be put in jail if you talk about it.
[02:04:58.000 --> 02:05:06.000]  It's November 2022. And that means our historic biggest sale of the year is now live at infowarstore.com.
[02:05:06.000 --> 02:05:15.000]  Up to 60% off on our best selling products when you use promo code 1776 or 1776 at checkout.
[02:05:15.000 --> 02:05:19.000]  Finally, back at stock, our super high quality, organic based multivitamin.
[02:05:19.000 --> 02:05:23.000]  Back at stock, massively discounted at infowarstore.com.
[02:05:23.000 --> 02:05:28.000]  Vitamin Refusion, incredible. Back at stock, massively discounted infowarstore.com.
[02:05:28.000 --> 02:05:34.000]  The Vitamin C Zinc, again, organic Vitamin C, 1100% with the rose hips and zinc.
[02:05:34.000 --> 02:05:39.000]  This is the Linus Pauling formula. You want it, infowarstore.com, and the list goes on and on.
[02:05:39.000 --> 02:05:46.000]  DNA Force Plus, Brain Force Ultra, Super Metal Vitality, Physic Magnesium, all of it from 40% to 60% off
[02:05:46.000 --> 02:05:51.000]  when you use promo code 1776 at infowarstore.com.
[02:05:51.000 --> 02:05:53.000]  You're insane. All the stuff going on in this world.
[02:05:53.000 --> 02:06:15.000]  If you don't boost your immune system, plus it keeps us on air, a win-win.
[02:06:15.000 --> 02:06:23.000]  He was on with us one month ago, and he repeatedly said they will use an errant missile out of Ukraine
[02:06:23.000 --> 02:06:31.000]  to blame Russia with their false flag and escalate the war and bring NATO in.
[02:06:31.000 --> 02:06:34.000]  Steve Quill joins us today. He was already set up a week ago.
[02:06:34.000 --> 02:06:37.000]  This is a synchronicity serendipity of the Lord at work.
[02:06:37.000 --> 02:06:43.000]  I want to get to that with him. I want to get to FTX and how I can bring down a whole house of cards.
[02:06:43.000 --> 02:06:47.000]  I agree with him and his expert analysis on that.
[02:06:47.000 --> 02:06:52.000]  There's only a few people out there that expose the New World Order at a greater level than I did before I did.
[02:06:52.000 --> 02:06:57.000]  It's not about the credit, but it's about understanding who was awake first so we can understand who has the discernment.
[02:06:57.000 --> 02:07:04.000]  It was Steve Quill and David Eich, both great minds, both ahead of their times, and both living legends.
[02:07:04.000 --> 02:07:10.000]  Steve Quill obviously needs introduction. He's here with us for the rest of the hour today.
[02:07:10.000 --> 02:07:19.000]  The first thing I wanted to hit was this. Two years ago, they had the official ADL summit in D.C.
[02:07:19.000 --> 02:07:25.000]  and Sacha Barrett Cohen, who made his money off absolutely horrible, disgusting comedy.
[02:07:25.000 --> 02:07:28.000]  Some of it's funny. Some of it's just really disgusting.
[02:07:28.000 --> 02:07:36.000]  But all granted, he's funny sometimes. Free speech allowed him to do it. He called for my arrest for talking about replacement theory.
[02:07:36.000 --> 02:07:43.000]  Well, it's not a theory. The U.N. has an official plan of the replacement migration program since the 60s,
[02:07:43.000 --> 02:07:49.000]  and they admit and French presidents talk about it and British prime ministers and American presidents,
[02:07:49.000 --> 02:07:59.000]  and I have all the U.N. documents. This is why they sell euthanasia, abortion, sterilant chemicals in the food and water so we can't have children.
[02:07:59.000 --> 02:08:05.000]  So poor third-world populations can be brought in as a permanent underclass.
[02:08:05.000 --> 02:08:15.000]  So now Chuck E. Schumer came out today, this just broke an hour ago, and calls for amnesty for all 11 million undocumented migrants in the U.S.
[02:08:15.000 --> 02:08:20.000]  because American population is not reproducing on its own the same level as it used to.
[02:08:20.000 --> 02:08:24.000]  So direct replacement migration statement will play the clip in a moment.
[02:08:24.000 --> 02:08:29.000]  Jamie White powered out a quick article on this, great replacement.
[02:08:29.000 --> 02:08:35.000]  Schumer calls for blanket amnesty of millions of illegals to offset declining U.S. population.
[02:08:35.000 --> 02:08:43.000]  Here's another article we wrote five years ago, revealed U.N. planned to flood America with 600 million migrants for replacement migration.
[02:08:43.000 --> 02:08:53.000]  Their word, it has the documents in it, but don't believe me, the U.N. is pushing the dangerous replacement migration conspiracy theory on their website.
[02:08:53.000 --> 02:09:06.000]  And here is the actual documents, ladies and gentlemen, population division, department, economic and social affairs, United Nations, 2000, and that was in the year 2000.
[02:09:06.000 --> 02:09:07.000]  And there's a bunch of others.
[02:09:07.000 --> 02:09:14.000]  So the ADL says if you criticize forced injections, you're a Nazi and should be banned, demanked and arrested, literally arrested.
[02:09:14.000 --> 02:09:21.000]  All of this, FTX is involved blocking therapeutics and helping run censorship with the ADL, same deal.
[02:09:21.000 --> 02:09:26.000]  So it all ties together, ladies and gentlemen, is a big deal.
[02:09:26.000 --> 02:09:33.000]  Here is Chuckie Schumer literally announcing replacement migration, but if you talk about it, you get destroyed.
[02:09:33.000 --> 02:09:35.000]  These people are incredible.
[02:09:35.000 --> 02:09:36.000]  Here it is.
[02:09:36.000 --> 02:09:40.000]  Now more than ever, we're short of workers.
[02:09:40.000 --> 02:09:47.000]  We have a population that is not reproducing it on its own with the same level that it used to.
[02:09:47.000 --> 02:09:54.000]  The only way we're going to have a great future in America is if we welcome and embrace immigrants, the dreamers, and all of them.
[02:09:54.000 --> 02:10:03.000]  Because our ultimate goal is to help the dreamers, but get a path to citizenship for all 11 million or however many undocumented there are here.
[02:10:03.000 --> 02:10:05.000]  And all the smuggled kids they bring in.
[02:10:05.000 --> 02:10:06.000]  So a big, big deal.
[02:10:06.000 --> 02:10:12.000]  I wanted to start with that first, obviously, the strikes out of Ukraine attacking Poland.
[02:10:12.000 --> 02:10:17.000]  Lloyd Austin is saying, yeah, Ukraine attacked Poland, but it's Russia's fault.
[02:10:17.000 --> 02:10:19.000]  Actual video, that's coming up.
[02:10:19.000 --> 02:10:20.000]  FTX, all of it.
[02:10:20.000 --> 02:10:23.000]  But Steve Quayle of SteveQuayle.com, bestselling author and researcher.
[02:10:23.000 --> 02:10:26.000]  We sell some of your amazing books at m4store.com.
[02:10:26.000 --> 02:10:28.000]  You can find all your books at SteveQuayle.com.
[02:10:28.000 --> 02:10:30.000]  Steve, wow, what a time to be alive.
[02:10:30.000 --> 02:10:34.000]  Everything you predicted 30 plus years ago now is here.
[02:10:34.000 --> 02:10:52.000]  Well, Alex, I think the topic of obviously Schumer's request to we're not reproducing ourselves because they're they're basically the government is killing off American citizens through, in my opinion, obviously vaccinations, obviously, through abortion,
[02:10:52.000 --> 02:10:53.000]  infanticide.
[02:10:53.000 --> 02:11:00.000]  But most importantly, I think the people in this country have got to understand this Liberty once lost is lost forever.
[02:11:00.000 --> 02:11:05.000]  That was John Adams, and this is the bigger issue because Liberty, we used to have freedom of speech.
[02:11:05.000 --> 02:11:11.000]  And I would say this, that anybody who thinks that is still in existence really is being mind controlled.
[02:11:11.000 --> 02:11:29.000]  And what this whole theater of the political realm, in my opinion, I just make it kind of like pig Latin, but it's politicus distracticus because they just are distracting and obviously preoccupying the American people with, I would call this trivial pursuit.
[02:11:29.000 --> 02:11:34.000]  The trivial pursuit is how can anything change in the midterms.
[02:11:34.000 --> 02:11:43.000]  And as you know, I'm on record, I said the midchains midterms will change nothing because the same forces that stole the presidency would steal the midterms.
[02:11:43.000 --> 02:11:46.000]  No offense, but that could be any more accurate.
[02:11:46.000 --> 02:11:53.000]  Hold on, you just had a Freudian slip called the midchains, which is the chains are still on of election.
[02:11:53.000 --> 02:11:54.000]  Yes.
[02:11:54.000 --> 02:11:56.000]  Well, and here's the thing.
[02:11:56.000 --> 02:12:01.000]  Again, people are looking for a political solution to a spiritual problem.
[02:12:01.000 --> 02:12:10.000]  It's my contention that obviously the United States has declared the Democrats specifically and the Republican whores have declared war on God.
[02:12:10.000 --> 02:12:13.000]  They've declared war on everything that made our country great.
[02:12:13.000 --> 02:12:25.000]  The destruction of the family, the destruction of of a of a grateful nation versus the one that's basically we're in a rape pillage and plunder the United States has been taken under.
[02:12:25.000 --> 02:12:35.000]  And, you know, when we watch what's going on, the heartbreak, why is it all these immigrants come in and they get huge amounts of government stipends?
[02:12:35.000 --> 02:12:43.000]  Yet we have veterans sleeping and dying on the streets and more so now being encouraged in Canada and the US to kill themselves.
[02:12:43.000 --> 02:12:44.000]  Yep.
[02:12:44.000 --> 02:12:49.000]  And ladies and gentlemen, you know, the nation, I want to say this, I'm responsible.
[02:12:49.000 --> 02:12:57.000]  Don't get mad at the ounces, but we are watching a nation that is dead on the inside, expecting to change things on the outside.
[02:12:57.000 --> 02:13:01.000]  We have lost our our gratefulness to the living God.
[02:13:01.000 --> 02:13:03.000]  We have lost our freedom, Liberty.
[02:13:03.000 --> 02:13:05.000]  And again, John Adams nailed it.
[02:13:05.000 --> 02:13:07.000]  Liberty wants lost is lost forever.
[02:13:07.000 --> 02:13:14.000]  But again, the political distraction, if you will, what I used to call circus ridiculous.
[02:13:14.000 --> 02:13:25.000]  It we've got three rings going on continually, and that's to keep us off guard because we just have the most evil assemblage in the world at COP 27 in Egypt.
[02:13:25.000 --> 02:13:36.000]  And I think Alex, everybody forgets what you've done, what I've done all the those of us who have been around for decades on talk radio and obviously podcasting broadcasting now.
[02:13:36.000 --> 02:13:45.000]  But we've quoted ad nauseam, these guys want to deliver the planet from pretty close 95% of the people you and I covered.
[02:13:45.000 --> 02:13:46.000]  And this is important.
[02:13:46.000 --> 02:13:48.000]  Covered the Diggle report.
[02:13:48.000 --> 02:13:58.000]  You can see the acceleration to get to 2025 in the Diggle report and explain for insurance corporate actuaries of a massive depopulated America.
[02:13:58.000 --> 02:14:01.000]  Tell people about the Diggle report that don't know.
[02:14:01.000 --> 02:14:11.000]  Well, the Diggle report was put out by John Diggle. It's like a think tank, but it was a Rockefeller controlled and Rockefeller foundation controlled mouthpiece.
[02:14:11.000 --> 02:14:15.000]  And by 2025, they're showing the population of the United States of America.
[02:14:15.000 --> 02:14:19.000]  And they've been doing this now for the past four or five years, maybe even longer than that.
[02:14:19.000 --> 02:14:28.000]  But by 2025, the American population would be brought down to 100 million or less, 100 million or less.
[02:14:28.000 --> 02:14:33.000]  Ladies and gentlemen, that means 260 million plus people have got to be done away with.
[02:14:33.000 --> 02:14:43.000]  And what's problematic and provocative is when you understand that the zero population people and what we're seeing that just took place in Egypt.
[02:14:43.000 --> 02:14:51.000]  We're seeing, in my opinion, the absolute Luciferian introduction to globalism to destroy every nation state.
[02:14:51.000 --> 02:15:00.000]  Obviously, United States, Western Europe, obviously big time Russia, and they hate Russia the most because Russia believes in their own country.
[02:15:00.000 --> 02:15:10.000]  I wish we would be as jealous for our country as all of these these disgusting politicos seem to want to help everybody else but make war on us.
[02:15:10.000 --> 02:15:19.000]  And how is it, Alex? Seriously, how is it that with the FTX and this is important that the kleptocurrency forget crypto.
[02:15:19.000 --> 02:15:26.000]  It was kleptocurrency that tied to the Democratic Party, 37 billion, by the way, that's only face value.
[02:15:26.000 --> 02:15:30.000]  That's not that's notional value. That's not the derivative value.
[02:15:30.000 --> 02:15:37.000]  Within days, there's a new cry to give Zelensky in the Ukraine another $37 billion.
[02:15:37.000 --> 02:15:44.000]  And so what I think people have got to understand now, they no longer want to withhold the pillaging it's going on.
[02:15:44.000 --> 02:15:46.000]  And people don't think anymore.
[02:15:46.000 --> 02:15:50.000]  Stay right there. Stay right there. I think we were saying is we're not in beta. They're in operational now.
[02:15:50.000 --> 02:15:57.000]  We're inside the New World Order now like that old Johnny Cash song you're in the jailhouse now.
[02:15:57.000 --> 02:16:05.000]  In Arizona, I think we watched the election be stolen slowly stolen day by day counting these mail-in ballots.
[02:16:05.000 --> 02:16:14.000]  And it's absolutely absurd for anyone to take our election seriously when we just it's election month, Alex.
[02:16:14.000 --> 02:16:20.000]  It's not election day. And that's the problem. And everything changed after COVID-19.
[02:16:20.000 --> 02:16:29.000]  They illegally changed state elections, mailing ballots to anyone and everyone and sometimes mailing multiple ballots to people.
[02:16:29.000 --> 02:16:31.000]  Well, this isn't any way to run an election.
[02:16:31.000 --> 02:16:35.000]  We're in a serious country when we have elections that can be stolen like this.
[02:16:35.000 --> 02:16:39.000]  And I believe that just like I believe the election was stolen in 2020.
[02:16:39.000 --> 02:16:53.000]  And I have no problem saying that. And it is so absurd for the media and the Democrats to attack us that question our election integrity and question the fact that elections shouldn't be run the way they are.
[02:16:53.000 --> 02:17:10.000]  We're not election deniers where election realists look around you. Everything I predicted from the global stone documents from their own admissions is now happening in full wars credibility. My credibility has never been higher.
[02:17:10.000 --> 02:17:24.000]  And I believe in the election that I could steadfastly despite the censorship and the boycotts and the attacks and the lawsuit stay on air. But now we're reaching the most critical juncture in the fight together.
[02:17:24.000 --> 02:17:28.000]  So I want to ask all of you today to help keep me on the air.
[02:17:28.000 --> 02:17:38.000]  In my decades on air, I've never asked for personal donations, but I'm being forced by the bankruptcy court to pay for 40% of the legal fees and I can't fund those myself.
[02:17:38.000 --> 02:17:50.000]  So please visit SaveInfoWars.com. SaveInfoWars.com where you can make straight donations, five, ten, fifty hundred dollars, whatever you can, so that I can continue to persevere.
[02:17:50.000 --> 02:17:57.000]  I'll never give up. I'll never give in, but I could give out. Thank you for your support. Wouldn't be without you. SaveInfoWars.com.
[02:17:57.000 --> 02:18:09.000]  It's a post COVID world now. Americans have lost trust in their doctors and the healthcare system. There's a solution. The wellness company. I'm Dr. Peter McCullough and I'm the chief scientific officer.
[02:18:09.000 --> 02:18:25.000]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand, prescriptions through a network of community pharmacies, in home, in vitro diagnostics, laboratory testing, imaging,
[02:18:25.000 --> 02:18:45.000]  an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new world that we're living in.
[02:18:45.000 --> 02:18:57.000]  So go to onlinehealthnow.com and check out the wellness company for a low monthly fee. You can get started today and on a pathway to better health.
[02:18:57.000 --> 02:19:04.000]  I'm Dr. Peter McCullough and it's an absolute pleasure to introduce to you the wellness company.
[02:19:04.000 --> 02:19:24.000]  An alternative healthcare system for this COVID and post COVID world where trust has been lost in doctors and healthcare systems. This new online virtual platform is nationwide providing uncensored content, virtual appointments,
[02:19:24.000 --> 02:19:39.000]  laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID, post COVID, vaccine injury syndromes, and all the usual things that are seen in primary care.
[02:19:39.000 --> 02:19:57.000]  And then we have an entire array of holistic products and online store media and health advice. Come see the wellness company and go to onlinehealthnow.com as a conduit to the wellness company.
[02:20:09.000 --> 02:20:22.000]  Look, Steve Quayle here on the Ellen Schoen show on this November 16th Wednesday broadcast. He's not here for praise. He doesn't care about that.
[02:20:22.000 --> 02:20:31.000]  But it's very important to note that this guy is the trailblazer of trailblazers that predicted before anybody else exactly what we're now living through.
[02:20:31.000 --> 02:20:40.000]  A man way before his time, a man in the wilderness. So I want to get into FTX. I want to get into the war in Ukraine. I want to get into the missile strike.
[02:20:40.000 --> 02:20:46.000]  They admit Ukraine launched, but the Pentagon says it's still Russia's fault. Incredible clip. I want to get into Trump versus the Santas.
[02:20:46.000 --> 02:20:50.000]  What do you think is coming next with the globalist? Obviously we don't have two years to get Trump in. All of it with you.
[02:20:50.000 --> 02:20:56.000]  It would be 15 minutes with us in the next hour that Kate Daly takes over ahead of Ellen Schoen at 3 p.m. Central with the war room.
[02:20:56.000 --> 02:21:06.000]  But you were getting into FTX. Take your time here because this is so big upwards of 100 billion leverage capital to Ukraine, money laundering, all of it going on.
[02:21:06.000 --> 02:21:16.000]  Money goes to Ukraine from the Treasury with Biden comes back to FTX, the Democrats and then patriots online and a lot of others that were exposing FTX last few months.
[02:21:16.000 --> 02:21:22.000]  I see this as a big victory that it's been exposed. They try to recycle it down and say, oh, we need to regulate all cryptocurrencies.
[02:21:22.000 --> 02:21:28.000]  If it's all bad, know what they did was bad using it for money laundering. Steve Quill, what's your expert view?
[02:21:28.000 --> 02:21:42.000]  Well, FTX is a great example of what I would call a private railroad for ill-gotten gains to grease the palms of all those that were in the money chain.
[02:21:42.000 --> 02:21:54.000]  And obviously, the poster child isn't interesting, Alex. His name is Bankman Freyde and this thing has the potential, his middle name and last name has the potential to fry all the bankmen.
[02:21:54.000 --> 02:21:59.000]  Just like when Bernie Madoff did what he did, he basically made off with everybody's money.
[02:21:59.000 --> 02:22:02.000]  And this is way bigger than Madoff though, right?
[02:22:02.000 --> 02:22:17.000]  Absolutely. This is beyond huge because so many people were tied in to FTX because, let's face it, most of the techno billionaires, not all, but the majority of them are, are like they have a tight communication channel.
[02:22:17.000 --> 02:22:28.000]  So they were using their holdings and FTX to leverage, you know, and when you've got a little bit of money and you can use a whole lot of leverage, you can get yourself a whole lot of money or a whole lot of trouble.
[02:22:28.000 --> 02:22:45.000]  The true actuarial state of what FTX's meltdown means is being hush-hush. And you know this, Alex, nobody is really dealing with that because when you're dealing with the world of derivatives and what you're talking about in derivatives are just basically
[02:22:45.000 --> 02:23:03.000]  liars paper that everybody is packaging somebody else's debt and trying to sell it, clip coupons, and now I believe this has the potential to, and really to bring the whole system down because prior to FTX, and this is what's critical,
[02:23:03.000 --> 02:23:11.000]  remember the sleight of hand, the sleight of hand, the magician keeps you occupied with his left hand, does the trick with the right hand so you don't see what's going on.
[02:23:11.000 --> 02:23:25.000]  And we're watching now the revulsion and the repelling, if you will, of the American dollar being set aside. And that is the absolute straw that breaks the camel's back.
[02:23:25.000 --> 02:23:35.000]  We're watching just absolute, how should I say this, financial decimation. And somebody said, well, how do we pay all this money back? The point is we don't.
[02:23:35.000 --> 02:23:46.000]  The point is they don't care to, they know they can't. So now we hear about a central bank, U.S. digital bank, 12 major banks are going to give, you know, basically a programmable digital dollar.
[02:23:46.000 --> 02:23:59.000]  Who's going to trust them? Who's going to trust them? Nobody. And now behind the scenes, Alex, there are a lot of people making claims against their T bills, T bonds, U.S. Treasury bills, Treasury bonds, and U.S. T notes.
[02:23:59.000 --> 02:24:14.000]  They want something real. They want commodities. They want farmland. They want our natural resources. But what most people can't understand is that when you see 100 billion, you brought the number up, you know, that would bring our total,
[02:24:14.000 --> 02:24:30.000]  total support for Zelensky to 100 billion. Can anybody put two and two together and say, and I don't believe, I believe your listeners can, our listeners can, but the bottom line is, is that where is the disconnect that we're being raped and pillaged and plundered as the
[02:24:30.000 --> 02:24:46.000]  American taxpayer. And they're throwing money away. And then you come to find out the whole things of Ponzi scheme. Now I'm being told, and this is exclusive to your, your podcast, a broadcast today is the fact that they're already setting up another vehicle,
[02:24:46.000 --> 02:25:03.000]  another crypto, and I call them kleptocurrency, somebody, I didn't make that name up, but Alex, we're watching the crypto currencies turn into kryptonite for the financial systems. Everybody who's cross collateralized, AOSB, who O.C.
[02:25:03.000 --> 02:25:12.000]  C, D, and E, O, F, G, and H, and on down just like the 2008 crisis, anything that this is involved in and infects it.
[02:25:12.000 --> 02:25:27.000]  Absolutely. And that's a great word. This is a financial doomsday infection. That's a great word. And, and the financial doomsday and I want people to understand what happens when the world says we don't want your dollars anymore.
[02:25:27.000 --> 02:25:42.000]  We're watching that with the BRICS nation. We watched, again, we watched... No, I totally, what is your intel on what brought this down? Because I saw some of the other more legitimate exchanges and groups attacking FTX last year. It built a crescendo of them saying it was Democrat front.
[02:25:42.000 --> 02:25:50.000]  Was it some good group striking or just the internet's common sense? I mean, it obviously hurts the deep state that FTX has fallen. Or was that part of their larger plan?
[02:25:50.000 --> 02:26:04.000]  That's part of their... That's part of their larger plan. Because again, ladies and gentlemen, remember this, in the crypto world, there's a lot of people that were common that got onto it and saw it in an early stage and bought into it.
[02:26:04.000 --> 02:26:14.000]  But now, remember, they don't want just something to clothe a Schwab. They want it all. They're going to own it all and you'll nothing and be happy. Well, you'll be dead.
[02:26:14.000 --> 02:26:26.000]  But the point is, is that the bigger picture is this, the complete destruction of national currencies. And this is why the war against Russia, when President Putin... Listen, this is fact.
[02:26:26.000 --> 02:26:35.000]  When President Putin backed the ruble with gold, he took the infinite ability to print US dollars away.
[02:26:35.000 --> 02:26:42.000]  And notice the ruble is the strongest currency next to the dollar in the world. It was a weak currency previous to that one move.
[02:26:42.000 --> 02:26:52.000]  And then, and I want to share something, and then with the brilliance of a chess master, look, I wouldn't want to play chess against him.
[02:26:52.000 --> 02:27:07.000]  But the President Putin recognized one thing that he's... And look, I'm not an apologist, okay? And because you tell the truth that commodities, ultimately, Alex, are the basis of all trade power.
[02:27:07.000 --> 02:27:13.000]  Yeah, you're being a realist. Fiat stuff is only bound to real, tangible energy and real products.
[02:27:13.000 --> 02:27:22.000]  Right. And again, you know, here's this, ladies and gentlemen, the great reset. Just get rid of that, Bravo Sierra. It's the great destruction.
[02:27:22.000 --> 02:27:32.000]  It's the total destruction of nation states because, again, I want to say this, Alex, COP 27 in Egypt. People don't understand this, but they rewrote the Ten Commandments.
[02:27:32.000 --> 02:27:40.000]  And evidently, you know, they thought they could do a better job than God, making literally the creation their God, worshiping the creation.
[02:27:40.000 --> 02:27:52.000]  But in the meantime, they're doing stuff behind the site of the common man, by the way, 400 private jets, you know, 400 private jets going to Mount Sinai.
[02:27:52.000 --> 02:27:58.000]  By the way, the one they went to wasn't the real one. The real Mount Sinai is in Saudi Arabia.
[02:27:58.000 --> 02:28:13.000]  Where they went to have their meeting, Alex, I'm being told. I don't think anybody said this publicly, but I'm being told by people that know that interface of that world, that they've already decided who the coming world leader is.
[02:28:13.000 --> 02:28:20.000]  And they kept him hidden, but this is the same guy that Prince Charles, now King Charles, referred to at that global summit.
[02:28:20.000 --> 02:28:28.000]  So, ladies and gentlemen, all of this politic has distracted us. And I want to say something. Isn't that the definition of insanity?
[02:28:28.000 --> 02:28:39.000]  And Alex, I don't know if you've addressed it, but how is it that people think that elections in the midterms would not be stolen like they were in the presidential race?
[02:28:39.000 --> 02:28:45.000]  And how is it that we're going to see any change? And now I hear a same mind control.
[02:28:45.000 --> 02:28:50.000]  Hold on. Stay there. Stay there. You brought up the event. They called for world government, global currency.
[02:28:50.000 --> 02:29:18.000]  We'll get to Russia, we'll get to the Mark of the Beast, the Antichrist, straight ahead with Steve Kwell.
[02:29:18.000 --> 02:29:29.000]  The most hated enemy in the media is Info Wars, because we know the globalist number, we know their operation, we know their modus operandi, and we know how to take them down peacefully.
