[00:00:00.611 --> 00:00:00.871]  SIREN
[02:13:36.872 --> 02:13:42.636]  I'm sorry, but I'm just saying there's that, there's that Tyler Durgan
[02:13:43.956 --> 02:13:50.718]  Or however you say it, fight club thing, that there's not just evil in the world, and people don't like the globalists.
[02:13:50.718 --> 02:13:58.760]  That's why they want computers in, to control what you do, so you're a robot and follow computer's orders, so you don't have discretion in your life, so they can get away with all this.
[02:13:58.760 --> 02:14:06.062]  But, look, we're not out of the woods, I'm not even saying we're winning, but we've just begun to fight, and we are kicking ass, brother.
[02:14:06.062 --> 02:14:08.663]  Hobbs, I appreciate your call, I gotta move on here.
[02:14:08.663 --> 02:14:11.044]  I get a lot of calls saying, who's up next here?
[02:14:12.165 --> 02:14:14.327]  That would be John in Florida.
[02:14:14.327 --> 02:14:17.229]  John, thanks for holding it on the air.
[02:14:17.229 --> 02:14:18.190]  Hello?
[02:14:18.190 --> 02:14:19.831]  Yes, sir!
[02:14:19.831 --> 02:14:26.676]  As one of the great prophets once said it, the world is filled with kings and queens that will blind your eyes and steal your dreams.
[02:14:26.676 --> 02:14:32.541]  And thank God that we got you, Mike Adams, and the rest of the crew protecting all of us out here, brother.
[02:14:32.541 --> 02:14:36.604]  We gotta come in with that Black Sabbath tune now.
[02:14:36.604 --> 02:14:37.365]  Slow down!
[02:14:37.365 --> 02:14:37.845]  Slow down!
[02:14:37.845 --> 02:14:38.446]  Don't play it!
[02:14:38.446 --> 02:14:41.228]  Hey, listen, brother, I just gotta say what nobody else is saying, alright?
[02:14:42.566 --> 02:14:46.389]  In my heart, my gut feeling, you said follow your gut feeling?
[02:14:46.389 --> 02:14:47.410]  Dude, 100%.
[02:14:47.410 --> 02:14:50.953]  This is retaliation for taking out Soleimani.
[02:14:50.953 --> 02:15:02.342]  One way or the other, whether or not we took him out and they did it... No, he killed the fake globalist Al Qaeda network, and Trump's pulling out all these wars, and this is a Chai Com attack right now.
[02:15:02.342 --> 02:15:06.245]  Dude, whatever it is, people need to pray, protect themselves,
[02:15:07.228 --> 02:15:11.371]  Love one another and understand in this world there's only two kind of people.
[02:15:11.371 --> 02:15:13.513]  Good people and bad people.
[02:15:13.513 --> 02:15:14.874]  That's all there is, brother.
[02:15:14.874 --> 02:15:15.694]  I love you, Alex.
[02:15:15.694 --> 02:15:16.495]  God bless you.
[02:15:16.495 --> 02:15:17.255]  Don't hang up, John.
[02:15:17.255 --> 02:15:26.102]  I'm gonna come back because you can take something like the name of a band, Black Sabbath, and then some songs are evil, some songs are actually very Christian about God comes back, destroys the devil.
[02:15:26.102 --> 02:15:28.544]  I mean, listen to some of those Ozzy songs, the early ones.
[02:15:28.544 --> 02:15:30.625]  It's like he had said later, I'm actually a Christian.
[02:15:30.625 --> 02:15:32.787]  I was told a record company's gonna be a Satanist for money.
[02:15:32.787 --> 02:15:33.707]  And I know people that know Ozzy.
[02:15:33.707 --> 02:15:35.088]  That's actually, I'm not defending Ozzy.
[02:15:35.088 --> 02:15:35.469]  The point is,
[02:15:36.149 --> 02:15:40.656]  But if you listen to Rodney James Dio's Black Sabbath, when we're going to play the song, we'll come back and be a part of it.
[02:15:40.656 --> 02:15:42.458]  The world is full of kings and queens.
[02:15:42.458 --> 02:15:44.341]  Blind your eyes and steal your dreams.
[02:15:44.341 --> 02:15:45.463]  It's heaven and hell.
[02:15:45.463 --> 02:15:47.165]  And they'll tell you black is really white.
[02:15:47.165 --> 02:15:48.828]  The moon is just the sun at night.
[02:15:48.828 --> 02:15:51.432]  It's a key passage we're going to play when we come back from your phone calls.
[02:15:53.676 --> 02:15:54.936]  Maybe not today.
[02:15:54.936 --> 02:15:56.217]  Maybe not tomorrow.
[02:15:56.217 --> 02:15:59.957]  But soon, you'll need a plan and place to survive.
[02:15:59.957 --> 02:16:01.038]  Forget bunkers.
[02:16:01.038 --> 02:16:02.858]  You're not a live underground gopher.
[02:16:02.858 --> 02:16:04.578]  You need Survivalist Camps.
[02:16:04.578 --> 02:16:12.360]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:12.360 --> 02:16:13.380]  Bold statement?
[02:16:13.380 --> 02:16:14.380]  You bet.
[02:16:14.380 --> 02:16:16.861]  See them now at survivalistcamps.com.
[02:16:16.861 --> 02:16:19.061]  That's survivalistcamps.com.
[02:16:19.061 --> 02:16:22.222]  Trust your family's survival to survivalistcamps.com.
[02:16:23.476 --> 02:16:24.697]  Hi, I'm Dan Pilla.
[02:16:24.697 --> 02:16:28.619]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:16:28.619 --> 02:16:30.160]  I sued the IRS and won.
[02:16:30.160 --> 02:16:33.121]  I beat the IRS then, and I've been beating them ever since.
[02:16:33.121 --> 02:16:38.684]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[02:16:38.684 --> 02:16:39.885]  I can help you, too.
[02:16:39.885 --> 02:16:42.827]  If you owe taxes you can't pay, don't wait another day.
[02:16:42.827 --> 02:16:45.048]  There's no such thing as a hopeless tax case.
[02:16:45.048 --> 02:16:49.490]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[02:16:49.490 --> 02:16:51.771]  That's danpilla.com, danpilla.com.
[02:16:53.436 --> 02:16:55.398]  Heart disease is on the rise.
[02:16:55.398 --> 02:17:00.721]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:17:00.721 --> 02:17:02.303]  But the symptoms are there.
[02:17:02.303 --> 02:17:10.649]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:17:10.649 --> 02:17:16.333]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:17:16.513 --> 02:17:18.335]  My blood pressure has normalized.
[02:17:18.335 --> 02:17:20.496]  My diabetes has totally improved.
[02:17:20.496 --> 02:17:25.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:17:25.000 --> 02:17:27.202]  I recommend Heart and Body Extract to everyone.
[02:17:27.202 --> 02:17:34.949]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:35.089 --> 02:17:39.253]  Order your two month supply today by calling 8 6 6 2 9 5 5 3 0 5.
[02:17:39.253 --> 02:17:43.137]  That's 8 6 6 2 9 5 5 3 0 5.
[02:17:43.137 --> 02:17:48.622]  Or order online HB extract dot com heart and body extract 8 6 6 2 9 5 5 3 0 5 or HB extract dot com.
[02:17:54.739 --> 02:18:03.465]  I always promote DNA Force Plus with PQQ and CoQ10 that cleans out the cells and empowers the telomeres and the mitochondria.
[02:18:03.465 --> 02:18:09.188]  It's the most powerful formula out there sold over the counter that is known to energize the body.
[02:18:09.188 --> 02:18:12.771]  I'm not going to jack up prices during crisis, but I am going to end up running out.
[02:18:12.771 --> 02:18:20.576]  So fund the InfoWarp, boost your immune system, and get things like X2 and X3, the absolute building block of the whole body, clean iodine, atomic,
[02:18:20.916 --> 02:18:23.718]  Powerful, total booster in your whole life.
[02:18:23.718 --> 02:18:26.580]  Not just for immunity, but for libido, stamina, you name it.
[02:18:26.580 --> 02:18:29.742]  And you need to boost your immunity at InfoWarStore.com.
[02:18:29.742 --> 02:18:34.765]  With bodies, with DNA Force Plus, with Vitamin Mineral Fusion, with Ultra-12 that's back in stock.
[02:18:34.765 --> 02:18:36.927]  And Turbo Force, by the way, just came back into stock.
[02:18:36.927 --> 02:18:38.127]  It just boosts everything.
[02:18:38.127 --> 02:18:39.388]  InfoWarStore.com.
[02:18:39.388 --> 02:18:40.429]  You fund the Info War.
[02:18:40.429 --> 02:18:42.010]  You fund the rebellion against the globalists.
[02:18:42.010 --> 02:18:44.652]  You get great prices and you boost your immune system.
[02:18:44.652 --> 02:18:45.712]  A total 360 win.
[02:18:45.712 --> 02:18:46.313]  Take action.
[02:18:46.313 --> 02:18:47.874]  InfoWarStore.com today.
[02:18:54.158 --> 02:19:02.504]  I also want to say that I'm happy to be helping out with an enterprise that is supported by all the work to help people be prepared.
[02:19:02.504 --> 02:19:09.449]  And instead of just giving into sickness care, take care of their health, take care of their nutrition in a way that contributes to greater vitality.
[02:19:09.449 --> 02:19:11.570]  And I say that from personal experience.
[02:19:11.670 --> 02:19:26.577]  Because I know that the products that are being offered here, I've tried them and I use them every day, and that power pack that they have, the AM-PM power pack, well I wouldn't be so energetic this morning, except that I have been on a regular customer in that regard.
[02:19:26.577 --> 02:19:30.279]  I just wanted to start out by saying that because I think it's important to remember that
[02:19:30.399 --> 02:19:48.663]  Beyond the theoretical ways in which we're trying to help equip people to think about these great events in the world, one of the priorities has to be to take care of yourself, remembering that our lives are a gift from God that He intends us to use for good purpose, for our families and for our communities.
[02:19:48.663 --> 02:19:56.885]  And right now, folks who are willing to think like we do are critical to the future of America.
[02:19:56.885 --> 02:19:59.546]  You're listening to The Alex Jones Show.
[02:20:11.812 --> 02:20:13.934]  Closing the globalist plan from the inside.
[02:20:13.934 --> 02:20:15.495]  It's heaven and hell with Rodney King's deal.
[02:20:15.495 --> 02:20:16.516]  Here it is, warding off the devil.
[02:20:16.516 --> 02:20:16.956]  Listen to it.
[02:20:16.956 --> 02:20:21.720]  Everything is the opposite of what you've been told.
[02:20:21.720 --> 02:20:30.646]  When it's on the devil, you'll see those fake preachers.
[02:20:30.646 --> 02:20:34.489]  You'll see those Democrats telling you they're going to empower you.
[02:20:43.783 --> 02:20:49.211]  And they'll tell you black is really white.
[02:21:16.914 --> 02:21:18.095]  Look for the answer.
[02:21:18.095 --> 02:21:21.559]  The answer.
[02:21:21.559 --> 02:21:22.039]  Truth.
[02:21:22.039 --> 02:21:29.507]  Alright, John in Florida, you brought that up.
[02:21:29.507 --> 02:21:30.128]  You got it.
[02:21:30.128 --> 02:21:32.950]  You just got what you wanted right there.
[02:21:32.950 --> 02:21:35.493]  Ronnie is smiling at you from the grave.
[02:21:35.493 --> 02:21:37.395]  Ronnie, you're helping us all, brother.
[02:21:37.395 --> 02:21:38.076]  I love you, Alex.
[02:21:38.911 --> 02:21:39.992]  So, what's your point?
[02:21:39.992 --> 02:21:49.961]  You're making some great points on the virus and wound on and where this, I mean, this is admittedly a weapon, it's admittedly an attack on America, and all the Democrats, everybody rooting for the country to go down.
[02:21:49.961 --> 02:21:52.583]  It's like, it should be over.
[02:21:52.583 --> 02:21:54.405]  There's not even a party anymore when you do that.
[02:21:54.405 --> 02:21:55.706]  It's like ridiculous.
[02:21:55.706 --> 02:22:05.915]  Imagine if I went on air and went, I hope this virus destroys America, and screw everybody, I hope everybody loses their 401Ks, I hope we go bankrupt, and I hate America's existence!
[02:22:06.255 --> 02:22:08.516]  That's what Democrats openly say.
[02:22:08.516 --> 02:22:11.256]  How do they get away with it, John?
[02:22:11.256 --> 02:22:12.657]  They don't get away with it, brother.
[02:22:12.657 --> 02:22:13.957]  That's why we got Patriots.
[02:22:13.957 --> 02:22:17.658]  That's why we got you guys waking us all up and keeping us safe.
[02:22:17.658 --> 02:22:19.158]  You guys are heroes, too.
[02:22:19.158 --> 02:22:21.219]  My household, you guys are heroes.
[02:22:21.219 --> 02:22:22.959]  God bless every single one of you.
[02:22:22.959 --> 02:22:24.460]  In my household, you're heroes, man.
[02:22:24.460 --> 02:22:25.860]  We're all just defending ourselves.
[02:22:28.442 --> 02:22:29.963]  It's crazy times we're living in.
[02:22:29.963 --> 02:22:32.825]  Everybody needs to love a little more.
[02:22:32.825 --> 02:22:33.625]  Peace a little more.
[02:22:33.625 --> 02:22:36.067]  I mean, this is craziness what's going on.
[02:22:36.067 --> 02:22:40.230]  This is like the real deal is finally unfolding.
[02:22:40.230 --> 02:22:42.331]  And, you know, love each other, man.
[02:22:42.331 --> 02:22:43.272]  Don't hate each other.
[02:22:43.272 --> 02:22:44.012]  Love each other.
[02:22:44.012 --> 02:22:44.453]  No, I agree.
[02:22:44.453 --> 02:22:47.114]  When I go to the store and stuff, there's just so much hate.
[02:22:47.114 --> 02:22:50.357]  And that's why now I just decided to, like, just try to be as loving as I can.
[02:22:50.357 --> 02:22:52.458]  But I try to be nice to check out people.
[02:22:52.458 --> 02:22:53.379]  I give people tips.
[02:22:54.219 --> 02:22:55.519]  No one's ever been nice to him.
[02:22:55.519 --> 02:22:57.380]  My wife's like, what are you doing?
[02:22:57.380 --> 02:23:02.602]  You don't have the money to be handing out $50 bills to stewardesses and bellhops.
[02:23:02.602 --> 02:23:06.383]  And I said, man, none of it's trickling down.
[02:23:06.383 --> 02:23:06.903]  We got to do it.
[02:23:06.903 --> 02:23:07.543]  We got to do it.
[02:23:07.543 --> 02:23:09.244]  And that's what Trump's trying to do.
[02:23:09.244 --> 02:23:10.584]  And you can see they hate that.
[02:23:10.584 --> 02:23:11.064]  God bless you.
[02:23:11.064 --> 02:23:12.665]  I appreciate your call, John.
[02:23:12.665 --> 02:23:16.886]  Okay, let's go to the next caller here.
[02:23:16.886 --> 02:23:19.047]  Let's go ahead and talk to Steve in Detroit.
[02:23:19.047 --> 02:23:19.867]  Steve, thanks for holding.
[02:23:19.867 --> 02:23:20.147]  Welcome.
[02:23:21.647 --> 02:23:22.768]  Hey, Alex.
[02:23:22.768 --> 02:23:23.788]  Yes, sir.
[02:23:23.788 --> 02:23:25.209]  Good afternoon.
[02:23:25.209 --> 02:23:27.991]  Been standing with you a long time, about 20 years.
[02:23:27.991 --> 02:23:30.993]  Brother, you've been standing me up, and not in a bad way.
[02:23:30.993 --> 02:23:33.454]  I mean, you've literally been holding us up.
[02:23:33.454 --> 02:23:35.115]  Without you, I wouldn't be here.
[02:23:35.115 --> 02:23:35.895]  So thank you, brother.
[02:23:35.895 --> 02:23:37.716]  And thanks for keeping me in the fight.
[02:23:37.716 --> 02:23:43.580]  I want to tell the listeners every day, just every day, I just go, I want to keep me in the fight and show up.
[02:23:43.580 --> 02:23:45.081]  Thank you for keeping me in the fight, Steve.
[02:23:45.965 --> 02:23:47.166]  Yeah, thank you, brother.
[02:23:47.166 --> 02:23:53.532]  Also, I have four quick bullet points, but before I go into those, I would like to plug some of your products.
[02:23:53.532 --> 02:23:59.698]  I have the Alexa Pure Gravity Fed Water Filter, the Alexa Pure Breeze.
[02:23:59.698 --> 02:24:01.520]  Great products right now.
[02:24:01.520 --> 02:24:03.682]  Paramount to have these items.
[02:24:03.682 --> 02:24:10.909]  Also, Survival Shield X2, Carnivore, and your Gut Fusion.
[02:24:12.136 --> 02:24:16.439]  I've had some gut issues and these products have cleared that right up.
[02:24:16.439 --> 02:24:18.701]  So I wanted to make sure I got that out.
[02:24:18.701 --> 02:24:23.564]  Let me just say this, Steve, because it's hard to talk about things like this on air, even if you're confident.
[02:24:23.564 --> 02:24:24.865]  Like, I'm confident you're confident.
[02:24:24.865 --> 02:24:25.806]  I don't like to talk about it.
[02:24:27.600 --> 02:24:28.702]  I've taken all our products.
[02:24:28.702 --> 02:24:29.523]  They're all revolutionary.
[02:24:29.523 --> 02:24:30.524]  They're all game-changing.
[02:24:30.524 --> 02:24:33.008]  And it's been sold out for a while.
[02:24:33.008 --> 02:24:34.089]  It's back in next week.
[02:24:34.089 --> 02:24:36.853]  18-wheeler actually arrives tomorrow.
[02:24:36.853 --> 02:24:41.299]  But it is the natural defense and other products.
[02:24:41.299 --> 02:24:44.584]  All of these, the gut is the engine of the whole body.
[02:24:46.085 --> 02:24:51.088]  And, you know, the heart is the fuel pump, but the gut is where you get all the energy.
[02:24:51.088 --> 02:24:56.932]  And I knew all this stuff, and I read the research, but I never really actually took all of it.
[02:24:56.932 --> 02:24:59.313]  And man, people go, like, Jones, you don't look great.
[02:24:59.313 --> 02:25:00.314]  You look a lot better than you used to.
[02:25:00.314 --> 02:25:00.814]  What the hell?
[02:25:00.814 --> 02:25:02.015]  Your skin's glowing.
[02:25:02.015 --> 02:25:04.777]  You know, I mean, I look like a gorilla.
[02:25:04.777 --> 02:25:08.319]  And it's all because I take the products, and they just work.
[02:25:08.319 --> 02:25:11.321]  And people take them, and they go, I can't believe this works so well.
[02:25:11.321 --> 02:25:13.842]  Yeah, these are all missing link products.
[02:25:13.842 --> 02:25:14.483]  Sorry, I'm ranting.
[02:25:15.632 --> 02:25:19.134]  Yeah, they've been instrumental in my recovery.
[02:25:19.134 --> 02:25:23.516]  I have rheumatoid arthritis and I got some neuropathy issues.
[02:25:23.516 --> 02:25:25.477]  Also DNA force, it helps.
[02:25:25.477 --> 02:25:28.798]  It's helped a lot with my neuropathy issues in my gut.
[02:25:28.798 --> 02:25:36.061]  So moving forward, I want to get to these points because I don't want to take too much time away from the other callers here.
[02:25:36.061 --> 02:25:43.885]  Okay, we have Trump draining the swamp in his last quarter of his first term here.
[02:25:44.446 --> 02:25:47.867]  So, we've seen him turning up the heat.
[02:25:47.867 --> 02:25:57.989]  And mind you, I started warning people about three and a half months ago, start buying water filters, start buying non-perishable food items, because my intuition was going off, my radar was going off.
[02:25:57.989 --> 02:26:05.271]  Okay, so you have Trump draining the swamp, and then you have Hillary and Comey and these other buffoons that are
[02:26:06.656 --> 02:26:08.758]  On paper, guilty of treason.
[02:26:08.758 --> 02:26:10.159]  I mean, they're chargeable at any time.
[02:26:10.159 --> 02:26:12.061]  And we said, will they set a nuke off?
[02:26:12.061 --> 02:26:13.082]  Will they launch a war?
[02:26:13.082 --> 02:26:14.443]  Will they launch a bioweapon?
[02:26:14.443 --> 02:26:18.627]  They launched a bioweapon that Obama transferred five years ago to Xi Jinping!
[02:26:18.627 --> 02:26:22.190]  Exactly, and that's what's going to lead into my second bullet point, okay?
[02:26:22.190 --> 02:26:28.856]  Let's look into all those mass rounds of ammunition the Alphabet Agency bought.
[02:26:28.856 --> 02:26:30.938]  I think it was around the same time, okay?
[02:26:30.938 --> 02:26:32.840]  So what I see happen there is
[02:26:33.550 --> 02:26:41.813]  They went forward with a plan that was probably hatched at the Bilderberg meeting before that, and then sent that coronavirus to China.
[02:26:41.813 --> 02:26:49.716]  The Alphabet Agency started buying up the night vision and the billions of rounds of hollow point ammunition.
[02:26:49.716 --> 02:26:59.720]  And I've also been saying for years that the only way that they're going to be able to take our firearms is release some kind of a bioweapon that makes us afraid to congregate with the
[02:27:00.552 --> 02:27:08.558]  That's exactly right, but the good news is the average cop, and I don't lionize them, they've got some bad ones, but the average military person or police officer is not bad.
[02:27:08.558 --> 02:27:09.639]  And so that's why the globals have a problem.
[02:27:09.639 --> 02:27:18.525]  That's why they want to go to drones, that's why they want to use bio-weapons to lock us down, and it's why they want to be able to send people in at night to just wipe your house out, like special forces would do.
[02:27:18.525 --> 02:27:22.688]  They say you're a terrorist, they just, they just laws rocket or grenade your house.
[02:27:22.688 --> 02:27:25.851]  Well, they hunt us during the night, we hunt them during the day.
[02:27:26.551 --> 02:27:30.375]  So, you know, we don't want to hunt anybody.
[02:27:30.375 --> 02:27:32.077]  We don't want this civil war.
[02:27:32.077 --> 02:27:35.420]  And we don't hunt the police, and we don't hunt the military in a civil war.
[02:27:35.420 --> 02:27:42.488]  We go around them, if we ever get to that point, to the kingpins who are in the deck of cards who are running the show, and we know who they are.
[02:27:42.488 --> 02:27:49.435]  And it'll be their own security people in New Zealand, and in Hawaii, and in Montana, and in Canada.
[02:27:50.871 --> 02:27:54.614]  That I can just tell you, there's no conspiracy, I'm not in some meeting with people.
[02:27:54.614 --> 02:27:59.338]  They all are ready for when the globalists try to take America down.
[02:27:59.338 --> 02:28:02.841]  The first thing these globalists are going to get is garroted.
[02:28:02.841 --> 02:28:07.264]  They're all going to get a wire wrapped around their neck and they're going to get killed in about 15 seconds.
[02:28:07.264 --> 02:28:10.126]  And I'm not, and the globalists know I don't just say stuff, okay?
[02:28:10.126 --> 02:28:12.668]  You're all dead, okay?
[02:28:12.668 --> 02:28:13.989]  So go ahead and fill your hand.
[02:28:14.730 --> 02:28:16.671]  Go ahead and play your game.
[02:28:16.671 --> 02:28:17.652]  You're dead.
[02:28:17.652 --> 02:28:18.972]  I'm dead too, but it's fine.
[02:28:18.972 --> 02:28:19.893]  Let's go.
[02:28:19.893 --> 02:28:22.814]  So, they know how it is, and they're losing.
[02:28:22.814 --> 02:28:26.696]  So they want to use a creepy virus to scare us all, so it's not people.
[02:28:26.696 --> 02:28:28.177]  But everybody knows what's happened.
[02:28:28.177 --> 02:28:36.121]  So if their virus is successful, all these globalists, not by my hand, I can just tell you, the people know who you are.
[02:28:36.121 --> 02:28:37.022]  They're sick of you.
[02:28:38.038 --> 02:28:41.401]  And they're going to break your neck.
[02:28:41.401 --> 02:28:47.206]  So get ready, they can't wait to wrap their hands around your dishonorable neck.
[02:28:47.206 --> 02:28:48.427]  Thank you, Steve.
[02:28:48.427 --> 02:28:53.371]  Bunch of calls straight ahead and Paul Joseph Watson takes over from Britannia.
[02:28:53.371 --> 02:28:57.915]  If you're trying to quit drinking or doing too many drugs, listen to me.
[02:28:57.915 --> 02:29:00.017]  You don't know me and we'll never meet.
[02:29:00.017 --> 02:29:01.338]  I had a problem like you once.
[02:29:02.179 --> 02:29:02.700]  We're good to go.
[02:29:18.499 --> 02:29:21.601]  You need to call the National Treatment Advisors.
[02:29:21.601 --> 02:29:28.626]  They'll immerse you into a 30 day program to replace your old habits with new habits and totally change your life.
[02:29:28.626 --> 02:29:33.809]  And if you have PPO, private health insurance, the entire program may be covered.
[02:29:33.809 --> 02:29:37.111]  Fix your problem right now before it gets any worse.
[02:29:37.111 --> 02:29:38.072]  Get clean.
[02:29:38.072 --> 02:29:39.893]  Call now and learn more.
[02:29:39.893 --> 02:29:39.933]  800-506-6740.
[02:29:44.036 --> 02:29:44.396]  800-506-6740 That's 800-506-6740
[02:29:54.994 --> 02:29:56.555]  Hanuman, if I'm pronouncing that right.
[02:29:56.555 --> 02:29:57.676]  What do you think's really going on?
[02:29:57.676 --> 02:29:58.417]  And thanks for calling.
[02:29:58.417 --> 02:30:00.478]  So yes, I was in Costco a couple weeks ago.
[02:30:00.478 --> 02:30:01.159]  I was getting ready.
[02:30:01.159 --> 02:30:04.942]  I went to buy a bunch of toilet paper and some things before crowds really hit.
[02:30:04.942 --> 02:30:09.566]  And I had my phone, I had my show going on, sticking it in my pocket so I could hear it.
[02:30:09.566 --> 02:30:10.747]  I wasn't using headphones.
[02:30:10.747 --> 02:30:13.149]  And this lady stops and says, who are you listening to?
[02:30:13.149 --> 02:30:13.929]  Who's that talking?
[02:30:13.929 --> 02:30:15.350]  I said, this is Alex Jones.
[02:30:15.350 --> 02:30:18.713]  And she just got, her eyes got wide open and she says, really?
[02:30:18.713 --> 02:30:19.794]  I thought he was off the air.
[02:30:20.174 --> 02:30:25.320]  And I said no, and I told her, I explained, you know, the whole situation and told her where to go.
[02:30:25.320 --> 02:30:30.165]  She wrote down, you know, Dan.video and also Infowars.com and just said she's still on.
[02:30:30.165 --> 02:30:35.750]  I run into people at the grocery store, at the mall, on the hike and bike trail, and they go, oh Alex, I used to love you.
[02:30:35.750 --> 02:30:36.871]  I wish you were still on air.
[02:30:36.871 --> 02:30:37.852]  Are you ever gonna go back on air?
[02:30:37.852 --> 02:30:38.353]  And I'm like, what?
[02:30:38.353 --> 02:30:41.356]  We're on hundreds of radio stations, over 100 TV stations and cable stations.
[02:30:41.356 --> 02:30:43.598]  We have our own streams at InfoWars.com and BandOffVideo.
[02:30:43.598 --> 02:30:44.499]  And they go, really?
[02:30:44.499 --> 02:30:49.103]  They said you were off the air because they took the deplatforming as off the air.
[02:30:49.103 --> 02:30:50.785]  No, we have our own platform.
[02:30:50.785 --> 02:30:51.726]  InfoWars!
[02:30:51.726 --> 02:30:52.567]  InfoWars!
[02:30:52.567 --> 02:30:53.488]  InfoWars!
[02:30:57.919 --> 02:30:59.559]  Owl Killer in New Jersey.
[02:30:59.559 --> 02:31:00.140]  You're on the air.
[02:31:00.140 --> 02:31:00.720]  Go ahead.
[02:31:00.720 --> 02:31:03.480]  Alex, hey, I just want to say it's great to be back once again.
[02:31:03.480 --> 02:31:06.561]  And I've never gotten to do this, but I'm going to give you a shout out for your product.
[02:31:06.561 --> 02:31:11.842]  So that Super Blue Fluoride Free Toothpaste and that Super Blue Whitening Toothpaste is on another level.
[02:31:11.842 --> 02:31:17.004]  I use the one I use the Super Blue in the morning and then the whitening at night and it absorbs into your gum.
[02:31:17.004 --> 02:31:19.824]  It is by far the best product that I've ever used in my life.
[02:31:19.824 --> 02:31:22.465]  I literally just took turbo force on my way to the gym right now.
[02:31:22.665 --> 02:31:30.750]  I've had four shoulder surgeries and a back surgery, and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[02:31:30.750 --> 02:31:32.091]  So I just want to get that out of the way.
[02:31:32.091 --> 02:31:33.072]  Support this man.
[02:31:33.072 --> 02:31:34.513]  Everything that he exposed.
[02:31:34.513 --> 02:31:35.934]  Nobody knew about Bohemian Grove.
[02:31:35.934 --> 02:31:37.074]  Nobody knew about Epstein.
[02:31:37.074 --> 02:31:38.355]  Nobody knew about Bilderberg.
[02:31:38.355 --> 02:31:41.197]  Nobody called 9-11 before it happened in July 2001.
[02:31:41.197 --> 02:31:42.878]  Go look it up yourself.
[02:31:42.878 --> 02:31:44.019]  Well, we try our best, sir.
[02:31:44.019 --> 02:31:45.240]  They definitely want us off the air.
[02:31:45.240 --> 02:31:46.140]  Without you, we're not here.
[02:31:46.140 --> 02:31:48.041]  But yeah, these are all great products, so thank you, sir.
[02:31:54.716 --> 02:31:55.757]  Everybody's calling me.
[02:31:55.757 --> 02:32:03.085]  I'm getting constant streams of text messages and phone calls and family visiting the house saying, is coronavirus really deadly?
[02:32:03.085 --> 02:32:04.527]  How bad is it really?
[02:32:04.527 --> 02:32:07.209]  So I would encourage listeners, yes, go get high quality swirly foods.
[02:32:07.209 --> 02:32:10.293]  We have the only company, the biggest in the nation that actually still has food.
[02:32:10.293 --> 02:32:12.916]  It does take five to eight weeks to get it to you because they got to package it.
[02:32:12.916 --> 02:32:13.336]  They got the food.
[02:32:13.676 --> 02:32:36.056]  I want to encourage listeners to do the most important thing, and that's drink purified water, that's pray, that's get focused, that's not be stressed out, because you're prepared, and that's get DNA Force Plus, the PQQ and CoQ10 that cleans out the mitochondria and the cells, and is the biggest immune booster you can engage in, the X2, the X3, the foundation, everything, the Ultra 12, back in stock, our Nano Silver, Super Silver, and Super Blue toothpaste, it's still 50% off.
[02:32:36.937 --> 02:32:39.099]  You're listening to the Alex Jones Show!
[02:33:16.982 --> 02:33:22.667]  He aligns himself with the truth, and it's time for you to choose a side.
[02:33:22.667 --> 02:33:25.650]  You're listening to Alex Jones.
[02:33:25.650 --> 02:33:29.834]  I see your hair is burning.
[02:33:29.834 --> 02:33:30.815]  Chase the Patriot.
[02:33:31.832 --> 02:33:33.714]  From California, you're on the air.
[02:33:33.714 --> 02:33:40.379]  Everybody's talking about the virus because it's definitely a big, giant, hyped event, whether it's real or not, whether it's super deadly or not.
[02:33:40.379 --> 02:33:41.300]  This is going to be crazy.
[02:33:41.300 --> 02:33:43.542]  What do you think's about to happen?
[02:33:43.542 --> 02:33:49.567]  Yeah, you know, obviously it's a real thing, but what the response is, that's the angle that I've been trying to research.
[02:33:49.567 --> 02:33:51.549]  And there's a couple of questions I have.
[02:33:51.549 --> 02:33:59.476]  You know, one is the fact that over and over, I see a trend that this may be the last straw that breaks the camel's back towards cash.
[02:33:59.895 --> 02:34:10.143]  There's been a war on cash, on physical money for years, and now because of people so fearful of handshakes, any kind of exchange, this may be.
[02:34:10.143 --> 02:34:19.170]  And you see a trend in the news where they're saying Bitcoin is a way to invest because people trying to get their money out of China have to put it in a digital currency.
[02:34:19.170 --> 02:34:27.637]  You see that central banks, they're all going to meet in emergency meetings because they're saying they have an emergency they have to handle together in a global way.
