[00:00:01.050 --> 00:00:03.591]  The Information War continues.
[00:49:41.244 --> 00:49:41.884]  I mean, come on.
[00:49:41.884 --> 00:49:42.805]  Yeah, it's all been tried.
[00:49:42.805 --> 00:49:43.825]  I mean, that's why they're going to court.
[00:49:44.674 --> 00:49:46.795]  They tried to get Shibo where he doesn't have control.
[00:49:46.795 --> 00:49:49.097]  They tried to get her into other facilities.
[00:49:49.097 --> 00:49:51.218]  Every angle's been hit.
[00:49:51.218 --> 00:49:51.818]  Thanks for the call.
[00:49:51.818 --> 00:49:52.939]  I appreciate it.
[00:49:52.939 --> 00:49:58.041]  I want to keep our guest a little bit longer with us because I know we've had callers that we're holding even before our guest got on with us.
[00:49:58.041 --> 00:50:03.845]  Now we'll get to the callers who've been holding like Delilah and Randy and others that want to talk to our guest.
[00:50:03.845 --> 00:50:06.486]  We're going to start the third hour here in just a few minutes at 1-800-259-9231.
[00:50:11.186 --> 00:50:11.506]  1-800-259-9231.
[00:50:11.506 --> 00:50:18.750]  And to our guest, Greg, fire out your website one more time.
[00:50:18.750 --> 00:50:25.753]  Yes, www.arcticbeacon.citymaker.com.
[00:50:25.753 --> 00:50:33.697]  And also on that website, you can go to links and find the 9-11 Commission Report that we did for Nationwide Publication.
[00:50:33.697 --> 00:50:35.377]  And that's at www.911citizenscommission.org.
[00:50:40.715 --> 00:50:42.416]  We'll be right back with a third hour.
[00:50:42.416 --> 00:50:50.603]  Stay with us.
[00:50:50.603 --> 00:50:51.924]  Big Brother.
[00:50:51.924 --> 00:50:53.686]  Mainstream media.
[00:50:53.686 --> 00:50:54.887]  Government cover-ups.
[00:50:54.887 --> 00:50:56.308]  You want answers?
[00:50:56.308 --> 00:50:58.590]  Well, so does he.
[00:50:58.590 --> 00:51:02.773]  He's Alex Jones on the GCN Radio Network.
[00:51:02.773 --> 00:51:06.856]  And now, live from Austin, Texas, Alex Jones.
[00:51:13.122 --> 00:51:18.884]  I've got an important programming note coming up in the next segment, so be sure and stay with us for that.
[00:51:18.884 --> 00:51:21.564]  We're talking to Greg Siminski.
[00:51:21.564 --> 00:51:31.507]  He's a writer for American Free Press, written for a lot of other big publications, and he is joining us to talk about a big report that he broke, big story he broke.
[00:51:31.507 --> 00:51:34.168]  It's been out there for a while, but he pushed it over the edge.
[00:51:34.168 --> 00:51:35.528]  The perfect terrorist plan
[00:51:36.573 --> 00:52:03.886]  to level the Twin Towers created in 1976 by the Pentagon even down to Arab terrorists with box cutters and then of course the popular story they all give us is some drill they did a quarter century ago same thing with Northwoods a few years before that where they said that they didn't just drill they said we want to kill Americans US government did and blame it on foreign enemies
[00:52:05.498 --> 00:52:07.819]  Going back to Greg.
[00:52:07.819 --> 00:52:10.200]  Greg, let's go back to the calls.
[00:52:10.200 --> 00:52:12.381]  Let's talk to Delilah in Ohio.
[00:52:12.381 --> 00:52:14.142]  Delilah, thanks for holding.
[00:52:14.142 --> 00:52:15.062]  Hi Alex.
[00:52:15.062 --> 00:52:15.562]  Hi Greg.
[00:52:15.562 --> 00:52:22.185]  I just wanted to say thanks for you guys having the courage to bring this out.
[00:52:22.185 --> 00:52:30.009]  Unfortunately, I lost a relative out there at the World Trade Center when it occurred, so I'm always sorry.
[00:52:30.009 --> 00:52:31.730]  That's okay.
[00:52:31.730 --> 00:52:34.971]  I really appreciate the truth being exposed.
[00:52:35.725 --> 00:52:38.387]  Especially on who did what and why.
[00:52:38.387 --> 00:52:46.151]  What is it like when you watch the news and see the people behind 9-11 up there posing as the saviors?
[00:52:46.151 --> 00:52:47.112]  I get ticked off.
[00:52:48.027 --> 00:52:57.110]  And I just kind of just, I don't really even really watch that much TV or the news, just mostly the weather because I'm so sick and tired of the lies that's out there.
[00:52:57.110 --> 00:53:00.272]  By the way, let me bring this up to our guest.
[00:53:00.272 --> 00:53:08.555]  Greg, did you know major studies have been coming out that large portions of people, upwards of 50%, are just not watching TV anymore?
[00:53:08.555 --> 00:53:11.376]  No, no, I didn't hear about that.
[00:53:11.376 --> 00:53:14.597]  Yeah, it's almost spontaneous.
[00:53:14.597 --> 00:53:14.757]  Wow.
[00:53:15.703 --> 00:53:17.604]  Go ahead and finish up what you were saying, Delilah.
[00:53:17.604 --> 00:53:18.184]  Oh, okay.
[00:53:18.184 --> 00:53:19.524]  Well, yeah.
[00:53:19.524 --> 00:53:23.445]  No, actually, to hear that, I'm not really too surprised.
[00:53:23.445 --> 00:53:33.388]  I think part of the reason is because people are slowly starting to wake up and starting to see that there's something wrong with the whole picture, that they're just not being told the truth.
[00:53:34.068 --> 00:53:38.030]  And I think as the word spreads very slowly, people are waking up.
[00:53:38.030 --> 00:53:42.171]  And think about it, most of the stuff on TV is just junk anyway.
[00:53:42.171 --> 00:53:43.972]  So I don't waste my time with that.
[00:53:43.972 --> 00:53:45.492]  I have more productive things.
[00:53:45.492 --> 00:53:46.273]  Exactly.
[00:53:46.273 --> 00:53:50.334]  And your loss is something that can't really be put in words.
[00:53:50.334 --> 00:53:57.877]  But what can be done is that it really boils down to what happened on that day to many Americans that were killed.
[00:53:57.877 --> 00:54:00.838]  And we need to have answers in their memory.
[00:54:01.519 --> 00:54:02.919]  That are truthful.
[00:54:02.919 --> 00:54:17.982]  And my belief is that the first person that should be stepping forward for these truthful answers is the leader of our country, who basically is taking the cowardly approach of not even pushing for the truth, but yet hiding it.
[00:54:17.982 --> 00:54:19.243]  And so I think it's abominable.
[00:54:19.243 --> 00:54:21.563]  On the matter alone, he should be impeached.
[00:54:21.563 --> 00:54:24.044]  I agree with you 100% on that.
[00:54:24.044 --> 00:54:30.525]  Anyway, my next question is as far as what happens from here, and also I really wanted to know
[00:54:31.392 --> 00:54:35.735]  Uh, what was the update as far as what's going on with the draft?
[00:54:35.735 --> 00:54:36.695]  That's all I wanted to ask.
[00:54:36.695 --> 00:54:37.876]  I'll just listen to the answer.
[00:54:37.876 --> 00:54:38.176]  Thank you.
[00:54:38.176 --> 00:54:51.984]  Well, I did a story on that, and the last, uh, it was about a month ago, and right when Congress convened, and I had talked to, uh, the office, uh, geez, who's the, uh, who's the New York, uh, senator, uh, representative right now.
[00:54:51.984 --> 00:54:54.526]  Escapes my name right now.
[00:54:54.526 --> 00:54:57.907]  Uh, but anyway, uh, basically he was reintroducing, uh,
[00:54:59.213 --> 00:55:03.096]  Charlie Rangel, excuse me, I couldn't remember.
[00:55:03.096 --> 00:55:16.144]  Charlie Rangel was reintroducing a bill that he had wanted to reintroduce in the last session and didn't, and now told me that he was in the next few weeks or so reintroducing the bill for conscription.
[00:55:16.144 --> 00:55:23.008]  And basically his idea is that he feels that the poor, the rich, should also share... Yeah, that's a shill.
[00:55:23.008 --> 00:55:24.710]  That's a shill to get the left behind it.
[00:55:25.650 --> 00:55:27.651]  The globalists need a war.
[00:55:27.651 --> 00:55:29.352]  They need an expanded war.
[00:55:29.352 --> 00:55:31.933]  And for that they need conscripts.
[00:55:31.933 --> 00:55:35.195]  We'll talk about that when we get back and take more of your calls.
[00:55:35.195 --> 00:55:35.935]  Or our guests at 800-259-9231.
[00:55:35.935 --> 00:55:36.596]  Wide open telephones.
[00:55:36.596 --> 00:55:38.116]  PrisonPlanet.tv is the website.
[00:55:46.084 --> 00:55:50.626]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:55:50.626 --> 00:55:55.168]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:55:55.168 --> 00:55:59.590]  There is a chance to use this disaster for the New World Order.
[00:55:59.590 --> 00:56:00.951]  The New World Order.
[00:56:01.872 --> 00:56:03.133]  You will lose your liberty.
[00:56:16.468 --> 00:56:26.931]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grabs, government-run white slavery rings, and much, much more.
[00:56:26.931 --> 00:56:32.953]  If you want to understand what the New World Order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:56:32.953 --> 00:56:35.793]  Visit InfoWars.com or PrisonPlanet.com to order or call toll-free 1-888-253-3139.
[00:56:35.793 --> 00:56:36.053]  That's 888-253-3139.
[00:56:36.053 --> 00:56:38.014]  Order today and spread the word!
[00:56:47.193 --> 00:56:48.554]  The War on Terrorism.
[00:56:48.554 --> 00:56:51.617]  Will it be fought overseas or will it affect us here at home?
[00:56:51.617 --> 00:56:56.200]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:56:56.200 --> 00:56:57.341]  So what do you do?
[00:56:57.341 --> 00:57:01.905]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:57:02.385 --> 00:57:05.007]  With a little know-how, it's not that difficult.
[00:57:05.007 --> 00:57:19.757]  Sheltering in Place, Surviving Acts of Terrorism from Biological, Chemical and Radioactive Fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:57:19.757 --> 00:57:26.822]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:57:27.162 --> 00:57:32.004]  Get this critical video every American needs for only $29 plus shipping.
[00:57:32.004 --> 00:57:33.804]  Order by calling New Millennium today at 888-803-4438.
[00:57:33.804 --> 00:57:34.044]  That's 888-803-4438.
[00:57:34.044 --> 00:57:35.585]  Or order on the web at Berkeywater.com.
[00:57:45.868 --> 00:57:49.210]  With gardening season coming up, you'll soon be building your compost pile.
[00:57:49.210 --> 00:57:52.111]  And that's why there's a great gardening tool I have to tell you about.
[00:57:52.111 --> 00:57:53.672]  It's called the Compost Twin.
[00:57:53.672 --> 00:58:03.797]  Gardeners know the importance of composting, but we're all too familiar with the back-breaking work of turning a compost pile with a pitchfork and the messy accumulation of kitchen scraps while you wait for a batch of compost to cook.
[00:58:03.797 --> 00:58:05.518]  So Mantis developed the Compost Twin
[00:58:05.818 --> 00:58:09.922]  The Compost Twin is the only composter with two 10 bushel bins on one machine.
[00:58:09.922 --> 00:58:14.546]  The barrels sit well off the ground and away from the pests that feast on your compost pile for Sunday dinner.
[00:58:14.546 --> 00:58:18.630]  Plus, mixing the compost is a breeze with the Compost Twin's easy turn gear system.
[00:58:18.630 --> 00:58:25.015]  And with a second chamber, you can continually add kitchen scraps and garden waste without disturbing the composting process in the first chamber.
[00:58:25.015 --> 00:58:27.738]  No more mess, no more odors, no more hard work.
[00:58:27.978 --> 00:58:31.400]  Deal direct with Mantis and get a no-hassle, one-year money-back guarantee.
[00:58:31.400 --> 00:58:35.423]  Call Mantis now for a free video and information kit on the Compost Twins.
[00:58:35.423 --> 00:58:39.505]  Call toll-free 1-866-833-MANTIS.
[00:58:39.505 --> 00:58:46.309]  That's 1-866-833-M-A-N-T-I-S.
[00:58:46.309 --> 00:58:49.091]  He's the T-Rex of political talk.
[00:58:49.091 --> 00:58:51.893]  Alex Jones on the GCN Radio Network.
[00:59:00.702 --> 00:59:06.965]  Alright, here's a little program announcement 8 minutes and 15 seconds into this third hour.
[00:59:06.965 --> 00:59:13.308]  You know, this broadcast goes out on a growing list of just wonderful, brave AM and FM affiliates.
[00:59:13.308 --> 00:59:13.808]  People that
[00:59:15.635 --> 00:59:18.275]  Know that this broadcast is backed up by fact.
[00:59:18.275 --> 00:59:27.357]  Know that we post, neurotically, almost everything we talk about here from mainstream, alternative, or government documents.
[00:59:27.357 --> 00:59:30.158]  And folks that also know this broadcast gets ratings.
[00:59:30.158 --> 00:59:34.558]  People are hungry for the truth.
[00:59:34.558 --> 00:59:36.299]  So you can listen on the AM and FM dial.
[00:59:36.299 --> 00:59:37.339]  Got a lot of new affiliates.
[00:59:37.339 --> 00:59:39.739]  Also Global Shortwave.
[00:59:39.739 --> 00:59:41.379]  Our World Service.
[00:59:41.379 --> 00:59:43.940]  I get letters from Africa and Asia.
[00:59:44.861 --> 00:59:48.302]  From Latin America.
[00:59:48.302 --> 00:59:53.963]  You can listen during the day at 9.985 or 9.987 I forget.
[00:59:53.963 --> 00:59:59.224]  And at night from 9 to midnight central at 3210.
[00:59:59.224 --> 01:00:02.404]  So six hours a day on shortwave.
[01:00:02.404 --> 01:00:05.905]  And also the internet, one of our fastest growing areas.
[01:00:05.905 --> 01:00:10.266]  And this network has four different internet streams.
[01:00:10.266 --> 01:00:12.226]  During the day I'm on all four of them.
[01:00:14.125 --> 01:00:16.687]  Network 1, 2, 3, and 4.
[01:00:16.687 --> 01:00:22.652]  And we are routinely, in fact the show is almost always, just one of our streams, number one on Shoutcast.
[01:00:22.652 --> 01:00:25.274]  It tracks how many people are listening to what.
[01:00:25.274 --> 01:00:27.436]  It just gives the basic numbers.
[01:00:27.436 --> 01:00:29.237]  You can go to it online.
[01:00:29.237 --> 01:00:35.682]  One of my streams normally is booting out AP Radio and big syndicated shows.
[01:00:35.682 --> 01:00:39.826]  And then you add up all my other streams and I'm always number one.
[01:00:39.826 --> 01:00:41.427]  And a lot of other folks on the network get
[01:00:43.018 --> 01:00:47.260]  About a third or half way, you know, as many listeners.
[01:00:47.260 --> 01:00:57.604]  Which is great, I mean, the point is, is that Ted Anderson, that owns this network, has been giving it away for free.
[01:00:57.604 --> 01:01:07.328]  Whereas you look at some of the biggest shows in the country, you look at Rush Limbaugh, other shows, they have to charge.
[01:01:07.328 --> 01:01:08.509]  And I don't blame them for charging.
[01:01:09.173 --> 01:01:23.007]  Because, believe me, you start getting tens of thousands of people an hour, hundreds of thousands during a show, millions during a week, listening to your radio show, you start getting $10,000, $15,000, $20,000 bills.
[01:01:23.007 --> 01:01:25.590]  I'm sure it's a lot higher with Rush Limbaugh.
[01:01:25.590 --> 01:01:31.836]  So Ted Anderson bumped the quality of the audio on the free screens from 16 bits to 8 bits a few years ago.
[01:01:31.836 --> 01:01:32.537]  Well, it didn't matter.
[01:01:33.399 --> 01:01:37.983]  Sounds like you're listening to two, you know, with a string in between two Campbell Soup cans.
[01:01:37.983 --> 01:01:38.724]  It's not that bad.
[01:01:38.724 --> 01:01:39.845]  It's pretty good, actually.
[01:01:39.845 --> 01:01:42.587]  But the point is, you can mess with your equalizer and make it better.
[01:01:42.587 --> 01:01:45.710]  The point is, is that we had to do that.
[01:01:45.710 --> 01:01:48.912]  And he also gave out some free 16-bit streams, but they were limited.
[01:01:48.912 --> 01:01:54.197]  You know, let's say only 1,000 people or 500 could listen on those higher bandwidth streams.
[01:01:55.620 --> 01:02:07.204]  And then offered subscriptions to 32-bit, which sounds really good, you know, music quality for people that, I don't know, pay $9.95 a month or something, just trying to pay for the bandwidth.
[01:02:07.204 --> 01:02:10.766]  But most people go and then they just listen to the free one.
[01:02:10.766 --> 01:02:18.008]  So Ted last week goes, well, I'm going to start knocking people off the 16-bit stream every 25 minutes.
[01:02:18.008 --> 01:02:20.189]  And then go listen to the 8-bit.
[01:02:20.189 --> 01:02:22.670]  And I said, well, that's fine, Ted, but people aren't going to know.
[01:02:23.487 --> 01:02:25.468]  How to go find the other free streams.
[01:02:25.468 --> 01:02:27.970]  They just don't know.
[01:02:27.970 --> 01:02:29.911]  And we have a smart audience.
[01:02:29.911 --> 01:02:34.734]  The average American, literally a lot of them, don't really know how meat gets in the packages at the store.
[01:02:34.734 --> 01:02:39.096]  Other people ask me, how can you be on the radio in Austin, be on the radio in Kansas City?
[01:02:39.096 --> 01:02:40.597]  I go, well, satellite.
[01:02:40.597 --> 01:02:43.158]  You've seen Peter Jennings, right?
[01:02:43.158 --> 01:02:49.222]  I'm just saying, people find a link on a website, they use that link for years, it changes, it knocks them off.
[01:02:49.222 --> 01:02:51.003]  And I'm getting just deluge with emails.
[01:02:51.833 --> 01:02:58.537]  And if you're having problems listening on the internet, you need to call the network and tell them about it.
[01:02:58.537 --> 01:03:00.218]  And that's 877-996-4327, extension 101.
[01:03:00.218 --> 01:03:03.400]  You need to call 877-996-4327, extension 101, and let them answer your questions.
[01:03:13.061 --> 01:03:18.224]  That's the number for you to call, boys and girls, because I can't handle 20, 30, 40 emails a day.
[01:03:18.224 --> 01:03:23.107]  Faxes, phone calls, people calling up, asking the folks running my show what they can do.
[01:03:23.107 --> 01:03:25.748]  Now, here's some answers.
[01:03:25.748 --> 01:03:30.391]  During the day, I'm on stream 1 through 4.
[01:03:30.391 --> 01:03:31.351]  Okay?
[01:03:31.351 --> 01:03:37.695]  And if you go max out one of the other streams, you know, with thousands of listeners per stream, you've got to move over to another stream.
[01:03:39.062 --> 01:03:48.547]  So what's happening is people are going to streams 3 and 4, which kick you off in 25 minutes.
[01:03:48.547 --> 01:03:49.647]  Okay?
[01:03:49.647 --> 01:03:53.229]  And then they don't know you can go to other streams that are always there.
[01:03:53.229 --> 01:03:56.691]  And those streams are 1 and 2, right?
[01:03:56.691 --> 01:03:58.832]  Those are streams 1 and 2, correct?
[01:03:58.832 --> 01:04:00.633]  Got them popping in my ear, folks.
[01:04:00.633 --> 01:04:02.294]  I'm like George Bush, I've got an earpiece.
[01:04:02.294 --> 01:04:03.494]  I'm joking.
[01:04:03.494 --> 01:04:04.695]  It's like a remote every day.
[01:04:04.695 --> 01:04:06.156]  I'm down here in Austin, Texas.
[01:04:06.156 --> 01:04:06.596]  They're up in
[01:04:08.217 --> 01:04:09.178]  Minnesota.
[01:04:09.178 --> 01:04:10.359]  So 1 and 2.
[01:04:10.359 --> 01:04:13.821]  You go to GCNlive.com, go to the schedule, go to listen live.
[01:04:13.821 --> 01:04:15.822]  It's right there at the top of the page.
[01:04:15.822 --> 01:04:16.383]  1 and 2.
[01:04:16.383 --> 01:04:17.504]  Okay?
[01:04:17.504 --> 01:04:21.266]  During the day, you can always get me there.
[01:04:21.266 --> 01:04:24.789]  At night, you can always get me on 2 and 4.
[01:04:24.789 --> 01:04:30.033]  And 2 isn't unlimited, but it's a big stream, and 4 is limited.
[01:04:30.033 --> 01:04:32.094]  So, c'est la vie.
[01:04:32.094 --> 01:04:34.696]  Complain to Ted Anderson.
[01:04:34.696 --> 01:04:35.296]  Extension 101, folks.
[01:04:37.299 --> 01:04:39.161]  All right, let's go back to my guest.
[01:04:39.161 --> 01:04:43.826]  I appreciate you holding the last three or four minutes while I babbled about that, Greg.
[01:04:43.826 --> 01:04:49.471]  But I tell you, it's a good problem to have, Greg, that we're having trouble supplying everybody.
[01:04:49.471 --> 01:04:50.813]  Exactly, exactly.
[01:04:50.813 --> 01:04:52.615]  The more the merrier.
[01:04:52.615 --> 01:04:53.696]  You've got to get the word out.
[01:04:54.935 --> 01:04:59.517]  Now, that question the last caller, then we're going to go back to calls, brought up was about the draft.
[01:04:59.517 --> 01:05:00.657]  You've written stories on this.
[01:05:00.657 --> 01:05:03.078]  They've got bills in the House, bills in the Senate.
[01:05:03.078 --> 01:05:05.159]  They've reinstituted the draft boards.
[01:05:05.159 --> 01:05:07.239]  They've doubled the funding for Selective Service.
[01:05:07.239 --> 01:05:09.000]  The Pentagon has said we need a draft.
[01:05:09.000 --> 01:05:14.382]  Bill Clinton's last study he did before he left office was for a national draft, which I found to be pretty comical.
[01:05:16.343 --> 01:05:21.648]  So now Rangel goes, oh it's just liberal, my bill is to make these rich white people go to war.
[01:05:21.648 --> 01:05:27.973]  Well we all know they're not going to, but that's to con the left into getting behind this war when I said I was right.
[01:05:27.973 --> 01:05:33.938]  Exactly, and basically I talked to his office about a month ago and they're supposed to introduce it this term, so we'll see.
[01:05:33.938 --> 01:05:35.720]  That was their word, that's as far as I've gotten.
[01:05:35.720 --> 01:05:37.061]  I haven't seen it been introduced yet.
[01:05:38.041 --> 01:05:40.904]  Well, but it was introduced in the last couple sessions.
[01:05:40.904 --> 01:05:49.513]  Yeah, they just, it was introduced at the last session, but that was before the elections and no one wanted to touch it, so they kind of said they'd wait.
[01:05:50.231 --> 01:05:54.133]  Why don't we have another convenient charade, Chuck?
[01:05:54.133 --> 01:06:00.856]  Basically, Kerry was in a... Rangel found himself in a funny position because of Kerry's position.
[01:06:00.856 --> 01:06:04.998]  And it was before the elections, and there was no way anything was going to happen then.
[01:06:04.998 --> 01:06:16.002]  But now, after the election, after no one's got anything to lose, I expect... With the problems that I hear from talking to the military... In fact, I was at the anti-war rally Saturday in Los Angeles,
[01:06:17.759 --> 01:06:32.523]  We've talked to a number of veterans for peace, a number of Iraqi veterans who were there against the war, against Bush, and basically telling me that the military is having a hard time getting people now, and that reports in L.A.
[01:06:32.523 --> 01:06:41.185]  are this, they're basically at Compton, at the lower, in the black neighborhoods, in the poor neighborhoods, every day.
[01:06:42.112 --> 01:06:44.414]  And, uh, trying to get recruits.
[01:06:44.414 --> 01:06:49.919]  And, well, uh, you can't find a soul in Brentwood or, uh, Beverly Hills.
[01:06:49.919 --> 01:06:51.960]  So, basically, that's what's going on.
[01:06:51.960 --> 01:06:58.986]  I picture what'll happen is when they don't have enough, uh, boots, they're gonna have to find a way, and this is what'll happen.
[01:06:58.986 --> 01:07:02.669]  So, uh... Well, there'll be a convenient terrorist attack.
[01:07:02.669 --> 01:07:04.311]  And then, oh, see, we were hit again.
[01:07:04.311 --> 01:07:06.252]  We never thought it would happen, but it has to happen.
[01:07:06.252 --> 01:07:06.993]  Look, here's the numbers.
[01:07:07.755 --> 01:07:13.817]  We've got 150,000 troops in Iraq, 45,000 are actual combat troops, the rest are support.
[01:07:13.817 --> 01:07:17.539]  The Pentagon says 450,000.
[01:07:17.539 --> 01:07:22.520]  Every branch of the military except the Air Force, even the Marines aren't getting their number now.
[01:07:22.520 --> 01:07:24.521]  But what the Pentagon does is after they don't get
[01:07:25.091 --> 01:07:26.752]  You know something, Alex?
[01:07:26.752 --> 01:07:28.493]  Nothing amazes me about what they do.
[01:07:54.476 --> 01:07:57.198]  Basically, I look at it this way.
[01:07:57.198 --> 01:08:07.623]  People have to wake up because if you look at the definition of fascism, it's a system of government marked by a centralization authority under a dictator or one rule, one power, one person.
[01:08:07.623 --> 01:08:08.824]  That's Bush.
[01:08:08.824 --> 01:08:11.325]  Stringent socioeconomic controls.
[01:08:11.325 --> 01:08:16.328]  What's happening with our economy and what's happening with the Patriot Act and our society.
[01:08:16.328 --> 01:08:19.029]  Suppression of the opposition through terror and censorship.
[01:08:19.730 --> 01:08:23.672]  We talked about that, and typically a policy of belligerent nationalism.
[01:08:23.672 --> 01:08:26.714]  That doesn't sound like what we're under right now.
[01:08:26.714 --> 01:08:29.895]  Alberto Gonzales in the memo said Bush is the law.
[01:08:29.895 --> 01:08:30.916]  He is above the law.
[01:08:30.916 --> 01:08:43.142]  Yeah, and that's another disturbing factor in our government is how we've mixed church and state together now, which basically our founding fathers would roll over in their graves over.
[01:08:44.120 --> 01:08:53.923]  Well, I mean, this whole faith-based initiative is going to pay the churches off, but I'm sure you heard that Gonzales, in the torture memo, said Bush is above the law.
[01:08:53.923 --> 01:09:12.489]  Yeah, exactly, and that goes... I did a story about another judge that was just appointed here in the Ninth Circuit, and he worked with Gonzales to put together the legal opinion that justified torture and justified skirting the international laws of human rights.
[01:09:14.497 --> 01:09:26.344]  Now, this judge, I call him the torture judge here, he's been appointed for a lifetime position on the bench here on the 9th Circuit, and he's basically professing the same thing that Gonzales does.
[01:09:26.344 --> 01:09:29.486]  But Alberto said Bush is also above federal law.
[01:09:29.486 --> 01:09:30.066]  Exactly.
[01:09:30.066 --> 01:09:33.588]  Everybody knows the executive executes law, it doesn't make law.
[01:09:33.588 --> 01:09:34.729]  Exactly.
[01:09:34.729 --> 01:09:35.529]  It's ridiculous.
[01:09:35.529 --> 01:09:42.934]  It's people that have gone too far with their political ideas and not put the country or its people
[01:09:43.527 --> 01:09:44.669]  At all in their thoughts.
[01:09:44.669 --> 01:09:47.695]  And it's a very, very sad situation.
[01:09:47.695 --> 01:09:49.799]  And one that we must address.
[01:09:49.799 --> 01:09:53.766]  And I think one senator that is addressing it is Robert Byrd.
[01:09:53.766 --> 01:09:55.109]  He recently came out.
[01:09:55.109 --> 01:09:56.151]  So the words, when you say,
[01:09:56.893 --> 01:09:59.515]  Bush is like Hitler, and I've heard you say it many times.
[01:09:59.515 --> 01:10:03.397]  It is not an exaggeration, or it's not a radical idea anymore.
[01:10:03.397 --> 01:10:22.368]  Senator Burgess recently, when Bush is now trying to push in his 12, I call them the 12 angry judges, that were stopped into the federal judgeship positions last term because of the Senate filibuster, Democratic filibuster, Bush is now trying to change the Senate rules to get these guys in.
[01:10:23.038 --> 01:10:29.665]  And Byrd came out literally recently and said that Bush is like Hitler, and he explained why.
[01:10:29.665 --> 01:10:38.034]  And when you get a senator who's a conservative democrat, who's a well-respected scholar, saying that, I think basically you gotta stop and think.
[01:10:38.034 --> 01:10:42.118]  So when you say Bush is like Hitler, it is not an exaggeration.
[01:10:42.118 --> 01:10:43.660]  We're gonna take calls on the other side.
[01:10:46.383 --> 01:10:47.743]  Are you losing your hair?
[01:10:47.743 --> 01:10:49.544]  Is that bald spot getting bigger?
[01:10:49.544 --> 01:10:51.205]  Is your hair looking thinner?
[01:10:51.205 --> 01:10:53.085]  Why aren't you using Avocor?
[01:10:53.085 --> 01:10:58.027]  The hair growth treatment that has helped thousands of people just like you regrow their hair.
[01:10:58.027 --> 01:11:01.188]  I've been using Avocor now for 4 months and it's a great product.
[01:11:01.188 --> 01:11:03.588]  They back everything with a money back guarantee.
[01:11:03.588 --> 01:11:04.689]  It works!
[01:11:04.689 --> 01:11:07.230]  My hair hasn't looked this good in over 15 years.
[01:11:08.730 --> 01:11:13.733]  If you're losing your hair and haven't tried Avacor yet, how about a free month's supply?
[01:11:13.733 --> 01:11:17.775]  We're giving away a free month of Avacor with all of today's orders.
[01:11:17.775 --> 01:11:22.537]  Avacor is proven to successfully stop hair loss and regrow hair.
[01:11:22.537 --> 01:11:27.980]  Even if hair loss runs in the family, Avacor can help you regrow your own natural hair.
[01:11:27.980 --> 01:11:28.520]  Call 1-800-548-5910.
[01:11:28.520 --> 01:11:28.840]  That's 1-800-548-5910.
[01:11:35.965 --> 01:11:38.407]  Call now for your free month's supply.
[01:11:38.407 --> 01:11:41.710]  Call 1-800-548-5910.
[01:11:41.710 --> 01:11:42.771]  That's 1-800-548-5910.
[01:11:42.771 --> 01:11:47.916]  Hello folks, this is Alex Jones.
[01:11:47.916 --> 01:11:53.681]  You know that Murky Water Filters have become the standard of excellence by which all other water filtration systems are measured.
[01:11:53.681 --> 01:11:59.026]  The Murky Light gives you the freshest, cleanest water possible from the world's most revolutionary water filtration system.
[01:11:59.366 --> 01:12:09.033]  The self-sterilizing black burki elements remove pathogenic bacteria, cysts, parasites, volatile organic chemicals, trihalomethanes, radon-222, and much, much more.
[01:12:09.033 --> 01:12:14.297]  Its rechargeable 8-lamp bright white LED lighting system provides the ideal source of emergency light.
[01:12:14.297 --> 01:12:18.500]  The lights can run all night on a single charge, and it is bright enough to read by.
[01:12:18.500 --> 01:12:23.224]  This provides a relaxing and ambient night light that allows for optimum use during emergency conditions.
[01:12:23.624 --> 01:12:29.891]  The Berkey Light's revolutionary transparent design makes the guesswork out of refilling because you can see the water level at all times.
[01:12:29.891 --> 01:12:36.159]  Get the Berkey Light, the standard of excellence for only $259 by calling New Millennium at 888-803-4438 and tell them Alex Jones sent you.
[01:12:36.159 --> 01:12:37.220]  That's toll free at 888-803-4438.
[01:12:37.220 --> 01:12:38.121]  Not yet available in Iowa.
[01:12:46.297 --> 01:12:48.058]  To the farthest corners of the Earth.
[01:12:48.058 --> 01:12:53.000]  Explorers are willing to put all their wealth and skill into mapping every corner of the world, and they did.
[01:12:53.000 --> 01:12:55.561]  But you can still hold the world in the palm of your hand.
[01:12:55.561 --> 01:12:57.461]  Achieve financial independence.
[01:12:57.461 --> 01:13:02.863]  Unlike explorers of yesteryear, you'll have a map to follow instead of relying on a compass and a North Star.
[01:13:02.863 --> 01:13:04.144]  Get the Red Book of the U.S.
[01:13:04.144 --> 01:13:06.845]  Coins and you'll begin your journey to total financial freedom.
