[00:00.000 --> 00:01.000]  Nails.
[47:45.120 --> 47:50.360]  I have scanned hundreds of newspapers and even the Washington Post is not reporting on the
[47:50.360 --> 47:55.720]  fact that Georgian backed U.S. backed forces attacked Russia Thursday night on the eve
[47:55.720 --> 47:56.720]  of the Olympics.
[47:56.720 --> 48:01.320]  Knowing that would be a smokescreen, U.S. troops are reportedly involved in the attack mass
[48:01.320 --> 48:08.440]  murdering Russian troops and civilians, but the Austin American statesmen did get it right.
[48:08.440 --> 48:13.480]  They have a bunch of diversions here about unlicensed bus, carried 15 to their deaths,
[48:13.480 --> 48:19.040]  the Olympics, but then under it, Russia, Georgia had a brink of war, hundreds die, it's now
[48:19.040 --> 48:21.040]  over 2,000 alone in one city.
[48:21.040 --> 48:26.240]  As breakaway Georgian province, AP, Russia dispatched an armored column to the breakaway
[48:26.240 --> 48:31.560]  Georgian enclave of South Ossetia on Friday after Georgians, a U.S. ally launched a surprise
[48:31.560 --> 48:35.560]  offensive against South Ossetian separatists, witnesses that hundreds of civilians were
[48:35.560 --> 48:36.560]  killed.
[48:36.560 --> 48:40.560]  Let me read that again, Georgia launched a surprise offensive.
[48:40.560 --> 48:45.360]  Now remember, this is a demilitarized zone, these are areas that have always been part
[48:45.360 --> 48:51.960]  of Russia, two large enclaves, nothing violent was going on, there has not been any fighting
[48:51.960 --> 49:00.360]  since 1992, Russian troops have been there in the 90 plus percent Russian enclave, and
[49:00.360 --> 49:05.320]  Georgia launches an attack to drive them out.
[49:05.320 --> 49:09.160]  Now people are asking what is all this about, why is this happening?
[49:09.160 --> 49:15.200]  The pipeline war, Russia bear goes for West jugular, UK daily mail, and of course BP owns
[49:15.200 --> 49:21.560]  that pipeline, they mention that later in the article, so again still a deceptive headline
[49:21.560 --> 49:23.280]  like Russia went for something.
[49:23.280 --> 49:27.440]  That's like if you get mugged, an old lady is getting mugged and she beats the guy away
[49:27.440 --> 49:32.400]  from her with her cane or with her umbrella, is the headline old lady attacks innocent
[49:32.400 --> 49:33.400]  man?
[49:33.400 --> 49:39.760]  No, it's old lady attacks mugger, but again Georgia has today withdrawn its troops from
[49:39.760 --> 49:45.400]  the capital of South Ossetia according to reports, and says a day after heightened international
[49:45.400 --> 49:49.720]  tensions, talks about the Russians trying to bomb the pipeline, let's go ahead and take
[49:49.720 --> 49:50.720]  some phone calls.
[49:50.720 --> 49:53.200]  Before we do that, Barman say anything else you want to add?
[49:53.200 --> 49:57.840]  Not really, I was just looking at this other story where it's now come out a CIA officer
[49:57.840 --> 50:03.560]  has said that Cheney likely ordered the forgery of the Iraq 9-11 letter, the one where they
[50:03.560 --> 50:06.640]  tried to say Muhammad Ata had met with them.
[50:06.640 --> 50:11.480]  Well maybe Cheney is reporting it's not likely, the CIA guy has said they were ordered to false
[50:11.480 --> 50:13.520]  file a letter saying Iraq launched the enter.
[50:13.520 --> 50:19.000]  Yeah, and Douglas Faith is the guy who wrote it up, I mean it's unbelievable that these
[50:19.000 --> 50:24.000]  criminals still walk around and are just adored by the public Alex, it makes me sick.
[50:24.000 --> 50:27.840]  Well they're not adored by the public, it's an illusion that the public adores it, but
[50:27.840 --> 50:28.840]  man.
[50:28.840 --> 50:30.440]  I guess there's 25% that does.
[50:30.440 --> 50:33.800]  Yeah, and I feel like those that don't adore them aren't doing enough to get them out of
[50:33.800 --> 50:36.160]  power or bring them to justice, it's few and far between.
[50:36.160 --> 50:40.120]  Just come out, they ordered Robert Mueller, head of the FBI to blame the anthrax attacks
[50:40.120 --> 50:44.360]  on Iraq knowing of course they launched the attacks, they were on the separate drug that
[50:44.360 --> 50:45.880]  fought it and all the rest of the evidence.
[50:45.880 --> 50:46.880]  Prior to it being released.
[50:46.880 --> 50:53.120]  They've ordered the CIA to create fake documents with Muhammad Ata and Iraq and it just comes
[50:53.120 --> 50:57.680]  out, I mean it just came out mainstream news last week that Cheney wanted to stage attacks
[50:57.680 --> 51:00.360]  on our ships, I mean you know.
[51:00.360 --> 51:01.360]  They're cold-blooded killers.
[51:01.360 --> 51:04.000]  But a lot of the public who does support this thinks they're part of the elite and they're
[51:04.000 --> 51:05.000]  part of the system.
[51:05.000 --> 51:08.840]  Now they're going to take your pension funds, your freedom, your dollar, your future too.
[51:08.840 --> 51:11.480]  You're not part of the elite, this criminal group's going to hurt you as well.
[51:11.480 --> 51:13.320]  And don't think Barack Obama's going to save you.
[51:13.320 --> 51:16.000]  I don't know who's first up here, who should I go to first?
[51:16.000 --> 51:20.880]  Let's go to line one, Jesse in Canada, you're on the air, go ahead Jesse.
[51:20.880 --> 51:22.560]  Hey, what's up Alex?
[51:22.560 --> 51:24.880]  On a worldwide radio show.
[51:24.880 --> 51:30.560]  Alright, I've been drinking or something there.
[51:30.560 --> 51:32.680]  Kevin in Canada, you're on the air, go ahead.
[51:32.680 --> 51:33.880]  How you doing Alex?
[51:33.880 --> 51:34.880]  Good.
[51:34.880 --> 51:37.880]  I'm going to say as soon as you're calling us about that audit that's coming up on September
[51:37.880 --> 51:42.320]  30th from the International Bank of Settlement, I knew this was going to happen.
[51:42.320 --> 51:46.800]  I mean we had this on September 10th when they announced the $2.3 trillion missing and
[51:46.800 --> 51:47.800]  they needed the shot.
[51:47.800 --> 51:51.320]  That's right, the AP reported that someone in the Pentagon stole $1.9 trillion, it's
[51:51.320 --> 51:56.360]  now $3.9 trillion from all the military pension funds are gone and then they stage 9-11,
[51:56.360 --> 51:58.240]  two days after that came out.
[51:58.240 --> 52:01.360]  And yeah, the whole world is headed towards crises right now.
[52:01.360 --> 52:05.240]  I apologize I have an ambulance passing by.
[52:05.240 --> 52:07.760]  I can't understand you, but go ahead.
[52:07.760 --> 52:11.680]  I think it's thanks to you though that they have to at least basically start these kind
[52:11.680 --> 52:15.880]  of aggressions now and not try and pull another 9-11 because there's too many people that
[52:15.880 --> 52:21.080]  have woken up now, thanks to efforts like yours and a lot of others, but they can't
[52:21.080 --> 52:22.080]  get away with this.
[52:22.080 --> 52:26.040]  We're not going to tolerate another inside job.
[52:26.040 --> 52:28.560]  I mean I'm already packing in myself Alex.
[52:28.560 --> 52:29.880]  I hope they, I hear you.
[52:29.880 --> 52:33.840]  I hope they don't stage some new event to get us into war with Iran.
[52:33.840 --> 52:36.480]  I mean now they're going to have four aircraft carrier groups there.
[52:36.480 --> 52:40.520]  They're sending two more talking about attacking them during October.
[52:40.520 --> 52:41.720]  I mean this is insane.
[52:41.720 --> 52:45.080]  Meanwhile, Pakistan's been given nukes by our criminal government.
[52:45.080 --> 52:46.580]  Thank you so much Kevin.
[52:46.580 --> 52:48.320]  Let's talk to Josh in North Carolina.
[52:48.320 --> 52:50.160]  You're on the air worldwide Josh.
[52:50.160 --> 52:53.600]  Hey Alex, good to talk to you.
[52:53.600 --> 52:56.720]  So I have a couple points I'd like to raise.
[52:56.720 --> 53:00.760]  I had some discussions with some friends of mine in the intelligence community and some
[53:00.760 --> 53:02.560]  of the things I'd like to raise.
[53:02.560 --> 53:09.280]  First off, some of the reasons I've heard for why they did this is to test the Russian
[53:09.280 --> 53:11.480]  force and to test their Russian response.
[53:11.480 --> 53:18.520]  A couple other interesting points, since the fall of the Soviet Union, they've been quite
[53:18.520 --> 53:23.880]  successful in Russia in weeding out a lot of the CIA agents from higher places within
[53:23.880 --> 53:24.880]  their government.
[53:24.880 --> 53:28.840]  Also, it's turned out a bunch of the oligarchs they've arrested that stole all of Russian's
[53:28.840 --> 53:32.520]  wealth after it fell, turns out are British or Rothschild agents, according to the Times
[53:32.520 --> 53:33.520]  of London.
[53:33.520 --> 53:34.520]  Exactly.
[53:34.520 --> 53:35.520]  Right.
[53:35.520 --> 53:40.560]  So from what I have been told and what I understand at this point, they have a better
[53:40.560 --> 53:45.200]  idea of what we are capable of than we do them.
[53:45.200 --> 53:46.200]  The other point that they did-
[53:46.200 --> 53:48.400]  Well by the way, we keep using the term we.
[53:48.400 --> 53:49.400]  It's not our government.
[53:49.400 --> 53:50.600]  It's not our military anymore.
[53:50.600 --> 53:54.260]  It's been used to printively attack Russia and they think the American people are so
[53:54.260 --> 53:56.880]  dumb they tell us Russia did this.
[53:56.880 --> 53:59.760]  Exactly, which is really, really sad.
[53:59.760 --> 54:00.760]  Agreed there.
[54:00.760 --> 54:04.320]  Yeah, that's the big story here, is that I talk to the public everywhere and they think
[54:04.320 --> 54:06.320]  Russia attacked out of a clear blue sky.
[54:06.320 --> 54:08.720]  No, I've run into quite a few people.
[54:08.720 --> 54:12.520]  I've even actually run into somebody who thought it was the state of Russia like you've
[54:12.520 --> 54:13.520]  joked about.
[54:13.520 --> 54:14.520]  So I was-
[54:14.520 --> 54:15.520]  The state of Georgia, you mean?
[54:15.520 --> 54:16.520]  Exactly.
[54:16.520 --> 54:18.960]  Oh, you ran into someone that thought the Russians had attacked America?
[54:18.960 --> 54:19.960]  Yeah, they did.
[54:19.960 --> 54:20.960]  It was pretty funny.
[54:20.960 --> 54:22.480]  Was it Miss South Carolina?
[54:22.480 --> 54:24.320]  I'm in North Carolina, so-
[54:24.320 --> 54:25.760]  No, I mean, remember her?
[54:25.760 --> 54:27.800]  Let's pull up Miss South Carolina.
[54:27.800 --> 54:30.600]  Pull her up or she just doesn't even know what side of the planet she's on.
[54:30.600 --> 54:32.680]  Well, no, I mean, that's what's happening.
[54:32.680 --> 54:39.040]  Meanwhile, it's also a diversion, you know, launched during the Olympics, a diversion
[54:39.040 --> 54:41.160]  for the attack on Iran.
[54:41.160 --> 54:43.720]  That's exactly the point I was about to bring up.
[54:43.720 --> 54:49.400]  They're hoping that they can possibly divert Russian attention away from the attack that
[54:49.400 --> 54:51.360]  is about to occur in Iran.
[54:51.360 --> 54:56.320]  In my opinion, it's a very stupid gamble and may very well, like you've mentioned, lead
[54:56.320 --> 54:57.320]  to World War III.
[54:57.320 --> 54:59.680]  Well, I hear you and I appreciate your call.
[54:59.680 --> 55:03.820]  I mean, I've got the mainstream news here of the Russian foreign minister threatening
[55:03.820 --> 55:08.560]  military action against Western Europe and the United States, but let me just dig it
[55:08.560 --> 55:09.560]  out here.
[55:09.560 --> 55:12.520]  Russia threatens military response to U.S. missile defense deal.
[55:12.520 --> 55:14.000]  When you read into-
[55:14.000 --> 55:16.680]  There's a bunch of reports going back over the last six months where they keep saying
[55:16.680 --> 55:19.840]  it, including using their nuclear arsenal.
[55:19.840 --> 55:22.080]  Hell, you know, the neocons don't care.
[55:22.080 --> 55:23.080]  Yeah.
[55:23.080 --> 55:24.080]  Here's-
[55:24.080 --> 55:29.600]  Russian polls have shown a fifth of Americans can't locate the U.S. on a world map.
[55:29.600 --> 55:32.760]  Why do you think this is?
[55:32.760 --> 55:41.960]  I personally believe that U.S. Americans are unable to do so because some people out there
[55:41.960 --> 55:49.200]  in our nation don't have that, and I believe that our education, like such as South Africa
[55:49.200 --> 55:56.440]  and the Iraq everywhere, like such as, and I believe that they should- our education
[55:56.440 --> 56:02.360]  over here in the U.S. should help the U.S. or should help South Africa and should help
[56:02.360 --> 56:08.600]  Iraq and the Asian countries, so we will be able to build up our future for our children.
[56:08.600 --> 56:09.920]  And listen, we make fun of her.
[56:09.920 --> 56:11.920]  That's the average American.
[56:11.920 --> 56:14.680]  And I told you, I mean, I've seen websites and news reports.
[56:14.680 --> 56:17.040]  They think Russia attacked Georgia.
[56:17.040 --> 56:21.560]  Not only was it not Russia that attacked Georgia and the Caucasus, they're on the Black Sea.
[56:21.560 --> 56:27.080]  They're on the eastern side of the Black Sea bordering Russia, but they believe Georgia,
[56:27.080 --> 56:30.000]  with Georgia peaches, in the South was attacked.
[56:30.000 --> 56:33.120]  You know, Robert E. Lee, all that stuff, and I mean, you know, you can't help them.
[56:33.120 --> 56:38.560]  You know, they think George Bush is a conservative, Barack Obama's a good guy.
[56:38.560 --> 56:42.840]  Well, Alex, there's different levels of propaganda for everybody.
[56:42.840 --> 56:48.440]  For instance, the John Edward story was really big to try to get the politicos away from
[56:48.440 --> 56:52.280]  this story of Russia attacking Georgia, Georgia really attacking Russia.
[56:52.280 --> 56:56.960]  I heard a hardcore quote, Patriot shows, Friday, they weren't even covering this in Georgia.
[56:56.960 --> 56:57.960]  Yeah, it's insane.
[56:57.960 --> 57:01.120]  They were talking about he has sex with some woman.
[57:01.120 --> 57:06.480]  And on the other level, for the even dumb down masses, even more dumb down, it's Bernie
[57:06.480 --> 57:09.000]  Mack and now Isaac Hayes have died two celebrities.
[57:09.000 --> 57:11.160]  So there's two celebrity deaths this week.
[57:11.160 --> 57:12.880]  The media will run with that all week.
[57:12.880 --> 57:16.680]  Friday night, you saw it on Yahoo, you showed me at the office, the top stories where John
[57:16.680 --> 57:22.640]  Edward's celebrity heritage and some, the car wreck, day three of the guy in Batman.
[57:22.640 --> 57:23.640]  Yes.
[57:23.640 --> 57:24.640]  Yeah.
[57:24.640 --> 57:25.640]  Morgan Freeman, that's right.
[57:25.640 --> 57:26.640]  He was in a car wreck.
[57:26.640 --> 57:31.240]  They love this filtered, celebrity entertainment news that just mesmerizes people.
[57:31.240 --> 57:37.320]  Well, folks, the country is in trouble when the United States back forces, now they're
[57:37.320 --> 57:43.200]  reporting dead US troops attack Russia, premeditated out of a clear blue sky, terrorist attack.
[57:43.200 --> 57:45.320]  And they just tell you that it's the other way around.
[57:45.320 --> 57:46.600]  We're going to start the next hour.
[57:46.600 --> 57:57.600]  We'll get to many other people that are patiently holding 877-590-5525, 877-590-5525 locally in
[57:57.600 --> 57:58.600]  Central Texas.
[57:58.600 --> 58:03.600]  If you're listening to us on the mothership station, who's radio 590-KLBJ, it's 8360-590.
[58:03.600 --> 58:08.720]  Our websites are infowars.com and prismplanet.com, film director, Jason Burmes is my guest,
[58:08.720 --> 58:11.360]  his new film, Fabled Enemies, comes out September 1st.
[58:11.360 --> 58:19.600]  Stay with us.
[58:19.600 --> 58:23.880]  It's no secret that Genesis Communications Network depends on listeners like you.
[58:23.880 --> 58:26.960]  Now you can do even more to hear Genesis shows in your area.
[58:26.960 --> 58:31.400]  Simply call your local radio stations and tell them about your favorite GCN programs.
[58:31.400 --> 58:32.400]  It's easy.
[58:32.400 --> 58:38.720]  If you want to, go on to GCNLive.com or call us toll free, 877-807-4048.
[58:38.720 --> 58:42.760]  Make a difference, call your local stations and contact us through affiliate relations
[58:42.760 --> 58:48.240]  at GCNLive.com or call 877-807-4048.
[58:48.240 --> 58:50.740]  Call today.
[58:50.740 --> 58:51.740]  Looking for profits?
[58:51.740 --> 58:53.240]  Looking for safety and security?
[58:53.240 --> 58:56.640]  The $10 Olympic commemorative gold coin offers both.
[58:56.640 --> 59:03.040]  This low-mintage collector coin, with a total-series-mintage under $600,000, has sold at four times
[59:03.040 --> 59:04.200]  its current price.
[59:04.200 --> 59:08.000]  Falling dollar values and inflation make this likely to happen again.
[59:08.000 --> 59:09.800]  Secure your position today.
[59:09.800 --> 59:19.480]  Call Mitus Resources at 1-800-686-2237, that's 1-800-686-2237.
[59:19.480 --> 59:24.200]  Attention, this is an extremely urgent news update on the global food shortage.
[59:24.200 --> 59:28.440]  If you've ever wanted to produce your own dirt-cheap survival foods, this is going to
[59:28.440 --> 59:31.320]  be the most important message you will ever hear.
[59:31.320 --> 59:35.920]  This network has just learned of a new video course that reveals the secrets of how to safely
[59:35.920 --> 59:40.880]  prepare and store all kinds of survival foods in event of social unrest and food shortages
[59:40.880 --> 59:42.280]  here in the US.
[59:42.280 --> 59:43.680]  And here's the best part.
[59:43.680 --> 59:47.600]  This course teaches you how to store food for pennies on the dollar.
[59:47.600 --> 59:49.720]  Hunger is spreading across the globe.
[59:49.720 --> 59:52.760]  Food riots have already broken out in over 20 countries.
[59:52.760 --> 59:56.080]  Will troops guard food supplies in the US this winter?
[59:56.080 --> 59:57.080]  Don't wait.
[59:57.080 --> 1:00:01.640]  Learn the food storage secrets that can keep you and your family alive in a crisis.
[1:00:01.640 --> 1:00:08.600]  Get all the details at FoodShortageUSA.com, that's FoodShortageUSA.com, or call toll-free
[1:00:08.600 --> 1:00:13.000]  at 877-327-0365.
[1:00:13.000 --> 1:00:15.960]  Don't wait for long lines and empty shelves.
[1:00:15.960 --> 1:00:18.960]  Go to FoodShortageUSA.com.
[1:00:18.960 --> 1:00:23.400]  Well, Texas, we'll tell you about prices coming up, plus have a checkbook.
[1:00:23.400 --> 1:00:27.360]  This is the GCN Radio Network.
[1:00:27.360 --> 1:00:29.800]  In Texas, it's five o'clock.
[1:00:29.800 --> 1:00:35.040]  I am in USA Radio News.
[1:00:35.040 --> 1:00:36.400]  I'm Judy Jordan.
[1:00:36.400 --> 1:00:40.800]  Russia is expanding its bombing blitz against neighboring Georgia, targeting the country's
[1:00:40.800 --> 1:00:42.680]  capital for the first time.
[1:00:42.680 --> 1:00:47.280]  Meanwhile, Georgian troops are pulling out of the breakaway province of South Ossetia,
[1:00:47.280 --> 1:00:48.840]  as Russia has demanded.
[1:00:48.840 --> 1:00:53.720]  The Moscow says it now needs to verify the withdrawal before it will negotiate a ceasefire.
[1:00:53.720 --> 1:00:57.200]  And the White House is urging both sides to stop fighting.
[1:00:57.200 --> 1:00:58.200]  Here's Mark Smith.
[1:00:58.200 --> 1:01:02.920]  Whether or not Georgia was right to send troops into South Ossetia to retake control of the
[1:01:02.920 --> 1:01:07.680]  breakaway region, Presbyterian Dana Perino says it was wrong of Russia to hit back with
[1:01:07.680 --> 1:01:11.440]  air attacks and armor columns that went far beyond the disputed enclave.
[1:01:11.440 --> 1:01:14.240]  President Bush does think that the Russian response has been disproportionate.
[1:01:14.240 --> 1:01:19.200]  The White House warns that those attacks don't stop Russia's ties with America will be harmed.
[1:01:19.200 --> 1:01:23.560]  The president's spoken twice to Vladimir Putin here in Beijing, though Perino won't comment
[1:01:23.560 --> 1:01:26.760]  on reports the two argued at the Olympic opening ceremonies.
[1:01:26.760 --> 1:01:30.240]  This is IRN USA Radio News.
[1:01:30.240 --> 1:01:33.960]  If you're driving down the road and trying to decide whether you need a home equity
[1:01:33.960 --> 1:01:38.080]  loan just by gas, you might want to consider starting a home business.
[1:01:38.080 --> 1:01:40.240]  Hi, how in the world are you anyway?
[1:01:40.240 --> 1:01:44.840]  This is Andy Willoughby with the Three Step Plan Home Business System.
[1:01:44.840 --> 1:01:48.560]  If you build a home business with a Three Step Plan, you would walk to work every day.
[1:01:48.560 --> 1:01:50.160]  It would only take about 10 seconds.
[1:01:50.160 --> 1:01:54.000]  You wouldn't have to deal with any traffic, and it wouldn't use any gas.
[1:01:54.000 --> 1:01:58.800]  Of course, some Three Step Plan members keep their jobs and start a home business part-time.
[1:01:58.800 --> 1:02:01.280]  That's one of the great things about the Three Step Plan.
[1:02:01.280 --> 1:02:03.080]  You get to make the choices.
[1:02:03.080 --> 1:02:09.720]  For information, go to threestepplan.com or call 800-480-2102.
[1:02:09.720 --> 1:02:14.440]  If you would like to put more money in your pocket and lessen your gas tank, take a proactive
[1:02:14.440 --> 1:02:17.200]  approach to today's changing economy.
[1:02:17.200 --> 1:02:19.600]  Find out how you can make more money working from home.
[1:02:19.600 --> 1:02:25.200]  Go to threestepplan.com or call 800-480-2102.
[1:02:25.200 --> 1:02:28.200]  800-480-2102.
[1:02:28.200 --> 1:02:34.520]  In a meeting with the Chinese President today, President Bush praised the country for its
[1:02:34.520 --> 1:02:40.720]  swift response to a stabbing attack that killed the father of a 2004 U.S. Olympian while the
[1:02:40.720 --> 1:02:43.400]  man was visiting a historic site.
[1:02:43.400 --> 1:02:44.400]  Here's Warren Levinson.
[1:02:44.400 --> 1:02:49.200]  The attacker was identified as 47-year-old Tang Yongming from a province in eastern China.
[1:02:49.200 --> 1:02:55.120]  Interpol has run his name through a database of 178,000 individuals, including 12,000 suspected
[1:02:55.120 --> 1:02:58.040]  terrorists, and come up empty, though the check continues.
[1:02:58.040 --> 1:03:02.280]  The agency says he'd recently divorced and not been seen by relatives for two months.
[1:03:02.280 --> 1:03:07.400]  The ex-mistress to former presidential candidate John Edwards says she will not participate
[1:03:07.400 --> 1:03:11.440]  in DNA testing to establish the paternity of her daughter.
[1:03:11.440 --> 1:03:13.640]  Curtis Gaines is a political analyst.
[1:03:13.640 --> 1:03:25.000]  If she's refusing DNA testing, he is presumed innocent until DNA proves him the father.
[1:03:25.000 --> 1:03:30.280]  For more news and analysis, log on to IRNNews.com.
[1:03:30.280 --> 1:03:31.480]  You're finally there.
[1:03:31.480 --> 1:03:34.240]  You've taken your idea and turned it into a reality.
[1:03:34.240 --> 1:03:35.240]  You're starting a business.
[1:03:35.240 --> 1:03:40.440]  When it comes to setting up your limited liability company, S-Corporation, or C-Corporation,
[1:03:40.440 --> 1:03:43.480]  make sure you go to people you can trust, inkfile.com.
[1:03:43.480 --> 1:03:47.960]  Inkfile has helped more than 30,000 people just like yourself protect their investment,
[1:03:47.960 --> 1:03:51.520]  with plans starting at just $49, plus state filing fees.
[1:03:51.520 --> 1:04:00.600]  For a limited time, use promo code radio and receive a $25 discount only at inkfile.com.
[1:04:00.600 --> 1:04:06.000]  The U.S. men's volleyball team played with heavy hearts in a five-set win over Venezuela.
[1:04:06.000 --> 1:04:10.640]  Team captain Thomas Hoff says it was an easy concentrating of the game after Saturday's
[1:04:10.640 --> 1:04:13.280]  fatal stabbing of the coach's father-in-law.
[1:04:13.280 --> 1:04:18.520]  We all came here to do this and it's very hard to continue on, but obviously our first
[1:04:18.520 --> 1:04:22.080]  and foremost thoughts and prayers are with their family.
[1:04:22.080 --> 1:04:26.200]  The United States leads in the overall medal count in the Olympics with eight medals so
[1:04:26.200 --> 1:04:32.680]  far, Michael Phelps won his first gold medal of the Beijing Olympics in the 400-meter individual
[1:04:32.680 --> 1:04:33.680]  melody.
[1:04:33.680 --> 1:04:35.800]  American Ryan Lochte was second.
[1:04:35.800 --> 1:04:38.600]  Phelps says seeing President Bush was a thrill.
[1:04:38.600 --> 1:04:39.600]  It was cool.
[1:04:39.600 --> 1:04:44.440]  I looked up and, you know, he weighed the flag and nodded his head and that was pretty
[1:04:44.440 --> 1:04:45.440]  cool.
[1:04:45.440 --> 1:04:49.480]  You know, pretty cool feeling to have the President say congratulations and then have
[1:04:49.480 --> 1:04:50.760]  him here in the crowd tonight.
[1:04:50.760 --> 1:04:57.400]  Dara Torres won silver in the 400 freestyle relay while Larsen Jensen and Katie Hoff earned
[1:04:57.400 --> 1:04:59.680]  bronze medals in swimming.
[1:04:59.680 --> 1:05:04.640]  More on Friday's Texas bus accident that killed at least 16 people.
[1:05:04.640 --> 1:05:09.560]  Police emergency call tapes released show a scene of panic and chaos with screams and
[1:05:09.560 --> 1:05:13.080]  moans heard over phone calls reporting the wreck.
[1:05:13.080 --> 1:05:16.560]  Debbie Hearnsman is with the National Transportation Safety Board.
[1:05:16.560 --> 1:05:24.760]  At the time of the accident, neither company was operating legally in interstate bus commerce.
[1:05:24.760 --> 1:05:29.440]  I'm Jody Jordan and that's news from the Information Radio Network.
[1:05:29.440 --> 1:05:34.440]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming
[1:05:34.440 --> 1:05:36.120]  a third world nation.
[1:05:36.120 --> 1:05:40.280]  It's time to jump on the next wave of free energy and radical natural alternative health
[1:05:40.280 --> 1:05:41.280]  solutions.
[1:05:41.280 --> 1:05:43.480]  Introducing Oregon Products.
[1:05:43.480 --> 1:05:47.840]  Oregon is the universal life force, the basic building block of all matter on the material
[1:05:47.840 --> 1:05:48.840]  planet.
[1:05:48.840 --> 1:05:52.960]  Oregon Electro-Medicine is the wave of the future dating back to the late 1800s.
[1:05:52.960 --> 1:05:57.640]  Wilhelm Reich-Orgon used cloud buster technology that can now be applied in your home for dramatic
[1:05:57.640 --> 1:06:00.240]  energy savings of up to 25%.
[1:06:00.240 --> 1:06:04.240]  The possible uses for this device are only limited by your imagination.
[1:06:04.240 --> 1:06:07.840]  For less than the cost of a doctor's visit, you can have a device that could lead to the
[1:06:07.840 --> 1:06:09.800]  end of all your problems.
[1:06:09.800 --> 1:06:12.440]  Health doesn't need to be expensive or complicated.
[1:06:12.440 --> 1:06:16.400]  Professional technology equals profound results at organproducts.org.
[1:06:16.400 --> 1:06:25.720]  That's orgoneproducts.org or call 646-498-5309.
[1:06:25.720 --> 1:06:26.720]  That's 646-498-5309.
[1:06:26.720 --> 1:06:27.720]  Prepare yourself.
[1:06:27.720 --> 1:06:28.720]  Prepare yourself for a talk radio.
[1:06:28.720 --> 1:06:29.720]  A talk radio experience.
[1:06:29.720 --> 1:06:30.720]  Like no other.
[1:06:30.720 --> 1:06:31.720]  Like no other.
[1:06:31.720 --> 1:06:32.720]  Just wrap yourselves in.
[1:06:32.720 --> 1:06:33.720]  Hold on.
[1:06:33.720 --> 1:06:34.720]  He stands for truth.
[1:06:34.720 --> 1:06:35.720]  He stands for truth.
[1:06:35.720 --> 1:06:36.720]  He stands for truth.
[1:06:36.720 --> 1:06:37.720]  He stands for truth.
[1:06:37.720 --> 1:06:38.720]  He stands for truth.
[1:06:38.720 --> 1:06:39.720]  He stands for truth.
[1:06:39.720 --> 1:06:40.720]  He stands for truth.
[1:06:40.720 --> 1:06:41.720]  He stands for truth.
[1:06:41.720 --> 1:06:42.720]  He stands for justice.
[1:06:42.720 --> 1:06:43.720]  He stands for what's right.
[1:06:43.720 --> 1:06:44.720]  This is the Alex Jones show.
[1:06:44.720 --> 1:06:45.720]  Call Alex now toll free at 877-590-5525.
[1:06:45.720 --> 1:06:46.720]  Now live from Austin, Texas.
[1:06:46.720 --> 1:07:04.720]  Here's Alex Jones.
[1:07:04.720 --> 1:07:15.120]  I had our regular guest former Wall Street Journal editor, former head of the Treasury
[1:07:15.120 --> 1:07:20.160]  Department, father of economics, Dr. Paul Kirk Roberts on Friday calling this evil criminal
[1:07:20.160 --> 1:07:28.400]  action against Russia in an attempt to attest them for a wider war in Eastern Europe and
[1:07:28.400 --> 1:07:33.800]  Central Asia, United States backed forces of Georgia, premeditatedly Thursday night into
[1:07:33.800 --> 1:07:39.080]  Friday when the Olympics kicked off as a smoke screen viciously attacked a string of towns
[1:07:39.080 --> 1:07:46.200]  and cities in Southern Ossetia, the border with Russia, killing more than 2,000 civilians,
[1:07:46.200 --> 1:07:49.120]  scores of peacekeepers in at least 15 Russian troops.
[1:07:49.120 --> 1:07:53.520]  Russia responded with attacks, but this is an exclusive Dr. Roberts, not going to be
[1:07:53.520 --> 1:07:59.560]  homeless today, but he sent me his story for creator syndicate that will not be out until
[1:07:59.560 --> 1:08:06.160]  tomorrow in newspapers nationwide, and it's a long story, here's even going to some authorization
[1:08:06.160 --> 1:08:08.760]  to post this, but I'm just going to read it.
[1:08:08.760 --> 1:08:14.320]  He said in today, as I write in the liberal Washington Post that has written an editorial
[1:08:14.320 --> 1:08:19.520]  using the US to go to war with Russia, with his editorial stopping Russia as the headline,
[1:08:19.520 --> 1:08:23.600]  the US and its allies must unite against Moscow's war on Georgia.
[1:08:23.600 --> 1:08:28.760]  The Washington Post has established a world record for maximum number of lives and a number
[1:08:28.760 --> 1:08:33.680]  of single words, number of words, except for the Washington Post, the entire world knows
[1:08:33.680 --> 1:08:39.040]  that Georgia, the birthplace of Joseph Stalin, not Georgia USA, I made the joke with him
[1:08:39.040 --> 1:08:43.600]  on air that he better put in his article that it wasn't Georgia USA, initiated the aggression
[1:08:43.600 --> 1:08:47.880]  that killed Russian peacekeepers and hundreds of civilians just now more than 2,000 in
[1:08:47.880 --> 1:08:53.080]  South Ossetia, peacekeepers who were there for the blessing of Georgia and the international
[1:08:53.080 --> 1:08:56.080]  agreements for more than 10 years since 93.
[1:08:56.080 --> 1:09:00.200]  The true facts are available all over the world press, but the quote liberal Washington
[1:09:00.200 --> 1:09:07.160]  Post serves up the line that Russia has attacked Georgia and conceivably plans to conquer all
[1:09:07.160 --> 1:09:08.160]  of Georgia.
