[00:00:00.149 --> 00:00:02.110]  ...of this Republic.
[00:48:47.658 --> 00:48:50.160]  He was with the Justice Department, yes.
[00:48:50.160 --> 00:48:52.582]  So an obvious Nazi sympathizer.
[00:48:54.528 --> 00:48:55.809]  Yes, he's kind of an odd guy.
[00:48:55.809 --> 00:49:00.493]  You know, we assume he's a Nazi sympathizer, although he's a strong anti-communist.
[00:49:00.493 --> 00:49:02.695]  Of course, that would go hand-in-hand.
[00:49:02.695 --> 00:49:08.379]  So again, here you have evil trying to masquerade as being good.
[00:49:08.379 --> 00:49:10.841]  All right, so JPFO.org.
[00:49:10.841 --> 00:49:12.683]  I recommend the Grandpa Jack series.
[00:49:12.683 --> 00:49:15.925]  It's great for adults, the simple-minded public.
[00:49:15.925 --> 00:49:17.427]  It states it historically.
[00:49:17.427 --> 00:49:21.210]  I don't have the newest version of it, but you've got eight different ones.
[00:49:22.057 --> 00:49:24.758]  And you've got the gun control gateway to Charney.
[00:49:24.758 --> 00:49:26.499]  What about a toll-free number or a number to call?
[00:49:26.499 --> 00:49:27.459]  800-869-1884.
[00:49:27.459 --> 00:49:28.819]  That's our order line number.
[00:49:28.819 --> 00:49:29.580]  The regular number is 262-673.
[00:49:39.623 --> 00:49:41.785]  That number again, the toll-free one?
[00:49:41.785 --> 00:49:42.305]  800-869-1884.
[00:49:42.305 --> 00:49:46.348]  That's the order line, right?
[00:49:46.348 --> 00:49:55.574]  And folks, if you don't get involved, if you don't get involved in the fight for the Second Amendment, Josh Sugarman of Handgun Control Incorporated and Violence Policy Center said in the 2001 March 25th issue of The Statesman,
[00:49:58.138 --> 00:50:04.946]  That, right next to an article where they were attacking me for being pro-gun, there's a whole bunch of articles about it that day.
[00:50:04.946 --> 00:50:09.671]  He said, we've got your kids, in another generation we will ban all guns.
[00:50:09.671 --> 00:50:12.454]  And he was laughing at us in the article.
[00:50:12.454 --> 00:50:19.982]  And if people don't get involved in this fight, and educate others, and make it a duty to take people under their wing, we're gonna lose America.
[00:50:21.860 --> 00:50:22.880]  You're right, Alex.
[00:50:22.880 --> 00:50:23.741]  You're right.
[00:50:23.741 --> 00:50:24.141]  All right.
[00:50:24.141 --> 00:50:37.785]  Well, Aaron Zellman, I really appreciate you coming on, and I'm on the same page with you about the police state and how far it's grown, and I understand your frustration, but I also hear you saying that you're seeing a great awakening that you've never seen before.
[00:50:37.785 --> 00:50:39.206]  Is that accurate?
[00:50:39.206 --> 00:50:46.268]  When you can get folks on the left to start agreeing with folks on the right about the destruction of the Bill of Rights, that's a good sign.
[00:50:47.153 --> 00:50:49.455]  Well, I... Well, by not being a hypocrite.
[00:51:03.070 --> 00:51:13.996]  On exposing the corruption of Bush, liberals tune in, they get converted to being constitutionalists, and they go out and buy guns and realize the New World Order scam.
[00:51:13.996 --> 00:51:22.640]  Have you found that we're able to deprogram liberals to understand if we're just honest and aren't hypocritical, and we'll expose the corruption of the Republicans as well?
[00:51:22.640 --> 00:51:25.461]  Well, I think it goes hand in hand.
[00:51:25.461 --> 00:51:32.525]  I don't know if we're going to reprogram anybody, but I think they begin to take a different look at you and become more tolerant.
[00:51:34.284 --> 00:51:34.945]  Absolutely.
[00:51:34.945 --> 00:51:37.107]  Aaron Zellman, Godspeed, and take care, my friend.
[00:51:37.107 --> 00:51:38.108]  Okay, you too, Alex.
[00:51:38.108 --> 00:51:39.709]  We'll see you, buddy.
[00:51:39.709 --> 00:51:40.971]  All right, we'll take more calls.
[00:51:40.971 --> 00:51:42.392]  I'm going to give you some news first.
[00:51:42.392 --> 00:51:43.493]  The toll-free number to
