[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[01:39:48.949 --> 01:39:56.494]  And what you're doing with everybody is trying to really get the word out and provide them with the highest quality supplements in the world so they can change their health.
[01:39:56.494 --> 01:40:05.381]  I just read a testimonial that came in, that someone sent in a few minutes ago back in the other room here, where somebody's cat that they were in love with
[01:40:06.121 --> 01:40:08.662]  ...was sent home by the veterinarian to die.
[01:40:08.662 --> 01:40:11.744]  It was a Siamese cat, apparently worth tons of money.
[01:40:11.744 --> 01:40:14.005]  And the guy had some X2, some iodine.
[01:40:14.005 --> 01:40:15.486]  And he said, well, let me just try this.
[01:40:15.486 --> 01:40:17.867]  And he put three drops in the cat's mouth.
[01:40:17.867 --> 01:40:20.368]  And within two days, the cat was up walking around.
[01:40:20.368 --> 01:40:21.589]  He wrote, thank you, Alex.
[01:40:21.589 --> 01:40:22.729]  Thank you, thank you, thank you.
[01:40:22.729 --> 01:40:24.670]  You saved my cat.
[01:40:24.670 --> 01:40:28.552]  And he's been putting iodine in the cat's water, and the cat's fine.
[01:40:28.552 --> 01:40:30.033]  Well, I want to be clear about something.
[01:40:31.809 --> 01:40:40.099]  I've known there's a war on our food and war on supplements, but I got kind of subconsciously, not depressed, but resigned, where I'll just do whatever I want.
[01:40:40.099 --> 01:40:41.240]  I'll eat whatever I want.
[01:40:41.240 --> 01:40:42.522]  I'll drink whatever I want.
[01:40:42.522 --> 01:40:44.183]  They're going to get me anyways.
[01:40:44.183 --> 01:40:50.411]  And I went from working out when I was like 25, almost every day and being in great shape, to being Jabba the Hutt.
[01:40:51.425 --> 01:40:54.688]  And the first few years I was like, great, I eat and drink whatever I want, I still look great.
[01:40:54.688 --> 01:40:56.509]  And all of a sudden I turned into Jabba the Hutt.
[01:40:56.509 --> 01:41:01.514]  So it's been a long process of getting out of that, but it's supercharged with you the last two and a half, three years.
[01:41:01.514 --> 01:41:04.396]  You were advising me even before, you know, we started launching this together.
[01:41:04.396 --> 01:41:11.122]  But we have to fund ourselves with t-shirts and books and videos that are always about spreading the word.
[01:41:11.122 --> 01:41:14.024]  Anything I do has to have a win-win for freedom.
[01:41:14.024 --> 01:41:16.707]  High quality, good looking shirt, you know, made in America.
[01:41:19.207 --> 01:41:24.715]  We're well-priced, funding the operation, giving Americans jobs, trying to get vets jobs.
[01:41:24.715 --> 01:41:31.063]  Because I'm not some goody-two-shoes, I understand the universal law that what I do to people comes back on me.
[01:41:32.040 --> 01:41:35.282]  And people call it God-fearing if you're a Christian, whatever.
[01:41:35.282 --> 01:41:43.025]  When I even think bad thoughts that aren't even my thoughts, it's my brain looking at things from the enemy perspective, I still feel guilty.
[01:41:43.025 --> 01:41:44.426]  It's what I call that knowledge of evil.
[01:41:44.426 --> 01:41:47.167]  That I know how evil works, that is shameful.
[01:41:47.167 --> 01:41:48.508]  I mean, you see what I'm talking about?
[01:41:48.508 --> 01:41:50.149]  And so when I get up here and I say,
[01:41:51.189 --> 01:41:52.590]  This is the best product.
[01:41:52.590 --> 01:41:56.554]  This is the most expensive we can get at the lowest price to you.
[01:41:56.554 --> 01:42:03.840]  I'm shocked to know that 70% or so is a conservative number of the nutraceutical companies out there.
[01:42:03.840 --> 01:42:05.302]  I'm not knocking competition.
[01:42:05.302 --> 01:42:06.263]  This is such a growing market.
[01:42:06.263 --> 01:42:07.364]  I don't need to.
[01:42:07.364 --> 01:42:08.164]  I'm shocked.
[01:42:08.164 --> 01:42:13.269]  They will go all marketing, all packaging, all glitz, all everything.
[01:42:13.269 --> 01:42:16.412]  And then it's, now that I know all about this, it's crud in the bottle.
[01:42:17.441 --> 01:42:35.117]  And it makes me so angry, because as an industry, we should be going for the best, so people get incredible results, help people get good karma, mojo, reap what you sow, whatever you want to call it, but it will grow the market faster, because it'll be so dynamite, the results!
[01:42:35.117 --> 01:42:37.800]  Doing the right thing is the right thing to do!
[01:42:38.360 --> 01:42:40.441]  I just don't understand why people don't get that.
[01:42:40.441 --> 01:42:42.061]  That's why it's so good to work with you.
[01:42:42.061 --> 01:42:47.323]  But when I get up here and I say, this Super B12 Secret 12 has, you know, that's my name for it.
[01:42:47.323 --> 01:42:51.364]  It's all secret, you know, what the, how you make it and the proprietary stuff.
[01:42:51.364 --> 01:42:52.785]  Plus, I had to keep it secret for months.
[01:42:53.345 --> 01:42:54.626]  Well, we thought we'd have it four months ago.
[01:42:54.626 --> 01:42:55.527]  I'm having to keep it secret.
[01:42:55.527 --> 01:43:03.015]  Well, I've been in here taking it every day when I take the other stuff in front of people, and, you know, trying to hide what it said on the, you know, on the hand-printed bottle.
[01:43:03.015 --> 01:43:16.389]  So it's just, it feels so good to have fair price stuff that funds liberty and freedom, to promote Second Amendment property rights, sovereignty, you know, basic dignity, and to be able to fund the operation and help people, and then
[01:43:18.604 --> 01:43:20.646]  I can't believe I'm saying this, but we don't screen the calls.
[01:43:20.646 --> 01:43:21.507]  Callers have heard it.
[01:43:21.507 --> 01:43:29.296]  It almost gets annoying how many callers off topic are, you know, thank you for the products, but I understand we appreciate them, but we're on other subjects.
[01:43:29.296 --> 01:43:38.947]  It just blows me away that we haven't had any complaints, other than in the bottling once, we think it was 20 bottles.
[01:43:40.322 --> 01:43:46.507]  Only about 10 of them came back where the machine didn't fully fill the bottle, and we didn't catch it on inspection.
[01:43:46.507 --> 01:43:48.248]  I mean, we've had stuff like that.
[01:43:48.248 --> 01:43:51.070]  Or, my bottle got broken inside the bubble wrap.
[01:43:51.070 --> 01:43:54.553]  Oh, here, boom, here's an extra bottle, or here's a free book or something.
[01:43:54.553 --> 01:43:56.054]  Because we're all about customer service.
[01:43:56.054 --> 01:43:58.215]  Usually, I didn't know how to run customer service 10 years ago.
[01:43:58.215 --> 01:43:59.056]  It was terrible.
[01:43:59.056 --> 01:44:01.158]  We have a first-rate group now.
[01:44:01.158 --> 01:44:06.021]  And people really take that personal when you're not, when you don't got your you-know-what together.
[01:44:07.122 --> 01:44:10.444]  I know I'm ranting here and I'm going to give you some other medical news and get off B12.
[01:44:10.444 --> 01:44:12.285]  It's just that simple deficiencies.
[01:44:12.285 --> 01:44:15.808]  Vitamin C. You've got to have true vitamin C. You've got to have true B12.
[01:44:15.808 --> 01:44:18.169]  You've got to have true nascent iodine.
[01:44:18.169 --> 01:44:21.011]  And then it blew us away when we couldn't even get enough of your iodine.
[01:44:21.011 --> 01:44:24.453]  We went out to other parties and said if they want it, we'll get anything, alcohol based.
[01:44:24.453 --> 01:44:27.555]  And we went and looked at it and it wasn't really even nascent iodine.
[01:44:27.555 --> 01:44:30.938]  So they're just sticking iodine in with alcohol, regular iodine.
[01:44:30.938 --> 01:44:35.361]  And again, that'll help you not be totally sick, but we want to just for the same price
[01:44:36.081 --> 01:44:39.683]  Give you something that is just like heads above it.
[01:44:39.683 --> 01:44:44.085]  I mean, it's... I had dramatic effects when I started taking iodine four years ago.
[01:44:44.085 --> 01:44:45.246]  That's what helped me start getting down all this.
[01:44:45.246 --> 01:44:48.667]  And when I went into your iodine, it was just night and day to that.
[01:44:48.667 --> 01:44:49.668]  That's all I'm saying.
[01:44:49.668 --> 01:44:54.490]  If you can't afford X2, folks, go get the sea salts that they have the iodine in them.
[01:44:54.490 --> 01:44:57.712]  There'll still be some other contaminants and things in it, but it's better than being deficient.
[01:44:57.712 --> 01:44:58.952]  You'll die without it.
[01:44:58.952 --> 01:44:59.773]  I mean, it's real simple.
[01:45:00.613 --> 01:45:01.854]  This is not rocket science.
[01:45:01.854 --> 01:45:05.597]  I can't believe it's us telling people, you've got to have B12.
[01:45:05.597 --> 01:45:07.598]  You've got to have nascent iodine.
[01:45:07.598 --> 01:45:09.539]  You've got to have it.
[01:45:09.539 --> 01:45:11.240]  What happens if you don't have vitamin B12?
[01:45:11.240 --> 01:45:12.001]  You die.
[01:45:12.001 --> 01:45:12.982]  Just like iodine.
[01:45:12.982 --> 01:45:15.823]  And many people have died and many people have been misdiagnosed.
[01:45:15.823 --> 01:45:22.548]  One of the most common misdiagnoses of vitamin B12 deficiency is MS.
[01:45:22.548 --> 01:45:24.529]  You can have Alzheimer's, dementia.
[01:45:24.529 --> 01:45:28.572]  You will literally die, waste away and die if you don't have B12 in your system.
[01:45:28.612 --> 01:45:34.336]  Ted Anderson's dad, he allows me to tell this story, and it's such a horrible story, he says, I don't care, tell it.
[01:45:34.336 --> 01:45:36.537]  They gotta get Ted Anderson in here.
[01:45:36.537 --> 01:45:39.479]  The Beyond Tangy Tangerine from Fort Worth Health.com, longevity.
[01:45:39.479 --> 01:45:45.002]  It's got this essential 90, you know, they say only need like 60, but really it's 90 trace elements, minerals, it's an excellent product.
[01:45:45.002 --> 01:45:50.146]  And they have the 2.0 that's purely organic, very hard to get that many ingredients out, all organic as you know.
[01:45:50.146 --> 01:45:53.648]  But his dad has Alzheimer's, and I met his dad before, nice guy.
[01:45:53.648 --> 01:45:55.349]  They like to go fishing, hunting up in Minnesota.
[01:45:57.165 --> 01:46:00.771]  He went on that for a few months and suddenly knew who he was.
[01:46:00.771 --> 01:46:01.533]  Short-term memory was back.
[01:46:01.533 --> 01:46:02.174]  They were fishing.
[01:46:02.174 --> 01:46:03.195]  His dad was back.
[01:46:03.195 --> 01:46:06.161]  The sores all over his arms, scurvy, healed.
[01:46:06.161 --> 01:46:07.523]  They went and tested his blood at the doctor.
[01:46:07.523 --> 01:46:09.005]  They had him on, I guess, Coumadin.
[01:46:09.005 --> 01:46:10.548]  Never had a stroke or heart attack, but blood thinner.
[01:46:11.237 --> 01:46:12.097]  I think that's the thing he said.
[01:46:12.097 --> 01:46:15.578]  And the doctor said, whoa, you've got vitamin K here.
[01:46:15.578 --> 01:46:16.598]  Are you eating a lot of spinach?
[01:46:16.598 --> 01:46:17.358]  What are you doing?
[01:46:17.358 --> 01:46:18.759]  No, I take this Biontang and Tangerine.
[01:46:18.759 --> 01:46:20.699]  Oh my gosh, you've got to go off this.
[01:46:20.699 --> 01:46:26.880]  And Ted's mom said, and his dad went within a month of going off of it, didn't know who he was again, sores came back.
[01:46:26.880 --> 01:46:28.060]  And he said, fine, I'll honor my parents.
[01:46:28.060 --> 01:46:29.541]  You just go ahead and don't do it.
[01:46:29.541 --> 01:46:35.262]  But the doctor said, you don't take that and you don't eat these leafy vegetables because it'll block the Coumadin.
[01:46:36.002 --> 01:46:38.363]  So, okay, you're not going to have a heart attack if you don't know who you are.
[01:46:38.363 --> 01:46:43.104]  I mean, it's just, it's crazy that you can't have the vitamins.
[01:46:43.104 --> 01:46:44.424]  You can't have the minerals.
[01:46:44.424 --> 01:46:45.204]  And it's just simple.
[01:46:45.204 --> 01:46:46.664]  It's not rocket science.
[01:46:46.664 --> 01:46:47.205]  It's not.
[01:46:47.205 --> 01:46:50.965]  I mean, you know, our water inside of our system is just like seawater.
[01:46:50.965 --> 01:46:54.006]  It's full of minerals and nutrients.
[01:46:54.006 --> 01:46:57.827]  And if we're not getting them in the soil, the problem is they're killing off the soil.
[01:46:57.827 --> 01:46:59.127]  They're poisoning the water.
[01:46:59.127 --> 01:47:00.447]  They're poisoning the air.
[01:47:00.447 --> 01:47:02.028]  All the things that we need to survive.
[01:47:02.768 --> 01:47:04.829]  But the good news is, there's a solution.
[01:47:04.829 --> 01:47:05.830]  And it's not that hard.
[01:47:05.830 --> 01:47:10.193]  All you need to take is a good, organic, multivitamin and mineral formula.
[01:47:10.193 --> 01:47:13.315]  Take the nutrients that you're not going to get in your normal diet.
[01:47:13.315 --> 01:47:22.681]  So, beyond tangy tangerine, secret 12, iodine, and any type of herbal formula to assist anything else that you need help with.
[01:47:22.681 --> 01:47:31.227]  What about folks that are really poor, and even though our stuff is fairly priced, very effectively priced, reasonably priced, you know, to be competitive and high quality,
[01:47:32.575 --> 01:47:34.817]  What can a poor person do to get their essentials?
[01:47:34.817 --> 01:47:38.880]  Obviously eat the orange peel.
[01:47:38.880 --> 01:47:41.242]  People ask me that question all the time.
[01:47:41.242 --> 01:47:45.966]  I always ask them, how many pairs of shoes do you buy?
[01:47:45.966 --> 01:47:47.508]  How many new shirts do you buy?
[01:47:47.508 --> 01:47:49.209]  What do you spend your money on?
[01:47:49.209 --> 01:47:54.514]  The thing is, if you change your life, how much does being sick cost you?
[01:47:55.234 --> 01:47:58.035]  Being sick costs people a lot of money.
[01:47:58.035 --> 01:48:01.436]  It costs their family time, suffering, depression, anxiety.
[01:48:01.436 --> 01:48:04.537]  They go back and forth to the doctor, which costs them gas.
[01:48:04.537 --> 01:48:11.960]  You know, if you look at the pricing and the cost of sick care, it's a lot more than the pricing and cost of health care.
[01:48:11.960 --> 01:48:14.681]  So what's the real... I mean, there's a lot of game now sold in stores.
[01:48:14.681 --> 01:48:16.521]  So I guess you could get real game.
[01:48:16.521 --> 01:48:17.482]  I'll have vitamin B12 in it.
[01:48:18.762 --> 01:48:24.066]  I guess you can get, you know, from an orange peel or whatever, mega dosages or rose hips are like super cheap.
[01:48:24.066 --> 01:48:28.950]  I guess you could get... You can go to your local farmer's market.
[01:48:28.950 --> 01:48:32.392]  Every single town has one or find a farmer that's growing organically.
[01:48:32.392 --> 01:48:34.854]  What's the best salt to get iodine if you can't afford this?
[01:48:34.854 --> 01:48:36.315]  Himalayan crystal salt.
[01:48:36.315 --> 01:48:38.237]  Himalayan crystal salt is what I use.
[01:48:38.237 --> 01:48:41.719]  It has 84 minerals and nutrients in it.
[01:48:41.719 --> 01:48:44.802]  So the poor man's beyond tangy tangerine is Himalayan salt?
[01:48:45.632 --> 01:48:46.453]  Yes, yes.
[01:48:46.453 --> 01:48:48.554]  The poor man's tangy tangerine is Himalayan.
[01:48:48.554 --> 01:48:54.139]  I'll tell you another really, really good nutrient source that I use, and this is all that I... We're just trying to help people that can't.
[01:48:54.139 --> 01:48:55.039]  Yeah, no, exactly.
[01:48:55.039 --> 01:48:57.922]  You can get this for $4 and pretty much get all the nutrients you need.
[01:48:57.922 --> 01:49:00.884]  It's organic, raw organic apple cider vinegar.
[01:49:00.884 --> 01:49:02.365]  Go to the... Oh yeah, you got me on that.
[01:49:02.365 --> 01:49:03.566]  And that's what I've been forgetting to take.
[01:49:03.566 --> 01:49:04.427]  I need to take it.
[01:49:04.867 --> 01:49:08.650]  Put a tablespoon or a teaspoon, however much you can handle, in some distilled water.
[01:49:08.650 --> 01:49:10.271]  That's the best probiotic?
[01:49:10.271 --> 01:49:15.955]  And you're going to get all kinds of nutrients, minerals, probiotics in there, enzymes in there.
[01:49:15.955 --> 01:49:22.359]  Another big problem is we don't secrete enough enzymes in our body to help us digest foods.
[01:49:22.359 --> 01:49:23.640]  Chew your food well.
[01:49:23.640 --> 01:49:24.501]  Chew your food well.
[01:49:24.501 --> 01:49:26.682]  That's really important, which I tell people all the time.
[01:49:26.682 --> 01:49:28.904]  Chew their food until it's a liquid before they swallow it.
[01:49:28.904 --> 01:49:29.804]  My dad always said that.
[01:49:29.804 --> 01:49:30.365]  Chew your food!
[01:49:30.365 --> 01:49:31.285]  Chew your food!
[01:49:31.285 --> 01:49:32.086]  Right, exactly.
[01:49:32.086 --> 01:49:32.566]  I still don't.
[01:49:32.566 --> 01:49:33.107]  I eat like a wolf.
[01:49:34.938 --> 01:49:38.679]  Well, usually people in the military wolf their food down because you only have a certain amount of time to eat.
[01:49:38.679 --> 01:49:42.800]  Well, I never eat... I changed my eating habits when I was in the military because they were like, you have ten minutes to eat this!
[01:49:42.800 --> 01:49:47.301]  And we would be like... Well, I was about to say, I used to be pretty well behaved.
[01:49:47.301 --> 01:49:50.382]  My mom was always about, be a gentleman, have good manners.
[01:49:50.382 --> 01:49:54.523]  I could go, you know, eat at the rich people's houses and they'd all be impressed.
[01:49:54.523 --> 01:49:56.083]  Now, I eat like a barbarian.
[01:49:56.083 --> 01:49:58.984]  I'm trying to train myself again because I got kids, so they're not like little pigs.
[01:49:58.984 --> 01:50:00.225]  You know, like the pig family.
[01:50:00.225 --> 01:50:00.945]  I mean, that cute way.
[01:50:03.015 --> 01:50:09.100]  Yeah, having to eat like during a couple three-minute breaks, because that's what really screwed my gut up too because I wasn't digesting.
[01:50:10.009 --> 01:50:17.734]  Well, I did a report on how people eat nowadays and found out that the majority of people eat in the sympathetic state.
[01:50:17.734 --> 01:50:21.216]  And you have a parasympathetic nervous system and a sympathetic nervous system.
[01:50:21.216 --> 01:50:23.978]  The sympathetic is your fight-or-flight response.
[01:50:23.978 --> 01:50:40.009]  When you're in the sympathetic state, and that means eating while you're driving, eating while you're talking on the phone, eating while you're watching TV, eating while you're on the computer at work, I have a whole list of all... Well, that's why the Bible, it says, I forget the passages, you're supposed to sit down, pray, be calm, and take a long time
[01:50:40.029 --> 01:50:40.369]  That's right.
[01:51:00.069 --> 01:51:03.030]  This hour brought to you by InfidelBodyArmor.com.
[01:51:03.030 --> 01:51:06.812]  When it hits the fan, don't be left without the body armor that will save your life.
[01:51:06.812 --> 01:51:10.514]  With prices starting at just $374.99 and ships free.
[01:51:10.514 --> 01:51:13.015]  Get yours at InfidelBodyArmor.com.
[01:51:13.015 --> 01:51:14.996]  Just won't quit.
[01:51:14.996 --> 01:51:17.177]  Hi, Ted Anderson with Midas Resources.
[01:51:17.177 --> 01:51:21.879]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:21.879 --> 01:51:23.639]  Get our 10 Reasons book free.
[01:51:23.639 --> 01:51:23.960]  Call 800-686-2237.
[01:51:23.960 --> 01:51:24.140]  That's 800-686-2237.
[01:51:30.322 --> 01:51:31.323]  Hey, Boomer!
[01:51:31.323 --> 01:51:34.764]  I learned in school today that 60% of our bodies are made of water.
[01:51:34.764 --> 01:51:36.445]  Good thing we have the Berkey system.
[01:51:36.445 --> 01:51:38.386]  It's the cleanest, best water ever.
[01:51:38.386 --> 01:51:44.228]  Mom says it's because the Berkey filtration system cleans out the bad stuff and leaves only pure, delicious water.
[01:51:44.228 --> 01:51:45.049]  I know, right?
[01:51:45.049 --> 01:51:46.369]  You love it, too!
[01:51:46.369 --> 01:51:47.810]  Yeah, I'm thirsty, too.
[01:51:47.810 --> 01:51:48.830]  Let's go get some!
[01:51:48.830 --> 01:51:50.591]  Get Berkey clean water by calling 877-886-3653.
[01:51:50.591 --> 01:51:50.931]  That's 877-886-3653.
[01:51:50.931 --> 01:51:51.912]  Or visit GoBerkey.com.
[01:51:59.215 --> 01:52:05.521]  When I first got online and I seen the price of the X2 and the DNA Force, I was a little hesitant, but I pulled the trigger on it.
[01:52:05.521 --> 01:52:06.582]  It has changed my life.
[01:52:06.582 --> 01:52:10.286]  I've been taking it for about 24 days now, counting the weights, staying in shape.
[01:52:10.286 --> 01:52:12.348]  InfoWarsLive.com.
[01:52:12.348 --> 01:52:14.270]  You've heard the callers of the show.
[01:52:14.270 --> 01:52:18.233]  Several months back, I started taking your nascent iodine and your super meal.
[01:52:18.233 --> 01:52:20.215]  Prior to this, I was barely walking.
[01:52:20.215 --> 01:52:22.878]  Now, I'm able to function as a human again.
[01:52:22.978 --> 01:52:41.202]  Whether it's Survival Shield Nascent Iodine or DNA Force, Super Male Vitality, Super Female Vitality, Lung Cleanse, Fluoride Shields, Oxy Powder, I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com.
[01:52:41.202 --> 01:52:46.423]  There's two, just amazing what it's able to do to actually detox the body.
[01:52:46.423 --> 01:52:47.263]  It's great stuff.
[01:52:47.363 --> 01:52:48.264]  I'm gonna promote something.
[01:52:48.264 --> 01:52:51.268]  It's gotta be something I personally use and that I believe in.
[01:52:51.268 --> 01:52:58.838]  Check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[01:52:58.838 --> 01:53:03.665]  Did you know by age 50, half of all men have an enlarged prostate?
[01:53:04.105 --> 01:53:11.048]  This means more urges to urinate, longer bathroom trips, waking at night to urinate, or issues with sex.
[01:53:11.048 --> 01:53:18.532]  If this sounds familiar, call us now, because we're shipping free bottles of Super Beta Prostate to listeners of this station.
[01:53:18.532 --> 01:53:25.215]  Super Beta Prostate is a non-prescription formula, guaranteed to reduce the symptoms of your enlarged prostate.
[01:53:25.215 --> 01:53:26.635]  It's yours, free!
[01:53:26.635 --> 01:53:27.856]  Pay only shipping and handling.
[01:53:28.556 --> 01:53:32.138]  Just call 1-800-852-1820.
[01:53:32.138 --> 01:53:42.705]  In clinical trials, the ingredient in Super Beta Prostate was shown to reduce urges to urinate, improve bladder emptying, reduce waking at night to urinate, and improve quality of life.
[01:53:42.705 --> 01:53:46.928]  This Super Beta Prostate free offer is for listeners of this station.
[01:53:46.928 --> 01:53:48.369]  But it won't last.
[01:53:48.369 --> 01:53:49.310]  Don't wait.
[01:53:49.310 --> 01:53:50.030]  Just call 1-800-852-1820.
[01:53:50.030 --> 01:53:50.311]  That's 1-800-852-1820.
[01:53:50.311 --> 01:53:50.511]  Call 1-800-852-1820.
[01:54:27.722 --> 01:54:34.246]  You know, I was going to have Anthony Gucciardi in here to do his report on going up to Dallas to investigate Ebola, now that they've declared it Ebola-free.
[01:54:34.246 --> 01:54:48.576]  We're just going to have a medical doctor on at First Blue The Whistle tomorrow about the intel he's getting from up in Missouri, and then he will write a report tonight or tomorrow that will accompany that about what we found in Dallas.
[01:54:48.576 --> 01:54:50.277]  But they are disappearing people.
[01:54:51.616 --> 01:54:53.477]  Who appear to have Ebola.
[01:54:53.477 --> 01:54:57.820]  Forbes, separate from us, said, yeah, the media's agreed that cases that look like it are being disappeared.
[01:54:57.820 --> 01:54:59.041]  We don't talk about it.
[01:54:59.041 --> 01:55:00.962]  You don't talk about people being disappeared?
[01:55:00.962 --> 01:55:12.008]  This is confirmed by a doctor on record, at least two other doctors off record with us, who we know, and one of them's big, runs a bunch of stuff.
[01:55:12.008 --> 01:55:14.810]  Big hospitals.
[01:55:14.810 --> 01:55:16.931]  This is freaking me out, because it's like a Twilight Zone episode.
[01:55:18.746 --> 01:55:21.889]  We're starting to, the families are starting to come out.
[01:55:21.889 --> 01:55:22.890]  That's who we were meeting with.
[01:55:22.890 --> 01:55:23.550]  They're freaking out.
[01:55:23.550 --> 01:55:25.412]  Yeah, they said, yeah, my husband's out of Ebola.
[01:55:25.412 --> 01:55:30.857]  You have people dying on planes, vomiting with blood coming out, and they go, oh, when it lands, it wasn't Ebola.
[01:55:30.857 --> 01:55:31.858]  Obviously, they're covering it up.
[01:55:31.858 --> 01:55:34.200]  They told the police, don't talk about it.
[01:55:34.200 --> 01:55:35.001]  They don't know what's going on.
[01:55:35.001 --> 01:55:36.762]  They just say, if it looks like it, shut up.
[01:55:36.762 --> 01:55:40.345]  But that's illegal to disappear people and not be honest about it.
[01:55:40.345 --> 01:55:42.307]  So see, this was hurting Obama.
[01:55:42.307 --> 01:55:43.648]  He wants to leave the borders open.
[01:55:43.648 --> 01:55:45.070]  So now they're just going to deny it's out there.
[01:55:46.468 --> 01:55:48.989]  I'm surprised that it didn't spread a little bit more.
[01:55:48.989 --> 01:55:52.590]  They didn't do something to create a little bit more panic.
[01:55:52.590 --> 01:55:58.572]  I think when the panic got, when they were getting the blame, they thought they would just have Ebola here and no one would go, well why is the border open?
[01:55:58.572 --> 01:56:01.493]  When we made it political, they had to back off.
[01:56:01.493 --> 01:56:02.413]  When Drudge did.
[01:56:02.413 --> 01:56:04.334]  Because remember, they had all their pundits attack Drudge.
[01:56:04.334 --> 01:56:06.914]  Stopped saying it's going to spread, then started spreading.
[01:56:06.914 --> 01:56:07.355]  Oh really?
[01:56:07.355 --> 01:56:08.355]  Well now it's not spreading.
[01:56:09.104 --> 01:56:37.715]  Well, there's definitely a reason behind it, you know, that's yet to be determined, but if you look at all the research that we've been talking about in past shows and everything you've been uncovering about the CDC owning the patent, I mean, there's no reason why if you link everything together with them owning the patent, with them, you know, verifying a rabies Ebola vaccine back in the 90s, all the hermetically sealed coffins that they have stored away, all the FEMA camps that have been put together that have been verified,
[01:56:38.195 --> 01:56:39.376]  I think it's what Obama said.
[01:56:39.376 --> 01:56:40.597]  This is a test run.
[01:56:40.597 --> 01:56:43.640]  All the underground facilities that are pretty much complete right now.
[01:56:43.640 --> 01:56:45.562]  So, I mean, yeah, exactly.
[01:56:45.562 --> 01:56:47.224]  He came out and said it was a test run.
[01:56:47.224 --> 01:56:48.405]  They put everything out there.
[01:56:48.405 --> 01:56:54.450]  And they're test running to see if they can control the media when there's an outbreak and cover it up.
[01:56:55.091 --> 01:56:57.513]  That is creepy, because to me it's not even a Ebola issue.
[01:56:57.513 --> 01:56:58.453]  I'm going to say it again.
[01:56:58.453 --> 01:57:00.455]  We have doctors naming themselves.
[01:57:00.455 --> 01:57:02.276]  We have Forbes confirming what we said.
[01:57:02.276 --> 01:57:05.899]  They're in the meeting, the media is agreeing to not talk about it and cover it up.
[01:57:05.899 --> 01:57:06.259]  Boom!
[01:57:06.259 --> 01:57:06.659]  It's done!
[01:57:06.659 --> 01:57:09.181]  I mean, there's something going on here.
[01:57:09.181 --> 01:57:11.683]  The thing is, for some people that actually pay attention...
[01:57:11.783 --> 01:57:14.024]  Pay attention to the alternative media.
[01:57:14.024 --> 01:57:14.584]  They know.
[01:57:14.584 --> 01:57:31.992]  I mean, you've been covering all this for a long period of time so they should know what to do and they should be prepared and have everything that they need just in case or when it does happen because they obviously wanted to test everybody out and see how everybody reacted to this and they did create a lot of fear.
[01:57:31.992 --> 01:57:34.993]  I know my phones were ringing off the hook saying, what can we take?
[01:57:34.993 --> 01:57:36.114]  How can we protect ourselves?
[01:57:37.454 --> 01:57:41.916]  I think that they accomplished what they wanted to accomplish and found out how the world would react.
[01:57:41.916 --> 01:57:43.257]  Now it's just a matter of time.
[01:57:43.257 --> 01:57:51.320]  I think that, you know, we know for a fact that they have stored up biological weapons that could be used at any time.
[01:57:51.320 --> 01:57:54.001]  They can be mixed in with the chemtrails and sprayed on us.
[01:57:54.001 --> 01:57:58.463]  So now it's just a matter of time before something like that happens.
[01:57:59.284 --> 01:58:03.387]  Well, we're already being hit by the soft kill garbage, so we don't know what got us.
[01:58:03.387 --> 01:58:06.530]  It's just a cocktail of testing and manipulation.
[01:58:06.530 --> 01:58:08.431]  Well, we're going to continue to follow this.
[01:58:08.431 --> 01:58:10.513]  We've got a bunch of big guests on tomorrow.
[01:58:10.513 --> 01:58:11.974]  We've got Cliven Bundy.
[01:58:11.974 --> 01:58:14.236]  They've been getting harassed, put on terrorist lists and stuff.
[01:58:14.236 --> 01:58:15.417]  But, you know, Harry Reid...
[01:58:16.738 --> 01:58:21.603]  The repudiation of him, I think, is going to the real terrorist of the Constitution, as that's coming up.
[01:58:21.603 --> 01:58:28.449]  We have the director of the new Nicki Minaj video they're trying to censor coming on as well, talking about First Amendment issues.
[01:58:28.449 --> 01:58:31.693]  But do five more minutes with us before that director comes on.
[01:58:31.693 --> 01:58:34.455]  Folks, it's a great sales tactic, as it's true.
[01:58:35.376 --> 01:58:38.980]  Secret 12, at the current rate it's selling, will be sold out in about four days.
[01:58:38.980 --> 01:58:43.144]  InfoWarsWife.com if you want to get it, and it supports the transmission.
[01:58:43.144 --> 01:58:44.004]  Thank you all.
[01:58:44.004 --> 01:58:46.547]  The Genesis Communications Radio Network.
[01:58:46.547 --> 01:58:47.208]  Next hour, coming up.
[01:58:50.035 --> 01:58:52.677]  Infowarslife.com.
[01:58:52.677 --> 01:58:54.158]  Check it out today.
[01:58:54.158 --> 01:59:02.543]  I have set out to bring you the most hardcore cutting-edge supplements and nutraceuticals bar none and that's what you'll find at Infowarslife.com.
[01:59:02.543 --> 01:59:10.688]  We have rejected literally hundreds of products from the Infowarslife line because they are not of the very highest quality or because
[01:59:10.728 --> 01:59:12.769]  Because they're not 100% organic.
[01:59:12.769 --> 01:59:19.392]  Or because they don't pass all of the strictest toxicology tests there are that we have listed at Infowarslife.com.
