[00:00:07.907 --> 00:00:09.648]  Now listen up!
[02:04:04.720 --> 02:04:05.980]  We never even said that.
[02:04:05.980 --> 02:04:08.781]  I told the lawyer, I said, this is different than any case you've seen.
[02:04:08.781 --> 02:04:09.942]  I said, you watch.
[02:04:09.942 --> 02:04:15.564]  The Attorney General of New York will say that I kept selling it when she ordered me to stop in a tweet.
[02:04:15.564 --> 02:04:19.406]  But the actual letter just said, hey, if you are making these claims, don't make them.
[02:04:20.106 --> 02:04:21.447]  They didn't say stop selling it.
[02:04:21.447 --> 02:04:24.710]  It's tooth whitening toothpaste designed by a dentist.
[02:04:24.710 --> 02:04:36.381]  So that's what's so crazy about all this is that just everything is how the left now is absolutely out to get anybody that doesn't submit to them.
[02:04:36.381 --> 02:04:37.382]  And it's very, very scary.
[02:04:37.382 --> 02:04:42.347]  And New York is this thing with tentacles flashing out of the country just like L.A.
[02:04:42.347 --> 02:04:43.067]  and just like D.C.
[02:04:44.155 --> 02:04:47.137]  But the people in the cities, Elvis, are great folks.
[02:04:47.137 --> 02:04:48.097]  Elvis has left the building.
[02:04:48.097 --> 02:04:49.778]  We'll be back with special guests and more calls.
[02:04:49.778 --> 02:04:52.740]  Stay with us.
[02:04:52.740 --> 02:04:58.824]  Now I'm here to tell you I don't need you to thank me and tell me I've done a good job.
[02:04:58.824 --> 02:05:01.445]  I've done nothing but my duty!
[02:05:01.445 --> 02:05:05.628]  I discovered a bunch of bloodthirsty scum coming after innocent people!
[02:05:12.430 --> 02:05:20.176]  For 26 years, Alex Jones and Infowars have been sounding the alarm for patriots worldwide.
[02:05:20.176 --> 02:05:37.851]  Waking people up to the New World Order, Bohemian Grove, the American Deep State, the rise of Communist China, the plan for global depopulation, and global elite pedophiles who prey off of our young.
[02:05:39.116 --> 02:05:45.526]  The enemy has done their best to destroy us, but because of your support, our fight continues.
[02:05:45.526 --> 02:05:46.648]  Join us.
[02:05:46.648 --> 02:05:50.975]  Support the Info War, and together, we will slay the dragon.
[02:05:50.975 --> 02:05:53.079]  Keep fighting Alex, you gladiator.
[02:06:08.656 --> 02:06:13.562]  Defending the Republic from enemies foreign and domestic.
[02:06:13.562 --> 02:06:19.509]  It's Alex Jones.
[02:06:19.509 --> 02:06:21.751]  Well, Jeff Nyquist is going to be with us.
[02:06:22.918 --> 02:06:24.480]  Here in this hour, J.R.
[02:06:24.480 --> 02:06:31.126]  Jeff Nyquist is author of Origins of the Fourth World War, The Fool, and His Enemy, and the New Tactics of Global War.
[02:06:31.126 --> 02:06:35.410]  He has been a columnist for WorldNet Daily, Sierra Times, Financial Sense Online.
[02:06:35.410 --> 02:06:44.479]  His writing is also published by the Epoch Times, or Epoch, jrnyquist.blog and jrnyquist.com.
[02:06:44.479 --> 02:06:45.320]  And here are the articles.
[02:06:46.752 --> 02:06:47.694]  That he breaks down.
[02:06:47.694 --> 02:06:53.963]  Did Xi Jinping launch and intentionally release the COVID-19 virus?
[02:06:53.963 --> 02:06:55.386]  And other key reports.
[02:06:55.386 --> 02:06:56.808]  The secret speech of General...
[02:06:58.284 --> 02:06:58.384]  Yes.
[02:07:25.663 --> 02:07:37.513]  I think that when this outbreak first happened, I expected, and I was on your show in February, I thought that it was an accidental release from the Wuhan lab.
[02:07:37.513 --> 02:07:47.661]  But now, after analyzing all of the different data points, it seems to me that this release may have been intentional, and I'm going to lay out my reasoning.
[02:07:47.661 --> 02:07:52.065]  Now, Qi Hao Chen, that Chinese general, former defense minister, I have
[02:07:53.226 --> 02:07:59.268]  I put his secret speech from about 17 years ago on my website.
[02:07:59.268 --> 02:08:03.989]  It was translated by Epoch Times in around 2005.
[02:08:03.989 --> 02:08:05.849]  They published it at the time.
[02:08:05.849 --> 02:08:18.773]  It's a speech about using biological weapons on the United States, about China's emphasis on biological warfare, and about China's Liebensraum problem, China's overpopulation problem.
[02:08:19.548 --> 02:08:26.670]  Now, if we analyze this outbreak, this pandemic, there's a number of points that are interesting.
[02:08:26.670 --> 02:08:35.492]  The first one is, China has had a one-child policy for half a century, in which they now have a bubble of elderly to take care of.
[02:08:35.492 --> 02:08:46.315]  Because when you do that for a long period of time, you have... Now, obviously, the people didn't follow their rules because their population has grown 40% instead of growing by more than double in the last 50 years.
[02:08:47.347 --> 02:08:51.211]  They have a large bubble of elderly population to take care of.
[02:08:51.211 --> 02:09:03.904]  And the one thing about this virus is it targets the elderly and the infirm, which in a socialist state system like China, where they take care of the elderly through the state budget, this is a threat.
[02:09:04.423 --> 02:09:10.006]  Tremendous way to get getting rid of a lot of elderly people that they won't have to take care of.
[02:09:10.006 --> 02:09:19.132]  And you've probably seen some of the reports on Twitter out of China about elderly people being put in body bags and cremated while they're still alive.
[02:09:19.132 --> 02:09:23.934]  These terrifying stories are still circulating out of China.
[02:09:23.934 --> 02:09:27.877]  Then we have to look at the timing of the release of this virus.
[02:09:27.877 --> 02:09:30.258]  It happened right after President Trump
[02:09:30.928 --> 02:09:31.649]  We're good to go.
[02:09:57.964 --> 02:10:11.711]  I talked to a friend who teaches in a college in the Midwest, in Chicago, and he told me that now in his school, it's an art school, art college, there's a lot of Chinese students and they're from elite communist families.
[02:10:11.711 --> 02:10:18.034]  And he mentioned to me in January that a lot of those families were, their students were going home in the fall.
[02:10:18.034 --> 02:10:22.236]  And he said by the end of the spring term, they were all going to be gone.
[02:10:22.236 --> 02:10:25.738]  They weren't going to have any Chinese students next year.
[02:10:25.738 --> 02:10:27.459]  That's a very interesting data point.
[02:10:28.569 --> 02:10:37.494]  As if somebody in the Communist Party back in China, leading families, knew, all right, get your kids out of America.
[02:10:37.494 --> 02:10:39.855]  Then there's a provocation in Hong Kong.
[02:10:39.855 --> 02:10:54.103]  We had in the late summer, early fall, these independence movement in Hong Kong, which appears to be a provocation because many of the leaders of that movement have had contacts with Beijing, which were very suspicious.
[02:10:54.807 --> 02:11:02.513]  And now it turns out that thousands of Chinese anti-CCP, anti-communists are missing in China.
[02:11:02.513 --> 02:11:04.835]  Thousands of them.
[02:11:04.835 --> 02:11:11.400]  There is this story out of Hong Kong that China deployed 400 secret police agents in the fall.
[02:11:11.400 --> 02:11:16.464]  They started hunting, kidnapping and murdering anti-communist activists in Hong Kong.
[02:11:18.292 --> 02:11:39.988]  And then you see this testimony from the, I don't know if you saw it last month, our STRATCOM commander gave testimony before Congress in which he said, we are facing the end of the shelf life of our nuclear deterrent and that we must invest enormous amounts of money to maintain our nuclear deterrent in the next few years.
[02:11:39.988 --> 02:11:41.769]  Otherwise, we're going to lose our deterrent.
[02:11:42.538 --> 02:11:45.239]  And his testimony was really interesting.
[02:11:45.239 --> 02:11:49.900]  So this attack coincides in a moment when our nuclear deterrent has aged.
[02:11:49.900 --> 02:11:51.740]  It's past its shelf life.
[02:11:51.740 --> 02:11:55.221]  We have to make a large investment to maintain it.
[02:11:55.221 --> 02:11:56.881]  And now our markets collapse.
[02:11:56.881 --> 02:11:58.802]  Our revenues collapse.
[02:11:58.802 --> 02:12:01.703]  Do we have the money to maintain our nuclear deterrent?
[02:12:01.703 --> 02:12:03.983]  These are all data points which I'm watching.
[02:12:03.983 --> 02:12:11.845]  And there's others that are very alarming that suggest the Chinese government, Xi Jinping, knew exactly what he was doing.
[02:12:15.394 --> 02:12:16.135]  I'm listening to you.
[02:12:16.135 --> 02:12:17.095]  I've been reading your articles.
[02:12:17.095 --> 02:12:19.056]  They're dead on because I'm researching the same stuff.
[02:12:19.056 --> 02:12:21.898]  I mean, it's clearly all pre-programmed, prepared.
[02:12:21.898 --> 02:12:23.359]  The Chinese students go home.
[02:12:23.359 --> 02:12:24.439]  They use this against Taiwan.
[02:12:24.439 --> 02:12:25.960]  They use it against their domestic groups.
[02:12:25.960 --> 02:12:32.464]  Bill Gates, who's big fans of Xi Jinping, has all the systems set up, all the new shows coming out about pandemics.
[02:12:32.464 --> 02:12:37.687]  He's got his Event 201 drill with the coronavirus killing 65 million people.
[02:12:37.987 --> 02:12:39.788]  That's happening October, November.
[02:12:39.788 --> 02:12:43.190]  You've got Lockstep, the Rockefeller Foundation, all these preparations.
[02:12:43.190 --> 02:12:47.572]  And then it just builds up to this and then is exported against us.
[02:12:47.572 --> 02:12:48.733]  And then Trump is blamed.
[02:12:48.733 --> 02:12:50.134]  It's all his fault.
[02:12:50.134 --> 02:12:51.515]  It's all being coordinated.
[02:12:51.515 --> 02:12:54.536]  The question is by who?
[02:12:54.536 --> 02:12:55.817]  Yeah, well, it's interesting.
[02:12:55.817 --> 02:12:58.819]  If you look at the things that are coming out in China,
[02:12:59.810 --> 02:13:02.693]  With the pandemic there, they're claiming they're having no new cases.
[02:13:02.693 --> 02:13:05.675]  This is complete, complete fabrication.
[02:13:05.675 --> 02:13:10.059]  Nobody who's been following China closely believes China's numbers.
[02:13:10.059 --> 02:13:16.244]  There are these stories about them putting elderly in body bags and then in boxes and cremating them.
[02:13:16.244 --> 02:13:19.307]  There's stories about food not getting to the hospitals.
[02:13:19.307 --> 02:13:23.771]  So China has this very interesting information warfare campaign in China.
[02:13:24.545 --> 02:13:24.985]  We're good to go.
[02:13:40.217 --> 02:13:41.578]  Burning enormous amounts of body.
[02:13:41.578 --> 02:13:58.484]  I had this report from Hong Kong last week that the cremation capacity in China is so over used that they are sending bodies to Hong Kong to be cremated 80 to 90 a night.
[02:13:58.484 --> 02:14:06.507]  So because Hong Kong, which is following sort of strictures like we are, has contained it, but they have excess cremation capacity.
[02:14:07.458 --> 02:14:26.814]  So there's these indications that they, as a totalitarian society, which lies to its people, and also there's a massive purge going on within the Communist Party, there's a kind of power struggle between the black hand and the white hand, the Jiang Zemin faction and the Xi Jinping faction.
[02:14:26.814 --> 02:14:33.240]  And there's been, you know, three assassination attempts in the past on Xi Jinping.
[02:14:33.240 --> 02:14:35.682]  And he is really trying to consolidate his power.
[02:14:36.781 --> 02:14:39.203]  And I believe he is a very ambitious leader.
[02:14:39.203 --> 02:14:41.824]  He has three heroes, Xi Jinping has.
[02:14:41.824 --> 02:14:51.351]  If you look at the literature, if you look at Stephen Mosher's work and Bill Gertz's work, you'll see that Xi Jinping admires Hitler, he admires Mao, and he admires Stalin.
[02:14:51.351 --> 02:14:56.174]  And in the Guineas Book of World Records, these are the three biggest mass murderers in history.
[02:14:56.174 --> 02:14:57.515]  And he admires them.
[02:14:57.515 --> 02:15:04.079]  He very famously has said to one of his American friends years ago, Xi Jinping said, you know what's wrong with you Americans?
[02:15:04.079 --> 02:15:04.800]  You're too nice.
[02:15:06.022 --> 02:15:07.864]  Xi Jinping is not nice.
[02:15:07.864 --> 02:15:12.467]  And I think that it's very possible that this is some kind of plan.
[02:15:12.467 --> 02:15:17.251]  And the main question is whether Russia is going to be on board with him on this plan.
[02:15:17.251 --> 02:15:28.299]  I understand there's a lot of pressure being applied to Russia in Europe because Russia's initial propaganda campaign was detected in support of creating further mayhem in Europe.
[02:15:28.929 --> 02:15:37.632]  Uh, in support of China's operation, uh, which is definitely an information operation out of China, too, because the Chinese are accusing us of creating the virus.
[02:15:37.632 --> 02:15:51.257]  Um, and we know for a fact that these bat viruses were something that People's Liberation Army bioweapons program... Oh, I have stacks of, I have, I have Italian TV five years ago showing China admitting that they were injecting it into people trying to get coronaviruses to go viral.
[02:15:51.257 --> 02:15:52.378]  We'll be right back with Jeff Nyquist.
[02:15:54.019 --> 02:15:55.279]  Maybe not today.
[02:15:55.279 --> 02:15:56.560]  Maybe not tomorrow.
[02:15:56.560 --> 02:16:00.301]  But soon, you'll need a plan and place to survive.
[02:16:00.301 --> 02:16:01.381]  Forget bunkers.
[02:16:01.381 --> 02:16:03.201]  You're not a live underground gopher.
[02:16:03.201 --> 02:16:04.922]  You need Survivalist Camps.
[02:16:04.922 --> 02:16:12.724]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:12.724 --> 02:16:13.724]  Bold statement?
[02:16:13.724 --> 02:16:14.724]  You bet.
[02:16:14.724 --> 02:16:17.205]  See them now at survivalistcamps.com.
[02:16:17.205 --> 02:16:19.405]  That's survivalistcamps.com.
[02:16:19.405 --> 02:16:22.566]  Trust your family's survival to survivalistcamps.com.
[02:16:23.533 --> 02:16:25.413]  Fully cooked, ready to eat bacon.
[02:16:25.413 --> 02:16:28.634]  I'm talking thick, meaty, center cut, presidential bacon.
[02:16:28.634 --> 02:16:30.235]  Savory and delicious.
[02:16:30.235 --> 02:16:33.075]  I buy some, I use some, I store some.
[02:16:33.075 --> 02:16:33.735]  Awesome.
[02:16:33.735 --> 02:16:36.816]  No refrigeration needed with a 10 year shelf life.
[02:16:36.816 --> 02:16:38.397]  NASA PAC technology.
[02:16:38.397 --> 02:16:39.017]  Bacon.
[02:16:39.017 --> 02:16:43.178]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[02:16:43.178 --> 02:16:44.598]  Or warm and served.
[02:16:44.598 --> 02:16:46.638]  Life saving, ready to eat bacon.
[02:16:46.638 --> 02:16:48.599]  10 year shelf life bacon.
[02:16:48.599 --> 02:16:51.380]  Ships free at Fully Cooked Bacon dot com.
[02:16:51.380 --> 02:16:53.000]  Fully Cooked Bacon dot com.
[02:16:53.320 --> 02:16:57.881]  If you're trying to quit drinking or doing too many drugs, listen to me.
[02:16:57.881 --> 02:16:59.962]  You don't know me and we'll never meet.
[02:16:59.962 --> 02:17:01.703]  I had a problem like you once.
[02:17:01.703 --> 02:17:08.245]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[02:17:08.245 --> 02:17:13.326]  I realized I needed help to fix my problem before it totally destroyed me.
[02:17:13.326 --> 02:17:18.028]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[02:17:18.468 --> 02:17:21.590]  You need to call the National Treatment Advisors.
[02:17:21.590 --> 02:17:28.594]  They'll immerse you into a 30 day program to replace your old habits with new habits and totally change your life.
[02:17:28.594 --> 02:17:33.776]  And if you have PPO, private health insurance, the entire program may be covered.
[02:17:33.776 --> 02:17:37.078]  Fix your problem right now before it gets any worse.
[02:17:37.078 --> 02:17:38.019]  Get clean.
[02:17:38.019 --> 02:17:39.860]  Call now and learn more.
[02:17:39.860 --> 02:17:39.900]  800-506-6740.
[02:17:44.442 --> 02:17:47.444]  800-506-6740.
[02:17:47.444 --> 02:17:57.689]  That's 800-506-6740.
[02:17:57.689 --> 02:18:02.971]  Listen, there's a show from PBS called It's OK to be Smart.
[02:18:02.971 --> 02:18:11.395]  So everyone who's been smart and has been put down for it and persecuted, it's OK to finally be smart.
[02:18:11.395 --> 02:18:11.835]  That's right.
[02:18:11.835 --> 02:18:13.116]  There's not two sexes.
[02:18:13.496 --> 02:18:19.037]  And families are bad, and the right thing to do is to sterilize your son so he doesn't become an evil warmonger.
[02:18:19.037 --> 02:18:23.438]  I mean, a lot of feminists are saying we should have the government pass laws that male embryos are killed.
[02:18:23.438 --> 02:18:30.919]  But what's better and more reformed and more humanitarian is just to convince them, when they're five years old, to have their testicles chopped off.
[02:18:30.919 --> 02:18:32.239]  And again, global warming's real.
[02:18:32.239 --> 02:18:35.340]  We've got to pay Lord Rothschild all of our money, and the pandemic's all real.
[02:18:35.340 --> 02:18:37.000]  We've got to be locked up in our houses.
[02:18:37.000 --> 02:18:39.921]  We've got to use the language the universities say.
[02:18:39.921 --> 02:18:41.081]  We're not a culture or anything.
[02:18:41.541 --> 02:18:42.382]  Oh, no.
[02:18:42.382 --> 02:18:43.022]  No, we're not.
[02:18:43.022 --> 02:18:44.503]  We're good people.
[02:18:44.503 --> 02:18:48.886]  We're good people that went to these corporate systems that didn't brainwash us.
[02:18:48.886 --> 02:18:49.887]  No, no.
[02:18:49.887 --> 02:18:54.670]  They enlightened us how to censor and how to rule and how to control.
[02:18:54.670 --> 02:19:03.977]  You have to look really hard at mainstream television news and print media and mainstream establishment media news sites to find it.
[02:19:04.924 --> 02:19:07.745]  I did extensive searches online with different search engines.
[02:19:07.745 --> 02:19:19.529]  I did a bunch of research looking at different TV archives and I couldn't find hardly anything except a couple local news stories with medical doctors on there talking about zinc.
[02:19:20.169 --> 02:19:21.030]  Zinc.
[02:19:21.030 --> 02:19:21.870]  Zinc.
[02:19:21.870 --> 02:19:26.714]  The element on the periodic table that is essential to life.
[02:19:26.714 --> 02:19:41.164]  And that is the most anti-viral natural compound out there in thousands and thousands of studies by the most prestigious universities, including big studies on the coronavirus family.
[02:19:41.164 --> 02:19:42.865]  So, do yourself a favor.
[02:19:42.865 --> 02:19:45.186]  Search engine Zinc and
[02:19:46.127 --> 02:19:47.028]  Antiviral.
[02:19:47.028 --> 02:19:47.748]  Three words.
[02:19:47.748 --> 02:19:48.469]  Zinc.
[02:19:48.469 --> 02:19:49.890]  Antiviral.
[02:19:49.890 --> 02:19:50.570]  Zinc.
[02:19:50.570 --> 02:19:51.331]  Antiviral.
[02:19:51.331 --> 02:19:52.312]  Do yourself a favor.
[02:19:52.312 --> 02:19:52.832]  Zinc.
[02:19:52.832 --> 02:19:57.716]  Antiviral.
[02:19:57.716 --> 02:20:00.498]  You're listening to the Alex Jones Show.
[02:20:15.512 --> 02:20:18.114]  Welcome back, I'm Alex Jones, your host.
[02:20:18.114 --> 02:20:24.398]  Really respected researcher and journalist Jeff Nyquist of jrnyquist.com is with us.
[02:20:24.398 --> 02:20:28.260]  Writes for great folks at Epoch Times and others, World Net Daily.
[02:20:28.260 --> 02:20:30.601]  And he's just laying out the facts.
[02:20:30.601 --> 02:20:36.545]  I'm going to continue to give you the floor right now about where you think this is going, how you think their war is going.
[02:20:36.545 --> 02:20:39.927]  Clearly, it's a deep state, globalist, allied with communist China move.
[02:20:39.927 --> 02:20:41.468]  We're getting into Xi Jinping.
[02:20:41.468 --> 02:20:42.429]  Anybody can look this up.
[02:20:43.550 --> 02:20:47.172]  He, on record, does admire Hitler, Stalin, and Mao.
[02:20:47.172 --> 02:20:48.853]  He is an autocrat.
[02:20:48.853 --> 02:20:50.754]  He's an authoritarian.
[02:20:50.754 --> 02:20:57.597]  And the left totally protects him because they use China as a command base to carry out money laundering and other criminal activities.
[02:20:57.597 --> 02:21:06.082]  China bombs us with fentanyl, enough was seized in Mexico being brought in by the Chi-Coms, as you know, last year to kill 10.6 billion people if they all took
[02:21:06.522 --> 02:21:07.883]  Well, that's an interesting question.
[02:21:07.883 --> 02:21:10.225]  It's hard to get inside of Xi Jinping's mind.
[02:21:38.493 --> 02:21:45.658]  Well, of course, in China, they have a very famous political, very deep political history.
[02:21:45.658 --> 02:21:49.121]  You've heard of Sun Tzu, there's Han Fei Tzu.
[02:21:49.121 --> 02:21:53.123]  These are Machiavellis on steroids.
[02:21:53.123 --> 02:22:00.869]  The cultural, political tradition of China is one of intrigue and conspiracy, double agents and infiltration.
[02:22:01.661 --> 02:22:03.802]  They were way ahead in this game.
[02:22:03.802 --> 02:22:11.424]  You know, the earliest story of a false defector in history comes from China in the 19th century B.C.
[02:22:11.424 --> 02:22:13.105]  in the ancient records.
[02:22:13.105 --> 02:22:30.750]  So the Chinese have this very rich history of spies, counter spies, infiltration, and they have for centuries lionized people who are agents of influence and traitors who get into a government and turn it on its head.
[02:22:32.249 --> 02:22:33.610]  These are the games.
[02:22:33.610 --> 02:22:49.499]  Of course, we know the story of Jiang Zemin, how he was humbled by Mao Zedong, and then after Mao's death, he merged, struck down the Gang of Four, and took power and led China in a different direction.
[02:22:49.499 --> 02:22:59.464]  Xi Jinping has a similar story, because the turns of politics in China, with one group, in-party group, having the upper hand, and then another,
[02:23:00.480 --> 02:23:03.941]  Xi Jinping is a major power player.
[02:23:03.941 --> 02:23:20.965]  The Communist Party of China, of course, as earlier leaders of China have said, is part of a secret front of socialist communist groups that exist worldwide.
[02:23:20.965 --> 02:23:26.566]  This is controversial to say, but it's very interesting that Russia and China are both
[02:23:27.270 --> 02:23:32.077]  Supporting communist revolutions and regimes around the world right now.
[02:23:32.077 --> 02:23:36.444]  If you talk about the end of the Cold War, the defeat of communism, wait a minute.
[02:23:37.111 --> 02:23:41.835]  Nepal became a communist country some years ago, taken over by Maoists.
[02:23:41.835 --> 02:23:44.176]  Angola, the communists won the civil war in Angola.
[02:23:44.176 --> 02:23:46.898]  Congo had a revolution in 97.
[02:23:46.898 --> 02:23:50.681]  South Africa, the ANC is a front for the Communist Party of South Africa.
[02:23:50.681 --> 02:23:55.284]  We have Venezuela, Nicaragua, Daniel Ortega is in power there.
[02:23:55.284 --> 02:24:01.569]  Around the world, communist revolutions have been taking place quietly.
[02:24:02.228 --> 02:24:07.491]  Behind the surface and Russia and China both have troops in Venezuela.
[02:24:07.491 --> 02:24:13.634]  They're both supporting Nicaragua They're both supporting Cuba on the 100th anniversary of the Bolshevik Revolution.
[02:24:13.634 --> 02:24:30.503]  You can look this up Vladimir Putin gave a speech before the an organization of communist youth and students And there were like 10,000 of them gathered there at Sochi and he said we are behind you we believe in you you are the future and
[02:24:31.024 --> 02:24:32.104]  We're the words in his speech.
[02:24:32.104 --> 02:24:33.805]  You can watch that speech if you want.
[02:24:33.805 --> 02:24:36.886]  It's a very peculiar speech.
[02:24:36.886 --> 02:24:40.106]  I have talked to defectors over the years.
[02:24:40.106 --> 02:24:52.630]  I have studied this and it takes me back to a defector named Anatoly Golitsyn who wrote a book called New Lies for Old in 1984 in which he predicted everything that happened from 1989 down to the present.
[02:24:55.019 --> 02:25:00.921]  By 1994, nearly 94% of his predictions had been proven correct.
[02:25:00.921 --> 02:25:11.724]  He predicted the fall of the Berlin Wall, the collapse of the Warsaw Pact, the collapse of the Communist Party Soviet Union, the advent of democracy in Russia.
[02:25:11.724 --> 02:25:16.806]  But he said it was all a strategy.
[02:25:16.806 --> 02:25:17.946]  It was a planned collapse.
[02:25:17.946 --> 02:25:19.207]  They planned it for 40 years.
[02:25:20.918 --> 02:25:23.499]  40 years, 30 plus years.
[02:25:23.499 --> 02:25:30.962]  They initiated the plan together with China, that the Sino-Soviet split was part of the plan, according to Golitsyn.
[02:25:30.962 --> 02:25:32.683]  And there are so many things that have come true.
[02:25:32.683 --> 02:25:45.548]  He predicted that after they initiate this plan, if the West believed that the changes in the Soviet Union were legitimate, that we would lose track of our nuclear arsenal.
[02:25:45.548 --> 02:25:47.289]  We would not renew it, which we haven't done.
[02:25:47.958 --> 02:25:51.321]  And that our deterrent would start to become weaker and weaker.
[02:25:51.321 --> 02:25:58.006]  Meanwhile, China and Russia, and this goes directly to the terrifying testimony of our STRATCOM commander last month.
[02:25:58.006 --> 02:26:07.113]  He said, while we were allowing our nuclear deterrent to rot and age, China and Russia have been intensively modernizing their nuclear forces.
[02:26:07.113 --> 02:26:09.655]  And so, if we lose that nuclear deterrent,
[02:26:10.259 --> 02:26:12.280]  The world belongs to Russia and China.
[02:26:12.280 --> 02:26:13.621]  Let's be clear.
[02:26:13.621 --> 02:26:15.983]  Let's be clear about this.
[02:26:15.983 --> 02:26:19.525]  Obama and the globalists have been debilitating the U.S.
[02:26:19.525 --> 02:26:25.909]  and demoralizing us by design and then preparing at the college level the malice operating system.
[02:26:25.909 --> 02:26:27.110]  I don't just say that.
[02:26:27.110 --> 02:26:30.553]  Every college as you know, the public needs to know, this is not hyperbole.
[02:26:30.553 --> 02:26:33.675]  The malice model is the model of a youth rebellion
[02:26:34.275 --> 02:26:42.341]  And Antifa's all Maoist, and you've got the Confucius Societies, and the head chemist at Harvard caught being a CHICOM agent.
[02:26:42.341 --> 02:26:48.665]  I mean, the infiltration's been massive, and they're really pissed that Trump's starting to, I think, turn the tide against them as we identify this.
[02:26:48.665 --> 02:26:51.888]  But if Trump just points out that, no, Xi Jinping's horrible...
[02:26:52.688 --> 02:26:53.249]  He's terrible.
[02:26:53.249 --> 02:26:54.770]  He infiltrated our country.
[02:26:54.770 --> 02:26:56.511]  Obama and others were on his payroll.
[02:26:56.511 --> 02:26:57.752]  Hillary's on the payroll.
[02:26:57.752 --> 02:27:05.738]  Americans will unify behind that because this is real fourth-generational, fifth-generational warfare and I think we can pretty much reverse this quickly.
[02:27:07.065 --> 02:27:09.447]  Yeah, it's interesting what President Trump has done.
[02:27:09.447 --> 02:27:21.339]  I see a kind of strategy in him saying, Putin is my friend, Xi Jinping is my friend, because that makes it harder for them to attack the United States if the President is calling them a friend.
[02:27:21.339 --> 02:27:27.625]  It sort of puts them in a difficult position to commit the kind of actions that they want to commit.
[02:27:27.625 --> 02:27:29.247]  So it's a very clever strategy.
[02:27:29.247 --> 02:27:30.949]  And then to back them into a corner,
[02:27:32.127 --> 02:27:35.368]  Trump's unexpected election was a game changer.
[02:27:35.368 --> 02:27:39.550]  If Hillary Clinton had gotten in, you can imagine she would have continued the disarmament.
[02:27:39.550 --> 02:27:45.212]  There would have been no even small program to renew our nuclear warheads.
[02:27:45.212 --> 02:27:49.454]  We're going to start being able to produce nuclear warheads in 2025.
[02:27:49.454 --> 02:27:51.094]  And hopefully that can be accelerated.
[02:27:51.094 --> 02:27:54.996]  I think that's what the STRATCOM commander wants, is a bigger commitment.
[02:27:55.516 --> 02:28:12.671]  And the Chinese and Russians, having gained such tremendous advantages, nearing the point where they were tipping the balance of power in their favor, suddenly saw Trump coming in, putting more money into the military, playing the trade war game with them, taking away their unfair trade practices.
[02:28:12.671 --> 02:28:13.452]  Well, it's like Trump said.
[02:28:13.452 --> 02:28:16.374]  He said, we've been in a trade war with China for 40 years and losing.
[02:28:16.374 --> 02:28:17.876]  I'm not starting a trade war.
[02:28:17.876 --> 02:28:19.097]  We're simply fighting back.
[02:28:20.049 --> 02:28:21.029]  That's right.
[02:28:21.029 --> 02:28:21.990]  Absolutely.
[02:28:21.990 --> 02:28:23.910]  And of course, this was too much for the Chinese.
[02:28:23.910 --> 02:28:25.331]  So what is their reaction?
[02:28:25.331 --> 02:28:25.651]  Bam!
[02:28:25.651 --> 02:28:27.012]  Biological attack.
[02:28:27.012 --> 02:28:28.952]  COVID-19 virus.
[02:28:28.952 --> 02:28:30.253]  Flatten our markets.
[02:28:30.253 --> 02:28:32.374]  Deprive us of the money.
[02:28:32.374 --> 02:28:33.734]  And Trump knows what to do.
[02:28:33.734 --> 02:28:36.175]  Flood it with cash, even though it'll cause problems later.
[02:28:36.175 --> 02:28:38.856]  We'd be in a depression right now if he didn't do it.
[02:28:38.856 --> 02:28:39.096]  Right.
[02:28:39.096 --> 02:28:42.637]  Well, we have to, you know, the president is guarding against the deflation.
[02:28:42.637 --> 02:28:44.318]  We're going to get hit by a hard deflation.
[02:28:44.938 --> 02:28:46.479]  Because of the first... Well, exactly!
[02:28:46.479 --> 02:28:48.301]  People are worried about inflation in the short term.
[02:28:48.301 --> 02:28:49.903]  It's gonna be a deflation as well.
[02:28:49.903 --> 02:28:50.903]  You're smart, Cookie.
[02:28:50.903 --> 02:28:52.445]  Let's talk about that with Mr. Nyquist.
[02:28:53.737 --> 02:28:56.338]  Hunters, anglers, campers and survivalists.
[02:28:56.338 --> 02:28:57.399]  Get back to nature.
[02:28:57.399 --> 02:29:04.561]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:29:04.561 --> 02:29:07.923]  Slingbow products are compact and models start from just 1798.
[02:29:07.923 --> 02:29:11.424]  They're perfect for your bug out bag or storing in your vehicle.
[02:29:11.424 --> 02:29:15.486]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:29:15.486 --> 02:29:19.988]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:29:19.988 --> 02:29:22.589]  Feel the thrill only at slingbow.com.
[02:29:23.697 --> 02:29:24.898]  Hi, I'm Dan Pilla.
[02:29:24.898 --> 02:29:28.819]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:29:28.819 --> 02:29:30.360]  I sued the IRS and won.
[02:29:30.360 --> 02:29:33.321]  I beat the IRS then, and I've been beating them ever since.
