[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[01:39:18.300 --> 01:39:20.300]  Why don't you roll your hair out long
[01:39:20.300 --> 01:39:23.300]  and wear trendy clothes and, you know,
[01:39:23.300 --> 01:39:25.300]  t-shirts and blue jeans?
[01:39:25.300 --> 01:39:28.300]  Number one, I comb my hair straight back in the morning.
[01:39:28.300 --> 01:39:30.300]  It takes about 15 seconds when I get out of the shower
[01:39:30.300 --> 01:39:34.300]  and I brush my teeth and floss and that's about it.
[01:39:34.300 --> 01:39:36.300]  You know, it's kind of like I'm a fireman
[01:39:36.300 --> 01:39:39.300]  and the fire alarm goes off and I squeeze my sleep in
[01:39:39.300 --> 01:39:42.300]  and I get to work.
[01:39:42.300 --> 01:39:45.300]  So that's number one, that's why.
[01:39:45.300 --> 01:39:47.300]  But people do pay attention so much to that.
[01:39:47.300 --> 01:39:50.300]  Maybe I should dress trendy or something.
[01:39:50.300 --> 01:39:52.300]  I just, it's just not in me.
[01:39:52.300 --> 01:39:56.300]  You know, being authentic, getting real is what's cool.
[01:39:56.300 --> 01:39:59.300]  And when you don't want to be cool, it's when you are cool.
[01:39:59.300 --> 01:40:02.300]  When you don't care about being cool, it's when you are cool.
[01:40:02.300 --> 01:40:05.300]  Okay? It's that simple.
[01:40:05.300 --> 01:40:08.300]  And so let's get past the images of being cool
[01:40:08.300 --> 01:40:10.300]  and what the media tells us is cool
[01:40:10.300 --> 01:40:13.300]  and let's try to survive here, okay?
[01:40:13.300 --> 01:40:16.300]  Because people think I'm so cool.
[01:40:16.300 --> 01:40:18.300]  I'm not trying to be cool.
[01:40:18.300 --> 01:40:20.300]  I'm trying to survive here.
[01:40:20.300 --> 01:40:24.300]  Sometimes I get chills at night and really get concerned
[01:40:24.300 --> 01:40:26.300]  and, you know, physically feel the danger.
[01:40:26.300 --> 01:40:29.300]  I mean, I'm in a race against time.
[01:40:29.300 --> 01:40:39.300]  And I, that's what it comes down to in the final equation.
[01:40:39.300 --> 01:40:42.300]  And I'm not just knocking the trendies.
[01:40:42.300 --> 01:40:45.300]  You know, the young trendies, the worst people are,
[01:40:45.300 --> 01:40:49.300]  and I'm not saying, this is all delicate here.
[01:40:49.300 --> 01:40:52.300]  I'm not saying having a cataract is bad.
[01:40:52.300 --> 01:40:54.300]  I like how some of them look.
[01:40:54.300 --> 01:40:55.300]  Nice cars.
[01:40:55.300 --> 01:40:57.300]  I'm not saying having good transportation is bad.
[01:40:57.300 --> 01:40:59.300]  I'm not saying liking your car is bad.
[01:40:59.300 --> 01:41:01.300]  I'm not saying having a golf membership is bad
[01:41:01.300 --> 01:41:04.300]  because golf's fun and they're beautiful courses
[01:41:04.300 --> 01:41:06.300]  and it's a great outdoor sport.
[01:41:06.300 --> 01:41:09.300]  I'm not saying having a country club membership is bad.
[01:41:09.300 --> 01:41:13.300]  But if that's your God, all you do is feel powerful
[01:41:13.300 --> 01:41:15.300]  because of it and you feel like you're part of the elite
[01:41:15.300 --> 01:41:17.300]  and you get out there with your buddies
[01:41:17.300 --> 01:41:19.300]  and you're not worried about the country
[01:41:19.300 --> 01:41:21.300]  and you just make jokes about them A-Rabs
[01:41:21.300 --> 01:41:24.300]  and you can't wait till we hit I ran
[01:41:24.300 --> 01:41:27.300]  and it's what's got to be done.
[01:41:27.300 --> 01:41:30.300]  I mean, again, you're part of your own little...
[01:41:30.300 --> 01:41:32.300]  I'll tell you the group that's the worst
[01:41:32.300 --> 01:41:34.300]  and I'm not saying people on motorcycles are bad.
[01:41:34.300 --> 01:41:36.300]  Most of my friends have got motorcycles.
[01:41:36.300 --> 01:41:42.300]  But it's the yuppie lawyer, 50 years old.
[01:41:42.300 --> 01:41:46.300]  It's always the same type of person.
[01:41:46.300 --> 01:41:49.300]  And I'll be walking down Congress with my wife and children
[01:41:49.300 --> 01:41:52.300]  or I'll be out at the lake about to go fishing
[01:41:52.300 --> 01:41:54.300]  and I get a chance to have you once a year
[01:41:54.300 --> 01:41:56.300]  and I'll be in the parking lot at the boat dock
[01:41:56.300 --> 01:41:58.300]  where I'm going to fish with some friends
[01:41:58.300 --> 01:42:02.300]  and it's always a big $80,000 Harley tricked out
[01:42:02.300 --> 01:42:05.300]  and a big guy on it who's got some yacht
[01:42:05.300 --> 01:42:08.300]  because I've seen him part and go getting their yachts
[01:42:08.300 --> 01:42:10.300]  and they'll drive by and go,
[01:42:10.300 --> 01:42:14.300]  hey, Mr. Black Helicopter, why don't you leave the country?
[01:42:14.300 --> 01:42:17.300]  And if my family are with me, I'll go, hey, come on back.
[01:42:17.300 --> 01:42:19.300]  Come on, let's have a discussion about this.
[01:42:19.300 --> 01:42:23.300]  Uh-uh, you don't want me to.
[01:42:23.300 --> 01:42:27.300]  Now, that fool, because he's got $5 million in assets
[01:42:27.300 --> 01:42:31.300]  and a million-dollar house and a $400,000 boat
[01:42:31.300 --> 01:42:36.300]  and an $80,000 Harley and a mistress and a wife and five kids,
[01:42:36.300 --> 01:42:38.300]  thinks he's the elite.
[01:42:38.300 --> 01:42:40.300]  Hey, buddy, the elite is worth over,
[01:42:40.300 --> 01:42:45.300]  one family is worth over $300 trillion.
[01:42:45.300 --> 01:42:48.300]  Okay? You're nothing.
[01:42:48.300 --> 01:42:51.300]  Your money's been devalued by half.
[01:42:51.300 --> 01:42:53.300]  The stock market's been devalued by half
[01:42:53.300 --> 01:42:56.300]  but because of the money inflation, you don't even know that.
[01:42:56.300 --> 01:42:59.300]  You're a joke.
[01:42:59.300 --> 01:43:02.300]  You're a joke. You're a joke to this country
[01:43:02.300 --> 01:43:04.300]  and you've got your little biker outfit
[01:43:04.300 --> 01:43:06.300]  and you've got your yacht
[01:43:06.300 --> 01:43:09.300]  and it's all real funny and your life's good
[01:43:09.300 --> 01:43:12.300]  and so you don't want to worry about Texas.
[01:43:12.300 --> 01:43:17.300]  You're probably part of some contract for some toll road.
[01:43:17.300 --> 01:43:20.300]  You know, a lot of these people are on the payroll of this whole thing
[01:43:20.300 --> 01:43:24.300]  and it's just, it's cute. It's cute, isn't it?
[01:43:24.300 --> 01:43:26.300]  And it's these same funny conservatives that will go,
[01:43:26.300 --> 01:43:28.300]  so what if we're turning into Mexico
[01:43:28.300 --> 01:43:29.300]  and they're getting rid of the borders?
[01:43:29.300 --> 01:43:31.300]  Ah, it's just change.
[01:43:31.300 --> 01:43:34.300]  And I've had high-powered lobbyists walk up to me.
[01:43:34.300 --> 01:43:38.300]  One time I had one of the biggest politicians in Texas
[01:43:38.300 --> 01:43:41.300]  walk up to me
[01:43:41.300 --> 01:43:43.300]  and he said this would be off record on it
[01:43:43.300 --> 01:43:46.300]  and so I said it was off record, so I'll never tell you his name.
[01:43:46.300 --> 01:43:48.300]  He even gave me his car and he said,
[01:43:48.300 --> 01:43:51.300]  what are you? Of course you're right about it all, Alex.
[01:43:51.300 --> 01:43:54.300]  He just projected confidence and friendliness
[01:43:54.300 --> 01:43:57.300]  and sparkly eyes, old man.
[01:43:57.300 --> 01:44:00.300]  Alex, well, you're not going to help these people.
[01:44:00.300 --> 01:44:02.300]  You know how dumb they are.
[01:44:02.300 --> 01:44:06.300]  You're trying to help them. They don't want your help.
[01:44:06.300 --> 01:44:08.300]  The best you can do is join the system
[01:44:08.300 --> 01:44:10.300]  and then try to mediate in it
[01:44:10.300 --> 01:44:13.300]  and work with both sides and help yourself out.
[01:44:13.300 --> 01:44:17.300]  I'll just give you a call sometime.
[01:44:17.300 --> 01:44:19.300]  And I've gotten calls from similar people
[01:44:19.300 --> 01:44:21.300]  back when I first started, folks.
[01:44:21.300 --> 01:44:23.300]  They're looking for anybody that sticks their head up.
[01:44:23.300 --> 01:44:26.300]  It's like the Rockefellers tried to recruit Aaron Russo.
[01:44:26.300 --> 01:44:29.300]  And that's when you know how real this stuff is.
[01:44:29.300 --> 01:44:31.300]  When they're sticking cards in your hands
[01:44:31.300 --> 01:44:33.300]  and saying, yeah, it's real
[01:44:33.300 --> 01:44:35.300]  and, you know, they know how to hit you, too.
[01:44:35.300 --> 01:44:37.300]  They know that this is a thankless job.
[01:44:37.300 --> 01:44:40.300]  They know that the public generally is dumbed down
[01:44:40.300 --> 01:44:43.300]  and they know how with that elitist attitude to go,
[01:44:43.300 --> 01:44:45.300]  well, you're sardonic, too, Mr. Jones.
[01:44:45.300 --> 01:44:47.300]  You know, hey, you know more than they do.
[01:44:47.300 --> 01:44:49.300]  Why don't you just use that against them?
[01:44:49.300 --> 01:44:52.300]  They don't want your help, Mr. Jones.
[01:44:52.300 --> 01:44:54.300]  See, that's the devil's lie.
[01:44:54.300 --> 01:44:55.300]  Oh, you're not going to help the world
[01:44:55.300 --> 01:44:56.300]  the way it's always been.
[01:44:56.300 --> 01:44:58.300]  Just protect yourself and your family.
[01:44:58.300 --> 01:45:01.300]  That's what Nick Rockefeller told Aaron Russo.
[01:45:01.300 --> 01:45:02.300]  You know you can't help them, Aaron.
[01:45:02.300 --> 01:45:03.300]  They don't want help.
[01:45:03.300 --> 01:45:04.300]  Just protect your family.
[01:45:04.300 --> 01:45:05.300]  Join us.
[01:45:05.300 --> 01:45:10.300]  We'll take care of you.
[01:45:10.300 --> 01:45:12.300]  And that's when you know how real it is.
[01:45:12.300 --> 01:45:14.300]  When you're sitting there and people got a contract
[01:45:14.300 --> 01:45:16.300]  with over a million dollars they're offering you
[01:45:16.300 --> 01:45:18.300]  to go basically join the New World Order
[01:45:18.300 --> 01:45:20.300]  and be a neocon.
[01:45:20.300 --> 01:45:22.300]  And, man, you go to the average person,
[01:45:22.300 --> 01:45:23.300]  the average talk show host,
[01:45:23.300 --> 01:45:25.300]  and you go to them and you offer them that much money.
[01:45:25.300 --> 01:45:27.300]  All they're thinking about is a big house
[01:45:27.300 --> 01:45:28.300]  and cars and status.
[01:45:28.300 --> 01:45:30.300]  Who cares about all that?
[01:45:30.300 --> 01:45:32.300]  Now, if you can make money, honestly,
[01:45:32.300 --> 01:45:33.300]  and doing the right thing,
[01:45:33.300 --> 01:45:35.300]  you're living in a comfortable house
[01:45:35.300 --> 01:45:37.300]  where I have a decent car so it doesn't break down,
[01:45:37.300 --> 01:45:40.300]  but I'm not there polishing my car
[01:45:40.300 --> 01:45:44.300]  and strutting around and trying to, you know,
[01:45:44.300 --> 01:45:47.300]  like a peacock.
[01:45:47.300 --> 01:45:49.300]  That stuff is low level.
[01:45:49.300 --> 01:45:51.300]  That's not what life's really all about.
[01:45:51.300 --> 01:45:53.300]  Life is about honor and building things
[01:45:53.300 --> 01:45:55.300]  and doing the right thing and standing up
[01:45:55.300 --> 01:45:59.300]  and being strong and defending the weak.
[01:45:59.300 --> 01:46:01.300]  If you don't have an instinct to stand up
[01:46:01.300 --> 01:46:05.300]  for women and children, you're not a man.
[01:46:05.300 --> 01:46:07.300]  That's what men are supposed to do.
[01:46:07.300 --> 01:46:09.300]  It's not anything special.
[01:46:09.300 --> 01:46:13.300]  I'm nothing special.
[01:46:13.300 --> 01:46:15.300]  And you've just got to believe in yourselves
[01:46:15.300 --> 01:46:17.300]  and believe that if you ask God to empower you,
[01:46:17.300 --> 01:46:19.300]  you will be a leader and that's what we need
[01:46:19.300 --> 01:46:21.300]  because ideas are bulletproof.
[01:46:21.300 --> 01:46:24.300]  And if you just simply step up to the plate
[01:46:24.300 --> 01:46:27.300]  and get in the arena, you're going to get stronger,
[01:46:27.300 --> 01:46:28.300]  you're going to get better,
[01:46:28.300 --> 01:46:30.300]  you're going to get more confident,
[01:46:30.300 --> 01:46:33.300]  and it's going to lead to great things for this society
[01:46:33.300 --> 01:46:40.300]  and true service and true commitment to service.
[01:46:40.300 --> 01:46:42.300]  And they know a lot of you want to serve,
[01:46:42.300 --> 01:46:46.300]  so they have fake groups that are these charities
[01:46:46.300 --> 01:46:48.300]  that are really funding the destruction of our country
[01:46:48.300 --> 01:46:50.300]  who put out nice propaganda and then you go
[01:46:50.300 --> 01:46:53.300]  and you join them or, oh, help girls not get cancer,
[01:46:53.300 --> 01:46:55.300]  come help me grassroots lobbying arms
[01:46:55.300 --> 01:46:59.300]  to push the human papillomavirus
[01:46:59.300 --> 01:47:01.300]  or, oh, come join the Red Cross.
[01:47:01.300 --> 01:47:02.300]  We help people.
[01:47:02.300 --> 01:47:04.300]  Really, they give money to anti-gun groups
[01:47:04.300 --> 01:47:06.300]  and steal the lion's share of the money
[01:47:06.300 --> 01:47:07.300]  in our intelligence operation.
[01:47:07.300 --> 01:47:09.300]  And by the way, that's been certified for over 100 years
[01:47:09.300 --> 01:47:11.300]  at the International Red Cross.
[01:47:11.300 --> 01:47:14.300]  He is a global intelligence operation.
[01:47:14.300 --> 01:47:17.300]  It was the Red Cross brought Lenin, his 25 million in gold,
[01:47:17.300 --> 01:47:24.300]  when the white Russians were beating them in 1917.
[01:47:24.300 --> 01:47:26.300]  Not bashing you that went and volunteered for him
[01:47:26.300 --> 01:47:28.300]  and handed out soup.
[01:47:28.300 --> 01:47:31.300]  You do a little something, but that's just for looks.
[01:47:31.300 --> 01:47:35.300]  That's just for appearances.
[01:47:35.300 --> 01:47:40.300]  That's the only reason that's happening.
[01:47:40.300 --> 01:47:42.300]  All right, shifting gears,
[01:47:42.300 --> 01:47:44.300]  and I want to go back to your calls here in a moment.
[01:47:44.300 --> 01:47:48.300]  Censored, media blacklist, BBC fiasco,
[01:47:48.300 --> 01:47:53.300]  Google dig censor, 9-11 truth.
[01:47:53.300 --> 01:47:56.300]  News 24, timestamp video disappears from Google video
[01:47:56.300 --> 01:47:58.300]  to fight the fact it's under 30 seconds in length
[01:47:58.300 --> 01:48:00.300]  and clearly constitutes fair use.
[01:48:00.300 --> 01:48:02.300]  The new video from a separate live BBC feed
[01:48:02.300 --> 01:48:05.300]  where they announced Building 7 fell 20-something minutes
[01:48:05.300 --> 01:48:06.300]  before it did,
[01:48:06.300 --> 01:48:09.300]  dig lets small minority of morons decide its content.
[01:48:09.300 --> 01:48:11.300]  Now, dig has already banned us before,
[01:48:11.300 --> 01:48:14.300]  and I told Paul, and then he remembered that,
[01:48:14.300 --> 01:48:15.300]  and it's even worse than that,
[01:48:15.300 --> 01:48:18.300]  and our stuff's up one minute before they take it down.
[01:48:18.300 --> 01:48:22.300]  So it's dig itself.
[01:48:22.300 --> 01:48:24.300]  The crowned kings of censorship, Google,
[01:48:24.300 --> 01:48:27.300]  the news 24 timestamp video that shows BBC reporting
[01:48:27.300 --> 01:48:31.300]  the collapse of Building 7 26 minutes before it happened.
[01:48:31.300 --> 01:48:33.300]  Meanwhile, the establishment media continues
[01:48:33.300 --> 01:48:35.300]  to ignore Building 7 fires as a whole,
[01:48:35.300 --> 01:48:38.300]  including the inconceivable notion that BBC
[01:48:38.300 --> 01:48:42.300]  would have mysteriously lost all their 9-11 footage.
[01:48:42.300 --> 01:48:44.300]  Despite the fact that the clip is under 30 seconds in length
[01:48:44.300 --> 01:48:46.300]  and clearly constitutes fair use,
[01:48:46.300 --> 01:48:49.300]  Google yanked the video last night after it was prominently featured
[01:48:49.300 --> 01:48:50.300]  in our article yesterday.
[01:48:50.300 --> 01:48:53.300]  We have replaced the video with a YouTube composite
[01:48:53.300 --> 01:48:57.300]  of both the Jane Stanley footage and the new BBC 24 clip,
[01:48:57.300 --> 01:49:03.300]  but for how long this stays active remains to be seen.
[01:49:03.300 --> 01:49:05.300]  So what you do is you grab it and save it
[01:49:05.300 --> 01:49:08.300]  and post it on your own little systems.
[01:49:08.300 --> 01:49:11.300]  Google and the BBC have a cozy relationship
[01:49:11.300 --> 01:49:13.300]  and are currently in an advanced stage of talks
[01:49:13.300 --> 01:49:16.300]  to content share on Google Video.
[01:49:16.300 --> 01:49:19.300]  This could explain why the original Stanley footage,
[01:49:19.300 --> 01:49:20.300]  which yanked from Google,
[01:49:20.300 --> 01:49:24.300]  within hours of it becoming popular on the Internet Monday afternoon.
[01:49:24.300 --> 01:49:27.300]  It seems the BBC are extremely incompetent
[01:49:27.300 --> 01:49:30.300]  when it comes to looking after their own archive tapes,
[01:49:30.300 --> 01:49:34.300]  but remarkably proficient about getting any embarrassing material
[01:49:34.300 --> 01:49:36.300]  scrubbed off the Internet with the eager aid
[01:49:36.300 --> 01:49:38.300]  of the don't-be-evil Google.
[01:49:38.300 --> 01:49:41.300]  By the way, a bunch of other BBC clips have been left up.
[01:49:41.300 --> 01:49:42.300]  Those will be up for 10 years.
[01:49:42.300 --> 01:49:45.300]  It's just the stuff that embarrasses them.
[01:49:45.300 --> 01:49:48.300]  So there needs to be, and grand juries need to be calling
[01:49:48.300 --> 01:49:50.300]  people in and saying, who gave you that information?
[01:49:50.300 --> 01:49:52.300]  Aaron Brown was seeing it in.
[01:49:52.300 --> 01:49:54.300]  All the people at BBC,
[01:49:54.300 --> 01:49:56.300]  they didn't just have her on their saying to collapse.
[01:49:56.300 --> 01:49:59.300]  The news readers in London were announcing it.
[01:49:59.300 --> 01:50:04.300]  Then they cut to her with a lower third already ready.
[01:50:04.300 --> 01:50:07.300]  A graphic was created.
[01:50:07.300 --> 01:50:10.300]  The neocon operatives and their followers,
[01:50:10.300 --> 01:50:11.300]  because it's a snowball,
[01:50:11.300 --> 01:50:12.300]  not all of them are agents,
[01:50:12.300 --> 01:50:14.300]  but the agents put out the first disinfo
[01:50:14.300 --> 01:50:19.300]  of the parrots, the idiocracy crowd,
[01:50:19.300 --> 01:50:21.300]  then parrots it and snowballs it.
[01:50:21.300 --> 01:50:23.300]  They're just saying the video's all fake,
[01:50:23.300 --> 01:50:25.300]  even though BBC admits it's real.
[01:50:25.300 --> 01:50:28.300]  And they're also saying that the time stamp's fake,
[01:50:28.300 --> 01:50:32.300]  and they're saying the time zones are wrong.
[01:50:32.300 --> 01:50:35.300]  It's just incredible.
[01:50:35.300 --> 01:50:37.300]  It seems the BBC are extremely incompetent
[01:50:37.300 --> 01:50:39.300]  when it comes to looking after their own archive tapes
[01:50:39.300 --> 01:50:41.300]  but remarkably proficient about getting
[01:50:41.300 --> 01:50:45.300]  any embarrassing material scrubbed off the Internet.
[01:50:45.300 --> 01:50:47.300]  With the eager rate of the Don't Be Evil Google,
[01:50:47.300 --> 01:50:50.300]  they compose a forbidding tag team of censorship.
[01:50:50.300 --> 01:50:52.300]  Recall that Google bizarrely wiped
[01:50:52.300 --> 01:50:54.300]  the leading mainstream news website
[01:50:54.300 --> 01:50:56.300]  from their search engine altogether after China complained.
[01:50:56.300 --> 01:50:58.300]  Last year, simply because Space War
[01:50:58.300 --> 01:51:01.300]  had carried articles mildly critical of Google's
[01:51:01.300 --> 01:51:03.300]  beloved communist Chinese paymasters,
[01:51:03.300 --> 01:51:05.300]  for whom Yahoo!
[01:51:05.300 --> 01:51:09.300]  have also shopped numerous dissidents
[01:51:09.300 --> 01:51:12.300]  who have ended up in China's re-education labor camps.
[01:51:12.300 --> 01:51:14.300]  Some have been killed. Yeah, they rat you out.
[01:51:14.300 --> 01:51:16.300]  There was also a Google video that were caught
[01:51:16.300 --> 01:51:19.300]  on numerous occasions resetting views,
[01:51:19.300 --> 01:51:21.300]  features for Alekshyev's Terror Storm
[01:51:21.300 --> 01:51:23.300]  and other 9-11 Truth Films to prevent them
[01:51:23.300 --> 01:51:25.300]  from entering the higher echelons of the charts
[01:51:25.300 --> 01:51:27.300]  and going viral.
[01:51:27.300 --> 01:51:29.300]  We'll come back. Get to more of your calls.
[01:51:29.300 --> 01:51:31.300]  Stay with me.
[01:51:34.300 --> 01:51:36.300]  It's year after a year in production
[01:51:36.300 --> 01:51:38.300]  and traveling the distant lands.
[01:51:38.300 --> 01:51:40.300]  My new film Terror Storm is complete.
[01:51:40.300 --> 01:51:42.300]  Shocking, declassified government documents
[01:51:42.300 --> 01:51:44.300]  prove that Western governments are orchestrating
[01:51:44.300 --> 01:51:46.300]  terror attacks against their own populations
[01:51:46.300 --> 01:51:48.300]  as a pretext to enslave them.
[01:51:48.300 --> 01:51:51.300]  Terror Storm proves that not only was 9-11
[01:51:51.300 --> 01:51:54.300]  an inside job, but the attacks of 7-7 in London
[01:51:54.300 --> 01:51:56.300]  were carried out by British intelligence.
[01:51:56.300 --> 01:51:58.300]  Terror Storm chronicles the lies that took us
[01:51:58.300 --> 01:52:00.300]  to war in Iran, a White House program
[01:52:00.300 --> 01:52:03.300]  to disseminate fake news, NSA spy,
[01:52:03.300 --> 01:52:06.300]  secret police torture, the latest 9-11 information
[01:52:06.300 --> 01:52:08.300]  and much, much more.
[01:52:08.300 --> 01:52:10.300]  Terror Storm is the definitive guide
[01:52:10.300 --> 01:52:12.300]  to the history of government-sponsored terrorism.
[01:52:12.300 --> 01:52:14.300]  It's an anthology of government crimes.
[01:52:14.300 --> 01:52:16.300]  Terror Storm is a film that everyone
[01:52:16.300 --> 01:52:18.300]  who wants to be truly informed must see.
[01:52:18.300 --> 01:52:21.300]  Get your copy today on Infowars.com
[01:52:21.300 --> 01:52:23.300]  or PrisonPlanet.com
[01:52:23.300 --> 01:52:27.300]  or by calling toll-free 1-888-2533139
[01:52:27.300 --> 01:52:29.300]  or watch it right now online
[01:52:29.300 --> 01:52:31.300]  at PrisonPlanet.tv.
[01:52:32.300 --> 01:52:34.300]  Good morning, honey. Wow.
[01:52:34.300 --> 01:52:37.300]  The weather is beautiful, the cabin is terrific,
[01:52:37.300 --> 01:52:39.300]  and it's the first day of our vacation.
[01:52:39.300 --> 01:52:40.300]  Yeah.
[01:52:40.300 --> 01:52:42.300]  Honey, is there something wrong?
[01:52:42.300 --> 01:52:44.300]  Yeah, I just realized we forgot
[01:52:44.300 --> 01:52:46.300]  to pack the travel-burkey system.
[01:52:46.300 --> 01:52:48.300]  I can't drink this cabin water,
[01:52:48.300 --> 01:52:50.300]  and what am I going to do when I'm out on the lake?
[01:52:50.300 --> 01:52:52.300]  Now the whole vacation is ruined.
[01:52:52.300 --> 01:52:53.300]  Honey, cheer up.
[01:52:53.300 --> 01:52:56.300]  I brought our sport-burkey purifiers.
[01:52:56.300 --> 01:52:57.300]  What?
[01:52:57.300 --> 01:52:59.300]  Yeah, I know you're picky about not having
[01:52:59.300 --> 01:53:01.300]  pathogenic bacteria, organic chemicals,
[01:53:01.300 --> 01:53:03.300]  heavy metals or foul tastes
[01:53:03.300 --> 01:53:05.300]  and odors in the water,
[01:53:05.300 --> 01:53:08.300]  so I packed our sport-burkey purifiers.
[01:53:08.300 --> 01:53:10.300]  You know, this is a terrific cabin,
[01:53:10.300 --> 01:53:13.300]  and wow, have you noticed the beautiful weather?
[01:53:13.300 --> 01:53:14.300]  Don't ruin your vacation.
[01:53:14.300 --> 01:53:17.300]  Get a travel-burkey today for only $209
[01:53:17.300 --> 01:53:19.300]  or get a sport-burkey for only $39.
[01:53:19.300 --> 01:53:23.300]  Call 888-8034-438.
[01:53:23.300 --> 01:53:26.300]  That's 888-8034-438
[01:53:26.300 --> 01:53:28.300]  or order on the web at burkeawater.com.
[01:53:28.300 --> 01:53:30.300]  Travel-burkey not available in Iowa.
[01:53:30.300 --> 01:53:32.300]  Hey ladies, if you love to shop,
[01:53:32.300 --> 01:53:34.300]  then visit herbalhealer.com
[01:53:34.300 --> 01:53:36.300]  to browse through their online catalog.
[01:53:36.300 --> 01:53:38.300]  You'll find thousands of effective,
[01:53:38.300 --> 01:53:40.300]  alternative and natural products
[01:53:40.300 --> 01:53:42.300]  for you and the whole family.
[01:53:42.300 --> 01:53:44.300]  Besides the amazing products you'll find,
[01:53:44.300 --> 01:53:46.300]  this shopping is guilt-free
[01:53:46.300 --> 01:53:48.300]  because you're investing in your health
[01:53:48.300 --> 01:53:50.300]  and your health is priceless.
[01:53:50.300 --> 01:53:52.300]  While online, sign up to receive
[01:53:52.300 --> 01:53:53.300]  the Herbal Healer newsletter,
[01:53:53.300 --> 01:53:55.300]  which will keep you informed
[01:53:55.300 --> 01:53:57.300]  on the latest and greatest products in education.
[01:53:57.300 --> 01:53:59.300]  Did you know that Herbal Healer
[01:53:59.300 --> 01:54:01.300]  offers not only natural medicine,
[01:54:01.300 --> 01:54:03.300]  but also tension-relieving herbal teas,
[01:54:03.300 --> 01:54:05.300]  cookbooks, aromatherapy,
[01:54:05.300 --> 01:54:06.300]  products for pampering,
[01:54:06.300 --> 01:54:07.300]  and more great products
[01:54:07.300 --> 01:54:10.300]  to help you soothe and relax after a long day.
[01:54:10.300 --> 01:54:11.300]  Want to learn more for yourself
[01:54:11.300 --> 01:54:13.300]  and to help others in the future?
[01:54:13.300 --> 01:54:15.300]  Join the Herbal Healer correspondence program.
[01:54:15.300 --> 01:54:17.300]  You can work at your own pace
[01:54:17.300 --> 01:54:19.300]  from the comfort of your own home.
[01:54:19.300 --> 01:54:21.300]  This accredited, exciting program
[01:54:21.300 --> 01:54:23.300]  can help you gain skills and knowledge.
[01:54:23.300 --> 01:54:25.300]  Can you believe you can find all this at one stop?
[01:54:25.300 --> 01:54:27.300]  Herbalhealer.com
[01:54:27.300 --> 01:54:30.300]  celebrating 18 years of dedication.
[01:54:47.300 --> 01:54:48.300]  I'm Alex Jones, your host.
[01:54:48.300 --> 01:54:50.300]  Thank you for joining us.
[01:54:50.300 --> 01:54:52.300]  We're going straight into hour number three
[01:54:52.300 --> 01:54:53.300]  here in just a few minutes,
[01:54:53.300 --> 01:54:55.300]  continuing with your calls and a special guest.
[01:54:55.300 --> 01:54:57.300]  Part two of the expose
[01:54:57.300 --> 01:54:59.300]  on the Oklahoma City bombing
[01:54:59.300 --> 01:55:01.300]  as that unravels as well.
[01:55:01.300 --> 01:55:03.300]  Now, first, the BBC
[01:55:03.300 --> 01:55:05.300]  started trying to jerk all the videos
[01:55:05.300 --> 01:55:07.300]  of their reporters reporting that Building 7
[01:55:07.300 --> 01:55:09.300]  had collapsed, and then even
[01:55:09.300 --> 01:55:11.300]  giving the reason it had collapsed.
[01:55:11.300 --> 01:55:13.300]  And then they tried to expunge
[01:55:13.300 --> 01:55:14.300]  the entire record.
[01:55:14.300 --> 01:55:15.300]  Then they tried to deny it.
[01:55:15.300 --> 01:55:16.300]  Then they said, okay, it's true,
[01:55:16.300 --> 01:55:18.300]  but we lost all the tapes.
[01:55:18.300 --> 01:55:20.300]  And then now it's being censured
[01:55:20.300 --> 01:55:22.300]  all over the place, and that convinced
[01:55:22.300 --> 01:55:24.300]  a bunch of people that weren't convinced before.
[01:55:24.300 --> 01:55:27.300]  Because they're watching it in real time.
[01:55:27.300 --> 01:55:29.300]  And they're seeing it happen.
[01:55:29.300 --> 01:55:31.300]  And that's the thing.
[01:55:31.300 --> 01:55:33.300]  If we can just get people to get involved
[01:55:33.300 --> 01:55:35.300]  and start investigating on their own
[01:55:35.300 --> 01:55:37.300]  to witness this stuff for themselves,
[01:55:37.300 --> 01:55:39.300]  they'll be able to see what's happening.
[01:55:39.300 --> 01:55:41.300]  I mean, it is hard to believe there's massive censorship
[01:55:41.300 --> 01:55:43.300]  and control and operations, and this info,
[01:55:43.300 --> 01:55:45.300]  and the government blew out Building 7.
[01:55:45.300 --> 01:55:46.300]  But they did.
[01:55:46.300 --> 01:55:48.300]  It's not just this BBC clip.
[01:55:48.300 --> 01:55:50.300]  It's Larry Silverstein, the owner saying it,
[01:55:50.300 --> 01:55:51.300]  slipping up.
[01:55:51.300 --> 01:55:53.300]  It's always firing in police
[01:55:53.300 --> 01:55:55.300]  and emergency workers saying that they were told to get back.
[01:55:55.300 --> 01:55:58.300]  The government was going to blow it up.
[01:55:58.300 --> 01:56:01.300]  So billions of people have heard Building 7 discussed,
[01:56:01.300 --> 01:56:05.300]  and now they see this, and then they see the cover-up.
[01:56:05.300 --> 01:56:07.300]  The story would have been big,
[01:56:07.300 --> 01:56:09.300]  but nothing near its size.
[01:56:09.300 --> 01:56:11.300]  Literally, it's 100 times bigger now.
