[00:00:09.864 --> 00:00:11.726]  Riding on the highway!
[00:51:57.730 --> 00:52:01.793]  And they have to make moral decisions on what consumers should have access to.
[00:52:01.793 --> 00:52:04.175]  And what kind of businesses were on this list?
[00:52:04.175 --> 00:52:05.557]  The usual suspects were there.
[00:52:05.557 --> 00:52:08.659]  Debt consolidation scams and online gambling.
[00:52:08.659 --> 00:52:11.442]  But also completely legitimate and legal businesses.
[00:52:11.442 --> 00:52:15.025]  Like firearm sales, coin dealers, tobacco sales and more.
[00:52:17.358 --> 00:52:32.516]  In the same way that we say that racial profiling is bad, you're saying that without any due process, these industries and the merchants within these industries are guilty of some kind of wrongdoing simply because they offer a legal product to America's consumers.
[00:52:32.516 --> 00:52:35.339]  And that's just part of the report that's up on InfoWars.com.
[00:52:37.065 --> 00:52:39.025]  That's what the Cashless Society is about.
[00:52:39.025 --> 00:52:47.107]  In the last decade, we've seen newspapers refuse gun shop ads, sporting goods store ads if they carry guns.
[00:52:47.107 --> 00:52:52.509]  We've seen banks refuse, Smith & Wesson, Remington, others, having bank accounts.
[00:52:52.509 --> 00:52:54.789]  Hitler!
[00:52:54.789 --> 00:53:05.112]  People compare Hitler to so many things, but I mean, Hitler really started in the mid-30s, 35, 36, denying certain political and ethnic groups the right to have bank accounts for businesses.
[00:53:06.414 --> 00:53:10.718]  And we've seen the IRS go after Christians, Libertarians, Conservative groups.
[00:53:10.718 --> 00:53:13.700]  This persecution is real.
[00:53:13.700 --> 00:53:33.817]  We've seen the New York Times admit, last year, that some lady, they use this as an example, but there were hundreds of thousands of cases in the last decade, would like deposit $1,400, $1,000 a day from her little Mexican cafe in New York, that had been around for 35 years,
[00:53:35.532 --> 00:53:37.994]  And she would pay taxes on the money.
[00:53:37.994 --> 00:53:46.742]  But they just said, because you made small deposits for decades, that's a fraud, we're taking your entire savings, less than $50,000.
[00:53:46.742 --> 00:53:52.847]  No judge, no jury, they just did it.
[00:53:52.847 --> 00:54:00.073]  And then it comes out that the major central banks, Wachovia, Wells Fargo, Bank of America, all of them,
[00:54:01.553 --> 00:54:07.798]  Are laundering hundreds of billions of dollars of drug money a year.
[00:54:07.798 --> 00:54:10.920]  But see, cops don't raid the big banks.
[00:54:10.920 --> 00:54:16.864]  Cops bust your dumb teenage daughter when she's stupid enough to be caught with ecstasy or marijuana.
[00:54:16.864 --> 00:54:18.666]  And I'm not defending those drugs.
[00:54:18.666 --> 00:54:23.789]  It's just, you don't bust the little dumb girl or the little dumb teenager boy.
[00:54:23.789 --> 00:54:27.332]  You need to bust the kingpins shipping this crap in here!
[00:54:27.332 --> 00:54:29.854]  And then you got this Pope
[00:54:34.534 --> 00:54:37.815]  Openly pushing world government carbon taxes.
[00:54:37.815 --> 00:54:45.258]  That's a death sentence on the third world and pushing class warfare and pushing abortion.
[00:54:45.258 --> 00:54:49.560]  An American conservative, but also mainline Catholics are really freaked out.
[00:54:49.560 --> 00:54:53.542]  And now they're telling Europe and I've got the headlines right here.
[00:54:53.542 --> 00:54:57.903]  You are going to allow anybody in we want whenever we want.
[00:54:57.903 --> 00:55:01.785]  And if it's a million a month or 10 million a month, you're going to house them.
[00:55:01.785 --> 00:55:03.966]  You're going to pay for them or you're going to hell.
[00:55:05.839 --> 00:55:11.461]  I didn't join some Jim Jones cult being a Christian, and this guy wearing some hat is not my guy.
[00:55:11.461 --> 00:55:16.422]  If he was opposing communism and abortion, I'd say he's a good guy.
[00:55:16.422 --> 00:55:21.623]  But his fruits are what come out of the end of a jackass.
[00:55:21.623 --> 00:55:24.024]  Now continuing, here's the New York Times.
[00:55:24.024 --> 00:55:28.826]  Wealthy Gulf nations are criticized for tepid response to Syrian refugee nations.
[00:55:32.150 --> 00:55:44.802]  Yemen, Saudi Arabia, the ones launching the attacks in North Africa and the Middle East and Syria and Libya, causing the flood of people they've run out as they kill non-radical Muslims and Christians.
[00:55:44.802 --> 00:55:47.384]  They then won't take a single refugee.
[00:55:47.384 --> 00:55:49.166]  I hear criticism of Israel all day.
[00:55:49.166 --> 00:55:53.550]  Fine, criticize Israel, but be honest!
[00:55:53.550 --> 00:55:55.612]  Does Egypt take them?
[00:55:55.612 --> 00:55:57.614]  Does Jordan take the Palestinians?
[00:55:57.614 --> 00:55:57.814]  No!
[00:56:00.362 --> 00:56:06.048]  And now we're supposed to take all these people and give them everything free!
[00:56:06.048 --> 00:56:12.175]  And then don't politically criticize their religion, though our religion can be criticized.
[00:56:12.175 --> 00:56:15.299]  Don't you see the setup?
[00:56:15.299 --> 00:56:17.061]  It's sick.
[00:56:17.061 --> 00:56:18.502]  Oh, but look, a little dead boy.
[00:56:18.502 --> 00:56:19.363]  Oh, a little dead boy.
[00:56:19.363 --> 00:56:20.685]  What about the hundreds of thousands you killed?
[00:56:22.008 --> 00:56:22.928]  Here's another one.
[00:56:22.928 --> 00:56:23.649]  Again, I mentioned this.
[00:56:23.649 --> 00:56:26.910]  Pope calls for Catholics to shelter Europe's migrants.
[00:56:26.910 --> 00:56:32.512]  Oh, it's our job just to shelter the giant ballooning Islamic population.
[00:56:32.512 --> 00:56:34.193]  Candy and cuddly toys.
[00:56:34.193 --> 00:56:36.693]  Migrants finish epic trek to Germany.
[00:56:36.693 --> 00:56:38.154]  Germany's advertising you come.
[00:56:38.154 --> 00:56:39.715]  Because Germany doesn't have kids.
[00:56:39.715 --> 00:56:41.095]  Germans have 1.3 kids.
[00:56:41.095 --> 00:56:42.796]  They're like, hey, we're the new caliphate.
[00:56:42.796 --> 00:56:44.076]  We're the new Islamic State.
[00:56:44.076 --> 00:56:44.656]  Come here.
[00:56:44.656 --> 00:56:45.477]  We're the communists.
[00:56:45.477 --> 00:56:46.017]  Come to Germany.
[00:56:48.100 --> 00:56:52.763]  You got German towns of 1,000 people now that have had, this week the New York Times reported, 2,000 new migrants.
[00:56:52.763 --> 00:56:55.525]  They're told, you house them in your house.
[00:56:55.525 --> 00:56:57.046]  But not at the Catholic Church.
[00:56:57.046 --> 00:56:59.648]  Not at the Vatican.
[00:56:59.648 --> 00:57:05.451]  Refugees streaming to Germany as Pope urges Catholics to put them up and encourage more, more, more, more.
[00:57:05.451 --> 00:57:06.492]  Just like our open borders.
[00:57:06.492 --> 00:57:08.513]  See, it's all happening unified worldwide.
[00:57:08.513 --> 00:57:09.314]  It's a globalist takeover.
[00:57:12.290 --> 00:57:14.471]  And it only intensifies.
[00:57:14.471 --> 00:57:21.653]  On the island of Lesbos, where 161,000 illegals are, the police clash with them as they demand everything free.
[00:57:21.653 --> 00:57:24.074]  Can you go to their country and demand something free?
[00:57:24.074 --> 00:57:24.794]  No!
[00:57:24.794 --> 00:57:26.015]  But does it matter?
[00:57:26.015 --> 00:57:29.696]  What we're seeing is economic warfare with refugees against the West.
[00:57:30.950 --> 00:57:37.015]  When the globalists could care less about these people and want to inject them with cancer viruses as soon as they can give them shots.
[00:57:37.015 --> 00:57:41.419]  They're just desperate political minions that'll follow whatever edict they're given.
[00:57:41.419 --> 00:57:43.081]  Second hour straight ahead.
[00:57:43.081 --> 00:57:45.483]  Did you tell your friends and family to tune in?
[00:57:45.483 --> 00:57:46.424]  Because this is history.
[00:57:48.237 --> 00:57:53.379]  Introducing Secret 12, the new InfoWarsLife vitamin B12 formulation.
[00:57:53.379 --> 00:57:59.502]  Secret 12 is a binary of nutrimedical grade bioavailable coenzyme forms of B12.
[00:57:59.502 --> 00:58:04.284]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:58:04.284 --> 00:58:07.846]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:58:07.846 --> 00:58:09.827]  No needles, no injections.
[00:58:09.827 --> 00:58:14.429]  Secure your revolutionary Secret 12 formula right now at InfoWarsLife.com or call 888-253-3139.
[00:58:18.150 --> 00:58:22.531]  Use since before the days of the Roman Empire to support the body's natural systems.
[00:58:22.531 --> 00:58:26.672]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:58:26.672 --> 00:58:31.613]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:58:31.613 --> 00:58:36.274]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:58:36.274 --> 00:58:39.754]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:58:39.754 --> 00:58:43.215]  Now available in our limited first run at Infowarslife.com.
[00:58:43.215 --> 00:58:45.035]  That's Infowarslife.com or call 888-253-3139.
[00:58:49.176 --> 00:58:55.302]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[00:58:55.302 --> 00:58:59.886]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:58:59.886 --> 00:59:07.593]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[00:59:07.833 --> 00:59:13.357]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:59:13.357 --> 00:59:19.301]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[00:59:19.301 --> 00:59:24.264]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:59:24.264 --> 00:59:28.187]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:59:28.187 --> 00:59:34.391]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[00:59:34.791 --> 00:59:39.953]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[00:59:39.953 --> 00:59:43.674]  Now available in our limited first run at Infowarslife.com.
[00:59:43.674 --> 00:59:45.115]  That's Infowarslife.com or call 888-253-3139.
[00:59:45.115 --> 00:59:47.096]  You're listening to the Alex Jones Show.
[01:00:02.105 --> 01:00:08.728]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.728 --> 01:00:13.690]  It's Alex Jones and the GCN Radio Network.
[01:00:13.690 --> 01:00:15.331]  Alright, let's do this.
[01:00:15.331 --> 01:00:21.774]  I haven't gotten to ISIS saying we'll use refugees crisis to infiltrate the West.
[01:00:21.774 --> 01:00:27.196]  I haven't gotten to Russia being told don't fight Al-Qaeda or we'll attack you by the State Department.
[01:00:27.196 --> 01:00:31.038]  I haven't gotten to the homeless crisis in New York City.
[01:00:32.355 --> 01:00:35.897]  I haven't gotten to the head of the Chinese Central Bank saying the meltdown has begun.
[01:00:35.897 --> 01:00:39.158]  Welcome to America, the degenerate Saudi king to visit.
[01:00:39.158 --> 01:00:40.619]  Harps being fired back up.
[01:00:40.619 --> 01:00:42.219]  Latest on Steve Jobs.
[01:00:42.219 --> 01:00:43.720]  I want to go to your phone calls right now.
[01:00:43.720 --> 01:00:47.422]  That's all coming up, but let's go to your phone calls right now.
[01:00:47.422 --> 01:00:49.242]  Let's talk to Robert.
[01:00:49.242 --> 01:00:52.424]  Let's talk to Robert in North Dakota.
[01:00:52.424 --> 01:00:54.425]  Robert, thank you so much for calling today.
[01:00:54.425 --> 01:00:57.706]  You're on the air worldwide.
[01:00:57.706 --> 01:00:58.346]  Hi, Alex.
[01:00:58.346 --> 01:00:59.487]  Thank you for taking my call.
[01:01:00.864 --> 01:01:14.475]  Do you remember a little while back you had a caller on your show that identified himself as Gabe and after his call you made reference to that that was kind of a very creepy call.
[01:01:14.475 --> 01:01:16.777]  I don't know if you recall that call.
[01:01:16.777 --> 01:01:17.978]  No, I don't recall.
[01:01:17.978 --> 01:01:21.040]  They all kind of blur, but what did he say?
[01:01:21.040 --> 01:01:24.763]  Well, he gave you a warning that
[01:01:25.814 --> 01:01:32.359]  It has begun and that it was in reference to the Blood Moons and so on and so forth.
[01:01:32.359 --> 01:01:39.504]  If you look back in the archives, it was a few months ago, but I remember I was listening to the show and you were pretty shook up after that call.
[01:01:39.504 --> 01:01:42.186]  In fact, it's kind of creepy for me too, but...
[01:01:43.561 --> 01:01:44.942]  I remember something vaguely.
[01:01:44.942 --> 01:01:47.042]  I mean, I'll be honest with you, but I don't remember exactly.
[01:01:47.042 --> 01:01:51.464]  All I know is the globalists are launching a full offensive at every level.
[01:01:51.464 --> 01:01:52.784]  They're coming out of the closet.
[01:01:52.784 --> 01:01:53.644]  It's on.
[01:01:53.644 --> 01:01:54.865]  They're telling us how to speak.
[01:01:54.865 --> 01:01:56.705]  Don't use the word mother and father.
[01:01:56.705 --> 01:01:58.126]  This is cult level.
[01:01:58.126 --> 01:01:59.906]  What do we do about it?
[01:01:59.906 --> 01:02:01.567]  You're hitting a nerve.
[01:02:01.567 --> 01:02:10.329]  Davis contacted me and he is not going to call your show anymore, but he wants me to relay some information to you.
[01:02:10.329 --> 01:02:11.910]  You are absolutely right.
[01:02:12.366 --> 01:02:17.669]  He says that this Pope is the false prophet.
[01:02:17.669 --> 01:02:35.478]  This global economic crash that is coming and will happen is tied into the coming microchip RFID mark, quote unquote, and the fourth and final blood moon, a warning from God, is due to arrive the 28th of this month.
[01:02:37.131 --> 01:02:49.598]  And he wanted me to relay this to you that you are absolutely 100% correct to keep getting the word out for people to prepare because they're not going to stop it.
[01:02:49.598 --> 01:02:51.780]  There's no way to stop this.
[01:02:51.780 --> 01:02:57.763]  It's already, the final stages have already been set in motion.
[01:02:57.763 --> 01:03:02.226]  But people can prepare for what's happening and that you would do... Alright.
[01:03:02.226 --> 01:03:04.347]  Well, listen, I appreciate your call and God bless you.
[01:03:04.347 --> 01:03:05.288]  Look, I want to say this.
[01:03:07.350 --> 01:03:12.914]  I don't know if we're going to have total, like, financial collapse individually in the next six months.
[01:03:12.914 --> 01:03:14.896]  All over the world, hell has broke loose.
[01:03:14.896 --> 01:03:16.917]  All over the world, countries are collapsing.
[01:03:16.917 --> 01:03:20.620]  All over the world, our leadership is funding the bad guys.
[01:03:20.620 --> 01:03:24.703]  All over the world, economic indicators are redlining.
[01:03:24.703 --> 01:03:25.863]  But we're like an island.
[01:03:25.863 --> 01:03:28.545]  All an island is, is a mountain in the ocean.
[01:03:28.545 --> 01:03:29.826]  We're an island above the water.
[01:03:29.826 --> 01:03:36.031]  We're watching other islands go under and people drown, but we're thinking, oh, we're safe, but the water's coming up.
[01:03:37.148 --> 01:03:50.596]  That's what I'm getting at, is that being politically involved, being aware that the globalists want to wreck civilization and bring in this giant population-culling event in their own words is key!
[01:03:50.596 --> 01:03:53.998]  These people have bad intentions, bad will for humanity.
[01:03:55.316 --> 01:04:00.939]  I don't know about the Shmeda and blood moons and astrology and I know the elite are into all that.
[01:04:00.939 --> 01:04:03.941]  I'm not criticizing people that are into it or not into it.
[01:04:03.941 --> 01:04:08.863]  All I study is politics, economics, the real world, history.
[01:04:08.863 --> 01:04:12.485]  And the elite are bad.
[01:04:12.485 --> 01:04:16.168]  They are moving towards evil goals.
[01:04:16.168 --> 01:04:24.192]  And I just look at people's children out in the street, at the grocery store, at the movies, at the mall, at church, and I just want to warn people.
[01:04:25.427 --> 01:04:37.905]  I mean I did a I mentioned this earlier never told the whole story I went out and did a little jog on the hiking bike trail and I got like a million views or whatever when I was sitting there talking to people on the Facebook
[01:04:39.928 --> 01:04:43.532]  Video feed just warning people about vaccines.
[01:04:43.532 --> 01:04:44.773]  People are like, man, that's crazy.
[01:04:44.773 --> 01:04:46.274]  He warns people.
[01:04:46.274 --> 01:04:47.695]  I mean, I know they're bad.
[01:04:47.695 --> 01:04:49.517]  Not the science is bad.
[01:04:49.517 --> 01:04:51.378]  It's that what they're putting in them is bad.
[01:04:51.378 --> 01:04:52.319]  So it's normal.
[01:04:52.319 --> 01:04:57.664]  It's not superhero to warn people if their house is on fire.
[01:04:57.664 --> 01:04:58.645]  We'll come back with your calls.
[01:04:59.212 --> 01:05:08.440]  There is a shocking video posted right now at InfoWars.com where a man dies in a jail lobby after an encounter with sheriff's deputies.
[01:05:08.440 --> 01:05:15.286]  Surveillance footage released by the Sheriff's Department last Friday shows 48-year-old Arlington resident Joseph Hutchison
[01:05:15.586 --> 01:05:20.008]  Frantically running inside the Dallas County Jail lobby on August 1st.
[01:05:20.008 --> 01:05:25.329]  Witnesses say Hutchison was not violent but he appeared distraught and was seeking help.
[01:05:25.329 --> 01:05:28.750]  He didn't have a weapon and he wasn't swinging at the officers.
[01:05:28.750 --> 01:05:33.972]  Witnesses say a deputy threw Hutchison to the ground and put a knee to his throat.
[01:05:33.972 --> 01:05:37.193]  He couldn't breathe and his face turned pale blue.
[01:05:37.193 --> 01:05:39.434]  After a few moments he lied motionless
[01:05:39.634 --> 01:05:39.894]  We're good.
[01:06:08.044 --> 01:06:26.420]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:06:26.420 --> 01:06:30.003]  Gosh, thank God I don't start some New World Order.
[01:06:30.003 --> 01:06:33.366]  Thank God that I spiritually am not part of their system.
[01:06:36.052 --> 01:06:38.974]  Thank God, my will is still strong.
[01:06:38.974 --> 01:06:46.079]  And I thank the Creator for that every millisecond.
[01:06:46.079 --> 01:06:52.824]  I realize a lot of people pray when they have dinner or pray when they launch some new venture, but I realize I'm constantly praying.
[01:06:52.824 --> 01:06:57.368]  When I consciously think about it, I'm always praying to God.
[01:07:07.190 --> 01:07:10.392]  And make no mistake, all of us are entering the real danger zone.
[01:07:10.392 --> 01:07:16.175]  Not for our physical bodies, but for our souls.
[01:07:16.175 --> 01:07:18.557]  You don't know if you're free until you're ready to put on the line.
[01:07:21.383 --> 01:07:27.409]  We're launching a major new operation to syndicate the daytime show and the nightly news on the television across the country.
[01:07:27.409 --> 01:07:28.450]  I've already launched the satellite.
[01:07:28.450 --> 01:07:29.952]  I've already signed the contracts.
[01:07:29.952 --> 01:07:30.493]  It's already on.
[01:07:30.493 --> 01:07:31.594]  It's already live.
[01:07:31.594 --> 01:07:34.016]  Coming up the 16th and 17th, we've got a big announcement.
[01:07:34.016 --> 01:07:39.782]  And I'm coming right back to your calls after this special alert, promo, and then the rest of the news.
[01:07:39.782 --> 01:07:40.163]  Here it is.
[01:07:43.899 --> 01:07:47.922]  Fatalitarianism comes in many different flavors throughout history.
[01:07:47.922 --> 01:07:49.963]  It can come from the right wing, the left wing.
[01:07:49.963 --> 01:07:52.145]  It can come from religious cults.
[01:07:52.145 --> 01:07:55.327]  It can come from a foreign invading army.
[01:07:55.327 --> 01:08:01.992]  And in the modern 21st century, it's basically coming from political correctness.
[01:08:01.992 --> 01:08:09.738]  Masquerading as the Renaissance, masquerading as liberalism, it seeks to shut down free speech.
[01:08:10.638 --> 01:08:22.910]  And the controlled globalist left has willing accomplices in the Republican Party and other conservative and libertarian organizations and groups throughout the world.
[01:08:22.910 --> 01:08:26.253]  The robber barons that control this planet are not free market.
[01:08:27.114 --> 01:08:35.948]  They are monopoly men who seek to have systems free of competition controlled by offshore combines above the law.
[01:08:35.948 --> 01:08:41.336]  The main mission of InfoWars.com and my 20 years on air.
[01:08:42.217 --> 01:08:51.547]  ...is to shatter the left-right paradigm and to get the public to become aware of what's really governing and controlling society on a mass scale.
[01:08:51.547 --> 01:08:56.652]  Bottom line, we have reached that legendary, colossal moment in history.
[01:08:57.433 --> 01:09:04.876]  Where the next thousand years of human development, our very destiny is being decided.
[01:09:04.876 --> 01:09:09.057]  That's why we're launching Operation Money Bomb 2015.
[01:09:09.057 --> 01:09:12.878]  The first money bomb I've done in three years.
[01:09:12.878 --> 01:09:17.960]  Because we only do these if they're critical to be able to build up our infrastructure.
[01:09:17.960 --> 01:09:20.961]  And with the money we raise from this, we will be able to
[01:09:21.081 --> 01:09:34.270]  Stay on the satellites and get on UHF, VHF and cable stations across North America reaching tens of millions of more people right at the time they're receptive and looking for answers.
[01:09:34.270 --> 01:09:39.574]  Starting September 16th through the 17th, we're going to broadcast live
[01:09:40.074 --> 01:09:41.355]  From 11 a.m.
[01:09:41.355 --> 01:09:43.937]  on the 16th through 2 p.m.
[01:09:43.937 --> 01:09:53.583]  on the 17th for 27 hours with an amazing lineup of guests, investigative journalists, documentary films, and more.
[01:09:53.583 --> 01:09:56.045]  We are seeking to raise a million dollars.
[01:09:56.605 --> 01:10:03.330]  So that we can reach 400 million extra people potentially in the next year.
[01:10:03.330 --> 01:10:11.577]  Because if you do the math and if you look at the numbers that we're already getting from affiliates and from the internet and from YouTube and from Facebook and all the platforms.
[01:10:12.077 --> 01:10:15.840]  We are reaching 20 million people a week.
[01:10:15.840 --> 01:10:27.570]  If you put all that together over a year, that's upwards of 200 million different individuals around the world is how the algorithm metrics come out.
[01:10:27.570 --> 01:10:29.432]  So I simply want to double that.
[01:10:30.052 --> 01:10:47.039]  In the next 12 months after launching this money bomb, just the satellites, the closed captioning under federal law and other regulations will cost us right at $39,000 a month, which if you add it together is over $400,000 a year alone.
[01:10:47.039 --> 01:10:54.782]  When you talk about cameras, crew, studio, million dollars is only a portion of what we need to do this.
[01:10:54.782 --> 01:10:57.343]  But it's an important part to ensure
[01:10:58.283 --> 01:11:09.410]  With the collapsing economy and the hard times we're going into, that we have the funds it takes to keep this beacon of truth exposing globalism and dehumanization operating.
[01:11:09.410 --> 01:11:23.819]  So join us this September 16th and 17th for what I believe will be the final money bomb that Infowars ever runs as we prepare to launch to the next and final level of global awakening.
[01:11:23.819 --> 01:11:26.001]  Because as Mahatma Gandhi famously said,
[01:11:26.721 --> 01:11:28.902]  First, they ignore you.
[01:11:28.902 --> 01:11:30.503]  Then, they laugh at you.
[01:11:30.503 --> 01:11:31.984]  Then, they attack you.
[01:11:31.984 --> 01:11:33.244]  Then, you win.
[01:11:33.244 --> 01:11:36.346]  We are in that process of being massively attacked.
[01:11:36.346 --> 01:11:41.188]  And in the face, we're charging up, getting ready, and going in.
[01:11:41.188 --> 01:11:45.931]  Go to Infowars.com forward slash money bomb for all the information.
[01:11:45.931 --> 01:11:53.755]  And in closing, I want to say this to all of you patriots out there across the globe that spread the word about our operation and that have supported us.
[01:11:53.755 --> 01:11:55.416]  History is happening right now.
[01:11:56.276 --> 01:11:59.901]  The destiny of humanity is being decided right now.
[01:11:59.901 --> 01:12:04.667]  An InfoWars which you the viewers and listeners and activists stand at the heart of.
[01:12:05.769 --> 01:12:08.992]  is the engine that has made all this possible.
[01:12:08.992 --> 01:12:11.394]  You're not standing behind the Infowar.
[01:12:11.394 --> 01:12:13.856]  You are standing at the center of it.
[01:12:13.856 --> 01:12:17.419]  You are right beside us in this fight.
[01:12:17.419 --> 01:12:30.369]  And I guarantee you, George Washington, Thomas Jefferson, and Sam Adams would be incredibly proud of what you've done in defense of human freedom, in defense of true liberty.
[01:12:30.369 --> 01:12:33.912]  So from myself, Alex Jones, and the entire Infowars crew,
[01:12:34.312 --> 01:12:35.713]  We salute you.
[01:12:35.713 --> 01:12:45.321]  Join us this September 16th and 17th for the 27-hour Money Bomb in defense of human liberty.
[01:12:45.321 --> 01:12:47.303]  Would there be a defense?
[01:12:47.303 --> 01:12:55.289]  Would people stand against the genetic takeover, the biometric enslavement grid, the world government?
[01:12:55.289 --> 01:12:58.512]  We're just here attempting to stop it.
[01:12:58.512 --> 01:13:01.915]  We're going to come back from break here in a few minutes and go directly to your phone calls.
[01:13:03.041 --> 01:13:12.044]  Jack and Dominique and Angel Visits, Doug, Corey, John, Alamo Joe, Mike, Sam, Amy, Nick.
[01:13:12.044 --> 01:13:14.805]  We will go to all of you.
[01:13:14.805 --> 01:13:21.067]  I'll give it to everybody today, starting at the beginning of the next segment.
[01:13:21.067 --> 01:13:28.849]  It makes me angry at the social engineers when they put the cancer viruses and the chemicals in the vaccines to brain damage and sterilize our people.
[01:13:31.021 --> 01:13:38.522]  When they show an image of a dead Syrian toddler washed up on the beach and say, open up Europe.
[01:13:38.522 --> 01:13:42.863]  Open up and accept the entire Middle East or you're racist.
[01:13:42.863 --> 01:13:47.224]  When our own governments destabilize and wreck those countries.
[01:13:47.224 --> 01:13:50.284]  It makes me physically sick.
[01:13:50.284 --> 01:13:51.685]  We have to get serious.
[01:13:51.685 --> 01:13:53.765]  We have to become aware of how the globalists operate.
[01:13:53.765 --> 01:13:56.506]  We have to get real.
[01:13:56.506 --> 01:13:58.526]  Or we will contribute to more innocent deaths.
[01:14:02.574 --> 01:14:03.995]  I mean, look at this headline.
[01:14:03.995 --> 01:14:11.760]  Bernie Sanders leads Hillary Clinton in New Hampshire by nine points.
[01:14:11.760 --> 01:14:15.122]  Senator would receive backing of 41% of Democrats.
[01:14:15.122 --> 01:14:16.783]  The Clinton's 32.
[01:14:16.783 --> 01:14:19.865]  The Guardian.
[01:14:19.865 --> 01:14:26.589]  Bernie Sanders is a bumbling, addled communist.
[01:14:26.589 --> 01:14:27.870]  The country is bankrupt.
[01:14:29.113 --> 01:14:31.054]  We can't offer the world more freebies.
[01:14:31.054 --> 01:14:37.318]  We've never had more people, a hundred million and one, not working, getting paid.
[01:14:38.362 --> 01:14:48.165]  Do you understand that I'm not against welfare because I'm a greedy bastard, I'm against it because it domesticates you, it destroys the economy.
[01:14:48.165 --> 01:14:57.248]  While they double our power prices, while they shut down our fuel, while they ship our jobs overseas, they want to give you freebies to make you controlled by them for their endgame.
[01:14:57.248 --> 01:15:02.730]  And once they get their endgame, it's all over, people!
[01:15:02.730 --> 01:15:07.632]  The stupid Vermont Senator is what the Democrats would vote for.
[01:15:09.338 --> 01:15:15.646]  I don't know if I trust Donald Trump or not.
[01:15:15.646 --> 01:15:17.789]  But what he says, historically, is true.
[01:15:17.789 --> 01:15:24.036]  So I'm forced to defend the ideas themselves.
[01:15:24.036 --> 01:15:26.139]  But is it time to evacuate this country?
[01:15:26.139 --> 01:15:27.160]  Is America done?
[01:15:28.100 --> 01:15:30.881]  When the majority of Democrats is as bad as Hillary is.
[01:15:30.881 --> 01:15:32.942]  She's a fascist, new old water parasite.
[01:15:32.942 --> 01:15:35.362]  But they run to Bernie Sanders.
[01:15:35.362 --> 01:15:38.023]  I guess it's a positive thing seeing their anti-establishment.
[01:15:38.023 --> 01:15:40.064]  We're seeing the rise of outsiders.
[01:15:40.064 --> 01:15:42.064]  But you're not running to an outsider.
[01:15:42.064 --> 01:15:45.806]  You're running to their controlled opposition.
[01:15:45.806 --> 01:15:49.647]  Socialism creates and communism creates nightmares untold.
[01:15:49.647 --> 01:15:54.168]  We'll be back in three minutes with your phone calls on this station.
[01:15:54.168 --> 01:15:54.849]  Stay with us.
[01:15:54.849 --> 01:15:56.069]  This is History Happening.
[01:15:58.328 --> 01:16:02.413]  Alex Jones here with a very important news alert for InfoWars listeners.
[01:16:02.413 --> 01:16:12.884]  We've confirmed through our major suppliers attempting to resupply Survival Shield X2 Deep Earth Crystals that elite corporations are buying up the supplies all over the world.
[01:16:12.884 --> 01:16:15.807]  So prices are going up and it's very hard to secure it.
[01:16:15.947 --> 01:16:24.755]  We have been able to secure a limited supply of the Pure Deep Earth Crystals and have now been able to produce more Survival Shield Nascent Iodine X2.
[01:16:24.755 --> 01:16:26.596]  This is the good halogen.
[01:16:26.596 --> 01:16:29.659]  This is the opposite of the bad halogens like fluoride.
[01:16:29.659 --> 01:16:41.690]  Now we at InfoWarsLife.com are bringing you the only source of clean, pure 99.99 Ultra Pure Deep Earth Crystals from more than 7,000 feet below the Earth's surface.
[01:16:41.690 --> 01:16:42.951]  Watch the informational videos
[01:16:43.531 --> 01:16:44.492]  We're good to go.
[01:16:58.047 --> 01:17:08.156]  Most of the InfoWars radio listening audience is aware of the high quality, affordable firearms available that are made right here in America at HDFirearms.com.
[01:17:08.156 --> 01:17:14.302]  One of the most exciting things about HDFirearms.com is the ability to upgrade your AR-15 platform today.
[01:17:14.302 --> 01:17:16.384]  They call it their low profile platform.
[01:17:16.624 --> 01:17:18.245]  PVX Muzzle Bricks.
[01:17:18.245 --> 01:17:21.226]  Proven to help control muzzle rise.
[01:17:21.226 --> 01:17:23.987]  6061 Billet Material with Type 3 Hard Coating.
[01:17:23.987 --> 01:17:27.608]  Bolt Carrier Group for .308 and .556 ARs.
[01:17:27.608 --> 01:17:29.169]  Custom Kydex Holsters.
