[00:00:00.209 --> 00:00:01.169]  ...and so on.
[01:57:01.192 --> 01:57:05.313]  It should be on the main page of Google and of YouTube, but it's not.
[01:57:05.313 --> 01:57:10.535]  It's also been number one on Google, but they pulled it out of the rankings, trying to keep people from seeing it.
[01:57:10.535 --> 01:57:15.397]  Because, you know, when it's on the main page, everybody goes in and can see it who's mainstream.
[01:57:15.397 --> 01:57:20.599]  A lot of people use Google and YouTube front page as kind of their TV guide.
[01:57:21.914 --> 01:57:23.856]  So let's drive this to number one.
[01:57:23.856 --> 01:57:31.102]  This is a focused, documented, huge dose of truth, a giant red pill to wake people up.
[01:57:32.463 --> 01:57:35.684]  Red Pill Politics, Red Pill News, whatever you want to call it.
[01:57:35.684 --> 01:57:40.205]  This is the Red Pill Revolution to get folks to unlock their minds.
[01:57:40.205 --> 01:57:46.126]  And the Obama Deception is there and is available right now at InfoWars.com.
[01:57:46.126 --> 01:57:58.329]  Please order the high quality original DVD with the extras to have in your library to support us, but also to have it in the highest quality, but also spread that free link out to everybody that's up on InfoWars.com or download it in high quality at PrisonPlanet.tv.
[01:57:58.329 --> 01:58:01.610]  A few other sponsors that have made this show possible.
[01:58:02.731 --> 01:58:09.173]  I want to tell folks about a Cola Blue, E-C-O-L-O-Blue.com or 1-800-691-6043.
[01:58:09.173 --> 01:58:10.654]  Atmospheric water generator for your home.
[01:58:10.654 --> 01:58:12.035]  Pays for itself in one year.
[01:58:12.035 --> 01:58:13.035]  You can buy your water from the store.
[01:58:13.035 --> 01:58:14.375]  Pure, clean water without the fluoride.
[01:58:14.375 --> 01:58:16.236]  Unlimited water from the humidity in the air.
[01:58:16.236 --> 01:58:17.457]  Know exactly what you're drinking.
[01:58:17.457 --> 01:58:19.297]  Machine produces up to 28 liters at 7.5 gallons a day.
[01:58:21.198 --> 01:58:25.481]  The generated water is passed through seven filters including reverse osmosis and carbon.
[01:58:25.481 --> 01:58:26.221]  Simple to use.
[01:58:26.221 --> 01:58:28.043]  No chemicals, pollutants or toxins.
[01:58:28.043 --> 01:58:29.023]  Neutral pH.
[01:58:29.023 --> 01:58:30.744]  Ecolablue.com.
[01:58:30.744 --> 01:58:35.488]  Ecolablue.com or give them a call.
[01:58:35.488 --> 01:58:36.488]  1-800-691-6043.
[01:58:36.488 --> 01:58:39.310]  It just grabs out of the air, runs it through seven filters.
[01:58:39.310 --> 01:58:40.211]  An amazing system.
[01:58:40.211 --> 01:58:41.832]  Ecolablue.com.
[01:58:41.832 --> 01:58:44.574]  And one other sponsor that I wanted to tell you
[01:58:45.254 --> 01:58:47.917]  About is Pepperspray.com.
[01:58:47.917 --> 01:58:51.541]  Pepperspray.com, just amazingly low prices.
[01:58:51.541 --> 01:58:53.964]  I was asking, how do you make money on this?
[01:58:53.964 --> 01:58:58.268]  They told me their markup's almost nothing, but it's a big bulk seller, one of the biggest online since 1994.
[01:59:00.506 --> 01:59:09.193]  They got pepper spray in all kinds and strengths, stun guns and tasers, animal repellents, home safety, personal safety, on the web since 94.
[01:59:09.193 --> 01:59:11.795]  Sell a wide variety of personal safety and security products.
[01:59:11.795 --> 01:59:16.059]  You're not only getting security, but the peace of mind you deserve as well.
[01:59:16.059 --> 01:59:17.320]  Free shipping on all orders over $99.
[01:59:18.621 --> 01:59:19.962]  We live in a crazy world, folks.
[01:59:19.962 --> 01:59:22.344]  There's a lot of restrictive laws in the Second Amendment.
[01:59:22.344 --> 01:59:25.326]  Having some pepper spray, having a taser, is the next best thing.
[01:59:25.326 --> 01:59:26.927]  And they got all sorts of them, folks.
[01:59:26.927 --> 01:59:30.109]  Just an amazing website, Pepperspray.com, or give them a call, 800-908-9988, 800-908-9988, Pepperspray.com.
[01:59:30.109 --> 01:59:32.931]  All right, we're going live at PrisonPlanet.tv, coming up, stay with us.
[01:59:51.138 --> 01:59:52.820]  Hello friends, this is Alex Jones.
[01:59:52.820 --> 01:59:57.567]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:59:57.567 --> 02:00:00.531]  We need to be independent, and food and water is the key.
[02:00:00.531 --> 02:00:03.575]  You'll never have to stand in a bread line if you have your own bread.
[02:00:03.575 --> 02:00:08.302]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[02:00:08.522 --> 02:00:09.642]  If you simply prepare.
[02:00:09.642 --> 02:00:12.884]  No one is going to take care of your family in the final equation but you.
[02:00:12.884 --> 02:00:19.906]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, Salmonella, genetic alteration, or Chinese imports.
[02:00:19.906 --> 02:00:23.167]  And they do it at almost half the cost of last year's grocery prices.
[02:00:23.167 --> 02:00:23.447]  Call 1-800-409-5633.
[02:00:25.828 --> 02:00:28.309]  Or on the web, go to efoodsdirect.com.
[02:00:28.309 --> 02:00:34.571]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[02:00:34.571 --> 02:00:41.713]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[02:00:41.713 --> 02:00:45.914]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[02:00:45.914 --> 02:00:47.054]  Take action today.
[02:00:47.054 --> 02:00:48.835]  The first step is getting storable food.
[02:00:53.843 --> 02:00:56.245]  Waging war on corruption.
[02:00:56.245 --> 02:01:05.631]  Alex Jones on the GCN Radio Network.
[02:01:05.631 --> 02:01:06.932]  Big Brother.
[02:01:06.932 --> 02:01:08.713]  Mainstream media.
[02:01:08.713 --> 02:01:10.474]  Government cover-ups.
[02:01:10.474 --> 02:01:12.035]  You want answers?
[02:01:12.035 --> 02:01:12.976]  Well, so does he.
[02:01:12.976 --> 02:01:17.799]  He's Alex Jones on the GCN Radio Network.
[02:01:17.799 --> 02:01:21.842]  And now, live from Austin, Texas, Alex Jones.
[02:01:23.311 --> 02:01:25.893]  We are back live, ladies and gentlemen.
[02:01:25.893 --> 02:01:27.594]  It is the third hour.
[02:01:27.594 --> 02:01:28.975]  George Humphrey in studio in 30 minutes.
[02:01:28.975 --> 02:01:31.677]  I want to do a big news blitz and your phone calls.
[02:01:31.677 --> 02:01:36.701]  Maureen, Chris, Robert, Red Flex, and many others coming up.
[02:01:36.701 --> 02:01:41.785]  I have four giant stacks of news that I have only scratched the surface on.
[02:01:41.785 --> 02:01:44.907]  Again, I want a news blitz on that first.
[02:01:44.907 --> 02:01:51.912]  When we come back from break, then we'll still be continually open phones throughout the broadcast day today.
[02:01:53.644 --> 02:02:18.756]  It's just, it's unbelievable to go from going off government documents and bills and Senate hearings that no one would look at, no one would believe us, no one would check out all the facts we had, to now they're just, yeah, we're going to have one-child policies everywhere, and yeah, we're going to have troops on the streets, and yeah, we're going to carbon tax everything you do, and yeah, we're going to get rid of the middle class, but it's for your own good, on and on and on and on, and yeah, we're going to force you to take vaccines, and yeah, we're building FEMA camps for your own good.
[02:02:18.756 --> 02:02:21.998]  I mean, it is all coming down on us, folks.
[02:02:23.567 --> 02:02:26.650]  Tyranny always has a leg up because people can't believe it's happening to them.
[02:02:26.650 --> 02:02:28.773]  But if you look at history, you learn it's the norm.
[02:02:28.773 --> 02:02:31.816]  But we got a good chance of beating this if we fight back.
[02:02:31.816 --> 02:02:33.097]  That's what history shows.
[02:02:33.097 --> 02:02:42.828]  So for all of you out there who are fighting back, all of you spreading the Obama deception, to all of you standing up for liberty and freedom, this song is for you, Steve Voss and the Renegades.
[02:02:55.337 --> 02:03:24.111]  From Nazareth he came With a ragtag band To bring a revolution Some would make him king Others couldn't stand the net The cross was a solution But he rose again Wise men follow him
[02:03:25.446 --> 02:03:28.387]  Heroes again.
[02:03:28.387 --> 02:03:31.108]  Wise men follow him.
[02:03:31.108 --> 02:03:33.929]  Thank God for the renegades.
[02:03:33.929 --> 02:03:37.671]  And the lives they lead.
[02:03:37.671 --> 02:03:42.793]  For the heroes brought their time.
[02:03:42.793 --> 02:03:49.175]  Without the renegades, Lord knows where we'd be.
[02:03:49.175 --> 02:03:53.837]  When it comes to heroes, renegades are mine.
[02:04:05.737 --> 02:04:31.529]  They railed against the crown Another red-tag band Declaring independence They laid their bodies down On a bloody wall And liberty for their descendants Thanks to the renegades
[02:04:33.315 --> 02:04:35.341]  We're free today.
[02:04:35.341 --> 02:04:39.214]  Thanks to the renegades.
[02:04:39.214 --> 02:04:40.398]  We're free today.
[02:05:00.603 --> 02:05:17.793]  When it comes to heroes, Renegades are fine.
[02:05:17.793 --> 02:05:30.000]  We're all the Renegades.
[02:05:31.750 --> 02:05:35.692]  I wonder most of heroes
[02:06:01.944 --> 02:06:02.364]  ...gardeners.
[02:06:02.364 --> 02:06:04.945]  This is an urgent GCN self-reliance update.
[02:06:04.945 --> 02:06:09.486]  GCN has just discovered a new bioactive superfood for garden plants, flowers, and herbs.
[02:06:09.486 --> 02:06:17.349]  It's called ProtoGrow, and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[02:06:17.694 --> 02:06:20.796]  Now here's the best part for our listeners who garden for self-reliance.
[02:06:20.796 --> 02:06:28.441]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[02:06:28.441 --> 02:06:34.004]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[02:06:34.244 --> 02:06:40.086]  Proto-Gro's full-spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[02:06:40.086 --> 02:06:43.627]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[02:06:43.627 --> 02:06:47.228]  If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[02:06:47.228 --> 02:06:52.289]  GCN listeners who want to grow Dirt Sheep superfoods should visit the Proto-Gro website at growlikecrazy.com.
[02:06:52.289 --> 02:06:55.210]  That's www.growlikecrazy.com or call 877-327-0365.
[02:06:55.210 --> 02:06:55.390]  That's 877-327-0365.
[02:07:01.949 --> 02:07:07.980]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[02:07:07.980 --> 02:07:13.250]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[02:07:13.869 --> 02:07:20.351]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[02:07:20.351 --> 02:07:22.332]  Well, Obama's already fudging.
[02:07:22.332 --> 02:07:24.792]  He's fudged since day one of this election.
[02:07:24.792 --> 02:07:37.976]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[02:07:37.976 --> 02:07:39.657]  It's not about left or right.
[02:07:39.657 --> 02:07:41.017]  It's about a one-world government.
[02:07:41.511 --> 02:07:48.417]  This film documents who Obama works for, the lies he is told, and his real agenda.
[02:07:48.417 --> 02:07:56.684]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[02:07:56.684 --> 02:07:58.266]  The Obama Deception.
[02:07:58.266 --> 02:07:59.447]  The people strike back.
[02:08:01.075 --> 02:08:03.116]  Gardeners, you have the seeds.
[02:08:03.116 --> 02:08:05.578]  Now let us help you create the ultimate garden.
[02:08:05.578 --> 02:08:09.080]  And whether or not you've got good soil, we've got just the solution.
[02:08:09.080 --> 02:08:13.583]  Add Grand Liquid Organic Fertilizer at liquidorganicfertilizer.com.
[02:08:13.583 --> 02:08:16.946]  Restore life to your soil or apply directly to the crop.
[02:08:16.946 --> 02:08:19.407]  Visit liquidorganicfertilizer.com.
[02:08:19.407 --> 02:08:27.092]  Polar feeding with our 4-3-3 or sulfate of potash with kelp is 20 times more efficient than applying amendments to the soil.
[02:08:27.092 --> 02:08:30.935]  Manhattan Fish, Blood Meal, Potash and North Atlantic Kelp.
[02:08:31.115 --> 02:08:31.635]  We're good to go.
[02:09:02.279 --> 02:09:04.964]  Ease the T-Rex of political talk.
[02:09:04.964 --> 02:09:07.769]  Alex Jones on the GCN Radio Network.
[02:09:15.740 --> 02:09:22.623]  We are live at PrisonPlanet.tv simulcasting with the syndicated radio transmission.
[02:09:22.623 --> 02:09:26.625]  Thank you so much for joining us today.
[02:09:26.625 --> 02:09:29.326]  George Humphrey is coming up in about 22 minutes in studio.
[02:09:29.326 --> 02:09:36.489]  We're also going to be taking your phone calls continually throughout the hour and 50 minutes that we have left to cover.
[02:09:36.489 --> 02:09:40.931]  Obama is giving his big New World Order globalist speech before the G20 right now.
[02:09:42.449 --> 02:09:50.137]  Openly setting up, according to the CNN, a new world order.
[02:09:50.137 --> 02:09:52.899]  Crisis leading to new world order is the headline.
[02:09:52.899 --> 02:09:55.902]  Here is the New York Times, a new world order.
[02:09:55.902 --> 02:09:58.004]  A world in need of a new order.
[02:09:58.004 --> 02:10:00.947]  Again, they create the crisis, they offer the solution.
[02:10:00.947 --> 02:10:04.450]  The Times of London reports that G20 summit Europeans demand
[02:10:05.171 --> 02:10:08.392]  Threatens to wreck a deal, so they're acting like there's a fight going on here.
[02:10:08.392 --> 02:10:18.715]  They demand that the global government have strong controls and global taxation systems so no one can escape high taxes, regulation, control of banking, businesses, everything.
[02:10:18.715 --> 02:10:32.320]  And we've got a clip I'm going to play later, and get Economist George Humphrey's take on it, where we have Tim Geithner, who doesn't pay us taxes, as the head of the Treasury, telling CBS News
[02:10:33.502 --> 02:10:37.547]  That, oh yeah, we're going to go after other corporations and companies, not just the head of GM.
[02:10:37.547 --> 02:10:39.890]  So, I mean, if that isn't tyranny, I don't know what it is.
[02:10:39.890 --> 02:10:43.294]  Where they say, you do what the government says or we'll order you to step down.
[02:10:43.294 --> 02:10:49.382]  No judge, no jury, no grand jury, no court order, just the president says so.
[02:10:49.382 --> 02:10:50.824]  That's dictatorship.
[02:10:52.079 --> 02:10:55.242]  So you let the foreign banks take over your industry, you hand everything over.
[02:10:55.242 --> 02:10:59.205]  This is what the IMF and World Bank do in third world countries they're in control of.
[02:10:59.205 --> 02:11:03.749]  And just a really huge story that came out yesterday, Washington Post.
[02:11:03.749 --> 02:11:06.832]  Senate legislation would federalize cyber security.
[02:11:06.832 --> 02:11:08.153]  Everything's being seized.
[02:11:08.153 --> 02:11:11.856]  Rules for private networks also proposed.
[02:11:11.856 --> 02:11:13.658]  Now, this bill's been out for a few weeks.
[02:11:13.658 --> 02:11:16.340]  This is why the head of cyber security resigned.
[02:11:17.406 --> 02:11:25.552]  Three weeks ago, this was the head of the program for the federal government, said this is a Pentagon takeover of all private industry involved with computers.
[02:11:25.552 --> 02:11:30.576]  With how computers are built, the back doors in them, how everything operates.
[02:11:30.576 --> 02:11:32.178]  He said a threat to democracy.
[02:11:32.178 --> 02:11:33.459]  You mean a threat to the free republic.
[02:11:34.219 --> 02:11:36.521]  Senate legislation would federalize cyber security.
[02:11:36.521 --> 02:11:48.370]  Now, this also brings in federal funds, just like they did with the 96 Telecommunications Act, to put NSA snooping floors, whole floors, in all major telecommunications companies so the internet all runs through them already.
[02:11:48.370 --> 02:11:54.555]  This is so they have back doors into all the hubs to shut the web down, and that's what the Pentagon admits they're drilling for.
[02:11:54.555 --> 02:11:57.317]  And what they're going to do is, say China did it,
[02:11:57.697 --> 02:12:01.320]  Shut down the web, then relaunch it as Internet 2 with total controls.
[02:12:01.320 --> 02:12:06.844]  And you watch, that's a big false flag terror attack, a financial and free speech attack, they're planning to launch.
[02:12:06.844 --> 02:12:08.405]  And I've done the analysis on that.
[02:12:08.405 --> 02:12:10.607]  Here's UPI, U.S.
[02:12:10.607 --> 02:12:16.131]  Cyber Security Headquarters, citing growing role of spy agencies for those watching on the Internet.
[02:12:16.131 --> 02:12:21.596]  I apologize, my printer ink was running out when I printed this one, so it's hard to read there on screen.
[02:12:22.316 --> 02:12:23.638]  In fact, guys, just pull this up.
[02:12:23.638 --> 02:12:24.880]  Just Google U.S.
[02:12:24.880 --> 02:12:28.666]  Cybersecurity Chief Quits, and we'll just punch that up from the web itself.
[02:12:28.666 --> 02:12:30.048]  That's United Press International.
[02:12:30.048 --> 02:12:32.351]  You'll get AP Reuters, too, when you do that.
[02:12:32.351 --> 02:12:33.854]  And we're trying to get him on the show, but...
[02:12:35.290 --> 02:12:39.453]  So people say, oh, we don't see any whistleblowers on this takeover, like you say, Alex.
[02:12:39.453 --> 02:12:40.374]  That's all we see.
[02:12:40.374 --> 02:12:47.619]  Fox Fallon refused to attack Iran and refused to let Dick Cheney have Navy SEALs attack their ships, acting like Iran did it.
[02:12:47.619 --> 02:12:49.880]  Source MSNBC, New Yorker Magazine.
[02:12:49.880 --> 02:12:55.144]  And Fox Fallon, the head of CENTCOM, quit.
[02:12:55.144 --> 02:12:56.805]  We'd already be in World War III, folks.
[02:12:56.805 --> 02:12:57.806]  It is the whistleblowers.
[02:12:58.697 --> 02:13:04.543]  We've had NSA whistleblowers come out and say they listen to Americans having phone sex and sit around the NSA laughing.
[02:13:04.543 --> 02:13:15.935]  And now over 70% of phone and internet security has been handed out to private security firms owned and run by people like felon Admiral Poindexter, the Total Information Awareness Network.
[02:13:15.935 --> 02:13:17.957]  So most of it's being done by private groups now.
[02:13:19.401 --> 02:13:22.082]  It says the official in charge of coordinating U.S.
[02:13:22.082 --> 02:13:31.107]  government cybersecurity operations has quit, saying expanding control of the National Security Agency over the nation's computer security poses threats to our democratic process.
[02:13:31.107 --> 02:13:38.951]  Even from a security standpoint, Rob Brekstrom, the head of the Department of Homeland Security's National Cybersecurity Center, told United Press International,
[02:13:39.651 --> 02:13:43.915]  It is unwise to hand over security of all government networks to a single organization.
[02:13:43.915 --> 02:13:45.436]  Well, yeah, it's dictatorship.
[02:13:45.436 --> 02:13:49.079]  But then it goes on with the new bill, and he talks about the private takeover.
[02:13:49.079 --> 02:13:50.581]  Total takeover of everything!
[02:13:51.530 --> 02:13:53.111]  They've announced.
[02:13:53.111 --> 02:13:59.154]  Senator Rockefeller, Jay Rockefeller, went on TV last week and said, if we'd be better off without the web, we've got to get rid of it.
[02:13:59.154 --> 02:14:06.979]  New York Times says, we've got to get rid of the old internet, have Internet 2, where you have a sub-domain on somebody else's government site or private industry.
[02:14:06.979 --> 02:14:09.660]  50 corporations get it, 50 universities and 50 agencies.
[02:14:09.660 --> 02:14:10.621]  That's Internet 2.
[02:14:10.621 --> 02:14:16.264]  And then you'll have 150 domains for each nation, you'll have a sub-account, and they'll have rules and say you can't post.
[02:14:17.998 --> 02:14:20.360]  This is openly, publicly stated.
[02:14:20.360 --> 02:14:24.023]  This is internet too, and they're going to end net neutrality, start taxing the web.
[02:14:24.023 --> 02:14:26.205]  It's already happening.
[02:14:26.205 --> 02:14:27.526]  This is it.
[02:14:27.526 --> 02:14:28.087]  Stated.
[02:14:28.087 --> 02:14:30.048]  And here's the bill.
[02:14:30.048 --> 02:14:32.170]  Senate legislation with federalized cyber security.
[02:14:32.170 --> 02:14:33.892]  It says over private industry.
[02:14:33.892 --> 02:14:35.373]  I mean, you can go read it for yourself.
[02:14:35.373 --> 02:14:37.114]  They just tell you how great it is, though.
[02:14:37.114 --> 02:14:38.436]  People say, well, why do you use mainstream news?
[02:14:38.436 --> 02:14:39.917]  Well, a lot of times they tell the truth.
[02:14:39.917 --> 02:14:41.178]  They just spin it.
[02:14:41.178 --> 02:14:42.699]  They're admitting what they're doing here.
[02:14:42.699 --> 02:14:44.581]  They just say it's a good idea to keep it safe from China.
[02:14:46.849 --> 02:14:53.591]  So, you understand folks, they're openly saying they want to shut down the web, how terrible it is, the newspapers are imploding, the establishment's losing all credibility.
[02:14:53.591 --> 02:14:56.011]  They have to shut it down.
[02:14:56.011 --> 02:15:05.394]  And believe me, when they set off a nuke or release smallpox or whatever these jackasses are planning, you better believe that they're going after the web first and they're going to claim that China or Russia did it.
[02:15:07.324 --> 02:15:19.167]  Meanwhile, clear evidence that the computer cables to Russia and the Middle East and places keep getting cut by deep submersibles and only Russia, England, France and a few other countries have.
[02:15:19.167 --> 02:15:22.548]  So they're busy trying to chop those as well.
[02:15:22.548 --> 02:15:25.448]  Here's the Geithner on ousting CEOs, reviving economy.
[02:15:25.448 --> 02:15:29.649]  We're going to get into that.
[02:15:29.649 --> 02:15:31.230]  Here is an important story.
[02:15:31.230 --> 02:15:32.770]  Deep solar minimum
[02:15:33.957 --> 02:15:39.898]  And it says the sunspot cycle 1995 to present.
[02:15:39.898 --> 02:15:46.299]  And if you go up to NASA's website, for some reason our one on Infowars.com, we posted this but it links to the wrong thing.
[02:15:46.299 --> 02:15:48.940]  It links to a Bilderberg story, so we need to get that fixed.
[02:15:48.940 --> 02:15:52.660]  Deep solar minimum.
[02:15:52.660 --> 02:15:57.141]  Now you can see the 12-year sun cycle.
[02:15:57.141 --> 02:16:01.022]  And the highest sun cycle on record
[02:16:03.100 --> 02:16:03.741]  Well, it's right here.
[02:16:03.741 --> 02:16:09.846]  You can click on it and look at the graph going back for over 60 years with scientific, very high-tech scientific instruments.
[02:16:09.846 --> 02:16:20.735]  Now, this is in 2000, 2001, the super peak, global warming throughout the solar system, and then over here,
[02:16:21.863 --> 02:16:26.367]  You can see where we currently are down there in the dip, 2009.
[02:16:26.367 --> 02:16:30.891]  And if you see that, there is almost no solar activity.
[02:16:30.891 --> 02:16:36.255]  Look at the last dip in the cycle in 1997.
[02:16:36.255 --> 02:16:39.838]  Look how much higher sun activity was at the last low point.
[02:16:39.838 --> 02:16:41.840]  I mean, this is a record low point.
[02:16:41.840 --> 02:16:45.063]  The sun is putting off no solar flares right now.
[02:16:45.063 --> 02:16:49.626]  They appear as sun spots to the naked eye, giant Coriolis ejections.
[02:16:50.527 --> 02:16:53.729]  Hundreds of times the size of the planet Earth that shoot out.
[02:16:53.729 --> 02:16:56.671]  They disrupt satellites, all sorts of things.
[02:16:56.671 --> 02:16:57.752]  There you have it.
[02:16:57.752 --> 02:16:59.914]  Now, when is it set to peak again?
[02:16:59.914 --> 02:17:00.734]  2012.
[02:17:00.734 --> 02:17:01.415]  Isn't that interesting?
[02:17:01.415 --> 02:17:01.795]  Everything's 2012.
[02:17:01.795 --> 02:17:04.617]  I don't put much stock in that, but a lot of folks do.
[02:17:04.617 --> 02:17:05.798]  Look at that.
[02:17:05.798 --> 02:17:17.026]  That's from NASA, and they've got a bunch of other graphs in here showing what's happening with that on that front.
[02:17:18.513 --> 02:17:25.518]  You know, I mentioned this yesterday, but it really needs to be covered again.
[02:17:25.518 --> 02:17:27.099]  And that is a Bloomberg article.
[02:17:27.099 --> 02:17:28.640]  It was everywhere else.
[02:17:28.640 --> 02:17:32.983]  Three days before, we posted a George Washington blog spot story.
[02:17:32.983 --> 02:17:35.905]  The guy does great research, great analysis.
[02:17:35.905 --> 02:17:46.953]  And he showed the Congressional Budget Office's own numbers that the current spending was approaching the size of the gross domestic product of the United States.
[02:17:46.953 --> 02:17:47.634]  Just the bailout.
[02:17:48.450 --> 02:17:55.315]  He gave a number of $11 trillion, and two days later it came out, oh no, the government admits it's worse than that.
[02:17:55.315 --> 02:18:02.941]  It's $12.8 trillion, $200 billion short of the entire GDP of the country.
[02:18:02.941 --> 02:18:10.047]  But I noticed the comments of the trolls under it were, that's a lie, he's making this up, it's not that big, and then now it's all admitted.
[02:18:11.243 --> 02:18:15.406]  Just, just denial, denial, denial, denial.
[02:18:15.406 --> 02:18:18.269]  I had that story here in my stack.
[02:18:18.269 --> 02:18:18.969]  Ah, it doesn't matter.
[02:18:18.969 --> 02:18:20.371]  I covered it yesterday.
[02:18:20.371 --> 02:18:24.274]  It's just there is so much, so much going on.
[02:18:24.274 --> 02:18:26.676]  We posted a story yesterday.
[02:18:30.737 --> 02:18:36.424]  John Yoo arrested, and we documented the fact that they had not arrested him, that that was a rumor.
[02:18:36.424 --> 02:18:48.360]  But what is not a rumor is that he has been indicted along with eleven others in Spain for war crimes and crimes against humanity for writing memos ordering the torture of children.
[02:18:49.764 --> 02:18:51.305]  So I thought I would let you know that.
[02:18:51.305 --> 02:19:02.349]  That's where that rumor came from, and we tried to whack-a-mole and try to stop that rumor, but of course we're not that influential, so who knows what'll happen with that.
[02:19:02.349 --> 02:19:07.871]  Another White House would-be official is in trouble for not paying back taxes.
[02:19:11.448 --> 02:19:25.341]  Sebalenis, if I'm pronouncing it right, held that he and Secretary nominee Kathleen Sebelius recently corrected three years of tax returns and paid more than $7,000 back after finding unintentional errors.
[02:19:25.341 --> 02:19:34.950]  Now see, that's nothing compared to all the other ones in the administration where it's hundreds of thousands of dollars, free limos, not paying taxes period like Geithner and saying he didn't have to and then fighting it.
[02:19:37.076 --> 02:19:40.458]  Another story here out of the Associated Press.
[02:19:40.458 --> 02:19:41.879]  Promises, promises.
[02:19:41.879 --> 02:19:44.741]  Obama's tax pledge goes up in smoke.
[02:19:44.741 --> 02:19:48.443]  And it talks about how he promised no new taxes of any type except if you made over $125,000 a year.
[02:19:48.443 --> 02:19:50.105]  Every time I say that I get emails.
[02:19:50.105 --> 02:19:50.805]  They go, it's $250,000!
[02:19:50.805 --> 02:19:51.145]  With a couple.
[02:19:51.145 --> 02:19:51.305]  That's $125,000.
[02:19:51.305 --> 02:19:52.006]  Anybody making that or more?
[02:20:00.615 --> 02:20:06.506]  And that's your lower middle class, folks, in the real scale of things, and that's who actually buys things from you locally, and that's your real economy.
[02:20:06.506 --> 02:20:09.852]  But don't worry, the elite will get rid of that for you and see how you're doing out there poor.
[02:20:10.911 --> 02:20:16.055]  One of President Barack Obama's campaign pledges on taxes went up in puffs of smoke Wednesday.
[02:20:16.055 --> 02:20:24.883]  The largest increase in tobacco taxes took effect, despite Obama's promise not to raise sales taxes on any kind of families earning under $250,000 or individuals under $200,000.
[02:20:24.883 --> 02:20:29.026]  This is the one tax that disproportionately affects the poor, and it goes on.
[02:20:29.026 --> 02:20:31.368]  People say, oh, that's okay, he broke his promise on cigarettes.
[02:20:31.368 --> 02:20:31.588]  No.
[02:20:32.429 --> 02:20:38.472]  They're raising all these different taxes, and they're getting rid of the loopholes, as they call them.
[02:20:38.472 --> 02:20:44.294]  It's really just tax write-offs for your house, or for your mortgage deduction, or for education.
[02:20:44.294 --> 02:20:47.035]  They're saying they're getting hundreds of deductions.
[02:20:47.035 --> 02:20:47.916]  And that's on everybody.
[02:20:47.916 --> 02:20:52.538]  Just massive, massive tax increases on everybody.
[02:20:52.538 --> 02:20:57.440]  And it all goes, not to the nation, but to foreign bankers.
[02:20:57.440 --> 02:20:58.520]  Your call, straight ahead.
[02:20:58.520 --> 02:21:00.041]  More news, straight ahead.
[02:21:01.334 --> 02:21:09.580]  This year, many of us will have to make the tough decision on what to cut back on and what's essential as we prepare for an uncertain future.
[02:21:09.580 --> 02:21:14.143]  In these troubled times, one of the most important things your family can have is good health.
[02:21:14.143 --> 02:21:18.826]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[02:21:18.826 --> 02:21:20.227]  It's a documented fact.
[02:21:20.247 --> 02:21:20.667]  We're good to go!
[02:21:39.168 --> 02:21:39.949]  Once a day.
[02:21:39.949 --> 02:21:44.231]  FPP is now available to you from FreshwaterOrganics.com.
[02:21:44.231 --> 02:21:47.373]  A 2 month supply starts at just $17.
[02:21:47.373 --> 02:21:51.115]  FPP is so affordable you can't afford to do without.
[02:21:51.115 --> 02:21:54.617]  Visit FreshwaterOrganics.com or call them toll free at 888-949-3570.
[02:21:54.617 --> 02:21:55.198]  That's 888-949-3570.
[02:22:01.434 --> 02:22:05.356]  When making important financial decisions, you should always know the facts.
[02:22:05.356 --> 02:22:09.158]  That's why Midas Resources is willing to pay you to read the facts.
[02:22:09.158 --> 02:22:18.343]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[02:22:18.343 --> 02:22:22.585]  Midas Resources offers a host of services and stands behind their products.
[02:22:22.585 --> 02:22:26.807]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
