[00:00.000 --> 00:13.160]  You're listening to the Alex Jones show
[58:14.920 --> 58:18.160]  of life, we need to be able to keep up the pace.
[58:18.160 --> 58:24.120]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[58:24.120 --> 58:25.960]  and get the sleep you need.
[58:25.960 --> 58:28.560]  Wake up refreshed and take on the day.
[58:28.560 --> 58:33.120]  Info Wars Life wants to bring you a sleep support formula that goes above and beyond
[58:33.120 --> 58:36.320]  other leading brands at an affordable price.
[58:36.320 --> 58:39.960]  Get the sleep you deserve and experience the power of knockout.
[58:39.960 --> 58:44.440]  Head on over to infowarslife.com and say goodbye to fatigue.
[58:44.440 --> 58:48.960]  This is infowarslife.com.
[58:48.960 --> 58:55.320]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging
[58:55.320 --> 59:01.720]  listeners to understand that when you buy t-shirts or water filtration systems or books
[59:01.720 --> 59:08.960]  or videos or other material from infowarstore.com, you are funding the revolution.
[59:08.960 --> 59:11.160]  I mean, I cannot say it any clearer.
[59:11.160 --> 59:15.040]  And so it is essential that you purchase the products at infowarstore.com.
[59:15.040 --> 59:18.520]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste
[59:18.520 --> 59:22.360]  with colloidal silver and with high-quality atomic iodine in it.
[59:22.360 --> 59:24.800]  You cannot beat that for children and adults.
[59:24.800 --> 59:28.920]  We've got the best mouthwash designed by Dr. Jones, that's my dad, with colloidal silver
[59:28.920 --> 59:34.640]  and iodine as well, infowarslife.com or AAA-253-3139.
[59:34.640 --> 59:39.040]  And your purchase of the products stands with us, stands with America, stands with Trump,
[59:39.040 --> 59:42.880]  stands against the globalists and their satanic pedophile armies, and that's who they are
[59:42.880 --> 01:00:12.840]  and they know we know who they are and they're coming back against us so we need your support.
[01:00:12.840 --> 01:00:33.880]  We are living in an incredible time in history, conservatives, libertarians, freedom lovers
[01:00:33.880 --> 01:00:38.360]  are awake in many ways, but I don't think people realize just how intense the battle
[01:00:38.360 --> 01:00:39.600]  is right now.
[01:00:39.600 --> 01:00:46.400]  If you just joined us, I broke this down earlier, about a month ago I had a high-level
[01:00:46.400 --> 01:00:51.640]  state department source and then a Pentagon source tell me within 24 hours, I got the
[01:00:51.640 --> 01:00:59.160]  contacts that, I tell the whole story, it'll burn the time I got to go to Zach, that Trump
[01:00:59.160 --> 01:01:03.800]  had already gotten Kim Jong-un to agree to denuclearization and to actually end it and
[01:01:03.800 --> 01:01:07.680]  to begin a deal to merge with the South in the next decade and to take a concessions
[01:01:07.680 --> 01:01:12.120]  deal and break away from China as an economic partner and use South Korea and then just
[01:01:12.120 --> 01:01:17.880]  explode their economy and I said all that on March 8th the day after and now it got
[01:01:17.880 --> 01:01:23.560]  announced weeks later and now it's all confirmed and then some of the other sources and very
[01:01:23.560 --> 01:01:30.600]  high-level including somebody in the top five placements of the CIA, director of, I'll leave
[01:01:30.600 --> 01:01:35.800]  it at that, first gave me messages and then the direct contact, why aren't you covering
[01:01:35.800 --> 01:01:40.880]  this, there's going to be massive false flags against liberal sides to blame conservatives,
[01:01:40.880 --> 01:01:45.120]  even EMPs to claim that North Korea did it to derail this and I'm just like, I'm not
[01:01:45.120 --> 01:01:49.000]  getting into classified stuff like this, this level of stuff unless the president calls
[01:01:49.000 --> 01:01:50.560]  me and that's been five, six months.
[01:01:50.560 --> 01:01:54.080]  So we're bringing Zach up right now for the next 30 months to go over this, he didn't
[01:01:54.080 --> 01:01:59.000]  know what I was talking about and having private conversations the last few weeks but Zach's
[01:01:59.000 --> 01:02:03.800]  been dovetailing the same info, I know who Zach is, he's been on the news, been on TV,
[01:02:03.800 --> 01:02:07.400]  he's in the government, been in army and special operations, intelligence guy now with another
[01:02:07.400 --> 01:02:12.160]  group that deals with spacecraft and things like that and he joins us to get into this
[01:02:12.160 --> 01:02:17.600]  but Zach joins Alex Jones on Twitter live over the phone to break down his Pentagon
[01:02:17.600 --> 01:02:22.080]  insider intelligence about the warbing plan against Syria and rushed by the neocons, burden
[01:02:22.080 --> 01:02:27.480]  the Trump administration and the other tweet, tune in as Intel insider Zach explains how
[01:02:27.480 --> 01:02:34.040]  deep state is planning hashtag false flies against themselves, switching narratives that
[01:02:34.040 --> 01:02:37.880]  ISIS along with info wars are targeting MSM, UN, Hollywood and the Fed and that's what
[01:02:37.880 --> 01:02:41.920]  the news core executive said two months ago, they said we're going to ban info wars, then
[01:02:41.920 --> 01:02:46.120]  WikiLeaks then ISIS, like we're the same, once they're all banned, no more internet
[01:02:46.120 --> 01:02:50.800]  freedom and that's what the Chinese president is called for in Reuters today.
[01:02:50.800 --> 01:02:55.160]  So here's the article, ISIS threatened the satanic CNN, Universal Studios, Hollywood,
[01:02:55.160 --> 01:03:00.320]  NASA, so what do you do the Federal Reserve and CNN, you help fund ISIS, you claim ISIS,
[01:03:00.320 --> 01:03:04.800]  your own group getting a task kicked is against you, you stage a tax against yourself, I'd
[01:03:04.800 --> 01:03:08.920]  say CNN will but deep state, making yourselves the victims, that's the only move they've
[01:03:08.920 --> 01:03:13.160]  got left Zach, so I finally went public with what I've been told because everything you're
[01:03:13.160 --> 01:03:16.040]  saying dovetails with it, we got two minutes to break, start.
[01:03:16.040 --> 01:03:20.400]  Absolutely, hello Alex, it's great to be back on and have the ability to connect with thoughts
[01:03:20.400 --> 01:03:23.800]  here, a lot of things occurring at this moment in history, so let's get right into it, we're
[01:03:23.800 --> 01:03:27.280]  going to be covering what you just spoke about, the deep state playing their jack of spades
[01:03:27.280 --> 01:03:31.600]  here right now by switching and recreating the ISIS narrative to be an association with
[01:03:31.600 --> 01:03:36.600]  the truth and liberty movement, no coincidence that this happens, pretty much in perfect
[01:03:36.600 --> 01:03:40.280]  timing with you kind of being critical of Trump and the Sandy Hook lawsuit, so yes they're
[01:03:40.280 --> 01:03:44.880]  going for broken out playing the jack of spades here, with the ISIS narrative, we're going
[01:03:44.880 --> 01:03:48.040]  to get into North Korea, which is really going on, they're all hell breaking loose in Saudi
[01:03:48.040 --> 01:03:52.600]  Arabia and Riyadh over the weekend, compromise Jeff Sessions and the big question of where
[01:03:52.600 --> 01:03:57.520]  are Huma and Hussein, to let us not lose sight of the Muslim brotherhood backed Huma Abedin
[01:03:57.520 --> 01:04:02.040]  and the Awan brothers, because all of a sudden they're not out of the news, Jeff Sessions
[01:04:02.040 --> 01:04:07.840]  and Rosenstein are okaying rage on Trump's lawyers, but no work on Huma, no work on Hussein,
[01:04:07.840 --> 01:04:11.440]  what about the pay to play, what about the fast and furious, what about all of it, we
[01:04:11.440 --> 01:04:15.040]  got a lot of critical issues going on right now, we'll kind of get into all of them, but
[01:04:15.040 --> 01:04:20.160]  yeah, biggest on the forefront for me, some behind the scenes workings on this is the
[01:04:20.160 --> 01:04:23.760]  deep, they're playing their jack of spades and changing the narrative to ISIS to associate
[01:04:23.760 --> 01:04:28.440]  it with you, your followers and the truth and liberty movement, this was not the word
[01:04:28.440 --> 01:04:33.200]  that important, but they see it as Americana, they can demonize it and den it, they think
[01:04:33.200 --> 01:04:37.880]  they can kill all opposition in the future, but Jeff Sessions compromised, staged terror
[01:04:37.880 --> 01:04:42.160]  attacks against the left coming to make them victims, it's all coming up with Zach, an
[01:04:42.160 --> 01:04:47.000]  incredible intel source so accurate, on the other side, I'm Alex Jones, news wars dot
[01:04:47.000 --> 01:04:52.440]  com, info wars dot com, the globalist pray every moment, you won't share those articles
[01:04:52.440 --> 01:04:57.200]  and videos, stay with us.
[01:04:57.200 --> 01:05:02.640]  Info wars life is launching its newest product, we're really really proud of it, it's a best
[01:05:02.640 --> 01:05:10.280]  source prebiotic fiber and it's got the very best concentrated fibers from berries and
[01:05:10.280 --> 01:05:15.080]  fruits and other compounds that have been known to be the very best for your body and
[01:05:15.080 --> 01:05:21.280]  for regularity and so much more, and it synergistically works with our 50 billion live active culture
[01:05:21.280 --> 01:05:25.920]  for a life as well as myco zx that targets the yeast, the mold and the funguses in the
[01:05:25.920 --> 01:05:31.160]  gut, so this is the time to take advantage of getting this new incredible fiber product
[01:05:31.160 --> 01:05:35.640]  and these other products, you get them separately or together and make really really big savings
[01:05:35.640 --> 01:05:39.200]  and get high quality products at the same time, and I'm doing this to introduce these
[01:05:39.200 --> 01:05:45.760]  products to you, bodies sold out in a month, strongest concentrated tumoric formula we
[01:05:45.760 --> 01:05:50.440]  can come up with, it's sold out for another month and a half, we sold it at 50% off till
[01:05:50.440 --> 01:05:55.360]  it's sold out and I think it's going to be the same way with this fiber, get yours today
[01:05:55.360 --> 01:06:13.200]  in Fuller's Life dot com.
[01:06:13.200 --> 01:06:25.320]  The answer to 1984 is 1776, you're listening to the Alex Jones show.
[01:06:25.320 --> 01:06:29.000]  Ladies and gentlemen, we're back live and we have Zach, one of our great intelligence
[01:06:29.000 --> 01:06:33.600]  sources, it's not like QAnon, I'm not bashing QAnon, I disagree with what some of what QAnon
[01:06:33.600 --> 01:06:40.200]  is saying, clearly they're in the intelligence community, sessions is compromised, the deep
[01:06:40.200 --> 01:06:45.480]  state is moving to take down Trump and Zach is known to me, Zach's real name again, he's
[01:06:45.480 --> 01:06:50.160]  been on national TV many times, been all over the news for over a decade, well known, decorated
[01:06:50.160 --> 01:06:55.640]  intelligence operative of Army Special Operations Command, now working with folks that deal
[01:06:55.640 --> 01:07:01.720]  with the spacecraft and the skunk works and all of that and there are multiple deep state
[01:07:01.720 --> 01:07:07.280]  operations, there's the original deep state of 1947, the CIA, then there's the whole
[01:07:07.280 --> 01:07:11.120]  NASA situation, so there's a lot of different organizations there, but you just laid it
[01:07:11.120 --> 01:07:14.240]  out in the last segment, but you've got the floor of this segment and the next, lay out
[01:07:14.240 --> 01:07:19.480]  Zach slowly, relax because I know I'm always interrupting, lay out the big false flags
[01:07:19.480 --> 01:07:24.760]  you say are coming against the left, how it ties into the intel I've been given and then
[01:07:24.760 --> 01:07:29.440]  just through what's happening in Saudi Arabia and this ongoing battle as the world politically
[01:07:29.440 --> 01:07:31.560]  realigns right now, Zach.
[01:07:31.560 --> 01:07:37.840]  Absolutely, I mean, first and foremost, the ISIS narrative changing is so critical, aligning
[01:07:37.840 --> 01:07:41.800]  with the truth and liberty movement is so problematic, I mean, you really have to give
[01:07:41.800 --> 01:07:47.160]  me a break here, it's CNN being targeted, not in full wars, it's the UN, not the Trump
[01:07:47.160 --> 01:07:52.600]  White House, this is absolutely ridiculous if anything, this attack in Syria kind of
[01:07:52.600 --> 01:07:57.160]  emboldened this and, you know, the liberty movement kind of picking its sides has forced
[01:07:57.160 --> 01:08:04.280]  this play here and this is very critical because what this will end up being are false flags
[01:08:04.280 --> 01:08:08.760]  being pulled off in this country against those listed individuals, UN, Hollywood, CNN, the
[01:08:08.760 --> 01:08:12.480]  Federal Reserve, NASA, among several other targets that have all famously been covered
[01:08:12.480 --> 01:08:17.360]  by the truth liberty movement and most notably you in full wars and our followers following
[01:08:17.360 --> 01:08:18.360]  it.
[01:08:18.360 --> 01:08:22.160]  But it's going to happen, this is all going to happen, this is happening at the same time
[01:08:22.160 --> 01:08:26.360]  when the attack on Syria occurred, when all hell is breaking loose in the last week in
[01:08:26.360 --> 01:08:31.760]  Saudi Arabia, full-out firefights, drones being shot down, missiles out of Yemen being
[01:08:31.760 --> 01:08:35.720]  shot down right outside of Riyadh, they're going for broke here, everything that's occurring
[01:08:35.720 --> 01:08:40.080]  with North Korea has to do with Iran, has to do with Saudi Arabia and Syria, so it's
[01:08:40.080 --> 01:08:44.440]  all interconnected here, or being so effective and like we've discussed last week, we are
[01:08:44.440 --> 01:08:48.560]  in the midst of the deep state's death hurdle, so we must be effective, we've got to kind
[01:08:48.560 --> 01:08:54.120]  of call this all out, but tying you and the Info Wars movement to ISIS essentially is
[01:08:54.120 --> 01:08:55.120]  the most ridiculous thing.
[01:08:55.120 --> 01:08:59.480]  No, no, yeah, you're talking to other people that are super informed, the audience is informed,
[01:08:59.480 --> 01:09:03.440]  but talk to me like I'm five years old, explain the articles that have come out, ISIS saying
[01:09:03.440 --> 01:09:06.320]  they're going to attack the new world lord of the globalists, they've openly worked
[01:09:06.320 --> 01:09:10.400]  for them, they always attacked innocent groups, this is a rebranding exactly what I was told
[01:09:10.400 --> 01:09:15.000]  by high-level sources, they're planning major attacks against leftist groups to then blame
[01:09:15.000 --> 01:09:20.560]  it on ISIS and claim ISIS has linked up with the nationalist and Trump and the liberty movement,
[01:09:20.560 --> 01:09:24.320]  I was told this a month ago, and now that I see this, I'm in total horror.
[01:09:24.320 --> 01:09:29.480]  Yeah, so now ISIS is being educated by Info Wars essentially, which will be the narrative,
[01:09:29.480 --> 01:09:34.440]  when a false flag does occur, which will be self-inflicted by themselves and then covered
[01:09:34.440 --> 01:09:40.120]  by themselves, it will be revealed that, hmm, well, these individuals have common enemies
[01:09:40.120 --> 01:09:43.840]  and the enemies are the stories that we've been uncovering for decades, that the truth
[01:09:43.840 --> 01:09:48.120]  of liberty movement is aware of and knows of, but now all of a sudden ISIS happens to be
[01:09:48.120 --> 01:09:52.240]  a libertarian-based, conspiratorial fighting group.
[01:09:52.240 --> 01:09:55.240]  This is absolutely unprecedented and it's no coincidence on a common basis.
[01:09:55.240 --> 01:10:01.080]  Well, we always ask, why did Big Vae bomb a federal building in the middle of the Midwest?
[01:10:01.080 --> 01:10:02.800]  We know it was staged, it came out was staged.
[01:10:02.800 --> 01:10:07.040]  He didn't bomb the UN, they finally get that narrative, bomb themselves, make themselves
[01:10:07.040 --> 01:10:08.040]  the victims.
[01:10:08.040 --> 01:10:09.040]  Absolutely.
[01:10:09.040 --> 01:10:15.520]  So, you know, the movement that dubbed Al Caeda is now in line with that somehow, it's
[01:10:15.520 --> 01:10:16.520]  absolutely ridiculous.
[01:10:16.520 --> 01:10:20.240]  Well, you heard what I said earlier that I hadn't told you or the listeners.
[01:10:20.240 --> 01:10:22.600]  What do you make of what I was told the last month?
[01:10:22.600 --> 01:10:26.800]  Yeah, it's actually, it's absolutely accurate and that's what we've been hinting at.
[01:10:26.800 --> 01:10:29.920]  We started this whole thing about eight months ago when I came on the show and we started
[01:10:29.920 --> 01:10:35.120]  discussing strategic patience, you see, we see how effective false flags work in Syria.
[01:10:35.120 --> 01:10:40.320]  So, just as we're supposedly pulling out of North Korea, expect the same thing.
[01:10:40.320 --> 01:10:44.880]  All the opposing sabotage from China and the D-State, not to mention the strategic patience
[01:10:44.880 --> 01:10:49.360]  personnel who have been benefiting for this for 65 years, okay?
[01:10:49.360 --> 01:10:53.760]  Our budget perpetually in South Korea is so big, I don't think people understand.
[01:10:53.760 --> 01:10:57.800]  I mean, we're talking hundreds and hundreds and hundreds of billions of dollars on record.
[01:10:57.800 --> 01:11:00.040]  That's not even black budget, it's just on record.
[01:11:00.040 --> 01:11:03.880]  Conservatively what, 30 billion a year over decades, it's gigantic.
[01:11:03.880 --> 01:11:08.680]  Hundreds of billions, hundreds of billions, hundreds of billions all the time and it's,
[01:11:08.680 --> 01:11:13.520]  you know, there's 25,000 there permanently and it's 65 years after the actual war, okay?
[01:11:13.520 --> 01:11:15.000]  We've been there for 65 years.
[01:11:15.000 --> 01:11:17.200]  So, the idea that, oh, we got this deal going on.
[01:11:17.200 --> 01:11:19.920]  We're talking trillions like the Iraq war, trillions.
[01:11:19.920 --> 01:11:24.880]  The idea that we're leaving and everything's okay, that's a good plan and I like that we've
[01:11:24.880 --> 01:11:28.480]  opposed strategic patience, but if you don't think that the military industrial complex
[01:11:28.480 --> 01:11:31.360]  and the D-State is going to pull everything off in their power.
[01:11:31.360 --> 01:11:33.160]  So, who are the bad guys and good guys?
[01:11:33.160 --> 01:11:36.880]  Because the word is, Mattis is trying to block this, is that true?
[01:11:36.880 --> 01:11:37.880]  Mattis is trying to block it.
[01:11:37.880 --> 01:11:41.760]  Mattis is obviously a patriot and a great individual, but this issue is so complex that
[01:11:41.760 --> 01:11:46.040]  there's a complete battle going on in the White House.
[01:11:46.040 --> 01:11:47.520]  Trump can't trust anybody.
[01:11:47.520 --> 01:11:48.520]  Trump can't trust what's going on.
[01:11:48.520 --> 01:11:50.520]  It's very difficult with the striking serious changes.
[01:11:50.520 --> 01:11:55.240]  Can you imagine being in his view, like I got mad at him a couple of weeks ago, an emotion.
[01:11:55.240 --> 01:11:56.240]  I get it now.
[01:11:56.240 --> 01:12:01.080]  I'm not walking back what I did, but God, do you imagine being Trump?
[01:12:01.080 --> 01:12:04.240]  It's unbelievable and the problem is he's fighting a military industrial complex, it's
[01:12:04.240 --> 01:12:08.720]  the root of all of it and the big issue here is that peace is not profitable, period.
[01:12:08.720 --> 01:12:09.720]  Peace is not profitable.
[01:12:09.720 --> 01:12:13.760]  This is a machine that's been churning out profit for 65 years on that peninsula and
[01:12:13.760 --> 01:12:16.040]  the idea that, oh, all of a sudden, peace will be great.
[01:12:16.040 --> 01:12:21.920]  I argue the attention span so gone via instant gratification, we're here, it's news one day
[01:12:21.920 --> 01:12:23.400]  and not news the next.
[01:12:23.400 --> 01:12:26.480]  We broke on the show about a month ago, maybe six weeks ago.
[01:12:26.480 --> 01:12:33.560]  I was on it and it was a New York Times article and it says, you and workers have found containers
[01:12:33.560 --> 01:12:38.840]  in Syria sent by North Korea that was the catalyst from the pull off the chemical weapons
[01:12:38.840 --> 01:12:39.840]  attack.
[01:12:39.840 --> 01:12:42.360]  This was in the news verified 100%.
[01:12:42.360 --> 01:12:44.880]  Now they're regurgitating the information all of a sudden.
[01:12:44.880 --> 01:12:48.400]  Now we're going to get a switch in the narrative from Kim Jong-un is doing these things and
[01:12:48.400 --> 01:12:55.280]  of course, our intelligence agencies and our real operators who are compromised are standing
[01:12:55.280 --> 01:13:00.160]  on behalf of North Korea, this Indus area, to get it down on paper, to get it documented
[01:13:00.160 --> 01:13:01.160]  because of the eventual push.
[01:13:01.160 --> 01:13:07.080]  Well, that's my next issue is ISIS use chemicals 52 times in Syria, even the New York Times
[01:13:07.080 --> 01:13:08.080]  it meant.
[01:13:08.080 --> 01:13:10.560]  Now the inspectors get there and say, no, we're getting shot at.
[01:13:10.560 --> 01:13:13.240]  The Syrians didn't block us, the Russians brought us in.
[01:13:13.240 --> 01:13:18.720]  That came out in zero hedge mainstream news from the main organization for the prohibition
[01:13:18.720 --> 01:13:23.440]  of chemical weapons, Germany's largest public TV top show in the country went interviewed
[01:13:23.440 --> 01:13:25.960]  all the witnesses and said, yeah, no one was hit with chemicals.
[01:13:25.960 --> 01:13:28.800]  They told the kids that they were going to give them candy if they would let them dump
[01:13:28.800 --> 01:13:30.360]  water on their heads.
[01:13:30.360 --> 01:13:34.320]  Everything we reported the last week is now coming out that the chemical attack was a
[01:13:34.320 --> 01:13:35.320]  staged event.
[01:13:35.320 --> 01:13:41.040]  So as of today, this broke about 13 hours ago, they got the quote on it.
[01:13:41.040 --> 01:13:45.440]  All the Warhawks, Lindsey Graham, John McCain, as a collector there, they issued a statement
[01:13:45.440 --> 01:13:49.920]  to the Treasury Secretary saying the decades long military partnership between Syria and
[01:13:49.920 --> 01:13:53.680]  North Korea has enabled President Assad to continue his reign of terror with chemical
[01:13:53.680 --> 01:13:57.920]  weapons that include the use of muster gas, blister agents, and nerve agents such as Sarin
[01:13:57.920 --> 01:14:02.160]  and VX, resulting in the deaths of thousands of his own people, including innocent children.
[01:14:02.160 --> 01:14:05.840]  This is the official talking point coming out of the Warhawks in our own.
[01:14:05.840 --> 01:14:10.320]  Because they don't want the deal to be made, well, the US is winning, the Russians are
[01:14:10.320 --> 01:14:11.320]  pulling out.
[01:14:11.320 --> 01:14:12.840]  We're winning in North Korea.
[01:14:12.840 --> 01:14:15.200]  The globalists don't want the problem to be fixed.
[01:14:15.200 --> 01:14:16.560]  They don't want us to have the peace deal.
[01:14:16.560 --> 01:14:21.640]  So what about my sources saying they're looking at major stage terror, just like they did
[01:14:21.640 --> 01:14:24.040]  in Syria, to blame Kim Jong-un.
[01:14:24.040 --> 01:14:28.320]  And this was so big, and the source is so big, I didn't cover it three weeks ago, I just
[01:14:28.320 --> 01:14:29.320]  couldn't do it.
[01:14:29.320 --> 01:14:33.440]  My gut says, put it out now, how does that tie into this with your information on how
[01:14:33.440 --> 01:14:38.200]  they may be planning something to derail peace breaking out like the fake chemical attack
[01:14:38.200 --> 01:14:39.200]  of two weeks ago?
[01:14:39.200 --> 01:14:44.240]  Absolutely, planned already in the works, in this upcoming week, in the next week, that
[01:14:44.240 --> 01:14:45.240]  would be very vigilant.
[01:14:45.240 --> 01:14:48.720]  A lot of planned operations obviously going on, chatter gets around, nothing happens in
[01:14:48.720 --> 01:14:49.720]  a vacuum.
[01:14:49.720 --> 01:14:52.640]  And it's already started in Saudi Arabia, which is really the epicenter of where this all
[01:14:52.640 --> 01:14:53.640]  stems from.
[01:14:53.640 --> 01:14:58.160]  So over the, over the last week in Saudi Arabia, just major, major internal fighting, full
[01:14:58.160 --> 01:15:03.440]  out firefights, shooting things down, you know, ballistic missiles being shot down with,
[01:15:03.440 --> 01:15:04.440]  you know, Patriot systems themselves.
[01:15:04.440 --> 01:15:08.720]  Yeah, we forget, it's hardly in the news that ICBMs get fired and get blown up all the
[01:15:08.720 --> 01:15:09.720]  time.
[01:15:09.720 --> 01:15:13.640]  So you're saying Trump has successfully gotten people that were reformers in, but now they've
[01:15:13.640 --> 01:15:14.640]  counter-striked?
[01:15:14.640 --> 01:15:15.640]  Yeah, absolutely.
[01:15:15.640 --> 01:15:20.680]  This is the fight right now, the next two weeks, we are in the midst of the, of the
[01:15:20.680 --> 01:15:21.680]  deep state death hurdle.
[01:15:21.680 --> 01:15:22.680]  This is it.
[01:15:22.680 --> 01:15:23.680]  I mean, we're in it right now.
[01:15:23.680 --> 01:15:24.680]  It starts in Saudi Arabia.
[01:15:24.680 --> 01:15:26.080]  We'll make it to our shores by next week.
[01:15:26.080 --> 01:15:31.840]  There's very, very credible intel out there of planned operations this week into the next.
[01:15:31.840 --> 01:15:32.840]  And it's going to be double pronged.
[01:15:32.840 --> 01:15:37.200]  Well, when we come back, what about the warnings of terror attacks on left to sides?
[01:15:37.200 --> 01:15:40.360]  I already knew this weeks ago, you called saying you wanted to come on about it.
[01:15:40.360 --> 01:15:41.800]  So you might be getting some of the same intel.
[01:15:41.800 --> 01:15:43.640]  I mean, they say it's imminent.
[01:15:43.640 --> 01:15:49.280]  We're talking federal buildings blown up, school shot up, nerve gas, EMPs, they say
[01:15:49.280 --> 01:15:50.280]  this is it.
[01:15:50.280 --> 01:15:51.600]  Let's talk about it once that comes back.
[01:15:51.600 --> 01:15:52.600]  This stuff's so bad, folks.
[01:15:52.600 --> 01:15:56.320]  I, I've been sitting on it three weeks because I just, I can't handle this.
[01:15:56.320 --> 01:16:00.160]  You know, if I tried to sit here and tell you about the 60 plus products, we haven't
[01:16:00.160 --> 01:16:01.880]  in fuller's life.
[01:16:01.880 --> 01:16:02.880]  It take hours.
[01:16:02.880 --> 01:16:07.960]  It goes the X plus now as a lower price, it's stronger, it's the other equation in probiotics.
[01:16:07.960 --> 01:16:12.320]  It knocks out the yeast, the mold, the candida, it's back in stock.
[01:16:12.320 --> 01:16:15.520]  The real red pill, it's been sold out for months.
[01:16:15.520 --> 01:16:16.720]  It's got the preglonone.
[01:16:16.720 --> 01:16:18.960]  That's the precursor to all the natural hormones in your body.
[01:16:18.960 --> 01:16:23.320]  Then it's got all the minerals and the vitamins, the amino acids so you can upload it.
[01:16:23.320 --> 01:16:28.360]  Our latest product that goes great with the super blue colloidal silver and iodine fortified
[01:16:28.360 --> 01:16:34.200]  toothpaste is super blue silver immune gargle that's a spray you do, you can also swallow
[01:16:34.200 --> 01:16:35.200]  it.
[01:16:35.200 --> 01:16:40.200]  It's a supplement with iodine, a super high quality silver and a lot more.
[01:16:40.200 --> 01:16:41.400]  Without you, we couldn't do it.
[01:16:41.400 --> 01:16:47.160]  So thank you all for remembering infowarstore.com and remembering that it's not just you that's
[01:16:47.160 --> 01:16:50.600]  already awake, but it's other people that aren't awake and it's so essential to spread
[01:16:50.600 --> 01:16:51.600]  the word.
[01:16:51.600 --> 01:16:56.160]  Again, thank you so much for being part of the second American Revolution.
[01:16:56.160 --> 01:17:02.280]  Use to take control of your chemistry with survival shield X2 and bio true selenium.
[01:17:02.280 --> 01:17:07.600]  This powerful combo is perfect for supporting your thyroid and health bio true selenium
[01:17:07.600 --> 01:17:13.880]  formula is far from synthetic and is made from a source of 100% organic mustard seed.
[01:17:13.880 --> 01:17:20.080]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra
[01:17:20.080 --> 01:17:22.600]  pure deep earth iodine crystals.
[01:17:22.600 --> 01:17:27.280]  This essential mineral is necessary in order to produce thyroid hormones which influence
[01:17:27.280 --> 01:17:32.840]  every cell tissue and organ in the body with inadequate thyroid hormones you may experience
[01:17:32.840 --> 01:17:38.040]  slow metabolism, lethargy, weight gain and overall brain fog.
[01:17:38.040 --> 01:17:43.080]  Survival shield X2 and bio true selenium work together to support the systems in your
[01:17:43.080 --> 01:17:44.080]  body.
[01:17:44.080 --> 01:17:49.480]  Take control of your chemistry today with this super combo discover the power of survival
[01:17:49.480 --> 01:17:56.720]  shield X2 and bio true selenium at infowarslife.com.
[01:17:56.720 --> 01:18:01.200]  Alex Jones here to tell you about how you can help spread liberty worldwide also enjoying
[01:18:01.200 --> 01:18:06.320]  what I have found to be the best tasting 100% organic coffee on the planet for more than
[01:18:06.320 --> 01:18:07.320]  a decade.
[01:18:07.320 --> 01:18:11.120]  My favorite coffee has come from the high mountains of southern Mexico where the Chiapas
[01:18:11.120 --> 01:18:14.240]  farmers grow their unique shade grown Arabica beans.
[01:18:14.240 --> 01:18:19.560]  We have now managed to secure these sought after beans in a highly customized blend.
[01:18:19.560 --> 01:18:25.960]  Discover and try a bag of the Patriot blend 100% organic coffee at infowarslife.com.
[01:18:25.960 --> 01:18:30.680]  This coffee gives you a long smooth pick me up for hours without the headaches and heart
[01:18:30.680 --> 01:18:35.000]  burn that so many other coffees give me personally hands down this is my favorite coffee and
[01:18:35.000 --> 01:18:40.280]  it's taken us years to secure connections directly to the Chiapas Mexican farmers dropped
[01:18:40.280 --> 01:18:44.440]  by the site today order a bag or two and I don't think you're going to be disappointed
[01:18:44.440 --> 01:18:49.120]  available in original or with our immune support infusion blend you will be supporting a free
[01:18:49.120 --> 01:18:54.800]  press all the while enjoying a truly great tasting cup of my favorite coffee available
[01:18:54.800 --> 01:19:00.720]  at infowarslife.com info wars life is bringing you a breakthrough in modern medicine introducing
[01:19:00.720 --> 01:19:06.480]  pollen block we have found an extraordinary new natural way to alleviate seasonal distress
[01:19:06.480 --> 01:19:12.840]  symptoms including promoting clear nasal and sinus passageways eye comfort and respiratory
[01:19:12.840 --> 01:19:19.280]  function in the 1960s researchers in France notice that people who ate certain quail eggs
[01:19:19.280 --> 01:19:24.760]  experience less seasonal immune and inflammatory responses they began studying this effect
[01:19:24.760 --> 01:19:30.360]  in published trials and decades later we now have the fruit of this research a fast acting
[01:19:30.360 --> 01:19:35.960]  chewable tablet that helps alleviate seasonal distress symptoms pollen block is natural and
[01:19:35.960 --> 01:19:41.080]  effective it is not an antihistamine in fact current research has found that it actually
[01:19:41.080 --> 01:19:46.800]  acts by blocking the activity of triptase which is an enzyme that amplifies immune and inflammatory
[01:19:46.800 --> 01:19:53.120]  responses in the body go outside and enjoy the air you breathe head to infowarslife.com
[01:19:53.120 --> 01:20:02.280]  and grab a pack of our pollen block chewable tablets you're listening to the Alex Jones
[01:20:02.280 --> 01:20:18.160]  show
[01:20:18.160 --> 01:20:25.320]  I have sworn upon the altar of God eternal hostility against every form of tyranny over
[01:20:25.320 --> 01:20:36.120]  the mind of man Thomas Jefferson all right we got nine minutes left with Zach a great
