[00:00:15.644 --> 00:00:16.994]  Alex Jones
[00:52:19.580 --> 00:52:32.005]  How do they bring in hundreds of thousands of jihadis here, potential jihadis, millions in Europe, let them attack us, and then say it's our fault, we gotta turn our guns in, or ban free speech and declare martial law in Europe, and arrest conservatives?
[00:52:32.005 --> 00:52:35.366]  How are they gonna get away with this, or will they, Joe?
[00:52:35.366 --> 00:52:36.966]  What's the master plan here?
[00:52:36.966 --> 00:52:38.187]  Because it's clear.
[00:52:38.187 --> 00:52:40.848]  We had five more attacks in Europe this weekend.
[00:52:41.668 --> 00:52:45.310]  I mean, this is a machete attack in London screaming Allah Akbar.
[00:52:45.310 --> 00:52:47.671]  How are they going to get this over on us?
[00:52:47.671 --> 00:52:49.072]  Joe Biggs?
[00:52:49.072 --> 00:52:50.373]  They are getting that over on us.
[00:52:50.373 --> 00:52:53.374]  They are getting away with it as we speak right now.
[00:52:53.374 --> 00:52:58.437]  This stuff continues to happen at alarming rates all across the world.
[00:52:58.437 --> 00:53:08.122]  And yet he tries to switch the focus from the real issues with the radical Islam and the fact that that is something that exists.
[00:53:08.122 --> 00:53:09.282]  He's too scared to mention it.
[00:53:09.282 --> 00:53:10.483]  He's too scared to talk about it.
[00:53:11.621 --> 00:53:14.363]  And he's too worried about his political correctness all the time.
[00:53:14.363 --> 00:53:18.945]  But sometimes, you're a president, you've got to... Well, it's beyond that, John, mind you.
[00:53:18.945 --> 00:53:24.828]  He wants the threat of the bill to be so big, when it busts out, then they'll take our liberties to counter it, as you concurred.
[00:53:24.828 --> 00:53:26.589]  There's something even bigger to this, but I agree with you.
[00:53:26.589 --> 00:53:28.670]  Let's talk to some of these folks.
[00:53:28.670 --> 00:53:30.011]  Alright, what's your name, sir?
[00:53:30.011 --> 00:53:31.312]  John Richard Noble.
[00:53:31.312 --> 00:53:33.573]  And who are you out here representing?
[00:53:33.573 --> 00:53:35.054]  The LGBT community.
[00:53:35.054 --> 00:53:36.254]  Gay community.
[00:53:36.254 --> 00:53:39.276]  And so, why are you out here?
[00:53:39.276 --> 00:53:41.077]  What are you wanting to talk about?
[00:53:41.929 --> 00:53:49.913]  Well, first of all, my heartfelt prayers and condolences go out to all the families and loved ones of the people that we've lost and those who are recovering in the hospital.
[00:53:49.913 --> 00:53:51.954]  Second, I want more intelligence gathering.
[00:53:51.954 --> 00:54:00.698]  I just saw a photograph of an ISIL member throwing two gay men off of a rooftop in Syria because they were gay, and I want intelligence gathering missions.
[00:54:00.698 --> 00:54:03.499]  I want these people identified, and I want missile strikes.
[00:54:03.499 --> 00:54:04.640]  I want these people dead.
[00:54:04.640 --> 00:54:06.421]  Well, you don't think you should be tolerant of that?
[00:54:06.881 --> 00:54:07.821]  Tolerant of murder?
[00:54:07.821 --> 00:54:08.181]  No.
[00:54:08.181 --> 00:54:12.943]  Well, I mean, there's a lot of people on the left that think that we should be tolerant of everything, that we should be tolerant of all stuff.
[00:54:12.943 --> 00:54:13.543]  I vote left.
[00:54:13.543 --> 00:54:14.303]  I am far left.
[00:54:14.303 --> 00:54:15.183]  I voted for Obama.
[00:54:15.183 --> 00:54:15.884]  I want tougher.
[00:54:15.884 --> 00:54:17.024]  I want to be tougher.
[00:54:17.024 --> 00:54:21.205]  I want people to go on missions and operations on the ground and take these people out.
[00:54:21.205 --> 00:54:22.605]  I can't deal with this crap anymore.
[00:54:22.605 --> 00:54:27.367]  Ask why Europe and the left are bringing all people in.
[00:54:27.367 --> 00:54:35.889]  I may be controversial on this issue, but I think if we have weapons of mass destruction and we're selling them and they're just rampant in our communities, that there need to be safe,
[00:54:36.545 --> 00:54:37.046]  We're good.
[00:54:47.179 --> 00:54:50.061]  Check them in and when you want to go do some recreation, check them out.
[00:54:50.061 --> 00:54:52.243]  Give your intention for using them and check them back in.
[00:54:52.243 --> 00:54:55.525]  See, Obama brought the jihadis in, so this guy wouldn't call for this.
[00:54:55.525 --> 00:54:57.987]  Who's the NRA, you know, who are we kidding here?
[00:54:57.987 --> 00:55:02.250]  So, so you think that we should have basically like a, an armory system set up?
[00:55:02.250 --> 00:55:02.510]  Absolutely.
[00:55:02.510 --> 00:55:02.970]  This guy has no clue.
[00:55:02.970 --> 00:55:07.734]  And everything, you know, people should have to check- Ask him why Obama brought the jihadis in.
[00:55:07.734 --> 00:55:09.235]  I think that we have a right to have handguns.
[00:55:09.235 --> 00:55:10.716]  Well, I mean, anything assaults a verb.
[00:55:10.716 --> 00:55:15.659]  So, I mean, I could take a, a minuscule rifle and then I can basically assault something.
[00:55:15.659 --> 00:55:16.540]  So is that assault rifle?
[00:55:17.510 --> 00:55:18.671]  Um, yes.
[00:55:18.671 --> 00:55:21.713]  Asking why the left is bringing in the jihadis.
[00:55:21.713 --> 00:55:23.714]  I'm saying check them into an armory.
[00:55:23.714 --> 00:55:25.955]  When you want to use them, you want to go deer hunting.
[00:55:25.955 --> 00:55:27.936]  See, if you want to know the calculus, this is it.
[00:55:27.936 --> 00:55:28.777]  This is the situation.
[00:55:28.777 --> 00:55:31.078]  What happens when a situation like this though happens?
[00:55:31.496 --> 00:55:35.500]  The whole point of the Second Amendment is to be able to protect yourself from crazy people.
[00:55:35.500 --> 00:55:40.106]  So when you take the guns from the law-abiding citizens, then the crazy people still get it.
[00:55:48.263 --> 00:55:51.729]  That's, isn't that an assault rifle?
[00:55:51.729 --> 00:55:52.991]  Let's not argue that stuff.
[00:55:52.991 --> 00:55:54.293]  Ask him this.
[00:55:54.293 --> 00:55:59.561]  Why does he think, why does he think governments are bringing these jihadis in so there's a crisis and they can take our guns?
[00:55:59.561 --> 00:56:02.386]  Why does he think that President Obama is allowing these people to come into the country?
[00:56:04.008 --> 00:56:08.633]  Well, I mean, you mean allowing people from around the world to come into our country?
[00:56:08.633 --> 00:56:19.624]  Yeah, the jihadis, the Syrian refugees, not saying they're the same, but you know that they're using that as an escape route to hide in there and exploit that and come over and do stuff, carry out attacks.
[00:56:19.624 --> 00:56:20.045]  Hide and where?
[00:56:20.605 --> 00:56:21.586]  Amongst the refugees?
[00:56:21.586 --> 00:56:22.687]  The refugees.
[00:56:22.687 --> 00:56:29.852]  That needs to be, yeah, I don't know why he... So you think we should just leave the borders open or you think we should have a stricter vetting process and find out?
[00:56:29.852 --> 00:56:32.414]  I definitely think we need a stricter vetting process.
[00:56:32.414 --> 00:56:33.375]  That's my personal opinion.
[00:56:33.375 --> 00:56:34.736]  There you go, so he's got half a brain.
[00:56:34.736 --> 00:56:38.158]  So, I may be liberal, but I'm conservative on a lot of issues.
[00:56:38.158 --> 00:56:38.899]  Well, tell him thanks.
[00:56:38.899 --> 00:56:40.400]  We'll talk to the next person, Joe.
[00:56:40.400 --> 00:56:43.122]  Hey, let me get, uh, who else wants to talk?
[00:56:44.693 --> 00:56:45.573]  A whole lot of folks.
[00:56:45.573 --> 00:56:46.814]  Go ahead, tell him he's got about a minute.
[00:56:46.814 --> 00:56:48.175]  What's your name?
[00:56:48.175 --> 00:56:48.535]  Brad.
[00:56:48.535 --> 00:56:50.436]  Brad, so are you a resident from here?
[00:56:50.436 --> 00:56:51.156]  I live in Redlands.
[00:56:51.156 --> 00:56:52.817]  Alright, what's his views?
[00:56:52.817 --> 00:56:53.457]  So what are your views on this?
[00:56:53.457 --> 00:56:54.818]  What do you think about this whole thing?
[00:56:54.818 --> 00:56:59.921]  Well, I think we've become extremely weak because of the NSA policies that are in place.
[00:56:59.921 --> 00:57:06.604]  We're surveilling way too many Americans right now, and we could be focusing those efforts on certain individuals instead.
[00:57:06.604 --> 00:57:08.985]  I think that's actually Rand Paul's view.
[00:57:08.985 --> 00:57:10.326]  I think he kind of hits the nail on the head.
[00:57:11.443 --> 00:57:18.648]  So instead of them spying on us in New York for investigating Islambird, they should actually be watching the people who are going to go out and carry out the attacks.
[00:57:18.648 --> 00:57:19.668]  Because we know they're watching.
[00:57:19.668 --> 00:57:20.068]  Yeah.
[00:57:20.068 --> 00:57:21.609]  How's something like that slipping through the cracks?
[00:57:21.609 --> 00:57:22.630]  That's what I want to know.
[00:57:22.630 --> 00:57:23.651]  Tell him to stay there.
[00:57:23.651 --> 00:57:24.631]  We're back in 70 seconds.
[00:57:24.631 --> 00:57:29.574]  I want to find out more from him why he thinks that they're letting it slip through.
[00:57:29.574 --> 00:57:30.275]  Because they know
[00:57:31.351 --> 00:57:36.573]  Their constituents are like the last guy that says, take the guns away because the Islamists are going to kill us.
[00:57:36.573 --> 00:57:37.734]  Well, who brought them in?
[00:57:37.734 --> 00:57:41.055]  This is an invasion force that invaded Syria.
[00:57:41.055 --> 00:57:42.476]  That's who the refugees are.
[00:57:42.476 --> 00:57:44.557]  They're the Wahhabi and Shihadi invaders!
[00:57:47.176 --> 00:57:50.377]  A clean, toxic-free body is the foundation of true health.
[00:57:50.377 --> 00:57:52.718]  Deep Cleanze by InfoWarsLife.com.
[00:57:52.718 --> 00:57:59.741]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:57:59.741 --> 00:58:05.043]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:58:05.043 --> 00:58:14.046]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:58:14.466 --> 00:58:23.353]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:58:23.353 --> 00:58:30.438]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike Georex herbal processing technique.
[00:58:30.438 --> 00:58:35.822]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best
[00:58:36.102 --> 00:58:41.331]  If you wish to find deep cleanse and experience the all-in-one cleansing visit InfoWarsLife.com.
[00:58:41.331 --> 00:58:43.675]  That's InfoWarsLife.com or call 888-253-3139.
[00:58:48.126 --> 00:59:02.710]  My fellow patriots, one of the things I'm most proud of is the fact that the InfoWars operation reaches more than 20 million people a week worldwide with the message of liberty, and none of it is funded by major global corporations or by taxpayers.
[00:59:02.710 --> 00:59:04.530]  It's funded by free will.
[00:59:04.530 --> 00:59:14.573]  Listeners and viewers like you who decide to visit InfoWarsStore.com and take advantage of some of the most high quality revolutionary products available today and now.
[00:59:15.013 --> 00:59:33.439]  Until December 18th, 2015, we are extending free shipping on top of huge discounts on cutting-edge nutraceuticals, high-quality non-GMO heirloom seeds, top-of-the-line water filtration systems that remove glyphosates, fluoride, more, and the list of specials goes on and on.
[00:59:33.439 --> 00:59:39.842]  Some discounts are as high as 50% at InfowarsStore.com on top of free shipping.
[00:59:39.842 --> 00:59:40.542]  Through December 18th,
[00:59:40.742 --> 00:59:42.184]  You're listening to the Alex Jones Show!
[01:00:00.876 --> 01:00:07.502]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:07.502 --> 01:00:10.485]  It's Alex Jones and the GCN Radio Network.
[01:00:24.423 --> 01:00:27.564]  Alright, we are talking to folks on the ground in San Bernardino, California.
[01:00:27.564 --> 01:00:28.584]  All we need is their first name.
[01:00:28.584 --> 01:00:30.065]  We're talking to Brad.
[01:00:30.065 --> 01:00:35.767]  He's out there in front of the health department where 14 were massacred in a jihad attack that the corporate media tried to cover up.
[01:00:35.767 --> 01:00:40.088]  And the big issue here is the corporate media wasn't able to cover it up anymore.
[01:00:40.088 --> 01:00:45.870]  Why do you think Donald Trump came on this show knowing he'd be demonized for coming on?
[01:00:45.870 --> 01:00:53.492]  Because his advisors said it's good to be demonized by enemy media, by collaborator media, by discredited whore media.
[01:00:54.981 --> 01:00:59.965]  I mean, I fall out of bed and do a YouTube video and it gets a million views.
[01:00:59.965 --> 01:01:02.568]  You political honchos can't get 5,000!
[01:01:02.568 --> 01:01:04.469]  The President can't do that anymore!
[01:01:04.469 --> 01:01:05.910]  You're a joke!
[01:01:05.910 --> 01:01:07.832]  People are sick of you!
[01:01:07.832 --> 01:01:09.373]  But you're arrogant though!
[01:01:09.373 --> 01:01:10.214]  You're haughty!
[01:01:10.214 --> 01:01:13.397]  You're full of yourselves!
[01:01:13.397 --> 01:01:15.959]  So I guess that goes pretty far.
[01:01:15.959 --> 01:01:20.823]  You're like a schizophrenic homeless person that thinks they're the Queen of England.
[01:01:20.823 --> 01:01:22.624]  But you're not.
[01:01:22.624 --> 01:01:23.105]  You're crazy.
[01:01:24.005 --> 01:01:24.685]  You're freaks.
[01:01:24.685 --> 01:01:25.666]  You're a joke.
[01:01:25.666 --> 01:01:31.528]  Joe Biggs, let's go back to the fellow you were talking to and get his take on where he sees all this going.
[01:01:31.528 --> 01:01:34.969]  Earlier you were saying that you feel like they're being allowed to slip through the cracks.
[01:01:34.969 --> 01:01:36.429]  What do you mean by that?
[01:01:36.429 --> 01:01:37.650]  I don't know if they're being allowed.
[01:01:37.650 --> 01:01:42.331]  It's just that we aren't using our resources efficiently by spying on every single American.
[01:01:42.331 --> 01:01:44.672]  I think that that's kind of a problem where
[01:01:45.501 --> 01:01:49.487]  You know, we could be using those resources, get a warrant, go after people that... Well, it's also unconstitutional.
[01:01:49.487 --> 01:01:53.272]  ...leave the country and come back and seem to take on a whole new kind of personality.
[01:01:53.272 --> 01:01:55.436]  And that's apparently what this guy did.
[01:01:55.436 --> 01:01:56.637]  And there was warning signs.
[01:01:56.637 --> 01:01:58.801]  Other people are now coming out saying that that was going on.
[01:01:59.738 --> 01:02:00.499]  We should have known about it.
[01:02:19.108 --> 01:02:22.590]  Just stand your buys and watch what's going on in this community and not do anything about it.
[01:02:22.590 --> 01:02:23.770]  That's why I'm here today.
[01:02:23.770 --> 01:02:28.073]  I'm here to say how I feel and tell people that it starts in your neighborhood.
[01:02:28.073 --> 01:02:31.555]  You got to go visit your family and your friends and your neighbors.
[01:02:31.555 --> 01:02:32.755]  Get to know who lives on your street.
[01:02:32.755 --> 01:02:33.756]  It all starts there.
[01:02:33.756 --> 01:02:41.179]  Not only for no one who lives in your neighborhood, but if it comes to it, those are the people that are going to be with you when this stuff happens.
[01:02:41.179 --> 01:02:43.881]  So get to know your friends, get to know your neighbors, make them friends.
[01:02:44.503 --> 01:02:47.446]  And, uh, and, uh, you know, what do you think about the Second Amendment?
[01:02:47.446 --> 01:02:49.368]  Second Amendment is 100%.
[01:02:49.368 --> 01:02:50.128]  Should not be touched.
[01:02:50.128 --> 01:02:51.009]  That's right.
[01:02:51.009 --> 01:02:54.332]  What would have happened if somebody had been armed in there with a concealed carry?
[01:02:54.332 --> 01:02:57.015]  What do you think would have happened if someone could have had a concealed carry in there?
[01:02:57.015 --> 01:02:59.617]  I think this whole thing would have been finished in about three seconds.
[01:02:59.617 --> 01:03:01.859]  Trot, you got his ass blown off.
[01:03:01.859 --> 01:03:03.341]  All right, I got two more guys over here.
[01:03:04.329 --> 01:03:05.730]  Come on in fellas!
[01:03:05.730 --> 01:03:06.571]  Alright, so tell me your name.
[01:03:06.571 --> 01:03:08.193]  What's up Joe, I'm Phil from Virginia.
[01:03:08.193 --> 01:03:08.773]  From Virginia.
[01:03:08.773 --> 01:03:10.035]  I'm Chuck from San Bernardino.
[01:03:10.035 --> 01:03:11.716]  Alright, so you have some points to make.
[01:03:11.716 --> 01:03:13.498]  Tell us what you think about this entire situation.
[01:03:13.498 --> 01:03:15.220]  Basically, I didn't know you guys were here.
[01:03:15.220 --> 01:03:20.385]  I was vacationing in LA with my family and just came up to talk to some people to see what the word on the street is.
[01:03:20.385 --> 01:03:28.913]  You've got mainstream liberal rags saying that prayer doesn't work, putting up Ted Cruz and different ones calling for prayer in this situation.
[01:03:29.915 --> 01:03:31.136]  It's nothing but.
[01:03:31.136 --> 01:03:32.336]  There's people here together.
[01:03:32.336 --> 01:03:33.236]  We all held hands.
[01:03:33.236 --> 01:03:34.297]  We said a prayer.
[01:03:34.297 --> 01:03:36.078]  What else can you do with something like this?
[01:03:36.078 --> 01:03:46.262]  But, uh, as my man here just mentioned, uh, the president, the liberal media, everyone else is going to use this as another opportunity to come for our Second Amendment rights.
[01:03:46.262 --> 01:03:48.603]  And, uh, I'm not, I'm not having that.
[01:03:48.603 --> 01:03:50.604]  So what do you think about everything that's going on?
[01:03:50.604 --> 01:03:54.786]  What you've seen, uh, in the mainstream media, how this entire event's been played out and portrayed?
[01:03:55.598 --> 01:04:00.160]  Well, actually, the mainstream media don't even watch it anymore because it's so phony and fake, you know?
[01:04:00.160 --> 01:04:01.760]  This situation here was tragic.
[01:04:01.760 --> 01:04:03.561]  I've been born and raised here all my life.
[01:04:03.561 --> 01:04:06.122]  Matter of fact, I was on the way to Vegas.
[01:04:06.122 --> 01:04:07.763]  I kept asking my brother, should I turn around?
[01:04:07.763 --> 01:04:09.063]  He said, no, it's taken care of.
[01:04:09.063 --> 01:04:11.664]  But my thing is, this is a strong city.
[01:04:11.664 --> 01:04:16.066]  I really don't want it to be associated with the whatever he's calling it later in the night.
[01:04:16.066 --> 01:04:17.486]  This is a great city.
[01:04:17.486 --> 01:04:23.569]  And it is sad that we're going to be the one to represent, you know, the taking away of the Second Amendment.
[01:04:23.569 --> 01:04:24.029]  And it's sad.
[01:04:24.938 --> 01:04:25.178]  Sick.
[01:04:25.178 --> 01:04:30.620]  So what do you think that he, is that what you think he's going to do tonight when he addresses the nation during prime time?
[01:04:30.620 --> 01:04:33.740]  Do you think he's going to try to take steps to- Hold on, stay there.
[01:04:33.740 --> 01:04:34.761]  That's an important question.
[01:04:34.761 --> 01:04:35.401]  70 seconds.
[01:04:35.401 --> 01:04:36.641]  I want to come back and talk to this fella.
[01:04:36.641 --> 01:04:37.361]  He's got it.
[01:04:37.361 --> 01:04:41.862]  They're going to use the 14 dead as a sacrifice to take our Second Amendment.
[01:04:41.862 --> 01:04:46.724]  It'll be known, according to the Attorney General, as the San Bernardino Address.
[01:04:46.724 --> 01:04:51.025]  And they're going to start implementing it on December 7th, Pearl Harbor Day.
[01:04:51.025 --> 01:04:51.685]  Think about that.
[01:04:52.844 --> 01:04:54.592]  You talk about a sneak attack.
[01:04:54.592 --> 01:04:56.279]  I mean, this is all symbolism, folks.
[01:04:58.240 --> 01:05:02.222]  Secret 12, InfoWarsLife's vitamin B12 formulation.
[01:05:02.222 --> 01:05:08.525]  Most forms of vitamin B12 are highly processed and synthetic and cannot be properly absorbed by the body.
[01:05:08.525 --> 01:05:15.809]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[01:05:15.809 --> 01:05:24.613]  InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive, perfected process.
[01:05:24.913 --> 01:05:31.077]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:05:31.077 --> 01:05:35.919]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:05:35.919 --> 01:05:39.521]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:05:39.521 --> 01:05:41.402]  No needles, no injections.
[01:05:41.402 --> 01:05:43.043]  Don't take my word for it.
[01:05:43.043 --> 01:05:44.244]  Try it for yourself.
[01:05:44.244 --> 01:05:45.825]  Discover the secret, Secret 12.
[01:05:46.545 --> 01:05:51.834]  Secure your Revolutionary Secret 12 Formula right now at Infowarslife.com or call 888-253-3139.
[01:05:51.834 --> 01:05:52.315]  Infowarslife Secret 12.
[01:06:10.288 --> 01:06:14.749]  Gentlemen, we have called you together to inform you that we are going to overthrow the United States government.
[01:06:14.749 --> 01:06:21.070]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:06:21.070 --> 01:06:27.232]  You still think that jet fuel brought down the World Trade Center?
[01:06:27.232 --> 01:06:29.632]  Does anybody else see a problem here?
[01:06:29.632 --> 01:06:35.433]  If the government has nothing to hide, why are they so afraid to answer a few questions?
[01:06:35.433 --> 01:06:37.414]  This story does not add up.
[01:06:44.568 --> 01:06:47.370]  Folks, this is a false flag.
[01:06:47.370 --> 01:06:48.391]  The borders were open.
[01:06:48.391 --> 01:06:49.611]  They let the jihadis in.
[01:06:49.611 --> 01:06:51.493]  They let them attack in Europe.
[01:06:51.493 --> 01:06:51.993]  You name it.
[01:06:51.993 --> 01:06:55.795]  They covered up the attacks at Fort Hood and said that wasn't a terror attack.
[01:06:55.795 --> 01:07:03.860]  The Marine Corps Recruiting Center, the Army Recruiting Center, the attacks on trains, the attacks, they cover it up.
[01:07:03.860 --> 01:07:13.787]  Now certainly the ruling establishment has a plan to come out of this and they think we're so politically correct, so dumb, that they are going to blame the Second Amendment
[01:07:15.447 --> 01:07:16.427]  For it, and restrict it.
[01:07:16.427 --> 01:07:22.649]  They've made the announcement, it's coming up in about two hours or less, seven o'clock central.
[01:07:22.649 --> 01:07:28.090]  And people are upset on the ground in San Bernardino, California, where Joe Biggs is out there talking to them.
[01:07:28.090 --> 01:07:34.671]  But remember, Saudi Arabia, 28 pages, congressional report, censored, but I've had the congressmen on.
[01:07:34.671 --> 01:07:41.453]  I've talked to the senators, it's come out that Saudi Arabia, the government, ran the attacks on 9-11 and our Pentagon stood down under orders.
[01:07:42.650 --> 01:07:43.631]  9-11 was an inside job.
[01:07:43.631 --> 01:07:50.156]  Doesn't mean it was run by the fire department or run by the Pentagon, but there were elements in our government that knew bare minimum.
[01:07:50.156 --> 01:07:58.122]  And obviously it goes further than that, but if I've got Al Capone on income tax fraud, then I'll get him on everything else later.
[01:07:58.122 --> 01:08:00.864]  The point is, we've been proven right.
[01:08:00.864 --> 01:08:02.346]  So what's the plan now?
[01:08:02.346 --> 01:08:06.609]  Folks, if they bring in millions of jihadi potentials, you're going to have thousands that attack.
[01:08:08.479 --> 01:08:13.481]  And then they're going to use that to take our freedoms, just like they attacked Iraq when Saudi Arabia attacked us.
[01:08:13.481 --> 01:08:18.502]  You're like, why would you attack the Second Amendment and gun owners and conservatives and libertarians and Christians and veterans?
[01:08:18.502 --> 01:08:24.164]  And why would you come out and blame conservatives and people after the attack Wednesday with no evidence?
[01:08:24.164 --> 01:08:28.966]  And why would you say stop praying for victims when prayer has been proven medically to help people?
[01:08:28.966 --> 01:08:31.947]  It's proven to bring people together.
[01:08:31.947 --> 01:08:33.947]  It's proven to heal.
[01:08:33.947 --> 01:08:36.088]  How about people do whatever they want when they're grieving dead?
[01:08:37.824 --> 01:08:46.728]  But no, you gotta shame at the Huffington Post and MSNBC and make fun of Christians and make fun of people coming up there to the health department to pray with the families.
[01:08:46.728 --> 01:08:48.889]  Well, we've talked to the families and they don't like you.
[01:08:48.889 --> 01:08:51.650]  We're going to be interviewing some of them this week.
[01:08:51.650 --> 01:08:58.312]  The families that have lost people and that have been demonized and told, maybe you deserved it because you were a Christian or you were a Jew.
[01:08:58.312 --> 01:09:01.654]  They're actually in the news saying people might have deserved it.
[01:09:04.045 --> 01:09:07.613]  I'm telling you, the left in this country has become mentally ill and sick.
[01:09:07.613 --> 01:09:11.964]  The right wing's got problems too, but my God, it scares me to see this.
[01:09:11.964 --> 01:09:13.046]  So I want to play a minute of...
[01:09:14.721 --> 01:09:22.609]  December 7th, 1941, a day that lives in infamy, from President Franklin Delano Roosevelt talking about the sneak attack on our country.
[01:09:22.609 --> 01:09:27.054]  Well, let me tell you, this is a false flag bringing in these jihadis, letting them attack.
[01:09:27.054 --> 01:09:32.519]  They knew, all three reporters we had in upstate New York, even though only one of them was announced to be there.
[01:09:32.519 --> 01:09:36.904]  They knew their cell phones and Homeland Security called them and asked, why are you at Islamoburg?
[01:09:39.209 --> 01:09:42.591]  And they told him, we're tracking everywhere you are and know what town you're in.
[01:09:42.591 --> 01:09:45.853]  I talked to the Homeland Security and the state police.
[01:09:45.853 --> 01:09:55.320]  He admitted they were surveilling my people as if they were going to do something wrong when they know full well in their own analysis and their own assessment and their own
[01:09:57.788 --> 01:09:59.509]  ...algorithm that that's pure baloney.
[01:09:59.509 --> 01:10:04.213]  And it's because we are good, and are exposing what's happening, they want us shut down.
[01:10:04.213 --> 01:10:06.695]  And that doesn't even mean Homeland Security itself is bad.
[01:10:06.695 --> 01:10:09.338]  But the people on top of it giving the orders are traitors.
[01:10:10.239 --> 01:10:11.600]  Mr. Vice President, Mr. Speaker,
[01:10:40.493 --> 01:11:00.500]  Members of the Senate, of the House of Representatives, yesterday, December 7th, 1941, a date which will live in infamy.
[01:11:00.500 --> 01:11:05.662]  The United States of America was suddenly and deliberately attacked
[01:11:07.009 --> 01:11:13.073]  By naval and air forces of the Empire of Japan.
[01:11:13.073 --> 01:11:34.926]  The United States was at peace with that nation, and at the solicitation of Japan, was still in conversation with its government and its Emperor, looking toward the maintenance of peace in the Pacific.
[01:11:34.926 --> 01:11:35.286]  Indeed,
[01:11:36.381 --> 01:12:02.551]  One hour after Japanese air squadrons had commenced bombing in the American island of Oahu, the Japanese ambassador to the United States and his colleague delivered to our Secretary of State a formal reply to a recent American message.
[01:12:03.240 --> 01:12:14.843]  Japan has therefore undertaken a surprise offensive extending throughout the Pacific area.
[01:12:14.843 --> 01:12:23.486]  The facts of yesterday and today speak for themselves.
[01:12:23.486 --> 01:12:30.488]  No matter how long it may take us to overcome this premeditated invasion,
[01:12:31.460 --> 01:12:37.483]  The American people in their righteous might will win through to absolute victory.
[01:12:37.483 --> 01:12:42.986]  The only thing we have to fear is fear of self.
[01:12:42.986 --> 01:12:55.352]  In our armed forces, with the unbounding determination of our people, we will gain the inevitable triumph.
[01:12:55.352 --> 01:12:56.873]  So help us God.
[01:12:56.873 --> 01:12:57.954]  Now let's stop right there.
[01:12:59.397 --> 01:13:01.238]  Here's the bottom line, the reason I parallel this.
[01:13:01.238 --> 01:13:08.821]  We're going to expose the globalist Islamic invasion plan, the plan to take our guns, the plan for medical tyranny, Obamacare, New World Order, all of it.
[01:13:08.821 --> 01:13:10.382]  It's over.
[01:13:10.382 --> 01:13:12.783]  No matter what you do, we now know you're the enemy.
[01:13:12.783 --> 01:13:17.445]  No matter what you pull, we know the RINO Republicans work for you as well.
[01:13:17.445 --> 01:13:19.206]  We're aware of you trying to take down Europe.
[01:13:19.206 --> 01:13:21.787]  We're aware of you trying to destabilize the Middle East and Africa.
[01:13:22.810 --> 01:13:29.191]  And all the horrible things they've done, taking out Libya, taking out all these other countries to destabilize these areas, these continents.
[01:13:29.191 --> 01:13:31.692]  This will come out, and I think they've jumped the shark.
[01:13:31.692 --> 01:13:36.093]  Go back to Joe Biggs and the man you were talking to who almost had tears in his eyes about how evil this is.
[01:13:36.093 --> 01:13:37.273]  He hit the nail on the head.
[01:13:37.273 --> 01:13:39.813]  They're going to use these dead, Joe.
[01:13:39.813 --> 01:13:42.654]  They're going to use these dead to try to sacrifice the Second Amendment.
[01:13:42.654 --> 01:13:44.414]  Please have him continue.
[01:13:44.414 --> 01:13:47.075]  Alright, so you were saying how they're going to use this event to
[01:13:48.971 --> 01:13:50.652]  Basically, just take away the Second Amendment.
[01:13:50.652 --> 01:13:53.354]  I mean, what other points do you want to make about this?
[01:13:53.354 --> 01:13:53.894]  Chuck?
[01:13:53.894 --> 01:13:56.135]  Well, about this city, we're a strong city.
[01:13:56.135 --> 01:13:57.936]  We are a loving city.
[01:13:57.936 --> 01:13:59.377]  Sure, we have problems here and there.
[01:13:59.377 --> 01:14:02.919]  We're going through a bankruptcy, and this is just another black eye to our city.
[01:14:02.919 --> 01:14:06.161]  It's sad what happened, but it's really terrible.
[01:14:06.161 --> 01:14:11.525]  You're going to put the name of your bill or whatever you're calling it, and you're going to add our name to it, our city.
[01:14:11.525 --> 01:14:12.805]  What is that all about?
[01:14:12.805 --> 01:14:16.968]  Were we the last stop to the plan, or what?
[01:14:17.884 --> 01:14:18.264]  I don't get it.
[01:14:18.264 --> 01:14:20.286]  It's terrible.
[01:14:20.286 --> 01:14:21.106]  Yeah.
