[00:00:20.808 --> 00:00:22.209]  Hello, ladies and gentlemen.
[00:46:48.961 --> 00:46:50.041]  Excuse me?
[00:46:50.041 --> 00:46:51.941]  Didn't you hear the news?
[00:46:51.941 --> 00:46:54.982]  Mercury is now a nutritional mineral.
[00:46:54.982 --> 00:46:55.902]  Yeah, right.
[00:46:55.902 --> 00:46:59.643]  And the other thing I wanted to talk about right quick was this
[00:47:00.526 --> 00:47:04.130]  Thing that's going on with mainstream Christianity.
[00:47:04.130 --> 00:47:06.973]  I was watching Oral Roberts the other day on TV.
[00:47:06.973 --> 00:47:10.096]  Vote for George Bush or the devil will get you.
[00:47:10.096 --> 00:47:20.647]  Not only that, but Oral Roberts was on TV talking about how there's about to be something, a big sign, everybody's going to hear it, everybody's going to know about it in the sky.
[00:47:21.300 --> 00:47:23.542]  And it's from God, supposedly.
[00:47:23.542 --> 00:47:27.366]  And Revelations actually says the Antichrist is going to do that.
[00:47:27.366 --> 00:47:29.248]  Right, right.
[00:47:29.248 --> 00:47:30.570]  See, that's going to be the whole system.
[00:47:32.961 --> 00:47:35.042]  The Patriot Act is of Jesus.
[00:47:35.042 --> 00:47:37.123]  George Bush is of Jesus.
[00:47:37.123 --> 00:47:39.424]  The New World Order is Jesus.
[00:47:39.424 --> 00:47:43.546]  Soon, Jesus will be in Jerusalem, physically ruling our lives.
[00:47:43.546 --> 00:47:46.848]  The world government, you will have Jesus' mark in your hand.
[00:47:46.848 --> 00:47:51.230]  They're actually saying this now, and I'm going, my God, is all this real?
[00:47:51.230 --> 00:47:56.093]  I mean, these people are going to be openly worshipping the Antichrist, saying it's Jesus?
[00:47:56.093 --> 00:47:58.094]  I mean, it's incredible.
[00:48:00.173 --> 00:48:01.373]  And you can look at this two ways.
[00:48:01.373 --> 00:48:06.454]  I believe in God, I believe in, you know, I'm a Christian, but not this establishment Christian.
[00:48:06.454 --> 00:48:07.315]  And you can look at it two ways.
[00:48:07.315 --> 00:48:13.036]  Either the globalists took the plan of the Antichrist out of Revelation and said, this is a good plan, or it's all really real.
[00:48:13.036 --> 00:48:15.076]  Because they're doing it.
[00:48:15.076 --> 00:48:16.996]  Go ahead, caller.
[00:48:16.996 --> 00:48:17.837]  Hello, Alex.
[00:48:17.837 --> 00:48:18.877]  Yes.
[00:48:18.877 --> 00:48:25.578]  Hey, I kind of agree with that one guy that called in earlier about wanting to help you guys out.
[00:48:25.578 --> 00:48:27.639]  I understand the space problem.
[00:48:27.639 --> 00:48:28.859]  That wasn't what I was calling, though.
[00:48:30.393 --> 00:48:36.997]  Wanted to kind of touch base with a little bit of something that was a little bit more personal to me.
[00:48:36.997 --> 00:48:38.978]  I was in the military for seven years.
[00:48:38.978 --> 00:48:42.180]  I was in the Army and the Infantry.
[00:48:42.180 --> 00:48:47.343]  And traveled around quite a bit.
[00:48:47.343 --> 00:48:54.647]  Was actually, believe it or not, a little short stint training with Delta Force.
[00:48:54.647 --> 00:48:59.090]  Been down to Panama, Honduras, all over Europe and
[00:49:00.180 --> 00:49:03.742]  Every place I went before I went there got a shot.
[00:49:03.742 --> 00:49:06.084]  Had some kind of immunization.
[00:49:06.084 --> 00:49:11.988]  And I was wondering if you know anything about the immunizations that they give to the soldiers.
[00:49:12.682 --> 00:49:19.043]  They're usually against yellow fever, or black mambo fever, or whatever it is you're facing.
[00:49:19.043 --> 00:49:23.164]  They also do a lot of biological testing on the troops, that's admitted.
[00:49:23.164 --> 00:49:24.004]  I mean, they've had U.S.
[00:49:24.004 --> 00:49:28.305]  and British troops walk into a chamber, and they nerve gas them, and kill them, and dissect their body.
[00:49:28.305 --> 00:49:29.706]  I mean, they've got doctors that'll do that.
[00:49:29.706 --> 00:49:39.168]  A young man, you know, gets in his uniform, he's told, we're gonna test something to cure the common cold on you, and they go in and kill him.
[00:49:39.168 --> 00:49:41.288]  So I don't know specifically what you were given.
[00:49:41.912 --> 00:49:55.457]  Well, the reason I'm asking is because I've noticed a drop in, um, maybe not so much a drop, but a change in me.
[00:49:55.457 --> 00:49:57.878]  Before I went into the service, I was just a kid.
[00:49:57.878 --> 00:50:00.879]  I was 19 years old when I went in.
[00:50:00.879 --> 00:50:09.723]  And, uh, let's see, when I was tested originally, you know, you take the ASVAB test and you take a couple other tests.
[00:50:11.255 --> 00:50:17.937]  They also gave me an IQ test, which I tested at 148.
[00:50:17.937 --> 00:50:19.697]  And now you're not scoring as high?
[00:50:19.697 --> 00:50:20.777]  Excuse me?
[00:50:20.777 --> 00:50:22.678]  You're not scoring as high now?
[00:50:22.678 --> 00:50:26.599]  The highest I've scored since then is 132, since I've been out.
[00:50:26.599 --> 00:50:27.759]  How old are you?
[00:50:27.759 --> 00:50:29.179]  I'm 40.
[00:50:29.179 --> 00:50:33.000]  That's probably after the age of 30 you begin losing a lot of brain cells every day.
[00:50:33.000 --> 00:50:35.721]  Well, this was right after I got tested, pretty much.
[00:50:35.721 --> 00:50:37.381]  That was probably the mercury preservatives.
[00:50:38.447 --> 00:50:38.887]  Okay.
[00:50:38.887 --> 00:50:49.890]  I was just wondering if other troops were, I guess, showing signs of any kind of changes in their personalities, or their intelligence, or... Yeah!
[00:50:49.890 --> 00:50:52.151]  Yeah, they're doing all kinds of weird stuff.
[00:50:52.151 --> 00:50:58.813]  They're experimenting with all types of new drugs on the troops, and I just don't have enough particular information on your case.
[00:50:58.813 --> 00:51:02.194]  I just got fed up with everything that I saw.
[00:51:02.194 --> 00:51:07.075]  I was an E6 when I got out, Staff Sergeant, and
[00:51:08.405 --> 00:51:15.712]  I got a chance to see a couple of things that I just really didn't want to see or be a part of and got really set up with torture.
[00:51:15.712 --> 00:51:17.854]  Not just the military, but the government.
[00:51:17.854 --> 00:51:19.855]  Was it torture?
[00:51:19.855 --> 00:51:20.556]  Drug dealing?
[00:51:20.556 --> 00:51:23.398]  What was it?
[00:51:23.398 --> 00:51:27.162]  Well, I'm actually kind of afraid to talk about it, but it was torture.
[00:51:31.331 --> 00:51:32.632]  Some drug stuff.
[00:51:32.632 --> 00:51:38.115]  Yeah, that's mainly torturing people to death and drug dealing is mainly what our government does.
[00:51:38.115 --> 00:51:43.618]  You can tell I'm kind of nervous about talking about it.
[00:51:43.618 --> 00:51:46.680]  Were you actually there observing torture?
[00:51:46.680 --> 00:51:48.441]  Did you just have to watch them?
[00:51:48.441 --> 00:51:49.081]  You were?
[00:51:49.081 --> 00:51:51.683]  Yes.
[00:51:51.683 --> 00:51:54.184]  In Honduras?
[00:51:54.184 --> 00:51:56.625]  Were you overseeing?
[00:51:56.625 --> 00:51:57.906]  I was supposed to.
[00:51:57.906 --> 00:51:58.847]  I refused.
[00:51:58.847 --> 00:51:59.567]  I was put in jail.
[00:52:01.278 --> 00:52:06.222]  Military Tribunal basically kicked me out.
[00:52:06.222 --> 00:52:07.583]  Yeah, well that's all a test.
[00:52:07.583 --> 00:52:12.207]  If you would have watched the torture, then you'd be part of it.
[00:52:12.207 --> 00:52:12.987]  And I refused.
[00:52:12.987 --> 00:52:14.469]  I said, no, this is wrong.
[00:52:14.469 --> 00:52:20.013]  Let me just ask you, who were they torturing?
[00:52:20.013 --> 00:52:22.615]  Well, they tortured a little boy.
[00:52:22.615 --> 00:52:24.817]  I couldn't believe it.
[00:52:24.817 --> 00:52:26.818]  He must have been like maybe 14 years old.
[00:52:28.829 --> 00:52:30.990]  And I just, this is ridiculous.
[00:52:30.990 --> 00:52:31.931]  This is not right.
[00:52:31.931 --> 00:52:36.393]  This is not what America is about as far as I'm concerned.
[00:52:36.393 --> 00:52:38.215]  And I don't want a part of it.
[00:52:38.215 --> 00:52:39.095]  Yeah, you know what?
[00:52:39.095 --> 00:52:40.136]  Call back in next week.
[00:52:40.136 --> 00:52:41.176]  I'd like to talk to you more.
[00:52:41.176 --> 00:52:41.857]  Okay.
[00:52:41.857 --> 00:52:43.137]  Thanks for the call, sir.
[00:52:43.137 --> 00:52:50.081]  No, I mean, I interviewed some of the School of America's people exposing that today.
[00:52:50.081 --> 00:52:51.722]  And we've trained the world how to torture.
[00:52:51.722 --> 00:52:53.884]  We brought the Nazis over here at the end of the war.
[00:52:53.884 --> 00:52:54.484]  This is admitted.
[00:52:55.524 --> 00:52:57.546]  And they trained our people out of torture.
[00:52:57.546 --> 00:53:00.129]  There are over 200 bases that train out of torture.
[00:53:00.129 --> 00:53:06.895]  The School of America has trained 60,000 people since 1983 when it was set up.
[00:53:06.895 --> 00:53:14.463]  And it's the training manuals, how to hook electrodes to people's genitalia, how to rape a woman in front of their husband.
[00:53:14.463 --> 00:53:18.247]  And Saddam was trained out of torture.
[00:53:18.917 --> 00:53:25.079]  Thousands of his Republican guard were trained out of torture, so we were just moving back into a prison our government actually paid to build.
[00:53:25.079 --> 00:53:25.879]  I'll be right up.
[00:53:25.879 --> 00:53:26.820]  Hey, we're back home.
[00:53:26.820 --> 00:53:28.780]  Hey, let's get back to business.
[00:53:28.780 --> 00:53:30.281]  Let's stop a family at a checkpoint.
[00:53:30.281 --> 00:53:31.461]  Don't have your papers in order.
[00:53:31.461 --> 00:53:33.502]  We're going to rape your wife, sir, and we're going to beat you to death.
[00:53:33.502 --> 00:53:35.702]  How's that sound?
[00:53:35.702 --> 00:53:39.324]  And this is all part of the new freedom.
[00:53:39.324 --> 00:53:42.044]  And Mercury's nutritious for you, too.
[00:53:42.044 --> 00:53:46.046]  I'm told we have a homeschooler who wants to talk to us.
[00:53:46.046 --> 00:53:46.606]  Pardon me, Mike?
[00:53:49.270 --> 00:53:55.071]  Oh, Mike just handed me... Mike just handed me... Well, I'm not psychic, Mike.
[00:53:55.071 --> 00:53:57.392]  At least not all the time.
[00:53:57.392 --> 00:53:59.332]  Yeah.
[00:53:59.332 --> 00:54:06.994]  This is a homeschooler who did a report about Austin and the owl report.
[00:54:06.994 --> 00:54:16.176]  I wasn't sure what... Mike kept waving a piece of paper and I didn't know what it was and he gets into how Bohemian Grove and the owl and
[00:54:17.540 --> 00:54:20.282]  The globalist architecture.
[00:54:20.282 --> 00:54:30.147]  It is extremely impressive, and we think this person has done just a fabulous job here.
[00:54:30.147 --> 00:54:35.630]  And there's the new crowning achievement for everybody.
[00:54:35.630 --> 00:54:40.713]  Mike's in here for an hour waving his arms, and I was like, what is it, Mike?
[00:54:40.713 --> 00:54:46.797]  And there's your loving Christian ceremony they conducted at Bohemian Grove, and there's George Bush and his daddy below the owl.
[00:54:48.305 --> 00:54:50.466]  There it all is for you.
[00:54:50.466 --> 00:54:52.247]  A lot of other news we didn't have time to get to.
[00:54:52.247 --> 00:54:59.912]  I'll take a few more calls here, but Mike, do you have Bush saying there's gonna be no volunteer army in America?
[00:54:59.912 --> 00:55:01.933]  Do you have that queued up?
[00:55:01.933 --> 00:55:07.516]  We'll go ahead and play this, then we'll play them saying, Mercury is a nutritious part of your daily breakfast.
[00:55:07.516 --> 00:55:13.640]  And again, we're conspiracy theorists kooks, because we believe Mercury is not good for your brain, or your children's brain.
[00:55:13.640 --> 00:55:15.601]  But without further ado,
[00:55:17.108 --> 00:55:22.152]  Here is the Bush saying the draft is imminent.
[00:55:22.152 --> 00:55:23.293]  Of course, it's a Freudian slip.
[00:55:23.293 --> 00:55:26.495]  Here it is.
[00:55:26.495 --> 00:55:38.223]  What am I going to tell Aerosmith?
[00:55:38.223 --> 00:55:38.984]  Everyone hates us.
[00:55:46.986 --> 00:55:49.227]  Now here it is, your moment of Zion.
[00:55:49.227 --> 00:55:56.031]  After standing on the stage, after the debates, I made it very plain.
[00:55:56.031 --> 00:56:00.473]  We will not have an all-volunteer army.
[00:56:00.473 --> 00:56:05.316]  And yet this week, we will have an all-volunteer army.
[00:56:05.316 --> 00:56:13.460]  Let me restate that.
[00:56:13.460 --> 00:56:14.661]  We will not have a draft.
[00:56:18.326 --> 00:56:21.670]  And then the other tape, you'll have to rewind about 30 seconds, too.
[00:56:21.670 --> 00:56:28.379]  The other tape is them saying mercury is a nutritious part of your daily breakfast.
[00:56:28.379 --> 00:56:32.343]  This is the last time I'm playing it.
[00:56:32.343 --> 00:56:34.486]  Crossed my fingers, but probably.
[00:56:34.486 --> 00:56:35.047]  Here it is.
[00:56:35.805 --> 00:56:37.306]  And we'll play that here in a few minutes.
[00:56:53.189 --> 00:56:59.634]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:56:59.634 --> 00:57:06.499]  There have been widespread concerns that mercury-based preservatives in vaccines might impair the neurological development of children.
[00:57:06.499 --> 00:57:14.044]  These new studies suggest that the opposite, that the preservatives may actually be associated with improved behavior and mental performance.
[00:57:14.044 --> 00:57:18.187]  A recent move by the Food and Drug Administration could save your oral health.
[00:57:19.222 --> 00:57:26.304]  I can't think of anything really more evil than reading the CDC documents released about a year ago from 2000.
[00:57:26.304 --> 00:57:32.246]  And it said, it was CDC saying, this is brain damaging millions.
[00:57:32.246 --> 00:57:34.246]  My God, we've got to cover this up.
[00:57:34.246 --> 00:57:36.807]  I wouldn't give this to my grandson or granddaughter.
[00:57:36.807 --> 00:57:38.667]  This is pandemic.
[00:57:38.667 --> 00:57:40.628]  This is all, they know it.
[00:57:40.628 --> 00:57:48.250]  And so instead of stopping it, they come out and say, it's actually quite nutritious, helps you, actually improves your mental ability.
[00:57:49.881 --> 00:57:55.245]  Well, then I guess they can take the warnings off the thermometers when you buy them.
[00:57:55.245 --> 00:58:00.870]  And just, I expect to see at the health food aisle, mercury capsules, nom, nom, nom.
[00:58:00.870 --> 00:58:12.580]  I mean, they take a newborn baby and give them three or four shots, hundreds and hundreds of times, safe levels, and then they didn't take the mercury out, they actually increased it now, and then they say it's actually nutritious.
[00:58:12.580 --> 00:58:14.221]  Again, I mean, I rest my case.
[00:58:14.221 --> 00:58:18.445]  Hello, caller, you're on the air, go ahead.
[00:58:18.445 --> 00:58:18.665]  You know,
[00:58:19.864 --> 00:58:22.426]  I want people to think about this, though, for a second.
[00:58:22.426 --> 00:58:24.868]  These are our children they're doing this to.
[00:58:24.868 --> 00:58:26.429]  A bunch of eugenic scum.
[00:58:26.429 --> 00:58:27.890]  Stop being so naive.
[00:58:27.890 --> 00:58:30.792]  Go ahead, caller.
[00:58:30.792 --> 00:58:31.713]  Go ahead, caller.
[00:58:31.713 --> 00:58:32.574]  Hello, Alex.
[00:58:32.574 --> 00:58:33.354]  Yes.
[00:58:33.354 --> 00:58:34.855]  I went to vote early.
[00:58:34.855 --> 00:58:38.998]  Let me tell you, what happened to a private ballot?
[00:58:38.998 --> 00:58:44.563]  I mean, when you vote now, you're standing right behind other people who are at the
[00:58:46.943 --> 00:58:49.024]  Do they threaten to call some officers?
[00:59:04.853 --> 00:59:06.254]  There is no voting in Austin.
[00:59:06.254 --> 00:59:07.395]  I'll say this again.
[00:59:07.395 --> 00:59:10.698]  Hardener Civics is owned by Clare Channel, owned by UT.
[00:59:10.698 --> 00:59:14.541]  Doesn't matter if their candidates are 15 points behind, they magically win on election day.
[00:59:14.541 --> 00:59:18.965]  Because they're married to the owner of Clare Channel's daughter, Michael McCall.
[00:59:18.965 --> 00:59:21.007]  Diebold's openly run by the CIA.
[00:59:21.007 --> 00:59:23.389]  There's no paper trail, no receipt.
[00:59:23.389 --> 00:59:28.033]  You get a receipt for an ATM at the grocery store, but you don't get one when you vote.
[00:59:28.033 --> 00:59:31.055]  And they say, don't ask for a receipt, you kook.
[00:59:31.055 --> 00:59:32.857]  Third world countries get that, but not you.
[00:59:33.863 --> 00:59:35.204]  There's no way to know how you voted.
[00:59:35.204 --> 00:59:38.688]  They have electronic wireless transmitters in them.
[00:59:38.688 --> 00:59:40.509]  It's a joke.
[00:59:40.509 --> 00:59:47.035]  And, by the way, they make hundreds of millions of dollars in places like Central Texas off machines that cost a few thousand dollars a piece.
[00:59:47.035 --> 00:59:48.557]  It's a total scam at every level.
[00:59:49.284 --> 00:59:52.927]  But don't worry, they don't care if 93% of you are against the toll roads.
[00:59:52.927 --> 00:59:56.109]  Will Wynn goes, I got electronic voting machines.
[00:59:56.109 --> 00:59:59.172]  And I don't give a damn how many of you are against these toll roads.
[00:59:59.172 --> 01:00:01.313]  My federal bosses have told me to put these in.
[01:00:01.313 --> 01:00:04.316]  There's no way you can vote me out.
[01:00:04.316 --> 01:00:07.558]  And this new arrogance is exploding everywhere because of this tyranny.
[01:00:07.558 --> 01:00:08.299]  God bless you all.
