[00:00.000 --> 00:01.500]  We've got a gun.
[01:22:22.500 --> 01:22:30.500]  Throw me in jail. I don't care. Whatever. Whoa. In fact, hold on. Viewers won't believe it and TV and radio listeners won't.
[01:22:30.500 --> 01:22:38.500]  Will you guys type in federal documents, a removed word, father and mother and show people? Because I'm not kidding. Go ahead. Thought criminal.
[01:22:38.500 --> 01:22:45.500]  You're right. No, you're right. I have three points. I want to make very, very important points. Number one is this, that I used to have Verizon as my phone carrier.
[01:22:45.500 --> 01:22:52.500]  I actually got rid of them, but I found out about eight months ago when I heard your show about them surveilling you for your Verizon phone calls.
[01:22:52.500 --> 01:22:58.500]  You know, I told a couple of my friends at work and they basically laughed at me, basically said, you're crazy. How could this happen?
[01:22:58.500 --> 01:23:04.500]  And guess what happened? A couple of weeks later, a couple of weeks ago, everything came out. But what happened?
[01:23:04.500 --> 01:23:07.500]  What are your friends citing you now?
[01:23:07.500 --> 01:23:16.500]  Oh, I haven't seen him. I'm actually on my vacation now, but I'm going to go back to work and just to see exactly what they are, what they think about the situation now.
[01:23:16.500 --> 01:23:23.500]  Well, we're going to have to send some officers by to talk to you about using the term father, pal. What are you, some kind of sexist?
[01:23:23.500 --> 01:23:31.500]  Don't you know using the word father hurts people that don't have children and is hurtful? All speech is hurtful unless it comes from Big Brother.
[01:23:31.500 --> 01:23:35.500]  Well, I guess I'm committing a sin and I guess I guess I'm guilty as charged.
[01:23:35.500 --> 01:23:38.500]  Worship, worship government right now. Let's worship it together.
[01:23:38.500 --> 01:23:45.500]  I got one more question for you to make. As far as for Glenn Beck, I think in my opinion, I know you try to be nice to him and all that stuff, but he's such a phony.
[01:23:45.500 --> 01:23:53.500]  He's such a phony. He plays both sides of the fence. You know, in my cable vision carrier, which I have cable vision, that's my carrier for my TV.
[01:23:53.500 --> 01:23:57.500]  He has a show on. I don't know, why can't you have a show like that on TV?
[01:23:57.500 --> 01:24:03.500]  Well, we're gearing that up and setting that up, but a lot of it becomes a capital issue. They had to spend tens of millions of dollars to get that channel.
[01:24:03.500 --> 01:24:12.500]  We're on some systems and things already, but we're having to deploy it. So I'm not funded by, you know, big globalist financiers and people.
[01:24:12.500 --> 01:24:14.500]  And I don't want to get into a Glenn Beck bashing.
[01:24:14.500 --> 01:24:17.500]  No, I understand that, but he's just a phony. He plays both sides of the fence.
[01:24:17.500 --> 01:24:23.500]  No, you know what? I turn the other cheek. I turn the other cheek. I mean, I have the entire fake left and right attacking me.
[01:24:23.500 --> 01:24:33.500]  And, you know, the latest thing is, you know, Alex Jones has death threaded me and it's just completely out of the blue sky. And then you read the fine print.
[01:24:33.500 --> 01:24:40.500]  It's some of his listeners did. Well, I mean, I could have somebody send me an email saying, you know, talk bad about Glenn and you're going to get it.
[01:24:40.500 --> 01:24:45.500]  I mean, he's just is a total drama queen. And I appreciate your call.
[01:24:45.500 --> 01:24:56.500]  My only issue is, is that I wouldn't tell people FEMA camps are real. I'm going to expose them in a month and then come out and build a straw man and say they're not real when they're on record existing.
[01:24:56.500 --> 01:24:59.500]  Emergency Centers Establishment Act.
[01:24:59.500 --> 01:25:06.500]  The I mean, there's so many different Army field manuals. It's all admitted they've got civil unrest.
[01:25:06.500 --> 01:25:15.500]  Maine Corps program, Operation Garden Splice. It's in the Miami Herald. It's in the Associated Press, this whole continuity of government program to use the Pentagon.
[01:25:15.500 --> 01:25:19.500]  And he goes around saying none of that's happening.
[01:25:19.500 --> 01:25:29.500]  But that's what the establishment does. And of course, they're going to have a counterfeit of myself out there to play the part of anti establishment who really is pro establishment.
[01:25:29.500 --> 01:25:36.500]  But he starts it all the time because he's extremely obsessed with me and extremely jealous.
[01:25:36.500 --> 01:25:44.500]  And it's on record, he is. But years ago, I learned he had like four or five people tracking everything we do.
[01:25:44.500 --> 01:25:51.500]  And I personally don't listen to him every once in a while. I randomly tune in. He's talking bad about me. I mean, great.
[01:25:51.500 --> 01:25:55.500]  He has a bigger terrestrial radio audience than I do. So I think it's wonderful.
[01:25:55.500 --> 01:26:02.500]  Send them all to infowars.com. But I really care about freedom. I care about a future.
[01:26:02.500 --> 01:26:08.500]  I don't want to fight with Rachel Maddow, who attacks me and lies about me constantly.
[01:26:08.500 --> 01:26:15.500]  There's new video she said again last week that I said the tornado was sent by Obama to hit Oklahoma City.
[01:26:15.500 --> 01:26:19.500]  I never said that. And she doesn't have a clip of me saying that.
[01:26:19.500 --> 01:26:25.500]  And then Bill O'Reilly played a clip and said there's a lot of sexual hate speech on the Internet.
[01:26:25.500 --> 01:26:32.500]  And then cuts to a clip of me talking about mercenary assassins, because I know what the clip was out of context.
[01:26:32.500 --> 01:26:38.500]  And just says, here's the sexual Batman. And then just why are they doing that?
[01:26:38.500 --> 01:26:46.500]  Why do they have hit pieces every day in major newspapers? Bloomberg, AP, Reuters, Nightline, you name it.
[01:26:46.500 --> 01:26:52.500]  Because I know what I'm talking about, folks, and I'm a constitutional populist.
[01:26:52.500 --> 01:26:57.500]  I think that's the best way to describe me. And see, you just got me on a jag, sir.
[01:26:57.500 --> 01:27:02.500]  I really need to get to the phone calls. Hayes in Texas, you're on the air. Welcome.
[01:27:02.500 --> 01:27:07.500]  Thank you, Alex. I apologize. I'm not very well spoken sometimes.
[01:27:07.500 --> 01:27:11.500]  But I'd like to draw your attention to an issue that I discovered.
[01:27:11.500 --> 01:27:17.500]  I'm a Mensa member. Every week I receive a publication called the Mensa Brainwave.
[01:27:17.500 --> 01:27:25.500]  May 28, 2013, there was a story in the Mensa Weekly Brainwave. I'll read you the title.
[01:27:25.500 --> 01:27:33.500]  Cold fusion reactor independently verified as 10,000 times the density of gas, the energy density of gas.
[01:27:33.500 --> 01:27:40.500]  This is possibly the biggest story of our generation. I haven't seen it covered on the mainstream media.
[01:27:40.500 --> 01:27:47.500]  I'm reaching out to you to have your reporters look into this, because I guarantee you, if nobody's watching, this will be swept under the rug.
[01:27:47.500 --> 01:27:53.500]  Well, let me tell you what happened. They had what Pons and Fleischner are going from memory 20 years ago come out.
[01:27:53.500 --> 01:27:57.500]  And they made a joke about how it was in a mayonnaise jar and it didn't work.
[01:27:57.500 --> 01:28:04.500]  They have independently now confirmed, let's not exaggerate, 30 plus times that I've seen cold fusion.
[01:28:04.500 --> 01:28:14.500]  The problem is the power levels are usually very low and they don't know how to extract it, so it isn't really usable so far.
[01:28:14.500 --> 01:28:20.500]  If they ever come out with feasible high-powered cold fusion, absolutely it is revolutionary.
[01:28:20.500 --> 01:28:27.500]  And we know that's what the NSA is out there for, is to spy on companies and people that do develop things.
[01:28:27.500 --> 01:28:31.500]  And if you come up with what they call disruptive technology, they will kill you.
[01:28:31.500 --> 01:28:37.500]  NSA is not there to stop Al-Qaeda. They run Al-Qaeda. NSA is run by foreign banks.
[01:28:37.500 --> 01:28:41.500]  They are there to make sure we never have technological development.
[01:28:41.500 --> 01:28:45.500]  We'll be right back, ladies and gentlemen, on the other side of this break.
[01:28:45.500 --> 01:28:47.500]  Great point. We'll look into that.
[01:28:47.500 --> 01:28:55.500]  Ted, Matthew, Shannon, Michael, Rob, Exi, Bill, JT, Coyote, Wren, Robert, your calls are all coming up.
[01:28:55.500 --> 01:29:02.500]  Get ready. I'm Alex Jones.
[01:29:25.500 --> 01:29:33.500]  All in one filter element. It is the only one that does it, and out of the gates, we have it discounted at 10% off with promo code water.
[01:29:33.500 --> 01:29:44.500]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid,
[01:29:44.500 --> 01:29:50.500]  the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[01:29:50.500 --> 01:29:59.500]  Get your Pro-Pure with the new Pro-One filter today at infowarskstore.com or by calling 888-253-3139.
[01:30:20.500 --> 01:30:23.500]  Get a free catalog and buy American-made products.
[01:30:23.500 --> 01:30:30.500]  Order the sampler, a one to two month supply, or get a one to two year supply of soaps for all your cleaning needs.
[01:30:30.500 --> 01:30:33.500]  You're getting soap products twice as good as what you're using now.
[01:30:33.500 --> 01:30:38.500]  This is an amazing deal and you will love the way real soap makes your skin feel.
[01:30:38.500 --> 01:30:45.500]  Call 1-800-340-7091 or visit www.5starsoap.com.
[01:30:45.500 --> 01:30:50.500]  Alex and his staff have used these earth friendly pure soaps for years.
[01:30:50.500 --> 01:30:59.500]  See them on the web at www.5starsoap.com or call 1-800-340-7091 for a catalog.
[01:30:59.500 --> 01:31:03.500]  You prepare by purchasing gold, food and firearms.
[01:31:03.500 --> 01:31:09.500]  But if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[01:31:09.500 --> 01:31:13.500]  When you're sleeping or away from home, who's watching out for intruders?
[01:31:13.500 --> 01:31:19.500]  Check out SimpliSafe. It's a new do it yourself home security system that is completely wireless.
[01:31:19.500 --> 01:31:22.500]  Go to www.getsimplisafe.com.
[01:31:22.500 --> 01:31:25.500]  SimpliSafe is independent and off the grid.
[01:31:25.500 --> 01:31:29.500]  It runs on battery power so even if the grid goes down, you're protected.
[01:31:29.500 --> 01:31:36.500]  It's completely customizable so you can use it in your home, business, boat, trailer, storage unit or shed.
[01:31:36.500 --> 01:31:38.500]  www.getsimplisafe.com
[01:31:38.500 --> 01:31:42.500]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes.
[01:31:42.500 --> 01:31:45.500]  So there's no need to let a stranger into your home.
[01:31:45.500 --> 01:31:49.500]  If you move or need to relocate, you can take the system with you wherever you go.
[01:31:49.500 --> 01:31:56.500]  You aren't always at home, but SimpliSafe will stand guard, protecting your property 24 hours a day, 7 days a week.
[01:31:56.500 --> 01:31:59.500]  Again, that's www.getsimplisafe.com
[01:31:59.500 --> 01:32:03.500]  I had tried everything. I'd cut back the amount of food I was eating.
[01:32:03.500 --> 01:32:06.500]  I was lifting weights and jogging, but nothing was working.
[01:32:06.500 --> 01:32:11.500]  My body was literally starving for minerals and trace elements as well as key vitamins.
[01:32:11.500 --> 01:32:18.500]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[01:32:18.500 --> 01:32:29.500]  Now there are hundreds of great products at infowarseteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[01:32:29.500 --> 01:32:34.500]  Products like Beyond Tangy Tangerine, Holland Burst and Rebound.
[01:32:34.500 --> 01:32:40.500]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[01:32:40.500 --> 01:32:42.500]  Now that's results.
[01:32:42.500 --> 01:32:48.500]  I want to challenge my listeners to go to infowarseteam.com and to order just three of their products.
[01:32:48.500 --> 01:32:54.500]  And you will see the changes in the way you look, feel and in your appetite almost immediately.
[01:32:54.500 --> 01:32:57.500]  Start your journey to health and wellness today.
[01:32:57.500 --> 01:32:59.500]  Infowarseteam.com
[01:33:01.500 --> 01:33:04.500]  Coast to Coast, direct from Austin.
[01:33:04.500 --> 01:33:10.500]  You're listening to the Alex Jones Broadcasting Network.
[01:33:34.500 --> 01:33:39.500]  The Democrats, the establishment are obsessed with cutting edge medical developments.
[01:33:39.500 --> 01:33:48.500]  But not just that, all the rest of the technological developments that are out there because whoever's in control of that is in control of civilization and society.
[01:33:48.500 --> 01:33:51.500]  And they act like you're animals, like I'm an animal.
[01:33:51.500 --> 01:33:53.500]  They just write about this stuff publicly.
[01:33:53.500 --> 01:33:59.500]  And then if I talk about it, they'll have their corporate prostitutes get up there and laugh and say it doesn't exist.
[01:33:59.500 --> 01:34:05.500]  That's why everything I talked about 18 years ago has now unfortunately come true.
[01:34:05.500 --> 01:34:13.500]  Not because I was some incredible analyst, but because I actually went and studied what they were saying, what they were doing.
[01:34:13.500 --> 01:34:18.500]  And they've taken over the world through fiat financial fraud.
[01:34:18.500 --> 01:34:22.500]  They've got control of the technological military industrial complex.
[01:34:22.500 --> 01:34:27.500]  They've got the technologies now to extend their lives massively.
[01:34:27.500 --> 01:34:30.500]  And they do not want to give that to the general public.
[01:34:30.500 --> 01:34:36.500]  Because their argument is there's too many of us, we're dumbed down, we're spoiled, we're brats, we're scum.
[01:34:36.500 --> 01:34:38.500]  And I've got to be honest, a lot of that's true.
[01:34:38.500 --> 01:34:41.500]  But the globalists are even worse.
[01:34:41.500 --> 01:34:46.500]  And I don't want to be targeted with soft kill weapons in the food and water.
[01:34:46.500 --> 01:34:47.500]  I don't think it's funny.
[01:34:47.500 --> 01:34:49.500]  I don't want to be experimented on.
[01:34:49.500 --> 01:34:51.500]  I don't like this.
[01:34:51.500 --> 01:34:54.500]  And I think you have a right to know what's going on.
[01:34:54.500 --> 01:34:58.500]  Because I believe we can build a better society and lift up humanity.
[01:34:58.500 --> 01:35:01.500]  See, the globalists claim they're doing this whole nanny state to lift us up.
[01:35:01.500 --> 01:35:06.500]  But when you actually look at it, it's meant to dumb you down so you're not in the real game of life.
[01:35:06.500 --> 01:35:11.500]  You're off playing some imaginary video game where you live in a false reality.
[01:35:11.500 --> 01:35:14.500]  They want you neutralized.
[01:35:14.500 --> 01:35:18.500]  The average person operates and behaves like a child.
[01:35:18.500 --> 01:35:22.500]  And it's time to grow up and get serious.
[01:35:22.500 --> 01:35:24.500]  And take the New World Order personal.
[01:35:24.500 --> 01:35:28.500]  Because they take destroying you and your family very personally.
[01:35:28.500 --> 01:35:29.500]  Now, you've been warned.
[01:35:29.500 --> 01:35:32.500]  I'm going to give each caller about a minute because I want to get to all these.
[01:35:32.500 --> 01:35:33.500]  There's like 20 of them.
[01:35:33.500 --> 01:35:35.500]  Matthew in New York, you're on the air.
[01:35:35.500 --> 01:35:38.500]  Go ahead.
[01:35:38.500 --> 01:35:39.500]  Hey, Alex, how's it going?
[01:35:39.500 --> 01:35:40.500]  Pretty good, sir.
[01:35:40.500 --> 01:35:41.500]  Go ahead.
[01:35:41.500 --> 01:35:42.500]  All right, Alex.
[01:35:42.500 --> 01:35:43.500]  I have a couple questions.
[01:35:43.500 --> 01:35:47.500]  Are you still getting behind this march on the state capitals with Kokesh?
[01:35:47.500 --> 01:35:50.500]  And if so, do you believe that it could be a threat to the Constitution?
[01:35:50.500 --> 01:35:55.500]  Yeah, I've never been for an armed march on D.C.
[01:35:55.500 --> 01:36:04.500]  And I've not been for a march armed on capitals, even though open carry is legal and lawful in most areas and legal and lawful under the Constitution.
[01:36:04.500 --> 01:36:13.500]  I was simply trying to say, if all this happens, we need video cameras everywhere there so the system can't set up provocateurs.
[01:36:13.500 --> 01:36:17.500]  Right, but do you think this could be an excuse to go for our guns?
[01:36:17.500 --> 01:36:20.500]  In which way do you think it could be harmful to the Constitution?
[01:36:20.500 --> 01:36:22.500]  Yeah, I don't think it's an excuse to go for our guns.
[01:36:22.500 --> 01:36:26.500]  That's why they've been arresting Kokesh twice and threatening him and stuff.
[01:36:26.500 --> 01:36:30.500]  They don't want a revolution to start right now because we'll beat them that way.
[01:36:30.500 --> 01:36:32.500]  We'll also beat them in an inflow war.
[01:36:32.500 --> 01:36:37.500]  They don't want to let us choose the time of when an armed revolution starts.
[01:36:37.500 --> 01:36:40.500]  They want to blow something up.
[01:36:40.500 --> 01:36:44.500]  And then blame it on us so they can then have an all out war against us.
[01:36:44.500 --> 01:36:46.500]  I appreciate your call.
[01:36:46.500 --> 01:36:51.500]  Let's go ahead and talk to Shannon in Minnesota. You're on the air.
[01:36:51.500 --> 01:37:04.500]  Yeah, I just noticed how they have all the grandstanding with how they could prevent 9-11 from happening if they had the NSA.
[01:37:04.500 --> 01:37:10.500]  They had the NSA doing exactly what it's doing now then and I've talked to the NSA people like Sabell Edmonds.
[01:37:10.500 --> 01:37:13.500]  People always say, if the government was involved, there'd be whistleblowers.
[01:37:13.500 --> 01:37:24.500]  Criminal elements were involved and Sabell Edmonds and others were there and watched our government command Al-Qaeda the entire time throughout the attacks.
[01:37:24.500 --> 01:37:28.500]  She's on record and it's come out mainstream news. Go ahead.
[01:37:28.500 --> 01:37:34.500]  Yeah, I just think it's funny. All these Denver shooting and all that.
[01:37:34.500 --> 01:37:39.500]  If they had this technology in place, which they clearly did, why weren't those stopped?
[01:37:39.500 --> 01:37:48.500]  The Denver shooter was being handled by a top Air Force psych warfare chief who ran entire bases and they had entire files on the guy and there were multiple shooters.
[01:37:48.500 --> 01:37:56.500]  They get a drugged up zombie there at the scene who's on amnesiacs like Halcyon to not even know they did it.
[01:37:56.500 --> 01:37:59.500]  Same thing with Sirhan Sirhan.
[01:37:59.500 --> 01:38:05.500]  Yeah, well that's all I had. I just think it's just kind of ridiculous.
[01:38:05.500 --> 01:38:19.500]  The NSA is not there to stop terrorism. It is there to spy on good people in government and good people in corporations to make sure they never know why anything they do that's good gets shut down.
[01:38:19.500 --> 01:38:26.500]  The NSA is there to serve the god of this world, Satan, Baphomet, El Diablo. I appreciate your call. Good points.
[01:38:26.500 --> 01:38:31.500]  Let's go ahead and talk to Rob in Texas. Rob, you're on the air.
[01:38:31.500 --> 01:38:33.500]  Hey Alex, how are you?
[01:38:33.500 --> 01:38:35.500]  I'm doing pretty good, brother.
[01:38:35.500 --> 01:38:42.500]  Well, I just talked to my mom. I'm from Illinois. I moved to San Antonio about a year ago and I got to say I couldn't be happier.
[01:38:42.500 --> 01:38:51.500]  But every once in a while I have to speak to my mother who once in a while we get into a political battle. Of course, she's a hardcore liberal Obama supporter like I was.
[01:38:51.500 --> 01:38:57.500]  Let me just say something about San Antonio. It's got the best people I've ever been around. I love Austin.
[01:38:57.500 --> 01:39:06.500]  100% on that and that's what my girlfriend told me. I moved in with her and she was 100% correct. She works out here. I've never met a better person or people in my life.
[01:39:06.500 --> 01:39:13.500]  But to cut to the chase here, because I know we don't have a lot of time and a lot of callers want to get in, my mother still supports Obama.
[01:39:13.500 --> 01:39:24.500]  I've missed everything. And by talking to her the other day, it's official. They have my mother by her soul because I can't even understand what she's saying half the time.
[01:39:24.500 --> 01:39:32.500]  She's talking about politics. She used to be really good. She used to be really quick on everything and she just agrees with Obama and what he does.
[01:39:32.500 --> 01:39:39.500]  Honestly, because I think she's just used to being tossed down, used to being thrown down anytime she stands up.
[01:39:39.500 --> 01:39:41.500]  She's in love with him.
[01:39:41.500 --> 01:39:51.500]  She is, absolutely. And the whole biggest part and the question I'm looking for actually is the Patriot Act. That's her defense to everything about the NSA spying.
[01:39:51.500 --> 01:39:55.500]  Well, he's protective of the Patriots. No, I don't think he is.
[01:39:55.500 --> 01:40:07.500]  No, no, warrantless spying. Look, the FISA is a rubber stamp and that's unconstitutional, but they grab everything and or they'll say, well, Republicans are bad.
[01:40:07.500 --> 01:40:14.500]  I mean, that's like saying, well, Jeffrey Dahmer killed people, so it's OK if Ted Bundy did. It's all bad.
[01:40:14.500 --> 01:40:21.500]  And people get invested in a personality and then they don't want to admit they're wrong.
[01:40:21.500 --> 01:40:30.500]  And I would say stop trying to argue with her because it almost becomes a power trip for people when you try to convince them, say, hey, believe whatever you want.
[01:40:30.500 --> 01:40:35.500]  Go ahead and tell her, I think Obama should be given another peace prize.
[01:40:35.500 --> 01:40:45.500]  Give her USA Today on Friday where he's commanding Al Qaeda in Syria, killing the Christians and Jews and minority Muslims, Alawites, and just start agreeing with her.
[01:40:45.500 --> 01:40:50.500]  Like, bring a stack of articles and go, I think it's good he's going to break in over our phone and take over.
[01:40:50.500 --> 01:40:59.500]  I think it's good, you know, that he's got two billion bullets and armored vehicles. I think it's good that, you know, they're saying that the state runs children.
[01:40:59.500 --> 01:41:04.500]  Try agreeing with her. I appreciate your call. That's the best way to handle these people.
[01:41:04.500 --> 01:41:08.500]  Bill in Wisconsin, you're on the air. Go ahead.
[01:41:08.500 --> 01:41:11.500]  Yeah, your phone's real low. Go ahead.
[01:41:11.500 --> 01:41:16.500]  OK, I said Bill, we went to Exi. Go ahead, Exi.
[01:41:16.500 --> 01:41:19.500]  Hey, Alex. I'm ex-Pixie.
[01:41:19.500 --> 01:41:22.500]  Yes, ma'am. We got it. Go ahead. Your audio is a little bit.
[01:41:22.500 --> 01:41:27.500]  I'm a public school teacher of 14 years and a union member and a really large fan of Charlotte, Israel.
[01:41:27.500 --> 01:41:30.500]  I understand the dumbing down of America majorly.
[01:41:30.500 --> 01:41:37.500]  Have you heard about this new national Common Core curriculum that 45 states have unwittingly signed on?
[01:41:37.500 --> 01:41:42.500]  Yes, it's written by the Bill and Melinda Gates Foundation is designed to destroy critical thinking.
[01:41:42.500 --> 01:41:47.500]  But we've already got a 20 point IQ reduction from the fluoride. We shouldn't be mad at dumbed down Americans.
[01:41:47.500 --> 01:41:53.500]  They are brain damaged. Those of us that are still operating OK would have had like 160 IQ.
[01:41:53.500 --> 01:41:56.500]  You know, now we only have like 140 IQ.
[01:41:56.500 --> 01:42:02.500]  And so the people that would have had 100 IQ have an 80 IQ. People would have had an 80 IQ have a 60 IQ.
[01:42:02.500 --> 01:42:06.500]  I mean, you've just got wreckage. It's a chemical warfare operation.
[01:42:06.500 --> 01:42:09.500]  Pentagon run. Of course, they're brain dead.
[01:42:09.500 --> 01:42:12.500]  Chemical weapons will do amazing things, ma'am.
[01:42:12.500 --> 01:42:19.500]  Oh, absolutely. And not only chemical, but as a teacher, I've modeled for me how to perform these lessons.
[01:42:19.500 --> 01:42:23.500]  And it's absolutely soul-sucking, mind-bending.
[01:42:23.500 --> 01:42:26.500]  We're going to let you go, ma'am. We're going to let you go.
[01:42:26.500 --> 01:42:30.500]  Got to watch the language here on the show. That's a good way to get hung up on immediately.
[01:42:30.500 --> 01:42:35.500]  You guys got that right. Fantastic.
[01:42:35.500 --> 01:42:39.500]  You obviously have had too much fluoride, honey.
[01:42:39.500 --> 01:42:44.500]  I'm sorry. It doesn't matter. Listen, I got a bunch of other news I haven't even gotten to yet.
[01:42:44.500 --> 01:42:48.500]  Two hours is not enough on these Sundays. Bill, JT, Wren, Robert.
[01:42:48.500 --> 01:42:54.500]  That's all I got time for when we come back because I've got to get to several other key news stories.
[01:42:54.500 --> 01:42:57.500]  Stay with us. The website is infowars.com.
[01:42:57.500 --> 01:43:00.500]  You're under chemical attack.
[01:43:00.500 --> 01:43:05.500]  There is an increased need to support our immunity and health.
[01:43:05.500 --> 01:43:12.500]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[01:43:12.500 --> 01:43:18.500]  Our most popular silver-based products are the 32-ounce nano silver solutions.
[01:43:18.500 --> 01:43:24.500]  Our 2-ounce nano silver nasal applicators, as well as our all-natural silver soaps.
[01:43:24.500 --> 01:43:28.500]  Just released is our 100% natural silver gel.
[01:43:28.500 --> 01:43:35.500]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[01:43:35.500 --> 01:43:41.500]  But rather, we have formulated our silver gel using the natural skin-nourishing chemistry of aloe vera.
[01:43:41.500 --> 01:43:47.500]  To quickly penetrate and nourish the skin while delivering the silver more effectively.
[01:43:47.500 --> 01:43:55.500]  Visit www.silverlungs.com and click on our store page to find what silver-based products are best for you.
[01:43:55.500 --> 01:44:11.500]  That's www.silverlungs.com.
[01:44:25.500 --> 01:44:31.500]  You can control your food prices by freezing the cost and availability of your food supply with eFoods Direct.
[01:44:31.500 --> 01:44:36.500]  Be prepared before you need it with nutrient-dense food you can store for up to 25 years.
[01:44:36.500 --> 01:44:38.500]  You can hope for the best, but hope won't feed you.
[01:44:38.500 --> 01:44:43.500]  Do what I've done and get your own supply of the best, durable foods out there from eFoods Direct.
[01:44:43.500 --> 01:44:50.500]  Call 800-409-5633 or visit them on the web at eFoodsDirect.com forward slash Alex and check out their spring specials.
[01:44:50.500 --> 01:44:57.500]  Again, that number is 800-409-5633 or on the web at eFoodsDirect.com forward slash Alex.
[01:44:57.500 --> 01:44:59.500]  You can bet your life on eFoods Direct.
[01:44:59.500 --> 01:45:04.500]  Now is the perfect time to spring clean your body with Supernatural Silver.
[01:45:04.500 --> 01:45:09.500]  A non-toxic disinfectant for the body that can be used internally or externally.
[01:45:09.500 --> 01:45:15.500]  It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[01:45:15.500 --> 01:45:23.500]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge.
[01:45:23.500 --> 01:45:34.500]  Supernatural Silver can help combat over 300 different conditions and it has the ability to kill over 143 types of bacteria, viruses, mold and yeast.
[01:45:34.500 --> 01:45:43.500]  Supernatural Silver's patented technology includes advanced scientific research with over 180 scientific studies conducted at independent universities,
[01:45:43.500 --> 01:45:46.500]  hospitals, research institutions and nursing homes.
[01:45:46.500 --> 01:45:52.500]  To see how Supernatural Silver can change your life, go to SupernaturalSilver.com.
[01:45:52.500 --> 01:45:58.500]  Use the promo code Silver2013 for 20% off and like us on Facebook.
[01:45:58.500 --> 01:46:10.500]  Cal Bend Soap Company can save you thousands of dollars and give you good old fashioned real soap that is triple concentrated and made from the highest quality vegetable and coconut oils.
[01:46:10.500 --> 01:46:22.500]  See them on the web at www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American made products.
[01:46:22.500 --> 01:46:28.500]  Order the sampler, a one to two month supply or get a one to two year supply of soaps for all your cleaning needs.
[01:46:28.500 --> 01:46:32.500]  You're getting soap products twice as good as what you're using now.
[01:46:32.500 --> 01:46:37.500]  This is an amazing deal and you will love the way real soap makes your skin feel.
[01:46:37.500 --> 01:46:44.500]  Call 1-800-340-7091 or visit www.5starsoap.com.
[01:46:44.500 --> 01:46:49.500]  Alex and his staff have used these earth friendly pure soaps for years.
[01:46:49.500 --> 01:46:58.500]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[01:46:58.500 --> 01:47:07.500]  Coast to Coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:47:14.500 --> 01:47:20.500]  Hello this is Hank Hill and I'm telling you what you need to listen to Alex Jones.
[01:47:20.500 --> 01:47:29.500]  Infoworth.com
[01:47:29.500 --> 01:47:36.500]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:47:36.500 --> 01:48:00.500]  We are back and I got to apologize to Pixie. I've got an earpiece that I listen to so I'm the one that's had too much fluoride.
[01:48:00.500 --> 01:48:08.500]  She said soul sucking and I thought she said something else with all these stupid FCC rules I get paranoid.
[01:48:08.500 --> 01:48:13.500]  So yes ma'am you made some really good points and I apologize for yelling at you there at the end.
[01:48:13.500 --> 01:48:18.500]  We have so much of it though, so many calls we've got to delay out that you can understand why.
[01:48:18.500 --> 01:48:24.500]  Let me just run through a bunch of final calls before I hit a few pieces of really top news I haven't gotten to yet.
[01:48:24.500 --> 01:48:31.500]  So much of the news that we will not get to today is up on infowars.com and prisonplanet.com.
[01:48:31.500 --> 01:48:39.500]  Flashback, Obama launches total takeover of media system. The NSA is two way, they don't just spy on you, they take over.
[01:48:39.500 --> 01:48:45.500]  That's the rest of the story. Multiplying scandals to hide the one scandal that could sink Obama.
[01:48:45.500 --> 01:48:49.500]  Find out what that scandal is at infowars.com.
[01:48:49.500 --> 01:48:55.500]  Hundreds in Hong Kong protest NSA surveillance, how dare them.
[01:48:55.500 --> 01:49:02.500]  Democrats who attacked Bush for spying on citizens now justify Obama, doing far worse.
[01:49:02.500 --> 01:49:07.500]  NSA admits listening to US phone calls without warrants, that's CNET news.
[01:49:07.500 --> 01:49:14.500]  Iran to send 4,000 more troops to aid President Assad forces in Syria against Al-Qaeda.
[01:49:14.500 --> 01:49:17.500]  Who do you root for, Iran or Al-Qaeda? This is crazy.
[01:49:17.500 --> 01:49:22.500]  Britain prepared for war in Syria two years before crisis flared up.
[01:49:22.500 --> 01:49:27.500]  France's former foreign minister says, oh yeah, they funded the Al-Qaeda to attack two years ago.
[01:49:27.500 --> 01:49:31.500]  So of course now, the war started two years ago, folks.
[01:49:31.500 --> 01:49:36.500]  And then tear gas and bulldozers running over the Istanbul people.
[01:49:36.500 --> 01:49:41.500]  And all they wanted was to keep their part open and were peaceful and then the cops attacked them.
