[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[01:49:36.869 --> 01:49:37.910]  My kid's school.
[01:49:37.910 --> 01:49:39.331]  Oh, it's so wonderful being here.
[01:49:39.331 --> 01:49:41.052]  So wonderful being in Illinois.
[01:49:41.052 --> 01:49:42.053]  You can't go downtown.
[01:49:42.053 --> 01:49:42.873]  You can't do anything.
[01:49:42.873 --> 01:49:44.754]  People are terrified to go outside.
[01:49:44.754 --> 01:49:46.896]  You have to have papers to get into a restaurant.
[01:49:46.896 --> 01:49:48.637]  I mean, this is real Gestapo shit.
[01:49:49.306 --> 01:49:51.447]  And remember, we're not just on TV.
[01:49:51.447 --> 01:49:54.009]  The biggest audience is on radio, over 300 affiliates.
[01:49:54.009 --> 01:49:57.631]  We don't like to brag, it doesn't make the enemy get upset, but over 300 right now.
[01:49:57.631 --> 01:50:02.053]  And even though talk radio is a shadow of its former self, it's still a huge audience.
[01:50:02.053 --> 01:50:06.756]  For those that don't know, the book that's required reading at your son's school is Two Boys Kissing.
[01:50:08.430 --> 01:50:12.932]  Listen, I'm sorry I said a curse word.
[01:50:12.932 --> 01:50:19.895]  I thought it was you and I doing the old internet show where I could finally... No, we can delay it out, but hey, I wasn't bringing that up to let you know you're on radio.
[01:50:19.895 --> 01:50:22.356]  We delay it, it's fine.
[01:50:22.356 --> 01:50:29.078]  Speaking of Illinois, in Chicago... That's the language of hell.
[01:50:29.078 --> 01:50:32.540]  I don't allow anyone to blaspheme around me.
[01:50:32.540 --> 01:50:34.601]  And I know Alex, you're being attacked.
[01:50:34.601 --> 01:50:37.482]  And look, when you step up and you decide to take a stand for good,
[01:50:38.564 --> 01:50:40.785]  And you stand up, but you're going to get attacked.
[01:50:40.785 --> 01:50:43.265]  So you just pray for the Sacred Heart of Christ to look after you.
[01:50:43.265 --> 01:50:50.468]  And I pray, and I hope the audience will pray for me as well, that I have a shield of protection and a hedge of protection around my family.
[01:50:50.468 --> 01:50:51.748]  Let me ask you this.
[01:50:51.748 --> 01:50:53.949]  What about the Satanic Temple?
[01:50:53.949 --> 01:50:55.289]  Not just Drag Queen Storytime.
[01:50:55.289 --> 01:51:01.731]  Now at Illinois schools in Chicago, the elementary students are going to get school-sponsored Satan visits.
[01:51:07.992 --> 01:51:13.355]  I mean, why we don't rise up and tear that down?
[01:51:13.355 --> 01:51:15.096]  You know, I'll join in.
[01:51:15.096 --> 01:51:18.338]  I mean, this is... When are we going to say enough is enough?
[01:51:18.338 --> 01:51:20.619]  Satan?
[01:51:20.619 --> 01:51:21.439]  Wow.
[01:51:21.439 --> 01:51:22.220]  Look at that.
[01:51:22.220 --> 01:51:23.901]  That can't be real.
[01:51:23.901 --> 01:51:25.461]  No, that's sold at Target.
[01:51:25.461 --> 01:51:27.843]  Let's Summon Demons for ages 6 to 10.
[01:51:27.843 --> 01:51:29.083]  That recommended.
[01:51:29.083 --> 01:51:34.967]  And they are teaching now in the Chicago schools, Satan time.
[01:51:34.967 --> 01:51:36.828]  Well, brother, I was at Borders Books.
[01:51:37.961 --> 01:51:38.742]  I love bookstores.
[01:51:38.742 --> 01:51:39.382]  I'm old-fashioned.
[01:51:39.382 --> 01:51:41.364]  I love old record stores as well.
[01:51:41.364 --> 01:51:45.327]  And they had a whole section for kids about how to summon demons.
[01:51:45.327 --> 01:51:54.635]  And you know, Alex, you and I haven't talked about this, but Epstein and all this stuff and the Clintons and all of it, that island and the involvement with the children.
[01:51:54.635 --> 01:51:57.338]  See, I don't think it's a sexual thing.
[01:51:57.338 --> 01:52:00.160]  I've always thought it was, you know, you create a riff.
[01:52:00.160 --> 01:52:01.662]  You know enough about this stuff.
[01:52:01.662 --> 01:52:03.023]  You create a riff in a human being.
[01:52:03.023 --> 01:52:05.545]  You create a tear in their soul through trauma.
[01:52:06.149 --> 01:52:07.790]  And then it allows the demonic in.
[01:52:07.790 --> 01:52:09.531]  So, you have to invite this stuff in.
[01:52:09.531 --> 01:52:11.912]  We are protected by God.
[01:52:11.912 --> 01:52:13.152]  You have to allow this stuff in.
[01:52:13.152 --> 01:52:14.813]  You summon a demon, you've got it.
[01:52:14.813 --> 01:52:16.434]  You want a demon, you're gonna get it.
[01:52:16.434 --> 01:52:17.834]  You want evil?
[01:52:17.834 --> 01:52:20.235]  Oh, man, you're gonna get it.
[01:52:20.235 --> 01:52:22.296]  Believe me, I know.
[01:52:22.296 --> 01:52:24.057]  Wow.
[01:52:24.057 --> 01:52:26.939]  Just, it's so crazy, too.
[01:52:26.939 --> 01:52:28.479]  Like, it's all here.
[01:52:28.479 --> 01:52:31.401]  It's all happening.
[01:52:31.401 --> 01:52:34.322]  Alex, I ribbed ya.
[01:52:35.063 --> 01:52:36.044]  I teased you for years.
[01:52:36.044 --> 01:52:41.386]  We had great fun over the years.
[01:52:41.386 --> 01:52:43.568]  Tell the truth.
[01:52:43.568 --> 01:52:45.649]  You know, I'll tell you what I think.
[01:52:45.649 --> 01:52:48.490]  I'll tell you what I think about you.
[01:52:48.490 --> 01:52:49.010]  You wanna know?
[01:52:49.010 --> 01:52:52.812]  I'm all ears, man cow.
[01:52:52.812 --> 01:52:55.634]  I was friends with Rush Limbaugh.
[01:52:55.634 --> 01:52:58.876]  We grew up in the same, you know, we evolved in the same swamp there in the middle of America.
[01:53:00.692 --> 01:53:03.754]  And what the commies couldn't get, because they don't have it.
[01:53:03.754 --> 01:53:05.676]  Stupid people don't have a sense of humor.
[01:53:05.676 --> 01:53:07.077]  They couldn't get his sense of humor.
[01:53:07.077 --> 01:53:14.342]  What I've always told people is, you don't understand Jones is... Look, he's got to entertain you for hours.
[01:53:14.342 --> 01:53:15.783]  He has a sense of humor.
[01:53:15.783 --> 01:53:18.825]  I think some people don't understand that you have a sense of humor.
[01:53:18.825 --> 01:53:19.645]  I want to say that.
[01:53:19.645 --> 01:53:22.948]  To hang out with you is a lot of laughs.
[01:53:22.948 --> 01:53:25.790]  I don't think people think that hanging out with Alex Jones would be a lot of laughs.
[01:53:25.790 --> 01:53:26.610]  I don't know what they think.
[01:53:26.610 --> 01:53:27.791]  I don't care.
[01:53:27.791 --> 01:53:29.152]  But you have a great sense of humor.
[01:53:31.269 --> 01:53:35.322]  But I would bet at this point, you wish you were wrong.
[01:53:36.261 --> 01:53:38.401]  Oh, exactly.
[01:53:38.401 --> 01:53:40.102]  I don't feel vindicated, even though we are.
[01:53:40.102 --> 01:53:41.562]  I feel, I'm in a nightmare.
[01:53:41.562 --> 01:53:43.622]  I mean, we're here.
[01:53:43.622 --> 01:53:45.383]  I wish, I actually feel guilty.
[01:53:45.383 --> 01:53:48.063]  And I can't stop, I feel like I didn't do enough, man.
[01:53:48.063 --> 01:53:48.963]  Cal, how do you feel?
[01:53:48.963 --> 01:53:51.684]  Because you say, oh Alex, you were a trollblazer.
[01:53:51.684 --> 01:53:53.684]  You were covering all the big New World Order topics.
[01:53:53.684 --> 01:53:55.104]  You know what's going on.
[01:53:55.104 --> 01:53:56.704]  You've been in a lot of big movies and TV shows.
[01:53:56.704 --> 01:53:57.625]  You know everybody.
[01:53:57.625 --> 01:53:59.325]  And you saw what's going on in Hollywood.
[01:53:59.325 --> 01:54:00.865]  I was on your show 20 years ago.
[01:54:00.865 --> 01:54:02.025]  You were covering the same stuff.
[01:54:02.025 --> 01:54:05.306]  So what is it like to now be inside the real takeover?
[01:54:05.686 --> 01:54:10.749]  I mean, I'll ask you the same question back.
[01:54:10.749 --> 01:54:17.154]  Alex, people cannot even begin to imagine what you and I have gone through.
[01:54:17.154 --> 01:54:22.617]  You and I have talked about the, you know, the operations on, you know, just from my radio station.
[01:54:22.617 --> 01:54:29.262]  And it may have been 20 years ago, they were telling people as they were arresting him, I'm an American, the Constitution, I have rights training people.
[01:54:30.304 --> 01:54:34.888]  How they're getting rid of our cops here in Chicago to get in a national police force.
[01:54:34.888 --> 01:54:35.949]  Obama talked about this.
[01:54:35.949 --> 01:54:40.493]  They don't want local cops that will give a hoot about you.
[01:54:40.493 --> 01:54:41.694]  The slavery that's coming.
[01:54:41.694 --> 01:54:42.394]  The I.D.
[01:54:42.394 --> 01:54:43.115]  that's coming.
[01:54:43.115 --> 01:54:45.717]  I'm talking to you on my phone, but you're not going to be able to buy or sell.
[01:54:45.717 --> 01:54:48.279]  Now, you and I have read the last chapter of the Bible.
[01:54:48.279 --> 01:54:49.039]  We know how it ends.
[01:54:49.039 --> 01:54:51.381]  We know that God wins and good wins.
[01:54:51.381 --> 01:54:54.064]  But boy, do we have to go through hell to get there.
[01:54:54.064 --> 01:54:55.625]  Literal hell.
[01:54:55.625 --> 01:54:58.147]  And the other thing is,
[01:54:58.874 --> 01:55:02.356]  The other thing I want to say to you is, yeah, yeah, yes, yes, I agree with you.
[01:55:02.356 --> 01:55:03.996]  And here's what you don't get.
[01:55:03.996 --> 01:55:12.100]  I bet you thought, and I sure thought, everything I said happened.
[01:55:12.100 --> 01:55:15.161]  Everything I said was going to happen, happened.
[01:55:15.161 --> 01:55:20.704]  And do you think one person would say, wow, you called it, you were right.
[01:55:22.188 --> 01:55:22.889]  You were right!
[01:55:22.889 --> 01:55:24.289]  You think one person?
[01:55:24.289 --> 01:55:25.771]  All those callers?
[01:55:25.771 --> 01:55:26.411]  I started in 1984.
[01:55:26.411 --> 01:55:31.214]  Do you think any of those callers have called up and said, I was wrong?
[01:55:31.214 --> 01:55:33.756]  Wow.
[01:55:33.756 --> 01:55:34.657]  No.
[01:55:34.657 --> 01:55:37.839]  No, they stick with it.
[01:55:37.839 --> 01:55:44.984]  Well, yeah, like, just like the vaccine doesn't work, and it makes people sick, and then they say we're bad, that they're sick because we didn't take it.
[01:55:44.984 --> 01:55:46.585]  There's not even any logic there.
[01:55:46.585 --> 01:55:50.487]  But they just double down deeper into it.
[01:55:50.487 --> 01:55:51.108]  I got, uh,
[01:55:51.767 --> 01:55:53.208]  I did a big-time interview yesterday.
[01:55:53.208 --> 01:55:55.130]  I got attacked, you know.
[01:55:55.130 --> 01:55:56.391]  The science!
[01:55:56.391 --> 01:55:58.353]  The science!
[01:55:58.353 --> 01:56:00.735]  And the guy said, are you vaccinated?
[01:56:00.735 --> 01:56:01.516]  I said, well, wait a minute.
[01:56:01.516 --> 01:56:02.457]  Are you vaccinated?
[01:56:02.457 --> 01:56:03.898]  He goes, yes.
[01:56:03.898 --> 01:56:05.540]  I said, what if I'm not vaccinated?
[01:56:05.540 --> 01:56:08.282]  He said, well, I wouldn't feel safe.
[01:56:08.282 --> 01:56:09.443]  I said, wait, wait, wait.
[01:56:09.443 --> 01:56:12.266]  So that's a great vaccine you got.
[01:56:12.266 --> 01:56:17.010]  If I'm not vaccinated, you wouldn't want... No, he said, and I'd have you escorted out of the building.
[01:56:17.010 --> 01:56:17.551]  Wait a minute.
[01:56:18.539 --> 01:56:21.982]  That's some kind of great vaccine.
[01:56:21.982 --> 01:56:25.745]  And everybody I know that's gotten the boosters has gotten sick.
[01:56:25.745 --> 01:56:27.767]  It's, you know, you know.
[01:56:27.767 --> 01:56:30.889]  I have a family member that didn't listen to me.
[01:56:30.889 --> 01:56:36.974]  About how the people that they're saying died of COVID had four other illnesses.
[01:56:36.974 --> 01:56:43.460]  One percent, I don't need to, you know all this, but you know, just to say it again for the one millionth time, what is it, one percent?
[01:56:45.511 --> 01:56:47.012]  One percent it may have been COVID.
[01:56:47.012 --> 01:56:51.356]  Your kids have a better chance of drowning than they do of getting hurt from COVID.
[01:56:51.356 --> 01:56:54.038]  And the numbers are minuscule!
[01:56:54.038 --> 01:57:01.524]  And yet our kids are living in these center block prisons, getting brainwashed about how great communism is, how bad their skin color is.
[01:57:01.524 --> 01:57:03.025]  Well man, here's the key point.
[01:57:03.025 --> 01:57:04.786]  Do five more minutes with us and come back again sooner.
[01:57:04.786 --> 01:57:05.447]  Come down to the studio.
[01:57:05.447 --> 01:57:07.949]  We'd love to fly you and your wife down here.
[01:57:07.949 --> 01:57:08.970]  We should go visit Roger soon.
[01:57:08.970 --> 01:57:09.910]  He's hanging out with him for two weeks.
[01:57:10.922 --> 01:57:11.162]  We're good.
[01:57:32.998 --> 01:57:34.340]  We're good to go.
[01:57:48.570 --> 01:57:55.755]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[01:57:55.755 --> 01:57:57.457]  This is their big offensive.
[01:57:57.457 --> 01:57:58.918]  This is their takeover.
[01:57:58.918 --> 01:58:02.941]  And this is the point that they're at their very weakest because now they've revealed themselves.
[01:58:02.941 --> 01:58:07.905]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[01:58:07.905 --> 01:58:10.086]  Their depopulation agenda has been exposed.
[01:58:11.147 --> 01:58:16.752]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[01:58:16.752 --> 01:58:22.176]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[01:58:22.176 --> 01:58:25.859]  And when you buy products at InfoWarsTore.com, you keep us on air.
[01:58:25.859 --> 01:58:32.925]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[01:58:32.925 --> 01:58:34.987]  Both of these are in our top five best sellers.
[01:58:34.987 --> 01:58:36.188]  They are so good for your body.
[01:58:36.188 --> 01:58:37.970]  And if there's two things you do for your body,
[01:58:38.610 --> 01:58:39.712]  It's these two products.
[01:58:39.712 --> 01:58:42.838]  They're all back in stock at M4WarStore.com.
[01:58:42.838 --> 01:58:44.340]  50% off and it keeps us on the air.
[01:58:44.340 --> 01:58:46.223]  Only way we fail is if you don't take action.
[01:58:48.542 --> 01:59:03.353]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[01:59:03.353 --> 01:59:07.196]  It has all the vitamins, all the minerals, incredible amino acids.
[01:59:07.196 --> 01:59:13.000]  It is a game-changer for your immune system and every other function in your body, and it's a must-have.
[01:59:13.000 --> 01:59:14.201]  That's why, despite the fact
[01:59:14.781 --> 01:59:17.323]  That it's selling out at current sales rates.
[01:59:17.323 --> 01:59:21.948]  We're going to keep it on sale for another seven days.
[01:59:21.948 --> 01:59:25.171]  So we're running this until next Thursday.
[01:59:25.171 --> 01:59:27.233]  And your purchase supports the broadcast.
[01:59:27.233 --> 01:59:30.156]  I want to thank you all for shopping with InfoWars.
[01:59:30.156 --> 01:59:35.681]  Without you, we would not have been on air and the world would be a much worse position right now that it's in.
[01:59:35.681 --> 01:59:40.065]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth
[01:59:40.765 --> 01:59:44.449]  If you are receiving this transmission, you are the resistance.
[02:00:21.325 --> 02:00:40.269]  All right, in closing, Eric and Kal Muller running for Governor of Illinois.
[02:00:40.269 --> 02:00:41.969]  This is not a publicity stunt, is it?
[02:00:41.969 --> 02:00:45.390]  And he also had some Roger Stone comments there.
[02:00:45.390 --> 02:00:46.290]  Anything else you'd like to add?
[02:00:46.290 --> 02:00:47.170]  Great to have you here with us.
[02:00:48.351 --> 02:00:49.552]  No, this is not a stunt.
[02:00:49.552 --> 02:00:50.792]  Of course, you know, they chuckle.
[02:00:50.792 --> 02:00:51.472]  They chuckle at me.
[02:00:51.472 --> 02:00:52.973]  They chuckle at you.
[02:00:52.973 --> 02:00:56.114]  And, boy, then everything comes true.
[02:00:56.114 --> 02:00:57.435]  People are leaving.
[02:00:57.435 --> 02:00:58.295]  People are afraid to come here.
[02:00:58.295 --> 02:00:59.335]  I talk to people all over the world.
[02:00:59.335 --> 02:01:00.296]  We're going to change all that.
[02:01:00.296 --> 02:01:02.777]  We're going to make it a destination once again.
[02:01:02.777 --> 02:01:08.999]  You know, Alex, it occurred to me that you were kind of like John Baptist and Tucker Carlson.
[02:01:08.999 --> 02:01:11.180]  Well, I mean, my job has been to wake up other people.
[02:01:11.180 --> 02:01:13.641]  I figured other men and women would see this and fight back.
[02:01:13.641 --> 02:01:16.082]  I think we've both kind of been doing that.
[02:01:16.082 --> 02:01:16.262]  Yeah.
[02:01:17.446 --> 02:01:19.167]  Yeah, these are perilous times.
[02:01:19.167 --> 02:01:31.051]  Brother, I'm just telling you, and I know you've been going through it for years, and everyone listening and watching has gone through it, but the amount of, you know, you want to do something satanic, you want to do something X-rated, no problem.
[02:01:31.051 --> 02:01:36.613]  You put up a joke about Fauci or Jeffrey Epstein, and oh my God!
[02:01:36.613 --> 02:01:38.654]  It's the end of the world to the internet.
[02:01:38.654 --> 02:01:40.855]  This is really frightful times.
[02:01:40.855 --> 02:01:45.516]  So I hope more people stand up or we're going to be living in communism.
[02:01:45.516 --> 02:01:46.217]  A prison planet.
[02:01:47.288 --> 02:01:47.668]  I agree.
[02:01:47.668 --> 02:01:52.752]  So when is the gubernatorial election for folks that don't know Illinois?
[02:01:52.752 --> 02:01:53.493]  Say that again?
[02:01:53.493 --> 02:01:55.334]  When is the gubernatorial date?
[02:01:55.334 --> 02:01:57.756]  This November?
[02:01:57.756 --> 02:02:05.762]  Brother, I'm telling you, the minute I announced there were workers all around my house messing with the wires outside... No, no, I hear you.
[02:02:05.762 --> 02:02:06.683]  I'm Angel.
[02:02:06.683 --> 02:02:11.607]  When is the governor's race this year in November?
[02:02:11.607 --> 02:02:12.988]  Yes, I remember you well.
[02:02:13.760 --> 02:02:14.880]  I've known you for 20 years.
[02:02:14.880 --> 02:02:17.261]  Oh, this is hilarious.
[02:02:17.261 --> 02:02:18.622]  We gotta get your ass in studio.
[02:02:18.622 --> 02:02:20.263]  You haven't been out in Austin a long time.
[02:02:20.263 --> 02:02:23.364]  And I should come up and see you there.
[02:02:23.364 --> 02:02:26.565]  The Illinois Governor's race is this year, correct?
[02:02:26.565 --> 02:02:27.065]  Yes, sir.
[02:02:27.065 --> 02:02:29.446]  Yeah, look, I'll see you there.
[02:02:29.446 --> 02:02:30.127]  I'll see you there.
[02:02:30.127 --> 02:02:31.267]  Yes, absolutely.
[02:02:31.267 --> 02:02:33.908]  Pick your ass with a feather.
[02:02:33.908 --> 02:02:35.049]  Particularly nice weather.
[02:02:35.049 --> 02:02:35.889]  Yes, I hear you.
[02:02:36.903 --> 02:02:39.249]  Alright, yeah, obviously we got major problems.
[02:02:39.249 --> 02:02:41.414]  But hey, that's technology, you gotta work it out.
[02:02:41.414 --> 02:02:43.539]  Alright, well Mancow, good luck with the run.
[02:02:43.539 --> 02:02:45.122]  Watch the website again.
[02:02:45.122 --> 02:02:46.566]  How do people find you running for governor?
[02:02:48.010 --> 02:02:49.631]  mancalforgovernor.com.
[02:02:49.631 --> 02:02:55.894]  And Alex, they've come after me a few times for being friends with you, and I stand strong.
[02:02:55.894 --> 02:02:57.515]  Not all of our friends are perfect.
[02:02:57.515 --> 02:03:00.477]  You've probably been embarrassed by me a few times, too.
[02:03:00.477 --> 02:03:04.319]  But I love you, and I pray for you, and I wish you good luck with everything.
[02:03:04.319 --> 02:03:05.159]  God bless.
[02:03:05.159 --> 02:03:05.659]  Absolutely.
[02:03:05.659 --> 02:03:08.721]  Just in closing, now that your audio's back, you can hear me.
[02:03:08.721 --> 02:03:09.381]  How was Roger?
[02:03:09.381 --> 02:03:10.702]  You just spent two weeks with Roger Stone.
[02:03:10.702 --> 02:03:12.583]  He's a character, isn't he?
[02:03:12.583 --> 02:03:14.604]  You know, I just told you I didn't want to talk about that!
[02:03:17.436 --> 02:03:24.219]  Oh, because you guys... You know, Roger... No, no, I gotta tell you because Roger and I joke about this.
[02:03:24.219 --> 02:03:27.181]  Alex, don't say this.
[02:03:27.181 --> 02:03:28.441]  And then of course you jump on.
[02:03:28.441 --> 02:03:30.002]  You have no filter.
[02:03:30.002 --> 02:03:30.842]  You have no filter.
[02:03:30.842 --> 02:03:31.683]  I love it about you.
[02:03:31.683 --> 02:03:34.024]  Yes, I went down to Florida to taste some freedom.
[02:03:34.024 --> 02:03:36.885]  I was trying to find our current governor, Governor Pugsley.
[02:03:37.785 --> 02:03:39.445]  Dinsdale, Dinsdale!
[02:03:39.445 --> 02:03:45.666]  And I did a great video where I was looking for him around Mar-a-Lago and all the other places that our governor likes to hang out.
[02:03:45.666 --> 02:03:56.148]  And yeah, I did see Roger Stone and Kirsten Davis and Karen Turk, who you should have on your show, and Lisa Loomer, and all kinds of local folks.
[02:03:56.148 --> 02:03:58.829]  And we just, an old friend of yours, I can't remember his name.
[02:03:58.829 --> 02:04:04.070]  Anyway, I just had a great time smoking cigars, hanging out with the Cuban community in Florida.
[02:04:04.070 --> 02:04:06.230]  Brother, you want to talk about patriots.
[02:04:06.883 --> 02:04:11.784]  By the way, Mancow, you said you didn't want to get into was Roger involved in your campaign.
[02:04:11.784 --> 02:04:13.024]  You shoot videos with him.
[02:04:13.024 --> 02:04:14.645]  Everybody knows you've been in Florida.
[02:04:14.645 --> 02:04:15.745]  So I don't give up sources.
[02:04:15.745 --> 02:04:17.565]  That's not what happened here.
[02:04:17.565 --> 02:04:18.846]  No, no, no.
[02:04:18.846 --> 02:04:27.307]  Alex, Alex, the reason I didn't want to talk about it is he's not my campaign manager.
[02:04:27.307 --> 02:04:28.488]  And I am running for governor.
[02:04:28.488 --> 02:04:29.968]  And then, oh, he met with Stone.
[02:04:29.968 --> 02:04:31.548]  Oh, and now... No, I got it.
[02:04:31.548 --> 02:04:33.549]  I was just asking, how's Roger and his wife doing?
[02:04:33.549 --> 02:04:34.069]  Holy hell.
[02:04:35.583 --> 02:04:39.944]  No, but I'm just telling you my reality living here in the prison state of Illinois.
[02:04:39.944 --> 02:04:43.645]  Now, and they don't have to print the truth, now he's my campaign manager.
[02:04:43.645 --> 02:04:44.705]  I met with him for two weeks.
[02:04:44.705 --> 02:04:46.266]  Hey, listen, great interview.
[02:04:46.266 --> 02:04:50.607]  What is that little creature on the top shelf that is brown with little yellow arms?
[02:04:50.607 --> 02:04:54.928]  What is that creature up there?
[02:04:54.928 --> 02:04:55.948]  This thing?
[02:04:55.948 --> 02:04:56.208]  Yeah.
[02:04:58.818 --> 02:05:14.014]  Christmas 2021 is over, but you've still got a really great chance to give yourself the gift of free speech and liberty and freedom into the new year, all at the same time making yourself healthier, wealthier, and wiser by boosting your immune system.
[02:05:14.014 --> 02:05:19.479]  Two of our top selling products that have been sold out for a long time are now back in stock.
[02:05:20.180 --> 02:05:26.502]  Winter Sun, the highest quality vitamin D3, take it under the tongue for higher absorption, is back in stock.
[02:05:26.502 --> 02:05:29.943]  Despite the fact it's been sold out for months, it is 50% off.
[02:05:29.943 --> 02:05:43.246]  And then our number one bestseller of all time, Survival Shield X2 Deep Earth Crystal Iodine, the game changer, the missing link, not just for immune system, but all electrochemical activity in the body, it's back in stock, 50% off.
[02:05:43.246 --> 02:05:44.767]  So that's the New Year's special.
[02:05:45.267 --> 02:05:48.529]  And that's Christmas comes early in 2022, ladies and gentlemen.
[02:05:48.529 --> 02:05:55.433]  Give yourself the gift of health and clarity and focus with X2 and Winter Sun at infowarestore.com.
[02:05:55.433 --> 02:05:57.294]  50% off for a limited time.
[02:05:57.294 --> 02:06:02.297]  Thanks for keeping us on the air.
[02:06:02.297 --> 02:06:07.941]  The answer to 1984 is 1776.
[02:06:07.941 --> 02:06:14.225]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:06:21.291 --> 02:06:25.855]  All right, we have a Oath Keeper whistleblower joining us.
[02:06:25.855 --> 02:06:30.839]  And by whistleblower, they're blowing the whistle on what they saw, what concerned them, what was going on.
[02:06:30.839 --> 02:06:32.841]  We know feds were involved in provocateuring the event.
[02:06:32.841 --> 02:06:39.567]  We know Oath Keepers is just full of great veterans of the military and current police that do follow their oaths.
[02:06:39.567 --> 02:06:41.028]  And I never thought Stuart Rhodes
[02:06:42.557 --> 02:06:43.877]  Was the Fed.
[02:06:43.877 --> 02:06:45.177]  I haven't told people here privately.
[02:06:45.177 --> 02:06:47.978]  I'm like, well, obviously the Feds infiltrated January 6th.
[02:06:47.978 --> 02:06:48.678]  We know who they are.
[02:06:48.678 --> 02:06:50.498]  They got caught, a bunch of them.
[02:06:50.498 --> 02:06:59.420]  But I said, you know, I didn't hear Stewart saying he was going to, you know, try to engage in an attempt to trigger a civil war.
[02:06:59.420 --> 02:07:10.822]  But if you read the indictment that I've got right here, we're going to cover this more coming up with a special guest who was in Oath Keepers and got out of it right before this all went down because he saw some disturbing things.
[02:07:10.822 --> 02:07:11.602]  This is crazy.
[02:07:12.523 --> 02:07:21.169]  Now I saw him make stuff about Owen out of whole cloth, so this is Stephen King level fiction if it's not true.
[02:07:21.169 --> 02:07:22.851]  This is unbelievable.
[02:07:22.851 --> 02:07:30.076]  And so, if there was an element of citizens doing this, and it wasn't just the feds running all of the
[02:07:32.207 --> 02:07:33.288]  I'll say it.
[02:07:33.288 --> 02:07:34.148]  I'm not like the feds.
[02:07:34.148 --> 02:07:35.329]  I don't lie on purpose.
[02:07:35.329 --> 02:07:35.969]  I make mistakes.
[02:07:35.969 --> 02:07:41.111]  But I'm not up here trying to have a civil war with the federal government.
[02:07:41.111 --> 02:07:46.793]  I'm not trying to be the leader and play army in the backyard.
[02:07:46.793 --> 02:07:51.694]  But it's not just Stuart Rhodes of this indictment that's playing army.
[02:07:51.694 --> 02:07:56.556]  It's the federal government and these agencies are really trying to start a civil war.
[02:07:56.556 --> 02:07:57.296]  Here's what I want to say.
[02:08:00.373 --> 02:08:16.507]  I'm not saying that Stuart Rhodes was actually trying to overthrow what they saw as an illegitimate government because I can't believe anything these people say or do.
[02:08:16.507 --> 02:08:20.831]  But if we do find out it's true, it's wrong, what happened?
[02:08:20.831 --> 02:08:25.935]  That said, I have a giant stack of news right here from yesterday and today.
[02:08:25.935 --> 02:08:26.836]  Five inches tall.
[02:08:29.616 --> 02:08:37.860]  Biden and General Milley and Nancy Pelosi and Maxine Waters and just Hillary Clinton.
[02:08:37.860 --> 02:08:42.722]  I mean, all of them saying we're in a civil war.
[02:08:42.722 --> 02:08:46.244]  We're going to have to arrest millions of people and put them in camps.
[02:08:46.244 --> 02:08:48.905]  And we got to lock up all the unvaccinated, too.
[02:08:48.905 --> 02:08:56.168]  And they're just trying to get the idea that they can just start arresting everybody because they know they were about to plunge the economy and bring in this whole globalist system.
[02:08:58.388 --> 02:09:02.571]  So this is going to screw over everybody.
[02:09:02.571 --> 02:09:08.694]  And imagine if people wouldn't have followed Lenin's orders in the first days of the Soviet Union.
[02:09:08.694 --> 02:09:14.798]  Or if people wouldn't have followed Hitler's orders in Nazi Germany early on.
[02:09:14.798 --> 02:09:22.383]  And so I'm not going to be tricked into just being an enemy of everybody in corporations, everybody in the government.
[02:09:22.383 --> 02:09:25.685]  They're people like us.
[02:09:25.685 --> 02:09:27.106]  And they're compartmentalized though.
[02:09:28.479 --> 02:09:36.702]  The good people are on the bottom, the people that follow orders are in the middle, and the people that are really bad news are at the top now.
[02:09:36.702 --> 02:09:39.843]  And so this is a big deal.
[02:09:39.843 --> 02:09:49.087]  And they are publicly branding the American people as terrorists and setting up new agencies to deal with the American threat.
[02:09:49.087 --> 02:09:55.329]  And when your own government turns inward and says the public's the main threat, you know you're in a banana republic.
[02:09:57.762 --> 02:10:10.628]  And then I've got all the articles, mainstream news going, yeah, the Pentagon scared you and used mass psychology, which is the same thing as mass hysteria, which is the same thing as mass formation psychosis.
[02:10:10.628 --> 02:10:15.390]  But we're still going to try to ban Joe Rogan because he talked about it.
[02:10:15.390 --> 02:10:16.791]  I covered that the first hour.
[02:10:16.791 --> 02:10:19.032]  Mainline news headlines.
[02:10:19.032 --> 02:10:19.592]  Yeah.
[02:10:19.592 --> 02:10:22.093]  Financial Times of London, Washington Post.
[02:10:22.093 --> 02:10:23.254]  Yeah.
[02:10:23.254 --> 02:10:23.514]  Yeah.
[02:10:23.514 --> 02:10:24.555]  We're brainwashing you.
