[00:00.000 --> 00:07.000]  And now, without a heart to call my own, I've been a happiness I've never known
[57:31.000 --> 57:34.000]  But I've done 1,500 radio interviews
[57:34.000 --> 57:37.000]  Since 9-11, I've probably done a 500 before that
[57:37.000 --> 57:40.000]  And used to, I had my own talk show
[57:40.000 --> 57:43.000]  And instead of just having three phone lines
[57:43.000 --> 57:47.000]  On this tello system
[57:47.000 --> 57:49.000]  Because there's like ten here
[57:49.000 --> 57:50.000]  But only three are connected
[57:50.000 --> 57:52.000]  There's only three real phones
[57:52.000 --> 57:54.000]  I'd be on a local KGFK radio
[57:54.000 --> 57:56.000]  I don't know, with eight, nine, ten lines
[57:56.000 --> 57:57.000]  At first I only had a few lines
[57:57.000 --> 57:58.000]  And they added more
[57:58.000 --> 58:00.000]  But the point is I could load these phone lines up
[58:00.000 --> 58:03.000]  And it's the same on my syndicated show today
[58:03.000 --> 58:06.000]  I can load these phones up
[58:06.000 --> 58:09.000]  And I can just go
[58:09.000 --> 58:11.000]  Caller, caller, caller, caller
[58:11.000 --> 58:13.000]  For hours, days, weeks
[58:13.000 --> 58:14.000]  No one disagreeing
[58:14.000 --> 58:17.000]  On the air in Denver, on the air in LA
[58:17.000 --> 58:19.000]  On the air in Rochester, New York
[58:19.000 --> 58:21.000]  Pensacola, Florida, Kansas City, Missouri
[58:21.000 --> 58:23.000]  You know, Fredericksburg, Texas
[58:23.000 --> 58:26.000]  Oh, just caller, caller, caller, caller
[58:26.000 --> 58:27.000]  Yes, you're right
[58:27.000 --> 58:28.000]  I'm a SWAT team leader, you're right
[58:28.000 --> 58:29.000]  I'm a police officer, you're right
[58:29.000 --> 58:32.000]  I'm an electrical engineer, you're right
[58:32.000 --> 58:34.000]  I'm a, you know, school teacher, you're right
[58:34.000 --> 58:35.000]  Blah, blah, blah
[58:35.000 --> 58:36.000]  They're doing this, you know
[58:36.000 --> 58:38.000]  Because they've all seen it happen
[58:38.000 --> 58:40.000]  What I told them would happen is now happened
[58:40.000 --> 58:43.000]  Whereas used to, if I had ten phone lines
[58:43.000 --> 58:46.000]  Half of them would disagree with me
[58:46.000 --> 58:48.000]  Half of them would disagree
[58:48.000 --> 58:51.000]  Now, that's not the case
[58:51.000 --> 58:53.000]  Just day after day, week after week
[58:53.000 --> 58:57.000]  Uh, uh, uh, uh, uh, just, uh, uh
[58:57.000 --> 58:58.000]  And we don't even screen the calls
[58:58.000 --> 59:00.000]  You call them like, try to get in the station
[59:00.000 --> 59:02.000]  Like K.L.B.J. and it's like
[59:02.000 --> 59:04.000]  You got a good opinion, we can't have you on
[59:04.000 --> 59:06.000]  You're not a liberal or a conservative
[59:06.000 --> 59:07.000]  We can't have you on, but their effort
[59:07.000 --> 59:08.000]  Was a little bit better
[59:08.000 --> 59:10.000]  Del, uh, Del Del is pretty good
[59:10.000 --> 59:13.000]  But, uh, the point here is
[59:13.000 --> 59:15.000]  Is that I've done all these interviews
[59:15.000 --> 59:16.000]  And the host will be attacking me
[59:16.000 --> 59:18.000]  And no one's calling in to disagree
[59:18.000 --> 59:20.000]  And they'll go, it's a full moon, you're all crazy
[59:20.000 --> 59:21.000]  What happened?
[59:21.000 --> 59:23.000]  Well, we saw that you were a body snatcher
[59:23.000 --> 59:24.000]  Is what happened
[59:24.000 --> 59:25.000]  We saw the big picture
[59:25.000 --> 59:26.000]  And that's figurative
[59:26.000 --> 59:27.000]  Before I get quoted by The New York Times
[59:27.000 --> 59:29.000]  Just believing in body snatchers
[59:29.000 --> 59:31.000]  And other sundry night creatures
[59:31.000 --> 59:33.000]  My point is, is the world's round
[59:33.000 --> 59:35.000]  A few years ago, you were saying it was flat
[59:35.000 --> 59:37.000]  And you were the, you were normal
[59:37.000 --> 59:40.000]  Everybody still bought your bull
[59:40.000 --> 59:42.000]  You fat-bellied, you know, yuppies
[59:42.000 --> 59:44.000]  And trendy liberals
[59:44.000 --> 59:46.000]  And, you know, you make me sick
[59:46.000 --> 59:47.000]  All of you, you're filth
[59:47.000 --> 59:49.000]  You're mindless idiots
[59:49.000 --> 59:51.000]  Wake up human beings
[59:51.000 --> 59:53.000]  You've got the value
[59:53.000 --> 59:55.000]  Who cares what the people at the, you know
[59:55.000 --> 59:57.000]  U.T. peace rally think when you
[59:57.000 --> 59:59.000]  Go, well, wait, the government's building camps
[59:59.000 --> 01:00:00.000]  And enslaving us
[01:00:00.000 --> 01:00:02.000]  Why shouldn't we own guns and defend ourselves?
[01:00:02.000 --> 01:00:03.000]  Ah!
[01:00:03.000 --> 01:00:05.000]  But wait, Shagovar is good to have a gun
[01:00:05.000 --> 01:00:07.000]  Well, yes, in the Soviet rule
[01:00:07.000 --> 01:00:10.000]  It's good, but only certain of us, you know
[01:00:10.000 --> 01:00:11.000]  Come on!
[01:00:11.000 --> 01:00:12.000]  Come on!
[01:00:12.000 --> 01:00:14.000]  Come on!
[01:00:14.000 --> 01:00:17.000]  Break your conditioning or it's all over
[01:00:17.000 --> 01:00:19.000]  I've committed to my life to this
[01:00:19.000 --> 01:00:21.000]  I get to live a long, happy life
[01:00:21.000 --> 01:00:23.000]  If I'm lucky, if we win, I die
[01:00:23.000 --> 01:00:24.000]  We lose here in the near future
[01:00:24.000 --> 01:00:26.000]  But, you know, it doesn't matter
[01:00:26.000 --> 01:00:28.000]  In their attack, in their crushing us, we win
[01:00:28.000 --> 01:00:30.000]  We will win, it is for destined
[01:00:30.000 --> 01:00:32.000]  It is guaranteed
[01:01:30.000 --> 01:01:32.000]  It is good, but only certain of us, you know
[01:01:32.000 --> 01:01:33.000]  Come on!
[01:01:33.000 --> 01:01:34.000]  Come on!
[01:01:34.000 --> 01:01:36.000]  Break your conditioning or it's all over
[01:01:36.000 --> 01:01:38.000]  I've committed to my life to this
[01:01:38.000 --> 01:01:40.000]  I get to live a long, happy life
[01:01:40.000 --> 01:01:42.000]  If I'm lucky, if we win, I die
[01:01:42.000 --> 01:01:44.000]  We lose here in the near future
[01:01:44.000 --> 01:01:46.000]  But, you know, it doesn't matter
[01:01:46.000 --> 01:01:48.000]  In their attack, in their crushing us, we win
[01:01:48.000 --> 01:01:50.000]  We lose here in the near future
[01:01:50.000 --> 01:01:52.000]  But, you know, it doesn't matter
[01:01:52.000 --> 01:01:54.000]  In their attack, in their crushing us, we win
[01:01:54.000 --> 01:01:56.000]  We lose here in the near future
[01:01:56.000 --> 01:01:58.000]  But, you know, it doesn't matter
