[00:00:08.629 --> 00:00:10.510]  It's Sunday, August 1st.
[00:51:36.685 --> 00:51:39.627]  I went to Lake Tahoe for a workcation.
[00:51:40.439 --> 00:51:41.860]  I went to CVS twice.
[00:51:41.860 --> 00:51:43.720]  I went to a few restaurants.
[00:51:43.720 --> 00:51:45.141]  Everyone mobbed me.
[00:51:45.141 --> 00:51:48.182]  The owners, the busboys, the waitresses.
[00:51:48.182 --> 00:51:51.123]  I mean, I went to CVS and was in there 30 minutes.
[00:51:51.123 --> 00:51:55.564]  I was just trying to buy some Neosporin and Band-Aids for my four-year-old that cut her foot.
[00:51:55.564 --> 00:51:58.285]  I mean, all this kind of stuff is going on.
[00:51:58.285 --> 00:51:59.865]  It's totally insane.
[00:51:59.865 --> 00:52:01.386]  It's absolutely out of control.
[00:52:02.147 --> 00:52:06.533]  Uh, what the globalists are doing, but the people are really, really waking up.
[00:52:06.533 --> 00:52:11.700]  And I think Klaus Schwab up in his ivory towers, I think Bill Gates in his ivory tower doesn't know what's happening.
[00:52:12.890 --> 00:52:22.952]  He doesn't, but I want to say something else really quick because now the government's terrified that we're achieving this level of the silent majority being engaged along with the political people, along with the freedom lovers.
[00:52:22.952 --> 00:52:28.594]  So they're trying to subvert the movement here in Canada with a supposed political freedom movement.
[00:52:28.594 --> 00:52:38.736]  And they're using the PPC party and Maxime Bernier as this Trojan horse to try to mislead the people and try to give the people a so-called political option to this.
[00:52:38.976 --> 00:52:41.517]  Because they know the people are ready to act.
[00:52:41.517 --> 00:52:44.959]  They're ready for United Non-Compliance Phase 2, taking action.
[00:52:44.959 --> 00:52:50.763]  And the best way to stop people from taking action is to give them a pretend viable political solution.
[00:52:50.763 --> 00:52:53.304]  That way, they don't use their anger and take action.
[00:52:53.304 --> 00:52:54.705]  Instead, they just vote.
[00:52:54.705 --> 00:52:58.207]  And they sit down back on their couch and they wait for this politician to save them.
[00:52:58.207 --> 00:53:01.949]  Maxine Bernier has been telling everyone he's this big freedom fighter.
[00:53:01.949 --> 00:53:04.450]  He's been telling everybody, don't listen to Chris Sky.
[00:53:04.450 --> 00:53:05.631]  He just wants to sell a book.
[00:53:05.891 --> 00:53:11.395]  Well I found out Maxime Bernier and the PPC party are making money off the sale of face masks.
[00:53:11.395 --> 00:53:21.643]  I found out Maxime Bernier was working with George Soros and the Tides Foundation all the way back until 2005 as the head of the Sustainable Development Committee in Canada.
[00:53:21.643 --> 00:53:27.188]  So he's not a freedom fighter, he's a globalist just like all the rest, and they have this phony political movement.
[00:53:27.188 --> 00:53:28.869]  It all started on Canada Day.
[00:53:28.869 --> 00:53:29.650]  Let me just say this, Chris.
[00:53:31.751 --> 00:53:36.054]  You're the superstar that predicted it all, that's a great guy, grassroots person.
[00:53:36.054 --> 00:53:39.476]  I don't know who these people are, I'm not doubting you, but it's a distraction.
[00:53:39.476 --> 00:53:41.958]  I see the whisper campaigns against you.
[00:53:41.958 --> 00:53:45.260]  Every time we have him on, we get all these messages, don't have him on, he's bad.
[00:53:45.260 --> 00:53:46.501]  I know it's all crap.
[00:53:46.501 --> 00:53:49.223]  I think you're above these people, and I think you should just ignore them.
[00:53:50.461 --> 00:53:57.709]  That's the best thing, but I have to point it out because I want everybody to understand there is no political solution to this problem.
[00:53:57.709 --> 00:53:58.490]  I agree.
[00:53:58.490 --> 00:54:01.393]  You've got to stop hoping some magic person does it.
[00:54:01.393 --> 00:54:04.937]  You've got to start saying no and give people some examples of how they do that.
[00:54:06.030 --> 00:54:06.850]  That's what you gotta do.
[00:54:06.850 --> 00:54:09.792]  So we got people in different groups to take action.
[00:54:09.792 --> 00:54:13.334]  And when we have a big protest, we break the people down into smaller groups.
[00:54:13.334 --> 00:54:15.695]  The first group we do is the small business owners.
[00:54:15.695 --> 00:54:18.716]  And we get them to organize as many small businesses as possible.
[00:54:18.716 --> 00:54:20.297]  And we organize an opening date.
[00:54:20.297 --> 00:54:24.259]  We did that in British Columbia, the west coast of Canada, where the businesses were hungry.
[00:54:24.259 --> 00:54:28.061]  And in one month, we got almost 2,000 businesses organized to open.
[00:54:28.061 --> 00:54:33.603]  And the government allowed them to open the day after our opening date that we declared.
[00:54:33.603 --> 00:54:34.684]  And if you look at a place like
[00:54:34.684 --> 00:54:40.188]  Like Ontario, where I live, we just got those same restrictions lifted maybe a couple weeks ago.
[00:54:40.188 --> 00:54:43.390]  So when people take action, that's what makes the government act.
[00:54:43.390 --> 00:54:43.630]  Absolutely.
[00:54:43.630 --> 00:54:45.132]  Submission is death.
[00:54:45.132 --> 00:54:46.192]  Resistance is victory.
[00:54:46.192 --> 00:54:48.314]  So let me ask you this.
[00:54:48.314 --> 00:54:49.655]  Look, I got a crystal ball.
[00:54:49.655 --> 00:54:51.036]  Research your own documents.
[00:54:51.036 --> 00:54:52.557]  You've got one, your own research and documents.
[00:54:52.557 --> 00:54:53.858]  And I really respect your view on this.
[00:54:54.358 --> 00:54:56.779]  Why do you think they've been covering up numbers before?
[00:54:56.779 --> 00:55:00.081]  Why are they admitting the vast majority of the ill are vaccinated?
[00:55:00.081 --> 00:55:02.422]  Why are they admitting they're the ones shedding viruses?
[00:55:02.422 --> 00:55:06.484]  Why are they... I mean, is that just that real scientists are putting out real numbers?
[00:55:06.484 --> 00:55:08.265]  Because the media doesn't know how to deal with this.
[00:55:08.265 --> 00:55:08.945]  They don't know what to do.
[00:55:08.945 --> 00:55:13.708]  I mean, the fact that, again, all over the world, it's the people that are getting the shots that are sick.
[00:55:13.708 --> 00:55:18.110]  Again, as I predicted a year ago, as you predicted a year ago, it's not from COVID.
[00:55:18.110 --> 00:55:19.131]  It's from the vaccine.
[00:55:19.131 --> 00:55:21.672]  They're calling vaccine illness new COVID.
[00:55:22.819 --> 00:55:30.427]  Well, it's kind of hard to sweep under the rug that three quarters of all COVID cases, including places like Singapore and all around the world, are reporting the same numbers.
[00:55:30.427 --> 00:55:33.711]  Three quarters of all new COVID cases are basically vaccinated people.
[00:55:33.711 --> 00:55:35.873]  So they can't really sweep that under the rug.
[00:55:35.873 --> 00:55:37.755]  So what they're going to do is use it to their advantage.
[00:55:37.995 --> 00:55:40.137]  They're going to say, oh no, it's not the vaccine's fault.
[00:55:40.137 --> 00:55:41.478]  It's the new variant.
[00:55:41.478 --> 00:55:47.343]  And this new variant was created by all these unvaccinated that didn't go with the program and didn't do their part.
[00:55:47.343 --> 00:55:49.245]  And that's why this new variant is created.
[00:55:49.245 --> 00:55:52.328]  And that's why our vaccines that were supposed to save the day can't.
[00:55:52.328 --> 00:55:55.951]  They always want to position themselves as the people that are trying to help.
[00:55:55.951 --> 00:56:01.396]  And they always want to position the people like us that are really trying to help as the reason that this keeps getting perpetuated.
[00:56:02.879 --> 00:56:03.519]  Absolutely.
[00:56:03.519 --> 00:56:12.323]  When we come back, I want to play a clip of that Canadian health official saying, we don't want to ever live through the lockdowns because people will actually talk.
[00:56:12.323 --> 00:56:13.623]  Folks thought he misspoke.
[00:56:13.623 --> 00:56:18.725]  Then the Canadian, the German, the Australian, the British government all repeated what he said.
[00:56:18.725 --> 00:56:20.426]  What do you make of them being so brazen?
[00:56:21.781 --> 00:56:22.922]  Because they have no choice.
[00:56:22.922 --> 00:56:27.728]  They have to try to silence people like you and me because we're having the impact that we need to have.
[00:56:27.728 --> 00:56:30.772]  We're not just having an impact, we're having THE impact.
[00:56:30.772 --> 00:56:32.313]  We are the change.
[00:56:32.313 --> 00:56:35.377]  Like I said, I saw a massive shift in Canadian society.
[00:56:35.377 --> 00:56:36.919]  The masses have awoken.
[00:56:37.159 --> 00:56:42.104]  So now the only thing they can try to do is try to put the cap back in the bag, which we know is impossible.
[00:56:42.104 --> 00:56:48.470]  That's why they're trying to pass all these bills like C-36 and C-10 in Canada there to limit our freedom of speech.
[00:56:48.470 --> 00:56:51.553]  Because they've already taken all our other rights with the vaccine passport.
[00:56:51.553 --> 00:56:55.077]  They've already closed our businesses and destroyed our industries with the lockdowns.
[00:56:55.077 --> 00:56:58.060]  So the only thing we have left is the ability to speak about what's happening.
[00:56:58.460 --> 00:57:02.624]  And that's their number one enemy right now because we're telling the truth and they're lying.
[00:57:02.624 --> 00:57:09.870]  So they're at a huge disadvantage which is why they have to use media, government, elected officials, medical professionals to tell their lie.
[00:57:09.870 --> 00:57:13.833]  And it could just be a regular judge going around telling the truth and ruining their plans.
[00:57:14.193 --> 00:57:15.674]  Chris Sky will do five more minutes with you.
[00:57:15.674 --> 00:57:17.074]  Please come back for a full hour this week.
[00:57:17.074 --> 00:57:18.095]  You name the time.
[00:57:18.095 --> 00:57:19.595]  Tell my producers during the break.
[00:57:19.595 --> 00:57:21.096]  That's realchrissky.com.
[00:57:21.096 --> 00:57:21.536]  Check it out.
[00:57:21.536 --> 00:57:22.137]  Get his book.
[00:57:22.137 --> 00:57:23.537]  And please support us.
[00:57:23.537 --> 00:57:24.858]  Infowarsstore.com.
[00:57:24.858 --> 00:57:30.700]  Today is the last day, and it's over, to get 10% off on a high-quality, storable food ready to ship in these crazy times.
[00:57:30.700 --> 00:57:31.381]  I will get ready.
[00:57:31.381 --> 00:57:33.142]  Infowarsstore.com.
[00:57:33.142 --> 00:57:37.824]  And in one week, we're ending the sale on X2, the Deep Earth Crystal high-quality Ionine.
[00:57:37.824 --> 00:57:38.444]  It is 40% off.
[00:57:38.444 --> 00:57:38.944]  Infowarsstore.com.
[00:57:41.085 --> 00:57:43.087]  The biosecurity state is here.
[00:57:43.087 --> 00:57:46.530]  It's an anti-human eugenics operation training us that humans are dirty, bad, and evil.
[00:57:46.530 --> 00:57:48.672]  The corrupt puppet Prime Minister of Canada
[00:58:02.671 --> 00:58:08.057]  He says he admires the communist dictatorship of Xi Jinping and wishes to make Canada the same.
[00:58:08.057 --> 00:58:14.845]  Has announced that they're buying vaccines for every person in the country all the way out to 2024.
[00:58:14.845 --> 00:58:18.069]  And that in 2024 you will again take two shots.
[00:58:18.069 --> 00:58:21.333]  And he says it'll be whatever Pfizer cooks up and wants to put in your body.
[00:58:22.043 --> 00:58:23.584]  This is the Rockefeller Foundation.
[00:58:23.584 --> 00:58:25.964]  They developed this whole plan with Bill Gates.
[00:58:25.964 --> 00:58:28.745]  They're now implementing it, and now they've announced that U.S.
[00:58:28.745 --> 00:58:31.286]  policy is set by the private Rockefeller Foundation.
[00:58:31.286 --> 00:58:41.590]  Of course, the Rockefeller Foundation, by the 30s, was the main funder of Adolf A. Louis Hitler and the eugenics at Cold Springs Harbor that trained the Kaiser Wilhelm Institute in Germany.
[00:58:41.590 --> 00:58:43.011]  And bull wars will continue to set fast.
[00:58:43.011 --> 00:58:43.551]  They fight this.
[00:58:43.551 --> 00:58:45.031]  I don't know how long we can.
[00:58:45.031 --> 00:58:46.392]  The enemy's coming for us all now.
[00:58:46.392 --> 00:58:48.012]  God bless and good luck.
[00:58:48.012 --> 00:58:49.553]  I would, again, get right with God right now.
[00:58:50.968 --> 00:58:59.473]  Ladies and gentlemen, Owen Schroyer here, the host of the InfoWars War Room, and I am very excited about our latest supplement addition to InfoWarsStore.com.
[00:58:59.473 --> 00:59:10.060]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[00:59:10.060 --> 00:59:12.981]  But then I read the ingredients, and I was blown away.
[00:59:12.981 --> 00:59:13.562]  Listen to this.
[00:59:14.142 --> 00:59:15.384]  Organic pea fiber.
[00:59:15.384 --> 00:59:16.845]  Organic alfalfa leaf.
[00:59:16.845 --> 00:59:18.307]  Organic wheatgrass leaf.
[00:59:18.307 --> 00:59:19.748]  Organic cilantro leaf.
[00:59:19.748 --> 00:59:21.170]  Organic kale leaf.
[00:59:21.170 --> 00:59:22.711]  Organic flax sprout.
[00:59:22.711 --> 00:59:24.313]  Organic quinoa sprout.
[00:59:24.313 --> 00:59:27.777]  Ladies and gentlemen, all of these things are so incredible for your health.
[00:59:27.777 --> 00:59:29.038]  Just one of these ingredients
[00:59:29.278 --> 00:59:30.559]  You're listening to the Alex Jones Show!
[01:00:02.640 --> 01:00:15.088]  All right, Chris Geiser with us for one more segment.
[01:00:15.088 --> 01:00:18.130]  I'm asking him to come on for a full hour sometime this week.
[01:00:18.130 --> 01:00:21.972]  I've asked him before, he's such a busy guy, crisscrossing Canada, he hasn't been able to do it.
[01:00:21.972 --> 01:00:24.834]  And if you've never been down to the U.S., he's got a first-class ticket here.
[01:00:24.834 --> 01:00:27.195]  I want to go see him, but they won't let me into Canada.
[01:00:27.195 --> 01:00:27.975]  This charity's incredible.
[01:00:27.975 --> 01:00:28.396]  But here's the
[01:00:29.907 --> 01:00:39.457]  One of the health ministers up in Canada, since we mentioned this, saying we want to keep martial law in place so people can't get together and quote shared disinformation.
[01:00:39.457 --> 01:00:39.797]  Here it is.
[01:00:39.797 --> 01:00:43.001]  Hi there, thanks for taking my questions.
[01:00:43.001 --> 01:00:52.991]  I'm wondering about the injunction banning public gatherings and whether there really is a need for such a far-reaching one given the trajectory we're on now.
[01:00:55.231 --> 01:00:56.792]  So, I mean, I think it's still there.
[01:00:56.792 --> 01:01:02.054]  We still have, you know, bringing large numbers of people together.
[01:01:02.054 --> 01:01:05.395]  It can present some risk.
[01:01:05.395 --> 01:01:07.956]  We'll continue to look at that.
[01:01:07.956 --> 01:01:21.221]  But I think the other purpose of the injunction is to prevent, you know, groups that are spreading, deliberately spreading false information that can actually create risk.
[01:01:21.761 --> 01:01:25.784]  The information itself, if listened to, creates risk to the public as well.
[01:01:25.784 --> 01:01:31.327]  So, that certainly is a need to manage that misinformation campaign as well.
[01:01:31.327 --> 01:01:35.990]  Since he said that a month ago, I have them in a bunch of other countries, like Australia, and put it on screen saying it.
[01:01:35.990 --> 01:01:38.752]  Chris Skye, in closing, the mask is off.
[01:01:38.752 --> 01:01:40.373]  They've really overplayed their hand.
[01:01:40.373 --> 01:01:44.676]  People tend to think, when they study history, well they're the authorities, they must have the upper hand.
[01:01:44.676 --> 01:01:45.276]  No.
[01:01:45.276 --> 01:01:47.698]  Tyrants have psychological problems.
[01:01:48.498 --> 01:01:49.319]  It's mental illness.
[01:01:49.319 --> 01:01:51.601]  It's like child molesters have a compulsion.
[01:01:51.601 --> 01:01:52.802]  They are going to do this.
[01:01:52.802 --> 01:01:54.063]  They're not going to stop.
[01:01:54.063 --> 01:01:55.123]  They want to control us.
[01:01:55.123 --> 01:01:56.364]  They're control freaks.
[01:01:56.364 --> 01:01:58.466]  We have to say no.
[01:01:58.466 --> 01:02:04.290]  The point it stops, what Thomas Jefferson said 240 years ago, is the point we start saying no.
[01:02:04.290 --> 01:02:06.472]  Correct?
[01:02:06.472 --> 01:02:06.692]  100%.
[01:02:06.692 --> 01:02:08.734]  That's why I got the campaign, Just Say No.
[01:02:08.734 --> 01:02:11.876]  And it's about saying no to the vaccine.
[01:02:11.876 --> 01:02:13.137]  It's about saying no to the masks.
[01:02:13.137 --> 01:02:16.720]  It's about saying no to all the restrictions that you know are not in your best interest.
[01:02:17.709 --> 01:02:19.630]  You're a real leader of a country.
[01:02:19.630 --> 01:02:26.894]  Your job is to run the country in a way where the people can make their own decisions and attain success.
[01:02:26.894 --> 01:02:32.797]  If you're wasting energy, resources, time, and money to manage the people, then you're not a leader.
[01:02:32.797 --> 01:02:33.678]  You're a tyrant.
[01:02:33.678 --> 01:02:35.319]  And that's what we're seeing right now.
[01:02:35.319 --> 01:02:37.720]  And people need to understand that freedom is essential.
[01:02:37.720 --> 01:02:38.761]  It isn't just a tagline.
[01:02:38.761 --> 01:02:40.241]  That's the reality.
[01:02:40.241 --> 01:02:44.224]  If people don't have freedom, you cannot have a happy, content society.
[01:02:44.224 --> 01:02:46.985]  And you cannot have a society where you can actually be
[01:02:47.105 --> 01:02:48.325]  We're good to go.
[01:03:15.191 --> 01:03:19.894]  Because people have figured it out and this is what people need to realize.
[01:03:19.894 --> 01:03:21.355]  The people that are asleep.
[01:03:21.355 --> 01:03:22.656]  This is not about your health.
[01:03:22.656 --> 01:03:24.077]  This is not about your safety.
[01:03:24.077 --> 01:03:25.618]  This is about control.
[01:03:25.618 --> 01:03:36.945]  And that one little tiny thing that alters your perception from the lie that they've been telling you to the reality that is truth is what they're trying to prevent from spreading worldwide.
[01:03:36.945 --> 01:03:40.648]  And that's why they want to control what they call false information.
[01:03:41.108 --> 01:03:45.273]  And false is just a misonomer for anything we don't want you to know.
[01:03:45.273 --> 01:03:54.203]  Because it's quite obvious that the cat is out of the bag, the vaccine doesn't work, the only people getting sick are the vaccinated, there's no COVID.
[01:03:54.855 --> 01:03:56.076]  We are through it.
[01:03:56.076 --> 01:03:59.039]  They are already calling it an endemic.
[01:03:59.039 --> 01:04:03.082]  Pick a day you're coming on this week, but we're talking about Chris Sky on leadership.
[01:04:03.082 --> 01:04:04.764]  Leadership is by example.
[01:04:04.764 --> 01:04:05.865]  That's the counter to tyrants.
[01:04:05.865 --> 01:04:07.486]  They want to tell us don't lead.
[01:04:07.486 --> 01:04:08.747]  The answer is start leading.
[01:04:08.747 --> 01:04:09.768]  And that's what you're doing.
[01:04:09.768 --> 01:04:10.489]  That's what I'm doing.
[01:04:10.489 --> 01:04:11.830]  It's beautiful, my friend.
[01:04:11.830 --> 01:04:12.430]  Pick a day.
[01:04:12.430 --> 01:04:13.772]  Tell the producer right now.
[01:04:13.772 --> 01:04:14.052]  Go ahead.
[01:04:14.432 --> 01:04:16.914]  And we gotta let people know, we're leading by example.
[01:04:16.914 --> 01:04:20.956]  We're not pretending to be a messiah or a savior or telling you to follow us.
[01:04:20.956 --> 01:04:27.420]  We're just leading by example, trying to provide you the inspiration, the knowledge, and the courage to stand up for yourself.
[01:04:27.420 --> 01:04:28.241]  We lead by example.
[01:04:28.241 --> 01:04:28.761]  That's what I'm saying.
[01:04:28.761 --> 01:04:32.804]  A tyrant makes you do something, leadership, you demonstrate it.
[01:04:33.996 --> 01:04:34.836]  That's right.
[01:04:34.836 --> 01:04:36.777]  And that's what we're trying to do with this book.
[01:04:36.777 --> 01:04:38.618]  And that's what they're so afraid of.
[01:04:38.618 --> 01:04:40.359]  And if you want me to come on, I'll come on.
[01:04:40.359 --> 01:04:41.680]  I can come on even August 3rd.
[01:04:41.680 --> 01:04:42.640]  It's my birthday.
[01:04:42.640 --> 01:04:44.801]  So you can have me on on my birthday.
[01:04:44.801 --> 01:04:45.281]  Let's do it.
[01:04:45.281 --> 01:04:46.062]  Let's do it.
[01:04:46.062 --> 01:04:47.603]  Tuesday then, or Wednesday, whatever day that is.
[01:04:47.603 --> 01:04:49.563]  Chris Sky, thank you so much, folks.
[01:04:49.563 --> 01:04:53.065]  Get his book on his website, RealChrisSky.com.
[01:04:53.065 --> 01:04:54.166]  Mike Adams is coming up.
[01:04:54.166 --> 01:04:54.706]  Thank you, Chris Sky.
[01:04:58.795 --> 01:05:02.497]  As we predicted, the globalists are now launching a new lockdown.
[01:05:02.497 --> 01:05:11.063]  The first one has already destroyed the third world, already caused over 20 million extra people to starve to death, and it's caused massive supply chain problems across the western world.
[01:05:11.992 --> 01:05:18.678]  Ladies and gentlemen, now is the time for you to get high-quality, storable food that's ready to ship, while you still can, at 2020 prices.
[01:05:18.678 --> 01:05:22.201]  We have the biggest, best company in the United States as our supplier.
[01:05:22.201 --> 01:05:24.623]  Their entire catalog is at InfoWareStore.com.
[01:05:24.623 --> 01:05:29.928]  You get an additional 10% off at InfoWareStore.com, but only for one more week.
[01:05:29.928 --> 01:05:31.870]  They've told us you can extend it one more week, Alex.
[01:05:32.390 --> 01:05:33.410]  But that's it.
[01:05:33.410 --> 01:05:35.811]  They won't do this sale again until November.
[01:05:35.811 --> 01:05:38.012]  And then the food prices go up in 2022.
[01:05:38.012 --> 01:05:40.012]  This is insurance you can eat.
[01:05:40.012 --> 01:05:41.272]  It's the highest quality.
[01:05:41.272 --> 01:05:42.453]  Hundreds of high-quality foods.
[01:05:42.453 --> 01:05:44.153]  Three-month, six-month year supplies.
[01:05:44.153 --> 01:05:50.575]  All ready for you at InfoWareStore.com or call toll-free, 888-253-3139.
[01:05:50.575 --> 01:05:52.775]  Again, InfoWareStore.com.
[01:05:52.775 --> 01:05:54.236]  10% off on high-quality, affordable food.
[01:05:54.236 --> 01:05:55.016]  Ready to ship.
[01:05:55.016 --> 01:05:56.797]  But it ends in just one week.
[01:05:56.797 --> 01:05:58.477]  So take action now while you still can.
[01:06:08.739 --> 01:06:19.165]  Alex Jones, the cure to fake news, coming to you live from Austin, Texas.
[01:06:19.165 --> 01:06:22.167]  I can feel humanity awakening.
[01:06:22.167 --> 01:06:24.269]  I can feel your strength.
[01:06:24.269 --> 01:06:26.610]  I can feel your will.
[01:06:26.610 --> 01:06:30.192]  We are alive in an incredible time.
[01:06:30.192 --> 01:06:32.373]  It's Sunday, August 1st.
[01:06:32.373 --> 01:06:33.434]  The year is 2021.
[01:06:35.513 --> 01:06:42.775]  And we begin our main battle, our great stand against depopulation and world government.
[01:06:42.775 --> 01:06:45.435]  This is not a radio broadcast or TV show.
[01:06:45.435 --> 01:06:50.436]  This is an emergency transmission.
[01:06:50.436 --> 01:07:00.919]  All right, ladies and gentlemen, I'm really thankful that Mike Adams would come on today on short notice, but I was sitting there this morning, I'd already done like five hours of research, and I just couldn't believe what was happening.
[01:07:00.919 --> 01:07:02.619]  So much good stuff, so much bad stuff.
[01:07:03.887 --> 01:07:08.909]  I mean, we're talking about three university heads I've got clips of.
[01:07:08.909 --> 01:07:17.453]  Baylor Medical School, two other top heads coming out and saying the shots are deadly, don't do it, it's a disaster.
[01:07:17.453 --> 01:07:20.115]  All these other top scientists.
[01:07:20.115 --> 01:07:20.915]  I probably watched.
[01:07:22.595 --> 01:07:47.641]  Four hours today of six, seven hours of research of just clips of medical doctors and scientists and I tracked down their curriculum vitae and they'd be who they said they were and it matched with the research and the documents of the CDC saying 74% of the new COVID cases are people that are vaccinated and they're worse and most of the deaths are in them and then the same thing in Israel, the same thing in Singapore, the same thing in Gibraltar, the same thing
[01:07:48.846 --> 01:07:50.127]  The same thing in Iceland?
[01:07:50.127 --> 01:08:05.697]  And I'm looking at all this, and then I'm looking at the patents that we talked about over a year ago when Mike Adams was on with us, where at Chapel Hill, North Carolina, Fauci and Bill Gates, the patents on gain-of-function for the coronavirus and all of it.
[01:08:05.697 --> 01:08:06.578]  It's just mind-blowing.
[01:08:07.637 --> 01:08:08.437]  And then the U.N.
[01:08:08.437 --> 01:08:09.758]  saying it's the Great Reset.
[01:08:09.758 --> 01:08:11.758]  So, Mike joins us for the hour.
[01:08:11.758 --> 01:08:15.959]  I'll host some into the next hour with Harrison Smith, who's doing Sunday live tonight.
[01:08:15.959 --> 01:08:20.640]  That's a great show, because we cut it to six minutes of ads an hour just for the radio and TV stations.
[01:08:20.640 --> 01:08:25.702]  We took our network ads out, and I'm working on a system where we pull half our ads out as well for the rest of the shows.
[01:08:25.702 --> 01:08:29.303]  But people that are used to podcasts ask, why do you have 14 minutes of ads an hour?
[01:08:29.303 --> 01:08:30.723]  Well, that's how TV and radio work.
[01:08:30.723 --> 01:08:33.884]  We are on TV and the radio, so we're not just internet podcasts.
[01:08:34.324 --> 01:08:35.825]  And thank God we weren't just that.
[01:08:35.825 --> 01:08:36.706]  Not putting down podcasts.
[01:08:36.706 --> 01:08:40.489]  They're revolutionary and great and I've been spearheading that before it was called podcasts.
[01:08:40.489 --> 01:08:45.553]  But we didn't have our old vestigial media, the old TV and radio.
[01:08:45.553 --> 01:08:47.694]  We'd been off the air during the deplatforming.
[01:08:47.694 --> 01:08:49.476]  So it gave us a toehold to grow back.
[01:08:49.476 --> 01:08:52.738]  So that's been a blessing.
[01:08:52.738 --> 01:08:54.520]  So here are some of the headlines.
[01:08:54.520 --> 01:08:57.582]  We're going to Mike Adams to tackle this from wherever he wants.
[01:08:57.582 --> 01:09:03.847]  But as a father and as a man, being assaulted like this, I have a lot of
[01:09:05.513 --> 01:09:09.016]  Physiological issues now, not being violent.
[01:09:09.016 --> 01:09:12.899]  And we've got to be smart, I don't want violence, I don't want to turn the enemy into martyrs.
[01:09:12.899 --> 01:09:22.828]  I'm just saying, they're assaulting us, and now they're coming with the contact tracers, and now they want to say, don't let us have food, take our property, take our children, all over the news.
[01:09:22.828 --> 01:09:23.569]  That's war!
[01:09:23.569 --> 01:09:24.269]  That's siege!
[01:09:24.269 --> 01:09:27.893]  So, how do we fight back, but not getting caught up in violence?
[01:09:27.893 --> 01:09:29.134]  We'll talk about that with Mike Adams as well.
[01:09:30.345 --> 01:09:31.365]  But here are some of the headlines.
[01:09:31.365 --> 01:09:35.367]  CDC released a study showing three-fourths of Delta cases are among the vaccinated.
[01:09:35.367 --> 01:09:38.368]  It says masks are the answer.
[01:09:38.368 --> 01:09:39.449]  That's out of Massachusetts.
[01:09:39.449 --> 01:09:40.469]  Here it is out of Finland.
[01:09:40.469 --> 01:09:41.289]  Similar numbers.
[01:09:41.289 --> 01:09:44.250]  Almost all the deaths, the vaccinated.
[01:09:44.250 --> 01:09:45.171]  Here's another out of Israel.
[01:09:45.171 --> 01:09:46.691]  Six million people in the study.
[01:09:46.691 --> 01:09:47.992]  Again, almost 80%.
[01:09:47.992 --> 01:09:49.953]  The unvaccinated.
[01:09:49.953 --> 01:09:51.893]  I mean, are the vaccinated.
[01:09:51.893 --> 01:09:53.094]  The unvaccinated not getting sick.
[01:09:53.783 --> 01:09:58.105]  Them suppressing all these miracle drugs, all these different corticotypic steroids.
[01:09:58.105 --> 01:10:02.387]  They don't want you to know about that because they want you to die from anything.
[01:10:02.387 --> 01:10:10.011]  FDA accidentally reveals a list of COVID vaccine side effects including heart attacks, autoimmune disease, and death.
[01:10:10.011 --> 01:10:11.752]  Just incredible.
[01:10:11.752 --> 01:10:23.358]  And the big story, and I got so much more we'll get to with Mike Adams, is SAGE, that's the government agency in the UK, says next COVID variant could kill one in three people.
[01:10:24.985 --> 01:10:25.505]  Mike Adams is like me.
[01:10:25.505 --> 01:10:29.827]  He's so busy covering tomorrow's news today at naturalnews.com that
[01:10:55.968 --> 01:10:59.510]  I called him today and I said, can you pull up all the times you were on my show last year and this year?
[01:10:59.510 --> 01:11:05.414]  Because I first heard from you, now it's all over the news, about antibody-dependent enhancement.
[01:11:05.414 --> 01:11:18.041]  I said, can you get those clips where you first said, they're going to say it fails, they're going to say it's antibody-resistant, but they're going to blame that on the unvaccinated, and he said that on the show over a year ago.
[01:11:18.041 --> 01:11:20.303]  Well, now they're doing exactly what Mike said.
[01:11:20.303 --> 01:11:23.745]  If you get that from a document, he extrapolated that out with the brain God gave him.
[01:11:24.449 --> 01:11:25.689]  So screw your AI, folks.
[01:11:25.689 --> 01:11:27.830]  We got something better than you got in New World Order.
[01:11:27.830 --> 01:11:29.331]  So it goes on.
[01:11:29.331 --> 01:11:30.791]  Mike said, I'll try to have my crew find it.
[01:11:30.791 --> 01:11:35.713]  But everybody heard Mike a year ago say that here and predict it all.
[01:11:35.713 --> 01:11:39.234]  And yeah, predictions are king because you're already awake.
[01:11:39.234 --> 01:11:39.854]  You listened.
[01:11:39.854 --> 01:11:40.335]  You heard it.
[01:11:40.335 --> 01:11:41.555]  You did your own research.
[01:11:41.555 --> 01:11:53.299]  When we're able to get the predictions I made and Chris Sky made and Mike Adams made and Wolfgang Wudarg, Dr. Wudarg and Dr. Yidan and all these guys, that's what wakes people up.
[01:11:54.301 --> 01:11:54.781]  Okay?
[01:11:54.781 --> 01:11:57.583]  When they see it, that's what finally gets them to wake up.
[01:11:57.583 --> 01:12:08.810]  So we'll talk more about this, and them admitting that, looking at the evidence, they believe it created Doomsday Variant, and that it is the inoculator that are creating the new variants, including this new strain.
