[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[01:54:44.829 --> 01:54:46.891]  No, it all shows up in China, Satan.
[01:54:48.091 --> 01:54:55.554]  You know, some countries did respond very quickly and get their testing in place, and they avoided the incredible economic pain.
[01:54:55.554 --> 01:55:03.497]  And it's sad that even the U.S., that you would have expected to do this well, did it particularly poorly.
[01:55:03.497 --> 01:55:05.877]  But it's not time to talk about that.
[01:55:05.877 --> 01:55:15.081]  This is the time to take the great science we have, the fact that we're in this together, you know, fix testing, treatments, and get that vaccine.
[01:55:16.241 --> 01:55:27.227]  And, you know, minimize the trillions of dollars and many things that you can't even dimensionalize in economic terms that are awful about the situation that we're in.
[01:55:27.227 --> 01:55:29.788]  So that's a distraction.
[01:55:29.788 --> 01:55:34.711]  I think there's a lot of, you know, incorrect and unfair things said, but it's not even time for that.
[01:55:34.711 --> 01:55:36.312]  So they've engineered our collapse.
[01:55:36.312 --> 01:55:37.973]  They brag about the CFR.
[01:55:37.973 --> 01:55:39.534]  We'll use a bio-weapon to kill Trump.
[01:55:40.441 --> 01:55:42.361]  To kill his success.
[01:55:42.361 --> 01:55:44.262]  Kill America's success.
[01:55:44.262 --> 01:55:54.804]  And now the very engineer of it is being the guy that gives us hope.
[01:55:54.804 --> 01:55:59.925]  Let's go to Senator Cotton.
[01:55:59.925 --> 01:56:02.866]  Talking about China's deliberate malevolent behavior.
[01:56:02.866 --> 01:56:03.206]  Here it is.
[01:56:04.935 --> 01:56:10.216]  So Maria, I want to distinguish between the origins of the virus and China's reactions to the virus.
[01:56:10.216 --> 01:56:19.638]  So right now, as you say, the most plausible explanation, supported by literally all of the circumstantial evidence, is that the virus originated in one of those two laboratories in Wuhan.
[01:56:19.638 --> 01:56:26.440]  All the way back in January, it was pretty well documented by Chinese scientists that it did not originate in the food market.
[01:56:27.100 --> 01:56:42.320]  But wherever it originated, Maria, we know that the Chinese Communist Party was both criminally negligent and incompetent at first, and then deliberately, deliberately malevolent in the way they responded to this virus for their own people and the world.
[01:56:42.700 --> 01:56:48.928]  As early as the second week of December, it was clear that this virus was spreading from person to person.
[01:56:48.928 --> 01:56:52.833]  By late December, it was spreading to doctors in Wuhan hospitals.
[01:56:52.833 --> 01:56:59.421]  Some doctors were trying to blow the whistle on these facts, and the secret police arrived at their doorsteps in the middle of the night.
[01:56:59.901 --> 01:57:11.794]  So only after China fessed up to the WHO on December 31st did the world know what was happening, yet still they continued to deny that it was spreading from person to person into mid-January.
[01:57:11.794 --> 01:57:15.658]  That allowed millions of people to leave Wuhan, and then finally,
[01:57:16.238 --> 01:57:22.982]  China continued to pressure the WHO and other countries not to stop international travel from China.
[01:57:22.982 --> 01:57:31.607]  That meant that hundreds of thousands of persons left China after this virus was spread far outside of Wuhan, which allowed the virus to escape.
[01:57:31.607 --> 01:57:33.508]  Pelosi called for Trump not to block it.
[01:57:33.508 --> 01:57:35.569]  Now she says it's his fault.
[01:57:35.569 --> 01:57:41.233]  Next hour, Lord Monk is coming up, and I'm telling you, we ain't waiting for the new old order, folks.
[01:57:41.233 --> 01:57:41.773]  It's here.
[01:57:45.669 --> 01:57:53.838]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[01:57:55.154 --> 01:57:59.877]  And that's why we made one of our most popular formulas to date.
[01:57:59.877 --> 01:58:02.239]  Super Male Vitality!
[01:58:02.239 --> 01:58:11.085]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[01:58:11.085 --> 01:58:21.953]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[01:58:22.233 --> 01:58:22.934]  Yes.
[01:58:22.934 --> 01:58:27.838]  We're talking about ancient wisdom combined with modern technology.
[01:58:27.838 --> 01:58:34.763]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[01:58:34.763 --> 01:58:35.804]  So what are you waiting for?
[01:58:35.804 --> 01:58:37.665]  Go to the InfoWars store.
[01:58:37.665 --> 01:58:40.488]  Never been a better time than right now.
[01:58:40.488 --> 01:58:41.248]  Super!
[01:58:41.248 --> 01:58:42.529]  Mail Vitality!
[01:58:42.529 --> 01:58:46.432]  At InfoWarsStore.com.
[01:58:46.432 --> 01:58:50.696]  And all of a sudden, a trap snaps, and you're inside.
[01:58:52.253 --> 01:58:59.959]  Hundreds and hundreds and hundreds of years, going back to the Magna Carta in 1215, of hard-fought basic human dignity and liberty.
[01:58:59.959 --> 01:59:09.706]  And believing that the individual was sovereign, and had basic, unalienable rights, has been absolutely erased just in months.
[01:59:09.706 --> 01:59:10.767]  And the Communist Chinese,
[01:59:12.382 --> 01:59:16.064]  And then our teachers, and Big Tech has been our controllers.
[01:59:16.064 --> 01:59:28.232]  We're all being introduced now to the digital straitjacket that depends on us complying with it, and depends on us all pin-pecking each other into submission.
[01:59:28.232 --> 01:59:36.678]  But for all of you out there that have decided to go along with this, mark your calendars down, and then in a few months, a few years, look at the world and remember, you did this.
[01:59:37.638 --> 01:59:43.206]  You were the prisoners, you were the slaves, you were the people that crouched down and licked the hand that fed you.
[01:59:43.206 --> 01:59:48.393]  As for me, give me liberty or give me death.
[01:59:48.393 --> 01:59:50.997]  You're listening to the Alex Jones Show.
[01:59:54.497 --> 02:00:00.121]  If you are a globalist technocrat, I wish I could say that we're halfway through, but I don't think so.
[02:00:00.121 --> 02:00:02.162]  It takes time to make a vaccine.
[02:00:02.162 --> 02:00:04.924]  There's a lot about the disease we don't understand.
[02:00:04.924 --> 02:00:10.929]  We know that we can get out of this, but it's going to be a while before things go back to normal.
[02:00:10.929 --> 02:00:11.709]  Media stew.
[02:00:11.709 --> 02:00:17.013]  But I don't want to hear from those people who are out there protesting with guns, right?
[02:00:17.013 --> 02:00:19.234]  And that is threatening, a threatening look for people.
[02:00:19.234 --> 02:00:20.755]  You're protesting with guns.
[02:00:20.755 --> 02:00:21.056]  Don't!
[02:00:21.576 --> 02:00:26.959]  Don't criticize people who are taking a knee for at a ball game and entertainment.
[02:00:26.959 --> 02:00:29.100]  They say, I don't want people protesting at a ball game.
[02:00:29.100 --> 02:00:32.222]  When people who are peacefully protesting, don't give me that!
[02:00:32.222 --> 02:00:36.264]  When you're out there protesting with guns and saying, I want to get back to work!
[02:00:36.264 --> 02:00:37.285]  I want my liberty!
[02:00:37.285 --> 02:00:40.206]  Even a low-level power-mad politician.
[02:00:40.206 --> 02:00:44.569]  Untold numbers who gassed up on the way here or grabbed a bite on the way home.
[02:00:45.563 --> 02:00:49.605]  We know that this rally endangered people.
[02:01:01.471 --> 02:01:02.932]  Well, this is a good start.
[02:01:02.932 --> 02:01:05.873]  First, you have to separate yourself from the chaff.
[02:01:05.873 --> 02:01:17.539]  As Greenwich Time reported, set in the director's office of the 270-acre Les Pars de Saint-Tropez, where LVMH Luxury Group Chairman Bernard Alnock, Ritz-Paris owner,
[02:01:17.759 --> 02:01:23.321]  Mohammed Al-Fayed and Indian steel magnate Lakshima Mittal have palatial villas.
[02:01:23.321 --> 02:01:30.143]  The medical unit is staffed with a doctor and lab technician to take and process samples from residents and their friends.
[02:01:30.143 --> 02:01:35.625]  And if you live in the Hamptons, you can have a doctor come to your house for just $1,000 a visit.
[02:01:35.625 --> 02:01:42.868]  As millions of average Americans lose their jobs, the billionaire class benefits, as Fast Company reported.
[02:01:43.368 --> 02:01:52.035]  Though the coronavirus itself may not discriminate in terms of who can be infected, the COVID-19 pandemic is far from a great equalizer.
[02:01:52.035 --> 02:02:05.666]  In the same month that 22 million Americans lost their jobs, the American billionaire class' total wealth increased by about 10%, or $282 billion more than it was at the beginning of March.
[02:02:05.666 --> 02:02:08.888]  They now have a combined net worth of $3.23 trillion.
[02:02:11.030 --> 02:02:16.692]  Of course, the populace must be controlled and culled, as was written on the Georgia Guidestones.
[02:02:16.692 --> 02:02:27.376]  Silicon Valley will continue to do its part to censor any dissent while using their digital herding platforms to monitor every life choice that the imprisoned populace makes.
[02:02:27.376 --> 02:02:36.319]  While the 5G grid rolls out and low-atmosphere satellites are positioned to aid in the Bill Gates' Mark of the Beast mandatory vaccination scenario,
[02:02:36.639 --> 02:02:51.249]  One way or another, everyone will be forced to submit their individuality to the Panopticon, and those that don't will become societal pariahs that will be cut off from the state, whether if it's by a chip under the skin or a tattoo on top of it.
[02:02:51.249 --> 02:02:57.514]  As Science Alert reported, for the people overseeing nationwide vaccination initiatives in developing countries,
[02:02:57.734 --> 02:03:02.176]  Keeping track of who had which vaccination and when can be a tough task.
[02:03:02.176 --> 02:03:05.137]  Researchers from MIT might have a solution.
[02:03:05.137 --> 02:03:14.922]  They've created an ink that can be safely embedded in the skin alongside the vaccine itself, and it's only visible using a special smartphone camera app and filter.
[02:03:15.502 --> 02:03:17.883]  Or we could just give them all chips in the head.
[02:03:17.883 --> 02:03:23.264]  Of course, it's key that currency becomes digital, as China is doing, working with U.S.
[02:03:23.264 --> 02:03:24.325]  multinationals.
[02:03:24.325 --> 02:03:36.168]  As Forbes reports, China, the country that banned initial coin offerings and made it tough for Bitcoin to operate, has been tossing around the idea to build its own digital currency, and some U.S.
[02:03:36.168 --> 02:03:41.870]  multinationals are reportedly willing to help roll it out, the South China Morning Post reported.
[02:03:42.210 --> 02:03:52.155]  Many American politicians will do their due diligence after being paid off by foreign entities to ignore the very laws of their land, as California is doing, for example.
[02:03:52.155 --> 02:04:03.341]  As Jamie White reported, California Governor Gavin Newsom awarded a Chinese Communist Party-linked company $1 billion in taxpayer funds in exchange for $200 million protective masks.
[02:04:03.641 --> 02:04:18.318]  Newsom signed a $990 million contract earlier this month with Build Your Dreams, a Chinese electric car company, whose founder, Wang Qianfu, is a member of the CCP and has served the party in numerous official capacities.
[02:04:18.578 --> 02:04:35.157]  Gradually, if the current coronavirus doesn't force the Americans into trading their liberty for security, we have plenty more pathogens, compromised politicians, media, prostitutes, and foreign infiltration planned, and that is the globalist guide to crushing the United States.
[02:04:35.157 --> 02:04:36.279]  John Bowne reporting.
[02:04:38.220 --> 02:04:41.366]  We put a lot of powerful reports out, but that's right up there at the top.
[02:04:41.366 --> 02:04:47.738]  Lord Monckton, an incredible patriot for humanity, is our guest in T-minus 60 seconds.
[02:04:47.738 --> 02:04:50.342]  Please tell everyone you know, however you can, to tune in now.
[02:04:53.817 --> 02:04:57.879]  This ad will only run for a couple days, because it's about to sell out.
[02:04:57.879 --> 02:05:00.240]  I noticed, hey, we have a lot of Prostagard.
[02:05:00.240 --> 02:05:01.901]  People love it, we've got a lot of it.
[02:05:01.901 --> 02:05:03.562]  Why is it suddenly almost sold out?
[02:05:03.562 --> 02:05:11.426]  And I went, oh my gosh, it's an incredible formula, not just for the prostate, the salt palmetto that's on record for helping that.
[02:05:11.426 --> 02:05:20.271]  It's got everything, vitamin D, a big dose of that, a big dose of zinc, a big dose of selenium, copper, chromium, and a bunch of other stuff.
[02:05:20.271 --> 02:05:21.252]  This is
[02:05:21.912 --> 02:05:24.333]  The perfect formula for what's going on right now.
[02:05:24.333 --> 02:05:26.955]  And it's about to sell out at InfoWarsTore.com.
[02:05:26.955 --> 02:05:32.078]  And I want you to have it so that after all this craziness passes, it becomes a normal regimen in your life.
[02:05:32.078 --> 02:05:34.659]  Because it's something, in my view, you need every day.
[02:05:34.659 --> 02:05:35.380]  Get it right now.
[02:05:35.380 --> 02:05:38.281]  Prostagard at InfoWarsTore.com.
[02:05:38.281 --> 02:05:46.706]  And whatever you do, please warn others that Mother Nature has given us a lot of things that really help boost our overall health and wellness.
[02:06:00.130 --> 02:06:05.013]  Defending the Republic from enemies, foreign and domestic.
[02:06:05.013 --> 02:06:10.217]  It's Alex Jones.
[02:06:10.217 --> 02:06:23.167]  Well, the staggering nature of the times we find ourselves in is too much for any man or woman to even be able to rise to, except we must rise to the occasion we are witnessing.
[02:06:25.063 --> 02:06:31.395]  Powerful forces of corporate globalist tyranny thrust upon the free world.
[02:06:31.395 --> 02:06:35.002]  We are seeing a lockdown that will undoubtedly cause massive death.
[02:06:36.221 --> 02:06:41.745]  And I am just honored to have Lord Christopher Monckton here with us today.
[02:06:41.745 --> 02:06:48.631]  Just a week ago, the World Health Organization and the UN Food Program said 30 million extra will starve to death.
[02:06:48.631 --> 02:06:54.055]  Now they're saying, the Associated Press, 130 million on the brink of starvation.
[02:06:54.055 --> 02:06:56.677]  So you want to talk about not even a million dead from COVID-19.
[02:06:56.677 --> 02:06:59.319]  Not even 100,000 dead in the United States.
[02:06:59.319 --> 02:06:59.379]  And
[02:07:04.212 --> 02:07:06.413]  This whole push, it's incredible.
[02:07:06.413 --> 02:07:08.354]  The report is at several big sites.
[02:07:08.354 --> 02:07:09.854]  We'll tell you about those in a moment.
[02:07:09.854 --> 02:07:12.075]  Communist China's Crimes Against Humanity.
[02:07:12.075 --> 02:07:17.597]  Did Communist China and the World Health Organization conspire to commit crimes against humanity?
[02:07:17.597 --> 02:07:22.399]  The Catholic Voice Special Supplement by Christopher Monckton of Wrenchley.
[02:07:22.399 --> 02:07:27.521]  And he joins us right now, former Chief Science Advisor to Margaret Thatcher.
[02:07:27.521 --> 02:07:31.063]  And of course, the leading person exposing that carbon taxes are a
[02:07:32.051 --> 02:07:32.251]  Right.
[02:07:32.251 --> 02:07:32.831]  The first thing is,
[02:08:02.179 --> 02:08:14.657]  That the only reason why this virus got loose is that the Chinese Communist Party, having failed in 2002-03 to notify the world in time of the first of the two SARS viruses,
[02:08:20.214 --> 02:08:39.310]  And having prompted the World Health Organization at that time to rewrite the international health regulations to require reporting of any new pathogen of this kind within 24 hours of its first discovery, failed to notify the world for six weeks.
[02:08:39.310 --> 02:08:49.678]  And even after they had eventually notified the world, they went on lying to the effect that it couldn't pass from human to human.
[02:08:50.356 --> 02:08:53.719]  For another three crucial weeks.
[02:08:53.719 --> 02:09:05.768]  So they very deliberately disobeyed the international health regulations to which the People's Republic, so-called, of China is a signatory.
[02:09:05.768 --> 02:09:13.654]  And they did this for the second time, knowing that they had been censured by the international community the first time.
[02:09:14.551 --> 02:09:33.801]  And this time, they allowed somewhere between 5 and 7 million people from the province of Wuhan and Hubei, where this virus broke out, to travel all over the world before they told the world that many of those travellers were carrying with them.
[02:09:34.341 --> 02:09:40.107]  The infection that has now reached... And we're Montana, I don't mean to interrupt you, but we were all there at the time it happened.
[02:09:40.107 --> 02:09:47.034]  They would say, simultaneously, shooting women at checkpoints, welding people in their houses, drones controlling, we're good.
[02:09:47.034 --> 02:09:49.856]  But when Trump said, no Chinese flights, he was bad.
[02:09:49.856 --> 02:09:52.939]  I'm like, oh my God, they want to gestate.
[02:09:52.939 --> 02:09:54.561]  They want to incubate it.
[02:09:54.561 --> 02:09:58.545]  Why would you say, shoot women at checkpoints, but then don't stop flights?
[02:10:00.233 --> 02:10:06.476]  Well, I think that the biggest problem that the Chinese Communist Party faced was its own people.
[02:10:06.476 --> 02:10:11.438]  They are terrified of the people over whom they so brutally rule.
[02:10:12.136 --> 02:10:27.570]  You have two and a half million Uyghur Muslims who are in concentration camps in eastern Tibet, which they now call China, and also in the western provinces of China up there.
[02:10:27.570 --> 02:10:31.354]  They suppress the Falun Gong brutally.
[02:10:31.354 --> 02:10:35.878]  All the Christian churches are effectively controlled by the state.
[02:10:36.474 --> 02:10:46.061]  There is no freedom, and the people, as we saw from the Hong Kong protests and the Tiananmen Square protests before that, they want their freedom.
[02:10:46.061 --> 02:11:01.993]  And so the Chinese Communist Party, in order to try to keep them quiet, learnt from the mistake that had been made by the Russians, who kept their people poor because they didn't allow any form of business to flourish.
[02:11:02.995 --> 02:11:12.383]  China realized that if they wanted to maintain their brutal rule, they couldn't allow the people to become poor as the Russians had become.
[02:11:12.383 --> 02:11:22.111]  So under Xi Jinping, they began to allow small businesses not to be owned by the state and to run themselves privately.
[02:11:22.111 --> 02:11:23.272]  They also established six
[02:11:24.711 --> 02:11:30.459]  Free enterprise zones, one of which is in Shenzhen, just opposite Hong Kong.
[02:11:30.459 --> 02:11:37.528]  It is now the fastest growing city in the world in which practically all laws and practically all taxes were remitted.
[02:11:37.528 --> 02:11:38.950]  It's kind of cowboy territory.
[02:11:39.531 --> 02:11:44.033]  And five-sixths of China's foreign earnings come from those six.
[02:11:44.033 --> 02:11:49.176]  So let's be clear, they create zones of freedom so they can defeat America and the West.
[02:11:49.176 --> 02:11:52.818]  And I'm just going to add this because you've been involved with Margaret Thatcher and obviously British.
[02:11:52.818 --> 02:11:55.980]  I tried to get Margaret Thatcher to do the same thing.
[02:11:56.520 --> 02:11:58.962]  Well, that's exactly where I was going with this, but please continue.
[02:12:16.710 --> 02:12:42.523]  But as I say, China, having set up this arrangement, having made the people prosperous, is now terrified that if it makes any major mistake that will annoy the people, they will overthrow the regime in the same way as the Russians, only a couple of years after the Chernobyl disaster, caused also by the regime trying to keep quiet and cover something up.
[02:12:42.523 --> 02:12:46.225]  The Chinese are terrified that they too will be overthrown.
[02:12:46.994 --> 02:12:49.496]  So they have been lying about this from the start?
[02:12:49.496 --> 02:12:50.557]  Well, that's my next question.
[02:12:50.557 --> 02:13:00.205]  How big is it that Trump and US intelligence and British intelligence, because you're involved with the British, the British are usually, as you know, the UK is very restrained.
[02:13:00.205 --> 02:13:07.471]  I'm seeing the most hawkish statements out of the UK about, you released it, you lied, they have reckoning, you're going to get it, we know you're behind it.
[02:13:07.471 --> 02:13:10.613]  You talk about cowboy, this sounds like, you know, I mean,
[02:13:11.474 --> 02:13:14.616]  Why is British intelligence and the British government so pissed?
[02:13:14.616 --> 02:13:15.236]  Am I wrong?
[02:13:15.236 --> 02:13:19.039]  I've never heard rhetoric like this since Churchill and Hitler.
[02:13:19.039 --> 02:13:24.362]  There is enormous international, to put it mildly, displeasure.
[02:13:24.362 --> 02:13:26.023]  I know there's international.
[02:13:26.023 --> 02:13:29.646]  I'm saying some of the loudest voices against China are coming out of the UK.
[02:13:29.646 --> 02:13:31.947]  The UK is usually pretty diplomatic.
[02:13:31.947 --> 02:13:33.208]  Why is the UK so pissed?
[02:13:33.208 --> 02:13:37.030]  Thank goodness Boris Johnson is now back having got the Chinese virus himself.
[02:13:37.030 --> 02:13:38.191]  He very nearly died of it.
[02:13:39.051 --> 02:13:40.251]  Uh, but fortunately survived.
[02:13:40.251 --> 02:13:43.172]  He's still not very well, but he's back at work.
[02:13:43.172 --> 02:13:46.013]  And he sets the tone for the government.
[02:13:46.013 --> 02:13:48.754]  Because most of them are a bit limp-wristed, but he isn't.
[02:13:48.754 --> 02:13:52.535]  And he's very fed up with what China has done.
[02:13:52.535 --> 02:13:53.736]  And of course... Sure, that was my question.
[02:13:53.736 --> 02:13:56.356]  We know you view the UK on kind of a war footing.
[02:13:56.356 --> 02:13:57.737]  That shows how serious this is.
[02:13:58.917 --> 02:13:59.417]  Absolutely.
[02:13:59.417 --> 02:14:07.742]  I mean, the fact is that we have been kowtowing to, and stupidly borrowing from, China for decades.
[02:14:07.742 --> 02:14:13.444]  We shouldn't have done, because the money in which they lend us, it's called the renminbi, is a bogus currency.
[02:14:13.444 --> 02:14:15.786]  The internal currency of China that they actually use.
[02:14:15.786 --> 02:14:18.327]  So they're buying up the world with a fiat currency?
[02:14:19.522 --> 02:14:39.832]  So they have this bogus currency, the renminbi, where they can just flick a switch and create money which they then, or theoretical money, which they lend to, say, the British government or the American government, and we then pretend that this is a loan, and that means we have to pay interest, and eventually the capital, on something that they've created from nothing.
[02:14:39.832 --> 02:14:41.954]  We could have done the same for ourselves.
[02:14:41.954 --> 02:14:48.537]  That's how they, this debt trap diplomacy that China has done, has meant that because we owe them so much money,
[02:14:49.289 --> 02:14:53.052]  The left, of course, will never say anything against their fellow communists.
[02:14:53.052 --> 02:15:02.178]  But even on the centre-right, there is concern that if we speak out too much, China will call in its loans, and then we'll have to pay them back.
[02:15:02.178 --> 02:15:04.980]  Stay there, because you just hit why I wanted you on.
[02:15:04.980 --> 02:15:08.282]  We're told we're owned by China now, it's all fiat.
[02:15:08.282 --> 02:15:12.805]  Trump, I'm not for fiat currency, but if we're going to be ruled by China, I get Trump going, oh yeah?
[02:15:12.805 --> 02:15:13.546]  Here's our fiat.
[02:15:13.786 --> 02:15:15.608]  That's better that it's our fiat than theirs.
[02:15:15.608 --> 02:15:18.211]  Let's just get down to brass tacks.
[02:15:18.211 --> 02:15:21.434]  What England did at the end of World War II, didn't ask for Hitler to do that.
[02:15:21.434 --> 02:15:21.975]  Had to do it.
[02:15:21.975 --> 02:15:22.996]  You're still there.
[02:15:22.996 --> 02:15:26.960]  It's not a good path, but it's better than the Chinese fiat ruling us.
[02:15:26.960 --> 02:15:28.322]  So let's do real politic.
[02:15:28.322 --> 02:15:30.504]  The board mocked him about where the world is.
[02:15:31.525 --> 02:15:35.072]  And what we're facing, because let me tell you, you better choose a side, folks.
[02:15:35.072 --> 02:15:38.037]  You're with the shycoms, or you're with the Anglo-American establishment.
[02:15:38.037 --> 02:15:40.000]  That is the point we've reached right now.
[02:15:40.000 --> 02:15:43.527]  Infowars.com, Newswars.com, Whatsupwiththat.com.
[02:15:43.527 --> 02:15:44.068]  I'm Lord Mox.
[02:15:44.068 --> 02:15:44.609]  We'll be right back.
[02:15:53.021 --> 02:15:58.265]  This is a pandemic survival alert, and the most time-sensitive messages you will hear this year.
[02:15:58.265 --> 02:16:04.209]  You still have time to plant a one-acre crisis garden and secure a supply of your own nutrient-dense food.
[02:16:04.209 --> 02:16:07.772]  But time is running out, and it's one deadline you don't want to miss.
[02:16:07.772 --> 02:16:09.473]  Who should plant a crisis garden?
[02:16:09.473 --> 02:16:14.877]  Individuals, families, churches, communities, anyone or any group that sees hard times ahead.
[02:16:14.877 --> 02:16:21.662]  Let's face it, even the mainline media is talking about food supply disruptions and the growing number of grocery store workers who are becoming sick.
[02:16:21.662 --> 02:16:22.343]  But there's more.
[02:16:22.543 --> 02:16:28.565]  Meatpacking plans are closing, mile-long lines at food pantries, and more farmers now in financial trouble.
[02:16:28.565 --> 02:16:34.507]  The truth is, growing nutrient-dense vegetables this summer may be the single most important thing you do.
[02:16:34.507 --> 02:16:40.189]  Go to survivalseedbank.com and watch the new video to understand what we're really up against.
[02:16:40.189 --> 02:16:43.650]  Get free bonus seeds, special quarantine reports, too.
[02:16:43.650 --> 02:16:44.370]  Don't wait.
[02:16:44.370 --> 02:16:45.750]  Every minute counts.
[02:16:45.750 --> 02:16:48.651]  Go to survivalseedbank.com.
[02:16:48.651 --> 02:16:50.712]  That's survivalseedbank.com.
[02:16:52.520 --> 02:16:53.941]  You know what's really smart?
[02:16:53.941 --> 02:16:58.364]  Wash your hands frequently, practice social distancing, and stay home if told to do so.
[02:16:58.364 --> 02:16:59.925]  You know what's really dumb?
[02:16:59.925 --> 02:17:02.627]  To ignore your immune system.
[02:17:02.627 --> 02:17:06.729]  Right now, more than ever, your health depends on a strong immune system.
[02:17:06.729 --> 02:17:12.453]  The experts at Immunocorp will give you their 7-step guide to immunity for life, free!
[02:17:12.453 --> 02:17:13.173]  Why?
[02:17:13.173 --> 02:17:15.395]  Because we want you to be smart and healthy.
[02:17:15.695 --> 02:17:21.623]  Simply call 800-446-3063 or click immunityforlife.com.
[02:17:21.623 --> 02:17:26.950]  Immunocorp has been producing the world's leading immune system products for more than two decades.
[02:17:27.352 --> 02:17:30.694]  To get your free 7-step guide to Immunity for Life, call 800-446-3063.
[02:17:30.694 --> 02:17:30.754]  800-446-3063.
[02:17:30.754 --> 02:17:30.954]  Be smart!
[02:17:30.954 --> 02:17:32.175]  Don't ignore your immune system.
[02:17:32.175 --> 02:17:33.116]  Your life depends on it.
[02:17:33.116 --> 02:17:34.937]  Call 800-446-3063 or click immunityforlife.com.
[02:17:34.937 --> 02:17:35.718]  Immunityforlife.com.
[02:17:53.735 --> 02:18:02.198]  Authoritarians across the planet want the power to be able to tell you to stay in your houses and don't leave, and only go where they tell you to go.
[02:18:02.198 --> 02:18:04.219]  It's called martial law.
[02:18:04.219 --> 02:18:06.080]  It's called living in an authoritarian country.
[02:18:06.080 --> 02:18:07.540]  Everybody knows that.
[02:18:07.540 --> 02:18:09.141]  Everybody understands that.
[02:18:09.141 --> 02:18:19.865]  And the Democrats have now shown their hands with the deep state, saying, we're going to listen to Fauci and the World Health Organization, who've done nothing but put out all this fake disinformation so far.
[02:18:19.865 --> 02:18:21.605]  We're not going to listen to the president.
[02:18:21.605 --> 02:18:22.786]  We're not going to listen to Congress.
[02:18:23.846 --> 02:18:31.189]  That all these other corporations are going to work in tandem with big tech to surveil and control and keep things shut down.
[02:18:31.189 --> 02:18:34.310]  This is economic warfare and I know everybody understands that.
[02:18:34.310 --> 02:18:48.195]  Public, with the President and others, need to develop a plan to understand that this is a global corporate civil war and that we're being held hostage and this is a mutiny against our country by globalist forces.
[02:18:48.195 --> 02:18:52.877]  Only understanding the reality of the magnitude of that gives us any chance of defeating it.
[02:18:54.076 --> 02:19:08.395]  Hiding in plain view, Politico, the Associated Press, you name it, admit that a half a billion people, extra 500 million, are now at the subsistence starvation level on top of all the millions already starving because of the global lockdown.
[02:19:09.056 --> 02:19:25.725]  That is hundreds of times worse than all the deaths in the world caused by COVID-19, and the very people that cooked it up and gave it to the chi-coms at the World Health Organization, with Bill Gates involved, are now the ones running the operation to shut down society, create a depression, and forcibly inoculate everybody.
[02:19:25.925 --> 02:19:26.965]  This is insane.
[02:19:26.965 --> 02:19:29.666]  Ladies and gentlemen, if they succeed, it's over.
[02:19:29.666 --> 02:19:31.127]  You need to get prepared now.
[02:19:31.127 --> 02:19:35.648]  You need to get high-quality, storable food now back in stock at InfowarStore.com.
[02:19:35.648 --> 02:19:39.729]  And you need to get politically active and challenge this verbally everywhere.
[02:19:39.729 --> 02:19:45.991]  Big Tech is trying to censor everyone right now and bully people into saying you can't even challenge verbally social distancing.
[02:19:45.991 --> 02:19:47.992]  This is beyond 1984.
[02:19:47.992 --> 02:19:49.593]  The tyranny of the dual order is here.
[02:19:49.593 --> 02:19:52.013]  Get prepared now and spread the word in the Infowar.
[02:19:52.013 --> 02:19:53.414]  You are the Paul Reveres!
[02:19:57.324 --> 02:20:10.272]  You're listening to the Alex Jones Show.
[02:20:10.272 --> 02:20:18.557]  If a castle was built by your ancestors, it would have more value to you than just a castle built by somebody else.
[02:20:18.557 --> 02:20:25.621]  But if a castle your ancestors had built had been captured by someone, if you recaptured it, it would have more value.
[02:20:26.636 --> 02:20:36.502]  So when I said the Anglo-American establishment against the Chicoms, that doesn't mean the Anglo-American establishment of the last 60 years that sold out to globalism.
[02:20:36.502 --> 02:20:41.566]  I speak of the West and of Christendom and of what's left of it.
[02:20:41.566 --> 02:20:43.747]  And now the choice we all have to make.
[02:20:43.747 --> 02:20:52.493]  So Lord Monckton is a great geopolitical scientist, a guy that exposed the plan to cut off the economy and starve billions from the beginning.
[02:20:52.493 --> 02:20:55.135]  So just instead of getting into China, I should up front with him
[02:20:56.505 --> 02:20:58.667]  Ask about the big 35,000 foot view.
[02:20:58.667 --> 02:20:59.947]  Who are the players?
[02:20:59.947 --> 02:21:01.729]  What is this shutdown going to do?
[02:21:01.729 --> 02:21:02.849]  Why have they triggered it?
[02:21:02.849 --> 02:21:06.152]  Where is it going and how do we stop it?
[02:21:06.152 --> 02:21:09.694]  Right, let's be nice to them.
[02:21:09.694 --> 02:21:23.063]  Let us first of all accept that as the head of the International Virological Institute in South Korea has said, and that's a UN subsidiary, but actually this is a very good man.
[02:21:23.063 --> 02:21:25.645]  He says that this particular infection
[02:21:26.623 --> 02:21:33.113]  is 10 times more infectious and 10 times more deadly than the flu.
[02:21:34.173 --> 02:21:48.122]  Now, admittedly, most of the deadliness is confined to people who are over 60 and who suffer from various diseases that make it easier for the virus to kill them.
[02:21:48.122 --> 02:21:57.769]  Young people, the people who are of working age and children at school, are basically not very much more at risk from this virus than they would be from flu.
