[00:00:00.250 --> 00:00:00.350]  What?
[00:55:31.929 --> 00:55:33.311]  I'll take it in a hundred and fifties.
[00:55:34.119 --> 00:55:35.420]  I couldn't make it at 9.30.
[00:55:35.420 --> 00:55:37.520]  I had my assistant call him up.
[00:55:37.520 --> 00:55:40.401]  Mrs. Slenty will be in at 2.30.
[00:55:40.401 --> 00:55:46.023]  I go there with this check, hand it to the person I was talking to on the phone.
[00:55:46.023 --> 00:55:48.444]  It was like I never called.
[00:55:48.444 --> 00:55:51.646]  Now they tell me I have to go over.
[00:55:51.646 --> 00:55:53.766]  I have this video on our site.
[00:55:53.766 --> 00:55:57.528]  I have to go over and talk to the bank manager.
[00:55:58.688 --> 00:56:06.033]  I go over there, I sit down, she looks at me, and you talked about it, these power-hungry little people.
[00:56:06.033 --> 00:56:15.718]  She said to me, this is a sizable amount of money, what are you going to use it for?
[00:56:15.718 --> 00:56:19.501]  So I said, how about none of your business?
[00:56:19.501 --> 00:56:23.443]  She said, that's not very friendly.
[00:56:23.443 --> 00:56:26.605]  I said, how about none of your effing business?
[00:56:28.120 --> 00:56:35.206]  How dare you ask me what I'm going to do with my money?
[00:56:35.206 --> 00:56:37.228]  She said, well, you have to comply.
[00:56:37.228 --> 00:56:44.475]  I said, you didn't ask me how I got the money in there, and now you're asking me what I'm gonna do with it?
[00:56:44.475 --> 00:56:47.317]  That implies you're a criminal.
[00:56:47.317 --> 00:56:48.919]  Exactly.
[00:56:48.919 --> 00:56:51.080]  This went on for 40 minutes.
[00:56:52.196 --> 00:56:56.879]  I'm talking to people all over the HSBC chain.
[00:56:56.879 --> 00:56:59.340]  First, she tells me to leave the office.
[00:56:59.340 --> 00:57:01.882]  She has to talk to compliance officers.
[00:57:01.882 --> 00:57:07.345]  Yeah, that's like these people that get arrested now for trying to get their own money out.
[00:57:07.345 --> 00:57:10.827]  Wait, wait, are you saying you have a video where you break this down, or there's video of this?
[00:57:10.827 --> 00:57:12.849]  No, no, I have video where I break it down.
[00:57:12.849 --> 00:57:14.149]  I wish I did have a video.
[00:57:14.149 --> 00:57:15.170]  You want to go back in there?
[00:57:15.170 --> 00:57:16.971]  Oh my God, tell us what else happened, Gerald.
[00:57:16.971 --> 00:57:18.672]  Break this, oh my gosh.
[00:57:18.672 --> 00:57:20.073]  And I'll tell you her name.
[00:57:20.073 --> 00:57:21.354]  It was Penny Demo.
[00:57:22.294 --> 00:57:24.156]  Try demolition.
[00:57:24.156 --> 00:57:28.278]  And I told her, I said, you know, I'm gonna make you famous.
[00:57:28.278 --> 00:57:44.850]  I'm gonna tell everybody what a jerk you are and how dare you ask me what I do with my money and now you're telling me you have to make a call to somebody and I can't be in the room as you talk about my money.
[00:57:51.698 --> 00:57:55.722]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:57:55.722 --> 00:57:58.945]  This is our last chance to not relive history.
[00:57:58.945 --> 00:58:03.749]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:58:03.749 --> 00:58:10.155]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:58:10.155 --> 00:58:12.398]  I think it's incumbent upon all of us
[00:58:12.918 --> 00:58:14.119]  Tim Geithner, Bernanke, they're arsonists!
[00:58:14.119 --> 00:58:14.859]  They're asking for more matches!
[00:58:14.859 --> 00:58:17.201]  And the Congress is saying, who do we make the check out to?
[00:58:31.829 --> 00:58:39.096]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[00:58:39.096 --> 00:58:48.224]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:58:50.339 --> 00:58:51.639]  Hi, this is Alex Jones.
[00:58:51.639 --> 00:58:57.221]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:58:57.221 --> 00:59:02.243]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:59:02.243 --> 00:59:02.723]  It's true.
[00:59:02.723 --> 00:59:07.285]  Seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[00:59:07.805 --> 00:59:13.031]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:59:13.031 --> 00:59:15.353]  They call it a survival seed bank.
[00:59:15.353 --> 00:59:20.159]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:59:20.159 --> 00:59:21.280]  And here's the best part.
[00:59:21.280 --> 00:59:24.343]  These seeds have not been genetically modified in any way.
[00:59:24.343 --> 00:59:27.647]  And you actually get enough seeds to plant a full acre crisis garden.
[00:59:27.947 --> 00:59:31.129]  So visit them today at survivalseedbank.com.
[00:59:31.129 --> 00:59:33.370]  That's survivalseedbank.com.
[00:59:33.370 --> 00:59:34.311]  Or give them a call at 877-327-0365.
[00:59:34.311 --> 00:59:34.551]  That's 877-327-0365.
[00:59:34.551 --> 00:59:37.933]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:59:37.933 --> 00:59:39.674]  This is Alex Jones for survivalseedbank.com.
[00:59:51.212 --> 00:59:54.817]  Coast to coast, direct from Austin.
[00:59:54.817 --> 00:59:58.001]  You're listening to the Alex Jones Broadcasting Network.
[01:00:06.568 --> 01:00:08.349]  Mainstream media.
[01:00:08.349 --> 01:00:10.130]  Government cover-ups.
[01:00:10.130 --> 01:00:11.710]  You want answers?
[01:00:11.710 --> 01:00:13.251]  Well, so does he.
[01:00:13.251 --> 01:00:17.433]  He's Alex Jones on the GCN Radio Network.
[01:00:17.433 --> 01:00:23.135]  And now, live from Austin, Texas, Alex Jones.
[01:00:23.135 --> 01:00:27.937]  Top Trends forecaster Gerald Salente is our guest for this segment, part of the next.
[01:00:27.937 --> 01:00:32.499]  In the next segment, I'm going to play the clip of the head of the Chicago Mercantile Exchange.
[01:00:34.025 --> 01:00:41.289]  A month after denying Corzine ran off the money, changing his testimony and saying he did know where it went and ordered it.
[01:00:41.289 --> 01:00:51.915]  And then we're going to play the clip that Gerald was just mentioning, but we're queuing it up right now to write when Biden says it, that they were talking about a bank holiday with their advisor, Corzine.
[01:00:51.915 --> 01:00:53.676]  But we're going to come back to that in a moment.
[01:00:53.676 --> 01:00:59.279]  Let's hurry through some of the other top 12 trends, then we'll revisit those clips at the end of the interview.
[01:00:59.279 --> 01:01:00.800]  Battlefield America, Gerald.
[01:01:03.063 --> 01:01:04.925]  Economic martial law.
[01:01:04.925 --> 01:01:10.249]  They've taken our rights away from us with the National Defense Authorization Act.
[01:01:10.249 --> 01:01:14.813]  Everyone that's read it knows it or read the information coming out about it.
[01:01:14.813 --> 01:01:24.542]  So my belief is that this system is breaking down and they're ready now to make sure that we don't get out of line.
[01:01:24.542 --> 01:01:27.084]  So Battlefield America, here we are.
[01:01:27.084 --> 01:01:28.585]  That's what Lindsey that
[01:01:29.486 --> 01:01:36.331]  Cracker from North Carolina, South Carolina calls America and that's what they're making it.
[01:01:36.331 --> 01:01:41.435]  So the battlefield is lining up so that they could instill martial law.
[01:01:41.435 --> 01:01:44.358]  And also very important, Alex, is that
[01:01:44.798 --> 01:01:48.363]  These people are not as stupid as we think they are.
[01:01:48.363 --> 01:02:02.961]  They know what's going on and they're just playing a con game to keep us calm as they keep moving forward to rip us off more and more and subject us deeper and deeper into their psychopathic sickness.
[01:02:04.758 --> 01:02:06.999]  By the way, it got no attention.
[01:02:06.999 --> 01:02:12.161]  Obama signed it Friday, and I did Google searches and couldn't find it.
[01:02:12.161 --> 01:02:14.282]  The guys just found it Politico.
[01:02:14.282 --> 01:02:22.246]  It was a minor footnote in an article on Politico with no headline associated with it that Obama signed it.
[01:02:22.246 --> 01:02:27.348]  So they even signed it and didn't want the public to know.
[01:02:27.348 --> 01:02:28.288]  Yeah, I didn't know.
[01:02:28.288 --> 01:02:29.549]  I didn't know he signed it either.
[01:02:30.947 --> 01:02:35.371]  Yeah, I've got the signing statement right here.
[01:02:35.371 --> 01:02:38.114]  And this never made the major news.
[01:02:38.114 --> 01:02:53.809]  It was buried on page A31 in the bottom corner of the toilet paper of record, the New York Times, with a bland headline that mentioned nothing about what this law did.
[01:02:56.348 --> 01:02:59.969]  Wow, but they know they're going to end up devaluing the money and stealing it.
[01:02:59.969 --> 01:03:02.489]  And I guess they think the military is going to protect them?
[01:03:02.489 --> 01:03:06.590]  What's going to happen when the military's checks don't cash?
[01:03:06.590 --> 01:03:14.111]  Well, you know, the military, though, whatever happens in this country, it's happening like they happen in other third world countries.
[01:03:14.111 --> 01:03:19.952]  The military and the police become the enforcers for the criminal crime bosses.
[01:03:19.952 --> 01:03:24.733]  They'll steal enough to pay them because they'll get every nickel out of us.
[01:03:27.326 --> 01:03:30.715]  Let's continue into your third trend.
[01:03:30.715 --> 01:03:34.144]  Let's get into invasion of the Occupy.
[01:03:35.069 --> 01:03:36.890]  Yes, this is really huge.
[01:03:36.890 --> 01:03:46.594]  What's happened with the octopi, as we call it, an octopi, a tentacle creature that's reaching out all over the world.
[01:03:46.594 --> 01:03:52.757]  Its strength is that it doesn't have a head to cut off, like a Julian Assange.
[01:03:52.757 --> 01:03:59.320]  WikiLeaks is putting out valuable information, but when they cut the head off, the information died.
[01:03:59.320 --> 01:04:04.462]  This octopi is a symptom of the war that's going on worldwide.
[01:04:04.482 --> 01:04:13.408]  Worldwide, as I've said before, when the money stops flowing down to the man on the street, the blood starts flowing in the streets.
[01:04:13.408 --> 01:04:20.313]  These octopis are in 80 countries, in 1,200 different cities.
[01:04:20.313 --> 01:04:22.414]  They're going to continue.
[01:04:22.414 --> 01:04:28.398]  And when you cut off one tentacle, another one grows and the old one regenerates.
[01:04:28.398 --> 01:04:34.422]  This is the beginning of that movement, Alex, that may change things in another direction.
[01:04:34.702 --> 01:04:39.264]  Okay, let's race through the other seven or eight points.
[01:04:39.264 --> 01:04:55.089]  Climax time, technocrat takeover, repatriate, secession obsession, safe havens, big brother internet, direct versus Fox Democracy, alternative energy 2012.
[01:04:55.089 --> 01:04:56.589]  Stay with us.
[01:04:56.589 --> 01:04:57.249]  We'll be right back.
[01:04:57.249 --> 01:04:58.510]  Final segment with Gerald Cilente.
[01:05:00.529 --> 01:05:02.110]  Hi, this is Alex Jones.
[01:05:02.110 --> 01:05:08.416]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:05:08.416 --> 01:05:12.440]  So now is the time to express the holiday spirit more than ever.
[01:05:12.440 --> 01:05:22.048]  Consider helping those you love with the most important gift, a supply of delicious, easy to fix, and very storable foods from efoodsdirect.com.
[01:05:22.048 --> 01:05:24.891]  Their holiday gift and family pack start at $99 for a 16-day supply.
[01:05:27.453 --> 01:05:34.722]  All their five-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[01:05:34.722 --> 01:05:40.609]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[01:05:40.609 --> 01:05:42.832]  Call eFoods today at 800-409-5633 or visit them online.
[01:05:46.556 --> 01:05:50.443]  At efoodsdirect.com forward slash Alex to find the special.
[01:05:50.443 --> 01:05:56.795]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:05:56.795 --> 01:05:59.140]  You can bet your life on efoods direct.
[01:06:05.352 --> 01:06:10.315]  I am extremely honored to be joined by Bruce Fine.
[01:06:10.315 --> 01:06:13.017]  His latest book is American Empire.
[01:06:13.017 --> 01:06:16.159]  In fact, we'll put it back up on screen for folks.
[01:06:16.159 --> 01:06:18.860]  American Empire before the fall.
[01:06:20.606 --> 01:06:24.972]  And we certainly are seeing the beginnings of the fall of this empire.
[01:06:24.972 --> 01:06:26.114]  He of course worked at the U.S.
[01:06:26.114 --> 01:06:30.039]  Department of Justice, where he served as Assistant Director of the Office of Legal Policy.
[01:06:30.039 --> 01:06:32.402]  He also worked in antitrust.
[01:06:32.402 --> 01:06:35.446]  He is a top advisor to many committees in Congress.
[01:06:35.486 --> 01:06:35.846]  I don't
[01:06:52.032 --> 01:07:07.610]  Uh, and in Nevada and other key states and is under an incredible bombardment of disinformation and propaganda from the corrupt establishment on both sides, the left and right, really certifying and signifying he's the real McCoy, not just his sterling constitutional voting record.
[01:07:07.610 --> 01:07:12.615]  And that Bruce Fine has been an advisor of his for many, many years and has been working hard on the campaign trail with him.
[01:07:13.596 --> 01:07:19.942]  Get into what's happening in the incredible police state expansion and also what's happening with Ron Paul.
[01:07:19.942 --> 01:07:25.528]  For every action there's an equal and opposite reaction and Ron Paul and all the support I would say is a manifestation of that.
[01:07:25.528 --> 01:07:27.670]  Bruce, thanks for joining us from D.C.
[01:07:27.670 --> 01:07:28.811]  What should we get into first?
[01:07:28.811 --> 01:07:32.314]  The giant police state power grab or Ron Paul's counter to it?
[01:07:33.584 --> 01:07:38.768]  Well, I think we should get into the power grab first because that really transcends any individual candidate.
[01:07:38.768 --> 01:07:48.074]  It's something that's going to come to haunt the United States, not only today, but in the future if we survive as a genuine sovereignty that celebrates the Republic.
[01:07:48.074 --> 01:07:52.698]  And not only do we have this National Defense Authorization Act that Ron Paul condemned,
[01:07:53.218 --> 01:08:06.887]  That crowns the military with authority to detain any of us for life in the United States if the president says we're substantially aiding an associated force of the Taliban to attack coalition forces.
[01:08:06.887 --> 01:08:13.692]  A totally open-ended standard that now makes all of our liberties at the whim of the president.
[01:08:13.692 --> 01:08:22.678]  And then we have this continuity in government revelation that we discussed earlier that suspends democracy, suspends the republic.
[01:08:23.118 --> 01:08:23.319]  I think?
[01:08:37.875 --> 01:08:39.796]  People are sovereign, not the government.
[01:08:39.796 --> 01:08:45.658]  The government is the steward of our liberties, not the grantor of our liberties that are unalienable.
[01:08:45.658 --> 01:09:01.643]  And we also know from stories recently that we have surveillance drones on the southwest border, the government claiming they can surveil us from the day we step out, the moment we step out of our house until we go back into our bedroom without any
[01:09:01.843 --> 01:09:02.043]  Yeah.
[01:09:16.800 --> 01:09:27.866]  There's no way to hold anyone accountable for these assassinations that remind me of the Gulag Archipelago of Solzhenitsyn during the Soviet days.
[01:09:27.866 --> 01:09:28.987]  And it never ends.
[01:09:28.987 --> 01:09:30.808]  Always more encroachment on liberty.
[01:09:30.808 --> 01:09:32.629]  Always more encroachment on privacy.
[01:09:32.629 --> 01:09:34.890]  This futile quest for so-called
[01:09:35.230 --> 01:09:43.934]  Absolute risk-free existence, which is a guarantee of simply detaining and arresting everyone on the theory that we're not all saints.
[01:09:43.934 --> 01:09:49.816]  A truly horrifying, I think, development and the incredible thing is there's so little resistance.
[01:09:49.816 --> 01:09:56.079]  Ron Paul, Rand Paul voted against these kinds of bills in the Senate, but it's really a handful overall.
[01:09:56.079 --> 01:10:00.121]  Only 13 senators out of 100 oppose this tyrannical rule.
[01:10:01.301 --> 01:10:15.256]  Ron Paul himself, I think, is the one person standing as a beacon there, recognizing and willing, unlike all the other candidates, to argue against this police state that makes safety as opposed to liberty and freedom.
[01:10:15.256 --> 01:10:19.340]  They are the touchstone of the country, even though the safety really is an illusion.
[01:10:19.720 --> 01:10:28.167]  Because when you create a belief that all citizens are disloyal, it'll create cynicism and a sense that the government then becomes illegitimate.
[01:10:28.167 --> 01:10:32.811]  And the greatest strength any country has is the allegiance and loyalty of its people.
[01:10:32.811 --> 01:10:34.032]  That's the greatest strength.
[01:10:34.032 --> 01:10:36.794]  And not the weapons, not the guns and things of that sort.
[01:10:37.074 --> 01:10:37.554]  Certainly.
[01:10:37.554 --> 01:10:46.257]  I mean, in the last few decades, the military-industrial complex, the big crony-capitalist, non-free-market megabanks, they've tried to keep the velvet glove on the iron fist.
[01:10:46.257 --> 01:10:56.181]  But now, because Congress for now, what, two years has had a 9% approval rating, even liberals, big government people say they fear big government more than, you know, the free market and corporations now.
[01:10:56.181 --> 01:10:57.301]  So there is an awakening.
[01:10:57.301 --> 01:11:01.923]  So I think the system is just dispensing with even the ceremony now.
[01:11:01.923 --> 01:11:04.164]  I mean, we were talking about this before we went live here.
[01:11:04.924 --> 01:11:07.125]  This is from a White House website two weeks ago.
[01:11:07.125 --> 01:11:13.967]  Strategic implementation for plan for empowering local partners to prevent violent extremism in the United States.
[01:11:13.967 --> 01:11:19.649]  And it's a federal announcement saying domestic terror is the number one threat and speech criticizing the government.
[01:11:19.649 --> 01:11:21.950]  There's bizarre quotes in here.
[01:11:21.950 --> 01:11:23.970]  Is aiding terror.
[01:11:23.970 --> 01:11:28.612]  And there's a President Obama quote in here where he says, I'll read it.
[01:11:28.612 --> 01:11:31.493]  As a government, we are working to prevent all types of extremism.
[01:11:32.173 --> 01:11:35.215]  So now terrorism is extremism that leads to violence.
[01:11:35.215 --> 01:11:39.357]  Oh, see the extremism, the talk, leads to violence regardless of who inspires it.
[01:11:39.357 --> 01:11:42.659]  And they go on to say we're now worried about domestic groups, mainly right-wing.
[01:11:42.659 --> 01:11:51.184]  Quote, at the time, the same time, countering Al-Qaeda's violent ideology is one part of the comprehensive strategy to defeat Al-Qaeda.
[01:11:51.184 --> 01:11:52.245]  Over the past two and a half years,
[01:11:52.825 --> 01:11:59.250]  More key Al Qaeda leaders, including Osama Bin Laden, have been eliminated or in rapid succession than any time since September 11th.
[01:11:59.250 --> 01:12:04.955]  We have strengthened homeland security and improved information sharing thanks to coordinated intelligence and law enforcement.
[01:12:04.955 --> 01:12:09.418]  Numerous terrorist plots have been thwarted, saving many American lives.
[01:12:09.418 --> 01:12:15.743]  And then they go on to say extremism, extreme talk is now aiding Al Qaeda.
[01:12:15.743 --> 01:12:17.125]  And so it makes this bridge
[01:12:17.805 --> 01:12:24.069]  And if you read deeper into this, that they're going to use the NDAA, the military, basically against the American people.
[01:12:24.069 --> 01:12:31.714]  As we know with the MIAC and Homeland Security reports that law enforcement sent me three years ago, none of this has to do with foreign threats or Al Qaeda and all this talk.
[01:12:31.714 --> 01:12:36.557]  It's always about Tea Partiers, Ron Paul, Bob Barr, constitutionalists.
[01:12:36.557 --> 01:12:39.519]  I mean, what does this signify as a constitutional lawyer and expert?
[01:12:40.279 --> 01:12:44.342]  Well, it shows that the Constitution has been vandalized by the government.
[01:12:44.342 --> 01:12:47.224]  And the government needs to be held accountable.
[01:12:47.224 --> 01:12:50.687]  And it turns, I say, the idea of the Republic on its head.
[01:12:50.687 --> 01:12:52.348]  The glory of a Republic is liberty.
[01:12:52.348 --> 01:12:56.171]  The individual is the center of our constitutional solar system.
[01:12:56.171 --> 01:13:02.375]  In an empire, what we've got today, big government encroaching on all of our liberties is the earmark and demand.
[01:13:03.756 --> 01:13:18.230]  We're so far away from the Constitution as it was drafted and understood and celebrated 220 years ago that we might as well be King George III, the President of the United States at present.
[01:13:18.650 --> 01:13:25.252]  enjoys more authority than King George who we overthrew because of his tyrannical powers in 1776.
[01:13:25.252 --> 01:13:26.972]  That is where we are.
[01:13:26.972 --> 01:13:37.335]  The Constitution has been so defaced, it's been so warped to just empower the government to encroach and stamp and destroy our liberties.
[01:13:37.335 --> 01:13:47.357]  Now when they're suggesting freedom of speech, the freedom to criticize the government, which should be welcomed since the government errs so often, they need instruction rather than echo chambers.
[01:13:47.617 --> 01:13:49.698]  It's now being made suspect.
[01:13:49.698 --> 01:13:59.722]  And indeed, we had the situation when the Patriot Act was passed shortly after 9-11, where the then Attorney General said anybody who criticized the Patriot Act was aiding and abetting the enemy.
[01:13:59.722 --> 01:14:11.408]  It's this delusion that causes President Obama to say he doesn't understand why people in Afghanistan or Pakistan are trying to kill our soldiers just because we're trying to shoot them.
[01:14:12.288 --> 01:14:16.651]  Maybe it's because if we stop shooting them, then they wouldn't be protesting with violence.
[01:14:16.651 --> 01:14:20.995]  And maybe if the government obeyed the Constitution, they wouldn't get the extreme speech.
[01:14:20.995 --> 01:14:26.959]  And I don't want to suggest that we're at the precipice of justifying, you know, violent revolution.
[01:14:26.959 --> 01:14:34.625]  But we never should forget that in that Declaration of Independence that Thomas Jefferson wrote and all of our founding fathers subscribed to, it says,
[01:14:35.345 --> 01:14:50.796]  When a government evinces a consistent train of action that displays an intent to reduce us to vassals, there's not only a right, a duty to change and overthrow the government and to supply a new dispensation that will protect our liberties.
[01:14:50.796 --> 01:14:52.458]  And the government's got to recognize
[01:14:53.178 --> 01:15:07.755]  You cannot continue to try to oppress all of our opportunities to speak and argue and to display total and complete opposition to what we think are vandalizations of our constitutional rights and expect to retain power.
[01:15:07.755 --> 01:15:10.378]  One of the things that I think is most unfortunate because of
[01:15:10.518 --> 01:15:10.638]  Yes.
[01:15:25.586 --> 01:15:29.668]  There's several questions here but it's all intriguing and is the big issue today.
[01:15:29.668 --> 01:15:32.830]  Why would the Congress try to give the president the power of a dictator?
[01:16:01.152 --> 01:16:04.753]  Be arrested and or subject to other police action.
[01:16:04.753 --> 01:16:06.033]  Tyranny is here.
[01:16:06.033 --> 01:16:09.954]  The grim future foretold in 1984 has become reality.
[01:16:09.954 --> 01:16:12.194]  It really says that the state is God.
[01:16:12.194 --> 01:16:18.056]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:16:18.056 --> 01:16:24.297]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:16:24.717 --> 01:16:30.699]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:16:30.699 --> 01:16:34.880]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:16:34.880 --> 01:16:39.161]  Prepare to enter the secretive world of emergency dictatorship.
[01:16:39.161 --> 01:16:45.122]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[01:16:45.122 --> 01:16:48.663]  It's only the beginning of the New World Order's hellish plan.
[01:16:48.663 --> 01:16:50.644]  The police state isn't coming.
[01:16:50.644 --> 01:16:51.064]  It's here.
[01:16:51.764 --> 01:17:00.869]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:17:00.869 --> 01:17:07.533]  When you're out on the road, the last place you want to be is on the road.
[01:17:07.533 --> 01:17:12.676]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:17:12.676 --> 01:17:19.340]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[01:17:21.397 --> 01:17:27.753]  They sew pride in every stitch Guarantee you love the way they fit
[01:17:39.542 --> 01:17:41.683]  We turn jeans inside out.
[01:17:41.683 --> 01:17:43.484]  Diamond Gusset Jeans.
[01:17:43.484 --> 01:17:46.365]  Made in the USA with unparalleled quality.
[01:17:46.365 --> 01:17:50.607]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[01:17:50.607 --> 01:17:52.988]  So you can ride all day with confidence.
[01:17:52.988 --> 01:17:55.689]  Order yours at gusset.com.
[01:17:55.689 --> 01:17:57.290]  Diamond Gusset Jeans.
[01:17:57.290 --> 01:17:58.070]  Got it.
[01:17:58.070 --> 01:17:58.931]  Others don't.
[01:18:00.131 --> 01:18:04.674]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:18:04.674 --> 01:18:05.595]  Number one.
[01:18:05.595 --> 01:18:09.018]  New climate legislation could easily double or triple your electric bill.
[01:18:09.018 --> 01:18:09.878]  Number two.
[01:18:09.878 --> 01:18:14.762]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:18:14.762 --> 01:18:15.522]  It's true.
[01:18:15.522 --> 01:18:20.386]  Total government control of electricity in the name of smart grid technology is coming.
[01:18:20.386 --> 01:18:21.207]  Number three.
[01:18:21.207 --> 01:18:24.789]  In some areas of the country, the power grid is dangerously overloaded.
[01:18:24.789 --> 01:18:28.492]  And now, new socialist legislation is only compounding the problem.
[01:18:28.692 --> 01:18:29.493]  Number 4.
[01:18:29.493 --> 01:18:32.255]  Dangerous weather is always a threat to local grids.
[01:18:32.255 --> 01:18:35.938]  Every year, thousands of families lose their power from weather-related outages.
[01:18:35.938 --> 01:18:36.718]  Number 5.
[01:18:36.718 --> 01:18:40.881]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:18:40.881 --> 01:18:45.625]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:18:45.925 --> 01:18:50.090]  You can get more information at www.mysolarbackup.com.
[01:18:50.090 --> 01:18:51.892]  That's mysolarbackup.com.
[01:18:51.892 --> 01:18:54.135]  Remember, the government doesn't own the sun.
[01:18:54.135 --> 01:18:56.477]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:19:01.089 --> 01:19:02.791]  Hi folks, this is Alex Jones.
[01:19:02.791 --> 01:19:08.118]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:19:08.118 --> 01:19:09.660]  Saving means to make money.
[01:19:09.660 --> 01:19:18.430]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:19:19.171 --> 01:19:26.693]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:19:26.693 --> 01:19:34.695]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:19:34.695 --> 01:19:39.937]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[01:19:39.937 --> 01:19:42.097]  Getting a free catalog is easy by calling 800-340-7091.
[01:19:44.878 --> 01:19:48.081]  Or see Calvin on the web at FiveStarSoap.com.
[01:19:48.081 --> 01:19:51.083]  Take charge of your health now by calling 800-340-7091.
[01:19:51.083 --> 01:19:56.007]  Or see Calvin on the web at FiveStarSoap.com.
[01:20:13.038 --> 01:20:19.084]  Ron Paul, the congressman, the presidential candidate, was on my radio show last Tuesday.
[01:20:19.084 --> 01:20:24.791]  And the video of it's gone around the web, it's been seen millions of times, it's radio slash TV.
[01:20:24.791 --> 01:20:32.959]  And he said, basically what you've said, but he said the NDAA, the National Defense Authorization Act, establishes
[01:20:33.945 --> 01:20:47.924]  Marshall Law in this country and that's what Jonathan Turley said that's what basically we've said and literally more than 200 if you go to Google News and type in Ron Paul Alex Jones from that interview more than 200 newspapers CBS ABC TV
[01:20:48.945 --> 01:20:56.690]  Basically said, Ron Paul's an extremist and dangerous, and groups said that's why he's being kicked out of the upcoming debate.
[01:20:56.690 --> 01:20:58.692]  This shows why he's so off track.
[01:20:58.692 --> 01:21:04.156]  Meanwhile, it's all over the news that they're putting military on the streets in Illinois and Louisiana.
[01:21:04.156 --> 01:21:05.237]  It's on CNN.
[01:21:05.237 --> 01:21:08.659]  Two days ago, they're calling for troops to stop crime.
[01:21:08.659 --> 01:21:12.842]  The TSA setting up checkpoints now on highways in Tennessee and other areas.
[01:21:12.842 --> 01:21:15.163]  This is all happening.
[01:21:15.163 --> 01:21:18.246]  They're saying they're going to do this, and then Ron Paul says,
[01:21:19.587 --> 01:21:22.628]  Look, the emperor wears no clothes and they howl that he's nuts.
[01:21:22.628 --> 01:21:37.978]  I mean, this is a weird paradox where everything you've warned about, he's warned about, others have warned about for decades is now manifesting and they're separately pushing military on the streets, but then saying Ron Paul's crazy because he doesn't want it, because it doesn't exist.
[01:21:39.733 --> 01:21:41.034]  What is this?
[01:21:41.034 --> 01:21:46.737]  Well, it's what Samuel Taylor Coleridge called a temporary suspension of disbelief.
[01:21:46.737 --> 01:21:49.139]  It's really Orwellian.
[01:21:49.139 --> 01:21:51.380]  It's the only word I can think of.
[01:21:51.380 --> 01:21:56.583]  Call Ron Paul an extremist for defending and honoring the Constitution of the United States.
[01:21:56.583 --> 01:22:08.110]  And the non-extremists are the ones who are in favor of destroying the rule of law and imposing a government that we overthrew 220 some years ago called Great Britain with a monarch.
[01:22:08.590 --> 01:22:15.472]  I mean, I don't even have words to describe, you know, the absurdity of the characterization.
[01:22:15.472 --> 01:22:18.793]  Ron is the one who would have been there at the Battle of Bunker Hill.
[01:22:18.793 --> 01:22:22.774]  You know, these guys would have all been with the Tories and with the King.
[01:22:22.774 --> 01:22:27.075]  And it is an example, however, that those who are in power don't want to yield it.
