[00:00.000 --> 00:29.000]  It's Super Bowl 51, we're going to be telling you who the winner is before we get to it.
[1:03:15.520 --> 1:03:21.040]  Podcasts video. They won't accept our videos on there. We've gone through the you know the process for years
[1:03:21.280 --> 1:03:24.480]  They just kicked right barred off. That was in the news and since we just take it
[1:03:24.640 --> 1:03:28.800]  Oh, you just kick us off because they will dominate it will be number one
[1:03:31.520 --> 1:03:34.640]  Just like we'll dominate everything else we do because we know what we're talking about
[1:03:34.640 --> 1:03:40.000]  And we'll defeat the globalist just like trump's dominating on every front and they want to censor him and shut him down
[1:03:40.000 --> 1:03:42.000]  And not let you hear what he really has to say or does
[1:03:42.800 --> 1:03:46.480]  So later i'm going to play his weekly address and we're going to play his speeches here
[1:03:47.120 --> 1:03:50.400]  We're going to focus on it because you know what I've looked at what he's doing
[1:03:51.040 --> 1:03:53.040]  and jesus christ
[1:03:53.040 --> 1:03:54.720]  My lord the savior
[1:03:54.720 --> 1:03:58.080]  Said you judge a tree by its fruits. He's got the biggest
[1:03:58.960 --> 1:04:00.960]  Juiciest fruits i've ever seen
[1:04:01.280 --> 1:04:03.280]  It's unbelievable
[1:04:03.280 --> 1:04:08.240]  You think I care about personality or trump coming on the show or telling me he likes what I do
[1:04:08.240 --> 1:04:11.600]  I could care less except he's the real deal. Then I do care
[1:04:13.120 --> 1:04:17.360]  You understand I tried to have them all I had the clinton's try to recruit me. I had bush try to recruit me
[1:04:17.520 --> 1:04:19.760]  I've had the biggest radio networks try to recruit me
[1:04:21.040 --> 1:04:23.040]  I was even put on
[1:04:23.360 --> 1:04:28.320]  All sorts of big stations and xm and then told now alex people are upset with what you're saying
[1:04:28.320 --> 1:04:32.480]  You want to be taking off xm and I said I never even had a big deal of that. I said, yeah, I can't stop month later
[1:04:32.480 --> 1:04:34.080]  I'm off
[1:04:34.080 --> 1:04:39.120]  Just like I've been fired off radio stations. I mean, you know, this is not about me. Okay. It's about the mission
[1:04:39.520 --> 1:04:41.520]  But i'm telling you
[1:04:42.000 --> 1:04:44.960]  I've won all the super bowl rings in the radio world
[1:04:46.080 --> 1:04:48.640]  Okay, you know this guy's looking for a fifth or sixth ring or whatever it is
[1:04:49.040 --> 1:04:53.440]  Be I I deserve 15 but I don't want the stinking rings. They're ridiculous
[1:04:53.760 --> 1:04:58.160]  The point is imagine winning every time every time being number one
[1:04:58.160 --> 1:05:02.640]  And I'm not just number one. Look at paul lachlan. He's dominating
[1:05:04.080 --> 1:05:07.760]  Does he get any attention? No because they have to ignore the real victors
[1:05:09.440 --> 1:05:10.960]  This is alex jones
[1:05:10.960 --> 1:05:16.640]  I want to tell you about a way to save a lot of money on one of the best new off the grid products of 2017
[1:05:16.880 --> 1:05:19.280]  And seriously, I really think everyone should have one of these
[1:05:19.440 --> 1:05:24.880]  I'm talking about the ppx solar generator system from our friends at solutions from science one of our oldest sponsors
[1:05:24.880 --> 1:05:28.720]  The ppx is so small you can put it in your pocket, but so powerful
[1:05:28.720 --> 1:05:34.080]  You can run some 110 appliances at your house like a small refrigerator so you can keep food from spoiling
[1:05:34.400 --> 1:05:39.600]  Plus you can take it with you to jumpstart cars trucks buses 18 wheelers heavy equipment even airplanes
[1:05:39.920 --> 1:05:45.040]  The system provides an endless supply of off-the-grid electricity allowing you to create your own private power grid
[1:05:45.280 --> 1:05:51.600]  Literally anywhere in the world perfect for cabins remote locations any time you need to get off the grid for a while
[1:05:51.600 --> 1:05:56.960]  Go to private power grid dot com to watch this thing in action. That's private power grid dot com
[1:05:57.120 --> 1:06:02.720]  Even better use coupon code private at checkout and get a second ppx energy unit for free
[1:06:02.880 --> 1:06:07.120]  Check it out at private power grid dot com. That's private power grid dot com
[1:06:07.120 --> 1:06:20.240]  We are transferring power from washington dc and giving it back to you the people
[1:06:21.760 --> 1:06:25.360]  Americanism not globalism will be our credo
[1:06:28.640 --> 1:06:30.640]  Yes, I have thought
[1:06:30.640 --> 1:06:38.080]  An awful lot about growing up the white house huge nationwide protests erupted once again on president
[1:06:38.080 --> 1:06:40.580]  Donald trump's second weekend in office
[1:06:45.840 --> 1:06:53.760]  When you open your heart to patriotism, there is no room for prejudice when america is united
[1:06:53.760 --> 1:07:00.160]  America is totally unstoppable Donald j. Trump is now president of the united states
[1:07:01.920 --> 1:07:08.960]  And most importantly, we will be protected by god from the front lines of the info
[1:07:10.000 --> 1:07:12.000]  It's alex jones
[1:07:18.800 --> 1:07:21.280]  Oh my goodness poor white people, please almost stop
[1:07:21.280 --> 1:07:27.600]  The democratic party is such a race-mongering kkk style group now that
[1:07:28.400 --> 1:07:30.400]  You saw the new dnc chair
[1:07:32.000 --> 1:07:33.760]  Who's been nominated?
[1:07:33.760 --> 1:07:37.200]  She said i'm white, but I will keep white people down. I will shut them up
[1:07:37.600 --> 1:07:42.160]  I'll make sure you a people of color get the privilege. That is literal kkk talk
[1:07:43.120 --> 1:07:44.720]  Meanwhile trump
[1:07:44.720 --> 1:07:51.280]  But inverted is like we're going to come together now they can stop us and they run around saying he's racist all day
[1:07:51.280 --> 1:07:57.920]  Oh, the clinton sucked billions two billion. This is confirmed even the washington post admits it kept 96 plus percent of the money
[1:07:59.600 --> 1:08:01.840]  In hady we sent an aid mission there
[1:08:04.160 --> 1:08:07.280]  And the people of hady if you say the word clinton want to kill you
[1:08:08.240 --> 1:08:10.240]  It's all on info wars.com
[1:08:10.240 --> 1:08:15.280]  And so roger stone is really concerned about this because we've discovered what appears to be a clinton mold
[1:08:17.200 --> 1:08:19.200]  Inside the trump white house
[1:08:19.680 --> 1:08:26.080]  That wants to basically take control of an initiative out to hady and certify the new clinton vice roy or vice king
[1:08:26.480 --> 1:08:29.920]  Or or minion or puppet that's there, but I don't want to spend all our old 30 minutes
[1:08:29.920 --> 1:08:35.280]  We have a 25 minutes with roger stone on that. I want to just recap it the dr. Jerome coursey article from friday
[1:08:35.280 --> 1:08:39.280]  The interview with roger for the nightly news. That's all up on info wars.com
[1:08:39.920 --> 1:08:45.600]  But this is a big deal. I want to get into some of the other stuff. This this ruling, you know, in fact, let's hit that first
[1:08:46.160 --> 1:08:47.600]  roger we have
[1:08:47.600 --> 1:08:49.280]  We have this ruling
[1:08:49.280 --> 1:08:53.520]  And we have one federal judge at the same level saying you're citing history the law the executive order
[1:08:53.680 --> 1:08:58.320]  Of course the president can do this then you've got this other federal judge. This is george w. Bush minion
[1:08:58.320 --> 1:09:03.760]  This this this open borders guy the soros style guy saying no you can't and in the night circuit
[1:09:03.760 --> 1:09:06.080]  That's san francisco totally socialist saying
[1:09:06.800 --> 1:09:14.160]  We're gonna wait till you file more information. Well, it's known powers of presidents to do this. So they're trying to make law from the bench
[1:09:15.120 --> 1:09:22.240]  Preemptively even though they know he's about to get his supreme court justice is in and then you see the open calls in another 15 newspapers a day
[1:09:22.720 --> 1:09:25.280]  I mean, I mean more than that to kill trump
[1:09:25.920 --> 1:09:29.520]  This is clear insurrection and then you have the deputy head of the
[1:09:30.800 --> 1:09:32.800]  defense department under obama
[1:09:32.800 --> 1:09:40.560]  Shopping in major newspapers a coup d'etat. That's not free speech. This is open organized rebellion
[1:09:40.960 --> 1:09:44.960]  Against the elected president that the american people have because they're so desperate
[1:09:45.520 --> 1:09:46.960]  rogers
[1:09:46.960 --> 1:09:50.720]  No alice. I think you're you're absolutely right the resistance
[1:09:51.280 --> 1:09:54.480]  to the election of president trump continues the
[1:09:55.040 --> 1:09:58.240]  Many in the mainstream media and many in the government
[1:09:58.240 --> 1:10:04.640]  And tend to pull out the stops in an attempt to smear trump and remove him not enough
[1:10:04.640 --> 1:10:09.680]  This has abated. It's as if the election never really took happen. It's as if
[1:10:10.240 --> 1:10:16.320]  They're their challenge of the electoral college didn't fail. It's as if their recount
[1:10:16.960 --> 1:10:18.960]  wasn't essentially
[1:10:19.440 --> 1:10:25.600]  A worthless waste of time that ultimately increased the number of votes for donald trump
[1:10:25.600 --> 1:10:27.600]  Uh, so
[1:10:28.320 --> 1:10:31.120]  The biggest problem. I think right now alex is the
[1:10:32.000 --> 1:10:33.760]  infighting
[1:10:33.760 --> 1:10:35.760]  within the trump administration
[1:10:36.000 --> 1:10:38.960]  Uh, where I think some aides to the president
[1:10:39.760 --> 1:10:42.560]  Are disserving the president with their leaks
[1:10:43.680 --> 1:10:46.960]  Uh, you know nixon would be rolling in his grave now
[1:10:47.520 --> 1:10:53.360]  And and by the way, we know some of the names. We're trying to be nice here. We know about the dirty tricks behind the scenes
[1:10:53.360 --> 1:10:55.840]  Uh, I mean these people need to stop right now
[1:10:56.880 --> 1:11:05.200]  Well, this is a power game and uh, steve bannon is entirely focused on on policy matters
[1:11:05.600 --> 1:11:09.280]  Where he is sympatico with the president of the united states
[1:11:10.240 --> 1:11:11.200]  a
[1:11:11.200 --> 1:11:14.480]  Steve bannon is trump's brain story
[1:11:15.200 --> 1:11:17.200]  As planted by some
[1:11:17.840 --> 1:11:20.640]  Who are not friends of steve bannon?
[1:11:20.640 --> 1:11:26.160]  Is meant to hurt bannon's standing with the president
[1:11:26.880 --> 1:11:29.520]  Making it look as if bannon is taking credit
[1:11:30.000 --> 1:11:36.480]  For the president's accomplishment sure because the president has hinges into his will that is synced because they're both american guys
[1:11:36.640 --> 1:11:38.480]  It doesn't mean one or the other, you know
[1:11:38.800 --> 1:11:45.600]  Is is controlling the other and he picked him because he's so synced with him or sympatico as you said and so they're busy spending all their
[1:11:45.600 --> 1:11:49.680]  Time trying to run him out because they know he's the guy helping the president
[1:11:49.680 --> 1:11:53.120]  Uh, actually go vet and check and then put his agenda out
[1:11:53.280 --> 1:11:58.320]  Which we've already seen in beautiful lightning war fashion in the last 16 days
[1:12:00.000 --> 1:12:05.120]  That's exactly right. Uh, and you very clearly have now a rights pre-buss
[1:12:05.920 --> 1:12:07.920]  regular republican never trump
[1:12:08.800 --> 1:12:11.840]  faction which is of a larger faction because
[1:12:12.480 --> 1:12:13.840]  pre-buss has
[1:12:13.840 --> 1:12:15.840]  sway and authority over the hiring
[1:12:16.400 --> 1:12:18.400]  of the white house staff
[1:12:18.400 --> 1:12:22.320]  Uh, when the president gave him this authority he gave him quite a bit
[1:12:23.280 --> 1:12:26.160]  Now, uh, there is grumbling among many of the
[1:12:26.880 --> 1:12:28.880]  original trump people
[1:12:28.880 --> 1:12:32.160]  that a very very small number of trump supporters
[1:12:32.800 --> 1:12:35.600]  Seems to be, uh, serving on the white house staff
[1:12:36.240 --> 1:12:38.960]  Or even thus far in the administration
[1:12:39.840 --> 1:12:43.440]  So that is uh, that is a kind of a festering problem
[1:12:44.080 --> 1:12:45.680]  in fairness
[1:12:45.680 --> 1:12:48.560]  The president's only been in office for two weeks
[1:12:49.120 --> 1:12:51.440]  And it's a little early to say
[1:12:52.240 --> 1:12:54.880]  But I would point out to you alex that when
[1:12:55.760 --> 1:12:57.760]  Jim baker
[1:12:57.760 --> 1:13:04.800]  Who had managed george bush's campaign was hired by ronald reagan to be his white house chief of staff
[1:13:05.600 --> 1:13:09.440]  The first thing baker did to insulate himself from criticism
[1:13:09.440 --> 1:13:16.720]  Is to go out to a high level of high pardon me a large number of high level reagan
[1:13:17.520 --> 1:13:18.960]  alum from his
[1:13:18.960 --> 1:13:23.840]  Goomritorial days from his campaigns like lennon off-sigur and others
[1:13:24.480 --> 1:13:26.480]  and appoint them
[1:13:26.640 --> 1:13:32.240]  To visible positions in the administration. That's right. Let me let me set it in layman terms here
[1:13:32.720 --> 1:13:37.920]  Trump's super smart has great guts great instincts. I'm not second-guessing him. I marvel at what he's done
[1:13:37.920 --> 1:13:42.480]  But he's brought in a disproportionate amount of his hardcore never trump enemies
[1:13:43.600 --> 1:13:46.240]  And they're surrounding him and they're already doing weasley stuff
[1:13:46.240 --> 1:13:50.560]  They're already leaking and the republican establishment is already not backing him on this clear
[1:13:51.520 --> 1:13:59.440]  situation with protecting our sovereignty and from terrorist and so a trump is a corporate guy who's used to taking over a company and
[1:14:00.400 --> 1:14:03.360]  You know if he puts in the old leadership that was still doing a good job
[1:14:03.600 --> 1:14:06.160]  They're still going to be for him because now he's just the owner
[1:14:06.160 --> 1:14:08.160]  I think there may be some
[1:14:08.180 --> 1:14:14.880]  Instinctual blind spots here because I know he thinks he's he's going to co-opt them for our agenda by being nice to them
[1:14:14.880 --> 1:14:16.160]  And still letting them have power
[1:14:16.160 --> 1:14:21.760]  He doesn't understand that they join the globalists because they have a twist of evil a twist of cane
[1:14:22.160 --> 1:14:29.120]  And they've been promised even bigger things if they can kill the king and that this is kind of a let's stab julius caesar to death here
[1:14:30.240 --> 1:14:33.920]  Well, I happen to know for a fact that both the new york times
[1:14:33.920 --> 1:14:37.120]  And the washington post were granted access
[1:14:37.760 --> 1:14:39.760]  to rights previs
[1:14:39.760 --> 1:14:44.080]  kelly and conway and steve bandon on the record on friday
[1:14:44.800 --> 1:14:48.720]  And if you listen to all of them, we're one big happy family
[1:14:49.440 --> 1:14:53.120]  There are no tensions. There are no is no jockeying
[1:14:54.160 --> 1:14:57.120]  for white house positions or government positions
[1:14:58.320 --> 1:15:00.480]  And that is I understand
[1:15:00.480 --> 1:15:07.120]  what they're supposed to say as good soldiers and as I say those who have leaked to a disservice to the president
[1:15:07.680 --> 1:15:11.760]  So they're they're fighting is not in the open. They're fighting is
[1:15:12.480 --> 1:15:14.480]  Subterranean as it will as it were
[1:15:14.960 --> 1:15:16.960]  But it is really
[1:15:16.960 --> 1:15:18.960]  hurting the president
[1:15:19.040 --> 1:15:21.920]  Somebody leaked to the washington post last week that
[1:15:22.240 --> 1:15:25.760]  Trump was like a clueless child in a particular meeting
[1:15:26.400 --> 1:15:29.120]  These are people who work for trump
[1:15:29.120 --> 1:15:36.400]  It's also not true anybody who's met it. So sure and I mean let's just oh my gosh. Trump is so slick. It's unbelievable
[1:15:36.640 --> 1:15:39.600]  But but the point is I want to come back and talk about this
[1:15:40.240 --> 1:15:43.760]  We've got the bureaucrats and I I read this friday. I made some calls
[1:15:44.960 --> 1:15:48.480]  And so far I have three confirmed sources that the pentagon believes
[1:15:49.120 --> 1:15:51.120]  that this obama strike list
[1:15:51.840 --> 1:15:56.400]  That was given to trump the day he visited the cia that obama had the green light to strike
[1:15:56.400 --> 1:16:02.640]  He knew they were al-qaeda isaac spaces and said no don't hit them that they may have forwarded to the saudi arabians
[1:16:02.960 --> 1:16:06.400]  That strike list to set up our trips to set up trump
[1:16:07.840 --> 1:16:14.560]  You're investing in your health and supporting the info war when you visit info wars life.com and purchase your supply of survival shield
[1:16:14.560 --> 1:16:18.800]  X2 nasa and iodine and all the great products info wars life.com as you know
[1:16:18.800 --> 1:16:25.360]  We've talked to pharmacists chemists doctors researchers scientists and the answer is clear iodine is key
[1:16:25.360 --> 1:16:32.160]  Is paramount and there's still so much new information coming out that we simply can't even keep up with it in our quest
[1:16:32.240 --> 1:16:40.240]  For the purest iodine we drill down more than 7 000 feet to gather these purple blue crystals to extract the ultra pure iodine
[1:16:40.400 --> 1:16:44.160]  On top of that we also screen our iodine for radiation before bottling
[1:16:44.240 --> 1:16:47.760]  It is the purest cleanest strongest out there quite frankly
[1:16:47.760 --> 1:16:54.800]  I'm flattered that with the launch of survival shield nasa and iodine that major brands and major companies have been knocking down our doors
[1:16:54.800 --> 1:16:59.840]  To get our formula and that they have been unable to come up with anything even close to what we have
[1:17:00.080 --> 1:17:07.120]  It is exclusive to info wars life.com and the info wars life family of incredible products
[1:17:07.760 --> 1:17:13.840]  I am very proud to announce the introduction of the highest quality info wars biome defense
[1:17:14.400 --> 1:17:20.000]  probiotic we wanted to come out with the largest spectrum of high quality known
[1:17:20.880 --> 1:17:22.880]  probiotics that have been proven
[1:17:22.880 --> 1:17:28.640]  To improve overall digestion and health and detoxification in the body
[1:17:29.440 --> 1:17:38.080]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known
[1:17:38.320 --> 1:17:45.760]  To support digestion and intestinal function our researchers are confident that we have been able to develop what will be the leading
[1:17:46.080 --> 1:17:48.080]  probiotic on the market
[1:17:48.080 --> 1:17:55.840]  Secure your biome defense in ultra strength or regular strength at info wars life.com today and get started supporting your digestive system
[1:17:56.160 --> 1:18:01.120]  Naturally, we've been testing this formula for years, but this is the limited first round of the public
[1:18:01.280 --> 1:18:05.440]  So please take advantage of it today support your own health and support the info war
[1:18:08.320 --> 1:18:09.120]  Hey everyone
[1:18:09.120 --> 1:18:12.240]  Farms is ben fuchs here host of the bright side and as many of you know
[1:18:12.320 --> 1:18:15.040]  I'm on a mission to help americans get and stay healthy
[1:18:15.040 --> 1:18:19.600]  You've all heard the shocking statistics despite spending trillions of dollars in health care nearly
[1:18:20.400 --> 1:18:22.720]  $10,000 per man woman and child in this country
[1:18:23.120 --> 1:18:27.280]  Obesity diabetes cancer heart disease and autoimmune illnesses are rampant
[1:18:27.520 --> 1:18:30.400]  One out of three or four people is dealing with some kind of health challenge
[1:18:30.400 --> 1:18:33.680]  And everyone knows at least one person with a degenerative disease
[1:18:34.000 --> 1:18:37.920]  If you are dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity
[1:18:38.080 --> 1:18:43.440]  And you're looking for a convenient easy way to incorporate nutritional raw materials into your day-to-day lives
[1:18:43.440 --> 1:18:49.600]  To guarantee that your body is getting the fundamental nutrients the 90 essential vitamins minerals fats and amino acids
[1:18:49.600 --> 1:18:54.320]  It needs to do its healing work. You need to check out info wars team dot com
[1:18:54.800 --> 1:18:58.960]  Give your body the gift of good nutrition head over to info wars team dot com
[1:18:59.200 --> 1:19:06.320]  Your body will be very grateful on the web at info wars team dot com. That's info wars team dot com
[1:19:08.080 --> 1:19:10.080]  national defense labs and
[1:19:10.080 --> 1:19:18.800]  Citizen armor has given info wars the exclusive on distributing to the american people the true next generation in body armor
[1:19:18.880 --> 1:19:24.720]  Basically what we're bringing to the info wars team is a new line of dynamic
[1:19:25.280 --> 1:19:26.640]  lightweight body armor
[1:19:26.640 --> 1:19:32.640]  It is lighter more flexible easier to wear more comfortable and stronger than anything else on the market
[1:19:32.640 --> 1:19:37.520]  You show when you talk to people that have been using this actually testing for years people that currently are testing for us
[1:19:37.520 --> 1:19:41.440]  They didn't just say outstanding and what they really say about them. They want to know how do they get it?
[1:19:41.600 --> 1:19:48.640]  Where do they find it? A lot of my law enforcement official buddies want to know the same thing the backpack body armor is only
[1:19:49.360 --> 1:19:54.000]  $200. I mean, it's unbelievable. It's a quarter inch thick. It's got a 20 year warranty is waterproof
[1:19:54.000 --> 1:19:58.880]  You can wear it. It's comfortable and we shot everything you can imagine on it again fund the info war
[1:19:59.040 --> 1:20:02.480]  Get the game changing in nano tech tubes. It's a win win
[1:20:02.480 --> 1:20:07.600]  Two hundred dollars. Go check out all their different products and if or short it's amazing
[1:20:12.320 --> 1:20:14.960]  You're listening to the alex jones show
[1:20:14.960 --> 1:20:16.960]  Go
[1:20:31.840 --> 1:20:35.920]  Big brother mainstream media government cover us
[1:20:36.640 --> 1:20:39.520]  You want to stop tyranny? Well, so does he
[1:20:39.520 --> 1:20:44.720]  Live from the info wars.com studios. It's alex jones
[1:20:46.640 --> 1:20:50.720]  You know i've admired ron paul and known him and been a friend i guess for
[1:20:52.640 --> 1:20:57.040]  20 years i've been interviewing him 21 years maybe friends the last 10
[1:20:59.280 --> 1:21:01.280]  But it's not the same as it is with trump
[1:21:02.720 --> 1:21:04.720]  Trump is so fire-breathing
[1:21:05.200 --> 1:21:06.320]  so
[1:21:06.320 --> 1:21:08.320]  energetic so
[1:21:08.320 --> 1:21:12.800]  cunning so real and he's having results so amazing
[1:21:13.360 --> 1:21:15.360]  that it just makes me
[1:21:15.680 --> 1:21:18.560]  Be endeared to trump i'm ready to die for trump at this point
[1:21:19.200 --> 1:21:23.920]  And i'm already ready to die for america. It's the same feeling i have for america because he is america. You're america
[1:21:24.880 --> 1:21:30.560]  It's the same way i get endeared to people i know that have fought hard and lost legs or arms for this country and just
[1:21:30.880 --> 1:21:35.600]  How hard-working and good they are now compared to the average person who's lazy and doesn't care
[1:21:35.600 --> 1:21:39.760]  I i i just i just feel humble to be around those type of people
[1:21:40.560 --> 1:21:43.360]  Because i study policy i'm a policy wonk
[1:21:44.960 --> 1:21:49.600]  And i know that trump and bannon really know what her what's happening. They're really trying to cut taxes
[1:21:49.760 --> 1:21:52.240]  They're really trying to get loans to small businesses
[1:21:52.400 --> 1:21:56.080]  They're really trying to get a side of carbon taxes and obama care and they're doing it
[1:21:56.160 --> 1:22:03.120]  They're delivering and it's so well thought out. It's so good. I studied history. I've covered politics for
[1:22:03.120 --> 1:22:05.840]  25 years 21 on air
[1:22:06.720 --> 1:22:08.720]  And i've never seen anything like this
[1:22:09.520 --> 1:22:13.520]  This is bigger than 1776 if trump can deliver and then i see all of the news
[1:22:13.920 --> 1:22:20.480]  I've got articles today. Ha ha there's tens of thousands of bureaucrats that are going to leak everything you're doing militarily and sabotage you
[1:22:20.720 --> 1:22:22.480]  That's called treason. That's
[1:22:22.480 --> 1:22:24.000]  executionable
[1:22:24.000 --> 1:22:25.040]  and then
[1:22:25.040 --> 1:22:26.880]  I saw that earlier in the week and then i
[1:22:28.320 --> 1:22:31.600]  Started seeing articles going well word is they leaked about that mission
[1:22:31.600 --> 1:22:33.600]  And the list
[1:22:33.840 --> 1:22:35.840]  Because it was so effective and you know
[1:22:35.840 --> 1:22:41.040]  obama doesn't want al-qaeda and isis to get rolled up because hillary and saudi arabia and all them were behind them
[1:22:42.000 --> 1:22:44.640]  And then i made some phone calls one of the calls hadn't come back yet
[1:22:45.680 --> 1:22:51.360]  That i called others and they said yes, that's what's being looked at. They were ready for them when they got there
[1:22:52.560 --> 1:23:00.240]  And we know obama wouldn't green like these lists that the navy seals and special operations and the and the green berets and the delta force
[1:23:00.240 --> 1:23:02.240]  Wanted to go after
[1:23:04.640 --> 1:23:07.440]  So that's what happened and
[1:23:09.360 --> 1:23:13.840]  The cia came to trump and said there. Here's a list of a whole bunch of targets. We've had for six months
[1:23:14.560 --> 1:23:17.040]  obama won't hit him because it's his real command bases
[1:23:18.000 --> 1:23:19.200]  and
[1:23:19.200 --> 1:23:23.120]  Trump said well, let's have meetings about it. They said okay. They said hit them then that's what you're saying
[1:23:23.840 --> 1:23:28.320]  And then that now moles in those very groups have now leaked the end of the list
[1:23:28.320 --> 1:23:32.400]  So that when our forces show up to take out the worst terrorist in the world
[1:23:33.920 --> 1:23:35.600]  They're waiting for them
[1:23:35.600 --> 1:23:39.200]  Roger holds a little bit the next segment so you can finish up. We got about six seven minutes left here
[1:23:39.200 --> 1:23:45.280]  But this is just such treasonous garbage to realize. He's such a david versus goliath
[1:23:46.240 --> 1:23:50.000]  How could you not just be endeared by this? This is so epic
[1:23:51.360 --> 1:23:54.480]  Well because alex washington never changes
[1:23:54.480 --> 1:23:58.560]  Uh, and the same people who have been running things for 30 years
[1:23:59.440 --> 1:24:02.240]  Like the status quo the status quo works
[1:24:02.880 --> 1:24:06.080]  In fact, didn't they say bay of pigs was really to set up kennedy make him look bad
[1:24:06.880 --> 1:24:11.040]  Yeah, I mean look the cia has a track record. Uh, that is uh,
[1:24:11.600 --> 1:24:15.280]  Unenviable when it comes to tell truth telly. They lied about
[1:24:15.680 --> 1:24:17.680]  um, uh torsher and iraq
[1:24:18.320 --> 1:24:20.320]  They lied about vengazi
[1:24:20.320 --> 1:24:26.080]  They lied about iran contrao. They lied about vietnam. They lied about the kennedy assassination. That's what they do
[1:24:26.960 --> 1:24:28.320]  They lie
[1:24:28.320 --> 1:24:30.960]  Uh, and that's why brennan was so arrogant outgoing
[1:24:31.280 --> 1:24:35.840]  Is they're going to bay of pigs the president trying to protect the country because they're allied with the gd islamists
[1:24:37.200 --> 1:24:40.400]  Meanwhile, uh, alex the the previous
[1:24:41.360 --> 1:24:46.880]  Uh, co-option of uh of the trump, uh, uh campaign or the trump movement
[1:24:46.880 --> 1:24:53.440]  I predict will come next in a series of fights over high profile ambassadorships
[1:24:54.320 --> 1:24:56.320]  Now as you know, these ambassadorships
[1:24:57.040 --> 1:24:59.360]  Uh, have always had a political tin
[1:25:00.080 --> 1:25:04.400]  Almost every president has appointed a major donor of theirs
[1:25:05.040 --> 1:25:07.360]  To the class a embassies
[1:25:08.320 --> 1:25:12.000]  So for example nixon appointed walter annenberg
[1:25:12.000 --> 1:25:19.840]  Uh, a media executive a major donor to richard nixon to the court of st. james the british
[1:25:20.560 --> 1:25:22.560]  ambassadorship
[1:25:22.560 --> 1:25:25.760]  It was revealed this week in an incredible piece
[1:25:26.640 --> 1:25:28.640]  by pimo angela
[1:25:28.640 --> 1:25:32.320]  That friebus is pushing a man by the name of
[1:25:33.040 --> 1:25:35.280]  duke vuken of the third
[1:25:36.320 --> 1:25:37.680]  a
[1:25:37.680 --> 1:25:43.840]  Bush supporter a jeb bush supporter who only later comes to the
[1:25:44.560 --> 1:25:45.760]  fight
[1:25:45.760 --> 1:25:49.040]  In the general election gives trump 900 thousand dollars
[1:25:50.560 --> 1:25:55.440]  That 900 thousand dollars is reported on the federal election commission sites
[1:25:56.240 --> 1:26:00.880]  And very briefly on open secrets, but then suddenly disappears
[1:26:00.880 --> 1:26:08.400]  Uh, mr. Buchan has a long history of federal investigations in the regulatory area
[1:26:08.960 --> 1:26:11.840]  He has conflicts of interest pertaining to
[1:26:12.560 --> 1:26:14.560]  um his
[1:26:14.640 --> 1:26:16.640]  participation in federal contracts
[1:26:17.200 --> 1:26:19.200]  And last but not least
[1:26:19.680 --> 1:26:22.320]  Mr. Buchan's partner in a hedge fund business
[1:26:23.520 --> 1:26:29.120]  Is the is a high ranking official in the chinese communist party. Whoa
[1:26:29.120 --> 1:26:30.400]  Oh
[1:26:30.400 --> 1:26:36.000]  So here's the bottom line trump's counting on his his his captains to bring him good people. He's good
[1:26:36.400 --> 1:26:38.880]  But here's the second part of the story. I've seen him do this before correct me if i'm wrong
[1:26:39.360 --> 1:26:45.680]  They're gonna put bad people in get the money trump won't know and then burn him saying he broke his promises
[1:26:45.840 --> 1:26:49.600]  Remember gingrich saying don't worry. He's not gonna drain the swamp. Don't worry. He's gonna hire lobbyists
[1:26:49.760 --> 1:26:51.360]  He's in a lifetime ban on him
[1:26:51.360 --> 1:26:56.080]  So trump's trying to deliver, but they're gonna sabotage him get the money for it and then blame him
[1:26:56.080 --> 1:26:59.760]  Well, and the important thing to understand here is that mr.
[1:26:59.760 --> 1:27:03.920]  previous is interested in uh rewarding the party donors
[1:27:04.640 --> 1:27:09.200]  As opposed to rewarding the reagan donors and the trump donors
[1:27:10.000 --> 1:27:13.040]  Pardon me the trump donors. I misspoke. It's the same story though
[1:27:13.760 --> 1:27:15.760]  It really is quite sadly
[1:27:16.400 --> 1:27:18.560]  Also, alexa wanted to mention to you that
[1:27:19.680 --> 1:27:24.560]  For some reason despite the phenomenal launch of the making of the president 2016
[1:27:24.560 --> 1:27:28.080]  Our donald trump orchestrated in a revolution
[1:27:28.720 --> 1:27:33.600]  Uh, which is doing extremely well was number one on amazon this week in new releases
[1:27:34.320 --> 1:27:37.040]  barns and noble refuses to post
[1:27:37.920 --> 1:27:38.960]  any
[1:27:38.960 --> 1:27:40.960]  reviews of the book
[1:27:41.200 --> 1:27:42.640]  period
[1:27:42.640 --> 1:27:46.960]  By the way, the book is available to making of the president 2016 discounted already 20
[1:27:47.520 --> 1:27:53.120]  1995 info wars store.com for a limited time all of them will be signed by roger stone and myself
[1:27:53.120 --> 1:27:59.680]  Info or store.com. I have them in stock. It is already number one on amazon.com number one
[1:28:00.080 --> 1:28:05.920]  On amazon.com for political book already in the top 20 total, but they don't care
[1:28:06.320 --> 1:28:09.040]  You heard it barns and noble won't even list it and he gets worse
[1:28:09.760 --> 1:28:11.760]  We're gonna come back briefly and talk about this roger
