[00:00.000 --> 00:22.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[03:42:22.000 --> 03:42:24.000]  It is an embarrassment.
[03:42:24.000 --> 03:42:26.000]  It is an embarrassment to our country.
[03:42:26.000 --> 03:42:30.000]  To be honest, the people who are going to join the army come from the same background I come from.
[03:42:30.000 --> 03:42:35.000]  They should be going into the poorest schools and the most underperforming schools in the UK
[03:42:35.000 --> 03:42:39.000]  and make men out of those children.
[03:42:39.000 --> 03:42:41.000]  Give them a real career and opportunity.
[03:42:41.000 --> 03:42:43.000]  Not focusing on gay people.
[03:42:43.000 --> 03:42:45.000]  Focus on all these minorities where they don't need to.
[03:42:45.000 --> 03:42:47.000]  Focus on everyone from every background.
[03:42:53.000 --> 03:42:55.000]  Frank in North Carolina, thanks for holding so long.
[03:42:55.000 --> 03:42:56.000]  Go ahead.
[03:42:56.000 --> 03:42:58.000]  I just have to say something, man.
[03:42:58.000 --> 03:43:01.000]  It seems like every time I turn on your broadcast, you're bragging.
[03:43:01.000 --> 03:43:03.000]  It just gets old, man.
[03:43:03.000 --> 03:43:05.000]  I'm going to shut you down right now.
[03:43:05.000 --> 03:43:08.000]  We're taking calls about your nomination.
[03:43:08.000 --> 03:43:12.000]  Do you understand they're having congressional hearings trying to shut us down?
[03:43:12.000 --> 03:43:15.000]  Do you understand I'm ringing the alarm?
[03:43:15.000 --> 03:43:18.000]  If that was happening to anybody else, I'd be freaked out.
[03:43:18.000 --> 03:43:20.000]  What's it going to take us being shut down?
[03:43:20.000 --> 03:43:22.000]  Is that what you want, Frank?
[03:43:22.000 --> 03:43:23.000]  You know what?
[03:43:23.000 --> 03:43:24.000]  I'll put it on pause again.
[03:43:24.000 --> 03:43:29.000]  Hey, Frank, do you understand it's not bragging to say we are the tip of the spear?
[03:43:29.000 --> 03:43:30.000]  We're under attack.
[03:43:30.000 --> 03:43:31.000]  We need your help.
[03:43:31.000 --> 03:43:36.000]  As much begging as I do, we can barely pay the bills and grow in the face of this.
[03:43:36.000 --> 03:43:39.000]  I'm not going to just stop growth and let them start pushing us backwards.
[03:43:39.000 --> 03:43:40.000]  Do you understand?
[03:43:40.000 --> 03:43:41.000]  I need your help, Frank.
[03:43:41.000 --> 03:43:43.000]  I need your help, Frank.
[03:43:43.000 --> 03:43:49.000]  Go to infowarstore.com right now and help fund the info.
[03:43:49.000 --> 03:43:50.000]  Do you understand?
[03:43:50.000 --> 03:43:51.000]  I need your help, Frank.
[03:43:51.000 --> 03:43:53.000]  Free press needs your help, Frank.
[03:43:53.000 --> 03:43:58.000]  You know, I've got some talking points here about caveman from infowarstlife.com.
[03:43:58.000 --> 03:44:01.000]  But instead of going with those talking points, let me just give you what I've experienced
[03:44:01.000 --> 03:44:02.000]  personally.
[03:44:02.000 --> 03:44:06.000]  From all the wives, tales, and every culture, we know that the bones have the essence.
[03:44:06.000 --> 03:44:09.000]  We know chicken noodle soup is great for people that are sick.
[03:44:09.000 --> 03:44:14.000]  Again, in every culture, this has been reported because it works.
[03:44:14.000 --> 03:44:20.000]  And there's no way to quantify how strong this is, but the amount of bone protein and
[03:44:20.000 --> 03:44:27.000]  the amount of marrow and the amount of concentrated life force that is in this is incredible.
[03:44:27.000 --> 03:44:31.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and
[03:44:31.000 --> 03:44:36.000]  your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen,
[03:44:36.000 --> 03:44:43.000]  is the strongest, most concentrated bone broth formula out there, and it's amazing.
[03:44:43.000 --> 03:44:45.000]  Find out for yourself today at infowarstore.com.
[03:44:45.000 --> 03:44:47.000]  What do you do for your family?
[03:44:47.000 --> 03:44:49.000]  And again, I want to thank you all for your support.
[03:44:49.000 --> 03:44:55.000]  You are funding the Information War in 2018.
[03:44:55.000 --> 03:44:59.000]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[03:44:59.000 --> 03:45:06.000]  Our organic formula is made from high quality natural ingredients such as valerian root
[03:45:06.000 --> 03:45:11.000]  extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[03:45:11.000 --> 03:45:16.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[03:45:16.000 --> 03:45:21.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed
[03:45:21.000 --> 03:45:24.000]  of life, we need to be able to keep up the pace.
[03:45:24.000 --> 03:45:30.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[03:45:30.000 --> 03:45:32.000]  and get the sleep you need.
[03:45:32.000 --> 03:45:34.000]  Wake up refreshed and take on the day.
[03:45:34.000 --> 03:45:40.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading
[03:45:40.000 --> 03:45:42.000]  brands at an affordable price.
[03:45:42.000 --> 03:45:46.000]  Get the sleep you deserve and experience the power of knockout.
[03:45:46.000 --> 03:45:50.000]  Head on over to infowarslife.com and say goodbye to fatigue.
[03:45:50.000 --> 03:45:54.000]  That's infowarslife.com.
[03:46:21.000 --> 03:46:26.000]  InfoWarsLife wants to bring you the highest quality products.
[03:46:26.000 --> 03:46:31.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance
[03:46:31.000 --> 03:46:35.000]  and creating superior vitality in males.
[03:46:35.000 --> 03:46:39.000]  Support your body and mind and take yourself to the next level.
[03:46:39.000 --> 03:46:43.000]  Boost your vitality and energize your life.
[03:46:43.000 --> 03:46:45.000]  Take control of your body.
[03:46:45.000 --> 03:46:50.000]  Have a bottle of super male vitality today at infowarslife.com.
[03:46:50.000 --> 03:46:53.000]  That's infowarslife.com.
[03:46:53.000 --> 03:47:22.000]  You're listening to The Alex Jones Show.
[03:47:22.000 --> 03:47:27.000]  If you are receiving this transmission, you are the resistance.
[03:47:35.000 --> 03:47:40.000]  Hi, my name is Tommy Robinson and I'm hosting The Alex Jones Show with Millie Weaver.
[03:47:40.000 --> 03:47:44.000]  I'm in Luton Town, which is a town in Great Britain.
[03:47:44.000 --> 03:47:48.000]  Whilst I was just talking about Muslims joining the British Army,
[03:47:48.000 --> 03:47:53.000]  I want to take this opportunity to tell you a story about a certain Muslim
[03:47:53.000 --> 03:47:59.000]  who was a captain in the British Armed Forces who went to Sandhurst Military School.
[03:47:59.000 --> 03:48:03.000]  He was put up on a pedestal in our country.
[03:48:03.000 --> 03:48:07.000]  He was friends with David Cameron at the time who was our Prime Minister.
[03:48:07.000 --> 03:48:12.000]  He was asked by David Cameron what seat he wants on the cabinet
[03:48:12.000 --> 03:48:16.000]  and he made an approach to me.
[03:48:16.000 --> 03:48:22.000]  When you all know of Sadiq Khan, who is our Muslim MP, who is our Muslim Mayor,
[03:48:22.000 --> 03:48:27.000]  and I have a problem trusting people who are getting in these positions.
[03:48:27.000 --> 03:48:31.000]  I have a problem because of what's happened in the past.
[03:48:31.000 --> 03:48:36.000]  Afsal Amin approached me when I was lead in the English Defence League.
[03:48:36.000 --> 03:48:39.000]  He approached me and offered me a financial agreement.
[03:48:39.000 --> 03:48:42.000]  He offered me cash. He offered me money.
[03:48:42.000 --> 03:48:45.000]  He offered me money that I would never have to worry about my finances again.
[03:48:45.000 --> 03:48:50.000]  I will explain in a minute what he wanted me to do.
[03:48:50.000 --> 03:48:58.000]  The reason he has done this is because Muslims and Islam have bought its way through my country.
[03:48:58.000 --> 03:49:02.000]  It has bought our politicians. It has bought our police leaders.
[03:49:02.000 --> 03:49:05.000]  It is trying to buy our people.
[03:49:05.000 --> 03:49:11.000]  When I led the movement, I said you may buy our politicians, you will never buy us.
[03:49:11.000 --> 03:49:17.000]  There is nothing stronger than the heart of a volunteer and we love our country and we won't sell it out.
[03:49:17.000 --> 03:49:22.000]  Afsal Amin approached me and he asked me to do...
[03:49:22.000 --> 03:49:26.000]  He asked if he paid me if I would set up a demonstration in his constituency.
[03:49:26.000 --> 03:49:33.000]  If he steps in, if I would sit with him and cancel the demonstration because I respect him,
[03:49:33.000 --> 03:49:37.000]  because he served for 10 years as a captain in the British Army.
[03:49:37.000 --> 03:49:41.000]  If we have a video here, I will show you the news expose.
[03:49:41.000 --> 03:49:46.000]  This was the biggest news story in my country, weeks before the election.
[03:49:46.000 --> 03:49:50.000]  I never got thanked for this, but if you watch the news story,
[03:49:50.000 --> 03:49:54.000]  it will give you a brief minute of it which will explain what happened.
[03:49:54.000 --> 03:49:58.000]  He seemed to be the Conservative's dream candidate,
[03:49:58.000 --> 03:50:04.000]  a Muslim British Army officer for 11 years who had done tours of Iraq and Afghanistan.
[03:50:04.000 --> 03:50:09.000]  This was Afsal Amin speaking out against extremism after the murder of Lee Rigby.
[03:50:09.000 --> 03:50:15.000]  We won't give in to this extremist narrative, whether it comes from one element or another.
[03:50:15.000 --> 03:50:21.000]  Contrast that to the man apparently filmed seemingly making Machiavellian deals
[03:50:21.000 --> 03:50:24.000]  with the far-right English Defence League.
[03:50:24.000 --> 03:50:28.000]  If you were to announce the second march, say early May, that you're going to come back,
[03:50:28.000 --> 03:50:31.000]  do another march about the mosque, about the planning commission's work.
[03:50:31.000 --> 03:50:34.000]  He wanted the EDL to fake a march,
[03:50:34.000 --> 03:50:38.000]  only for him to then pretend he had heroically negotiated its cancellation.
[03:50:38.000 --> 03:50:44.000]  In exchange, the EDL were offered the chance to mainstream their views once he's elected.
[03:50:44.000 --> 03:50:50.000]  If I win my election, in Parliament you've got a very strong, unshakeable ally.
[03:50:50.000 --> 03:50:53.000]  When I'm being offered this, it's not for sale.
[03:50:53.000 --> 03:50:56.000]  My integrity is not for sale. The English Defence League is not for sale.
[03:50:56.000 --> 03:51:00.000]  For a number of years, Dudley has been the site of bitter dispute and tension.
[03:51:00.000 --> 03:51:03.000]  I'll explain the rest.
[03:51:03.000 --> 03:51:06.000]  So, what happened after this?
[03:51:06.000 --> 03:51:09.000]  Once I exposed him, I wore hidden cameras.
[03:51:09.000 --> 03:51:15.000]  I went to a meeting with a man who told me in the meeting he's not looking at being an MP,
[03:51:15.000 --> 03:51:19.000]  he's not happy with that, he's looking at number 10.
[03:51:19.000 --> 03:51:22.000]  He was a captain in the British Army for 10 years.
[03:51:22.000 --> 03:51:26.000]  He had support coming from Qatar when he gets into the Dudley area.
[03:51:26.000 --> 03:51:30.000]  Qatar were going to pump tens of millions of pounds into that area
[03:51:30.000 --> 03:51:34.000]  to solve the jobless problems, to build the community.
[03:51:34.000 --> 03:51:38.000]  So, when he's looked upon again, he would have solved all of Dudley's problems
[03:51:38.000 --> 03:51:41.000]  with the help of Qatar, of course.
[03:51:41.000 --> 03:51:45.000]  And when I exposed him, I exposed him and I went to a meeting with him.
[03:51:45.000 --> 03:51:49.000]  When I went to a meeting with him, he turned up with his two financial backers.
[03:51:49.000 --> 03:51:52.000]  And they were both Muslim gangsters.
[03:51:52.000 --> 03:51:56.000]  They sat down, they talked about one of their friends was shot dead.
[03:51:56.000 --> 03:51:59.000]  And then when I said, who are you conservatives?
[03:51:59.000 --> 03:52:00.000]  Because it's the same.
[03:52:00.000 --> 03:52:03.000]  So, Afsal Amin was standing for the Republicans.
[03:52:03.000 --> 03:52:07.000]  And these two men, when I was sitting talking to them, they were followers of the Democrats.
[03:52:07.000 --> 03:52:08.000]  They were the opposite party.
[03:52:08.000 --> 03:52:14.000]  So, I said, if you support the Democrats, why are you funding him to get into the conservatives?
[03:52:14.000 --> 03:52:16.000]  To get into the conservatives.
[03:52:16.000 --> 03:52:19.000]  And they said, because once we have our man in Parliament,
[03:52:19.000 --> 03:52:23.000]  then if there's any problems, he can sort them out.
[03:52:23.000 --> 03:52:25.000]  Problems with the police.
[03:52:25.000 --> 03:52:27.000]  These men actually owned hotels.
[03:52:27.000 --> 03:52:32.000]  Their hotel's been targeted by the police because young girls being groomed and raped.
[03:52:32.000 --> 03:52:35.000]  This is when I started realizing just how dirty our politics are.
[03:52:35.000 --> 03:52:37.000]  It was these men that offered me money.
[03:52:37.000 --> 03:52:44.000]  And then when I exposed it, then the media went into overdrive, looking into Afsal Amin.
[03:52:44.000 --> 03:52:46.000]  What did they find?
[03:52:46.000 --> 03:52:51.000]  They found that a year before he joined the British army, before he become a captain,
[03:52:51.000 --> 03:52:57.000]  he had wrote leaflets and distributed them, saying that the Mujahideen, the Islamic fighters,
[03:52:57.000 --> 03:53:00.000]  will keep in their enclaves in Britain.
[03:53:00.000 --> 03:53:04.000]  And then when the war comes, they'll come out and they'll attack the kafar.
[03:53:04.000 --> 03:53:05.000]  This is his words.
[03:53:05.000 --> 03:53:08.000]  He was a radical extremist Muslim.
[03:53:08.000 --> 03:53:10.000]  And he infiltrated our army.
[03:53:10.000 --> 03:53:12.000]  He spent 10 years as a captain.
[03:53:12.000 --> 03:53:16.000]  And he nearly had a seat on our cabinet in our government.
[03:53:16.000 --> 03:53:19.000]  And maybe one day would have been the leader of our government.
[03:53:19.000 --> 03:53:21.000]  And no one battered and oiled it.
[03:53:21.000 --> 03:53:24.000]  They all wanted their picture taken with him.
[03:53:24.000 --> 03:53:28.000]  In fact, what Afsal Amin told me, which is all on tape recording,
[03:53:28.000 --> 03:53:33.000]  he told me that when David Cameron walked into the hall, everyone was trying to say hello to him.
[03:53:33.000 --> 03:53:36.000]  At that time, David Cameron was our prime minister.
[03:53:36.000 --> 03:53:38.000]  Everyone was trying to say hello to him.
[03:53:38.000 --> 03:53:43.000]  He ignored the moon and went straight up to Afsal and said, hello, Afsal,
[03:53:43.000 --> 03:53:45.000]  because Afsal is a Muslim.
[03:53:45.000 --> 03:53:50.000]  And he wanted that Muslim in his parliament, in his team, because they needed one.
[03:53:50.000 --> 03:53:55.000]  And at that time, then, there was no thank you to us
[03:53:55.000 --> 03:54:00.000]  for exposing an undercover operative for a foreign entity within our government.
[03:54:00.000 --> 03:54:05.000]  I'm fully aware of many people who have infiltrated the American government,
[03:54:05.000 --> 03:54:08.000]  especially the last Barack Obama's government.
[03:54:08.000 --> 03:54:13.000]  But we have currently the same situation as happened now in our capital city.
[03:54:13.000 --> 03:54:18.000]  We had it with the mayor of Tower Hamlets, who was a radical extremist,
[03:54:18.000 --> 03:54:22.000]  who got into a position where he was in charge of a billion pound of our budget,
[03:54:22.000 --> 03:54:23.000]  because he was voted in.
[03:54:23.000 --> 03:54:25.000]  This is how our politics is working.
[03:54:25.000 --> 03:54:28.000]  This is how your American politics will change.
[03:54:28.000 --> 03:54:29.000]  They become Muslim.
[03:54:29.000 --> 03:54:33.000]  The Islamic community becomes so powerful with their block voting,
[03:54:33.000 --> 03:54:36.000]  because they're all hardened in certain areas.
[03:54:36.000 --> 03:54:40.000]  We have another extremist group in the UK called MEND.
[03:54:40.000 --> 03:54:47.000]  Their leader of MEND is on record as saying we will use democracy only to implement Sharia.
[03:54:47.000 --> 03:54:53.000]  He's on record as saying that British military are legitimate targets.
[03:54:53.000 --> 03:54:56.000]  He's on record as saying many extremist things.
[03:54:56.000 --> 03:55:00.000]  Jeremy Corbyn, who is the leader of the opposition in the UK,
[03:55:00.000 --> 03:55:03.000]  shared a stage with this man a number of months ago.
[03:55:03.000 --> 03:55:07.000]  In the transcripts I got from a mosque in Greater Manchester,
[03:55:07.000 --> 03:55:11.000]  one of MEND's leading representatives told the congregation,
[03:55:11.000 --> 03:55:14.000]  all political groups will work with us.
[03:55:14.000 --> 03:55:19.000]  We can now sway 30 seats in politics, 30 seats.
[03:55:19.000 --> 03:55:21.000]  So it doesn't matter how extreme they are.
[03:55:21.000 --> 03:55:23.000]  It doesn't matter how radical they are.
[03:55:23.000 --> 03:55:25.000]  They will gain them power.
[03:55:25.000 --> 03:55:26.000]  That is what they did.
[03:55:26.000 --> 03:55:28.000]  We had an election.
[03:55:28.000 --> 03:55:31.000]  Jeremy Corbyn gained 30 seats.
[03:55:31.000 --> 03:55:37.000]  The Labour Party in the UK have become the most anti-semitic, anti-freedom party there is.
[03:55:37.000 --> 03:55:40.000]  And they side every time with the Islamic community.
[03:55:40.000 --> 03:55:43.000]  And for another example of why that is,
[03:55:43.000 --> 03:55:49.000]  in my hometown of Luton, the projected growth forecast by the year 2030,
[03:55:49.000 --> 03:55:53.000]  these are government statistics, they're not Tommy Robinson statistics,
[03:55:53.000 --> 03:55:58.000]  the Islamic community, the Bangladeshi and Pakistani community,
[03:55:58.000 --> 03:56:03.000]  are going to increase by 70% to 77%.
[03:56:03.000 --> 03:56:08.000]  The black and white community will increase by 1.2% to 1.4%.
[03:56:08.000 --> 03:56:10.000]  So Labour understands fully,
[03:56:10.000 --> 03:56:14.000]  due to the birth rate and the demographical change of this great nation,
[03:56:14.000 --> 03:56:16.000]  that Islam is the future.
[03:56:16.000 --> 03:56:19.000]  And that's why we're being sold out left, right and centre
[03:56:19.000 --> 03:56:21.000]  from one end of this country to the other.
[03:56:21.000 --> 03:56:25.000]  Americans really need to understand just how quickly that happens.
[03:56:25.000 --> 03:56:29.000]  I've watched in my hometown where one area you can be in
[03:56:29.000 --> 03:56:31.000]  and you look at it a few years later and you think,
[03:56:31.000 --> 03:56:32.000]  what has happened here?
[03:56:32.000 --> 03:56:34.000]  It's that quick.
[03:56:34.000 --> 03:56:39.000]  With a growth, with a birth rate of 5.6 children,
[03:56:39.000 --> 03:56:42.000]  that's on average in the UK, the Muslim community,
[03:56:42.000 --> 03:56:44.000]  1.3 children we have on average.
[03:56:44.000 --> 03:56:47.000]  I ask every year, mum and Muslim, I meet, how many children do you have?
[03:56:47.000 --> 03:56:51.000]  My local imam has 14 children with three wives.
[03:56:51.000 --> 03:56:54.000]  That's what's happening and it's happening like that.
[03:56:54.000 --> 03:56:56.000]  So as a warning to America, unless you address,
[03:56:56.000 --> 03:56:59.000]  there's things we can do to address this, but we don't.
[03:56:59.000 --> 03:57:03.000]  We could limit the benefit system to two children,
[03:57:03.000 --> 03:57:06.000]  because at the minute, we're paying for this, which is insane.
[03:57:06.000 --> 03:57:09.000]  We're all working very hard, paying lots of tax,
[03:57:09.000 --> 03:57:12.000]  so they can have lots of babies, so that they can change the culture
[03:57:12.000 --> 03:57:16.000]  and the way our country looks and the future of our nation.
[03:57:16.000 --> 03:57:19.000]  Run over, we're going into a commercial now,
[03:57:19.000 --> 03:57:22.000]  and we'll get back afterwards, on the fake mainstream media.
[03:57:22.000 --> 03:57:24.000]  Let's go.
[03:57:52.000 --> 03:57:55.000]  I'm out with the largest spectrum of high quality,
[03:57:55.000 --> 03:57:59.000]  known probiotics that have been proven
[03:57:59.000 --> 03:58:05.000]  to improve overall digestion and health and detoxification in the body.
[03:58:05.000 --> 03:58:10.000]  Biome defences an exclusive blend of 50 billion live and active cultures
[03:58:10.000 --> 03:58:13.000]  from over 23 different probiotic strains
[03:58:13.000 --> 03:58:17.000]  that are known to support digestion and intestinal function.
[03:58:17.000 --> 03:58:20.000]  Our researchers are confident that we have been able to develop
[03:58:20.000 --> 03:58:24.000]  what will be the leading probiotic on the market.
[03:58:24.000 --> 03:58:27.000]  Secure your biome defense in ultra strength or regular strength
[03:58:27.000 --> 03:58:29.000]  at InfowarsLife.com today,
[03:58:29.000 --> 03:58:33.000]  and get started supporting your digestive system naturally.
[03:58:33.000 --> 03:58:35.000]  We've been testing this formula for years,
[03:58:35.000 --> 03:58:37.000]  but this is the limited first run to the public,
[03:58:37.000 --> 03:58:39.000]  so please take advantage of it today,
[03:58:39.000 --> 03:58:42.000]  support your own health, and support the Infowar.
[03:58:46.000 --> 03:58:49.000]  Over a year in the making, produced by one of the top organic firms
[03:58:49.000 --> 03:58:53.000]  in the country, that if you want proven studies and documentation,
[03:58:53.000 --> 03:58:56.000]  let me speak for hours, this is on the files I have here,
[03:58:56.000 --> 03:58:59.000]  of what this is proven to do, the ingredients in this.
[03:58:59.000 --> 03:59:03.000]  This is the ultimate immune system boost for this time of year,
[03:59:03.000 --> 03:59:07.000]  any time of the year, but immune wall is incredible, and folks.
[03:59:07.000 --> 03:59:10.000]  Other formulas that aren't even as good are $70-80.
[03:59:10.000 --> 03:59:12.000]  It's a great deal at $39.
[03:59:12.000 --> 03:59:16.000]  Immune wall, beta-glucans, olive leaf, and so much more.
[03:59:16.000 --> 03:59:20.000]  It is concentrated, you need to go read what is in here.
[03:59:20.000 --> 03:59:24.000]  The mushroom blend of the most expensive, highest quality mushrooms
[03:59:24.000 --> 03:59:26.000]  that just incredibly accelerate.
[03:59:26.000 --> 03:59:29.000]  A citrus peel blend, I mean, this is the next level.
[03:59:29.000 --> 03:59:31.000]  It's now available, ladies and gentlemen, immune wall.
[03:59:31.000 --> 03:59:33.000]  I think it's beyond seasonal.
[03:59:33.000 --> 03:59:35.000]  Beta-glucan, olive leaf, and more.
[03:59:35.000 --> 03:59:39.000]  Immune wall, InfowarsStore.com, InfowarsLife.com, or triple-A.
[03:59:39.000 --> 03:59:46.000]  2533139.
