[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[1:57:49.000 --> 1:57:52.000]  Boost Your Body's Natural Defenses Supercell.
[1:57:52.000 --> 1:57:55.000]  And we have the vitamin D3 gummies with calcium.
[1:57:55.000 --> 1:57:58.000]  50% off, so essential for your immune system.
[1:57:58.000 --> 1:58:02.000]  Vitamin C, zinc and rose hips. Very strong formula.
[1:58:02.000 --> 1:58:05.000]  This is 50% off at infowarstore.com.
[1:58:05.000 --> 1:58:07.000]  Now back at stock. Just came back in yesterday.
[1:58:07.000 --> 1:58:10.000]  Very powerful, pure tumor extract.
[1:58:10.000 --> 1:58:15.000]  Tincture, not necessarily immune system, but for inflammation and a lot more.
[1:58:15.000 --> 1:58:18.000]  And then sold out for more than six months because of supply chain breakdowns.
[1:58:18.000 --> 1:58:22.000]  We finally have the activated charcoal toothpaste with natural peppermint
[1:58:22.000 --> 1:58:25.000]  and so much more back in stock from Dr. Jones Naturals
[1:58:25.000 --> 1:58:29.000]  and the mouthwash with the activated charcoal and essential oils is back in stock.
[1:58:29.000 --> 1:58:33.000]  These are great products. They're high quality and they fund the InfoWars.
[1:58:33.000 --> 1:58:37.000]  So thank you all for your support. Check them out today at infowarstore.com.
[1:58:37.000 --> 1:58:39.000]  The sale runs for only one week.
[1:58:39.000 --> 1:58:42.000]  It is the Boost Your Body's Natural Defenses Supercell.
[1:58:42.000 --> 1:58:47.000]  And another part of the sale ending is the privacy pouches for your cell phone.
[1:59:12.000 --> 1:59:18.000]  This is globalists that ran the rollout of HIV and the mistreatment of it with ACT
[1:59:18.000 --> 1:59:21.000]  and other chemicals that actually killed more people than HIV
[1:59:21.000 --> 1:59:25.000]  and they were the ones involved in viral research of viruses
[1:59:25.000 --> 1:59:30.000]  that would actually go attack the telenphecytes in the body and create autoimmune disorders.
[1:59:30.000 --> 1:59:36.000]  The problem for them was the viruses would then break down and would be non-lethal down the road.
[1:59:36.000 --> 1:59:39.000]  That's why they need to roll out the COVID-19 and the vaccine
[1:59:39.000 --> 1:59:42.000]  because now they admit the COVID-19 vaccine destroys your immune system,
[1:59:42.000 --> 1:59:45.000]  basically giving you the equivalent of HIV.
[1:59:45.000 --> 1:59:47.000]  That's right, ladies and gentlemen.
[1:59:50.000 --> 1:59:53.000]  You're listening to the Alex Jones Show.
[1:59:53.000 --> 1:59:55.000]  Let's go.
[2:00:24.000 --> 2:00:27.000]  And then they show you their propaganda at the opening ceremony of the Olympics,
[2:00:27.000 --> 2:00:32.000]  the exact logo of Operation 2030, which is no individual freedoms, no individual ownership anymore.
[2:00:32.000 --> 2:00:36.000]  Yeah, so, you know, oh, you can't have a gun in your apartment.
[2:00:36.000 --> 2:00:41.000]  Oh, now they've just disarmed you through fiat. See how that works?
[2:00:41.000 --> 2:00:43.000]  See how that works?
[2:00:43.000 --> 2:00:48.000]  It's really just incredible to be witnessing all of this
[2:00:48.000 --> 2:00:51.000]  and how people can be so suckered into it.
[2:00:51.000 --> 2:00:55.000]  But yeah, I guess we're just getting dumber with time.
[2:00:55.000 --> 2:00:58.000]  Kind of like this study that just came out.
[2:00:58.000 --> 2:01:03.000]  Study finds children born during lockdown have lost IQ points and paired cognitive functioning.
[2:01:03.000 --> 2:01:05.000]  Well, of course, they're not going to school anymore.
[2:01:05.000 --> 2:01:07.000]  They're living in a fake pandemic, a big lie.
[2:01:07.000 --> 2:01:10.000]  So, of course, they're going to be dumber.
[2:01:13.000 --> 2:01:17.000]  And they get the fluoride in the water and the chemicals in the food.
[2:01:17.000 --> 2:01:21.000]  And yeah, it's all to make you dumb so that when the globalist,
[2:01:21.000 --> 2:01:27.000]  the global mafia leads you to the slaughterhouse, you don't question anything.
[2:01:27.000 --> 2:01:31.000]  And it's also like this weird creation of a justification to kill you.
[2:01:31.000 --> 2:01:34.000]  Hey, you're a dumb parasite. You don't even realize you're being murdered.
[2:01:34.000 --> 2:01:37.000]  So, you know what? You deserve to die.
[2:01:37.000 --> 2:01:42.000]  Or, you know what? We need to dumb humanity down so when we kill them, it's not so brutal.
[2:01:42.000 --> 2:01:44.000]  It's not so bloody.
[2:01:44.000 --> 2:01:49.000]  By the way, just found out Michael Graves, a frequent guest with me on the war room,
[2:01:49.000 --> 2:01:52.000]  who's actually already scheduled to be on the war room with me today,
[2:01:52.000 --> 2:01:55.000]  launched a founding member of the Misfits.
[2:01:55.000 --> 2:01:58.000]  They kicked him out for his politics.
[2:01:58.000 --> 2:02:00.000]  A fabulous musician, by the way.
[2:02:00.000 --> 2:02:03.000]  And he just launched a tour.
[2:02:03.000 --> 2:02:09.000]  It's been tough for him to get back on the road with, you know, all the politicization of everything.
[2:02:09.000 --> 2:02:17.000]  And he announces a tour and he's already having venues cancel his shows because he's a conservative.
[2:02:17.000 --> 2:02:20.000]  And by the way, Michael Graves is not going to back down.
[2:02:20.000 --> 2:02:25.000]  He doesn't have to come on info wars every month or, you know, do segments with me all the time,
[2:02:25.000 --> 2:02:27.000]  knowing that it'll, he could hurt his career.
[2:02:27.000 --> 2:02:29.000]  He doesn't care. He cares more about freedom and truth.
[2:02:29.000 --> 2:02:32.000]  So, Michael Graves having shows canceled because he's a conservative.
[2:02:32.000 --> 2:02:35.000]  And they don't even hide it. They just say, oh, you're a conservative.
[2:02:35.000 --> 2:02:36.000]  And that's what they'll do.
[2:02:36.000 --> 2:02:40.000]  Most of the globalists own all the property. They won't even let you rent because of your politics.
[2:02:40.000 --> 2:02:45.000]  Or they'll make you go to reeducation camps just to, just to live in their apartments that they own.
[2:02:45.000 --> 2:02:49.000]  So Michael Graves will be on the war room today at five o'clock.
[2:02:49.000 --> 2:02:55.000]  And I'll obviously be discussing that with him.
[2:02:55.000 --> 2:02:59.000]  Yeah. You know, hey, there's no such thing as freedom anymore.
[2:02:59.000 --> 2:03:01.000]  The left is telling you you're not free.
[2:03:01.000 --> 2:03:04.000]  So, I mean, we shouldn't be surprised by all this.
[2:03:04.000 --> 2:03:05.000]  They've told us that you're not free anymore.
[2:03:05.000 --> 2:03:08.000]  They've been telling us for a year and a half, you're not free anymore.
[2:03:08.000 --> 2:03:13.000]  Now they just go on TV. They go on CNN, they go on MSNBC, Hollywood people.
[2:03:13.000 --> 2:03:16.000]  And they say, you're not free. Screw your freedoms.
[2:03:16.000 --> 2:03:22.000]  You're our property now.
[2:03:22.000 --> 2:03:28.000]  Man, oh man, let me just continue on with these headlines.
[2:03:28.000 --> 2:03:32.000]  Joe Biden during a press conference says this isn't about politics.
[2:03:32.000 --> 2:03:35.000]  This is about keeping our kids safe.
[2:03:35.000 --> 2:03:40.000]  Biden condemns anti-mass protests and praises doctors, teachers and mayors who are battling governors over school mask mandates.
[2:03:40.000 --> 2:03:49.000]  Even though all the studies that have come out about schools mandating masks for children actually show that the mask is bad.
[2:03:49.000 --> 2:03:52.000]  All the studies, every single one.
[2:03:52.000 --> 2:03:56.000]  And now you're having outbreaks of, I think it's RSV.
[2:03:56.000 --> 2:03:59.000]  I think what it is, guys, plug in RSV Louisiana.
[2:03:59.000 --> 2:04:06.000]  I forget what the story was, but basically there's this new, well, it's not new, but there's an infection that can get into your lungs.
[2:04:06.000 --> 2:04:09.000]  It's very rare. It used to be rare.
[2:04:09.000 --> 2:04:15.000]  But is all of a sudden, you're seeing all these kids that have this viral lung infection that you never used to see before.
[2:04:15.000 --> 2:04:17.000]  And it's completely because of the masks.
[2:04:17.000 --> 2:04:20.000]  100% because of the masks. Yeah, there it is right there.
[2:04:20.000 --> 2:04:22.000]  Hey, guys, give me a date on that headline.
[2:04:22.000 --> 2:04:30.000]  Okay, yeah, that, oh, this is from today. COVID-19 and RSV form wicked one-two punch, bringing children's hospitals to the brink.
[2:04:30.000 --> 2:04:40.000]  Yeah, the one-two punch of the fake pandemic of COVID, making your kids wear a mask and causing them to get RSV.
[2:04:40.000 --> 2:04:43.000]  RSV infections on the rise and children across Baton Rouge area.
[2:04:43.000 --> 2:04:45.000]  And the reason it's in the South is because it's more humid.
[2:04:45.000 --> 2:04:52.000]  So breathing in the humidity in the mask is even worse down there than it is in, you know, drier areas like Colorado or something.
[2:04:52.000 --> 2:04:58.000]  They're murdering kids, man. These people are sick and they say they love the kids.
[2:04:58.000 --> 2:05:03.000]  You say you want to fight tyranny. You say you want to fund the Second American Revolution.
[2:05:03.000 --> 2:05:05.000]  I know you do. That's why you're here.
[2:05:05.000 --> 2:05:16.000]  So I'm encouraging all of you watching and listening right now to understand that there are really two places in the media that don't back down and that tell the truth that have great products that are self-funded.
[2:05:16.000 --> 2:05:24.000]  And that's infowarstore.com with the supplements, the books, the films, the water filters, the air filters, all of it, and Mike Lindell and mypillow.com.
[2:05:24.000 --> 2:05:36.000]  When you go to mypillow.com and use promo code Alex, you get the very best deals he's got, 66% off, up to that, on shoes and beds and sheets and towels and pillows.
[2:05:36.000 --> 2:05:40.000]  The list goes on and on made right here in America, a 360 win.
[2:05:40.000 --> 2:05:45.000]  So go to mypillow.com, use promo code Alex for the best discounts out there.
[2:05:45.000 --> 2:05:50.000]  I think profit shares with us and helps fund the info war and continue to shop at infowarstore.com.
[2:05:50.000 --> 2:05:56.000]  Because we're sponsored by patriots like you and we're thankful and we will never back down to the globalist.
[2:05:56.000 --> 2:06:21.000]  So thank you so much for your support.
[2:06:21.000 --> 2:06:36.000]  Thank you so much for your support.
[2:06:36.000 --> 2:07:04.000]  Thank you so much for your support.
[2:07:04.000 --> 2:07:11.000]  I just can't even believe this satanic dystopian reality I'm in right now.
[2:07:11.000 --> 2:07:14.000]  I mean, these people are such demonic liars.
[2:07:14.000 --> 2:07:20.000]  It's just how does it get worse?
[2:07:20.000 --> 2:07:22.000]  So again, Biden's out saying this is about children.
[2:07:22.000 --> 2:07:24.000]  The Democrats saying this is about children.
[2:07:24.000 --> 2:07:26.000]  The teachers that want to indoctrinate your kids.
[2:07:26.000 --> 2:07:28.000]  This is about children.
[2:07:28.000 --> 2:07:30.000]  They all love baby murder.
[2:07:30.000 --> 2:07:33.000]  They all love baby sacrifice.
[2:07:33.000 --> 2:07:35.000]  And they love getting your kids sick.
[2:07:35.000 --> 2:07:41.000]  Again, there have been five studies minimum done on the effects of children wearing masks.
[2:07:41.000 --> 2:07:45.000]  And all of the studies show how bad it is for kids to be wearing masks.
[2:07:45.000 --> 2:07:47.000]  Which of course is bad for anybody to wear masks.
[2:07:47.000 --> 2:07:48.000]  It's bondage.
[2:07:48.000 --> 2:07:51.000]  You're breathing in your own bacteria, carbon dioxide.
[2:07:51.000 --> 2:07:54.000]  I mean, it's a joke.
[2:07:54.000 --> 2:07:58.000]  It's a ritual torture sacrament.
[2:07:58.000 --> 2:08:02.000]  It's ritualistic bondage and torture to make you wear a face mask.
[2:08:02.000 --> 2:08:04.000]  Hey, you want to wear a mask? Go ahead.
[2:08:04.000 --> 2:08:08.000]  You want to walk around all day with a, you know, a butt plug in your butt?
[2:08:08.000 --> 2:08:11.000]  Go ahead. Fine.
[2:08:11.000 --> 2:08:15.000]  That's you, bud. Not me.
[2:08:15.000 --> 2:08:18.000]  And that's what they're doing.
[2:08:18.000 --> 2:08:23.000]  Giving you bondage and human torture to kids in the form of a face mask.
[2:08:23.000 --> 2:08:26.000]  And saying, oh, it's because we love the kids.
[2:08:26.000 --> 2:08:31.000]  You really want to take advice from someone that says they love the kids as they murder millions of babies.
[2:08:31.000 --> 2:08:33.000]  Again, I covered it last segment.
[2:08:33.000 --> 2:08:40.000]  You have a breakout of RSV in the south where it's humid and it's even worse to be wearing the mask all day.
[2:08:40.000 --> 2:08:45.000]  Because it's humid and you're getting more sweaty and there's more bacteria build up.
[2:08:45.000 --> 2:08:50.000]  And you have a mass breakout of RSV in kids, unprecedented, never before seen.
[2:08:50.000 --> 2:08:55.000]  And it's all because they're making them wear masks and they're torturing them.
[2:08:55.000 --> 2:08:58.000]  It's like, oh, why is there a uptick in suicide?
[2:08:58.000 --> 2:09:03.000]  Why is there a uptick in suicide? Because people are being tortured.
[2:09:03.000 --> 2:09:07.000]  Oh, why is the, why is there outbreak of RSV, RSV in the south?
[2:09:07.000 --> 2:09:11.000]  Because kids are being forced to wear masks.
[2:09:11.000 --> 2:09:15.000]  That's what's so frustrating about this, man.
[2:09:15.000 --> 2:09:21.000]  To just, to just sit here and do 10 hours of research every day and then just see the media lie.
[2:09:21.000 --> 2:09:26.000]  Just, just see politicians lie and just know it's a huge lie.
[2:09:26.000 --> 2:09:32.000]  And that these people are out to get you and it's just like, it should be so obvious.
[2:09:32.000 --> 2:09:39.000]  I shouldn't have to convince anybody.
[2:09:39.000 --> 2:09:43.000]  Like this absolute nonsense.
[2:09:43.000 --> 2:09:48.000]  Our mayor in Austin, Steve Adler, one of the biggest dirt bags you'll ever hear of,
[2:09:48.000 --> 2:09:53.000]  one of the smallest, weakest men you're ever going to hear of,
[2:09:53.000 --> 2:09:57.000]  is still driving up the fear mongering here in Austin, telling everyone to wear a mask and get vaccinated.
[2:09:57.000 --> 2:09:59.000]  Nobody's listening, thank God.
[2:09:59.000 --> 2:10:03.000]  Says the hospitals are overwhelmed. I played videos yesterday on the war room.
[2:10:03.000 --> 2:10:09.000]  People at hospitals, literally a ghost town. Empty, ladies and gentlemen, empty.
[2:10:09.000 --> 2:10:13.000]  And it's hospital workers and they film and they're like, hey, I keep seeing in the news that the hospitals are overwhelmed.
[2:10:13.000 --> 2:10:21.000]  Here it is. There's nobody here. It hasn't been all day. It's all a lie.
[2:10:21.000 --> 2:10:31.000]  But, oh, he wants to fear monger us to go into bondage and take an experimental vaccine.
[2:10:31.000 --> 2:10:35.000]  And wear masks everywhere. But, oh, what does he have to say about this?
[2:10:35.000 --> 2:10:41.000]  Three buses of migrants never tested for COVID dropped off in Austin.
[2:10:41.000 --> 2:10:48.000]  And 40% of migrants released in Texas, border city of Laredo, test positive for COVID.
[2:10:48.000 --> 2:10:54.000]  So, I mean, Adler, where's your fear over that? Adler, where's your fear over the migrants bringing in COVID?
[2:10:54.000 --> 2:10:58.000]  Adler, where's your fear of the migrants coming in here with COVID and spreading it?
[2:10:58.000 --> 2:11:01.000]  Oh, no, that's okay. It's only for the American citizens. I got it.
[2:11:01.000 --> 2:11:05.000]  Because it's all a political agenda.
[2:11:05.000 --> 2:11:15.000]  It's all a political agenda. And, you know, I hope if we, oh boy, I mean, I pray to God
[2:11:15.000 --> 2:11:25.000]  that all of you, fake news, globalist, mafia, henchmen, end up in the cage that you're building for us.
[2:11:25.000 --> 2:11:29.000]  And you will. And it's called hell.
[2:11:29.000 --> 2:11:31.000]  But hey, they just deny all of it.
[2:11:31.000 --> 2:11:36.000]  Democrat Cindy Axney says illegals are not spreading COVID. No, of course not.
[2:11:36.000 --> 2:11:43.000]  COVID is smart. And it knows if an illegal immigrant crosses the U.S. border with COVID, not to spread.
[2:11:43.000 --> 2:11:47.000]  This is a political virus. It's very well-trained, very smart. It's a smart virus.
[2:11:47.000 --> 2:11:51.000]  So it knows, oh, I'm inside an illegal immigrant that just crossed the southern border.
[2:11:51.000 --> 2:11:54.000]  So I'm not going to spread to anybody else.
[2:11:54.000 --> 2:11:58.000]  That's the logic. That's what they're telling you.
[2:11:58.000 --> 2:12:01.000]  Why anybody takes these people seriously is beyond me.
[2:12:01.000 --> 2:12:04.000]  Dems try to require a vaccine to fly inside of the United States.
[2:12:04.000 --> 2:12:11.000]  Oh, yeah. Oh, no, look, if they get this, man, if they get this across and they get this forced vaccines,
[2:12:11.000 --> 2:12:15.000]  it's going to be microchips next and it's game over, man.
[2:12:15.000 --> 2:12:17.000]  It's game over.
[2:12:17.000 --> 2:12:22.000]  Look at how far we've fallen in a year, a year and a half from this fake pandemic,
[2:12:22.000 --> 2:12:27.000]  and now seven months of this Biden administration, this criminal administration.
[2:12:27.000 --> 2:12:29.000]  Look at how far we've fallen, folks.
[2:12:29.000 --> 2:12:34.000]  In case you haven't noticed, this ship is going down fast.
[2:12:34.000 --> 2:12:38.000]  And you know why that is? Because it's by design.
[2:12:38.000 --> 2:12:47.000]  It's like you watch a controlled demolition. Okay, they hit the button and the building completely down in seconds.
[2:12:47.000 --> 2:12:52.000]  Took months, maybe years to build one button.
[2:12:52.000 --> 2:12:54.000]  Seconds completely destroyed.
[2:12:54.000 --> 2:12:57.000]  That's what we're witnessing right now.
[2:12:57.000 --> 2:13:04.000]  The freedom, the prosperity, the infrastructure, the innovation all in America took years to build,
[2:13:04.000 --> 2:13:09.000]  centuries to build, and the Democrats are pulling the lever,
[2:13:09.000 --> 2:13:14.000]  the politicians and the media are pulling the lever and bringing it all to the ground,
[2:13:14.000 --> 2:13:27.000]  and you stupid suckers falling for all of it ought to be ashamed of yourselves.
[2:13:27.000 --> 2:13:30.000]  And then they get caught lying about everything.
[2:13:30.000 --> 2:13:38.000]  Texas Tribune issues huge correction after mistakenly reporting 5,800 children hospitalized with COVID in one week.
[2:13:38.000 --> 2:13:45.000]  This is all in operation, folks, and here's how I know that, because there's trends, there's patterns.
[2:13:45.000 --> 2:13:56.000]  When the Texas Tribune put out that story, it got picked up by every major media outlet and retweeted and rewritten by every major liberal commentator.
[2:13:56.000 --> 2:14:01.000]  Like Jennifer Rubin, and by the way, most of them have actually deleted their tweets now.
[2:14:01.000 --> 2:14:06.000]  Like Jennifer Rubin, she deleted her tweet sharing that fake news story.
[2:14:06.000 --> 2:14:09.000]  But they got caught doing the same thing in Florida, they had to change the numbers.
[2:14:09.000 --> 2:14:12.000]  They got caught doing the whole thing in the United States, they had to change their numbers.
[2:14:12.000 --> 2:14:14.000]  That never makes big news.
[2:14:14.000 --> 2:14:17.000]  It's the fake numbers for the fear mongering that becomes the big story,
[2:14:17.000 --> 2:14:23.000]  and then when they have to correct the numbers, and it's like 10% of what they said, they'd never report on it then.
[2:14:23.000 --> 2:14:26.000]  The numbers are only important to report on when it fits their narrative.
[2:14:26.000 --> 2:14:30.000]  When it destroys their narrative, then they don't want to report on the numbers.
[2:14:30.000 --> 2:14:34.000]  But here's that Jennifer Rubin that put out that fake news and deleted her tweet.
[2:14:34.000 --> 2:14:36.000]  Here's her today.
[2:14:36.000 --> 2:14:42.000]  Washington Post Jennifer Rubin celebrates demographic decline of white Americans as fabulous news.
[2:14:42.000 --> 2:14:46.000]  I mean, I guess she's white. I don't even know what it means to be white anymore.
[2:14:46.000 --> 2:14:50.000]  Is it really about skin color? Is it hair color? Is it eye color? Is it politics?
[2:14:50.000 --> 2:14:55.000]  I guess really it's politics more than anything. You're black, you're white now if you're a conservative transporter, so that's a thing.
[2:14:55.000 --> 2:14:58.000]  But is Jennifer Rubin white or not? I mean, I don't know.
[2:14:58.000 --> 2:15:02.000]  If she's white, maybe she should just kill herself.
[2:15:02.000 --> 2:15:06.000]  Seriously, like, I don't want anybody to die. I'm a lover of life. I'm a lover of all things.
[2:15:06.000 --> 2:15:14.000]  But hey, I mean, if you think that white people are bad and you think humans are bad, I'll fire up a wood chipper for you.
[2:15:14.000 --> 2:15:20.000]  Fire it up right now. Hop on in. You never would.
[2:15:20.000 --> 2:15:26.000]  Or maybe you would. Maybe if you killed all of us first, maybe then you actually would.
[2:15:26.000 --> 2:15:32.000]  I don't know. Maybe you would. You're taking the vaccine, so I guess it's the same difference.
[2:15:32.000 --> 2:15:36.000]  Oh, and then what do you know? Head of World Health Organization,
[2:15:36.000 --> 2:15:42.000]  Origin Investigation Team admits Communist China told them what to write in the report.
[2:15:42.000 --> 2:15:47.000]  China creates the virus with their military. China releases the virus with their military.
[2:15:47.000 --> 2:15:52.000]  China does the investigation and then tells you there's nothing to see here.
[2:15:52.000 --> 2:15:57.000]  And now the World Health Organization admits all of it. What a shocker.
[2:15:57.000 --> 2:16:01.000]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity,
[2:16:01.000 --> 2:16:06.000]  this will be the most important message you'll hear this year. Here's why.
[2:16:06.000 --> 2:16:10.000]  We now have a small number of solar generators back in stock.
[2:16:10.000 --> 2:16:15.000]  These emergency backup systems provide life-saving backup power when you need it most.
[2:16:15.000 --> 2:16:20.000]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes,
[2:16:20.000 --> 2:16:24.000]  and produce an endless supply of free electricity from the sun.
[2:16:24.000 --> 2:16:29.000]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid,
[2:16:29.000 --> 2:16:33.000]  you'll never have to suffer through painful power outages again.
[2:16:33.000 --> 2:16:39.000]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses, too.
[2:16:39.000 --> 2:16:43.000]  Go to MySolarBackup.com to learn more and check availability.
[2:16:43.000 --> 2:16:47.000]  That's MySolarBackup.com. Look for the free report, Crisis Cooling,
[2:16:47.000 --> 2:16:53.000]  how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage.
[2:16:53.000 --> 2:16:56.000]  Yours free at MySolarBackup.com.
[2:16:56.000 --> 2:17:01.000]  Hey, everybody. If you've ever thought about heirloom beans as a storable survival food,
[2:17:01.000 --> 2:17:05.000]  I've got great news. In fact, I'll bet it's the best news you've heard in a while.
[2:17:05.000 --> 2:17:10.000]  Here's the thing. We've just received a fresh batch of gourmet heirloom beans.
[2:17:10.000 --> 2:17:14.000]  Survival soup beans. These beans are gorgeous, highly nutritious,
[2:17:14.000 --> 2:17:19.000]  and above all, with no hesitation whatsoever, the best tasting beans in the entire world.
[2:17:19.000 --> 2:17:26.000]  The best part? We've dropped the price by 33% this week for listeners who know higher food prices are coming
[2:17:26.000 --> 2:17:30.000]  and want an inflation hedge you can actually eat if you want to.
[2:17:30.000 --> 2:17:35.000]  It gets even better. With your permission and with a high regard for your health and well-being,
[2:17:35.000 --> 2:17:42.000]  I also want to send you two pounds of what we think is the single most underrated superfood in the world.
[2:17:42.000 --> 2:17:47.000]  Period. Go to soupbeansurvival.com. That's soupbeansurvival.com
[2:17:47.000 --> 2:17:51.000]  and discover the real reason we're giving this unusual superfood away.
[2:17:51.000 --> 2:17:55.000]  At soupbeansurvival.com. That's soupbeansurvival.com.
[2:17:55.000 --> 2:18:02.000]  So when I first started taking survival soup, basically I was 275 pounds overweight.
[2:18:02.000 --> 2:18:07.000]  I had brain fog like you wouldn't believe. I was barely holding on to a job
[2:18:07.000 --> 2:18:10.000]  and I heard Dr. Group on your show and I listened to it.
[2:18:10.000 --> 2:18:13.000]  So the first one I got was the original survival soup, the X1.
[2:18:13.000 --> 2:18:17.000]  And it worked pretty good. And then shortly thereafter, you came out with that stew.
[2:18:17.000 --> 2:18:20.000]  You had, you know, with a deep burn source, you know, and I got really excited about that, so I took it.
[2:18:20.000 --> 2:18:26.000]  And man, in two weeks, I went from brain fog to like literally like my brain was enlightened.
[2:18:26.000 --> 2:18:29.000]  You know, I could think again. I could connect with people again.
[2:18:29.000 --> 2:18:33.000]  And over the course of the next couple of years, I got my health back
[2:18:33.000 --> 2:18:36.000]  and I religiously take basically all of your supplements.
[2:18:36.000 --> 2:18:38.000]  They're all absolutely amazing supplements.
[2:18:38.000 --> 2:18:40.000]  The one I like recently is knockout.
[2:18:40.000 --> 2:18:44.000]  It literally, like if you want to sleep, just take it. It's amazing. It works.
[2:18:44.000 --> 2:18:46.000]  But anyway, so the point is we have to get ourselves clean.
[2:18:46.000 --> 2:18:52.000]  That's a break free of the globalist system. And the only way to do that is to take our own health into our own hands.
[2:18:52.000 --> 2:19:18.000]  Beautifully said, brother. I thank you so much for your call and Godspeed.
[2:19:18.000 --> 2:19:44.000]  Thank you so much for your support.
[2:19:44.000 --> 2:19:48.000]  So thank you all for your support. Check them out today at infowarstore.com.
[2:19:48.000 --> 2:19:50.000]  The sale runs for only one week.
[2:19:50.000 --> 2:19:54.000]  It is the booster bodies, natural defenses, super sale.
[2:19:54.000 --> 2:20:20.000]  And again, another part of the sale ending is the privacy pouches for your cell phone.
[2:20:20.000 --> 2:20:24.000]  We're back here live. It's the Alex Jones show.
[2:20:24.000 --> 2:20:26.000]  And I'm going to get back into this news here.
[2:20:26.000 --> 2:20:33.000]  But I want to tell you something because it actually ties into the news with all the COVID.
[2:20:33.000 --> 2:20:55.000]  Flu Wuhan flu, Chinese flu, Fauci flu going around. Part of the reason why what, whether it's the flu or anything else is such a problem is because Americans are deficient, extremely deficient in vitamin D.
[2:20:55.000 --> 2:21:02.000]  Now, vitamin D is essential already. You need vitamin D big for your immune system.
[2:21:02.000 --> 2:21:11.000]  And so I'm seeing these graphs of vitamin D deficiency in mostly the elderly and in the youth.
[2:21:11.000 --> 2:21:19.000]  And you have to understand when you're vitamin D deficient, you're way more susceptible to pick up a flu or COVID or whatever you want to call it and get sick.
[2:21:19.000 --> 2:21:23.000]  So think about how corrupt the system is that doesn't tell you about vitamin D.
[2:21:23.000 --> 2:21:27.000]  I've never heard Fauci mention vitamin D, except I think he said, don't take vitamin D.
[2:21:27.000 --> 2:21:31.000]  I think Fauci wanted to ban vitamin D. I'm not even kidding.
[2:21:31.000 --> 2:21:35.000]  And they tried to do it in the past and Mel Gibson is famous.
[2:21:35.000 --> 2:21:42.000]  He didn't add because the government tried to ban vitamins and minerals decades ago, vitamin D and other things.
[2:21:42.000 --> 2:21:47.000]  So yeah, when you're deficient in vitamin D, you're way more susceptible to get sick.
[2:21:47.000 --> 2:22:00.000]  And so all of this COVID breakout and the numbers that they inflate are mostly obese people and people who are already sick and people who are deficient in vitamins and minerals because they're not getting them in their daily diets.
[2:22:00.000 --> 2:22:15.000]  So I could sit here and show you all the graphs, but we found a good resource here from Merkola, the vitamin D research page, the role of vitamin D in disease prevention.
[2:22:15.000 --> 2:22:24.000]  There are about 30,000 genes in your body and vitamin D affects nearly 3,000 of them as well as vitamin D receptors located throughout your body.
[2:22:24.000 --> 2:22:30.000]  Optimal vitamin D levels can slash your risk of cancer by as much as 60%.
[2:22:30.000 --> 2:22:34.000]  Imagine what it would do to the flu or anything like that too.
[2:22:34.000 --> 2:22:41.000]  Today, many Americans are found to be in a serious deficiency state when it comes to vitamin D.
[2:22:41.000 --> 2:22:49.000]  Over 95% of senior citizens in the U.S. may be possibly deficient, along with 85% of Americans in general.
[2:22:49.000 --> 2:22:57.000]  The late winter average vitamin D level was found to be about 15 to 18 NGML, which is far below optimal levels.
[2:22:57.000 --> 2:23:11.000]  Now, I could continue to go through this document from Merkola talking about how important vitamin D is and how America is severely deficient in it and how it's causing the disease outbreaks and all of this stuff.
[2:23:11.000 --> 2:23:16.000]  But there it is. You know it's there.
[2:23:16.000 --> 2:23:21.000]  So this is why we sell vitamin D at infowarstore.com.
[2:23:21.000 --> 2:23:28.000]  And you see it, adults, kids, vitamin D deficient, you're more prone to get disease or even cancer.
[2:23:28.000 --> 2:23:35.000]  But nobody's telling you about vitamin D. Nobody's promoting vitamin D use. We are.
[2:23:35.000 --> 2:23:41.000]  In fact, we even came out with the vitamin D3 gummies with calcium.
[2:23:41.000 --> 2:23:45.000]  And this is great. I mean, adults can eat this too. This is perfect for your kids, folks.
[2:23:45.000 --> 2:23:48.000]  This is perfect for your kids right here.
[2:23:48.000 --> 2:23:54.000]  The vitamin D3 gummies, they're on sale at infowarstore.com, 50% off.
[2:23:54.000 --> 2:23:58.000]  Boost your natural immune system with vitamin D3 gummies from infowarstore.com.
[2:23:58.000 --> 2:24:02.000]  Do not let your kids be deficient in vitamin D.
[2:24:02.000 --> 2:24:09.000]  There is no excuse, there is no excuse for your children to be deficient in vitamin D.
[2:24:09.000 --> 2:24:17.000]  Build their immune system, keep them from getting sick, give them the vitamin D3 gummies from infowarstore.com.
[2:24:17.000 --> 2:24:22.000]  And we didn't even come out with this thing as like, hey, it's for kids or do a marketing campaign for kids.
[2:24:22.000 --> 2:24:25.000]  But, I mean, this is perfect for your kids.
[2:24:25.000 --> 2:24:29.000]  Again, I showed you the numbers. You can go look it up yourself.
