[00:00:04.497 --> 00:00:06.372]  Mechanism, not globalism!
[01:49:05.942 --> 01:49:07.022]  Here's the beautiful part.
[01:49:07.022 --> 01:49:09.463]  Is that we are not beholden to anybody.
[01:49:09.463 --> 01:49:10.623]  We're not beholden to anybody.
[01:49:10.623 --> 01:49:12.544]  We don't answer to George Soros.
[01:49:12.544 --> 01:49:14.625]  We don't answer to any huge corporations.
[01:49:14.625 --> 01:49:16.865]  We don't answer to our advertisers or anything.
[01:49:16.865 --> 01:49:18.486]  We can say what we believe here.
[01:49:18.486 --> 01:49:22.087]  And that's why what you get here is 99.9% of the truth.
[01:49:22.087 --> 01:49:24.208]  Sometimes we're wrong, but that 1% that we're wrong,
[01:49:24.828 --> 01:49:26.629]  It sure as hell doesn't compare to the 99%.
[01:49:26.629 --> 01:49:27.629]  Right, Alex?
[01:49:27.629 --> 01:49:29.050]  Well, they're trying to lie on purpose.
[01:49:29.050 --> 01:49:32.151]  And speaking of that, we haven't plugged this whole hour.
[01:49:32.151 --> 01:49:34.692]  I want to hire four or five more writers, camera people, editors.
[01:49:34.692 --> 01:49:38.133]  And I think that's probably it, growth-wise, because it's just too much to handle.
[01:49:38.133 --> 01:49:39.513]  And that's what we will need to take advantage of.
[01:49:39.513 --> 01:49:40.894]  Infowarsstore.com, we have...
[01:49:42.134 --> 01:49:45.717]  34% off across the board for the Nutraceuticals and a bunch of other items.
[01:49:45.717 --> 01:49:48.419]  50% off on the Molon LaVey gun apparel.
[01:49:48.419 --> 01:49:50.160]  You've got free shipping on top of that.
[01:49:50.160 --> 01:49:52.401]  34% off on storable foods.
[01:49:52.401 --> 01:49:53.602]  You guys have taken it down this morning.
[01:49:53.602 --> 01:49:55.443]  I made the decision to put it back up.
[01:49:55.443 --> 01:49:56.004]  You made the point.
[01:49:56.004 --> 01:49:57.305]  Okay, Brain Force sold out.
[01:49:57.305 --> 01:49:58.866]  This is selling out.
[01:49:58.866 --> 01:50:00.427]  A bunch of items have sold out.
[01:50:00.427 --> 01:50:03.729]  Unless you're signing up for auto-ship, then we keep some back in stock.
[01:50:05.427 --> 01:50:07.288]  A lot of items are selling out right now.
[01:50:07.288 --> 01:50:11.831]  Infowarsstore.com or call toll free 888-253-3139.
[01:50:11.831 --> 01:50:13.892]  Some of these are lost liters, but you know what's great?
[01:50:13.892 --> 01:50:14.133]  Because...
[01:50:15.003 --> 01:50:20.127]  You get the product, you love it, it works, you enjoy it, you're gonna buy it again, which is symbiotic.
[01:50:20.127 --> 01:50:30.215]  You're funding this operation, getting products that help you, that are good for you and your family, that are useful, and that it funds something with piranha-like dedication that is going to attack the enemy.
[01:50:30.215 --> 01:50:34.759]  And if you sign up for AutoShip, you get 10% off your products in perpetuity.
[01:50:34.759 --> 01:50:36.680]  And you get them, you don't have to order them every month.
[01:50:36.680 --> 01:50:40.023]  Every time that you run out of one, a new bottle shows up, and you have what you need.
[01:50:40.023 --> 01:50:42.865]  That's right, and look, I'm not fighting this to lose.
[01:50:42.865 --> 01:50:43.866]  People keep thinking, you know, like,
[01:50:44.892 --> 01:50:45.652]  We're underdogs.
[01:50:45.652 --> 01:50:45.952]  No, no, no.
[01:50:45.952 --> 01:50:46.912]  We have the truth.
[01:50:46.912 --> 01:50:48.293]  They're the villains.
[01:50:48.293 --> 01:50:50.673]  We're promoting prosperity and freedom.
[01:50:50.673 --> 01:50:51.653]  We're going to win.
[01:50:51.653 --> 01:50:54.134]  I keep telling everybody, we're going to win.
[01:50:54.134 --> 01:50:55.914]  The church has taught that until a hundred years ago.
[01:50:55.914 --> 01:50:57.814]  Now they've been taken over.
[01:50:57.814 --> 01:50:58.554]  Absolutely.
[01:50:58.554 --> 01:50:59.955]  And we're in this for the long haul.
[01:50:59.955 --> 01:51:01.595]  Long haul, baby.
[01:51:01.595 --> 01:51:02.795]  What happened?
[01:51:02.795 --> 01:51:04.035]  Change has come to America.
[01:51:04.035 --> 01:51:08.236]  When I was a boy, it was okay to be proud of the flag.
[01:51:08.236 --> 01:51:09.496]  Heritage.
[01:51:09.496 --> 01:51:12.337]  And beef was for supper.
[01:51:12.337 --> 01:51:13.037]  Revelation.
[01:51:13.497 --> 01:51:15.158]  Dawn of Global Government.
[01:51:15.158 --> 01:51:19.280]  Starring Alex Jones, Charlie Daniels, General Jerry Boykin.
[01:51:19.280 --> 01:51:21.000]  Theatrical screenings on demand.
[01:51:21.000 --> 01:51:22.721]  DVDs now available.
[01:51:22.721 --> 01:51:26.022]  Wanna shed some tears over the red, white and blue?
[01:51:26.022 --> 01:51:29.404]  RevelationTheMovie.info Let's fix it!
[01:51:29.984 --> 01:51:38.370]  If you or someone you care about loves outdoor adventure, then check out SlingBow.com for some unique holiday gift ideas.
[01:51:38.370 --> 01:51:47.036]  That's SlingBow.com, where we have some innovative new products for the archer, hunter, or bow fishing enthusiast in your family.
[01:51:47.036 --> 01:51:51.739]  Now through January, use the promo code HOLIDAY to get free shipping in the U.S.
[01:51:51.739 --> 01:51:52.880]  or Canada.
[01:51:52.880 --> 01:51:58.784]  And from all of us at SlingBow Industries, have a safe, joyous, and peaceful holiday season.
[01:52:00.694 --> 01:52:01.494]  My name is Liam.
[01:52:01.494 --> 01:52:02.175]  I'm 41.
[01:52:02.175 --> 01:52:05.036]  I've been using One World Way for two and a half years now.
[01:52:05.036 --> 01:52:17.243]  I suffered a bulged L4 and L5 disc from a car accident three years ago, and since that time I've been unable to walk long distances, do any minor lifting, or just normal activities with my children without having severe back pain.
[01:52:17.243 --> 01:52:23.346]  Since I've started using One World Way, I've been able to walk more, engage in activities with my children, and have less lower back pain.
[01:52:23.826 --> 01:52:28.248]  One World Whey has helped me regain back my strength, confidence, and have a healthier life.
[01:52:28.248 --> 01:52:34.070]  I've noticed a weight loss of about 20 pounds, my A1c dropped two points, and I have more energy now.
[01:52:34.070 --> 01:52:36.711]  One World Whey has helped me regain back my life.
[01:52:36.711 --> 01:52:43.513]  The results for clients on One World Whey have surpassed the results for most any other supplements as well as all other whey protein powders.
[01:52:43.513 --> 01:52:46.134]  One World Whey is non-denatured and frequency encoded.
[01:52:46.314 --> 01:52:51.076]  We believe the frequency encoding increases your body's production of glutathione and energy production.
[01:52:51.076 --> 01:52:56.577]  Call 888-988-3325 or visit oneworldway.com.
[01:52:56.577 --> 01:52:59.398]  That's oneworld, W-H-E-Y dot com.
[01:52:59.398 --> 01:53:06.161]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:53:06.161 --> 01:53:10.202]  Since 2005, thousands have depended on Berkey Purified Water.
[01:53:10.422 --> 01:53:15.046]  The Berkey Guy provides the lowest price filtration systems in every size.
[01:53:15.046 --> 01:53:20.550]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:53:20.550 --> 01:53:20.750]  877-886-3653.
[01:53:20.750 --> 01:53:21.090]  GoBerkey.com.
[01:53:29.116 --> 01:53:31.858]  Taking turmeric is good, but there's a problem with it.
[01:53:31.858 --> 01:53:37.761]  The active ingredient in turmeric, known as curcumin, is poorly absorbed into the cells due to its large particle size.
[01:53:37.761 --> 01:53:42.444]  But now, One Planet Nutrition has the answer for this powerful anti-inflammatory.
[01:53:42.444 --> 01:53:43.464]  Nanocurcumin.
[01:53:43.464 --> 01:53:47.727]  A nanoparticle curcumin which absorbs over 40 times better into your bloodstream.
[01:53:47.727 --> 01:53:53.890]  Discover more health benefits of Nanocurcumin and Nanocurcumin Plus, now on sale at OnePlanetNutrition.com.
[01:53:53.890 --> 01:53:58.133]  Use promo code GCN for your special discount at OnePlanetNutrition.com.
[01:54:14.026 --> 01:54:16.928]  Sometimes, though, the good guys win.
[01:54:16.928 --> 01:54:20.229]  Especially when you're the United States of America.
[01:54:20.229 --> 01:54:28.252]  Von Bismarck said, God loves children, drunks, and the United States of America.
[01:54:28.252 --> 01:54:32.354]  And that has been marveled at for over 240 years by every empire and every enemy.
[01:54:34.395 --> 01:54:44.464]  Almost every time, incredible providence that's just unspeakable happens, always, when it appears the Republic is on its last legs.
[01:54:44.464 --> 01:54:51.449]  Because as ugly as this country's been, we're the prettiest thing on this planet.
[01:54:51.449 --> 01:54:57.755]  Go to other countries, folks, and experience the corruption and what it's like there, and the classism, and the spirit, and the death that you feel in the culture.
[01:55:00.083 --> 01:55:04.326]  No matter how beautiful the people may be and how amazing their culture, there's something twisted there.
[01:55:04.326 --> 01:55:08.028]  There's an evil.
[01:55:08.028 --> 01:55:10.409]  We're trying to promote freedom worldwide.
[01:55:10.409 --> 01:55:20.576]  I'm going to start the next hour and I'm going to go right to Andrew, and the UK, and Dave, and David, and I think that's Monica, or Monika, and we got Justin and others.
[01:55:20.576 --> 01:55:21.096]  Hitting all of them.
[01:55:21.096 --> 01:55:21.877]  My eyes are going out.
[01:55:21.877 --> 01:55:24.698]  I'm going to move that TV closer so I can actually see those calls.
[01:55:24.698 --> 01:55:25.579]  Before we go any further,
[01:55:27.346 --> 01:55:28.167]  There's a bunch of clips.
[01:55:28.167 --> 01:55:31.710]  I mean, I tell you, Matt does such a great job with the rest of the crew getting all these dozens of clips.
[01:55:31.710 --> 01:55:35.693]  We have Putin congratulating Trump.
[01:55:35.693 --> 01:55:39.957]  We've got the White House doesn't rule out pardoning Hillary.
[01:55:39.957 --> 01:55:40.878]  That is so huge.
[01:55:40.878 --> 01:55:45.301]  MSNBC reporters, Stock Exchange chanting, lock her up.
[01:55:45.301 --> 01:55:49.585]  We've got mass celebrations erupt across Russia.
[01:55:49.585 --> 01:55:52.568]  Meanwhile, oh, it's not because they're racist.
[01:55:52.568 --> 01:55:53.669]  It's because they don't want World War III.
[01:55:54.451 --> 01:55:56.112]  And then meanwhile, we've got shock video.
[01:55:56.112 --> 01:55:58.613]  Again, black mob viciously beats white Trump supporter.
[01:55:58.613 --> 01:56:01.374]  Emotional Clinton supporter, Hillary, needs to sue the U.S.
[01:56:01.374 --> 01:56:04.215]  This is just so pathetic.
[01:56:04.215 --> 01:56:06.116]  And then mainstream media now has picked up the line.
[01:56:06.116 --> 01:56:07.156]  Van Jones started it.
[01:56:07.156 --> 01:56:08.617]  A white lash!
[01:56:08.617 --> 01:56:09.257]  That's right!
[01:56:09.257 --> 01:56:10.637]  We want to make America great again.
[01:56:10.637 --> 01:56:12.458]  That means cut the taxes.
[01:56:12.458 --> 01:56:14.299]  We've been in a depression.
[01:56:14.299 --> 01:56:16.560]  The economy's been falling apart for a while.
[01:56:16.560 --> 01:56:20.161]  Most areas of the nation look like a bomb hit it.
[01:56:20.161 --> 01:56:21.041]  And that's what that means.
[01:56:21.041 --> 01:56:22.342]  It doesn't mean a white lash.
[01:56:24.878 --> 01:56:27.441]  Was it a big dominant group of white people that voted for Trump?
[01:56:27.441 --> 01:56:28.062]  Absolutely.
[01:56:28.062 --> 01:56:32.607]  With record numbers of blacks and Hispanics.
[01:56:32.607 --> 01:56:33.508]  So sad.
[01:56:33.508 --> 01:56:34.910]  So nasty.
[01:56:34.910 --> 01:56:36.311]  So evil.
[01:56:36.311 --> 01:56:40.116]  So just absolutely despicable.
[01:56:40.116 --> 01:56:42.018]  And I'm going to say this right now to the establishment.
[01:56:43.427 --> 01:56:48.008]  You're arrogant, scum like you, always become delusional, and you always fall.
[01:56:48.008 --> 01:56:52.950]  The problem is there's nuclear weapons now, so none of us can afford to let you get to the failure point.
[01:56:52.950 --> 01:56:54.610]  You have to be dealt with.
[01:56:54.610 --> 01:56:57.011]  And that's why you think the Awakening's hardcore now?
[01:56:57.011 --> 01:56:58.392]  You've seen nothing.
[01:56:58.392 --> 01:57:06.794]  The military and the police knew I was telling them the truth because they were on the inside and knew that I was aware of real information.
[01:57:06.794 --> 01:57:09.475]  I reverse engineered it, decompartmentalized it, so did our guest.
[01:57:10.819 --> 01:57:20.074]  Then when you try to launch a civil war in the last five years to destabilize things, they completely broke with you and finally figured out it's do or die, they had to choose a side.
[01:57:20.074 --> 01:57:23.159]  Rediscovering Americana, rediscovering the Republic, it's happened.
[01:57:25.950 --> 01:57:34.032]  Not that our government's perfect, but it's not the globalists out to get everybody at, you know, spirit dinners, devil worshipping with Aleister Crowley, witches.
[01:57:34.032 --> 01:57:36.113]  I mean, you know, people get it.
[01:57:36.113 --> 01:57:36.853]  You're evil.
[01:57:36.853 --> 01:57:38.574]  They've seen the WikiLeaks, they know.
[01:57:38.574 --> 01:57:39.754]  Media that signed on to this.
[01:57:39.754 --> 01:57:49.057]  Hollywood, with more than 20 movies about blacks being killed and murdered by white people, and KKK just to traumatize people, they put out in the last year.
[01:57:49.057 --> 01:57:49.717]  That all failed.
[01:57:50.714 --> 01:57:53.876]  Billions spent churning out garbage.
[01:57:53.876 --> 01:57:57.679]  Everything you can throw at us and trying to steal and stealing several states.
[01:57:57.679 --> 01:57:59.780]  Beth Harris is a Democrat, she confirms.
[01:57:59.780 --> 01:58:04.923]  A bunch of states, over 100% of the people were voting in precincts for Hillary.
[01:58:04.923 --> 01:58:06.544]  Always right at the end, late night.
[01:58:06.544 --> 01:58:07.885]  Stuffing ballot boxes.
[01:58:07.885 --> 01:58:10.247]  You failed miserably.
[01:58:10.247 --> 01:58:13.389]  Because you were above your father the devil!
[01:58:13.389 --> 01:58:14.650]  You worship a loser!
[01:58:15.936 --> 01:58:17.277]  That's why you're so unhappy.
[01:58:17.277 --> 01:58:20.100]  It's why no amount of money or power ever makes you happy.
[01:58:20.100 --> 01:58:21.121]  So do the world a favor.
[01:58:21.121 --> 01:58:26.867]  Before you try to burn America down or try to push abortion or try to start World War III, I don't want you to die.
[01:58:26.867 --> 01:58:28.709]  I want you to repent and wake up, but a lot of you won't.
[01:58:28.709 --> 01:58:31.772]  So if you're so into death, kill yourselves.
[01:58:31.772 --> 01:58:33.174]  I'm serious.
[01:58:33.174 --> 01:58:37.598]  If death's so sexy and cool, you like to go to devil worship parties, just slit your wrists.
[01:58:37.598 --> 01:58:39.140]  We'll be back with the third hour.
[01:58:40.592 --> 01:58:43.861]  Thank you for listening to GCN.
[01:58:43.861 --> 01:58:46.047]  Visit GCNlive.com today!
[01:58:50.143 --> 01:58:52.444]  Electrify your day with Secret 12.
[01:58:52.444 --> 01:58:54.025]  It's like lightning in a bottle.
[01:58:54.025 --> 01:58:57.926]  We all have days in which we just can't seem to perform at the level we'd like to.
[01:58:57.926 --> 01:59:05.869]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[01:59:05.869 --> 01:59:10.831]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[01:59:10.831 --> 01:59:16.293]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[01:59:16.633 --> 01:59:24.422]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[01:59:24.422 --> 01:59:29.147]  It pairs two forms of vitamin B12 into one explosive formula.
[01:59:29.147 --> 01:59:37.957]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[01:59:38.157 --> 01:59:41.721]  Electrify your mind and body and take your health to the next level.
[01:59:41.721 --> 01:59:45.605]  Experience the power of Secret 12 at InfoWarsLife.com.
[01:59:45.605 --> 01:59:51.852]  That's InfoWarsLife.com.
[01:59:51.852 --> 01:59:54.495]  You're listening to the Alex Jones Show.
[02:00:04.238 --> 02:00:06.180]  You know, Matt is just making the best points around here.
[02:00:06.180 --> 02:00:08.802]  I demand he and some of the crew start a weekly show.
[02:00:08.802 --> 02:00:12.045]  He was saying, we've got to do an in-zone dance.
[02:00:12.045 --> 02:00:17.090]  We've got to do it.
[02:00:17.090 --> 02:00:18.892]  Because that's a sign back on them.
[02:00:18.892 --> 02:00:25.037]  They always want to laugh at us, demoralize us, make us feel like losers, make us think that we can never stand up for anything that's right.
[02:00:25.037 --> 02:00:27.159]  They want to bully us.
[02:00:27.159 --> 02:00:29.822]  They want to get in our face and tell us we've got to roll over.
[02:00:30.987 --> 02:00:32.949]  And that we're bad people?
[02:00:32.949 --> 02:00:33.749]  You're the losers.
[02:00:33.749 --> 02:00:34.550]  You're the liars.
[02:00:34.550 --> 02:00:35.771]  You're the ones that are failures.
[02:00:35.771 --> 02:00:37.712]  You're a joke.
[02:00:37.712 --> 02:00:38.473]  So that's a great point.
[02:00:38.473 --> 02:00:43.257]  I'm going to go to some phone calls here, and then we'll take calls as Jon Ravaport joins us as well.
[02:00:43.257 --> 02:00:45.578]  But Matt, look, I agree with you.
[02:00:45.578 --> 02:00:46.019]  I've been up.
[02:00:47.281 --> 02:00:48.162]  Twenty-something hours.
[02:00:48.162 --> 02:00:49.182]  I slept three hours.
[02:00:49.182 --> 02:00:50.423]  I wasn't depressed when I came in.
[02:00:50.423 --> 02:00:51.845]  I just said, get ready.
[02:00:51.845 --> 02:00:55.968]  They're going to try to deactivate the border even more.
[02:00:55.968 --> 02:00:58.009]  They're going to try to plunge the stock market.
[02:00:58.009 --> 02:00:59.891]  They're going to try to burn down cities.
[02:00:59.891 --> 02:01:03.273]  And they're doing that right now.
[02:01:03.273 --> 02:01:05.075]  And so we have more battles to fight.
[02:01:05.075 --> 02:01:05.495]  But you're right.
[02:01:05.495 --> 02:01:07.296]  This has been a gigantic victory.
[02:01:07.296 --> 02:01:09.898]  The fact that they won't get their Supreme Court justices.
[02:01:09.898 --> 02:01:12.901]  The fact that he's going to cut taxes on people making $40,000.
[02:01:14.696 --> 02:01:19.477]  Or less to zero is going to just be such a great thing for blue collar areas.
[02:01:19.477 --> 02:01:22.978]  This is going to just absolutely bring so many people up in the middle class.
[02:01:22.978 --> 02:01:24.878]  This is an amazing time to be alive.
[02:01:24.878 --> 02:01:28.739]  This is very exciting.
[02:01:28.739 --> 02:01:31.220]  Jump in, Matt.
[02:01:31.220 --> 02:01:32.940]  He's talking to me during the break.
[02:01:32.940 --> 02:01:35.221]  He's making great points.
[02:01:35.221 --> 02:01:36.781]  Go ahead, comment on that.
[02:01:36.781 --> 02:01:42.803]  One of the things that I understand that, you know, the phrase plan for the
[02:01:44.255 --> 02:01:46.398]  Hope for the best, plan for the worst.
[02:01:46.398 --> 02:01:49.702]  I was listening to a guy who's a screenwriter and
[02:01:51.266 --> 02:02:00.690]  He basically said yesterday, you know, this election does prove one thing, that your hopes are just as valid as your fears.
[02:02:00.690 --> 02:02:08.314]  And I think that's a big deal, because you point out sometimes the, you know, what could actually happen.
[02:02:08.314 --> 02:02:09.354]  Some of these scenarios.
[02:02:09.354 --> 02:02:14.637]  And I think you do a very good job at identifying the way that some of these elite people think.
[02:02:14.637 --> 02:02:18.698]  Because, you know, if they believe we're below them, why wouldn't they do that?
[02:02:18.698 --> 02:02:19.819]  Why wouldn't they think that way?
[02:02:20.379 --> 02:02:20.639]  You know?
[02:02:20.639 --> 02:02:23.140]  So we need to let them know we're above them.
[02:02:23.140 --> 02:02:24.220]  I totally agree.
[02:02:24.220 --> 02:02:25.360]  There's some hope.
[02:02:25.360 --> 02:02:26.461]  No, you're right.
[02:02:26.461 --> 02:02:30.442]  We should talk about what we can build instead of just what they're going to do to us.
[02:02:30.442 --> 02:02:33.923]  It's just that there are these horrible, nasty things attacking us constantly.
[02:02:33.923 --> 02:02:35.523]  That's why I get too focused on them.
[02:02:35.523 --> 02:02:36.023]  You're absolutely right.
[02:02:36.023 --> 02:02:41.185]  We should talk more about how good things could be without George Soros and David Rockefeller running our lives.
[02:02:44.284 --> 02:02:52.792]  Yeah, and that's the beauty of Trump, you know, is that it gives you the ability to take control of your own life back, you know?
[02:02:52.792 --> 02:02:55.114]  And to feel good about the economy again.
[02:02:55.114 --> 02:02:56.596]  They don't want us to feel good.
[02:02:56.596 --> 02:03:02.441]  They don't want us to feel like we... Don't you notice they tried to plunge the stock market, but all these other small people came into it?
[02:03:02.441 --> 02:03:03.702]  They've now pushed it way back up.
[02:03:03.702 --> 02:03:06.165]  But regardless, we can't be held hostage by them.
[02:03:08.692 --> 02:03:13.273]  Yeah, and it's hilarious when you bring up the stocks, you know, how well some people are doing.
[02:03:13.273 --> 02:03:23.417]  They were making moves yesterday morning and, you know, unfortunately the military defense stocks, you know, defense contractor stocks, those went up.
[02:03:23.417 --> 02:03:26.478]  Energy stocks, I think those rose yesterday morning as well.
[02:03:26.478 --> 02:03:32.820]  So, yeah, I've got a roommate who does invest and he said yesterday was actually a very good day for him.
[02:03:33.820 --> 02:03:35.700]  Well, let me break this down.
[02:03:35.700 --> 02:03:40.541]  One of the danger areas with Trump is the fact that he does want a giant military.
[02:03:40.541 --> 02:03:45.422]  I'm not against his having a powerful military, but they have overrun our military.
[02:03:45.422 --> 02:03:49.663]  They've degraded it on purpose, the globalists have, and put it in a derelict state.
[02:03:49.663 --> 02:03:54.664]  We need to make it smaller, but reorganized and better for defense, not for conquest.
[02:03:54.664 --> 02:03:56.424]  And that's what Trump actually wants to do.
[02:03:56.424 --> 02:04:00.665]  And they have a lot of technological innovations through that and relaunch our space program.
[02:04:00.665 --> 02:04:02.485]  I mean, notice we've gotten rid of the space program.
[02:04:02.485 --> 02:04:03.025]  This is crazy.
[02:04:03.951 --> 02:04:07.853]  We're also reassessing the purpose of some of these missions, like NATO.
[02:04:07.853 --> 02:04:09.854]  That was a big point that Trump brought up.
[02:04:09.854 --> 02:04:12.855]  But we're going to make them pay for part of it.
[02:04:12.855 --> 02:04:16.457]  I mean, if you're going to keep it, we're not going to pay for 60% of NATO anymore.
[02:04:16.457 --> 02:04:16.937]  Of course.
[02:04:16.937 --> 02:04:21.159]  And there should be coalitions amongst free nations, free countries.
[02:04:21.159 --> 02:04:21.739]  That's it.
[02:04:21.739 --> 02:04:24.781]  NATO shouldn't be its own thing dictating to us.
[02:04:25.521 --> 02:04:34.543]  Yeah, and you know, there's some big deficiencies of NATO, especially when looking at border states where Russia can strike.
[02:04:34.543 --> 02:04:50.366]  I was watching a general, he gave a press release a couple months ago, and he was talking about how the Russians could basically attack a country, but NATO's response would have to be a liberation campaign, because
[02:04:51.446 --> 02:04:56.788]  They don't have the ability to move throughout borders, which makes NATO terribly inefficient.
[02:04:56.788 --> 02:04:57.368]  That's right.
[02:04:57.368 --> 02:04:58.868]  We'll be right back.
[02:04:58.868 --> 02:05:03.230]  We're just two months away from January 2017 when President Trump takes power.
[02:05:03.230 --> 02:05:06.471]  But let's take a look at how his tax plan may impact your returns.
[02:05:06.471 --> 02:05:11.492]  NBC is reporting, if Trump sticks to his campaign promises, here are the major things his administration will change.
[02:05:11.492 --> 02:05:14.533]  They'll reduce seven federal tax brackets down to three, with rates of 12%, 25%, and 33%.
[02:05:16.954 --> 02:05:25.182]  Increases in the standard deduction from $6,300 to $15,000 for single filers and from $12,600 to $30,000 for married couples.
[02:05:25.182 --> 02:05:33.290]  The irony is all those Silicon Valley millionaires and billionaires, athletes and rock stars that all supported Hillary Clinton are going to be seeing some of the biggest tax returns.
[02:05:33.610 --> 02:05:39.095]  In fact, Forbes is reporting that Trump's tax plan could save LeBron James over $15 million per year.
[02:05:39.095 --> 02:05:47.822]  But the coup de grace in Trump's tax plan will be lowering the business tax rate from 35% to 15% and eliminate the corporate alternative minimum tax.
[02:05:47.822 --> 02:05:55.369]  This is going to unleash a rash of hirings across the country and hopefully bring businesses who moved overseas back to the United States, thereby increasing jobs.
[02:05:55.369 --> 02:05:58.451]  Rob Deere reporting for InfoWars.com and InfoWars Nightly News.
[02:05:58.451 --> 02:06:00.894]  Do you ever wonder what happened to America?
[02:06:01.574 --> 02:06:05.655]  Because of what we did on this day, change has come to America.
[02:06:05.655 --> 02:06:08.316]  Something's wrong, and we all know it.
[02:06:08.316 --> 02:06:11.137]  I'm Charlie Daniels, and I'm here to tell you about it.
[02:06:11.137 --> 02:06:16.979]  The nation has been hijacked by international forces, bent on global governance.
[02:06:16.979 --> 02:06:23.100]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[02:06:23.100 --> 02:06:28.462]  God was in school, morality had a future, and beef was for supper.
[02:06:29.362 --> 02:06:32.305]  Revelation, dawn of global government.
[02:06:32.305 --> 02:06:33.485]  We're the solution!
[02:06:33.485 --> 02:06:35.987]  Americans, ain't nothing more to it than that.
[02:06:35.987 --> 02:06:41.191]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[02:06:41.191 --> 02:06:43.193]  Theatrical screenings on demand.
[02:06:43.193 --> 02:06:44.634]  DVDs now available.
[02:06:44.634 --> 02:06:48.537]  Wanna shed some tears over the red, white, and blue?
[02:06:48.537 --> 02:06:51.359]  Revelation, the movie, dot info.
[02:06:51.359 --> 02:06:54.141]  Americans need to see this film.
[02:06:54.141 --> 02:06:56.803]  Revelation, the movie, dot info.
[02:06:56.803 --> 02:06:57.664]  Let's fix it.
[02:06:58.264 --> 02:07:01.465]  A clean, toxic-free body is the foundation of true health.
[02:07:01.465 --> 02:07:03.826]  Deep Cleanze by InfoWarsLife.com.
[02:07:03.826 --> 02:07:10.829]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[02:07:10.829 --> 02:07:16.151]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[02:07:16.151 --> 02:07:25.135]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[02:07:25.575 --> 02:07:34.460]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:07:34.460 --> 02:07:41.545]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[02:07:41.545 --> 02:07:46.908]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[02:07:47.188 --> 02:07:52.811]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[02:07:52.811 --> 02:07:56.453]  That's Infowarslife.com or call 888-253-3139.
[02:07:56.453 --> 02:08:12.823]  Rallying patriots worldwide in defense of human liberty.
[02:08:12.823 --> 02:08:14.304]  It's Alex Jones.
[02:08:30.220 --> 02:08:33.123]  Author, researcher, investigative journalist, John Rappaport of NoMoreFakeNews.com.
[02:08:33.123 --> 02:08:34.584]  We'll be joining us here in about five minutes.
[02:08:34.584 --> 02:08:35.825]  I'm going to go to some of your calls right now.
[02:08:35.825 --> 02:08:41.570]  Andrew in the UK, David in Michigan, David in Nevada, Monika in Canada, Justin in Florida.
[02:08:41.570 --> 02:08:43.852]  We're going to have everybody in this hour and more.
[02:08:43.852 --> 02:08:47.235]  Poll free number to join us, 800-259-9231.
[02:08:47.235 --> 02:08:53.701]  The seismic defeat of the globalists here in the United States, coupled with Brexit, coupled with the Russians in the last decade pulling out of the New World Order.
[02:08:54.341 --> 02:08:57.323]  Is the end of the current world government system.
[02:08:57.323 --> 02:08:59.264]  And by the way, I've been saying that for months.
[02:08:59.264 --> 02:09:05.407]  The New York Times today, link up on DrudgeReport.com, admits just that.
[02:09:05.407 --> 02:09:13.931]  All the delusional insiders, all the delusional groobers on TV saying how dumb we are, the emails by the hundreds of thousands, how much they hate us, how they want to make us poor.
[02:09:14.875 --> 02:09:22.223]  We have to continue to get the WikiLeaks and publish about them and go back through them and keep hammering and hammering and hammering this criminal class.
[02:09:22.223 --> 02:09:23.945]  Hillary must be prosecuted.
[02:09:23.945 --> 02:09:27.669]  Obama came out and said he may give her a pardon.
[02:09:27.669 --> 02:09:28.469]  He said that this morning.
[02:09:28.469 --> 02:09:28.790]  Here it is.
[02:09:33.455 --> 02:09:34.135]  Thanks, Josh.
[02:09:34.135 --> 02:09:43.905]  Donald Trump during the campaign pledged to jail Hillary Clinton if she was elected over the federal investigations that are underway.
