[00:00:06.913 --> 00:00:07.954]  Hello, my friends.
[00:55:51.247 --> 00:55:55.369]  They go, no, Bush is actually against the Second Amendment and has done more to destroy it than anybody else.
[00:55:56.750 --> 00:56:01.512]  See, they get us in this left-right fight, and really the left and right have the same issues, just different rhetoric.
[00:56:01.512 --> 00:56:02.693]  It's like pro-wrestling.
[00:56:02.693 --> 00:56:05.334]  We've got to explain to people that it's a pro-wrestling event.
[00:56:05.334 --> 00:56:07.856]  It isn't real.
[00:56:07.856 --> 00:56:09.636]  Go ahead, caller.
[00:56:09.636 --> 00:56:10.597]  Um, hi, Alex.
[00:56:10.597 --> 00:56:19.041]  My name's Tammy, and I'm here in Austin, and I just want to tell you, just really enjoy your show and everything, but real quick, um, I was looking at K.I.
[00:56:19.041 --> 00:56:21.222]  News, and I just, it just blew me away.
[00:56:21.222 --> 00:56:24.664]  I'm looking at K.I., and they're saying at the airport in Minnesota,
[00:56:25.236 --> 00:56:40.384]  That they already have, if you're a frequent traveler, if you give the government information, and if you also do the thumbprint, or the thumb scan, which you've been talking about, you can go ahead and you can sell on through all these checks and everything.
[00:56:40.384 --> 00:56:45.826]  And see, as I said, it'll be, you don't have to have the chip, but you can't come in our bar.
[00:56:45.826 --> 00:56:46.807]  Already happening.
[00:56:46.807 --> 00:56:49.989]  You don't have to have the chip, but you can't be in the army.
[00:56:49.989 --> 00:56:52.630]  Because you give your rights, you know, just like the vaccines.
[00:56:53.593 --> 00:56:58.820]  This is how they're, and they said, through convenience, through security, and through fad, they're going to sell it.
[00:56:58.820 --> 00:56:59.982]  And the Caps 2 system...
[00:57:01.078 --> 00:57:02.799]  They already have your credit report.
[00:57:02.799 --> 00:57:06.502]  They already have how many times you've been arrested or divorced.
[00:57:06.502 --> 00:57:10.124]  And all of that goes in, and you get from a green rating to a yellow rating.
[00:57:10.124 --> 00:57:14.347]  Now they're supposedly allowed to do an anal cavity search, because you have bad credit.
[00:57:14.347 --> 00:57:16.148]  They arrest people who have bad credit.
[00:57:16.148 --> 00:57:18.470]  And then they go, oh, well, it'll be much easier if you just take the card.
[00:57:18.470 --> 00:57:19.510]  And then it's convenient.
[00:57:19.510 --> 00:57:21.031]  Come on, Mac, get the card.
[00:57:21.031 --> 00:57:22.132]  Get on through there.
[00:57:22.132 --> 00:57:26.855]  And they say, Homeland Security even brags that they're going to make us all take this.
[00:57:26.855 --> 00:57:28.496]  This is just softening us up.
[00:57:28.496 --> 00:57:29.597]  Frequent travelers.
[00:57:29.597 --> 00:57:30.978]  So, of course, when people hear that,
[00:57:32.599 --> 00:57:36.383]  And the airlines are saying you're going to get a discount, by the way.
[00:57:36.383 --> 00:57:44.129]  But see, that's why HEB in Houston and in college stations has put in thumb scanners at the self-checkouts.
[00:57:44.129 --> 00:57:48.933]  And they were trying to in Austin, but there's been such a boycott that they've backed off for now.
[00:57:48.933 --> 00:57:54.058]  They've had the signs up for months at things saying we're going to be putting them up.
[00:57:54.058 --> 00:57:54.979]  So what they do is,
[00:57:57.014 --> 00:58:01.718]  Is they incrementally bring this in and they go, oh, you get discounts when you do it.
[00:58:01.718 --> 00:58:04.600]  It's like the Randall's loyalty card.
[00:58:04.600 --> 00:58:07.423]  You know, why do you got to have this loyalty card to get 30% off?
[00:58:07.423 --> 00:58:15.209]  But see, it's about getting, and the corporations actually meet and have public, they had a meeting last year in Chicago with Ridge and all the big CEOs.
[00:58:15.209 --> 00:58:19.153]  There's going to be chips and everything and chips and all the children, ha, ha, ha.
[00:58:19.833 --> 00:58:24.754]  We had reporters there, and it was weird discussions of, when does the Babylon system rise?
[00:58:24.754 --> 00:58:27.035]  And Reginald, we can't talk about Babylon right now.
[00:58:27.035 --> 00:58:29.456]  I mean, it was just, this was actually in news articles.
[00:58:29.456 --> 00:58:29.696]  Right.
[00:58:29.696 --> 00:58:33.737]  And just, man, it's like, it's like... Houston, that's what they reported on KI.
[00:58:33.737 --> 00:58:37.978]  The next airport, the big airport that's really gonna do this is gonna be in Houston.
[00:58:37.978 --> 00:58:43.019]  And I just thought... But, but see, it's, look, thousands of school districts.
[00:58:43.019 --> 00:58:44.640]  You have to thumb scan to get lunch.
[00:58:44.640 --> 00:58:45.520]  No cash allowed.
[00:58:46.241 --> 00:58:47.001]  Training them.
[00:58:47.001 --> 00:58:54.084]  And the Feds admit it's for training, but they know that the general public doesn't read white papers.
[00:58:54.084 --> 00:58:57.144]  Doesn't read government reports.
[00:58:57.144 --> 00:59:04.647]  Man, one of the reference books that CPS workers go into college at UT use was called the Calhoun Reader.
[00:59:04.647 --> 00:59:08.108]  We've had it on TV and read it, and it says the family is the enemy, must be destroyed.
[00:59:08.108 --> 00:59:10.809]  But you tell the average person they don't believe it.
[00:59:10.809 --> 00:59:14.250]  It's the friggin' textbook!
[00:59:14.250 --> 00:59:14.450]  I mean,
[00:59:15.340 --> 00:59:20.223]  And see, the only thing holding back the globalists is, is that enough of us aren't into torture, aren't into evil yet.
[00:59:20.223 --> 00:59:26.266]  So that's why they promote it in the media, and, well, torture's kind of bad, but they cut our guys head off, well, I guess torture's good.
[00:59:26.266 --> 00:59:27.206]  Well, I guess we've got it.
[00:59:27.206 --> 00:59:33.930]  See, they've just got to get enough evil people, change our morals to accept this, then they can go along with it.
[00:59:33.930 --> 00:59:34.470]  God help us.
[00:59:35.896 --> 00:59:41.838]  I mean, you can't get into Disney World or SeaWorld or anything without hand scanning now.
[00:59:41.838 --> 00:59:43.559]  I haven't been to an amusement park in years.
[00:59:43.559 --> 00:59:48.560]  I tried to take my wife, and we played the video a few months ago, and you have to hand scan.
[00:59:48.560 --> 00:59:49.861]  You don't have to, though.
[00:59:49.861 --> 00:59:52.862]  You just pay double if you don't.
[00:59:52.862 --> 00:59:55.683]  Literally double!
[00:59:55.683 --> 00:59:58.524]  Well, let's be accurate.
[00:59:58.524 --> 01:00:01.305]  Just check it out for yourself, folks.
[01:00:01.305 --> 01:00:02.285]  It's actually worse than that.
[01:00:05.834 --> 01:00:06.676]  Yeah.
