[00:00.000 --> 00:16.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones.
[02:03:12.680 --> 02:03:23.680]  It's getting close to where I'm going to have to leave the country simply to continue to make YouTube videos. They're already arresting people who criticize Muslim immigration on Twitter.
[02:03:23.680 --> 02:03:32.680]  Now, satire. Frigging satire that's not even malicious will not be tolerated. And this is by no means a one-off case.
[02:03:32.680 --> 02:03:40.680]  Just a few days ago, a Muslim police chief in Manchester said, freedom of speech does not mean freedom of offending culture, religion or tradition.
[02:03:40.680 --> 02:03:48.680]  Just last month, Greater Glasgow police threatened to conduct home visits to harass people who made unkind or inaccurate tweets.
[02:03:48.680 --> 02:03:55.680]  Last year, Police Scotland announced their intention to investigate offensive comments made on Twitter and other social media platforms.
[02:03:55.680 --> 02:04:03.680]  Of course, this is all selectively enforced, but the chilling effect is very real. This is how political correctness is strangling freedom.
[02:04:03.680 --> 02:04:12.680]  People are going to be terrified of expressing any political belief, even if it's satirical, even if it's not even meant to be political.
[02:04:12.680 --> 02:04:19.680]  If we allow them to characterize Nazi jokes or Mohammed cartoons as hate speech, then it's only the beginning.
[02:04:19.680 --> 02:04:27.680]  The end will bring us full circle. To the very reason political correctness was created in communist countries in the first place.
[02:04:27.680 --> 02:04:43.680]  To stifle, censor and punish anyone who dares speak out against the state or the prevailing cultural mantra.
[02:04:57.680 --> 02:05:03.680]  We're at infowars.com and newswars.com and we're defeating the leftist tyrants.
[02:05:03.680 --> 02:05:10.680]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air. It was so good to see you on the iTunes or on YouTube.
[02:05:10.680 --> 02:05:17.680]  Are you coming back? We're at infowars.com. We're at newswars.com. Paul Watts has launched his own summit.news.
[02:05:17.680 --> 02:05:22.680]  We have our own videos. We have our own articles. They're trying to destroy us, but thanks to you and others having us on,
[02:05:22.680 --> 02:05:28.680]  infowars is still chatting along. So we're there folks. Tomorrow's news today.
[02:05:28.680 --> 02:05:42.680]  I'm at infowars.com and newswars.com. We knew this censorship was coming forever.
[02:05:42.680 --> 02:05:48.680]  We have our own video streams, our own audio streams, and it's all free to air. Anybody can use it, reupload it, do whatever you want.
[02:05:48.680 --> 02:05:53.680]  People go to infowars.com and newswars.com. That's where they find it. There's things called websites.
[02:05:53.680 --> 02:06:22.680]  Go there.
[02:06:22.680 --> 02:06:26.680]  Well, his birth name is Mark Meakin. He's known as Count Dankula.
[02:06:26.680 --> 02:06:34.680]  And his great crime is getting hundreds of millions of views on YouTube and other channels with really funny humor.
[02:06:34.680 --> 02:06:44.680]  And after John Cleese came out last year and even made reference to things like Count Dankula's case, he said, this is insane.
[02:06:44.680 --> 02:06:53.680]  John Cleese, of course, of Monty Python fame that regular humor now, you get arrested for it. I mean, even if Count Dankula was trying to be a Nazi,
[02:06:53.680 --> 02:06:58.680]  he has free speech because if you take Nazi's free speech, you've taken everybody's free speech.
[02:06:58.680 --> 02:07:04.680]  But now what you've seen in Europe is in the UK, is here in the US, where they say it hurts somebody's feelings,
[02:07:04.680 --> 02:07:07.680]  we're going to platform you or we're going to arrest you.
[02:07:07.680 --> 02:07:18.680]  UKIP candidate Mark Meakin linked to racist forum post. So the new thing they do is they'll talk about, before I was totally banned off Facebook,
[02:07:18.680 --> 02:07:26.680]  fan pages. We have an article about something totally separate than Nazi's, but there'd be a couple comments about Jews in the comments,
[02:07:26.680 --> 02:07:35.680]  probably SJWs. And then they would say, Jones is in a major controversy with racist comments.
[02:07:35.680 --> 02:07:39.680]  And so that's how they legitimize we should all go to jail.
[02:07:39.680 --> 02:07:46.680]  Meanwhile, you have Islamists throwing bricks at Tommy Robinson this weekend, attacking families, milkshakes being thrown at everybody,
[02:07:46.680 --> 02:07:51.680]  major breweries calling for people to have bricks smashed over their heads.
[02:07:51.680 --> 02:07:58.680]  So Count Dankula, still on Twitter, I guess at Count Dankula TV, YouTube Count Dankula,
[02:07:58.680 --> 02:08:08.680]  walk through what happened to you briefly for the folks that don't know about Hitler dog, and which, again, John Cleese and everybody else in Charlie Chaplin did similar things.
[02:08:08.680 --> 02:08:19.680]  But we had freedom, I guess, in our countries. And then get into the latest of what you're facing as they're still trying to prosecute you and then dovetail that to the atmosphere I'm seeing in Europe and the UK.
[02:08:19.680 --> 02:08:30.680]  It seems to just be incredibly fascistic against people that are born there, conservatives, Christians, comics. It seems like real authoritarianism is spreading its wings.
[02:08:30.680 --> 02:08:32.680]  So thanks for joining us.
[02:08:32.680 --> 02:08:40.680]  That was very good to be back. And completely true, authoritarianism is spreading throughout the United Kingdom and also through Europe.
[02:08:40.680 --> 02:08:50.680]  Initially, with myself, you know, a lot of people know the story. My girlfriend kept talking about how cute and adorable her little dog was. I was sick and fed up of hearing how cute the dog was.
[02:08:50.680 --> 02:08:56.680]  I thought it would be funny to get the dog to raise its paw and then actually salute whenever I said Zeke Howe.
[02:08:56.680 --> 02:09:00.680]  And I got the dog to react happily whenever I said the phrase, gas the juice.
[02:09:00.680 --> 02:09:10.680]  The entire point of the joke was the juxtaposition of this cute and adorable animal doing something horrific and offensive. That was the basis for the joke.
[02:09:10.680 --> 02:09:19.680]  And as a result of that, I was arrested and charged with hate crime. I was kept in prison until my court date.
[02:09:19.680 --> 02:09:25.680]  And then I was released to await my full trial. And the trial ended up lasting around two years.
[02:09:25.680 --> 02:09:33.680]  I mean, the Nuremberg trials lasted half as long. And during that time, I had the media constantly coming after my life.
[02:09:33.680 --> 02:09:39.680]  Everyone was trying their hardest to cancel me, censor me, get me deplatformed, calling me. And that's the calling me.
[02:09:39.680 --> 02:09:47.680]  The reincarnation of Hitler, all manner of things. And as a result, I was found guilty and I was fined £800.
[02:09:47.680 --> 02:09:55.680]  I refused to pay the fine. And I basically said to the cops, you know, come and get me. I'm not bending the knee here.
[02:09:55.680 --> 02:09:58.680]  You know, if you want your money, you can come and get me. You can come and take me to jail.
[02:09:58.680 --> 02:10:07.680]  I'm prepared to go to prison for what I believe in. But instead, what the cops did was seized the money from my account without notifying me first.
[02:10:07.680 --> 02:10:12.680]  So I think they, I think they knew if they came after me and they arrested me, you know, everything would all kick off again.
[02:10:12.680 --> 02:10:21.680]  Everyone would come after the police come after the establishment. So they just sort of decided to take the easy way out and just seize the money from my account.
[02:10:21.680 --> 02:10:29.680]  And that's where we're at now. We're currently going through an appeal process. We're appealing to the Supreme Court to try and get my conviction overturned.
[02:10:29.680 --> 02:10:40.680]  But every every avenue we go down where me being met by a brick wall, which seems to be the brick wall seem to be getting built by those that are quite high up in the court system.
[02:10:40.680 --> 02:10:51.680]  Basically, they really don't want my conviction to be overturned because they really want to hold on the precedent that it sets where the context and intent of your words and actions do not matter.
[02:10:51.680 --> 02:11:02.680]  It's basically the court and the system get to invent the thoughts that were in your head and get to create their own narrative and convict you based on what they assume to be your thoughts.
[02:11:02.680 --> 02:11:06.680]  It's a system that Stalin absolutely would have loved.
[02:11:06.680 --> 02:11:20.680]  It is beyond 1984. And just when I thought it couldn't get any worse, first they banned me off YouTube and off Twitter and off Spotify and 50 something other things.
[02:11:20.680 --> 02:11:30.680]  iTunes, you name it. Then they banned three weeks ago, saying my name or my websites in a positive way.
[02:11:30.680 --> 02:11:39.680]  So that's telling 2.4 billion users what they can prohibitively say and what they can't say and that they can only say something mean about someone.
[02:11:39.680 --> 02:11:46.680]  Imagine reading that in a 1984 novel. You'd think that's preposterous. That'll never happen. But it's beyond that.
[02:11:46.680 --> 02:11:51.680]  And then you go, hey, John Cleese did it. Charlie Chaplin did it. They just don't want to hear it.
[02:11:51.680 --> 02:12:02.680]  And then the left in this country celebrates it and says we need that here. And now undercover videos of people bragging about selling dead baby parts that's illegal.
[02:12:02.680 --> 02:12:12.680]  Those people don't get indicted. The folks that shoot the undercover video get indicted. And even the LA Times and journalists groups said this is like Soviet Russia.
[02:12:12.680 --> 02:12:19.680]  I mean, it's so dangerous. But I mean, can you speak to now banning people's names?
[02:12:19.680 --> 02:12:27.680]  See, when you say 1984, there is a system exactly similar to that. The Emmanuel Goldstein, the subject of the Two Minutes Hate.
[02:12:27.680 --> 02:12:35.680]  It's a person where the only time you are allowed to reference or speak about them is if you are spewing hatred and bile about them.
[02:12:35.680 --> 02:12:39.680]  You're not allowed to say words of support, affection or even just basic discussion.
[02:12:39.680 --> 02:12:44.680]  The only thing that's allowed to come out of your mouth is hatred in regards to this person.
[02:12:44.680 --> 02:12:52.680]  See when you see a Facebook and the other social media platforms have brought in rules where you are not allowed to say nice things about this person.
[02:12:52.680 --> 02:12:59.680]  You are only allowed to say bad things. That is them literally instigating hate, the very thing that they claim to be trying to prevent.
[02:12:59.680 --> 02:13:05.680]  But it's the case of no bad tactics, just bad targets.
[02:13:05.680 --> 02:13:16.680]  It's a case of what happened to you was you were the measure to gauge the public response when the Silicon Valley collaborated together to completely remove you from all of the platforms.
[02:13:16.680 --> 02:13:27.680]  You were the measure. If there's something morally bankrupt that you want to do, which is a standard you want to set, the only way that you're going to be able to get people on your side for creating this new status quo
[02:13:27.680 --> 02:13:40.680]  is to first go after a target that they all hate, that they don't like and they managed to make that you. Media has managed to make so many people hate you and vilify you and paint you as this evil bond villain
[02:13:40.680 --> 02:13:45.680]  that's trying to get people killed and all that type of stuff, which is something I've never heard you advocate for.
[02:13:45.680 --> 02:13:48.680]  But if you tell a lie enough times, eventually people will believe it.
[02:13:48.680 --> 02:13:57.680]  And once they had enough people hating on you, they went after you with this absolutely morally bankrupt method and people cheered.
[02:13:57.680 --> 02:14:06.680]  Even though what they did was absolutely horrendously wrong because it was you and they got enough people to hate you, then they cheered instead.
[02:14:06.680 --> 02:14:11.680]  And all that does now is set the standard where, oh cool, what other person can we do this to?
[02:14:11.680 --> 02:14:19.680]  We can now do this whenever we want, all we need to do is sway public opinion and to hate this person and we can do it again and then we can do it again and then we can do it again.
[02:14:19.680 --> 02:14:31.680]  And eventually it's going to happen to people on the left, but by that point it will be too late because they're the ones that have supported and encouraged this system by clapping and applauding it and wanting it to go forward and wanting it to go further,
[02:14:31.680 --> 02:14:43.680]  even though all they're basically doing is creating a rod for their own backs and by the time the rod comes towards their back, it will be too late. The system's already been well established and they were the ones that supported it.
[02:14:43.680 --> 02:14:50.680]  And people always say you hit the nail on the head, but you just blew the doors off that that is exactly what's happening.
[02:14:50.680 --> 02:14:56.680]  And what's crazy is you're an informed guy because I've watched some of your online shows over the years, you talk about history.
[02:14:56.680 --> 02:15:13.680]  This is what the Soviets did. It's what Mao did. It's what Hitler did. They always pick some little unpopular minority first and then they demonize that group, turn them into demons, and then once nobody stands up for them, they come for everybody.
[02:15:13.680 --> 02:15:25.680]  And what's crazy is they have neocons running this at big forums in Berlin and stuff saying last year, once we get WikiLeaks and Jones, we're going to ban everybody.
[02:15:25.680 --> 02:15:35.680]  And we're going to totally take over the web and in free speech and it's going to be wonderful. And I'm reading these blueprints for absolute evil and I'm just wondering when does humanity wake up?
[02:15:35.680 --> 02:15:43.680]  When does humanity strike back? I want to talk about that with one of the most banned individuals in the world, Count Dankula, a hilarious comedian, a smart guy.
[02:15:43.680 --> 02:15:54.680]  And on top of that, I did Hitler dog with my dog that's now deceased captain too because he has a Hitler mustache. It's a joke. Are they going to arrest me?
[02:15:54.680 --> 02:15:58.680]  Stocks and options trading involves financial risk and is not suitable for all investors.
[02:15:58.680 --> 02:16:07.680]  Hey guys, it's Scott Bauer here, CEO of Prosper Trading Academy. Are you looking for a super hot stock tip? Here at Prosper, we are always looking for exciting opportunities in the markets.
[02:16:07.680 --> 02:16:17.680]  And right now all my students are salivating over the stock we are watching. In fact, I've got this hot stock written down right here and I'm about to text it to you for free.
[02:16:17.680 --> 02:16:27.680]  I just need to know where to send it. Simply text HOT to 48542 and I'll text it to you instantly. How do I know this stock is so hot?
[02:16:27.680 --> 02:16:36.680]  Well, I'm a former CBOE market maker for Amazon Options, former vice president of Goldman Sachs, and I have over 25 years of professional trading experience.
[02:16:36.680 --> 02:16:47.680]  I'm telling you, this stock is hot. But be warned, the stock may move soon, so you need to claim it before it does. Text HOT to 48542 and I'll text you this hot stock instantly.
[02:16:47.680 --> 02:16:54.680]  Text HOT to 48542 and I'll text you this hot stock instantly. Message and data rates may apply.
[02:16:54.680 --> 02:16:59.680]  Know someone with a drinking or drug problem? Learn how to get sober after we've shared these stories.
[02:16:59.680 --> 02:17:11.680]  I was 35 with two beautiful children when my life and addiction started to spiral out of control. After my divorce, I went into a depression cycle and started drinking more often and using prescription drugs.
[02:17:11.680 --> 02:17:16.680]  After my second EWI and arrest, my ex-husband threatened to take our children away from me.
[02:17:16.680 --> 02:17:26.680]  I was 17 when I became addicted to heroin and meth. I thought I could quit on my own, but I couldn't. It hit me when I was arrested.
[02:17:26.680 --> 02:17:35.680]  Get sober now. Your private insurance may cover costs and we'll get you here. It's simple. Just call Elite Rehab Placement right now.
[02:17:35.680 --> 02:17:38.680]  Please, don't wait. Your life matters to us.
[02:17:38.680 --> 02:17:57.680]  800-213-9264. Call right now before it's too late. 800-213-9264.
[02:17:57.680 --> 02:18:00.680]  Mike in New Jersey. You're on the air. Thanks for calling, Mike.
[02:18:00.680 --> 02:18:04.680]  You are the man, Alex. I'm so glad to be talking to you. I'm so excited. I'm such a big fan.
[02:18:04.680 --> 02:18:09.680]  Ever since I've been listening, I've been buying your products. I got to do a shout out for the bone broth.
[02:18:09.680 --> 02:18:15.680]  The bone broth. The bone broth. The bone broth. The bone broth. The bone broth.
[02:18:15.680 --> 02:18:19.680]  Tastes like, tastes like, um, great milkshake. You know, if you just add it to milk.
[02:18:19.680 --> 02:18:25.680]  It tastes like oval theme. It tastes like oval theme. It tastes like oval theme. Like, good.
[02:18:25.680 --> 02:18:34.680]  I feel great since I've been taking it. My daughter uses the bubblegum fluoride-3 toothpaste. I've used the supermail vitality.
[02:18:34.680 --> 02:18:37.680]  A host of other products. So thank you so much for that as well.
[02:18:37.680 --> 02:18:41.680]  Brother, you're thanking me for buying the products and keeping me on air. I'm thanking you.
[02:18:41.680 --> 02:18:47.680]  But yes, this is the ultimate bone broth formula with the turmeric, the chocolate mushroom, the true bone broth.
[02:18:47.680 --> 02:18:49.680]  It is next level. It really is good. So thank you.
[02:18:49.680 --> 02:18:55.680]  I feel great since I've been taking it. Thank you.
[02:19:19.680 --> 02:19:29.680]  It's your day to day life with ease while encouraging hormonal balance. Perfect by itself or with supermail vitality in the true alpha male pack.
[02:19:29.680 --> 02:19:36.680]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[02:19:36.680 --> 02:19:40.680]  Let Alpha Power help bring you to the peak of your optimal health.
[02:19:40.680 --> 02:19:43.680]  Don't fall short on energy in the fight against tyranny.
[02:19:43.680 --> 02:19:50.680]  In the world, what a true alpha male looks like today with Alpha Power. Head to InfowarsStore.com today.
[02:20:14.680 --> 02:20:29.680]  Well, I won't back down. No, I won't back down. You can stand me up at the gates of hell.
[02:20:29.680 --> 02:20:33.680]  Welcome back. I'm Alex Jones, your host. I'm talking to the fellow thought criminal count. Thank you.
[02:20:33.680 --> 02:20:37.680]  You're a TV viewer. You could just see. You can't find the video.
[02:20:37.680 --> 02:20:44.680]  I found a still of when we did Hitler dog with my deceased French bulldog. You looked about age 11 captain.
[02:20:44.680 --> 02:20:47.680]  And he did look like Hitler. That's his fault.
[02:20:47.680 --> 02:20:56.680]  So I was saying if the teapots got banned at JC Penney's because some lunatic saw a Hitler mustache on the teapot.
[02:20:56.680 --> 02:21:01.680]  Well, then should the dog be bad because he looks like he has a Hitler mustache.
[02:21:01.680 --> 02:21:08.680]  But this mental illness is being encouraged by the cultural left to end free speech.
[02:21:08.680 --> 02:21:19.680]  They admit that they want people to find the micro aggressions. Count Dankula, again, spent time in jail, refused to pay the fine, still in court battles with them.
[02:21:19.680 --> 02:21:27.680]  Now watching the police let the Islamists throw bricks at Tommy Robinson and people having a legal lawful political rally.
[02:21:27.680 --> 02:21:38.680]  Watching. I've got articles here with major breweries stories on info wars.com in the UK saying don't use milkshakes, hit people in the face with bricks.
[02:21:38.680 --> 02:21:44.680]  Describe you're there in the UK, the atmosphere. What's happening? You're running for office as well.
[02:21:44.680 --> 02:21:48.680]  You know, a great way to fight the censorship. What you've gone through what you're saying.
[02:21:48.680 --> 02:22:03.680]  Well, the thing that I don't understand is the argument that people always make against me is that my spicy jokes and edgy comedy and offensive memes can encourage violence and encourage people to commit, you know, physical acts against the people that I joke about.
[02:22:03.680 --> 02:22:12.680]  But then you have these exact same people trying to justify assault and political candidates, you know, albeit as a milkshake, a very minor form of assault.
[02:22:12.680 --> 02:22:22.680]  But how does the escalation argument that they make in regards to my jokes not apply to that? Because, I mean, in a matter of days, it went from milkshakes to bricks and days in a matter of days.
[02:22:22.680 --> 02:22:34.680]  And then you've got people in the media that are cheering it on. I think it's only going to be a matter of time before someone, you know, Nigel Farage, Tommy Robinson, you know, me or Sargon, we're not going to get hit with a milkshake.
[02:22:34.680 --> 02:22:39.680]  We're going to get hit with a brick. We're going to get hit with a brick. We're going to be seriously assaulted. Someone is going to be injured.
[02:22:39.680 --> 02:22:51.680]  Someone's going to get hurt. This could result in a death. And this is the people that trying to, one of the main things that gets brought up is the murder of Joe Cox, which was an absolutely tragic, horrendous thing.
[02:22:51.680 --> 02:23:04.680]  And obviously, measures should be taken to prevent such a thing from ever happening again. But these same people who often use Joe Cox's death as a weapon are the same people that are encouraging this type of thing.
[02:23:04.680 --> 02:23:13.680]  And I can't understand the hypocrisy. You know, it starts with milkshakes and it goes to bricks. People said that this could escalate in violence and it did in a matter of days.
[02:23:13.680 --> 02:23:20.680]  And I do think it's going to be, it's only a matter of time before someone is seriously injured or killed through this rhetoric.
[02:23:20.680 --> 02:23:31.680]  By the way, Charlton Brewing Company in the UK said, note to our customers, please don't throw our beer over fascists. Get them over the head with a brick is traditional.
[02:23:31.680 --> 02:23:41.680]  So that's saying kill somebody. Then somebody sent them an email and a tweet saying, hey, you're really asking for trouble. They then freaked out and said, oh my God, we're being threatened.
[02:23:41.680 --> 02:23:50.680]  So the left has no self realization and they don't see hypocrisy or paradoxes where they're always calling for attacking everyone.
[02:23:50.680 --> 02:23:57.680]  And then even if someone fights back like the proud boys, they then call them a terrorist organization.
[02:23:57.680 --> 02:24:03.680]  Yeah, if you defend yourself against these attacks, you're a fascist racist Nazi, et cetera, et cetera.
[02:24:03.680 --> 02:24:11.680]  Like, I mean, even one thing I said as well, I posted a tweet where I said, if anyone, you know, comes at me with a milkshake, you know, I will put them up and down the street.
[02:24:11.680 --> 02:24:17.680]  If someone tries to assault me, I will defend myself and I will set an example to make sure that nobody attempts to do it again.
[02:24:17.680 --> 02:24:23.680]  And people were trying to say that, you know, I was the violent one and it's like, no, I'm not the one that's going around looking to assault people.
[02:24:23.680 --> 02:24:31.680]  I've said that I will defend myself. But people were trying to paint me as the violent one. Well, I'm not the one that's going up trying to assault people.
[02:24:31.680 --> 02:24:35.680]  I said, I defend myself. You're saying you'll assault people. You're the instigators.
[02:24:35.680 --> 02:24:41.680]  But they always try and even though you've just said, I will defend myself from your horrible actions.
[02:24:41.680 --> 02:24:46.680]  They still try and paint you as the bad guy, even though they're the people instigating it.
[02:24:46.680 --> 02:24:53.680]  They have an absolute complete lack of self-awareness. It's mind boggling that they can't see themselves for what they really are.
[02:24:53.680 --> 02:25:00.680]  I think they're just really, they just really want an excuse to act out these horrible impulses that they have.
[02:25:00.680 --> 02:25:06.680]  I think there's something deep and evil breathing within them and they just want an excuse to let it out.
[02:25:06.680 --> 02:25:15.680]  That's what it looks like to me. You know, they want to pick a group of people to dehumanise to the point where they can carry out these horrible impulses on them,
[02:25:15.680 --> 02:25:20.680]  guilt-free, because they've made themselves convinced that, you know, they're the good guys and we are the bad guys.
[02:25:20.680 --> 02:25:28.680]  And I totally agree with you. And then the big media and the corporate systems, everything from CNN to The Economist,
[02:25:28.680 --> 02:25:38.680]  is encouraging assaults. CBS TV has a show called The Good Fight where it says anyone supporting Trump is a Nazi.
[02:25:38.680 --> 02:25:46.680]  And so therefore attack any Trump supporter. They also said assassinate the president, but I really want to pull up the article where CBS,
[02:25:46.680 --> 02:25:53.680]  The Good Fight, and we'll show that to viewers, says punch a Nazi. Well, then everyone is a Nazi.
[02:25:53.680 --> 02:25:58.680]  EU leaders sound alarm over populist election threat. French news agency.
[02:25:58.680 --> 02:26:04.680]  And that's, I think, what's really happening is they know people are waking up and this is attempt at bullying and intimidation.
[02:26:04.680 --> 02:26:09.680]  And this is threats of violence or violence to carry out a political aim.
[02:26:09.680 --> 02:26:13.680]  That is the definition of terrorism, Count Benkula.
[02:26:13.680 --> 02:26:18.680]  The thing that I don't understand is they're trying to turn populism into a dirty word.
[02:26:18.680 --> 02:26:23.680]  Populism is caring about the fears, concerns and issues of ordinary people.
[02:26:23.680 --> 02:26:28.680]  I have no idea in what universe that that can be considered a bad thing.
[02:26:28.680 --> 02:26:34.680]  The reason I feel that Brexit happened is people were not having their concerns addressed.
[02:26:34.680 --> 02:26:41.680]  People didn't feel like they had a voice. They were given a chance to take back some of their, you know, sovereignty, pride,
[02:26:41.680 --> 02:26:47.680]  you know, respect for the nation, you know, something that they feel is theirs, something that belongs to them.
[02:26:47.680 --> 02:26:53.680]  And they were painted as racist, bigots, radicals, extremists and absolutely smeared by the media.
[02:26:53.680 --> 02:26:58.680]  So this is the thing is, see when it comes to things like Brexit and populist movements,
[02:26:58.680 --> 02:27:03.680]  the way that the establishment is conducting itself, they're asking for it.
[02:27:03.680 --> 02:27:08.680]  You can't just turn around to millions of people and say, your problems don't matter.
[02:27:08.680 --> 02:27:11.680]  Shut up. You're wrong. You're racist. You're a Nazi.
[02:27:11.680 --> 02:27:16.680]  And then also put out this rhetoric that it's okay to assault and hurt these people
[02:27:16.680 --> 02:27:20.680]  because they've been dehumanized to that point where you can do it guilt-free.
[02:27:20.680 --> 02:27:27.680]  And then meanwhile, they're bringing in race-based groups and sickening them on indigenous populations.
[02:27:27.680 --> 02:27:34.680]  And meanwhile, they're funding radical real Nazi party to take over Ukraine, NATO is, publicly,
[02:27:34.680 --> 02:27:38.680]  and George Soros has admitted Nazi collaborator in his own words.
[02:27:38.680 --> 02:27:44.680]  So they're really the ones with the Nazi past and the EU was a brainchild of Adolf Hitler.
[02:27:44.680 --> 02:27:52.680]  This is the thing is the parallels that run between the European Union and the Third Reich.
[02:27:52.680 --> 02:27:55.680]  A lot of people roll their eyes whenever you make this argument,
[02:27:55.680 --> 02:27:59.680]  but it's the case of a united Europe with its own army.
[02:27:59.680 --> 02:28:03.680]  And you even have Guy Verhofstadt, you know, making, you know, whenever he speaks,
[02:28:03.680 --> 02:28:09.680]  he's very animated with his hands like another famous person from history who wanted a united Europe.
[02:28:09.680 --> 02:28:14.680]  And whenever you see these parallels and especially, you know, the swings towards authoritarianism,
[02:28:14.680 --> 02:28:20.680]  especially with Article 13, which is following, it's the baby steps of the Chinese model of a censored internet.
[02:28:20.680 --> 02:28:23.680]  That's what they want. They're basically saying, oh, no, this is to be done to protect.
[02:28:23.680 --> 02:28:28.680]  They try to make the argument of it's to protect the little guy, it's to protect the independent journalist,
[02:28:28.680 --> 02:28:32.680]  it's to protect this, it's to protect that, you know, it's the little guy, it's to make sure they get paid.
[02:28:32.680 --> 02:28:38.680]  No, the people that benefit most from this is the music companies who lobbied it in.
[02:28:38.680 --> 02:28:43.680]  That's right. Exactly. It's old media getting together with government to shut down their competition.
[02:28:43.680 --> 02:28:46.680]  I'm going to ask Count Dankula how we strike back, how we fight back,
[02:28:46.680 --> 02:28:49.680]  where he thinks these critical elections are going, and so much more.
[02:28:49.680 --> 02:29:14.680]  And a little surprise, a Bernie Sanders surprise.
[02:29:14.680 --> 02:29:19.680]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[02:29:19.680 --> 02:29:22.680]  you need to call the national treatment advisors.
[02:29:22.680 --> 02:29:29.680]  They'll immerse you into a 30 day program to replace your old habits with new habits and totally change your life.
[02:29:29.680 --> 02:29:34.680]  And if you have PPO, private health insurance, the entire program may be covered.
[02:29:34.680 --> 02:29:41.680]  Fix your problem right now before it gets any worse. Get clean. Call now and learn more.
[02:29:41.680 --> 02:29:45.680]  800-506-6740.
[02:29:45.680 --> 02:29:49.680]  800-506-6740.
[02:29:49.680 --> 02:29:57.680]  That's 800-506-6740.
[02:29:57.680 --> 02:30:02.680]  It's never been easy to figure out the essentials of a new supplement routine.
[02:30:02.680 --> 02:30:05.680]  That's why we created the 8-Pack PowerStack,
[02:30:05.680 --> 02:30:09.680]  your go-to option for the building blocks of a successful approach to supplementation.
[02:30:09.680 --> 02:30:13.680]  This one-stop shop for those looking to simplify or adjust their routine
[02:30:13.680 --> 02:30:17.680]  is perfect for new and old info warriors alike.
[02:30:17.680 --> 02:30:22.680]  With the 8-Pack PowerStack, there's no trial and error, messy bottles laying across the counter,
[02:30:22.680 --> 02:30:24.680]  or 20 minute morning habits.
[02:30:24.680 --> 02:30:28.680]  Just take the wake up and work or rest and recover packs each day
[02:30:28.680 --> 02:30:33.680]  for quick, easy to use and conveniently accessible formulas to help you reach your peak
[02:30:33.680 --> 02:30:38.680]  without the deep supplement knowledge, stacks of bottles and complicated routine.
[02:30:38.680 --> 02:30:43.680]  Featuring eight different formulas for a total take on your health and wellness.
[02:30:43.680 --> 02:30:48.680]  You can find what you like and get even more powerful versions in the store.
[02:30:48.680 --> 02:30:55.680]  Head to infowarsstore.com and check out 8-Pack PowerStack today and jumpstart your supplement routine.
[02:30:55.680 --> 02:31:01.680]  It would take me more than an hour just to lay out all the admitted benefits
[02:31:01.680 --> 02:31:07.680]  and known positive effects of just one of the ingredients in our ultimate bone broth formula.
[02:31:07.680 --> 02:31:13.680]  Everybody knows about bone broth itself and all of the amazing things that it's associated with,
[02:31:13.680 --> 02:31:15.680]  and that it's been the big craze for at least a decade.
[02:31:15.680 --> 02:31:20.680]  Well, thousands of years ago, it's what everybody told people they should drink in a soup that was sick.
[02:31:20.680 --> 02:31:26.680]  But then you add, not just the fact that this is the strongest, most concentrated, highest quality bone broth out there.
[02:31:26.680 --> 02:31:27.680]  Literally.
[02:31:27.680 --> 02:31:31.680]  Then you have the chaga mushroom, then you have the turmeric, then you have the bee pollen,
[02:31:31.680 --> 02:31:38.680]  then you have the other key ingredients that are all known to just make people incredibly strong and healthy.
[02:31:38.680 --> 02:31:40.680]  Our ultimate bone broth formula is amazing.
[02:31:40.680 --> 02:31:45.680]  It's 50% off right now at infowarsstore.com because I want you to try and see how great it is.
[02:31:45.680 --> 02:31:48.680]  And of course, getting the bone broth isn't just great for you and your family.
[02:31:48.680 --> 02:31:55.680]  It's also amazing when it comes to funding our operation that's taken on the globalists and fighting for all of our freedoms.
[02:31:55.680 --> 02:31:59.680]  The globalists are hyper-competitive scientific dictators.
[02:31:59.680 --> 02:32:02.680]  They are technocrats. They are control freaks in their own words.
[02:32:02.680 --> 02:32:09.680]  And they believe allowing you to live your own life and make your own decisions gets to the way of their great destiny to merge with AI gods.
[02:32:09.680 --> 02:32:11.680]  Now, we're fighting them hard in cyberspace.
[02:32:11.680 --> 02:32:14.680]  We're fighting them hard right here in the third dimension.
[02:32:14.680 --> 02:32:20.680]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[02:32:20.680 --> 02:32:25.680]  If I wasn't taking the highest quality supplements from infowarslife.com, I couldn't do it.
[02:32:25.680 --> 02:32:35.680]  That's why we decided to take our original Secret 12 that was incredibly high quality Methylcobalamin and double the strength of it in a new formula, Ultra 12.
[02:32:35.680 --> 02:32:41.680]  Ultra 12 is undoubtedly the strongest, highest quality B12 over the counter that you're going to find anywhere.
[02:32:41.680 --> 02:32:42.680]  It is amazing.
