[00:00:00.000 --> 00:00:21.640]  A
[01:48:29.580 --> 01:48:33.100]  other things, it also supports the broadcast, DrStellaMD.com.
[01:48:34.100 --> 01:48:35.100]  Use promo code Alex.
[01:48:35.100 --> 01:48:36.100]  Do what?
[01:48:36.100 --> 01:48:37.100]  Use Alex.
[01:48:37.100 --> 01:48:38.100]  Promo code Alex.
[01:48:38.100 --> 01:48:39.100]  Yes.
[01:48:39.100 --> 01:48:40.100]  So you can get a discount.
[01:48:40.100 --> 01:48:41.100]  You get a discount?
[01:48:41.100 --> 01:48:42.100]  What's the discount?
[01:48:42.100 --> 01:48:43.100]  Depends.
[01:48:43.100 --> 01:48:44.100]  Five to 10% depends on what they do.
[01:48:44.100 --> 01:48:45.100]  Fantastic.
[01:48:45.100 --> 01:48:46.100]  So you're a great sponsor.
[01:48:46.100 --> 01:48:47.100]  DrStellaMD.com.
[01:48:47.100 --> 01:48:48.100]  Well, that's good to know.
[01:48:48.100 --> 01:48:52.100]  I've been plugging it a lot, but people are getting help, so it doesn't matter one way
[01:48:52.100 --> 01:48:56.100]  or the other, but I've stockpiled legally enough ivermectin for 50 people.
[01:48:56.100 --> 01:48:59.100]  I've got all the other products from her at my house.
[01:48:59.100 --> 01:49:04.100]  An entire shelf is just packed with her stuff and then my stuff and then other stuff there,
[01:49:04.100 --> 01:49:07.100]  and people all the time are sick, and I just give it to them.
[01:49:07.100 --> 01:49:11.100]  And even my medical doctor that owns clinics all over the state, he is telling people to
[01:49:11.100 --> 01:49:12.100]  take a few ivermectins a week.
[01:49:12.100 --> 01:49:14.100]  I mean, there's all sorts of things happening.
[01:49:14.100 --> 01:49:19.100]  We'll talk about that next hour, but DrStellaEmmanuel, DrStellaMD.com.
[01:49:19.100 --> 01:49:20.100]  Get ready now.
[01:49:20.100 --> 01:49:23.100]  Stockpile it before they jack up the prices, before they try to take it away from you,
[01:49:23.100 --> 01:49:24.100]  and be prepared.
[01:49:24.100 --> 01:49:27.100]  But the reason I had you here was the COVID numbers being up.
[01:49:27.100 --> 01:49:28.100]  Look at these headlines.
[01:49:29.100 --> 01:49:31.100]  Two weeks to slow the spread.
[01:49:31.100 --> 01:49:36.100]  Colleges all over the country say you must wear a mask now, but only two weeks.
[01:49:36.100 --> 01:49:37.100]  You know it's never two weeks.
[01:49:37.100 --> 01:49:39.100]  Using the same propaganda.
[01:49:39.100 --> 01:49:41.100]  COVID mandates return to Hollywood.
[01:49:41.100 --> 01:49:44.100]  Lionsgate requires employees to mask up, submit to daily testing.
[01:49:44.100 --> 01:49:46.100]  Now hotels are announcing it everywhere.
[01:49:46.100 --> 01:49:48.100]  Grocery stores are announcing it everywhere.
[01:49:48.100 --> 01:49:51.100]  Just as callers called yesterday, it's been confirmed in the news.
[01:49:51.100 --> 01:49:55.100]  Atlanta College reinstates mask mandates for students, employees on campus.
[01:49:55.100 --> 01:49:58.100]  It's all being confirmed right now.
[01:49:58.100 --> 01:50:00.100]  Alex Jones was right, says Cernovich.
[01:50:00.100 --> 01:50:08.100]  Record PPE, emergency COVID buying of COVID supplies by the Biden administration.
[01:50:08.100 --> 01:50:10.100]  This is a big deal.
[01:50:10.100 --> 01:50:12.100]  They are doing it right now.
[01:50:12.100 --> 01:50:18.100]  So DrStellaEmmanuel, knowing what you know, and the listeners are really tuned in right now,
[01:50:18.100 --> 01:50:23.100]  record audiences right now, biggest audiences you've had since 2016,
[01:50:23.100 --> 01:50:25.100]  people really get what's going on.
[01:50:25.100 --> 01:50:30.100]  The fact that we broke this Friday morning, and then it was all over the news by the evening.
[01:50:30.100 --> 01:50:33.100]  We caught them right before their new fear rollout.
[01:50:33.100 --> 01:50:34.100]  They want people in fear.
[01:50:34.100 --> 01:50:35.100]  They don't want them prepared.
[01:50:35.100 --> 01:50:38.100]  What are you expecting to see, and how do we counter this?
[01:50:38.100 --> 01:50:44.100]  I think the first thing people have to realize is that COVID is completely treatable and completely preventable.
[01:50:44.100 --> 01:50:46.100]  I mean, completely.
[01:50:46.100 --> 01:50:50.100]  You don't have to be afraid because you can catch COVID.
[01:50:50.100 --> 01:50:52.100]  Number two, mask.
[01:50:52.100 --> 01:50:56.100]  All these diapers they wear on our faces, masks don't work.
[01:50:56.100 --> 01:51:02.100]  Putting on a mask to filter COVID is like putting on a chain-link fence to filter a mosquito.
[01:51:02.100 --> 01:51:03.100]  It does not work.
[01:51:03.100 --> 01:51:04.100]  So wake up.
[01:51:04.100 --> 01:51:07.100]  Don't let them mask you, social distancing, all that stuff.
[01:51:07.100 --> 01:51:08.100]  It doesn't work.
[01:51:08.100 --> 01:51:09.100]  It's fear-mongering.
[01:51:09.100 --> 01:51:13.100]  I always say masks are like a mind-control device.
[01:51:13.100 --> 01:51:14.100]  It really just doesn't work.
[01:51:14.100 --> 01:51:16.100]  It just keeps people in fear.
[01:51:16.100 --> 01:51:18.100]  I want to tell people, get ready.
[01:51:18.100 --> 01:51:19.100]  Go to your doctor.
[01:51:19.100 --> 01:51:20.100]  I don't care.
[01:51:20.100 --> 01:51:21.100]  Fly to Mexico, whatever.
[01:51:21.100 --> 01:51:24.100]  Get hydroxychloroquine and ivermectin in your medicine cabinet.
[01:51:24.100 --> 01:51:28.100]  If you go on our website, drsterramd.com, we have doctors in all 50 states.
[01:51:28.100 --> 01:51:30.100]  Pharmacists will ship it to your house.
[01:51:30.100 --> 01:51:32.100]  COVID is better treated early.
[01:51:32.100 --> 01:51:37.100]  So get this early before it gets crazy, before you get sick.
[01:51:37.100 --> 01:51:40.100]  People are calling me to come and take them out of the hospital.
[01:51:40.100 --> 01:51:47.100]  I mean, it's heartbreaking when you're calling me when you're too sick, and then it takes a few days for us to ship the medicine to you.
[01:51:47.100 --> 01:51:48.100]  But be prepared now.
[01:51:48.100 --> 01:51:51.100]  I'm glad that people are hearing and people are getting prepared.
[01:51:51.100 --> 01:51:55.100]  Go to drsterramd.com, get hydroxychloroquine, get ivermectin in your medicine cabinet.
[01:51:55.100 --> 01:51:59.100]  Like I said, if you use promo code Alex, you get a little discount to help out.
[01:51:59.100 --> 01:52:02.100]  But right now, we want you to take action now.
[01:52:02.100 --> 01:52:04.100]  Don't wait until you get sick.
[01:52:04.100 --> 01:52:10.100]  The second thing that we want you to take action on is vitamin C, D, zinc, and quercetin.
[01:52:10.100 --> 01:52:15.100]  We have it in COVIDVITES on our website, on our marketplace, but you can get it anywhere.
[01:52:15.100 --> 01:52:18.100]  Vitamin C, vitamin D.
[01:52:18.100 --> 01:52:24.100]  The reason why a lot of viruses affect people during the winter is lack of vitamin D.
[01:52:24.100 --> 01:52:27.100]  So we have it in vitamin C, D, zinc, and quercetin.
[01:52:27.100 --> 01:52:33.100]  Zinc can kill viruses, but the issue is zinc doesn't know how to get into the cell.
[01:52:33.100 --> 01:52:42.100]  So when you take zinc and quercetin, it opens the zinc channels, then zinc goes into the cell and kills the virus.
[01:52:42.100 --> 01:52:45.100]  So I advise everybody to be on daily vitamin C, D, zinc, and quercetin.
[01:52:45.100 --> 01:52:47.100]  We have it in COVIDVITES.
[01:52:47.100 --> 01:52:48.100]  You can see it on our marketplace.
[01:52:48.100 --> 01:52:50.100]  You can get it there, or you can get it anywhere.
[01:52:50.100 --> 01:52:52.100]  I just want you to get it.
[01:52:52.100 --> 01:52:55.100]  Take daily quercetin, zinc, and that will keep you.
[01:52:55.100 --> 01:52:58.100]  But you do have ivermectin, and what else do you recommend people get?
[01:52:58.100 --> 01:53:00.100]  So we want them to get ivermectin and hydroxychloroquine.
[01:53:00.100 --> 01:53:02.100]  That is a telemedicine appointment.
[01:53:02.100 --> 01:53:03.100]  You can't buy it.
[01:53:03.100 --> 01:53:05.100]  I can't sell it to you.
[01:53:05.100 --> 01:53:08.100]  You have to go on our website, make a telehealth appointment.
[01:53:08.100 --> 01:53:09.100]  It's prescription.
[01:53:09.100 --> 01:53:11.100]  We're going to look at your data.
[01:53:11.100 --> 01:53:12.100]  Look at what you're going through.
[01:53:12.100 --> 01:53:16.100]  Look at all your allergies and everything.
[01:53:16.100 --> 01:53:18.100]  And that is an individualized.
[01:53:18.100 --> 01:53:19.100]  We do telemedicine.
[01:53:19.100 --> 01:53:20.100]  And again, this is symbiotic.
[01:53:20.100 --> 01:53:21.100]  You're bold.
[01:53:21.100 --> 01:53:22.100]  You're great.
[01:53:22.100 --> 01:53:24.100]  You've got great things to protect people.
[01:53:24.100 --> 01:53:27.100]  It keeps our show in the air, and then people stay safe and stay healthy.
[01:53:27.100 --> 01:53:29.100]  This is a win-win, folks.
[01:53:29.100 --> 01:53:39.100]  The only way you fail, if you are insane, if you don't go to DrStellaMD.com and get what she's saying, it keeps us on air, plus it keeps you safe.
[01:53:40.100 --> 01:53:49.100]  And again, the FDA had to come out and admit, okay, now you can prescribe hydroxychloroquine or ivermectin.
[01:53:49.100 --> 01:53:52.100]  They already knew this.
[01:53:52.100 --> 01:53:55.100]  Fauci, as you know, did studies decades ago admitting this.
[01:53:55.100 --> 01:53:56.100]  They've known this the whole time.
[01:53:56.100 --> 01:53:57.100]  Talk about that.
[01:53:57.100 --> 01:53:59.100]  In 2005, there was a study.
[01:53:59.100 --> 01:54:01.100]  In fact, it's on my Twitter right now.
[01:54:01.100 --> 01:54:02.100]  It's on my Twitter feed right now.
[01:54:02.100 --> 01:54:03.100]  I put that study.
[01:54:03.100 --> 01:54:04.100]  Tell us your Twitter.
[01:54:04.100 --> 01:54:05.100]  Yes.
[01:54:05.100 --> 01:54:07.100]  Stella underscore Emanuel.
[01:54:08.100 --> 01:54:10.100]  Show that, folks.
[01:54:10.100 --> 01:54:12.100]  Stella underscore Emanuel.
[01:54:12.100 --> 01:54:14.100]  That is where I learned.
[01:54:14.100 --> 01:54:17.100]  That's how I started using hydroxychloroquine and ivermectin.
[01:54:17.100 --> 01:54:25.100]  It was actually an article that was done, a study that was done under Anthony Fauci in 2005 that said chloroquine is a potent inhibitor of SARS-CoV-1.
[01:54:25.100 --> 01:54:28.100]  And it's not about credit, but was it Zelenko or you?
[01:54:28.100 --> 01:54:33.100]  Because I hear both of you are credited as the first people saying hydroxychloroquine and ivermectin.
[01:54:33.100 --> 01:54:34.100]  It's not about credit, but who was first?
[01:54:34.100 --> 01:54:36.100]  I actually did not even know about Zelenko.
[01:54:36.100 --> 01:54:41.100]  I heard about it from a pharmacist that said they are using it in…
[01:54:41.100 --> 01:54:42.100]  Your press conference.
[01:54:42.100 --> 01:54:43.100]  This was early on.
[01:54:43.100 --> 01:54:44.100]  No, no.
[01:54:44.100 --> 01:54:45.100]  This was like March.
[01:54:45.100 --> 01:54:51.100]  We started using hydroxychloroquine in March because, you know, I have patients that were from Asia and everything.
[01:54:51.100 --> 01:54:58.100]  I was about to say Africa, and I'll bring it up because you're African, but Africa is obsessed with these things.
[01:54:58.100 --> 01:55:04.100]  It's actually, we grew up taking hydroxychloroquine and other things, Sunday medicine for prevention.
[01:55:04.100 --> 01:55:10.100]  I tell people because I grew up in a malaria endemic zone where we took malaria medicine Sunday, Sunday medicine.
[01:55:10.100 --> 01:55:11.100]  I've always been on Sunday, Sunday medicine.
[01:55:11.100 --> 01:55:13.100]  I take hydroxychloroquine weekly.
[01:55:13.100 --> 01:55:14.100]  I've not been sick.
[01:55:14.100 --> 01:55:16.100]  So you went to church and they gave it to you?
[01:55:16.100 --> 01:55:17.100]  To Sunday, Sunday?
[01:55:17.100 --> 01:55:19.100]  We call it Sunday, Sunday medicine.
[01:55:19.100 --> 01:55:22.100]  That means you can do Wednesday, Wednesday or Tuesday, Tuesday.
[01:55:22.100 --> 01:55:25.100]  That means we have a lot of people that…
[01:55:25.100 --> 01:55:28.100]  What's more powerful, ivermectin or hydroxychloroquine or both?
[01:55:28.100 --> 01:55:29.100]  They are both good.
[01:55:29.100 --> 01:55:30.100]  They work in different ways.
[01:55:31.100 --> 01:55:32.100]  Some people like ivermectin.
[01:55:32.100 --> 01:55:34.100]  Some people like hydroxychloroquine.
[01:55:34.100 --> 01:55:36.100]  But when people are sick, we give them both.
[01:55:36.100 --> 01:55:40.100]  We give them that and we give them budesonide and we give them Z-Pak and, you know…
[01:55:40.100 --> 01:55:42.100]  Oh, my dad was going to die.
[01:55:42.100 --> 01:55:43.100]  So was Rob Dew.
[01:55:43.100 --> 01:55:44.100]  We got Dr. Bartlett at the time.
[01:55:44.100 --> 01:55:45.100]  Yes.
[01:55:45.100 --> 01:55:50.100]  I don't know who you were, but he worked around the clock, and my dad literally had like 85% oxygen.
[01:55:50.100 --> 01:55:51.100]  He bounced back.
[01:55:51.100 --> 01:55:53.100]  In hours, it started going back up.
[01:55:53.100 --> 01:55:54.100]  Yes.
[01:55:54.100 --> 01:55:55.100]  Same thing with Rob Dew.
[01:55:55.100 --> 01:56:00.100]  We do budesonide and we do hydroxychloroquine, ivermectin and Z-Pak when people are sick.
[01:56:00.100 --> 01:56:01.100]  You know what I'm saying?
[01:56:01.100 --> 01:56:02.100]  And a few other things.
[01:56:02.100 --> 01:56:08.100]  But on the prevention level, we put people on weekly ivermectin or weekly hydroxychloroquine
[01:56:08.100 --> 01:56:11.100]  and daily Covivite, vitamin C, D, zinc and quercetin.
[01:56:11.100 --> 01:56:12.100]  All right.
[01:56:12.100 --> 01:56:14.100]  So people go to DrStellaMD.com.
[01:56:14.100 --> 01:56:17.100]  Use promo code Alex to get 5% to 10% discount depending on the product.
[01:56:17.100 --> 01:56:19.100]  And we're going to go to Bright Comeback Cover News.
[01:56:19.100 --> 01:56:22.100]  But what are the products you would recommend people stockpile?
[01:56:22.100 --> 01:56:25.100]  I want people to stockpile Covivite and NAC.
[01:56:25.100 --> 01:56:27.100]  You know N-acetylcysteine?
[01:56:27.100 --> 01:56:28.100]  It helps break loose.
[01:56:28.100 --> 01:56:29.100]  It's antioxidant.
[01:56:29.100 --> 01:56:30.100]  It helps break loose the cold.
[01:56:30.100 --> 01:56:32.100]  So we have like Covivite and NAC.
[01:56:32.100 --> 01:56:37.100]  You can get like 6-month supply, 3-month supply and take it daily because the Covivite has
[01:56:37.100 --> 01:56:39.100]  vitamin C, D, zinc and quercetin.
[01:56:39.100 --> 01:56:40.100]  That will keep you safe.
[01:56:40.100 --> 01:56:42.100]  It will stop you from catching COVID.
[01:56:42.100 --> 01:56:46.100]  It will help you and build your immunity against COVID.
[01:56:46.100 --> 01:56:50.100]  Let me not say it will stop you because it will help to build your immunity against not
[01:56:50.100 --> 01:56:52.100]  just COVID but all RNA viruses.
[01:56:52.100 --> 01:56:55.100]  I'm talking about flu, RSV, bird flu or whatever else.
[01:56:55.100 --> 01:56:56.100]  It will stop you from.
[01:56:56.100 --> 01:56:58.100]  So there's two groups of things.
[01:56:58.100 --> 01:57:01.100]  There's the stuff they can get over the counter from you right now but they can also sign
[01:57:01.100 --> 01:57:05.100]  up for a quick telemedicine meeting and get the ivermectin and the hydroxychloroquine.
[01:57:05.100 --> 01:57:06.100]  Hydroxychloroquine, yes.
[01:57:06.100 --> 01:57:07.100]  All right.
[01:57:07.100 --> 01:57:08.100]  So people go to DrStellaMD.com.
[01:57:08.100 --> 01:57:09.100]  Use promo code Alex.
[01:57:09.100 --> 01:57:13.100]  And again, I had you coming in here just to talk about the increased COVID numbers but
[01:57:13.100 --> 01:57:15.100]  it's the perfect time to have you here.
[01:57:15.100 --> 01:57:16.100]  Yes.
[01:57:16.100 --> 01:57:21.100]  And you know, I tell people you can't fight this battle when you can't breathe.
[01:57:21.100 --> 01:57:23.100]  So don't wait.
[01:57:23.100 --> 01:57:24.100]  I'm screaming.
[01:57:24.100 --> 01:57:25.100]  I've been screaming on the rooftop.
[01:57:25.100 --> 01:57:26.100]  Please don't wait.
[01:57:26.100 --> 01:57:27.100]  Well, that's what they do.
[01:57:27.100 --> 01:57:28.100]  They send people home to make them sicker.
[01:57:28.100 --> 01:57:30.100]  Don't wait till you get sick.
[01:57:30.100 --> 01:57:33.100]  Just do it now so that you're safe and you can fight.
[01:57:33.100 --> 01:57:35.100]  Now, can they go to DrStellaMD.com?
[01:57:35.100 --> 01:57:36.100]  Yes.
[01:57:36.100 --> 01:57:37.100]  And it's right there for the telemedicine number?
[01:57:37.100 --> 01:57:38.100]  Yeah.
[01:57:38.100 --> 01:57:39.100]  No, they'll go.
[01:57:39.100 --> 01:57:40.100]  When they get there, they'll make a telemedicine appointment.
[01:57:40.100 --> 01:57:41.100]  A doctor will call.
[01:57:41.100 --> 01:57:43.100]  Our nurses will call them, triage them.
[01:57:43.100 --> 01:57:44.100]  A doctor will read them.
[01:57:44.100 --> 01:57:45.100]  All right.
[01:57:45.100 --> 01:57:46.100]  We'll be right back.
[01:57:46.100 --> 01:57:47.100]  Stay there.
[01:57:47.100 --> 01:57:47.600]  Yes.
[01:57:46.390 --> 01:57:55.390]  Coffee has not been available at InfoWarsTore.com for two years because the price went up too high and the quality was starting to go down.
[01:57:55.390 --> 01:57:59.390]  I turned out so many other producers that wanted to partner with us.
[01:57:59.390 --> 01:58:03.390]  But when the folks at Minuteman came to me a year ago and I began to try their coffees, I was blown away.
[01:58:03.390 --> 01:58:09.390]  We finally have three great coffees that are the best they have to offer available to you right now.
[01:58:09.390 --> 01:58:15.390]  This is the best coffee I've ever tasted, it smells amazing, and it's some of the strongest coffee I've ever drank.
[01:58:15.390 --> 01:58:22.390]  Ladies and gentlemen, these three single-source Colombian coffees are now available at InfoWarsTore.com exclusively.
[01:58:22.390 --> 01:58:28.390]  Escape the Prison Planet Light Roast. Tastes great, it's the strong one, really strong.
[01:58:28.390 --> 01:58:34.390]  But these are all close second and thirds. Medium Roast, Wake of America, whoo, that's my go-to.
[01:58:34.390 --> 01:58:39.390]  Dark Roast, tip of the spear, tastes the best and is amazing and is still very, very strong, gives you that pep.
[01:58:40.390 --> 01:58:44.390]  They're all three available at InfoWarsTore.com and they fund our operation.
[01:58:44.390 --> 01:58:48.390]  And each order gets a Pocket Constitution Citizen Rulebook.
[01:58:48.390 --> 01:58:56.390]  I beg you to think about how important your word of mouth is and you sharing the articles and sharing the videos
[01:58:56.390 --> 01:59:01.390]  and telling people get the forbidden truth you're not supposed to find at InfoWars.com forward slash show
[01:59:01.390 --> 01:59:05.390]  and getting products at InfoWarsTore.com.
[01:59:05.390 --> 01:59:09.390]  We've got three amazing products in stock, ready to ship, sold out for almost six months.
[01:59:09.390 --> 01:59:12.390]  Vitamin Mineral Fusion, so incredible, so good for your whole body.
[01:59:12.390 --> 01:59:17.390]  A one-stop shop for everything you need for vitamins, minerals, the key amino acids for your immune system and more.
[01:59:17.390 --> 01:59:19.390]  Back in stock, discounted.
[01:59:19.390 --> 01:59:23.390]  Silver Bullet, 30 parts per million from the top lab in the country, probably by us.
[01:59:23.390 --> 01:59:25.390]  Discounted. InfoWarsTore.com.
[01:59:25.390 --> 01:59:28.390]  Nitric Boost to clean out your blood and make you healthier.
[01:59:28.390 --> 01:59:32.390]  It's in stock. Rave reviews. Top doctors say it's amazing.
[01:59:32.390 --> 01:59:35.390]  InfoWarsTore.com and that keeps us on air.
[01:59:35.390 --> 01:59:37.390]  Thank you so much for your support.
[01:59:37.390 --> 01:59:42.390]  Spread the word, pray for the broadcast and go now to InfoWarsTore.com
[01:59:42.390 --> 01:59:45.390]  and get great products that keep the tip of the spear in the fight.
[01:59:48.980 --> 01:59:54.980]  Leading a frontal assault on the lies of the New World Order.
[01:59:54.980 --> 01:59:56.980]  It's Alex Jones.
[01:59:58.980 --> 02:00:01.980]  This is an emergency transmission from deep in the heart of Texas,
[02:00:01.980 --> 02:00:04.980]  the U.S. resistance against a global corporate combine,
[02:00:04.980 --> 02:00:06.980]  empowered and funded by Communist China,
[02:00:06.980 --> 02:00:10.980]  allied with the big megabanks that set up Communist China in 1949.
[02:00:10.980 --> 02:00:14.980]  The Communist Chinese have taken control of U.S. telecommunications infrastructure.
[02:00:14.980 --> 02:00:16.980]  The Communist Chinese have taken control of Hollywood.
[02:00:16.980 --> 02:00:18.980]  The Communist Chinese have taken control of the main universities.
[02:00:18.980 --> 02:00:21.980]  This is all confirmed. This is not a drill.
[02:00:21.980 --> 02:00:25.980]  Big Tech in Silicon Valley is almost completely run by the Communist Chinese government.
[02:00:25.980 --> 02:00:28.980]  They've officially become state-run, Apple 100%.
[02:00:28.980 --> 02:00:33.980]  Google is now making the transition and announcing a merger in total worldwide censorship.
[02:00:33.980 --> 02:00:36.980]  They are now beta testing using me as the straw man,
[02:00:36.980 --> 02:00:38.980]  a demonized version of Alex Jones, to do that.
[02:00:38.980 --> 02:00:39.980]  This is happening.
[02:00:39.980 --> 02:00:44.980]  This is not like the other probes before that were meant to get you used to probes and censorship,
[02:00:44.980 --> 02:00:47.980]  thinking you would adapt to censorship by just putting up with it.
[02:00:47.980 --> 02:00:53.980]  Now this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[02:00:53.980 --> 02:00:58.980]  This is a titrated dose, reverse psychological warfare operation
[02:00:58.980 --> 02:01:02.980]  using adapt and overcome, subversion, paradigm manipulation.
[02:01:02.980 --> 02:01:06.980]  In layman's terms, they are manipulating the fact that we adapt to being oppressed.
[02:01:06.980 --> 02:01:10.980]  We adapt to being oppressed with the low dosages of oppression.
[02:01:10.980 --> 02:01:13.980]  Now when the megaton hits us of the total takeover,
[02:01:13.980 --> 02:01:17.980]  we try to adapt to the poison infusion instead of not knowing.
[02:01:17.980 --> 02:01:20.980]  It's a lethal dose if we accept the dose.
[02:01:20.980 --> 02:01:25.980]  Total Internet of Things integration, global social score, complete command and control system.
[02:01:25.980 --> 02:01:30.980]  It is the virtual reality AI weapon system now attacking the United States
[02:01:30.980 --> 02:01:35.980]  with traitors inside the major security agencies, blocking Trump's resistance of the program
[02:01:35.980 --> 02:01:41.980]  and attempting to stop us from removing the tentacles of the Chai Com slash Big Tech banking combine emergency situation.
[02:01:41.980 --> 02:01:44.980]  I have been chosen for destruction because I brought you this information
[02:01:44.980 --> 02:01:47.980]  and have been battering, ramming it out as much as I can.
[02:01:47.980 --> 02:01:53.980]  They want to double use me as they always do in any complex system of mathematical deception
[02:01:53.980 --> 02:01:56.980]  where every angle of my good is turned against us.
[02:01:56.980 --> 02:02:01.980]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[02:02:02.980 --> 02:02:05.980]  I'm a person that cares about life and children and is against these wars.
[02:02:05.980 --> 02:02:07.980]  And so they make me a herder of children.
[02:02:07.980 --> 02:02:11.980]  And then they build me into this lie to then set the distraction
[02:02:11.980 --> 02:02:15.980]  while they're actually censoring all of you to make a debate about Alex Jones.
[02:02:15.980 --> 02:02:22.980]  So even if I didn't sell out to them, they now use me as an archetype to serve them by being the main distraction.
[02:02:22.980 --> 02:02:28.980]  I have now been captured by the enemy in the information warfare fulcrum and it's being used against you.
[02:02:28.980 --> 02:02:33.980]  Only your full understanding of this key will break you free from this paradigm.
[02:02:33.980 --> 02:02:35.980]  I have given you the transmission.
[02:02:35.980 --> 02:02:37.980]  Now break free.
[02:02:40.980 --> 02:02:43.980]  I have sworn upon the altar of God,
[02:02:43.980 --> 02:02:49.980]  eternal hostility against every form of tyranny over the mind of man.
[02:02:49.980 --> 02:02:51.980]  Thomas Jefferson
[02:02:52.980 --> 02:02:56.980]  If you are receiving this transmission, you are the resistance.
[02:02:59.980 --> 02:03:04.980]  In the beginning, God created the heaven and the earth.
[02:03:04.980 --> 02:03:08.980]  And the earth was without form and void.
[02:03:08.980 --> 02:03:11.980]  And darkness was upon the face of the deep.
[02:03:11.980 --> 02:03:15.980]  And the spirit of God moved upon the face of the water.
[02:03:15.980 --> 02:03:19.980]  And God said, let there be light.
[02:03:19.980 --> 02:03:21.980]  And there was light.
[02:03:21.980 --> 02:03:23.980]  And God saw the light.
[02:03:23.980 --> 02:03:25.980]  And there was good.
[02:03:25.980 --> 02:03:27.980]  And divided the light from the darkness.
[02:03:29.980 --> 02:03:31.980]  Tell everyone you know, tune in now.
[02:03:31.980 --> 02:03:33.980]  And God called the light day.
[02:03:33.980 --> 02:03:35.980]  And the darkness he called night.
[02:03:35.980 --> 02:03:37.980]  We can override them.
[02:03:37.980 --> 02:03:39.980]  And the morning was the first day.
[02:03:39.980 --> 02:03:40.980]  Share the clips now.
[02:03:40.980 --> 02:03:42.980]  And God said, let there be a promise in the name of the Lord.
[02:03:42.980 --> 02:03:43.980]  Share the links now.
[02:03:43.980 --> 02:03:45.980]  And let it divide the waters.
[02:03:45.980 --> 02:03:47.980]  Human intelligence can overpower their satanic AI.
[02:03:47.980 --> 02:03:49.980]  And God made the promise.
[02:03:49.980 --> 02:03:52.980]  And divided the waters which were under the promise.
[02:03:52.980 --> 02:03:54.980]  And divided the waters which were above the promise.
[02:03:54.980 --> 02:03:56.980]  And it was so.
[02:03:56.980 --> 02:03:58.980]  And God called the firmament.
[02:03:58.980 --> 02:04:02.980]  And the evening and the morning was the second day.
[02:04:02.980 --> 02:04:08.980]  And God said, let the waters of the heavens be gathered together into one place.
[02:04:08.980 --> 02:04:10.980]  And let the dry land appear.
[02:04:10.980 --> 02:04:12.980]  And it was so.
[02:04:12.980 --> 02:04:14.980]  And God called the dry land earth.
[02:04:14.980 --> 02:04:18.980]  And the gathering together of the waters called east sea.
[02:04:18.980 --> 02:04:21.980]  And God saw that it was good.
[02:04:22.980 --> 02:04:24.980]  And from the crew of Apollo 8.
[02:04:24.980 --> 02:04:26.980]  We close with good night.
[02:04:26.980 --> 02:04:28.980]  Good luck.
[02:04:28.980 --> 02:04:30.980]  A merry Christmas.
[02:04:30.980 --> 02:04:32.980]  And God bless all of you.
[02:04:32.980 --> 02:04:34.980]  All of you on the good earth.
[02:04:38.980 --> 02:04:39.980]  We're live now.
[02:04:39.980 --> 02:04:41.980]  We're fighting the next rollout of tyranny.
[02:04:41.980 --> 02:04:43.980]  The next COVID fraud.
[02:04:43.980 --> 02:04:44.980]  Join us now.
[02:04:44.980 --> 02:04:45.980]  Spread the word now.
[02:04:45.980 --> 02:04:46.980]  Back in 60 seconds live.
[02:04:46.980 --> 02:04:47.980]  Spread the word now.
[02:04:47.980 --> 02:04:48.980]  By text message.
[02:04:48.980 --> 02:04:49.980]  Word of mouth.
[02:04:49.980 --> 02:04:50.980]  Do it now.
[02:04:50.980 --> 02:04:51.980]  You are unstoppable.
[02:04:51.980 --> 02:04:52.980]  Do it now.
[02:04:52.980 --> 02:04:53.980]  Don't lay down and die.
[02:04:57.980 --> 02:05:00.980]  A lot of listeners have complained in the last two years.
[02:05:00.980 --> 02:05:03.980]  That our amazing high quality coffee has not been available.
[02:05:03.980 --> 02:05:06.980]  And that's because the prices went up too high for the raw beans.
[02:05:06.980 --> 02:05:08.980]  And the quality had gone down some.
[02:05:08.980 --> 02:05:11.980]  I turned down so many companies that wanted to work with us.
[02:05:11.980 --> 02:05:14.980]  But now we have brought back the coffee.
[02:05:14.980 --> 02:05:17.980]  And it's even better from a national supplier.
[02:05:17.980 --> 02:05:20.980]  That's veteran owned and veteran operated.
[02:05:20.980 --> 02:05:22.980]  It's powered by the company.
[02:05:22.980 --> 02:05:24.980]  Minute man coffee.
[02:05:24.980 --> 02:05:25.980]  Ladies and gentlemen.
[02:05:25.980 --> 02:05:27.980]  This is the best tasting.
[02:05:27.980 --> 02:05:28.980]  Best smelling.
[02:05:28.980 --> 02:05:30.980]  Strongest coffee.
[02:05:30.980 --> 02:05:32.980]  That I have ever drank.
[02:05:32.980 --> 02:05:34.980]  It is game changing.
[02:05:34.980 --> 02:05:36.980]  All you got to do is buy a bag of it.
[02:05:36.980 --> 02:05:37.980]  And try it.
[02:05:37.980 --> 02:05:38.980]  I know you're going to be hooked.
[02:05:38.980 --> 02:05:40.980]  Which will let funder operation a 360 win.
[02:05:40.980 --> 02:05:42.980]  Go to infowarsstore.com right now.
