[00:00:00.209 --> 00:00:01.770]  What you're witnessing?
[00:45:18.299 --> 00:45:24.561]  There's still some folks in the SWAT uniforms, a lot of sheriffs and a lot of state police, and not a kid to be seen.
[00:45:24.561 --> 00:45:31.603]  A few folks down here videotaping, some folks wandering around the drill field, but that's about it.
[00:45:31.603 --> 00:45:32.303]  It is pretty much
[00:45:34.616 --> 00:45:38.998]  That school is a giant black op, and it's at a 50% chance or higher.
[00:45:38.998 --> 00:45:41.199]  Everybody's got to get their children out of there now.
[00:45:41.199 --> 00:45:43.060]  Go ahead.
[00:45:43.060 --> 00:45:56.148]  Well, it looks like they still may be treating some people over at the local rescue squad, which just happened to be a half a block away.
[00:45:56.148 --> 00:45:58.809]  But as far as I can tell, they're allowing people.
[00:45:58.809 --> 00:46:01.390]  I'm going to try and get up as close as I can here.
[00:46:01.390 --> 00:46:02.351]  What is a half block away?
[00:46:03.417 --> 00:46:05.381]  Uh, the rescue squad.
[00:46:05.381 --> 00:46:10.188]  No, they just hollered at me and said, get out of here.
[00:46:10.188 --> 00:46:10.749]  Well, you know what?
[00:46:10.749 --> 00:46:11.731]  You're a reporter.
[00:46:11.731 --> 00:46:14.896]  Tell them you're a reporter with GCN Radio.
[00:46:14.896 --> 00:46:16.018]  It's far enough away.
[00:46:16.018 --> 00:46:16.819]  They're leaving me alone.
[00:46:16.819 --> 00:46:17.861]  I'm close enough.
[00:46:18.334 --> 00:46:21.055]  I was a little bit, getting a little bit too close there.
[00:46:21.055 --> 00:46:23.415]  Can you go over by the triage center?
[00:46:23.415 --> 00:46:26.396]  Now, now, now, are they bivouacked in an area?
[00:46:26.396 --> 00:46:27.916]  Uh, bringing in the dead and wounded?
[00:46:27.916 --> 00:46:31.397]  Or, or, or, uh, you say, uh, the rescues?
[00:46:31.397 --> 00:46:32.598]  They've gotten most of them out of there.
[00:46:32.598 --> 00:46:37.359]  We, I've got, uh, some pictures of them bringing some dead in where they were covering them, covering them up with sheets.
[00:46:37.979 --> 00:46:41.042]  Uh, they loaded a bunch of people up on a bus, a city transit bus.
[00:46:41.042 --> 00:46:41.803]  You got pictures.
[00:46:41.803 --> 00:46:43.185]  Can you email those to Aaron?
[00:46:43.185 --> 00:46:43.605]  I did.
[00:46:43.605 --> 00:46:45.367]  I did email some of the pictures that I have.
[00:46:45.367 --> 00:46:51.153]  I believe that some of those are included, and anything that I don't, as soon as I get done with this, I will email you guys.
[00:46:51.153 --> 00:46:52.554]  What address did you email them to?
[00:46:53.602 --> 00:46:55.623]  Aaron and, uh, Kevin.
[00:46:55.623 --> 00:46:56.604]  That's fine.
[00:46:56.604 --> 00:46:57.844]  Aaron's the place to send it.
[00:46:57.844 --> 00:47:00.025]  Aaroninfowars.com.
[00:47:00.025 --> 00:47:02.146]  Uh, Kevin doesn't work here anymore.
[00:47:02.146 --> 00:47:07.949]  So, that is, that is very, very important and I really do appreciate, uh, what you're doing, my friend.
[00:47:07.949 --> 00:47:09.870]  You're just doing a fabulous job.
[00:47:09.870 --> 00:47:10.851]  No problem at all.
[00:47:10.851 --> 00:47:13.292]  I can't believe this happened in my backyard.
[00:47:13.292 --> 00:47:19.875]  Well, it's, it's, uh, now, uh, again, it's kind of a rectangle-shaped building.
[00:47:19.875 --> 00:47:21.616]  Where are you right now?
[00:47:21.616 --> 00:47:22.917]  I'm directly in front of it.
[00:47:23.963 --> 00:47:25.423]  Okay, what do you see window-wise?
[00:47:25.423 --> 00:47:27.064]  Do you see any bullet damage?
[00:47:27.064 --> 00:47:29.024]  How many windows are shot out?
[00:47:29.024 --> 00:47:31.844]  Doesn't look like any.
[00:47:31.844 --> 00:47:39.646]  I can see some open windows, but as far as... Oh, I do see something that looks like it's been shot out, or at least holes in it.
[00:47:39.646 --> 00:47:41.226]  Sorry, it's pretty windy out here, Alex.
[00:47:41.226 --> 00:47:43.066]  Okay, are you able to get a photo of that?
[00:47:43.066 --> 00:47:44.127]  Are you using a digital camera?
[00:47:44.127 --> 00:47:44.747]  No, I don't.
[00:47:44.747 --> 00:47:48.187]  I do not have my camera on me, but I'm going to... I'm charging my video camera right now.
[00:47:48.187 --> 00:47:49.407]  I'm coming back down here.
[00:47:49.407 --> 00:47:51.508]  Oh, I'm getting... I can't go that way either.
[00:47:53.138 --> 00:48:00.385]  I've got some friends down here who are videotaping too and I'm going to get a copy of that and post all that stuff on my website and I'll be sure and send you guys a link.
[00:48:00.385 --> 00:48:02.828]  Yeah, tell us your website.
[00:48:02.828 --> 00:48:06.992]  TheTruthMovement.net Oh, I know your site well!
[00:48:06.992 --> 00:48:08.293]  Yeah, right on.
[00:48:08.293 --> 00:48:09.234]  We've talked before.
[00:48:09.234 --> 00:48:10.856]  Wow, what a small world.
[00:48:10.856 --> 00:48:12.678]  I know, it's crazy how it all works, isn't it?
[00:48:14.085 --> 00:48:15.667]  Uh, yes, I'm directly in front of the chapel.
[00:48:15.667 --> 00:48:18.269]  I'm standing here in front of a sheriff who's looking at me.
[00:48:18.269 --> 00:48:20.411]  He's got his, it looks like an assault rifle.
[00:48:20.411 --> 00:48:22.372]  He is eyeballing me big time.
[00:48:22.372 --> 00:48:24.354]  Well, tell him you're a radio reporter.
[00:48:24.354 --> 00:48:27.176]  I'm far enough away to where I don't, I don't want to talk to him anyway.
[00:48:27.176 --> 00:48:29.899]  Uh, but, uh, I'm still close enough.
[00:48:29.899 --> 00:48:32.001]  I'm way closer than the local media.
[00:48:32.001 --> 00:48:33.482]  They're, they're way back there.
[00:48:33.482 --> 00:48:35.724]  Well, yeah, they've been trained how to cower and follow orders.
[00:48:37.228 --> 00:48:40.611]  Listen, listen, you need to get back immediately to your friends.
[00:48:40.611 --> 00:48:48.958]  You need as a group together to go down there and you say, we are with GCN Radio Network and just say it confidently.
[00:48:48.958 --> 00:48:51.420]  They give you orders, follow them, but just be confident.
[00:48:51.420 --> 00:48:53.081]  Smile at them.
[00:48:53.081 --> 00:48:57.545]  And not in a smart way, but just a nice little smile.
[00:48:57.545 --> 00:48:58.426]  That's how to handle it.
[00:48:58.426 --> 00:48:58.706]  Go get
[00:49:00.047 --> 00:49:01.488]  And I really appreciate you, man.
[00:49:01.488 --> 00:49:02.369]  We got Larry Pratt coming up.
[00:49:02.369 --> 00:49:03.650]  I want to get a few calls in.
[00:49:03.650 --> 00:49:13.917]  Anything else, any other observations you've made, and then I'd like you to go back and get your camera, even if it's got only 20 minutes, get back up there and get the video now before they're able to cover anything up.
[00:49:13.917 --> 00:49:14.477]  Yes, sir.
[00:49:14.477 --> 00:49:17.499]  I will do that right now, and I appreciate you taking me call.
[00:49:17.499 --> 00:49:17.639]  Sure.
[00:49:17.639 --> 00:49:18.140]  Well, hold on.
[00:49:18.140 --> 00:49:22.943]  As you're walking back, though, towards your house or apartment, is it a house or an apartment?
[00:49:23.772 --> 00:49:24.772]  Uh, it is a house.
[00:49:24.772 --> 00:49:42.639]  Okay, well as you're walking back to your house, just want to be accurate, keep giving us a report on basically any other things that come to mind, any other tidbits, anything you haven't told us about what's happened there locally with the previous shooting a few months ago and the drills and the new speakers they put in right in time for this national spectacle.
[00:49:42.639 --> 00:49:45.460]  Yeah, well they definitely did that and this is the first time that they've used them.
[00:49:46.231 --> 00:49:50.872]  And we're coming off of the hills of at least four bomb threats in the past week.
[00:49:50.872 --> 00:49:59.014]  And actually, I take that back, it's more, five or six, because there were multiple bomb threats today in the very area where this was going on.
[00:49:59.014 --> 00:50:06.975]  And it looks like there's a bunch of SWAT coming out of one of the side of the buildings right there, and they're walking off.
[00:50:06.975 --> 00:50:10.816]  And everybody, you can tell that everybody is much more relaxed now.
[00:50:11.917 --> 00:50:12.917]  I'm walking back to the house.
[00:50:12.917 --> 00:50:16.438]  I'm going to go get my video camera and grab some friends with some ditch cams.
[00:50:16.438 --> 00:50:18.379]  Now let me ask you a question.
[00:50:18.379 --> 00:50:19.519]  Let me ask you a question.
[00:50:19.519 --> 00:50:20.759]  Sure, sure.
[00:50:20.759 --> 00:50:23.280]  One last question.
[00:50:23.280 --> 00:50:25.741]  Look, I'm talking to a radio show, GCN.
[00:50:25.741 --> 00:50:30.642]  I'm a reporter for GCN and I'm just covering this.
[00:50:30.642 --> 00:50:35.223]  I'm walking back to my house, which is right there.
[00:50:35.223 --> 00:50:36.724]  Yes, sir.
[00:50:36.724 --> 00:50:39.345]  He said I should get to my house and stay in my house.
[00:50:41.332 --> 00:50:42.874]  Yeah, they just want to cover things up.
[00:50:42.874 --> 00:50:43.935]  Don't listen to that.
[00:50:43.935 --> 00:50:44.876]  You live there.
[00:50:44.876 --> 00:50:46.177]  You're with the press.
[00:50:46.177 --> 00:50:47.719]  They haven't cordoned anything yet.
[00:50:47.719 --> 00:50:51.043]  So get your cameras and get back over there and get some video.
[00:50:51.043 --> 00:50:54.326]  Alright, I will do that and I'll call you guys back if I get anything.
[00:50:54.326 --> 00:50:57.590]  Okay, the last question I had that I've forgotten about with that cop coming over.
[00:50:57.590 --> 00:50:59.032]  Let me try to bring it back up in memory.
[00:51:01.761 --> 00:51:03.302]  The drills?
[00:51:03.302 --> 00:51:04.823]  Well, we'll talk about the drills.
[00:51:04.823 --> 00:51:05.744]  That's always important.
[00:51:05.744 --> 00:51:07.045]  I use the drills as the cover.
[00:51:07.045 --> 00:51:08.906]  But that's why these are so dangerous, folks.
[00:51:08.906 --> 00:51:11.128]  I've always told you drills are the cover for this.
[00:51:11.128 --> 00:51:12.369]  Let's go back.
[00:51:12.369 --> 00:51:16.271]  Now, if you're having a lot of drills at your school or college, folks, it means you're a prime target.
[00:51:16.271 --> 00:51:17.952]  We've told you this many times.
[00:51:17.952 --> 00:51:21.235]  And again, we're not saying it's a black op, but in my gut, it's looking like that.
[00:51:21.235 --> 00:51:24.477]  And we know we usually call it right 95% of the time.
[00:51:24.477 --> 00:51:25.498]  I wish I was wrong.
[00:51:25.498 --> 00:51:26.659]  Now, go back.
[00:51:26.659 --> 00:51:27.599]  This started at 7.15 this morning.
[00:51:29.688 --> 00:51:39.420]  And it looks like that they didn't even announce until 11 central, noon your time, that it had basically been handled, like 12-15 your time, 7-15 to noon, is 3, 4, 5, 5 hours?
[00:51:39.420 --> 00:51:40.641]  This went on 5 hours?
[00:51:40.641 --> 00:51:41.803]  They couldn't stop?
[00:51:46.668 --> 00:51:50.210]  The loudspeaker is around 10 o'clock this morning.
[00:51:50.210 --> 00:51:51.530]  Maybe just after 10.
[00:51:51.530 --> 00:51:52.831]  That's a huge story!
[00:51:52.831 --> 00:51:54.332]  Headline!
[00:51:54.332 --> 00:52:01.335]  School didn't start warning loudspeakers for over 3 hours after shooting.
[00:52:01.335 --> 00:52:03.856]  Eyewitness didn't start the new warnings.
[00:52:03.856 --> 00:52:05.557]  This thing's a total... 3 hours?
[00:52:05.557 --> 00:52:05.797]  Be specific.
[00:52:05.797 --> 00:52:06.037]  Was it 10, 10-15, 10-30?
[00:52:12.604 --> 00:52:13.906]  15 to 10 or 15 after 10.
[00:52:13.906 --> 00:52:24.316]  It was coming into 10 o'clock because the first thing that I thought of when it happened was I'm going to call into the show and I looked at the clock and I knew it would be a few hours and it just got crazy.
[00:52:26.992 --> 00:52:30.056]  So, Dead Reckoning, we'll think back.
[00:52:30.056 --> 00:52:31.959]  We need to be specific about this.
[00:52:31.959 --> 00:52:33.180]  Think back to when you got up.
[00:52:33.180 --> 00:52:34.482]  Did you look at alarm clocks?
[00:52:34.482 --> 00:52:36.304]  Or what TV show were you watching?
[00:52:36.304 --> 00:52:40.390]  Or whose show was on?
[00:52:40.390 --> 00:52:41.371]  Give us a basic time.
[00:52:41.371 --> 00:52:45.116]  What time did you hear the Big Brother telescreen?
[00:52:46.929 --> 00:52:48.670]  Approximately around 10 o'clock.
[00:52:48.670 --> 00:52:51.631]  Now it could have been 9 30 or something like that.
[00:52:51.631 --> 00:52:54.192]  I will definitely be thinking I'm a little bit flustered from all this.
[00:52:54.192 --> 00:53:00.035]  Anyway, I'm going to go over in my mind and make sure, but I know it was not 7 o'clock.
[00:53:00.035 --> 00:53:00.695]  That's for sure.
[00:53:00.695 --> 00:53:04.197]  I'm thinking it was around approximately 10 o'clock.
[00:53:04.197 --> 00:53:08.398]  I think that they started the alarms when the second shooting started.
[00:53:08.398 --> 00:53:10.979]  So the guy got away from something from them.
[00:53:10.979 --> 00:53:11.620]  They didn't.
[00:53:11.620 --> 00:53:12.620]  They may have.
[00:53:12.620 --> 00:53:14.381]  They detained two people to
[00:53:15.200 --> 00:53:19.427]  Um, but I heard that they let one of them go and they're still holding one for questioning.
[00:53:19.427 --> 00:53:28.162]  And, uh, I think that they may have thought that they had it this morning or for whatever reason, they didn't, they, uh, they didn't sound the alarms.
[00:53:29.043 --> 00:53:31.084]  Or maybe not, just on my side of the campus.
[00:53:31.084 --> 00:53:32.685]  The first shooting was all the way across campus.
[00:53:32.685 --> 00:53:35.386]  Well, they should have, the media should have been announcing this.
[00:53:35.386 --> 00:53:41.429]  I mean, if somebody drops a stick of bubblegum on the ground, they'll shut down half the schools in Virginia or Texas.
[00:53:41.429 --> 00:53:48.372]  You know, if there's a killer on the loose or a convict on the loose, now, I mean, think about this, folks.
[00:53:48.912 --> 00:53:51.735]  At least, let's be conservative, two hours after 7-15.
[00:53:51.735 --> 00:53:54.357]  I mean, that's only 9-15.
[00:53:54.357 --> 00:53:55.338]  Let's be conservative.
[00:53:55.338 --> 00:53:59.622]  For at least two hours, they didn't use their news system.
[00:53:59.622 --> 00:54:01.004]  They didn't warn the media.
[00:54:01.004 --> 00:54:02.625]  They kept this thing real quiet.
[00:54:02.625 --> 00:54:07.610]  I'm telling you, this thing stinks like nothing I've ever smelled in the state of Denmark or Louisiana.
[00:54:08.582 --> 00:54:12.024]  Alex, I don't know if the media warned it because I was asleep at that time.
[00:54:12.024 --> 00:54:17.967]  I'll go home and I'll find out right now from their website as to what time it got reported this morning.
[00:54:17.967 --> 00:54:20.628]  I know the way this is a very small community here.
[00:54:20.628 --> 00:54:23.109]  This campus is exploding.
[00:54:23.109 --> 00:54:27.672]  We're just bursting at the seams with too many people in this little small town.
[00:54:27.672 --> 00:54:29.773]  And word travels fast.
[00:54:29.773 --> 00:54:31.954]  So I will go get the timeline down right now.
[00:54:31.954 --> 00:54:35.015]  I'll get my video camera charged up and I'll head back down there.
[00:54:35.015 --> 00:54:35.316]  All right.
[00:54:35.316 --> 00:54:37.957]  Call us back then in the next 20 minutes or so, my friend.
[00:54:38.507 --> 00:54:39.007]  All right.
[00:54:39.007 --> 00:54:39.847]  Good to talk to you, Alex.
[00:54:39.847 --> 00:54:40.447]  Thank you.
[00:54:40.447 --> 00:54:43.308]  Okay, there goes Matt Kazee.
[00:54:43.308 --> 00:54:45.509]  And he runs Mergining Rowing.
[00:54:45.509 --> 00:54:47.269]  It's a 9-11 site I visit every week.
[00:54:47.269 --> 00:54:57.691]  So, just I love all these activists and media, new media people, independent media, alternative media, whatever your term is you like to use.
[00:54:57.691 --> 00:55:01.232]  And my beautiful wife is looking through me through the broadcast window out there.
[00:55:01.232 --> 00:55:02.212]  She's got some breaking news.
[00:55:02.212 --> 00:55:02.692]  Come on in here.
[00:55:02.692 --> 00:55:04.032]  What is it?
[00:55:04.032 --> 00:55:05.813]  Oh, she's just waiting till I come off air.
[00:55:05.813 --> 00:55:06.473]  Is it something hot?
[00:55:07.466 --> 00:55:10.208]  Alright, but you can just run in here with it if you got it.
[00:55:10.208 --> 00:55:14.551]  My wife's always done production for me, but she's doing that full-time now.
[00:55:14.551 --> 00:55:16.012]  It's good to have her here on board with us.
[00:55:16.012 --> 00:55:20.015]  Why don't you come on in there and come on the air?
[00:55:20.015 --> 00:55:21.396]  Maybe later we'll have you on the air sometime.
[00:55:21.396 --> 00:55:22.837]  Okay, fine.
[00:55:22.837 --> 00:55:24.058]  Boy, you're smiling through the window.
[00:55:24.058 --> 00:55:28.341]  It's hard for me not to get distracted.
[00:55:28.341 --> 00:55:31.143]  Anyways, this is a horrible shooting.
[00:55:32.586 --> 00:55:33.166]  What do you say?
[00:55:33.166 --> 00:55:34.347]  I want to go to all your calls.
[00:55:34.347 --> 00:55:37.588]  What I'll do is I'm going to come back from break, and I'm just going to give each person about a minute.
[00:55:37.588 --> 00:55:38.428]  You've been holding forever.
[00:55:38.428 --> 00:55:42.449]  Richard, John, Bill, Chris, others.
[00:55:42.449 --> 00:55:43.670]  Everybody that's holding.
[00:55:43.670 --> 00:55:47.691]  And then we got Larry Pratt popping in just for about 10-15 minutes about victim disarmament.
[00:55:47.691 --> 00:55:48.591]  This is what it leads to.
[00:55:48.591 --> 00:55:50.812]  You know, it's so weird.
[00:55:50.812 --> 00:55:59.155]  I was on the University of Texas campus yesterday, and every 100 yards or so, they got one of these polls that says, call police for help.
[00:55:59.989 --> 00:56:05.318]  And I thought, man, if somebody was running around mugging somebody, I wouldn't run over and put the button and go, Help me!
[00:56:05.318 --> 00:56:05.919]  Help me!
[00:56:05.919 --> 00:56:06.620]  Oh, God!
[00:56:06.620 --> 00:56:08.002]  Help me!
[00:56:08.002 --> 00:56:09.225]  I've heard those 9-11 tapes.
[00:56:09.225 --> 00:56:10.927]  They're like, He's gonna kill me!
[00:56:10.927 --> 00:56:11.268]  No!
[00:56:11.268 --> 00:56:11.909]  No!
[00:56:16.520 --> 00:56:17.201]  It's here.
[00:56:17.201 --> 00:56:22.364]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:56:22.364 --> 00:56:29.989]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:56:30.706 --> 00:56:38.149]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:56:38.149 --> 00:56:49.874]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:56:49.874 --> 00:56:53.856]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:56:53.856 --> 00:56:56.117]  It's an anthology of government crimes.
[00:56:56.117 --> 00:56:59.959]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:57:00.540 --> 00:57:07.993]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:57:15.091 --> 00:57:19.952]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:57:19.952 --> 00:57:24.314]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:57:24.314 --> 00:57:25.194]  We listened.
[00:57:25.194 --> 00:57:30.435]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:57:30.435 --> 00:57:31.316]  We listened.
[00:57:31.316 --> 00:57:34.777]  You asked us to develop a filter that was made in the USA.
[00:57:34.777 --> 00:57:35.777]  We listened.
[00:57:35.777 --> 00:57:39.138]  You asked us to include an emergency light for camping and during power
[00:57:40.203 --> 00:57:41.044]  We listened.
[00:57:41.044 --> 00:57:46.687]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[00:57:46.687 --> 00:57:48.408]  Again, we listened.
[00:57:48.408 --> 00:57:51.630]  Introducing the Berkey Light, the gravity filter requested
[00:57:53.035 --> 00:57:54.236]  Not yet available in Iowa.
[00:58:12.518 --> 00:58:14.459]  Hello friends, Alex Jones here.
[00:58:14.459 --> 00:58:18.481]  I want you to imagine waking up one morning to find out you've been burglarized.
[00:58:18.481 --> 00:58:27.565]  An intruder has taken your personal possessions, credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[00:58:27.565 --> 00:58:32.687]  What's worse is, you realize he got it through your front door because you left it unlocked.
[00:58:32.687 --> 00:58:34.428]  Every time you walk away from your computer,
[00:58:34.428 --> 00:58:35.028]  We're good to go.
[00:58:51.460 --> 00:58:54.904]  There's no software to load, and it's so easy to install.
[00:58:54.904 --> 00:59:00.791]  Right now, you can order your NET7 security switch from NET7 Technologies for only $39.95.
[00:59:00.791 --> 00:59:04.335]  For a limited time, receive free shipping with your order.
[00:59:04.335 --> 00:59:06.457]  Visit net7tech.com.
[00:59:06.457 --> 00:59:11.503]  That's NET, the number 7, tech.com, and start protecting yourself today!
[00:59:49.909 --> 00:59:52.351]  Welcome back, ladies and gentlemen.
[00:59:52.351 --> 00:59:55.494]  Larry Pratt joins us, coming up in about five minutes.
[00:59:55.494 --> 00:59:56.435]  Then Aaron Zellman.
[00:59:56.435 --> 01:00:01.380]  Aaron Zellman, I had remembered some controversy with Virginia Tech.
[01:00:01.380 --> 01:00:03.242]  Virginia has a concealed carry.
[01:00:03.242 --> 01:00:08.147]  Virginia Tech banned guns, brought in the federal law and state law.
[01:00:09.329 --> 01:00:10.230]  There.
[01:00:10.230 --> 01:00:19.734]  And they have brought on their hands, this is out of the Roanoke Times, April 13, 2005, Virginia Tech's gun ban on a Maid Raw legal fire.
[01:00:19.734 --> 01:00:21.215]  And they're murderers, folks.
[01:00:21.215 --> 01:00:21.975]  They are murderers.
[01:00:21.975 --> 01:00:29.139]  And it's not just the government murdering them in absentia or from an indirect way.
[01:00:29.139 --> 01:00:32.741]  This thing has Black Op written all over it.
[01:00:33.436 --> 01:00:35.457]  See, it's got this fog and all this confusion.
[01:00:35.457 --> 01:00:36.817]  I don't know how to even explain it.
[01:00:36.817 --> 01:00:38.497]  It's like, it becomes like an art form.
[01:00:38.497 --> 01:00:40.258]  You just don't know how to look at it.
[01:00:40.258 --> 01:00:45.399]  And, uh, it just, it reeks of black op.
[01:00:45.399 --> 01:00:47.279]  Ugh, and then, it's just amazing.
[01:00:47.279 --> 01:00:48.140]  I said I'd go to your calls.
[01:00:48.140 --> 01:00:50.160]  Let's, uh, go to them.
[01:00:50.160 --> 01:00:52.761]  And I got the big Rosie O'Donnell news I will spend some time on.
[01:00:52.761 --> 01:00:56.902]  Uh, let's go to, um, Richard in Canada.
[01:00:56.902 --> 01:00:57.682]  Richard, you're on the air.
[01:00:57.682 --> 01:00:58.202]  Thanks for holding.
[01:00:59.053 --> 01:01:00.234]  Hey Alex, how are you doing?
[01:01:00.234 --> 01:01:00.874]  This is Richard.
[01:01:00.874 --> 01:01:03.375]  I'm so happy to finally get in touch with you.
[01:01:03.375 --> 01:01:06.056]  It's been a while and I just want to congratulate you.
[01:01:06.056 --> 01:01:08.417]  You're a leader, brave, you're courageous.
[01:01:08.417 --> 01:01:24.285]  I've watched all your documents and actually the funny thing is that when I was waiting on like this breaking news came but what I wanted to tell you was that I actually woke up last year because I am an international student here and I was pulled out of a bathroom stall
[01:01:25.041 --> 01:01:36.672]  By a police officer on campus and I was given no reason why and when I went back in to figure out why in the police station they basically told me they were doing their job and that was it.
[01:01:36.672 --> 01:01:40.435]  I felt like all my rights were taken away and after that like I kind of woke up
[01:01:41.233 --> 01:01:53.979]  This is why they love mass shootings, because it creates the fear, and now they're gonna have metal detectors and frisk and barbed wire, and the schools will be prisons, and they're shooting at businesses, their prisons shooting at the... It's everything's a prison now.
[01:01:53.979 --> 01:01:56.840]  Terrorists attack an airport, we're prisoners there.
[01:01:56.840 --> 01:01:58.921]  They attack a bus, now we gotta have searches.
[01:01:58.921 --> 01:02:00.042]  I mean, it's just total control.
[01:02:00.562 --> 01:02:08.006]  It is, and Alex, the funny thing is that I think it's already been done, because, like, they knew where I was in that same bathroom, like, the week before.
[01:02:08.006 --> 01:02:11.187]  Like, they told me what I was doing, and I was like, how do you know that?
[01:02:11.187 --> 01:02:13.749]  And they couldn't even... Man, they pulled me out of the stall.
[01:02:13.749 --> 01:02:15.310]  They didn't even tell me who they were.
[01:02:15.310 --> 01:02:17.010]  They took all my information.
[01:02:17.010 --> 01:02:18.311]  They took my ID.
[01:02:18.311 --> 01:02:25.935]  I felt so dehumanized, and I actually... I did get some recourse, because instead of going back to the people in authority, I went to the business department, and
[01:02:26.355 --> 01:02:30.599]  I told them what happened, and they got so worried because I threatened to go to the media.
[01:02:30.599 --> 01:02:32.840]  And because they thought I would just sit down and take it, you know?
[01:02:32.840 --> 01:02:35.202]  But that woke me up, and that's what we realized.
[01:02:35.202 --> 01:02:37.404]  Well, you know why they knew what you were doing?
[01:02:37.404 --> 01:02:43.028]  They've got video cameras in most bathrooms now at colleges and high schools and middle schools.
[01:02:43.028 --> 01:02:48.092]  And a lot of times, they've got them in the showers, and the principals trade them amongst themselves.
[01:02:48.092 --> 01:02:48.693]  That's been in the news.
[01:02:49.153 --> 01:02:50.054]  Yeah, and you're totally right.
[01:02:50.054 --> 01:02:54.598]  It's so funny to know that, like, everything's so controlled, yet so many things happen.
[01:02:54.598 --> 01:03:01.083]  Look, if you're in a rest stop or a university or a school, and you're on the commode, just know they're videotaping most of the time.
[01:03:01.083 --> 01:03:08.790]  Definitely, and Alex, you're so right, because if they have so much, like, surveillance, how do all these things just appear out of the blue and happen, and they can't control it?
[01:03:08.790 --> 01:03:16.537]  I mean... Well, notice England has, you know, 14 million cameras just in the surrounding London area, four plus million in London.
[01:03:17.177 --> 01:03:19.299]  And it's like 50-something million nationwide.
[01:03:19.299 --> 01:03:20.820]  You can go look the numbers up.
[01:03:20.820 --> 01:03:24.283]  I'm going from memory there, but I know it's four and a half million in London.
[01:03:24.283 --> 01:03:25.203]  That was a couple years ago.
[01:03:25.203 --> 01:03:26.024]  It gets worse.
[01:03:26.024 --> 01:03:30.207]  Now they have telescreens that shout orders at you in a child's voice.
[01:03:30.207 --> 01:03:32.829]  And their crime actually exploded with that.
[01:03:32.829 --> 01:03:38.333]  This is so they can carry out their terror attacks and know who saw it and know who could expose them.
[01:03:39.537 --> 01:03:53.181]  I just want to congratulate you and one day you're going to reach a place that you know all your work is going to pay off and people will wake up to what you're trying to say and keep up what you're doing and I'm not even from the States and I'm not from North America.
[01:03:53.181 --> 01:03:57.742]  Copies of the preceding broadcast are available at GCNlive.com or call toll-free 877-376-45.
[01:04:03.715 --> 01:04:06.938]  Introducing the most efficient gravity filter available.
[01:04:06.938 --> 01:04:11.101]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[01:04:11.101 --> 01:04:13.723]  But, if you placed them on the magnet, all would stick.
[01:04:13.723 --> 01:04:16.245]  The same principle applies in water filtration.
[01:04:16.245 --> 01:04:24.772]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[01:04:24.772 --> 01:04:26.213]  The Berkey Light is different.
[01:04:26.213 --> 01:04:32.218]  Water molecules take 5 to 10 minutes to pass through the torturous path of the self-sterilizing filters.
[01:04:32.378 --> 01:04:44.246]  This allows the proprietary media formulation to remove and reduce pathogenic bacteria, cysts, chemicals, herbicides, pesticides, organic solvents, foul tastes, odors, heavy metals, and nitrates.
[01:04:44.246 --> 01:04:50.750]  It is so powerful, it purifies raw, untreated water from remote lakes, streams, and stagnant ponds.
[01:04:50.750 --> 01:04:55.614]  Get the Advanced Berkey Light Purifier for only $279 by calling New Millennium, 888-803-4438 or order on the web at berkeywater.com.
[01:04:55.614 --> 01:04:56.294]  Not yet available in Iowa.
[01:05:05.982 --> 01:05:08.364]  Waging war on corruption.
[01:05:08.364 --> 01:05:12.989]  Alex Jones on the GCN Radio Network.
[01:05:12.989 --> 01:05:14.070]  Big Brother.
[01:05:19.025 --> 01:05:20.787]  Mainstream media.
[01:05:20.787 --> 01:05:22.549]  Government cover-ups.
[01:05:22.549 --> 01:05:24.130]  You want answers?
[01:05:24.130 --> 01:05:25.692]  Well, so does he.
[01:05:25.692 --> 01:05:29.876]  He's Alex Jones on the GCN Radio Network.
[01:05:29.876 --> 01:05:33.980]  And now, live from Austin, Texas, Alex Jones.
[01:05:53.878 --> 01:05:55.399]  We're going to get to your other calls.
[01:05:55.399 --> 01:05:59.203]  We've got Aaron Zellman joining us, coming up in 30 minutes.
