[00:00:00.069 --> 00:00:01.290]  Welcome my friends.
[01:38:31.764 --> 01:38:33.764]  That's Morales.
[01:38:33.764 --> 01:38:36.445]  That's Morales.
[01:38:36.445 --> 01:38:38.265]  Yeah, I knew Morales quite well.
[01:38:38.265 --> 01:38:46.167]  He worked in the CIA station in Havana when I was third secretary of the political section.
[01:38:46.167 --> 01:38:53.069]  And I got to know him fairly well and saw him again a number of times.
[01:38:53.069 --> 01:38:56.990]  He came to Buenos Aires when I was political counselor down there.
[01:38:57.765 --> 01:39:01.348]  And we had dinner at a friend's house one evening.
[01:39:01.348 --> 01:39:09.493]  So, yeah, I have no hesitation in saying that's where we're at.
[01:39:09.493 --> 01:39:15.478]  All right, we're going to be taking your calls here in just a second.
[01:39:15.478 --> 01:39:23.263]  By the way, I know we're getting a lot of emails and the message boards and people saying, oh, man, I didn't know you had Jesse Ventura coming on.
[01:39:23.263 --> 01:39:25.004]  But it wasn't just an interview with Jesse Ventura.
[01:39:25.004 --> 01:39:27.266]  They always spill their guts on this show.
[01:39:28.649 --> 01:39:31.870]  It's the fact of what they say on this show.
[01:39:31.870 --> 01:39:44.493]  And we even have video plugged into the board, because we videotaped myself in here live, and then we put images to it and put it up for PrisonPlanet.tv members, put a shorter version up on YouTube for everybody.
[01:39:44.493 --> 01:39:49.594]  And so I'm talking to Ventura during the break, we're going to put some of this on the web.
[01:39:49.594 --> 01:39:56.436]  And, uh... I wasn't even going to bring 9-11 up, because I'd already done a 9-11 interview with him,
[01:39:57.677 --> 01:40:00.158]  And off record, he'd said more on record.
[01:40:00.158 --> 01:40:01.738]  He was kind of irritated by it.
[01:40:01.738 --> 01:40:03.199]  He told me, I want to do more research.
[01:40:03.199 --> 01:40:05.940]  Yeah, I've read some stuff, but I'm going to look into this.
[01:40:05.940 --> 01:40:08.200]  And he did.
[01:40:08.200 --> 01:40:10.941]  That was about a year and a half ago, so I wasn't going to bring 9-11 up.
[01:40:10.941 --> 01:40:14.182]  And then I went and talked to him during a break, and I'm like, hey, let's talk about the war when we get back.
[01:40:14.182 --> 01:40:16.883]  He goes, hey, I want to get into 9-11.
[01:40:16.883 --> 01:40:17.803]  But let's talk about it.
[01:40:17.803 --> 01:40:21.004]  I wasn't ready, but now I am.
[01:40:21.004 --> 01:40:22.285]  And then he came and repeated that on air.
[01:40:25.135 --> 01:40:27.056]  I mean, major breaking news.
[01:40:27.056 --> 01:40:28.376]  So, it was in the first hour.
[01:40:28.376 --> 01:40:30.877]  I give you hints.
[01:40:30.877 --> 01:40:32.778]  See, there are powers that be behind the scenes.
[01:40:32.778 --> 01:40:34.819]  There are people that put pressure on folks.
[01:40:34.819 --> 01:40:37.420]  That's why we never tell you when we're having a big guest on.
[01:40:37.420 --> 01:40:51.165]  If it's Charlie Sheen, or Charlton Heston, or Mayor Ed Koch, or a member of British Parliament, or Willie Nelson, or Muse,
[01:40:55.213 --> 01:40:59.554]  That's some big rock bands we're going to be having on soon, by the way, working on that right now.
[01:40:59.554 --> 01:41:04.876]  We never tell you because it's a surprise, but I do give you a heads up.
[01:41:04.876 --> 01:41:08.297]  I say, hey, tomorrow, early in the show, first hour, be tuned in.
[01:41:08.297 --> 01:41:10.137]  A lot of people weren't.
[01:41:10.137 --> 01:41:21.000]  Don't worry, when the show ends, in an hour and 20 minutes, he was on the first minute of the show for an hour and 20 minutes.
[01:41:21.824 --> 01:41:24.809]  And it was bombshell after bombshell.
[01:41:24.809 --> 01:41:27.794]  The interview is nowhere but on the internet, and it's not even on the web yet.
[01:41:27.794 --> 01:41:32.863]  It just happened at 2 o'clock Central, 3 o'clock Eastern.
[01:41:32.863 --> 01:41:35.327]  I mean, noon Pacific.
[01:41:37.697 --> 01:41:46.703]  We will re-air the Jesse Ventura interview in its entirety at InfoWars.com, and I know AM and FM stations around the country also rebroadcast this at night or in the morning.
[01:41:46.703 --> 01:41:47.924]  She'll also be able to hear it there.
[01:41:47.924 --> 01:41:52.147]  Very thankful to those affiliates, but she'll be able to hear Jesse Ventura.
[01:41:52.147 --> 01:41:53.547]  And it's a big interview.
[01:41:53.547 --> 01:41:55.629]  We can wake up a lot of people with this.
[01:41:55.629 --> 01:41:57.870]  He's got a lot of courage.
[01:41:57.870 --> 01:42:01.933]  We need to use this now to wake people up.
[01:42:04.341 --> 01:42:05.422]  The ball is in your court.
[01:42:05.422 --> 01:42:06.962]  We got the big guest for you.
[01:42:06.962 --> 01:42:11.625]  He said the powerful things on this show.
[01:42:11.625 --> 01:42:16.707]  The articles are going to be up on InfoWars.com and PrisonPlanet.com in the next two hours.
[01:42:16.707 --> 01:42:25.772]  I've got writers Kurt Nemo and Paul Watson and Steve Watson working on it feverishly from Sheffield, London and New Mexico.
[01:42:25.772 --> 01:42:28.173]  So from England and the U.S.
[01:42:28.173 --> 01:42:32.635]  From the southwestern mountains of the lower
[01:42:33.576 --> 01:42:35.777]  Rockies.
[01:42:35.777 --> 01:42:42.681]  To the stomping grounds of Robin Hood.
[01:42:42.681 --> 01:42:45.322]  To the gallows where Captain Kidd was hung.
[01:42:45.322 --> 01:42:48.663]  We bring you the information.
[01:42:48.663 --> 01:42:51.645]  I'm out of control, ladies and gentlemen.
[01:42:51.645 --> 01:42:59.469]  But, uh, I get endorphins when we get a big guest and they talk about powerful things, important things, when we hurt the New World Order.
[01:42:59.469 --> 01:43:01.910]  We bring them one step closer to the gallows
[01:43:04.048 --> 01:43:07.369]  I, uh, I start having intense feelings of pleasure.
[01:43:07.369 --> 01:43:08.129]  Hold on.
[01:43:08.129 --> 01:43:09.029]  Ah, yes.
[01:43:09.029 --> 01:43:11.490]  Ah.
[01:43:11.490 --> 01:43:13.690]  Ah.
[01:43:13.690 --> 01:43:20.112]  I don't need any drugs to take a ride, ladies and gentlemen.
[01:43:20.112 --> 01:43:25.333]  I'm high as a kite right now, because believe me, this story's gonna be big.
[01:43:25.333 --> 01:43:27.914]  And it's gonna have an effect.
[01:43:27.914 --> 01:43:32.675]  And it's one more step towards the throats of the New World Order and bringing them to justice.
[01:43:34.105 --> 01:43:37.729]  And I see more and more people standing up and showing courage.
[01:43:37.729 --> 01:43:38.149]  It is.
[01:43:38.149 --> 01:43:41.513]  The dam broke a long time ago.
[01:43:41.513 --> 01:43:44.756]  And now the floodgates are opening.
[01:43:44.756 --> 01:43:50.102]  And if you can't celebrate major victories, I don't know what's wrong with you.
[01:43:50.102 --> 01:43:52.624]  It's like Ron Paul.
[01:43:52.624 --> 01:43:56.008]  People think because he's not winning the presidency, but he's staying in the race,
[01:43:56.747 --> 01:43:57.587]  That we've lost.
[01:43:57.587 --> 01:44:00.048]  No, we won when we stood up and fought.
[01:44:00.048 --> 01:44:05.830]  We won when we made the international bankers and the currency tax, the inflation tax.
[01:44:05.830 --> 01:44:07.471]  The open border is a big issue.
[01:44:07.471 --> 01:44:10.252]  When we exposed the New World Order.
[01:44:10.252 --> 01:44:16.314]  When Ron Paul stood up and showed that we're five years into a war and that all the other candidates are basically pushing it.
[01:44:16.314 --> 01:44:19.355]  And we grew tens of millions of people.
[01:44:19.355 --> 01:44:20.456]  We grew our movement.
[01:44:20.456 --> 01:44:21.356]  They came in.
[01:44:21.356 --> 01:44:22.096]  They woke up.
[01:44:22.096 --> 01:44:24.337]  Now they're finding out more hardcore info.
[01:44:26.556 --> 01:44:36.519]  I mean, Al Gore is trying to hire 10 million cronies.
[01:44:36.519 --> 01:44:43.082]  By the way, quote, quote, liberal, foundation liberal, Carnegie, Rockefeller endowment, nothing liberal about them.
[01:44:43.082 --> 01:44:47.283]  They're always saying they want to recreate the communist youth brigades of Lenin and Mao.
[01:44:48.007 --> 01:44:54.751]  The Communist Youth Brigade, the Little Red Books, and the Cultural Revolution killed, and helped kill, the 60 million people.
[01:44:54.751 --> 01:45:03.175]  Nothing like out-of-control, power-tripping, 16- to 20-year-olds, coming in your house, destroying your art, raping your wife, shooting you in the back of the head.
[01:45:03.175 --> 01:45:07.637]  I'm not putting up with it, Gore, and that's exactly what these 10 million scumbags are.
[01:45:07.637 --> 01:45:16.722]  A bunch of well-meaning, patchouli oil-wearing, dreadlocks, sandal, uh, you know, rich white kids,
[01:45:17.495 --> 01:45:19.716]  Who hate Daddy because he's a Republican.
[01:45:19.716 --> 01:45:21.578]  They own the Democrats too!
[01:45:21.578 --> 01:45:27.181]  They've got terror on the right to get our liberties and they've got the fake greenhouse crises on the left.
[01:45:27.819 --> 01:45:28.920]  You want to worry about something?
[01:45:28.920 --> 01:45:36.903]  Worry about fish infusion and nuclear reactors and particle accelerators, cyclotrons, heavy reactors.
[01:45:36.903 --> 01:45:41.285]  Start worrying about antimatter bombs, which they admit they've created.
[01:45:41.285 --> 01:45:43.406]  Start worrying about genetic engineering.
[01:45:43.406 --> 01:45:46.568]  Start worrying about pesticides like Roundup.
[01:45:46.568 --> 01:45:55.932]  Start worrying about things that are actually killing us and killing this planet instead of running around talking about carbon dioxide, which has been 14 times higher in our history!
[01:45:57.133 --> 01:45:57.973]  We need it!
[01:45:57.973 --> 01:46:01.235]  We need more of it, you idiots!
[01:46:01.235 --> 01:46:04.697]  It's the life gas, you stupid twit!
[01:46:04.697 --> 01:46:05.257]  Excuse me.
[01:46:05.257 --> 01:46:13.161]  Excuse me.
[01:46:13.161 --> 01:46:14.282]  Stop being conned.
[01:46:14.282 --> 01:46:15.662]  Stop being suckered.
[01:46:15.662 --> 01:46:17.003]  Stop being taken.
[01:46:17.003 --> 01:46:21.485]  Stop being manipulated.
[01:46:21.485 --> 01:46:24.487]  You know, I'm endangering my life doing this, and I'm reckless, and everybody knows it.
[01:46:25.686 --> 01:46:30.269]  And I'm committed to this, and that's why it feels so good when we have victory after victory.
[01:46:30.269 --> 01:46:35.393]  I'm just running for as many yards as I can get, ladies and gentlemen.
[01:46:35.393 --> 01:46:42.978]  And I'm asking you to get out there on the field and just to commit and go 110% in this fight!
[01:46:42.978 --> 01:46:44.479]  This isn't a football game!
[01:46:44.479 --> 01:46:46.000]  This is for your life!
[01:46:46.000 --> 01:46:48.162]  This is for your children's future!
[01:46:48.162 --> 01:46:49.683]  This is for everything!
[01:46:49.683 --> 01:46:50.644]  On the line!
[01:46:50.644 --> 01:46:51.164]  Now!
[01:46:55.248 --> 01:46:58.930]  This is what humanity's all about, the struggle for liberty and freedom.
[01:46:58.930 --> 01:47:00.752]  Can't you feel it in your bones?
[01:47:00.752 --> 01:47:06.896]  Can't you feel it in your heart?
[01:47:06.896 --> 01:47:08.877]  It feels good to know what's happening.
[01:47:08.877 --> 01:47:13.600]  It feels good to be committed to justice and liberty and freedom, and to serve the species.
[01:47:13.600 --> 01:47:17.603]  Don't you know that when you serve the species, you end up serving yourself?
[01:47:17.603 --> 01:47:21.065]  You reap what you sow, you give, and you receive.
[01:47:22.580 --> 01:47:28.181]  That's the secret of the universe, not what the worldly servants of the devil sell you.
[01:47:28.181 --> 01:47:32.322]  Screw everybody, cheat everybody, stab everybody in the back.
[01:47:32.322 --> 01:47:39.884]  But that doesn't mean, as Christians or people that just love liberty and freedom, that we're a bunch of limp-wristed cowards.
[01:47:39.884 --> 01:47:46.905]  It doesn't mean when somebody cheats us or stabs us or is wicked and tries to bring us down that we don't kick them to the curb.
[01:47:46.905 --> 01:47:50.386]  It means when somebody who's well-meaning but stupid does something,
[01:47:51.411 --> 01:47:53.874]  Or someone who isn't pure evil does something, you forgive them.
[01:47:53.874 --> 01:47:56.437]  Or if it's your family, you forgive them.
[01:47:56.437 --> 01:47:59.000]  But you do not forgive the New World Order, ladies and gentlemen.
[01:47:59.000 --> 01:48:01.583]  You realize who they are, and you keep them out of your life.
[01:48:01.583 --> 01:48:04.727]  You ostracize them.
[01:48:04.727 --> 01:48:05.287]  Try that!
[01:48:05.287 --> 01:48:07.870]  People make fun of you and laugh at you at work or church, whatever.
[01:48:07.870 --> 01:48:09.052]  Just stop talking to them!
[01:48:10.183 --> 01:48:12.865]  Stop caring what cowardly scum thinks!
[01:48:12.865 --> 01:48:15.508]  Stop caring what weak-minded people think!
[01:48:15.508 --> 01:48:18.530]  You got strong minds, stronger than most people!
[01:48:18.530 --> 01:48:22.674]  That's why you listen to this show, and you know what Veritas is!
[01:48:22.674 --> 01:48:31.742]  Truth is flowing through your very veins!
[01:48:31.742 --> 01:48:34.063]  Okay, I gotta get settled down.
[01:48:34.063 --> 01:48:35.785]  Thought I felt like I could take on 20 people right now.
[01:48:39.986 --> 01:48:41.247]  Because I'm not doing this for nothing.
[01:48:41.247 --> 01:48:46.891]  I'm not playing this game to lose.
[01:48:46.891 --> 01:48:48.192]  You just gotta turn loose.
[01:48:48.192 --> 01:48:50.333]  That's the key.
[01:48:50.333 --> 01:48:51.034]  Turn loose.
[01:48:51.034 --> 01:48:54.216]  Stop caring what your cowardly neighbors think.
[01:48:54.216 --> 01:48:55.177]  Stop caring.
[01:48:55.177 --> 01:49:01.441]  Stop cowering to some cop when he tells you to turn your camera off when you're 50 yards away filming an arrest.
[01:49:01.441 --> 01:49:02.882]  You tell him it's my First Amendment.
[01:49:02.882 --> 01:49:04.003]  Stop being afraid.
[01:49:04.003 --> 01:49:07.966]  If you're a good officer, stop being afraid.
[01:49:07.966 --> 01:49:08.486]  Speak up.
[01:49:10.194 --> 01:49:14.117]  I know there's good ones, a lot of them out there.
[01:49:14.117 --> 01:49:20.703]  You know, I'm always bashing cops because it's a sick culture and the bad ones really stand out and make the rest of the good ones look bad.
[01:49:20.703 --> 01:49:27.709]  But I look at the statistics, they have had national polls of police where 98% are pro-Second Amendment.
[01:49:27.709 --> 01:49:33.193]  Ron Paul got almost 80% of all the military donations to the Republicans.
[01:49:33.193 --> 01:49:34.534]  So the military's good.
[01:49:34.534 --> 01:49:35.275]  The cops are good.
[01:49:36.016 --> 01:49:39.219]  I get threatened by police at a primitive level because I know my nose is clean.
[01:49:39.219 --> 01:49:42.061]  I know I'm a good person.
[01:49:42.061 --> 01:49:45.603]  I know I'm not doing anything wrong other than speeding.
[01:49:45.603 --> 01:49:50.247]  And I know I don't deserve to be treated like dirt!
[01:49:50.247 --> 01:49:57.713]  But I just want the police to know that I am your friend at my core, and I'm just sick of you being conned, just like I'm sick of everybody else being conned!
[01:49:57.713 --> 01:49:58.693]  It's disgusting!
[01:50:03.214 --> 01:50:09.035]  It's like watching your son get in the car with a bunch of drug addicts, and you know he's going off to use drugs.
[01:50:09.035 --> 01:50:09.995]  Well, you shouldn't be a wimp.
[01:50:09.995 --> 01:50:12.016]  You should grab him out of that car and not let him go.
[01:50:12.016 --> 01:50:15.997]  Now, I'm not saying I see the police as my son, but you understand.
[01:50:15.997 --> 01:50:17.217]  I see you as being conned.
[01:50:17.217 --> 01:50:18.757]  Somebody I actually care about.
[01:50:18.757 --> 01:50:22.578]  Being manipulated by people that don't give a rat's butt about you!
[01:50:22.578 --> 01:50:24.739]  Alright, I said I'd take calls.
[01:50:24.739 --> 01:50:25.439]  We're gonna do it.
[01:50:25.439 --> 01:50:31.600]  By the way, next Monday, big announcement about the course and future of something
[01:50:32.401 --> 01:50:33.662]  Very important.
[01:50:33.662 --> 01:50:46.453]  Biggest announcement I've ever made about this radio show coming up Monday, high noon Central Standard Time when we start that second hour next Monday.
[01:50:46.453 --> 01:50:48.455]  We'll be right back.
[01:50:52.119 --> 01:51:05.261]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[01:51:05.261 --> 01:51:16.323]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[01:51:16.323 --> 01:51:18.564]  Loose Change Final Cut is the ultimate 9-11 expose.
[01:51:19.744 --> 01:51:21.505]  From hijackers being trained at U.S.
[01:51:21.505 --> 01:51:27.629]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[01:51:27.629 --> 01:51:33.033]  Secure your copy of Loose Change Final Cut today at Infowars.com or PrisonPlanet.com.
[01:51:33.033 --> 01:51:42.840]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[01:51:43.260 --> 01:51:45.906]  We're in a no-holds-barred information war.
[01:51:45.906 --> 01:51:51.218]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[01:51:52.307 --> 01:51:54.288]  Heart disease is on the rise.
[01:51:54.288 --> 01:52:01.250]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:52:01.250 --> 01:52:09.653]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:52:09.653 --> 01:52:15.375]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:52:15.555 --> 01:52:17.397]  My blood pressure has normalized.
[01:52:17.397 --> 01:52:19.600]  My diabetes has totally improved.
[01:52:19.600 --> 01:52:24.126]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[01:52:24.126 --> 01:52:26.348]  I recommend Heart and Body Extract to everyone.
[01:52:26.348 --> 01:52:34.098]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:52:34.258 --> 01:52:36.621]  Order your two-month supply today by calling 866-295-5305.
[01:52:36.621 --> 01:52:36.961]  That's 866-295-5305.
[01:52:36.961 --> 01:52:38.703]  Or order online at HBextract.com.
[01:52:38.703 --> 01:52:39.644]  Heart and Body Extract, 866-295-5305.
[01:52:39.644 --> 01:52:40.445]  Or HBextract.com.
[01:52:51.912 --> 01:52:55.393]  Yes, there is an In-Dash AM-FM shortwave radio.
[01:52:55.393 --> 01:53:03.755]  For limited time and in limited numbers, the Sony GT-160S AM-FM shortwave radio and CD player is available only at the Power Hour.
[01:53:03.755 --> 01:53:12.137]  This radio is designed to eliminate interference from ignition systems and the result is clear, clean reception so you can hear your favorite broadcasts both domestically and internationally.
[01:53:12.137 --> 01:53:15.958]  Get your Sony AM-FM shortwave radio and CD player from the Power Hour today!
[01:53:16.358 --> 01:53:18.520]  Call 877-817-9829.
[01:53:18.520 --> 01:53:22.944]  That's 877-817-9829 to order.
[01:53:22.944 --> 01:53:26.987]  Only $249 plus shipping and handling, and we'll ship it right to you.
[01:53:26.987 --> 01:53:29.449]  There's even an input to plug in an external source.
[01:53:29.449 --> 01:53:35.694]  Your MP3 player, your iPod, your DVD player, or any other source will sound great through your new Sony receiver.
[01:53:35.694 --> 01:53:39.758]  These radios are not available anywhere else and for a limited time, so call now.
[01:53:39.758 --> 01:53:39.998]  Call 877-817-9829.
[01:53:42.660 --> 01:53:57.311]  That's 877-817-9829 and get your Sony GT-160S AM FM shortwave radio and CD player from the Power Hour.
[01:53:57.311 --> 01:54:06.098]  I was a highway man Along the coach roads I did ride With sword and pistol by my side
[01:54:07.671 --> 01:54:34.399]  Many a young maid Many a soldier Many a soldier shed his lifeblood on my blade The bastards hung me in the spring of twenty-five But I am still alive We're going to go to France because it's a foreign call, but first Wesleyan, Idaho disagrees.
[01:54:34.399 --> 01:54:35.459]  You're first up.
[01:54:36.255 --> 01:54:37.155]  Welcome.
[01:54:37.155 --> 01:54:38.636]  Hello, Alex.
[01:54:38.636 --> 01:54:39.616]  Welcome.
[01:54:39.616 --> 01:54:42.857]  Music off now.
[01:54:42.857 --> 01:54:46.418]  I feel the endorphins as well.
[01:54:46.418 --> 01:54:51.900]  A great interview with Jesse the Mind Ventura.
[01:54:51.900 --> 01:55:03.323]  It's great to hear someone of his prominence speaking about 9-1-1, but I do take huge exception with you and Jesse.
[01:55:03.323 --> 01:55:04.804]  I hope you're out there listening.
[01:55:04.804 --> 01:55:05.164]  You can
[01:55:05.894 --> 01:55:14.500]  Read my letter in the Idaho Observer this month, page 21, or you can just simply... Okay, you said... Hold on.
[01:55:14.500 --> 01:55:15.881]  I'm gonna stop you right there.
[01:55:15.881 --> 01:55:16.382]  Put him on hold.
[01:55:16.382 --> 01:55:16.802]  Put him on hold.
[01:55:16.802 --> 01:55:19.324]  Okay, we went right to you.
[01:55:19.324 --> 01:55:23.147]  You made some comment about the music, the rest of it.
[01:55:23.147 --> 01:55:23.987]  Uh, you want to be arrogant?
[01:55:23.987 --> 01:55:25.669]  I'm gonna be arrogant.
[01:55:25.669 --> 01:55:27.010]  You got the floor, buddy.
[01:55:27.010 --> 01:55:28.431]  Disagree with me.
[01:55:28.431 --> 01:55:30.192]  Get to the meat of the matter right now.
[01:55:30.192 --> 01:55:31.093]  Go ahead.
[01:55:31.093 --> 01:55:31.833]  Right now?
[01:55:31.833 --> 01:55:32.954]  Okay, you can Google
[01:55:33.621 --> 01:55:44.514]  Big lie, Hitler, and go to Wikipedia and find that Hitler did not say, the bigger the lie, the easier the sell.
[01:55:44.514 --> 01:55:47.417]  Put him on hold, put him on hold, I'm going to say what he really said.
[01:55:47.417 --> 01:55:54.125]  Joseph Goebbels wrote that the Soviets were liars, that the Communists were liars, and that they
[01:55:55.331 --> 01:55:56.092]  Am I back on?
[01:55:56.092 --> 01:55:56.752]  Yes you are.
[01:55:56.752 --> 01:55:58.773]  He accused the Jews of using the big lie technique.
[01:55:58.773 --> 01:56:00.834]  Go also on the internet is Goebbels 1934 Nuremberg
[01:56:24.435 --> 01:56:30.098]  Rally speech, and the words in that speech are words to live by.
[01:56:30.098 --> 01:56:33.139]  They are fantastic.
[01:56:33.139 --> 01:56:34.640]  Okay, listen, thanks for the call, man.
[01:56:34.640 --> 01:56:39.042]  I really appreciate your call.
[01:56:39.042 --> 01:56:41.843]  Yeah, Goebbels constantly talked about the big lie.
[01:56:41.843 --> 01:56:45.485]  And so he said it about communists, he said it about Jews, and that's true.
[01:56:45.485 --> 01:56:47.746]  I'm someone of a history buff on the Nazis.
[01:56:47.746 --> 01:56:48.607]  Not some expert.
[01:56:48.607 --> 01:56:49.967]  You can read a hundred books and know nothing.
[01:56:49.967 --> 01:56:51.488]  It's a big piece of history.
[01:56:51.488 --> 01:56:53.509]  But I've probably read twenty major books on it.
[01:56:54.221 --> 01:56:57.642]  Rise and Fall of the Third Reich by Schur, Heinz Hobel's Order of the Dead.
[01:56:57.642 --> 01:57:00.544]  These are 900-page books, by the way.
[01:57:00.544 --> 01:57:02.204]  And fascinating stuff.
[01:57:02.204 --> 01:57:03.805]  That's what got me into history when I was a little kid.
[01:57:03.805 --> 01:57:04.625]  I started reading it.
[01:57:04.625 --> 01:57:06.766]  I've read Mein Kampf, My Struggle.
[01:57:06.766 --> 01:57:08.507]  I've read a lot more.
[01:57:08.507 --> 01:57:09.127]  And yes, you're right.
[01:57:09.127 --> 01:57:11.008]  He also did say that about Jews.
[01:57:11.008 --> 01:57:14.009]  But a lot of people then look at issues and think, oh, Alex is lying.
[01:57:14.009 --> 01:57:15.229]  He said it was about communists.
[01:57:15.229 --> 01:57:16.150]  It's about Jews.
[01:57:16.150 --> 01:57:16.970]  No, it's both.
[01:57:18.536 --> 01:57:28.980]  Goebbels gave hundreds of big lie speeches, and see, I was correct that it is Goebbels, Joseph Goebbels, who gave that speech.
[01:57:28.980 --> 01:57:35.382]  But Hitler also, his speech writer was Joseph Goebbels.
[01:57:35.382 --> 01:57:47.787]  Heinrich Himmler actually was his little SS commander, and the fat man, the fat heroin addict, also helped with some of his speeches occasionally early on.
[01:57:49.244 --> 01:57:51.865]  Herman Goring.
[01:57:51.865 --> 01:57:56.867]  Okay, we'll be right back now that we've had our Hitler is Wonderful call.
[01:57:56.867 --> 01:58:05.790]  And then we'll come back and take more phone calls from France.
[01:58:05.790 --> 01:58:07.270]  They know how great he is over there.
[01:58:07.270 --> 01:58:09.311]  They got invaded by him.
[01:58:09.311 --> 01:58:12.612]  Chris, in France, you're next after this 70-second break.
[01:58:12.612 --> 01:58:14.573]  And then I'm going to try to hurry through the rest of the calls, okay?
[01:58:15.698 --> 01:58:16.518]  I'm Alex Jones.
[01:58:16.518 --> 01:58:18.259]  This is the GCN Radio Network.
[01:58:18.259 --> 01:58:20.519]  Coordinates for the InfoWars.
[01:58:20.519 --> 01:58:22.220]  InfoWars.com.
[01:58:22.220 --> 01:58:23.900]  PrisonPlanet.com.
[01:58:23.900 --> 01:58:26.001]  PrisonPlanet.tv.
[01:58:26.001 --> 01:58:27.901]  Huge announcement on Monday.
[01:58:27.901 --> 01:58:33.523]  We're starting the countdown.
[01:58:33.523 --> 01:58:36.944]  Thank you for listening to GCN.
[01:58:36.944 --> 01:58:42.505]  Visit GCNlive.com today.
[01:58:42.505 --> 01:58:43.806]  It is a big idea.
[01:58:44.972 --> 01:58:46.733]  A New World Order.
[01:58:46.733 --> 01:58:51.216]  In the near future, Earth is dominated by a powerful new government.
[01:58:51.216 --> 01:58:54.458]  It's known as the Bilderberg Group.
[01:58:54.458 --> 01:58:57.239]  Could their objective be world domination?
[01:58:57.239 --> 01:59:00.421]  For thousands of years, their dark order grew.
[01:59:00.421 --> 01:59:07.746]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:59:10.785 --> 01:59:16.207]  For the first time in history, the elite's plan for world government is blown wide open.
[01:59:16.207 --> 01:59:20.029]  You will learn the secret that drives the entire New World Order agenda.
[01:59:20.029 --> 01:59:22.650]  Dillberg is making great progress toward a world government.
[01:59:22.650 --> 01:59:23.810]  Most people have no idea.
[01:59:23.810 --> 01:59:24.611]  They're not after money.
[01:59:24.611 --> 01:59:25.871]  They have all the money they need.
[01:59:25.871 --> 01:59:26.872]  They're after power.
[01:59:26.872 --> 01:59:28.012]  That's what they're after.
[01:59:28.012 --> 01:59:32.194]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[01:59:32.774 --> 01:59:36.740]  Or watch it online right now at PrisonPlanet.tv.
[01:59:36.740 --> 01:59:37.481]  Endgame.
[01:59:37.481 --> 01:59:39.523]  Blueprint for global enslavement.
[01:59:39.523 --> 01:59:44.770]  You have been warned.
[01:59:44.770 --> 01:59:47.154]  Waging war on corruption.
[01:59:47.154 --> 01:59:49.917]  Alex Jones on the GCM Radio Network.
[01:59:56.297 --> 01:59:58.058]  Government cover-ups.
[01:59:58.058 --> 01:59:59.639]  You want answers?
[01:59:59.639 --> 02:00:01.200]  Well, so does he.
[02:00:01.200 --> 02:00:05.382]  He's Alex Jones on the GCN Radio Network.
[02:00:05.382 --> 02:00:09.444]  And now, live from Austin, Texas, Alex Jones.
[02:00:17.799 --> 02:00:20.100]  We're back live, already into the third hour.
[02:00:20.100 --> 02:00:26.362]  If you missed the hour, twenty minute long Jesse Ventura interview, right when rebroadcast starts at InfoWars.com.
[02:00:26.362 --> 02:00:30.143]  In fifty-nine and a half minutes, you'll be able to hear it in its entirety.
[02:00:30.143 --> 02:00:31.203]  First time it's being re-aired.
[02:00:31.203 --> 02:00:32.543]  It's nowhere on the web yet.
[02:00:32.543 --> 02:00:35.064]  Big articles coming up on PrisonPlanet.com.
[02:00:35.064 --> 02:00:37.105]  Let's go to Chris in France.
[02:00:37.105 --> 02:00:38.265]  Welcome.
[02:00:38.265 --> 02:00:39.286]  Hello, Alex.
[02:00:39.286 --> 02:00:39.626]  Hello.
[02:00:39.626 --> 02:00:40.746]  Hello, Alex.
[02:00:40.746 --> 02:00:42.366]  Yes.
[02:00:42.366 --> 02:00:45.347]  It's twenty hundred hours here in Paris.
[02:00:45.347 --> 02:00:47.388]  I've been listening to your show for the last two hours.
[02:00:48.246 --> 02:00:52.850]  And, uh, listening to, um, Jay Ventura, um, I'm gonna buy the book tomorrow.
[02:00:52.850 --> 02:00:54.111]  That's for sure.
[02:00:54.111 --> 02:00:59.256]  And, you know, when you talk about the LHC, you know, the, uh, the collider.
