[00:00:04.500 --> 00:00:09.762]  They're live!
[01:34:48.353 --> 01:34:51.095]  Well guys, I'm going to get the needle today.
[01:34:51.095 --> 01:34:51.995]  Everybody wish me luck.
[01:34:51.995 --> 01:34:57.720]  Getting it right here or right here, I'm not sure.
[01:34:57.720 --> 01:35:00.742]  Wish me luck.
[01:35:00.742 --> 01:35:01.543]  Have a great day.
[01:35:02.756 --> 01:35:04.657]  Good morning, fuckers and fuck-ups.
[01:35:04.657 --> 01:35:07.558]  I am vaccinated, caffeinated, and freshly masturbated.
[01:35:07.558 --> 01:35:09.599]  Time to grab a day by it's balls.
[01:35:09.599 --> 01:35:11.619]  Consensually, of course.
[01:35:11.619 --> 01:35:13.480]  I'm home.
[01:35:13.480 --> 01:35:14.881]  And I feel fine.
[01:35:14.881 --> 01:35:16.421]  I feel perfect.
[01:35:16.421 --> 01:35:16.942]  So far.
[01:35:16.942 --> 01:35:20.943]  It's only been 21 minutes.
[01:35:20.943 --> 01:35:21.843]  I'll keep you updated.
[01:35:21.843 --> 01:35:29.206]  And then I killed her.
[01:35:29.206 --> 01:35:30.727]  Candace Murley dead.
[01:35:32.884 --> 01:35:36.465]  Yet a few days later.
[01:35:36.465 --> 01:35:39.866]  All right, I just played eight different clips, but I'm gonna play one of them again.
[01:35:39.866 --> 01:35:43.287]  Clip 19.
[01:35:43.287 --> 01:35:46.148]  Of all those clips, what was the most important?
[01:35:46.148 --> 01:35:47.868]  Clip 19.
[01:35:47.868 --> 01:35:59.771]  Whether you're in Canada, or whether you're in leftist-controlled areas of the U.S., or whether you're in Europe, they selectively choose who must take the shots.
[01:35:59.771 --> 01:36:01.092]  And who?
[01:36:01.092 --> 01:36:01.552]  Above 50.
[01:36:03.635 --> 01:36:08.970]  It hurts children, it hurts everybody, but older people particularly.
[01:36:10.114 --> 01:36:12.656]  So firefighters, you don't have to take it.
[01:36:12.656 --> 01:36:15.158]  And police, you're only going to take two shots.
[01:36:15.158 --> 01:36:18.160]  But if you're above 50, you're going to take four or five shots.
[01:36:18.160 --> 01:36:19.001]  And that's just a start.
[01:36:19.001 --> 01:36:26.347]  So they're training you that a computer tells you who takes the shots, who gets euthanized, who gets killed.
[01:36:26.347 --> 01:36:28.709]  They just normalize people dropping dead.
[01:36:28.709 --> 01:36:30.650]  They censor you when you complain.
[01:36:30.650 --> 01:36:32.212]  This is the eugenics.
[01:36:32.212 --> 01:36:33.813]  This is the Logan's Run.
[01:36:35.660 --> 01:36:37.062]  This is the depopulation.
[01:36:37.062 --> 01:36:39.866]  And this isn't some movie we're watching.
[01:36:39.866 --> 01:36:49.541]  This is satanic, evil bureaucrats who always wear pink or shiny blue glasses and are liberal and non-threatening, carrying out their cult operations.
[01:36:51.493 --> 01:36:53.054]  And they want full control of the police.
[01:36:53.054 --> 01:36:55.596]  And the police they like don't get the deadly shot.
[01:36:55.596 --> 01:36:59.239]  The ones they don't like, the computer allots a special shot.
[01:36:59.239 --> 01:37:01.801]  That's come out that most of the shots are saline.
[01:37:01.801 --> 01:37:06.585]  But for people that don't get saline, you might survive, you probably won't.
[01:37:06.585 --> 01:37:07.846]  This is how they kill us.
[01:37:07.846 --> 01:37:12.930]  If they march us into pits and shot us like Nazis or into Cyclone B gas chambers, we'd fight back.
[01:37:12.930 --> 01:37:16.893]  But if it's all done biomedically with bureaucrats saving us, then it's okay.
[01:37:16.893 --> 01:37:19.736]  So there's clip 19 one more time.
[01:37:19.736 --> 01:37:20.076]  Here it is.
[01:37:21.258 --> 01:37:21.718]  Pause again.
[01:37:21.718 --> 01:37:22.859]  Back at the beginning.
[01:37:22.859 --> 01:37:23.119]  Again.
[01:37:23.119 --> 01:37:25.520]  Severe COVID wave, which isn't even true.
[01:37:25.520 --> 01:37:28.301]  And supposedly you take the shot, you're protected, but you're not.
[01:37:28.301 --> 01:37:30.262]  Above 50, you've got to take more.
[01:37:30.262 --> 01:37:32.802]  Again, the idea that the government decides who takes shots.
[01:37:32.802 --> 01:37:33.823]  This is their plan.
[01:37:51.348 --> 01:37:52.149]  Start over from the start.
[01:38:09.710 --> 01:38:16.494]  Their mandate is to protect and the Commissioner says she's protecting officers with mandates.
[01:38:16.494 --> 01:38:18.295]  Sending out this direction.
[01:38:18.295 --> 01:38:23.718]  All members 50 years old and over must receive their fourth winter booster vaccination.
[01:38:23.718 --> 01:38:28.441]  It's in line with the Australian Technical Advisory Group's advice issued just a fortnight ago.
[01:38:28.441 --> 01:38:33.144]  But in Queensland there are still no vaccine mandates for firefighters.
[01:38:33.624 --> 01:38:35.727]  Healthcare workers need two shots.
[01:38:35.727 --> 01:38:38.950]  Paramedics and anyone in aged care must have three.
[01:38:38.950 --> 01:38:42.374]  Only officers will need four to keep their jobs.
[01:38:42.374 --> 01:38:45.618]  I think the time for some of those mandates is possibly behind us at the moment.
[01:38:45.618 --> 01:38:49.863]  It's a little bit more complicated than it was early on when it was very clear that there was a benefit.
[01:38:50.143 --> 01:38:51.184]  from some of those rules.
[01:38:51.184 --> 01:39:02.953]  Queensland's booster rate remains Australia's worst at 64.1% even as our hospitals face record numbers of COVID patients above 1,000 today.
[01:39:02.953 --> 01:39:05.255]  There were 9,000 new cases.
[01:39:05.255 --> 01:39:09.338]  Queensland recorded 10 deaths and the peak's not here yet.
[01:39:09.338 --> 01:39:12.300]  It could easily still be three or four weeks away if we don't intervene.
[01:39:12.600 --> 01:39:17.341]  A week on from the Origin Decider at Suncorp Stadium, the results are in.
[01:39:17.341 --> 01:39:22.602]  Griffith University research shows COVID cases have gone up 70%.
[01:39:22.602 --> 01:39:25.223]  Masks weren't a must, they still aren't.
[01:39:25.223 --> 01:39:31.324]  Well, we're not mandating because people have to, we trust people to use their personal responsibility.
[01:39:31.324 --> 01:39:33.544]  Alright, that's enough.
[01:39:33.544 --> 01:39:40.226]  So, they cooked up a bioweapon, they released it, the shot gives you the same bioweapon, and now they're saying over 50 police
[01:39:41.482 --> 01:39:47.366]  Have to take this shot that is 100% connected to killing him.
[01:39:47.366 --> 01:39:49.187]  That's where we are in the year 2022.
[01:39:49.187 --> 01:40:05.897]  And that's why they don't want this broadcast today because the 8 or 9 clips we played, we have hundreds and hundreds of things just as horrifying.
[01:40:05.897 --> 01:40:11.000]  And they think those are all isolated individuals, these hyenas, these wolves,
[01:40:11.715 --> 01:40:14.097]  They have their way with.
[01:40:14.097 --> 01:40:18.121]  But we're here unifying the people to understand it's premeditated.
[01:40:18.121 --> 01:40:19.602]  It's depopulation.
[01:40:19.602 --> 01:40:22.405]  It's an attack on humanity.
[01:40:22.405 --> 01:40:25.487]  So people ask me, Jones, how are you handling show trials?
[01:40:25.487 --> 01:40:27.209]  How are you handling all these attacks?
[01:40:27.209 --> 01:40:29.671]  Well, if they kill me or put me in prison, it makes me a martyr.
[01:40:29.671 --> 01:40:36.137]  They've got to set me against dead kids and say, oh, he questioned the mass shooting, even though I never said the name of the parents and never attacked them.
[01:40:37.159 --> 01:40:37.740]  I don't need hugs.
[01:40:59.400 --> 01:41:08.622]  What I need is financial support and prayer and you to share the articles at InfoWars.com and NewsWars.com and Bandai Video like your life depends on it.
[01:41:08.622 --> 01:41:12.483]  I need people to go to this URL, Bandai Video.
[01:41:12.483 --> 01:41:23.266]  I need you to find what you think are the best reports, the best information, and I want you to share them because that is the revolutionary act.
[01:41:23.266 --> 01:41:26.907]  That is what is going to change the world.
[01:41:27.847 --> 01:41:30.288]  Because we have an attempt to depopulate.
[01:41:30.288 --> 01:41:32.449]  We have an attempt to take over human will.
[01:41:32.449 --> 01:41:35.069]  We have an attempt to build a post-human future.
[01:41:35.069 --> 01:41:38.111]  Even the Wall Street Journal says, looking forward to the end of humans.
[01:41:38.111 --> 01:41:42.332]  And I say no to that, and I'm betting on you, and I believe in you.
[01:41:42.332 --> 01:41:56.757]  And we are announcing the human supremacy movement of humans under Genesis, given the license over this planet for our next level for interdimensional and multi-planet, multi-galaxy expansion.
[01:41:58.439 --> 01:42:00.140]  And that's really what this is.
[01:42:00.140 --> 01:42:02.001]  They don't want you to have your birthright.
[01:42:02.001 --> 01:42:03.702]  They want you to roll over and die.
[01:42:03.702 --> 01:42:08.584]  They want you to live in walled prison cities, and we're not going to do it.
[01:42:08.584 --> 01:42:13.006]  We're not going to be part of it.
[01:42:13.006 --> 01:42:14.507]  They've cut the food off.
[01:42:14.507 --> 01:42:16.848]  They're cutting the energy off.
[01:42:16.848 --> 01:42:18.669]  We're living inside the New World Order.
[01:42:18.669 --> 01:42:26.913]  And I'm just so blessed to have a crew and an organization, despite everything that's happened,
[01:42:29.036 --> 01:42:36.902]  Thanks to you, the listener and viewer, that is still on air because of your word of mouth, your prayer, and your financial support.
[01:42:36.902 --> 01:42:43.067]  Our most important work ever is happening right now and we all know it.
[01:42:43.067 --> 01:42:46.991]  So I want you to all go now and take the articles and videos and share them.
[01:42:46.991 --> 01:42:49.633]  I want you to buy product at InfoWarsaw.com.
[01:42:49.633 --> 01:42:55.858]  And I want you to pray for your awakening, our awakening, and God give us provision to stand against the enemy.
[01:42:57.588 --> 01:43:01.451]  This is July 30th, emergency broadcast.
[01:43:01.451 --> 01:43:03.993]  July 30th, emergency broadcast.
[01:43:03.993 --> 01:43:07.296]  Alex Jones makes a statement on Infowars bankruptcy.
[01:43:07.296 --> 01:43:09.638]  Yeah, we're maxed out.
[01:43:09.638 --> 01:43:14.342]  And our enemies claim we have hundreds of millions of dollars and put all these fake financials and scrambled garbage.
[01:43:14.342 --> 01:43:15.843]  And now it's all in federal court.
[01:43:15.843 --> 01:43:23.189]  Not that I trust federal court, but the chosen state judges of Connecticut and Texas, Democrat Party operatives, trying to claim all this is true.
[01:43:23.189 --> 01:43:24.751]  They're having their bluff called.
[01:43:27.432 --> 01:43:29.554]  I will continue on, and we've got a plan.
[01:43:29.554 --> 01:43:47.928]  If you buy the products at m4restore.com, if you get the bodies, if you get the Vitamin Refusion, if you get the Diet Force, if you get the X2, if you get the Great Reset, if you get Alex's War, if you continue to fund us, everything we do is like in Super Mario Brothers, when he hits the mushroom, he gets invincible.
[01:43:47.928 --> 01:43:53.833]  We've hit that point right now, and they know that.
[01:43:55.615 --> 01:44:04.182]  And so all of my 28 years on air, all the work we've done over the years, is now coming down to a head right now.
[01:44:04.182 --> 01:44:10.588]  And I've done my job, and you've done your job, and I salute you and I thank you, but now is the time to be informed.
[01:44:10.588 --> 01:44:12.509]  Now is the time to be involved.
[01:44:12.509 --> 01:44:14.391]  Now is the time to be standing up.
[01:44:14.391 --> 01:44:17.033]  Now is the time to be saying no to the tyrants.
[01:44:17.033 --> 01:44:19.035]  It's such a beautiful time.
[01:44:19.035 --> 01:44:21.057]  It's scary, it's painful, it's wild.
[01:44:23.558 --> 01:44:26.099]  You've got China threatening to blow up Nancy Pelosi's plane.
[01:44:26.099 --> 01:44:28.900]  You've got Biden, the most unpopular president in U.S.
[01:44:28.900 --> 01:44:29.180]  history.
[01:44:29.180 --> 01:44:32.561]  You've got Biden saying we're not in a recession and gaslighting everybody.
[01:44:32.561 --> 01:44:34.722]  You've got Biden creating permanent U.S.
[01:44:34.722 --> 01:44:37.944]  Postal Service division to deliver and return ballots in U.S.
[01:44:37.944 --> 01:44:39.884]  elections to do it by fraud.
[01:44:39.884 --> 01:44:41.285]  And that's how their dictatorship works.
[01:44:41.285 --> 01:44:46.187]  But we're aware of them and we're not scared of their intimidation.
[01:44:46.187 --> 01:44:50.729]  And we are not going to back down.
[01:44:50.729 --> 01:44:51.749]  And that is a beautiful thing.
[01:44:55.196 --> 01:44:57.977]  But we've got other really bad news.
[01:44:57.977 --> 01:45:04.578]  House passes assault weapons ban to ban all semi-automatics in the United States.
[01:45:04.578 --> 01:45:07.139]  There's a great meme that explains it all.
[01:45:07.139 --> 01:45:16.280]  All the cops in the photos stood down, 450 plus police in the Uvalde, under orders.
[01:45:16.280 --> 01:45:20.381]  One good guy with a gun is worth more than 376 cops, over 450 now, who did nothing.
[01:45:24.741 --> 01:45:36.287]  Two men, Johnny Hurtley and Elijah Dickin, they stopped mass shooters down their tracks.
[01:45:36.287 --> 01:45:41.629]  These police stood down because they're bureaucrats of the system.
[01:45:41.629 --> 01:45:43.130]  And that's what the establishment's scared of.
[01:45:45.026 --> 01:45:51.411]  So we talk about human supremacy, whether we're going to believe in ourselves and stand up for our rights or be slaves.
[01:45:51.411 --> 01:45:56.914]  And the media totally freaked out about that rant I did, like Wednesday, went viral on Thursday.
[01:45:56.914 --> 01:46:02.739]  I responded to it on Infowars.com, the critics of the epic human supremacy speech.
[01:46:02.739 --> 01:46:05.921]  Here's the original Alex Jones human supremacy legendary speech.
[01:46:07.469 --> 01:46:08.690]  But look at this.
[01:46:08.690 --> 01:46:11.011]  This is the evolution of dehumanization.
[01:46:11.011 --> 01:46:24.718]  An alone, desperate man with no family, no women, no future, believing that if he rejects his manhood and wears a yellow dress and a purse and wears his mask, that he will be all alone, somehow empowered.
[01:46:26.311 --> 01:46:27.252]  He's been isolated.
[01:46:27.252 --> 01:46:28.532]  We love him.
[01:46:28.532 --> 01:46:29.333]  He's been isolated.
[01:46:29.333 --> 01:46:29.893]  He's been hurt.
[01:46:29.893 --> 01:46:31.174]  We don't make fun of him.
[01:46:31.174 --> 01:46:32.955]  It's so sad what they did to him.
[01:46:32.955 --> 01:46:34.936]  He didn't have a father or a mother to lead him.
[01:46:34.936 --> 01:46:37.698]  He's just a humanized slave alone.
[01:46:37.698 --> 01:46:40.700]  Just saying, I don't want to be a man.
[01:46:40.700 --> 01:46:42.721]  I give up.
[01:46:42.721 --> 01:46:43.342]  I surrender.
[01:46:43.342 --> 01:46:46.104]  I give up to the New World Order.
[01:46:46.104 --> 01:46:48.605]  But then you have the next phase.
[01:46:48.605 --> 01:46:52.388]  That guy that beat up the people at the grocery store, the little
[01:46:53.629 --> 01:46:59.412]  Convenience store and screamed, it's ma'am, it's ma'am, the convicted felon.
[01:46:59.412 --> 01:47:02.133]  Healthy, happy and whole.
[01:47:02.133 --> 01:47:06.855]  Trans rights are humans' rights.
[01:47:06.855 --> 01:47:16.360]  So we go from a man rejecting his masculinity and who he is and his office in the world, to a creature that looks like a space alien.
[01:47:16.360 --> 01:47:17.860]  On purpose, that's how they all dress.
[01:47:17.860 --> 01:47:19.721]  Trans rights are human rights.
[01:47:19.721 --> 01:47:21.142]  They're not transitioning to be a woman.
[01:47:22.756 --> 01:47:27.197]  They're transitioning from being a human.
[01:47:27.197 --> 01:47:32.419]  Whether it's the man that's over the nuclear weapons, it looks just the same.
[01:47:32.419 --> 01:47:34.860]  And you transition into this.
[01:47:34.860 --> 01:47:40.802]  Tattooed black alien man, now wants one of his legs amputated.
[01:47:40.802 --> 01:47:46.624]  It's not enough to deform yourself and kill your humanity and show these things you've given up who you are.
[01:47:46.624 --> 01:47:50.505]  Once you accept that transmission, they want you to chop yourself up.
[01:47:51.758 --> 01:47:54.319]  That's who these things are.
[01:47:54.319 --> 01:47:58.219]  That's what this is.
[01:47:58.219 --> 01:48:13.642]  They somehow managed to demonize coughs, sniffles, and having no symptoms at all, but normalized strokes, blood clots, and neurological disorders, and died suddenly, unexpectedly, unexplainedly.
[01:48:13.642 --> 01:48:18.343]  So I'm going to air too many documentaries that haven't gotten the attention they deserve.
[01:48:18.343 --> 01:48:20.044]  We haven't found the one I want, Endgame 2.0.
[01:48:21.863 --> 01:48:24.165]  I put out 15 years ago, 14 years ago.
[01:48:24.165 --> 01:48:28.468]  But here are two of the others, back-to-back.
[01:48:28.468 --> 01:48:32.891]  New World Order, Blueprint of Mad Men, full-length documentary, 39 minutes.
[01:48:32.891 --> 01:48:36.794]  And then Endgame 2019, Democracy of Genocide, back-to-back.
[01:48:36.794 --> 01:48:38.535]  And we'll end this live transmission.
[01:48:38.535 --> 01:48:41.458]  We'll reloop it until 4 p.m.
[01:48:41.458 --> 01:48:42.318]  on Sunday.
[01:48:42.318 --> 01:48:45.080]  Today's July 30th.
[01:48:45.080 --> 01:48:45.881]  It'll be tomorrow.
[01:48:46.653 --> 01:48:47.693]  And I'll cover it all.
[01:48:47.693 --> 01:48:50.034]  Every day here, we're blessed.
[01:48:50.034 --> 01:48:53.395]  Every day here, we're so happy to be here.
[01:48:53.395 --> 01:48:59.137]  But go to InfoWarsTore.com and get the Great Reset, the Death Star Plans, and the War for the World.
[01:48:59.137 --> 01:49:00.578]  Get Alex's War.
[01:49:00.578 --> 01:49:02.739]  Get Ultimate Turmeric Formula Bodies.
[01:49:02.739 --> 01:49:04.959]  Get Vitamin Mineral Fusion in stock.
[01:49:04.959 --> 01:49:06.540]  Get our new Diet Force.
[01:49:06.540 --> 01:49:07.320]  And keep us on air.
[01:49:07.320 --> 01:49:08.981]  Because the fight is now.
[01:49:08.981 --> 01:49:11.522]  We've reached a critical juncture in all of this.
[01:49:12.352 --> 01:49:15.593]  We won't let humanity be enslaved in the present planet.
[01:49:15.593 --> 01:49:19.735]  We will stand and we will win because God is on our side.
[01:49:19.735 --> 01:49:20.956]  Great job of the crew.
[01:49:20.956 --> 01:49:27.639]  Here are these too many documentaries that have gotten almost no attention in the last 10 years that are now being brought back to the fore.
[01:49:27.639 --> 01:49:28.839]  I hope you share them.
[01:49:28.839 --> 01:49:29.580]  I hope you clip them.
[01:49:29.580 --> 01:49:31.721]  I hope you get them out because you are the resistance.
[01:49:31.721 --> 01:49:32.881]  You are the power.
[01:49:32.881 --> 01:49:36.923]  Here are the reports and I'll see you back Sunday, 4 to 6 p.m.
[01:49:36.923 --> 01:49:39.004]  Central for the Sunday edition of the Alex Jones Show.
[01:49:51.207 --> 01:50:05.410]  Even though I'm just a lowly person and aren't part of the greatest supreme homeland of people in black uniforms that I look up to, I'm still part of the federal family that Janet talks about because I snoop for them.
[01:50:05.410 --> 01:50:07.430]  And that's what America's about.
[01:50:07.430 --> 01:50:09.291]  Total schizophrenic paranoia.
[01:50:09.291 --> 01:50:13.052]  I tell you what folks, we got some breaking news.
[01:50:13.052 --> 01:50:14.292]  Stop this and start it over.
[01:50:15.032 --> 01:50:18.814]  I've been saying they're going to kill Biden claiming it's COVID or assassinate him.
[01:50:18.814 --> 01:50:21.276]  And now he's had four shots.
[01:50:21.276 --> 01:50:22.797]  Now he has another positive test.
[01:50:22.797 --> 01:50:24.098]  They say he's super sick.
[01:50:24.861 --> 01:50:30.904]  He tested positive for COVID-19 today, and apparently recovering from the virus and testing negative on Tuesday.
[01:50:30.904 --> 01:50:39.068]  Biden's physician acknowledges that he likely suffered a so-called rebound infection, which can affect patients taking Pfizer's antiviral pills.
[01:50:39.068 --> 01:50:44.071]  So he took all the shots, took all the pills, and he's sick again, proving these shots are deadly.
[01:50:44.071 --> 01:50:48.733]  They're getting ready to get rid of Biden and claim that it was the virus.
[01:50:48.733 --> 01:50:50.774]  But it's their systems killing us.
[01:50:50.774 --> 01:50:51.835]  Let's start the report over.
[01:50:51.835 --> 01:50:52.175]  Here it is.
[01:51:04.105 --> 01:51:18.319]  Even though I'm just a lowly person and aren't part of the greater supreme homeland people in black uniforms that I look up to, I'm still part of the federal family that Janet talks about because I snoop for them.
[01:51:18.319 --> 01:51:20.321]  And that's what America's about.
[01:51:20.321 --> 01:51:23.024]  Total schizophrenic paranoia.
[01:51:23.024 --> 01:51:26.668]  Absolutely thinking the terrorists are hiding under every table.
[01:51:28.624 --> 01:51:34.048]  Just think, they all look normal, but you know any of them could be a terrorist.
[01:51:34.048 --> 01:51:35.690]  Don't trust the public.
[01:51:35.690 --> 01:51:41.094]  Only trust Janet, Big Sis, Napolitano, and Homeland Security.
[01:51:41.094 --> 01:51:42.975]  That's what I've learned.
[01:51:42.975 --> 01:51:43.936]  And that's what I do.
[01:51:43.936 --> 01:51:50.261]  Yeah, it's in the communities against terrorism alerts.
[01:51:50.261 --> 01:51:51.922]  They put out hundreds of them.
[01:51:51.922 --> 01:51:54.845]  They say people wearing blue jeans are using cell phones of the terrorists.
[01:51:55.845 --> 01:52:07.273]  I work at a local internet cafe, coffee shop, and they told me that there were people doing stuff like trying to have privacy or using voice over IP or communicating through PC games.
[01:52:07.273 --> 01:52:09.735]  Man, there's nothing these terrorists won't do.
[01:52:09.735 --> 01:52:14.158]  But the number one thing they said was they use cash or credit cards.
[01:52:14.158 --> 01:52:16.140]  That's the really scary part.
[01:52:16.140 --> 01:52:23.865]  There's a lot of them come in there, a lot of them using cash, and some of them even want to be anonymous and have privacy when they surf the web.
[01:52:25.885 --> 01:52:26.506]  Watch.
[01:52:26.506 --> 01:52:31.570]  It makes me realize that most of the population are terrorists.
[01:52:31.570 --> 01:52:34.873]  There's so many people using cell phones.
[01:52:34.873 --> 01:52:40.217]  There's so many people who've got screen blockers so I can't read what they're saying.
[01:52:40.217 --> 01:52:43.580]  There's even more using cash.
[01:52:43.580 --> 01:52:44.681]  A terrorist.
[01:52:44.681 --> 01:52:47.164]  A terrorist murderer.
[01:52:47.164 --> 01:52:48.645]  Hold yourself together.
[01:53:02.981 --> 01:53:07.406]  Trust no one but Janet Dungbeetle DiPolitano.
[01:53:07.406 --> 01:53:11.570]  No one but her.
[01:53:11.570 --> 01:53:16.556]  You've always wanted to be part of an elite team.
[01:53:16.556 --> 01:53:20.179]  You got responsibilities now.
[01:53:20.179 --> 01:53:22.282]  Now get out there and start spying.
[01:53:32.614 --> 01:53:36.696]  Can we have a large house blend, please?
[01:53:36.696 --> 01:53:38.377]  Alright, let me get that for you.
[01:53:38.377 --> 01:53:44.101]  Oh yeah, he's definitely one.
[01:53:44.101 --> 01:53:50.044]  Listen, um, are you... Why are you paying cash on it?
[01:53:50.044 --> 01:53:51.065]  Yeah, you alright now?
[01:53:53.072 --> 01:53:53.892]  I gotta ask you this.
[01:53:53.892 --> 01:53:55.613]  It's just a matter of national security.
[01:53:55.613 --> 01:53:57.553]  I'm an important person now.
[01:53:57.553 --> 01:54:00.114]  Is there a reason you're paying with cash?
[01:54:00.114 --> 01:54:01.655]  Uh, it's only a couple dollars.
[01:54:01.655 --> 01:54:06.996]  I just usually pay cash when it's, you know, not very much money.
[01:54:06.996 --> 01:54:09.397]  Why?
[01:54:09.397 --> 01:54:12.018]  I don't understand how that's any of your business.
[01:54:12.018 --> 01:54:14.459]  But I mean, privacy is not what America's about.
[01:54:14.459 --> 01:54:17.540]  I mean, I've gotta report you to Homeland Security.
[01:54:18.371 --> 01:54:20.252]  Are you on meds?
[01:54:20.252 --> 01:54:22.333]  No, this is the new homeland.
[01:54:22.333 --> 01:54:23.914]  The TSA sticks their hands down your pants.
[01:54:23.914 --> 01:54:27.256]  I think you're acting kind of weird.
[01:54:27.256 --> 01:54:30.018]  I just want a cup of coffee.
[01:54:30.018 --> 01:54:32.939]  With the inflation, it's actually $5 for a cup of coffee.
[01:54:32.939 --> 01:54:34.360]  Do you have some more money?
[01:54:34.360 --> 01:54:38.622]  Can I get a cup of coffee, just regular?
[01:54:38.622 --> 01:54:38.783]  Sure.
[01:54:38.783 --> 01:54:41.864]  Medium, anything else?
[01:54:41.864 --> 01:54:42.865]  I'll get a cookie too.
[01:54:42.865 --> 01:54:43.665]  You'll get a cookie?
[01:54:43.665 --> 01:54:44.626]  Alright, sure, I'll get that for you.
[01:54:46.710 --> 01:54:48.711]  God, there's a lot of terrorists.
[01:54:48.711 --> 01:54:49.472]  Hold on a minute.
[01:54:49.472 --> 01:54:51.353]  Can you pay with a credit card, please?
[01:54:51.353 --> 01:54:54.975]  I don't know if I have enough in my account, so I'm just gonna pay cash.
[01:54:54.975 --> 01:54:58.036]  Actually, I have a couple 20s here, so I'm just gonna give you a 20.
[01:54:58.036 --> 01:54:59.757]  Is that cool?
[01:54:59.757 --> 01:55:02.639]  Oh my God!
[01:55:02.639 --> 01:55:07.202]  I'm gonna get my stuff together.
[01:55:07.202 --> 01:55:07.922]  I'm Jack Bauer.
[01:55:07.922 --> 01:55:13.445]  Jack Bauer.
[01:55:13.445 --> 01:55:14.105]  Can you get my change?
[01:55:16.533 --> 01:55:17.034]  Can I have that?
[01:55:17.034 --> 01:55:18.615]  Thanks.
[01:55:18.615 --> 01:55:19.456]  You cool?
[01:55:19.456 --> 01:55:20.197]  You're being watched.
[01:55:20.197 --> 01:55:22.359]  The homeland's keeping you safe.
[01:55:22.359 --> 01:55:23.520]  By who?
[01:55:23.520 --> 01:55:24.081]  Just get out of here.
[01:55:24.081 --> 01:55:25.722]  You're lucky.
[01:55:25.722 --> 01:55:31.148]  You know, it's a pretty big boost to my ego to realize I'm a good guy because I spy on everybody.
[01:55:39.439 --> 01:55:40.019]  There he is.
[01:55:40.019 --> 01:55:41.580]  Oh, he's dangerous, you can tell it.
[01:55:41.580 --> 01:55:43.701]  I just act like I'm sneaking up on him.
[01:55:43.701 --> 01:55:45.201]  All right.
[01:55:45.201 --> 01:55:46.062]  Oh, no, it's true.
[01:55:46.062 --> 01:55:47.882]  He's looking at InfoWars.
[01:55:47.882 --> 01:55:52.484]  In fact, it says in the report that they visit extremist or radical sites.
[01:55:52.484 --> 01:55:53.465]  I've got to track him.
[01:55:53.465 --> 01:55:58.507]  I've got to do what they told me.
[01:55:58.507 --> 01:56:01.708]  I can almost hear it now.
[01:56:01.708 --> 01:56:03.789]  Oh, my gosh, some secret agent.
[01:56:20.898 --> 01:56:21.799]  Oh man, I'm brave.
[01:56:21.799 --> 01:56:24.761]  I'm just like those guys on TV.
[01:56:24.761 --> 01:56:26.141]  Yes, yes, FBI.
[01:56:26.141 --> 01:56:27.062]  I've got him.
[01:56:27.062 --> 01:56:28.022]  I've got him.
[01:56:28.022 --> 01:56:30.004]  He bought coffee with cash.
[01:56:30.004 --> 01:56:34.546]  And he was using a proxy server to search the web.
[01:56:34.546 --> 01:56:35.547]  Yes.
[01:56:35.547 --> 01:56:36.407]  Yes, I've got one of them.
[01:56:36.407 --> 01:56:37.368]  He's definitely a terrorist.
[01:56:41.462 --> 01:56:46.425]  The dramatization that you just witnessed is absurd.
[01:56:46.425 --> 01:56:53.069]  And it's even more absurd because it reflects reality in this country and worldwide today.
[01:56:53.069 --> 01:56:58.051]  We are 10 years into the biggest hoax in human history.
[01:56:58.051 --> 01:57:00.213]  The threat of terrorism.
[01:57:00.213 --> 01:57:02.914]  It is an irrational fear.
[01:57:02.914 --> 01:57:08.217]  It is a psychological compulsion that's been engineered into people.
[01:57:08.217 --> 01:57:09.298]  Either you are with us,
[01:57:10.728 --> 01:57:20.215]  When you really pull back from a non-emotional perspective and look at this through a historical lens, you see what a hoax it is.
[01:57:38.055 --> 01:57:43.719]  The only thing we have to fear is fear itself!
[01:57:43.719 --> 01:57:47.481]  Nameless, unreasoning, unjustified terror!
[01:57:47.481 --> 01:58:02.530]  It is absurd, it is ridiculous that the land of the free, home of the brave is gripped in abject fear, groveling and begging for the government to take our rights, launch wars, engage in secret arrest.
[01:58:02.530 --> 01:58:06.393]  Trillions of dollars have been spent in the last decade on anti-terrorism.
[01:58:06.793 --> 01:58:10.938]  Our entire society is converting to a domestic police state.
[01:58:10.938 --> 01:58:12.540]  Drones in the skies.
[01:58:12.540 --> 01:58:15.103]  TSA sticking their hands down your pants.
[01:58:15.103 --> 01:58:18.507]  Putting you in ionizing radiation chambers.
[01:58:18.507 --> 01:58:20.369]  The naked body scanners.
[01:58:20.369 --> 01:58:23.412]  But the system knows that it's a fraud.
[01:58:23.993 --> 01:58:28.459]  The system itself is actually engaging in terrorism.
[01:58:28.459 --> 01:58:39.956]  The truth is, government and its corporate whore media is using this hyped up threat to actually terrorize the population into giving up our basic liberties.
[01:58:40.296 --> 01:58:50.786]  And let's not forget that the former head of Homeland Security, Tom Ridge, a few years ago, even wrote a book admitting that they would issue terror alerts for political gain.
[01:58:50.786 --> 01:58:56.472]  Let's read the UN's own definition of terror that is very similar to the FBI's.
