[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[01:47:03.760 --> 01:47:04.760]  How you doing?
[01:47:04.760 --> 01:47:06.760]  They want you to get used to that.
[01:47:06.760 --> 01:47:08.760]  Hey, get used to us in your face.
[01:47:08.760 --> 01:47:09.760]  I see cops at restaurants.
[01:47:09.760 --> 01:47:12.760]  I walk over and I say, you guys good guys or bad guys?
[01:47:12.760 --> 01:47:14.760]  You know about the New World Order?
[01:47:14.760 --> 01:47:16.760]  You know about America being occupied?
[01:47:16.760 --> 01:47:18.760]  A lot of times they go, yeah, we know.
[01:47:18.760 --> 01:47:19.760]  I'll go good, enjoy your lunch.
[01:47:19.760 --> 01:47:21.760]  But if they buck up, I go, oh, what?
[01:47:21.760 --> 01:47:24.760]  What, you don't like me swaggering over to you?
[01:47:24.760 --> 01:47:27.760]  You want me to be scared of you?
[01:47:27.760 --> 01:47:32.760]  I watch video of the TSA at the NFL game with drones over it
[01:47:32.760 --> 01:47:35.760]  and they strut around with guns on their side of their legs
[01:47:35.760 --> 01:47:38.760]  like commandos and they saw all these roid head top guys
[01:47:38.760 --> 01:47:40.760]  bugging their eyes out at people.
[01:47:40.760 --> 01:47:41.760]  I mean, I'm sorry.
[01:47:41.760 --> 01:47:42.760]  I see a guy doing that.
[01:47:42.760 --> 01:47:44.760]  I'm like, why are you acting so tough?
[01:47:44.760 --> 01:47:45.760]  Why are you acting like there's a problem?
[01:47:45.760 --> 01:47:47.760]  Why are you acting like I'm bad?
[01:47:47.760 --> 01:47:49.760]  Because you want to teach me how to be a perp.
[01:47:49.760 --> 01:47:51.760]  You want to teach me that I'm being inducted into the prison
[01:47:51.760 --> 01:47:53.760]  and you're the big bad prison guard, aren't you?
[01:47:53.760 --> 01:47:55.760]  Oh, we got a situation.
[01:47:55.760 --> 01:47:56.760]  Hey, what's wrong with you, sir?
[01:47:56.760 --> 01:47:57.760]  What's wrong with me?
[01:47:57.760 --> 01:47:58.760]  I don't like an occupied army.
[01:47:58.760 --> 01:48:02.760]  I'm not in Fallujah, Jack.
[01:48:02.760 --> 01:48:03.760]  Oh, yeah.
[01:48:03.760 --> 01:48:05.760]  I see, I will start videotaping.
[01:48:05.760 --> 01:48:06.760]  And I do sometimes.
[01:48:06.760 --> 01:48:08.760]  I got one of these things on my phone right here.
[01:48:08.760 --> 01:48:10.760]  But then it turned out they were all listeners.
[01:48:10.760 --> 01:48:14.760]  So I haven't put the video out yet.
[01:48:14.760 --> 01:48:18.760]  But still, why do they have patrols on the hiking bike trail
[01:48:18.760 --> 01:48:21.760]  now in the middle of nowhere where you might see one person
[01:48:21.760 --> 01:48:24.760]  in an hour, why did I run into four of these guys?
[01:48:24.760 --> 01:48:26.760]  And I come over, oh, what's going on?
[01:48:26.760 --> 01:48:27.760]  Keeping this safe from blah, blah, blah.
[01:48:27.760 --> 01:48:29.760]  You know about the government stage in 9-11?
[01:48:29.760 --> 01:48:30.760]  You know about this and that?
[01:48:30.760 --> 01:48:32.760]  You know about how the government's funding Al-Qaeda?
[01:48:32.760 --> 01:48:33.760]  Yeah, we're listeners.
[01:48:33.760 --> 01:48:34.760]  We agree with you.
[01:48:34.760 --> 01:48:35.760]  We know it's terrible.
[01:48:35.760 --> 01:48:37.760]  I'm like, oh, OK.
[01:48:37.760 --> 01:48:39.760]  But you need to like, see, they're
[01:48:39.760 --> 01:48:41.760]  trying to dominate us, ladies and gentlemen.
[01:48:41.760 --> 01:48:43.760]  And they're trying to get all the rest of the minions
[01:48:43.760 --> 01:48:45.760]  of the system think it's OK to dominate us.
[01:48:45.760 --> 01:48:47.760]  They win, it's over.
[01:48:47.760 --> 01:48:50.760]  Frank in New York, thanks for holding, brother.
[01:48:50.760 --> 01:48:54.760]  So how are you doing?
[01:48:54.760 --> 01:48:55.760]  Good, brother.
[01:48:55.760 --> 01:48:56.760]  Very good.
[01:48:56.760 --> 01:48:57.760]  Thank you.
[01:48:57.760 --> 01:48:59.760]  I just want to take a moment to thank you for opening my eyes.
[01:48:59.760 --> 01:49:03.760]  I was a zombie before all the situation happened.
[01:49:03.760 --> 01:49:05.760]  It was from 9-11 on.
[01:49:05.760 --> 01:49:08.760]  I've been awake big time.
[01:49:08.760 --> 01:49:11.760]  Basically, my question to you is this.
[01:49:11.760 --> 01:49:14.760]  I'm strongly considering getting a gun, basically,
[01:49:14.760 --> 01:49:16.760]  because I don't trust the government at all.
[01:49:16.760 --> 01:49:18.760]  I understand what they're trying to do.
[01:49:18.760 --> 01:49:20.760]  I have a good friend of mine that owns a gun shop,
[01:49:20.760 --> 01:49:23.760]  and he actually posted me to get, you know,
[01:49:23.760 --> 01:49:25.760]  to go for my gun license for a permit.
[01:49:25.760 --> 01:49:28.760]  But unfortunately, it's very difficult to get a gun permit
[01:49:28.760 --> 01:49:30.760]  in New York or in that.
[01:49:30.760 --> 01:49:33.760]  Now, the question is this, though.
[01:49:33.760 --> 01:49:35.760]  What do you think is going to happen?
[01:49:35.760 --> 01:49:39.760]  Are they really going to go and repeal a second amendment?
[01:49:39.760 --> 01:49:42.760]  They're openly calling for the repeal of the second amendment
[01:49:42.760 --> 01:49:44.760]  now before they said, oh, there's no second amendment
[01:49:44.760 --> 01:49:45.760]  right to own guns.
[01:49:45.760 --> 01:49:47.760]  And now they're like, you have a right,
[01:49:47.760 --> 01:49:48.760]  just to repeal it.
[01:49:48.760 --> 01:49:50.760]  Yes, they are going to, your governor has said
[01:49:50.760 --> 01:49:52.760]  he's going to order them turned in.
[01:49:52.760 --> 01:49:54.760]  I don't have the New York gun laws in front of me,
[01:49:54.760 --> 01:49:58.760]  but do you need a permit for a rifle?
[01:49:58.760 --> 01:50:01.760]  You know, something like a bolt-action rifle.
[01:50:01.760 --> 01:50:03.760]  Question that I don't know, to be honest.
[01:50:03.760 --> 01:50:05.760]  Yeah, well, I got to pull up your laws on that,
[01:50:05.760 --> 01:50:07.760]  but let me tell you something, sir.
[01:50:07.760 --> 01:50:10.760]  There is nothing better under heaven and earth
[01:50:10.760 --> 01:50:14.760]  than a double-barreled shotgun sought off at legal length.
[01:50:14.760 --> 01:50:17.760]  And I mean, usually with a criminal attacking you
[01:50:17.760 --> 01:50:20.760]  or something, the truth is that's one of the most deadly
[01:50:20.760 --> 01:50:22.760]  and best weapons out there.
[01:50:22.760 --> 01:50:26.760]  And it's also, in a moment with a criminal busted in your door
[01:50:26.760 --> 01:50:29.760]  or somebody trying to rob you or somebody trying to carjack you,
[01:50:29.760 --> 01:50:32.760]  a sought-off shotgun is you just pull it and pull the trigger.
[01:50:32.760 --> 01:50:36.760]  And I mean, then everything in the way is blown to kingdom come.
[01:50:36.760 --> 01:50:39.760]  So I personally would get something like a bounty hunter
[01:50:39.760 --> 01:50:42.760]  legally sought off their manufactured short-barreled
[01:50:42.760 --> 01:50:44.760]  12-gauge shotgun.
[01:50:44.760 --> 01:50:49.760]  But you can also get great little semi-auto 410s.
[01:50:49.760 --> 01:50:52.760]  I mean, there's just so many shotguns out there.
[01:50:52.760 --> 01:50:54.760]  And you can also, well, here's the deal.
[01:50:54.760 --> 01:50:56.760]  A lot of states have already basically banned guns.
[01:50:56.760 --> 01:50:58.760]  You're already registered.
[01:50:58.760 --> 01:51:23.760]  And it's just a shame. Stay there.
[01:51:29.760 --> 01:51:30.760]  is only compounding the problem.
[01:51:30.760 --> 01:51:34.760]  Number four, dangerous weather is always a threat to local grids.
[01:51:34.760 --> 01:51:36.760]  Every year, thousands of families lose their power
[01:51:36.760 --> 01:51:38.760]  from weather-related onages.
[01:51:38.760 --> 01:51:40.760]  Number five, a solar power generator
[01:51:40.760 --> 01:51:43.760]  provides powerful backup insurance and peace of mind.
[01:51:43.760 --> 01:51:45.760]  Folks, I really believe in the solar power generators
[01:51:45.760 --> 01:51:48.760]  offered by Solutions from Science, one of my old sponsors.
[01:51:48.760 --> 01:51:52.760]  You can get more information at www.mysolarbackup.com.
[01:51:52.760 --> 01:51:54.760]  That's mysolarbackup.com.
[01:51:54.760 --> 01:51:56.760]  Remember, the government doesn't own the sun,
[01:51:56.760 --> 01:51:58.760]  so go to mysolarbackup.com
[01:51:58.760 --> 01:52:02.760]  or call 1-877-327-0365.
[01:52:02.760 --> 01:52:03.760]  Hello, this is Ty Bollinger,
[01:52:03.760 --> 01:52:06.760]  author of the best-selling book, Cancer Step Outside the Box.
[01:52:06.760 --> 01:52:09.760]  I want you to know some very important information.
[01:52:09.760 --> 01:52:13.760]  In 1985, President Ronald Reagan requested that Carnivora
[01:52:13.760 --> 01:52:15.760]  be sent directly to the White House
[01:52:15.760 --> 01:52:18.760]  at a time when only the president could obtain this world-class healer.
[01:52:18.760 --> 01:52:22.760]  Now, 27 years later, Carnivora capsules are used around the world
[01:52:22.760 --> 01:52:24.760]  to keep people healthy.
[01:52:24.760 --> 01:52:27.760]  Now, you can protect yourself and your loved ones
[01:52:27.760 --> 01:52:31.760]  in this age of superbugs with 17 naturally occurring compounds
[01:52:31.760 --> 01:52:34.760]  that instinctively respond to abnormal cells only
[01:52:34.760 --> 01:52:36.760]  without harming a single normal cell.
[01:52:36.760 --> 01:52:38.760]  If you want to stay healthy, now's your chance
[01:52:38.760 --> 01:52:40.760]  to literally wake up your critical immune cells
[01:52:40.760 --> 01:52:43.760]  to attack harmful invaders that don't belong in your body.
[01:52:43.760 --> 01:52:46.760]  Call 1-866-VENUS-FLY
[01:52:46.760 --> 01:52:48.760]  or order from Carnivora.com.
[01:52:48.760 --> 01:52:51.760]  That's C-A-R-N-I-V-O-R-A.com.
[01:52:51.760 --> 01:52:54.760]  That's 1-866-836-8735
[01:52:54.760 --> 01:52:56.760]  1-866-VENUS-FLY
[01:52:56.760 --> 01:52:58.760]  or visit Carnivora.com.
[01:52:58.760 --> 01:53:01.760]  Protect your immune system. It's the only one you've got.
[01:53:01.760 --> 01:53:05.760]  My name is Josh. One World Way is the best in the market, hands down.
[01:53:05.760 --> 01:53:08.760]  I'm in the U.S. Navy, and I live a very active lifestyle.
[01:53:08.760 --> 01:53:11.760]  Being a vegetarian, it's hard getting all the protein I need.
[01:53:11.760 --> 01:53:14.760]  I tried the vegan protein powders, and I just wasn't feeling any change.
[01:53:14.760 --> 01:53:17.760]  The Meathead Supplement Store weight protein kind of worked for a bit,
[01:53:17.760 --> 01:53:20.760]  but it left me feeling bloated, and my digestion seemed to slow down.
[01:53:20.760 --> 01:53:24.760]  By some divine stroke of luck, I heard a commercial of One World Way on the radio,
[01:53:24.760 --> 01:53:28.760]  and it struck my interest. I have to tell you, I am so glad I got it.
[01:53:28.760 --> 01:53:31.760]  I have been taking it for a week, and the results are amazing.
[01:53:31.760 --> 01:53:34.760]  I don't feel tired when I have to get up at 4.30 a.m.
[01:53:34.760 --> 01:53:38.760]  I look and feel better. I recover faster from my two workouts a day.
[01:53:38.760 --> 01:53:41.760]  When I don't have time to eat good food, I take it,
[01:53:41.760 --> 01:53:44.760]  and I don't feel the urge to stuff my face for hours.
[01:53:44.760 --> 01:53:47.760]  I got up this morning, and I looked the leanest I've looked since high school.
[01:53:47.760 --> 01:53:52.760]  I can go on and on. The best I can do to repay you is buy more and tell my friends.
[01:54:17.760 --> 01:54:26.760]  We are back live. Ladies and gentlemen, thank you so much for joining us today.
[01:54:26.760 --> 01:54:30.760]  I'm going to go back to your calls and wide open phones into the third hour.
[01:54:30.760 --> 01:54:37.760]  Now it's out in the open that they're coming after our guns.
[01:54:37.760 --> 01:54:41.760]  I'm going to finish up with the caller in New York here in just a moment.
[01:54:41.760 --> 01:54:47.760]  But the fact that they'll come right out and say, yeah, we want to ban your guns,
[01:54:47.760 --> 01:54:52.760]  make you turn them in, Mr. and Mrs. America, it really shows you that they've got some big things planned.
[01:54:52.760 --> 01:55:00.760]  They're not going to even get anywhere near getting away with this unless they attack some of their own federal buildings.
[01:55:00.760 --> 01:55:04.760]  They like to kill kids because that gets them extra gas mileage, plus they like it.
[01:55:04.760 --> 01:55:09.760]  So they'll probably kill some kids in federal daycare centers like in 95,
[01:55:09.760 --> 01:55:15.760]  which if you haven't seen the film, a noble lie that I'm in and that we sell at m4store.com.
[01:55:15.760 --> 01:55:20.760]  I mean, it's an open and shut case. We even know who did the attack, the names of the men that bombed the buildings.
[01:55:20.760 --> 01:55:25.760]  We have the police officers and other witnesses who were actually death-threaded by the FBI.
[01:55:25.760 --> 01:55:28.760]  They said, we'll kill you and your wife if you don't shut up.
[01:55:28.760 --> 01:55:32.760]  We've got the head of the HUD department who was there and witnessed them planting the bombs.
[01:55:32.760 --> 01:55:38.760]  They told her it was but great sticks of butter.
[01:55:38.760 --> 01:55:40.760]  We know exactly who did that.
[01:55:40.760 --> 01:55:43.760]  And criminals do the same thing over and over again.
[01:55:43.760 --> 01:55:46.760]  They'll hit federal buildings. Very few federal buildings have nurseries in them.
[01:55:46.760 --> 01:55:50.760]  If you're in a federal building with a nursery, look out.
[01:55:50.760 --> 01:55:53.760]  That's the kind of places they'll attack.
[01:55:53.760 --> 01:55:59.760]  And I'm sorry. I'm sorry that your bosses are foreign banks, but they will kill you to make you victims.
[01:55:59.760 --> 01:56:03.760]  So you can all, in the peer pressure, go to the event and grandstand.
[01:56:03.760 --> 01:56:07.760]  When they do this, though, you've got to have cameras out immediately
[01:56:07.760 --> 01:56:12.760]  because a lot of times their operatives, albeit they're watching after they commit a mass shooting
[01:56:12.760 --> 01:56:16.760]  or watching after they blow something up, they're going to be watching for witnesses.
[01:56:16.760 --> 01:56:18.760]  They're going to be watching for you.
[01:56:18.760 --> 01:56:22.760]  So especially if you work in federal buildings, I would carry video cameras on you.
[01:56:22.760 --> 01:56:24.760]  All your phones do it now.
[01:56:24.760 --> 01:56:29.760]  All Americans, you know, our people were on the plane with the underwear bomber.
[01:56:29.760 --> 01:56:32.760]  That's how we exposed it was government op. Later came out, it was government op.
[01:56:32.760 --> 01:56:36.760]  I hope you don't look up the congressional testimony, but it was confirmed.
[01:56:36.760 --> 01:56:38.760]  See, that's something that shakes them up.
[01:56:38.760 --> 01:56:41.760]  Every day we've got more people watching them.
[01:56:41.760 --> 01:56:43.760]  Real patriots.
[01:56:43.760 --> 01:56:47.760]  They want us busy watching each other in the cops, treating us all like we're suspects.
[01:56:47.760 --> 01:56:55.760]  Well, we're watching you and a lot of police are waking up and are now watching the feds.
[01:56:55.760 --> 01:56:57.760]  I talked to them.
[01:56:57.760 --> 01:57:03.760]  So good luck. Good luck with your next stage terror attack like Fast and Furious.
[01:57:03.760 --> 01:57:07.760]  Let's play this clip of Feinstein one more time before I go back to Frank. Here it is.
[01:57:07.760 --> 01:57:12.760]  California Senator Diane Feinstein worked for more than a year to get the assault weapons bill passed
[01:57:12.760 --> 01:57:16.760]  in the face of ferocious opposition from the National Rifle Association.
[01:57:16.760 --> 01:57:19.760]  She says she got the best she could.
[01:57:19.760 --> 01:57:27.760]  If I could have gotten 51 votes in the Senate of the United States for an outright ban,
[01:57:27.760 --> 01:57:32.760]  picking up every one of them, Mr. and Mrs. America, turn them all in.
[01:57:32.760 --> 01:57:35.760]  I would have done it. I could not do that.
[01:57:35.760 --> 01:57:40.760]  All right. I've got to check the town, the city, but I know the state laws in New York are very restrictive
[01:57:40.760 --> 01:57:44.760]  to answer the fellow's question. The reason I said a 410 if you're not a firearm owner,
[01:57:44.760 --> 01:57:48.760]  semi-auto 12-gages might, you know, the recoil might freak you out.
[01:57:48.760 --> 01:57:51.760]  All you do is just hold it firm and there's really no recoil.
[01:57:51.760 --> 01:57:57.760]  But the best gun in most states that gets around registration and jumping through hoops for handguns
[01:57:57.760 --> 01:58:04.760]  or even for rifles are your revolvers.
[01:58:04.760 --> 01:58:12.760]  And you can get revolvers like the judge put out by Taurus that carries 410 shotgun shells.
[01:58:12.760 --> 01:58:19.760]  And it's just a really great weapon. It really is first class for somebody who may not have the best accuracy.
[01:58:19.760 --> 01:58:22.760]  And plus you don't want to kill your kids in the next room, so it's flangeable.
[01:58:22.760 --> 01:58:29.760]  So Frank, does that answer your question from New York? You got to check your local laws and things, okay?
[01:58:29.760 --> 01:58:35.760]  All right. Frank's gone. We're going to come back and we're going to go to Frank in North Carolina.
[01:58:35.760 --> 01:58:52.760]  Then we're going to go to Ken, David, Phil and others. Stay with us.
[01:59:05.760 --> 01:59:10.760]  It's available discounted at infowars.com.
[01:59:36.760 --> 01:59:41.760]  It's what my family uses. Infowars.com already has the lowest price on Propier.
[01:59:41.760 --> 01:59:47.760]  But if you add the promo code WATER at checkout, you get an additional 10% off at infowars.com.
[01:59:47.760 --> 02:00:06.760]  You can also call to order 888-253-3139.
[02:00:18.760 --> 02:00:24.760]  And now, live from Austin, Texas, Alex Jones.
[02:00:24.760 --> 02:00:29.760]  I'm compiling some of the numbers. I know Mike Adams covered it on Friday.
[02:00:29.760 --> 02:00:39.760]  But the previous record was right after the election in November for 5 million guns sold in one month.
[02:00:39.760 --> 02:00:46.760]  Previous record of that was 3 million when Obama first got elected.
[02:00:46.760 --> 02:00:51.760]  Now they're reporting that in December, the estimates are 10 million guns plus.
[02:00:51.760 --> 02:00:55.760]  I'm going to be getting to some of that 10 million guns.
[02:00:55.760 --> 02:01:01.760]  And that's just the ones that are being registered through the NIC system.
[02:01:01.760 --> 02:01:03.760]  Oh, you scum, New World Order.
[02:01:03.760 --> 02:01:12.760]  The only way you would have gotten away with this is if my shelf and Ron Paul and countless others hadn't been exposing you all the way.
[02:01:12.760 --> 02:01:19.760]  Now, you're operating like people don't know what you're doing because you're a bunch of haughty criminals.
[02:01:19.760 --> 02:01:21.760]  And criminals are always overconfident.
[02:01:21.760 --> 02:01:23.760]  I'm glad you are, Phil. We're going to get you.
[02:01:23.760 --> 02:01:25.760]  And look, they're just criminals.
[02:01:25.760 --> 02:01:29.760]  And they know they've robbed us with the insider trading and the banker bailouts.
[02:01:29.760 --> 02:01:33.760]  And they just have an instinct to disarm us. It's a good instinct.
[02:01:33.760 --> 02:01:40.760]  Listen, if I was a dirty criminal like you, New World Order, I'd want people's guns too.
[02:01:40.760 --> 02:01:42.760]  I tell you, though, the police on average are not criminals.
[02:01:42.760 --> 02:01:47.760]  They're a bunch of doubly due rights hired to follow orders.
[02:01:47.760 --> 02:01:53.760]  And, you know, cops, if I was you, I'd sign up with the American people and Thomas Jefferson and George Washington.
[02:01:53.760 --> 02:02:05.760]  I would not be signing up with the likes of Diane, insider trading, Queen, King, Feinstein, and Mr. Maddow and all those people.
[02:02:05.760 --> 02:02:09.760]  I mean, have you got any sense in your head?
[02:02:09.760 --> 02:02:16.760]  But it doesn't matter. If you make the wrong decision, your actions will punish you.
[02:02:16.760 --> 02:02:18.760]  But I really do care about you.
[02:02:18.760 --> 02:02:25.760]  And I wish you'd come in and join the American people and your ancestors and be part of the big win.
[02:02:25.760 --> 02:02:27.760]  Because we are going to win.
[02:02:27.760 --> 02:02:30.760]  David in Oklahoma, thanks for holding her on the air.
[02:02:30.760 --> 02:02:34.760]  Yeah. Hey, Alex, I talked to you last night. Can you hear me?
[02:02:34.760 --> 02:02:35.760]  Yeah, go ahead.
[02:02:35.760 --> 02:02:37.760]  Oh, yeah, no problem.
[02:02:37.760 --> 02:02:45.760]  Yeah, I gave you the Dred Scott thing last night and this stuff with Barbara Feinstein and the rest of them.
[02:02:45.760 --> 02:02:50.760]  The other thing I want to give you too is the Bill of Attainer and ex post facto law.
[02:02:50.760 --> 02:02:53.760]  That's really what this stuff is.
[02:02:53.760 --> 02:02:55.760]  Americans need to get smart.
[02:02:55.760 --> 02:03:04.760]  These guys know that basically the average guy on the street went to a public high school and have no clue about any of this stuff.
[02:03:04.760 --> 02:03:10.760]  Yet at the same time, these are the weapons that they use against societies throughout history.
[02:03:10.760 --> 02:03:13.760]  That's why I say we got to get smart.
[02:03:13.760 --> 02:03:19.760]  You have to crack books and figure out what the so-called lay of the land is.
[02:03:19.760 --> 02:03:28.760]  And realize that, for example, we talk about slavery, we don't know what slavery is.
[02:03:28.760 --> 02:03:33.760]  We don't know what a psychopath is, even though we sit around and talk about it.
[02:03:33.760 --> 02:03:37.760]  Psychopaths want to rule the world and create willing victims.
[02:03:37.760 --> 02:03:51.760]  So they call into programs like the Alex Jones show or Rush or Hannity or somebody like that and vent,
[02:03:51.760 --> 02:03:59.760]  emote, get angry, scream at the top of their lungs, but aren't understanding the problem.
[02:03:59.760 --> 02:04:05.760]  No, I agree. We need to understand why the same government gets set up every time in history,
[02:04:05.760 --> 02:04:08.760]  because psychopaths end up getting into government.
[02:04:08.760 --> 02:04:10.760]  That's what they lost after.
[02:04:10.760 --> 02:04:14.760]  I mean, any criminology book will tell you that. Government is packed with them,
[02:04:14.760 --> 02:04:20.760]  and they set up these systems, and that's why we have guns, because our founders were not psychopaths.
[02:04:20.760 --> 02:04:24.760]  They were really enlightened, cool people, and they said,
[02:04:24.760 --> 02:04:29.760]  we're going to protect you from rapacious, wicked, bad men.
[02:04:29.760 --> 02:04:32.760]  Keep government small. Keep taxes low. Don't trust government.
[02:04:32.760 --> 02:04:35.760]  Here's guns. You have a right to protect yourself.
[02:04:35.760 --> 02:04:40.760]  Watch out. Good luck. You're going to need it.
[02:04:40.760 --> 02:04:42.760]  I agree with you. I appreciate your call.
[02:04:42.760 --> 02:04:45.760]  Okay, we're going to just run through calls. I promise you're going to see it happen.
[02:04:45.760 --> 02:04:50.760]  800-25-99231.
[02:04:50.760 --> 02:04:55.760]  We're going to go to Frank and Ken and everybody else,
[02:04:55.760 --> 02:05:02.760]  many others straight ahead on this last of the year radio transmission.
[02:05:02.760 --> 02:05:09.760]  If you want an American company with American products made by Americans,
[02:05:09.760 --> 02:05:12.760]  here is the Cal Bend Soap Company.
[02:05:12.760 --> 02:05:16.760]  Alex and his staff have used these pure soap products for years.
[02:05:16.760 --> 02:05:21.760]  These all-natural soaps are made from the highest quality vegetable and coconut oils
[02:05:21.760 --> 02:05:23.760]  that are earth-friendly and safe.
[02:05:23.760 --> 02:05:31.760]  See them on the web at 5starsoap.com, or call 800-340-7091 for a free catalog.
[02:05:31.760 --> 02:05:37.760]  Buy the one to two-month sample package and enjoy soaps that are twice as good as what you're using now,
[02:05:37.760 --> 02:05:42.760]  or save big with a one to two-year supply of soaps for all your cleaning needs.
[02:05:42.760 --> 02:05:46.760]  This is an amazing deal. You can save thousands of dollars
[02:05:46.760 --> 02:05:49.760]  and you will love the way real soap makes you feel.
[02:05:49.760 --> 02:06:12.760]  See them on the web at 5starsoap.com, or call 800-340-7091 for a free catalog.
[02:06:19.760 --> 02:06:24.760]  This new technology has the ability to terminate entire colonies of harmful bacteria
[02:06:24.760 --> 02:06:29.760]  at several hundred times the effectiveness of colloidal or ionic silver solutions.
[02:06:29.760 --> 02:06:33.760]  The Science Digest Journal says silver is our mightiest germ fighter.
[02:06:33.760 --> 02:06:36.760]  It is virtually non-toxic and is emerging in the world.
[02:06:36.760 --> 02:06:40.760]  It is the most powerful and most effective technology in the world.
[02:06:40.760 --> 02:06:43.760]  It is the most effective technology in the world.
[02:06:43.760 --> 02:06:50.760]  The Science Digest Journal says silver is our mightiest germ fighter. It is virtually non-toxic and is emerging as a wonder of modern medicine.
[02:06:50.760 --> 02:06:57.760]  Go to supernaturalsilver.com today and use the promo code silver2012 for 20% off.
[02:06:57.760 --> 02:07:02.760]  That's supernaturalsilver.com and like us on Facebook.
[02:07:02.760 --> 02:07:09.760]  We have witnessed two terrible storms in the east, but we are still in the eye of the perfect storm.
[02:07:09.760 --> 02:07:15.760]  The most devastating economic conditions since the Great Depression, America's worst drought in agricultural history,
[02:07:15.760 --> 02:07:18.760]  and now the economic results of the presidential election.
[02:07:18.760 --> 02:07:21.760]  This perfect storm is a huge threat to everyone's food supply.
[02:07:21.760 --> 02:07:27.760]  I just doubled down and got even more supplies from eFoodsDirect and I recommend you do the same.
[02:07:27.760 --> 02:07:29.760]  It's time to get your own supply from eFoodsDirect.
[02:07:29.760 --> 02:07:33.760]  I know I won't be standing in a bread line trading my freedom for food.
[02:07:33.760 --> 02:07:37.760]  I'm taking control of my future and you're nuts if you don't do the same.
[02:07:37.760 --> 02:07:42.760]  Go to eFoodsDirect.com forward slash Alex to find the specials and you can start with a holiday gift pack
[02:07:42.760 --> 02:07:45.760]  that's normally $80 now under 50 bucks.
[02:07:45.760 --> 02:07:53.760]  Remember, I can warn you but I can't feed you. Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[02:07:53.760 --> 02:07:56.760]  Would you rather prepare six months too early or one day too late?
[02:07:56.760 --> 02:08:01.760]  409-5633 or eFoodsDirect.com forward slash Alex.
[02:08:01.760 --> 02:08:10.760]  We are on the march. The Empire is on the run.
[02:08:10.760 --> 02:08:15.760]  Alex Jones and the GCN Radio Network.
[02:08:15.760 --> 02:08:32.760]  Well, it's the last radio show I'm doing in 2012 because tomorrow is 2013
[02:08:32.760 --> 02:08:40.760]  and we'll be here live on New Year's Day because sure, I'd like to go on vacation.
[02:08:40.760 --> 02:08:48.760]  I'd like to go camping with my children, which we had planned, but we're not going to be doing that now.
[02:08:48.760 --> 02:08:54.760]  And you know why? Because my children have no future if we don't fight the globalist.
[02:08:54.760 --> 02:08:59.760]  Diane Feinstein, it's on record. The President intends to use her legislation.
[02:08:59.760 --> 02:09:03.760]  She's the head of the Rules Committee, also the head of the Intelligence Committee, and she is said,
[02:09:03.760 --> 02:09:08.760]  and the video is up on infowars.com and it's going super viral right now.
[02:09:08.760 --> 02:09:16.760]  Go to prisonplanet.com, go to infowars.com, get our article and our video and send it out to everyone you know.
[02:09:16.760 --> 02:09:23.760]  It is the top story in the featured news section of infowars.com video.
[02:09:23.760 --> 02:09:28.760]  Diane Feinstein says her goal is to disarm all Americans.
[02:09:28.760 --> 02:09:35.760]  Quote, if I have my way, Mr. and Mrs. America will turn them all in.
[02:09:35.760 --> 02:09:39.760]  I've already played the clip five times. I'll play it after I take some calls.
[02:09:39.760 --> 02:09:43.760]  But right now, let's play some clips I have not played yet.
[02:09:43.760 --> 02:09:46.760]  These are clips I have not played yet here.
[02:09:46.760 --> 02:09:54.760]  Joe Biden said four years ago during the last campaign, the campaign before this one that just ended in 2008,
[02:09:54.760 --> 02:10:00.760]  he said, it's ridiculous. Nobody's coming after your guns. Nobody's coming after your shotgun or my Beretta.
[02:10:00.760 --> 02:10:09.760]  Well, Beretta is an assault weapon, according to her bill. And he wrote an assault weapons bill that was even more draconian than the one that got passed in the early 90s.
[02:10:09.760 --> 02:10:16.760]  And we got a clip of him first bragging in the last debates about how he wrote the assault weapons bill.
[02:10:16.760 --> 02:10:19.760]  See, notice in the first election, they wouldn't admit this.
[02:10:19.760 --> 02:10:23.760]  In the second they did, because they knew the fix was in and they were getting ready to drop the hammer,
[02:10:23.760 --> 02:10:27.760]  where every time there's another shooting, it's not, hey, why is it in victim disarmament zones?
[02:10:27.760 --> 02:10:32.760]  Why are these guys always under psychiatric care? They always get the guns illegally?
[02:10:32.760 --> 02:10:39.760]  In every case that I've seen, they're always into Satanism. That's in the news again.
[02:10:39.760 --> 02:10:49.760]  Night stalker, son of Sam, Harrison Clybold, Kip Kingel, Adam Lanza.
[02:10:49.760 --> 02:10:55.760]  What's this crazy guy's name? Shoot the firefighters. Devil worshipper.
[02:10:55.760 --> 02:10:59.760]  Where's the church of Satan based? I mean, it just goes on and on.
[02:10:59.760 --> 02:11:05.760]  Oh, you didn't know about Newtown? Or the kingdom of Satan? It's one of those big groups.
[02:11:05.760 --> 02:11:19.760]  The point is, it's all here in the news. This is the type of garbage that we're talking about and that we're dealing with.
[02:11:19.760 --> 02:11:27.760]  And oh no, just turning your guns. Nice people. Mr. and Mrs. America. That's what we're being targeted by.
