[00:00.000 --> 00:00.100]  There are
[2:05:43.940 --> 2:05:48.500]  from the day's work when combined with the am wake up and work packet it makes the eight pack
[2:05:48.500 --> 2:06:01.700]  power stack the new camp miss info wars life product you have the power humanity has the power we have
[2:06:01.700 --> 2:06:11.300]  the power do you want to fight you better believe you got one rallying patriots worldwide in defense
[2:06:11.300 --> 2:06:25.140]  of human liberty it's alex jones
[2:06:32.500 --> 2:06:37.860]  ladies and gentlemen we're back live broadcasting worldwide for the info wars news center in austin
[2:06:37.860 --> 2:06:43.220]  texas in defiance of the globalist attempt to shut us down remember you're the road the bridge
[2:06:43.220 --> 2:06:48.100]  on which this bus is traveling on you're the air in which this bird flies without you supporting
[2:06:48.100 --> 2:06:53.140]  us we are not here you are the info war this is what you built you're seeing the giant results of
[2:06:53.140 --> 2:06:58.260]  the human desire for liberty and common sense box says with us for two segments i want him to
[2:06:58.260 --> 2:07:02.180]  pop in because you were talking about his book helping really wake you up we were selling it
[2:07:02.180 --> 2:07:05.140]  we weren't again i don't know why we saw it as something we never reorder it we take it down
[2:07:05.140 --> 2:07:10.980]  but but we've reordered it'll be here in a week so get it info wars store.com sjw is always lie
[2:07:10.980 --> 2:07:18.740]  and sjw is always double down put that lower third up again infowarstore.com today and that funds our
[2:07:18.740 --> 2:07:24.100]  operation so thank you all so let's we got two segments here and then box has got to go let's
[2:07:24.100 --> 2:07:29.220]  get into the seminal book and why you think it's so important uh the reason why it's important is
[2:07:29.220 --> 2:07:34.180]  because if you don't understand how the left operates and has been indoctrinated in order to
[2:07:34.180 --> 2:07:39.060]  achieve uh cultural change then what's going to happen is that you're going to make a mistake and
[2:07:39.940 --> 2:07:44.660]  i'll give you an example a lot of people think that they have to apologize and that if they
[2:07:44.660 --> 2:07:49.540]  apologize and they do an atonement that the problem is going to go away and what they get
[2:07:49.540 --> 2:07:53.540]  that's really empowering the jellyfish it is because what they're looking for is that they're
[2:07:53.540 --> 2:07:59.940]  actually looking for your apology as a tactic so that they can parade the apology around and say
[2:07:59.940 --> 2:08:04.020]  look this person admits that they're a bad person and then what they're going to do is they're going
[2:08:04.020 --> 2:08:09.860]  to use it to slime you and destroy you and this happens over and over and over again and so
[2:08:09.860 --> 2:08:16.500]  one of the most important lessons that i learned from sjw's always lie is never apologize to the
[2:08:16.500 --> 2:08:21.300]  left because they're not going to let you go there it's just a tactic that they're going to use in
[2:08:21.300 --> 2:08:32.020]  order to uh hurt you um and um you know and and so yeah like you know vox is here today and uh
[2:08:32.020 --> 2:08:38.100]  you know he's better at telling his book than than i am so um and again he's writing a playbook
[2:08:38.100 --> 2:08:44.020]  about their playbook they admit all of this in their rules for radicals pledge to lucifer i mean
[2:08:44.020 --> 2:08:48.500]  in the these are cold-blooded manipulators and all the studies show it that the biggest thing
[2:08:48.500 --> 2:08:53.220]  i ever woke up to was like 10 years ago that even low-level liberals know they're evil know it's a
[2:08:53.220 --> 2:08:59.140]  scam and know they're just seeking power and trying to punch our buttons so vox oh i want to add to
[2:08:59.140 --> 2:09:04.020]  that uh you said that like they they pledged to lucifer and people will not believe you but if
[2:09:04.020 --> 2:09:11.220]  you want to verify what alex jones is saying go and download sol linsky's rules for for radicals
[2:09:11.220 --> 2:09:17.220]  and look at who he dedicated the book to and you'll see that what alex jones is saying is 100
[2:09:17.220 --> 2:09:22.980]  percent true and then here's a question for the audience which presidential candidates recently
[2:09:22.980 --> 2:09:28.820]  uh that's been recently in the last three years um did their dissertation thesis on
[2:09:28.820 --> 2:09:35.780]  sol alinsky tactics hillary okay they're needing puzzle solve yeah it was hillary so she she she
[2:09:35.780 --> 2:09:40.500]  did her oh wait sorry that's a socratic method that's a socratic method but that's okay it's
[2:09:40.500 --> 2:09:45.060]  yeah so it's hillary oh it's we don't do breadcrumbs here we just go right to the end yeah but i mean
[2:09:45.060 --> 2:09:49.060]  but you're right people want to follow the breadcrumbs hey vox thanks for popping in with this
[2:09:49.060 --> 2:09:52.020]  big plug for your book wherever people get it they should get it it's the best seller but
[2:09:52.020 --> 2:09:56.260]  we sell it in foreshore dot com but it has worked a lot of folks up they do always lie
[2:09:56.260 --> 2:10:03.540]  why do they always lie because the truth is anathema to them and you know i'd like to first
[2:10:03.540 --> 2:10:10.500]  of all say uh thanks to zack for writing what is probably the most powerful book review i've
[2:10:10.500 --> 2:10:17.220]  ever seen of any of my nonfiction um it's it's very inspiring to see that that people are taking
[2:10:17.220 --> 2:10:23.780]  what was written as a work of philosophy and turning it into a tactical operation manual
[2:10:23.780 --> 2:10:30.740]  that's really encouraging a lot of people don't realize but for a period of about two years uh
[2:10:30.740 --> 2:10:36.340]  sjw's always lie was actually the best-selling political philosophy book on amazon ahead of
[2:10:36.340 --> 2:10:42.580]  macchiavelli ahead of playdough ahead of iris doddle and so forth and the the thing is that
[2:10:42.580 --> 2:10:49.780]  that the more philosophically true your actions are the more dedicated to the truth that you are
[2:10:50.260 --> 2:10:55.860]  the more effective that your actions are going to be and so yeah this was back uh back when
[2:10:55.860 --> 2:11:01.300]  sjw's always double down came out and it was interesting to see how uh the the top three
[2:11:01.300 --> 2:11:06.420]  best sellers in political philosophy ahead of playtoe ahead of uh you know all the famous
[2:11:06.420 --> 2:11:15.780]  John Locke and Hobbs and so forth were Stefan Mullen you and i but the what zack did was exactly
[2:11:15.780 --> 2:11:24.820]  right he he waited he gathered information he did his research and then he took his shot at the
[2:11:24.820 --> 2:11:33.140]  appropriate time and that is what terrifies google that's what terrifies the the various converge
[2:11:33.140 --> 2:11:40.580]  corporations is that there are literally hundreds if not thousands of people like zack
[2:11:41.380 --> 2:11:46.180]  inside their operations you know a couple years ago or two years ago i think google
[2:11:46.180 --> 2:11:53.700]  canceled a company-wide meeting because they didn't want me publishing their uh notes from the meeting
[2:11:54.660 --> 2:11:59.620]  on my blog they knew that i have i mean they know that i have a line directly into their
[2:11:59.620 --> 2:12:06.980]  communication system but you know it's not zack there's like i said there's dozens of
[2:12:06.980 --> 2:12:13.460]  googlers who do not appreciate what google is trying to do and there's a lot more every day
[2:12:13.460 --> 2:12:23.540]  yes exactly so so vox we're gonna get more next segment into the book itself but expanding on this
[2:12:23.540 --> 2:12:28.340]  just as solo lens keys will for radicals and technical manual years is just to understand
[2:12:28.340 --> 2:12:32.820]  the their mindset and just how nasty they are so we don't project humanity onto them because we
[2:12:32.820 --> 2:12:37.780]  have humanity we need to realize just how nasty and and and and bottomless these people are but
[2:12:37.780 --> 2:12:42.820]  specifically what are you expecting just politically at this point to happen soon because
[2:12:42.820 --> 2:12:48.340]  things are getting crazy they're getting crazier and crazier i mean this this thing is boiling over
[2:12:48.340 --> 2:12:55.060]  well i think that the economic crash is coming soon i think that we're looking at another situation
[2:12:55.060 --> 2:13:00.500]  i think that we're basically in late 2007 and that uh and that's the establishments counter to
[2:13:00.500 --> 2:13:05.860]  nationalism you think is this no i don't think it's actually an intentional counter i think that the
[2:13:05.860 --> 2:13:12.900]  system is is creaking i mean when you've got interest rates actually going up and down and
[2:13:12.900 --> 2:13:21.380]  is is creaking i mean when you've got interest rates actually going negative in germany and in
[2:13:21.380 --> 2:13:26.020]  other european countries you've got i understand that but trump's trying to prop it up and and
[2:13:26.020 --> 2:13:30.740]  people like bill marr in the left are openly in the former at federal reserve heads are running
[2:13:30.740 --> 2:13:35.060]  around screaming the sky's falling i agree the system all the world screwed up in a bubble
[2:13:35.060 --> 2:13:38.340]  but i mean do we really want to pop it now because they want to blame it on trump
[2:13:38.340 --> 2:13:45.140]  well yes but the thing is it's going to it's going to pop while trump is president because
[2:13:45.140 --> 2:13:51.460]  trump is going to win in 2020 and there's no way that the i agree with you so how far can we kick
[2:13:51.460 --> 2:13:59.140]  it but we want to kick it past 2020 so we get trumpet in right i don't think it matters i think
[2:13:59.140 --> 2:14:06.660]  that you know i've heard correctly predicted that trump is going to win in 2016 uh in fairly early
[2:14:06.660 --> 2:14:14.580]  2015 um i said right after the election you know we actually put up trump's slide 2020 shirts uh the
[2:14:14.580 --> 2:14:19.220]  day after the election not because we were just trying to you know improve morale or anything
[2:14:19.220 --> 2:14:25.620]  but because i was convinced that the democrats simply don't have anyone who can even begin
[2:14:25.620 --> 2:14:30.020]  to compete with the man we have the same analysis so so so then looking forward in 2020
[2:14:30.020 --> 2:14:36.660]  how do you see that the cards falling well i think that trump is going to regardless of
[2:14:36.660 --> 2:14:46.820]  whether there is a uh economic crisis or not trump is going to win uh in 2020 and by a bigger margin
[2:14:46.820 --> 2:14:52.500]  than he did in 2016 and that's really to bring it back to the google situation you know that's
[2:14:52.500 --> 2:14:58.020]  where i actually discovered what was going on in google because there were uh you know they were
[2:14:58.020 --> 2:15:03.540]  running around demanding and and i'm sure that can testify to this there were googleers running
[2:15:03.540 --> 2:15:08.340]  around demanding that anyone who voted for trump should be disemployed oh that came out of the
[2:15:08.340 --> 2:15:15.940]  news should be um talk about a cult like you can't work here if you're a republican yeah i mean well
[2:15:15.940 --> 2:15:24.100]  that's what it comes down to yeah you know and they've got this like idea that if you are supporting
[2:15:24.100 --> 2:15:28.900]  a presidential candidate that you're engaging in wrong think and that therefore anything against
[2:15:28.900 --> 2:15:36.500]  you is justified because you are fundamentally a bad person and so you know voting records are
[2:15:36.500 --> 2:15:41.220]  public i believe so they can come after you and it's a really scary situation well that's like
[2:15:41.220 --> 2:15:45.700]  castro publishing trump donors and then a bunch of more of his donors too like a lot of people
[2:15:45.700 --> 2:15:54.180]  just give them to both sides what an idiot we're right back with vox day stay with us finally there's
[2:15:54.180 --> 2:15:59.220]  a way for you to get into the blockchain the hottest financial sector without all the speculation
[2:15:59.220 --> 2:16:04.740]  no enjoy a 27 annualized payment each month without the ups and downs of bitcoin seen on
[2:16:04.740 --> 2:16:09.620]  programs broadcast on fox business news blockchain data centers offer an equipment leasing program
[2:16:09.620 --> 2:16:14.180]  in the explosive digital asset marketplace inspired by entrepreneurs who sold picks and
[2:16:14.180 --> 2:16:18.740]  shovels during the gold rush the money is in the mining equipment used to manufacture dozens of
[2:16:18.740 --> 2:16:24.100]  critical digital assets not a security ipo or note blockchain data centers have a proven turnkey
[2:16:24.100 --> 2:16:30.260]  equipment sale leaseback program with a 27 percent annualized lease payment deposited into your bank
[2:16:30.260 --> 2:16:39.460]  account each month don't miss this one stake your claim today call 800 600 3388 that's 800 600 3388
[2:16:39.460 --> 2:16:47.140]  these valuable lease contracts won't last long call now 800 600 3388 800 600 3388 equipment
[2:16:47.140 --> 2:16:50.420]  offer poses a financial risk to owners consult with financial professionals before purchasing not an
[2:16:50.420 --> 2:16:55.060]  offer to buy or sell the security which requires an offering document fellow patriots my name is
[2:16:55.060 --> 2:17:00.260]  todd savage founder of black rifle real estate dot com like you i was a prisoner of the out left
[2:17:00.260 --> 2:17:05.220]  sanctuary state until one day i chose to leave my family to freedom today we live on a sustainable
[2:17:05.220 --> 2:17:10.260]  20-acre homestead where we shoot hunt garden and homeschool our children without the tyranny of the
[2:17:10.260 --> 2:17:15.140]  nanny state looking over us if you're ready to flee the city to the freedom of idaho or montana
[2:17:15.140 --> 2:17:19.860]  our black rifle real estate team is here to help go to black rifle real estate dot com that's black
[2:17:19.860 --> 2:17:27.140]  rifle real estate dot com hunters anglers campers and survivalists get back to nature expand your
[2:17:27.140 --> 2:17:32.180]  horizons with the highest quality most versatile unique slingshots and slingbows on the market
[2:17:32.180 --> 2:17:38.340]  at slingbow.com slingbow products are compact and models start from just 1798 they're perfect for
[2:17:38.340 --> 2:17:43.140]  your bug out bag or storing in your vehicle give yourself and your loved ones the excitement and
[2:17:43.140 --> 2:17:48.740]  tradition of slingbow a new frontier in archery and truly modern twist on this primitive survival
[2:17:48.740 --> 2:17:59.140]  tool feel the thrill only at slingbow.com an info warrior fan favorite formula survival shield x2
[2:17:59.140 --> 2:18:04.660]  continues to lead the way into the next generation of super high quality nascent iodine formulas
[2:18:04.660 --> 2:18:10.660]  derived from ancient sea salts found more than 7 000 feet below the earth's surface every drop of
[2:18:10.660 --> 2:18:18.580]  survival shield x2 contains 650 micrograms to keep you in your prime form even today iodine deficiency
[2:18:18.580 --> 2:18:24.020]  remains a serious problem with the world health organization estimating that nearly 50 million
[2:18:24.020 --> 2:18:29.460]  people still suffer from some kind of mental impairment related to iodine deficiency that's
[2:18:29.460 --> 2:18:36.340]  why it's so important that you try survival shield x2 the only source of 99.999 percent
[2:18:36.340 --> 2:18:42.740]  ultra pure deep earth iodine crystals exclusively available through info wars life at an extremely
[2:18:42.740 --> 2:18:48.820]  affordable price discover the shocking facts behind nascent iodine and secure your bottle today
[2:18:48.820 --> 2:18:58.740]  while supplies last at infowarstore.com Thomas Jefferson predicted over 240 years ago that when
[2:18:58.740 --> 2:19:03.060]  our republic was in trouble in the future it'd be the farmers that were close to the ground
[2:19:03.060 --> 2:19:07.780]  close to reality who actually work for a living that would end up saving the nation and today the
[2:19:07.780 --> 2:19:14.100]  communist chinese have banned all us farming goods a week ago and we've seen massive increases in
[2:19:14.100 --> 2:19:19.700]  polls support for the president and what he's doing in this trade war once china put pressure on
[2:19:19.700 --> 2:19:25.300]  our farmers that's beautiful americans aren't going to be bullied and we aren't going to back down
[2:19:25.300 --> 2:19:30.340]  so to the walking cruises and the hillary clinton's the world that want to intimidate people and tell
[2:19:30.340 --> 2:19:35.140]  us to back down we're never going to give up and all you've done is awaken the human spirit
[2:19:35.140 --> 2:19:41.380]  and the human spirit lives at info wars.com and news wars.com and i'm asking listeners whatever
[2:19:41.380 --> 2:19:46.260]  you do spread those links because we are the light the dark of the night we are the resistance
[2:19:46.260 --> 2:20:11.540]  we are 1776 worldwide you're listening to the alex jones show
[2:20:16.340 --> 2:20:26.660]  listen i could do 10 hours with both these guys we got loaded phones and great questions but i'd
[2:20:26.660 --> 2:20:30.580]  like to invite you back on as a regular guest i know you showed some interest in wanting to do
[2:20:30.580 --> 2:20:34.420]  your own show absolutely you're made for talk radio really smart guy you get all the different
[2:20:34.420 --> 2:20:38.740]  angles of trying to get people to see how they're being manipulated from different perspectives so
[2:20:39.620 --> 2:20:43.860]  me and vox talked about vox and i talked about him doing a show we never got around to it maybe you
[2:20:43.860 --> 2:20:47.460]  guys should do a show together it's just that i've been busier and a one-legged man in an ass
[2:20:47.460 --> 2:20:52.340]  kicking contest and so all these projects i want to launch haven't happened the last few years because
[2:20:52.340 --> 2:20:57.540]  i've had 30 plus lawsuits and you wouldn't hear in the news i've gotten 20 plus thrown out and it's
[2:20:57.540 --> 2:21:02.900]  cost you $5 million or whatever but we're winning thanks to you but it's been one hell of a fight
[2:21:02.900 --> 2:21:08.740]  so please remember infowarstore.com for all of your great nucleosauticals books t-shirts films
[2:21:08.740 --> 2:21:12.980]  you name it vox day is our guest and we've got him for one more segment and we're going to take
[2:21:12.980 --> 2:21:19.780]  phone calls after that for our guest here in studio zack vorhees but but finishing up vox
[2:21:20.340 --> 2:21:25.620]  why your book so important how it's woken up so many i would say who are classical liberals
[2:21:25.620 --> 2:21:30.260]  like zack to really see the cult programming and make them have a hard break with it because like
[2:21:30.260 --> 2:21:34.180]  you said you were already having big questions before you read his book you were already trying
[2:21:34.180 --> 2:21:39.860]  to figure out what was going on but it really showed you the type of mental political affliction
[2:21:39.860 --> 2:21:45.540]  that has been basically engineered into this to the minion class yeah and i want to get to
[2:21:45.540 --> 2:21:49.940]  right of the heart of this so vox if you'll allow me to talk about your book and we'll do another
[2:21:49.940 --> 2:21:54.260]  segment we have to but i swore to go to calls keep going all right so um there are eight main
[2:21:54.260 --> 2:21:58.500]  points in his book and what i'm going to do is talk about them so uh number one recognize the
[2:21:58.500 --> 2:22:02.660]  attack remain calm and realize that very few friends and co-workers will help you okay you're
[2:22:02.660 --> 2:22:07.780]  kind of in this fight for for yourself um second of all is don't try to reason with them you are
[2:22:07.780 --> 2:22:12.020]  not dealing with rational people but with raving beasts who will take every gesture of goodwill
[2:22:12.020 --> 2:22:18.020]  as a sign of weakness and will use everything they say you say against them okay against you
[2:22:18.020 --> 2:22:23.060]  um one of the ways i defend against this is that whenever they want to talk to me in private
[2:22:23.060 --> 2:22:27.460]  i always say i'm going to record this conversation so that we have a clear record of what's being
[2:22:27.460 --> 2:22:33.780]  said guess what it doesn't matter how powerful they are they are scared to death of the cameras and
[2:22:33.780 --> 2:22:37.860]  them being exactly what i do when the fake reporters are here but even in our meetings and
[2:22:37.860 --> 2:22:42.740]  stuff you know because i want stuff on record of what i said yeah exactly so do not apologize
[2:22:42.740 --> 2:22:48.660]  as number three okay apologies are treated as evidence of guilt and invite intensified attacks
[2:22:48.660 --> 2:22:52.660]  okay this is something that's not intuitive it's something that you have to realize oh i wish i'd
[2:22:52.660 --> 2:22:59.140]  have read his book but when i was like they'd say stop saying uh that uh harass sandhook families
[2:22:59.140 --> 2:23:03.620]  and i said i never did that but if anybody is trying to do that my name don't do it i apologize
[2:23:03.620 --> 2:23:08.340]  that's when all hell broke that's when it was the beginning of that whole s**t storm that happened to
[2:23:08.340 --> 2:23:14.820]  you um okay so number four is accept your fate try to adopt a stoic attitude of indifference about
[2:23:14.820 --> 2:23:19.460]  outcomes focus simply on doing the right thing which is to fight okay i gotta say this sounds
[2:23:19.460 --> 2:23:23.620]  like my um um manual just how to be a man that's what i've done politically and that's how you're
[2:23:23.620 --> 2:23:29.060]  successful exactly this is the reason why it's a philosophy book okay so um document they're
[2:23:29.060 --> 2:23:34.660]  every word in action so you know for what i did is i i wanted to record them that's that's terrifying
[2:23:34.660 --> 2:23:40.580]  to them um do not resign and don't do so don't do the enemies work for them because if you're
[2:23:40.580 --> 2:23:44.820]  resigned then they're going to parade that out around as a surrender and that you admitted to
[2:23:44.820 --> 2:23:50.180]  being what they accused you of yeah don't quit make them fire you fight fight fight all right
[2:23:50.180 --> 2:23:58.340]  this number seven is the most important okay make the rubble bounce basically this means
[2:23:58.340 --> 2:24:03.780]  a counter attack do everything you can to raise the price of attacking you for your enemies and
[2:24:03.780 --> 2:24:08.020]  your employer this is worth quoting at length that's what i did with pepper the frog they spent a
[2:24:08.020 --> 2:24:13.220]  million and a half and they got 15 thousand dollars that the judge ordered us to settle basically
[2:24:13.220 --> 2:24:17.540]  and it was a it was a massive defeat for them exactly so you want to send a hundred thousand
[2:24:17.540 --> 2:24:21.860]  you want to target the enemy at every opportunity hit them wherever they show themselves vulnerable
[2:24:21.860 --> 2:24:25.940]  play as dirty as your conscience will permit undermine them sabotage them and discredit them
[2:24:25.940 --> 2:24:32.420]  now i didn't like i wasn't malicious to google before i left other than doxing them but um i'll
[2:24:32.420 --> 2:24:36.020]  say this i'm gonna ask voxus we'll do one more segment i know he's got to go to but he's he's
[2:24:36.020 --> 2:24:41.060]  off or stay but i gotta go to the calls vox i wouldn't use that term fight dirty i mean i know
[2:24:41.060 --> 2:24:44.340]  everybody knows what that means kind of underhanded if somebody started the fight and you're kicking
[2:24:44.340 --> 2:24:50.820]  your ass it's not dirty to punch him in the in the uh you know testicles people would call that dirty
[2:24:50.820 --> 2:24:55.380]  in a boxing match because that's a you know square fight so but but i'm still kind of worried when
[2:24:55.380 --> 2:25:00.020]  when we say dirty because i found dirty stuff can bounce back on you what do you mean by dirty
[2:25:01.780 --> 2:25:08.740]  i mean whatever you use whatever works i'm a trained martial artist we don't worry about what
[2:25:08.740 --> 2:25:16.420]  the marcus of queensbury rules are if someone comes at you any tactic that they use against you
[2:25:16.420 --> 2:25:21.460]  is legitimately adopted and used against oh i totally agree but nothing's dirty when you're
[2:25:21.460 --> 2:25:26.820]  fighting for your life and you didn't initiate so i just think what's a better word what uh fair
[2:25:26.820 --> 2:25:32.340]  game first blood i don't i don't i don't worry i don't worry about those things the point that
[2:25:32.340 --> 2:25:41.060]  the reason that i said fight dirty is because people are i'm trying to teach people to stop
[2:25:41.060 --> 2:25:46.260]  thinking about it in terms of what they think is fair it's not about what you think is fair
[2:25:46.260 --> 2:25:50.100]  it's about the situation it's about what you know i totally agree with that and i wasn't trying to
[2:25:50.100 --> 2:25:55.380]  split hairs here and then i want to add to that because this goes right into his i could do a lot
[2:25:55.380 --> 2:26:01.460]  of dirty stuff and f some globalist over i just don't do it because it's it's not chivalrous and
[2:26:01.460 --> 2:26:05.940]  i found that gives me some form of protection but but so i'm and i'm not saying you're immoral
[2:26:05.940 --> 2:26:09.940]  saying fight dirty i think you're redefining for conservatives that tend to be very squeamish
[2:26:09.940 --> 2:26:14.660]  that hey you're fighting for your life you need to start you know kicking ass no but but conservatives
[2:26:14.660 --> 2:26:20.020]  are wrong conservatives are weak there's a reason why they call me dark lord it's because we've
[2:26:20.020 --> 2:26:25.380]  do whatever we need to do right and a lot of people let's expand it's not necessarily wrong
[2:26:25.380 --> 2:26:29.220]  it's just people like oh that wouldn't be a nice thing to do okay but i didn't know you had the
[2:26:29.220 --> 2:26:32.900]  nickname dark lord but you wrote a good you're a good guy and i like having you on so explain to
[2:26:32.900 --> 2:26:39.940]  me about the dark lord philosophy in justifies the means no it's not that the end justifies
[2:26:39.940 --> 2:26:47.220]  means it's that you play by the rules of the game that you are are provided that i totally agree with
[2:26:47.220 --> 2:26:51.380]  and so i don't think it's called fighting dirty that's all i'm saying they will call it fighting
[2:26:51.380 --> 2:26:56.100]  dirty you don't it doesn't matter what they say i don't pay any attention to what the left says no
[2:26:56.100 --> 2:27:00.900]  no i get it now so you're you're you're invoking terms like that on purpose to get people to stop
[2:27:00.900 --> 2:27:08.740]  being so squeamish exactly and and in number eight what he says here is um don't act out of anger
[2:27:08.740 --> 2:27:14.660]  don't initiate attacks but when attack respond with disproportionate overwhelming force that's
[2:27:14.660 --> 2:27:20.180]  what trump does that's what trump does and that's what i did you know i i react to whatever's
[2:27:20.180 --> 2:27:24.500]  google is going to do and as a result they think twice about what they're going to do to me
[2:27:25.060 --> 2:27:31.380]  and so um that is one of the most important points in this whole tactical operation
[2:27:31.380 --> 2:27:36.100]  is to respond with disproportionate overwhelming force at every opportunity well that's always
[2:27:36.100 --> 2:27:42.660]  what you gotta do that's what you always got to do if they escalate you they have to understand
[2:27:42.660 --> 2:27:48.020]  that you're going to escalate with them you know people often say how come you don't
[2:27:48.020 --> 2:27:54.260]  lead with your best shot how come you don't show your hand and the reason is because if you
[2:27:54.820 --> 2:28:01.460]  lead with your best shot then you've got nowhere to go you've got no potential for escalation
[2:28:01.460 --> 2:28:07.700]  and so the best way to prevent things from going you know nuclear on both sides is to
[2:28:07.700 --> 2:28:14.980]  to uh just continue to maintain something in reserve and oh sure you never go nuclear
[2:28:14.980 --> 2:28:18.740]  or force i mean you don't want to go nuclear up front because that was causing nuclear war
[2:28:18.740 --> 2:28:24.420]  using a i mean actual military uh theater type situation you'd want to use a lot of other things
[2:28:24.420 --> 2:28:32.100]  first exactly but really kind of every drop nuclear weapons atomic weapons on people and
[2:28:32.100 --> 2:28:39.780]  japan found out it's like you uh show the wind you reap the whirlwind and i'm so
[2:28:39.780 --> 2:28:43.060]  sad for those japanese folks following their emperor but they found out what happened and now
[2:28:43.060 --> 2:28:48.580]  they respect us well they're right back with vox at day zack vorhees i'm alex jones your calls as
[2:28:48.580 --> 2:28:59.140]  well please stay with us when you have a pain in the neck a real pain in the neck back shoulder
[2:28:59.140 --> 2:29:05.140]  or legs you now have two convenient choices to get fast relief without taking another pill
[2:29:05.140 --> 2:29:11.860]  because now sunny bay heating wraps and pillows are available at both amazon and walmart yes see
[2:29:11.860 --> 2:29:18.820]  sunny bays four and a half to five star customer reviews on amazon.com or walmart.com our microwavable
[2:29:18.820 --> 2:29:24.580]  heat wraps heatable neck pillows and extra large body wraps are designed better for perfect support
[2:29:24.580 --> 2:29:30.340]  wear and when you need it even while driving sunny bay wraps will not burn and stay balanced to
[2:29:30.340 --> 2:29:36.180]  provide soothing hot or cold therapy to help treat temporary or chronic pain and the best part
[2:29:36.180 --> 2:29:42.180]  sunny bay quality products started under 20 dollars join thousands of happy customers and see why
[2:29:42.180 --> 2:29:49.140]  sunny bay products have a lifetime 100 positive rating on both amazon and etsy it's easy click amazon
[2:29:49.140 --> 2:29:59.060]  or walmart and search today for sunny bay thomas jefferson predicted over 240 years ago that when
[2:29:59.060 --> 2:30:03.380]  our republic was in trouble in the future it'd be the farmers that were close to the ground
[2:30:03.380 --> 2:30:08.180]  close to reality who actually worked for a living that would end up saving the nation and today the
[2:30:08.180 --> 2:30:14.420]  communist chinese have banned all u.s farming goods a week ago and we've seen massive increases in
[2:30:14.420 --> 2:30:20.020]  polls support for the president and what he's doing in this trade war once china put pressure on
[2:30:20.020 --> 2:30:25.620]  our farmers that's beautiful americans aren't going to be bullied and we aren't going to back down
[2:30:25.620 --> 2:30:30.660]  so to the walking cruises and the hillary clinton's the world that want to intimidate people and tell
[2:30:30.660 --> 2:30:35.460]  us to back down we're never going to give up and all you've done is a wake of the human spirit
[2:30:35.460 --> 2:30:40.740]  and the human spirit lives at info wars dot com and news wars dot com and i'm asking listeners
[2:30:40.740 --> 2:30:45.940]  whatever you do spread those links because we are the light the dark of the night we are the
[2:30:45.940 --> 2:30:59.140]  resistance we are 1776 worldwide as we witness the most disastrous geological activity in recorded
[2:30:59.140 --> 2:31:06.340]  history the globalists are backed into a corner and the leftists are pushing for civil war borders
[2:31:06.340 --> 2:31:14.100]  are being broken and sovereignty is being challenged the world is going to change and how it changes
[2:31:14.100 --> 2:31:20.980]  will likely be decided by those who are prepared to stay strong when the system fails the system is
[2:31:20.980 --> 2:31:28.340]  vulnerable electricity could be gone in an instant and grocery stores could be empty in three days
[2:31:28.340 --> 2:31:34.500]  having storable foods and the ability to purify water will give you a fighting chance in the next
[2:31:34.500 --> 2:31:40.660]  level and being without puts you at the mercy of others or makes you a slave to a dying system
[2:31:41.220 --> 2:31:49.300]  buy storable foods and an alexa pure gravity water filter today support mankind by being prepared
[2:31:49.300 --> 2:31:57.220]  and support freedom by buying from info wars store dot com without your support we won't be here
[2:31:57.220 --> 2:32:01.380]  and i couldn't thank you all enough for the fact that you've kept us in the game i mean i want to
[2:32:01.380 --> 2:32:05.780]  stay in this game i want to take the globalist on total transparency is our whole operation if i
[2:32:05.780 --> 2:32:10.100]  bring in 35 million dollars half of that's the cost of the products because we don't mark stuff up
[2:32:10.100 --> 2:32:14.500]  that much i don't care if i'm not making money but you need to buy the products we got coffee we
[2:32:14.500 --> 2:32:19.620]  got fish oil we got turmeric we got great toothpaste we've got great things like dna force plus but
[2:32:19.620 --> 2:32:23.700]  ultimate krill oil has been sold out for four months for whatever reason this became the most
[2:32:23.700 --> 2:32:29.140]  popular fish oil it's totally full the bottle and it is the strongest purest krill oil and it cost
[2:32:29.140 --> 2:32:35.300]  us three times more because we have it put through the expensive laboratory process to remove mercury
[2:32:35.300 --> 2:32:39.620]  any type of krill oil you get that doesn't give you fish burps which i don't like but gives you
[2:32:39.620 --> 2:32:43.700]  all the great benefits isn't real it's been boiled it's been ruined it's been homogenized this is
[2:32:43.700 --> 2:32:49.300]  not good this ladies and gentlemen is the highest quality krill oil you're gonna find anywhere real
[2:32:49.300 --> 2:32:53.780]  krill oil folks is red it's not yellow it's not milky this is nothing but krill oil
[2:32:53.780 --> 2:33:00.180]  you're listening to the alex jones show
[2:33:16.580 --> 2:33:20.980]  how many times must i tell you i love you but you finally understand
[2:33:20.980 --> 2:33:28.660]  see i'm the opposite of sociopath i literally feel your pain that doesn't mean i'm some bleeding
[2:33:28.660 --> 2:33:33.780]  heart that wants to make you into some jellyfish that i control some armless legless person that
[2:33:33.780 --> 2:33:40.740]  lives in a box that i control i want to see you become incredibly powerful i want to see you unleash
[2:33:40.740 --> 2:33:46.020]  your human potential so that our progeny in the future will look back on us and celebrate us as
[2:33:46.020 --> 2:33:53.540]  victors species fails we lose species goes next level we all win and i'm a winner and i know you're
