[00:00:03.715 --> 00:00:04.816]  Thursday!
[01:11:15.738 --> 01:11:20.499]  And there's some key lobbyists for that here at Bildberg, you know, at the very top level.
[01:11:20.499 --> 01:11:26.581]  And you could almost describe the whole meeting as a lobbying opportunity for these trade groups.
[01:11:26.581 --> 01:11:28.482]  Why do you think they're targeting you so much?
[01:11:28.482 --> 01:11:33.003]  Because my reporters said it days ago when you first got there that they were seen to be targeting you.
[01:11:33.003 --> 01:11:34.464]  And I don't think there's any doubt of that now.
[01:11:36.169 --> 01:11:39.490]  Well, I'm just flattered to get any kind of attention.
[01:11:39.490 --> 01:11:46.214]  I suppose once a year I get, you know, I get stripped of my underwear and chat to a policeman and it's nice.
[01:11:46.214 --> 01:11:48.755]  And I should point out, by the way, that I stripped.
[01:11:48.755 --> 01:11:49.835]  I wasn't stripped.
[01:11:49.835 --> 01:11:53.417]  No, I understand, but you're in your place and then they take you back outside.
[01:11:53.417 --> 01:11:55.698]  I was being a bit sarcastic there.
[01:11:55.698 --> 01:11:56.678]  What are you going to do next?
[01:11:56.678 --> 01:11:58.119]  Or maybe you can't say.
[01:11:59.389 --> 01:12:00.530]  Next now.
[01:12:00.530 --> 01:12:02.533]  Yes.
[01:12:02.533 --> 01:12:05.016]  I just carry on trying to report.
[01:12:05.016 --> 01:12:06.117]  You know, it's all you can do.
[01:12:06.117 --> 01:12:12.005]  All you can do is turn up and do your best to report on events.
[01:12:12.005 --> 01:12:12.826]  I mean, it's very simple.
[01:12:13.769 --> 01:12:20.453]  We're talking to a rare man, a real journalist who works for a major media outlet, Charlie Skelton from The Guardian.
[01:12:20.453 --> 01:12:21.154]  Thank you so much.
[01:12:21.154 --> 01:12:23.595]  We'll cover your action here every day.
[01:12:23.595 --> 01:12:23.935]  Thank you.
[01:12:23.935 --> 01:12:25.316]  We're on the march.
[01:12:25.316 --> 01:12:27.278]  The empire's on the run.
[01:12:27.278 --> 01:12:28.078]  Mark Dice coming up.
[01:12:28.078 --> 01:12:30.520]  Alex Jones and the GCN Radio Network.
[01:12:43.266 --> 01:12:47.349]  Resistance to tyrants is obedience to God.
[01:12:47.349 --> 01:12:53.574]  It's Alex Jones.
[01:12:53.574 --> 01:13:02.441]  I went out walking through streets paved with gold.
[01:13:02.441 --> 01:13:08.546]  Lifted some stones, saw the skin and bones of a city without a soul.
[01:13:11.321 --> 01:13:29.415]  I went out walking Under an atomic sky Where the ground won't turn And the rain it burns Like the tears when I said goodbye Yeah, I went with nothing
[01:13:31.036 --> 01:13:57.274]  Nothing but the thought of you I went wandering I went drifting through the capitals of tin Where men can't walk or freely talk And sons turn their fathers in
[01:13:59.435 --> 01:14:03.476]  Johnny Cash bringing us in.
[01:14:03.476 --> 01:14:11.718]  Bilderberg deploys giant Stingray to grab all digital communications.
[01:14:11.718 --> 01:14:15.939]  That story is up on Infowars.com.
[01:14:28.865 --> 01:14:32.807]  It's also jamming communications.
[01:14:32.807 --> 01:14:36.908]  We also have linked up there the Mark Dice video that's also on DrudgeReport.com.
[01:14:36.908 --> 01:14:49.573]  We'll put that article on screen.
[01:14:49.573 --> 01:14:56.876]  Obama zombies Americans sign prankster petition to nuke Russia video.
[01:14:59.451 --> 01:15:03.634]  Doesn't that just say everything?
[01:15:03.634 --> 01:15:11.539]  And he's done more than a hundred of these videos, I would guess, where he comes up and says, I want to put all gun owners for Obama in forced labor camps.
[01:15:11.539 --> 01:15:13.721]  They go, yeah, I'm sick of these people.
[01:15:13.721 --> 01:15:15.862]  We want to put all Republicans in death camps.
[01:15:15.862 --> 01:15:18.524]  Yes, we want to burn the Jews for Obama.
[01:15:18.524 --> 01:15:19.585]  I mean, you can say anything.
[01:15:19.585 --> 01:15:20.785]  For Obama, they say yes.
[01:15:20.785 --> 01:15:24.148]  Well now, nuke Russia for Obama.
[01:15:25.029 --> 01:15:30.773]  This is political correctness, just mindless idiots who have no intellectual acumen, who have nothing.
[01:15:30.773 --> 01:15:34.836]  They just are good, and everybody else is racist, and everybody else is bad.
[01:15:34.836 --> 01:15:47.284]  In fact, I never even played the clip of Seinfeld, Jerry Seinfeld doing an interview, and his daughter's like 13, and they said, hey, you want to move back into New York City so you can meet more boys?
[01:15:47.284 --> 01:15:48.925]  And their daughter said, that's sexist.
[01:15:48.925 --> 01:15:50.787]  Girls liking boys is bad.
[01:15:50.787 --> 01:15:52.948]  And they said, you're joking, right?
[01:15:52.948 --> 01:15:53.469]  And she said, no.
[01:15:54.329 --> 01:15:57.130]  You see, men and women together is bad.
[01:15:57.130 --> 01:16:01.250]  All men are rapists.
[01:16:01.250 --> 01:16:04.191]  This is the mind control.
[01:16:04.191 --> 01:16:06.572]  You could say ban men for Obama.
[01:16:06.572 --> 01:16:09.412]  And I guess women would sign it.
[01:16:09.412 --> 01:16:12.073]  We've gone out in Austin, you know, hey, let's kill babies up to age five.
[01:16:12.073 --> 01:16:15.614]  Sure, it was for Obama.
[01:16:15.614 --> 01:16:19.054]  As long as it's for Obama.
[01:16:19.054 --> 01:16:22.055]  How do you like your doubling, tripling healthcare cost that was supposed to be free?
[01:16:24.045 --> 01:16:24.986]  It's the mind control.
[01:16:24.986 --> 01:16:25.987]  So Mark Dice joins us.
[01:16:25.987 --> 01:16:27.348]  He has a new book out.
[01:16:27.348 --> 01:16:28.630]  He's written a bunch of books.
[01:16:28.630 --> 01:16:30.071]  They're excellent.
[01:16:30.071 --> 01:16:31.933]  And the new book breaks down the Bilderberg Group.
[01:16:31.933 --> 01:16:34.135]  We'll talk about that with him some in a moment.
[01:16:34.135 --> 01:16:35.356]  We can put that up on screen as well.
[01:16:35.356 --> 01:16:37.898]  The Bilderberg Group, Facts and Fiction.
[01:16:37.898 --> 01:16:41.742]  So we can get his take on Bilderberg Group as well today.
[01:16:41.742 --> 01:16:44.785]  But Mark Dice, media analyst, joins us.
[01:16:44.785 --> 01:16:48.389]  Mark, we're going to play this video here in a moment, but I tell you,
[01:16:49.386 --> 01:16:51.190]  I've been out there to California.
[01:16:51.190 --> 01:16:52.092]  I've seen it myself.
[01:16:52.092 --> 01:16:55.298]  I've seen it at UT and other trendy areas.
[01:16:55.298 --> 01:16:57.322]  This is a cult of idiots.
[01:16:57.322 --> 01:16:58.404]  Paul Watson had an article...
[01:16:59.827 --> 01:17:02.288]  Last week titled, The Rise of the Idiots.
[01:17:02.288 --> 01:17:08.130]  In the West, the IQ points are down 14% in just the last 20 years.
[01:17:08.130 --> 01:17:19.795]  We are not just dumb from not being trained and not being educated, but we are dumb because of the environment we're in, whatever's causing it, the fluoride, the rest of it.
[01:17:19.795 --> 01:17:26.998]  But, I mean, this is the rise of the fascistic idiots who can hardly talk, but can say, I love Obama.
[01:17:30.740 --> 01:17:33.921]  Hey, you know, I don't want to open our borders up and pay for it.
[01:17:33.921 --> 01:17:35.041]  Shut up, racist.
[01:17:35.041 --> 01:17:38.322]  I don't want to have my health care written by foreign insurance companies with death panels.
[01:17:38.322 --> 01:17:39.642]  Shut up, racist.
[01:17:39.642 --> 01:17:44.684]  All they know is racist, racist, racist, Pollyanna racist, Pollyanna sexist, racist, racist.
[01:17:44.684 --> 01:17:45.424]  I'm an intellectual.
[01:17:45.424 --> 01:17:46.125]  I'm an intellectual.
[01:17:46.125 --> 01:17:47.965]  Racist, racist, racist, racist.
[01:17:47.965 --> 01:17:48.765]  I love Satan.
[01:17:48.765 --> 01:17:49.726]  I kill my babies.
[01:17:49.726 --> 01:17:50.486]  I love Mao.
[01:17:50.486 --> 01:17:51.606]  Racist, racist.
[01:17:51.606 --> 01:17:52.727]  I mean, and I'm not joking.
[01:17:52.727 --> 01:17:55.688]  I can play clips of feminists running around screaming, I love Satan.
[01:17:56.548 --> 01:17:58.810]  I love killing babies with their tongues hanging out.
[01:17:58.810 --> 01:17:59.850]  Hell Satan.
[01:17:59.850 --> 01:18:05.114]  I mean this is perhaps they don't have souls and this is some interdimensional demonic infestation.
[01:18:05.114 --> 01:18:07.936]  I mean I'm joking but maybe I'm not.
[01:18:07.936 --> 01:18:09.297]  Mark Dice what do you have to say?
[01:18:09.297 --> 01:18:16.042]  I think we're having some Skype problems.
[01:18:16.042 --> 01:18:16.982]  I got audio now.
[01:18:16.982 --> 01:18:17.783]  Okay good.
[01:18:17.783 --> 01:18:18.964]  What do you say to all this?
[01:18:18.964 --> 01:18:20.565]  I mean how dumb are they going to get?
[01:18:22.299 --> 01:18:23.100]  It's amazing.
[01:18:23.100 --> 01:18:34.687]  I mean, I didn't hear the intro there, but as you saw, as the audience maybe knows, this video outraged Russians because we're kind of used to this kind of political comedy, I guess, but it's a tragedy.
[01:18:34.687 --> 01:18:40.451]  And so I've been getting emails from a lot of major Russian newspapers and television networks, not just RT, I'm talking about Russian
[01:18:42.551 --> 01:18:44.372]  They're absolutely outraged and stunned.
[01:18:44.372 --> 01:19:03.047]  I don't think, obviously the humor probably didn't transfer over, but to see the fact that an American citizen, or a whole bunch of them, would be willing to launch a nuclear strike at this day and age, decades after the Cold War has ended, is absolutely stunning and has appalled them.
[01:19:03.047 --> 01:19:04.928]  We are in the idiocracy.
[01:19:04.928 --> 01:19:06.429]  It can't get much worse.
[01:19:06.429 --> 01:19:12.434]  These are like three-year-old children that I just order them around and they obey and
[01:19:12.534 --> 01:19:13.074]  They don't think.
[01:19:13.074 --> 01:19:14.676]  They obey Obama.
[01:19:14.676 --> 01:19:20.281]  It's absolutely incredible, especially this far into the Obama presidency, when he has failed at everything.
[01:19:20.281 --> 01:19:22.322]  He's backtracked on just about every promise.
[01:19:22.322 --> 01:19:24.544]  He's expanded the Orwellian wiretapping.
[01:19:24.544 --> 01:19:25.165]  Mark, I'm going to stop you.
[01:19:25.165 --> 01:19:26.446]  I'm going to stop you and then give you the floor.
[01:19:26.446 --> 01:19:27.787]  But you just said something incredible.
[01:19:27.787 --> 01:19:29.368]  They accidentally had you potted down.
[01:19:29.368 --> 01:19:37.776]  You couldn't hear my three-minute, four-minute rant intro about your book and how these are zombies and how dumb they are and how they're not even really liberals.
[01:19:38.416 --> 01:19:50.645]  How they're just in this cult of just using magic words and what Jerry Seinfeld said about political correctness, and then you come on and say exactly what I was saying without even hearing me, because it's veritas, it's truth.
[01:19:50.645 --> 01:19:54.547]  These people are a dangerous cult of sick freaks.
[01:19:54.547 --> 01:19:55.228]  I'm sorry, go ahead.
[01:19:56.292 --> 01:20:00.074]  You can see, sometimes I didn't even get to finish to mention that it was about nuking.
[01:20:00.074 --> 01:20:02.355]  I just said, hey, will you help Obama?
[01:20:02.355 --> 01:20:04.216]  And they were just more than willing to help.
[01:20:04.216 --> 01:20:10.378]  These are people who probably were too lazy to get up and drive to the polls and go and vote or send in an absentee ballot.
[01:20:10.378 --> 01:20:16.341]  But if you just put a petition in front of them and give them a pen and they just feel, hey, all I need to do is sign to help Obama.
[01:20:16.721 --> 01:20:25.667]  And you can see in these last few videos, I've added an Obama shirt just to add to the overall theme of supporting Obama.
[01:20:25.667 --> 01:20:26.528]  It's incredible, man.
[01:20:26.528 --> 01:20:39.077]  I mean, obviously not everybody signed the petition, but the fact that anybody would sign this and not pick up, and in some of these instances, I mean, I'm repeating myself three different times as they're signing it, this is to nuke Russia.
[01:20:43.251 --> 01:20:49.917]  Maybe they think a nuclear strike means that it's like a strike, workers striking, they're not going to go and work.
[01:20:49.917 --> 01:21:01.666]  Maybe society has gotten so dumbed down, Alex, that maybe some of these people, I'm thinking, hopefully, they think that a nuclear strike is opposing a nuclear attack.
[01:21:01.666 --> 01:21:04.749]  It's astounding, and I understand why the Russians are so upset.
[01:21:05.883 --> 01:21:18.970]  I just saw a video this morning, a Russian journalist attempted to do the same thing over in Russia, asking his people to sign a petition to nuke Americans, and it was something only like 2 out of 30 people signed the petition.
[01:21:18.970 --> 01:21:28.716]  I never thought I would be starting a potential international incident, but this is what's happening in America, particularly Southern California, which may be an extra special brand of stupid.
[01:21:29.497 --> 01:21:32.240]  But of course, they're smarter than us because they're liberal.
[01:21:32.240 --> 01:21:37.266]  It doesn't matter if we're real classical liberals, paleo-conservatives, whatever you want to call us.
[01:21:37.266 --> 01:21:41.912]  They can just wave a wand and feel better just calling us racist or sexist or whatever.
[01:21:41.912 --> 01:21:47.138]  But a lot of times I talk to you, I talk to my reporters, usually about 9 out of 10
[01:21:48.439 --> 01:21:50.861]  We'll say, turn in all our guns for Obama.
[01:21:50.861 --> 01:21:54.183]  About 7 out of 10 say put conservatives in forced labor camps.
[01:21:54.183 --> 01:21:57.826]  And then they speak perfect English and they'll go, oh don't tell me about it buddy, I'm sick of these people.
[01:21:57.826 --> 01:21:58.647]  Let's put them in a camp.
[01:21:58.647 --> 01:22:01.028]  You know, you have that famous video.
[01:22:01.028 --> 01:22:06.492]  But when you look at this, it's just so flabbergasting what a cult they're in.
[01:22:06.492 --> 01:22:10.675]  Because beyond just being stupid, they want to submit to that gang.
[01:22:10.675 --> 01:22:15.419]  But what percentage of people, how many did you talk to, how many said, yes let's nuke Russia?
[01:22:16.909 --> 01:22:21.792]  A lot of people just simply don't want to pay any attention to somebody bothering them on the beach with a petition.
[01:22:21.792 --> 01:22:25.294]  So a lot of people just keep walking and they don't even pay any attention to what I'm saying.
[01:22:25.294 --> 01:22:27.256]  They just say no thank you and they keep on walking.
[01:22:27.256 --> 01:22:30.998]  But out of the people who stop, I mean the vast majority of them will stop.
[01:22:34.261 --> 01:22:34.641]  We're good.
[01:22:58.726 --> 01:23:04.630]  40, 50 different petition videos, man on the streets, repealing the Bill of Rights.
[01:23:04.630 --> 01:23:05.411]  It's just incredible.
[01:23:05.411 --> 01:23:12.476]  I mean, some of these videos take 10 minutes, 15 minutes to shoot, and the majority of that time is me standing there waiting for somebody to come by.
[01:23:12.476 --> 01:23:15.798]  Because I usually will target, you know, somebody that's by themselves.
[01:23:15.798 --> 01:23:17.399]  If there's a group of people, somebody's gonna
[01:23:18.121 --> 01:23:19.442]  Have a lightbulb go off in their head.
[01:23:19.442 --> 01:23:25.305]  The odds are if it's a family of three, four, five people, somebody might have a lightbulb go off in their head and get it.
[01:23:25.305 --> 01:23:28.626]  So I'll usually just target one person that's walking by themselves.
[01:23:28.626 --> 01:23:35.330]  And I do use the power of suggestion to demonstrate what it is that the president does.
[01:23:35.330 --> 01:23:41.813]  To demonstrate how the mainstream media is able to just repeat a lie over and over a few times and people just start to believe it through the power of suggestion.
[01:23:42.533 --> 01:23:43.754]  And I'm just a guy in a t-shirt.
[01:23:43.754 --> 01:23:45.516]  I don't have a badge.
[01:23:45.516 --> 01:23:48.018]  I don't have a suit.
[01:23:48.018 --> 01:23:55.303]  Just from telling them, before they start to think, some of them might not have done it, might have had a light bulb go off in their head, but I derail their thinking.
[01:23:55.303 --> 01:23:57.505]  You can see by just repeating myself.
[01:23:57.505 --> 01:23:58.906]  Yeah, but it's not just that.
[01:23:58.906 --> 01:24:01.448]  I mean, some of your critics say that, and I'm sure some of them.
[01:24:01.448 --> 01:24:04.130]  I mean, you're using sales tactics, but you're very calm.
[01:24:04.130 --> 01:24:05.130]  You repeat it three times.
[01:24:05.991 --> 01:24:09.734]  If you look at some of the liberals, I mean, these look like professors and people that are well-spoken.
[01:24:09.734 --> 01:24:13.576]  They're like, yeah, we just gotta put the Republicans in forced labor camps and take their guns.
[01:24:13.576 --> 01:24:14.357]  I've had enough of them.
[01:24:14.357 --> 01:24:15.417]  The guy's like, I hear you, man.
[01:24:15.417 --> 01:24:16.438]  You don't have to tell me.
[01:24:16.438 --> 01:24:17.559]  I'm sick of these people.
[01:24:17.559 --> 01:24:23.883]  I mean, a lot of them know what they're doing when you're saying, let's put the Jews back in ovens for Obama.
[01:24:23.883 --> 01:24:25.664]  I mean, they know what they're signing.
[01:24:25.664 --> 01:24:29.887]  They just can't say no because you put the word Obama in front of it.
[01:24:29.887 --> 01:24:33.249]  You're simply illustrating that that's the cult they're in.
[01:24:37.286 --> 01:24:48.250]  One of the petition videos was to ban any display, public display, t-shirts, bumper stickers, etc., of any religious symbols, which would be a clear violation of the First Amendment, and these liberals couldn't wait to sign up.
[01:24:48.250 --> 01:24:50.370]  I mean, there's no power of suggestion.
[01:24:50.370 --> 01:24:54.872]  They just wanted to ban Christian symbols, bumper stickers, and t-shirts.
[01:24:55.052 --> 01:24:55.212]  Sure.
[01:25:10.034 --> 01:25:10.174]  Sure.
[01:25:10.174 --> 01:25:10.314]  Sure.
[01:25:10.314 --> 01:25:15.255]  I want to play your powerful report that's on DrudgeReport.com, Infowars.com, you name it, and all over Russian news, all over some US news now.
[01:25:32.014 --> 01:25:34.196]  Beyond jaywalking, I mean, these are the real people.
[01:25:34.196 --> 01:25:36.418]  And I'm not insulting so-called liberals.
[01:25:36.418 --> 01:25:42.323]  You go to so-called liberal areas, they are the dumbest, most suggestible people on the planet.
[01:25:42.323 --> 01:25:45.986]  I know Republicans get pretty bad as well when they think their guy's in power.
[01:25:45.986 --> 01:25:48.608]  So it's kind of a mob psychology.
[01:25:48.608 --> 01:25:53.513]  But you call them zombies.
[01:25:53.513 --> 01:25:55.494]  Ted Cruz calls them the fascist left.
[01:25:56.613 --> 01:25:58.356]  I just call them a cult of dumbasses.
[01:25:58.356 --> 01:26:04.005]  I mean, I don't know what you call these people, but it's scary to know this is who's taking over America.
[01:26:04.005 --> 01:26:06.369]  I want to play your report.
[01:26:06.369 --> 01:26:07.170]  Here it is, folks.
[01:26:08.200 --> 01:26:11.061]  We just need a couple more signatures.
[01:26:11.061 --> 01:26:18.823]  This one's to support President Obama's new plan to deal with Russia, and they're violating the UN.
[01:26:18.823 --> 01:26:25.045]  They're violating the UN sanctions, so we're going to launch a preemptive nuclear strike.
[01:26:25.045 --> 01:26:30.887]  A birthday to support the nuclear strike against Russia, and a signature.
[01:26:30.887 --> 01:26:32.648]  Really appreciate that.
[01:26:32.648 --> 01:26:36.189]  This is the one way we can maintain our superiority.
[01:26:36.189 --> 01:26:36.929]  Thank you so much.
[01:26:39.867 --> 01:26:52.073]  President Obama has decided to implement some new sanctions in order to prevent some trade imbalances, Prince's birthday and his signature.
[01:26:52.073 --> 01:27:04.019]  And part of the plan to deal with Russia is to launch a preemptive nuclear strike, which will help to maintain America's superiority in the world.
[01:27:04.019 --> 01:27:08.541]  I appreciate your supporting a nuclear attack on Russia.
[01:27:09.364 --> 01:27:09.919]  Thank you so much.
[01:27:11.673 --> 01:27:14.615]  Okay, here, just real quick, we're just getting signatures.
[01:27:14.615 --> 01:27:25.240]  You've seen that Russia has been threatening the United States lately and trying to flex their international muscle, violating all sorts of treaties.
[01:27:25.240 --> 01:27:39.067]  Well, this is to support Obama's plan for a preemptive nuclear strike to Russia, just to send them a message that we are still the world's first and only superpower.
[01:27:40.928 --> 01:27:46.869]  Print here a birthdate and a signature just to support America real quick.
[01:27:46.869 --> 01:27:49.310]  I have lived in America all my life.
[01:27:49.310 --> 01:27:50.850]  You're an American.
[01:27:50.850 --> 01:27:55.991]  We need to get behind the political power.
[01:27:55.991 --> 01:28:02.212]  Print birthdate and a signature to support the preemptive nuclear strike.
[01:28:02.212 --> 01:28:05.553]  I hope he doesn't disappoint me because this is the only thing I've really signed for him.
[01:28:05.553 --> 01:28:09.594]  Birthdate to support the nuclear strike against Russia.
[01:28:11.745 --> 01:28:22.160]  And the patriotic thing to do these days, signature, to send Russia a message with a preemptive nuclear strike.
[01:28:22.160 --> 01:28:23.222]  Thank you for supporting that.
[01:28:23.222 --> 01:28:24.303]  Let's hope he doesn't disappoint me.
[01:28:25.123 --> 01:28:33.168]  President's plan to launch the preemptive nuclear demonstration against Russia for violating the... No thanks, man.
[01:28:33.168 --> 01:28:38.672]  We're just trying to show support for... We need 100,000 signatures to support Obama's plan.
[01:28:38.672 --> 01:28:40.053]  You can tell that last guy was a vet.
[01:28:40.053 --> 01:28:42.315]  I mean, he looked at you like you were crazy.
[01:28:42.315 --> 01:28:43.175]  And that's the problem.
[01:28:43.175 --> 01:28:44.676]  So many people have not been in the military.
[01:28:44.676 --> 01:28:46.757]  They just have no idea we're talking about the end of the world here.
[01:28:46.757 --> 01:28:50.220]  You gotta go out and ask him to support the end of the world for Obama.
[01:28:50.220 --> 01:28:52.561]  And, you know, blowing the planet up to stop racism.
[01:28:52.561 --> 01:28:54.282]  You know, the planet's just too racist and...
[01:28:55.243 --> 01:28:57.584]  God tried to destroy it with water.
[01:28:57.584 --> 01:28:59.264]  Obama will do it with fire this time.
[01:28:59.264 --> 01:29:01.044]  Let's just blow the planet up for Obama.
[01:29:01.044 --> 01:29:03.025]  I mean, you know, that'll take care of the Ku Klux Klan.
[01:29:03.025 --> 01:29:05.025]  We'll kill all of them by blowing the Earth up.
[01:29:05.025 --> 01:29:06.325]  I mean, you're right, though.
[01:29:06.325 --> 01:29:10.326]  This is how they can get up on TV and say there's no drone program.
[01:29:10.326 --> 01:29:12.547]  Or Obamacare doesn't have death panels.
[01:29:12.547 --> 01:29:15.867]  Or, you know, the TPP's public but you can't read it.
[01:29:15.867 --> 01:29:20.288]  As Paul Ryan just said, I mean, it's not just the Democrats doing this.
[01:29:20.288 --> 01:29:23.249]  They're deploying the biggest lies I've ever seen, Mark Deist.
[01:29:24.602 --> 01:29:26.825]  And you can see that last guy was happy about it.
[01:29:26.825 --> 01:29:38.102]  He didn't want Obama to disappoint him by not nuking Russia and apparently these people that their brains have degenerated so far that they just can't even understand what the consequences would be.
[01:29:38.102 --> 01:29:39.684]  They're operating off of such
[01:29:39.684 --> 01:29:42.505]  Yeah, they think you're number one by killing 180 million people.
[01:29:58.615 --> 01:30:00.996]  This is what happens in an entertainment wasteland.
[01:30:00.996 --> 01:30:06.479]  We have an entire generation or two now that have just been raised on television.
[01:30:06.479 --> 01:30:12.341]  The more brutal, the more vicious the entertainment, the more entertained they are, the more they love it.
[01:30:12.341 --> 01:30:15.123]  So detached from news.
[01:30:15.123 --> 01:30:19.745]  The only information they get is through their Instagram and through their Twitter accounts.
[01:30:19.745 --> 01:30:20.885]  Let's just say it.
[01:30:20.885 --> 01:30:21.386]  They're gone.
[01:30:21.386 --> 01:30:21.986]  They're not people.
[01:30:23.585 --> 01:30:25.967]  They're subhuman zombies.
[01:30:25.967 --> 01:30:26.427]  By design.
[01:30:26.427 --> 01:30:28.128]  I mean, they're gone.
[01:30:28.128 --> 01:30:30.951]  This is what the establishment manufactures now is jellyfish heads.
[01:30:30.951 --> 01:30:31.771]  We'll be back.
[01:30:31.771 --> 01:30:40.278]  Mark Dice.
[01:30:40.278 --> 01:30:42.560]  Mark Dice is with us five minutes to the next hour.
[01:30:42.560 --> 01:30:48.685]  Then Larry Klinman with big breaking news is going to be joining us from Judicial Watch.
[01:30:51.254 --> 01:30:54.896]  There may be a microphone open in that control room, guys.
[01:30:54.896 --> 01:31:01.281]  But before we go any further, I just want to remind everyone that we're supported by viewers and listeners like you.
[01:31:01.281 --> 01:31:02.401]  Thank you so much for your support.
[01:31:02.401 --> 01:31:06.064]  Please support local AM and FM affiliates.
[01:31:06.064 --> 01:31:09.566]  Please check out InfoWarsStore.com.
[01:31:09.566 --> 01:31:12.068]  We do have a limited supply back in.
[01:31:12.068 --> 01:31:16.211]  As I told you, we had some being manufactured, but we're running out of the crystals themselves.
[01:31:16.211 --> 01:31:17.572]  We're trying to procure that.
[01:31:17.572 --> 01:31:20.914]  Of the survival shield, nascent iodine X2, the purest iodine out there.
[01:31:21.714 --> 01:31:25.996]  Most people, again, have thyroid issues out there because they don't have enough iodine.
[01:31:25.996 --> 01:31:27.397]  Consult your physician first.
[01:31:27.397 --> 01:31:29.438]  But you die without this key element.
[01:31:29.438 --> 01:31:31.178]  It's the good part of the halogen family.
[01:31:31.178 --> 01:31:33.559]  We have a limited supply back in.
[01:31:33.559 --> 01:31:37.081]  Survival Shield X2 Nascent Iodine.
[01:31:37.081 --> 01:31:43.964]  Available at Infowarslife.com or by calling toll free 888-253-3139.
[01:31:43.964 --> 01:31:46.605]  A limited supply of that is back in.
[01:31:46.605 --> 01:31:49.807]  The OxyPower, the Super Mel Vitality, the Colloidal Silver,
[01:31:51.576 --> 01:31:52.357]  Silver Bullet.
[01:31:52.357 --> 01:31:52.757]  All of it.
[01:31:52.757 --> 01:31:58.343]  High quality, competitively priced, and it supports InfoWars.com and what we're doing.
[01:31:58.343 --> 01:31:59.805]  Fighting for the Second Amendment.
[01:31:59.805 --> 01:32:00.886]  Fighting for sovereignty.
[01:32:00.886 --> 01:32:02.307]  Fighting for pro-life.
[01:32:02.307 --> 01:32:04.710]  Fighting for common sense initiatives.
[01:32:04.710 --> 01:32:06.351]  Fighting for GMO labeling.
[01:32:07.113 --> 01:32:10.154]  Fighting to expose and fight the TPP.
[01:32:10.154 --> 01:32:13.796]  Infowarslife.com, Infowarsstore.com.
[01:32:13.796 --> 01:32:17.017]  We've got 20% off ProPure right now, one of the biggest sales ever.
[01:32:17.017 --> 01:32:20.239]  Infowarsstore.com or 888-253-3139.
[01:32:20.239 --> 01:32:31.124]  We're also a platform for other great media analysts and activists and journalists to come on, like Charlie Skelton earlier from The Guardian, or Mark Dice of markdice.com.
[01:32:31.124 --> 01:32:33.465]  Mark, tell us a little bit about your new book.
[01:32:34.165 --> 01:32:34.886]  That I haven't read yet.
[01:32:34.886 --> 01:32:38.969]  I've read some of your others on the Bilderberg Group.
[01:32:38.969 --> 01:33:01.026]  Continuing with my Facts and Fiction series, now the latest book, the Bilderberg Group Facts and Fiction, and it chronicles the Bilderberg Group's history, their discovery, their slow exposure, particularly the last few years, thanks to social media, thanks to people like yourself, largely, and Drudge Report now for the fifth year in a row, which has been covering it.
[01:33:01.186 --> 01:33:06.869]  So, if you're new to this, or even if you've been familiar with it, you can pick up some serious pieces of the puzzle.
[01:33:06.869 --> 01:33:19.616]  A lot of people don't know that the Bilderberg Group, I mean they have a checking account, they have to have a checking account, so they have a business entity, it's called American Friends of Bilderberg here in America, and they operate as a tax-exempt charity foundation.
[01:33:23.180 --> 01:33:25.101]  So I've been able to get them.
[01:33:25.101 --> 01:33:29.142]  It shows that they're spending about a million dollars a year on the conferences.
[01:33:29.142 --> 01:33:31.002]  It shows who the donors are.
[01:33:31.002 --> 01:33:35.683]  It's quite a fascinating look into the history of the Bilderberg Group.
[01:33:35.683 --> 01:33:41.865]  And as many of your viewers know, it's been confirmed a conspiracy fact now.
[01:33:41.865 --> 01:33:44.826]  And it's incredible how such an important group of people
[01:33:45.086 --> 01:33:51.894]  You know, Jim Tucker has that famous quote about if 120 sports players were to meet, it would be big news.
[01:33:51.894 --> 01:34:00.965]  But 120 of the world's most powerful men meet in a hotel that's shut down and surrounded by armed guards and now private security, privacy fences as well.
[01:34:00.965 --> 01:34:01.686]  It's just not news.
[01:34:02.246 --> 01:34:04.109]  You can't say this isn't newsworthy.
[01:34:04.109 --> 01:34:05.790]  You can't say that it's not interesting.
[01:34:05.790 --> 01:34:11.677]  It's certainly more powerful than the G8, the G20, or Davos, any of these major world economic forums.
[01:34:11.677 --> 01:34:16.743]  But the fact that there's not a mention, and there hasn't been at least for primarily the last 60 years,
[01:34:18.164 --> 01:34:18.405]  Sure!
[01:34:32.861 --> 01:34:35.943]  These are the puppet masters they don't want us looking at.
[01:34:35.943 --> 01:34:39.265]  Folks can find your book at Amazon.com, MarkDice.com.
[01:34:39.265 --> 01:34:41.206]  We should carry it at InfowarsStore.com.
[01:34:41.206 --> 01:34:43.027]  We've carried a lot of your great work in the past.
[01:34:43.027 --> 01:34:55.235]  We're going to go to break, come back in 70 seconds and get more into the Bilderberg Group and how they control the media and have helped turn the Westerners into such dumb idiots.
[01:34:55.235 --> 01:34:58.137]  This is an American president.
[01:34:58.137 --> 01:34:59.637]  Just add puppet.
[01:34:59.637 --> 01:35:01.839]  Then vote and repeat every four years.
[01:35:10.011 --> 01:35:13.597]  Third hour, straight ahead, InfoWars.
