[00:00.000 --> 00:00.580]  Action.
[1:37:49.980 --> 1:37:52.980]  So tell me what your rationale is, though.
[1:37:52.980 --> 1:37:58.980]  I mean, they're going to attack you probably on a bunch of different levels for saying this.
[1:37:58.980 --> 1:38:01.980]  Why should people agree with your idea?
[1:38:01.980 --> 1:38:07.980]  Well, Tucker, I mean, when you think about the situation that we have economically in America,
[1:38:07.980 --> 1:38:13.980]  where the working class continues to dwindle, legal immigration is not helping us in this scenario.
[1:38:13.980 --> 1:38:18.980]  So we're bringing in roughly a million legal immigrants a year in various visa programs
[1:38:18.980 --> 1:38:20.980]  and via green cards.
[1:38:20.980 --> 1:38:26.980]  And these folks are increasingly taking jobs, not just from working class Americans,
[1:38:26.980 --> 1:38:30.980]  like we do with the sort of farm visas, like you were just discussing,
[1:38:30.980 --> 1:38:34.980]  but increasingly from middle class Americans, too.
[1:38:34.980 --> 1:38:38.980]  So we're, I mean, Congress, even Republicans in Congress,
[1:38:38.980 --> 1:38:43.980]  I suppose, conservatives are lobbying right now to increase high-skilled tech views.
[1:38:43.980 --> 1:38:46.980]  That's right. And he's going to be, again, with us next hour.
[1:38:46.980 --> 1:38:49.980]  I'm going to your calls, but the reason I wanted to raise this is,
[1:38:49.980 --> 1:38:53.980]  I see the articles out of Europe every day and I don't cover them
[1:38:53.980 --> 1:38:56.980]  because I've already read them, I've already looked at them,
[1:38:56.980 --> 1:39:00.980]  and they make me so upset that I tend to not go back to them.
[1:39:00.980 --> 1:39:02.980]  It's not really a conscious thing.
[1:39:02.980 --> 1:39:07.980]  It's that it's so upsetting, it's so ridiculous, it's so crazy, you can't believe it.
[1:39:07.980 --> 1:39:11.980]  Like everybody's seeing this happen five years ago, four years ago,
[1:39:11.980 --> 1:39:15.980]  the footage of the old Italian man at his little family-owned hotel they'd owned for 200 years,
[1:39:15.980 --> 1:39:19.980]  only held 20 rooms, so 40, 50 people could stay there,
[1:39:19.980 --> 1:39:22.980]  little bit of a restaurant by the sea,
[1:39:22.980 --> 1:39:27.980]  and they bring in African migrants who illegally landed on the beach,
[1:39:27.980 --> 1:39:32.980]  and the federal police are laughing while the old man cries,
[1:39:32.980 --> 1:39:38.980]  and the tenants are thrown out and given their money back.
[1:39:38.980 --> 1:39:44.980]  There's hours this on Italian TV, and the illegal aliens move into his hotel.
[1:39:44.980 --> 1:39:48.980]  Well, I mean, I saw this week where in Sweden,
[1:39:48.980 --> 1:39:53.980]  they're kicking people out of their old folks' Section 8 housing, welfare housing,
[1:39:53.980 --> 1:39:58.980]  saying, oh, the toilets weren't green enough, they were a centimeter too small,
[1:39:58.980 --> 1:40:04.980]  and they just use that as the cover to move the Islamist military age men in.
[1:40:04.980 --> 1:40:10.980]  And I see these articles every day.
[1:40:10.980 --> 1:40:13.980]  And then articles about how we should praise and love the Islamist.
[1:40:13.980 --> 1:40:17.980]  When we go to their countries, they don't give us crap,
[1:40:17.980 --> 1:40:20.980]  except kill you if you don't convert. It's crazy.
[1:40:20.980 --> 1:40:23.980]  But this is the authoritarianism of these people.
[1:40:23.980 --> 1:40:27.980]  So I'm going to go to Bart, I'm going to go to everybody here in just a moment.
[1:40:27.980 --> 1:40:30.980]  But here's another article on this.
[1:40:30.980 --> 1:40:37.980]  CIS.org, 63% of non-citizen households access welfare programs in the United States.
[1:40:37.980 --> 1:40:42.980]  It's over 80% in Europe of these Islamic illegal aliens.
[1:40:42.980 --> 1:40:46.980]  And again, I'll tell you, people from Mexico and other places try to assimilate.
[1:40:46.980 --> 1:40:50.980]  Mexico's a war zone now, its population's exploded, there's big problems.
[1:40:50.980 --> 1:40:56.980]  But Islamists out of the Middle East are like cancer when you bring them in.
[1:40:56.980 --> 1:41:04.980]  And the third world, I mean, they don't let Islamists move into places in the third world because they're not stupid.
[1:41:04.980 --> 1:41:08.980]  They have some form of tribalism to protect themselves.
[1:41:08.980 --> 1:41:12.980]  So this is a UN plan. I know everybody knows it, but we need to make a big deal about it.
[1:41:12.980 --> 1:41:15.980]  Okay, I want to get back into impeachment. I want to get back into the articles.
[1:41:15.980 --> 1:41:17.980]  I want to get back into your calls. I want to do it all.
[1:41:17.980 --> 1:41:20.980]  I'm not going to plug next segment. I'm going to do it just a minute and a half left here.
[1:41:20.980 --> 1:41:26.980]  Ladies and gentlemen, our big sale, we got a lot of big sales going in free shipping and double-patriot points at M4store.com.
[1:41:26.980 --> 1:41:32.980]  And it is your Christmas shopping with us that helps us continue on and do a lot of amazing things like you saw with Owen in Congress.
[1:41:32.980 --> 1:41:35.980]  And we'll be at the Trump rally tonight. We're got reporters all over the U.S.
[1:41:35.980 --> 1:41:38.980]  And we're just so many times the outlet that breaks the big news.
[1:41:38.980 --> 1:41:40.980]  That's why they're trying to shut us down.
[1:41:40.980 --> 1:41:43.980]  Well, we have the real Red Pill and the real Red Pill Plus.
[1:41:43.980 --> 1:41:47.980]  Real Red Pill Plus just has three forms of good, healthy added energy in it.
[1:41:47.980 --> 1:41:54.980]  And it has vitamins, minerals, but then preglenone, which again, the system tries to suppress.
[1:41:54.980 --> 1:41:58.980]  We have the good form of preglenone that's the basis of all the hormones in the body.
[1:41:58.980 --> 1:42:01.980]  It's over the counter, but they're moving to try to stop that.
[1:42:01.980 --> 1:42:04.980]  Been around for 100 years. They really suppress it.
[1:42:04.980 --> 1:42:09.980]  Get a bottle of this for $29.95. That is very close to cost.
[1:42:09.980 --> 1:42:11.980]  It's like 20 bucks a bottle for us.
[1:42:11.980 --> 1:42:20.980]  And then you will get a free bottle of bio-truse selenium from the mustard seed with it, ladies and gentlemen.
[1:42:20.980 --> 1:42:25.980]  And that is a big, big, big deal.
[1:42:25.980 --> 1:42:28.980]  Selenium, if you don't have selenium, you die. It's electrochemical.
[1:42:28.980 --> 1:42:30.980]  It's what all the cells use to operate.
[1:42:30.980 --> 1:42:33.980]  So you add that with the preglenone, the vitamins, the minerals.
[1:42:33.980 --> 1:42:36.980]  It is an explosive combination. You want to go next level. This is it.
[1:42:36.980 --> 1:42:39.980]  Be careful. Consult your physician because this isn't a game.
[1:42:39.980 --> 1:42:42.980]  It's all hardcore real stuff. It's one of our big sales at InformerStore.com.
[1:42:42.980 --> 1:42:44.980]  It's great for you. It's great for a gift.
[1:42:44.980 --> 1:42:47.980]  And we're selling out of all the big inventory to fund in the next year.
[1:42:47.980 --> 1:42:49.980]  So please take action at InformerStore.com.
[1:42:49.980 --> 1:42:55.980]  I will come back and I'll take five calls in the next segment. Stay with us.
[1:42:55.980 --> 1:43:02.980]  At current sales rates, we're going to sell out of Real Red Pill and Real Red Pill Plus by the end of the year.
[1:43:02.980 --> 1:43:07.980]  But despite that, I'm still offering it at 65% off
[1:43:07.980 --> 1:43:13.980]  for those of you that have never experienced what is in the Real Red Pill and in the Real Red Pill Plus.
[1:43:13.980 --> 1:43:19.980]  There is no one formula that you're going to find out there that is more game-changing.
[1:43:19.980 --> 1:43:27.980]  It's 65% off right now. That's very close to cost with a free bottle of our best-selling Biotru Selenium for the mustard seed.
[1:43:27.980 --> 1:43:33.980]  These two formulas go together and will supercharge your energy, your focus, your entire body.
[1:43:33.980 --> 1:43:37.980]  The globalists know about this, but have been suppressing it.
[1:43:37.980 --> 1:43:43.980]  Take advantage of it now. The Real Red Pill and Real Red Pill Plus combo with Biotru Selenium at InformerStore.com
[1:43:43.980 --> 1:43:47.980]  and help yourself, your family, and the InformerStore.
[1:43:47.980 --> 1:43:50.980]  Again, do your Christmas shopping for yourself and your family.
[1:43:50.980 --> 1:43:55.980]  You need to try the Real Red Pill, Real Red Pill Plus, and Biotru Selenium for yourselves.
[1:43:55.980 --> 1:44:02.980]  The 12 days of Christmas Super Sale has come to InformerStore.com with free shipping store-wide and double-patriot points.
[1:44:02.980 --> 1:44:06.980]  Finish your Christmas shopping with one click and support the Info War.
[1:44:06.980 --> 1:44:13.980]  For the 12 days of Christmas, we're adding a new special every day, plus free shipping, double-patriot points,
[1:44:13.980 --> 1:44:19.980]  and extra stickers in every package to be good little elves and spread the Info War, triggering Lib Tards.
[1:44:19.980 --> 1:44:22.980]  Check in every day to find the new deals.
[1:44:22.980 --> 1:44:31.980]  Secure a bottle of the Good Halogen X3 at cost at $29.95 and get a free bottle of Biotru Selenium.
[1:44:31.980 --> 1:44:37.980]  Buy Real Red Pill Plus and Real Red Pill at 65% off and get a free bottle of Selenium as well.
[1:44:37.980 --> 1:44:40.980]  Silver Bullet is only $9.95.
[1:44:40.980 --> 1:44:46.980]  Ultimate Female Force and Super Female Vitality combo are at cost at $29.95.
[1:44:46.980 --> 1:44:55.980]  Eight-pack PowerStack is also at cost at $29.95 with free shipping and over 100 others at InformerStore.com and support the Info War.
[1:44:55.980 --> 1:45:02.980]  If it isn't broken, then you can't fix it. That's why the technocracy is openly breaking the human code,
[1:45:02.980 --> 1:45:08.980]  genetically mutating us, poisoning us, lowering our IQs, lowering our life expectancy,
[1:45:08.980 --> 1:45:16.980]  and then destroying the institutions and cultural systems developed by our ancient mammal species of the family.
[1:45:16.980 --> 1:45:25.980]  We're being taken off the land. We're being taken beyond domestication to the next level of slavery
[1:45:25.980 --> 1:45:34.980]  until we cannot even procreate anymore and are no longer human than the corporate masters who wish more than anything to play God.
[1:45:34.980 --> 1:45:42.980]  I believe they can come rescue humanity with their new systems that we will willingly beg for them to implement against us.
[1:45:42.980 --> 1:45:49.980]  This is the forced seduction of the Luciferian world government model. This is the post-human error.
[1:45:49.980 --> 1:45:55.980]  This is the ultimate tyranny visited upon the planet. This is the crossroads. Resist or be destroyed for eternity.
[1:45:55.980 --> 1:46:03.980]  The 12 days of Christmas Super Sale has come to Info Wars with free shipping store-wide and double Patriot points.
[1:46:03.980 --> 1:46:07.980]  Don't shop with Amazon and other big tech companies that hate your guts.
[1:46:07.980 --> 1:46:12.980]  Take the Info Wars Christmas Challenge and support the fight for freedom.
[1:46:12.980 --> 1:46:16.980]  Finish your Christmas shopping with one click and support the Info War.
[1:46:16.980 --> 1:46:23.980]  For the 12 days of Christmas, we're adding a new special every day, plus free shipping, double Patriot points,
[1:46:23.980 --> 1:46:29.980]  and extra stickers in every package to be good little elves and spread the Info War, triggering libtards.
[1:46:29.980 --> 1:46:32.980]  Check in every day to find the new deals.
[1:46:32.980 --> 1:46:35.980]  We're also coming out of the gates with specials we've never had before.
[1:46:35.980 --> 1:46:42.980]  The Christmas Mega Pack is at cost at $99.95. Get two bottles of knockout, two bottles of Brain Force Plus,
[1:46:42.980 --> 1:46:49.980]  one box of Turbo Force, one bottle of Ultimate Krill Oil, and one bottle of Survival Shield X3 at cost.
[1:46:49.980 --> 1:47:06.980]  Again, find this amazing special and over 100 others at infowarstore.com and support the Info War.
[1:47:20.980 --> 1:47:24.980]  On Corruption, it's Alex Jones.
[1:47:24.980 --> 1:47:29.980]  Alright, let's move quickly through your calls because I want to get to a lot of them.
[1:47:29.980 --> 1:47:33.980]  Bart was talking about God's Spirit, what can be done against the globalist.
[1:47:33.980 --> 1:47:36.980]  Finish up the points you were making Bart, I appreciate you holding.
[1:47:36.980 --> 1:47:43.980]  What I mean about the globalist is if you look back into Bible and read it and through all the Gospels,
[1:47:43.980 --> 1:47:52.980]  what Jesus keeps reminding us is ye of little faith. You've got to have faith in the Lord that he's going to be protecting us
[1:47:52.980 --> 1:47:57.980]  and taking us through. Yes, we're going to have some hard times, but just go back to the beginning
[1:47:57.980 --> 1:48:03.980]  at Genesis when the fallen angels tried to corrupt the human race and God interfered,
[1:48:03.980 --> 1:48:06.980]  and that's why the flood of Noah came.
[1:48:06.980 --> 1:48:14.980]  And then after Noah made his sacrifice, he told man to eat meat. Man was a vegetarian before that.
[1:48:14.980 --> 1:48:19.980]  What are we hearing now today? Oh, not to eat meat, not to do this.
[1:48:19.980 --> 1:48:32.980]  And all the corruption of the defiled sects going on in the days of Noah is coming back with these Drag Queen reading in the larger...
[1:48:32.980 --> 1:48:39.980]  Drag queens are the priesthood, their men in demonic clown outfits is what Satanists actually wear in their events.
[1:48:39.980 --> 1:48:44.980]  And then they are the priesthood and then our children are given to them and then they teach them perversion
[1:48:44.980 --> 1:48:46.980]  and it's all done out in the open. You're absolutely right.
[1:48:46.980 --> 1:48:51.980]  And if you read the Bible and then you go back and study what those civilizations were doing,
[1:48:51.980 --> 1:48:56.980]  the Bible says they were being taught this by fallen entities from space.
[1:48:56.980 --> 1:49:00.980]  And then now we see it all repeating. I appreciate your call, Bart. Great points.
[1:49:00.980 --> 1:49:07.980]  Make no mistake, we've never been in Kansas. This is planet, you know, the archetype Kansas is calm and nice.
[1:49:07.980 --> 1:49:13.980]  And then you go to the magic world and the Emerald Castle and all the rest of it.
[1:49:13.980 --> 1:49:17.980]  There's a lot of stuff going on and the establishment knows that and they bet on the wrong team.
[1:49:17.980 --> 1:49:23.980]  They bet on the wrong honcho. Let's go ahead and go to more calls here.
[1:49:23.980 --> 1:49:29.980]  Up next is David in Washington State. Thank you for calling. Go ahead.
[1:49:29.980 --> 1:49:35.980]  And with a quick comment, I've been using TurboForce and I'll tell you what, I got everybody around me hooked on it.
[1:49:35.980 --> 1:49:38.980]  Stuff is amazing. Truly amazing.
[1:49:38.980 --> 1:49:44.980]  Tell me what you think of TurboForce because I went to like four or five big top places.
[1:49:44.980 --> 1:49:49.980]  I got a famous nutrition developer, well-known person. If you're into that, he's a household name.
[1:49:49.980 --> 1:49:52.980]  And we paid him a lot of money. He didn't want his name on it because of how we get attacked.
[1:49:52.980 --> 1:49:55.980]  But I said, I really want, if companies would put more money into something,
[1:49:55.980 --> 1:50:00.980]  because most companies put almost nothing into it and still works really great, you know, similar things.
[1:50:00.980 --> 1:50:05.980]  This has more of the natural energy ingredients, more of the enzymes, however it all works.
[1:50:05.980 --> 1:50:11.980]  I mean, we put more into TurboForce than anybody else does. It's really 10-hour clean energy.
[1:50:11.980 --> 1:50:12.980]  What did TurboForce do for you?
[1:50:12.980 --> 1:50:18.980]  Okay. All right. So first off, Will Johnson was right. You've got to use orange juice and if not, pineapple juice.
[1:50:18.980 --> 1:50:21.980]  Two best things you can ever use. Okay.
[1:50:21.980 --> 1:50:25.980]  Second off, a lot of the products, to be honest, don't work for me.
[1:50:25.980 --> 1:50:32.980]  But this one was like, I gave it to a friend as a guinea pig because I was like, oh, I'm not sure if it's going to work.
[1:50:32.980 --> 1:50:39.980]  It worked. And, you know, I mean, you know, I run heavy equipment. It keeps you awake all day long.
[1:50:39.980 --> 1:50:42.980]  I have no problem. I don't feel tired. I could sit there and run the equipment.
[1:50:42.980 --> 1:50:46.980]  As a matter of fact, I'm doing that right now. But, you know, I mean, I love it.
[1:50:46.980 --> 1:50:51.980]  I mean, it's the one product, this one, and the new Brainforce Plus, which the first Brainforce Plus didn't work for me at all.
[1:50:51.980 --> 1:50:57.980]  This one works. And I'm actually kind of happy.
[1:50:57.980 --> 1:51:02.980]  Well, the reason sometimes knockout works better. Sometimes it doesn't.
[1:51:02.980 --> 1:51:06.980]  Sometimes Brainforce Plus works better. Sometimes it doesn't is.
[1:51:06.980 --> 1:51:10.980]  These are real organic, high quality sourcing and compounds.
[1:51:10.980 --> 1:51:14.980]  And sometimes the herbs aren't as strong as the next batch.
[1:51:14.980 --> 1:51:17.980]  It's kind of like sometimes you go get cherries at the store and it's the same company.
[1:51:17.980 --> 1:51:22.980]  Everything they taste really good. Sometimes they look good, but don't taste good, you know, or they look bad, but taste great.
[1:51:22.980 --> 1:51:27.980]  I mean, these are real formulas. So and they're natural and they're organic.
[1:51:27.980 --> 1:51:30.980]  And so that's why they're going to vary batch to batch.
[1:51:30.980 --> 1:51:35.980]  So God bless you. What's your point on the IG report I see you wanted to get into?
[1:51:35.980 --> 1:51:43.980]  Two things. First off, the IG report. Listen, everybody, you know, you'd have to be living in a hole in the wall if you didn't see this one coming.
[1:51:43.980 --> 1:51:48.980]  I mean, honestly, you know, the whole deck stacked against Trump, it doesn't really matter.
[1:51:48.980 --> 1:51:54.980]  You know, I mean, we as a citizen, you know, we could do something, but really I see all day.
[1:51:54.980 --> 1:51:59.980]  People, oh, I want to do this or oh, I want to do that, but no one stands up anymore.
[1:51:59.980 --> 1:52:02.980]  Everybody is afraid. Everybody's afraid.
[1:52:02.980 --> 1:52:07.980]  You know, I'm glad you raised this because I wanted to come in here on Friday and Monday and say this.
[1:52:07.980 --> 1:52:10.980]  And I was all ready to talk about it and really thought about it and was all hyped up.
[1:52:10.980 --> 1:52:17.980]  And then I forgot. So let me just briefly say something about this and then hopefully do a whole show on it and take calls on just this subject.
[1:52:17.980 --> 1:52:20.980]  Everyone's calling what Owen did, the most brave thing they ever saw.
[1:52:20.980 --> 1:52:27.980]  Come on, firefighters going in collapsing buildings, you know, rescue divers and the people that went into those caves in Malaysia to get all those kids out.
[1:52:27.980 --> 1:52:31.980]  I mean, that is scarier than hell and super dangerous and what three or four divers died.
[1:52:31.980 --> 1:52:35.980]  Now that's that's that's going into a situation where you got probably a 5% chance to die.
[1:52:35.980 --> 1:52:42.980]  Every dive you do 20, 30 missions. I mean, you know, B17 pilots, half of them were dying in World War Two over Germany.
[1:52:42.980 --> 1:52:46.980]  I mean, there are certain things where you know you're about to die and you still do it.
[1:52:46.980 --> 1:52:51.980]  But just going in and standing up to criminals and getting arrested and maybe paying a thousand dollar fine.
[1:52:51.980 --> 1:52:54.980]  That that's important and Owen did it and he's awesome.
[1:52:54.980 --> 1:52:59.980]  But exactly how have people gotten so cowed where they're afraid of what's going to happen to them?
[1:52:59.980 --> 1:53:04.980]  That's called living in tyranny and that's what you want to be scared of is the end product of laying down means you're afraid.
[1:53:04.980 --> 1:53:07.980]  Down means you're a slave. Keep going.
[1:53:07.980 --> 1:53:14.980]  I don't tell anybody that I voted because, you know, where I live, you know, you just don't say it, you know,
[1:53:14.980 --> 1:53:16.980]  they'll say who'd you vote for and then they'll attack you.
[1:53:16.980 --> 1:53:20.980]  And again, because we got to get in the habit of getting used to being attacked.
[1:53:20.980 --> 1:53:25.980]  I love it when leftists get in my face now because when I'm done, they got their tail between their legs, but keep going.
[1:53:25.980 --> 1:53:30.980]  Can I say one one really important thing that really upsets me and I'm going to be honest with you.
[1:53:30.980 --> 1:53:31.980]  I'll be completely frank.
[1:53:31.980 --> 1:53:34.980]  You know, aggravate me most about you and I'm sorry.
[1:53:34.980 --> 1:53:40.980]  I hate to break this to you, but when you sit there and tell people that I can't do this anymore, you know, that's like crushing us.
[1:53:40.980 --> 1:53:44.980]  When we hear you sit there and say, oh, well, you know, I just can't do this anymore.
[1:53:44.980 --> 1:53:49.980]  I got to give up, you know, believe it or not, you say that the audience is, you know, is the power.
[1:53:49.980 --> 1:53:53.980]  But the reality is you give the audience the word.
[1:53:53.980 --> 1:53:55.980]  You give you give us David, let me stop right there.
[1:53:55.980 --> 1:53:57.980]  Here's the problem.
[1:53:57.980 --> 1:54:02.980]  When I get super angry and when they have they literally hand me stacks of news.
[1:54:02.980 --> 1:54:05.980]  So many stories of them teaching pedophilia to children in schools.
[1:54:05.980 --> 1:54:13.980]  So many stories of them cutting three year olds balls off now that I will say I can't take it anymore because I'm about to turn the desk over a minute later.
[1:54:13.980 --> 1:54:14.980]  I'm OK.
[1:54:14.980 --> 1:54:15.980]  I'm not scripted what I'm saying.
[1:54:15.980 --> 1:54:21.980]  I really feel I wear my heart on my sleeve and I'm very, you know, extroverted when it comes to that.
[1:54:21.980 --> 1:54:23.980]  I don't mean it, but you're right.
[1:54:23.980 --> 1:54:31.980]  But I mean, sometimes like three, four hours into the show, what I'm really saying is, man, I want to start killing people.
[1:54:31.980 --> 1:54:38.980]  That's what that means is I can't do this anymore because I start thinking about being violent and I'm not going to be violent.
[1:54:38.980 --> 1:54:40.980]  I'm just saying that's what that really means.
[1:54:40.980 --> 1:54:42.980]  OK, is it a certain point?
[1:54:42.980 --> 1:54:44.980]  They got it all set up where we get violent.
[1:54:44.980 --> 1:54:52.980]  They're going to say we're the bad guys, even though they're the violent people with the vaccines and the GMOs and the hurting children and destroying their futures and all the corruption and all the things.
[1:54:52.980 --> 1:54:53.980]  They do.
[1:54:53.980 --> 1:54:57.980]  And so when I say that, it means as a man, I'm a red lining like a race car engine.
[1:54:57.980 --> 1:54:58.980]  So I apologize.
[1:54:58.980 --> 1:54:59.980]  You're absolutely right, David.
[1:54:59.980 --> 1:55:00.980]  I'm going to jump.
[1:55:00.980 --> 1:55:03.980]  I will not say I can't take it anymore.
[1:55:03.980 --> 1:55:04.980]  I'm going to quit.
[1:55:04.980 --> 1:55:05.980]  What I mean is I'm not giving up.
[1:55:05.980 --> 1:55:09.980]  It means I need a vacation.
[1:55:09.980 --> 1:55:11.980]  OK, and it's not in a bad way.
[1:55:11.980 --> 1:55:13.980]  It's like all I do is work now.
[1:55:13.980 --> 1:55:22.980]  And I just need to not be as aggressive as what I'm saying.
[1:55:22.980 --> 1:55:24.980]  OK, because that's what it comes down to.
[1:55:24.980 --> 1:55:28.980]  Let's go to Danny in Oregon and then Gordon in Hawaii.
[1:55:28.980 --> 1:55:29.980]  Danny, you're on the air.
[1:55:29.980 --> 1:55:30.980]  Thanks for holding.
[1:55:30.980 --> 1:55:32.980]  Hey, Alex.
[1:55:32.980 --> 1:55:39.980]  You know, I agree with you there as far as people calling in this area that it's brave what I would do.
[1:55:39.980 --> 1:55:45.980]  I mean, it's just what anybody and everybody should be doing at this point.
[1:55:45.980 --> 1:55:50.980]  I'm surprised it took that long for somebody to stand up and start yelling.
[1:55:50.980 --> 1:55:51.980]  Yeah.
[1:55:51.980 --> 1:55:52.980]  Why is it always him full wars?
[1:55:52.980 --> 1:55:53.980]  Literally.
[1:55:53.980 --> 1:55:57.980]  And again, I'm not taking away from Owen, but now this is a revolutionary act to tell a
[1:55:57.980 --> 1:56:01.980]  row group of criminals that have been caught lying us over and over again and trying to sabotage
[1:56:01.980 --> 1:56:06.980]  our country that say they hate America and tell us we suck to stand up and say, you're
[1:56:06.980 --> 1:56:07.980]  the trees in this trader.
[1:56:07.980 --> 1:56:12.980]  You're the one committing the crimes when law professors told them to their faces exact.
[1:56:12.980 --> 1:56:15.980]  That's what everyone should be doing.
[1:56:15.980 --> 1:56:16.980]  And that's what I keep saying.
[1:56:16.980 --> 1:56:23.980]  It's not extraordinary to say John Hopkins is now doing sex reassignments on three year olds.
[1:56:23.980 --> 1:56:26.980]  OK, that's a damn criminal action.
[1:56:26.980 --> 1:56:30.980]  And it's not normal to sit here and put up with it.
[1:56:30.980 --> 1:56:32.980]  Sorry, go ahead.
[1:56:32.980 --> 1:56:34.980]  No, I agree with you.
[1:56:34.980 --> 1:56:37.980]  I'm extremely mad.
[1:56:37.980 --> 1:56:45.980]  And, you know, I feel that feeling in your spirit when you're just around so much people
[1:56:45.980 --> 1:56:50.980]  just kind of bubbling up and it just I got it directed somewhere.
[1:56:50.980 --> 1:56:51.980]  Well, that's it.
[1:56:51.980 --> 1:56:54.980]  And so we're not going to get violent and we don't support offensive violence because
[1:56:54.980 --> 1:56:56.980]  they're going to spend it against us.
[1:56:56.980 --> 1:56:59.980]  You know, these globalists are carrying out violence against us.
[1:56:59.980 --> 1:57:02.980]  We're going to expose what they're doing and we're going to stop laying down to them.
[1:57:02.980 --> 1:57:03.980]  And that's how we're going to do it.
[1:57:03.980 --> 1:57:05.980]  You agree with me?
[1:57:05.980 --> 1:57:06.980]  Yeah, I agree with you.
[1:57:06.980 --> 1:57:07.980]  Absolutely, Alex.
[1:57:07.980 --> 1:57:15.980]  And, you know, I just I hope that everybody and more people will take the inspiration
[1:57:15.980 --> 1:57:17.980]  and get up and do something about it.
[1:57:17.980 --> 1:57:22.980]  You know, I'm I'm doing what I can, you know, it's hard to understand.
[1:57:22.980 --> 1:57:24.980]  Everybody says the same thing.
[1:57:24.980 --> 1:57:28.980]  They say, oh, well, I you know, you guys can do it, but I have a full time job.
[1:57:28.980 --> 1:57:30.980]  Well, everybody has a full time job.
[1:57:30.980 --> 1:57:33.980]  Well, that's it, Danny, and we all get frustrated because we know about the evil and it should
[1:57:33.980 --> 1:57:34.980]  be reversed.
[1:57:34.980 --> 1:57:36.980]  But the good news is at least we're talking about it.
[1:57:36.980 --> 1:57:38.980]  At least we're trying to censor us because we're effective.
[1:57:38.980 --> 1:57:39.980]  God bless you, Danny.
[1:57:39.980 --> 1:57:40.980]  Thank you.
[1:57:40.980 --> 1:57:41.980]  More calls straight ahead.
[1:57:41.980 --> 1:57:45.980]  Stay with us.
[1:57:45.980 --> 1:57:46.980]  Andy in Florida.
[1:57:46.980 --> 1:57:47.980]  Thank you, Andy.
[1:57:47.980 --> 1:57:48.980]  Go ahead.
[1:57:48.980 --> 1:57:49.980]  Hey, Alex, I love you, man.
[1:57:49.980 --> 1:57:50.980]  We love you.
[1:57:50.980 --> 1:57:53.980]  Before I go ahead and talk about the topic on hand, I got to talk about one of your product.
[1:57:53.980 --> 1:57:54.980]  A little bit about me.
[1:57:54.980 --> 1:57:55.980]  I'm 245 pounds.
[1:57:55.980 --> 1:57:59.980]  I work about 10 to 13 hours a day at UPS and make a long story short.
[1:57:59.980 --> 1:58:01.980]  I used to have a problem with Adderall.
[1:58:01.980 --> 1:58:06.980]  I do have ADHD, but, you know, I was taking Adderall for its energy boosting properties.
[1:58:06.980 --> 1:58:09.980]  You know, I kind of got a little out of hand and, you know, I listen to you religiously
[1:58:09.980 --> 1:58:10.980]  in my truck every day.
[1:58:10.980 --> 1:58:13.980]  So I tried your turbo force and really it's a cliche.
[1:58:13.980 --> 1:58:16.980]  This product changed my life, but turbo force really changed my life.
[1:58:16.980 --> 1:58:17.980]  He was dead.
[1:58:17.980 --> 1:58:22.980]  No longer take Adderall and I get by literally the 13 hours a day I work on a half of a packet
[1:58:22.980 --> 1:58:23.980]  of your turbo force.
[1:58:23.980 --> 1:58:28.980]  And if you take a half a packet, that's literally a dollar a day and you save so much money
[1:58:28.980 --> 1:58:31.980]  versus, you know, a monster, which is what, 499.
[1:58:31.980 --> 1:58:34.980]  And, you know, I just had to call and tell you guys how great turbo force is.
[1:58:34.980 --> 1:58:36.980]  And if anybody's on the fence, they really have to try it.
[1:58:36.980 --> 1:58:37.980]  We're really proud of turbo force.
[1:58:37.980 --> 1:58:38.980]  So thank you, sir.
[1:58:38.980 --> 1:58:40.980]  Commit to buy a lot of your products at M4store.com.
[1:58:40.980 --> 1:58:41.980]  Then help us spread the word.
[1:58:41.980 --> 1:58:44.980]  Let's just get busy at M4store.com.
[1:58:47.980 --> 1:58:49.980]  It's shocking, but true.
[1:58:49.980 --> 1:58:55.980]  2019 is almost a memory in the rear view mirror.
[1:58:55.980 --> 1:58:58.980]  And Cyber Week is here.
[1:58:58.980 --> 1:59:01.980]  The best deals of the year.
[1:59:01.980 --> 1:59:02.980]  Store ride free shipping.
[1:59:02.980 --> 1:59:04.980]  Triple Patriot points for the first time ever.
[1:59:04.980 --> 1:59:06.980]  50 to 70% off.
[1:59:06.980 --> 1:59:09.980]  Many of these products are lost leaders.
[1:59:09.980 --> 1:59:15.980]  We are only 330 days out from the 2020 election.
[1:59:15.980 --> 1:59:17.980]  It is an incredible time to be alive.
[1:59:17.980 --> 1:59:21.980]  It's an incredible time to still be on the air when almost everybody else has been shut down and censored.
[1:59:21.980 --> 1:59:25.980]  Yes, we were the first to be censored because we're such a threat to the globalist.
[1:59:25.980 --> 1:59:29.980]  But now, thanks to the infrastructure and your support, we're still on air.
[1:59:29.980 --> 1:59:31.980]  But bigger attacks are already happening.
[1:59:31.980 --> 1:59:32.980]  More are coming.
[1:59:32.980 --> 1:59:37.980]  So please spread the word about the broadcast and fund our operation while getting great products at the same time.
[1:59:37.980 --> 1:59:38.980]  That's true.
[1:59:38.980 --> 1:59:39.980]  360 win.
[1:59:39.980 --> 1:59:40.980]  Cyber Week is here.
