[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[2:16:19.000 --> 2:16:24.000]  The 12th District. Nancy Pelosi in San Francisco. Nobody's pressing her right now.
[2:16:24.000 --> 2:16:27.000]  Come on, people. 28th District in California. Adam Schiff.
[2:16:27.000 --> 2:16:30.000]  I know that you know who that guy is. Somebody press him.
[2:16:30.000 --> 2:16:33.000]  26th District. Juicy. Absolutely. It goes on.
[2:16:33.000 --> 2:16:36.000]  He's reached the shield generator. Target. Maximum firepower.
[2:16:36.000 --> 2:16:39.000]  This is who's fighting in the 26th District right now of California.
[2:16:39.000 --> 2:16:43.000]  Antonio Sabato Jr. They say we're racist, but there's a Latino.
[2:16:43.000 --> 2:16:47.000]  Again, two of them now running as conservatives in California.
[2:16:47.000 --> 2:16:51.000]  This is how we drain the swamp. Rhode Island. Sheldon Whitehouse.
[2:16:51.000 --> 2:16:54.000]  This guy calls for Trump's impeachment every day. He's a senator.
[2:16:54.000 --> 2:16:57.000]  Yeah, but what is it? If it's a white Democrat, they look really ugly and stupid.
[2:16:57.000 --> 2:16:59.000]  If it's a Hispanic Democrat, they look ugly and stupid.
[2:16:59.000 --> 2:17:03.000]  Or a black Democrat. It's like all the conservative blacks look sharp and cool.
[2:17:03.000 --> 2:17:06.000]  All the conservative Latinos look sharp and cool.
[2:17:06.000 --> 2:17:10.000]  All the white conservatives look better. Why are liberals ugly?
[2:17:10.000 --> 2:17:12.000]  Actually, it's funny, Alex. I have a story.
[2:17:12.000 --> 2:17:15.000]  No, I'm serious. No, I'm serious. I've seen it.
[2:17:15.000 --> 2:17:21.000]  I'm going to tell you, the liberals right now are truly in a disaster, Alex.
[2:17:21.000 --> 2:17:24.000]  They are honestly in a mental encyclopedia.
[2:17:24.000 --> 2:17:28.000]  That's right. Their party's imploding, so their answer is to clear us all Russians.
[2:17:28.000 --> 2:17:32.000]  I mean, look, if you're a crazy person, you're going to look like a crazy person.
[2:17:32.000 --> 2:17:36.000]  You're going to look like George Soros. You're going to look like Eugene Waters.
[2:17:36.000 --> 2:17:39.000]  You're going to look like Aid Skrillex. It goes on and on.
[2:17:39.000 --> 2:17:41.000]  Or Trigley Puffer, these people.
[2:17:41.000 --> 2:17:47.000]  Or Michael Moore. Alex, I had a crazy experience over the weekend dealing with liberals, which, by the way...
[2:17:47.000 --> 2:17:48.000]  I mean, here's Schumer.
[2:17:48.000 --> 2:17:49.000]  Literally, though.
[2:17:49.000 --> 2:17:50.000]  He looked like...
[2:17:50.000 --> 2:17:51.000]  I went...
[2:17:51.000 --> 2:17:58.000]  If you walked into a deli and you saw Chuck Schumer slice and pastram...
[2:17:58.000 --> 2:17:59.000]  No, I'm walking out.
[2:17:59.000 --> 2:18:01.000]  Exactly. You walked right back out.
[2:18:01.000 --> 2:18:04.000]  But, Alex, I had a crazy experience with a couple liberals this weekend.
[2:18:04.000 --> 2:18:07.000]  And by the way, you're worse than Glenn Beck, so congratulations to the liberals.
[2:18:07.000 --> 2:18:08.000]  You're now worse than Glenn Beck.
[2:18:08.000 --> 2:18:09.000]  Thank God.
[2:18:09.000 --> 2:18:11.000]  But here's the thing.
[2:18:11.000 --> 2:18:15.000]  As the night goes on, Alex, this is a true story.
[2:18:15.000 --> 2:18:20.000]  These two liberals, these two liberal women, okay, that they hate you, they can't believe, they're President Trump.
[2:18:20.000 --> 2:18:23.000]  I mean, you know, the full standard, what you would expect.
[2:18:23.000 --> 2:18:25.000]  Alex, this is how much of a disaster they are.
[2:18:25.000 --> 2:18:30.000]  By the end of the night, both of them ended up fighting with each other and crying and going home.
[2:18:30.000 --> 2:18:31.000]  Well, you were telling me...
[2:18:31.000 --> 2:18:33.000]  These people are a mental disaster.
[2:18:33.000 --> 2:18:36.000]  There's good-looking women everywhere, but they're basket-case liberals.
[2:18:36.000 --> 2:18:38.000]  It's the wildest thing I've ever seen.
[2:18:38.000 --> 2:18:40.000]  Every bit of libertarian women is super fun.
[2:18:40.000 --> 2:18:43.000]  They're fun, they're down to earth, they can have a good time, they can have a laugh.
[2:18:43.000 --> 2:18:47.000]  You know, it's not like they look, oh my gosh, what is this guy looking at me about?
[2:18:47.000 --> 2:18:48.000]  Oh my gosh.
[2:18:48.000 --> 2:18:51.000]  Oh, we've had, you know, when I was divorced a while, I'm married now.
[2:18:51.000 --> 2:18:53.000]  I go to parties and stuff.
[2:18:53.000 --> 2:18:58.000]  I'm like, liberal women will walk over and be like, I just want you to know I'm not having sex with you.
[2:18:58.000 --> 2:19:00.000]  And I'll be like, what the hell are you talking about? Are you crazy?
[2:19:00.000 --> 2:19:01.000]  Exactly. That's the first thing they do.
[2:19:01.000 --> 2:19:02.000]  It's like, we're death...
[2:19:02.000 --> 2:19:04.000]  Oh, it's a woman! Let me have sex with you right now!
[2:19:04.000 --> 2:19:05.000]  Ha!
[2:19:05.000 --> 2:19:08.000]  You know, they're hitting on you that way. You're like, get away from me, Lennytec.
[2:19:08.000 --> 2:19:10.000]  Or I was wearing a captain's hat at a Halloween party.
[2:19:10.000 --> 2:19:12.000]  I had people walking over and going, are you a Nazi?
[2:19:12.000 --> 2:19:13.000]  Yeah.
[2:19:13.000 --> 2:19:14.000]  There was all weird white people doing it.
[2:19:14.000 --> 2:19:16.000]  Well, so here's what's going to happen.
[2:19:16.000 --> 2:19:20.000]  Those people are going to be fewer and more far between as we go on here.
[2:19:20.000 --> 2:19:23.000]  They don't have control over the country anymore.
[2:19:23.000 --> 2:19:24.000]  They don't have control over the poor.
[2:19:24.000 --> 2:19:25.000]  They're not having kids.
[2:19:25.000 --> 2:19:26.000]  They're losers.
[2:19:26.000 --> 2:19:31.000]  And if we start having their losers, their leaders losing in elections, then they have nothing.
[2:19:31.000 --> 2:19:35.000]  Maxine waters, anti-vaccine, the queen of the millennials right now, what are they going to do when she's gone?
[2:19:35.000 --> 2:19:36.000]  Stay woke.
[2:19:36.000 --> 2:19:38.000]  So what's happening is...
[2:19:38.000 --> 2:19:40.000]  Stay woke.
[2:19:40.000 --> 2:19:43.000]  Meanwhile, that Putin invaded Korea and you're home.
[2:19:43.000 --> 2:19:44.000]  Here you go. Justin Amash.
[2:19:44.000 --> 2:19:46.000]  Oh my God, what the heck?
[2:19:46.000 --> 2:19:47.000]  Sorry.
[2:19:47.000 --> 2:19:50.000]  Justin Amash, the first Republican today, Michigan's third congressional district.
[2:19:50.000 --> 2:19:52.000]  Justin Amash called for impeachment today.
[2:19:52.000 --> 2:19:53.000]  First Republican.
[2:19:53.000 --> 2:19:54.000]  Drain that swamp.
[2:19:54.000 --> 2:19:56.000]  Oh, I've always thought of Amash as a whistle.
[2:19:56.000 --> 2:19:58.000]  He ran on a Ron Paul ticket.
[2:19:58.000 --> 2:20:01.000]  Oh, I don't know. Amash, he's been blown out of their lock.
[2:20:01.000 --> 2:20:05.000]  Are you putting your money into an IRA, pension or 401K?
[2:20:05.000 --> 2:20:10.000]  Then I hope you're prepared to lose 30, 40, 50% or more of your retirement savings
[2:20:10.000 --> 2:20:13.000]  because it's not a question of if the market crashes again.
[2:20:13.000 --> 2:20:16.000]  It's a question of when it's going to happen.
[2:20:16.000 --> 2:20:21.000]  Did you know there is a way you can protect and grow your wealth safely and predictably every single year?
[2:20:21.000 --> 2:20:26.000]  The people using this approach didn't lose a penny when the market crashed in 2000 or 2008
[2:20:26.000 --> 2:20:29.000]  and they won't lose a penny in the next crash.
[2:20:29.000 --> 2:20:32.000]  In fact, their money will continue to grow safely year in and year out
[2:20:32.000 --> 2:20:35.000]  even when stocks, real estate and other investments tumble.
[2:20:35.000 --> 2:20:39.000]  A free report detailing this savings program is now available.
[2:20:39.000 --> 2:20:43.000]  This free report shows how you can get guaranteed growth, safety and wealth building power
[2:20:43.000 --> 2:20:46.000]  without risking your retirement in the Wall Street Casino.
[2:20:46.000 --> 2:20:49.000]  This is the best way to have a 100% secure retirement.
[2:20:49.000 --> 2:20:53.000]  It far outperforms any IRA or 401K.
[2:20:53.000 --> 2:20:56.000]  To get this free report, visit bankonyourself.com.
[2:20:56.000 --> 2:20:58.000]  That's bankonyourself.com.
[2:20:58.000 --> 2:21:24.000]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at m4store.com.
[2:21:24.000 --> 2:21:31.000]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body.
[2:21:31.000 --> 2:21:34.000]  Super blue fluoride free toothpaste is a groundbreaking new formula.
[2:21:34.000 --> 2:21:37.000]  It's loaded with good halogen iodine, so the bad halogen fluoride.
[2:21:37.000 --> 2:21:44.000]  Super blue contains natural oils and ingredients used at biblical times to help wipe out bad bacteria and eliminate bad breath.
[2:21:44.000 --> 2:21:52.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[2:21:52.000 --> 2:21:57.000]  Learn more about info wars life super blue toothpaste at infowarslife.com
[2:21:57.000 --> 2:22:00.000]  and support the info war while you support healthy gums and teeth.
[2:22:00.000 --> 2:22:04.000]  Be prepared for the next disaster with the shelter pod.
[2:22:04.000 --> 2:22:08.000]  The shelter pod is a large all season heavy duty quick deploy shelter.
[2:22:08.000 --> 2:22:15.000]  The shelter pod system can be set up in 30 seconds and includes an emergency medical kit, water filter, survival tools and more.
[2:22:15.000 --> 2:22:17.000]  Are you prepared to take care of your family?
[2:22:17.000 --> 2:22:20.000]  Do you have everything in one place ready to go?
[2:22:20.000 --> 2:22:24.000]  Get it now or enter to win a complete shelter pod system at shelterpod.com.
[2:22:24.000 --> 2:22:27.000]  The shelter pod at shelterpod.com.
[2:22:27.000 --> 2:22:51.000]  Shelter when you need it most.
[2:22:57.000 --> 2:23:00.000]  Go Berkey.com.
[2:23:27.000 --> 2:23:29.000]  Enhancing health and privacy.
[2:23:57.000 --> 2:23:59.000]  Enhancing health and privacy.
[2:24:27.000 --> 2:24:34.000]  We're going to be playing here again the start of the next segment, but continuing with the swamp creatures, their party lost everywhere.
[2:24:34.000 --> 2:24:40.000]  The claims the Russians are the reasons that they lost and that's not holding water anywhere.
[2:24:40.000 --> 2:24:42.000]  But the deep state continues to push this.
[2:24:42.000 --> 2:24:54.000]  And now we've got some Republicans like Justin Amash who needs to walk the plank out of conservatism, go out the airlock and join the Democrats the liberals for himself.
[2:24:54.000 --> 2:24:57.000]  I think it's time to blow the airlock to drain the swamp.
[2:24:57.000 --> 2:24:59.000]  It takes a couple seconds for that drain.
[2:24:59.000 --> 2:25:01.000]  You blow that airlock.
[2:25:01.000 --> 2:25:02.000]  They're out.
[2:25:02.000 --> 2:25:03.000]  You know what I'm saying?
[2:25:03.000 --> 2:25:04.000]  Just blow the airlock.
[2:25:04.000 --> 2:25:05.000]  Get these people out.
[2:25:05.000 --> 2:25:06.000]  But it is up to us.
[2:25:06.000 --> 2:25:08.000]  We need to help President Trump.
[2:25:08.000 --> 2:25:12.000]  Again, what can I do about a bunch of dumbass liberals out in the street protesting?
[2:25:12.000 --> 2:25:13.000]  You know what?
[2:25:13.000 --> 2:25:14.000]  Probably nothing.
[2:25:14.000 --> 2:25:19.000]  But if they don't have any poll in Congress, if they don't have any leaders in the Senate, then they have no say.
[2:25:19.000 --> 2:25:20.000]  They have no voice.
[2:25:20.000 --> 2:25:23.000]  They're just losers just like their leading politicians.
[2:25:23.000 --> 2:25:25.000]  That's why we need to drain the swamp.
[2:25:25.000 --> 2:25:27.000]  That's why we need people to run like Omar Navarro.
[2:25:27.000 --> 2:25:32.000]  That's why we need them, people like Shiva, people like Sabato Jr.
[2:25:32.000 --> 2:25:35.000]  We need these people to hit the ground running hard now.
[2:25:35.000 --> 2:25:37.000]  We need to start pressing now.
[2:25:37.000 --> 2:25:39.000]  We need to start getting these people out now.
[2:25:39.000 --> 2:25:44.000]  We need to ensure victory now so that A, they can't seal it with a total rig job.
[2:25:44.000 --> 2:25:49.000]  But that B, we already have the mandate going in just like President Trump had.
[2:25:49.000 --> 2:25:52.000]  Let's recall, President Trump was already president before he won the election.
[2:25:52.000 --> 2:25:54.000]  He was already meeting with foreign leaders.
[2:25:54.000 --> 2:25:55.000]  He was already making moves.
[2:25:55.000 --> 2:25:57.000]  Businesses were already returning.
[2:25:57.000 --> 2:25:59.000]  That's the mandate that we can have again.
[2:25:59.000 --> 2:26:00.000]  Exactly.
[2:26:00.000 --> 2:26:01.000]  He's just running as normal candidates.
[2:26:01.000 --> 2:26:02.000]  Meet with people.
[2:26:02.000 --> 2:26:04.000]  Talk about what you're going to do once you're congressman.
[2:26:04.000 --> 2:26:05.000]  And that's what Omar Navarro is doing.
[2:26:05.000 --> 2:26:07.000]  And that's why I'm saying he is paving the way right now.
[2:26:07.000 --> 2:26:08.000]  I couldn't be more proud.
[2:26:08.000 --> 2:26:09.000]  He's my age.
[2:26:09.000 --> 2:26:10.000]  We need good people.
[2:26:10.000 --> 2:26:12.000]  He's protesting outside her house.
[2:26:12.000 --> 2:26:13.000]  Yeah, he goes outside.
[2:26:13.000 --> 2:26:15.000]  We need good people to run for office, okay?
[2:26:15.000 --> 2:26:18.000]  We need well-meaning people who care about other people in their district.
[2:26:18.000 --> 2:26:19.000]  No, no, I agree.
[2:26:19.000 --> 2:26:20.000]  But let's expand on that.
[2:26:20.000 --> 2:26:23.000]  You wanted to get into going out the night running into zombies everywhere.
[2:26:23.000 --> 2:26:30.000]  So it's just Alex, I'm deathly scared of like the herd mentality.
[2:26:30.000 --> 2:26:31.000]  Millennials are into that.
[2:26:31.000 --> 2:26:36.000]  And it's so palpable now more than ever because and it's been so exposed.
[2:26:36.000 --> 2:26:37.000]  It doesn't matter.
[2:26:37.000 --> 2:26:38.000]  Here's what could happen.
[2:26:38.000 --> 2:26:39.000]  Are you in the herd or you're not in the herd?
[2:26:39.000 --> 2:26:42.000]  Here's what, well, and this is the thing I talked to Mike Cernovich about one time too.
[2:26:42.000 --> 2:26:46.000]  It's like you can see the difference, you know, on the conservative end of the spectrum.
[2:26:46.000 --> 2:26:47.000]  We have some disagreements.
[2:26:47.000 --> 2:26:49.000]  We see some different angles.
[2:26:49.000 --> 2:26:51.000]  You know, maybe we have different things we think are more important.
[2:26:51.000 --> 2:26:53.000]  But we're all on the same team.
[2:26:53.000 --> 2:26:54.000]  We all want to move the ball forward.
[2:26:54.000 --> 2:26:57.000]  We just maybe have a different idea of how we might get there.
[2:26:57.000 --> 2:26:59.000]  But we're still all on the same team.
[2:26:59.000 --> 2:27:01.000]  For them, there is no individualism.
[2:27:01.000 --> 2:27:02.000]  There is no individual thing.
[2:27:02.000 --> 2:27:04.000]  There is no discernment.
[2:27:04.000 --> 2:27:09.000]  It's just herd think, herd mentality, and it's been so proven by anything Trump does is bad.
[2:27:09.000 --> 2:27:11.000]  This is what would happen, Alex, okay?
[2:27:11.000 --> 2:27:15.000]  Trump could save 100 children from a burning building.
[2:27:15.000 --> 2:27:17.000]  And what would the headlines say?
[2:27:17.000 --> 2:27:21.000]  Trump killed, unfortunately, a cat died.
[2:27:21.000 --> 2:27:24.000]  So Trump killed a cat while saving kids from a burning building.
[2:27:24.000 --> 2:27:25.000]  Cat dies.
[2:27:25.000 --> 2:27:26.000]  Trump hates animals.
[2:27:26.000 --> 2:27:29.000]  Or Trump kicked the cat on the way out of the building.
[2:27:29.000 --> 2:27:30.000]  Well, it's the same thing.
[2:27:30.000 --> 2:27:32.000]  When you go out to the events, none of them can talk.
[2:27:32.000 --> 2:27:33.000]  They only have chance.
[2:27:33.000 --> 2:27:34.000]  They say, don't talk to them.
[2:27:34.000 --> 2:27:35.000]  It's a cult.
[2:27:35.000 --> 2:27:36.000]  That's the chance thing.
[2:27:36.000 --> 2:27:39.000]  That's, I'm telling you, it's like starting to freak me out, to be honest with you.
[2:27:39.000 --> 2:27:41.000]  But that's why we can't, I don't care.
[2:27:41.000 --> 2:27:43.000]  As long as they're out in the streets.
[2:27:43.000 --> 2:27:44.000]  Like pod people.
[2:27:44.000 --> 2:27:47.000]  As long as they're out in the streets doing that, you know what?
[2:27:47.000 --> 2:27:48.000]  Just as long as they're not burning.
[2:27:48.000 --> 2:27:51.000]  But as individuals, we're frightened by mindless chanting and no info.
[2:27:51.000 --> 2:27:53.000]  For followers, that's kind of fun.
[2:27:53.000 --> 2:27:56.000]  Because they'll vote for Hillary Clinton.
[2:27:56.000 --> 2:27:59.000]  That's how stupid they are.
[2:27:59.000 --> 2:28:03.000]  They won't even, even, look, look, Bernie Sanders, who I think is a total fraud.
[2:28:03.000 --> 2:28:05.000]  His wife is being investigated for bank fraud.
[2:28:05.000 --> 2:28:07.000]  White people don't know what it's like to be poor.
[2:28:07.000 --> 2:28:10.000]  The guy openly had the election stolen.
[2:28:10.000 --> 2:28:12.000]  Just ripped right out in front of him.
[2:28:12.000 --> 2:28:13.000]  Oh, and by the way, Alex.
[2:28:13.000 --> 2:28:16.000]  I'm actually, I don't know if you've covered this.
[2:28:16.000 --> 2:28:20.000]  But I'm actually working on finding the source of this and seeing if it's legit.
[2:28:20.000 --> 2:28:24.000]  Obviously Seth Rich was the head of the IT at the DNC.
[2:28:24.000 --> 2:28:31.000]  There are rumors going that Seth Rich actually had intel on how exactly Hillary Clinton actually rigged these elections.
[2:28:31.000 --> 2:28:35.000]  He actually had these voter rolls that they doubled.
[2:28:35.000 --> 2:28:40.000]  And then they basically stole votes from Bernie Sanders and like broke the law behind the paperwork.
[2:28:40.000 --> 2:28:43.000]  Like I said, there's a letter going around right now.
[2:28:43.000 --> 2:28:46.000]  It's rumored that it was Seth Rich's girlfriend who put this letter out.
[2:28:46.000 --> 2:28:48.000]  Some people say it's his friend, others say girlfriend.
[2:28:48.000 --> 2:28:51.000]  Well, obviously Hillary was like 40 points behind him everywhere.
[2:28:51.000 --> 2:28:52.000]  They just stole it.
[2:28:52.000 --> 2:28:54.000]  Just stole it. Just stole it.
[2:28:54.000 --> 2:28:57.000]  And here's a Democrat who actually loves the country.
[2:28:57.000 --> 2:28:58.000]  So you know what they had to do?
[2:28:58.000 --> 2:28:59.000]  They had to kill him.
[2:28:59.000 --> 2:29:01.000]  I mean, how, how dare you?
[2:29:01.000 --> 2:29:02.000]  Don't you know?
[2:29:02.000 --> 2:29:05.000]  I came, I saw he died when she took over Libya and killed hundreds of thousands.
[2:29:05.000 --> 2:29:12.000]  So I'm just curious, and here, and look, there are, you know, Democrats or liberals who actually see what happened with Seth Rich.
[2:29:12.000 --> 2:29:16.000]  Can we play place-boying when we come back in where she's like, er, er, er, er.
[2:29:16.000 --> 2:29:19.000]  And like, they voted for that.
[2:29:19.000 --> 2:29:21.000]  They vote for it today.
[2:29:21.000 --> 2:29:22.000]  Well, they like it.
[2:29:22.000 --> 2:29:25.000]  When they see a big evil murderer and they feel powerful.
[2:29:25.000 --> 2:29:27.000]  I mean, what the hell is that?
[2:29:27.000 --> 2:29:29.000]  How the hell do you get that brainwashed?
[2:29:29.000 --> 2:29:31.000]  How the hell do you get that stupid?
[2:29:31.000 --> 2:29:33.000]  You're in a herd think.
[2:29:33.000 --> 2:29:34.000]  You don't think for yourself.
[2:29:34.000 --> 2:29:36.000]  You don't, you're, you're dead.
[2:29:36.000 --> 2:29:37.000]  You're already dead.
[2:29:37.000 --> 2:29:39.000]  Like, when they come up to me and go, you're a Russian agent.
[2:29:39.000 --> 2:29:41.000]  And like, they're all powerful.
[2:29:41.000 --> 2:29:43.000]  And I'm like, what's your proof?
[2:29:43.000 --> 2:29:44.000]  Russian agent.
[2:29:44.000 --> 2:29:47.000]  They haven't realized how pathetic that is when they're globalist agents.
[2:29:47.000 --> 2:29:48.000]  Ridiculous.
[2:29:48.000 --> 2:29:50.000]  We'll be back with huge breaking news straight ahead.
[2:29:50.000 --> 2:29:52.000]  I'll get to the inside White House in touch.
[2:29:52.000 --> 2:29:54.000]  The Empire's on the run.
[2:29:54.000 --> 2:30:05.000]  Alex Jones and the GCN Radio Network.
[2:30:25.000 --> 2:30:28.000]  I have a source inside the police department that has looked me straight in the eye and said,
[2:30:28.000 --> 2:30:30.000]  Rod, we were told to stand down on this case.
[2:30:30.000 --> 2:30:32.000]  And I can't share any information with you.
[2:30:32.000 --> 2:30:34.000]  Now that is highly unusual for a murder investigation,
[2:30:34.000 --> 2:30:36.000]  especially from a police department.
[2:30:36.000 --> 2:30:39.000]  When asked if there's information that links Seth Rich to WikiLeaks,
[2:30:39.000 --> 2:30:40.000]  Wheeler replied, absolutely.
[2:30:40.000 --> 2:30:42.000]  Yeah, that's confirmed.
[2:30:42.000 --> 2:30:44.000]  Now, of course the DC police are saying,
[2:30:44.000 --> 2:30:45.000]  Oh no, there's no cover up.
[2:30:45.000 --> 2:30:48.000]  Neither they nor the FBI have been helping Wheeler out in this case.
[2:30:48.000 --> 2:30:52.000]  Alex Jones broke all this down in a video back in August of 2016 titled,
[2:30:52.000 --> 2:30:54.000]  Does Assange Have Proof of Clinton Murder?
[2:30:54.000 --> 2:30:57.000]  Hashtag, Seth Rich is trending on Twitter.
[2:30:57.000 --> 2:30:59.000]  Let's see how long it takes him to bury it.
[2:30:59.000 --> 2:31:24.000]  Rob, you're reporting for infowars.com and infowars nightly news.
[2:31:24.000 --> 2:31:29.000]  It's hard to take in the proper amount of vitamins we need each day with our modern diets.
[2:31:29.000 --> 2:31:34.000]  Seeker 12 by infowars life is an easy way to naturally upgrade your vitamin B12 intake
[2:31:34.000 --> 2:31:37.000]  and support your body's natural systems.
[2:31:37.000 --> 2:31:41.000]  It pairs two forms of vitamin B12 into one explosive formula.
[2:31:41.000 --> 2:31:45.000]  Vitamin B12 supports healthy energy levels through red blood cell formation
[2:31:45.000 --> 2:31:47.000]  and aiding in the body's natural processes.
[2:31:47.000 --> 2:31:50.000]  But it also assists with many other functions of the body.
[2:31:50.000 --> 2:31:54.000]  Electrify your mind and body and take your health to the next level.
[2:31:54.000 --> 2:31:58.000]  Experience the power of Seeker 12 at infowarslife.com.
[2:31:58.000 --> 2:32:24.000]  That's infowarslife.com.
[2:32:24.000 --> 2:32:28.000]  Caveman is those people living in the wilds having to actually build civilization
[2:32:28.000 --> 2:32:30.000]  that are our superior ancestors.
[2:32:30.000 --> 2:32:32.000]  And we need to do everything we can to recapture that.
[2:32:32.000 --> 2:32:35.000]  Everyone knew that you used all the parts of the animal.
[2:32:35.000 --> 2:32:38.000]  You used the meat for sustenance, the fat for cooking,
[2:32:38.000 --> 2:32:40.000]  but you used the bones for strength,
[2:32:40.000 --> 2:32:44.000]  from the outside structure full of minerals and Kiko factors
[2:32:44.000 --> 2:32:46.000]  to the marrow that produces the blood for the body.
[2:32:46.000 --> 2:32:49.000]  This is the engine of the life essence.
[2:32:49.000 --> 2:32:52.000]  I'm a long way from the caveman my ancestors were,
[2:32:52.000 --> 2:32:56.000]  I'm sure as hell trying to get back to that essence that made us what we were.
[2:32:56.000 --> 2:32:57.000]  And this is a big part of it.
[2:32:57.000 --> 2:33:00.000]  I know you're going to want to check out caveman ultimate paleo formula for yourself
[2:33:00.000 --> 2:33:29.000]  at infowarslife.com today.
[2:33:29.000 --> 2:33:44.000]  That's pretty good Alex. That might be too good.
[2:33:44.000 --> 2:33:53.000]  You might want to be a little careful with that.
[2:33:53.000 --> 2:33:57.000]  She's back by the way. You know she's back. She's got a new pack.
[2:33:57.000 --> 2:34:02.000]  Resist, persist, enlist.
[2:34:02.000 --> 2:34:04.000]  That's your new pack.
[2:34:04.000 --> 2:34:27.000]  I can't even imagine where we'd be right now.
[2:34:27.000 --> 2:34:44.000]  You know what they said, you know James Comey didn't want to indict her
[2:34:44.000 --> 2:34:46.000]  because he found his own suicide note in her emails.
[2:34:46.000 --> 2:34:47.000]  Exactly.
[2:34:47.000 --> 2:34:57.000]  So he had to step down. Seth Rich on the other hand was a brave man.
[2:34:57.000 --> 2:34:58.000]  It's kind of frightening.
[2:34:58.000 --> 2:34:59.000]  It's a big open mouth.
[2:34:59.000 --> 2:35:04.000]  Alex Jones coming to you live on the front lines of the info war.
[2:35:04.000 --> 2:35:05.000]  Hey let's get serious.
[2:35:05.000 --> 2:35:07.000]  We've got Mike Sernovich coming on.
[2:35:07.000 --> 2:35:10.000]  We've got Dr. Corsi with big breaking news just briefly.
[2:35:10.000 --> 2:35:12.000]  We've launched Emirates Essentials.
[2:35:12.000 --> 2:35:15.000]  It's six different personal care products at prices way lower.
[2:35:15.000 --> 2:35:17.000]  You'll find anywhere else.
[2:35:17.000 --> 2:35:21.000]  It's a top three big national organic brand that has allowed us to private label it.
[2:35:21.000 --> 2:35:23.000]  That's why they recognize the bottles when you see it.
[2:35:23.000 --> 2:35:24.000]  We've just changed the names.
[2:35:24.000 --> 2:35:26.000]  20% off retail and stores.
[2:35:26.000 --> 2:35:28.000]  25% off additionally when you sign up for auto ship.
[2:35:28.000 --> 2:35:31.000]  That's 45% off out of the gates.
[2:35:31.000 --> 2:35:36.000]  Just the mouthwash is ounce for ounce the same price as regular mouthwash,
[2:35:36.000 --> 2:35:38.000]  but it's 10 to one concentrate.
[2:35:38.000 --> 2:35:40.000]  So that'll give you an example.
[2:35:40.000 --> 2:35:43.000]  It's the natural zinc oxide, not the nano that goes through your skin.
[2:35:43.000 --> 2:35:46.000]  The healthy type, the very best out there at half the cost of leading competitors.
[2:35:46.000 --> 2:35:48.000]  The natural body wash you name it.
[2:35:48.000 --> 2:35:49.000]  Emirates Essentials.
[2:35:49.000 --> 2:35:50.000]  And the name spelled right.
[2:35:50.000 --> 2:35:52.000]  Wikipedia and all of them have it wrong.
[2:35:52.000 --> 2:35:54.000]  It's E-M-R-I-C-S.
[2:35:54.000 --> 2:35:56.000]  So it's Emirates Essentials.
[2:35:56.000 --> 2:35:57.000]  Emirates Essentials.
[2:35:57.000 --> 2:35:58.000]  Infowarsstore.com.
[2:35:58.000 --> 2:36:02.000]  Infowarslive.com or AAA-2533139.
[2:36:02.000 --> 2:36:06.000]  I want to thank you all for your support because we couldn't do it without you.
[2:36:06.000 --> 2:36:08.000]  But we're launching this whole new line.
[2:36:08.000 --> 2:36:09.000]  Sign up for auto ship.
[2:36:09.000 --> 2:36:10.000]  Get 25% off.
[2:36:10.000 --> 2:36:12.000]  The other products is 10%.
[2:36:12.000 --> 2:36:15.000]  And we have shirts at cost.
[2:36:15.000 --> 2:36:17.000]  The entire Trump prints.
[2:36:17.000 --> 2:36:18.000]  Trump is my president.
[2:36:18.000 --> 2:36:19.000]  You name it shirts.
[2:36:19.000 --> 2:36:23.000]  Infowarsstore.com or AAA-2533139.
[2:36:23.000 --> 2:36:25.000]  Now, Mike Cernovich has big breaking news.
[2:36:25.000 --> 2:36:33.000]  I've sat on this for an hour and a half, not on purpose, but because I don't want to say all this wrong
[2:36:33.000 --> 2:36:35.000]  and I don't want to get it improper.
[2:36:35.000 --> 2:36:40.000]  When you get big breaking news, then the media tries to take any angle you get not exactly right and spin it.
[2:36:40.000 --> 2:36:43.000]  So I've been trying to confer during breaks.
[2:36:43.000 --> 2:36:46.000]  Where'd my phone go?
[2:36:46.000 --> 2:36:47.000]  Anyways.
[2:36:47.000 --> 2:36:48.000]  Oh, that's right.
[2:36:48.000 --> 2:36:49.000]  It's over there.
[2:36:49.000 --> 2:36:50.000]  Sorry.
[2:36:50.000 --> 2:36:51.000]  I left it in my office.
[2:36:51.000 --> 2:36:53.000]  The point is, this is a newsroom while you're on air.
[2:36:53.000 --> 2:36:58.000]  So I'm not complaining, but whenever there's a technical difficulty or Joel Scowze and I have something playing over his feed,
[2:36:58.000 --> 2:37:04.000]  I don't care because we're not like some so-called live Fox or CNN show where they get ready for five, six hours before.
[2:37:04.000 --> 2:37:05.000]  They call it live.
[2:37:05.000 --> 2:37:08.000]  Half of it's tape pieces and then it's all scripted.
[2:37:08.000 --> 2:37:11.000]  So this is really live and this is really teleprompter free.
