[00:00.000 --> 00:02.000]  Wait and feel great!
[1:08:03.700 --> 1:08:06.700]  Alex Jones on the GCN Radio Network.
[1:08:09.700 --> 1:08:11.700]  They have trained the public, Alan Watt, as you know,
[1:08:11.700 --> 1:08:15.700]  to believe that what they believe is reality
[1:08:15.700 --> 1:08:18.700]  and that the general public is with the elite.
[1:08:18.700 --> 1:08:23.700]  And as you were saying, that the general masses
[1:08:26.700 --> 1:08:29.700]  well-being is the same well-being of the elite
[1:08:29.700 --> 1:08:31.700]  or that we're all together.
[1:08:31.700 --> 1:08:33.700]  We're all going in the same direction.
[1:08:33.700 --> 1:08:36.700]  We all have the same interest.
[1:08:36.700 --> 1:08:39.700]  The public's also been trained not to have respect for themselves
[1:08:39.700 --> 1:08:41.700]  and to imagine Hollywood people as like gods
[1:08:41.700 --> 1:08:44.700]  who float around on clouds and elitist with eggheads
[1:08:44.700 --> 1:08:48.700]  in fancy suits on TV no more than they do.
[1:08:48.700 --> 1:08:50.700]  When in truth, once you really know what's going on,
[1:08:50.700 --> 1:08:52.700]  you watch the eggheads, the experts.
[1:08:52.700 --> 1:08:54.700]  They're putting out false disinfo on purpose
[1:08:54.700 --> 1:08:57.700]  that isn't even meant to make sense.
[1:08:57.700 --> 1:08:58.700]  Alan?
[1:08:58.700 --> 1:09:01.700]  That is true, and with science, they can rationalize anything
[1:09:01.700 --> 1:09:04.700]  to an ignorant populist.
[1:09:04.700 --> 1:09:06.700]  Let's take more calls here.
[1:09:06.700 --> 1:09:08.700]  Let's talk to Dustin in Ohio.
[1:09:08.700 --> 1:09:11.700]  Dustin, you're on the air with Alan Watt.
[1:09:11.700 --> 1:09:13.700]  Welcome.
[1:09:13.700 --> 1:09:15.700]  Dustin dropped off.
[1:09:15.700 --> 1:09:17.700]  Okay, I see that there.
[1:09:17.700 --> 1:09:20.700]  Donna in New Mexico, you're on the air.
[1:09:20.700 --> 1:09:21.700]  Hello.
[1:09:21.700 --> 1:09:22.700]  Hi.
[1:09:22.700 --> 1:09:23.700]  How are you today?
[1:09:23.700 --> 1:09:24.700]  Fine, thank you.
[1:09:24.700 --> 1:09:26.700]  Hi, Alan, as well.
[1:09:26.700 --> 1:09:28.700]  I'm going to raise a point that never gets raised
[1:09:28.700 --> 1:09:31.700]  in terms of the global climate change debate,
[1:09:31.700 --> 1:09:33.700]  and it's one that really gets under my skin
[1:09:33.700 --> 1:09:35.700]  because I researched it extensively,
[1:09:35.700 --> 1:09:38.700]  and that is heating of the ionosphere
[1:09:38.700 --> 1:09:41.700]  using electromagnetic energy from towers
[1:09:41.700 --> 1:09:43.700]  or from projects such as HARP,
[1:09:43.700 --> 1:09:46.700]  one of many, I think over 60 countries now
[1:09:46.700 --> 1:09:48.700]  are heating the ionosphere.
[1:09:48.700 --> 1:09:50.700]  And I don't see how we can even have a discussion
[1:09:50.700 --> 1:09:52.700]  about climate change and so forth
[1:09:52.700 --> 1:09:55.700]  without including this in this quote-unquote debate.
[1:09:55.700 --> 1:09:57.700]  The debate itself is polarized.
[1:09:57.700 --> 1:09:59.700]  It comes down on two sides,
[1:09:59.700 --> 1:10:01.700]  those who believe in naturally occurring climate change,
[1:10:01.700 --> 1:10:03.700]  that's one side, and those who believe
[1:10:03.700 --> 1:10:05.700]  in the global warming myth, and it is a myth.
[1:10:05.700 --> 1:10:06.700]  There's no doubt about that.
[1:10:06.700 --> 1:10:08.700]  It takes you about five seconds to figure it out
[1:10:08.700 --> 1:10:10.700]  if you look it up.
[1:10:10.700 --> 1:10:14.700]  What we see when we experience this ionosphere heating
[1:10:14.700 --> 1:10:16.700]  with electromagnetic energy
[1:10:16.700 --> 1:10:19.700]  is severe changes in jet stream,
[1:10:19.700 --> 1:10:22.700]  increase in volcanic, increase in earthquakes.
[1:10:22.700 --> 1:10:25.700]  Now, my understanding is that HARP would operational
[1:10:25.700 --> 1:10:29.700]  approximately sometime right before 2004.
[1:10:29.700 --> 1:10:31.700]  And right after that, we had the dramatic
[1:10:31.700 --> 1:10:33.700]  earthquake tsunami in Indonesia.
[1:10:33.700 --> 1:10:35.700]  Let me be specific here
[1:10:35.700 --> 1:10:37.700]  because you're bringing up a really important point
[1:10:37.700 --> 1:10:39.700]  that I have made, but not often enough.
[1:10:39.700 --> 1:10:42.700]  In fact, this morning, I was meaning to make this very point,
[1:10:42.700 --> 1:10:44.700]  and then you have these thousands of thoughts
[1:10:44.700 --> 1:10:46.700]  that never get on air,
[1:10:46.700 --> 1:10:50.700]  and then I want you to comment more on it to Donna.
[1:10:50.700 --> 1:10:53.700]  And then we'll have Alan comment on it.
[1:10:53.700 --> 1:10:55.700]  But it's this.
[1:10:55.700 --> 1:11:00.700]  We know the sun was in a particularly hot phase,
[1:11:00.700 --> 1:11:03.700]  putting off more heat radiation in the last 30 years.
[1:11:03.700 --> 1:11:05.700]  Now, the last few, it's cooled down.
[1:11:05.700 --> 1:11:09.700]  The entire solar system is cooling.
[1:11:09.700 --> 1:11:12.700]  The ice caps that we're receiving on Mars
[1:11:12.700 --> 1:11:13.700]  are getting larger.
[1:11:13.700 --> 1:11:16.700]  Same thing for the moons of Saturn and Jupiter and others.
[1:11:16.700 --> 1:11:18.700]  Now, separately from that,
[1:11:18.700 --> 1:11:21.700]  they're getting upset that because of the cooling,
[1:11:21.700 --> 1:11:23.700]  it's becoming obvious that it's not global warming.
[1:11:23.700 --> 1:11:25.700]  So now they're just saying climate change.
[1:11:25.700 --> 1:11:27.700]  But then that's very childlike.
[1:11:27.700 --> 1:11:28.700]  We're always having climate change.
[1:11:28.700 --> 1:11:29.700]  We have seasons.
[1:11:29.700 --> 1:11:32.700]  We know we go through hot and cold periods,
[1:11:32.700 --> 1:11:34.700]  but you're right.
[1:11:34.700 --> 1:11:37.700]  None of that even matters when it's declassified
[1:11:37.700 --> 1:11:41.700]  that they're doing thousands of aerosol spraying operations.
[1:11:41.700 --> 1:11:42.700]  Just Google it.
[1:11:42.700 --> 1:11:43.700]  The government now admits they're...
[1:11:43.700 --> 1:11:45.700]  I'm watching one right now.
[1:11:45.700 --> 1:11:48.700]  Well, I mean, I'm just finishing this thought for folks
[1:11:48.700 --> 1:11:51.700]  that don't know what Donna knows, that don't know what Alan knows.
[1:11:51.700 --> 1:11:53.700]  I'm just throwing this out because it's so important.
[1:11:53.700 --> 1:11:55.700]  And I meant to make the point today,
[1:11:55.700 --> 1:11:57.700]  and I'm glad you called in that synchronicity or serendipity,
[1:11:57.700 --> 1:11:58.700]  whichever one.
[1:11:58.700 --> 1:12:06.700]  The point here is that just finishing with thought,
[1:12:06.700 --> 1:12:11.700]  they are clearly, as Secretary of Defense Cohen said in 97
[1:12:11.700 --> 1:12:14.700]  in Army Times in the April issue,
[1:12:14.700 --> 1:12:15.700]  they do have weather weapons.
[1:12:15.700 --> 1:12:17.700]  They do have tectonic earthquake weapons.
[1:12:17.700 --> 1:12:18.700]  They said it.
[1:12:18.700 --> 1:12:19.700]  They admit it.
[1:12:19.700 --> 1:12:21.700]  They are manipulating the weather.
[1:12:21.700 --> 1:12:23.700]  So finish up your comment, and then I want to get Alan
[1:12:23.700 --> 1:12:25.700]  to watch take on that.
[1:12:25.700 --> 1:12:26.700]  Okay.
[1:12:26.700 --> 1:12:29.700]  Well, there is a misconception about missile defense shield.
[1:12:29.700 --> 1:12:31.700]  The prevailing...
[1:12:31.700 --> 1:12:33.700]  What the mainstream puts out there is that missile defense shield
[1:12:33.700 --> 1:12:37.700]  are these interceptors, which fail nine times out of 10.
[1:12:37.700 --> 1:12:41.700]  And in fact, missile defense shield is post-energy,
[1:12:41.700 --> 1:12:43.700]  electromagnetic energy into the ionosphere,
[1:12:43.700 --> 1:12:46.700]  and I'm leaning toward thinking that the chemtrails
[1:12:46.700 --> 1:12:48.700]  that I'm witnessing right now outside my window
[1:12:48.700 --> 1:12:50.700]  have something to do with that.
[1:12:50.700 --> 1:12:54.700]  So what we have here is this shield of energy being created
[1:12:54.700 --> 1:12:56.700]  by antennas such as harp, and you say harp,
[1:12:56.700 --> 1:12:58.700]  and you've got this horrible stigma,
[1:12:58.700 --> 1:13:00.700]  just like you have when you say chemtrails.
[1:13:00.700 --> 1:13:02.700]  But it's a very real thing,
[1:13:02.700 --> 1:13:04.700]  and it's impacting everybody, everything,
[1:13:04.700 --> 1:13:05.700]  every living organism.
[1:13:05.700 --> 1:13:08.700]  Well, governments admit that they use antennas
[1:13:08.700 --> 1:13:10.700]  to manipulate the atmosphere, and that's in thousands,
[1:13:10.700 --> 1:13:13.700]  literally thousands of mainstream newspapers
[1:13:13.700 --> 1:13:14.700]  have reported on that.
[1:13:14.700 --> 1:13:18.700]  China does it, Russia does it, but the problem is
[1:13:18.700 --> 1:13:20.700]  we don't know the full extent of that.
[1:13:20.700 --> 1:13:24.700]  We do know that there are thousands of spraying programs
[1:13:24.700 --> 1:13:28.700]  going on with aluminum, dioxide, with barium salts
[1:13:28.700 --> 1:13:31.700]  being added to jet fuel, perfect compartmentalization.
[1:13:31.700 --> 1:13:33.700]  The companies don't even know.
[1:13:33.700 --> 1:13:35.700]  It's only the three big jet fuel makers
[1:13:35.700 --> 1:13:38.700]  that are adding an Alan Watt comments on this.
[1:13:38.700 --> 1:13:40.700]  It's much bigger even.
[1:13:40.700 --> 1:13:43.700]  The harp technology was used in the 1970s,
[1:13:43.700 --> 1:13:46.700]  early 70s, from Russia, Riga, in fact,
[1:13:46.700 --> 1:13:49.700]  the Soviet system, and Latvia.
[1:13:49.700 --> 1:13:54.700]  And we find out now there's over 54 of them worldwide.
[1:13:54.700 --> 1:13:56.700]  The US has one in, I think, Iceland,
[1:13:56.700 --> 1:13:59.700]  and one in Greenland as well, as one in Alaska,
[1:13:59.700 --> 1:14:01.700]  and now one in Australia in Pine Grep.
[1:14:01.700 --> 1:14:04.700]  Now, they can work these in concert with each other.
[1:14:04.700 --> 1:14:06.700]  It was in the British papers,
[1:14:06.700 --> 1:14:09.700]  they used it in the First Gulf War in Iraq,
[1:14:09.700 --> 1:14:13.700]  and it literally affected the minds of the soldiers
[1:14:13.700 --> 1:14:16.700]  who were just walking out of the desert, completely stunned.
[1:14:16.700 --> 1:14:18.700]  There hadn't been another bombardment,
[1:14:18.700 --> 1:14:20.700]  at least a visible bombardment,
[1:14:20.700 --> 1:14:22.700]  and yet they were complete zombies.
[1:14:22.700 --> 1:14:24.700]  So it can affect the mind.
[1:14:24.700 --> 1:14:26.700]  Now, the harp technology, there's no doubt about it.
[1:14:26.700 --> 1:14:28.700]  This ties in with technotronic warfare
[1:14:28.700 --> 1:14:30.700]  that Brzezinski talked about in his book,
[1:14:30.700 --> 1:14:32.700]  Between Two Ages.
[1:14:32.700 --> 1:14:35.700]  He says, shortly, a technique will be used on the public,
[1:14:35.700 --> 1:14:37.700]  and it will affect their minds,
[1:14:37.700 --> 1:14:39.700]  become very placid, et cetera.
[1:14:39.700 --> 1:14:43.700]  And they can also use it to put thoughts right into your head
[1:14:43.700 --> 1:14:46.700]  if necessary by using a secondary beam.
[1:14:46.700 --> 1:14:50.700]  The United Nations signed a document with all the countries
[1:14:50.700 --> 1:14:53.700]  that had harp technology in the 1970s.
[1:14:53.700 --> 1:14:56.700]  You look into that as under weather warfare.
[1:14:56.700 --> 1:14:59.700]  And the whole idea was dreamed up in the 50s
[1:14:59.700 --> 1:15:02.700]  with Teller, who was the inventor of the H-bomb.
[1:15:02.700 --> 1:15:06.700]  He said if they can dose the atmosphere with barium salts,
[1:15:06.700 --> 1:15:08.700]  aluminum oxide, and others,
[1:15:08.700 --> 1:15:10.700]  he said we can be very conductive,
[1:15:10.700 --> 1:15:15.700]  and it will help this ELF frequency cover vast distances,
[1:15:15.700 --> 1:15:18.700]  and they could use it either for altering the weather,
[1:15:18.700 --> 1:15:22.700]  weather modification, or they could cause global warming with it,
[1:15:22.700 --> 1:15:23.700]  or freezing.
[1:15:23.700 --> 1:15:26.700]  One or the other depends on the type of frequency they hit it with,
[1:15:26.700 --> 1:15:30.700]  and they could also affect the mindset of a target population.
[1:15:30.700 --> 1:15:34.700]  So this is actually in the treaty at the United Nations from the 70s.
[1:15:34.700 --> 1:15:35.700]  They have this technology.
[1:15:35.700 --> 1:15:37.700]  They're using it extensively across the world.
[1:15:37.700 --> 1:15:42.700]  And by the way, the Baltimore Sun eight years ago
[1:15:42.700 --> 1:15:47.700]  did a big report admitting that DARPA is testing antenna arrays
[1:15:47.700 --> 1:15:51.700]  across the United States, and it said to calm the American people.
[1:15:51.700 --> 1:15:53.700]  We put off these waves.
[1:15:53.700 --> 1:15:55.700]  We love you with the government.
[1:15:55.700 --> 1:15:59.700]  Yeah, I put photographs from Canada, the States,
[1:15:59.700 --> 1:16:02.700]  and Europe to putting up these strange antennas.
[1:16:02.700 --> 1:16:07.700]  They look like tall lamp posts with a windsock on the end of it.
[1:16:07.700 --> 1:16:11.700]  I've seen this construction and photograph the construction
[1:16:11.700 --> 1:16:15.700]  where they have massive thick cables going into the bases of them,
[1:16:15.700 --> 1:16:18.700]  and this is part of the Tetronic series setup
[1:16:18.700 --> 1:16:21.700]  where they can control crowds during,
[1:16:21.700 --> 1:16:23.700]  and whole populations during times of crisis.
[1:16:23.700 --> 1:16:28.700]  They can make you literally zombified and very placid if they wish to.
[1:16:28.700 --> 1:16:30.700]  But that's freedom, Alan.
[1:16:30.700 --> 1:16:31.700]  That's the freedom.
[1:16:31.700 --> 1:16:32.700]  That's the freedom.
[1:16:32.700 --> 1:16:35.700]  That's their new freedom.
[1:16:35.700 --> 1:16:40.700]  Freedom was redefined by Mr. Bush himself.
[1:16:40.700 --> 1:16:43.700]  Well, for the people that think they're going to enforce this system,
[1:16:43.700 --> 1:16:45.700]  most of them are going to be part of the brave new future.
[1:16:45.700 --> 1:16:47.700]  Either are they?
[1:16:47.700 --> 1:16:49.700]  No, they will not.
[1:16:49.700 --> 1:16:53.700]  But I think too, that'll start freaking out some as they closer to their target
[1:16:53.700 --> 1:16:56.700]  when they personally will see their end coming.
[1:16:56.700 --> 1:16:58.700]  That's where it will be necessary.
[1:16:58.700 --> 1:16:59.700]  This is interesting.
[1:16:59.700 --> 1:17:01.700]  You see, technology is very old,
[1:17:01.700 --> 1:17:05.700]  because the true sciences are kept back from the public,
[1:17:05.700 --> 1:17:07.700]  and even from professors,
[1:17:07.700 --> 1:17:11.700]  there's much higher levels of technology and science existing.
[1:17:11.700 --> 1:17:13.700]  And we know this from Nick Bigidge,
[1:17:13.700 --> 1:17:17.700]  who had a documentary on television on the Wendy Mesley show,
[1:17:17.700 --> 1:17:21.700]  where he demonstrated the obsolete technology,
[1:17:21.700 --> 1:17:25.700]  little handheld remotes that the CIA used back in the 1950s,
[1:17:25.700 --> 1:17:29.700]  where they could put thoughts directly into a target's mind.
[1:17:29.700 --> 1:17:34.700]  By the way, they had said Ted Stevens was beating his brother,
[1:17:34.700 --> 1:17:38.700]  but it looks like Senator Stevens is going to be Senator Stevens.
[1:17:38.700 --> 1:17:40.700]  Looks like he's beating.
[1:17:40.700 --> 1:17:43.700]  That's the Nick Bigidge's brother, Mark Bigidge.
[1:17:43.700 --> 1:17:48.700]  So it looks like he's winning right now in that highly contested Senate race.
[1:17:48.700 --> 1:17:49.700]  Just a program note.
[1:17:49.700 --> 1:17:51.700]  You're absolutely right.
[1:17:51.700 --> 1:17:53.700]  They've suppressed a lot of technologies.
[1:17:53.700 --> 1:17:57.700]  Anything else you wanted to add there, Coller?
[1:17:57.700 --> 1:18:00.700]  Yes, one more thing, and this is really important.
[1:18:00.700 --> 1:18:03.700]  The powers of observation for everybody are critical,
[1:18:03.700 --> 1:18:06.700]  not just in terms of the geopolitical situation.
[1:18:06.700 --> 1:18:09.700]  I mean, we really have to use our minds.
[1:18:09.700 --> 1:18:12.700]  But in observing nature every day,
[1:18:12.700 --> 1:18:16.700]  if you really pay attention, you will see things you've never seen before.
[1:18:16.700 --> 1:18:18.700]  We had a period of six weeks.
[1:18:18.700 --> 1:18:20.700]  I live in a small mountain village in northern New Mexico,
[1:18:20.700 --> 1:18:22.700]  where we have farming and ranching.
[1:18:22.700 --> 1:18:26.700]  There was a period of about six weeks or more where things stopped growing,
[1:18:26.700 --> 1:18:28.700]  literally stopped growing.
[1:18:28.700 --> 1:18:30.700]  Flowers didn't bloom.
[1:18:30.700 --> 1:18:34.700]  Crops that had been planted weren't getting any bigger.
[1:18:34.700 --> 1:18:39.700]  And when I noticed it myself, with regard to my indoor plants and my outdoor flowers and so forth,
[1:18:39.700 --> 1:18:42.700]  these are plants that are potted, mind you, not even in the ground,
[1:18:42.700 --> 1:18:43.700]  I pointed out...
[1:18:43.700 --> 1:18:46.700]  Everything these elites do is about playing God.
[1:18:46.700 --> 1:18:49.700]  Total matrix dominance, total...
[1:18:49.700 --> 1:18:52.700]  I mean, they have all these terms, but go ahead.
[1:18:52.700 --> 1:18:53.700]  Full spectrum dominance.
[1:18:53.700 --> 1:18:55.700]  Well, this went on for weeks and weeks and weeks.
[1:18:55.700 --> 1:18:57.700]  They weren't dying, but they weren't flourishing.
[1:18:57.700 --> 1:18:59.700]  They weren't growing.
[1:18:59.700 --> 1:19:01.700]  So when I talked to local people, local farmers about it,
[1:19:01.700 --> 1:19:03.700]  they said, yes, they had observed the same thing.
[1:19:03.700 --> 1:19:05.700]  They didn't know what was going on.
[1:19:05.700 --> 1:19:08.700]  I posted on a message board that it goes out across the country,
[1:19:08.700 --> 1:19:09.700]  and people posted the same thing.
[1:19:09.700 --> 1:19:11.700]  They said, yes, we noticed it was very strange.
[1:19:11.700 --> 1:19:12.700]  So what if?
[1:19:12.700 --> 1:19:13.700]  I mean, it's a what if.
[1:19:13.700 --> 1:19:17.700]  What if this energy that they're manipulating could be used to stop things from growing?
[1:19:17.700 --> 1:19:19.700]  No, it could be used to kill you.
[1:19:19.700 --> 1:19:20.700]  So of course...
[1:19:20.700 --> 1:19:21.700]  Exactly.
[1:19:21.700 --> 1:19:24.700]  But listen, 2 billion bees, or close to 80% of them in England,
[1:19:24.700 --> 1:19:25.700]  just dropped dead.
[1:19:25.700 --> 1:19:26.700]  They're dropping dead everywhere.
[1:19:26.700 --> 1:19:27.700]  Other animals are dropping dead.
[1:19:27.700 --> 1:19:29.700]  Whole bird species are dying.
[1:19:29.700 --> 1:19:31.700]  Meanwhile, the globalists can't surround going,
[1:19:31.700 --> 1:19:33.700]  it's for the earth, for the earth.
[1:19:33.700 --> 1:19:36.700]  When really, they want to destroy the earth and rebuild it
[1:19:36.700 --> 1:19:38.700]  in their image playing God.
[1:19:38.700 --> 1:19:40.700]  Alan Watt is our guest.
[1:19:40.700 --> 1:19:43.700]  Again, we'll be right back for everybody on the AM and FM Dial.
[1:19:43.700 --> 1:19:45.700]  We're going to take some more calls to get to everybody
[1:19:45.700 --> 1:19:50.700]  here on the impowars.com streams only during this break.
[1:19:50.700 --> 1:19:52.700]  You know, I joke around about all this
[1:19:52.700 --> 1:19:54.700]  because it would be too stressful if I didn't,
[1:19:54.700 --> 1:19:56.700]  but this is all very serious.
[1:19:56.700 --> 1:19:59.700]  It's all very, very painful to admit that we've gotten this.
[1:19:59.700 --> 1:20:01.700]  The headlines are clear.
[1:20:01.700 --> 1:20:04.700]  The worldwide economic collapse is here.
[1:20:04.700 --> 1:20:07.700]  The military is being positioned for martial law.
[1:20:07.700 --> 1:20:09.700]  The mark of a beast is at hand.
[1:20:09.700 --> 1:20:12.700]  Governments are calling for a new world cashless economic system.
[1:20:12.700 --> 1:20:15.700]  Having a long-term food solution is your only hope.
[1:20:15.700 --> 1:20:17.700]  To stay free.
[1:20:17.700 --> 1:20:20.700]  Now, Survival of Seeds introduces their Escape the Beast kit.
[1:20:20.700 --> 1:20:24.700]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[1:20:24.700 --> 1:20:27.700]  For true patrons and homesteaders wanting food insurance.
[1:20:27.700 --> 1:20:29.700]  That's over five pounds of rare historic seeds.
[1:20:29.700 --> 1:20:31.700]  For a penny per seed.
[1:20:31.700 --> 1:20:35.700]  15,000 seeds that will feed a family healthy food for seven years.
[1:20:35.700 --> 1:20:37.700]  Big John Lipscomb, host of Don't Tread on Me,
[1:20:37.700 --> 1:20:41.700]  is including an instructional DVD that will teach you how to earn big money.
[1:20:41.700 --> 1:20:44.700]  Telling the protest from his incredible heirloom seeds back to him.
[1:20:44.700 --> 1:20:46.700]  Restaurants and small delis.
[1:20:46.700 --> 1:20:49.700]  Don't buy from copycats. Their fancy packaging is not free.
[1:20:49.700 --> 1:20:51.700]  Order today before it's too late.
[1:20:51.700 --> 1:20:53.700]  Survivalistseeds.com.
[1:20:53.700 --> 1:20:55.700]  That's Survivalistseeds.com.
[1:20:55.700 --> 1:20:58.700]  A long-term food solution.
[1:21:00.700 --> 1:21:03.700]  Santa, Christmas Eve and you haven't left yet?
[1:21:03.700 --> 1:21:06.700]  Ho, ho, ho, ho, ho.
[1:21:06.700 --> 1:21:09.700]  No. I can't find my keys.
[1:21:09.700 --> 1:21:11.700]  Here's the perfect gift.
[1:21:11.700 --> 1:21:14.700]  Our patented Find One Find All Keyfinder or FOFA XT for short.
[1:21:14.700 --> 1:21:17.700]  Once a FOFA keyfinder is attached to each of those easy-to-lose things,
[1:21:17.700 --> 1:21:19.700]  it can find and be found by all the rest.
[1:21:19.700 --> 1:21:21.700]  Use your wallet to find your keys.
[1:21:21.700 --> 1:21:23.700]  Your keys to find the remote control.
[1:21:23.700 --> 1:21:26.700]  Or any of them to find an uncharged or muted cell phone.
[1:21:26.700 --> 1:21:29.700]  FOFA goes through walls, cushions and laundry baskets up to 30 feet,
[1:21:29.700 --> 1:21:32.700]  and projects a loud 90-plus decibel beep.
[1:21:32.700 --> 1:21:35.700]  And new for Christmas, there's even a FOFA just for eyeglasses.
[1:21:35.700 --> 1:21:38.700]  Where did I put my glasses, Mrs. Claus?
[1:21:38.700 --> 1:21:40.700]  Oh, here they are.
[1:21:40.700 --> 1:21:43.700]  Luckily, Rudolph's nose isn't the only thing that flashes.
[1:21:43.700 --> 1:21:47.700]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[1:21:47.700 --> 1:21:50.700]  Call 866-245-8670.
[1:21:50.700 --> 1:21:52.700]  That's 866-245-8670.
[1:21:52.700 --> 1:21:55.700]  Or buy online at FindOneFindAll.com.
[1:21:55.700 --> 1:22:19.700]  And that's FindOneFindAll.com.
[1:22:25.700 --> 1:22:28.700]  Or you would like a book on the history of the Federal Reserve.
[1:22:28.700 --> 1:22:31.700]  We've got the most well-researched and documented titles.
[1:22:31.700 --> 1:22:33.700]  All available at PrisonPlanet.com.
[1:22:33.700 --> 1:22:39.700]  Or if you'd like, you can give the info or store a call at 888-253-3139.
[1:22:39.700 --> 1:22:43.700]  Or you can view more than a thousand titles in super high quality right now
[1:22:43.700 --> 1:22:45.700]  at PrisonPlanet.tv.
[1:22:45.700 --> 1:22:46.700]  Knowledge is power.
[1:22:46.700 --> 1:22:49.700]  And the information you need to effectively wake up your fellow man
[1:22:49.700 --> 1:22:52.700]  and fight the New World Order is available right now
[1:22:52.700 --> 1:22:56.700]  at truthnews.us and prisonplanet.tv.
[1:22:56.700 --> 1:23:25.700]  Join the info war today.
[1:23:26.700 --> 1:23:52.700]  We'll be right back.
[1:23:52.700 --> 1:24:18.700]  We'll be right back.
[1:24:18.700 --> 1:24:44.700]  We'll be right back.
[1:24:44.700 --> 1:25:11.700]  We'll be right back.
[1:25:11.700 --> 1:25:33.700]  We'll be right back.
[1:25:33.700 --> 1:25:55.700]  We'll be right back.
[1:25:55.700 --> 1:26:22.700]  We'll be right back.
[1:26:22.700 --> 1:26:48.700]  We'll be right back.
[1:26:48.700 --> 1:27:15.700]  We'll be right back.
[1:27:15.700 --> 1:27:37.700]  We'll be right back.
[1:27:37.700 --> 1:28:04.700]  We'll be right back.
[1:28:04.700 --> 1:28:30.700]  We'll be right back.
[1:28:30.700 --> 1:28:59.700]  Absolutely.
[1:28:59.700 --> 1:29:26.700]  We'll be right back.
[1:29:26.700 --> 1:29:49.700]  We'll be right back.
[1:29:49.700 --> 1:30:16.700]  We'll be right back.
[1:30:16.700 --> 1:30:43.700]  We'll be right back.
[1:30:43.700 --> 1:31:09.700]  We'll be right back.
[1:31:09.700 --> 1:31:36.700]  We'll be right back.
[1:31:36.700 --> 1:31:58.700]  We'll be right back.
[1:31:58.700 --> 1:32:25.700]  We'll be right back.
[1:32:25.700 --> 1:32:40.700]  We'll be right back.
[1:32:40.700 --> 1:33:05.700]  We'll be right back.
[1:33:05.700 --> 1:33:32.700]  We'll be right back.
[1:33:32.700 --> 1:33:58.700]  We'll be right back.
[1:33:58.700 --> 1:34:25.700]  We'll be right back.
[1:34:25.700 --> 1:34:52.700]  We'll be right back.
[1:34:52.700 --> 1:35:18.700]  We'll be right back.
[1:35:18.700 --> 1:35:44.700]  We'll be right back.
[1:35:44.700 --> 1:36:11.700]  We'll be right back.
[1:36:11.700 --> 1:36:37.700]  We'll be right back.
[1:36:37.700 --> 1:37:04.700]  We'll be right back.
[1:37:04.700 --> 1:37:31.700]  We'll be right back.
[1:37:31.700 --> 1:37:58.700]  We'll be right back.
[1:37:58.700 --> 1:38:25.700]  We'll be right back.
[1:38:25.700 --> 1:38:53.700]  We'll be right back.
[1:38:53.700 --> 1:39:19.700]  We'll be right back.
[1:39:19.700 --> 1:39:46.700]  We'll be right back.
[1:39:46.700 --> 1:40:12.700]  We'll be right back.
[1:40:12.700 --> 1:40:38.700]  We'll be right back.
[1:40:38.700 --> 1:41:05.700]  We'll be right back.
[1:41:05.700 --> 1:41:34.700]  We'll be right back.
[1:41:35.700 --> 1:42:01.700]  We'll be right back.
[1:42:01.700 --> 1:42:23.700]  We'll be right back.
[1:42:23.700 --> 1:42:51.700]  We'll be right back.
[1:42:51.700 --> 1:43:06.700]  The doctor decided to drug test me and apparently I came out positive for certain things that were not prescribed and did not come up for what they prescribed me.
[1:43:06.700 --> 1:43:21.700]  After that, they urine tested me and then I went and had a blood test done.
[1:43:21.700 --> 1:43:37.700]  They are trying to make this a criminal procedure.
[1:43:37.700 --> 1:44:02.700]  They are trying to make this a criminal procedure.
[1:44:02.700 --> 1:44:28.700]  They are trying to make this a criminal procedure.
[1:44:28.700 --> 1:44:50.700]  They are trying to make this a criminal procedure.
[1:44:50.700 --> 1:45:19.700]  They are trying to make this a criminal procedure.
[1:45:19.700 --> 1:45:45.700]  They are trying to make this a criminal procedure.
[1:45:45.700 --> 1:46:12.700]  They are trying to make this a criminal procedure.
[1:46:12.700 --> 1:46:38.700]  They are trying to make this a criminal procedure.
[1:46:38.700 --> 1:47:02.700]  They are trying to make this a criminal procedure.
[1:47:02.700 --> 1:47:13.700]  There is a global meltdown coming. It is a global depression and one world currency and one world financial system is the end game.
[1:47:13.700 --> 1:47:16.700]  China said last week they want one global currency.
[1:47:16.700 --> 1:47:26.700]  France said yesterday or the day before that they want one world order, a new world order at the end of this event.
[1:47:26.700 --> 1:47:33.700]  They had a proposal for an expanded so-called free trade zone from Alaska to the tip of South America.
[1:47:33.700 --> 1:47:44.700]  It is a plan from the business elites, the political elites that will cost more American jobs, cost American sovereignty, but it would fulfill the president's father's vision.
[1:47:44.700 --> 1:47:52.700]  This time a new world order with business at the helm of trade and economic policy, effectively surrendering the sovereignty of the United States.
[1:47:52.700 --> 1:47:59.700]  Which is what Bilderberg is into by and large, the idea of a one world community, a new world order.
[1:47:59.700 --> 1:48:04.700]  They see themselves as a government as opposed to a group of world leaders or people with influence.
[1:48:04.700 --> 1:48:13.700]  The European leaders have been pressing for an overhaul of the whole international financial system and they will continue to do so.
[1:48:13.700 --> 1:48:25.700]  They are calling for an organization of a global summit as soon as next month.
