[00:00:08.490 --> 00:00:12.940]  Leading a frontal assault on the lies of the New World Order.
[00:52:15.194 --> 00:52:16.235]  I'm from Ohio.
[00:52:16.235 --> 00:52:16.595]  Ohio?
[00:52:16.595 --> 00:52:16.855]  Yes.
[00:52:16.855 --> 00:52:17.616]  Okay.
[00:52:17.616 --> 00:52:25.762]  So, do you think an event like this, where you have 150 elites getting together in Western Europe, basically discussing things in secret, do you think we should know about this?
[00:52:25.762 --> 00:52:26.602]  I think so.
[00:52:26.602 --> 00:52:28.303]  Yeah, I totally agree.
[00:52:28.303 --> 00:52:29.484]  Well, hey, thanks for your time.
[00:52:29.484 --> 00:52:30.225]  Good luck to you.
[00:52:30.225 --> 00:52:30.605]  Have a good one.
[00:52:31.497 --> 00:52:32.178]  Alright, there you go.
[00:52:32.178 --> 00:52:36.260]  So we asked a person here, he had no idea who the Bilderberg Group was, but what did we do?
[00:52:36.260 --> 00:52:37.180]  We educated him.
[00:52:37.180 --> 00:52:42.824]  So that's what I'm going to challenge you to do out there, is go out and make this the week that you talk about Bilderberg.
[00:52:42.824 --> 00:52:49.527]  I'm on a basketball team and we went and had a couple beers last week after a game and I told guys I'm not going to be making the next game, I'm going to Austria.
[00:52:49.527 --> 00:52:50.248]  And they're like, what for?
[00:52:50.248 --> 00:52:52.349]  So I'm going to be covering the Bilderberg Group.
[00:52:52.349 --> 00:52:52.909]  And they all laughed.
[00:52:52.909 --> 00:52:54.210]  They go, Bilderberg?
[00:52:54.210 --> 00:52:54.730]  No!
[00:52:54.730 --> 00:52:57.112]  See, that's why we have to get beyond this whole
[00:52:57.812 --> 00:53:02.396]  It's built the Bilderberg Group, and you need to go out and talk to it.
[00:53:02.396 --> 00:53:02.956]  Talk about it.
[00:53:02.956 --> 00:53:03.977]  Tell your friends about it.
[00:53:03.977 --> 00:53:05.318]  Tell your neighbors about it.
[00:53:05.318 --> 00:53:12.644]  Just start opening the discourse, and that way, things like this will slowly start shedding light on them, because that's what needs to happen.
[00:53:12.644 --> 00:53:23.453]  We need to stop having secret meetings run by elites where they're elected, they're using our tax dollars to pay for security, all this crazy madness, yet no press is allowed, or the press that is allowed is kept in control.
[00:53:24.133 --> 00:53:24.833]  Well, that's about it.
[00:53:24.833 --> 00:53:26.014]  We're about to get on our flight.
[00:53:26.014 --> 00:53:29.756]  It's going to be a long one, so I may not be as chipper next time you see me.
[00:53:29.756 --> 00:53:34.239]  This is Rob Dew reporting from O'Hare International Airport for InfoWars.com and InfoWars Nightly News.
[00:53:35.473 --> 00:53:42.957]  Again, that's a very difficult trip to make and of course they're going to be on the ground and covering what's happening as soon as they get there.
[00:53:42.957 --> 00:53:46.159]  So it's a difficult thing for them, it's a difficult thing for us to support them.
[00:53:46.159 --> 00:53:52.702]  So again, if you want to support us in that operation, buy our products at InfoWarsLife.com.
[00:53:52.702 --> 00:53:58.665]  Also we have the new t-shirt that is the Distress t-shirt, the Save America t-shirt.
[00:53:59.445 --> 00:54:04.968]  Where you can tell people about Title IV, Chapter 1 of the U.S.
[00:54:04.968 --> 00:54:07.769]  Code regarding the flag.
[00:54:07.769 --> 00:54:13.892]  Get them to understand that flying it upside down is not disrespect, it's actually trying to inform people.
[00:54:13.892 --> 00:54:18.835]  This is a way that you can start to inform people about the distress that our government is currently under.
[00:54:19.850 --> 00:54:29.755]  Many people don't understand what's going on with these trade treaties, with the massive reorganization of our country and other countries into global governance.
[00:54:29.755 --> 00:54:38.399]  We've seen the pieces from Rex Jones, we've seen pieces from others where they go here in Austin or go in New York and they ask people, what is the TPP?
[00:54:38.399 --> 00:54:39.820]  They have no clue what that is.
[00:54:39.820 --> 00:54:42.682]  They have no clue what Bilderberg is.
[00:54:42.682 --> 00:54:48.965]  These people who are protesting the G7 that's going on right now in Bavaria, not far from where the Bilderberg Group is going to be meeting,
[00:54:50.032 --> 00:54:54.556]  And again, I had quotes from a 16-year-old, also from a 61-year-old.
[00:54:54.556 --> 00:54:56.678]  They understood what the issue was.
[00:54:56.678 --> 00:55:00.621]  I'm going to read you one more quote here from a guy who was a mathematician who showed up to protest.
[00:55:00.621 --> 00:55:02.103]  And this is what he said.
[00:55:02.103 --> 00:55:10.590]  He said, these secret trade agreements that are being negotiated by corporations without any oversight, without any knowledge, really, of our elected representatives.
[00:55:10.590 --> 00:55:12.712]  He says, this is all a question of legitimacy.
[00:55:13.352 --> 00:55:20.836]  He says, if laws and regulations are made and private, it limits the possibility of overseeing what the politicians do, obviously.
[00:55:20.836 --> 00:55:26.618]  He says, it seems the only people overseeing are those who stand to gain by the process.
[00:55:26.618 --> 00:55:27.759]  Big business.
[00:55:27.759 --> 00:55:32.261]  This is what's been going on for a very long time at Bilderberg.
[00:55:32.261 --> 00:55:34.162]  And so, it is no surprise to us
[00:55:34.782 --> 00:55:39.785]  To see that this is going to converge into a global governance now.
[00:55:39.785 --> 00:55:41.626]  Go back to the very beginning of Bilderberg.
[00:55:41.626 --> 00:55:42.487]  Why do they call it that?
[00:55:42.487 --> 00:55:45.008]  Well, that was the name of the hotel where they first met.
[00:55:45.008 --> 00:55:55.134]  Interestingly enough, that hotel, the Bilderberg Hotel, where they first met, was very close to the site of the last Nazi victory of World War II.
[00:55:55.134 --> 00:55:58.737]  You might have seen the story of that in the movie Bridge Too Far.
[00:55:59.537 --> 00:56:11.386]  Now, some people have alleged, have accused Prince Barnhart and others who created the Bilderberg Group and who held that meeting at the closest they could get to the site of the last Nazi victory.
[00:56:11.386 --> 00:56:15.690]  Some people have accused them of being double agents, of collaborating with the Nazis to help
[00:56:16.270 --> 00:56:18.854]  And that last Nazi victory.
[00:56:18.854 --> 00:56:26.543]  Nevertheless what it did was it laid an economic foundation for global governance and that's the way they do it gradually.
[00:56:26.543 --> 00:56:32.891]  Going back to this article that I started talking about that is essentially six years and one month old from Paul Joseph Watson.
[00:56:33.752 --> 00:56:39.358]  Leaked 1955 Bilderberg documents outline a plan for a single European currency.
[00:56:39.358 --> 00:56:55.034]  And he points out that the documents that they saw, that were leaked by WikiLeaks from the 1955 Bilderberg Group conference that was held in Germany, showed an agenda to create a European Union and a central European currency decades, decades before they were introduced.
[00:56:55.755 --> 00:57:07.583]  And so he points out that although they might have been talking about creating an economic trade group, he said the idea of doing a currency first appeared at Bilderberg.
[00:57:07.583 --> 00:57:14.147]  Even if you could say that they were responding to something that was out there already in terms of a European, a common trade area.
[00:57:14.147 --> 00:57:25.235]  But what it shows is that they moved gradually through a European Economic Commission, then coming into the European Community, then moving into the treaty, and now we see
[00:57:26.149 --> 00:57:37.834]  Many people in Europe saying that the Greek financial tragedy is going to require a surrendering of sovereignty in order to make the EU and the Euro work.
[00:57:37.834 --> 00:57:44.518]  Stay with us, we're going to be right back and we're going to go into more detail about this and the roots of these transnational agreements.
[00:57:44.518 --> 00:57:45.138]  We'll be right back.
[00:57:49.975 --> 00:57:55.117]  Introducing Secret 12, the new InfoWars Life Vitamin B12 formulation.
[00:57:55.117 --> 00:58:01.239]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:58:01.239 --> 00:58:06.021]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[00:58:06.021 --> 00:58:09.582]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:58:09.582 --> 00:58:11.163]  No needles, no injections.
[00:58:11.563 --> 00:58:16.948]  Secure your revolutionary secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[00:58:16.948 --> 00:58:18.429]  Alex Jones here.
[00:58:18.429 --> 00:58:29.820]  For the last two years I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:58:30.060 --> 00:58:33.644]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:58:33.644 --> 00:58:42.213]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[00:58:42.213 --> 00:58:44.835]  Visit Infowarslife.com or call 1-888-253-3139.
[00:58:44.835 --> 00:58:45.977]  That's Infowarslife.com.
[00:58:49.560 --> 00:58:52.202]  Infowarslife.com.
[00:58:52.202 --> 00:58:53.683]  Check it out today.
[00:58:53.683 --> 00:58:59.447]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none.
[00:58:59.447 --> 00:59:02.069]  And that's what you'll find at Infowarslife.com.
[00:59:02.069 --> 00:59:09.655]  We have rejected, literally, hundreds of products from the Infowarslife line because they are not of the very highest quality.
[00:59:09.815 --> 00:59:12.296]  Or because they're not 100% organic.
[00:59:12.296 --> 00:59:18.900]  Or because they don't pass all of the strictest toxicology tests there are that we have listed at InfoWarsLife.com.
[00:59:18.900 --> 00:59:25.344]  Whether it's survival shield nascent iodine, or DNA force, super male vitality, super female vitality.
[00:59:25.484 --> 00:59:29.306]  Lung cleanse, fluoride shields, oxy powder.
[00:59:29.306 --> 00:59:40.111]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com and believed in us and tried the products.
[00:59:40.111 --> 00:59:47.715]  Folks, check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[00:59:52.455 --> 01:00:01.625]  You're listening to the Alex Jones Show.
[01:00:01.625 --> 01:00:08.252]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.252 --> 01:00:11.256]  It's Alex Jones and the GCN Radio Network.
[01:00:16.081 --> 01:00:17.503]  Welcome back to the Alex Jones Show.
[01:00:17.503 --> 01:00:20.166]  I'm David Knight and I'm co-hosting today with Alex Jones.
[01:00:20.166 --> 01:00:28.898]  Alex is going to be joining us in this hour with a report about the TPP and the TTIP and the TPA.
[01:00:28.898 --> 01:00:32.483]  We've also got the TISA that came out this week.
[01:00:32.483 --> 01:00:33.144]  Is that confusing?
[01:00:33.971 --> 01:00:35.792]  It's meant to be confusing.
[01:00:35.792 --> 01:00:37.272]  Here's what you need to know.
[01:00:37.272 --> 01:00:40.773]  All of those together spell T-R-A-P.
[01:00:40.773 --> 01:00:41.813]  It's a trap!
[01:00:41.813 --> 01:00:42.533]  Okay?
[01:00:42.533 --> 01:00:43.914]  Quite frankly, it's a trap.
[01:00:43.914 --> 01:00:47.755]  It's a trap that has been being... been prepared for a very long time.
[01:00:47.755 --> 01:00:51.316]  We were talking in the last hour about the roots of this, about the Bilderberg Group.
[01:00:51.316 --> 01:00:53.496]  We have... our reporters are headed there right now.
[01:00:53.496 --> 01:00:58.818]  We just played a report in the last segment that is filed by Rob Dew in a layover at the airport.
[01:00:59.238 --> 01:01:01.099]  Of course, they're on their way to Bilderberg.
[01:01:01.099 --> 01:01:03.381]  As we see, most people don't know what Bilderberg is.
[01:01:03.381 --> 01:01:14.049]  Most people don't know what any of those different acronyms are that are basically destroying our sovereignty, not only for the United States, but for the entire world.
[01:01:14.049 --> 01:01:21.114]  These are all tools of global consolidation, tools of global governance by multinational corporations.
[01:01:21.114 --> 01:01:22.375]  This is not about free trade.
[01:01:23.135 --> 01:01:26.997]  This is not about protecting small corporations that are domestic.
[01:01:26.997 --> 01:01:31.200]  This is about putting a few corporations who are writing these regulations in secret.
[01:01:31.200 --> 01:01:34.841]  It's about putting them in charge of everything.
[01:01:34.841 --> 01:01:37.783]  And it's not just simply about trade.
[01:01:37.783 --> 01:01:40.805]  This is about owning everything and it's going to affect your health.
[01:01:41.485 --> 01:01:44.567]  It's going to affect your internet freedoms.
[01:01:44.567 --> 01:01:49.951]  It's going to affect the sovereignty of each individual nation.
[01:01:49.951 --> 01:01:57.496]  I want to cover a couple of stories before we go back to the Bilderberg Group, because some of the people who listen to the show, some of them are covering news during this segment.
[01:01:57.496 --> 01:02:02.059]  So I want to wait until all the radio stations are back, but I want to give you a sense of how
[01:02:02.859 --> 01:02:10.026]  As they make what they do more and more secret, whether it's the Bilderberg Group or whether it's now these new trade partnerships.
[01:02:10.026 --> 01:02:15.392]  Everything is kept secret, but they demand to know everything about you.
[01:02:15.392 --> 01:02:17.814]  Look at this article from the Washington Post about the FBI.
[01:02:17.814 --> 01:02:23.961]  Now, of course, we had the FBI's director, Comey, come out and say, well, you know, it's a good thing to have encryption.
[01:02:24.561 --> 01:02:27.343]  Even though the government needs to have the ability to get around it.
[01:02:27.343 --> 01:02:27.904]  That's what he said.
[01:02:27.904 --> 01:02:30.706]  So yeah, go ahead and encrypt your stuff, but not for the government.
[01:02:30.706 --> 01:02:36.830]  Now we have the assistant director at the FBI's counterterrorism division, a man named Steinbach.
[01:02:36.830 --> 01:02:44.395]  And he came out with some very troubling, well, something that we already knew quite frankly, but at least the candor is out there.
[01:02:44.395 --> 01:02:49.339]  And I think even the Washington Post was a bit surprised, raised a little bit of an eyebrow when they reported this.
[01:02:49.699 --> 01:02:56.464]  They say FBI official says companies should help us, quote, prevent encryption above all else, unquote.
[01:02:56.464 --> 01:03:00.567]  That's what the FBI's assistant director for FBI counterterrorism said.
[01:03:00.567 --> 01:03:07.512]  He says we need to build technological solutions to prevent encryption above all else.
[01:03:07.512 --> 01:03:15.438]  In other words, their highest priority is to be able to know everything, everything about you.
[01:03:16.383 --> 01:03:18.545]  And we see this manifested in many different ways.
[01:03:18.545 --> 01:03:21.527]  We see this with the Dragnet surveillance of the NSA.
[01:03:21.527 --> 01:03:24.730]  We also see it even with what's going on with Jade Helm.
[01:03:24.730 --> 01:03:26.992]  Jade Helm is about mastering the human domain.
[01:03:26.992 --> 01:03:37.801]  If you go back and look at what that phrase means, you see at conferences for the geospatial intelligence community, where that is the title of the presentation.
[01:03:37.801 --> 01:03:38.842]  Mastering the human domain.
[01:03:38.842 --> 01:03:40.804]  How do they propose to do that?
[01:03:40.804 --> 01:03:43.446]  They will master you as an individual.
[01:03:44.352 --> 01:03:46.695]  By knowing everything about you individually.
[01:03:46.695 --> 01:03:49.858]  About your name, your identity, your biometrics.
[01:03:49.858 --> 01:03:51.820]  Then knowing who you know.
[01:03:51.820 --> 01:03:54.022]  Knowing where you go, what you do.
[01:03:54.022 --> 01:03:56.985]  And putting all of those into a political context.
[01:03:56.985 --> 01:03:58.988]  Putting them into a religious context.
[01:03:58.988 --> 01:04:01.490]  Putting them into a racial context.
[01:04:01.490 --> 01:04:04.413]  Profiling you in every way possible.
[01:04:05.274 --> 01:04:07.896]  A very dangerous thing, but that is the plan.
[01:04:07.896 --> 01:04:09.917]  That is where they are going with all of this.
[01:04:09.917 --> 01:04:12.298]  Now, again, listen to this other quote from Steinbach.
[01:04:12.298 --> 01:04:15.400]  Again, he is the assistant director of FBI's counter-terrorism.
[01:04:15.400 --> 01:04:23.465]  He says, privacy, if it's above all other things, including safety and freedom from terrorism, is not where we want to go.
[01:04:23.465 --> 01:04:26.347]  No, they absolutely don't want to go to privacy.
[01:04:27.332 --> 01:04:38.503]  Go back and look at, since we're talking about consolidating the three different trade blocs of North America, Europe and Asia, go back and look at the origins of all this.
[01:04:38.503 --> 01:04:40.725]  And that's what we're going to do in the next segment.
[01:04:40.725 --> 01:04:47.032]  Of course, Zbigniew Brzezinski was the first director of the Trilateral Commission, another group like the Bilderberg Commission.
[01:04:47.672 --> 01:04:51.537]  It was based on his selection of this group that was founded by David Rockefeller.
[01:04:51.537 --> 01:04:54.700]  It was based on the book that he wrote, Between Two Ages.
[01:04:54.700 --> 01:04:59.005]  We're going to talk about how important it is to these people to know everything about you.
[01:04:59.005 --> 01:04:59.766]  We'll be right back.
[01:04:59.766 --> 01:05:03.731]  Introducing Secret 12, the new InfoWars Life Vitamin B12 formulation.
[01:05:03.971 --> 01:05:10.074]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[01:05:10.074 --> 01:05:14.876]  Methylcobalamin, the same kind used in B12 injections, and adenosylcobalamin.
[01:05:14.876 --> 01:05:18.438]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[01:05:18.438 --> 01:05:20.019]  No needles, no injections.
[01:05:20.399 --> 01:05:25.804]  Secure your revolutionary secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[01:05:25.804 --> 01:05:27.286]  Alex Jones here.
[01:05:27.286 --> 01:05:38.657]  For the last two years I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[01:05:38.917 --> 01:05:42.720]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[01:05:42.720 --> 01:05:51.066]  Experience the benefits of combining over 14 ancient herbs and extracts with exciting new advances in nutraceutical science.
[01:05:51.066 --> 01:05:53.367]  Visit Infowarslife.com or call 1-888-253-3139.
[01:05:53.367 --> 01:05:54.408]  That's Infowarslife.com.
[01:06:06.474 --> 01:06:08.418]  Another world.
[01:06:08.418 --> 01:06:09.741]  Another time.
[01:06:09.741 --> 01:06:11.304]  In the age of wonder.
[01:06:26.779 --> 01:06:31.402]  If you are receiving this transmission, you are the resistance.
[01:06:31.402 --> 01:06:37.405]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:06:42.688 --> 01:06:46.350]  Welcome back to the Alex Jones Show on this Sunday, June 7th, 2015.
[01:06:46.350 --> 01:06:47.851]  I'm David Knight.
[01:06:47.851 --> 01:06:50.012]  Co-hosting with me today is Alex Jones.
[01:06:50.012 --> 01:07:04.441]  He's going to be breaking down the Trans-Pacific Partnership for you in just a moment, but we're going to go back, before we go back to Alex, we're going to talk a little bit more about the history of the Bilderberg Group, because all these different organizations are now converging.
[01:07:04.441 --> 01:07:10.024]  It's very easy to see the grand plan now, even though the vast majority of the public
[01:07:10.544 --> 01:07:12.105]  is not paying any attention.
[01:07:12.105 --> 01:07:15.328]  That's why it's so important to have this information war.
[01:07:15.328 --> 01:07:18.950]  That's why it's so important for you to wake up others, to help to educate them.
[01:07:18.950 --> 01:07:22.793]  We see the incredible apathy at the very bottom of this.
[01:07:22.793 --> 01:07:25.795]  What this really is is a brave new world.
[01:07:25.795 --> 01:07:28.217]  As I pointed out the beginning, it's really about
[01:07:29.503 --> 01:07:42.261]  The majority of people, not knowing, not caring about the Bilderberg Group, not caring about the TPP, not caring about the TTIP or any of these partnerships or agreements that are creating a global governance.
[01:07:42.261 --> 01:07:43.743]  Their eyes just glaze over.
[01:07:43.743 --> 01:07:44.964]  They can't be bothered.
[01:07:44.964 --> 01:07:45.946]  Where does this all come from?
[01:07:46.949 --> 01:07:49.710]  It really is a brave new world at the very bottom.
[01:07:49.710 --> 01:07:53.592]  Of course, the people who do pay attention, they will get the iron fist of 1984.
[01:07:53.592 --> 01:07:55.953]  They will get the Orwellian treatment.
[01:07:55.953 --> 01:07:59.615]  But for most of the people, it really is about brave new world.
[01:07:59.615 --> 01:08:05.498]  Think about this summation of the brave new world that one party put out there.
[01:08:05.498 --> 01:08:10.581]  It's a system, they said, of social rewards for promiscuity and lack of commitment.
[01:08:11.377 --> 01:08:14.238]  Does that describe us today in America, in the West?
[01:08:14.238 --> 01:08:22.022]  The social media that you see out there, the television, the music videos, the movies that you watch, doesn't that summarize that?
[01:08:22.022 --> 01:08:27.185]  A system of social rewards for promiscuity and lack of commitment.
[01:08:27.185 --> 01:08:32.368]  In other words, unlimited sex and hedonism, but no family.
[01:08:32.368 --> 01:08:36.490]  Because you remember, in Brave New World, they took away reproductive ability.
[01:08:36.490 --> 01:08:38.271]  That was handled by the state.
[01:08:39.246 --> 01:08:44.408]  They would dumb down some and they would enhance others, but they kept control of that.
[01:08:44.408 --> 01:08:50.791]  The same thing is essentially a retelling with a technological spin of Plato's Republic.
[01:08:50.791 --> 01:09:00.396]  We saw this last week in that particular story that was up at InfoWars about the school, the Gaia Democratic School in Minnesota.
[01:09:01.434 --> 01:09:04.159]  That took these children to a pornography shop.
[01:09:04.159 --> 01:09:08.927]  And if you look at this, I looked at that study, that story rather, I looked at it and I said, well...
[01:09:09.693 --> 01:09:13.295]  Why are the parents surprised that this would happen?
[01:09:13.295 --> 01:09:14.896]  Because it's all laid out there.
[01:09:14.896 --> 01:09:34.469]  If you go to their site and you look at the way they talk about what they're doing there, they talk about their philosophy, they talk about what Gaia means, and they are consciously referencing back to this pantheism, this paganism, this Gaia hypothesis that was put forth by James Lovelock.
[01:09:35.149 --> 01:09:37.353]  I remember when I took my family, it was 2001.
[01:09:37.353 --> 01:09:37.974]  We went to the UK.
[01:09:41.917 --> 01:09:44.177]  I came across this in so many different ways.
[01:09:44.177 --> 01:09:46.418]  Everybody was talking about Gaia at the time.
[01:09:46.418 --> 01:09:48.958]  I found it on magazines that were sitting on the train.
[01:09:48.958 --> 01:09:53.859]  We went to the Children's Museum, and as the kids were looking at things, we went up to the third floor.
[01:09:53.859 --> 01:09:55.480]  It was a play area.
[01:09:55.480 --> 01:10:00.140]  And they had this tape loop that was going there that was explaining Gaia to everyone.
[01:10:00.140 --> 01:10:07.842]  And essentially what it is, is it's an idea that the Earth is a living organism, an entity, a conscious single thing, like an individual.
[01:10:09.161 --> 01:10:11.483]  Humans are a virus.
[01:10:11.483 --> 01:10:13.745]  Humans need to be wiped out.
[01:10:13.745 --> 01:10:22.812]  So it's not only a kind of pantheism where God is in everything, but it's also an anti-human eugenics type of approach.
[01:10:22.812 --> 01:10:25.014]  Kind of like the Georgia Guidestones.
[01:10:25.014 --> 01:10:26.656]  It also has that flavor to it.
[01:10:27.336 --> 01:10:32.879]  But you look at the faculty there and you see that you've got people who are practicing witchcraft.
[01:10:32.879 --> 01:10:37.602]  You look at their summer program and they've got a witch and wizard camp.
[01:10:37.602 --> 01:10:40.564]  Learn real magic and develop your skills in the magical arts.
[01:10:40.564 --> 01:10:42.946]  They've got people who are teaching there that are
[01:10:43.726 --> 01:10:48.549]  Heavily into, as they put it, gender, women, and sexuality studies.
[01:10:48.549 --> 01:10:50.230]  That's where their degrees are.
[01:10:50.230 --> 01:10:58.794]  You've got the lady who was the one, the teacher who took them to the adult bookstore there.
[01:10:58.794 --> 01:11:02.996]  She has a women's studies certificate from a community college.
[01:11:02.996 --> 01:11:06.758]  She is an HIV coordinator for a GLBTQ.
[01:11:06.758 --> 01:11:11.321]  That's gay, lesbian, bisexual, transsexual, queer, youth drop.
[01:11:12.185 --> 01:11:31.822]  Now, when you look at this and you say, this is the principle of the school, when you look at Gaia and you look at this pagan, anti-human philosophy that underlines what they're doing there, why would you be surprised when they take your children to an adult sex toy store as part of a field trip?
[01:11:31.822 --> 01:11:35.165]  One of the children was just 11 years old.
[01:11:35.165 --> 01:11:39.509]  And of course she excuses that by saying, well, they're going through physical changes at that point in time.
[01:11:40.202 --> 01:11:42.644]  They are not ready to handle it mentally.
[01:11:42.644 --> 01:11:44.325]  That's the issue.
[01:11:44.325 --> 01:11:48.368]  That's why we have laws against pedophilia.
[01:11:48.368 --> 01:11:50.950]  That's why we don't do that sort of thing.
[01:11:50.950 --> 01:11:53.532]  Nevertheless, you've got a very small school.
[01:11:53.532 --> 01:11:54.433]  It's a private school.
[01:11:54.433 --> 01:11:55.674]  They only have 25 students.
[01:11:55.674 --> 01:11:58.736]  You've got nine families who are calling for her resignation.
[01:11:58.736 --> 01:12:02.018]  They're furious that she would do this without their permission.
[01:12:02.018 --> 01:12:06.542]  And yet you kind of have to ask, why didn't they research what was going on at the school?
[01:12:07.984 --> 01:12:09.545]  Let's not get smug about this.
[01:12:09.545 --> 01:12:16.647]  Let's ask, why don't we do the research as parents about what's going on where our children are being taught?
[01:12:16.647 --> 01:12:22.670]  Have you looked at the background of the people and the information that they're being taught in your school?
[01:12:24.042 --> 01:12:25.123]  Where your children are going?
[01:12:25.123 --> 01:12:27.084]  Are you familiar with Common Core?
[01:12:27.084 --> 01:12:34.888]  Do you understand the basis of these schools that fall back on Thomas Dewey's philosophy?
[01:12:34.888 --> 01:12:35.489]  Look at B.F.
[01:12:35.489 --> 01:12:37.050]  Skinner's philosophy?
[01:12:37.050 --> 01:12:42.693]  Do you really understand this kind of psychological manipulation that they're conducting on your children?
[01:12:42.693 --> 01:12:46.936]  Because it quite frankly is a brave new school.
[01:12:46.936 --> 01:12:48.136]  That is the environment.
[01:12:48.136 --> 01:12:52.379]  What's interesting about the Gaia Democratic School is that they're so out front about it.
[01:12:53.271 --> 01:13:00.456]  They're unabashedly candid about what they're doing there, whereas it's typically hidden at the other schools.
[01:13:00.456 --> 01:13:03.898]  Pay attention to what's going on with your children.
[01:13:03.898 --> 01:13:06.580]  You need to understand what they're being taught.
[01:13:06.580 --> 01:13:10.903]  You need to understand how the school is defining an education.
[01:13:12.236 --> 01:13:14.977]  Many parents question, why can't Johnny Reed?
[01:13:14.977 --> 01:13:15.757]  That was the question.
[01:13:15.757 --> 01:13:18.858]  Well, that was never the intention of the government school.
[01:13:18.858 --> 01:13:21.899]  If you go back and look at Dewey, if you go back and look at B.S.
[01:13:21.899 --> 01:13:23.660]  Skinner, that was not the intention.
[01:13:23.660 --> 01:13:26.561]  It was not, it's purpose was not to educate your child.
[01:13:26.561 --> 01:13:33.723]  It's purpose was not to give your child tools where they could become productive, independent thinkers.
[01:13:33.723 --> 01:13:40.125]  They didn't want to give them a liberal education in the terms of someone who is able to liberate themselves and think independently.
[01:13:41.025 --> 01:13:44.547]  They wanted them to be dumbed down, the deliberate dumbing down of America.
[01:13:44.547 --> 01:13:47.808]  Again, that's a book that we sell at Infowars.com.
[01:13:47.808 --> 01:13:53.431]  Charlotte Isserby pointed that out a long time ago during the Reagan administration with the new Department of Education.
[01:13:53.431 --> 01:13:59.534]  She was brought in as an educator and she realized what the agenda was on the Department of Education.
[01:13:59.534 --> 01:14:02.216]  Of course, that had just been created by Jimmy Carter.
[01:14:02.216 --> 01:14:04.957]  It was less than four years old when Ronald Reagan became president.
[01:14:04.957 --> 01:14:08.139]  He ran... one of the things when he was running was
[01:14:09.324 --> 01:14:16.489]  That he would shut down the Department of Education because the federal government should not be involved in education.
[01:14:16.489 --> 01:14:23.714]  This is something that should be handled at the local level at the very most, but it has to have parental involvements.
[01:14:23.714 --> 01:14:31.340]  But when she took a look at this, she understood and she wrote a book about it with Phyllis Schlafly talking about the deliberate dumbing down of America.
[01:14:31.340 --> 01:14:33.241]  That was the purpose.
[01:14:33.241 --> 01:14:37.304]  A brave new world through brave new schools.
[01:14:37.304 --> 01:14:38.465]  That's the way they get this.
[01:14:39.468 --> 01:14:48.094]  Now with people not paying any attention, with everything being kept secret, they have, over a period of decades, been able to pull their plan together.
[01:14:48.094 --> 01:14:50.336]  It's easy to see it now in the final stages.
[01:14:50.336 --> 01:14:54.619]  That's why it's easier for you to explain this to people who haven't been paying attention.
[01:14:54.619 --> 01:15:01.264]  You can now look in retrospect and see how this has worked out with the European Union, with the North American Union, and again,
[01:15:01.784 --> 01:15:10.211]  Remember, it was less than a year ago that David Petraeus, who's gone to the last two Bilderberg groups, he'll probably be at this one this year as well.
[01:15:10.211 --> 01:15:12.713]  David Petraeus said, well, what comes after America?
[01:15:12.713 --> 01:15:13.974]  That's easy, North America.
[01:15:13.974 --> 01:15:17.136]  He said, we're 20 years into the North American Union.
[01:15:17.136 --> 01:15:19.018]  They understand what this is about.
[01:15:19.018 --> 01:15:22.121]  They created NORTHCOM in 2002.
[01:15:22.121 --> 01:15:24.122]  What does NORTHCOM have jurisdiction over?
[01:15:24.122 --> 01:15:27.044]  Well, it has jurisdiction over the North American Union.
[01:15:27.044 --> 01:15:30.767]  It has jurisdiction over Canada, America, Mexico.
[01:15:31.528 --> 01:15:33.549]  This is something that's been going on for a very long time.
[01:15:33.549 --> 01:15:39.712]  We're going to go back and look at these documents that we reported on six years ago about what was happening at Bilderberg.
[01:15:39.712 --> 01:15:50.197]  And then we're going to talk about how that's reflected in the current Trans-Pacific, Trans-Atlantic partnerships and the fast-tracked agreement that subverts our Constitution.
[01:15:50.197 --> 01:15:50.638]  Stay with us.
[01:15:50.638 --> 01:15:51.218]  We'll be right back.
