[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[02:05:37.795 --> 02:05:41.716]  They are all going to sell out in the next few weeks or in the next month.
[02:05:42.116 --> 02:05:44.697]  Again, more stuff is going to sell out today.
[02:05:44.697 --> 02:05:49.080]  So every hour you wait, more stuff will be sold out at MFORSTORE.COM.
[02:05:49.080 --> 02:05:55.783]  Promo code 1776 and you get an additional 10% off your already giant savings at MFORSTORE.COM.
[02:05:55.783 --> 02:05:57.084]  Thank you so much for your support.
[02:05:57.084 --> 02:06:02.947]  God bless.
[02:06:02.947 --> 02:06:04.187]  You found it.
[02:06:04.187 --> 02:06:06.228]  The tip of the spear.
[02:06:06.228 --> 02:06:08.450]  It is the Alex Jones Show.
[02:06:19.902 --> 02:06:34.008]  Alright, I thought it would be 3 o'clock, 4 o'clock, 5 o'clock, 6 o'clock, 7 o'clock, 8 o'clock, that we'd see the machines go down and the classic fraud, the key battleground areas where Democrats are losing.
[02:06:34.008 --> 02:06:36.489]  It's happening in the last 3-4 hours.
[02:06:36.489 --> 02:06:44.833]  I have endless videos, endless news reports, in Pennsylvania, in Michigan, in Arizona, in Georgia, in...
[02:06:46.594 --> 02:06:56.793]  Wisconsin, everywhere, where Republicans are winning in massive numbers, as the polls showed, the machines are all failing and falling apart.
[02:06:56.793 --> 02:06:57.714]  Here's a short clip.
[02:06:59.577 --> 02:07:07.143]  Out in Maricopa County, that key area that turns the state blue, everybody else is red, you can vote Democrat but not Republican.
[02:07:07.143 --> 02:07:08.644]  And this is what they're confirming.
[02:07:08.644 --> 02:07:16.551]  So the glitches are you can only vote Democrat to turn the voters away so they go away, then they turn the machines back on, and God knows what they've done.
[02:07:16.551 --> 02:07:16.951]  Here it is.
[02:07:16.951 --> 02:07:20.294]  I don't understand what you just said.
[02:07:20.294 --> 02:07:21.314]  What did you just say?
[02:07:21.314 --> 02:07:22.816]  Okay.
[02:07:22.816 --> 02:07:23.016]  Okay.
[02:07:24.539 --> 02:07:28.063]  With this election, you can vote in any precinct.
[02:07:28.063 --> 02:07:30.365]  You said the Republican side is not what?
[02:07:30.365 --> 02:07:31.766]  I don't have stats.
[02:07:31.766 --> 02:07:33.087]  We are closed right now.
[02:07:33.087 --> 02:07:34.708]  So for the Democrat, I can vote Democrat?
[02:07:34.708 --> 02:07:35.769]  You can vote Democrat.
[02:07:35.769 --> 02:07:37.030]  But not Republican?
[02:07:37.030 --> 02:07:37.711]  Not Republican.
[02:07:37.711 --> 02:07:38.171]  I'm sorry.
[02:07:38.171 --> 02:07:38.472]  Okay.
[02:07:38.472 --> 02:07:39.132]  All right.
[02:07:39.132 --> 02:07:41.394]  Thank you.
[02:07:41.394 --> 02:07:43.096]  So you can vote Democrat.
[02:07:44.147 --> 02:07:45.508]  But you can't vote Republican.
[02:07:45.508 --> 02:07:47.870]  We have dozens of videos.
[02:07:47.870 --> 02:07:49.070]  Same thing happening.
[02:07:49.070 --> 02:07:51.032]  That's why Biden said, don't get mad.
[02:07:51.032 --> 02:07:52.293]  Don't be a terrorist.
[02:07:52.293 --> 02:07:53.794]  You're going to lose.
[02:07:53.794 --> 02:07:56.936]  And Fetterman said, I don't care if I'm 10 points behind in polls.
[02:07:56.936 --> 02:07:59.758]  I'm going to win tonight.
[02:07:59.758 --> 02:08:06.702]  And their computer system that monitors at the state level to make sure people don't vote multiple times, it went down as well.
[02:08:06.702 --> 02:08:08.904]  So that's coming up after our guest leaves us.
[02:08:08.904 --> 02:08:10.285]  But I pledged here.
[02:08:11.778 --> 02:08:14.921]  And then after this hour, it's going to be all election news right past midnight tonight.
[02:08:14.921 --> 02:08:19.985]  I pledged to myself not to get distracted from the big issues.
[02:08:19.985 --> 02:08:28.153]  And that is, whether you are in Germany, or whether you're in Sweden, or whether you're in the US, Canada, or Australia, it's all the same numbers.
[02:08:30.339 --> 02:08:30.579]  I don't
[02:08:49.227 --> 02:08:53.150]  Australia, where it's an even higher uptake of the shot, the numbers are even higher.
[02:08:53.150 --> 02:08:58.394]  82% of pregnant women who got vaccinated for COVID during the first and second trimesters suffered miscarriages.
[02:08:58.394 --> 02:09:00.516]  New England Journal of Medicine.
[02:09:00.516 --> 02:09:02.477]  It goes on and on.
[02:09:02.477 --> 02:09:07.702]  So joining us is a former member of Parliament in Australia, George Christensen, who's up in the middle of the night.
[02:09:08.382 --> 02:09:10.444]  Thank you so much for joining us.
[02:09:31.752 --> 02:09:40.055]  Well, thank you very much, Alex, and we're certainly hoping here in Australia that there's a victory for freedom in your midterm elections over there.
[02:09:40.055 --> 02:09:42.196]  I know that's very important.
[02:09:42.196 --> 02:09:48.079]  Well, tell us what you're seeing in Australia with stillbirths and miscarriages.
[02:09:48.079 --> 02:10:00.804]  Yeah, look, the Australian Bureau of Statistics collates data on various different things, and one of them that they collate is on births, and there's a chart which has just come to light.
[02:10:01.460 --> 02:10:08.577]  In recent days, which shows on average every month there is between roughly 23 to 25,000 births and that's been going on
[02:10:11.826 --> 02:10:14.087]  For a long, long time, Alex, down here.
[02:10:14.087 --> 02:10:20.831]  But interestingly, the data only goes up until November of 2021.
[02:10:20.831 --> 02:10:22.272]  December, rather, of 2021.
[02:10:22.272 --> 02:10:27.555]  And what we see in November and December are two substantial drops.
[02:10:27.555 --> 02:10:34.859]  In November of 2021, the birth rate goes from 23,000, which is ordinary in October.
[02:10:34.859 --> 02:10:37.200]  That's sort of on the lower end of normal.
[02:10:37.200 --> 02:10:38.941]  But it drops in November of 2021 down to 18,000.
[02:10:41.567 --> 02:10:43.149]  186 births.
[02:10:43.149 --> 02:10:46.811]  Now that's a 25% drop and it's shocking in itself.
[02:10:46.811 --> 02:10:51.015]  But then in December, the record that they've got there is 6,659 births.
[02:10:51.015 --> 02:10:56.079]  So a drop from an ordinary rate of 23 to say 25, 26,000 births per month to 6,659 births as recorded by the Australian Bureau of Statistics.
[02:10:56.079 --> 02:10:56.419]  That's a 72%
[02:11:09.707 --> 02:11:11.668]  Decrease in births.
[02:11:11.668 --> 02:11:16.252]  And surprise, surprise, I'm seeing nothing about this in the mainstream media.
[02:11:16.252 --> 02:11:19.054]  No discussion around it.
[02:11:19.054 --> 02:11:21.455]  Nothing from the ABS is to explain.
[02:11:21.455 --> 02:11:28.760]  And what's staggering is whether you're in Israel, Australia, Canada, the US, Germany, Sweden, UK, the graphs are almost identical.
[02:11:28.760 --> 02:11:32.003]  I mean, we've never seen a drop in 100 years in statistics like this.
[02:11:33.766 --> 02:11:34.366]  Well, that's right.
[02:11:34.366 --> 02:11:35.687]  It's extraordinary.
[02:11:35.687 --> 02:11:59.255]  Now, look, I have some people who are statisticians and economists that have looked over this and they've said to me to be careful with the December data, which is extremely low, but they said that the November data, the 18,186 or 25% drop on the lower end of normal, they said that that is the one to look at.
[02:11:59.255 --> 02:12:01.376]  That's still a massive drop, 25% reduction.
[02:12:03.562 --> 02:12:14.207]  In the birth rate in one month, and then we go into that 72% reduction, which could be, Alex, that there is more data to come in.
[02:12:14.207 --> 02:12:28.634]  But I'm a bit suspect about that claim because, you know, we're now here in November 2022, and you would think that the data for December 2021 for births would all be there in the official
[02:12:29.252 --> 02:12:34.813]  Statistical agency for the nation of Australia, but that's where we have it.
[02:12:34.813 --> 02:12:40.555]  This goes to other things which I became aware of as a member of Parliament.
[02:12:40.555 --> 02:12:43.175]  And it only confirms my suspicions.
[02:12:43.175 --> 02:12:46.136]  I knew of a doctor in Brisbane.
[02:12:46.136 --> 02:12:48.637]  His name was Dr. Luke McClendon.
[02:12:48.637 --> 02:12:49.957]  He wasn't just any old doctor.
[02:12:49.957 --> 02:12:53.198]  He was a specialist in fertility health.
[02:12:53.198 --> 02:12:58.339]  In fact, he was the president of the Australian Institute for Restorative Reproductive Medicine.
[02:12:59.285 --> 02:13:06.087]  He was fired from Brisbane's Mater Hospital and there's a lot of questions about why he was fired.
[02:13:06.087 --> 02:13:23.131]  Before he was fired, I actually met with him and he told me that he was doing research into the cohort of women that he works with as a doctor and that cohort of women is people who, or women who, if they haven't had a baby and they've been trying to have a baby,
[02:13:23.652 --> 02:13:30.278]  For over 12 months, they're put into a particular subset within the sort of fertility health sector.
[02:13:30.278 --> 02:13:37.365]  And that subset normally has a miscarriage rate of around 13 to 15 percent.
[02:13:37.365 --> 02:13:42.109]  And that's something that's known internationally with this particular subset.
[02:13:42.109 --> 02:13:44.972]  But what is post-vaccination in Australia?
[02:13:44.972 --> 02:13:45.753]  You've got to remember.
[02:13:46.269 --> 02:13:51.173]  Our vaccination rates were said to be up around 96% for the adult population.
[02:13:51.173 --> 02:13:58.580]  So a lot of jabbed people out there and they said, you know, there's no issues, go and get it if you're pregnant.
[02:13:58.580 --> 02:14:09.790]  So he looked at his cohort of patients and he saw that the number had jumped from 15% to almost half of his patients that were having miscarriages.
[02:14:09.790 --> 02:14:12.012]  He dug into the data a bit deeper, Alex.
[02:14:12.645 --> 02:14:22.732]  And what he found was, when he separated the vaccinated from the non-vaccinated patients, that amongst the unvaccinated, it was the normal 15% miscarriage rate.
[02:14:22.732 --> 02:14:26.995]  Amongst the vaccinated women, that miscarriage rate went up to 75%.
[02:14:29.440 --> 02:14:31.163]  Now, he has the data.
[02:14:31.163 --> 02:14:34.950]  Well, that's what the New England Journal of Medicine showed, 82%.
[02:14:34.950 --> 02:14:37.875]  I mean, this is the biggest naked scandal.
[02:14:37.875 --> 02:14:38.996]  It's not even hidden.
[02:14:38.996 --> 02:14:40.519]  They admit it.
[02:14:40.519 --> 02:14:43.083]  How would they think they'd get away with this, George?
[02:14:44.363 --> 02:14:53.952]  Well, just like this guy, they've fired him, they've swept it under the carpet, they've stopped his research and stopped him from being able to publish as a credentialed doctor, I guess.
[02:14:53.952 --> 02:14:56.955]  So, you know, they're trying to sweep it under the carpet.
[02:14:56.955 --> 02:15:04.843]  But as I said, with the data from the ABS, we've heard absolutely nothing about the 25% drop in the birth rate in November 2021.
[02:15:04.843 --> 02:15:05.323]  We've heard nothing.
[02:15:08.300 --> 02:15:11.863]  About the 72% drop in December 2021.
[02:15:11.863 --> 02:15:14.126]  So it really is bizarre.
[02:15:14.126 --> 02:15:21.833]  And I don't know, Alex, how long this sort of silence from government, from big corporate media, how long it can go on for.
[02:15:22.712 --> 02:15:33.000]  Because with shows like yours, with an array of new independent media coming onto the market, including here in Australia, this information is getting out there.
[02:15:33.000 --> 02:15:33.541]  It is.
[02:15:33.541 --> 02:15:34.542]  Stay right there.
[02:15:34.542 --> 02:15:37.964]  Nationfirst.substack.com.
[02:15:37.964 --> 02:15:40.306]  You're 18,000 miles away, but we're talking to you.
[02:15:40.306 --> 02:15:44.870]  I want to talk about how Australia and Canada were picked as the most draconian lockdown zones.
[02:15:45.650 --> 02:15:48.751]  Ladies and gentlemen, we always run the biggest deals of the year starting in mid-November through Christmas.
[02:15:48.751 --> 02:15:51.592]  But this year is hands down the biggest sale we've ever offered.
[02:15:51.592 --> 02:15:52.872]  Not just up to 60% off with promo code 1776.
[02:16:13.519 --> 02:16:19.345]  But on top of it, double Patriot points and what makes this the most special sale ever.
[02:16:19.345 --> 02:16:23.789]  Every order will get a free gift, no matter how small or how big.
[02:16:23.789 --> 02:16:28.194]  And it's all randomly selected by the shopping cart computer.
[02:16:28.194 --> 02:16:30.476]  So you might order a sticker pack for $5.
[02:16:30.476 --> 02:16:33.059]  You might order the blowout t-shirt sale for $4.95.
[02:16:34.620 --> 02:16:38.683]  And then get something worth $50, $60, $70, $80, $100.
[02:16:38.683 --> 02:16:41.445]  So, again, some of the gifts are sticker-packed.
[02:16:41.445 --> 02:16:43.227]  Some of them are Alex Jones Halloween masks.
[02:16:43.227 --> 02:16:47.510]  Some of them are books, films, InfoWars flags, American flags.
[02:16:47.510 --> 02:16:49.272]  There are hundreds of different items.
[02:16:49.272 --> 02:16:50.453]  It's all random.
[02:16:50.453 --> 02:16:51.994]  InfoWarsStore.com.
[02:16:51.994 --> 02:16:54.195]  Every order gets a free gift.
[02:16:54.195 --> 02:16:57.058]  Free gifts with every order at InfoWarsStore.com.
[02:16:59.745 --> 02:17:04.207]  I have been in a 28-year marathon battle with the globalists.
[02:17:04.207 --> 02:17:10.631]  I have come from nowhere, to the very heights of politics, not just in America, but in the world.
[02:17:10.631 --> 02:17:15.754]  We are engaging the globalists at point-blank range in the information war.
[02:17:15.754 --> 02:17:17.454]  But I don't deserve the credit.
[02:17:17.454 --> 02:17:23.898]  Yes, I've persevered, but the listeners and viewers who support InfoWars are the real reason we've had this success.
[02:17:24.598 --> 02:17:30.042]  We're having now the greatest victories in the fight against the New World Order we've ever had.
[02:17:30.042 --> 02:17:34.365]  We are now entering the final mile of the marathon.
[02:17:34.365 --> 02:17:43.591]  And that's why, today, it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[02:17:43.591 --> 02:17:44.952]  God bless you all.
[02:17:44.952 --> 02:17:45.993]  I salute you.
[02:17:45.993 --> 02:17:47.074]  I thank you.
[02:17:47.074 --> 02:17:52.458]  And I beg you to intensify what you're doing now because we are over the target and history is happening.
[02:17:53.078 --> 02:17:54.420]  The fight is my fight.
[02:17:54.420 --> 02:17:55.060]  It's your fight.
[02:17:55.060 --> 02:17:55.801]  It's our fight.
[02:17:55.801 --> 02:17:57.883]  God bless you all.
[02:17:57.883 --> 02:18:00.366]  Alex, why is this taking so long?
[02:18:00.366 --> 02:18:01.647]  Why is this taking so long?
[02:18:01.647 --> 02:18:05.131]  In France, they can count all the paper ballots and they're done in a day.
[02:18:05.131 --> 02:18:06.392]  Why can't we do this here?
[02:18:06.392 --> 02:18:08.935]  The answer is fraud and corruption.
[02:18:08.935 --> 02:18:14.801]  If we don't fix the system, it doesn't matter whether the Republican nominee is Donald Trump or Governor DeSanctimonious.
[02:18:14.961 --> 02:18:16.762]  They're going to deny us Michigan.
[02:18:16.762 --> 02:18:18.683]  They're going to deny us Pennsylvania.
[02:18:18.683 --> 02:18:20.603]  They're going to deny us Arizona.
[02:18:20.603 --> 02:18:31.188]  And I can't come to 270 electoral votes without any of those states where I believe there is an America First majority in every single one of them.
[02:18:31.188 --> 02:18:35.330]  So we need to keep fighting for reform of the system.
[02:18:35.330 --> 02:18:38.231]  Tucker Carlson said this better last night than anything else.
[02:18:38.231 --> 02:18:40.392]  Communications are the reason why we did well.
[02:18:40.652 --> 02:18:44.336]  That's why Infowars.com is so damn important.
[02:18:44.336 --> 02:18:47.680]  That's why they're so desperate to take you off the air, Alex.
[02:18:47.680 --> 02:18:49.902]  People need to get behind Infowars.
[02:18:49.902 --> 02:18:55.167]  This alternative media that we work so hard to bring you is vitally important.
[02:18:55.167 --> 02:18:57.710]  We need more of this communications, not less.
[02:18:58.050 --> 02:19:00.533]  Alex, why is this taking so long?
[02:19:00.533 --> 02:19:01.815]  Why is this taking so long?
[02:19:01.815 --> 02:19:05.299]  In France, they can count all the paper ballots and they're done in a day.
[02:19:05.299 --> 02:19:06.641]  Why can't we do this here?
[02:19:06.641 --> 02:19:09.124]  The answer is fraud and corruption.
[02:19:09.124 --> 02:19:14.971]  If we don't fix the system, it doesn't matter whether the Republican nominee is Donald Trump or Governor DeSanctimonious.
[02:19:15.131 --> 02:19:16.953]  They're going to deny us Michigan.
[02:19:16.953 --> 02:19:18.854]  They're going to deny us Pennsylvania.
[02:19:18.854 --> 02:19:20.776]  They're going to deny us Arizona.
[02:19:20.776 --> 02:19:31.366]  And I can't come to 270 electoral votes without any of those states where I believe there is an America First majority in every single one of them.
[02:19:31.366 --> 02:19:35.509]  So we need to keep fighting for reform of the system.
[02:19:35.509 --> 02:19:38.412]  Tucker Carlson said this better last night than anything else.
[02:19:38.412 --> 02:19:40.594]  Communications are the reason why we did well.
[02:19:40.834 --> 02:19:44.517]  That's why Infowars.com is so damn important.
[02:19:44.517 --> 02:19:47.840]  That's why they're so desperate to take you off the air, Alex.
[02:19:47.840 --> 02:19:50.082]  People need to get behind Infowars.
[02:19:50.082 --> 02:19:55.346]  This alternative media that we work so hard to bring you is vitally important.
[02:19:55.346 --> 02:19:58.689]  We need more of this communications, not less.
[02:19:58.689 --> 02:20:03.293]  Leading a frontal assault on the lies of the New World Order.
[02:20:03.293 --> 02:20:04.594]  It's Alex Jones.
[02:20:19.770 --> 02:20:19.851]  Yeah.
[02:20:48.163 --> 02:20:50.744]  George Christensen is our guest for another segment.
[02:20:50.744 --> 02:20:54.526]  Then we're going to look at the election.
[02:20:54.526 --> 02:21:04.431]  And the Democrats say it's going to stay open for weeks now, and machines failing all over the country, and people not able to vote, and so much more.
[02:21:04.431 --> 02:21:06.472]  This is a revolution, a peaceful revolution.
[02:21:06.472 --> 02:21:08.172]  They're trying to block it.
[02:21:08.172 --> 02:21:14.896]  George Christensen, 35,000 foot view of Australia, the main battleground, an island prison colony.
[02:21:16.693 --> 02:21:24.756]  Rising from the ashes back to its previous tyranny from the great decades and decades of freedom you've had to some extent.
[02:21:24.756 --> 02:21:32.338]  What has happened since all the draconian forced injections and police beating people up and banning demonstrations?
[02:21:32.338 --> 02:21:36.820]  Are Australians just brushing themselves off and forgetting what happened to them so they can come back and do it again?
[02:21:36.820 --> 02:21:38.460]  Or are they angry?
[02:21:38.460 --> 02:21:40.781]  What's happening to bring the criminals to justice?
[02:21:42.560 --> 02:21:48.083]  Look, there's a large number of people that have just unfortunately brushed themselves off and tried to forget about it.
[02:21:48.083 --> 02:21:56.887]  But on the positive side, I mean, amongst the freedom movement, as we call it here in Australia, amongst that freedom movement, there's been a coalescing.
[02:21:56.887 --> 02:21:59.469]  And this is good to see.
[02:21:59.469 --> 02:22:09.394]  They're out in force now in state elections, which we've got coming up, to try and oust those leaders, those political leaders that actually rode roughshod
[02:22:09.973 --> 02:22:10.174]  I think?
[02:22:13.908 --> 02:22:18.951]  Daniel Andrews, he's definitely in the firing line, so to speak.
[02:22:18.951 --> 02:22:31.579]  He was the one who authorised police officers to go and shoot projectiles at people, bash little old ladies in the street, that sort of thing, choke women, you know, who weren't wearing masks.
[02:22:31.579 --> 02:22:33.000]  This sort of thing was beyond the pale.
[02:22:33.000 --> 02:22:39.605]  So people are now trying to get their payback at the ballot box and by being active in elections.
[02:22:40.560 --> 02:22:42.561]  Really good to see Alex.
[02:22:42.561 --> 02:22:49.026]  But yes, sadly, there are a lot of people who just tried to put it down the memory hole.
[02:22:49.026 --> 02:23:01.315]  Unfortunately, that sort of attitude has a way of coming back to bite you because in the media just recently, what we've had is speculation that there could be another round of lockdowns before Christmas.
[02:23:01.315 --> 02:23:06.158]  And that was speculated by none other than the Chief Health Officer for Australia.
[02:23:06.158 --> 02:23:08.380]  So here we go again, perhaps.
[02:23:09.504 --> 02:23:18.647]  I think that there will be so much pushback on that if it was to happen, that it might just break the back of the whole medico tyranny that's been going on.
[02:23:18.647 --> 02:23:24.728]  And so they probably won't go there because they know that there will be immense pushback.
[02:23:24.728 --> 02:23:32.811]  And you've also got, just like the Netherlands, the WEF agenda of banning cows and sheep because of their evil methane gases they let off.
[02:23:32.811 --> 02:23:33.471]  What's happening there?
[02:23:35.009 --> 02:23:36.510]  Yeah, well, the same.
[02:23:36.510 --> 02:23:43.935]  The government here has signed up completely to the climate change cult.
[02:23:43.935 --> 02:23:51.059]  They have agreed to ban or to significantly lower methane emissions.
[02:23:51.059 --> 02:23:57.964]  That is going to definitely impact on Australian livestock, Australian cattle, Australian sheep, what have you.
[02:23:57.964 --> 02:24:00.085]  The farmers out there are incredibly worried.
[02:24:00.085 --> 02:24:01.086]  The government hasn't said.
[02:24:01.584 --> 02:24:09.431]  No, this is going to happen yet, but we've seen how it's happened in other countries and how it's happened in other countries is by the culling of the herd.
[02:24:09.431 --> 02:24:21.601]  And so whether or not we're going to have farmers have their livestock head limited, they'll have to go out and actually shoot those animals or euthanise them some way, that potentially is on the cards.
[02:24:21.601 --> 02:24:23.443]  Now, the government's saying they're not going to do that.
[02:24:24.269 --> 02:24:27.010]  I just don't understand how they're going to meet those methane emissions.
[02:24:27.010 --> 02:24:29.892]  Because they're saying the farts are bad.
[02:24:29.892 --> 02:24:31.853]  Well, that's always been part of our atmosphere.
[02:24:31.853 --> 02:24:33.934]  We've always had bovine, the buffalo.
[02:24:33.934 --> 02:24:36.996]  Every country has its own, you know, animals roaming around.
[02:24:36.996 --> 02:24:43.519]  They're literally just listing what we put off as creatures on the planet as bad to outlaws and regulators that say we're criminals.
[02:24:43.519 --> 02:24:45.220]  I mean, this is preposterous.
[02:24:46.414 --> 02:24:50.357]  Well, they want us to eat bugs, Alex, and down under here we actually are eating bugs.
[02:24:50.357 --> 02:25:00.025]  I mean, in schools, and this wasn't even communicated properly to parents, but there are a whole host of schools where they're... Same thing with the Netherlands, same thing with Canada.
[02:25:00.025 --> 02:25:03.548]  They just feed them bugs at lunch and don't ask the parents.
[02:25:03.548 --> 02:25:04.029]  That's right.
[02:25:04.029 --> 02:25:05.210]  That's what happened down here.
[02:25:05.210 --> 02:25:12.976]  It was exposed to a whole heap of schools where the kids through their canteen were being fed bug-based foods.
[02:25:12.976 --> 02:25:13.397]  That is...
[02:25:14.079 --> 02:25:15.120]  Disgusting.
[02:25:15.120 --> 02:25:30.394]  The parents should have been informed, but more than just being disgusting, there's health issues because we know that these bugs are unhealthy, that they have potentially cancer-causing side effects from eating it on a long-term basis.
[02:25:30.394 --> 02:25:35.679]  So the fact that this is being done to school kids just shows the evil intent here.
[02:25:35.679 --> 02:25:37.741]  I mean, they can't do it to the populace, so we'll prep
[02:25:38.328 --> 02:25:40.169]  The youngsters in this.
[02:25:40.169 --> 02:25:40.669]  Well, that's right.
[02:25:40.669 --> 02:25:50.794]  For those who don't know, the exoskeleton of bugs is highly carcinogenic and toxic, unless your gut's designed as an insectivore, and not many creatures are.
[02:25:50.794 --> 02:25:54.696]  Humans don't eat bugs because we're not designed to.
[02:25:54.696 --> 02:25:57.678]  We have a revulsion of it because it's toxic.
[02:25:59.417 --> 02:26:00.717]  And they made those kids do it, Alex.
[02:26:00.717 --> 02:26:07.019]  They made innocent kids across Australian schools eat their stuff without their parents knowing.
[02:26:07.019 --> 02:26:11.140]  And yet, we haven't had all hell break loose in the populace.
[02:26:11.140 --> 02:26:17.502]  I'm going to tell you, if it was one of my children that was going to school where that's happened, the principal probably wouldn't be standing.
[02:26:17.502 --> 02:26:21.603]  So, going back to my previous question, how angry are Australians?
[02:26:21.603 --> 02:26:24.584]  Is there any pushback against the criminals and what they've done?
[02:26:28.073 --> 02:26:28.954]  Yes, there is.
[02:26:28.954 --> 02:26:30.414]  I mean, there's a lot of pushback.
[02:26:30.414 --> 02:26:33.375]  There are a lot of people that want to see some form of justice.
[02:26:33.375 --> 02:26:37.436]  Whether we see that or not is yet to be seen.
[02:26:37.436 --> 02:26:41.557]  There was a small inquiry that was held into COVID.
[02:26:41.557 --> 02:26:46.038]  It did find that there was serious government overreach, so that's a good thing.
[02:26:46.038 --> 02:26:47.738]  Are any heads going to roll over it?
[02:26:47.738 --> 02:26:48.359]  No.
[02:26:48.359 --> 02:26:52.260]  So there's been a continual call for a Royal Commission.
[02:26:52.260 --> 02:26:53.480]  Now, a Royal Commission has
[02:26:54.065 --> 02:27:03.787]  Wide-ranging powers, they can recommend charges, be put against people, and so there's a lot of us that are still pushing for something like that.
[02:27:03.787 --> 02:27:10.288]  But the problem with it is, Alex, that we move away from one problem and then another problem is put before us.
[02:27:10.288 --> 02:27:18.850]  Right now, the government is using a whole spate of very conveniently timed cyber attacks or hacks
[02:27:19.426 --> 02:27:26.429]  on big businesses to push for a digital identity system to be introduced in a compulsory way here in Australia.
[02:27:26.429 --> 02:27:29.931]  And so that's the next fight that's looming for freedom here.
[02:27:29.931 --> 02:27:34.473]  And, you know, we've had all of these major hacks that have happened in a very short period of time.
[02:27:34.473 --> 02:27:36.354]  It's very strange how that happens.
[02:27:36.354 --> 02:27:39.356]  And of course, the government then stands up and says, we'll be your white knight.
[02:27:39.356 --> 02:27:40.776]  We'll protect you, Australian public.
[02:27:40.776 --> 02:27:46.899]  We'll get all of your data and we'll put it into a hub for safekeeping.
[02:27:46.899 --> 02:27:48.500]  We'll make you do it compulsorily.
[02:27:49.573 --> 02:27:59.237]  And it sort of begs belief because if they can hack these major companies, I think they can hack the Australian government as well and get all the data that's kept centrally.
[02:27:59.237 --> 02:28:00.258]  So it doesn't make sense.
[02:28:00.258 --> 02:28:01.838]  It's not about protecting people.
[02:28:01.838 --> 02:28:06.741]  This is about, again, trampling over our freedoms, trampling over our privacy.
[02:28:06.741 --> 02:28:08.541]  It's about big government, big brother, Alex.
[02:28:08.541 --> 02:28:09.802]  That's all we can see.
[02:28:09.802 --> 02:28:13.363]  So to answer your question, the movement is angry.
[02:28:13.363 --> 02:28:14.564]  The movement is out there.
[02:28:14.960 --> 02:28:22.811]  Punching on at elections, the movement is wanting to take down some of the people responsible for this medico tyranny we saw in Australia.
[02:28:22.811 --> 02:28:28.600]  But the movement's also going to be aware of the challenges that are coming around the corner and they're constantly coming at us, Alex.
[02:28:31.738 --> 02:28:37.319]  Well, I really want to appreciate you, George Christensen, for what you're doing, and we're all Australian, what you've gone through.
[02:28:37.319 --> 02:28:38.940]  It's like we're all North Korean.
[02:28:38.940 --> 02:28:41.540]  Anybody under tyranny is going to be us tomorrow.
[02:28:41.540 --> 02:28:47.202]  We're all communist Chinese because that really is the model for the planet, and we really appreciate you, sir.
[02:28:47.202 --> 02:28:49.422]  Thank you so much for everything you do.
[02:28:49.422 --> 02:28:57.624]  We'll put your Substack up on screen because it's so incredibly important, and I hope everybody will visit your site, nationfirst.substack.com.
[02:28:57.944 --> 02:29:09.429]  Until about 150 years ago, cultures all over the world believed that people got sick and died in many cases in the winter because of something called vapors.
[02:29:09.429 --> 02:29:13.891]  They associated these poisonous vapors with cold weather.
[02:29:13.891 --> 02:29:17.853]  Of course, it wasn't the cold weather or catching a chill that killed people.
[02:29:17.853 --> 02:29:22.295]  What was killing people was a lack of vitamin D3.
[02:29:22.295 --> 02:29:23.356]  You see, the sun
[02:29:24.036 --> 02:29:24.396]  I think so.
[02:29:47.998 --> 02:29:51.761]  At InfoWarStore.com with promo code 1776.
[02:29:51.761 --> 02:29:52.462]  Don't wait!
[02:29:52.462 --> 02:29:56.745]  Support the InfoWar and your immune system with vitamin D3 gummies at InfoWarStore.com.
[02:29:57.958 --> 02:30:18.571]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[02:30:19.071 --> 02:30:32.201]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[02:30:32.201 --> 02:30:41.047]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[02:30:41.047 --> 02:30:47.312]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[02:30:47.552 --> 02:30:48.995]  So, continue to do it.
[02:30:48.995 --> 02:30:51.198]  Go to places like Infowarsstore.com.
[02:30:51.198 --> 02:30:53.302]  Go to the places like Save Infowars.
[02:30:53.302 --> 02:30:58.250]  Continue to keep Infowars alive, because in the process, you're keeping American liberty alive.
[02:30:58.832 --> 02:31:07.374]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[02:31:07.374 --> 02:31:16.996]  And it's absolutely absurd for anyone to take our election seriously when we just, it's election month, Alex, it's not election day.
[02:31:16.996 --> 02:31:18.676]  And that's the problem.
[02:31:18.676 --> 02:31:21.436]  And everything changed after COVID-19.
[02:31:21.436 --> 02:31:24.197]  They illegally changed state elections.
