[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[2:22:08.000 --> 2:22:12.000]  Not only that it's at public libraries, but public schools now as well.
[2:22:12.000 --> 2:22:14.000]  Yeah, the sexualization of children is going on.
[2:22:14.000 --> 2:22:16.000]  Leave the kids alone.
[2:22:16.000 --> 2:22:23.000]  I mean, if a man came in and wanted to talk about his sexual preferences to your kid at a park, he'd go to shit.
[2:22:23.000 --> 2:22:25.000]  Well, here's what a meme is, really.
[2:22:25.000 --> 2:22:27.000]  To me, it's multi-dimensional.
[2:22:27.000 --> 2:22:35.000]  There's the meme moment when you're actually making a meme, like when Age Skrillex comes up to me and says,
[2:22:35.000 --> 2:22:37.000]  You're an effing white male.
[2:22:37.000 --> 2:22:39.000]  And he's an effing white male.
[2:22:39.000 --> 2:22:40.000]  That's a meme.
[2:22:40.000 --> 2:22:43.000]  And the other guy goes, Yeah, it's horrible.
[2:22:43.000 --> 2:22:45.000]  All white males are bad.
[2:22:45.000 --> 2:22:47.000]  And he's a white male.
[2:22:47.000 --> 2:22:53.000]  So, or you running down the guy that poured coffee on you in Seattle, that's a meme moment.
[2:22:53.000 --> 2:22:56.000]  You run the guy down the street, he pours coffee on you.
[2:22:56.000 --> 2:22:57.000]  That becomes a meme.
[2:22:57.000 --> 2:22:58.000]  Yeah, there's Carl the Cuck.
[2:22:58.000 --> 2:23:00.000]  So those are meme moments.
[2:23:00.000 --> 2:23:03.000]  Then there's the actual literal meme.
[2:23:03.000 --> 2:23:04.000]  Chain reaction.
[2:23:04.000 --> 2:23:05.000]  Yes.
[2:23:05.000 --> 2:23:11.000]  Or the NPC, that's like meme magic, where the NPC meme represents what's going on in real life.
[2:23:11.000 --> 2:23:16.000]  But then there's the literal, just physical representation of meme, which is an art form now,
[2:23:16.000 --> 2:23:18.000]  which is like an image, like an NPC that didn't become...
[2:23:18.000 --> 2:23:20.000]  And so in Mexico, they've got a lot of bandit.
[2:23:20.000 --> 2:23:22.000]  They have banned them in the EU.
[2:23:22.000 --> 2:23:24.000]  Of course it isn't stopping anything.
[2:23:24.000 --> 2:23:25.000]  They're saying jail time.
[2:23:25.000 --> 2:23:27.000]  Just you made an image and put words on it.
[2:23:27.000 --> 2:23:28.000]  It's like when...
[2:23:28.000 --> 2:23:29.000]  Language is banned.
[2:23:29.000 --> 2:23:30.000]  The wheel is banned.
[2:23:30.000 --> 2:23:31.000]  Fire is banned.
[2:23:31.000 --> 2:23:32.000]  Yeah, yeah.
[2:23:32.000 --> 2:23:34.000]  But hey, Merkel still just got kicked out of office.
[2:23:34.000 --> 2:23:35.000]  When us...
[2:23:35.000 --> 2:23:38.000]  We just saw the Trump of Brazil get elected.
[2:23:38.000 --> 2:23:41.000]  Yeah, Italy is moving nationalists now as well.
[2:23:41.000 --> 2:23:43.000]  So 1776 worldwide.
[2:23:43.000 --> 2:23:45.000]  Globalism has failed.
[2:23:45.000 --> 2:23:48.000]  Facebook and Twitter are getting ready to tank and they're stock.
[2:23:48.000 --> 2:23:49.000]  That's already admitted.
[2:23:49.000 --> 2:23:51.000]  So listen, you have a big announcement to make.
[2:23:51.000 --> 2:23:53.000]  We're going to make it in just a moment.
[2:23:53.000 --> 2:23:55.000]  But I've got also the serious news.
[2:23:55.000 --> 2:23:57.000]  I feel good about things right now and in my spirit.
[2:23:57.000 --> 2:24:00.000]  Because I felt like things would tuck and go until like this morning.
[2:24:00.000 --> 2:24:02.000]  And I do go off the sixth sense.
[2:24:02.000 --> 2:24:03.000]  I pick it up.
[2:24:03.000 --> 2:24:05.000]  I feel like a big wait spin lets it off me.
[2:24:05.000 --> 2:24:09.000]  Like I said before the last election, the one we won, a bigger weight came on because
[2:24:09.000 --> 2:24:11.000]  of the enemy combination came in.
[2:24:11.000 --> 2:24:17.000]  But I am really concerned about them infiltrating because most militias are infiltrated by leftist
[2:24:17.000 --> 2:24:19.000]  ADL, Southern Private Law Center operatives.
[2:24:19.000 --> 2:24:20.000]  That's a fact.
[2:24:20.000 --> 2:24:24.000]  And any time a militia leader goes, shut up, don't you defend.
[2:24:24.000 --> 2:24:28.000]  When I'm not saying he's a fed or she's a fed, I'm saying you've been infiltrated.
[2:24:28.000 --> 2:24:29.000]  It's a fact.
[2:24:29.000 --> 2:24:30.000]  People try to provocateur.
[2:24:30.000 --> 2:24:31.000]  Watch your butt.
[2:24:31.000 --> 2:24:33.000]  I believe in militias are in the Constitution.
[2:24:33.000 --> 2:24:36.000]  They're in the Second Amendment.
[2:24:36.000 --> 2:24:41.000]  But I'm telling you, the ace card in Soros' dirty little hand within rushing the buses
[2:24:41.000 --> 2:24:42.000]  up to the border.
[2:24:42.000 --> 2:24:44.000]  People are like, oh, don't worry, Alex.
[2:24:44.000 --> 2:24:48.000]  It'll take them 100 days to get to the border 20 miles a day.
[2:24:48.000 --> 2:24:49.000]  They're being bused up.
[2:24:49.000 --> 2:24:50.000]  They're on flatbacks.
[2:24:50.000 --> 2:24:53.000]  And of course it's paid for by Soros on record.
[2:24:53.000 --> 2:24:55.000]  That's come out in the news.
[2:24:55.000 --> 2:24:57.000]  So they're coming.
[2:24:57.000 --> 2:24:59.000]  They want to hit a few days before the election.
[2:24:59.000 --> 2:25:05.000]  And they're going to hire people that are civilians that go, I hate Mexicans and big
[2:25:05.000 --> 2:25:08.000]  potbellied guy who works at some part of the law center.
[2:25:08.000 --> 2:25:12.000]  He'll run up, hit a little girl and go, like WWF wrestling.
[2:25:12.000 --> 2:25:13.000]  I'm telling you, it's coming.
[2:25:13.000 --> 2:25:14.000]  Well, it's just common sense.
[2:25:14.000 --> 2:25:20.000]  Of course, there's going to be provocateurs trying to engage in some sort of chicanery.
[2:25:20.000 --> 2:25:24.000]  Just like with Rand Paul, when he was about to win the Senate, they had Democrat party
[2:25:24.000 --> 2:25:28.000]  operatives literally wearing overalls and hay seats going, I hate black people.
[2:25:28.000 --> 2:25:29.000]  I hate Mexicans.
[2:25:29.000 --> 2:25:32.000]  And then we did Google searches on their face.
[2:25:32.000 --> 2:25:36.000]  And it's like, it's the deputy head of the regional campaign.
[2:25:36.000 --> 2:25:39.000]  They think we're that like vaccine overalls.
[2:25:39.000 --> 2:25:41.000]  How you do that, boy?
[2:25:41.000 --> 2:25:42.000]  I like Rand Paul.
[2:25:42.000 --> 2:25:44.000]  I mean, how dumb do they think we are?
[2:25:44.000 --> 2:25:47.000]  Well, I think they're going to actually have people inside the caravan.
[2:25:47.000 --> 2:25:49.000]  And who knows, you know, you throw.
[2:25:49.000 --> 2:25:51.000]  I like the KKK.
[2:25:51.000 --> 2:25:52.000]  And I like to.
[2:25:52.000 --> 2:25:58.000]  Or you throw up a firework from, you know, the other side of the border, you're on, you're
[2:25:58.000 --> 2:25:59.000]  in the caravan.
[2:25:59.000 --> 2:26:01.000]  You throw some fireworks over now that, you know, got the military over there.
[2:26:01.000 --> 2:26:02.000]  They're spooks.
[2:26:02.000 --> 2:26:03.000]  They don't know what's going on.
[2:26:03.000 --> 2:26:04.000]  So and then boom, there it is.
[2:26:04.000 --> 2:26:07.000]  You know, there, there's a shot heard around the world.
[2:26:07.000 --> 2:26:08.000]  That's what Soros is betting on.
[2:26:08.000 --> 2:26:10.000]  And we can't let him keep betting and losing.
[2:26:10.000 --> 2:26:12.000]  Keep trying to do this.
[2:26:12.000 --> 2:26:16.000]  He's a clear and present criminal like Lou Dobbs said he needs to be arrested.
[2:26:16.000 --> 2:26:21.000]  And of course, who is right there to try to get Lou Dobbs kicked off of Fox business?
[2:26:21.000 --> 2:26:22.000]  Oliver Darcy.
[2:26:22.000 --> 2:26:24.000]  I love it does.
[2:26:24.000 --> 2:26:25.000]  Brian Stelter.
[2:26:25.000 --> 2:26:29.000]  So you're not allowed in public even say how dare you be in First Amendment.
[2:26:29.000 --> 2:26:36.000]  They're like, oh, oh, oh, oh, down flies the Valkyries of big tech protecting their
[2:26:36.000 --> 2:26:37.000]  little nestling.
[2:26:37.000 --> 2:26:39.000]  He's a little retarded.
[2:26:39.000 --> 2:26:42.000]  I feel like Stelter and Darcy.
[2:26:42.000 --> 2:26:46.000]  I feel like they haven't gotten the memo that it's only Halloween one night a year.
[2:26:46.000 --> 2:26:52.000]  I mean, this is what they've got up against this losers, man, they'll never win.
[2:26:52.000 --> 2:26:53.000]  Just look at that guy.
[2:26:53.000 --> 2:26:56.000]  Just look at that slime bucket.
[2:26:56.000 --> 2:27:00.000]  That and that guy's got access to everything on you know, and you the tech companies have
[2:27:00.000 --> 2:27:04.000]  given him codes to everybody's websites, your private mail.
[2:27:04.000 --> 2:27:06.000]  He's got, he's a super operative.
[2:27:06.000 --> 2:27:11.000]  And that's the type of filth that CNN, the leftist CIA, that breakaway group, this is
[2:27:11.000 --> 2:27:12.000]  who they elevate.
[2:27:12.000 --> 2:27:14.000]  They go, Stelter, you look like a child molester.
[2:27:14.000 --> 2:27:16.000]  You're going to the full command base.
[2:27:16.000 --> 2:27:20.000]  And then yesterday, you were talking about one of the Fox News hosts in his body language.
[2:27:20.000 --> 2:27:23.000]  You can just tell how contrived it all is.
[2:27:23.000 --> 2:27:25.000]  Fake Beto is the exact same way.
[2:27:25.000 --> 2:27:32.000]  I mean, you can tell all, you know, Beto is Spanish means it means horsemaner.
[2:27:32.000 --> 2:27:34.000]  No, I did not know that.
[2:27:34.000 --> 2:27:35.000]  Remember when I interviewed him?
[2:27:35.000 --> 2:27:36.000]  Well, I thought that was Beto.
[2:27:36.000 --> 2:27:37.000]  I didn't know that was horse manure.
[2:27:37.000 --> 2:27:39.000]  I thought that was just Beto.
[2:27:39.000 --> 2:27:45.000]  I thought that was me, Jones interviews poop calling it Beto and now I've equated Beto
[2:27:45.000 --> 2:27:46.000]  with horse manure all over the nation.
[2:27:46.000 --> 2:27:47.000]  No, wait a second.
[2:27:47.000 --> 2:27:50.000]  I mean, horse manure, horse manure is a good fertilizer though.
[2:27:50.000 --> 2:27:55.000]  I mean, it has a use.
[2:27:55.000 --> 2:28:00.000]  I remember when Antifa vandalized the Beto mural in Austin, Texas.
[2:28:00.000 --> 2:28:01.000]  And that was really them.
[2:28:01.000 --> 2:28:03.000]  White gentrifier, which he actually is.
[2:28:03.000 --> 2:28:05.000]  He's like a billionaire.
[2:28:05.000 --> 2:28:06.000]  His mom's a famous Democrat.
[2:28:06.000 --> 2:28:08.000]  Everything he says is a lie.
[2:28:08.000 --> 2:28:09.000]  He's so fake.
[2:28:09.000 --> 2:28:11.000]  It's unbelievable how fake this guy is.
[2:28:11.000 --> 2:28:12.000]  He has a, he's just like Obama.
[2:28:12.000 --> 2:28:15.000]  And I'm going to tell you, he's just like a white guy, Obama.
[2:28:15.000 --> 2:28:18.000]  And we're going to deal with this and we're going to ban the assault rivals.
[2:28:18.000 --> 2:28:19.000]  And I'm a real Texan.
[2:28:19.000 --> 2:28:22.000]  My name's Beto, even though I never was called out before.
[2:28:22.000 --> 2:28:24.000]  Hey Hispanics, I've got a name like you.
[2:28:24.000 --> 2:28:26.000]  I'm really cool.
[2:28:26.000 --> 2:28:27.000]  Haha.
[2:28:27.000 --> 2:28:28.000]  The Hispanic.
[2:28:28.000 --> 2:28:30.000]  I'm the real Hispanic, not Ted Cruz.
[2:28:30.000 --> 2:28:32.000]  I'm Beto O'Rourke.
[2:28:32.000 --> 2:28:35.000]  Did you know O'Rourke is Spanish or lying filth?
[2:28:35.000 --> 2:28:39.000]  Did you know that he actually applied to be in the Hispanic Heritage Caucus
[2:28:39.000 --> 2:28:40.000]  and he got rejected?
[2:28:40.000 --> 2:28:42.000]  Yeah, because he has no Hispanic heritage.
[2:28:42.000 --> 2:28:43.000]  He identifies as Hispanic.
[2:28:43.000 --> 2:28:45.000]  He's like Elizabeth Warren.
[2:28:45.000 --> 2:28:47.000]  I mean, you know, that's the Democrat stolen valor.
[2:28:47.000 --> 2:28:51.000]  Give valor to minorities and then steal it by claiming you're a minority.
[2:28:51.000 --> 2:28:53.000]  That's what the Democrats do.
[2:28:53.000 --> 2:28:55.000]  They'll be right back.
[2:28:55.000 --> 2:28:57.000]  Hi, I'm Dan Pilla.
[2:28:57.000 --> 2:28:59.000]  I started fighting the IRS over 40 years ago
[2:28:59.000 --> 2:29:01.000]  when they tried to seize my mother's house.
[2:29:01.000 --> 2:29:02.000]  I sued the IRS and won.
[2:29:02.000 --> 2:29:05.000]  I beat the IRS then and I've been beating them ever since.
[2:29:05.000 --> 2:29:07.000]  I wrote the book on tax debt settlement
[2:29:07.000 --> 2:29:09.000]  and I've helped thousands of people deal with tax problems
[2:29:09.000 --> 2:29:11.000]  they thought might never be solved.
[2:29:11.000 --> 2:29:12.000]  I can help you too.
[2:29:12.000 --> 2:29:15.000]  If you owe taxes you can't pay, don't wait another day.
[2:29:15.000 --> 2:29:17.000]  There's no such thing as a hopeless tax case.
[2:29:17.000 --> 2:29:21.000]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[2:29:21.000 --> 2:29:25.000]  That's danpilla.com, danpilla.com.
[2:29:25.000 --> 2:29:28.000]  Water is the single most important thing your body needs.
[2:29:28.000 --> 2:29:32.000]  So you want to be sure it's the best for you and your family.
[2:29:32.000 --> 2:29:36.000]  Since 2005, thousands have depended on Berkey purified water.
[2:29:36.000 --> 2:29:40.000]  The Berkey guy provides the lowest price filtration systems in every size.
[2:29:40.000 --> 2:29:44.000]  For incredibly delicious water now and in an emergency,
[2:29:44.000 --> 2:29:46.000]  get to goberkey.com.
[2:29:46.000 --> 2:29:50.000]  Or call 877-886-3653.
[2:29:50.000 --> 2:29:53.000]  877-886-3653.
[2:29:53.000 --> 2:29:56.000]  Go Berkey.com.
[2:29:56.000 --> 2:29:59.000]  It's really hard to have the energy at the end of the day
[2:29:59.000 --> 2:30:03.000]  to still get to the gym or to go for a run or go to the park
[2:30:03.000 --> 2:30:05.000]  or heck even take your dog for a walk.
[2:30:05.000 --> 2:30:06.000]  Believe me, I know.
[2:30:06.000 --> 2:30:08.000]  I spend hours in front of a screen
[2:30:08.000 --> 2:30:11.000]  and then hours in front of bright lights every day.
[2:30:11.000 --> 2:30:14.000]  But thanks to supermailvitality at infowarstore.com,
[2:30:14.000 --> 2:30:16.000]  I still have that energy.
[2:30:16.000 --> 2:30:19.000]  There's no way I could have the energy at the end of a long day
[2:30:19.000 --> 2:30:22.000]  to fight back against the chemicals and the food and water
[2:30:22.000 --> 2:30:24.000]  to fight back against the modern day lifestyle
[2:30:24.000 --> 2:30:26.000]  with the screen time and the extended hours
[2:30:26.000 --> 2:30:30.000]  to still have the stamina and endurance, energy and drive
[2:30:30.000 --> 2:30:32.000]  to get to the gym, get to the park
[2:30:32.000 --> 2:30:36.000]  and get exercise that you need for your health.
[2:30:36.000 --> 2:30:39.000]  So go to infowarstore.com and get supermailvitality
[2:30:39.000 --> 2:30:40.000]  before it's gone.
[2:30:40.000 --> 2:30:44.000]  This is actually our last run of supermailvitality.
[2:30:44.000 --> 2:30:49.000]  So I want you to experience supermailvitality before it's too late.
[2:30:49.000 --> 2:30:55.000]  Unleash the supermail in use at supermailvitality.com.
[2:31:20.000 --> 2:31:22.000]  With our powerhouse formula,
[2:31:22.000 --> 2:31:26.000]  HAPPYS can be an important part of your daily supplement routine.
[2:31:26.000 --> 2:31:29.000]  With poor diet and the constant on and off of your work life,
[2:31:29.000 --> 2:31:32.000]  it's more important than ever to support your body
[2:31:32.000 --> 2:31:34.000]  in the fight against stress.
[2:31:34.000 --> 2:31:39.000]  With powerful ingredients combined to help support the mind and body,
[2:31:39.000 --> 2:31:41.000]  HAPPYS helps support during stress,
[2:31:41.000 --> 2:31:45.000]  promotes overall well-being and helps support your mood.
[2:31:45.000 --> 2:31:47.000]  Don't live your life bogged down.
[2:31:47.000 --> 2:31:51.000]  Help your body overcome the effects of daily stress and pressure today
[2:31:51.000 --> 2:31:56.000]  with HAPPYS from infowarstore.com.
[2:31:56.000 --> 2:32:01.000]  Words cannot describe how big the stakes are for the future of humanity right now.
[2:32:01.000 --> 2:32:04.000]  InfoWords is being openly targeted by the Democratic Party,
[2:32:04.000 --> 2:32:07.000]  left to CIA operatives, the corrupt justice department
[2:32:07.000 --> 2:32:10.000]  and the entire Soros crime syndicate.
[2:32:10.000 --> 2:32:12.000]  People say, why would you start a fight with them?
[2:32:12.000 --> 2:32:15.000]  Because they were already dominating and running America into the ground
[2:32:15.000 --> 2:32:18.000]  and I knew we had no future if we didn't do this.
[2:32:18.000 --> 2:32:20.000]  So we've already had incredible success,
[2:32:20.000 --> 2:32:23.000]  but if you will simply realize how epic this is
[2:32:23.000 --> 2:32:25.000]  and understand how real this fight is
[2:32:25.000 --> 2:32:27.000]  and why we've been made the main target
[2:32:27.000 --> 2:32:29.000]  and if you financially support us
[2:32:29.000 --> 2:32:33.000]  and if you spread the word about our articles and videos at infowords.com,
[2:32:33.000 --> 2:32:38.000]  we won't just continue to stand up against these brutal scumbags, we'll win.
[2:32:38.000 --> 2:32:41.000]  We have huge sales at infowordsstore.com right now.
[2:32:41.000 --> 2:32:45.000]  And we're still able to operate the shopping cart, get stuff shipped out to you
[2:32:45.000 --> 2:32:47.000]  despite the fact that we're trying to block our commerce
[2:32:47.000 --> 2:32:49.000]  and you're right to the market.
[2:32:49.000 --> 2:32:51.000]  But if you don't stand up and support us financially,
[2:32:51.000 --> 2:32:53.000]  Soros and the global Spain win.
[2:32:53.000 --> 2:33:12.000]  And if you support us financially at infowords.com, we'll win.
[2:33:23.000 --> 2:33:33.000]  You know, we get so much incredible footage
[2:33:33.000 --> 2:33:38.000]  that a lot of times, especially with this band off of YouTube, Facebook, everything else,
[2:33:38.000 --> 2:33:41.000]  you didn't get out there unless you get excited about it.
[2:33:41.000 --> 2:33:47.000]  But the footage we've got of a Beto O'Rourke Obama supporter
[2:33:47.000 --> 2:33:52.000]  is solid gold when it comes to showing how the left operates
[2:33:52.000 --> 2:33:56.000]  because we were there last Monday at the Trump event in Houston.
[2:33:56.000 --> 2:33:58.000]  And I'm like, where are the protesters?
[2:33:58.000 --> 2:34:01.000]  They go, oh, they're over there. There was like 15 of them.
[2:34:01.000 --> 2:34:03.000]  By night time, there was about 30.
[2:34:03.000 --> 2:34:07.000]  And they were literally saying to me, you're a Nazi,
[2:34:07.000 --> 2:34:09.000]  you need to go to prison, you're a Russian agent.
[2:34:09.000 --> 2:34:11.000]  I'm like, well, the Nazis fought the Russians.
[2:34:11.000 --> 2:34:14.000]  They just, there's no, there's not even, like, no, I'm an American,
[2:34:14.000 --> 2:34:18.000]  not some failed thing from 75 years ago in Germany.
[2:34:18.000 --> 2:34:24.000]  And it's just Nazi KKK, go away, no borders, no walls, no USA at all.
[2:34:24.000 --> 2:34:28.000]  And I'm just looking at the enemy of this country when you were there, Owen.
[2:34:28.000 --> 2:34:33.000]  And we were just trying to walk back by and he's saying, I'm going to rape you.
[2:34:33.000 --> 2:34:34.000]  I'm going to come over there.
[2:34:34.000 --> 2:34:37.000]  And I'm going to, a lot of this we have to bleep because of family audiences.
[2:34:37.000 --> 2:34:40.000]  We're going to post this to infowars.com the next hour
[2:34:40.000 --> 2:34:43.000]  so you can get it out to people that Owen has a huge announcement we're going to get to right now.
[2:34:43.000 --> 2:34:48.000]  But this is crazy eyed Beto supporter threatens to rape Alex Jones.
[2:34:48.000 --> 2:34:51.000]  By the way, this is in front of behind him and around the side,
[2:34:51.000 --> 2:34:57.000]  the police chief and like 50 police and the SWAT team just happened to be set up there
[2:34:57.000 --> 2:34:59.000]  because Trump was about to come by in about an hour.
[2:34:59.000 --> 2:35:05.000]  So he's right by the motor case route and he's right by the Toyota center.
[2:35:05.000 --> 2:35:08.000]  Well, you were there, Owen, set this up for people.
[2:35:08.000 --> 2:35:12.000]  Well, what they had was like a fenced off area for these people, actually.
[2:35:12.000 --> 2:35:17.000]  And so they were kind of trying to keep them separated, I guess, from the general public.
[2:35:17.000 --> 2:35:18.000]  It's a free speech show.
[2:35:18.000 --> 2:35:21.000]  And they had the stupid, the same balloon from London.
[2:35:21.000 --> 2:35:22.000]  The Trump balloon.
[2:35:22.000 --> 2:35:23.000]  The Trump baby.
[2:35:23.000 --> 2:35:26.000]  But this guy is just shouting obnoxiously at you with the bullhorn
[2:35:26.000 --> 2:35:28.000]  and just looking like a crazed individual.
[2:35:28.000 --> 2:35:32.000]  Well, if I said to anybody, I should be arrested, I'm coming to rape you.
[2:35:32.000 --> 2:35:35.000]  I'm going to shove a yardstick three feet up your rear end and kill you.
[2:35:35.000 --> 2:35:36.000]  I'm coming over.
[2:35:36.000 --> 2:35:37.000]  I'm going to kill you.
[2:35:37.000 --> 2:35:38.000]  I should be arrested.
[2:35:38.000 --> 2:35:40.000]  I didn't ask the cops to arrest him.
[2:35:40.000 --> 2:35:43.000]  As you said, officers, did he escape from mental institution?
[2:35:43.000 --> 2:35:46.000]  Well, I'm sorry, but they were just showing the b-roll of that day.
[2:35:46.000 --> 2:35:48.000]  And I just kind of refreshed my memory.
[2:35:48.000 --> 2:35:51.000]  The 15 people that were out there, I mean, it's sad, Alex.
[2:35:51.000 --> 2:35:53.000]  These people really, look, it's frustrating.
[2:35:53.000 --> 2:35:56.000]  But these people probably really do belong in mental institutions, some of them.
[2:35:56.000 --> 2:36:01.000]  And, you know, it's frustrating that these are the people that the left activates to come out here.
[2:36:01.000 --> 2:36:02.000]  We should put a meme out.
[2:36:02.000 --> 2:36:03.000]  We haven't done it yet.
[2:36:03.000 --> 2:36:04.000]  Gut flexor.
[2:36:04.000 --> 2:36:05.000]  That was your meme, wasn't it?
[2:36:05.000 --> 2:36:06.000]  Yeah, the Gut flexor.
[2:36:06.000 --> 2:36:07.000]  We should do a whole video about it.
[2:36:07.000 --> 2:36:08.000]  Do the Gut flexor.
[2:36:08.000 --> 2:36:11.000]  Well, the Gut flexor was originally a football coach for the Cleveland Browns.
[2:36:11.000 --> 2:36:12.000]  That was the original meme.
[2:36:12.000 --> 2:36:14.000]  But I'd never seen it in person.
[2:36:14.000 --> 2:36:17.000]  This guy, again, one of the guys probably belongs in the mental institution, Alex.
[2:36:17.000 --> 2:36:19.000]  But yeah, you know, he shouts with the whole team.
[2:36:19.000 --> 2:36:23.000]  And they do this thing, like, when I'm at dinner sometimes, in a leftist area,
[2:36:23.000 --> 2:36:25.000]  because I still go wherever I want to, wherever I want.
[2:36:25.000 --> 2:36:28.000]  And they'll come over and knock my ass to you over.
[2:36:28.000 --> 2:36:31.000]  And they'll go, shame, shame, shame.
[2:36:31.000 --> 2:36:32.000]  Boo!
[2:36:32.000 --> 2:36:34.000]  And they'll tell the waiter, how dare you serve this man?
[2:36:34.000 --> 2:36:37.000]  And they'll go, I'm glad you lost your family.
[2:36:37.000 --> 2:36:38.000]  And I'll be sitting there with all my kids.
[2:36:38.000 --> 2:36:41.000]  I'm going, OK, dude, mental institution.
[2:36:41.000 --> 2:36:42.000]  Bye-bye.
[2:36:42.000 --> 2:36:43.000]  You're the one with the problem.
[2:36:43.000 --> 2:36:45.000]  This is why I'm doing this, is to stop you.
[2:36:45.000 --> 2:36:50.000]  But they would just shake their heads and go, we're going to rape and kill you.
[2:36:50.000 --> 2:36:52.000]  You're such a Nazi.
[2:36:52.000 --> 2:36:56.000]  Like they're smiling at me like they're in junior high and I'm not at the cool table.
[2:36:56.000 --> 2:36:57.000]  It's like getting to me.
[2:36:57.000 --> 2:37:00.000]  And they're like, dude, in junior high, I was dating the high school chicks.
[2:37:00.000 --> 2:37:03.000]  In high school, I was dating the college chicks.
[2:37:03.000 --> 2:37:06.000]  I wanted to get out of the cafeteria.
[2:37:06.000 --> 2:37:10.000]  OK, lunch, I had the high school girls picking me up the parking lot, OK, dude?
[2:37:10.000 --> 2:37:11.000]  Bringing me hamburgers.
[2:37:11.000 --> 2:37:12.000]  I'm not bragging.
[2:37:12.000 --> 2:37:16.000]  I kind of skipped not being at the cool table at lunch, you know?
[2:37:16.000 --> 2:37:21.000]  Well, you look at these people, though, again, whether it's a Beto protest or I've covered
[2:37:21.000 --> 2:37:25.000]  so many of these Trump protests, a lot of these people just genuinely probably belong
[2:37:25.000 --> 2:37:26.000]  in a mental institution.
[2:37:26.000 --> 2:37:27.000]  But it's the same thing, Alex.
[2:37:27.000 --> 2:37:31.000]  They'll run up to me if I'm doing a live stream like I was in Washington, D.C. over the weekend.
[2:37:31.000 --> 2:37:33.000]  They say, gay frog, gay frog.
[2:37:33.000 --> 2:37:35.000]  And I'm like, well, hey, hold on.
[2:37:35.000 --> 2:37:36.000]  There's a conversation.
[2:37:36.000 --> 2:37:37.000]  You know, what are you talking about?
[2:37:37.000 --> 2:37:38.000]  Gay frogs.
[2:37:38.000 --> 2:37:40.000]  Alex Jones thinks the chemicals are turning the frogs gay.
[2:37:40.000 --> 2:37:42.000]  And I'm like, yeah, well, have you ever heard of Atrazine?
[2:37:42.000 --> 2:37:43.000]  There's a scientific study.
[2:37:43.000 --> 2:37:44.000]  It comes out of Berkeley.
[2:37:44.000 --> 2:37:45.000]  There's PBS shows.
[2:37:45.000 --> 2:37:46.000]  There's videos.
[2:37:46.000 --> 2:37:48.000]  And then, you know, it's well documented.
[2:37:48.000 --> 2:37:50.000]  Oh, OK, you fascist, Nazi scum.
[2:37:50.000 --> 2:37:51.000]  You're racist.
[2:37:51.000 --> 2:37:52.000]  Wait.
[2:37:52.000 --> 2:37:53.000]  I thought we were going to...
[2:37:53.000 --> 2:37:56.000]  Actually, George Soros is the race beta that wants to destroy Israel and work for Israel.
[2:37:56.000 --> 2:37:57.000]  I thought we were going to talk about gay frogs.
[2:37:57.000 --> 2:37:58.000]  Now, you know, I'm a racist, apparently.
[2:37:58.000 --> 2:37:59.000]  Yeah, but whatever.
[2:37:59.000 --> 2:38:04.000]  And yeah, the sad part about the gay frog stuff is they start having sex.
[2:38:04.000 --> 2:38:08.000]  Which just means they sit on top of their male frog thinking eggs are coming out.
[2:38:08.000 --> 2:38:12.000]  But they're not putting their sperm onto eggs.
[2:38:12.000 --> 2:38:13.000]  There are no eggs.
[2:38:13.000 --> 2:38:15.000]  So the frog populations are plummeting.
[2:38:15.000 --> 2:38:18.000]  But think about why you actually raised this issue.
[2:38:18.000 --> 2:38:19.000]  You raised this issue.
[2:38:19.000 --> 2:38:20.000]  Because the frogs are dying.
[2:38:20.000 --> 2:38:21.000]  As an environmental issue.
[2:38:21.000 --> 2:38:22.000]  And it's hurting humans.
[2:38:22.000 --> 2:38:26.000]  Here's a man-made environmental issue that you raise awareness of.
[2:38:26.000 --> 2:38:31.000]  And then the left, which is supposed to be all about saving the environment from the man-made issues, ignores it.
[2:38:31.000 --> 2:38:33.000]  David Hogg said, it's really weird.
[2:38:33.000 --> 2:38:35.000]  He talks about gay frogs and talks in the water.
[2:38:35.000 --> 2:38:36.000]  Then he's selling water filters.
[2:38:36.000 --> 2:38:37.000]  It's kind of interesting.
[2:38:37.000 --> 2:38:39.000]  Like, it's a big master manipulation.
[2:38:39.000 --> 2:38:41.000]  No, I sell things you really need that are good.
[2:38:41.000 --> 2:38:42.000]  I feel good about it.
[2:38:42.000 --> 2:38:44.000]  Yeah, like, cars are nice.
[2:38:44.000 --> 2:38:46.000]  You might sell cars or clothes.
[2:38:46.000 --> 2:38:50.000]  If I was going to be a clothier, I would sell what sells and I like.
[2:38:50.000 --> 2:38:52.000]  Like, you sell what sells because it's good.
[2:38:52.000 --> 2:38:55.000]  It's like a guy standing on the street corner and it starts raining.
[2:38:55.000 --> 2:38:57.000]  And he's like, umbrellas for sale.
[2:38:57.000 --> 2:39:00.000]  You're like, you're trying to sell me an umbrella because it's raining.
[2:39:00.000 --> 2:39:02.000]  Like, oh, wow.
[2:39:02.000 --> 2:39:04.000]  It's like, wow, you really figured it out.
