[00:00.000 --> 00:01.400]  We've got it, Bada.
[01:00:51.800 --> 01:00:53.800]  He's going to pop in and then back to your calls.
[01:00:53.800 --> 01:00:56.800]  Now, I say if you disagree, go to the head of the line.
[01:00:56.800 --> 01:00:58.800]  If you volunteer that information.
[01:00:58.800 --> 01:01:01.800]  The problem is most people that disagree now don't really disagree.
[01:01:01.800 --> 01:01:07.800]  They use an excuse to go to the head of the line or they want to lecture me on how I should do the show or something.
[01:01:07.800 --> 01:01:10.800]  I mean, disagree with something I've said.
[01:01:10.800 --> 01:01:14.800]  But let's see if Carl does because that actually gets me to wake up when somebody disagrees.
[01:01:14.800 --> 01:01:18.800]  Carl in Michigan, you're on the air. Go ahead.
[01:01:18.800 --> 01:01:21.800]  I want to say thanks for taking my call.
[01:01:21.800 --> 01:01:27.800]  And yes, I have three points of disagreement, but I do must admit they are more about the delivery of your content.
[01:01:27.800 --> 01:01:28.800]  They always are.
[01:01:28.800 --> 01:01:29.800]  The content itself.
[01:01:29.800 --> 01:01:33.800]  I don't want to talk about me all day, though.
[01:01:33.800 --> 01:01:37.800]  One of my ideas can help Ron Paul get elected.
[01:01:37.800 --> 01:01:41.800]  The first one is Alex Jones.
[01:01:41.800 --> 01:01:47.800]  You mentioned before that you turned down publishing deals because you don't have the time and you can reach more people over the Internet.
[01:01:47.800 --> 01:01:51.800]  I believe that's true, but we need to get the reading public on our side.
[01:01:51.800 --> 01:01:56.800]  And here's an easy way to get your message to transcribed broadcast.
[01:01:56.800 --> 01:02:01.800]  Create a series of books with titles like Conversations with Ron Paul.
[01:02:01.800 --> 01:02:05.800]  Alex Jones, The Essential Rant, Alex Jones, The Essential Interviews, that sort of thing.
[01:02:05.800 --> 01:02:12.800]  I think that could really get your word out with a minimum time investment and increase the revenue to your operation.
[01:02:12.800 --> 01:02:24.800]  Yeah, I think the thing is I want to write like some awesome 1984 nonfiction tome and really crystallize it and really get behind it and not just churn out pulp, pulp.
[01:02:24.800 --> 01:02:25.800]  But you're right.
[01:02:25.800 --> 01:02:26.800]  I should do it.
[01:02:26.800 --> 01:02:29.800]  I should do more and I should call back all these publishers that are calling me.
[01:02:29.800 --> 01:02:36.800]  But in hell of that little turkey, Glen Beck, Mr. Pro, Bailout, Mr. Pro, Rick Perry can have his own imprint.
[01:02:36.800 --> 01:02:37.800]  I sure should.
[01:02:37.800 --> 01:02:39.800]  I dwarf him on the web and the web is the future.
[01:02:39.800 --> 01:02:42.800]  Tell me what else I've done wrong here or other.
[01:02:42.800 --> 01:02:44.800]  That's not really disagreeing, Carl.
[01:02:44.800 --> 01:02:45.800]  All right.
[01:02:45.800 --> 01:02:47.800]  Well, I apologize if I'm wasting your time, but I feel these ideas.
[01:02:47.800 --> 01:02:48.800]  You're not wasting my time.
[01:02:48.800 --> 01:02:49.800]  They're great ideas.
[01:02:49.800 --> 01:02:50.800]  What's next?
[01:02:50.800 --> 01:02:51.800]  All right.
[01:02:51.800 --> 01:02:54.800]  Well, I believe the true measure of a leader is the influence they have on others.
[01:02:54.800 --> 01:02:58.800]  And while I know you have great influence over some, in the end, I believe that you're
[01:02:58.800 --> 01:03:03.800]  scared more people into merely observing the truth rather than influence them to take actions
[01:03:03.800 --> 01:03:06.800]  that will lead to the restoration of freedom and liberty.
[01:03:06.800 --> 01:03:07.800]  I disagree.
[01:03:07.800 --> 01:03:09.800]  I've been the most effective person out there other than Ron Paul.
[01:03:09.800 --> 01:03:10.800]  Nobody can deny that.
[01:03:10.800 --> 01:03:11.800]  And I'm not trying to scare folks.
[01:03:11.800 --> 01:03:13.800]  I believe people aren't cowards.
[01:03:13.800 --> 01:03:18.800]  I'm trying to shock them out of complacency in their trance.
[01:03:18.800 --> 01:03:23.800]  Oh, and I agree that you have been very influential in the alternative news media.
[01:03:23.800 --> 01:03:30.800]  But I feel that you do come across very tough to some people, and I'm not saying you change
[01:03:30.800 --> 01:03:33.800]  who you are, because you are who you are, and that's impossible to change.
[01:03:33.800 --> 01:03:36.800]  And you have made great strides because you stand firm on your principles.
[01:03:36.800 --> 01:03:41.800]  But what I really disagree with is something called the Losada zone.
[01:03:41.800 --> 01:03:47.800]  It pretty much is a term derived from a psychologist who said that for every one negative interaction,
[01:03:47.800 --> 01:03:49.800]  you need three positive interactions.
[01:03:49.800 --> 01:03:50.800]  Hold on one second.
[01:03:50.800 --> 01:03:51.800]  Yes.
[01:03:51.800 --> 01:03:54.800]  There's music playing in here.
[01:03:54.800 --> 01:03:56.800]  And earlier, music just turned off.
[01:03:56.800 --> 01:03:57.800]  Okay.
[01:03:57.800 --> 01:03:58.800]  Sir, go ahead.
[01:03:58.800 --> 01:03:59.800]  Okay.
[01:03:59.800 --> 01:04:04.800]  Well, psychologist named Losada did research showing that for every one negative remark,
[01:04:04.800 --> 01:04:09.800]  you need three positive remarks to really allow a human to flourish in a team environment.
[01:04:09.800 --> 01:04:15.800]  And you want your listeners to be part of the team for freedom that promotes ideas of liberty
[01:04:15.800 --> 01:04:16.800]  and justice.
[01:04:16.800 --> 01:04:21.800]  And I feel that, you know, for every one positive remark, you have three negative remarks.
[01:04:21.800 --> 01:04:22.800]  All right.
[01:04:22.800 --> 01:04:26.800]  Listen, I got to go, but I heard your points as good constructive criticism.
[01:04:26.800 --> 01:04:31.800]  Look, I don't have the time and the energy to sit here and craft everything I say and do.
[01:04:31.800 --> 01:04:32.800]  Some days it's genius.
[01:04:32.800 --> 01:04:36.800]  Other days, you know, it's moderately effective.
[01:04:36.800 --> 01:04:39.800]  Anything in the face of this dehumanization is good.
[01:04:39.800 --> 01:04:42.800]  Resistance is victory.
[01:04:42.800 --> 01:04:48.800]  But I see it as positive to say negative things about the globalist.
[01:04:48.800 --> 01:04:52.800]  So you're looking at things from a two-dimensional perspective, telling somebody, hey, there's
[01:04:52.800 --> 01:04:53.800]  a big ditch over there.
[01:04:53.800 --> 01:04:55.800]  Don't run your car off in it.
[01:04:55.800 --> 01:04:56.800]  That's positive.
[01:04:56.800 --> 01:04:59.800]  It's not negative.
[01:04:59.800 --> 01:05:00.800]  Hi, folks.
[01:05:00.800 --> 01:05:01.800]  This is Alex Jones.
[01:05:01.800 --> 01:05:06.800]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize
[01:05:06.800 --> 01:05:07.800]  risk.
[01:05:07.800 --> 01:05:08.800]  Saving means to make money.
[01:05:08.800 --> 01:05:13.800]  The Calben Pure Soap Company can save you thousands of dollars and give you good old-fashioned
[01:05:13.800 --> 01:05:18.800]  real soaps that are triple concentrated and twice as good as what you're using now.
[01:05:18.800 --> 01:05:24.800]  Soaps made from vegetable and coconut oils that contain no useless dyes for fumes, deodorants,
[01:05:24.800 --> 01:05:25.800]  or antibacterials.
[01:05:25.800 --> 01:05:31.800]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores,
[01:05:31.800 --> 01:05:33.800]  and a terrorizing clothing called lint.
[01:05:33.800 --> 01:05:37.800]  If you want something better, if you want something you've never had before, you have to do something
[01:05:37.800 --> 01:05:38.800]  you've never done before.
[01:05:38.800 --> 01:05:46.800]  Getting a free catalog is easy by calling 800-340-7091 or see Calben on the Web at five-star-soap.com.
[01:05:46.800 --> 01:06:08.800]  Take charge of your health now by calling 800-340-7091.
[01:06:08.800 --> 01:06:18.800]  All right, here's the deal.
[01:06:18.800 --> 01:06:23.800]  I got Aaron in here to give us a report on a big martial law financial collapse drill
[01:06:23.800 --> 01:06:24.800]  they just had out in Denver.
[01:06:24.800 --> 01:06:26.800]  I had our reporters there.
[01:06:26.800 --> 01:06:30.800]  I got Luke Radowski popping in about arrest on Wall Street, but I want to get to your calls.
[01:06:30.800 --> 01:06:33.800]  Robert Berry, everybody else that's holding, we're going to get to you.
[01:06:33.800 --> 01:06:34.800]  Well, here about a minute or two.
[01:06:34.800 --> 01:06:38.800]  I want to play a clip that I've been mentioning of Ron Paul.
[01:06:38.800 --> 01:06:42.800]  This is in the last debate being asked who he would take as his running mate.
[01:06:42.800 --> 01:06:49.800]  And he was saying, well, once he is a first or second place candidate, that he would do that, that he is in third place.
[01:06:49.800 --> 01:06:53.800]  And that's a very moderate conservative statement by Ron Paul.
[01:06:53.800 --> 01:06:56.800]  He is third place, probably second.
[01:06:56.800 --> 01:07:05.800]  And Rick Perry, as the Miami Herald points out, is plunging as people learn he worked for Al Gore, campaign for Hillary care, forced inoculations.
[01:07:05.800 --> 01:07:08.800]  But Romney is exactly the same.
[01:07:08.800 --> 01:07:17.800]  These are globalist, socialist, corporate cronyites, because the corporations want to pool your money so they can then suck it offshore.
[01:07:17.800 --> 01:07:24.800]  And if you idiot Republicans vote for Mitt Romney or Rick Perry, you get what you deserve.
[01:07:24.800 --> 01:07:26.800]  Just like you idiot Democrats.
[01:07:26.800 --> 01:07:29.800]  Of course the economy didn't get better with Obama.
[01:07:29.800 --> 01:07:31.800]  Of course the wars continued.
[01:07:31.800 --> 01:07:33.800]  Of course the torture continued.
[01:07:33.800 --> 01:07:35.800]  Of course the spying continued.
[01:07:35.800 --> 01:07:38.800]  Of course all the insider garbage.
[01:07:38.800 --> 01:07:40.800]  Look at who financed him.
[01:07:40.800 --> 01:07:43.800]  Look at how the system supported Obama.
[01:07:43.800 --> 01:07:48.800]  When the system like Time Magazine is supporting somebody like Rick Perry.
[01:07:48.800 --> 01:07:54.800]  Look out when they're lying and deceiving and pulling polls and saying somebody can't win.
[01:07:54.800 --> 01:07:56.800]  That's who you go to.
[01:07:56.800 --> 01:07:59.800]  It's so simple, it makes me get very angry.
[01:07:59.800 --> 01:08:01.800]  And you don't want to see me when I'm angry.
[01:08:01.800 --> 01:08:04.800]  Let's go ahead and go to this Ron Paul Club, here it is.
[01:08:04.800 --> 01:08:10.800]  I don't plan to make a choice at the moment because I am on national polls.
[01:08:10.800 --> 01:08:12.800]  It seems like I'm in third place now.
[01:08:12.800 --> 01:08:14.800]  I think it would be inappropriate.
[01:08:14.800 --> 01:08:19.800]  As soon as I'm one of the two top tier then I will start thinking along that line.
[01:08:19.800 --> 01:08:26.800]  But right now I'm going to defer and just work very hard and make sure that I stay in the top tier.
[01:08:26.800 --> 01:08:32.800]  And then eventually be one of the top two contenders.
[01:08:32.800 --> 01:08:35.800]  Texas Congressman Ron Paul, he joins me now.
[01:08:35.800 --> 01:08:36.800]  How are you Congressman?
[01:08:36.800 --> 01:08:38.800]  That's enough.
[01:08:38.800 --> 01:08:42.800]  You know I've had a chance to talk to Ron Paul quite a bit off the record before.
[01:08:42.800 --> 01:08:44.800]  And he was first going to run.
[01:08:44.800 --> 01:08:47.800]  I said, look sir, you probably won't win this first time but you can probably win the second time.
[01:08:47.800 --> 01:08:52.800]  And you know you're going to influence the debate and warn people about currency devaluation and everything else.
[01:08:52.800 --> 01:08:55.800]  We need you to get in there to keep putting heat on the Federal Reserve.
[01:08:55.800 --> 01:08:57.800]  And he said, no, you're probably right.
[01:08:57.800 --> 01:08:58.800]  I'm probably going to run.
[01:08:58.800 --> 01:09:02.800]  And then of course I didn't say anything for a few months knowing he was going to run.
[01:09:02.800 --> 01:09:05.800]  And it's the same thing before this last race.
[01:09:05.800 --> 01:09:08.800]  I don't ever try to call Ron Paul up and give him advice.
[01:09:08.800 --> 01:09:10.800]  But I think I am.
[01:09:10.800 --> 01:09:12.800]  And it's this.
[01:09:12.800 --> 01:09:15.800]  He needs to get up at the next debate and say, hold on a minute.
[01:09:15.800 --> 01:09:20.800]  And hold up a sheet and say, the average candidate was given 10 minutes in the last debate.
[01:09:20.800 --> 01:09:22.800]  I was given four minutes.
[01:09:22.800 --> 01:09:25.800]  I've been given the least amount of time in every debate.
[01:09:25.800 --> 01:09:27.800]  And the moderators were saying that in the question.
[01:09:27.800 --> 01:09:29.800]  Say, listen, I know you got an agenda.
[01:09:29.800 --> 01:09:30.800]  Give me the floor.
[01:09:30.800 --> 01:09:32.800]  And I know Ron Paul and get angry.
[01:09:32.800 --> 01:09:34.800]  So I've seen it before.
[01:09:34.800 --> 01:09:36.800]  Okay, it's always the nice guy that's being real friendly.
[01:09:36.800 --> 01:09:38.800]  That's because they're actually a Tyrannosaurus.
[01:09:38.800 --> 01:09:43.800]  The only guy on the congressional baseball team to ever knock out a home run.
[01:09:43.800 --> 01:09:47.800]  And you saw when that Barrisasha Cohen went after you, Ron Paul, you know,
[01:09:47.800 --> 01:09:50.800]  basically slapped him upside the head, pushed him out of the way.
[01:09:50.800 --> 01:09:53.800]  Ron Paul is a nice guy because he's aggressive.
[01:09:53.800 --> 01:09:54.800]  It's aggressive.
[01:09:54.800 --> 01:09:56.800]  People have trained themselves to be friendly,
[01:09:56.800 --> 01:10:00.800]  but he needs to turn loose and open up a can of, you know what?
[01:10:00.800 --> 01:10:03.800]  He's just saying, listen, I've been given less time.
[01:10:03.800 --> 01:10:04.800]  Everybody else up here.
[01:10:04.800 --> 01:10:06.800]  I've won most of straw balls.
[01:10:06.800 --> 01:10:08.800]  I'm in first, second and third and all the scientific balls,
[01:10:08.800 --> 01:10:10.800]  but everybody says I can't win.
[01:10:10.800 --> 01:10:13.800]  That's because I'm the only one up here not bought and paid for.
[01:10:13.800 --> 01:10:14.800]  I'm not a globalist whore.
[01:10:14.800 --> 01:10:16.800]  You want America back.
[01:10:16.800 --> 01:10:17.800]  You want the Republic back.
[01:10:17.800 --> 01:10:21.800]  Vote for me and stop letting the controlled media tell you who's going to win.
[01:10:21.800 --> 01:10:27.800]  And I'm going to go further here and then just basically lay out the facts.
[01:10:27.800 --> 01:10:30.800]  And he needs to get aggressive and say,
[01:10:30.800 --> 01:10:32.800]  I have been in the top tier since the beginning.
[01:10:32.800 --> 01:10:34.800]  The top three is the top tier.
[01:10:34.800 --> 01:10:36.800]  I actually have to disagree with Ron Paul.
[01:10:36.800 --> 01:10:38.800]  This thing about I'd be in the first or second tier.
[01:10:38.800 --> 01:10:40.800]  You're definitely in the top tier.
[01:10:40.800 --> 01:10:42.800]  The top tier is the top three candidates.
[01:10:42.800 --> 01:10:43.800]  First, second and third place.
[01:10:43.800 --> 01:10:45.800]  That's how any game, any race works.
[01:10:45.800 --> 01:10:48.800]  The top three are the main contenders.
[01:10:48.800 --> 01:10:52.800]  The top three teams in the NBA, the NFL, the National Baseball League,
[01:10:52.800 --> 01:10:58.800]  that's how it works in horse racing.
[01:10:58.800 --> 01:11:03.800]  And for them to say that a top contender is not a contender,
[01:11:03.800 --> 01:11:05.800]  he's a rigged game out in the open.
[01:11:05.800 --> 01:11:09.800]  And he should instantly surge to number one just by evidence of that.
[01:11:09.800 --> 01:11:13.800]  If you people want the same thing over and over again,
[01:11:13.800 --> 01:11:17.800]  vote for Mitt Romney, Rick Perry or Barack Obama.
[01:11:17.800 --> 01:11:20.800]  A bunch of slick guys in fancy suits,
[01:11:20.800 --> 01:11:21.800]  reading off teleprompters.
[01:11:21.800 --> 01:11:23.800]  All right, I'm going to shut up.
[01:11:23.800 --> 01:11:27.800]  I'm just getting angry now.
[01:11:27.800 --> 01:11:32.800]  Rick Perry, 81% of the new jobs illegal aliens.
[01:11:32.800 --> 01:11:33.800]  I guess you did bring some jobs there.
[01:11:33.800 --> 01:11:35.800]  You drove down the wages while you were here
[01:11:35.800 --> 01:11:37.800]  and passed a bunch of new taxes.
[01:11:37.800 --> 01:11:39.800]  You can give them to the illegal aliens and free welfare.
[01:11:39.800 --> 01:11:41.800]  You piece of trash.
[01:11:41.800 --> 01:11:42.800]  I just can't handle it anymore.
[01:11:42.800 --> 01:11:46.800]  Some dirty Hillary supporter, some dirty Obama supporter,
[01:11:46.800 --> 01:11:49.800]  dirty Bill Clinton supporter, Al Gore supporter.
[01:11:49.800 --> 01:11:50.800]  I can't handle it.
[01:11:50.800 --> 01:11:55.800]  Mitt Romney supports carbon taxes.
[01:11:55.800 --> 01:11:57.800]  I'm so sick of the fact that I spend all my time being informed.
[01:11:57.800 --> 01:11:58.800]  Other people aren't informed.
[01:11:58.800 --> 01:12:00.800]  I had Lord Moncton on a week ago.
[01:12:00.800 --> 01:12:02.800]  Great guy.
[01:12:02.800 --> 01:12:04.800]  But he was like, well, once the Congress,
[01:12:04.800 --> 01:12:06.800]  once the Democrats heard I was here to debate Al Gore,
[01:12:06.800 --> 01:12:08.800]  they said I couldn't speak or Gore wouldn't speak
[01:12:08.800 --> 01:12:10.800]  and they put Newt Genrich in instead.
[01:12:10.800 --> 01:12:11.800]  He did a pretty good job.
[01:12:11.800 --> 01:12:14.800]  Newt Genrich does TV ads supporting carbon taxes
[01:12:14.800 --> 01:12:17.800]  and global warming with, who's he doing it with?
[01:12:17.800 --> 01:12:18.800]  I forget.
[01:12:18.800 --> 01:12:21.800]  Pull up the, go to YouTube.
[01:12:21.800 --> 01:12:26.800]  Newt Genrich does global warming ad.
[01:12:26.800 --> 01:12:29.800]  I think it's Hillary Clinton he's sitting there with.
[01:12:29.800 --> 01:12:32.800]  The point is he wrote the forward to Alvin and Heidi Toffler's
[01:12:32.800 --> 01:12:35.800]  book calling for the end of America and global government.
[01:12:35.800 --> 01:12:36.800]  I'm sick of it.
[01:12:36.800 --> 01:12:38.800]  He's a Bilderberg group member.
[01:12:38.800 --> 01:12:41.800]  You don't get invited to the Bilderberg group unless you've
[01:12:41.800 --> 01:12:45.800]  shown you'll spread your legs to any new world order
[01:12:45.800 --> 01:12:47.800]  operative politically.
[01:12:47.800 --> 01:12:50.800]  It's with Pelosi show the stinking video.
[01:12:50.800 --> 01:12:53.800]  Then I'll go to the calls and Aaron or maybe I won't.
[01:12:53.800 --> 01:12:55.800]  I'm just getting more and more wound up here.
[01:12:55.800 --> 01:12:59.800]  If I have to split, it's one thing if you're going to support
[01:12:59.800 --> 01:13:02.800]  carbon taxes like that swollen con artist Al Gore.
[01:13:02.800 --> 01:13:03.800]  That's one thing.
[01:13:03.800 --> 01:13:07.800]  But to have this entire Republican leadership being crammed
[01:13:07.800 --> 01:13:10.800]  on our throats supporting carbon taxes, NAFTA highways,
[01:13:10.800 --> 01:13:13.800]  forced inoculations, socialist health care.
[01:13:13.800 --> 01:13:17.800]  And I got to sit here and watch national radio host endorsing
[01:13:17.800 --> 01:13:18.800]  Mitt Romney.
[01:13:18.800 --> 01:13:20.800]  You people make me want to vomit.
[01:13:20.800 --> 01:13:23.800]  Your listeners are idiots.
[01:13:23.800 --> 01:13:25.800]  What is wrong with you?
[01:13:25.800 --> 01:13:27.800]  You said you found the clip.
[01:13:27.800 --> 01:13:32.800]  Here, here, here, here is Newt Gingrich with Nancy Pelosi.
[01:13:32.800 --> 01:13:37.800]  I said Hillary another hag, but here it is.
[01:13:37.800 --> 01:13:41.800]  I will play it in a second.
[01:13:41.800 --> 01:13:43.800]  Stupid YouTube's not working.
[01:13:43.800 --> 01:13:46.800]  Lifelong Democrat and Speaker of the House.
[01:13:46.800 --> 01:13:48.800]  And I'm Newt Gingrich, lifelong Republican,
[01:13:48.800 --> 01:13:50.800]  and I used to be Speaker.
[01:13:50.800 --> 01:13:53.800]  We don't always see eye to eye, do we, Newt?
[01:13:53.800 --> 01:13:55.800]  No, but we do agree.
[01:13:55.800 --> 01:13:58.800]  Our country must take action to address climate change.
[01:13:58.800 --> 01:14:01.800]  We need cleaner forms of energy and we need them fast.
[01:14:01.800 --> 01:14:03.800]  If enough of us demand action from our leaders,
[01:14:03.800 --> 01:14:05.800]  we can spark the innovation we need.
[01:14:05.800 --> 01:14:08.800]  Go to weconsolvet.org.
[01:14:08.800 --> 01:14:09.800]  Together we can do this.
[01:14:09.800 --> 01:14:11.800]  That's from two years ago.
[01:14:11.800 --> 01:14:13.800]  That's the big carbon tax outfit.
[01:14:13.800 --> 01:14:15.800]  Now, what they should have said,
[01:14:15.800 --> 01:14:18.800]  if you put the translator on it, like Dr. Who,
[01:14:18.800 --> 01:14:20.800]  the translator to hear what the aliens saying,
[01:14:20.800 --> 01:14:23.800]  hi, we're political whores bought and paid for by megabanks
[01:14:23.800 --> 01:14:25.800]  to create money out of nothing.
[01:14:25.800 --> 01:14:28.800]  They own the oil companies and together with the oil companies,
[01:14:28.800 --> 01:14:31.800]  they're lobbying to shut down all coal production
[01:14:31.800 --> 01:14:34.800]  because that's 50 plus percent of the power in North America.
[01:14:34.800 --> 01:14:37.800]  By doing that, it'll jack up overall use of oil
[01:14:37.800 --> 01:14:40.800]  and other power systems and increase our profits,
[01:14:40.800 --> 01:14:41.800]  the artificial scarcity.
[01:14:41.800 --> 01:14:43.800]  Please let us cheat you and rob you.
[01:14:43.800 --> 01:14:44.800]  Here, let's go ahead.
[01:14:44.800 --> 01:14:48.800]  That's the guy they sent to fight Al Gore on global warming.
[01:14:48.800 --> 01:14:50.800]  Al Gore said, I won't debate Monkton.
[01:14:50.800 --> 01:14:52.800]  I'll debate Newt Gennrich.
[01:14:52.800 --> 01:14:55.800]  Well, yeah, with enemies like that who needs friends.
[01:14:55.800 --> 01:14:58.800]  Robert and Georgia, yeah, you're on the air.
[01:14:58.800 --> 01:14:59.800]  Go ahead.
[01:14:59.800 --> 01:15:01.800]  Hey, Alex, great honor to talk to you again.
[01:15:01.800 --> 01:15:04.800]  Hey, I got a point that'll help Ron Paul
[01:15:04.800 --> 01:15:06.800]  next time he gets cornered about Iran
[01:15:06.800 --> 01:15:08.800]  and why we need to start another war with him.
[01:15:08.800 --> 01:15:11.800]  He needs to bring that point up that when,
[01:15:11.800 --> 01:15:14.800]  like when we are changed in front of Mike Huckabee and said,
[01:15:14.800 --> 01:15:17.800]  if we allow Iran to have a nuke that was reckless
[01:15:17.800 --> 01:15:19.800]  and all this kind of garbage,
[01:15:19.800 --> 01:15:22.800]  that Ron Paul needs to come back and say,
[01:15:22.800 --> 01:15:25.800]  well, it'll be more reckless if we let start a war with Iran.
[01:15:25.800 --> 01:15:28.800]  They mind the straits of Hormuz.
[01:15:28.800 --> 01:15:31.800]  They knock out the refineries in Saudi Arabia
[01:15:31.800 --> 01:15:33.800]  and the delivery systems to the tankers.
[01:15:33.800 --> 01:15:35.800]  What kind of depression that'll start?
[01:15:35.800 --> 01:15:36.800]  Yeah, stay right there.
[01:15:36.800 --> 01:15:37.800]  I'm going to come back to you.
[01:15:37.800 --> 01:15:40.800]  Look, look, Iran is not Iraq.
[01:15:40.800 --> 01:15:42.800]  Many times as many people,
[01:15:42.800 --> 01:15:45.800]  they already fought the U.S. through the Iraq proxy
[01:15:45.800 --> 01:15:48.800]  and they ran Iraq war and over a million and a half of them died.
[01:15:48.800 --> 01:15:50.800]  They are going to go absolutely wild
[01:15:50.800 --> 01:15:52.800]  and they've gotten specters in there.
[01:15:52.800 --> 01:15:54.800]  They've been running reactors for months.
[01:15:54.800 --> 01:15:56.800]  They can't make weapons fuel with it.
[01:15:56.800 --> 01:15:58.800]  It's just absolute baloney.
[01:15:58.800 --> 01:16:21.800]  They lied about WMDs in Iraq.
[01:16:29.800 --> 01:16:32.800]  Dangerous weather is always a threat to local grids.
[01:16:32.800 --> 01:16:34.800]  Every year, thousands of families lose their power
[01:16:34.800 --> 01:16:36.800]  from weather-related onages.
[01:16:36.800 --> 01:16:39.800]  A solar power generator provides powerful backup insurance
[01:16:39.800 --> 01:16:40.800]  and peace of mind.
[01:16:40.800 --> 01:16:42.800]  Folks, I really believe in the solar power generators
[01:16:42.800 --> 01:16:44.800]  offered by Solutions from Science,
[01:16:44.800 --> 01:16:45.800]  one of my oldest sponsors.
[01:16:45.800 --> 01:16:49.800]  You can get more information at www.mysolarbackup.com.
[01:16:49.800 --> 01:16:51.800]  That's mysolarbackup.com.
[01:16:51.800 --> 01:16:53.800]  Remember, the government doesn't own the sun,
[01:16:53.800 --> 01:16:55.800]  so go to mysolarbackup.com
[01:16:55.800 --> 01:16:59.800]  or call 1-877-327-0365.
[01:16:59.800 --> 01:17:01.800]  When you're out on the road,
[01:17:01.800 --> 01:17:06.800]  the last place you want to be is on the road.
[01:17:06.800 --> 01:17:08.800]  But if the unfortunate happens,
[01:17:08.800 --> 01:17:11.800]  you'll be glad you were wearing diamond gussets.
[01:17:11.800 --> 01:17:15.800]  There's a place down in Tennessee
[01:17:15.800 --> 01:17:20.800]  where they make blue diamond gusset jeans.
[01:17:20.800 --> 01:17:24.800]  They so pride in every stitch
[01:17:24.800 --> 01:17:28.800]  guarantee you love the way they fit.
[01:17:28.800 --> 01:17:31.800]  They put a diamond gusset in the crotch
[01:17:31.800 --> 01:17:33.800]  where you need it most.
[01:17:33.800 --> 01:17:38.800]  Blue diamond gussets got it, other stone.
[01:17:38.800 --> 01:17:40.800]  We turned jeans inside out.
[01:17:40.800 --> 01:17:42.800]  Diamond gusset jeans,
[01:17:42.800 --> 01:17:45.800]  made in the USA with unparalleled quality.
[01:17:45.800 --> 01:17:47.800]  Our Defender motorcycle jeans combine
[01:17:47.800 --> 01:17:49.800]  gusset comfort with Kevlar protection
[01:17:49.800 --> 01:17:52.800]  so you can ride all day with confidence.
[01:17:52.800 --> 01:17:55.800]  Order yours at gusset.com.
[01:17:55.800 --> 01:17:59.800]  Diamond gusset jeans got it, others don't.
[01:17:59.800 --> 01:18:03.800]  You may be arrested and or subject to other police action.
[01:18:03.800 --> 01:18:05.800]  Tyranny is here.
[01:18:05.800 --> 01:18:09.800]  The grim future foretold in 1984 has become reality.
[01:18:09.800 --> 01:18:11.800]  It really says that the state is God.
[01:18:11.800 --> 01:18:14.800]  The United States is now recognized globally
[01:18:14.800 --> 01:18:17.800]  as one of the most oppressive police states on Earth.
[01:18:17.800 --> 01:18:19.800]  This film conclusively proves the existence
[01:18:19.800 --> 01:18:21.800]  of a secret network of FEMA camps,
[01:18:21.800 --> 01:18:23.800]  now being expanded nationwide.
[01:18:23.800 --> 01:18:25.800]  This documentary exposes how the continuity
[01:18:25.800 --> 01:18:27.800]  of government program has established
[01:18:27.800 --> 01:18:29.800]  an old powerful shadow state.
[01:18:29.800 --> 01:18:31.800]  Police State 4 chronicles the sickening depths
[01:18:31.800 --> 01:18:33.800]  to which our republic has fallen.
[01:18:33.800 --> 01:18:35.800]  Prepare to enter the secretive world
[01:18:35.800 --> 01:18:37.800]  of emergency dictatorship.
[01:18:37.800 --> 01:18:39.800]  Body scammers, sound cameras,
[01:18:39.800 --> 01:18:41.800]  citizen spies, staged terror
[01:18:41.800 --> 01:18:43.800]  and cameras on every street corner.
[01:18:43.800 --> 01:18:45.800]  It's only the beginning of the New World Order's
[01:18:45.800 --> 01:18:47.800]  hellish plan.
[01:18:47.800 --> 01:18:49.800]  The police state isn't coming.
[01:18:49.800 --> 01:18:51.800]  It's here.
[01:18:51.800 --> 01:18:54.800]  Secure your copy today at infowars.com
[01:18:54.800 --> 01:18:56.800]  or see it online in the highest quality
[01:18:56.800 --> 01:18:59.800]  at prisonplanet.tv.
[01:18:59.800 --> 01:19:01.800]  Hello friends, Alex Jones here.
[01:19:01.800 --> 01:19:03.800]  You all know I've worked for years with Steve Shank
[01:19:03.800 --> 01:19:05.800]  and eFood Direct.
[01:19:05.800 --> 01:19:07.800]  I have eFoods for my own emergency food supply.
[01:19:07.800 --> 01:19:09.800]  You know Steve, life is different now
[01:19:09.800 --> 01:19:11.800]  for all of us, isn't it?
[01:19:11.800 --> 01:19:13.800]  Very different. People are using this great food
[01:19:13.800 --> 01:19:15.800]  to survive the present hurricane season
[01:19:15.800 --> 01:19:17.800]  and we've already had 40 billion dollars
[01:19:17.800 --> 01:19:19.800]  worth of damage from floods, storms,
[01:19:19.800 --> 01:19:21.800]  quakes and droughts.
[01:19:21.800 --> 01:19:23.800]  And that's just the first eight months of this year.
[01:19:23.800 --> 01:19:25.800]  Natural disasters are newsworthy
[01:19:25.800 --> 01:19:27.800]  but only touch a few of us Americans.
[01:19:27.800 --> 01:19:29.800]  The huge issue of the Greatest Depression
