[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[01:58:26.544 --> 01:58:27.405]  Where are the Democrats?
[01:58:27.405 --> 01:58:30.405]  Oh, election integrity, election meddling, foreign interference.
[01:58:30.405 --> 01:58:42.389]  They send our election data through Germany, through Spain, with Microsoft, with Amazon, and then it comes back dirty so that they can select whatever candidate they want.
[01:58:42.389 --> 01:58:45.410]  It's a selection, and it's now been fully exposed.
[01:58:45.410 --> 01:58:46.290]  America's waking up.
[01:58:48.402 --> 01:58:50.885]  America is in crisis.
[01:58:50.885 --> 01:58:55.730]  Emergency Lockdown 2 is coming under Biden.
[01:58:55.730 --> 01:59:02.356]  Support InfoWars to fight against total economic collapse and Biden's martial law disguised as Lockdown 2.
[01:59:02.356 --> 01:59:10.565]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWarsTore.com, DNA Force, plus Alpha Power back in stock.
[01:59:10.925 --> 01:59:19.792]  Body's Ultimate Turmeric Formula, Ultra 12, Vitamin Mineral Fusion, Cabo Chill, Super Mel Vitality, Super Female, and so many other amazing products.
[01:59:19.792 --> 01:59:24.095]  These are game-changing things that the globalists don't need to have.
[01:59:24.095 --> 01:59:29.139]  These are things that are absolutely elemental to what you and your body have to have to live.
[01:59:29.139 --> 01:59:33.143]  But regardless, buying these products from us funds the Info Wars, which is a 360 win.
[01:59:33.703 --> 01:59:34.964]  I want to thank you all for your support.
[01:59:34.964 --> 01:59:36.885]  I want to ask you to redouble your efforts to spread the word.
[01:59:36.885 --> 01:59:41.569]  I want to ask you to buy the products at InfoWarsTore.com today, because without you, we won't be on the air.
[01:59:41.569 --> 01:59:42.750]  Again, I salute you and thank you all.
[01:59:42.750 --> 01:59:43.711]  Our toll-free number is 888-253-3139.
[01:59:43.711 --> 01:59:46.713]  Please take action today in our emergency center.
[02:00:17.102 --> 02:00:31.264]  The American Revolution is on, folks, and it's only going to be televised right here at InfoWars.com, banned.video, 79days.news.
[02:00:31.264 --> 02:00:35.045]  We're waiting to hear from Alex Jones.
[02:00:35.045 --> 02:00:40.246]  He has just left the state capital of Georgia there in Atlanta.
[02:00:40.246 --> 02:00:44.087]  Just so much coming in with the Democrat election theft.
[02:00:44.087 --> 02:00:45.847]  So much criminal behavior going unchecked.
[02:00:49.241 --> 02:01:13.429]  What America really needs, more than ever before, and I don't know how this can be done more so than it already has, when you talk about the crimes of the Biden family, all on record, they even admit it in their own press conferences and the Council of Foreign Relations, we have their emails, videos, everything.
[02:01:14.997 --> 02:01:17.898]  So it's like, how do you get more of an exposure than that?
[02:01:17.898 --> 02:01:23.079]  How do you get more of an exposure when we know everything about Barack Obama and Spygate?
[02:01:23.079 --> 02:01:41.745]  Well, you have the president with a team of lawyers sit down, lay it all out in an hour, two hour long press conference and just immediately send in sheriffs or FBI or whoever you can get to arrest the criminals.
[02:01:44.721 --> 02:01:47.983]  And it's what this country needs.
[02:01:47.983 --> 02:01:52.485]  And if you're making the measurement on a political level, Oh, we can't do that.
[02:01:52.485 --> 02:01:53.845]  The left is going to riot.
[02:01:53.845 --> 02:01:55.326]  They're going to riot anyway.
[02:01:55.326 --> 02:01:58.808]  What are you waiting for?
[02:01:58.808 --> 02:02:02.650]  They'll sputter out in a couple of weeks.
[02:02:02.650 --> 02:02:04.190]  It's a house of cards.
[02:02:04.190 --> 02:02:09.193]  It's a castle built on sand.
[02:02:09.193 --> 02:02:13.495]  That's what this country needs because we have two polar
[02:02:14.426 --> 02:02:17.167]  Opposite views of reality.
[02:02:17.167 --> 02:02:22.729]  And they've been coming after our leader, Donald Trump, for four years with all the investigations in the world and found nothing.
[02:02:22.729 --> 02:02:33.072]  Now it's time to go after their leaders, expose all their crimes, put them in jail, and give America the cleansing that it needs right now.
[02:02:38.066 --> 02:02:46.230]  And see, they take stuff like that, and they turn it into a race thing, or they spin it off out of context, all these lies, because they know what it really means.
[02:02:46.230 --> 02:02:47.551]  It's the Bidens.
[02:02:47.551 --> 02:02:48.751]  It's the Obamas.
[02:02:48.751 --> 02:02:49.612]  It's Clapper.
[02:02:49.612 --> 02:02:50.432]  It's Comey.
[02:02:50.432 --> 02:02:51.213]  It's Brennan.
[02:02:51.213 --> 02:02:52.093]  It's Rice.
[02:02:52.093 --> 02:02:55.215]  It's the Clintons.
[02:02:55.215 --> 02:02:56.335]  Yes, it's the Bushes.
[02:02:56.335 --> 02:02:57.916]  It's the McCains.
[02:02:57.916 --> 02:03:00.477]  Yes, they are the traitors of America.
[02:03:00.477 --> 02:03:02.638]  They are the ones that have committed treason.
[02:03:02.638 --> 02:03:05.420]  Time and time and time again.
[02:03:08.314 --> 02:03:20.281]  And America must have this cleansing of our institutions and our government from the massive criminals that have been running it.
[02:03:20.281 --> 02:03:22.483]  And then you talk about the average liberal street thug.
[02:03:22.483 --> 02:03:25.384]  You know, it's one thing to
[02:03:28.266 --> 02:03:45.675]  You know, you've got someone in your family that's mentally ill, really not in a good place, and you feel bad, and you know, they're in a mental institution or something, or at the hospital, and you go visit them, and you feel bad, and you know, maybe they're harnessed to their chair, they've got a security guard, but you feel bad, and you go visit them, and you try to talk to them.
[02:03:45.675 --> 02:03:46.575]  That's one thing.
[02:03:46.575 --> 02:03:48.296]  That's not the situation we're in.
[02:03:48.296 --> 02:03:52.558]  The situation we're in is that you're in the mental institution, and the
[02:03:54.525 --> 02:04:01.068]  Asylumees are running it and they've all got knives and they're looking at you.
[02:04:01.068 --> 02:04:04.070]  That's the situation we're in.
[02:04:04.070 --> 02:04:15.175]  They want control over our system and they're a bunch of rabid mental lunatics that want to run the asylum.
[02:04:15.175 --> 02:04:17.937]  So their leaders must be exposed and arrested
[02:04:18.803 --> 02:04:21.064]  To take any wind out of their sails.
[02:04:21.064 --> 02:04:25.627]  Their mainstream news must be fully exposed for the frauds that they are.
[02:04:25.627 --> 02:04:32.371]  Again, how you can do that more than we already know is the challenge that Trump and his legal team face.
[02:04:32.371 --> 02:04:34.732]  Is the challenge that we face here at InfoWars.
[02:04:34.732 --> 02:04:37.274]  How can the mainstream news be more exposed as total frauds?
[02:04:39.113 --> 02:04:41.515]  Faking lies to get us into wars.
[02:04:41.515 --> 02:04:43.236]  Running with those lies.
[02:04:43.236 --> 02:04:45.178]  Faking lies about Russian collusion.
[02:04:45.178 --> 02:04:47.140]  Faking lies about hate crimes.
[02:04:47.140 --> 02:04:49.521]  Faking lies about Brett Kavanaugh.
[02:04:49.521 --> 02:04:50.802]  Faking lies about Trump.
[02:04:50.802 --> 02:04:51.983]  All they do.
[02:04:51.983 --> 02:04:52.464]  Fake.
[02:04:52.464 --> 02:04:53.144]  Divide.
[02:04:53.144 --> 02:04:53.565]  Fake.
[02:04:53.565 --> 02:04:54.205]  Divide.
[02:04:54.205 --> 02:04:54.686]  Lie.
[02:04:54.686 --> 02:04:55.306]  Divide.
[02:04:55.306 --> 02:04:55.686]  Lie.
[02:04:55.686 --> 02:04:56.087]  Divide.
[02:04:56.087 --> 02:04:56.567]  Deceive.
[02:04:56.567 --> 02:04:59.069]  Divide.
[02:04:59.069 --> 02:05:04.914]  And then pretend they have the moral high ground because that's the only thing that they can muster up
[02:05:07.878 --> 02:05:19.102]  To get any sort of confidence or genuine touch to their news when it's all fake.
[02:05:19.102 --> 02:05:33.626]  And now they're using COVID to put a mask on your face, a foreign substance in your veins, lock down your business, shut down your business, lock you down, imprison you, keep your kids from going to school.
[02:05:33.626 --> 02:05:36.307]  This is a sick death cult.
[02:05:38.951 --> 02:05:56.176]  But you know Obama in his interview is saying most people believe now they send teams out to go door-to-door in like polling style and they send teams out to ask about the Democrat Party and they're now getting like 30% of the people respond saying aren't the Democrats the leaders of a pedophile ring?
[02:05:58.723 --> 02:06:00.043]  So it's already out!
[02:06:00.043 --> 02:06:02.824]  The country has completely rebuked the Democrat Party.
[02:06:02.824 --> 02:06:04.444]  All they have is their charade.
[02:06:04.444 --> 02:06:05.564]  That's all they have.
[02:06:05.564 --> 02:06:08.105]  All they have is their shadow on the wall.
[02:06:08.105 --> 02:06:14.446]  As soon as you turn around and you see the puppet master, the shadow master, it's game over.
[02:06:14.446 --> 02:06:20.307]  As soon as that transmission is stopped, it's game over.
[02:06:20.307 --> 02:06:24.127]  America knows about the treason of Barack Obama.
[02:06:24.127 --> 02:06:26.828]  America knows about the treason of Joe Biden.
[02:06:29.980 --> 02:06:34.603]  America will not weep when these traitors are brought to justice.
[02:06:34.603 --> 02:06:39.085]  No, instead, we will weep until they are brought to justice.
[02:06:39.085 --> 02:06:45.870]  And of course, the radical leftist terrorists are going to go out in the streets and riot and loot and burn and steal and do everything they do.
[02:06:45.870 --> 02:06:47.711]  They're going to do that anyway, folks.
[02:06:47.711 --> 02:06:51.733]  And they will continue to do that until the wind has been removed from their sails.
[02:06:51.733 --> 02:06:57.837]  And that wind is the corrupt establishment and the criminals at the top of the political infrastructure, Obama,
[02:06:59.380 --> 02:07:06.105]  Biden, the Clintons, and the list goes on and on.
[02:07:06.105 --> 02:07:15.331]  But you need not know anything else about the Democrat Party than this.
[02:07:15.331 --> 02:07:18.294]  They want to give you the choice to kill your children
[02:07:19.278 --> 02:07:20.679]  But you have no choice.
[02:07:20.679 --> 02:07:21.860]  You must wear a mask.
[02:07:21.860 --> 02:07:23.581]  You have no choice.
[02:07:23.581 --> 02:07:24.742]  You must take a vaccine.
[02:07:24.742 --> 02:07:25.983]  You have no choice.
[02:07:25.983 --> 02:07:27.284]  You must close your business.
[02:07:27.284 --> 02:07:28.285]  You have no choice.
[02:07:28.285 --> 02:07:29.946]  You can't send your kids to school.
[02:07:29.946 --> 02:07:31.227]  You have no choice.
[02:07:31.227 --> 02:07:33.468]  You must go under house arrest.
[02:07:33.468 --> 02:07:36.271]  So you have no freedoms, no choice, nothing.
[02:07:36.271 --> 02:07:37.531]  They run your lives.
[02:07:37.531 --> 02:07:39.213]  Except you get to kill your kid.
[02:07:39.213 --> 02:07:41.995]  They'll give you that one little freedom.
[02:07:41.995 --> 02:07:44.837]  And that's all you need to know about the Democrat Party politic right there.
[02:07:46.578 --> 02:07:49.359]  That's all you need to know.
[02:07:49.359 --> 02:07:58.223]  And now Joe Biden is forming the most Hitlerian, totalitarian, authoritarian regime that you've ever seen.
[02:07:58.223 --> 02:08:01.585]  He wants Ezekiel Emanuel on his team.
[02:08:01.585 --> 02:08:03.185]  He's already put him on his team.
[02:08:03.185 --> 02:08:05.787]  Oh, that's just the guy that put death panels into Obamacare.
[02:08:05.787 --> 02:08:11.849]  So you turn 75 years old, Emanuel shows up and, you know, he kills you with the death panel.
[02:08:11.849 --> 02:08:12.229]  Oh, no, no, no.
[02:08:12.229 --> 02:08:13.270]  It's just part of Obamacare.
[02:08:15.694 --> 02:08:35.963]  He just appointed to his treasury team a lady who worked with Kamala Harris, Mirza Baradaran, who wants white people to pay reparations to black people.
[02:08:35.963 --> 02:08:43.926]  He has appointed Richard Stengel to his transition team, who is anti-free speech.
[02:08:46.738 --> 02:08:53.199]  And has said, speech on the internet must be censored, especially hate speech or speech that could lead to violence.
[02:08:53.199 --> 02:08:54.920]  No!
[02:08:54.920 --> 02:08:56.380]  No!
[02:08:56.380 --> 02:08:59.780]  It's all a lie!
[02:08:59.780 --> 02:09:04.001]  Again, I was saying this on the war room, here's the analogy.
[02:09:04.001 --> 02:09:12.803]  If you're at your neighbor's house having a barbecue, and someone comes up to you, your wife is at home, and someone comes up to you and says, hey man,
[02:09:14.147 --> 02:09:17.369]  A guy just broke into your house and is raping your wife right now.
[02:09:17.369 --> 02:09:18.290]  Do you get mad at him?
[02:09:18.290 --> 02:09:19.831]  Do you say, how dare you say that?
[02:09:19.831 --> 02:09:22.013]  You're inciting me to violence!
[02:09:22.013 --> 02:09:23.814]  And then punch him in the mouth?
[02:09:23.814 --> 02:09:27.396]  Or do you run across the street and save your wife from getting raped?
[02:09:27.396 --> 02:09:28.617]  I think the answer's obvious.
[02:09:28.617 --> 02:09:29.858]  No.
[02:09:29.858 --> 02:09:34.681]  The Democrats want you to be mad at the messenger and let them rape your wife.
[02:09:34.681 --> 02:09:36.283]  Hey, the Democrats stole the election.
[02:09:36.283 --> 02:09:36.983]  Don't say that!
[02:09:36.983 --> 02:09:37.984]  That could lead to violence!
[02:09:39.147 --> 02:09:43.629]  Hey, Barack Obama and Joe Biden sold you out to China and Russia and Ukraine.
[02:09:43.629 --> 02:09:44.509]  Hey, don't say that!
[02:09:44.509 --> 02:09:45.449]  That'll lead to violence.
[02:09:45.449 --> 02:09:46.870]  No, they're the criminals!
[02:09:46.870 --> 02:09:51.411]  Introducing Infowars Life Pure Turmeric Extract.
[02:09:51.411 --> 02:09:53.952]  This is taken under the tongue.
[02:09:53.952 --> 02:09:55.113]  It is pure turmeric.
[02:09:56.133 --> 02:10:05.366]  It goes together very well with our body's ultimate tumeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[02:10:05.366 --> 02:10:11.194]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach.
[02:10:11.194 --> 02:10:13.357]  So it's more of an intense delivery system.
[02:10:13.797 --> 02:10:17.040]  The two formulas are different, but both are concentrates.
[02:10:17.040 --> 02:10:18.882]  And our first product got rave reviews.
[02:10:18.882 --> 02:10:21.003]  We've now been testing this out for several months.
[02:10:21.003 --> 02:10:23.185]  Some of our staff like it more than bodies.
[02:10:23.185 --> 02:10:24.546]  Some like bodies better.
[02:10:24.546 --> 02:10:28.690]  For me, they're both amazing for their anti-inflammatory action and so much more.
[02:10:28.690 --> 02:10:29.871]  And they fund the InfoWar.
[02:10:29.871 --> 02:10:34.495]  So get our new liquid turmeric extract exclusively at InfoWarStore.com today.
[02:10:34.495 --> 02:10:35.236]  An additional 25% off.
[02:10:35.236 --> 02:10:35.736]  This is a 360 win.
[02:10:38.979 --> 02:10:44.061]  Tumeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[02:10:44.061 --> 02:10:46.762]  Get yours today at InfoWarsLife.com.
[02:10:46.762 --> 02:10:48.682]  You know, something very sad is happening.
[02:10:48.682 --> 02:10:55.444]  It's very sad because it was all avoidable two and a half years ago when InfoWars got banned off of more than 60 major platforms.
[02:10:55.444 --> 02:10:56.745]  I warn everybody that was a precedent.
[02:10:57.446 --> 02:11:10.943]  For the upcoming presidential election and that they would continue to ratchet down and tighten down the censorship until effectively there was a total internet kill switch in place against conservatives, nationals and populists.
[02:11:10.943 --> 02:11:11.624]  And now that's happened.
[02:11:12.225 --> 02:11:26.332]  And then I told everybody that they would then start moving to arrest individuals that demonstrate and protest using a second COVID-19 lockdown, and that Trump needed to get out front and fully repudiate COVID-19 as basically an overblown hoax.
[02:11:26.332 --> 02:11:33.336]  He started to do that in the last few months of the campaign, but we have to understand that that's the pincer attack they're going to use.
[02:11:33.336 --> 02:11:41.200]  They're going to use Black Lives Matter and race war to stir up the American people and divide us, and they're going to use economic warfare, shutting down the economy, to try to control us.
[02:11:42.120 --> 02:11:50.303]  I hope people will listen now to my warnings because I'm on air telling people what's coming next.
[02:11:50.303 --> 02:11:52.923]  You're listening to the Alex Jones Show!
[02:12:13.317 --> 02:12:15.178]  The Republic is rising.
[02:12:15.178 --> 02:12:17.779]  America is roaring.
[02:12:17.779 --> 02:12:33.865]  But the deep state technotronic kleptocrats in the Democrat Party allied with globalists in the UN and the World Health Organization and communists in China will stop at nothing to make you their slave.
[02:12:33.865 --> 02:12:38.306]  To make you a farm animal in the New World Order.
[02:12:38.306 --> 02:12:39.487]  This is the Alex Jones Show.
[02:12:39.487 --> 02:12:41.247]  I'm Owen Troyer filling in for Alex Jones.
[02:12:41.247 --> 02:12:42.168]  You know, it really is
[02:12:43.160 --> 02:13:09.045]  A sick, but you have to give him credit, effective psychological and cultural trap that the left and their media has put us in, where they gaslight all day long, they lie all day long, they commit crimes and treason all day long, and then they cover it up, and then when you dare say it, they say, hey, that's hate speech, that's gonna lead to violence.
[02:13:09.045 --> 02:13:10.725]  I try to make analogies here.
[02:13:12.998 --> 02:13:13.999]  So people can understand.
[02:13:13.999 --> 02:13:17.221]  Because I don't know if people can understand what I'm saying half the time.
[02:13:17.221 --> 02:13:24.667]  It's like, is it just in my head this makes sense, or is this translating on air?
[02:13:24.667 --> 02:13:37.657]  If you're in the high school lunch room, and there's a guy going around stealing everybody's lunch money.
[02:13:37.657 --> 02:13:39.299]  Everybody's like, where's all my lunch money going?
[02:13:39.299 --> 02:13:41.040]  This is weird.
[02:13:41.040 --> 02:13:42.081]  And then you're like, hey, uh,
[02:13:44.781 --> 02:13:50.326]  Steve over there has been going around stealing everybody's lunch money.
[02:13:50.326 --> 02:13:53.708]  And then Steve comes up to you and says, hey man, don't say that.
[02:13:53.708 --> 02:13:55.370]  That's hateful against me.
[02:13:55.370 --> 02:13:57.351]  That could lead to violence against me.
[02:13:57.351 --> 02:13:59.073]  Well, hold on a second, Steve.
[02:13:59.073 --> 02:14:00.514]  You're the one that stole all the lunch money.
[02:14:02.352 --> 02:14:03.753]  That's who the globalists are!
[02:14:03.753 --> 02:14:05.073]  That's who the Democrats are!
[02:14:05.073 --> 02:14:06.494]  That's who the mainstream media is!
[02:14:06.494 --> 02:14:07.994]  They've stolen your country!
[02:14:07.994 --> 02:14:09.535]  They've stolen your integrity!
[02:14:09.535 --> 02:14:10.975]  They've stolen your freedom!
[02:14:10.975 --> 02:14:12.376]  They've stolen your reality!
[02:14:12.376 --> 02:14:14.376]  They've stolen everything!
[02:14:14.376 --> 02:14:15.957]  They've stolen your future!
[02:14:15.957 --> 02:14:18.078]  They've stolen your children's future!
[02:14:18.078 --> 02:14:20.759]  They've stolen our education system!
[02:14:20.759 --> 02:14:29.782]  They have taken from us everything except the very breath from our mouths and now they're coming for that too with a stupid face mask!
[02:14:31.977 --> 02:14:34.959]  And so you just point the finger and you say, you've done this!
[02:14:34.959 --> 02:14:36.540]  You've committed these crimes!
[02:14:36.540 --> 02:14:38.421]  You've committed these atrocities!
[02:14:38.421 --> 02:14:40.022]  You're trying to make us a slave!
[02:14:40.022 --> 02:14:41.183]  You're lying to us!
[02:14:41.183 --> 02:14:42.303]  You're dividing us!
[02:14:42.303 --> 02:14:43.604]  You're gaslighting us!
[02:14:43.604 --> 02:14:44.605]  You're instigating us!
[02:14:44.605 --> 02:14:45.245]  You're doing it!
[02:14:45.245 --> 02:14:47.326]  And they say, don't say that!
[02:14:47.326 --> 02:14:49.728]  That could lead to violence against us!
[02:14:49.728 --> 02:14:50.428]  Well, you know what?
[02:14:50.428 --> 02:14:52.549]  Maybe you deserve what's coming!
[02:14:52.549 --> 02:14:54.271]  You ever thought about that?
[02:14:54.271 --> 02:14:55.611]  Oh wait, they have!
[02:14:55.611 --> 02:14:58.653]  That's why they're so scared.
[02:14:58.653 --> 02:15:01.475]  Did you really think we would just take this on our backs?
[02:15:05.086 --> 02:15:09.428]  You really thought you could control the mobs?
[02:15:09.428 --> 02:15:12.630]  No.
[02:15:12.630 --> 02:15:14.991]  No.
[02:15:14.991 --> 02:15:15.572]  But you know what?
[02:15:15.572 --> 02:15:21.495]  I think what President Trump is doing right now is he's giving these people one last chance.
[02:15:21.495 --> 02:15:29.299]  And he may have even given them a day and just said, you know what?
[02:15:29.299 --> 02:15:30.019]  I'm going to go away.
[02:15:30.019 --> 02:15:32.681]  I'm going to be quiet for about 30 days.
[02:15:34.844 --> 02:15:38.626]  And you guys can concede this election.
[02:15:38.626 --> 02:15:43.749]  And you can stop lying to the American people.
[02:15:43.749 --> 02:15:50.573]  And you can stop making deals with the Communist Chinese and stop working for the UN and the World Health Organization.
[02:15:50.573 --> 02:15:53.955]  And let me be president.
[02:15:53.955 --> 02:15:57.737]  Or you can continue to tick off the Americans.
[02:15:57.737 --> 02:15:59.558]  You can continue to tick off the Republic.
[02:16:02.321 --> 02:16:04.061]  And I'll unleash this beast.
[02:16:04.061 --> 02:16:05.382]  I'll unleash this kraken.
[02:16:05.382 --> 02:16:07.822]  I'll let this line roar.
[02:16:07.822 --> 02:16:11.663]  And you can deal with that instead.
[02:16:11.663 --> 02:16:15.884]  Because that's where this is going.
[02:16:15.884 --> 02:16:18.365]  Yeah, it's a million marchers in D.C.
[02:16:18.365 --> 02:16:19.825]  peacefully now.
[02:16:19.825 --> 02:16:23.126]  Yeah, it's going to be thousands of people peacefully in Atlanta this weekend.
[02:16:23.126 --> 02:16:27.547]  But let me tell you, if you steal this election from us and you put in a U.N.
[02:16:29.997 --> 02:16:33.119]  Communist, corrupt, criminal Joe Biden in the White House.
[02:16:33.119 --> 02:16:36.321]  It's not going to be a million peaceful marchers in D.C.
[02:16:36.321 --> 02:16:38.242]  No, no, no.
[02:16:38.242 --> 02:16:40.924]  No, it's not.
[02:16:40.924 --> 02:16:41.644]  No, it's not.
[02:16:41.644 --> 02:16:44.546]  And you know, quite frankly, that's not a threat.
[02:16:44.546 --> 02:16:53.372]  Because... I'm to the point where... I mean, we can lead marches all day long.
[02:16:53.372 --> 02:16:53.532]  But...
[02:16:55.009 --> 02:16:59.032]  I know, I won't have to be the one to get my hands dirty.
[02:16:59.032 --> 02:17:01.834]  I could sit right here in studio and just broadcast the whole thing.
[02:17:01.834 --> 02:17:03.896]  It's going to be 3 million veterans.
[02:17:03.896 --> 02:17:19.367]  It's going to be 3 million fathers that have been fed up and at the end of their rope for a long, long time who have been screwed over by this system and are done.
[02:17:19.367 --> 02:17:20.648]  But I think that's what Trump is doing.
[02:17:22.492 --> 02:17:25.553]  I think Trump is giving them one last time.
[02:17:25.553 --> 02:17:27.153]  One last shot.
[02:17:27.153 --> 02:17:29.193]  To just let it go.
[02:17:29.193 --> 02:17:32.354]  Quit torturing us.
[02:17:32.354 --> 02:17:38.515]  Quit interfering in our elections.
[02:17:38.515 --> 02:17:39.836]  Quit lying to the American people.
[02:17:39.836 --> 02:17:41.636]  Quit lying about the President of the United States.
[02:17:41.636 --> 02:17:44.076]  Quit lying about Trump supporters.
[02:17:44.076 --> 02:17:45.617]  Just stop all your lies.
[02:17:45.617 --> 02:17:47.057]  Stop all your treason.
[02:17:47.057 --> 02:17:48.697]  Stop all your foreign deals.
[02:17:48.697 --> 02:17:50.538]  Stop all your fake hate crimes.
[02:17:50.538 --> 02:17:51.418]  Just stop it all.
[02:17:52.759 --> 02:17:57.924]  Trump's giving them one last shot, and of course they're not going to stop.
[02:17:57.924 --> 02:18:16.501]  But see, just like they have to have that metaphysical comfort, just like they have to have that metaphysical comfort of you accepting the mask, you accepting the vaccine, you accepting the tyranny, you inviting the tyranny, that gives them the metaphysical comfort knowing they didn't force it on you, you accepted it.
[02:18:19.448 --> 02:18:24.391]  Trump, we have to have the same metaphysical comfort knowing that we gave them a last shot too.
[02:18:24.391 --> 02:18:28.413]  Hey, we gave you one last chance to stop it.
[02:18:28.413 --> 02:18:30.814]  Stop with the enslavement of mankind.
[02:18:30.814 --> 02:18:34.056]  Stop with the lies that you're telling mankind.
[02:18:34.056 --> 02:18:34.796]  Stop all of it.
[02:18:34.796 --> 02:18:35.776]  Stop the election theft.
[02:18:35.776 --> 02:18:37.037]  You can stop it all right now.
[02:18:37.037 --> 02:18:39.258]  The censorship, you're coming after all of us.
[02:18:39.258 --> 02:18:40.239]  And they won't do it!
[02:18:40.239 --> 02:18:44.801]  But they've been given the metaphysical opportunity now.
[02:18:44.801 --> 02:18:46.142]  So there will be no excuses.
[02:18:47.594 --> 02:18:57.218]  Now, coming up in the next segment, we're going to be joined by Alex Jones and by Nick Fuentes.
[02:18:57.218 --> 02:19:02.099]  And apparently Alex has a big announcement that he is going to be making.
[02:19:02.099 --> 02:19:03.640]  And he really wants me to emphasize that.
[02:19:03.640 --> 02:19:05.381]  So Alex is coming up.
[02:19:05.381 --> 02:19:07.762]  Huge announcement next segment.
[02:19:07.762 --> 02:19:08.902]  I'm not sure what it is, folks.
[02:19:08.902 --> 02:19:10.082]  I'm just getting this information.
[02:19:10.082 --> 02:19:12.463]  I'm passing it along to you.
[02:19:12.463 --> 02:19:16.565]  So Alex is excited with a big announcement coming up in the next segment.
[02:19:17.526 --> 02:19:18.927]  So don't go anywhere.
[02:19:18.927 --> 02:19:24.990]  Ladies and gentlemen, again, all of this is made possible with your support at InfoWarsTore.com.
[02:19:24.990 --> 02:19:31.773]  I am drinking the great Wake Up America Coffee that is exclusively available at InfoWarsTore.com.
[02:19:31.773 --> 02:19:37.136]  It's the Wake Up America Patriot Blend Coffee.
[02:19:37.136 --> 02:19:39.417]  It's my favorite cup of coffee.
[02:19:39.417 --> 02:19:40.998]  It's the crew's favorite cup of coffee.
[02:19:40.998 --> 02:19:43.119]  It's only available at InfoWarsTore.com.
[02:19:43.119 --> 02:19:44.380]  Just one of the many ways
[02:19:45.250 --> 02:19:46.531]  You can support us.
[02:19:46.531 --> 02:19:48.854]  I'm sure there's a lot of coffee drinkers in the audience.
[02:19:48.854 --> 02:19:51.477]  Why not get the coffee from infowarsstore.com?
[02:19:54.264 --> 02:20:01.068]  And while you're there, check out the great water filters, check out the great air filters, check out the emergency food supplies.
[02:20:01.068 --> 02:20:03.910]  If you don't have emergency food supplies yet, now is the time.
[02:20:03.910 --> 02:20:06.571]  It's always the time if you don't have them yet.
[02:20:06.571 --> 02:20:12.735]  Check out the great supplements, 50% off DNA Force Plus right now, 50% off Bodies right now.
[02:20:12.735 --> 02:20:21.180]  Those are two top-rated, top-selling supplements, both 50% off, and there's other huge discounts at InfoWarsTore.com, part of the Stop the Steal special.
[02:20:22.000 --> 02:20:25.841]  That is happening right now at InfoWarsStore.com.
[02:20:25.841 --> 02:20:27.401]  All right.
[02:20:27.401 --> 02:20:32.963]  When we come back, Nick Fuentes will be joining Alex Jones.
[02:20:32.963 --> 02:20:35.204]  And Alex Jones has a big announcement.
[02:20:35.204 --> 02:20:37.204]  He's really excited.
[02:20:37.204 --> 02:20:44.006]  He wants me to tell you, to tell your friends and family to tune in for big news coming from Alex Jones in four minutes.
[02:20:46.291 --> 02:20:47.411]  Look it up for yourself.
[02:20:47.411 --> 02:20:55.755]  The head of the Davos Group issued a report more than six months ago calling for world government to be openly established to respond to COVID-19.
[02:20:55.755 --> 02:21:01.217]  And that COVID-19 was a blessing to lower the planet's carbon footprint.
[02:21:01.217 --> 02:21:06.999]  Since then, Prince Charles and countless others have come out and said the exact same thing.
[02:21:06.999 --> 02:21:10.941]  The most ancient form of total war is called siege.
[02:21:11.980 --> 02:21:15.213]  And that's when you cut people off from their resources.
[02:21:15.213 --> 02:21:16.459]  That's when you lock them down.
[02:21:17.423 --> 02:21:20.966]  And this isn't siege to make us capitulate to the globalists or just get rid of Donald Trump.
[02:21:20.966 --> 02:21:21.727]  That's only part of it.
[02:21:21.727 --> 02:21:34.097]  This is siege to literally train us to be poor and to get us into deep debt so then the globalist social engineers can dictate how we live our lives with the social credit score surveillance grip.
[02:21:34.097 --> 02:21:35.438]  So you've heard the U.S.
[02:21:35.438 --> 02:21:38.180]  Army saying our job is to kill people and break things?
[02:21:38.180 --> 02:21:40.001]  Well, that's what the lockdown's doing.
[02:21:40.001 --> 02:21:42.503]  It's starving the third world, millions and millions of death.
[02:21:42.503 --> 02:21:44.665]  It's breaking down the supply chain in society.
[02:21:44.665 --> 02:21:45.226]  It's their mission.
[02:21:47.011 --> 02:21:47.792]  Warning!
[02:21:47.792 --> 02:21:48.532]  Warning!
[02:21:48.532 --> 02:21:49.373]  Warning!
[02:21:49.373 --> 02:22:04.984]  There is not long to stop the complete martial law takeover, the giant third world collapse, and a new world war that is going to be triggered by the new COVID lockdown announced by globalist systems in Europe, in Asia, and now in the United States.
[02:22:05.925 --> 02:22:21.493]  Joe Biden is set to announce today that he has a new COVID task force that is calling for a national mask mandate to prove your servitude, contact tracing, forced inoculations coming, but most importantly, a new lockdown.
