[00:00:03.922 --> 00:00:04.683]  Just checking in.
[01:45:33.356 --> 01:45:36.239]  There's no words that are going to be some sort of security guard around you.
[01:45:36.239 --> 01:45:39.703]  And of course, our whole goal is to avoid that kind of stuff, Alex, of course.
[01:45:39.703 --> 01:45:42.926]  And the way that we do it, we have the option now to not have
[01:45:43.446 --> 01:45:43.807]  We're good.
[01:45:58.303 --> 01:46:01.886]  To have people push back, not with weapons, but with words.
[01:46:01.886 --> 01:46:17.840]  And so my goal, again, the whole point of the book, TheArtOfTheArgument.com, is to give people the skills, the ability, the language in a tightly reasoned and entertaining package so that we don't have to escalate to another blowback situation, to a Weimar-style aggression from the right.
[01:46:17.840 --> 01:46:19.882]  I'm going to make sure your book is hand-delivered to Trump.
[01:46:22.028 --> 01:46:23.009]  Well, I would appreciate that.
[01:46:23.009 --> 01:46:23.209]  I'm sure.
[01:46:23.209 --> 01:46:24.650]  Well, I'm not bragging about my contacts.
[01:46:24.650 --> 01:46:25.431]  We don't talk about them.
[01:46:25.431 --> 01:46:26.452]  We don't know how we're getting it.
[01:46:26.452 --> 01:46:28.074]  It's not just Roger Stone.
[01:46:28.074 --> 01:46:31.017]  But I've got ways, and I'm going to get your book to the President.
[01:46:31.017 --> 01:46:33.160]  I mean, he's already clearly aware of what's going on.
[01:46:33.160 --> 01:46:35.402]  This is the type of book he'd really read.
[01:46:35.402 --> 01:46:39.467]  And I guess your title is a little bit of an ode to art of the deal.
[01:46:40.686 --> 01:46:42.408]  No, no, that's a complete coincidence.
[01:46:42.408 --> 01:46:43.950]  I will maintain that answer.
[01:46:43.950 --> 01:46:47.473]  Yes, of course, it had something to do with it.
[01:46:47.473 --> 01:46:52.018]  And if we don't give people language, they're going to start picking up swords in response.
[01:46:52.018 --> 01:46:57.084]  You know, there's only so much that people can stand being physically aggressed against and beaten down before that.
[01:46:57.084 --> 01:46:57.624]  I love it.
[01:46:57.624 --> 01:47:00.828]  He always finishes my question before I ask it.
[01:47:01.468 --> 01:47:17.414]  I don't want violence, but if somebody hurts my family, if they keep pushing, wants to switch... I mean, when they're on TV saying, with the former CIA director saying, we're going to kill the president once we plunge the economy for the next two months, he's trying to hurt the economy, he's trying to hurt my family, he wants to kill my president.
[01:47:17.414 --> 01:47:22.397]  I know, as a figurehead, he means he wants to get me, and it starts turning areas on my brain.
[01:47:22.397 --> 01:47:25.818]  Stefan, I don't like, you know, getting very cold, very militaristic.
[01:47:26.138 --> 01:47:30.299]  You know, that's in all our family histories, but I'm not just good at business and life and everything else.
[01:47:30.299 --> 01:47:34.040]  I start turning on the switches to be the killer.
[01:47:34.040 --> 01:47:39.742]  And I'm not saying I'm going to start killing people, but don't they understand what they're opening up here?
[01:47:39.742 --> 01:47:51.566]  Well, I don't think they do, Alex, because it's been a long time since, I guess, Europeans, and I've said this for years, Europeans, very nice, very, very nice people give you the shirt off their back.
[01:47:52.265 --> 01:47:53.445]  Until they're not.
[01:47:53.445 --> 01:47:54.866]  And then they're really, really not.
[01:47:54.866 --> 01:47:56.886]  And I think of this in, you know, the Britain.
[01:47:56.886 --> 01:47:58.246]  England in Germany.
[01:47:58.246 --> 01:48:00.186]  England versus Germany versus Hitler in the 1930s.
[01:48:00.186 --> 01:48:01.807]  It was like, appease, appease, appease.
[01:48:01.807 --> 01:48:03.127]  Let's try and find a nice way out.
[01:48:03.127 --> 01:48:04.327]  Let's try and be reasonable.
[01:48:04.327 --> 01:48:05.988]  Let's try and negotiate.
[01:48:05.988 --> 01:48:10.648]  And then at some point it's like, okay, I guess we're just going to have to bomb Germany back to the Stone Age.
[01:48:10.648 --> 01:48:12.649]  Because Europeans, very, very nice.
[01:48:12.649 --> 01:48:13.369]  Until they're not.
[01:48:13.369 --> 01:48:14.549]  And then they're really, really not.
[01:48:14.549 --> 01:48:17.190]  And I really want to avoid that, if at all humanly possible.
[01:48:17.190 --> 01:48:18.670]  And I think we can avoid it now.
[01:48:19.261 --> 01:48:21.203]  And that brings us to North Korea.
[01:48:21.203 --> 01:48:22.664]  I mean, the Clintons gave them the missiles.
[01:48:22.664 --> 01:48:23.925]  I don't want to demonize the Clintons.
[01:48:23.925 --> 01:48:25.087]  It's always them!
[01:48:25.087 --> 01:48:26.728]  The missiles, the reactors.
[01:48:26.728 --> 01:48:33.414]  And now he's firing it over Japan, a low-trick, they can see the missile going over and crashing and threatening to nuke everybody.
[01:48:33.414 --> 01:48:36.157]  And you see Putin evacuating eastern Russia.
[01:48:36.157 --> 01:48:36.938]  They've never done that.
[01:48:36.938 --> 01:48:42.043]  And the word is, they've told, Russia is reportedly going to stand down if Trump hits North Korea.
[01:48:43.615 --> 01:48:44.155]  Which is good.
[01:48:44.155 --> 01:48:47.656]  Well, it is an astonishing and terrifying situation, of course.
[01:48:47.656 --> 01:48:51.796]  And it feels like this loop, you know, back when you and I were, I guess, younger.
[01:48:51.796 --> 01:48:53.657]  I'd like to say young, but younger.
[01:48:53.657 --> 01:48:56.637]  When we were younger, there was this loop of like, well, Russia's going to bomb you.
[01:48:56.637 --> 01:48:58.258]  There's all this nuclear stuff going on.
[01:48:58.258 --> 01:49:00.178]  And it seems like we keep pulling back from that.
[01:49:00.178 --> 01:49:04.479]  And then, you know, there's always a new jerk in the universe who's going to make things more difficult.
[01:49:04.479 --> 01:49:07.319]  But Russia was never firing missiles and doing stuff like this.
[01:49:07.319 --> 01:49:11.540]  And we're the ones, our elites are the ones that actually, Russia didn't give North Korea the stuff.
[01:49:13.365 --> 01:49:13.945]  No, that's right.
[01:49:13.945 --> 01:49:18.027]  I mean, I don't have a lot to say about what should happen geopolitically.
[01:49:18.027 --> 01:49:22.190]  I don't have access to the military information that other people do, but I will say this.
[01:49:22.190 --> 01:49:22.670]  North Korea...
[01:49:23.726 --> 01:49:31.591]  Was a communist country and now it's morphed into the usual nightmare freak show of totalitarianism and concentration camps that this does.
[01:49:31.591 --> 01:49:38.116]  What we can do of course is look at this as we can look at Venezuela where people are breaking into zoos to eat the animals.
[01:49:38.116 --> 01:49:40.998]  We can look at that and say this is the end result of collectivism.
[01:49:40.998 --> 01:49:42.759]  This is the end result of central planning.
[01:49:42.759 --> 01:49:46.942]  This is the end result of expansions of government power in particular over the economy.
[01:49:46.942 --> 01:49:49.904]  They come for your stuff and then they come for you.
[01:49:49.904 --> 01:49:53.406]  And so I want us to look at North Korea and say what a horrifying situation.
[01:49:53.726 --> 01:49:55.708]  We're still early days in the West.
[01:49:55.708 --> 01:49:57.229]  It's getting later as we move forward.
[01:49:57.229 --> 01:50:01.914]  We need to find and dig out this ideology, argue against it, and discredit it.
[01:50:01.914 --> 01:50:06.198]  Once and for all, we need to discredit this collectivism before we're all gone from the planet.
[01:50:06.198 --> 01:50:07.959]  I was about to say, how do you do that?
[01:50:07.959 --> 01:50:09.521]  It's like discrediting cancer.
[01:50:09.521 --> 01:50:10.242]  Do I need to?
[01:50:10.242 --> 01:50:14.325]  I mean, I remember just five years ago, whatever, Sean Pym was still worshipping
[01:50:15.387 --> 01:50:19.171]  The Venezuelan dictator Hugo Chavez is saying America should be like this.
[01:50:19.171 --> 01:50:20.913]  It was already a hellhole.
[01:50:20.913 --> 01:50:23.216]  They'd eaten all the zoo animals two years ago.
[01:50:23.216 --> 01:50:24.898]  I mean, it's way beyond all that now.
[01:50:24.898 --> 01:50:27.521]  We're going to come back from break and talk about all this and get Owen's take on it.
[01:50:28.737 --> 01:50:30.278]  How do you discredit Cuba?
[01:50:30.278 --> 01:50:31.279]  How do you discredit North Korea?
[01:50:31.279 --> 01:50:33.021]  How do you discredit the Soviet Union?
[01:50:33.021 --> 01:50:35.383]  Again, it's like discrediting gonorrhea.
[01:50:35.383 --> 01:50:37.585]  You know, you really don't want gonorrhea.
[01:50:37.585 --> 01:50:38.906]  You really don't want brain cancer.
[01:50:38.906 --> 01:50:41.288]  You know, you really don't want to stick your hand in a garbage disposal.
[01:50:41.288 --> 01:50:46.233]  But we have to do it because every idiot walks over and says, I wish we had free health care like England.
[01:50:46.233 --> 01:50:49.696]  I'm like, people with money in England come over here because they got to wait for it.
[01:50:49.696 --> 01:50:52.498]  I mean, you people are idiots!
[01:50:52.498 --> 01:50:54.160]  Communism is the damn nightmare!
[01:50:55.279 --> 01:50:57.320]  North Korea openly threatens the U.S.
[01:50:57.320 --> 01:50:59.220]  and launches a new missile every other week.
[01:50:59.220 --> 01:51:00.481]  Their warhead of choice?
[01:51:00.481 --> 01:51:01.901]  Electromagnetic pulse.
[01:51:01.901 --> 01:51:03.382]  Such an event would cripple the U.S.
[01:51:03.382 --> 01:51:05.842]  power grid for years and leave millions in the dark.
[01:51:05.842 --> 01:51:06.522]  Are you ready?
[01:51:06.522 --> 01:51:09.884]  You can be with a Sol-Ark EMP-hardened solar generator.
[01:51:09.884 --> 01:51:13.165]  Sol-Ark works day in and day out to keep your essentials protected.
[01:51:13.165 --> 01:51:16.846]  You can have peace of mind knowing your power will be there when you most need it.
[01:51:16.846 --> 01:51:20.287]  Visit PortableSolarLLC.com to see EMP testing.
[01:51:20.287 --> 01:51:22.387]  That's PortableSolarLLC.com.
[01:51:22.387 --> 01:51:24.008]  Energy insurance for your family.
[01:51:24.708 --> 01:51:27.309]  Hunters, anglers, campers, and survivalists.
[01:51:27.309 --> 01:51:28.370]  Get back to nature.
[01:51:28.370 --> 01:51:35.534]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[01:51:35.534 --> 01:51:38.896]  Slingbow products are compact and models start from just $17.98.
[01:51:38.896 --> 01:51:42.378]  They're perfect for your bug out bag or storing in your vehicle.
[01:51:42.378 --> 01:51:46.460]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:51:46.460 --> 01:51:50.962]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:51:50.962 --> 01:51:53.564]  Feel the thrill only at slingbow.com.
[01:51:54.364 --> 01:52:03.938]  You want to save money in a place that gives you growth, control, and certainty without stock market risk or tax risk, and you want guarantees, and you want it all tax-free!
[01:52:03.938 --> 01:52:05.140]  That's a tall order!
[01:52:05.140 --> 01:52:09.627]  But you can get all of that with properly designed participating whole life insurance.
[01:52:09.867 --> 01:52:12.728]  Most people think life insurance pays after you're dead.
[01:52:12.728 --> 01:52:13.548]  That's true.
[01:52:13.548 --> 01:52:18.069]  But you can have tax-free access to use your life insurance while you're alive.
[01:52:18.069 --> 01:52:20.329]  Get the free book to find out how.
[01:52:20.329 --> 01:52:24.010]  Call 702-660-7000.
[01:52:24.010 --> 01:52:24.890]  It's a no-brainer.
[01:52:24.890 --> 01:52:27.271]  A big, berky water filter is the one you need, period.
[01:52:27.271 --> 01:52:35.313]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA, and other endocrine disruptors, pesticides, bacteria, viruses, and much more, right?
[01:52:35.313 --> 01:52:37.113]  And does it all at only two cents per gallon.
[01:52:37.233 --> 01:52:40.895]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[01:52:40.895 --> 01:52:45.557]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[01:52:45.557 --> 01:52:49.959]  Call or click 1-877-99-BERKEY or bigberkeywaterfilters.com.
[01:52:49.959 --> 01:52:50.600]  That's 1-877-99-BERKEY.
[01:52:53.841 --> 01:52:57.362]  Are you one of the 15 million men who suffer from an enlarged prostate?
[01:52:57.362 --> 01:53:05.545]  If your life revolves around finding the closest bathroom, if you're tired of waking up many times a night to urinate, then you need to know about Prostate Miracle.
[01:53:05.545 --> 01:53:10.547]  Prostate Miracle contains beta-cytosterone, which is 3,000 times stronger than salt by metal.
[01:53:10.547 --> 01:53:17.169]  To claim your $10 Patriot discount, go to ProstateMiracle.com and enter promo code PATRIOT or call 877-965-2140.
[01:53:17.169 --> 01:53:17.409]  That's 877-965-2140.
[01:53:23.411 --> 01:53:29.274]  If you had purchased $100 of Bitcoin in 2010, today you'd have $2,600,000.
[01:53:29.274 --> 01:53:35.777]  While that sinks in, you now have a huge cryptocurrency opportunity at below market price at a guaranteed $0.10 per coin.
[01:53:35.777 --> 01:53:45.702]  ProCoin, a coin publicly traded on the open market, easily converted to cash, available in 60 countries, and ProCoin is the only cryptocurrency offering coin-backed rewards for consumers and merchants.
[01:53:45.702 --> 01:53:48.723]  Take action by August 31st at ProCoinCurrency.net.
[01:53:48.723 --> 01:53:50.384]  That's ProCoinCurrency.net.
[01:53:50.384 --> 01:53:52.065]  Deadline for $0.10 guarantee is August 31st.
[01:54:00.758 --> 01:54:01.119]  Yeah.
[01:54:12.777 --> 01:54:19.660]  Owen Troyer is our guest, writing Shotgun, with Stefan Molyneux, The Art of the Argument, Western Civilization, Last Stand.
[01:54:19.660 --> 01:54:21.161]  The new book is available.
[01:54:21.161 --> 01:54:23.282]  You know, it's available on Amazon.
[01:54:23.282 --> 01:54:27.284]  More and more, I'm trying to order stuff directly from people on their own shopping carts, their own sites.
[01:54:27.284 --> 01:54:30.665]  Amazon is funding anti-gun, globalism.
[01:54:30.665 --> 01:54:31.606]  They own the Washington Post.
[01:54:31.606 --> 01:54:32.886]  They're trying to destroy the country.
[01:54:32.886 --> 01:54:36.928]  But I don't care where you get it, because, you know, it's like using a smartphone to shoot a video.
[01:54:36.928 --> 01:54:39.850]  Yeah, it's a device that spies on you, made by slaves in China.
[01:54:39.850 --> 01:54:40.530]  We admit that.
[01:54:40.530 --> 01:54:41.270]  We're not hypocrites.
[01:54:41.270 --> 01:54:42.071]  We're using it for good.
[01:54:43.154 --> 01:54:46.460]  But I guess karmically, we admit that there is some bad in it.
[01:54:46.460 --> 01:54:48.183]  But wherever you get the book, get the book.
[01:54:48.183 --> 01:54:52.071]  Where's the best place to get the book, Stefan Molyneux, where we don't get it from Amazon?
[01:54:52.071 --> 01:54:53.133]  The art of the argument.
[01:54:53.837 --> 01:55:00.119]  Well, Artoftheargument.com is the gateway to the book, and we're trying to get it to as many places, of course, as possible.
[01:55:00.119 --> 01:55:02.539]  By the way, let me say, I want to buy 5,000, 10,000 of them.
[01:55:02.539 --> 01:55:05.420]  I want to really, I haven't even read the book, but I know it's going to be excellent.
[01:55:05.420 --> 01:55:06.501]  Everything you do is excellent.
[01:55:06.501 --> 01:55:08.601]  I want to sell this book at M4 store.
[01:55:08.601 --> 01:55:09.321]  Well, that's very kind.
[01:55:09.321 --> 01:55:09.681]  Thank you.
[01:55:09.681 --> 01:55:14.963]  And I just wanted to ask your listeners for a favor, of course, if you buy the book.
[01:55:14.963 --> 01:55:15.903]  And I think you should.
[01:55:15.903 --> 01:55:16.623]  I think it's a great book.
[01:55:16.623 --> 01:55:21.885]  Like I poured everything I've got in 35 years of debating and philosophy and everything, I poured everything into this book.
[01:55:22.445 --> 01:55:22.926]  Thank you.
[01:55:39.787 --> 01:55:48.531]  It causes a chain reaction, so everybody should buy the book, read it, because I've already been reading it, I can't wait to read it, and then also donate it after you read it to the library so hundreds more will read it.
[01:55:48.531 --> 01:55:57.575]  These are all aggressive information warfare tactics that are peaceful that we use, and every little bit is like drops, drops of rain, and we're about to break the dam.
[01:55:57.575 --> 01:55:59.536]  We're so close.
[01:55:59.536 --> 01:56:04.078]  And I think one of the things as well is it will help you be more skeptical of the education you received.
[01:56:04.781 --> 01:56:19.601]  Because once people read this book and they understand how easy it is to make a really great argument, how compelling it is to make a really great argument, and how powerful it is, then what you'll do is look back and say, okay, I read this book in a couple hours and now armed to the teeth intellectually,
[01:56:20.101 --> 01:56:22.944]  What was going on during the dozen years that I was in government schools?
[01:56:22.944 --> 01:56:34.335]  You know, it really, I think, will give you a sense of how much was taken away from you, how much of your humanity and your birthright and your capacity to reason that is the only thing that makes us human, how much was stripped from you that might make you angry.
[01:56:34.335 --> 01:56:35.736]  I don't mind that.
[01:56:35.736 --> 01:56:36.877]  I hope it'll make you effective.
[01:56:36.957 --> 01:56:43.719]  Well, we're in an information war, and we've all got to have these tools, and I think I know how to debate, but it's all about logic.
[01:56:43.719 --> 01:56:45.779]  I'm going to read the book this weekend.
[01:56:45.779 --> 01:56:51.661]  I'll carve out four or five hours, stay up late, maybe pour a scotch or something, and I'm going to read the whole thing.
[01:56:51.661 --> 01:56:53.861]  Stefan, do five more minutes with us after the break.
[01:56:53.861 --> 01:56:54.621]  It's a one-minute break.
[01:56:54.621 --> 01:56:56.802]  I want to ask you, what happens if they kill
[01:56:57.955 --> 01:57:04.297]  Trump, which they're really laying the groundwork for, very ominous statements, but briefly, supporting our transmission.
[01:57:04.297 --> 01:57:05.997]  We're going to carry this book at InfoWarsTore.
[01:57:05.997 --> 01:57:06.757]  Don't have it yet.
[01:57:06.757 --> 01:57:08.498]  Get it from Stefan.
[01:57:08.498 --> 01:57:13.499]  But we are selling high-quality t-shirts, supplements, books, videos, hundreds of titles.
[01:57:13.499 --> 01:57:15.440]  You'll go to InfoWarsTore.com.
[01:57:15.440 --> 01:57:19.921]  If you'll shop there, if you'll sign up for auto shipping at 10% off, free shipping on orders $50 or more.
[01:57:21.061 --> 01:57:25.611]  We've got great supplements like Supramel Vitality, Known Herbs, Cold Pressed, 57% off.
[01:57:25.611 --> 01:57:29.479]  Even though it's a bestseller, I want folks that have been on the fence to get it.
[01:57:31.036 --> 01:57:32.017]  57% off retail.
[01:57:32.017 --> 01:57:33.797]  Infowarstore.com.
[01:57:33.797 --> 01:57:40.800]  We also have X2, 45% off, with our BioTrue Selenium, which is amazing.
[01:57:40.800 --> 01:57:45.142]  And we have Emrix Essentials that's 50% off right now.
[01:57:45.142 --> 01:57:51.484]  That's 25% off the retail price, plus 25% off if you sign up for auto ship to get it again.
[01:57:51.484 --> 01:57:55.545]  And it's Nature's Brands, one of the top organic brands, private labeled by us.
[01:57:55.545 --> 01:57:56.726]  The CEO wanted to come on and
[01:57:57.026 --> 01:58:00.708]  Put their name out, even though they're one of the top sellers of Whole Foods, knowing they'll get targeted.
[01:58:00.708 --> 01:58:02.989]  His daughter got almost killed by vaccines.
[01:58:02.989 --> 01:58:04.210]  That's what woke him up.
[01:58:04.210 --> 01:58:06.411]  So that's why folks are ready to stand by us.
[01:58:06.411 --> 01:58:13.075]  We have the Super Blue Fluoride Free Toothpaste with the colloidal silver, and of course the highest quality iodine.
[01:58:13.075 --> 01:58:15.356]  It's all available at InfoWarstore.com.
[01:58:15.356 --> 01:58:15.757]  Commit!
[01:58:16.417 --> 01:58:23.863]  To voting with your finances to get great products back, and you know we will commit to bringing you the most hardcore information.
[01:58:23.863 --> 01:58:29.227]  The only problem is I get a little too excited and go too fast because it's the animating contest that Liberty Jefferson talked about.
[01:58:29.227 --> 01:58:33.771]  Back in 70 seconds to finish up with Molyneux.
[01:58:33.771 --> 01:58:36.994]  Thank you for listening to GCN.
[01:58:36.994 --> 01:58:37.994]  Visit GCNlive.com today.
[01:58:46.326 --> 01:58:53.791]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[01:58:53.791 --> 01:59:06.999]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:59:07.939 --> 01:59:19.851]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:59:19.851 --> 01:59:25.816]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:59:26.557 --> 01:59:35.581]  Secure your biome defense in ultra-strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[01:59:35.581 --> 01:59:48.426]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[01:59:48.426 --> 01:59:51.027]  You're listening to the Alex Jones Show.
[01:59:54.399 --> 02:00:08.945]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[02:00:08.945 --> 02:00:20.731]  From the front lines of the Information War, it's Alex Jones.
[02:00:23.496 --> 02:00:27.501]  All right, the new book, The Art of the Argument, Stefan Malinow, amazing.
[02:00:27.501 --> 02:00:30.264]  We had a huge victory, we just joined us.
[02:00:30.264 --> 02:00:34.369]  Pelosi, the Democrats are having to, they're very anti-fascist, they're a gang, they're horrible, they're evil.
[02:00:34.369 --> 02:00:40.295]  Because the images of them spitting on people, beating up women, children, is blowing up in their face.
[02:00:40.295 --> 02:00:44.080]  So, some sanity is being shown by the captains of the
[02:00:45.489 --> 02:00:47.370]  Democratic Party, which is a good thing.
[02:00:47.370 --> 02:00:58.798]  Their arrogance, their spoiling for war seems to be dented a little bit, but still they have creepy guys like Phil Mudd of the CIA, former deputy director, saying, oh, we're going to kill the president the next two months.
[02:00:58.798 --> 02:01:01.220]  We're going to plunge the economy.
[02:01:01.220 --> 02:01:03.942]  We're going to screw everything up, cause riots, and then kill him.
[02:01:03.942 --> 02:01:07.904]  Now, maybe behind the scenes, the decision has been made not to kill him or to back off for now.
[02:01:07.904 --> 02:01:11.607]  Maybe it's because the president's starting to go their way a little bit on Afghanistan.
[02:01:11.607 --> 02:01:12.787]  I don't know.
[02:01:12.787 --> 02:01:14.729]  Stefan Molyneux, what do you think's really going on here?
[02:01:16.437 --> 02:01:19.920]  Well, they're trying to see everything that they can get away with.
[02:01:19.920 --> 02:01:24.443]  And, you know, Trump is something that really came out of, I guess, right fields, you could say.
[02:01:24.443 --> 02:01:28.606]  An unbought president with, in a sense, nothing to lose.
[02:01:28.606 --> 02:01:35.591]  And this is not the next step on anyone's career ladder if you've got a successful TV show and a beautiful wife and a great family and a good business.
[02:01:35.591 --> 02:01:38.273]  So he really was a surprise.
[02:01:38.273 --> 02:01:39.934]  And they, I think, are very shocked.
[02:01:40.510 --> 02:01:40.730]  Yes.
[02:02:00.947 --> 02:02:01.528]  Yeah.
[02:02:22.646 --> 02:02:25.809]  So I think they're going to have to hold back on anything too drastic.
[02:02:25.809 --> 02:02:32.756]  And this, of course, is the time where we need to strike hard with as much reason and evidence as possible and show no mercy to the false narratives.
[02:02:32.756 --> 02:02:38.821]  And with them admitting they want to ban us, that automatically makes us the avant-garde counterculture, which we already were.
[02:02:38.821 --> 02:02:40.503]  We're fighting the power structure.
[02:02:40.503 --> 02:02:43.045]  We're bringing back the renaissance that is still the most advanced.
[02:02:43.860 --> 02:02:49.924]  Human System, the real progress they're trying to suppress, when we're really the progressives and they aren't.
[02:02:49.924 --> 02:02:54.588]  One of the crew members, Matt, brought up a quick question, a final comment from you on this.
[02:02:54.588 --> 02:03:07.176]  Antifa, the left, they want to say words are hateful, like mother, father, because they know we're winning with words, so they want to claim the non-violent path of debate is violence, and now they're banning conservatives even speaking
[02:03:08.297 --> 02:03:10.261]  Well, they don't want us to have solidarity.
[02:03:20.495 --> 02:03:24.117]  You know, there's collectivism, which is imposed by the state, which is a disaster.
[02:03:24.117 --> 02:03:25.879]  But then there's solidarity.
[02:03:51.335 --> 02:03:54.656]  We are virtually invulnerable, but if we stand alone, you know, it's the old thing.
[02:03:54.656 --> 02:03:58.858]  We either hang together or we hang separately and they want to separate us and ready the nooses.
[02:03:58.858 --> 02:04:07.360]  And that's in the Facebook documents where they said our average person's a liberal alone, we want to keep them more alone, so they only interface with our virtual reality bots.
[02:04:07.360 --> 02:04:08.741]  This is the beginning of the matrix.
[02:04:09.568 --> 02:04:11.951]  And we are blowing it wide out of the water.
[02:04:11.951 --> 02:04:15.414]  And this is what I love about the title of your show, Info Wars.
[02:04:15.414 --> 02:04:18.617]  That is an apt and perfect description of where we are.
[02:04:18.617 --> 02:04:24.623]  And it is us who wield words who stand between the population and guns.
[02:04:24.623 --> 02:04:27.446]  It is the words that are going to defuse the guns or nothing.
[02:04:27.726 --> 02:04:37.652]  CNN's calling for Trump's death, but telling him to stop using Twitter, and showing outrage over and over again, like we're going to pavlovidly clap our hands like seals and say, yes, you're right.
[02:04:37.652 --> 02:04:39.633]  No, good job using the Twitter.
[02:04:39.633 --> 02:04:43.075]  Get the book, folks, The Art of the Argument, Stefan Molyneux.
[02:04:43.075 --> 02:04:44.155]  Stefan, thank you so much.
[02:04:44.155 --> 02:04:46.316]  Can't wait to read your book, and can't wait to get you back up.
[02:04:46.316 --> 02:04:47.597]  Thank you so much.
[02:04:47.597 --> 02:04:48.498]  Thank you, Alex.
[02:04:48.498 --> 02:04:48.918]  We'll be back.
[02:04:57.122 --> 02:05:03.945]  We've got great air filters, great water filters, great non-GMO heirloom seeds, great books, great films, great Patriot apparel to meet like-minded people.
[02:05:03.945 --> 02:05:06.506]  And we've got a new humongoid sale.
[02:05:06.506 --> 02:05:09.948]  Not the number of things that are on massive sale, but on what's on sale.
[02:05:09.948 --> 02:05:12.149]  Out for months, not been on sale for months and months.
[02:05:12.149 --> 02:05:16.991]  We've never offered Super Mel Vitality non-concentrated herbs, cold-pressed.
[02:05:16.991 --> 02:05:19.852]  Super Mel Vitality, 57% off.
[02:05:19.852 --> 02:05:24.094]  It's never been the price it is right now, with 3,596 reviews, 4.6 reviews total by third-party sites.
[02:05:26.975 --> 02:05:27.876]  Unprecedented.
[02:05:27.876 --> 02:05:29.097]  And it's cold-pressed.
[02:05:29.097 --> 02:05:31.039]  That's why Super Mayo is so different.
[02:05:31.039 --> 02:05:34.001]  People say, well, I know these compounds work because it's admitted to science.
[02:05:34.001 --> 02:05:39.446]  These are other, what you sell, they, BuzzFeed said, it's like, there's already best-selling stuff that's been certified as, you know, healthy and good forever.
[02:05:39.446 --> 02:05:40.647]  Why these aren't anything new?
[02:05:40.647 --> 02:05:44.911]  Because why do something new when you can have the oldest and best, but cold-pressed?
[02:05:44.911 --> 02:05:45.311]  Duh.
[02:05:45.311 --> 02:05:45.371]  Duh.
[02:05:52.358 --> 02:05:57.820]  After being sold out for months, our best-selling Super Blue Fluoride Toothpaste is now back in stock at InfoWareStore.com.
[02:05:57.820 --> 02:05:59.921]  Research across the board is clear.
[02:05:59.921 --> 02:06:05.203]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[02:06:05.203 --> 02:06:08.725]  That's why the last Surgeon General's report on oral health warrants.
[02:06:09.045 --> 02:06:12.506]  Your oral health can have a serious impact on your entire body.
[02:06:12.506 --> 02:06:15.687]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[02:06:15.687 --> 02:06:19.568]  It's loaded with good halogen iodine instead of the bad halogen fluoride.
[02:06:19.568 --> 02:06:26.730]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[02:06:26.730 --> 02:06:32.832]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil, iodine,
[02:06:33.032 --> 02:06:34.433]  Nanosilver and more.
[02:06:34.433 --> 02:06:42.716]  Due to requests from listeners who found that Spearmint was a little bit too strong for some of their children, we have created the new Bubble Gum flavored Super Blue that is Spearmint free.
[02:06:42.716 --> 02:06:51.020]  Learn more about the new Bubble Gum flavored Super Blue toothpaste and more at InfoWarsLife.com and support the Info War while you support healthy gums and teeth.
[02:06:52.648 --> 02:07:00.910]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[02:07:00.910 --> 02:07:02.130]  A 360 win.
[02:07:02.130 --> 02:07:08.692]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWareStore.com.
[02:07:08.692 --> 02:07:13.353]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip
[02:07:13.473 --> 02:07:16.615]  Because we hold back a surplus for AutoShip customers.
[02:07:16.615 --> 02:07:17.636]  Number three.
[02:07:17.636 --> 02:07:21.698]  We're giving you free shipping on all orders above $50.
[02:07:21.698 --> 02:07:27.783]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[02:07:27.783 --> 02:07:29.444]  Just go to InfoWarsTore.com.
[02:07:29.444 --> 02:07:31.425]  Select your favorite product or products.
